pXC50,nBO,nCsp2,nCsp3,nSK,nBM,nC,nHet,nBT,Se,nAT,Mi,MW,Sv,Si,C.,Sp,nH,nAB,nX,nDB,Mv,nF,Me,RBN,SCBO,X.,nO,nHM,O.,Mp
5.317,56,24,19,53,26,43,10,113,108.868,110,1.128,740.12,65.85,124.044,39.1,71.291,57,22,0,4,0.599,0,0.99,19,71.0,0.0,4,1,3.6,0.648
8.932,55,11,23,52,13,34,18,105,103.981,102,1.147,756.97,60.632,117.023,33.3,63.16,50,6,2,7,0.594,2,1.019,18,65.0,2.0,9,1,8.8,0.619
7.839,55,10,26,53,12,36,17,117,115.116,115,1.144,783.2,65.773,131.503,31.3,71.08,62,6,0,6,0.572,0,1.001,21,64.0,0.0,7,2,6.1,0.618
7.071,47,11,22,44,15,33,11,96,92.745,93,1.131,647.99,54.844,105.141,35.5,59.552,49,11,0,4,0.59,0,0.997,15,56.5,0.0,6,2,6.5,0.64
6.912,62,24,22,58,26,46,12,124,119.065,120,1.13,811.21,71.64,135.582,38.3,77.274,62,22,0,4,0.597,0,0.992,20,77.0,0.0,5,1,4.2,0.644
8.481,59,10,26,56,13,38,18,119,116.559,116,1.14,821.2,67.961,132.297,32.8,72.773,60,6,0,6,0.586,0,1.005,18,70.0,0.0,8,2,6.9,0.627
5.854,41,22,10,37,23,32,5,76,71.432,72,1.117,497.68,44.836,80.394,44.4,47.767,35,23,0,0,0.623,0,0.992,11,52.5,0.0,4,0,5.6,0.663
8.699,56,10,25,53,12,35,18,110,108.748,107,1.148,773.02,62.685,122.854,32.7,65.682,54,6,2,6,0.586,2,1.016,20,65.0,1.9,9,1,8.4,0.614
7.567,71,31,21,67,35,52,15,137,132.73,133,1.132,915.26,80.452,150.493,39.1,85.308,66,28,0,7,0.605,0,0.998,26,92.0,0.0,7,0,5.3,0.641
8.35,47,12,19,45,16,31,14,93,91.567,91,1.144,626.85,53.469,104.132,34.1,56.239,46,11,0,5,0.588,0,1.006,17,57.5,0.0,6,0,6.6,0.618
7.569,46,13,19,43,16,32,11,91,87.978,88,1.129,631.94,52.79,99.311,36.4,57.029,45,11,0,5,0.6,0,1.0,15,56.5,0.0,6,2,6.8,0.648
8.854,50,11,23,47,15,34,13,102,99.058,99,1.134,693.04,58.107,112.264,34.3,62.773,52,11,0,4,0.587,0,1.001,17,59.5,0.0,7,2,7.1,0.634
9.638,55,17,19,52,19,36,16,103,101.443,100,1.142,746.97,60.675,114.189,36.0,63.489,48,12,2,7,0.607,2,1.014,19,68.0,2.0,7,1,7.0,0.635
7.572,63,15,29,59,16,44,15,130,125.588,126,1.138,838.25,73.145,143.33,34.9,78.711,67,11,0,5,0.581,0,0.997,20,73.5,0.0,7,1,5.6,0.625
7.176,57,24,20,54,26,44,10,116,112.003,113,1.131,738.08,66.905,127.749,38.9,71.859,59,22,0,4,0.592,0,0.991,21,72.0,0.0,5,0,4.4,0.636
7.538,51,17,19,47,21,36,11,98,93.861,94,1.125,682.0,57.317,105.726,38.3,61.79,47,17,0,4,0.61,0,0.999,15,63.5,0.0,6,2,6.4,0.657
7.854,47,5,28,44,9,33,11,102,98.396,99,1.135,654.05,56.424,112.387,33.3,61.836,55,5,0,4,0.57,0,0.994,15,53.5,0.0,6,2,6.1,0.625
9.495,52,11,23,50,12,34,16,105,104.068,103,1.144,746.06,60.421,117.857,33.0,64.415,53,6,2,6,0.587,2,1.01,20,61.0,1.9,7,2,6.8,0.625
8.62,49,12,19,46,16,31,15,94,91.785,91,1.145,639.85,53.964,104.215,34.1,56.483,45,11,0,5,0.593,0,1.009,15,59.5,0.0,6,0,6.6,0.621
6.046,48,12,23,46,14,35,11,104,101.337,102,1.141,640.97,57.872,116.417,34.3,62.342,56,11,0,3,0.567,0,0.994,19,56.5,0.0,5,0,4.9,0.611
7.373,64,24,21,60,28,45,15,124,120.079,120,1.135,825.13,71.872,136.247,37.5,76.024,60,22,0,6,0.599,0,1.001,22,81.0,0.0,7,0,5.8,0.634
7.338,60,24,23,57,26,47,10,125,120.403,122,1.129,796.24,71.957,137.705,38.5,78.336,65,22,0,4,0.59,0,0.987,23,75.0,0.0,4,1,3.3,0.642
6.403,61,15,25,58,18,40,18,122,119.836,119,1.144,812.1,69.323,136.165,33.6,72.938,61,11,0,7,0.583,0,1.007,22,73.5,0.0,9,0,7.6,0.613
6.481,40,18,13,36,18,31,5,78,73.09,74,1.123,486.71,44.67,83.098,41.9,48.08,38,18,0,0,0.604,0,0.988,11,49.0,0.0,3,0,4.1,0.65
8.529,59,12,24,55,16,36,19,113,110.741,109,1.149,797.05,64.486,125.226,33.0,67.478,54,11,2,5,0.592,2,1.016,19,69.5,1.8,8,1,7.3,0.619
7.699,50,13,23,48,15,36,12,106,103.665,104,1.141,668.98,59.587,118.626,34.6,63.796,56,11,0,4,0.573,0,0.997,19,59.5,0.0,6,0,5.8,0.613
6.237,40,22,8,36,24,30,6,70,65.883,66,1.116,482.62,42.277,73.647,45.5,44.489,30,23,0,1,0.641,0,0.998,10,52.5,0.0,4,0,6.1,0.674
7.0,52,13,25,50,15,38,12,112,109.432,110,1.141,697.04,62.641,125.457,34.5,67.319,60,11,0,4,0.569,0,0.995,20,61.5,0.0,6,0,5.5,0.612
7.276,39,22,9,35,23,31,4,72,67.221,68,1.114,467.65,42.595,75.77,45.6,45.552,33,23,0,0,0.626,0,0.989,10,50.5,0.0,3,0,4.4,0.67
9.337,55,17,18,52,18,35,17,103,101.77,100,1.144,750.96,60.39,114.399,35.0,62.944,48,12,2,6,0.604,2,1.018,19,67.0,2.0,8,1,8.0,0.629
9.357,56,9,26,53,11,35,18,112,110.632,109,1.149,775.04,63.212,125.269,32.1,66.444,56,6,2,5,0.58,2,1.015,20,64.0,1.8,9,1,8.3,0.61
7.432,61,19,24,57,23,43,14,121,116.836,117,1.133,805.16,69.543,132.586,36.8,74.421,60,17,0,6,0.594,0,0.999,21,75.5,0.0,7,1,6.0,0.636
9.398,47,12,19,45,16,31,14,93,91.567,91,1.144,626.85,53.469,104.132,34.1,56.239,46,11,0,5,0.588,0,1.006,17,57.5,0.0,6,0,6.6,0.618
6.046,70,19,27,67,23,46,21,140,137.792,137,1.145,935.28,79.967,156.905,33.6,84.24,70,16,0,7,0.584,0,1.006,29,85.0,0.0,9,0,6.6,0.615
8.398,61,19,23,57,22,42,15,119,114.945,115,1.135,803.15,68.817,130.543,36.5,73.455,58,17,0,5,0.598,0,1.0,21,74.5,0.0,6,1,5.2,0.639
8.097,63,19,23,59,24,42,17,121,117.599,117,1.136,835.15,70.247,132.962,35.9,74.364,58,17,0,7,0.6,0,1.005,21,78.5,0.0,8,1,6.8,0.636
5.854,50,22,16,45,23,38,7,96,90.279,91,1.123,610.86,55.206,102.178,41.8,59.035,46,23,0,0,0.607,0,0.992,15,61.5,0.0,5,0,5.5,0.649
6.658,62,21,22,59,23,43,16,123,120.181,120,1.14,816.13,70.893,136.746,35.8,75.029,61,17,0,6,0.591,0,1.002,22,76.5,0.0,7,0,5.8,0.625
7.26,47,14,18,45,17,32,13,93,91.239,91,1.142,622.86,53.754,103.922,35.2,56.785,46,11,0,6,0.591,0,1.003,17,58.5,0.0,5,0,5.5,0.624
8.724,48,11,20,46,12,31,15,94,93.567,92,1.146,672.88,54.347,105.402,33.7,56.932,46,6,2,6,0.591,2,1.017,18,57.0,2.2,8,1,8.7,0.619
6.959,43,21,11,39,23,32,7,79,74.861,75,1.121,528.7,46.572,84.102,42.7,49.228,36,23,0,0,0.621,0,0.998,12,54.5,0.0,5,0,6.7,0.656
9.456,51,12,22,49,13,34,15,103,101.883,101,1.147,710.99,59.014,115.81,33.7,62.557,52,6,2,7,0.584,2,1.009,19,61.0,2.0,6,1,5.9,0.619
6.959,46,21,13,42,23,34,8,86,81.956,82,1.124,572.76,50.341,92.142,41.5,53.205,40,23,0,0,0.614,0,0.999,14,57.5,0.0,6,0,7.3,0.649
9.208,56,10,24,53,12,34,19,108,107.192,105,1.149,774.99,61.873,120.648,32.4,64.375,52,6,2,6,0.589,2,1.021,19,65.0,1.9,10,1,9.5,0.613
7.585,40,23,8,36,24,31,5,71,66.665,67,1.113,481.63,42.783,74.564,46.3,45.245,31,23,0,1,0.639,0,0.995,10,52.5,0.0,4,0,6.0,0.675
7.719,52,12,24,50,11,36,14,107,105.799,105,1.147,707.96,60.574,120.432,34.3,63.881,55,6,2,5,0.577,2,1.008,19,60.0,1.9,7,0,6.7,0.608
6.886,50,22,16,45,23,38,7,96,90.279,91,1.123,610.86,55.206,102.178,41.8,59.035,46,23,0,0,0.607,0,0.992,15,61.5,0.0,5,0,5.5,0.649
6.785,70,19,24,65,23,43,22,128,125.239,123,1.141,949.23,75.157,140.395,35.0,78.557,58,17,2,6,0.611,2,1.018,22,84.5,1.6,10,2,8.1,0.639
7.699,61,19,23,57,22,42,15,119,115.196,115,1.138,787.08,68.345,130.832,36.5,72.262,58,17,0,5,0.594,0,1.002,21,74.5,0.0,7,0,6.1,0.628
7.022,57,16,25,54,18,41,13,118,114.617,115,1.135,768.14,67.048,130.503,35.7,72.177,61,12,0,6,0.583,0,0.997,20,69.0,0.0,7,1,6.1,0.628
9.444,55,18,17,52,19,35,17,101,99.887,98,1.143,748.94,59.863,111.984,35.7,62.182,46,12,2,7,0.611,2,1.019,19,68.0,2.0,8,1,8.2,0.635
10.0,54,13,23,51,12,36,15,106,104.134,103,1.147,718.94,60.542,118.1,35.0,63.364,52,6,2,6,0.588,2,1.011,17,63.0,1.9,7,0,6.8,0.615
6.432,44,8,25,42,10,33,9,98,95.217,96,1.135,606.96,54.215,108.968,34.4,59.182,54,6,0,4,0.565,0,0.992,15,51.0,0.0,6,1,6.3,0.616
6.367,63,24,22,60,24,46,14,126,122.745,123,1.135,826.16,72.904,139.58,37.4,77.541,63,18,0,6,0.593,0,0.998,22,78.0,0.0,7,0,5.7,0.63
6.31,49,27,11,44,29,38,6,89,83.05,84,1.112,604.87,53.383,93.434,45.2,57.489,40,29,0,0,0.636,0,0.989,14,63.5,0.0,3,1,3.6,0.684
6.678,40,21,10,36,23,31,5,74,69.323,70,1.118,482.67,43.616,78.268,44.3,46.557,34,23,0,0,0.623,0,0.99,11,51.5,0.0,3,0,4.3,0.665
4.398,39,22,7,35,25,29,6,69,64.632,65,1.113,486.68,41.749,72.358,44.6,44.682,30,23,0,2,0.642,0,0.994,8,52.5,0.0,3,1,4.6,0.687
8.268,47,13,18,45,17,31,14,91,89.683,89,1.143,624.83,52.942,101.716,34.8,55.478,44,11,0,6,0.595,0,1.008,17,58.5,0.0,6,0,6.7,0.623
7.921,60,19,23,56,23,42,14,118,113.952,114,1.133,791.13,68.016,129.171,36.8,72.66,58,17,0,6,0.597,0,1.0,20,74.5,0.0,7,1,6.1,0.637
9.658,56,17,22,53,17,39,14,110,107.69,107,1.143,740.99,63.354,122.306,36.4,66.671,54,12,2,5,0.592,2,1.006,20,67.0,1.9,6,0,5.6,0.623
4.167,42,13,15,40,15,28,12,83,81.37,81,1.143,555.76,47.679,92.594,34.6,50.256,41,11,0,4,0.589,0,1.005,15,51.5,0.0,5,0,6.2,0.62
7.174,71,30,19,66,34,49,17,131,126.399,126,1.134,901.19,77.388,142.829,38.9,81.274,60,27,0,7,0.614,0,1.003,23,91.5,0.0,7,0,5.6,0.645
7.699,46,12,19,44,16,31,13,92,90.239,90,1.144,610.85,52.754,102.922,34.4,55.785,46,11,0,5,0.586,0,1.003,17,56.5,0.0,5,0,5.6,0.62
9.602,52,10,22,49,12,32,17,100,98.77,97,1.148,714.93,57.39,111.399,33.0,59.944,48,6,2,6,0.592,2,1.018,17,61.0,2.1,8,1,8.2,0.618
6.42,50,22,16,45,23,38,7,96,90.279,91,1.123,610.86,55.206,102.178,41.8,59.035,46,23,0,0,0.607,0,0.992,15,61.5,0.0,5,0,5.5,0.649
6.268,40,22,10,36,23,32,4,75,70.105,71,1.115,481.68,44.121,79.185,45.1,47.313,35,23,0,0,0.621,0,0.987,11,51.5,0.0,3,0,4.2,0.666
8.633,61,10,28,58,12,38,20,123,121.352,120,1.148,861.22,69.781,137.807,31.7,74.171,62,6,2,6,0.582,2,1.011,22,70.0,1.7,8,2,6.7,0.618
8.921,55,12,23,52,13,35,17,107,105.537,104,1.146,755.0,61.444,119.229,33.7,64.466,52,6,2,7,0.591,2,1.015,19,65.0,1.9,8,1,7.7,0.62
6.658,40,23,9,36,24,32,4,73,68.221,69,1.113,479.66,43.595,76.77,46.4,46.552,33,23,0,1,0.632,0,0.989,10,52.5,0.0,3,0,4.3,0.675
8.77,57,19,21,55,22,40,15,115,113.196,113,1.14,763.06,66.345,128.832,35.4,70.262,58,17,0,5,0.587,0,1.002,22,70.5,0.0,7,0,6.2,0.622
8.638,49,13,21,46,15,34,12,98,95.239,95,1.138,639.88,55.7,108.092,35.8,58.961,49,11,0,4,0.586,0,1.003,15,58.5,0.0,7,0,7.4,0.621
5.347,42,15,17,41,15,32,9,89,87.458,88,1.132,585.89,51.415,99.596,36.4,55.688,47,12,0,3,0.584,0,0.994,17,51.0,0.0,5,1,5.7,0.633
5.0,41,15,16,40,15,31,9,86,84.574,85,1.132,571.86,49.888,96.181,36.5,53.927,45,12,0,3,0.587,0,0.995,16,50.0,0.0,5,1,5.9,0.634
8.455,49,13,20,46,15,33,13,97,94.458,94,1.14,640.87,55.195,107.175,35.1,58.205,48,11,0,4,0.587,0,1.005,15,58.5,0.0,7,0,7.4,0.619
7.42,47,14,19,44,19,33,11,91,88.29,88,1.143,610.83,52.575,100.601,37.5,55.501,44,16,2,3,0.597,2,1.003,14,58.0,2.3,3,0,3.4,0.631
8.131,51,13,21,48,15,34,14,101,98.668,98,1.141,670.9,57.436,111.799,34.7,60.421,50,11,0,4,0.586,0,1.007,17,60.5,0.0,8,0,8.2,0.617
7.886,51,12,21,48,16,33,15,102,99.519,99,1.141,689.98,57.93,113.008,33.3,61.62,51,11,0,5,0.585,0,1.005,16,61.5,0.0,7,1,7.1,0.622
7.538,49,13,20,46,15,33,13,97,94.458,94,1.14,640.87,55.195,107.175,35.1,58.205,48,11,0,4,0.587,0,1.005,15,58.5,0.0,7,0,7.4,0.619
6.456,45,12,19,44,16,31,13,94,93.316,93,1.14,635.92,53.887,106.012,33.3,57.608,49,11,0,5,0.579,0,1.003,18,55.5,0.0,7,1,7.5,0.619
4.523,21,1,16,21,1,17,4,55,53.996,55,1.147,298.53,28.901,63.059,30.9,32.103,34,0,0,1,0.525,0,0.982,9,22.0,0.0,2,0,3.6,0.584
5.155,37,9,19,37,9,28,9,84,83.708,84,1.141,521.78,46.943,95.886,33.3,50.495,47,6,0,3,0.559,0,0.997,16,43.0,0.0,6,0,7.1,0.601
5.155,36,9,18,36,9,27,9,81,80.825,81,1.142,507.75,45.416,92.471,33.3,48.733,45,6,0,3,0.561,0,0.998,15,42.0,0.0,6,0,7.4,0.602
7.585,52,13,22,49,15,35,14,104,101.552,101,1.141,684.93,58.963,115.215,34.7,62.182,52,11,0,4,0.584,0,1.005,17,61.5,0.0,8,0,7.9,0.616
7.678,52,13,23,49,15,36,13,106,103.108,103,1.14,682.96,59.775,117.42,35.0,63.489,54,11,0,4,0.58,0,1.001,17,61.5,0.0,7,0,6.8,0.616
7.602,48,13,19,45,15,32,13,94,91.574,91,1.14,626.84,53.668,103.76,35.2,56.444,46,11,0,4,0.59,0,1.006,15,57.5,0.0,7,0,7.7,0.62
7.921,59,19,21,57,22,40,17,115,114.221,113,1.146,799.04,67.111,129.512,35.4,70.137,56,17,2,5,0.594,2,1.011,22,72.5,1.8,7,0,6.2,0.621
5.367,28,1,23,28,1,24,4,76,74.181,76,1.144,396.74,39.589,86.965,31.6,44.433,48,0,0,1,0.521,0,0.976,13,29.0,0.0,2,0,2.6,0.585
7.06,40,23,8,36,24,31,5,71,66.665,67,1.113,481.63,42.783,74.564,46.3,45.245,31,23,0,1,0.639,0,0.995,9,52.5,0.0,4,0,6.0,0.675
7.886,51,16,21,48,19,37,11,104,100.428,101,1.133,680.02,59.511,114.423,36.6,64.222,53,16,0,3,0.589,0,0.994,17,62.0,0.0,5,1,5.0,0.636
8.319,49,12,20,47,16,32,15,97,95.778,95,1.145,656.88,55.711,108.756,33.7,58.455,48,11,0,5,0.586,0,1.008,18,59.5,0.0,7,0,7.4,0.615
6.0,39,9,20,38,9,29,9,86,84.458,85,1.136,549.86,48.415,96.596,34.1,52.688,47,6,0,3,0.57,0,0.994,15,45.0,0.0,5,1,5.9,0.62
6.824,47,16,19,45,19,35,10,98,95.468,96,1.136,621.91,55.797,109.088,36.5,59.813,51,16,0,3,0.581,0,0.994,17,58.0,0.0,5,0,5.2,0.623
6.222,43,12,20,42,14,32,10,94,92.468,93,1.141,585.88,52.797,106.088,34.4,56.813,51,11,0,3,0.568,0,0.994,18,51.5,0.0,5,0,5.4,0.611
8.553,50,13,22,47,15,35,12,101,98.123,98,1.138,653.91,57.227,111.507,35.7,60.722,51,11,0,4,0.584,0,1.001,15,59.5,0.0,7,0,7.1,0.62
4.921,63,25,22,61,24,47,14,126,124.334,124,1.138,848.15,73.681,141.093,37.9,77.927,63,18,2,6,0.594,2,1.003,24,78.0,1.6,7,0,5.6,0.628
8.609,58,13,26,56,14,39,17,118,117.072,116,1.146,811.12,67.551,132.89,33.6,71.512,60,6,2,8,0.582,2,1.009,21,69.0,1.7,8,1,6.9,0.616
6.222,47,16,19,45,19,35,10,98,95.468,96,1.136,621.91,55.797,109.088,36.5,59.813,51,16,0,3,0.581,0,0.994,17,58.0,0.0,5,0,5.2,0.623
7.921,51,13,22,48,15,35,13,103,100.225,100,1.14,668.93,58.248,114.005,35.0,61.728,52,11,0,4,0.582,0,1.002,17,60.5,0.0,7,0,7.0,0.617
6.77,60,16,26,56,18,42,14,121,116.945,117,1.134,796.15,68.763,132.712,35.9,73.631,61,12,0,6,0.588,0,1.0,19,72.0,0.0,8,1,6.8,0.629
9.523,57,12,24,54,13,36,18,111,109.748,108,1.147,785.03,63.685,123.854,33.3,66.682,54,6,2,7,0.59,2,1.016,20,67.0,1.9,9,1,8.3,0.617
5.523,31,11,15,30,12,26,4,71,68.647,70,1.133,412.68,39.482,79.304,37.1,43.387,40,11,0,1,0.564,0,0.981,12,37.5,0.0,2,0,2.9,0.62
8.155,64,25,21,62,25,46,16,124,122.995,122,1.139,863.12,73.364,138.97,37.7,76.864,60,18,2,7,0.601,2,1.008,24,80.0,1.6,8,0,6.6,0.63
8.722,48,12,22,45,14,34,11,99,95.796,96,1.139,625.9,55.512,109.298,35.4,59.268,51,11,0,3,0.578,0,0.998,15,56.5,0.0,6,0,6.3,0.617
9.377,43,11,22,42,10,33,9,96,94.359,95,1.138,587.89,53.523,108.131,34.7,57.779,53,6,0,4,0.563,0,0.993,17,50.0,0.0,6,0,6.3,0.608
5.284,40,9,21,40,10,30,10,91,90.552,91,1.139,581.91,51.183,103.636,33.0,55.665,51,6,0,4,0.562,0,0.995,18,47.0,0.0,6,1,6.6,0.612
7.26,57,17,23,54,19,40,14,113,110.403,110,1.133,769.07,65.403,124.593,36.4,69.557,56,12,0,7,0.595,0,1.004,20,70.0,0.0,9,1,8.2,0.632
9.538,45,12,18,43,16,30,13,89,87.356,87,1.144,596.82,51.228,99.507,34.5,54.023,44,11,0,5,0.589,0,1.004,16,55.5,0.0,5,0,5.7,0.621
6.684,55,14,21,52,20,35,17,106,103.839,103,1.142,742.02,61.446,117.59,34.0,64.87,51,16,0,4,0.597,0,1.008,21,67.0,0.0,7,1,6.8,0.63
8.854,49,9,24,47,11,33,14,103,101.519,101,1.14,682.98,57.876,115.178,32.7,61.796,54,6,0,5,0.573,0,1.005,19,57.0,0.0,9,1,8.9,0.612
5.018,22,14,2,20,14,16,4,37,34.934,35,1.12,265.34,22.94,39.196,45.7,24.04,15,12,0,2,0.655,0,0.998,2,30.0,0.0,1,0,2.9,0.687
8.398,54,12,27,52,15,39,13,118,115.283,116,1.139,746.05,65.838,132.137,33.6,71.734,64,11,0,4,0.568,0,0.994,24,63.5,0.0,7,1,6.0,0.618
8.539,48,10,23,45,11,33,12,100,96.981,97,1.138,648.96,55.919,110.344,34.0,60.126,52,6,0,5,0.576,0,1.0,14,56.0,0.0,7,1,7.2,0.62
7.528,62,21,22,60,23,43,17,126,124.166,124,1.142,833.17,72.441,141.659,34.7,76.796,64,17,0,6,0.584,0,1.001,24,76.5,0.0,7,0,5.6,0.619
7.469,57,19,21,55,20,40,15,113,111.312,111,1.139,761.04,65.818,126.417,36.0,69.501,56,12,0,8,0.593,0,1.003,22,71.0,0.0,7,0,6.3,0.626
6.996,45,8,22,42,10,30,12,93,90.214,90,1.139,608.89,51.866,102.513,33.3,55.603,48,6,0,4,0.576,0,1.002,12,52.0,0.0,7,1,7.8,0.618
5.854,49,9,24,47,10,33,14,104,102.05,102,1.138,698.96,58.612,116.107,32.4,63.785,55,6,0,4,0.575,0,1.0,17,56.0,0.0,8,2,7.8,0.625
9.638,57,13,23,54,17,36,18,112,110.268,109,1.142,778.05,64.128,124.467,33.0,67.506,55,11,0,6,0.588,0,1.012,20,68.5,0.0,10,1,9.2,0.619
6.721,50,12,20,47,15,32,15,99,96.643,96,1.141,676.84,56.36,109.523,33.3,60.103,49,11,0,4,0.587,0,1.007,16,59.5,0.0,8,1,8.3,0.626
5.699,46,9,23,45,10,32,13,100,99.108,99,1.146,634.92,55.775,113.42,32.3,59.489,54,5,0,5,0.563,0,1.001,19,53.5,0.0,7,0,7.1,0.601
8.222,52,13,27,50,15,40,10,115,111.77,113,1.138,694.08,63.958,128.579,35.4,69.382,63,11,0,4,0.566,0,0.989,21,61.5,0.0,5,0,4.4,0.614
7.886,63,24,19,60,25,43,17,117,115.337,114,1.141,833.05,69.585,130.096,37.7,72.376,54,18,2,7,0.61,2,1.012,22,79.0,1.8,7,0,6.1,0.635
6.149,55,15,22,54,17,37,17,115,114.399,114,1.148,757.07,65.388,130.829,32.5,69.273,60,11,0,6,0.574,0,1.004,23,66.5,0.0,7,0,6.1,0.608
7.611,62,21,22,60,23,43,17,123,121.843,121,1.139,836.11,71.521,137.793,35.5,75.143,61,17,0,6,0.591,0,1.007,25,76.5,0.0,10,0,8.3,0.621
8.125,45,12,18,43,16,30,13,89,87.356,87,1.144,596.82,51.228,99.507,34.5,54.023,44,11,0,5,0.589,0,1.004,16,55.5,0.0,5,0,5.7,0.621
7.398,44,10,21,42,10,31,11,92,90.138,90,1.14,588.83,51.679,102.593,34.4,54.955,48,6,0,4,0.574,0,1.002,15,51.0,0.0,7,0,7.8,0.611
9.118,53,12,27,51,16,39,12,116,113.174,114,1.138,730.14,64.86,129.709,34.2,70.484,63,11,0,5,0.569,0,0.993,21,63.5,0.0,6,1,5.3,0.618
9.638,56,18,21,53,18,39,14,108,105.806,105,1.142,738.97,62.827,119.89,37.1,65.91,52,12,2,6,0.598,2,1.008,20,68.0,1.9,6,0,5.7,0.628
6.481,57,19,21,55,22,40,15,115,113.196,113,1.14,763.06,66.345,128.832,35.4,70.262,58,17,0,5,0.587,0,1.002,22,70.5,0.0,7,0,6.2,0.622
8.398,54,10,24,51,12,34,17,108,106.167,105,1.143,739.01,61.107,119.969,32.4,64.5,54,6,0,6,0.582,0,1.011,19,63.0,0.0,10,1,9.5,0.614
7.496,57,19,21,55,22,40,15,115,113.196,113,1.14,763.06,66.345,128.832,35.4,70.262,58,17,0,5,0.587,0,1.002,22,70.5,0.0,7,0,6.2,0.622
7.301,53,13,25,51,15,38,13,113,110.759,111,1.141,713.04,63.356,126.666,34.2,67.773,60,11,0,4,0.571,0,0.998,20,62.5,0.0,7,0,6.3,0.611
7.594,57,20,21,55,22,41,14,116,113.977,114,1.138,762.07,66.85,129.749,36.0,71.018,59,17,0,5,0.586,0,1.0,22,70.5,0.0,7,0,6.1,0.623
6.056,63,21,23,61,23,44,17,127,125.501,125,1.14,849.16,73.355,142.497,35.2,77.455,64,17,0,6,0.587,0,1.004,25,77.5,0.0,9,0,7.2,0.62
6.959,59,20,22,57,22,42,15,121,118.963,119,1.14,791.12,69.398,135.663,35.3,73.785,62,17,0,5,0.583,0,1.0,23,72.5,0.0,7,0,5.9,0.62
7.575,61,13,26,57,15,39,18,120,117.287,116,1.143,802.05,67.709,132.587,33.6,70.836,59,11,0,4,0.584,0,1.011,21,70.5,0.0,11,0,9.5,0.611
6.456,55,14,22,54,18,36,18,112,112.152,111,1.143,780.07,64.655,126.882,32.4,68.268,57,11,0,7,0.582,0,1.01,23,67.5,0.0,10,1,9.0,0.615
8.854,59,19,21,57,20,40,17,113,112.337,111,1.145,797.02,66.585,127.096,36.0,69.376,54,12,2,8,0.6,2,1.012,22,73.0,1.8,7,0,6.3,0.625
5.222,66,21,25,64,24,46,18,135,133.126,133,1.139,909.2,77.859,151.466,34.6,83.421,69,17,0,7,0.585,0,1.001,26,81.5,0.0,9,1,6.8,0.627
6.469,50,15,22,48,17,37,11,105,102.647,103,1.133,686.02,59.952,116.676,35.9,64.643,55,12,0,5,0.582,0,0.997,18,61.0,0.0,7,1,6.8,0.628
8.416,55,9,33,53,9,42,11,127,123.741,125,1.141,745.18,69.0,142.576,33.6,75.092,72,6,0,3,0.552,0,0.99,24,61.0,0.0,7,0,5.6,0.601
7.092,42,12,18,41,14,30,11,89,87.778,88,1.138,589.89,50.931,100.178,34.1,54.938,47,11,0,3,0.579,0,0.997,17,50.5,0.0,5,1,5.7,0.624
5.921,64,26,22,62,25,48,14,126,124.559,124,1.136,861.14,74.375,140.804,38.7,78.376,62,18,2,7,0.6,2,1.005,25,80.0,1.6,8,0,6.5,0.632
5.194,51,19,14,48,22,33,15,94,91.992,91,1.135,682.79,55.78,103.278,36.3,58.819,43,17,0,5,0.613,0,1.011,16,64.5,0.0,8,1,8.8,0.646
7.046,48,12,21,46,16,33,13,99,97.199,97,1.138,661.96,56.414,110.427,34.0,60.37,51,11,0,5,0.582,0,1.002,17,58.5,0.0,7,1,7.2,0.622
5.377,43,15,18,42,15,33,9,92,90.341,91,1.132,599.92,52.942,103.012,36.3,57.449,49,12,0,3,0.582,0,0.993,18,52.0,0.0,5,1,5.5,0.631
7.357,47,6,27,44,8,33,11,101,97.537,98,1.138,634.98,55.731,111.55,33.7,60.432,54,5,0,3,0.569,0,0.995,15,52.5,0.0,6,1,6.1,0.617
8.481,46,8,27,44,8,35,9,104,101.236,102,1.138,618.95,56.797,116.088,34.3,61.512,58,6,0,2,0.557,0,0.993,18,51.0,0.0,7,0,6.9,0.603
7.056,62,24,22,60,24,46,14,126,123.854,124,1.135,829.16,73.124,140.706,37.1,77.751,64,18,0,6,0.59,0,0.999,24,77.0,0.0,8,0,6.5,0.627
8.705,58,12,31,55,14,43,12,127,123.075,124,1.139,768.17,69.968,141.244,34.7,75.575,69,11,0,3,0.564,0,0.993,24,66.5,0.0,7,0,5.6,0.609
7.569,51,12,24,47,14,36,11,103,98.654,99,1.133,668.99,58.205,112.134,36.4,62.671,52,11,0,3,0.588,0,0.997,15,59.5,0.0,6,1,6.1,0.633
6.092,48,17,19,44,19,36,8,95,90.13,91,1.125,617.93,54.7,102.387,39.6,59.234,47,17,0,2,0.601,0,0.99,14,58.5,0.0,4,1,4.4,0.651
6.921,47,8,28,45,8,36,9,107,103.868,105,1.135,649.05,58.796,119.214,34.3,64.467,60,6,0,2,0.56,0,0.989,19,52.0,0.0,6,1,5.7,0.614
5.569,41,8,25,40,8,33,7,97,94.697,96,1.138,560.91,52.84,109.254,34.4,57.842,56,6,0,2,0.55,0,0.986,17,46.0,0.0,5,0,5.2,0.603
5.569,33,11,17,32,12,28,4,77,74.414,76,1.133,440.74,42.535,86.135,36.8,46.91,44,11,0,1,0.56,0,0.979,14,39.5,0.0,2,0,2.6,0.617
