pXC50,Sp,Sv,nBT,nAB,nSK,Si,Se,nN,nBO,nAT,MW,SCBO,nH,X.,nHet,nC,Mi,N.,Mv,AMW,H.,Mp
5.4,26.796,25.445,40.0,18,22,42.112,37.716,2,24,38.0,288.37,34.0,16,0.0,3,19,1.108,5.3,0.67,7.589,42.1,0.705
5.4,41.898,40.201,64.0,27,36,67.275,60.622,6,40,60.0,500.63,54.5,24,0.0,10,26,1.121,10.0,0.67,8.344,40.0,0.698
5.4,31.819,30.531,50.0,21,27,53.106,47.123,6,30,47.0,360.46,41.5,20,0.0,7,20,1.13,12.8,0.65,7.669,42.6,0.677
5.4,19.659,18.171,26.0,12,17,26.754,24.571,4,19,24.0,338.12,26.0,7,4.2,6,11,1.115,16.7,0.757,14.088,29.2,0.819
5.4,31.239,30.583,50.0,21,28,52.576,46.821,6,32,46.0,380.44,42.5,18,4.3,8,20,1.143,13.0,0.665,8.27,39.1,0.679
6.0,21.102,20.457,31.0,15,19,32.625,29.756,3,21,29.0,275.33,29.5,10,3.4,6,13,1.125,10.3,0.705,9.494,34.5,0.728
5.4,26.875,25.536,42.0,11,22,45.179,40.353,3,24,40.0,319.82,30.5,18,2.5,6,16,1.129,7.5,0.638,7.995,45.0,0.672
5.4,37.347,35.606,60.0,21,31,63.434,55.992,7,35,56.0,415.55,46.5,25,0.0,8,23,1.133,12.5,0.636,7.421,44.6,0.667
6.1,35.529,34.772,55.0,18,32,60.409,54.578,6,34,53.0,460.54,46.0,21,1.9,12,20,1.14,11.3,0.656,8.689,39.6,0.67
5.4,35.216,34.351,56.0,22,31,60.615,53.916,6,34,53.0,424.5,45.0,22,3.8,9,22,1.144,11.3,0.648,8.009,41.5,0.664
7.1,27.358,26.083,43.0,11,23,44.95,40.549,3,26,40.0,331.43,34.5,17,0.0,7,16,1.124,7.5,0.652,8.286,42.5,0.684
5.4,30.046,28.961,46.0,22,26,46.694,42.036,4,30,42.0,340.41,42.0,16,0.0,5,21,1.112,9.5,0.69,8.105,38.1,0.715
5.8,33.415,32.828,52.0,22,30,55.283,49.971,4,33,49.0,406.45,45.0,19,2.0,8,22,1.128,8.2,0.67,8.295,38.8,0.682
5.4,26.313,26.826,41.0,17,26,44.922,40.902,4,28,39.0,362.34,37.5,13,7.7,9,17,1.152,10.3,0.688,9.291,33.3,0.675
5.4,25.307,25.805,39.0,12,25,42.424,38.8,3,27,37.0,347.32,36.0,12,8.1,8,17,1.147,8.1,0.697,9.387,32.4,0.684
5.4,24.182,22.224,33.0,11,20,34.584,31.338,4,22,31.0,378.19,30.5,11,3.2,6,14,1.116,12.9,0.717,12.2,35.5,0.78
5.4,33.875,31.827,52.0,22,27,54.73,48.36,4,30,49.0,354.49,42.0,22,0.0,4,23,1.117,8.2,0.65,7.234,44.9,0.691
5.4,36.614,35.321,55.0,22,32,58.492,52.822,5,35,52.0,449.55,48.0,20,1.9,9,23,1.125,9.6,0.679,8.645,38.5,0.704
5.4,28.455,27.804,41.0,16,26,42.376,39.127,4,29,38.0,387.24,40.0,12,5.3,8,18,1.115,10.5,0.732,10.191,31.6,0.749
5.9,40.745,38.277,61.0,22,33,64.773,57.749,5,36,58.0,455.63,50.0,25,0.0,7,26,1.117,8.6,0.66,7.856,43.1,0.702
5.4,30.813,29.509,48.0,21,26,50.607,45.022,5,29,45.0,345.44,40.5,19,0.0,6,20,1.125,11.1,0.656,7.676,42.2,0.685
5.4,41.557,39.826,64.0,22,35,68.561,61.101,6,38,61.0,466.59,53.0,26,0.0,8,27,1.124,9.8,0.653,7.649,42.6,0.681
5.7,40.745,38.277,61.0,22,33,64.773,57.749,5,36,58.0,455.63,50.0,25,0.0,7,26,1.117,8.6,0.66,7.856,43.1,0.702
5.4,24.165,24.222,38.0,16,23,41.456,37.28,5,25,36.0,317.33,34.0,13,5.6,8,15,1.152,13.9,0.673,8.815,36.1,0.671
5.4,25.671,27.261,40.0,17,28,44.732,41.112,4,30,38.0,400.31,39.5,10,15.8,11,17,1.177,10.5,0.717,10.534,26.3,0.676
6.6,34.159,32.906,51.0,22,30,53.82,48.643,6,33,48.0,418.52,46.0,18,0.0,9,21,1.121,12.5,0.686,8.719,37.5,0.712
5.4,29.801,28.467,45.0,23,25,46.611,41.818,3,28,42.0,327.41,39.5,17,0.0,4,21,1.11,7.1,0.678,7.795,40.5,0.71
6.1,39.62,38.343,60.0,27,35,62.99,56.923,6,39,56.0,488.59,53.5,21,1.8,10,25,1.125,10.7,0.685,8.725,37.5,0.707
7.3,27.841,27.172,42.0,17,25,43.978,39.873,4,28,39.0,356.81,37.5,14,5.1,7,18,1.128,10.3,0.697,9.149,35.9,0.714
5.4,24.591,23.955,36.0,12,22,37.934,34.702,3,24,34.0,313.76,33.0,12,2.9,6,16,1.116,8.8,0.705,9.228,35.3,0.723
5.4,24.955,25.412,37.0,17,25,40.242,37.014,4,27,35.0,366.75,36.5,10,11.4,9,16,1.15,11.4,0.726,10.479,28.6,0.713
5.4,29.483,27.928,44.0,25,25,44.488,40.003,5,29,40.0,345.46,41.5,15,0.0,6,19,1.112,12.5,0.698,8.636,37.5,0.737
5.4,37.91,34.745,63.0,6,27,72.427,62.192,6,27,63.0,376.62,32.0,36,0.0,7,20,1.15,9.5,0.552,5.978,57.1,0.602
5.4,27.966,28.143,43.0,12,27,46.559,42.887,5,29,41.0,391.8,38.0,14,2.4,11,16,1.136,12.2,0.686,9.556,34.1,0.682
5.4,32.904,31.001,45.0,22,28,46.399,42.665,4,31,42.0,473.8,43.0,14,4.8,8,20,1.105,9.5,0.738,11.281,33.3,0.783
8.9,41.762,40.025,68.0,24,35,68.189,61.109,4,42,61.0,466.58,55.0,26,0.0,7,28,1.118,6.6,0.656,7.649,42.6,0.685
6.4,54.142,52.023,87.0,24,45,92.019,82.618,3,50,82.0,611.75,63.0,37,0.0,10,35,1.122,3.7,0.634,7.46,45.1,0.66
5.4,42.534,40.594,69.0,17,35,73.6,65.196,6,39,65.0,474.62,49.5,30,0.0,9,26,1.132,9.2,0.625,7.302,46.2,0.654
5.4,24.324,24.14,36.0,17,23,38.645,35.207,5,25,34.0,331.76,34.5,11,5.9,8,15,1.137,14.7,0.71,9.758,32.4,0.715
5.4,35.398,35.229,56.0,18,33,61.038,54.647,7,36,53.0,455.49,47.0,20,5.7,11,22,1.152,13.2,0.665,8.594,37.7,0.668
5.6,21.767,21.402,33.0,17,20,34.947,31.487,5,22,31.0,265.3,31.5,11,0.0,6,14,1.127,16.1,0.69,8.558,35.5,0.702
5.4,54.336,52.118,85.0,34,46,88.933,79.141,8,52,79.0,612.77,70.0,33,1.3,10,36,1.126,10.1,0.66,7.757,41.8,0.688
5.4,25.0,24.089,36.0,16,22,38.167,34.8,4,24,34.0,335.21,33.0,12,5.9,7,15,1.123,11.8,0.709,9.859,35.3,0.735
5.4,32.211,30.181,48.0,22,26,49.946,44.778,3,29,45.0,361.5,40.0,19,0.0,5,21,1.11,6.7,0.671,8.033,42.2,0.716
5.4,34.461,32.697,52.0,22,29,53.527,48.098,5,33,48.0,401.53,45.0,19,0.0,7,22,1.115,10.4,0.681,8.365,39.6,0.718
5.4,23.671,23.511,36.0,12,22,38.329,34.891,3,24,34.0,297.31,33.0,12,2.9,6,16,1.127,8.8,0.692,8.744,35.3,0.696
5.4,38.046,36.516,61.0,22,32,66.189,58.389,7,35,58.0,435.56,46.0,26,1.7,9,23,1.141,12.1,0.63,7.51,44.8,0.656
5.4,43.961,41.518,67.0,22,36,70.398,62.96,5,40,63.0,497.67,54.0,27,0.0,8,28,1.117,7.9,0.659,7.9,42.9,0.698
5.4,39.228,37.245,59.0,27,33,61.441,55.083,6,37,55.0,454.6,51.5,22,0.0,8,25,1.117,10.9,0.677,8.265,40.0,0.713
5.7,35.773,34.239,52.0,22,31,54.681,49.749,5,34,49.0,451.97,47.0,18,2.0,9,22,1.116,10.2,0.699,9.224,36.7,0.73
5.4,19.875,20.009,31.0,11,19,32.495,30.047,2,21,29.0,258.25,28.5,10,0.0,6,13,1.121,6.9,0.69,8.905,34.5,0.685
5.4,37.04,35.494,59.0,22,31,63.691,56.287,6,34,56.0,420.54,45.0,25,1.8,8,23,1.137,10.7,0.634,7.51,44.6,0.661
5.4,21.273,19.504,27.0,11,18,27.615,25.676,3,20,25.0,371.57,27.5,7,8.0,6,12,1.105,12.0,0.78,14.863,28.0,0.851
5.4,26.313,26.826,41.0,17,26,44.922,40.902,4,28,39.0,362.34,37.5,13,7.7,9,17,1.152,10.3,0.688,9.291,33.3,0.675
6.1,21.375,20.714,31.0,16,19,32.309,29.491,3,21,29.0,271.72,30.0,10,3.4,5,14,1.114,10.3,0.714,9.37,34.5,0.737
5.4,25.904,24.789,39.0,17,22,41.638,37.36,4,24,37.0,314.8,32.5,15,2.7,6,16,1.125,10.8,0.67,8.508,40.5,0.7
5.4,33.944,32.365,52.0,25,29,52.658,47.283,5,34,47.0,403.52,46.5,18,2.1,7,22,1.12,10.6,0.689,8.586,38.3,0.722
5.4,30.256,29.181,46.0,22,26,47.82,43.145,3,29,43.0,343.41,41.0,17,0.0,5,21,1.112,7.0,0.679,7.986,39.5,0.704
6.2,28.04,26.94,42.0,22,24,43.196,38.934,3,27,39.0,313.38,39.0,15,0.0,4,20,1.108,7.7,0.691,8.035,38.5,0.719
5.4,36.222,34.142,54.0,16,29,57.997,52.334,1,31,52.0,432.37,41.0,23,3.8,6,23,1.115,1.9,0.657,8.315,44.2,0.697
5.4,20.261,19.374,28.0,16,18,28.814,26.684,3,20,26.0,277.75,28.0,8,3.8,6,12,1.108,11.5,0.745,10.683,30.8,0.779
5.4,23.989,24.374,35.0,12,24,38.519,35.793,5,25,34.0,347.74,35.0,10,2.9,10,14,1.133,14.7,0.717,10.228,29.4,0.706
5.4,44.267,41.33,67.0,22,35,71.603,63.516,5,38,64.0,483.69,52.0,29,0.0,7,28,1.119,7.8,0.646,7.558,45.3,0.692
7.8,38.131,37.503,63.0,12,34,67.995,60.523,6,38,59.0,474.54,46.0,25,5.1,11,23,1.152,10.2,0.636,8.043,42.4,0.646
5.5,32.478,31.444,51.0,21,28,53.943,48.458,4,31,48.0,376.45,42.5,20,0.0,7,21,1.124,8.3,0.655,7.843,41.7,0.677
5.4,27.256,26.181,42.0,12,23,44.82,40.145,3,25,40.0,307.38,34.0,17,0.0,5,18,1.121,7.5,0.655,7.684,42.5,0.681
5.4,28.233,26.412,41.0,22,23,41.906,37.683,3,26,38.0,317.44,37.0,15,0.0,4,19,1.103,7.9,0.695,8.354,39.5,0.743
5.9,34.893,32.891,56.0,17,28,60.225,52.665,7,31,53.0,375.53,40.5,25,0.0,7,21,1.136,13.2,0.621,7.085,47.2,0.658
5.4,26.091,25.174,38.0,17,23,40.33,36.709,4,25,36.0,373.23,34.5,13,2.8,7,16,1.12,11.1,0.699,10.368,36.1,0.725
5.4,34.574,33.036,53.0,22,29,56.023,49.905,5,32,50.0,383.49,45.0,21,0.0,6,23,1.12,10.0,0.661,7.67,42.0,0.691
5.4,30.506,29.697,47.0,22,27,49.402,44.465,5,30,44.0,359.42,42.0,17,0.0,7,20,1.123,11.4,0.675,8.169,38.6,0.693
5.4,45.529,43.862,70.0,24,39,73.654,66.949,3,43,66.0,545.66,58.0,27,0.0,10,29,1.116,4.5,0.665,8.268,40.9,0.69
6.2,47.302,45.143,77.0,26,39,81.514,72.181,7,44,72.0,527.69,57.0,33,0.0,10,29,1.132,9.7,0.627,7.329,45.8,0.657
5.4,21.023,20.321,29.0,17,19,30.127,27.705,4,21,27.0,291.15,29.5,8,7.4,6,13,1.116,14.8,0.753,10.783,29.6,0.779
5.4,24.745,24.171,38.0,12,22,41.986,37.582,5,23,37.0,297.35,32.0,15,0.0,7,15,1.135,13.5,0.653,8.036,40.5,0.669
5.4,32.506,31.398,50.0,22,28,52.864,47.316,4,31,47.0,374.45,43.0,19,2.1,6,22,1.125,8.5,0.668,7.967,40.4,0.692
5.4,33.216,31.202,50.0,21,27,52.444,46.88,4,30,47.0,376.52,41.5,20,0.0,6,21,1.116,8.5,0.664,8.011,42.6,0.707
5.4,27.597,26.268,43.0,21,23,44.983,39.811,5,26,40.0,303.4,36.5,17,0.0,5,18,1.125,12.5,0.657,7.585,42.5,0.69
5.4,23.296,21.438,34.0,6,18,35.478,32.014,1,20,32.0,279.81,25.0,14,3.1,4,14,1.109,3.1,0.67,8.744,43.8,0.728
5.4,30.506,29.697,47.0,22,27,49.402,44.465,5,30,44.0,359.42,42.0,17,0.0,7,20,1.123,11.4,0.675,8.169,38.6,0.693
5.4,28.904,27.369,43.0,17,24,45.74,41.222,3,26,41.0,339.45,35.5,17,0.0,6,18,1.116,7.3,0.668,8.279,41.5,0.705
5.4,37.432,36.593,60.0,22,33,65.24,58.127,6,36,57.0,454.53,47.0,24,3.5,10,23,1.145,10.5,0.642,7.974,42.1,0.657
5.4,37.222,35.761,61.0,17,31,65.896,58.538,5,34,58.0,425.54,42.5,27,0.0,9,22,1.136,8.6,0.617,7.337,46.6,0.642
5.4,30.364,29.226,47.0,16,26,49.808,44.64,4,29,44.0,372.86,38.0,18,4.5,7,19,1.132,9.1,0.664,8.474,40.9,0.69
5.4,41.017,39.263,66.0,22,34,71.731,63.381,6,37,63.0,464.6,48.0,29,1.6,9,25,1.139,9.5,0.623,7.375,46.0,0.651
5.4,21.779,20.406,31.0,11,18,32.146,29.349,2,20,29.0,278.78,26.5,11,3.4,5,13,1.108,6.9,0.704,9.613,37.9,0.751
5.4,31.114,30.009,46.0,23,27,47.764,43.469,3,30,43.0,377.85,41.5,16,2.3,6,21,1.111,7.0,0.698,8.787,37.2,0.724
8.1,35.949,34.686,54.0,30,32,54.694,49.534,7,37,49.0,439.54,53.0,17,0.0,9,23,1.116,14.3,0.708,8.97,34.7,0.734
5.4,32.205,31.608,50.0,22,29,53.156,47.862,5,32,47.0,391.44,44.0,18,2.1,8,21,1.131,10.6,0.673,8.329,38.3,0.685
5.4,25.676,25.233,40.0,16,23,43.29,38.843,3,25,38.0,315.35,34.0,15,5.3,6,17,1.139,7.9,0.664,8.299,39.5,0.676
5.8,50.5,48.32,79.0,24,42,82.644,74.087,4,47,74.0,560.7,62.0,32,0.0,8,34,1.117,5.4,0.653,7.577,43.2,0.682
5.4,36.33,34.542,55.0,23,30,57.939,51.687,4,33,52.0,394.51,46.5,22,0.0,5,25,1.114,7.7,0.664,7.587,42.3,0.699
5.4,19.807,18.659,27.0,16,17,27.605,25.356,3,19,25.0,261.75,27.0,8,4.0,5,12,1.104,12.0,0.746,10.47,32.0,0.792
5.4,25.017,23.708,40.0,6,20,44.235,39.029,3,21,39.0,273.37,27.0,19,0.0,5,15,1.134,7.7,0.608,7.009,48.7,0.641
5.4,28.909,27.39,44.0,12,24,47.238,42.323,4,26,42.0,342.46,34.0,18,0.0,7,17,1.125,9.5,0.652,8.154,42.9,0.688
5.4,28.955,28.391,45.0,21,26,47.113,42.691,4,29,42.0,348.39,40.5,16,0.0,7,19,1.122,9.5,0.676,8.295,38.1,0.689
5.4,32.54,31.673,50.0,27,29,51.821,46.425,6,33,46.0,384.45,46.5,17,2.2,7,22,1.127,13.0,0.689,8.358,37.0,0.707
5.4,38.495,37.209,62.0,12,33,65.9,58.614,6,37,58.0,448.55,47.0,25,1.7,9,24,1.136,10.3,0.642,7.734,43.1,0.664
5.4,40.801,39.609,63.0,22,36,66.195,60.174,5,40,59.0,505.6,55.0,23,0.0,11,25,1.122,8.5,0.671,8.569,39.0,0.692
5.4,36.381,35.169,56.0,21,32,59.943,53.956,7,35,53.0,451.56,47.5,21,0.0,11,21,1.131,13.2,0.664,8.52,39.6,0.686
5.4,34.972,34.156,56.0,21,31,59.07,52.847,6,35,52.0,420.49,46.5,21,1.9,9,22,1.136,11.5,0.657,8.086,40.4,0.673
6.5,41.381,39.87,63.0,27,36,66.405,59.807,6,40,59.0,502.62,54.5,23,1.7,10,26,1.126,10.2,0.676,8.519,39.0,0.701
5.4,28.824,27.303,41.0,21,25,42.202,38.524,5,28,38.0,367.49,39.5,13,0.0,8,17,1.111,13.2,0.719,9.671,34.2,0.759
6.3,28.671,27.337,45.0,16,24,47.551,42.345,5,27,42.0,343.85,35.0,18,2.4,7,17,1.132,11.9,0.651,8.187,42.9,0.683
5.4,34.034,32.772,54.0,21,29,57.73,51.334,6,32,51.0,390.49,43.5,22,0.0,8,21,1.132,11.8,0.643,7.657,43.1,0.667
6.2,30.216,28.202,47.0,15,24,49.444,43.88,4,27,44.0,340.49,35.5,20,0.0,6,18,1.124,9.1,0.641,7.738,45.5,0.687
6.6,30.904,29.369,46.0,21,26,47.74,43.222,3,29,43.0,363.47,40.5,17,0.0,6,20,1.11,7.0,0.683,8.453,39.5,0.719
7.1,32.205,31.119,46.0,18,29,49.456,45.316,6,31,44.0,475.36,44.0,15,2.3,11,18,1.124,13.6,0.707,10.804,34.1,0.732
5.7,46.398,44.443,74.0,26,39,78.043,69.621,7,44,69.0,548.1,57.0,30,1.4,11,28,1.131,10.1,0.644,7.943,43.5,0.672
5.4,32.756,31.003,53.0,11,26,57.69,51.007,3,28,51.0,355.48,35.5,25,0.0,6,20,1.131,5.9,0.608,6.97,49.0,0.642
5.4,23.137,22.241,34.0,16,20,35.724,32.374,3,22,32.0,285.75,31.0,12,3.1,5,15,1.116,9.4,0.695,8.93,37.5,0.723
5.4,35.279,33.968,56.0,22,30,60.276,53.403,6,33,53.0,406.51,44.0,23,1.9,8,22,1.137,11.3,0.641,7.67,43.4,0.666
5.4,34.478,33.444,54.0,22,30,55.943,50.458,4,34,50.0,400.47,46.0,20,0.0,7,23,1.119,8.0,0.669,8.009,40.0,0.69
5.4,33.779,31.447,49.0,17,27,52.412,47.218,3,29,47.0,446.4,40.5,20,2.1,7,20,1.115,6.4,0.669,9.498,42.6,0.719
5.4,40.506,38.487,62.0,27,33,64.109,57.687,1,37,58.0,435.55,51.5,25,0.0,4,29,1.105,1.7,0.664,7.509,43.1,0.698
5.4,32.267,31.825,48.0,22,30,51.048,46.534,4,33,45.0,428.47,45.0,15,6.7,9,21,1.134,8.9,0.707,9.522,33.3,0.717
5.4,39.159,37.607,58.0,28,34,60.282,54.494,5,38,54.0,469.58,53.0,20,1.9,8,26,1.116,9.3,0.696,8.696,37.0,0.725
5.4,26.193,26.465,39.0,21,26,40.929,37.993,3,29,36.0,377.37,39.5,10,8.3,9,17,1.137,8.3,0.735,10.483,27.8,0.728
6.4,29.392,28.358,44.0,22,26,45.906,41.658,5,29,41.0,365.45,42.0,15,0.0,8,18,1.12,12.2,0.692,8.913,36.6,0.717
5.7,35.284,33.25,51.0,18,29,54.515,49.313,3,31,49.0,425.97,42.0,20,2.0,7,22,1.113,6.1,0.679,8.693,40.8,0.72
5.4,33.245,31.455,49.0,26,28,49.903,44.887,5,32,45.0,383.51,46.0,17,0.0,6,22,1.109,11.1,0.699,8.522,37.8,0.739
5.4,43.381,40.67,70.0,22,34,73.099,64.323,5,39,65.0,453.64,50.0,31,0.0,6,28,1.125,7.7,0.626,6.979,47.7,0.667
6.3,39.557,38.726,60.0,27,36,63.33,57.436,6,40,56.0,506.58,54.5,20,3.6,11,25,1.131,10.7,0.692,9.046,35.7,0.706
5.7,33.455,31.675,49.0,22,28,51.029,45.996,4,31,46.0,386.51,44.0,18,0.0,6,22,1.109,8.7,0.689,8.402,39.1,0.727
5.4,28.994,27.648,41.0,18,25,41.771,38.56,2,28,38.0,368.86,38.0,13,2.6,6,19,1.099,5.3,0.728,9.707,34.2,0.763
7.0,32.398,31.379,48.0,22,29,50.405,45.76,6,32,45.0,404.49,45.0,16,0.0,9,20,1.12,13.3,0.697,8.989,35.6,0.72
5.4,30.96,30.412,48.0,16,28,50.611,45.793,5,31,45.0,375.42,43.0,17,0.0,8,20,1.125,11.1,0.676,8.343,37.8,0.688
5.4,37.642,37.723,59.0,27,36,63.121,56.865,8,40,55.0,492.51,54.5,19,5.5,12,24,1.148,14.5,0.686,8.955,34.5,0.684
6.0,33.83,32.862,52.0,18,30,56.654,51.182,6,32,50.0,428.52,44.0,20,0.0,11,19,1.133,12.0,0.657,8.57,40.0,0.677
5.4,23.495,22.655,37.0,11,20,39.405,35.262,3,22,35.0,269.33,29.5,15,0.0,5,15,1.126,8.6,0.647,7.695,42.9,0.671
5.4,29.057,27.993,46.0,6,25,48.704,43.945,3,28,43.0,363.45,34.0,18,2.3,8,17,1.133,7.0,0.651,8.452,41.9,0.676
5.4,21.006,20.576,32.0,17,19,33.994,30.454,4,21,30.0,254.29,29.5,11,3.3,5,14,1.133,13.3,0.686,8.476,36.7,0.7
5.4,22.04,20.94,34.0,12,18,37.196,32.934,3,19,33.0,241.32,26.0,15,0.0,4,14,1.127,9.1,0.635,7.313,45.5,0.668
5.4,26.841,25.762,42.0,21,23,44.066,39.029,6,26,39.0,304.39,36.5,16,0.0,6,17,1.13,15.4,0.661,7.805,41.0,0.688
5.9,43.205,41.013,66.0,27,36,69.481,62.178,6,40,62.0,498.66,54.5,26,0.0,9,27,1.121,9.7,0.662,8.043,41.9,0.697
5.4,28.534,28.239,42.0,10,27,43.412,40.327,4,30,39.0,380.41,42.0,12,0.0,9,18,1.113,10.3,0.724,9.754,30.8,0.732
5.4,20.21,20.074,30.0,15,19,31.159,28.611,3,21,28.0,251.26,31.5,9,0.0,5,14,1.113,10.7,0.717,8.974,32.1,0.722
5.6,30.398,28.986,44.0,22,26,45.535,41.265,4,29,41.0,407.29,41.0,15,2.4,6,20,1.111,9.8,0.707,9.934,36.6,0.741
5.4,29.563,27.993,45.0,18,24,48.026,42.702,3,26,43.0,317.42,36.0,19,0.0,4,20,1.117,7.0,0.651,7.382,44.2,0.688
5.4,33.75,32.893,52.0,27,30,53.947,48.534,5,34,48.0,399.46,47.5,18,2.1,7,23,1.124,10.4,0.685,8.322,37.5,0.703
5.4,20.415,19.197,29.0,16,17,29.997,27.069,3,19,27.0,288.16,27.0,10,3.7,4,13,1.111,11.1,0.711,10.673,37.0,0.756
5.4,23.767,23.402,36.0,21,22,36.947,33.487,5,25,33.0,289.32,36.5,11,0.0,6,16,1.12,15.2,0.709,8.767,33.3,0.72
5.4,19.762,19.381,30.0,16,18,31.448,28.385,4,20,28.0,238.27,29.0,10,0.0,5,13,1.123,14.3,0.692,8.51,35.7,0.706
5.4,42.858,40.617,66.0,23,35,69.268,61.556,5,39,62.0,461.61,53.5,27,0.0,6,29,1.117,8.1,0.655,7.445,43.5,0.691
8.0,31.693,31.597,49.0,22,30,52.323,47.298,7,33,46.0,405.43,46.0,16,2.2,10,20,1.137,15.2,0.687,8.814,34.8,0.689
5.4,41.029,38.541,64.0,22,32,67.939,60.454,1,35,61.0,427.58,47.0,29,0.0,4,28,1.114,1.6,0.632,7.01,47.5,0.673
5.4,32.961,32.113,51.0,22,29,54.073,48.643,4,32,48.0,390.45,44.0,19,2.1,7,22,1.127,8.3,0.669,8.134,39.6,0.687
6.0,36.006,34.22,58.0,11,29,63.734,56.178,4,31,56.0,398.53,39.5,27,1.8,7,22,1.138,7.1,0.611,7.117,48.2,0.643
5.4,30.54,29.673,48.0,22,27,49.821,44.425,6,31,44.0,360.43,42.0,17,2.3,7,20,1.132,13.6,0.674,8.192,38.6,0.694
5.4,24.04,22.94,37.0,17,20,39.196,34.934,3,22,35.0,265.34,30.5,15,0.0,4,16,1.12,8.6,0.655,7.581,42.9,0.687
5.7,35.046,33.197,52.0,22,29,54.827,49.334,4,32,49.0,427.36,43.0,20,4.1,7,22,1.119,8.2,0.677,8.722,40.8,0.715
6.0,38.489,37.487,60.0,27,34,62.94,56.662,6,38,56.0,454.53,52.5,22,0.0,9,25,1.124,10.7,0.669,8.117,39.3,0.687
5.4,43.381,40.67,70.0,22,34,73.099,64.323,5,39,65.0,453.64,50.0,31,0.0,6,28,1.125,7.7,0.626,6.979,47.7,0.667
5.8,28.364,28.852,46.0,16,28,50.694,45.985,8,30,44.0,388.39,40.0,16,0.0,13,15,1.152,18.2,0.656,8.827,36.4,0.645
5.4,32.926,31.839,51.0,18,28,55.117,49.534,2,30,49.0,380.45,40.0,21,2.0,6,22,1.125,4.1,0.65,7.764,42.9,0.672
5.6,33.796,33.008,52.0,12,30,56.595,51.211,5,32,50.0,429.9,42.0,20,2.0,10,20,1.132,10.0,0.66,8.598,40.0,0.676
5.4,25.489,24.633,39.0,17,22,39.907,36.16,2,25,36.0,290.34,34.5,14,0.0,4,18,1.109,5.6,0.684,8.065,38.9,0.708
5.4,33.517,32.441,53.0,22,29,56.861,50.52,6,32,50.0,392.48,43.0,21,2.0,8,21,1.137,12.0,0.649,7.85,42.0,0.67
5.4,50.211,48.034,76.0,33,43,77.979,70.28,7,49,70.0,585.74,67.5,27,0.0,10,33,1.114,10.0,0.686,8.368,38.6,0.717
5.4,27.506,26.593,40.0,12,24,42.084,38.825,1,26,38.0,388.23,35.0,14,2.6,6,18,1.107,2.6,0.7,10.217,36.8,0.724
5.4,27.779,26.235,45.0,6,22,48.651,42.912,3,24,43.0,299.41,30.0,21,0.0,5,17,1.131,7.0,0.61,6.963,48.8,0.646
5.4,30.779,30.135,47.0,12,28,48.42,44.247,3,32,43.0,399.45,41.0,15,4.7,8,20,1.126,7.0,0.701,9.29,34.9,0.716
7.3,28.671,27.337,45.0,16,24,47.551,42.345,5,27,42.0,343.85,35.0,18,2.4,7,17,1.132,11.9,0.651,8.187,42.9,0.683
5.4,35.216,34.351,56.0,22,31,60.615,53.916,6,34,53.0,424.5,45.0,22,3.8,9,22,1.144,11.3,0.648,8.009,41.5,0.664
5.4,44.074,41.858,69.0,27,36,72.893,64.767,5,40,65.0,479.63,54.5,29,0.0,7,29,1.121,7.7,0.644,7.379,44.6,0.678
5.4,64.444,61.76,105.0,12,54,120.613,104.945,20,55,104.0,747.02,71.0,50,0.0,22,32,1.16,19.2,0.594,7.183,48.1,0.62
5.4,39.802,38.021,64.0,22,33,68.106,60.17,6,37,60.0,446.58,48.0,27,1.7,8,25,1.135,10.0,0.634,7.443,45.0,0.663
5.4,31.324,29.52,48.0,18,25,51.441,45.585,3,27,46.0,331.45,37.0,21,0.0,4,21,1.118,6.5,0.642,7.205,45.7,0.681
5.4,33.211,31.181,49.0,22,27,50.946,45.778,3,30,46.0,373.51,42.0,19,0.0,5,22,1.108,6.5,0.678,8.12,41.3,0.722
5.4,32.29,32.594,50.0,18,31,54.962,49.996,4,33,48.0,430.42,44.0,17,6.3,10,21,1.145,8.3,0.679,8.967,35.4,0.673
5.4,15.301,15.354,22.0,10,15,22.19,20.949,2,17,20.0,220.62,24.0,5,5.0,5,10,1.109,10.0,0.768,11.031,25.0,0.765
5.4,27.909,26.39,43.0,16,23,46.238,41.323,4,25,41.0,330.45,35.0,18,0.0,7,16,1.128,9.8,0.644,8.06,43.9,0.681
5.4,28.955,28.391,45.0,16,26,47.113,42.691,4,29,42.0,348.39,40.0,16,0.0,7,19,1.122,9.5,0.676,8.295,38.1,0.689
5.4,30.54,30.261,45.0,21,29,46.91,43.429,5,32,42.0,407.44,46.5,13,0.0,10,19,1.117,11.9,0.72,9.701,31.0,0.727
5.4,19.409,18.175,27.0,16,16,27.499,24.967,2,18,25.0,273.14,26.0,9,4.0,3,13,1.1,8.0,0.727,10.926,36.0,0.776
5.0,20.063,19.171,30.0,17,17,31.156,27.84,3,19,28.0,221.28,27.5,11,0.0,3,14,1.113,10.7,0.685,7.903,39.3,0.717
5.4,43.591,42.378,64.0,24,39,68.083,62.771,3,42,61.0,567.66,59.0,22,1.6,12,27,1.116,4.9,0.695,9.306,36.1,0.715
5.4,32.983,32.498,54.0,16,30,58.604,52.2,9,33,51.0,411.48,43.0,21,0.0,12,18,1.149,17.6,0.637,8.068,41.2,0.647
