pXC50,N.,nN,nS,Sv,nHM,MW,Se,Sp,nCsp2,Si,nAT,nCsp3,C.,nBT,nAB,nSK,SCBO,nBO,AMW,H.,Me,Mi,Mp,Mv,nB,nBM,nBR,nC
8.553,1.8,1,0,36.21,0,445.5,58.251,37.051,14,64.622,57,10,42.1,61,16,32,44.0,36,7.816,43.9,1.022,1.134,0.65,0.635,0,16,0,24
5.415,6.1,3,0,29.574,0,323.48,48.352,31.847,13,55.272,49,7,40.8,51,12,24,33.0,26,6.602,51.0,0.987,1.128,0.65,0.604,0,13,0,20
5.228,5.0,3,0,38.245,0,445.56,60.218,39.972,20,67.315,60,6,43.3,63,23,33,47.5,36,7.426,45.0,1.004,1.122,0.666,0.637,0,23,0,26
5.047,8.9,4,2,30.577,2,398.55,45.4,32.557,18,50.158,45,1,42.2,47,17,27,39.5,29,8.857,40.0,1.009,1.115,0.723,0.679,0,19,0,19
4.394,7.0,3,0,25.047,0,273.42,42.469,27.086,9,48.856,43,7,37.2,44,6,20,26.0,21,6.359,53.5,0.988,1.136,0.63,0.582,0,8,0,16
4.301,8.3,3,0,24.482,1,315.78,36.585,25.352,14,40.349,36,2,44.4,38,12,22,32.0,24,8.772,38.9,1.016,1.121,0.704,0.68,0,14,0,16
4.719,6.8,3,1,29.181,1,349.49,43.778,31.211,17,48.946,44,3,45.5,47,17,25,37.5,28,7.943,43.2,0.995,1.112,0.709,0.663,0,18,0,20
4.79,5.9,3,0,32.762,0,373.49,50.796,34.54,19,57.066,51,4,45.1,54,18,28,41.0,31,7.323,45.1,0.996,1.119,0.677,0.642,0,19,0,23
8.668,1.9,1,1,34.834,2,467.96,54.513,36.068,13,59.395,53,8,39.6,56,16,31,42.0,34,8.829,41.5,1.029,1.121,0.681,0.657,0,16,0,21
8.133,1.9,1,1,34.834,2,467.96,54.513,36.068,13,59.395,53,8,39.6,56,16,31,42.0,34,8.829,41.5,1.029,1.121,0.681,0.657,0,16,0,21
8.799,1.9,1,2,35.307,3,484.03,54.262,37.261,13,59.106,53,8,39.6,56,16,31,42.0,34,9.133,41.5,1.024,1.115,0.703,0.666,0,16,0,21
8.889,1.9,1,2,35.307,3,484.03,54.262,37.261,13,59.106,53,8,39.6,56,16,31,42.0,34,9.133,41.5,1.024,1.115,0.703,0.666,0,16,0,21
8.697,1.8,1,1,36.646,2,478.0,57.069,38.375,15,62.601,56,8,41.1,59,17,32,43.5,35,8.536,42.9,1.019,1.118,0.685,0.654,0,17,0,23
8.216,1.8,1,1,37.03,2,495.99,57.582,38.313,15,62.941,56,8,41.1,59,17,33,44.5,36,8.857,41.1,1.028,1.124,0.684,0.661,0,17,0,23
8.4,1.8,1,1,36.361,2,481.99,57.396,37.83,13,62.811,56,9,39.3,59,16,32,43.0,35,8.607,42.9,1.025,1.122,0.676,0.649,0,16,0,22
8.362,1.8,1,1,36.361,2,481.99,57.396,37.83,13,62.811,56,9,39.3,59,16,32,43.0,35,8.607,42.9,1.025,1.122,0.676,0.649,0,16,0,22
8.368,1.8,1,2,36.833,3,498.06,57.145,39.023,13,62.521,56,9,39.3,59,16,32,43.0,35,8.894,42.9,1.02,1.116,0.697,0.658,0,16,0,22
8.928,1.8,1,2,36.833,3,498.06,57.145,39.023,13,62.521,56,9,39.3,59,16,32,43.0,35,8.894,42.9,1.02,1.116,0.697,0.658,0,16,0,22
8.542,1.7,1,1,38.173,2,492.03,59.953,40.136,15,66.016,59,9,40.7,62,17,33,44.5,36,8.339,44.1,1.016,1.119,0.68,0.647,0,17,0,24
8.122,1.7,1,1,38.556,2,510.02,60.465,40.074,15,66.356,59,9,40.7,62,17,34,45.5,37,8.644,42.4,1.025,1.125,0.679,0.653,0,17,0,24
8.907,1.8,1,1,37.361,2,494.0,58.396,38.83,15,63.811,57,8,40.4,60,16,33,45.0,36,8.667,42.1,1.024,1.119,0.681,0.655,0,17,0,23
8.812,1.8,1,1,37.361,2,494.0,58.396,38.83,15,63.811,57,8,40.4,60,16,33,45.0,36,8.667,42.1,1.024,1.119,0.681,0.655,0,17,0,23
8.772,1.8,1,2,37.833,3,510.07,58.145,40.023,15,63.521,57,8,40.4,60,16,33,45.0,36,8.949,42.1,1.02,1.114,0.702,0.664,0,17,0,23
9.03,1.8,1,2,37.833,3,510.07,58.145,40.023,15,63.521,57,8,40.4,60,16,33,45.0,36,8.949,42.1,1.02,1.114,0.702,0.664,0,17,0,23
8.471,1.7,1,1,39.173,2,504.04,60.953,41.136,17,67.016,60,8,41.7,63,17,34,46.5,37,8.401,43.3,1.016,1.117,0.686,0.653,0,18,0,25
8.674,2.0,1,2,33.448,3,471.99,50.564,34.983,13,54.821,49,7,40.8,52,16,30,41.0,33,9.632,38.8,1.032,1.119,0.714,0.683,0,16,0,20
8.375,1.7,1,1,39.556,2,522.03,61.465,41.074,17,67.356,60,8,41.7,63,17,35,47.5,38,8.7,41.7,1.024,1.123,0.685,0.659,0,18,0,25
9.099,2.0,1,1,33.308,2,453.93,51.629,34.307,13,55.98,50,7,40.0,53,16,30,41.0,33,9.079,40.0,1.033,1.12,0.686,0.666,0,16,0,20
7.666,1.7,1,1,37.888,2,496.02,60.28,39.591,13,66.226,59,10,39.0,62,16,33,44.0,36,8.407,44.1,1.022,1.122,0.671,0.642,0,16,0,23
8.652,1.8,1,1,36.834,2,491.98,56.513,38.068,13,61.395,55,8,41.8,58,16,33,46.0,36,8.945,40.0,1.028,1.116,0.692,0.67,0,17,0,23
7.484,1.7,1,1,38.888,2,508.03,61.28,40.591,15,67.226,60,9,40.0,63,16,34,46.0,37,8.467,43.3,1.021,1.12,0.677,0.648,0,17,0,24
8.821,1.8,1,1,37.076,2,497.99,58.724,38.284,13,64.02,57,9,38.6,60,16,33,44.0,36,8.737,42.1,1.03,1.123,0.672,0.65,0,16,0,22
8.256,1.7,1,1,38.603,2,512.02,61.607,40.045,13,67.435,60,10,38.3,63,16,34,45.0,37,8.534,43.3,1.027,1.124,0.667,0.643,0,16,0,23
6.883,6.5,4,1,40.899,2,549.05,63.818,42.085,15,69.89,62,9,38.7,66,21,37,51.5,41,8.856,40.3,1.029,1.127,0.679,0.66,0,21,0,24
6.147,3.1,2,1,40.436,2,525.07,65.265,42.358,13,72.139,64,11,37.5,67,16,35,46.0,38,8.204,45.3,1.02,1.127,0.662,0.632,0,16,0,24
8.236,1.9,1,1,34.834,2,467.96,54.513,36.068,13,59.395,53,8,39.6,56,16,31,42.0,34,8.829,41.5,1.029,1.121,0.681,0.657,0,16,0,21
7.688,1.9,1,1,34.834,2,467.96,54.513,36.068,13,59.395,53,8,39.6,56,16,31,42.0,34,8.829,41.5,1.029,1.121,0.681,0.657,0,16,0,21
8.231,1.9,1,2,35.307,3,484.03,54.262,37.261,13,59.106,53,8,39.6,56,16,31,42.0,34,9.133,41.5,1.024,1.115,0.703,0.666,0,16,0,21
8.652,1.9,1,2,35.307,3,484.03,54.262,37.261,13,59.106,53,8,39.6,56,16,31,42.0,34,9.133,41.5,1.024,1.115,0.703,0.666,0,16,0,21
7.412,1.7,1,1,38.888,2,508.03,61.28,40.591,15,67.226,60,9,40.0,63,16,34,46.0,37,8.467,43.3,1.021,1.12,0.677,0.648,0,17,0,24
7.79,1.7,1,2,39.36,3,524.1,61.029,41.784,15,66.936,60,9,40.0,63,16,34,46.0,37,8.735,43.3,1.017,1.116,0.696,0.656,0,17,0,24
8.0,1.7,1,2,39.36,3,524.1,61.029,41.784,15,66.936,60,9,40.0,63,16,34,46.0,37,8.735,43.3,1.017,1.116,0.696,0.656,0,17,0,24
8.457,2.0,1,1,32.976,2,455.92,50.814,33.79,13,55.11,49,7,40.8,52,16,30,41.0,33,9.304,38.8,1.037,1.125,0.69,0.673,0,16,0,20
8.272,2.0,1,1,32.976,2,455.92,50.814,33.79,13,55.11,49,7,40.8,52,16,30,41.0,33,9.304,38.8,1.037,1.125,0.69,0.673,0,16,0,20
8.411,2.0,1,2,33.448,3,471.99,50.564,34.983,13,54.821,49,7,40.8,52,16,30,41.0,33,9.632,38.8,1.032,1.119,0.714,0.683,0,16,0,20
8.34,1.9,1,1,34.788,2,465.96,53.371,36.097,15,58.316,52,7,42.3,55,17,31,42.5,34,8.961,40.4,1.026,1.121,0.694,0.669,0,17,0,22
7.562,1.9,1,1,35.171,2,483.95,53.883,36.034,15,58.656,52,7,42.3,55,17,32,43.5,35,9.307,38.5,1.036,1.128,0.693,0.676,0,17,0,22
8.65,2.0,1,1,33.42,3,472.37,50.625,34.71,13,54.715,49,7,40.8,52,16,30,41.0,33,9.64,38.8,1.033,1.117,0.708,0.682,0,16,0,20
7.876,2.0,1,1,33.42,3,472.37,50.625,34.71,13,54.715,49,7,40.8,52,16,30,41.0,33,9.64,38.8,1.033,1.117,0.708,0.682,0,16,0,20
8.321,2.0,1,2,33.893,4,488.44,50.375,35.903,13,54.425,49,7,40.8,52,16,30,41.0,33,9.968,38.8,1.028,1.111,0.733,0.692,0,16,0,20
8.636,2.0,1,2,33.893,4,488.44,50.375,35.903,13,54.425,49,7,40.8,52,16,30,41.0,33,9.968,38.8,1.028,1.111,0.733,0.692,0,16,0,20
5.0,0.0,0,0,33.68,1,424.91,55.102,34.938,12,60.807,54,9,38.9,56,12,29,37.0,31,7.869,46.3,1.02,1.126,0.647,0.624,0,12,0,21
5.0,0.0,0,0,39.26,1,479.01,64.752,41.222,12,72.053,64,13,39.1,67,12,33,42.0,36,7.485,48.4,1.012,1.126,0.644,0.613,0,12,0,25
5.244,0.0,0,0,37.206,1,462.96,59.985,38.699,12,66.223,59,10,40.7,61,12,32,42.0,34,7.847,45.8,1.017,1.122,0.656,0.631,0,13,0,24
6.0,0.0,0,0,34.965,1,432.93,55.774,36.483,12,61.598,55,9,41.8,57,12,30,40.0,32,7.871,45.5,1.014,1.12,0.663,0.636,0,13,0,23
5.0,0.0,0,0,37.491,1,458.97,59.658,39.244,12,66.013,59,11,42.4,62,12,32,43.0,35,7.779,45.8,1.011,1.119,0.665,0.635,0,13,0,25
5.0,0.0,0,0,36.921,1,466.95,60.313,38.153,13,66.432,59,10,39.0,61,12,32,41.0,34,7.914,45.8,1.022,1.126,0.647,0.626,0,13,0,23
5.046,0.0,0,0,33.868,1,438.89,54.545,34.631,13,59.602,53,8,39.6,55,12,30,39.0,32,8.281,43.4,1.029,1.125,0.653,0.639,0,13,0,21
6.167,0.0,0,0,31.723,1,390.89,50.563,33.267,14,55.973,50,7,42.0,52,12,27,36.0,29,7.818,46.0,1.011,1.119,0.665,0.634,0,13,0,21
5.854,0.0,0,0,31.196,1,388.87,48.68,32.506,12,53.558,48,7,43.8,50,12,27,37.0,29,8.101,43.8,1.014,1.116,0.677,0.65,0,13,0,21
6.0,2.0,1,0,31.933,1,407.88,51.109,32.966,13,56.266,50,7,40.0,52,12,28,37.0,30,8.158,44.0,1.022,1.125,0.659,0.639,0,13,0,20
5.0,2.1,1,0,30.691,1,389.86,47.898,31.75,12,52.641,47,7,42.6,49,12,27,37.0,29,8.295,42.6,1.019,1.12,0.676,0.653,0,13,0,20
6.222,0.0,0,0,33.25,1,404.92,53.447,35.029,12,59.389,53,10,41.5,56,12,28,37.0,31,7.64,47.2,1.008,1.121,0.661,0.627,0,12,0,22
5.602,0.0,0,0,33.965,1,420.92,54.774,35.483,12,60.598,54,10,40.7,57,12,29,38.0,32,7.795,46.3,1.014,1.122,0.657,0.629,0,12,0,22
5.0,0.0,0,0,37.018,1,448.98,60.542,39.006,12,67.428,60,12,40.0,63,12,31,40.0,34,7.483,48.3,1.009,1.124,0.65,0.617,0,12,0,24
5.0,1.6,1,0,39.04,1,476.01,63.643,41.012,13,70.927,63,12,39.7,66,12,33,43.0,36,7.556,47.6,1.01,1.126,0.651,0.62,0,13,0,25
4.0,0.0,0,0,35.965,1,444.94,56.774,37.483,16,62.598,56,8,42.9,59,17,31,42.5,34,7.945,44.6,1.014,1.118,0.669,0.642,0,17,0,24
5.444,0.0,0,0,37.733,1,464.98,61.869,39.46,14,68.638,61,10,39.3,63,12,32,41.0,34,7.623,47.5,1.014,1.125,0.647,0.619,0,13,0,24
6.0,0.0,0,0,38.733,1,476.99,62.869,40.46,12,69.638,62,11,40.3,64,12,33,43.0,35,7.693,46.8,1.014,1.123,0.653,0.625,0,13,0,25
5.252,0.0,0,0,37.733,1,464.98,61.869,39.46,12,68.638,61,12,39.3,64,12,32,41.0,35,7.623,47.5,1.014,1.125,0.647,0.619,0,12,0,24
4.42,0.0,0,0,39.26,1,479.01,64.752,41.222,12,72.053,64,13,39.1,67,12,33,42.0,36,7.485,48.4,1.012,1.126,0.644,0.613,0,12,0,25
5.161,0.0,0,0,40.787,1,493.04,67.636,42.983,12,75.468,67,14,38.8,70,12,34,43.0,37,7.359,49.3,1.009,1.126,0.642,0.609,0,12,0,26
5.0,0.0,0,0,42.313,1,507.07,70.52,44.745,12,78.883,70,15,38.6,73,12,35,44.0,38,7.244,50.0,1.007,1.127,0.639,0.604,0,12,0,27
6.0,0.0,0,0,39.975,1,495.01,66.08,41.676,12,73.262,65,13,38.5,68,12,34,43.0,37,7.616,47.7,1.017,1.127,0.641,0.615,0,12,0,25
5.0,0.0,0,0,35.491,1,434.95,57.658,37.244,12,64.013,57,11,40.4,60,12,30,39.0,33,7.631,47.4,1.012,1.123,0.653,0.623,0,12,0,23
5.0,0.0,0,0,37.018,1,448.98,60.542,39.006,12,67.428,60,12,40.0,63,12,31,40.0,34,7.483,48.3,1.009,1.124,0.65,0.617,0,12,0,24
8.644,0.0,0,0,39.26,1,479.01,64.752,41.222,12,72.053,64,13,39.1,67,12,33,42.0,36,7.485,48.4,1.012,1.126,0.644,0.613,0,12,0,25
8.873,0.0,0,0,36.206,1,450.95,58.985,37.699,12,65.223,58,11,39.7,61,12,31,40.0,34,7.775,46.6,1.017,1.125,0.65,0.624,0,12,0,23
8.53,0.0,0,0,37.733,1,464.98,61.869,39.46,12,68.638,61,12,39.3,64,12,32,41.0,35,7.623,47.5,1.014,1.125,0.647,0.619,0,12,0,24
9.011,0.0,0,0,38.733,1,476.99,62.869,40.46,14,69.638,62,11,40.3,65,12,33,43.0,36,7.693,46.8,1.014,1.123,0.653,0.625,0,13,0,25
9.046,0.0,0,0,40.787,1,493.04,67.636,42.983,12,75.468,67,14,38.8,70,12,34,43.0,37,7.359,49.3,1.009,1.126,0.642,0.609,0,12,0,26
8.44,0.0,0,0,42.313,1,507.07,70.52,44.745,12,78.883,70,15,38.6,73,12,35,44.0,38,7.244,50.0,1.007,1.127,0.639,0.604,0,12,0,27
8.799,0.0,0,0,37.018,1,448.98,60.542,39.006,12,67.428,60,12,40.0,63,12,31,40.0,34,7.483,48.3,1.009,1.124,0.65,0.617,0,12,0,24
8.854,0.0,0,0,38.545,1,463.01,63.425,40.767,12,70.844,63,13,39.7,66,12,32,41.0,35,7.349,49.2,1.007,1.125,0.647,0.612,0,12,0,25
8.86,0.0,0,0,40.072,1,477.04,66.309,42.529,12,74.259,66,14,39.4,69,12,33,42.0,36,7.228,50.0,1.005,1.125,0.644,0.607,0,12,0,26
8.854,0.0,0,0,41.599,1,491.07,69.192,44.29,12,77.674,69,15,39.1,72,12,34,43.0,37,7.117,50.7,1.003,1.126,0.642,0.603,0,12,0,27
8.87,0.0,0,1,38.205,2,481.05,61.618,40.654,12,68.348,61,12,39.3,64,12,32,41.0,35,7.886,47.5,1.01,1.12,0.666,0.626,0,12,0,24
9.109,0.0,0,1,39.732,2,495.08,64.502,42.415,12,71.764,64,13,39.1,67,12,33,42.0,36,7.736,48.4,1.008,1.121,0.663,0.621,0,12,0,25
8.438,0.0,0,0,39.448,1,492.99,64.196,40.915,12,70.847,63,13,39.7,67,12,34,44.0,38,7.825,46.0,1.019,1.125,0.649,0.626,0,12,0,25
8.86,0.0,0,0,40.975,1,507.02,67.08,42.676,12,74.262,66,14,39.4,70,12,35,45.0,39,7.682,47.0,1.016,1.125,0.647,0.621,0,12,0,26
7.299,0.0,0,1,29.271,1,366.47,47.76,30.75,10,52.744,47,8,38.3,49,11,25,32.5,27,7.797,46.8,1.016,1.122,0.654,0.623,0,11,0,18
7.561,0.0,0,1,33.324,1,406.54,54.527,35.273,12,60.574,54,9,38.9,56,11,28,36.5,30,7.529,48.1,1.01,1.122,0.653,0.617,0,12,0,21
7.676,0.0,0,2,34.653,2,450.59,53.905,36.642,14,59.209,53,8,41.5,56,16,30,41.0,33,8.502,43.4,1.017,1.117,0.691,0.654,0,16,0,22
7.146,0.0,0,1,32.324,1,394.53,53.527,34.273,10,59.574,53,10,37.7,55,11,27,34.5,29,7.444,49.1,1.01,1.124,0.647,0.61,0,11,0,20
7.162,0.0,0,1,30.798,1,380.5,50.643,32.512,10,56.159,50,9,38.0,52,11,26,33.5,28,7.61,48.0,1.013,1.123,0.65,0.616,0,11,0,19
6.346,0.0,0,1,29.383,2,384.91,46.756,31.154,10,51.478,46,8,39.1,48,11,25,32.5,27,8.368,45.7,1.016,1.119,0.677,0.639,0,11,0,18
7.054,0.0,0,1,34.663,1,406.59,57.967,37.341,10,65.195,58,12,37.9,60,11,28,35.5,30,7.01,51.7,0.999,1.124,0.644,0.598,0,11,0,22
7.157,0.0,0,1,30.083,1,364.5,49.316,32.057,10,54.949,49,9,38.8,51,11,25,32.5,27,7.439,49.0,1.006,1.121,0.654,0.614,0,11,0,19
7.606,0.0,0,1,31.61,1,378.53,52.2,33.818,10,58.365,52,10,38.5,54,11,26,33.5,28,7.279,50.0,1.004,1.122,0.65,0.608,0,11,0,20
7.223,0.0,0,1,33.136,1,392.56,55.083,35.58,10,61.78,55,11,38.2,57,11,27,34.5,29,7.137,50.9,1.002,1.123,0.647,0.602,0,11,0,21
7.907,0.0,0,1,32.635,2,457.42,52.429,35.171,10,58.206,52,10,38.5,54,11,27,34.5,29,8.797,48.1,1.008,1.119,0.676,0.628,0,11,1,20
7.305,0.0,0,1,33.851,1,408.56,56.411,36.034,10,62.989,56,11,37.5,58,11,28,35.5,30,7.296,50.0,1.007,1.125,0.643,0.604,0,11,0,21
7.533,0.0,0,1,33.136,1,392.56,55.083,35.58,10,61.78,55,11,38.2,57,11,27,34.5,29,7.137,50.9,1.002,1.123,0.647,0.602,0,11,0,21
7.027,0.0,0,1,33.625,2,438.96,52.967,35.369,10,58.103,52,9,40.4,54,11,29,38.5,31,8.442,44.2,1.019,1.117,0.68,0.647,0,12,0,21
6.939,0.0,0,1,33.867,2,444.97,55.178,35.585,10,60.727,54,10,37.0,56,11,29,36.5,31,8.24,46.3,1.022,1.125,0.659,0.627,0,11,0,20
7.151,0.0,0,1,35.393,2,459.0,58.062,37.347,10,64.143,57,11,36.8,59,11,30,37.5,32,8.053,47.4,1.019,1.125,0.655,0.621,0,11,0,21
7.893,0.0,0,2,30.571,3,416.98,47.833,32.801,10,52.398,47,8,38.3,49,11,26,33.5,28,8.872,44.7,1.018,1.115,0.698,0.65,0,11,0,18
7.315,0.0,0,2,32.097,3,431.01,50.716,34.563,10,55.813,50,9,38.0,52,11,27,34.5,29,8.62,46.0,1.014,1.116,0.691,0.642,0,11,0,19
7.924,0.0,0,1,33.152,2,428.97,53.851,35.131,10,59.518,53,10,37.7,55,11,28,35.5,30,8.094,47.2,1.016,1.123,0.663,0.626,0,11,0,20
7.243,0.0,0,1,35.679,2,455.01,57.734,37.892,10,63.933,57,12,38.6,60,11,30,38.5,33,7.983,47.4,1.013,1.122,0.665,0.626,0,11,0,22
6.79,0.0,0,1,34.867,2,456.98,56.178,36.585,10,61.727,55,11,38.2,58,11,30,38.5,33,8.309,45.5,1.021,1.122,0.665,0.634,0,11,0,21
7.22,0.0,0,1,29.383,2,384.91,46.756,31.154,10,51.478,46,8,39.1,48,11,25,32.5,27,8.368,45.7,1.016,1.119,0.677,0.639,0,11,0,18
8.35,0.0,0,1,30.91,2,398.94,49.64,32.915,10,54.893,49,9,38.8,51,11,26,33.5,28,8.142,46.9,1.013,1.12,0.672,0.631,0,11,0,19
7.987,0.0,0,1,32.437,2,412.97,52.523,34.676,10,58.309,52,10,38.5,54,11,27,34.5,29,7.942,48.1,1.01,1.121,0.667,0.624,0,11,0,20
7.04,0.0,0,2,33.954,3,471.0,51.345,35.739,14,55.738,50,7,42.0,53,16,30,41.0,33,9.42,40.0,1.027,1.115,0.715,0.679,0,16,0,21
7.939,0.0,0,1,30.798,1,380.5,50.643,32.512,10,56.159,50,9,38.0,52,11,26,33.5,28,7.61,48.0,1.013,1.123,0.65,0.616,0,11,0,19
8.059,0.0,0,1,32.324,1,394.53,53.527,34.273,10,59.574,53,10,37.7,55,11,27,34.5,29,7.444,49.1,1.01,1.124,0.647,0.61,0,11,0,20
7.063,0.0,0,1,30.098,2,400.91,48.084,31.608,10,52.688,47,8,38.3,49,11,26,33.5,28,8.53,44.7,1.023,1.121,0.673,0.64,0,11,0,18
7.461,0.0,0,1,31.625,2,414.94,50.967,33.369,10,56.103,50,9,38.0,52,11,27,34.5,29,8.299,46.0,1.019,1.122,0.667,0.633,0,11,0,19
6.854,0.0,0,1,28.571,2,386.88,45.2,29.847,10,49.272,44,7,38.6,46,11,25,32.5,27,8.793,43.2,1.027,1.12,0.678,0.649,0,11,0,17
7.187,0.0,0,1,33.152,2,428.97,53.851,35.131,10,59.518,53,10,37.7,55,11,28,35.5,30,8.094,47.2,1.016,1.123,0.663,0.626,0,11,0,20
7.263,0.0,0,1,32.625,2,426.95,51.967,34.369,12,57.103,51,8,39.2,53,11,28,36.5,30,8.372,45.1,1.019,1.12,0.674,0.64,0,12,0,20
6.955,0.0,0,1,32.098,2,424.93,50.084,33.608,10,54.688,49,8,40.8,51,11,28,37.5,30,8.672,42.9,1.022,1.116,0.686,0.655,0,12,0,20
7.155,0.0,0,0,37.95,0,472.5,60.618,38.472,17,66.413,59,8,42.4,62,17,34,46.5,37,8.008,42.4,1.027,1.126,0.652,0.643,0,18,0,25
6.824,0.0,0,0,42.147,0,496.6,68.756,43.818,17,76.318,68,11,41.2,71,17,36,48.5,39,7.303,47.1,1.011,1.122,0.644,0.62,0,18,0,28
7.301,0.0,0,0,37.282,0,458.5,60.433,37.989,15,66.282,59,9,40.7,62,16,33,45.0,36,7.771,44.1,1.024,1.123,0.644,0.632,0,17,0,24
7.155,0.0,0,1,33.227,1,424.51,54.298,34.421,11,59.578,53,9,37.7,55,11,29,37.5,31,8.01,45.3,1.024,1.124,0.649,0.627,0,12,0,20
7.523,0.0,0,0,39.862,0,476.57,67.083,41.273,13,74.528,66,12,37.9,68,12,34,43.0,36,7.221,48.5,1.016,1.129,0.625,0.604,0,13,0,25
8.0,0.0,0,0,40.62,0,482.57,65.872,42.057,17,72.903,65,10,41.5,68,17,35,47.5,38,7.424,46.2,1.013,1.122,0.647,0.625,0,18,0,27
6.638,0.0,0,0,32.755,0,408.44,54.549,33.227,11,59.867,53,9,37.7,55,11,29,37.5,31,7.706,45.3,1.029,1.13,0.627,0.618,0,12,0,20
7.523,0.0,0,0,38.394,1,488.95,60.429,39.392,17,66.017,59,8,42.4,62,17,34,46.5,37,8.287,42.4,1.024,1.119,0.668,0.651,0,18,0,25
6.538,1.6,1,0,38.83,0,475.54,64.418,39.756,13,71.196,63,11,38.1,66,12,34,44.0,37,7.548,46.0,1.023,1.13,0.631,0.616,0,13,0,24
7.699,0.0,0,0,37.824,1,496.93,61.084,38.301,13,66.436,59,10,39.0,62,12,34,44.0,37,8.423,42.4,1.035,1.126,0.649,0.641,0,13,0,23
8.046,0.0,0,0,38.523,0,476.52,63.643,39.205,13,69.907,62,11,38.7,65,12,34,44.0,37,7.686,45.2,1.027,1.128,0.632,0.621,0,13,0,24
6.959,0.0,0,0,41.389,0,490.6,69.967,43.034,13,77.943,69,13,37.7,71,12,35,44.0,37,7.11,49.3,1.014,1.13,0.624,0.6,0,13,0,26
8.0,0.0,0,0,38.335,0,462.54,64.2,39.511,13,71.113,63,11,38.1,65,12,33,42.0,35,7.342,47.6,1.019,1.129,0.627,0.608,0,13,0,24
8.0,0.0,0,0,39.094,0,468.54,62.989,40.296,17,69.488,62,9,41.9,65,17,34,46.5,37,7.557,45.2,1.016,1.121,0.65,0.631,0,18,0,26
7.398,0.0,0,0,36.147,0,424.54,62.756,37.818,7,70.318,62,15,35.5,64,6,30,36.0,32,6.847,51.6,1.012,1.134,0.61,0.583,0,7,0,22
6.42,5.4,3,0,34.863,0,431.49,57.316,35.574,12,63.528,56,9,37.5,59,16,31,42.0,34,7.705,44.6,1.024,1.134,0.635,0.623,0,16,0,21
7.409,3.4,2,0,36.368,0,442.51,59.098,37.33,13,65.445,58,10,39.7,62,16,32,44.0,36,7.629,44.8,1.019,1.128,0.644,0.627,0,16,0,23
6.788,1.7,1,0,35.873,0,429.51,58.88,37.085,14,65.362,58,9,39.7,61,16,31,42.0,34,7.405,46.6,1.015,1.127,0.639,0.619,0,16,0,23
7.62,1.7,1,0,36.873,0,441.52,59.88,38.085,14,66.362,59,10,40.7,63,16,32,44.0,36,7.483,45.8,1.015,1.125,0.646,0.625,0,16,0,24
6.123,3.1,2,0,39.422,0,470.57,64.865,40.852,13,72.275,64,12,39.1,68,16,34,46.0,38,7.353,46.9,1.014,1.129,0.638,0.616,0,16,0,25
8.0,0.0,0,0,31.422,0,358.47,52.123,33.171,12,58.445,52,9,40.4,54,12,26,34.0,28,6.894,50.0,1.002,1.124,0.638,0.604,0,12,0,21
7.0,0.0,0,1,29.271,1,366.47,47.76,30.75,10,52.744,47,8,38.3,49,11,25,32.5,27,7.797,46.8,1.016,1.122,0.654,0.623,0,11,0,18
7.155,2.0,1,0,29.917,0,347.45,50.342,31.415,10,56.528,50,9,38.0,52,11,25,32.5,27,6.949,50.0,1.007,1.131,0.628,0.598,0,11,0,19
6.215,2.0,1,0,30.917,0,359.46,51.342,32.415,11,57.528,51,9,39.2,53,12,26,34.0,28,7.048,49.0,1.007,1.128,0.636,0.606,0,12,0,20
5.31,4.0,2,0,30.412,0,360.45,50.56,31.659,10,56.611,50,9,38.0,52,12,26,34.0,28,7.209,48.0,1.011,1.132,0.633,0.608,0,12,0,19
4.0,2.2,1,0,27.863,0,331.4,45.574,28.892,11,50.697,45,7,40.0,47,12,24,32.0,26,7.364,46.7,1.013,1.127,0.642,0.619,0,12,0,18
4.0,4.5,2,0,27.358,0,332.39,44.793,28.137,10,49.78,44,7,38.6,46,12,24,32.0,26,7.554,45.5,1.018,1.131,0.639,0.622,0,12,0,17
7.523,0.0,0,1,31.556,1,386.5,49.433,33.296,14,54.534,49,7,42.9,52,16,27,38.0,30,7.888,44.9,1.009,1.113,0.68,0.644,0,16,0,21
6.171,0.0,0,0,31.084,0,370.43,49.683,32.102,14,54.824,49,7,42.9,52,16,27,38.0,30,7.56,44.9,1.014,1.119,0.655,0.634,0,16,0,21
5.201,1.9,1,0,32.917,0,383.48,53.342,34.415,14,59.528,53,8,41.5,56,16,28,39.0,31,7.235,47.2,1.006,1.123,0.649,0.621,0,16,0,22
6.187,2.1,1,1,31.051,1,387.49,48.651,32.54,13,53.617,48,7,41.7,51,16,27,38.0,30,8.073,43.8,1.014,1.117,0.678,0.647,0,16,0,20
5.638,2.1,1,0,30.578,0,371.42,48.902,31.347,13,53.907,48,7,41.7,51,16,27,38.0,30,7.738,43.8,1.019,1.123,0.653,0.637,0,16,0,20
4.0,3.8,2,0,32.412,0,384.47,52.56,33.659,13,58.611,52,8,40.4,55,16,28,39.0,31,7.394,46.2,1.011,1.127,0.647,0.623,0,16,0,21
8.009,0.0,0,1,32.271,1,402.5,50.76,33.75,14,55.744,50,7,42.0,53,16,28,39.0,31,8.05,44.0,1.015,1.115,0.675,0.645,0,16,0,21
