pXC50,nAB,SCBO,nBM,Si,O.,nS,nCL,Se,nAT,Mi,nSK,nBT,nBO,MW,nF
6.244,28,56.0,30,61.716,5.5,1,0,56.636,55,1.122,36,59,40,508.55,3
7.699,28,57.0,30,65.131,5.2,1,0,59.52,58,1.123,37,62,41,522.58,3
6.554,22,53.0,24,68.045,5.0,1,0,61.505,60,1.134,36,64,40,515.6,3
6.69,22,54.0,24,71.46,4.8,1,0,64.389,63,1.134,37,67,41,529.63,3
7.495,22,53.0,24,65.549,5.2,2,0,59.698,58,1.13,36,62,40,533.64,3
6.585,24,54.0,25,82.683,4.1,0,0,73.207,74,1.117,38,77,41,508.71,0
6.025,24,57.0,25,82.833,2.7,0,0,73.93,73,1.135,41,76,44,564.67,4
6.585,24,55.0,25,83.893,5.3,0,0,74.534,75,1.119,39,78,42,524.71,0
7.222,12,40.0,14,51.256,7.0,1,0,47.61,43,1.192,31,44,32,481.37,9
6.32,29,67.5,33,73.34,3.0,2,0,67.371,66,1.111,44,71,49,625.73,3
