pXC50,nDB,nH,nBT,Se,nAT,Si,nN,nO,O.,nAB,Sp,Sv,nC,nBO,MW
6.0,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.0,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.268,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.077,5,47,105.0,99.098,99.0,111.759,7,5,5.1,22,65.188,61.447,39,58,726.0
6.0,9,68,152.0,148.396,147.0,166.167,10,11,7.5,28,96.433,91.728,56,84,1121.48
7.018,9,70,155.0,151.279,150.0,169.582,10,11,7.3,28,98.194,93.255,57,85,1135.51
6.662,9,70,155.0,151.279,150.0,169.582,10,11,7.3,28,98.194,93.255,57,85,1135.51
6.446,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
7.658,9,68,152.0,148.396,147.0,166.167,10,11,7.5,28,96.433,91.728,56,84,1121.48
6.0,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.633,3,37,82.0,77.629,78.0,87.763,5,3,3.8,22,51.574,48.68,33,45,551.75
7.569,3,35,79.0,74.745,75.0,84.348,5,3,4.0,22,49.813,47.153,32,44,537.72
7.102,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.0,9,64,146.0,142.628,141.0,159.337,10,11,7.8,28,92.91,88.675,54,82,1093.42
6.0,12,73,171.0,167.985,165.0,187.52,16,13,7.9,28,108.234,104.114,60,98,1326.08
6.0,9,70,162.0,158.025,156.0,176.606,13,11,7.1,33,103.308,98.62,59,92,1237.01
6.0,9,68,152.0,148.396,147.0,166.167,10,11,7.5,28,96.433,91.728,56,84,1121.48
6.412,3,39,89.0,83.512,84.0,94.178,5,3,3.6,27,56.336,53.207,37,50,601.81
6.0,12,74,173.0,169.766,167.0,189.437,15,13,7.8,29,109.989,105.619,62,99,1337.1
6.0,9,64,146.0,142.628,141.0,159.337,10,11,7.8,28,92.91,88.675,54,82,1093.42
6.0,9,69,159.0,154.596,153.0,172.898,12,10,6.5,33,101.847,96.884,59,90,1205.99
6.0,14,92,206.0,203.904,200.0,227.778,16,20,10.0,28,127.41,123.031,70,114,1541.92
6.0,10,71,165.0,161.126,159.0,180.104,14,11,6.9,33,105.313,100.641,60,94,1264.04
6.0,8,59,133.0,130.85,129.0,146.613,12,9,7.0,22,84.586,80.535,46,74,1023.76
6.429,5,43,97.0,92.33,92.0,103.929,7,5,5.4,22,60.665,57.393,36,54,685.93
6.0,9,69,159.0,154.596,153.0,172.898,12,10,6.5,33,101.847,96.884,59,90,1205.99
6.0,8,68,156.0,151.494,150.0,169.4,11,10,6.7,33,99.842,94.862,58,88,1178.96
6.0,14,113,246.0,242.595,239.0,272.08,18,21,8.8,33,152.348,145.884,84,133,1810.74
6.0,8,70,153.0,149.05,148.0,167.606,11,9,6.1,27,97.149,91.674,55,83,1128.95
6.0,10,70,160.0,157.345,155.0,176.188,15,11,7.1,28,101.558,97.136,56,90,1229.0
8.58,1,31,72.0,66.65,67.0,75.308,5,2,3.0,22,44.836,42.385,29,41,481.65
6.0,10,70,160.0,157.345,155.0,176.188,15,11,7.1,28,101.558,97.136,56,90,1229.0
6.0,16,98,221.0,219.628,215.0,245.257,19,21,9.8,24,137.262,132.691,74,123,1689.5
6.0,9,64,146.0,142.628,141.0,159.337,10,11,7.8,28,92.91,88.675,54,82,1093.42
6.381,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.0,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
6.0,11,69,159.0,156.472,154.0,174.666,13,13,8.4,29,100.597,96.695,57,90,1208.53
6.0,15,93,207.0,206.334,202.0,230.486,17,21,10.4,24,127.87,123.767,69,114,1560.93
6.0,13,95,211.0,208.341,205.0,233.134,16,18,8.8,29,131.882,126.483,73,116,1584.43
6.0,8,61,135.0,132.636,131.0,148.795,11,10,7.6,22,84.938,80.928,47,74,1004.33
7.699,10,74,172.0,166.039,165.0,185.785,12,10,6.1,40,110.512,105.11,67,98,1271.67
6.348,8,72,163.0,158.006,157.0,177.007,11,10,6.4,34,106.166,99.405,61,91,1310.48
8.444,11,95,208.0,204.112,202.0,228.91,14,16,7.9,34,132.524,125.026,74,113,1627.87
8.2,8,71,155.0,149.894,149.0,169.403,13,9,6.0,28,95.245,90.989,56,84,1070.4
6.967,7,64,141.0,136.646,136.0,153.709,10,8,5.9,28,89.546,84.53,52,77,1021.4
8.67,1,31,73.0,67.978,68.0,76.517,5,3,4.4,22,45.29,43.1,29,42,497.65
8.215,12,105,219.0,215.522,214.0,243.358,16,15,7.0,28,138.126,129.461,75,114,1662.0
7.509,11,96,207.0,202.715,201.0,227.98,14,15,7.5,34,129.41,122.995,74,111,1485.98
6.228,7,63,142.0,138.043,137.0,154.639,10,9,6.6,28,92.66,86.562,52,79,1163.29
6.0,9,77,181.0,173.875,173.0,194.336,12,10,5.8,45,118.694,111.48,71,104,1449.64
8.409,8,66,147.0,142.857,142.0,160.333,10,9,6.3,29,93.762,88.772,55,81,1075.45
8.328,7,59,134.0,129.777,129.0,145.38,9,8,6.2,29,86.018,81.455,51,75,990.33
6.724,9,79,183.0,175.588,175.0,196.532,11,10,5.7,46,117.791,111.669,73,104,1334.77
7.854,8,73,162.0,156.61,156.0,176.077,11,9,5.8,34,103.052,97.374,61,89,1168.59
6.0,9,74,171.0,165.366,164.0,184.994,12,11,6.7,39,108.967,103.825,65,97,1263.65
6.824,9,80,177.0,172.344,171.0,193.449,12,12,7.0,34,111.705,106.12,65,97,1285.71
6.0,8,72,161.0,155.835,155.0,174.788,10,10,6.5,34,102.501,97.067,61,89,1169.57
6.276,7,59,134.0,129.777,129.0,145.38,9,8,6.2,29,86.018,81.455,51,75,990.33
9.049,9,74,169.0,164.217,163.0,183.632,11,11,6.7,35,110.382,103.647,64,95,1364.53
6.0,10,74,172.0,166.039,165.0,185.785,12,10,6.1,40,110.512,105.11,67,98,1271.67
7.668,12,105,229.0,224.006,222.0,251.558,15,17,7.7,40,143.37,136.553,83,124,1649.17
6.0,9,67,156.0,151.941,150.0,169.46,11,12,8.0,33,99.131,94.938,58,89,1174.5
9.577,9,75,169.0,164.148,163.0,183.911,11,11,6.7,35,107.722,102.33,64,94,1238.64
8.481,12,98,214.0,210.253,208.0,235.814,14,17,8.2,35,134.081,127.951,77,116,1556.03
7.013,9,75,169.0,164.148,163.0,183.911,11,11,6.7,35,107.722,102.33,64,94,1238.64
8.602,11,96,209.0,204.886,203.0,230.199,15,15,7.4,34,133.075,125.333,74,113,1626.89
6.724,9,84,182.0,176.784,176.0,199.07,12,11,6.3,34,114.774,108.459,67,98,1297.77
6.449,7,67,156.0,149.483,149.0,167.26,10,8,5.4,39,102.728,95.901,61,89,1259.42
9.032,15,102,221.0,219.315,216.0,246.226,18,19,8.8,28,137.012,131.466,75,119,1624.09
7.77,11,98,211.0,206.926,205.0,232.605,14,16,7.8,34,131.626,125.236,75,113,1516.01
7.432,8,66,147.0,142.857,142.0,160.333,10,9,6.3,29,93.762,88.772,55,81,1075.45
5.614,3,41,86.0,80.068,81.0,91.384,5,2,2.5,16,52.643,49.019,33,45,539.79
8.796,3,41,86.0,80.068,81.0,91.384,5,2,2.5,16,52.643,49.019,33,45,539.79
6.0,6,56,119.0,115.312,115.0,130.417,8,7,6.1,22,73.501,69.818,44,63,809.08
6.3,2,34,75.0,70.392,71.0,79.56,4,2,2.8,21,48.0,44.604,30,41,514.75
6.39,2,38,83.0,77.159,78.0,87.39,4,2,2.6,21,52.523,48.658,33,45,554.82
5.621,3,47,98.0,94.021,94.0,106.839,7,5,5.3,20,59.54,56.26,35,51,645.89
