pXC50,C.019,nCconjX,nCXr.,C.036,nC.N.N.,P_VSA_MR_7,SsCl,NdsN,Cl.089,nCL,NsCl,P_VSA_e_4,CATS2D_02_DA,P_VSA_LogP_2,N.074,NssNH,D.Dtr06,P_VSA_m_4,CATS2D_03_AA,GATS1m,nR06,SpMax3_Bh.m.,Hy,Eig03_AEA.bo.,CATS2D_05_DL,P_VSA_LogP_6,CATS2D_04_DL,NdssC,nHDon,SAdon,CATS2D_07_DL,nRCONHR,H.050,MATS3s,CATS2D_06_DL,P_VSA_s_5,nArOR,GATS5m,CATS2D_03_DL,GATS2m,X.,nCsp2,P_VSA_LogP_8,CATS2D_03_DA,H.049,C.,TPSA.NO.,nCbH,nX,PCD,X5Av,P_VSA_LogP_5,P_VSA_p_3,P_VSA_v_3,nBnz,TPSA.Tot.,Eig03_EA.bo.,SM13_AEA.ri.,SssO,P_VSA_p_2,P_VSA_s_4,CATS2D_05_DA,GATS4m,SdsN,nR.Cs,P_VSA_v_2,CATS2D_03_AL
5.959,2,1,1,1,1,56.94,6.121,1,1,1,1,39.149,0,7.594,1,0,285.644,39.149,3,0.568,3,3.801,-0.707,4.017,0,0.0,0,4,0,0.0,0,0,0,0.089,0,0.0,2,0.835,0,0.671,2.2,17,39.149,0,1,44.4,79.65,8,1,2.992,0.02,66.092,185.376,185.376,2,79.65,3.596,3.596,15.749,102.954,107.567,0,0.881,4.044,2,102.954,14
5.208,1,0,0,2,1,25.715,0.0,1,0,0,0,0.0,0,3.002,1,0,278.006,0.0,3,0.723,3,3.721,-0.769,4.011,0,0.0,0,3,0,0.0,0,0,0,0.109,0,0.0,2,0.844,0,0.778,0.0,17,0.0,0,2,44.7,70.42,8,0,2.838,0.02,58.278,154.378,154.378,2,70.42,3.592,3.592,10.798,91.954,127.817,0,0.993,4.096,1,91.954,10
5.658,2,1,1,1,1,56.94,5.987,1,1,1,1,39.149,0,3.002,1,0,265.981,39.149,3,0.501,3,3.807,-0.684,4.054,0,0.0,0,3,0,0.0,0,0,0,0.054,0,0.0,1,0.89,0,0.551,10.5,16,46.908,0,1,47.4,44.12,8,4,2.847,0.02,86.915,168.411,168.411,2,44.12,3.6,3.6,5.421,55.81,96.684,0,0.874,3.97,2,100.69,8
6.162,2,1,1,1,1,96.089,12.041,1,2,2,2,78.297,0,3.002,1,0,236.787,78.297,3,0.492,3,3.807,-0.699,3.99,0,0.0,0,3,0,0.0,0,0,0,0.082,0,0.0,2,0.782,0,0.618,5.6,16,78.297,0,1,47.2,53.35,8,2,2.834,0.021,55.407,204.231,204.231,2,53.35,3.566,3.566,10.723,66.81,98.742,0,0.821,4.032,2,66.81,9
5.155,2,1,1,1,1,17.346,0.0,1,0,0,0,0.0,0,3.002,1,0,225.658,0.0,3,0.471,3,3.821,-0.729,3.943,0,0.0,0,3,0,0.0,0,0,0,0.161,0,45.954,2,0.739,0,0.594,2.8,16,45.954,0,1,47.2,53.35,9,1,2.8,0.022,51.906,177.418,177.418,2,53.35,3.455,3.455,10.829,66.81,108.218,0,0.733,4.135,2,66.81,10
6.387,2,1,1,1,1,56.94,6.106,1,1,1,1,39.149,0,3.002,1,0,248.612,39.149,3,0.559,3,3.79,-0.711,3.996,0,0.0,0,3,0,0.0,0,0,0,0.121,0,0.0,3,0.734,0,0.683,2.5,16,39.149,0,1,45.0,62.58,8,1,2.86,0.02,68.15,177.708,177.708,2,62.58,3.573,3.573,15.938,77.809,109.625,0,0.839,4.07,2,77.809,10
4.699,2,2,2,0,0,94.775,11.552,0,2,2,2,78.297,0,12.172,0,0,98.873,78.297,0,0.482,2,3.372,-0.734,3.596,0,11.771,0,3,0,0.0,0,0,0,0.165,0,0.0,0,0.705,0,0.551,8.0,11,78.297,0,0,48.0,22.0,4,2,1.928,0.026,5.942,161.199,161.199,1,22.0,2.874,2.874,0.0,28.269,68.378,0,0.812,0.0,3,28.269,4
5.481,0,0,0,0,0,44.819,6.221,0,1,1,1,39.149,0,23.362,0,0,440.308,39.149,3,0.624,4,3.798,-0.712,4.168,0,14.96,0,1,0,0.0,0,0,0,0.033,0,0.0,0,0.88,0,0.751,3.4,13,89.896,0,0,39.7,72.61,7,2,2.178,0.035,27.569,151.746,151.746,2,72.61,3.377,3.377,0.0,90.935,81.377,0,1.067,0.0,0,105.895,11
5.086,2,1,1,1,1,56.94,6.19,1,1,1,1,39.149,0,3.002,1,0,285.759,39.149,3,0.619,3,3.817,-0.742,4.098,0,0.0,0,3,0,0.0,0,0,0,0.128,0,0.0,3,0.724,0,0.658,2.0,16,39.149,0,1,42.9,62.58,7,1,2.911,0.021,71.335,189.068,189.068,2,62.58,3.642,3.642,16.244,77.809,117.799,0,0.733,4.135,2,77.809,6
5.268,2,2,2,0,0,85.299,11.728,1,2,2,2,78.297,0,3.002,1,0,113.069,78.297,2,0.489,2,3.39,-0.654,3.622,0,0.0,0,4,0,0.0,0,0,0,0.264,0,0.0,0,1.087,0,0.544,7.1,10,78.297,0,0,42.9,44.12,4,2,1.886,0.021,33.605,158.373,158.373,1,44.12,2.834,2.834,4.986,55.81,60.615,0,0.623,4.028,2,55.81,8
5.658,2,1,1,1,1,56.94,6.008,1,1,1,1,39.149,0,3.002,1,0,280.863,39.149,3,0.501,3,3.8,-0.659,4.057,0,0.0,0,3,0,0.0,0,0,0,0.037,0,0.0,2,0.873,0,0.536,10.3,16,48.966,0,1,46.2,53.35,8,4,2.855,0.02,99.972,172.526,172.526,2,53.35,3.57,3.57,9.252,66.81,96.684,0,0.738,3.982,2,111.69,10
5.796,2,1,1,1,1,56.94,6.197,1,1,1,1,39.149,0,3.002,1,0,274.397,39.149,3,0.643,3,3.815,-0.769,4.085,0,0.0,0,3,0,0.0,0,0,0,0.202,0,0.0,1,0.739,0,0.645,2.0,16,39.149,0,1,42.9,47.36,8,1,2.896,0.022,44.73,185.84,185.84,2,47.36,3.622,3.622,5.823,58.934,125.427,0,0.731,4.155,2,58.934,8
4.699,2,1,1,1,1,56.94,6.14,1,1,1,1,39.149,0,3.002,1,0,262.051,39.149,4,0.579,3,3.802,-0.722,4.041,0,0.0,0,3,0,0.0,0,0,0,0.168,0,0.0,3,0.839,0,0.65,2.3,16,39.149,0,1,44.2,62.58,7,1,2.86,0.021,71.335,180.242,180.242,2,62.58,3.596,3.596,16.166,77.809,108.974,0,0.798,4.089,2,77.809,10
6.167,2,1,1,1,1,56.94,6.122,1,1,1,1,39.149,0,5.536,1,0,238.672,39.149,3,0.595,3,3.8,-0.782,3.984,0,0.0,0,3,0,0.0,0,0,0,0.217,0,0.0,1,0.705,0,0.627,2.4,16,39.149,0,1,46.3,44.12,8,1,2.824,0.022,42.034,172.011,172.011,2,44.12,3.557,3.557,5.72,55.81,105.51,0,0.777,4.1,2,55.81,8
5.959,2,1,1,1,1,56.94,6.147,1,1,1,1,39.149,0,8.071,1,0,262.646,39.149,3,0.571,3,3.808,-0.76,4.021,0,0.0,0,3,0,0.0,0,0,0,0.218,0,0.0,2,0.739,0,0.711,2.3,16,39.149,0,1,46.5,53.35,8,1,2.88,0.022,55.092,169.836,169.836,2,53.35,3.588,3.588,10.83,66.81,98.742,0,0.867,4.14,2,66.81,10
6.187,2,1,1,1,1,56.94,6.187,1,1,1,1,39.149,0,13.14,1,0,310.417,39.149,3,0.592,4,3.806,-0.769,4.019,0,0.0,0,3,0,0.0,0,0,0,0.221,0,0.0,2,0.724,0,0.686,2.2,16,39.149,0,1,45.7,53.35,7,1,2.958,0.026,58.278,168.614,168.614,2,53.35,3.601,3.601,10.885,66.81,89.266,0,0.805,4.199,2,66.81,10
6.187,2,1,1,1,1,56.94,6.215,1,1,1,1,39.149,0,13.14,1,0,297.582,39.149,3,0.592,4,3.805,-0.769,4.013,0,0.0,0,3,0,0.0,0,0,0,0.225,0,0.0,2,0.753,0,0.686,2.2,16,39.149,0,1,45.7,53.35,7,1,3.016,0.026,58.278,168.614,168.614,2,53.35,3.597,3.597,10.924,66.81,89.266,0,0.799,4.258,2,66.81,11
4.796,2,1,1,1,1,135.237,18.0,1,3,3,3,117.446,0,3.002,1,0,263.495,117.446,3,0.491,3,3.835,-0.722,4.104,0,0.0,0,3,0,0.0,0,0,0,0.182,0,0.0,1,0.595,0,0.547,7.3,16,117.446,0,1,46.3,44.12,7,3,2.865,0.023,45.85,242.113,242.113,2,44.12,3.647,3.647,5.651,55.81,96.033,0,0.76,4.102,2,55.81,7
5.387,2,1,1,1,1,56.94,6.096,1,1,1,1,39.149,0,3.002,1,0,279.769,39.149,3,0.55,3,3.801,-0.696,4.022,0,0.0,0,4,0,0.0,0,0,0,0.103,0,0.0,2,0.847,0,0.669,2.4,17,39.149,0,1,45.2,79.65,8,1,2.954,0.02,66.092,182.841,182.841,2,79.65,3.598,3.598,15.388,102.954,109.625,0,0.934,4.028,2,102.954,14
6.006,2,1,1,1,1,56.94,6.12,1,1,1,1,39.149,0,7.594,1,0,252.736,39.149,3,0.586,3,3.794,-0.751,3.987,0,0.0,0,3,0,0.0,0,0,0,0.15,0,0.0,2,0.757,0,0.651,2.4,16,39.149,0,1,45.2,53.35,8,1,2.837,0.021,55.092,176.127,176.127,2,53.35,3.558,3.558,11.086,66.81,105.51,0,0.805,4.091,2,66.81,10
6.168,2,1,1,1,1,56.94,6.157,1,1,1,1,39.149,0,3.002,1,0,279.344,39.149,3,0.628,3,3.804,-0.769,4.038,0,0.0,0,3,0,0.0,0,0,0,0.151,0,0.0,2,0.733,0,0.615,2.1,16,39.149,0,1,43.8,53.35,8,1,2.867,0.021,55.092,191.243,191.243,2,53.35,3.605,3.605,10.839,66.81,125.218,0,0.715,4.142,2,66.81,10
5.678,2,1,1,1,1,56.94,6.148,1,1,1,1,39.149,1,21.013,1,1,293.914,39.149,3,0.616,3,3.815,-0.323,4.033,0,0.0,0,4,1,18.011,0,1,1,0.011,0,18.011,1,0.786,2,0.618,2.1,17,39.149,0,1,43.8,73.22,8,1,2.97,0.022,41.605,182.577,182.577,2,73.22,3.592,3.592,5.706,98.965,114.335,1,0.74,4.116,2,98.965,8
5.62,1,0,0,1,1,23.767,0.0,1,0,0,0,0.0,0,18.769,1,0,278.006,0.0,3,0.774,3,3.722,-0.806,4.011,0,0.0,0,3,0,0.0,0,0,0,0.185,0,0.0,2,0.93,0,0.787,0.0,18,0.0,0,1,44.9,53.35,8,0,2.838,0.02,58.278,168.197,168.197,2,53.35,3.592,3.592,10.998,66.81,125.869,0,1.027,4.256,2,66.81,12
5.921,2,1,1,1,1,56.94,5.92,1,1,1,1,39.149,0,3.002,1,0,318.866,39.149,3,0.481,3,3.806,-0.607,4.292,0,0.0,0,3,0,0.0,0,0,0,0.018,0,0.0,2,0.659,0,0.545,16.7,16,54.668,0,1,45.2,53.35,7,7,2.929,0.018,148.038,173.995,173.995,2,53.35,3.604,3.604,10.371,66.81,89.266,0,1.006,3.562,2,156.57,10
5.387,0,0,0,0,0,5.67,0.0,0,0,0,0,0.0,0,23.362,0,0,532.803,0.0,3,0.781,5,3.808,-0.788,4.191,0,0.0,0,1,0,0.0,0,0,0,0.047,0,0.0,0,1.066,0,0.947,0.0,17,50.747,0,0,42.2,72.61,11,0,3.31,0.033,20.094,143.026,143.026,3,72.61,3.381,3.381,0.0,90.935,119.282,0,1.084,0.0,0,90.935,13
5.357,0,0,0,0,0,83.967,12.57,0,2,2,2,78.297,0,23.362,0,0,442.135,78.297,3,0.578,4,3.808,-0.712,4.173,0,0.0,0,1,0,0.0,0,0,0,0.075,0,0.0,0,0.899,0,0.689,3.4,13,129.044,0,0,39.7,72.61,7,2,2.153,0.036,21.949,185.274,185.274,2,72.61,3.378,3.378,0.0,90.935,81.377,0,0.98,0.0,0,90.935,12
5.06,2,1,1,1,1,56.94,5.985,1,1,1,1,39.149,0,3.002,1,0,225.018,39.149,3,0.522,3,3.786,-0.241,3.964,0,14.96,0,3,1,42.683,0,0,1,-0.047,0,0.0,1,0.763,2,0.627,6.1,16,39.149,0,1,48.5,64.35,8,2,2.807,0.019,44.784,154.576,154.576,2,64.35,3.544,3.544,5.49,98.493,87.859,1,0.868,3.924,2,113.453,8
6.569,2,1,1,1,1,56.94,6.139,1,1,1,1,39.149,0,3.002,1,0,265.787,39.149,3,0.608,3,3.801,-0.76,4.009,0,0.0,0,3,0,0.0,0,0,0,0.196,0,0.0,2,0.725,0,0.651,2.2,16,39.149,0,1,44.4,53.35,8,1,2.856,0.021,55.092,182.417,182.417,2,53.35,3.582,3.582,10.815,66.81,116.393,0,0.8,4.124,2,66.81,10
4.959,0,0,0,0,0,5.67,0.0,0,0,0,0,0.0,0,23.362,0,0,427.42,0.0,3,0.818,4,3.77,-0.767,4.12,0,0.0,0,1,0,0.0,0,0,0,0.046,0,0.0,0,1.015,0,0.938,0.0,13,50.747,0,0,39.3,72.61,8,0,2.126,0.036,18.133,121.462,121.462,2,72.61,3.377,3.377,0.0,90.935,99.678,0,1.102,0.0,0,90.935,13
4.699,1,0,0,1,1,33.243,0.0,1,0,0,0,0.0,0,3.002,1,0,330.785,0.0,3,0.742,3,3.739,-0.767,4.013,0,0.0,0,4,0,0.0,0,0,0,0.094,0,0.0,2,0.836,0,0.786,0.0,19,0.0,0,1,43.6,79.65,8,0,2.812,0.02,69.277,179.981,179.981,2,79.65,3.596,3.596,15.676,102.954,146.228,0,1.055,4.257,3,102.954,14
6.187,2,1,1,1,1,56.94,6.123,1,1,1,1,39.149,0,3.002,1,0,265.787,39.149,3,0.626,3,3.809,-0.332,4.009,0,0.0,2,3,1,42.683,0,0,1,0.172,0,0.0,1,0.739,2,0.667,2.2,16,39.149,0,1,44.4,64.35,8,1,2.856,0.022,42.034,169.476,169.476,2,64.35,3.582,3.582,5.677,98.493,105.51,0,0.771,4.111,2,98.493,8
5.377,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,2,0,278.006,0.0,3,0.717,3,3.723,-0.769,4.015,0,0.0,0,3,0,0.0,0,0,0,0.132,0,16.602,2,0.818,0,0.753,0.0,16,0.0,0,1,45.7,77.14,8,0,2.86,0.02,89.337,159.555,159.555,2,77.14,3.598,3.598,10.811,97.869,116.393,0,0.978,4.105,1,97.869,10
4.699,2,1,1,1,1,56.94,6.182,1,1,1,1,39.149,0,16.779,1,0,307.652,39.149,4,0.638,3,3.811,-0.751,4.041,0,0.0,0,3,0,0.0,0,0,0,0.19,0,0.0,2,1.068,0,0.705,1.9,16,39.149,0,1,42.3,62.58,7,1,2.845,0.023,58.278,187.846,187.846,2,62.58,3.597,3.597,16.975,77.809,104.859,0,0.818,4.12,2,77.809,12
6.524,2,1,1,1,1,56.94,6.17,1,1,1,1,39.149,0,3.002,1,0,276.916,39.149,3,0.628,3,3.804,-0.769,4.021,0,0.0,0,3,0,0.0,0,0,0,0.188,0,0.0,2,0.804,0,0.629,2.1,16,39.149,0,1,43.8,53.35,7,1,2.873,0.021,58.278,184.952,184.952,2,53.35,3.602,3.602,10.857,66.81,115.742,0,0.797,4.166,2,66.81,10
4.72,2,1,1,1,1,56.94,6.063,1,1,1,1,39.149,0,3.002,1,0,211.887,39.149,3,0.547,3,3.772,-0.762,3.852,0,0.0,0,3,0,0.0,0,0,0,0.184,0,0.0,1,0.763,0,0.636,2.9,16,39.149,0,1,48.6,44.12,9,1,2.784,0.021,38.849,166.942,166.942,2,44.12,3.397,3.397,5.621,55.81,106.161,0,0.737,4.072,2,55.81,8
5.013,2,1,1,1,1,56.94,6.075,1,1,1,1,39.149,0,3.002,1,0,245.525,39.149,4,0.539,3,3.801,-0.711,4.029,0,14.96,0,3,0,0.0,0,0,0,0.02,0,0.0,2,0.768,0,0.612,5.1,16,39.149,0,1,46.2,53.35,7,2,2.9,0.02,64.213,173.237,173.237,2,53.35,3.588,3.588,10.679,66.81,98.091,0,0.775,4.038,2,81.77,9
5.252,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,1,0,278.006,0.0,3,0.783,3,3.714,-0.346,4.01,0,0.0,0,3,1,42.683,4,0,1,0.127,2,0.0,2,0.91,0,0.811,0.0,16,0.0,0,1,42.9,73.58,8,0,2.816,0.02,58.278,142.954,142.954,2,73.58,3.587,3.587,10.886,109.493,116.393,2,1.024,4.168,1,109.493,10
4.703,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,1,0,278.838,31.278,3,0.683,3,3.83,-0.778,4.028,0,13.13,0,3,0,0.0,0,0,0,0.144,0,0.0,2,0.715,0,0.852,0.0,20,0.0,0,1,47.8,53.35,8,0,2.853,0.022,58.278,193.366,193.366,2,81.59,3.627,3.627,11.21,66.81,134.169,0,0.907,4.375,1,66.81,10
4.699,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,1,0,383.065,0.0,3,0.713,4,3.809,-0.819,4.026,0,0.0,0,3,0,0.0,0,0,0,0.142,0,0.0,2,0.843,0,0.811,0.0,22,0.0,0,1,49.0,53.35,13,0,2.977,0.02,61.463,184.695,184.695,3,53.35,3.625,3.625,11.243,66.81,154.949,0,0.974,4.388,1,66.81,12
5.201,2,1,1,1,1,56.94,6.187,1,1,1,1,39.149,0,7.594,1,0,265.899,39.149,2,0.586,3,3.792,-0.751,3.989,0,0.0,0,3,0,0.0,0,0,0,0.18,0,0.0,2,0.84,0,0.651,2.4,16,39.149,0,1,45.2,53.35,8,1,2.662,0.022,55.092,176.127,176.127,2,53.35,3.56,3.56,11.049,66.81,105.51,0,0.944,4.152,2,66.81,11
4.914,2,1,1,1,1,56.94,6.05,1,1,1,1,39.149,0,3.002,1,0,307.978,39.149,3,0.533,3,3.813,-0.683,4.117,0,0.0,0,3,0,0.0,0,0,0,0.065,0,0.0,2,0.823,0,0.541,8.9,16,48.966,0,1,44.4,53.35,8,4,2.894,0.02,99.972,181.352,181.352,2,53.35,3.601,3.601,9.307,66.81,105.51,0,0.719,4.026,2,111.69,10
5.602,2,1,1,1,1,56.94,6.111,1,1,1,1,39.149,0,3.002,1,0,252.133,39.149,3,0.62,3,3.799,0.273,3.986,0,0.0,0,3,2,32.897,0,0,2,0.168,0,0.0,1,0.717,2,0.624,2.3,16,39.149,0,1,44.2,70.14,8,1,2.836,0.021,41.605,169.048,169.048,2,70.14,3.565,3.565,5.658,88.707,105.51,1,0.754,4.111,2,88.707,8
5.125,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,1,0,265.787,0.0,3,0.783,3,3.708,-0.798,4.009,0,0.0,0,3,0,0.0,0,0,0,0.18,0,0.0,2,0.962,0,0.761,0.0,16,0.0,0,1,43.8,53.35,8,0,2.856,0.021,58.278,151.779,151.779,2,53.35,3.582,3.582,10.973,66.81,125.218,0,1.069,4.256,1,66.81,12
6.11,2,1,1,1,1,56.94,5.996,1,1,1,1,39.149,0,3.002,1,0,272.262,39.149,3,0.501,3,3.803,-0.659,4.032,0,0.0,0,3,0,0.0,0,0,0,0.04,0,0.0,2,0.794,0,0.596,10.3,16,46.908,0,1,46.2,53.35,8,4,2.896,0.019,99.972,172.526,172.526,2,53.35,3.602,3.602,10.549,66.81,98.742,0,0.925,3.806,2,111.69,10
6.187,2,1,1,1,1,56.94,6.157,1,1,1,1,39.149,0,5.536,1,0,279.769,39.149,3,0.628,3,3.803,-0.769,4.011,0,0.0,0,3,0,0.0,0,0,0,0.23,0,0.0,2,0.704,0,0.671,2.1,16,39.149,0,1,43.8,53.35,8,1,2.867,0.022,55.092,184.952,184.952,2,53.35,3.583,3.583,10.841,66.81,116.393,0,0.822,4.145,2,66.81,10
4.699,2,1,1,1,1,56.94,6.155,1,1,1,1,39.149,0,19.313,1,0,313.061,39.149,4,0.638,3,3.784,-0.751,3.974,0,0.0,0,3,0,0.0,0,0,0,0.185,0,0.0,2,1.117,0,0.745,1.9,16,39.149,0,1,42.3,62.58,8,1,2.784,0.024,55.092,187.846,187.846,2,62.58,3.468,3.468,16.963,77.809,105.51,0,0.826,4.096,2,77.809,11
5.854,2,1,1,1,1,56.94,6.143,1,1,1,1,39.149,0,3.002,1,0,246.369,39.149,3,0.586,3,3.799,-0.751,4.006,0,0.0,0,3,0,0.0,0,0,0,0.151,0,0.0,2,0.729,0,0.615,2.4,16,39.149,0,1,45.2,53.35,7,1,2.887,0.022,58.278,176.127,176.127,2,53.35,3.59,3.59,10.822,66.81,106.916,0,0.795,4.152,2,66.81,11
5.0,2,1,1,1,1,56.94,6.073,1,1,1,1,39.149,0,3.002,1,0,234.901,39.149,3,0.543,3,3.802,-0.74,4.028,0,14.96,0,3,0,0.0,0,0,0,0.023,0,0.0,1,0.805,0,0.571,5.3,16,39.149,0,1,47.4,44.12,7,2,2.86,0.021,51.155,169.121,169.121,2,44.12,3.587,3.587,5.64,55.81,96.033,0,0.802,4.049,2,70.77,9
6.553,2,1,1,1,1,56.94,6.154,1,1,1,1,39.149,0,3.002,1,0,260.437,39.149,3,0.608,3,3.8,-0.76,4.008,0,0.0,0,3,0,0.0,0,0,0,0.191,0,0.0,2,0.719,0,0.651,2.2,16,39.149,0,1,44.4,53.35,8,1,2.88,0.022,55.092,182.417,182.417,2,53.35,3.584,3.584,10.835,66.81,116.393,0,0.773,4.15,2,66.81,10
6.142,2,1,1,1,1,17.346,0.0,1,0,0,0,0.0,0,7.594,1,0,279.851,0.0,3,0.504,3,3.838,-0.769,4.012,0,0.0,0,3,0,0.0,0,0,0,0.178,0,45.954,2,0.661,0,0.569,2.1,16,45.954,0,1,43.8,53.35,8,1,2.872,0.024,55.092,191.312,191.312,2,53.35,3.583,3.583,11.243,66.81,114.335,0,0.668,4.221,2,66.81,10
6.445,2,1,1,1,1,56.94,6.19,1,1,1,1,39.149,0,3.002,1,0,297.582,39.149,3,0.547,4,3.807,-0.769,4.016,0,0.0,0,3,0,0.0,0,0,0,0.172,0,0.0,2,0.758,0,0.678,2.4,20,39.149,0,1,50.0,53.35,11,1,4.077,0.021,57.052,195.156,195.156,3,53.35,3.603,3.603,10.88,66.81,127.171,0,0.82,4.2,2,66.81,11
4.796,2,1,1,1,1,56.94,6.2,1,1,1,1,39.149,0,15.407,1,0,309.577,39.149,3,0.665,3,3.758,-0.717,4.047,0,6.763,0,4,0,0.0,0,0,0,0.014,0,0.0,0,1.107,0,0.641,1.8,11,39.149,0,1,38.2,73.66,4,1,1.871,0.027,33.605,156.836,156.836,1,73.66,3.279,3.279,11.353,95.079,88.379,0,0.701,4.124,2,95.079,6
5.553,2,1,1,1,1,56.94,6.078,1,1,1,1,39.149,0,3.002,2,0,248.612,39.149,3,0.526,3,3.797,-0.711,4.008,0,0.0,0,3,0,0.0,0,0,0,0.09,0,16.602,2,0.779,0,0.665,2.7,16,39.149,0,1,48.6,77.14,8,1,3.07,0.02,86.151,181.369,181.369,2,77.14,3.585,3.585,10.714,97.869,98.742,0,0.842,4.016,2,97.869,12
4.699,2,0,0,1,1,17.048,0.0,1,0,0,0,0.0,0,14.817,1,0,420.541,0.0,5,0.822,4,3.758,-0.799,4.017,0,0.0,0,3,0,0.0,0,0,0,0.22,0,0.0,2,0.902,0,0.873,0.0,16,0.0,0,1,41.7,56.59,8,0,2.556,0.025,58.216,154.34,154.34,2,56.59,3.598,3.598,11.372,69.934,119.517,0,0.942,4.49,2,69.934,9
6.542,2,1,1,1,1,135.237,18.052,1,3,3,3,117.446,0,3.002,1,0,247.916,117.446,3,0.471,3,3.807,-0.672,4.007,0,0.0,0,3,0,0.0,0,0,0,-0.016,0,0.0,2,0.806,0,0.593,8.3,16,117.446,0,1,47.2,53.35,7,3,2.859,0.021,58.908,237.404,237.404,2,53.35,3.592,3.592,10.719,66.81,89.266,0,0.637,4.015,2,66.81,8
4.943,2,1,1,1,1,56.94,5.95,1,1,1,1,39.149,0,3.002,1,0,234.901,39.149,3,0.5,3,3.801,-0.699,4.028,0,29.92,0,3,0,0.0,0,0,0,-0.013,0,0.0,1,0.741,0,0.578,8.6,16,39.149,0,1,48.6,44.12,7,3,2.86,0.019,57.091,166.231,166.231,2,44.12,3.587,3.587,5.265,55.81,87.208,0,0.776,3.955,2,85.73,8
5.796,2,1,1,1,1,56.94,6.163,1,1,1,1,39.149,0,7.594,1,0,308.641,39.149,3,0.613,3,3.815,-0.751,4.016,0,0.0,0,4,0,0.0,0,0,0,0.028,0,0.0,1,0.706,0,0.645,2.0,17,39.149,0,1,44.0,70.42,8,1,2.973,0.022,53.034,190.085,190.085,2,70.42,3.584,3.584,10.681,91.954,114.335,0,0.801,4.124,2,91.954,10
5.638,0,0,0,0,0,83.967,12.218,0,2,2,2,78.297,0,23.362,0,0,446.1,78.297,3,0.578,4,3.813,-0.712,4.165,0,0.0,0,1,0,0.0,0,0,0,0.069,0,0.0,0,0.82,0,0.689,3.4,13,129.044,0,0,39.7,72.61,7,2,2.118,0.036,21.949,185.274,185.274,2,72.61,3.379,3.379,0.0,90.935,81.377,0,0.852,0.0,0,90.935,13
4.845,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,3.002,1,0,278.838,0.0,3,0.677,3,3.813,-0.778,4.028,0,17.22,0,3,0,0.0,0,0,0,0.105,0,0.0,2,0.807,0,0.782,0.0,20,0.0,0,1,47.8,66.49,8,0,2.853,0.019,67.785,170.269,170.269,2,66.49,3.627,3.627,11.126,76.317,138.259,0,0.949,4.308,1,76.317,10
5.886,2,1,1,1,1,56.94,6.143,1,1,1,1,39.149,0,3.002,1,0,246.369,39.149,3,0.586,3,3.799,-0.751,4.01,0,0.0,0,3,0,0.0,0,0,0,0.175,0,0.0,2,0.687,0,0.615,2.4,16,39.149,0,1,45.2,53.35,7,1,2.887,0.021,58.278,176.127,176.127,2,53.35,3.595,3.595,10.822,66.81,106.916,0,0.87,4.152,2,66.81,11
4.971,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,5.536,1,0,278.006,0.0,3,0.806,3,3.718,-0.806,4.01,0,0.0,0,3,0,0.0,0,0,0,0.194,0,0.0,2,0.992,0,0.789,0.0,16,0.0,0,1,43.1,53.35,8,0,2.816,0.021,58.278,154.313,154.313,2,53.35,3.587,3.587,11.086,66.81,125.218,0,1.061,4.328,1,66.81,12
5.155,2,1,1,1,1,56.94,6.165,1,1,1,1,39.149,0,3.002,1,0,251.139,39.149,2,0.565,3,3.79,-0.74,3.986,0,0.0,0,3,0,0.0,0,0,0,0.186,0,0.0,2,0.803,0,0.643,2.6,16,39.149,0,1,46.2,53.35,8,1,2.651,0.021,55.092,173.592,173.592,2,53.35,3.559,3.559,10.724,66.81,107.567,0,0.951,4.139,2,66.81,11
5.208,1,0,0,1,1,14.291,0.0,1,0,0,0,0.0,0,8.071,1,0,260.045,0.0,3,0.734,3,3.785,-0.798,4.015,0,0.0,0,3,0,0.0,0,0,0,0.177,0,0.0,2,0.958,0,0.838,0.0,16,0.0,0,1,45.7,53.35,8,0,2.672,0.021,58.278,139.198,139.198,2,53.35,3.586,3.586,11.168,66.81,107.567,0,1.042,4.373,1,66.81,12
6.244,2,1,1,1,1,56.94,6.103,1,1,1,1,39.149,0,3.002,1,0,236.787,39.149,3,0.565,3,3.792,-0.74,3.99,0,0.0,0,3,0,0.0,0,0,0,0.146,0,0.0,2,0.777,0,0.643,2.6,16,39.149,0,1,46.2,53.35,8,1,2.834,0.021,55.092,173.592,173.592,2,53.35,3.566,3.566,10.768,66.81,107.567,0,0.775,4.091,2,66.81,10
6.567,2,1,1,1,1,56.94,6.134,1,1,1,1,39.149,0,3.002,1,0,247.916,39.149,3,0.586,3,3.8,-0.751,4.007,0,0.0,0,3,0,0.0,0,0,0,0.123,0,0.0,2,0.864,0,0.615,2.4,16,39.149,0,1,45.2,53.35,7,1,2.859,0.021,58.278,176.127,176.127,2,53.35,3.592,3.592,10.81,66.81,106.916,0,0.718,4.132,2,66.81,10
