pXC50,nCsp3,nC,MW,RBN,nSK,Se,SCBO,nAT,Si,nBT,nDB,Sp,Sv,nCsp2,nBO,nHet,nH,nCsp,nTB
7.5,0,14,413.08,3,21,32.836,30.0,32,35.673,33,2,24.438,23.178,14,22,7,11,0,0
4.2,1,13,210.25,1,16,26.065,25.0,26,28.867,28,1,18.512,17.865,12,18,3,10,0,0
8.3,6,28,499.59,4,37,63.723,55.0,63,71.027,67,1,42.705,41.429,20,41,9,26,2,1
7.6,8,22,437.63,6,31,57.952,43.5,58,65.77,61,1,38.756,36.32,14,34,9,27,0,0
6.9,6,21,375.53,5,28,52.665,40.5,53,60.225,56,1,34.893,32.891,15,31,7,25,0,0
5.6,1,16,373.23,3,23,36.709,34.5,36,40.33,38,1,26.091,25.174,15,25,7,13,0,0
5.6,2,23,383.49,6,29,49.905,45.0,50,56.023,53,2,34.574,33.036,21,32,6,21,0,0
8.699,1,20,359.42,3,27,44.465,42.0,44,49.402,47,1,30.506,29.697,19,30,7,17,0,0
5.8,4,28,542.68,6,38,60.822,58.5,60,66.408,65,2,43.989,42.06,24,43,10,22,0,0
5.6,4,29,545.66,7,39,66.949,58.0,66,73.654,70,3,45.529,43.862,25,43,10,27,0,0
6.3,6,20,352.48,8,26,49.898,37.0,50,56.564,52,1,32.546,30.783,14,28,6,24,0,0
7.2,11,29,527.69,8,39,72.181,57.0,72,81.514,77,0,47.302,45.143,18,44,10,33,0,0
5.6,0,13,291.15,2,19,27.705,29.5,27,30.127,29,0,21.023,20.321,13,21,6,8,0,0
5.8,3,15,297.35,5,22,37.582,32.0,37,41.986,38,1,24.745,24.171,11,23,7,15,1,1
5.6,2,15,363.31,4,21,36.014,31.0,36,40.246,38,0,26.591,24.459,13,23,6,15,0,0
5.6,2,22,374.45,4,28,47.316,43.0,47,52.864,50,1,32.506,31.398,20,31,6,19,0,0
5.6,3,21,376.52,5,27,46.88,41.5,47,52.444,50,1,33.216,31.202,18,30,6,20,0,0
4.1,2,13,243.29,2,18,31.378,26.0,31,34.99,32,4,20.733,20.128,11,19,5,13,0,0
5.6,3,18,303.4,3,23,39.811,36.5,40,44.983,43,0,27.597,26.268,15,26,5,17,0,0
5.6,1,20,359.42,3,27,44.465,42.0,44,49.402,47,1,30.506,29.697,19,30,7,17,0,0
5.6,3,18,339.45,5,24,41.222,35.5,41,45.74,43,1,28.904,27.369,15,26,6,17,0,0
5.6,0,13,301.16,2,18,27.287,28.5,27,30.08,29,0,20.659,19.691,13,20,5,9,0,0
5.6,7,23,454.53,7,33,58.127,47.0,57,65.24,60,0,37.432,36.593,16,36,10,24,0,0
7.6,9,22,425.54,8,31,58.538,42.5,58,65.896,61,0,37.222,35.761,13,34,9,27,0,0
6.0,6,19,391.44,7,28,49.327,39.0,48,55.457,50,1,31.148,30.713,13,30,9,20,0,0
6.4,5,19,372.86,3,26,44.64,38.0,44,49.808,47,1,30.364,29.226,14,29,7,18,0,0
5.6,9,25,464.6,9,34,63.381,48.0,63,71.731,66,0,41.017,39.263,16,37,9,29,0,0
5.6,4,17,444.23,5,27,42.24,37.5,40,45.89,42,3,27.875,28.071,13,29,10,13,0,0
5.6,3,13,278.78,1,18,29.349,26.5,29,32.146,31,1,21.779,20.406,10,20,5,11,0,0
5.6,0,21,377.85,4,27,43.469,41.5,43,47.764,46,0,31.114,30.009,21,30,6,16,0,0
5.6,1,23,439.54,4,32,49.534,53.0,49,54.694,54,1,35.949,34.686,22,37,9,17,0,0
5.6,3,18,306.41,2,22,35.909,35.0,36,39.617,39,0,26.682,25.106,13,25,4,14,2,1
8.3,1,21,391.44,4,29,47.862,44.0,47,53.156,50,1,32.205,31.608,20,32,8,18,0,0
5.6,2,17,276.37,3,21,36.709,32.0,37,41.484,39,0,25.591,24.246,15,23,4,16,0,0
5.6,3,17,315.35,4,23,38.843,34.0,38,43.29,40,1,25.676,25.233,14,25,6,15,0,0
8.699,2,22,389.47,3,29,49.418,44.0,49,55.362,52,1,33.512,32.42,20,32,7,20,0,0
5.6,8,34,560.7,8,42,74.087,62.0,74,82.644,79,1,50.5,48.32,25,47,8,32,1,1
5.6,2,25,394.51,6,30,51.687,46.5,52,57.939,55,2,36.33,34.542,23,33,5,22,0,0
6.9,5,18,305.36,1,23,38.262,35.0,38,42.405,41,1,26.495,25.655,12,26,5,15,1,1
8.6,2,21,426.44,3,31,49.661,46.0,48,55.125,51,1,32.631,32.681,19,34,10,17,0,0
5.6,0,12,261.75,2,17,25.356,27.0,25,27.605,27,0,19.807,18.659,12,19,5,8,0,0
5.6,3,21,332.43,6,25,44.811,37.0,45,50.152,47,1,30.773,29.214,18,27,4,20,0,0
5.6,2,18,430.98,6,28,43.833,42.5,43,48.059,46,1,32.449,30.679,16,31,10,15,0,0
5.6,6,15,273.37,3,20,39.029,27.0,39,44.235,40,3,25.017,23.708,9,21,5,19,0,0
6.4,4,17,342.46,5,24,42.323,34.0,42,47.238,44,2,28.909,27.39,13,26,7,18,0,0
5.6,6,19,399.82,6,27,45.782,36.0,44,50.242,46,1,29.654,29.411,13,29,8,17,0,0
5.6,2,19,348.39,3,26,42.691,40.5,42,47.113,45,1,28.955,28.391,17,29,7,16,0,0
5.6,1,22,384.45,4,29,46.425,46.5,46,51.821,50,0,32.54,31.673,21,33,7,17,0,0
8.699,3,22,386.5,3,29,51.007,44.0,51,57.521,54,1,34.58,33.058,19,32,7,22,0,0
5.6,9,24,448.55,4,33,58.614,47.0,58,65.9,62,4,38.495,37.209,15,37,9,25,0,0
4.6,2,8,195.27,1,13,22.36,19.5,22,24.87,23,1,15.404,14.547,6,14,5,9,0,0
6.2,0,17,260.31,1,20,31.949,33.0,32,35.282,35,2,23.273,22.392,17,23,3,12,0,0
6.0,4,25,505.6,6,36,60.174,55.0,59,66.195,63,4,40.801,39.609,21,40,11,23,0,0
5.6,4,21,451.56,7,32,53.956,47.5,53,59.943,56,2,36.381,35.169,17,35,11,21,0,0
5.4,5,12,232.32,2,17,33.036,24.0,33,37.694,34,1,21.046,19.961,7,18,5,16,0,0
5.6,3,18,360.37,3,26,42.458,37.5,41,47.128,43,1,27.62,27.638,15,28,8,15,0,0
5.6,6,22,420.49,4,31,52.847,46.5,52,59.07,56,1,34.972,34.156,16,35,9,21,0,0
5.6,1,17,367.49,3,25,38.524,39.5,38,42.202,41,1,28.824,27.303,16,28,8,13,0,0
7.0,2,19,292.38,4,22,38.785,33.0,39,43.658,41,0,27.04,25.641,17,24,3,17,0,0
6.7,6,17,343.85,3,24,42.345,35.0,42,47.551,45,0,28.671,27.337,11,27,7,18,0,0
5.6,5,21,390.49,7,29,51.334,43.5,51,57.73,54,1,34.034,32.772,16,32,8,22,0,0
8.801,1,21,393.43,3,29,47.047,44.0,46,52.287,49,1,31.688,31.276,20,32,8,17,0,0
5.6,6,18,340.49,3,24,43.88,35.5,44,49.444,47,1,30.216,28.202,12,27,6,20,0,0
5.6,2,20,363.47,5,26,43.222,40.5,43,47.74,46,1,30.904,29.369,18,29,6,17,0,0
5.6,1,18,475.36,7,29,45.316,44.0,44,49.456,46,2,32.205,31.119,16,31,11,15,1,1
7.0,10,28,548.1,8,39,69.621,57.0,69,78.043,74,0,46.398,44.443,18,44,11,30,0,0
4.6,0,12,210.26,1,16,26.058,26.0,26,29.239,28,0,18.307,17.666,12,18,4,10,0,0
5.6,8,20,355.48,9,26,51.007,35.5,51,57.69,53,2,32.756,31.003,12,28,6,25,0,0
5.6,4,19,374.4,4,27,45.341,38.5,44,50.543,46,1,29.381,29.165,15,29,8,17,0,0
5.6,1,15,285.75,3,20,32.374,31.0,32,35.724,34,1,23.137,22.241,14,22,5,12,0,0
5.6,5,19,352.5,4,25,44.88,37.5,45,50.444,48,2,31.216,29.202,14,28,6,20,0,0
5.6,6,22,406.51,6,30,53.403,44.0,53,60.276,56,0,35.279,33.968,16,33,8,23,0,0
5.6,3,23,400.47,6,30,50.458,46.0,50,55.943,54,1,34.478,33.444,20,34,7,20,0,0
5.6,3,20,446.4,8,27,47.218,40.5,47,52.412,49,3,33.779,31.447,17,29,7,20,0,0
4.0,0,11,244.3,2,17,25.578,27.5,25,27.953,27,1,18.648,18.041,11,19,6,8,0,0
6.7,1,21,428.47,3,30,46.534,45.0,45,51.048,48,1,32.267,31.825,20,33,9,15,0,0
5.6,5,18,331.82,6,23,41.36,32.0,41,45.807,43,1,28.08,26.735,13,25,5,18,0,0
8.0,1,26,469.58,4,34,54.494,53.0,54,60.282,58,1,39.159,37.607,25,38,8,20,0,0
6.9,1,29,502.64,6,37,59.083,59.5,59,65.441,64,1,43.228,41.245,28,42,8,22,0,0
6.6,6,14,277.36,3,20,39.356,26.0,39,44.445,40,2,24.472,23.423,8,21,6,19,0,0
5.6,2,17,377.37,3,26,37.993,39.5,36,40.929,39,0,26.193,26.465,15,29,9,10,0,0
5.6,0,18,365.45,4,26,41.658,42.0,41,45.906,44,2,29.392,28.358,18,29,8,15,0,0
5.6,2,22,425.97,5,29,49.313,42.0,49,54.515,51,2,35.284,33.25,20,31,7,20,0,0
7.3,0,22,383.51,3,28,44.887,46.0,45,49.903,49,1,33.245,31.455,22,32,6,17,0,0
6.0,10,28,453.64,7,34,64.323,50.0,65,73.099,70,0,43.381,40.67,18,39,6,31,0,0
7.9,2,25,506.58,5,36,57.436,54.5,56,63.33,60,1,39.557,38.726,23,40,11,20,0,0
7.1,1,22,386.51,5,28,45.996,44.0,46,51.029,49,2,33.455,31.675,21,31,6,18,0,0
5.6,1,19,368.86,2,25,38.56,38.0,38,41.771,41,1,28.994,27.648,18,28,6,13,0,0
6.9,4,12,233.3,2,17,32.262,23.0,32,36.405,33,5,20.495,19.655,8,18,5,15,0,0
5.6,0,20,404.49,4,29,45.76,45.0,45,50.405,48,2,32.398,31.379,20,32,9,16,0,0
5.6,2,20,375.42,4,28,45.793,43.0,45,50.611,48,4,30.96,30.412,18,31,8,17,0,0
4.0,0,14,221.28,2,17,27.84,28.0,28,31.156,30,1,20.063,19.171,14,19,3,11,0,0
6.1,3,15,268.35,3,20,36.036,30.0,36,40.694,38,3,24.046,22.961,12,22,5,16,0,0
8.2,2,24,492.51,4,36,56.865,54.5,55,63.121,59,1,37.642,37.723,22,40,12,19,0,0
8.5,1,21,393.43,3,29,47.047,44.0,46,52.287,49,1,31.688,31.276,20,32,8,17,0,0
5.6,0,11,241.3,1,17,24.469,28.5,24,26.827,26,0,18.438,17.821,10,19,6,7,1,1
6.5,2,19,428.52,8,30,51.182,44.0,50,56.654,52,3,33.83,32.862,17,32,11,20,0,0
5.6,3,15,269.33,3,20,35.262,29.5,35,39.405,37,2,23.495,22.655,12,22,5,15,0,0
5.6,5,21,462.44,5,30,51.513,42.5,51,57.246,54,1,36.699,34.405,16,33,9,21,0,0
5.6,7,17,363.45,2,25,43.945,34.0,43,48.704,46,3,29.057,27.993,10,28,8,18,0,0
7.1,6,31,568.76,9,41,73.156,61.0,73,81.936,77,3,49.944,47.308,25,45,10,32,0,0
4.2,1,10,156.2,0,12,19.854,19.5,20,22.242,22,0,14.296,13.623,9,14,2,8,0,0
6.1,4,16,252.34,1,19,34.716,29.0,35,39.112,37,0,23.796,22.445,12,21,3,16,0,0
5.6,1,14,254.29,2,19,30.454,29.5,30,33.994,32,0,21.006,20.576,13,21,5,11,0,0
5.6,2,14,241.32,5,18,32.934,26.0,33,37.196,34,1,22.04,20.94,12,19,4,15,0,0
5.6,2,17,304.39,3,23,39.029,36.5,39,44.066,42,0,26.841,25.762,15,26,6,16,0,0
7.5,4,27,498.66,6,36,62.178,54.5,62,69.481,66,1,43.205,41.013,23,40,9,26,0,0
5.6,1,18,380.41,3,27,40.327,42.0,39,43.412,42,5,28.534,28.239,16,30,9,12,1,1
4.4,0,13,210.25,1,16,26.065,26.0,26,28.867,28,0,18.512,17.865,13,18,3,10,0,0
5.6,1,14,251.26,1,19,28.611,31.5,28,31.159,30,1,20.21,20.074,12,21,5,9,1,1
5.6,6,19,380.29,6,25,44.567,34.0,44,49.167,46,1,30.699,29.089,13,27,6,19,0,0
5.6,2,20,317.42,5,24,42.702,36.0,43,48.026,45,1,29.563,27.993,18,26,4,19,0,0
5.6,2,23,399.46,5,30,48.534,47.5,48,53.947,52,0,33.75,32.893,21,34,7,18,0,0
5.9,0,13,288.16,1,17,27.069,27.0,27,29.997,29,0,20.415,19.197,13,19,4,10,0,0
5.6,0,16,289.32,2,22,33.487,36.5,33,36.947,36,1,23.767,23.402,16,25,6,11,0,0
5.6,0,13,238.27,2,18,28.385,29.0,28,31.448,30,1,19.762,19.381,13,20,5,10,0,0
5.6,4,29,461.61,7,35,61.556,53.5,62,69.268,66,3,42.858,40.617,25,39,6,27,0,0
5.6,0,20,405.43,4,30,47.298,46.0,46,52.323,49,2,31.693,31.597,20,33,10,16,0,0
5.6,1,19,335.81,2,24,38.258,38.0,38,42.14,41,0,27.898,26.767,18,27,5,14,0,0
5.6,7,28,427.58,7,32,60.454,47.0,61,67.939,64,1,41.029,38.541,21,35,4,29,0,0
6.4,2,22,390.45,4,29,48.643,44.0,48,54.073,51,1,32.961,32.113,20,32,7,19,0,0
8.6,8,22,398.53,7,29,56.178,39.5,56,63.734,58,3,36.006,34.22,14,31,7,27,0,0
5.6,4,20,360.43,5,27,44.425,42.0,44,49.821,48,0,30.54,29.673,16,31,7,17,0,0
5.6,2,16,265.34,4,20,34.934,30.5,35,39.196,37,0,24.04,22.94,14,22,4,15,0,0
4.2,0,13,209.27,1,16,26.84,26.0,27,30.156,29,0,19.063,18.171,13,18,3,11,0,0
5.6,4,22,427.36,6,29,49.334,43.0,49,54.827,52,0,35.046,33.197,18,32,7,20,0,0
5.8,3,25,454.53,7,34,56.662,52.5,56,62.94,60,1,38.489,37.487,22,38,9,22,0,0
5.6,10,28,453.64,7,34,64.323,50.0,65,73.099,70,0,43.381,40.67,18,39,6,31,0,0
5.6,3,15,388.39,6,28,45.985,40.0,44,50.694,46,2,28.364,28.852,12,30,13,16,0,0
5.6,4,22,380.45,6,28,49.534,40.0,49,55.117,51,1,32.926,31.839,18,30,6,21,0,0
6.0,7,20,429.9,6,30,51.211,42.0,50,56.595,52,2,33.796,33.008,12,32,10,20,1,1
5.6,1,18,290.34,2,22,36.16,34.5,36,39.907,39,1,25.489,24.633,17,25,4,14,0,0
5.6,5,21,392.48,6,29,50.52,43.0,50,56.861,53,0,33.517,32.441,16,32,8,21,0,0
5.6,0,19,384.79,3,27,39.502,42.0,38,42.902,41,1,28.017,28.029,19,30,8,11,0,0
5.6,4,33,585.74,8,43,70.28,67.5,70,77.979,76,2,50.211,48.034,29,49,10,27,0,0
5.6,2,18,388.23,4,24,38.825,35.0,38,42.084,40,3,27.506,26.593,16,26,6,14,0,0
5.6,8,17,299.41,3,22,42.912,30.0,43,48.651,45,3,27.779,26.235,9,24,5,21,0,0
5.6,4,20,399.45,4,28,44.247,41.0,43,48.42,47,3,30.779,30.135,16,32,8,15,0,0
6.7,6,17,343.85,3,24,42.345,35.0,42,47.551,45,0,28.671,27.337,11,27,7,18,0,0
5.6,6,22,424.5,6,31,53.916,45.0,53,60.615,56,0,35.216,34.351,16,34,9,22,0,0
5.6,6,29,479.63,9,36,64.767,54.5,65,72.893,69,1,44.074,41.858,23,40,7,29,0,0
5.6,10,32,747.02,17,54,104.945,71.0,104,120.613,105,10,64.444,61.76,22,55,22,50,0,0
5.9,2,20,301.42,1,23,41.374,35.0,42,46.817,45,0,29.108,27.279,18,26,3,19,0,0
4.3,1,12,215.29,1,15,24.04,23.5,24,26.289,26,1,18.154,17.031,11,17,3,9,0,0
5.6,9,25,446.58,8,33,60.17,48.0,60,68.106,64,0,39.802,38.021,16,37,8,27,0,0
5.6,3,21,331.45,7,25,45.585,37.0,46,51.441,48,1,31.324,29.52,18,27,4,21,0,0
4.2,0,4,174.63,0,10,13.807,15.5,13,14.857,14,0,10.528,10.1,4,11,6,3,0,0
5.6,4,29,434.54,3,33,55.763,51.5,56,62.113,61,2,39.779,37.936,25,38,4,23,0,0
5.8,10,18,373.53,5,26,49.192,39.0,49,55.567,53,2,32.438,30.465,8,30,8,23,0,0
5.7,7,22,407.52,6,30,55.327,42.0,55,62.272,58,0,36.006,34.519,15,33,8,25,0,0
7.2,2,22,373.51,3,27,45.778,42.0,46,50.946,49,1,33.211,31.181,20,30,5,19,0,0
5.6,0,10,220.62,0,15,20.949,24.0,20,22.19,22,2,15.301,15.354,10,17,5,5,0,0
5.6,3,16,330.45,5,23,41.323,35.0,41,46.238,43,2,27.909,26.39,13,25,7,18,0,0
5.6,0,15,280.31,2,21,33.596,32.5,33,37.073,35,1,22.977,22.622,15,23,6,12,0,0
5.6,2,19,348.39,4,26,42.691,40.0,42,47.113,45,3,28.955,28.391,17,29,7,16,0,0
5.8,2,20,370.45,5,26,42.702,38.0,42,47.127,44,1,30.08,28.926,18,28,6,16,0,0
4.1,2,7,179.21,0,13,22.604,18.0,22,25.531,23,1,14.006,13.875,5,14,6,9,0,0
5.6,0,13,273.14,1,16,24.967,26.0,25,27.499,27,0,19.409,18.175,13,18,3,9,0,0
5.6,2,27,567.66,10,39,62.771,59.0,61,68.083,64,5,43.591,42.378,25,42,12,22,0,0
4.7,0,9,220.63,0,15,20.942,23.5,20,22.562,22,1,15.097,15.155,9,17,6,5,0,0
4.1,0,13,194.25,1,15,24.738,25.0,25,27.657,27,0,18.057,17.15,13,17,2,10,0,0
5.6,6,18,411.48,7,30,52.2,43.0,51,58.604,54,2,32.983,32.498,12,33,12,21,0,0
5.6,9,21,429.53,7,31,56.901,43.0,56,64.529,59,1,35.983,34.899,12,34,10,25,0,0
5.6,2,24,399.9,3,29,47.025,45.0,47,51.97,51,3,34.421,32.821,22,33,5,18,0,0
5.6,3,15,284.35,5,21,37.363,31.0,37,41.903,39,0,24.5,23.676,12,23,6,16,0,0
6.1,1,13,269.29,3,20,31.814,32.0,31,35.156,33,2,21.222,21.117,12,22,7,11,0,0
5.6,11,33,776.07,18,56,109.93,73.0,109,126.526,110,10,67.211,64.308,22,57,23,53,0,0
7.5,2,18,353.43,3,25,40.665,38.0,40,44.534,43,2,28.597,27.557,16,28,7,15,0,0
6.2,1,15,345.19,1,21,31.683,34.0,31,34.835,34,0,23.358,22.601,14,24,6,10,0,0
6.3,5,12,297.85,5,19,35.211,25.5,35,39.847,36,0,24.103,22.282,7,20,7,16,0,0
5.6,0,19,348.81,3,25,38.476,40.0,38,42.223,41,1,28.142,27.262,19,28,6,13,0,0
5.6,1,19,379.48,5,27,44.542,43.0,44,49.322,47,2,31.154,29.885,18,30,8,17,0,0
5.6,3,15,289.79,5,20,36.142,28.0,36,40.555,37,1,24.659,23.294,12,21,5,16,0,0
5.6,3,23,371.47,7,28,48.912,43.0,49,54.651,52,1,33.779,32.235,20,31,5,21,0,0
6.8,4,20,479.99,9,32,55.498,45.0,54,61.139,56,2,36.659,35.437,16,34,12,22,0,0
6.0,0,21,405.42,4,30,47.305,46.0,46,51.951,49,2,31.898,31.796,21,33,9,16,0,0
5.6,4,22,361.48,9,27,49.796,39.0,50,56.066,52,1,33.54,31.762,18,29,5,23,0,0
5.9,5,13,226.31,1,17,30.825,26.0,31,35.069,33,0,20.83,19.72,6,19,4,14,2,1
6.1,0,21,401.48,4,29,44.658,47.0,44,48.906,48,1,32.392,31.358,21,33,8,15,0,0
8.5,3,26,486.62,6,35,58.48,53.5,58,65.196,62,1,40.926,39.155,23,39,9,23,0,0
8.9,1,21,393.43,3,29,47.047,44.0,46,52.287,49,1,31.688,31.276,20,32,8,17,0,0
5.6,8,24,450.54,7,33,57.8,48.0,57,65.031,61,0,37.978,36.878,16,37,9,24,0,0
5.9,0,13,273.14,1,16,24.967,26.0,25,27.499,27,0,19.409,18.175,13,18,3,9,0,0
4.2,1,14,237.28,2,18,29.167,29.0,29,32.365,31,1,20.517,19.886,13,20,4,11,0,0
5.7,1,17,370.22,3,23,35.607,36.0,35,38.831,37,1,26.085,25.153,15,25,6,12,1,1
8.0,3,25,505.67,5,35,58.596,54.0,58,64.697,61,3,41.54,39.367,20,38,10,23,2,1
5.6,3,29,480.58,8,36,61.294,55.0,61,68.319,65,1,42.245,40.693,26,40,7,25,0,0
5.6,8,14,247.38,3,18,38.585,23.0,39,44.441,40,1,24.324,22.52,6,19,4,21,0,0
5.6,1,15,333.3,2,24,35.909,35.5,34,39.381,36,1,23.341,24.079,14,26,9,10,0,0
5.6,3,16,265.34,3,20,34.934,31.0,35,39.196,37,1,24.04,22.94,13,22,4,15,0,0
8.801,1,21,375.44,3,28,46.534,43.0,46,51.947,49,1,31.75,30.893,20,31,7,18,0,0
5.6,2,21,387.5,2,28,45.214,44.0,45,50.112,49,1,32.699,31.17,19,32,7,17,0,0
5.6,3,19,338.46,5,24,42.003,35.5,42,46.657,44,1,29.659,27.874,16,26,5,18,0,0
5.6,0,15,344.8,3,23,33.113,36.5,32,35.522,35,0,24.722,24.11,15,26,8,9,0,0
5.6,2,17,293.35,3,22,37.262,33.0,37,41.405,39,3,25.495,24.655,15,24,5,15,0,0
7.3,3,22,482.44,7,30,50.211,45.5,50,55.784,53,2,36.574,34.248,19,33,8,20,0,0
5.6,8,29,499.67,9,37,69.861,53.0,70,78.933,73,2,46.052,43.627,21,40,8,33,0,0
4.5,1,10,235.09,0,13,20.084,20.5,20,22.084,22,0,15.648,14.648,9,15,3,7,0,0
5.6,4,16,266.38,3,20,37.592,30.0,38,42.9,40,0,25.353,23.773,12,22,4,18,0,0
6.2,1,29,537.08,7,38,59.407,60.5,59,65.385,64,1,44.085,42.072,28,43,9,21,0,0
6.8,1,18,367.82,1,26,40.905,39.0,40,44.93,43,1,28.602,27.998,17,29,8,14,0,0
5.6,1,20,377.38,3,28,44.244,43.0,43,48.033,46,3,29.858,29.799,19,31,8,15,0,0
4.8,0,8,176.2,1,13,21.502,19.0,21,24.033,22,2,14.0,13.854,8,14,5,8,0,0
5.6,1,23,430.45,5,32,49.265,50.5,48,54.37,52,1,33.932,33.771,22,36,9,16,0,0
5.6,6,17,308.43,3,23,42.796,34.0,43,48.896,46,0,28.364,26.816,11,26,6,20,0,0
5.6,6,22,440.5,7,32,55.243,46.0,54,61.825,57,0,35.671,35.066,16,35,10,22,0,0
4.0,1,11,201.25,2,15,26.167,22.5,26,29.365,27,1,17.517,16.886,10,16,4,11,0,0
6.1,3,18,308.42,5,23,42.803,34.0,43,48.524,45,1,28.569,27.015,15,25,5,20,0,0
6.4,0,17,317.4,2,23,34.236,38.5,34,37.657,37,0,25.96,24.875,16,26,6,11,1,1
5.6,3,19,346.43,4,26,44.24,40.5,44,49.69,47,1,30.057,29.004,16,29,7,18,0,0
6.35,0,13,210.25,1,16,26.065,25.5,26,28.867,28,2,18.512,17.865,13,18,3,10,0,0
5.6,5,26,421.54,3,32,54.789,50.5,55,61.438,60,0,38.336,36.563,21,37,6,23,0,0
8.9,1,21,393.43,3,29,47.047,44.0,46,52.287,49,1,31.688,31.276,20,32,8,17,0,0
5.6,4,15,295.4,1,21,34.12,33.5,34,38.072,37,0,24.722,23.401,10,24,6,13,1,1
5.6,0,14,255.31,2,18,27.367,29.0,27,29.498,29,1,20.608,19.745,14,20,4,9,0,0
5.6,5,21,410.47,5,30,51.032,44.0,50,57.2,53,0,33.455,32.824,16,33,9,20,0,0
5.6,4,24,424.5,3,32,52.451,50.5,52,58.315,57,3,36.273,35.246,20,37,8,20,0,0
5.6,3,22,361.45,6,27,47.098,41.0,47,52.781,50,0,32.262,30.904,19,30,5,20,0,0
5.6,9,24,443.51,3,32,57.101,45.0,56,63.915,60,1,36.875,35.965,15,36,8,24,0,0
5.6,7,21,410.47,4,30,51.032,44.5,50,57.2,54,0,33.455,32.824,14,34,9,20,0,0
6.5,9,23,426.99,7,30,56.989,41.5,57,64.338,60,0,37.926,35.664,14,33,7,27,0,0
8.6,7,28,534.72,10,38,69.341,54.0,69,78.066,72,2,46.427,43.977,21,41,10,31,0,0
5.6,6,26,460.58,7,34,62.32,48.0,62,69.813,65,2,40.978,39.266,20,37,8,28,0,0
5.6,3,24,400.46,5,30,50.465,45.0,50,55.571,53,3,34.682,33.643,21,33,6,20,0,0
5.6,6,11,359.2,1,18,32.323,25.0,32,36.498,34,0,22.949,20.773,5,20,7,14,0,0
6.5,4,16,267.36,5,20,36.818,30.0,37,41.611,39,0,24.801,23.467,12,22,4,17,0,0
5.6,6,18,279.36,1,21,37.825,31.5,38,42.239,41,2,26.006,24.665,12,24,3,17,0,0
4.2,2,8,210.29,1,14,24.462,20.5,24,27.368,25,1,16.409,15.568,6,15,6,10,0,0
5.6,3,21,366.87,6,26,45.134,38.0,45,50.096,47,1,31.631,30.041,18,28,5,19,0,0
6.5,0,20,349.36,3,26,39.96,41.0,39,43.875,42,1,27.915,27.706,20,29,6,13,0,0
5.6,5,18,323.44,6,24,44.905,35.0,45,51.023,47,1,29.574,28.036,13,26,6,21,0,0
5.6,2,11,265.32,3,18,29.898,26.0,29,32.704,30,2,20.074,19.503,9,19,7,11,0,0
6.1,5,19,338.42,3,25,44.316,37.0,44,49.864,47,1,29.506,28.398,14,28,6,19,0,0
5.5,1,13,227.26,1,17,27.353,27.0,27,30.495,29,0,19.0,18.555,12,19,4,10,0,0
5.9,4,32,611.73,9,44,72.189,66.5,71,80.074,76,1,49.847,48.328,28,49,12,27,0,0
6.2,2,20,315.4,3,24,40.818,37.5,41,45.611,44,2,28.801,27.467,18,27,4,17,0,0
6.4,1,17,387.27,2,23,34.582,35.5,34,37.253,36,3,26.727,25.319,15,25,6,11,1,1
5.6,2,17,339.46,6,24,41.214,35.5,41,46.112,43,1,28.699,27.17,15,26,7,17,0,0
5.6,1,18,290.34,2,22,36.16,35.0,36,39.907,39,2,25.489,24.633,17,25,4,14,0,0
5.6,3,20,334.4,4,25,43.254,37.5,43,47.946,46,1,29.466,28.402,17,28,5,18,0,0
5.6,5,16,312.36,2,23,39.691,34.5,39,44.113,42,1,25.955,25.391,11,26,7,16,0,0
5.6,8,23,441.95,7,31,55.658,43.5,55,61.844,58,1,37.068,35.546,15,34,8,24,0,0
5.6,5,23,405.56,5,29,51.872,43.5,52,57.986,55,1,36.188,33.949,18,32,6,23,0,0
5.6,2,15,316.42,4,22,38.44,34.0,38,42.823,40,2,26.148,24.863,13,24,7,16,0,0
7.8,11,29,482.69,5,36,69.309,52.0,70,79.012,75,0,46.148,43.218,18,41,7,34,0,0
6.9,1,21,411.42,3,30,47.56,45.0,46,52.626,49,1,31.625,31.659,20,33,9,16,0,0
5.7,1,21,343.41,4,26,43.145,41.0,43,47.82,46,1,30.256,29.181,20,29,5,17,0,0
7.4,2,23,433.59,3,30,49.182,49.0,49,54.075,53,2,36.313,34.082,21,34,7,19,0,0
5.8,6,17,327.85,3,23,41.018,34.0,41,46.342,44,0,28.216,26.622,11,26,6,18,0,0
5.6,4,18,307.38,2,23,40.145,35.0,40,44.82,43,1,27.256,26.181,14,26,5,17,0,0
5.6,2,19,440.81,3,30,45.622,42.0,43,49.621,45,4,29.87,30.564,17,32,11,13,0,0
7.1,2,30,516.67,7,38,61.967,60.5,62,68.856,67,1,44.989,42.771,28,43,8,24,0,0
7.4,4,19,362.5,6,26,43.989,40.5,44,49.401,48,0,31.25,29.476,15,30,7,18,0,0
5.6,4,19,353.48,5,25,44.105,36.5,44,49.155,46,1,30.665,28.895,15,27,6,19,0,0
5.6,2,21,389.45,6,29,48.676,44.0,48,54.026,51,1,32.722,31.939,19,32,8,19,0,0
5.6,3,17,363.27,5,24,40.567,35.0,40,44.997,42,1,28.523,27.143,14,26,7,16,0,0
5.6,5,22,427.47,6,31,52.327,45.0,51,58.457,54,0,34.148,33.713,17,34,9,20,0,0
