pXC50,nDB,N.,nBM,nN,AMW,Mp,nAB,H.,C.,Me,Mi,Mv,MW,nAT,nB
4.0,3,5.1,15,2,8.421,0.701,12,41.0,43.6,1.011,1.114,0.668,328.42,39,0
4.0,3,4.7,15,2,8.336,0.688,12,41.9,41.9,1.015,1.118,0.658,358.45,43,0
4.0,3,4.3,15,2,8.011,0.693,12,43.5,43.5,1.005,1.115,0.655,368.49,46,0
5.469,1,8.5,23,5,8.771,0.656,22,37.3,40.7,1.043,1.148,0.663,517.51,59,0
4.699,2,8.3,12,3,10.117,0.703,10,38.9,41.7,1.023,1.124,0.678,364.22,36,0
4.301,2,9.4,12,3,9.054,0.706,10,37.5,43.8,1.022,1.123,0.686,289.74,32,0
4.523,3,5.7,9,3,6.67,0.643,6,50.9,39.6,0.992,1.13,0.6,353.51,53,0
5.854,1,6.3,18,4,7.228,0.652,17,46.9,40.6,1.003,1.129,0.622,462.6,64,0
4.602,1,6.7,18,3,8.253,0.664,17,40.0,42.2,1.027,1.133,0.656,371.4,45,0
6.585,1,10.0,18,5,7.31,0.656,17,46.0,40.0,1.002,1.133,0.626,365.48,50,0
6.046,1,10.0,18,5,7.669,0.655,17,44.0,40.0,1.013,1.14,0.633,383.47,50,0
6.167,1,9.6,18,5,7.567,0.659,17,44.2,40.4,1.009,1.132,0.634,393.49,52,0
7.42,1,11.6,18,5,9.148,0.664,17,34.9,41.9,1.048,1.162,0.675,393.38,43,0
7.292,1,11.4,18,5,9.304,0.659,17,34.1,40.9,1.055,1.163,0.676,409.38,44,0
5.432,1,12.2,18,5,8.326,0.669,17,39.0,41.5,1.024,1.14,0.661,341.38,41,0
6.824,3,10.9,20,5,8.771,0.681,17,39.1,39.1,1.028,1.137,0.663,403.48,46,0
5.125,3,9.6,20,5,8.299,0.67,17,42.3,38.5,1.02,1.137,0.645,431.54,52,0
4.921,3,9.4,20,5,8.369,0.676,17,41.5,39.6,1.019,1.134,0.652,443.55,53,0
6.77,3,9.4,26,5,8.784,0.699,23,37.7,43.4,1.022,1.126,0.68,465.55,53,0
4.578,1,8.2,16,4,7.195,0.679,15,49.0,40.8,0.986,1.124,0.623,352.55,49,0
4.631,1,7.7,16,4,7.05,0.674,15,50.0,40.4,0.985,1.125,0.617,366.58,52,0
4.0,1,8.2,16,4,7.195,0.679,15,49.0,40.8,0.986,1.124,0.623,352.55,49,0
4.523,2,4.4,14,3,6.612,0.641,12,51.5,39.7,0.992,1.129,0.598,449.65,68,0
4.523,1,3.5,7,2,6.676,0.618,6,52.6,36.8,1.002,1.146,0.581,380.53,57,0
4.523,2,4.8,8,3,6.509,0.617,6,53.2,35.5,0.998,1.138,0.578,403.58,62,0
4.523,2,7.3,19,4,8.3,0.661,17,40.0,41.8,1.029,1.139,0.654,456.49,55,0
4.0,3,5.3,15,4,6.825,0.642,12,50.0,39.5,0.997,1.13,0.604,518.72,76,0
4.523,3,6.1,9,3,6.683,0.639,6,51.0,38.8,0.993,1.132,0.598,327.47,49,0
4.523,3,5.7,9,3,6.745,0.632,6,50.9,37.7,0.998,1.134,0.595,357.5,53,0
5.0,4,6.7,16,3,10.362,0.717,12,31.1,44.4,1.051,1.126,0.719,466.27,45,0
4.611,2,2.9,14,1,10.236,0.745,12,37.1,42.9,1.028,1.11,0.706,358.26,35,0
4.523,1,12.0,18,6,7.49,0.672,16,44.0,42.0,1.0,1.13,0.641,374.49,50,0
4.523,1,8.2,23,4,9.56,0.694,21,30.6,46.9,1.05,1.138,0.71,468.42,49,0
5.0,1,4.5,18,3,7.674,0.676,17,47.8,40.3,0.999,1.123,0.629,514.14,67,0
5.0,1,5.7,19,4,7.182,0.671,17,48.6,41.4,0.991,1.122,0.623,502.74,70,0
5.222,1,9.4,18,5,7.764,0.66,17,43.4,41.5,1.013,1.142,0.639,411.5,53,0
5.0,1,5.4,19,3,7.491,0.664,17,44.6,42.9,1.006,1.123,0.638,419.52,56,0
4.398,3,7.0,19,6,7.15,0.66,16,48.8,39.5,0.995,1.128,0.616,614.89,86,0
4.301,1,2.1,25,1,8.664,0.731,24,37.5,52.1,1.007,1.1,0.703,415.89,48,0
4.745,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
4.959,1,7.3,18,3,8.229,0.688,17,39.0,46.3,1.016,1.126,0.672,337.38,41,0
4.699,0,16.7,22,7,9.807,0.739,22,33.3,42.9,1.023,1.124,0.714,411.91,42,0
4.699,0,16.7,22,7,9.807,0.739,22,33.3,42.9,1.023,1.124,0.714,411.91,42,0
5.886,3,10.3,20,4,9.19,0.7,17,35.9,41.0,1.031,1.124,0.686,358.41,39,0
5.009,3,10.3,20,4,9.19,0.7,17,35.9,41.0,1.031,1.124,0.686,358.41,39,0
5.921,0,9.4,11,3,7.166,0.658,11,46.9,40.6,0.998,1.131,0.623,229.31,32,0
5.886,0,9.4,11,3,7.166,0.658,11,46.9,40.6,0.998,1.131,0.623,229.31,32,0
4.699,3,7.0,14,3,8.127,0.665,11,44.2,37.2,1.018,1.13,0.635,349.45,43,0
4.699,3,7.0,14,3,8.127,0.665,11,44.2,37.2,1.018,1.13,0.635,349.45,43,0
4.699,0,8.5,17,4,7.116,0.667,17,46.8,42.6,0.993,1.126,0.629,334.46,47,0
4.523,1,15.0,11,3,9.663,0.732,10,35.0,40.0,1.024,1.123,0.701,193.25,20,0
5.301,0,10.5,18,4,8.167,0.684,18,39.5,44.7,1.014,1.132,0.667,310.36,38,0
5.301,0,10.5,18,4,9.114,0.68,18,34.2,44.7,1.041,1.15,0.687,346.34,38,0
5.301,0,9.8,18,4,9.228,0.672,18,34.1,43.9,1.048,1.158,0.683,378.36,41,0
4.77,2,4.5,24,2,8.238,0.72,22,40.9,47.7,1.0,1.106,0.679,362.48,44,0
4.886,2,5.4,18,2,8.119,0.7,16,43.2,43.2,1.003,1.115,0.658,300.41,37,0
4.699,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
4.721,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
5.229,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
4.77,2,5.0,18,2,9.21,0.687,16,37.5,42.5,1.039,1.142,0.676,368.41,40,0
5.0,2,4.9,18,2,9.376,0.681,16,36.6,41.5,1.046,1.144,0.677,384.41,41,0
4.886,2,4.5,24,2,8.647,0.718,22,38.6,47.7,1.012,1.114,0.688,380.47,44,0
4.721,2,4.5,24,2,8.647,0.718,22,38.6,47.7,1.012,1.114,0.688,380.47,44,0
4.77,2,4.5,24,2,8.647,0.718,22,38.6,47.7,1.012,1.114,0.688,380.47,44,0
5.032,2,4.5,24,2,9.021,0.739,22,38.6,47.7,1.007,1.105,0.698,396.92,44,0
5.31,2,4.5,24,2,9.021,0.739,22,38.6,47.7,1.007,1.105,0.698,396.92,44,0
4.699,2,4.5,24,2,9.021,0.739,22,38.6,47.7,1.007,1.105,0.698,396.92,44,0
4.854,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
5.377,2,4.3,24,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
4.745,2,7.0,24,3,8.453,0.719,22,39.5,46.5,1.005,1.11,0.683,363.47,43,0
4.854,2,7.0,24,3,8.453,0.719,22,39.5,46.5,1.005,1.11,0.683,363.47,43,0
4.824,2,7.0,24,3,8.453,0.719,22,39.5,46.5,1.005,1.11,0.683,363.47,43,0
4.699,2,7.0,24,3,8.453,0.719,22,39.5,46.5,1.005,1.11,0.683,363.47,43,0
4.699,5,6.4,21,3,8.372,0.705,16,40.4,44.7,1.009,1.114,0.673,393.5,47,0
4.699,5,6.0,21,3,8.151,0.698,16,42.0,44.0,1.006,1.116,0.663,407.53,50,0
5.041,5,7.3,21,3,10.23,0.717,16,29.3,46.3,1.054,1.135,0.725,419.41,41,0
4.699,5,6.8,21,3,9.851,0.708,16,31.8,45.5,1.047,1.136,0.71,433.44,44,0
4.699,5,6.4,21,3,8.372,0.705,16,40.4,44.7,1.009,1.114,0.673,393.5,47,0
4.699,5,6.4,21,3,8.372,0.705,16,40.4,44.7,1.009,1.114,0.673,393.5,47,0
4.523,1,8.0,12,2,8.732,0.726,11,40.0,44.0,1.006,1.111,0.682,218.3,25,0
5.398,1,8.0,12,2,9.452,0.724,11,36.0,44.0,1.026,1.125,0.697,236.29,25,0
4.5,2,8.6,13,5,7.545,0.672,10,46.6,39.7,0.999,1.128,0.63,437.62,58,0
4.5,4,7.8,15,5,8.058,0.676,10,45.3,37.5,1.009,1.127,0.635,515.72,64,0
5.0,2,9.7,9,6,7.333,0.657,5,48.4,37.1,0.999,1.134,0.614,454.66,62,0
4.5,2,10.5,13,6,7.695,0.67,10,45.6,38.6,1.003,1.131,0.632,438.61,57,0
4.481,1,2.1,19,1,7.392,0.68,18,44.7,46.8,0.998,1.112,0.648,347.44,47,0
4.523,1,12.5,12,3,8.468,0.675,11,37.5,41.7,1.025,1.132,0.67,203.22,24,0
4.523,0,14.5,18,8,7.646,0.655,17,43.6,38.2,1.01,1.14,0.633,420.53,55,0
4.0,3,4.2,19,3,6.968,0.653,16,48.6,41.7,0.997,1.125,0.616,501.68,72,0
5.301,0,11.9,22,7,7.349,0.654,22,45.8,39.0,1.003,1.137,0.625,433.57,59,0
5.602,1,4.3,22,2,7.488,0.691,21,43.5,47.8,0.996,1.112,0.657,344.44,46,0
5.523,2,0.0,3,0,6.127,0.639,0,54.9,41.2,0.981,1.122,0.584,312.49,51,0
4.523,1,6.3,18,5,7.072,0.634,17,48.8,37.5,1.006,1.135,0.604,565.74,80,0
5.046,3,12.5,14,6,8.509,0.643,11,39.6,37.5,1.039,1.161,0.644,408.43,48,0
7.301,5,6.8,23,4,8.933,0.702,18,39.0,42.4,1.022,1.12,0.677,527.04,59,0
4.699,1,6.8,14,3,6.987,0.666,12,47.7,43.2,0.991,1.124,0.625,307.43,44,0
5.0,5,2.5,23,2,7.813,0.666,18,46.9,39.5,1.01,1.129,0.627,632.86,81,0
5.796,1,4.5,22,2,8.656,0.712,21,38.6,47.7,1.013,1.111,0.687,380.85,44,0
4.0,1,4.8,18,2,9.554,0.71,17,40.5,45.2,1.012,1.114,0.677,401.28,42,0
4.745,1,7.5,24,3,8.135,0.726,23,37.5,52.5,0.998,1.105,0.698,325.39,40,0
4.456,1,1.5,19,1,7.686,0.659,18,44.6,44.6,1.015,1.137,0.637,499.59,65,0
4.301,2,8.8,19,5,8.491,0.681,17,40.4,42.1,1.02,1.133,0.662,483.97,57,0
6.699,0,4.5,11,1,8.694,0.734,11,40.9,45.5,1.002,1.104,0.683,191.27,22,0
4.387,0,4.2,11,1,7.218,0.678,11,45.8,45.8,0.994,1.116,0.64,173.23,24,0
5.032,2,5.3,19,3,8.457,0.706,17,42.1,43.9,1.007,1.115,0.667,482.04,57,0
5.155,0,4.0,11,1,8.212,0.717,11,44.0,44.0,0.997,1.108,0.662,205.3,25,0
5.456,0,11.3,27,6,8.085,0.689,27,39.6,45.3,1.01,1.129,0.669,428.51,53,0
6.046,0,4.2,11,1,7.887,0.728,11,45.8,45.8,0.983,1.104,0.66,189.3,24,0
6.155,0,3.7,11,1,9.236,0.762,11,40.7,44.4,1.0,1.097,0.694,249.38,27,0
4.699,3,11.4,21,5,10.316,0.712,18,31.8,40.9,1.05,1.14,0.709,453.89,44,0
4.7,0,3.4,12,2,6.01,0.645,12,55.2,41.4,0.973,1.125,0.585,348.58,58,0
4.7,0,3.4,12,2,6.01,0.645,12,55.2,41.4,0.973,1.125,0.585,348.58,58,0
4.7,0,3.8,12,2,6.164,0.652,12,53.8,42.3,0.975,1.123,0.594,320.52,52,0
4.7,0,3.8,12,2,6.164,0.652,12,53.8,42.3,0.975,1.123,0.594,320.52,52,0
5.0,2,9.4,14,5,7.085,0.662,11,47.2,41.5,0.994,1.129,0.624,375.52,53,0
5.432,2,9.7,20,6,7.3,0.675,17,45.2,43.5,0.994,1.125,0.639,452.61,62,0
5.0,2,10.0,15,6,7.143,0.664,11,46.7,41.7,0.994,1.129,0.627,428.59,60,0
5.0,2,9.2,20,6,7.179,0.671,17,46.2,43.1,0.993,1.126,0.633,466.64,65,0
5.0,2,8.3,14,5,6.993,0.651,11,48.3,40.0,0.996,1.132,0.614,419.58,60,0
5.0,4,7.7,16,5,7.41,0.661,11,47.7,38.5,1.001,1.13,0.62,481.68,65,0
5.0,3,10.0,15,6,7.21,0.655,11,46.7,40.0,1.0,1.133,0.623,432.58,60,0
5.0,2,8.3,14,6,6.787,0.644,11,50.0,38.9,0.993,1.134,0.604,488.7,72,0
5.26,3,9.4,21,6,7.51,0.677,17,43.8,43.8,1.0,1.125,0.646,480.62,64,0
5.009,3,7.9,15,5,7.359,0.651,11,46.0,39.7,1.007,1.132,0.624,463.59,63,0
5.114,3,9.0,15,6,7.114,0.646,11,47.8,38.8,1.001,1.135,0.614,476.64,67,0
5.0,3,8.6,15,6,7.01,0.644,11,48.6,38.6,0.999,1.135,0.609,490.67,70,0
6.092,3,10.8,20,7,7.44,0.667,16,44.6,41.5,1.001,1.13,0.637,483.63,65,0
5.538,3,9.0,21,6,7.383,0.673,17,44.8,43.3,0.998,1.125,0.64,494.65,67,0
5.041,3,8.1,15,6,6.983,0.646,11,48.6,39.2,0.998,1.133,0.61,516.71,74,0
5.367,3,8.5,15,6,7.08,0.649,11,47.9,39.4,0.999,1.133,0.615,502.68,71,0
5.658,3,9.1,15,6,6.979,0.649,11,48.5,39.4,0.996,1.133,0.612,460.64,66,0
5.0,3,9.4,15,6,7.228,0.649,11,46.9,39.1,1.003,1.134,0.619,462.61,64,0
4.0,1,2.6,12,1,7.319,0.691,11,48.7,43.6,0.986,1.112,0.632,285.44,39,0
4.0,1,4.3,6,2,6.095,0.63,5,55.3,38.3,0.982,1.132,0.576,286.46,47,0
5.0,0,10.5,14,4,7.115,0.653,14,47.4,39.5,0.998,1.134,0.618,270.37,38,0
5.0,0,6.3,16,3,7.03,0.657,16,47.9,41.7,0.996,1.126,0.62,337.46,48,0
4.301,3,9.3,20,5,7.991,0.68,17,40.7,44.4,1.012,1.129,0.66,431.51,54,0
4.886,3,7.5,9,4,7.518,0.62,6,47.2,35.8,1.023,1.159,0.604,398.48,53,0
5.301,3,8.3,9,4,7.967,0.632,6,43.8,37.5,1.03,1.158,0.624,382.43,48,0
5.097,3,8.3,9,4,8.05,0.621,6,43.8,35.4,1.037,1.162,0.618,386.42,48,0
4.745,3,8.5,9,4,7.881,0.625,6,44.7,36.2,1.031,1.161,0.616,370.42,47,0
4.523,3,9.1,9,4,8.1,0.627,6,43.2,36.4,1.035,1.163,0.623,356.39,44,0
4.523,5,8.9,17,5,8.885,0.659,12,39.3,37.5,1.041,1.15,0.653,497.55,56,0
4.796,3,11.8,14,6,8.284,0.639,11,41.2,37.3,1.034,1.16,0.636,422.46,51,0
4.824,3,11.8,14,6,8.284,0.639,11,41.2,37.3,1.034,1.16,0.636,422.46,51,0
4.824,3,9.6,16,5,8.528,0.665,12,38.5,42.3,1.032,1.147,0.662,443.47,52,0
5.155,3,9.6,16,5,8.528,0.665,12,38.5,42.3,1.032,1.147,0.662,443.47,52,0
4.796,3,9.6,16,5,8.528,0.665,12,38.5,42.3,1.032,1.147,0.662,443.47,52,0
4.523,5,7.0,17,4,8.712,0.661,12,40.4,38.6,1.036,1.146,0.65,496.56,57,0
4.523,5,7.0,17,4,8.712,0.661,12,40.4,38.6,1.036,1.146,0.65,496.56,57,0
7.222,3,10.0,15,5,8.389,0.652,12,40.0,40.0,1.033,1.153,0.649,419.45,50,0
4.523,3,10.0,15,5,8.389,0.652,12,40.0,40.0,1.033,1.153,0.649,419.45,50,0
4.585,3,10.0,15,5,8.389,0.652,12,40.0,40.0,1.033,1.153,0.649,419.45,50,0
4.553,4,9.1,16,5,8.391,0.651,12,40.0,40.0,1.034,1.151,0.649,461.49,55,0
4.523,3,9.8,15,5,8.538,0.648,12,39.2,39.2,1.039,1.154,0.65,435.45,51,0
5.301,3,7.8,15,4,8.205,0.654,12,41.2,41.2,1.028,1.149,0.646,418.46,51,0
4.959,3,7.8,15,4,8.558,0.653,12,39.2,41.2,1.038,1.155,0.653,436.45,51,0
4.268,1,6.7,17,2,10.744,0.731,16,26.7,46.7,1.061,1.13,0.742,322.31,30,0
4.268,1,3.6,17,1,10.332,0.75,16,28.6,50.0,1.043,1.109,0.744,289.3,28,0
4.268,1,3.2,17,1,9.205,0.736,16,35.5,48.4,1.019,1.101,0.709,285.34,31,0
4.561,0,13.6,11,3,7.964,0.671,11,40.9,40.9,1.013,1.134,0.653,175.21,22,0
4.678,3,6.6,21,4,8.082,0.686,18,42.6,44.3,1.008,1.126,0.657,493.02,61,0
4.367,3,6.6,21,4,7.787,0.687,18,44.3,44.3,1.0,1.12,0.65,475.03,61,0
4.367,3,6.6,21,4,7.787,0.687,18,44.3,44.3,1.0,1.12,0.65,475.03,61,0
5.0,1,11.5,29,6,8.087,0.708,28,38.5,48.1,1.002,1.117,0.683,420.51,52,0
5.0,1,11.5,29,6,8.087,0.708,28,38.5,48.1,1.002,1.117,0.683,420.51,52,0
5.0,1,11.5,35,7,8.157,0.715,34,37.7,49.2,1.002,1.115,0.69,497.6,61,0
6.0,2,10.1,36,7,8.285,0.703,34,37.7,47.8,1.01,1.122,0.685,571.66,69,0
5.0,3,6.2,21,4,7.77,0.679,18,44.6,43.1,1.003,1.123,0.645,505.06,65,0
5.155,3,5.6,21,4,7.509,0.671,18,46.5,42.3,1.0,1.124,0.633,533.12,71,0
5.0,1,16.3,22,7,8.88,0.701,21,37.2,41.9,1.018,1.133,0.682,381.86,43,0
5.0,1,13.5,23,5,9.454,0.74,22,32.4,48.6,1.019,1.116,0.723,349.8,37,0
5.0,1,12.5,23,5,9.096,0.729,22,35.0,47.5,1.014,1.118,0.707,363.83,40,0
5.0,1,15.8,22,6,9.284,0.721,21,34.2,44.7,1.021,1.126,0.705,352.81,38,0
5.0,1,15.8,22,6,9.284,0.721,21,34.2,44.7,1.021,1.126,0.705,352.81,38,0
5.0,1,17.5,22,7,9.196,0.71,21,35.0,42.5,1.022,1.133,0.695,367.83,40,0
4.699,2,9.0,20,6,7.979,0.663,18,41.8,41.8,1.018,1.139,0.647,534.62,67,0
5.0,1,17.5,22,7,9.196,0.71,21,35.0,42.5,1.022,1.133,0.695,367.83,40,0
4.523,2,5.8,14,3,7.067,0.649,12,48.1,40.4,1.0,1.129,0.615,367.49,52,0
4.699,0,7.7,16,4,7.702,0.658,16,44.2,42.3,1.013,1.146,0.635,400.49,52,0
4.398,2,3.6,14,2,7.254,0.667,12,49.1,41.8,0.994,1.123,0.621,398.97,55,0
5.301,1,6.0,19,4,7.054,0.657,18,47.8,41.8,0.996,1.126,0.621,472.64,67,0
6.046,4,5.1,26,4,7.301,0.671,22,45.6,44.3,0.998,1.12,0.638,576.75,79,0
5.367,4,5.1,26,4,7.737,0.682,22,44.3,44.3,1.002,1.119,0.648,611.19,79,0
5.658,4,5.1,26,4,7.301,0.671,22,45.6,44.3,0.998,1.12,0.638,576.75,79,0
6.0,4,5.3,26,4,7.857,0.686,22,43.4,44.7,1.004,1.118,0.654,597.16,76,0
6.097,4,5.3,26,4,7.641,0.674,22,43.4,44.7,1.006,1.124,0.648,580.71,76,0
4.523,4,6.4,26,5,7.407,0.67,22,44.9,43.6,1.001,1.123,0.639,577.74,78,0
6.523,4,5.0,26,4,7.409,0.668,22,45.0,43.8,1.002,1.121,0.639,592.75,80,0
5.292,4,6.7,26,5,7.516,0.673,22,44.0,44.0,1.003,1.122,0.645,563.71,75,0
5.523,4,4.1,25,3,7.455,0.672,21,44.6,44.6,1.003,1.119,0.642,551.69,74,0
5.569,4,3.9,26,3,7.742,0.687,22,44.2,45.5,1.001,1.116,0.652,596.17,77,0
5.538,4,5.3,26,4,7.404,0.674,22,44.7,44.7,1.0,1.119,0.643,562.72,76,0
6.398,4,5.1,26,4,7.301,0.671,22,45.6,44.3,0.998,1.12,0.638,576.75,79,0
5.481,4,5.3,26,4,7.343,0.67,22,45.3,44.0,1.0,1.121,0.638,550.71,75,0
5.854,4,5.3,26,4,7.802,0.682,22,44.0,44.0,1.004,1.12,0.649,585.15,75,0
4.398,2,8.5,19,6,7.136,0.641,17,47.9,38.0,1.004,1.136,0.611,506.67,71,0
4.796,4,6.0,20,3,8.829,0.681,16,36.0,46.0,1.036,1.138,0.682,441.44,50,0
5.377,1,8.3,18,4,7.301,0.662,17,45.8,41.7,1.0,1.128,0.63,350.46,48,0
5.0,2,10.9,16,5,7.815,0.667,14,45.7,37.0,1.007,1.134,0.629,359.5,46,0
4.398,2,7.5,19,6,6.859,0.635,17,50.0,37.5,0.999,1.136,0.599,548.76,80,0
4.398,2,7.2,19,6,6.781,0.633,17,50.6,37.3,0.998,1.136,0.596,562.79,83,0
6.7,2,11.1,19,4,11.603,0.777,17,30.6,41.7,1.042,1.118,0.745,417.72,36,0
4.6,2,16.2,19,6,11.722,0.762,17,29.7,37.8,1.05,1.13,0.739,433.73,37,0
5.0,2,12.1,18,4,12.841,0.814,16,27.3,39.4,1.052,1.113,0.772,423.75,33,0
5.0,0,13.0,21,7,8.452,0.696,21,42.6,40.7,1.006,1.132,0.658,456.42,54,0
5.097,1,9.6,19,5,7.76,0.678,17,42.3,44.2,1.006,1.13,0.653,403.5,52,0
4.759,1,5.0,19,3,7.759,0.67,18,43.3,45.0,1.011,1.135,0.646,465.56,60,0
4.284,1,14.0,12,6,7.266,0.647,10,46.5,37.2,1.003,1.142,0.617,312.42,43,0
4.889,1,5.0,19,3,7.459,0.671,18,45.0,45.0,1.002,1.13,0.64,447.57,60,0
5.284,2,2.6,14,1,9.84,0.696,12,33.3,46.2,1.052,1.139,0.701,383.77,39,0
4.752,1,5.0,19,3,8.033,0.685,18,43.3,45.0,1.008,1.129,0.654,482.01,60,0
6.523,0,0.0,16,0,11.836,0.754,16,38.9,47.2,1.014,1.101,0.706,426.11,36,0
6.602,1,0.0,17,0,7.172,0.674,16,46.5,46.5,0.996,1.111,0.637,308.4,43,0
5.62,1,0.0,17,0,13.228,0.795,16,32.3,51.6,1.024,1.09,0.753,410.06,31,0
4.886,1,3.1,17,1,10.006,0.756,16,34.4,50.0,1.022,1.103,0.727,320.18,32,0
4.0,1,8.7,13,4,9.767,0.681,12,37.0,39.1,1.048,1.153,0.675,449.29,46,0
4.854,1,8.7,13,4,9.767,0.681,12,37.0,39.1,1.048,1.153,0.675,449.29,46,0
4.0,1,8.7,13,4,9.41,0.661,12,37.0,39.1,1.052,1.162,0.666,432.84,46,0
4.0,1,8.7,13,4,9.41,0.661,12,37.0,39.1,1.052,1.162,0.666,432.84,46,0
4.0,1,8.7,13,4,9.41,0.661,12,37.0,39.1,1.052,1.162,0.666,432.84,46,0
7.481,1,0.0,17,0,7.359,0.68,16,45.0,47.5,0.998,1.109,0.647,294.37,40,0
5.432,1,2.4,17,1,7.156,0.677,16,46.3,46.3,0.993,1.114,0.639,293.39,41,0
5.347,1,0.0,17,0,7.833,0.697,16,41.2,50.0,1.005,1.104,0.672,266.31,34,0
4.721,1,8.3,13,4,8.602,0.662,12,41.7,39.6,1.03,1.152,0.647,412.88,48,0
4.252,1,8.7,13,4,9.018,0.662,12,39.1,39.1,1.041,1.155,0.657,414.85,46,0
4.854,1,8.9,13,4,8.863,0.667,12,40.0,40.0,1.034,1.153,0.656,398.85,45,0
6.959,0,2.1,0,1,6.114,0.61,0,56.3,35.4,0.991,1.136,0.563,293.45,48,0
5.097,1,9.5,13,4,9.162,0.672,12,38.1,40.5,1.04,1.154,0.666,384.82,42,0
5.796,0,10.4,22,5,8.123,0.708,22,41.7,45.8,0.998,1.12,0.67,389.92,48,0
4.614,3,5.7,21,4,7.387,0.674,18,47.1,42.9,0.995,1.123,0.632,517.12,70,0
4.721,1,7.6,23,5,7.388,0.663,22,45.5,42.4,1.002,1.131,0.633,487.63,66,0
4.658,1,0.0,13,0,6.648,0.649,12,51.1,42.6,0.991,1.119,0.606,312.44,47,0
5.119,1,7.5,8,3,7.995,0.672,6,45.0,40.0,1.009,1.129,0.638,319.82,40,0
4.921,0,8.5,23,5,8.381,0.705,23,42.4,44.1,1.003,1.121,0.666,494.46,59,0
4.699,2,13.7,24,7,8.774,0.684,22,35.3,43.1,1.03,1.136,0.683,447.47,51,0
7.585,3,11.1,24,6,8.536,0.702,21,38.9,44.4,1.012,1.124,0.678,460.96,54,0
6.301,2,3.7,14,2,6.9,0.657,12,51.9,38.9,0.989,1.125,0.602,372.58,54,0
4.602,2,4.8,20,3,7.684,0.684,18,47.6,41.3,0.996,1.12,0.633,484.11,63,0
5.0,1,4.6,7,3,7.194,0.621,6,49.2,36.9,1.015,1.151,0.597,467.59,65,0
4.699,2,12.3,24,7,8.343,0.674,22,38.6,42.1,1.022,1.136,0.665,475.53,57,0
4.796,2,3.8,20,2,8.212,0.708,18,44.2,44.2,1.0,1.112,0.659,427.0,52,0
5.0,7,8.7,31,9,7.635,0.662,24,45.2,39.4,1.007,1.13,0.632,794.04,104,0
4.0,7,8.2,31,9,7.474,0.658,24,46.4,39.1,1.005,1.131,0.625,822.1,110,0
6.004,1,9.1,24,6,8.07,0.673,22,40.9,43.9,1.016,1.139,0.656,532.62,66,0
5.222,1,8.3,12,4,9.402,0.668,11,39.6,37.5,1.043,1.156,0.658,451.31,48,0
5.0,3,4.9,9,3,7.862,0.626,6,47.5,34.4,1.027,1.158,0.604,479.6,61,0
5.0,2,7.5,18,4,7.784,0.673,16,45.3,39.6,1.006,1.126,0.636,412.56,53,0
4.788,0,7.3,22,4,7.573,0.673,22,43.6,43.6,1.004,1.123,0.645,416.52,55,0
4.523,2,9.4,14,5,8.254,0.638,12,41.5,37.7,1.035,1.156,0.635,437.47,53,0
4.699,5,5.5,17,3,8.945,0.688,12,40.0,40.0,1.027,1.123,0.666,491.99,55,0
4.301,2,9.3,12,5,7.214,0.647,10,50.0,35.2,0.999,1.137,0.602,389.58,54,0
4.398,3,8.7,19,8,6.814,0.64,16,50.0,38.0,0.995,1.136,0.601,626.89,92,0
5.0,2,6.5,8,4,7.411,0.637,6,51.6,33.9,1.005,1.141,0.593,459.47,62,0
5.301,0,1.7,6,1,6.094,0.62,6,55.9,37.3,0.987,1.132,0.569,359.56,59,0
4.208,2,2.0,20,1,9.018,0.708,18,36.7,49.0,1.026,1.12,0.694,441.88,49,0
4.398,3,7.5,19,4,7.971,0.663,16,41.5,41.5,1.019,1.128,0.649,422.48,53,0
4.699,1,8.2,17,4,6.867,0.655,16,49.0,40.8,0.991,1.13,0.614,336.48,49,0
4.0,2,6.3,15,4,7.166,0.661,12,46.9,42.2,0.998,1.125,0.626,458.61,64,0
4.0,2,4.8,14,3,7.38,0.644,12,46.8,40.3,1.011,1.139,0.619,457.57,62,0
4.0,2,4.8,14,3,7.09,0.645,12,48.4,40.3,1.003,1.133,0.612,439.58,62,0
4.398,0,13.6,25,9,7.631,0.652,25,43.9,37.9,1.011,1.14,0.63,503.63,66,0
6.406,2,5.7,31,5,7.521,0.667,29,44.3,43.2,1.006,1.123,0.64,661.82,88,0
4.833,2,5.7,25,4,7.324,0.664,23,45.7,42.9,1.001,1.123,0.633,512.66,70,0
4.721,1,6.3,18,4,7.374,0.654,17,46.0,41.3,1.006,1.133,0.626,464.59,63,0
4.796,1,6.3,18,4,7.374,0.654,17,46.0,41.3,1.006,1.133,0.626,464.59,63,0
4.796,1,5.6,18,4,6.787,0.647,17,50.0,40.3,0.993,1.129,0.606,488.69,72,0
4.959,1,5.5,24,4,7.16,0.669,23,46.6,43.8,0.995,1.121,0.632,522.7,73,0
