pXC50,MATS4v,MATS4p,GATS4v,P_VSA_MR_7,SIC4,BIC5,SIC3,SIC5,BIC4,CIC3,CIC4,HNar,GNar,PDI,BIC3,SpMax3_Bh.p.,Uindex,LOC,SpMax2_Bh.m.,BAC,CIC5,GATS5v,X0A,X2A,MATS4m,X4v,SpMin1_Bh.m.,Eta_sh_p,MCD,SpMax4_Bh.p.,TIE,MATS7i,JGI6,SsCH3,X5v,NRS,Rperim,X3v,Mp,SM13_EA.bo.,C.001,nCp,SpMax2_Bh.e.,SM15_EA.bo.,JGI1,Yindex,Eig02_EA.bo.,SM12_AEA.ri.,SpMin1_Bh.v.,nCIC,nCIR,TRS,Eta_B_A,SpMax4_Bh.v.,SpMAD_AEA.ed.,JGT,C.006,NsCH3,P_VSA_LogP_1,SaasC,D.Dtr06,SM08_EA.bo.,CATS2D_09_AA,C.003
4.377,0.09,0.008,0.875,34.88,0.886,0.861,0.854,0.886,0.861,0.992,0.778,1.727,1.9,0.895,0.83,3.729,155.433,1.261,3.841,246.0,0.778,0.862,0.743,0.31,0.127,5.689,2.056,0.233,0.298,3.663,364.833,0.013,0.019,11.511,3.479,3,17,8.839,0.625,18.04,7,7,3.906,20.61,0.263,0.544,3.476,3.476,2.037,3,3,17,0.033,3.674,1.536,0.529,1,7,61.776,1.17,541.169,11.958,4,2
7.745,0.154,0.09,0.798,0.0,0.793,0.801,0.704,0.809,0.785,2.013,1.408,1.548,1.744,0.818,0.697,3.667,415.622,2.919,3.759,488.0,1.3,1.021,0.78,0.333,0.159,5.156,2.035,0.386,0.0,3.596,1048.87,-0.088,0.026,19.818,3.094,0,0,7.69,0.587,16.477,11,11,3.849,18.773,0.319,1.693,3.17,3.17,2.026,0,0,0,0.039,3.59,1.584,0.607,0,11,97.077,0.0,0.0,10.886,0,5
4.0,0.109,0.051,0.858,16.786,0.881,0.863,0.862,0.881,0.863,0.925,0.794,1.768,1.931,0.875,0.844,3.733,112.334,1.443,3.851,143.0,0.794,0.931,0.735,0.312,0.143,6.199,2.127,0.209,0.362,3.648,232.002,-0.004,0.018,8.955,4.101,3,17,8.627,0.61,17.541,4,4,3.918,20.048,0.255,0.592,3.506,3.506,2.083,3,3,17,0.031,3.645,1.509,0.49,0,5,46.184,1.986,421.366,11.587,2,2
5.167,0.055,-0.014,0.909,33.571,0.893,0.873,0.858,0.893,0.873,1.015,0.765,1.752,1.925,0.89,0.838,3.757,168.075,1.127,3.845,316.0,0.765,0.887,0.738,0.304,0.081,8.26,2.061,0.235,0.328,3.726,394.669,-0.093,0.019,18.266,5.144,4,22,12.273,0.618,17.851,9,9,3.915,20.311,0.229,0.442,3.479,3.479,2.048,4,4,22,0.031,3.735,1.547,0.486,2,10,87.823,1.947,632.503,11.995,3,4
8.947,0.071,0.021,0.869,0.0,0.842,0.833,0.811,0.859,0.817,1.181,0.987,1.708,1.883,0.857,0.786,3.69,106.063,1.206,3.838,133.0,0.882,0.914,0.746,0.314,0.053,3.828,2.037,0.243,0.308,3.574,207.386,-0.058,0.022,6.879,2.326,2,12,6.001,0.626,17.517,4,4,3.909,20.058,0.237,0.683,3.448,3.448,2.04,2,2,12,0.031,3.572,1.552,0.506,1,4,35.301,1.105,349.081,11.569,0,2
8.0,0.171,0.1,0.767,0.0,0.794,0.811,0.7,0.821,0.785,2.0,1.369,1.553,1.745,0.85,0.691,3.65,356.296,2.973,3.747,394.0,1.191,0.972,0.78,0.335,0.182,4.287,2.027,0.385,0.0,3.596,857.226,-0.1,0.026,19.944,2.504,0,0,6.835,0.594,16.619,11,11,3.829,18.944,0.314,1.689,3.231,3.231,2.02,0,0,0,0.038,3.59,1.571,0.602,0,11,97.077,0.0,0.0,10.942,1,5
6.155,0.155,0.124,0.765,0.0,0.846,0.84,0.755,0.846,0.84,1.586,0.995,1.543,1.735,0.832,0.749,3.611,249.87,2.799,3.724,278.0,0.995,1.033,0.782,0.336,0.106,3.743,2.046,0.398,0.0,3.554,525.97,-0.019,0.022,18.868,2.33,0,0,5.856,0.586,16.149,10,10,3.814,18.439,0.314,1.747,3.186,3.186,2.031,0,0,0,0.038,3.542,1.567,0.607,1,10,88.252,0.0,0.0,10.557,0,5
5.0,0.068,0.035,0.865,55.934,0.882,0.858,0.84,0.89,0.85,1.089,0.803,1.849,1.999,0.928,0.81,3.851,116.696,0.717,4.0,126.0,0.75,0.889,0.721,0.301,0.04,6.654,2.067,0.174,0.458,3.84,219.996,-0.084,0.02,9.008,4.38,4,27,10.072,0.654,19.466,5,5,3.993,22.361,0.214,0.398,3.616,3.616,2.056,5,6,29,0.028,3.833,1.526,0.462,3,5,44.126,3.426,1044.0,12.633,0,1
5.0,0.068,0.005,0.894,16.786,0.871,0.858,0.821,0.876,0.853,1.245,0.897,1.658,1.845,0.875,0.804,3.709,213.285,1.391,3.858,405.0,0.865,0.909,0.756,0.312,0.064,6.05,2.056,0.306,0.186,3.657,490.54,-0.075,0.02,20.11,3.563,2,11,9.73,0.61,17.643,10,10,3.924,20.082,0.267,0.645,3.493,3.493,2.039,2,2,11,0.034,3.663,1.566,0.542,0,12,107.531,1.294,284.043,11.788,2,3
5.0,-0.004,-0.023,0.942,16.786,0.874,0.858,0.828,0.89,0.843,1.176,0.858,1.873,2.012,0.929,0.798,3.843,116.681,0.752,3.919,110.0,0.752,0.916,0.717,0.297,-0.019,6.545,2.066,0.151,0.458,3.837,211.867,-0.082,0.019,8.745,4.234,4,27,9.898,0.645,19.445,4,4,3.992,22.347,0.19,0.392,3.636,3.636,2.055,5,6,29,0.024,3.832,1.525,0.424,3,5,46.184,3.573,1043.87,12.599,1,2
6.0,0.113,0.05,0.847,0.0,0.816,0.817,0.771,0.823,0.809,1.448,1.166,1.569,1.749,0.833,0.765,3.589,225.076,2.757,3.712,232.0,1.116,1.007,0.777,0.331,0.117,3.42,2.017,0.357,0.0,3.536,469.144,-0.074,0.024,12.717,1.919,0,0,5.299,0.584,16.138,7,8,3.811,18.45,0.273,1.919,3.118,3.118,2.018,0,0,0,0.032,3.521,1.553,0.557,2,7,61.776,0.0,0.0,10.503,0,3
5.0,0.022,-0.005,0.904,0.0,0.816,0.831,0.749,0.86,0.788,1.69,1.243,1.862,1.994,0.918,0.724,3.839,117.249,0.714,3.837,86.0,0.944,0.867,0.72,0.304,0.02,5.922,2.067,0.144,0.444,3.836,213.198,-0.052,0.018,7.24,3.813,4,24,9.023,0.645,17.636,4,4,3.912,20.113,0.175,0.468,3.451,3.451,2.057,4,4,24,0.023,3.83,1.505,0.401,3,4,35.301,3.381,991.445,11.923,0,2
5.0,-0.055,-0.058,1.021,33.571,0.905,0.884,0.883,0.905,0.884,0.812,0.658,1.815,1.966,0.901,0.862,3.749,136.666,0.832,3.85,150.0,0.658,0.877,0.727,0.304,-0.055,7.632,2.126,0.167,0.407,3.719,302.545,0.043,0.018,5.463,5.323,4,24,11.48,0.617,18.013,3,3,3.916,20.632,0.21,0.368,3.474,3.474,2.082,4,4,24,0.026,3.725,1.522,0.453,4,3,26.476,2.116,1099.67,11.868,4,3
5.0,0.102,0.035,0.858,33.571,0.867,0.856,0.802,0.878,0.845,1.39,0.935,1.722,1.895,0.891,0.782,3.735,184.078,1.337,3.864,333.0,0.857,0.901,0.744,0.311,0.094,6.52,2.056,0.253,0.254,3.695,416.752,-0.064,0.019,17.088,3.886,3,16,10.042,0.616,17.805,9,9,3.927,20.256,0.254,0.525,3.506,3.506,2.037,3,3,16,0.031,3.71,1.533,0.507,0,10,90.31,1.694,301.655,11.93,3,3
5.0,0.042,0.025,0.9,16.786,0.889,0.861,0.847,0.891,0.858,1.059,0.769,1.835,1.989,0.921,0.818,3.842,123.126,0.772,3.924,154.0,0.753,0.948,0.723,0.298,0.019,6.803,2.067,0.18,0.443,3.813,235.636,-0.065,0.019,12.254,4.424,4,27,10.303,0.642,19.477,6,6,3.997,22.37,0.215,0.401,3.636,3.636,2.058,5,6,29,0.028,3.812,1.534,0.468,2,7,63.834,3.287,1083.8,12.653,1,1
10.34,0.149,0.091,0.799,0.0,0.796,0.806,0.705,0.813,0.79,1.995,1.379,1.551,1.745,0.816,0.7,3.667,385.357,2.91,3.752,446.0,1.269,1.02,0.78,0.33,0.143,4.962,2.035,0.386,0.0,3.596,944.775,-0.061,0.024,20.057,2.965,0,0,7.493,0.585,16.431,11,12,3.843,18.733,0.311,1.712,3.167,3.167,2.026,0,0,0,0.037,3.59,1.587,0.601,1,11,97.077,0.0,0.0,10.82,0,5
5.0,0.016,-0.027,0.955,33.571,0.884,0.866,0.86,0.884,0.866,0.96,0.8,1.756,1.919,0.878,0.843,3.747,142.415,1.167,3.847,180.0,0.8,0.897,0.738,0.313,0.053,6.671,2.126,0.215,0.333,3.665,297.817,-0.016,0.018,10.754,4.568,3,18,9.933,0.611,17.975,6,6,3.914,20.605,0.25,0.473,3.462,3.462,2.082,3,3,18,0.03,3.67,1.516,0.498,1,6,52.951,2.231,754.219,11.807,2,2
5.0,0.051,0.0,0.908,33.571,0.889,0.87,0.86,0.899,0.86,0.953,0.761,1.827,1.971,0.909,0.833,3.787,132.084,1.093,3.845,132.0,0.691,0.878,0.726,0.309,0.072,6.105,2.065,0.166,0.397,3.739,264.87,-0.049,0.018,8.885,3.892,4,23,9.378,0.636,17.762,5,5,3.92,20.232,0.221,0.443,3.472,3.472,2.048,4,4,23,0.027,3.758,1.494,0.445,1,5,44.126,2.806,811.356,11.981,3,1
5.222,0.053,-0.003,0.918,33.571,0.873,0.856,0.842,0.873,0.856,1.092,0.881,1.676,1.856,0.875,0.826,3.727,195.539,1.331,3.87,317.0,0.881,0.915,0.753,0.318,0.088,6.741,2.059,0.28,0.214,3.655,423.033,0.035,0.018,18.458,4.382,2,12,10.233,0.619,18.042,10,10,3.914,20.659,0.272,0.579,3.474,3.474,2.042,2,2,12,0.034,3.652,1.543,0.54,3,10,88.252,2.212,536.56,11.882,4,4
5.569,0.037,0.008,0.907,16.786,0.896,0.873,0.878,0.896,0.873,0.803,0.682,1.917,2.031,0.912,0.855,3.725,90.687,0.744,3.84,39.0,0.682,0.824,0.711,0.301,0.048,6.573,2.126,0.102,0.522,3.69,163.404,0.015,0.013,1.851,4.729,4,24,9.374,0.633,17.074,0,0,3.907,19.527,0.173,0.452,3.446,3.446,2.081,4,4,24,0.02,3.693,1.494,0.383,4,1,7.19,1.216,813.11,11.403,1,1
4.276,0.032,-0.016,0.942,33.571,0.882,0.863,0.864,0.882,0.863,0.934,0.806,1.76,1.92,0.891,0.845,3.747,147.006,1.155,3.868,180.0,0.806,0.891,0.737,0.314,0.082,7.213,2.126,0.208,0.327,3.665,307.147,0.018,0.018,10.711,4.95,3,18,10.596,0.624,18.006,6,6,3.915,20.63,0.246,0.454,3.474,3.474,2.081,3,3,18,0.03,3.67,1.511,0.491,3,6,52.951,2.192,772.666,11.846,4,2
5.0,0.016,-0.027,0.955,33.571,0.884,0.866,0.86,0.884,0.866,0.96,0.8,1.756,1.919,0.878,0.843,3.747,142.415,1.167,3.847,180.0,0.8,0.897,0.738,0.313,0.053,6.671,2.126,0.215,0.333,3.665,297.817,-0.016,0.018,10.754,4.568,3,18,9.933,0.611,17.975,6,6,3.914,20.605,0.25,0.473,3.462,3.462,2.082,3,3,18,0.03,3.67,1.516,0.498,1,6,52.951,2.231,754.219,11.807,2,2
5.377,-0.056,-0.056,1.023,33.571,0.903,0.883,0.882,0.903,0.883,0.826,0.68,1.821,1.967,0.905,0.862,3.75,144.425,0.979,3.85,154.0,0.68,0.908,0.726,0.303,-0.061,7.881,2.126,0.167,0.393,3.722,311.504,0.044,0.018,7.233,5.52,4,24,11.751,0.615,18.021,4,4,3.916,20.639,0.203,0.363,3.474,3.474,2.082,4,4,24,0.024,3.73,1.517,0.445,5,4,35.301,2.146,1141.39,11.878,4,3
5.0,0.016,-0.027,0.955,33.571,0.881,0.862,0.86,0.881,0.862,0.959,0.813,1.756,1.919,0.89,0.841,3.747,142.415,1.167,3.849,180.0,0.813,0.887,0.738,0.313,0.051,6.536,2.126,0.215,0.333,3.665,301.722,-0.001,0.018,10.67,4.462,3,18,9.762,0.615,18.007,6,6,3.914,20.631,0.25,0.473,3.474,3.474,2.082,3,3,18,0.03,3.67,1.516,0.498,1,6,52.951,2.156,754.219,11.846,2,2
5.0,0.026,0.0,0.922,16.786,0.897,0.875,0.879,0.897,0.875,0.799,0.681,1.918,2.03,0.916,0.858,3.766,93.913,0.734,3.915,39.0,0.681,0.844,0.711,0.302,0.036,7.651,2.126,0.098,0.511,3.691,170.102,0.013,0.015,1.873,5.55,4,24,10.613,0.644,17.073,0,0,3.907,19.525,0.17,0.441,3.444,3.444,2.082,4,4,24,0.02,3.693,1.489,0.378,4,1,7.19,1.733,837.324,11.404,1,1
5.0,0.039,0.018,0.928,33.571,0.886,0.868,0.859,0.886,0.868,0.984,0.796,1.767,1.923,0.892,0.841,3.747,156.045,1.337,3.849,182.0,0.796,0.917,0.736,0.315,0.055,7.108,2.126,0.203,0.316,3.667,322.28,0.055,0.016,11.681,4.8,3,18,10.717,0.61,17.993,3,3,3.915,20.617,0.237,0.444,3.473,3.473,2.082,3,3,18,0.029,3.672,1.502,0.477,3,6,51.665,2.229,805.258,11.841,3,2
9.046,0.133,0.084,0.813,0.0,0.862,0.846,0.795,0.862,0.846,1.308,0.883,1.644,1.822,0.858,0.781,3.636,138.363,2.944,3.729,180.0,0.883,0.978,0.76,0.326,0.157,3.767,2.056,0.299,0.162,3.562,270.684,-0.035,0.022,13.237,2.239,1,6,5.83,0.606,17.082,7,7,3.823,19.61,0.257,0.95,3.169,3.169,2.049,1,1,6,0.032,3.555,1.539,0.523,1,7,61.776,0.605,163.611,11.146,0,3
5.347,0.018,-0.004,0.933,16.786,0.897,0.875,0.879,0.897,0.875,0.803,0.688,1.918,2.03,0.915,0.858,3.766,93.913,0.734,3.883,39.0,0.688,0.856,0.711,0.302,0.008,7.291,2.127,0.099,0.511,3.691,171.216,0.005,0.015,1.957,5.318,4,24,10.19,0.632,17.073,1,1,3.907,19.525,0.17,0.441,3.444,3.444,2.082,4,4,24,0.02,3.694,1.489,0.378,3,1,8.825,1.741,837.324,11.404,1,1
5.0,0.017,0.0,0.927,16.786,0.898,0.876,0.881,0.898,0.876,0.795,0.681,1.92,2.03,0.916,0.86,3.766,97.044,0.84,3.904,40.0,0.681,0.838,0.711,0.303,0.014,7.709,2.127,0.096,0.5,3.692,177.084,0.029,0.015,1.955,5.718,4,24,10.867,0.642,17.073,0,0,3.907,19.525,0.167,0.447,3.444,3.444,2.082,4,4,24,0.02,3.694,1.482,0.372,4,1,7.19,1.738,858.026,11.405,1,1
5.0,0.028,0.01,0.912,33.326,0.888,0.867,0.875,0.888,0.867,0.822,0.737,1.893,2.018,0.914,0.854,3.78,93.922,0.764,3.928,52.0,0.737,0.855,0.715,0.302,0.036,8.555,2.126,0.118,0.489,3.691,172.483,0.01,0.015,3.782,6.075,4,23,11.486,0.649,17.567,1,1,3.906,20.112,0.19,0.441,3.476,3.476,2.082,4,4,23,0.022,3.683,1.503,0.409,4,2,16.016,2.596,625.675,11.541,1,1
7.252,0.164,0.088,0.775,0.0,0.825,0.838,0.743,0.847,0.816,1.643,1.12,1.565,1.748,0.837,0.735,3.637,250.406,2.946,3.708,250.0,0.977,0.977,0.778,0.343,0.197,3.496,2.035,0.361,0.0,3.551,534.924,-0.093,0.027,15.271,2.103,0,0,5.445,0.589,15.973,8,8,3.801,18.236,0.314,1.621,3.058,3.058,2.021,0,0,0,0.036,3.537,1.531,0.588,1,8,70.602,0.0,0.0,10.48,0,4
5.699,0.158,0.093,0.779,0.0,0.802,0.817,0.711,0.825,0.794,1.929,1.323,1.553,1.745,0.837,0.704,3.649,356.296,2.973,3.743,394.0,1.168,0.99,0.78,0.335,0.167,4.435,2.035,0.385,0.0,3.596,844.256,-0.088,0.026,20.155,2.628,0,0,7.0,0.59,16.464,11,11,3.829,18.772,0.314,1.689,3.196,3.196,2.025,0,0,0,0.038,3.59,1.571,0.602,0,11,97.077,0.0,0.0,10.839,0,5
6.0,0.082,0.036,0.867,0.0,0.82,0.821,0.777,0.827,0.813,1.419,1.148,1.579,1.756,0.835,0.771,3.609,239.338,3.012,3.704,221.0,1.1,0.993,0.775,0.334,0.082,3.477,2.022,0.346,0.0,3.542,476.941,-0.051,0.024,12.942,1.93,0,0,5.545,0.584,16.09,7,7,3.813,18.394,0.265,1.486,3.088,3.088,2.015,0,0,0,0.032,3.528,1.537,0.547,2,7,61.776,0.0,0.0,10.479,0,3
5.0,0.014,-0.021,0.94,16.786,0.885,0.863,0.872,0.885,0.863,0.847,0.763,1.918,2.03,0.916,0.851,3.776,93.913,0.734,3.916,39.0,0.763,0.839,0.711,0.302,0.039,7.696,2.126,0.098,0.511,3.691,169.725,0.001,0.015,1.875,5.562,4,24,10.712,0.644,17.073,0,0,3.907,19.525,0.17,0.441,3.444,3.444,2.082,4,4,24,0.02,3.693,1.489,0.378,4,1,7.19,1.921,837.324,11.404,0,1
7.301,0.129,0.077,0.805,0.0,0.826,0.841,0.742,0.847,0.82,1.668,1.123,1.565,1.748,0.835,0.736,3.633,250.374,2.946,3.714,250.0,0.986,0.988,0.778,0.34,0.119,3.727,2.041,0.368,0.0,3.552,510.77,-0.086,0.022,17.347,2.174,0,0,5.836,0.586,15.987,9,9,3.808,18.263,0.3,1.625,3.121,3.121,2.026,0,0,0,0.036,3.541,1.537,0.581,1,9,79.427,0.0,0.0,10.452,0,4
5.678,0.013,-0.009,0.955,0.0,0.87,0.854,0.858,0.87,0.854,0.942,0.859,1.812,1.957,0.89,0.842,3.716,104.941,1.291,3.844,97.0,0.859,0.908,0.728,0.304,0.04,6.919,2.125,0.171,0.4,3.624,208.42,0.055,0.016,7.203,4.878,3,18,9.62,0.621,16.858,2,2,3.909,19.269,0.202,0.558,3.262,3.262,2.08,3,3,18,0.024,3.617,1.518,0.434,3,4,33.237,0.935,599.934,11.174,2,2
3.301,0.052,0.023,0.892,16.786,0.885,0.868,0.845,0.902,0.852,0.971,0.721,1.85,1.981,0.92,0.814,3.741,89.967,1.383,3.839,61.0,0.619,0.881,0.722,0.308,0.012,4.159,2.058,0.149,0.415,3.661,148.101,-0.03,0.015,5.105,2.603,3,17,6.214,0.64,17.429,2,2,3.909,19.907,0.198,0.572,3.473,3.473,2.04,3,3,17,0.023,3.663,1.486,0.408,1,3,28.533,2.114,363.898,11.629,0,1
5.0,-0.014,-0.04,0.974,16.786,0.893,0.873,0.881,0.893,0.873,0.794,0.714,1.873,2.005,0.904,0.862,3.771,100.501,0.844,3.921,70.0,0.714,0.863,0.718,0.297,-0.011,8.013,2.126,0.13,0.469,3.691,189.181,0.024,0.015,3.707,5.697,4,23,11.26,0.634,18.382,0,1,3.931,21.122,0.183,0.435,3.476,3.476,2.082,4,4,23,0.022,3.694,1.518,0.416,5,2,15.587,2.291,654.392,11.852,2,1
8.523,0.126,0.083,0.805,0.0,0.829,0.843,0.751,0.849,0.823,1.621,1.116,1.552,1.741,0.834,0.745,3.633,262.456,2.902,3.724,279.0,0.984,0.991,0.78,0.337,0.106,3.923,2.046,0.386,0.0,3.566,550.255,-0.033,0.023,19.064,2.365,0,0,6.192,0.586,16.147,10,10,3.815,18.436,0.306,1.699,3.185,3.185,2.031,0,0,0,0.037,3.558,1.56,0.595,1,10,88.252,0.0,0.0,10.558,0,5
7.569,0.142,0.099,0.785,0.0,0.824,0.836,0.739,0.845,0.816,1.689,1.141,1.552,1.741,0.848,0.732,3.633,262.456,2.902,3.725,279.0,1.006,0.977,0.78,0.337,0.116,3.737,2.034,0.386,0.0,3.566,559.919,-0.032,0.023,18.814,2.223,0,0,5.999,0.591,16.34,10,10,3.815,18.651,0.306,1.699,3.194,3.194,2.023,0,0,0,0.037,3.558,1.56,0.595,1,10,88.252,0.0,0.0,10.689,0,5
5.0,0.019,0.02,0.948,7.958,0.884,0.88,0.85,0.894,0.871,0.979,0.756,1.784,1.921,0.886,0.837,3.798,110.138,1.911,3.834,82.0,0.691,0.933,0.735,0.315,0.035,6.599,2.128,0.164,0.3,3.658,213.976,0.02,0.017,5.853,4.9,2,12,9.279,0.615,17.687,3,3,3.91,20.296,0.207,0.688,3.435,3.435,2.084,2,2,12,0.023,3.635,1.481,0.445,2,3,26.476,0.929,359.792,11.445,1,2
5.0,0.014,-0.012,0.958,7.958,0.886,0.882,0.853,0.895,0.872,0.969,0.753,1.789,1.923,0.887,0.84,3.817,114.863,1.882,3.846,82.0,0.69,0.94,0.734,0.316,0.009,6.828,2.128,0.16,0.293,3.658,222.991,-0.003,0.017,5.861,4.911,2,12,9.595,0.614,17.682,3,3,3.909,20.288,0.202,0.667,3.443,3.443,2.084,2,2,12,0.023,3.643,1.476,0.437,2,3,26.476,1.084,372.166,11.446,1,2
9.0,0.052,0.04,0.901,0.0,0.869,0.853,0.822,0.874,0.847,1.196,0.881,1.709,1.878,0.88,0.802,3.735,167.125,1.047,3.845,210.0,0.843,0.992,0.747,0.315,0.009,5.291,2.056,0.243,0.235,3.614,358.219,-0.016,0.018,9.901,3.361,2,12,8.092,0.619,17.244,5,5,3.919,19.678,0.24,0.552,3.467,3.467,2.035,2,2,12,0.029,3.619,1.532,0.498,1,6,55.009,1.677,489.865,11.565,0,2
9.0,0.091,0.04,0.883,16.786,0.858,0.846,0.835,0.868,0.837,1.139,0.982,1.844,1.98,0.903,0.815,3.813,128.325,1.087,3.889,111.0,0.916,0.932,0.723,0.314,0.136,8.459,2.125,0.153,0.404,3.733,248.608,-0.02,0.016,9.44,5.831,4,23,11.201,0.632,17.5,5,5,3.919,19.963,0.225,0.438,3.472,3.472,2.08,4,4,23,0.027,3.747,1.474,0.433,1,5,44.126,2.484,796.398,11.735,2,2
4.398,-0.034,-0.022,0.996,22.456,0.854,0.842,0.784,0.878,0.819,1.496,1.015,1.855,1.994,0.938,0.752,3.854,147.203,0.77,3.901,150.0,0.849,0.95,0.721,0.302,-0.11,6.99,2.062,0.14,0.426,3.853,326.685,0.019,0.015,2.593,4.617,5,29,10.651,0.65,18.551,1,1,3.959,21.171,0.201,0.367,3.506,3.506,2.072,5,5,29,0.024,3.846,1.509,0.429,1,2,25.378,2.737,1285.77,12.409,4,0
6.921,0.081,0.044,0.888,0.0,0.831,0.823,0.806,0.846,0.808,1.363,1.189,1.741,1.921,0.889,0.784,3.746,155.711,2.446,4.065,341.0,1.083,0.977,0.739,0.307,0.082,7.507,2.045,0.242,0.281,3.682,351.961,-0.05,0.02,15.354,4.927,2,18,10.642,0.622,20.193,8,8,4.108,23.179,0.261,0.432,4.474,4.474,2.038,4,6,22,0.033,3.682,1.561,0.517,0,9,81.485,1.478,485.898,12.933,0,2
7.959,0.15,0.067,0.787,0.0,0.785,0.805,0.725,0.812,0.779,1.832,1.432,1.54,1.735,0.83,0.719,3.632,341.884,2.928,3.732,391.0,1.256,0.971,0.783,0.337,0.172,4.175,2.034,0.403,0.0,3.573,759.757,-0.136,0.027,21.737,2.348,0,0,6.572,0.586,16.579,12,12,3.821,18.896,0.333,1.725,3.208,3.208,2.024,0,0,0,0.041,3.57,1.568,0.628,1,12,105.902,0.0,0.0,10.906,0,4
8.398,0.087,0.065,0.867,16.786,0.868,0.865,0.83,0.887,0.845,1.214,0.945,1.762,1.93,0.9,0.809,3.787,177.288,1.11,3.861,316.0,0.803,0.966,0.736,0.307,0.045,8.121,2.057,0.216,0.319,3.719,436.808,-0.014,0.018,12.364,5.266,4,22,11.827,0.622,17.783,7,7,3.931,20.237,0.229,0.382,3.477,3.477,2.04,4,4,22,0.03,3.725,1.537,0.474,1,7,61.776,2.05,646.62,11.971,1,3
8.0,0.128,0.068,0.811,0.0,0.829,0.847,0.777,0.854,0.821,1.392,1.07,1.574,1.751,0.836,0.77,3.613,203.596,2.921,3.683,190.0,0.912,0.985,0.776,0.347,0.148,3.035,2.03,0.35,0.0,3.51,392.067,-0.12,0.023,13.42,1.744,0,0,4.762,0.586,15.61,7,7,3.786,17.819,0.306,1.573,3.008,3.008,2.01,0,0,0,0.034,3.515,1.509,0.577,2,7,61.776,0.0,0.0,10.235,0,3
8.824,0.113,0.068,0.833,0.0,0.87,0.854,0.803,0.87,0.854,1.283,0.848,1.636,1.817,0.854,0.789,3.639,172.266,3.178,3.803,237.0,0.848,0.994,0.761,0.323,0.1,4.411,2.055,0.309,0.143,3.561,361.185,-0.095,0.023,14.015,2.678,1,6,6.627,0.606,16.826,7,7,3.89,19.23,0.274,0.877,3.245,3.245,2.034,1,1,6,0.032,3.576,1.548,0.541,0,8,72.659,0.824,196.128,11.165,0,3
6.0,0.046,-0.011,0.927,16.786,0.868,0.849,0.852,0.868,0.849,1.007,0.897,1.8,1.962,0.892,0.833,3.758,106.806,1.249,3.865,135.0,0.897,0.898,0.729,0.303,0.093,7.462,2.126,0.195,0.431,3.733,223.48,-0.055,0.018,11.382,5.202,4,22,10.124,0.615,17.757,6,6,3.937,20.266,0.241,0.502,3.508,3.508,2.082,4,4,22,0.031,3.742,1.522,0.499,1,6,52.951,1.369,452.152,11.745,2,2
6.0,0.029,-0.023,0.932,16.786,0.875,0.858,0.846,0.883,0.851,1.054,0.85,1.88,2.02,0.912,0.822,3.82,104.333,0.953,3.855,86.0,0.797,0.855,0.716,0.301,0.067,7.578,2.126,0.142,0.509,3.733,209.18,-0.026,0.018,6.933,5.174,5,28,10.516,0.628,17.677,3,3,3.929,20.148,0.203,0.4,3.472,3.472,2.082,5,5,28,0.027,3.751,1.501,0.432,2,4,34.872,2.373,731.176,11.834,3,2
6.0,0.035,-0.009,0.932,26.262,0.883,0.859,0.864,0.883,0.859,0.903,0.78,1.817,1.977,0.899,0.841,3.74,96.792,1.128,3.852,108.0,0.78,0.888,0.726,0.3,0.061,6.716,2.126,0.186,0.458,3.732,198.901,-0.054,0.018,6.894,4.518,4,22,9.285,0.623,17.501,3,3,3.928,19.962,0.225,0.505,3.472,3.472,2.082,4,4,22,0.03,3.733,1.526,0.47,0,4,34.872,1.35,422.827,11.621,2,2
6.0,0.056,0.008,0.906,16.786,0.877,0.854,0.857,0.877,0.854,0.941,0.813,1.834,1.988,0.902,0.835,3.733,90.383,1.061,3.84,86.0,0.813,0.872,0.723,0.303,0.08,6.398,2.126,0.171,0.478,3.706,181.614,-0.056,0.018,6.922,4.275,4,22,8.824,0.62,17.436,3,3,3.922,19.889,0.224,0.505,3.472,3.472,2.082,4,4,22,0.03,3.707,1.519,0.46,1,4,34.872,1.367,403.61,11.579,2,2
6.523,0.18,0.098,0.755,0.0,0.82,0.814,0.742,0.82,0.814,1.573,1.102,1.527,1.718,0.824,0.737,3.553,159.914,2.53,3.68,186.0,1.102,1.061,0.786,0.345,0.22,2.944,2.035,0.409,0.0,3.518,303.895,-0.118,0.027,15.306,1.643,0,0,4.221,0.584,15.723,8,8,3.788,18.002,0.333,1.973,2.969,2.969,2.022,0,0,0,0.039,3.514,1.559,0.619,0,8,70.602,0.0,0.0,10.188,0,3
5.0,0.013,-0.012,0.957,7.958,0.884,0.88,0.861,0.894,0.871,0.909,0.756,1.784,1.921,0.886,0.847,3.816,110.371,1.828,3.846,79.0,0.691,0.948,0.735,0.315,0.007,6.701,2.128,0.164,0.3,3.657,213.054,-0.008,0.017,5.757,4.81,2,12,9.326,0.615,17.681,3,3,3.909,20.288,0.207,0.657,3.443,3.443,2.084,2,2,12,0.023,3.642,1.484,0.445,2,3,26.476,1.082,361.864,11.445,1,2
