pXC50,nCsp2,H.,C.,N.,Me,nC,nBM,SCBO,nSK,nBO,Sv,MW,Sp
4.914,16,36.4,48.5,6.1,1.011,16,15,32.5,21,23,23.294,296.37,24.375
5.516,19,35.7,44.6,5.4,1.029,25,23,54.0,36,40,39.109,526.0,40.102
5.449,17,43.4,43.4,5.7,1.009,23,16,43.0,30,33,34.191,405.49,35.449
5.107,17,36.0,42.0,8.0,1.023,21,23,47.5,32,35,35.194,486.64,37.114
5.4,14,45.1,41.2,9.8,1.002,21,19,41.5,28,31,32.278,377.49,33.79
5.525,20,39.1,47.8,4.3,1.007,22,23,43.0,28,31,31.589,390.49,33.114
5.352,27,35.8,50.9,1.9,1.019,27,27,52.0,34,37,37.051,453.47,37.585
4.268,15,44.7,44.7,5.3,0.998,17,14,30.0,21,22,24.8,300.81,26.415
5.424,14,38.2,47.1,2.9,1.006,16,14,31.5,21,23,23.986,315.44,25.779
5.02,17,32.4,48.6,8.1,1.028,18,22,39.5,25,28,26.67,353.78,27.046
5.51,16,36.4,40.9,4.5,1.034,18,20,42.0,28,30,30.393,420.5,31.364
4.268,4,41.4,31.0,6.9,1.037,9,5,23.0,17,18,18.91,276.37,19.932
5.436,17,30.3,51.5,3.0,1.035,17,16,35.0,23,25,24.342,327.73,24.489
6.398,9,43.8,39.6,6.3,1.011,19,9,36.5,27,30,31.604,426.4,33.904
6.398,11,49.3,35.8,4.5,1.005,24,16,47.0,34,37,40.914,507.74,44.006
5.452,15,30.6,47.2,8.3,1.034,17,20,40.0,25,27,26.218,353.38,26.528
4.918,9,23.8,42.9,9.5,1.048,9,9,23.5,16,17,16.925,317.2,18.091
4.775,7,43.2,37.8,5.4,1.014,14,8,28.5,21,23,24.249,324.46,26.0
5.548,13,42.3,38.5,11.5,1.019,20,19,44.5,30,33,33.202,410.48,33.943
4.708,10,43.3,43.3,10.0,1.002,13,15,26.5,17,19,19.413,227.29,20.279
5.142,19,33.3,48.7,12.8,1.011,19,26,43.5,26,30,28.116,359.44,29.176
5.543,15,32.5,42.5,10.0,1.038,17,16,39.5,27,29,28.593,404.86,29.153
4.955,10,40.5,40.5,5.4,1.028,15,12,30.5,22,24,24.417,322.77,25.017
5.626,23,32.7,51.0,4.1,1.017,25,28,53.5,33,38,35.964,472.57,37.455
5.187,17,43.6,45.5,3.6,1.004,25,19,46.0,31,35,35.697,416.51,37.205
5.59,26,37.9,48.3,6.9,1.012,28,30,56.5,36,40,39.686,478.54,40.693
5.394,21,36.7,46.9,6.1,1.021,23,24,46.5,31,34,33.965,435.89,34.784
6.105,20,42.6,44.4,5.6,1.008,24,23,45.5,31,34,35.191,417.5,36.449
5.327,15,39.0,43.9,9.8,1.017,18,18,38.0,25,28,27.391,336.38,27.955
5.56,18,33.3,50.0,5.6,1.019,18,19,37.5,24,27,26.008,336.39,26.83
5.963,16,37.8,40.0,6.7,1.034,18,17,40.0,28,29,30.228,403.45,30.722
4.845,21,38.6,43.9,3.5,1.027,25,21,49.0,35,37,38.781,517.39,39.83
5.115,18,38.0,40.0,14.0,1.026,20,22,46.0,31,33,33.17,421.46,33.426
5.092,16,38.5,43.6,12.8,1.015,17,19,36.0,24,26,26.171,321.37,26.745
5.464,18,39.3,42.9,7.1,1.019,24,20,49.5,34,38,37.588,478.57,38.796
4.268,13,46.6,37.9,1.7,1.012,22,17,44.0,31,33,36.533,465.64,38.926
5.792,15,33.3,50.0,6.7,1.017,15,17,30.5,20,22,22.244,349.62,23.483
5.566,15,38.1,40.5,9.5,1.02,17,18,38.0,26,28,28.765,388.51,30.25
5.83,6,45.2,35.5,6.5,1.01,11,7,22.5,17,18,20.007,270.41,21.784
4.675,16,40.0,48.6,5.7,0.997,17,18,33.0,21,23,24.106,294.4,25.682
5.356,13,31.6,42.1,2.6,1.049,16,14,36.5,26,28,27.673,413.88,28.454
5.801,20,37.0,42.6,7.4,1.023,23,23,51.5,34,37,37.248,496.61,38.682
5.464,16,35.7,42.9,2.4,1.027,18,17,40.0,27,29,29.844,421.55,31.551
5.732,14,34.8,39.1,4.3,1.036,18,18,45.5,30,33,32.768,484.64,34.659
5.044,20,31.8,47.7,6.8,1.033,21,21,46.0,30,33,31.824,468.28,32.21
5.358,18,40.0,48.9,4.4,1.006,22,19,41.5,27,31,30.402,358.42,31.466
5.589,13,48.9,40.4,6.4,0.996,19,13,33.0,24,26,28.762,325.45,30.54
4.852,11,28.6,39.3,17.9,1.056,11,15,30.0,20,21,20.133,293.69,19.773
4.3,13,40.0,40.0,4.4,1.029,18,14,37.5,27,29,29.733,390.45,30.477
5.889,16,30.3,51.5,3.0,1.032,17,15,35.0,23,26,24.54,372.18,24.983
5.071,22,38.3,48.9,4.3,1.012,23,21,44.0,29,32,32.116,386.43,32.921
4.268,6,56.8,36.4,6.8,0.978,16,6,24.0,19,21,24.859,259.44,27.393
5.431,16,36.8,47.4,2.6,1.018,18,12,34.0,24,25,27.346,427.13,29.074
4.675,6,56.3,37.5,3.1,0.982,24,7,35.0,28,30,36.428,384.62,39.864
5.464,12,38.9,44.4,0.0,1.032,16,12,31.0,22,25,23.976,302.3,24.057
5.553,15,26.5,47.1,8.8,1.049,16,21,39.0,25,28,25.742,377.42,26.142
5.21,23,41.9,45.2,3.2,1.012,28,22,52.0,36,39,40.653,486.56,41.875
5.591,13,33.3,38.9,11.1,1.046,14,16,35.5,24,25,24.954,348.37,24.989
5.357,19,35.8,45.3,5.7,1.027,24,23,51.5,34,39,36.754,477.53,37.483
4.268,12,42.9,38.8,4.1,1.031,19,14,38.0,28,30,31.319,414.49,32.211
5.351,13,36.4,38.6,13.6,1.038,17,19,42.0,28,31,29.336,384.39,29.114
5.329,19,27.9,48.8,9.3,1.033,21,27,50.5,31,35,32.426,448.51,33.182
5.233,20,38.1,39.7,9.5,1.027,25,29,60.5,39,43,42.533,568.69,43.909
5.474,16,27.5,42.5,7.5,1.063,17,19,44.0,29,31,29.077,417.38,28.346
4.624,19,34.3,54.3,0.0,1.017,19,19,36.5,23,26,25.02,304.31,25.386
5.306,12,50.0,44.4,5.6,0.98,16,12,26.0,18,20,22.257,238.36,24.103
5.932,14,42.0,38.0,6.0,1.026,19,15,39.5,29,30,32.281,419.5,33.244
4.268,29,38.9,53.7,7.4,0.989,29,34,55.0,33,38,37.563,425.54,39.495
4.396,13,45.9,43.2,8.1,0.988,16,13,29.0,20,22,23.939,283.43,25.995
5.961,19,31.7,48.8,7.3,1.021,20,23,44.5,28,32,30.217,407.5,31.483
5.413,11,50.8,36.5,6.3,1.001,23,10,40.0,31,33,37.32,428.59,39.5
5.358,11,43.2,40.5,2.7,1.015,15,12,28.5,21,22,24.395,325.84,25.966
5.186,12,47.1,41.2,7.8,0.998,21,16,39.5,27,31,31.783,364.49,33.546
5.248,16,37.0,43.5,6.5,1.026,20,23,45.5,29,33,31.513,411.47,32.267
5.461,13,35.5,45.2,3.2,1.033,14,13,28.0,20,21,21.982,312.16,22.653
5.143,18,43.5,47.8,0.0,1.003,22,16,38.0,26,28,30.127,348.42,31.432
4.268,19,38.3,48.9,0.0,1.014,23,17,43.5,29,32,32.502,406.48,33.773
5.548,17,40.7,40.7,10.2,1.008,24,23,51.5,35,39,39.86,524.75,42.739
5.768,18,31.9,48.9,10.6,1.018,23,24,50.0,32,35,34.825,480.4,36.415
5.676,14,31.3,43.8,15.6,1.028,14,18,33.5,22,24,23.417,331.81,24.273
5.238,18,36.4,45.5,9.1,1.017,20,23,43.0,28,31,30.578,392.47,31.602
5.45,16,39.5,47.4,2.6,1.01,18,12,33.0,23,24,26.518,392.69,28.216
5.311,17,47.6,41.3,3.2,0.999,26,18,45.5,33,36,39.464,466.65,42.137
5.492,16,38.2,52.9,2.9,1.002,18,18,34.5,21,24,23.612,275.32,24.483
5.565,10,40.6,37.5,9.4,1.024,12,9,26.0,19,20,21.03,279.35,21.835
4.47,15,27.0,45.9,10.8,1.034,17,22,43.0,27,30,28.372,414.52,29.614
5.8,19,29.3,46.3,9.8,1.043,19,22,44.0,29,31,30.234,431.25,30.364
4.778,15,41.5,46.3,2.4,1.012,19,14,35.0,24,27,27.095,323.37,27.915
5.635,16,40.8,40.8,4.1,1.03,20,17,41.0,29,30,31.788,400.42,32.046
5.412,13,39.1,39.1,13.0,1.027,18,19,42.5,28,31,30.148,382.42,30.421
4.268,11,29.2,45.8,8.3,1.033,11,12,24.0,17,18,18.82,305.62,20.278
5.745,12,40.0,46.7,6.7,1.009,14,13,27.5,18,20,20.106,240.28,20.727
4.879,13,32.4,41.2,14.7,1.043,14,19,36.5,23,25,23.547,313.3,23.131
4.268,24,31.9,51.1,6.4,1.021,24,23,50.5,32,36,34.271,441.49,35.051
5.407,15,22.6,48.4,6.5,1.075,15,17,37.0,24,26,23.295,330.24,21.96
5.258,18,39.1,43.5,4.3,1.011,20,18,42.0,28,30,31.963,430.61,34.409
5.496,18,33.3,48.7,7.7,1.02,19,23,41.0,26,29,28.03,363.42,28.835
5.763,16,33.3,48.5,3.0,1.02,16,15,33.5,22,24,24.174,329.42,25.472
5.834,25,36.5,50.0,5.8,1.013,26,26,51.5,33,37,36.138,437.48,36.926
5.598,17,36.8,50.0,10.5,1.004,19,22,39.5,24,27,26.434,314.37,27.284
6.128,17,28.6,48.6,8.6,1.028,17,19,39.0,25,28,26.803,387.89,28.125
5.635,18,44.9,46.9,0.0,1.001,23,16,39.0,27,29,31.654,362.45,33.193
5.833,16,43.2,45.5,4.5,1.003,20,15,36.0,25,27,29.041,354.86,30.631
5.415,12,40.0,40.0,7.5,1.022,16,13,33.5,24,26,26.911,365.87,28.216
4.715,23,34.6,44.2,7.7,1.036,23,24,51.0,34,36,35.777,462.45,35.534
6.398,22,40.4,48.1,5.8,1.005,25,27,48.5,31,35,34.95,411.49,36.233
5.717,14,28.0,56.0,0.0,1.03,14,14,28.5,18,20,19.277,303.11,19.761
5.954,15,29.4,47.1,8.8,1.034,16,21,38.0,24,27,25.359,359.43,26.205
6.398,17,33.3,51.5,9.1,1.015,17,19,35.5,22,25,23.601,289.31,23.972
5.314,16,45.5,45.5,4.5,0.99,20,15,35.0,24,26,28.686,336.49,30.966
4.268,9,43.8,37.5,18.8,1.005,12,15,27.5,18,20,20.236,242.32,21.08
5.424,14,36.1,41.7,11.1,1.031,15,15,33.0,23,24,24.692,332.77,25.051
5.458,19,37.5,50.0,7.5,1.007,20,23,40.0,25,28,27.655,329.38,28.495
5.58,19,32.7,44.2,3.8,1.043,23,18,50.5,35,38,37.018,516.56,37.517
5.28,16,39.6,41.7,10.4,1.021,20,19,43.0,29,32,31.654,393.44,32.176
5.056,12,41.5,41.5,7.3,1.007,17,16,35.5,24,27,27.556,359.51,29.551
5.794,18,36.2,44.7,6.4,1.015,21,20,45.0,30,33,33.458,455.62,35.653
5.335,22,44.9,44.9,1.4,1.005,31,21,54.0,38,42,44.212,513.63,46.154
5.566,23,34.6,48.1,3.8,1.025,25,22,51.0,34,38,36.733,474.52,37.477
5.472,20,35.2,38.9,9.3,1.04,21,24,52.0,35,37,37.172,517.59,37.835
5.77,14,30.0,50.0,3.3,1.038,15,14,31.5,21,23,22.455,322.15,22.892
5.343,35,32.3,41.4,0.0,1.067,41,35,92.0,67,72,68.014,940.73,64.999
5.378,14,42.0,38.0,8.0,1.016,19,16,41.0,29,31,33.173,453.03,35.392
5.315,21,32.0,46.0,8.0,1.04,23,24,52.0,34,37,35.25,460.43,34.773
6.081,17,39.1,43.5,8.7,1.02,20,22,42.5,28,31,30.632,378.42,31.171
5.209,21,44.4,46.3,3.7,0.994,25,23,45.0,30,33,35.454,416.58,37.943
5.447,14,40.0,38.0,12.0,1.029,19,18,44.0,30,32,32.39,412.45,32.637
5.81,24,31.9,51.1,6.4,1.021,24,23,50.5,32,36,34.271,441.49,35.051
4.278,20,35.7,47.6,11.9,1.014,20,24,42.5,27,30,29.171,357.4,29.745
5.816,6,47.4,36.8,5.3,1.015,7,6,13.0,10,10,11.558,139.17,11.96
5.25,13,45.0,42.5,5.0,1.0,17,13,31.5,22,24,25.874,314.44,27.659
5.566,17,38.8,42.9,10.2,1.01,21,23,45.0,30,33,33.598,437.59,35.563
5.502,12,44.2,39.5,7.0,1.01,17,17,35.0,24,26,27.61,345.46,29.12
5.312,9,39.1,43.5,4.3,1.027,10,11,21.0,14,15,15.273,191.2,15.415
5.27,19,28.2,51.3,7.7,1.031,20,25,46.5,28,31,29.218,389.41,29.528
4.734,16,30.8,43.6,5.1,1.045,17,16,39.5,27,29,28.34,404.45,28.841
5.841,14,47.7,40.9,11.4,0.99,18,17,34.0,23,25,27.321,307.44,29.12
4.635,16,27.5,40.0,17.5,1.055,16,23,45.5,29,31,28.965,413.41,28.483
5.854,12,47.8,39.1,4.3,1.002,18,13,32.5,24,25,28.642,346.49,30.637
5.145,21,28.6,50.0,4.8,1.041,21,21,45.5,30,33,31.461,442.87,31.841
5.425,14,30.3,45.5,6.1,1.052,15,18,35.0,23,25,23.439,314.27,22.784
5.4,21,37.2,48.8,9.3,1.008,21,24,43.5,27,30,29.676,356.41,30.5
5.356,15,43.8,41.7,10.4,1.005,20,21,41.0,27,30,30.751,363.46,32.029
5.637,18,39.6,43.4,5.7,1.009,23,20,47.0,32,35,36.511,483.68,39.176
5.524,13,36.4,45.5,0.0,1.038,15,13,30.0,21,23,22.45,288.27,22.295
5.057,10,48.4,35.9,7.8,1.006,23,13,44.0,33,36,39.002,473.66,41.392
4.268,20,44.4,46.3,7.4,0.992,25,23,45.5,30,34,35.068,396.53,37.091
5.027,14,42.9,40.8,6.1,1.013,20,16,41.0,28,31,31.852,399.51,33.335
5.357,15,40.0,45.0,5.0,1.017,18,18,36.0,24,26,26.59,324.36,27.159
4.544,16,39.4,51.5,6.1,0.995,17,17,31.5,20,23,23.031,280.77,24.438
5.478,15,24.2,45.5,9.1,1.068,15,17,38.5,25,27,24.761,361.71,23.886
4.268,15,42.9,42.9,6.1,1.006,21,15,40.0,28,31,32.137,395.52,33.881
5.048,16,37.8,44.4,6.7,1.019,20,16,41.5,28,31,30.798,395.47,31.813
5.342,22,40.7,44.1,6.8,1.015,26,22,51.5,35,38,38.928,472.54,39.909
5.673,20,38.0,44.0,6.0,1.027,22,22,47.0,31,33,33.567,421.44,33.835
6.045,13,34.2,39.5,13.2,1.031,15,19,38.0,25,27,26.733,375.47,27.733
5.84,14,25.8,48.4,9.7,1.041,15,20,37.0,23,27,23.832,345.4,24.443
4.772,10,34.5,44.8,6.9,1.045,13,12,27.5,19,21,19.873,264.25,19.602
5.417,12,40.0,42.5,7.5,1.012,17,16,35.5,24,27,27.224,361.5,29.034
4.268,16,31.6,44.7,10.5,1.042,17,20,41.0,26,29,26.767,352.33,26.341
5.427,18,37.0,43.5,8.7,1.031,20,21,43.5,29,31,31.016,396.41,31.108
5.459,14,45.3,39.6,7.5,1.01,21,12,40.0,29,31,33.213,396.49,34.455
5.441,22,36.2,51.1,2.1,1.001,24,21,46.5,30,34,34.227,447.63,36.949
5.685,15,36.1,44.4,8.3,1.029,16,15,34.0,23,25,24.557,311.32,24.642
5.497,17,40.9,43.2,9.1,1.013,19,19,39.0,26,28,28.918,350.41,29.716
5.45,18,34.0,43.4,5.7,1.033,23,19,52.0,35,39,37.797,531.65,39.261
4.961,18,46.0,44.0,6.0,0.996,22,19,39.5,27,29,31.762,361.48,33.54
4.184,6,43.2,35.1,2.7,1.029,13,8,27.0,21,22,24.577,372.72,26.443
4.54,19,27.5,50.0,5.0,1.041,20,23,46.0,29,33,30.265,426.85,30.597
5.868,22,44.1,44.1,0.0,1.013,30,24,54.0,38,41,43.62,518.6,45.057
5.453,11,40.9,36.4,9.1,1.03,16,13,35.5,26,28,28.534,378.45,29.273
5.522,16,38.5,46.2,5.1,1.018,18,15,35.0,24,26,26.702,342.8,27.563
5.529,13,38.3,42.6,4.3,1.025,20,15,41.0,29,32,32.485,453.37,34.046
6.398,11,46.3,39.0,9.8,1.003,16,13,30.5,22,23,25.842,318.84,27.426
5.456,17,41.5,43.4,7.5,1.008,23,19,46.0,31,35,35.158,434.56,36.887
6.398,13,47.8,41.3,4.3,0.995,19,13,33.0,24,26,28.928,342.5,31.182
5.813,17,34.1,46.3,7.3,1.018,19,19,41.0,27,30,29.856,415.95,31.648
5.285,20,38.2,45.5,5.5,1.022,25,24,51.5,34,38,37.094,459.49,37.597
5.658,10,30.4,43.5,4.3,1.049,10,9,23.0,16,17,16.648,237.25,16.756
4.268,16,35.1,45.9,5.4,1.031,17,15,35.0,24,26,25.89,344.77,26.256
5.272,13,51.1,42.6,4.3,0.984,20,13,32.0,23,25,28.552,308.46,30.841
5.204,17,30.3,51.5,9.1,1.025,17,19,37.0,23,26,24.429,323.75,24.83
5.642,15,31.3,46.9,6.3,1.043,15,15,33.0,22,24,22.724,298.27,22.33
5.591,26,33.9,46.4,8.9,1.025,26,32,59.0,37,41,39.556,513.57,40.278
5.815,15,29.7,43.2,8.1,1.044,16,17,39.5,26,28,27.12,389.44,27.631
5.332,14,40.0,45.7,5.7,1.014,16,17,32.0,21,23,23.348,282.32,23.943
5.644,22,38.9,46.3,5.6,1.012,25,26,51.0,33,36,36.852,459.56,38.335
4.775,19,33.3,48.9,0.0,1.03,22,17,44.5,30,33,32.716,487.34,33.818
5.162,19,35.6,48.9,4.4,1.023,22,23,45.5,29,32,31.304,388.4,31.614
4.268,9,45.5,38.6,4.5,1.018,17,9,32.0,24,26,27.358,332.39,28.137
5.468,11,44.4,40.0,6.7,1.007,18,10,34.0,25,27,29.25,377.93,31.284
5.509,19,41.1,44.6,5.4,1.014,25,20,48.5,33,37,36.906,445.51,37.904
5.803,21,29.3,53.7,12.2,1.022,22,28,49.0,29,33,30.312,381.39,30.466
5.221,6,55.3,34.0,4.3,0.99,16,8,27.0,21,22,26.981,310.51,29.705
5.324,16,41.7,45.8,4.2,1.01,22,13,41.0,28,31,31.643,376.44,32.682
5.27,16,41.5,48.8,4.9,1.003,20,18,36.5,24,27,27.355,320.39,28.495
6.398,9,41.7,41.7,8.3,1.002,15,12,31.0,21,24,24.314,317.47,26.335
5.61,18,35.0,47.5,7.5,1.015,19,22,40.5,26,29,28.697,383.5,30.273
6.07,13,52.8,37.5,5.6,0.992,27,13,44.0,34,37,42.186,466.69,45.33
4.268,19,36.1,52.8,8.3,1.001,19,23,38.0,23,26,25.413,299.35,26.279
5.488,16,38.5,46.2,5.1,1.009,18,15,35.0,24,26,27.372,403.32,29.25
4.579,9,39.5,39.5,7.9,1.023,15,9,31.5,23,25,26.024,372.3,27.619
5.19,14,29.0,45.2,12.9,1.044,14,19,35.0,22,24,22.638,316.72,22.528
5.312,10,35.5,38.7,16.1,1.037,12,14,30.5,20,22,20.832,273.28,20.676
5.314,6,40.6,37.5,9.4,1.032,12,12,30.0,19,21,20.557,263.28,20.642
5.837,18,41.4,43.1,6.9,1.015,25,23,50.5,34,38,37.928,460.53,38.909
5.348,14,48.9,40.4,6.4,0.996,19,14,33.0,24,25,28.762,325.45,30.54
5.483,12,50.0,38.0,6.0,1.0,19,13,33.5,25,26,30.003,343.47,31.756
4.84,11,43.9,43.9,2.4,1.009,18,10,32.0,23,25,26.735,331.82,28.08
4.268,19,42.0,48.0,2.0,1.005,24,20,43.5,29,32,33.149,387.46,34.438
4.722,21,37.5,47.9,6.3,1.009,23,24,46.0,30,33,33.723,435.96,35.523
6.398,13,51.1,40.4,4.3,0.991,19,13,31.0,23,24,28.267,312.45,30.296
5.382,6,36.0,36.0,12.0,1.051,9,12,26.0,16,17,16.504,223.21,16.119
5.588,21,38.9,46.3,3.7,1.017,25,22,50.0,33,37,36.74,464.55,38.029
4.268,6,51.2,39.0,4.9,0.992,16,6,26.0,20,23,24.853,292.84,26.938
5.466,18,31.1,44.4,8.9,1.041,20,18,46.5,31,34,32.196,438.45,32.205
5.486,15,43.5,43.5,4.3,1.01,20,18,38.0,26,28,29.643,352.42,30.682
6.143,8,48.3,44.8,0.0,0.994,13,8,21.0,15,16,18.117,202.27,19.239
5.534,11,31.0,41.4,6.9,1.048,12,14,29.5,20,21,21.052,312.37,21.653
5.483,17,46.3,44.4,9.3,0.988,24,22,44.5,29,32,34.375,383.54,36.642
5.453,8,26.3,47.4,5.3,1.062,9,10,22.0,14,15,13.934,191.15,13.347
5.486,18,36.4,45.5,9.1,1.017,20,17,42.0,28,31,30.578,392.47,31.602
5.952,14,22.6,48.4,9.7,1.058,15,20,38.0,24,28,24.215,363.39,24.381
4.268,18,33.3,50.0,8.3,1.017,18,22,38.5,24,27,26.153,382.23,27.085
5.552,9,42.3,42.3,3.8,1.019,11,11,22.0,15,16,16.8,205.23,17.176
5.556,18,36.1,50.0,2.8,1.02,18,19,36.0,23,25,25.041,307.32,25.392
5.364,19,36.4,47.7,9.1,1.01,21,20,44.0,28,32,30.863,388.48,32.148
5.151,13,46.3,38.9,9.3,1.006,21,17,40.5,29,32,33.519,395.51,35.006
6.398,19,30.8,48.7,10.3,1.032,19,22,43.5,27,30,28.052,360.35,27.886
5.135,14,42.9,36.7,6.1,1.026,18,16,39.0,28,29,31.281,407.49,32.244
5.19,23,33.3,54.8,4.8,1.012,23,28,46.5,28,32,30.348,366.39,30.943
5.908,19,37.3,42.4,3.4,1.031,25,18,52.5,37,40,40.403,542.63,41.557
5.308,14,34.2,42.1,10.5,1.032,16,15,36.5,25,27,26.879,376.85,27.699
5.561,14,48.3,41.4,3.4,0.996,24,15,43.0,30,34,36.223,424.61,38.921
5.757,14,38.8,38.8,6.1,1.025,19,19,44.0,30,33,33.414,465.62,35.324
5.287,17,36.6,46.3,7.3,1.016,19,19,40.0,26,29,28.557,365.44,29.597
5.767,21,36.7,46.9,6.1,1.021,23,24,46.5,31,34,33.965,435.89,34.784
4.618,9,40.6,40.6,6.3,1.022,13,9,26.0,19,20,21.373,325.18,22.296
4.942,13,38.5,41.0,2.6,1.028,16,15,34.0,24,25,27.135,432.74,28.773
5.33,18,30.6,50.0,8.3,1.025,18,20,39.5,25,28,26.503,349.39,27.074
4.983,11,34.8,52.2,8.7,1.008,12,13,24.0,15,16,16.338,196.22,16.75
4.268,18,30.0,47.5,10.0,1.027,19,23,45.0,28,32,29.711,408.49,30.727
6.137,11,42.1,42.1,10.5,1.01,16,11,32.0,22,23,24.676,296.36,25.5
5.56,14,28.6,50.0,7.1,1.037,14,14,30.0,20,22,21.235,307.14,21.682
5.436,19,42.6,42.6,5.6,1.014,23,20,44.5,31,33,34.906,421.49,35.904
6.325,7,54.1,35.1,5.4,0.995,13,7,21.0,17,17,21.214,236.35,22.773
5.92,16,40.0,45.0,5.0,1.011,18,15,35.0,24,26,27.062,340.43,28.352
5.9,16,35.9,46.2,5.1,1.02,18,15,36.0,25,27,28.002,393.31,29.614
5.157,17,33.3,51.5,3.0,1.021,17,18,33.5,22,24,24.267,332.19,25.199
6.398,18,41.7,45.8,8.3,0.997,22,22,43.0,28,32,32.202,388.53,34.216
5.238,11,38.2,38.2,8.8,1.025,13,10,29.0,21,22,23.217,323.43,24.483
5.181,14,46.2,38.5,7.7,1.011,20,14,38.0,28,30,32.213,384.48,33.455
5.112,18,35.6,42.2,8.9,1.026,19,24,45.0,29,32,31.48,428.53,32.705
5.364,23,40.0,47.3,3.6,1.008,26,25,50.0,33,36,37.357,458.57,39.091
5.357,14,39.5,41.9,11.6,1.007,18,21,40.0,26,29,29.357,383.54,31.347
5.498,14,37.2,41.9,9.3,1.02,18,15,40.0,27,30,29.765,400.52,31.25
5.799,16,31.4,45.7,8.6,1.035,16,20,38.0,24,26,25.218,341.37,25.528
4.268,15,38.2,47.1,8.8,1.004,16,18,32.5,21,23,23.6,295.39,24.926
5.812,18,41.1,42.9,7.1,1.016,24,17,47.0,33,36,37.04,466.96,38.313
5.013,16,35.9,43.6,10.3,1.029,17,19,38.5,25,27,26.579,338.35,26.648
5.509,19,33.3,48.7,7.7,1.02,19,17,40.0,26,29,28.03,363.42,28.835
5.579,17,37.8,48.6,2.7,1.013,18,18,34.5,23,25,25.879,372.23,27.051
5.211,13,31.3,43.8,12.5,1.035,14,17,34.0,22,25,22.998,314.35,23.318
5.334,14,31.3,43.8,12.5,1.035,14,16,34.5,22,24,22.998,314.35,23.318
5.696,22,48.6,43.1,2.8,0.991,31,24,52.5,37,40,45.066,515.75,48.586
5.223,18,38.3,44.7,8.5,1.014,21,23,44.0,29,32,32.105,406.5,33.364
5.232,18,37.5,47.5,7.5,1.008,19,22,39.5,25,28,27.842,349.44,29.142
6.398,18,38.8,46.9,6.1,1.009,23,22,47.0,30,35,33.61,417.52,35.12
5.839,21,31.8,50.0,2.3,1.024,22,21,45.5,30,33,32.77,455.96,34.307
5.591,16,39.5,44.2,2.3,1.021,19,15,37.0,26,28,28.997,371.44,30.017
5.213,15,34.3,45.7,8.6,1.022,16,20,36.0,23,25,25.142,345.83,26.239
5.575,16,39.5,47.4,7.9,1.0,18,18,36.0,23,26,26.127,321.43,27.688
5.787,19,31.0,47.6,11.9,1.026,20,28,48.0,29,33,30.546,403.45,31.085
5.197,14,48.0,40.0,4.0,1.005,20,14,35.0,26,27,30.697,356.46,32.205
5.236,18,35.8,43.4,5.7,1.023,23,19,51.0,34,38,37.414,513.66,39.324
5.544,17,39.4,51.5,9.1,0.992,17,18,32.5,20,23,22.698,259.33,23.824
5.799,7,42.1,36.8,10.5,1.027,7,7,15.0,11,11,12.053,152.17,12.205
5.408,11,38.6,40.9,6.8,1.033,18,12,39.0,27,29,29.041,371.38,29.074
5.336,23,38.0,48.0,6.0,1.009,24,25,47.5,31,34,34.61,429.53,36.12
5.588,23,29.8,51.1,6.4,1.043,24,28,51.5,33,37,34.046,449.41,33.523
4.375,7,32.1,32.1,17.9,1.068,9,13,28.0,19,20,18.735,267.23,17.824
5.808,17,30.0,45.0,10.0,1.032,18,22,42.5,28,31,30.178,451.38,31.75
5.282,13,35.3,41.2,11.8,1.022,14,17,33.5,22,24,23.997,332.44,25.273
5.129,15,27.8,44.4,8.3,1.057,16,17,39.5,26,28,26.316,375.36,25.92
5.664,16,33.3,39.6,8.3,1.045,19,20,48.0,32,34,33.624,476.53,34.068
4.392,19,43.1,43.1,3.9,1.008,22,21,43.0,29,31,33.357,410.53,35.091
5.459,16,38.6,43.2,2.3,1.028,19,15,37.0,27,28,30.189,454.72,31.341
5.122,14,43.8,41.7,6.3,1.012,20,16,39.0,27,29,30.665,367.44,31.688
5.36,20,31.5,40.7,9.3,1.044,22,26,55.0,37,40,39.141,582.1,40.369
6.398,17,42.0,42.0,10.0,1.011,21,22,43.5,29,32,32.466,391.47,33.483
5.233,15,32.3,48.4,6.5,1.018,15,15,32.0,21,23,22.954,314.41,24.261
5.287,15,41.2,45.1,5.9,1.006,23,19,45.0,30,33,34.137,419.54,35.881
5.928,16,30.2,39.5,16.3,1.048,17,23,46.5,30,32,30.491,427.44,30.244
5.898,13,52.0,40.0,8.0,0.983,20,16,34.0,24,26,29.88,322.5,32.398
5.214,8,30.3,33.3,18.2,1.056,11,17,34.5,23,25,23.415,354.41,23.67
6.398,17,40.0,51.4,5.7,0.995,18,18,33.5,21,24,23.918,274.34,25.034
5.214,23,39.1,42.2,7.8,1.026,27,27,58.0,39,42,42.379,531.57,42.824
5.395,17,43.9,40.4,5.3,1.013,23,20,46.5,32,35,36.62,455.58,38.313
5.82,16,38.2,52.9,2.9,1.002,18,18,34.5,21,24,23.612,275.32,24.483
5.278,17,33.3,47.2,5.6,1.028,17,19,37.0,24,26,25.723,340.38,26.284
5.138,14,37.5,46.9,6.3,1.011,15,14,30.5,20,22,22.294,284.36,23.375
5.643,17,39.0,46.3,4.9,1.017,19,16,37.0,25,27,27.59,336.37,28.159
5.818,17,30.0,45.0,10.0,1.041,18,18,43.5,28,31,28.954,396.41,28.989
