pXC50,Si,nBT,Sv,Se,nAT,MW,nH,nSK,nBO,Sp,nC,nCsp3,SCBO,nBM,nO,nAB,N.
6.1,71.615,67,39.35,63.683,63,469.58,29,34,38,40.915,26,12,46.0,14,3,12,4.8
6.1,70.615,65,38.35,62.683,62,457.57,29,33,36,39.915,25,11,44.0,14,3,12,4.8
5.712,90.987,84,50.097,81.418,80,610.72,36,44,48,51.569,32,14,59.0,17,6,12,5.0
5.6,70.276,65,37.967,62.17,62,439.58,30,32,35,39.978,25,11,43.0,14,3,12,4.8
9.06,70.312,66,38.288,62.421,62,451.58,29,33,37,39.983,24,11,46.0,17,4,16,8.1
9.06,71.521,67,39.003,63.749,63,467.58,29,34,38,40.438,24,11,47.0,17,5,16,7.9
8.86,72.521,68,40.003,64.749,64,479.59,29,35,39,41.438,25,11,49.0,18,5,16,7.8
9.62,66.607,63,37.233,59.287,59,453.62,27,32,36,39.415,23,10,45.0,17,3,16,8.5
8.23,69.185,65,38.068,61.312,61,448.58,28,33,37,39.773,24,10,46.5,18,3,17,9.8
9.31,70.102,66,38.573,62.094,62,447.59,29,33,37,40.529,25,10,46.5,18,3,17,8.1
7.351,73.434,69,39.605,64.76,65,448.62,32,33,37,42.046,26,13,45.0,14,3,12,6.2
7.65,73.434,69,39.605,64.76,65,448.62,32,33,37,42.046,26,13,45.0,14,3,12,6.2
5.386,75.71,70,41.644,67.592,66,519.59,29,37,41,42.552,27,13,49.0,14,3,12,4.5
5.966,74.239,70,41.766,66.189,66,516.51,31,35,39,44.517,27,13,47.0,14,3,12,4.5
6.896,74.691,70,40.494,66.054,66,465.62,32,34,38,42.739,27,13,46.0,14,3,12,4.5
7.824,80.766,77,44.637,71.425,72,497.69,35,37,42,47.563,31,13,52.5,19,3,17,4.2
6.57,81.106,77,45.021,71.938,72,515.68,34,38,43,47.5,31,13,53.5,19,3,17,4.2
5.7,83.221,79,46.712,73.159,74,537.8,35,39,44,50.347,31,11,57.5,27,0,27,9.5
6.686,83.478,78,46.276,74.625,74,546.68,34,40,44,48.171,30,10,55.5,23,6,23,5.4
7.1,63.963,57,34.085,57.043,55,444.48,24,31,33,34.273,20,10,39.0,9,3,6,7.3
7.7,76.995,69,40.502,68.29,67,495.6,32,35,37,41.83,25,12,44.0,13,4,12,4.5
7.9,60.505,55,32.654,53.425,53,404.95,25,28,30,34.415,19,8,37.0,13,2,12,11.3
5.0,45.602,43,27.923,41.804,41,357.81,16,25,27,28.773,19,2,36.5,18,4,17,2.4
6.83,98.929,92,54.669,87.832,88,622.83,42,46,50,57.762,37,13,65.0,24,5,18,4.5
8.9,72.394,65,36.836,63.432,64,401.6,35,29,30,39.767,24,12,36.0,12,4,12,1.6
7.669,34.269,33,20.724,30.687,31,263.81,14,17,19,22.841,14,4,25.0,11,0,10,3.2
8.0,54.113,50,29.39,48.458,48,345.43,23,25,27,30.654,19,7,33.0,12,5,12,2.1
5.0,33.641,32,19.746,30.156,30,248.73,13,17,19,20.892,13,4,24.5,11,1,11,6.7
5.0,41.74,39,23.369,37.222,37,291.41,17,20,22,24.904,14,5,29.5,13,2,11,8.1
6.634,76.887,71,42.426,68.171,68,539.98,33,35,38,45.688,26,13,45.0,13,2,12,5.9
6.151,80.81,74,41.854,70.596,71,468.68,37,34,37,44.813,27,14,44.0,13,2,12,5.6
6.539,76.943,71,41.599,67.847,68,505.54,34,34,37,44.83,26,13,44.0,13,2,12,5.9
6.016,77.735,71,40.711,68.225,68,472.64,34,34,37,42.989,26,13,44.0,13,2,12,5.9
6.497,86.304,79,44.427,75.621,76,496.72,40,36,39,47.546,28,15,46.0,13,4,12,5.3
5.0,41.684,39,24.196,37.545,37,325.85,16,21,23,25.762,14,5,30.5,13,2,11,8.1
6.222,37.069,36,21.72,32.825,33,250.33,14,19,22,22.83,15,3,30.0,16,0,16,12.1
5.0,37.112,35,20.445,32.716,33,228.32,16,17,19,21.796,14,5,24.5,11,1,11,6.1
6.558,76.999,71,40.771,67.523,68,471.1,35,33,36,43.972,26,13,43.0,13,2,12,5.9
6.587,77.735,71,40.711,68.225,68,472.64,34,34,37,42.989,26,13,44.0,13,2,12,5.9
6.428,76.999,71,40.771,67.523,68,471.1,35,33,36,43.972,26,13,43.0,13,2,12,5.9
5.0,37.013,36,22.547,33.149,33,284.77,13,20,23,23.688,15,3,31.0,16,0,16,12.1
5.0,38.325,36,21.842,34.338,34,277.38,15,19,21,23.142,13,4,28.5,13,2,11,8.8
5.0,45.155,42,24.895,40.105,40,305.44,19,21,23,26.665,15,6,30.5,13,2,11,7.5
5.0,37.196,35,20.94,32.934,33,241.32,15,18,20,22.04,14,4,26.5,12,1,11,9.1
5.0,41.74,39,23.369,37.222,37,291.41,17,20,22,24.904,14,5,29.5,13,2,11,8.1
5.0,40.894,37,22.911,36.873,36,317.83,16,20,21,24.216,12,5,27.0,9,3,6,8.3
6.102,32.488,31,18.204,28.505,29,198.29,14,15,17,19.58,13,4,22.5,11,0,11,6.9
5.0,29.073,28,16.677,25.622,26,184.26,12,14,16,17.818,12,3,21.5,11,0,11,7.7
5.0,39.196,38,22.94,34.934,35,265.34,15,20,23,24.04,16,4,31.0,16,1,16,8.6
5.0,35.491,35,21.885,31.8,32,267.38,13,19,22,23.472,15,3,30.0,16,0,16,9.4
5.0,38.986,38,23.225,34.607,35,261.35,15,20,23,24.586,17,3,31.5,17,0,17,8.6
5.0,38.986,38,23.225,34.607,35,261.35,15,20,23,24.586,17,3,31.5,17,0,17,8.6
6.045,40.484,39,23.246,35.709,36,264.36,16,20,23,24.591,16,4,31.0,16,0,16,11.1
5.0,40.484,39,23.246,35.709,36,264.36,16,20,23,24.591,16,4,31.0,16,0,16,11.1
5.0,40.484,39,23.246,35.709,36,264.36,16,20,23,24.591,16,4,31.0,16,0,16,11.1
7.041,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
6.824,85.786,78,47.733,76.938,75,599.67,32,43,46,48.534,30,12,58.0,17,5,12,6.7
7.8,78.049,71,43.26,70.323,68,571.65,29,39,42,44.108,26,11,52.5,19,5,17,4.4
8.15,62.236,58,34.199,55.076,55,395.52,26,29,32,36.0,23,9,40.0,14,2,12,5.5
5.0,75.265,68,37.659,65.527,66,416.63,36,30,32,40.569,23,15,37.0,8,3,6,6.1
8.332,66.109,63,38.212,59.185,59,462.62,26,33,37,40.409,25,7,47.5,19,3,17,6.8
5.0,31.282,30,18.392,27.949,28,212.27,12,16,18,19.273,13,2,25.5,15,1,15,7.1
9.96,71.727,65,37.815,63.305,63,441.59,31,32,34,39.745,23,10,43.0,17,4,16,7.9
6.524,77.735,71,40.711,68.225,68,472.64,34,34,37,42.989,26,13,44.0,13,2,12,5.9
6.684,81.624,75,43.013,71.734,72,501.13,37,35,38,46.188,27,14,45.0,13,3,12,5.6
6.812,81.68,75,42.186,71.41,72,466.69,38,34,37,45.33,27,14,44.0,13,3,12,5.6
4.0,40.983,38,22.268,35.811,36,255.36,17,19,21,23.597,14,4,27.5,12,0,11,13.9
7.2,43.481,40,23.289,37.912,38,270.38,18,20,22,24.603,14,5,28.5,12,0,11,15.8
5.0,71.561,65,36.825,62.869,63,415.59,33,30,32,39.256,23,14,38.0,9,4,6,4.8
4.0,47.813,44,25.321,41.578,42,283.42,21,21,23,27.12,16,6,29.5,12,0,11,11.9
4.336,71.849,65,36.132,62.643,63,402.6,34,29,31,38.807,22,14,36.0,8,3,6,6.3
7.1,37.568,35,20.741,32.927,33,241.33,15,18,20,21.836,13,3,26.5,12,0,11,15.2
4.0,45.315,42,24.3,39.476,40,268.4,20,20,22,26.114,16,5,28.5,12,0,11,10.0
4.0,44.398,41,23.795,38.694,39,269.39,19,20,22,25.358,15,5,28.5,12,0,11,12.8
6.55,102.344,95,56.196,90.716,91,636.86,44,47,51,59.523,38,14,66.0,24,5,18,4.4
4.0,45.417,41,24.945,40.232,39,323.36,16,23,25,25.171,15,5,31.5,12,0,11,12.8
8.3,37.568,35,20.741,32.927,33,241.33,15,18,20,21.836,13,3,26.5,12,0,11,15.2
7.824,88.944,82,49.371,79.527,78,608.71,34,44,48,50.603,31,13,60.0,17,5,12,7.7
7.5,79.561,75,44.825,70.869,71,511.67,33,38,42,47.256,31,9,54.0,21,4,18,4.2
6.76,104.467,97,56.513,92.054,93,621.89,47,46,50,60.586,39,15,63.0,22,4,18,3.2
8.0,35.907,34,20.633,32.16,32,242.3,14,18,20,21.489,14,3,26.5,12,2,11,6.3
6.46,93.388,87,51.922,82.839,83,593.79,39,44,48,54.79,35,11,63.0,24,4,18,6.0
7.538,57.272,54,31.574,50.352,51,347.5,25,26,29,33.847,22,7,38.0,17,1,16,5.9
5.0,58.942,54,30.223,51.749,52,352.55,28,24,26,32.921,18,12,31.0,8,3,6,3.8
7.4,52.69,49,28.058,46.032,47,295.46,25,22,24,30.597,20,8,30.0,12,1,12,2.1
6.0,64.89,62,37.732,58.367,58,492.11,26,32,36,40.671,23,9,46.0,18,3,16,5.2
6.345,96.803,90,53.449,85.723,86,607.82,41,45,49,56.552,36,12,64.0,24,4,18,5.8
6.87,98.929,92,54.669,87.832,88,622.83,42,46,50,57.762,37,13,65.0,24,5,18,4.5
7.335,63.734,60,35.729,56.898,57,405.53,27,30,33,37.722,25,7,42.0,18,4,18,1.8
6.71,68.358,64,37.971,61.109,61,435.56,29,32,35,39.938,26,8,44.0,18,5,18,1.6
6.7,58.398,54,31.794,51.461,52,350.5,26,26,28,34.057,22,8,36.0,14,2,12,3.8
7.268,77.576,71,42.072,68.636,68,499.63,32,36,39,43.921,28,12,48.0,15,2,12,4.4
5.983,75.244,69,42.04,66.97,66,510.61,29,37,40,43.404,28,11,51.0,16,2,12,6.1
6.437,78.659,72,43.567,69.854,69,524.64,31,38,41,45.165,29,12,52.0,16,2,12,5.8
6.06,74.292,68,40.035,65.094,66,452.09,34,32,34,43.512,27,13,43.0,14,1,12,4.5
4.67,33.112,31,16.445,28.716,29,180.28,16,13,15,17.796,10,9,16.0,1,1,0,6.9
6.174,76.348,71,41.208,66.77,68,441.67,35,33,36,44.654,29,11,46.0,19,1,18,4.4
7.455,61.721,60,37.007,55.843,55,484.02,22,33,38,38.75,23,9,48.0,18,3,16,9.1
7.301,94.225,88,52.835,84.174,84,609.78,39,45,49,55.449,36,12,64.0,24,6,18,3.6
6.372,78.659,72,43.567,69.854,69,524.64,31,38,41,45.165,29,12,52.0,16,2,12,5.8
8.19,69.94,66,38.487,62.429,62,451.57,29,33,37,40.188,25,11,45.0,14,5,12,4.8
7.213,72.062,68,38.804,63.767,64,436.6,32,32,36,41.25,26,13,43.0,13,4,12,3.1
8.636,72.065,68,39.486,64.061,64,469.66,31,33,37,42.142,25,13,44.5,13,4,11,4.7
7.976,59.773,57,33.498,53.225,53,392.5,24,29,33,35.0,22,9,41.0,14,3,12,7.5
7.788,67.521,64,37.057,59.774,60,419.57,29,31,35,39.279,25,11,43.0,14,3,12,5.0
8.788,57.195,55,32.664,51.2,51,397.54,23,28,32,34.642,21,9,39.5,13,3,11,5.9
7.134,65.727,61,33.869,57.33,58,369.56,31,27,30,36.586,22,14,35.0,8,2,6,5.2
6.7,69.876,62,36.633,62.029,60,473.53,27,33,35,37.04,21,11,41.0,9,3,6,8.3
7.8,67.038,60,35.228,59.414,58,440.52,27,31,33,36.097,21,11,39.0,9,3,6,6.9
7.155,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
7.8,60.99,57,33.282,53.767,54,408.41,27,27,30,36.086,21,12,35.0,8,1,6,5.6
6.893,59.91,55,32.691,53.32,53,413.38,26,27,29,34.989,20,12,34.0,8,3,6,3.8
7.0,63.623,57,33.702,56.53,55,426.49,25,30,32,34.336,20,10,38.0,9,3,6,7.3
6.562,63.228,59,32.848,55.229,56,354.54,30,26,29,35.58,22,14,34.0,8,2,6,3.6
5.6,54.037,50,30.689,48.429,48,440.4,22,26,28,32.995,18,6,36.0,14,3,12,6.3
6.886,40.911,41,26.745,37.054,37,377.26,13,24,28,28.182,19,0,40.5,25,0,25,10.8
8.676,57.195,55,32.664,51.2,51,397.54,23,28,32,34.642,21,9,39.5,13,3,11,5.9
7.277,65.615,61,35.524,57.978,58,438.44,29,29,32,38.301,22,14,37.0,8,2,6,5.2
7.8,60.547,54,32.558,54.16,52,430.45,22,30,32,32.512,19,9,38.0,9,3,6,7.7
8.472,64.029,61,36.62,57.738,57,455.58,25,32,36,38.313,23,10,44.5,14,5,11,5.3
5.886,87.861,81,47.876,78.309,77,583.7,35,42,46,49.358,30,14,56.0,16,5,12,6.5
7.998,62.595,58,33.553,55.283,55,407.96,27,28,31,35.62,21,13,36.0,8,2,6,5.5
9.18,69.94,66,38.487,62.429,62,451.57,29,33,37,40.188,25,11,45.0,14,5,12,4.8
7.075,64.667,60,32.794,55.883,57,362.01,32,25,28,36.296,21,15,31.0,6,0,6,5.3
6.578,62.311,58,32.342,54.447,55,355.53,29,26,29,34.824,21,13,34.0,8,2,6,5.5
6.102,66.69,61,35.846,59.192,58,457.97,27,31,34,37.256,22,14,39.0,8,2,6,5.2
8.146,65.235,62,36.432,58.294,58,441.6,27,31,35,38.62,23,11,42.5,13,4,11,5.2
8.588,58.773,56,32.498,52.225,52,380.49,24,28,32,34.0,21,9,39.5,13,3,11,7.7
5.7,68.305,65,39.259,61.251,61,506.14,28,33,37,42.432,24,10,47.0,18,3,16,4.9
7.267,50.954,47,28.417,45.443,45,370.31,21,24,26,30.256,17,9,31.0,8,2,6,6.7
5.8,64.89,62,37.732,58.367,58,492.11,26,32,36,40.671,23,9,46.0,18,3,16,5.2
7.064,47.539,44,26.89,42.56,42,356.28,19,23,25,28.495,16,8,30.0,8,2,6,7.1
5.0,49.651,47,27.235,43.912,44,311.42,21,23,26,28.779,18,8,33.0,12,2,10,6.8
6.094,75.584,69,42.424,67.483,66,528.6,28,38,41,43.341,28,11,52.0,16,2,12,6.1
5.398,26.542,23,14.183,24.014,23,187.19,10,13,13,14.114,8,2,16.0,6,3,6,4.3
7.469,77.264,72,41.713,67.552,69,440.68,36,33,36,45.41,30,11,46.0,19,1,18,2.9
6.075,78.999,72,43.95,70.367,69,542.63,30,39,42,45.103,29,12,53.0,16,2,12,5.8
8.97,66.736,61,37.135,59.691,59,477.67,27,32,34,39.517,21,8,43.0,17,4,16,8.5
6.076,71.517,67,40.154,63.003,64,437.63,31,33,36,43.131,29,9,48.0,20,1,18,4.7
6.187,77.763,71,40.735,67.654,69,431.68,37,32,34,44.415,28,14,43.0,14,1,12,4.3
6.444,81.763,76,44.735,71.654,73,479.72,37,36,39,48.415,32,12,51.0,20,1,18,4.1
5.7,60.474,57,35.205,54.483,54,466.07,24,30,33,37.909,21,7,43.0,18,3,16,5.6
6.013,74.991,70,43.054,67.447,66,535.6,27,39,43,43.858,28,10,55.0,17,4,12,7.6
7.939,65.671,61,34.697,57.654,58,404.0,30,28,31,37.444,22,14,36.0,8,2,6,5.2
4.8,49.651,47,27.235,43.912,44,311.42,21,23,26,28.779,18,8,33.0,12,2,10,6.8
7.347,86.572,79,47.57,77.534,76,584.68,34,42,45,48.807,30,12,56.0,17,6,12,5.3
7.3,60.491,54,33.386,54.483,52,464.89,21,31,33,33.37,19,9,39.0,9,3,6,7.7
7.336,63.394,59,33.837,55.665,56,380.54,28,28,31,36.069,22,13,38.0,9,2,6,7.1
7.694,61.046,57,32.455,53.443,54,373.97,28,26,29,35.228,21,12,34.0,8,1,6,5.6
7.0,60.547,54,32.558,54.16,52,430.45,22,30,32,32.512,19,9,38.0,9,3,6,7.7
7.444,63.461,59,32.982,55.327,56,375.99,30,26,29,35.989,21,14,33.0,7,1,6,5.4
6.523,81.438,77,46.454,73.505,72,574.65,30,42,47,47.352,29,11,60.0,21,7,16,8.3
7.189,62.651,58,32.726,54.96,55,373.52,28,27,30,34.762,21,13,35.0,8,2,6,5.5
8.086,59.773,57,33.498,53.225,53,392.5,24,29,33,35.0,22,9,41.0,14,3,12,7.5
5.721,84.972,80,47.449,74.981,76,519.74,37,39,43,50.87,34,13,56.0,21,2,18,3.9
6.409,83.481,79,47.179,75.396,74,576.66,32,42,47,48.318,30,12,58.0,17,8,12,5.4
7.882,65.615,61,35.524,57.978,58,438.44,29,29,32,38.301,22,14,37.0,8,2,6,5.2
6.481,80.742,75,45.516,72.767,71,568.63,30,41,45,46.284,29,11,56.0,17,6,12,5.6
5.921,77.327,72,43.989,69.883,68,554.6,28,40,44,44.523,28,10,55.0,17,6,12,5.9
6.137,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
6.886,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
7.553,88.944,82,49.371,79.527,78,608.71,34,44,48,50.603,31,13,60.0,17,5,12,7.7
7.292,88.944,82,49.371,79.527,78,608.71,34,44,48,50.603,31,13,60.0,17,5,12,7.7
6.0,66.936,62,34.584,58.658,59,385.56,31,28,31,37.04,22,14,36.0,8,3,6,5.1
6.921,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
6.886,82.564,77,46.674,74.614,73,577.65,31,42,46,47.563,29,11,59.0,19,8,12,6.8
7.818,67.003,63,37.675,59.527,59,468.01,26,33,37,39.421,23,8,47.0,18,2,16,11.9
6.42,63.405,59,33.809,55.651,56,410.43,29,27,30,36.847,21,14,34.0,7,1,6,5.4
5.699,82.766,78,46.637,73.425,74,521.71,35,39,43,49.563,33,12,56.0,21,3,18,4.1
8.2,64.642,57,34.851,58.069,55,480.46,22,33,35,34.148,20,10,41.0,9,3,6,7.3
8.74,63.272,60,35.519,56.327,56,419.53,25,31,35,37.006,23,7,45.0,18,3,16,8.9
7.656,70.102,65,38.573,62.094,62,447.59,29,33,36,40.529,25,8,46.0,16,3,12,8.1
5.912,83.156,78,48.217,74.945,74,611.57,32,42,46,50.432,31,10,58.0,21,5,18,5.4
7.2,72.351,68,38.111,63.541,64,423.61,33,31,35,40.802,25,13,41.0,12,3,12,4.7
8.644,65.315,62,36.245,58.218,58,421.54,27,31,35,37.972,24,10,43.0,14,4,12,5.2
5.699,83.608,78,46.945,74.81,74,560.68,33,41,45,48.654,31,10,57.0,21,5,18,5.4
5.973,49.487,46,26.928,43.771,44,318.48,22,22,24,29.182,17,7,29.5,11,2,11,4.5
6.284,40.752,41,27.77,37.283,37,456.15,12,25,29,29.534,19,0,41.5,25,0,25,10.8
4.0,40.759,36,22.518,36.76,35,321.36,14,21,22,22.716,12,5,28.0,9,2,6,8.6
7.103,53.464,52,33.617,48.374,48,583.14,19,29,33,36.387,21,5,43.0,20,1,20,8.3
5.699,87.893,82,48.803,78.509,78,572.72,36,42,46,50.932,32,11,58.0,21,6,18,5.1
5.699,87.893,82,48.803,78.509,78,572.72,36,42,46,50.932,32,11,58.0,21,6,18,5.1
5.699,86.683,81,48.088,77.181,77,556.72,36,41,45,50.478,32,11,57.0,21,5,18,5.2
5.939,44.488,44,28.149,40.48,40,342.38,14,26,30,28.739,20,0,43.5,26,2,25,10.0
7.507,67.687,64,38.046,60.211,60,445.57,27,33,37,39.767,25,8,47.5,19,3,17,8.3
5.301,56.318,52,29.981,49.538,50,346.54,26,24,26,32.705,19,9,31.5,11,2,11,4.0
5.699,83.608,78,46.945,74.81,74,560.68,33,41,45,48.654,31,10,57.0,21,5,18,5.4
7.021,71.145,67,38.299,62.985,63,437.59,31,32,36,40.495,25,12,43.0,13,4,12,4.8
5.699,85.474,80,47.374,75.854,76,540.72,36,40,44,50.023,32,11,56.0,21,4,18,5.3
8.478,63.192,60,35.928,56.88,56,436.51,24,32,36,36.909,23,9,46.0,16,5,12,7.1
6.442,86.683,81,48.088,77.181,77,556.72,36,41,45,50.478,32,11,57.0,21,5,18,5.2
5.699,84.478,79,47.276,75.625,75,558.69,34,41,45,49.171,31,10,57.0,21,6,18,5.3
6.384,71.062,66,37.583,62.29,63,427.67,33,30,33,40.995,24,13,39.5,12,2,11,4.8
4.55,35.528,32,16.972,30.6,31,182.3,18,13,14,18.557,10,9,15.0,1,1,0,6.5
5.17,39.528,37,20.972,34.6,35,230.34,18,17,19,22.557,14,7,23.0,7,1,6,5.7
7.82,34.246,31,18.795,30.196,30,239.35,14,16,17,20.171,11,4,21.0,7,0,6,10.0
5.78,83.608,78,46.945,74.81,74,560.68,33,41,45,48.654,31,10,57.0,21,5,18,5.4
5.699,92.597,86,50.637,82.167,82,585.77,39,43,47,53.245,33,12,59.0,21,5,18,6.1
8.0,68.364,65,39.334,61.698,61,501.68,27,34,38,41.722,24,10,48.0,16,5,12,4.9
6.17,75.275,72,42.2,67.389,67,509.68,31,36,41,44.597,27,13,51.0,16,5,12,4.5
5.524,67.019,62,35.078,58.876,59,398.56,30,29,32,37.285,22,12,38.5,12,3,11,6.8
5.699,70.72,66,40.007,63.611,63,505.08,29,34,37,42.449,25,11,47.0,16,5,12,3.2
5.4,42.358,38,20.026,36.367,37,210.36,22,15,16,22.08,12,11,17.0,1,1,0,5.4
5.407,71.723,66,36.912,62.534,63,411.61,33,30,33,39.597,23,13,39.5,12,2,11,7.9
9.125,68.837,64,38.686,61.091,61,466.03,28,33,36,40.932,25,8,46.0,16,2,12,8.2
5.372,66.73,62,35.551,58.625,59,414.63,30,29,32,38.478,22,12,38.5,12,2,11,6.8
5.761,70.145,65,37.077,61.509,62,428.66,32,30,33,40.239,23,13,39.5,12,2,11,6.5
5.783,68.654,65,38.862,61.949,61,485.61,27,34,38,40.529,24,10,48.0,16,6,12,4.9
8.523,64.189,61,36.025,57.109,57,418.54,26,31,35,37.762,24,9,45.0,18,3,16,7.0
5.708,70.863,67,40.576,64.276,63,513.62,27,36,40,41.983,25,10,51.0,17,7,12,4.8
8.697,67.893,63,36.858,59.767,60,419.58,29,31,34,39.074,24,8,43.0,15,2,12,8.3
7.854,64.029,61,36.62,57.738,57,455.58,25,32,36,38.313,23,9,46.0,16,5,12,5.3
5.93,94.304,89,52.427,83.621,84,592.8,40,44,49,55.546,36,12,62.0,22,4,18,4.8
6.79,100.138,93,55.384,89.159,89,638.83,42,47,51,58.216,37,13,66.0,24,6,18,4.5
6.01,93.016,88,52.121,82.847,83,593.78,39,44,49,54.995,36,12,62.0,22,5,18,3.6
6.492,73.64,68,38.417,64.316,65,422.63,34,31,34,41.353,25,13,41.0,13,2,12,6.2
5.0,29.571,27,15.698,25.723,26,175.26,13,13,14,16.824,10,4,18.0,7,0,6,11.5
6.79,107.048,99,58.029,94.374,95,649.91,47,48,52,61.836,39,15,67.0,24,4,18,5.3
7.62,63.973,61,37.448,58.062,57,490.02,24,33,37,39.171,23,9,47.0,16,5,12,5.3
6.287,58.607,56,31.509,51.789,52,354.49,26,26,30,33.512,21,12,36.0,11,3,10,3.8
6.91,92.956,87,52.045,82.399,83,598.24,40,43,47,55.705,36,12,60.0,22,3,18,3.6
5.93,100.218,93,54.975,88.607,89,621.85,43,46,50,58.313,37,13,65.0,24,4,18,5.6
6.69,97.637,91,53.459,86.287,87,593.83,43,44,48,57.063,37,13,61.0,22,4,18,3.4
6.57,96.427,90,52.745,84.959,86,577.83,43,43,47,56.609,37,13,60.0,22,3,18,3.5
6.854,70.912,65,40.008,63.305,62,497.57,26,36,39,40.887,26,9,50.0,16,2,12,8.1
6.357,75.41,69,43.029,67.407,66,536.61,27,39,42,43.892,28,10,55.0,17,2,12,9.1
6.742,110.464,102,59.556,97.257,98,663.94,49,49,53,63.597,40,16,68.0,24,4,18,5.1
5.54,67.149,63,37.256,59.781,60,419.56,29,31,34,39.483,26,8,43.0,18,4,18,1.7
7.1,44.524,40,23.015,38.803,39,260.38,20,19,20,24.569,14,6,25.0,8,1,6,10.3
5.3,43.235,39,22.708,38.029,38,261.36,19,19,20,24.017,14,6,25.0,8,2,6,7.9
6.444,50.488,48,28.149,45.247,45,327.41,21,24,27,29.438,19,7,33.0,12,4,12,2.2
5.3,47.939,43,24.542,41.687,42,274.41,22,20,21,26.33,15,7,26.0,8,1,6,9.5
6.752,105.862,97,58.367,94.356,93,705.85,42,51,55,60.341,38,14,70.0,24,5,18,5.4
5.3,48.939,45,25.542,42.687,43,286.42,22,21,23,27.33,16,8,28.0,8,1,6,9.3
6.076,99.929,91,53.614,88.807,88,634.81,42,46,49,55.921,33,14,62.0,19,7,12,6.8
7.62,78.982,76,45.991,70.843,71,540.73,32,39,44,48.898,32,9,58.5,26,4,23,2.8
6.487,107.341,99,58.238,94.919,95,666.9,46,49,53,61.535,38,14,68.0,24,5,18,6.3
6.51,73.148,70,40.98,65.28,65,494.67,30,35,40,43.387,26,11,51.0,19,4,16,6.2
9.959,60.9,57,33.718,54.334,54,395.5,25,29,32,35.211,22,7,40.5,17,4,17,5.6
5.3,44.315,41,23.3,38.476,39,256.39,20,19,21,25.114,15,6,26.5,11,0,11,10.3
6.5,42.109,38,22.488,36.92,37,258.36,18,19,20,23.807,14,4,26.5,12,1,11,10.8
5.3,33.863,32,19.908,30.269,30,240.29,12,18,20,20.523,13,1,28.0,16,1,16,13.3
5.0,37.325,34,20.842,33.338,33,265.37,15,18,19,22.142,12,3,26.5,13,2,11,9.1
4.0,44.235,40,23.708,39.029,39,273.37,19,20,21,25.017,15,5,27.5,12,2,11,7.7
7.0,34.99,33,20.128,31.378,31,243.29,13,18,20,20.733,13,3,26.5,12,2,11,9.7
5.699,71.987,66,39.152,63.676,63,469.59,29,34,37,40.711,25,10,46.0,15,2,12,7.9
6.94,92.9,87,52.873,82.723,83,632.68,39,44,48,56.563,36,12,61.0,22,3,18,3.6
6.545,78.612,72,43.393,69.887,69,523.64,31,38,41,44.927,28,11,52.0,16,3,12,7.2
6.78,89.763,84,50.68,79.629,80,575.77,37,43,47,53.574,35,11,63.0,24,3,18,6.3
7.38,84.627,78,46.916,75.505,75,567.14,35,40,43,49.336,30,12,55.0,18,5,12,5.3
6.959,76.659,70,41.567,67.854,67,500.62,31,36,39,43.165,27,11,48.0,15,2,12,6.0
6.801,73.987,68,41.152,65.676,65,493.61,29,36,39,42.711,27,10,50.0,16,2,12,7.7
7.456,78.952,72,43.776,70.399,69,541.63,30,39,42,44.864,28,11,53.0,16,3,12,7.2
6.796,71.038,65,39.228,63.414,62,488.56,27,35,38,40.097,25,9,47.0,15,3,12,6.5
5.3,47.651,44,25.235,41.912,42,287.4,21,21,23,26.779,16,8,28.0,8,2,6,7.1
5.1,50.803,47,30.571,46.287,45,523.25,18,27,29,32.523,17,5,37.0,14,3,12,6.7
6.8,39.82,36,21.181,35.145,35,247.33,17,18,19,22.256,13,5,24.0,8,2,6,8.6
5.0,62.231,58,32.529,54.523,55,375.59,29,26,29,35.472,20,12,36.0,12,2,10,5.5
6.32,108.55,100,58.953,96.247,96,682.9,46,50,54,61.989,38,14,69.0,24,6,18,6.3
7.05,74.145,71,41.077,65.509,66,476.7,32,34,39,44.239,27,11,51.0,22,2,20,6.1
5.7,57.621,53,31.163,51.069,51,405.43,26,25,27,34.182,18,12,32.0,8,2,6,3.9
5.102,69.81,64,38.364,61.549,62,430.6,30,32,34,40.83,26,6,45.0,20,2,18,6.5
4.523,55.459,51,32.904,50.342,49,431.5,19,30,32,33.756,21,3,44.0,21,3,18,6.1
8.043,72.73,67,39.717,65.076,64,483.58,29,35,38,40.892,24,9,47.5,18,6,17,7.8
4.523,65.705,60,37.484,58.992,58,473.59,25,33,35,39.04,24,5,47.0,21,3,18,5.2
4.0,40.401,38,22.752,35.491,36,251.36,17,19,21,24.347,16,3,28.0,13,0,12,8.3
8.921,90.102,84,50.518,80.836,80,600.73,36,44,48,52.387,33,11,62.0,23,7,18,5.0
