pXC50,SpMin2_Bh.s.,SpMin3_Bh.s.,Eig05_EA.ed.,SM14_AEA.dm.,Eig05_EA.ri.,Eig07_EA.ri.,Eig07_EA.bo.,MATS1i,ATS4i,Eig05_AEA.ri.,SM09_EA.bo.,SM11_EA.bo.,SM12_EA.bo.,ATS4e,Eig05_AEA.ed.,SM03_EA.bo.,SM10_EA.bo.,Eig06_AEA.bo.,P_VSA_s_3,X3v,Eta_B_A,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i
4.314,1.061,0.909,6.353,6.353,1.996,1.409,2.05,-0.222,4.912,3.062,13.812,16.812,18.35,4.715,5.295,4.771,15.383,3.049,13.649,4.199,0.027,1.785,10.038,-0.631,0.398,89.667,8.485,0.552,3.906,4.015,3.558,3.333,5.157,3.386,4.415,4.546,3.966,3.733,5.657,3.774,4.694,4.856,4.065,3.811,6.09,3.839,3.973,3.76,6.052,3.78,4.632,4.819,3.875,3.7,6.02,3.712,4.564,4.75,3.827,3.635,5.909,3.658,4.506,4.687
5.886,0.948,0.734,4.715,4.715,1.431,0.951,1.408,-0.285,4.664,2.5,13.734,16.763,18.301,4.465,4.787,4.527,15.299,2.845,6.187,3.199,0.027,1.955,7.75,-1.268,1.608,66.311,8.79,0.455,3.653,3.761,3.32,3.008,4.962,3.09,4.17,4.306,3.721,3.408,5.447,3.48,4.423,4.582,3.819,3.491,5.844,3.547,3.711,3.474,5.798,3.501,4.353,4.564,3.556,3.351,5.75,3.362,4.205,4.429,3.391,3.148,5.706,3.162,3.926,4.141
6.495,0.978,0.898,5.015,5.015,1.507,1.248,1.542,-0.392,4.719,2.581,13.758,16.777,18.31,4.557,4.947,4.649,15.315,2.882,20.821,3.608,0.027,1.979,9.174,-0.896,0.803,77.283,9.291,0.4,3.79,3.884,3.503,3.148,5.047,3.222,4.337,4.464,3.895,3.542,5.612,3.604,4.568,4.709,4.021,3.601,6.032,3.667,3.922,3.584,5.977,3.639,4.525,4.691,3.854,3.54,5.976,3.564,4.435,4.616,3.754,3.45,5.768,3.464,4.362,4.553
4.125,1.02,0.935,5.392,5.392,1.657,1.372,1.693,-0.307,4.829,2.729,13.744,16.767,18.303,4.652,4.982,4.649,15.304,2.976,28.976,3.706,0.027,1.939,9.958,-1.125,1.265,77.089,8.533,0.385,3.857,3.96,3.497,3.184,5.116,3.264,4.415,4.558,3.89,3.572,5.695,3.643,4.657,4.82,3.974,3.655,6.068,3.712,3.896,3.667,5.968,3.696,4.637,4.834,3.84,3.597,6.085,3.62,4.549,4.748,3.711,3.485,5.951,3.502,4.431,4.628
4.301,1.005,0.766,5.192,5.192,1.521,1.198,1.479,-0.202,4.691,2.597,13.746,16.769,18.304,4.498,5.009,4.649,15.306,2.887,39.307,4.148,0.03,1.938,7.2,-1.02,1.04,71.854,8.95,0.435,3.694,3.795,3.45,3.162,4.864,3.176,4.217,4.352,3.762,3.521,5.359,3.53,4.452,4.606,3.92,3.581,5.799,3.599,3.837,3.612,5.685,3.581,4.398,4.606,3.617,3.477,5.553,3.414,4.212,4.44,3.439,3.309,5.413,3.236,3.985,4.192
6.244,1.127,0.907,5.235,5.235,1.982,1.396,1.944,-0.344,5.018,3.048,13.759,16.777,18.31,4.797,4.953,4.705,15.316,3.049,17.971,3.691,0.032,1.77,9.292,-0.368,0.136,81.683,7.846,0.385,3.906,4.017,3.487,3.257,5.105,3.307,4.464,4.621,3.899,3.657,5.649,3.696,4.721,4.889,4.012,3.75,6.08,3.773,3.918,3.701,6.071,3.72,4.58,4.749,3.813,3.619,5.976,3.637,4.573,4.752,3.723,3.57,5.891,3.582,4.564,4.771
6.149,1.128,0.908,5.017,5.017,1.607,1.396,1.657,-0.344,4.918,2.648,13.758,16.777,18.31,4.722,4.947,4.649,15.315,2.885,23.04,3.874,0.026,1.77,9.917,-0.231,0.054,81.812,7.846,0.385,3.906,4.017,3.487,3.257,5.098,3.307,4.464,4.621,3.881,3.647,5.646,3.682,4.718,4.901,3.998,3.725,6.056,3.751,3.924,3.687,6.046,3.715,4.641,4.83,3.788,3.619,5.98,3.628,4.532,4.716,3.713,3.549,5.838,3.56,4.536,4.735
5.495,1.022,0.963,5.392,5.392,1.654,1.365,1.693,-0.364,4.826,2.728,13.744,16.767,18.303,4.65,4.982,4.649,15.304,2.976,23.355,3.861,0.027,1.939,9.958,-0.861,0.742,81.832,8.945,0.385,3.853,3.952,3.537,3.221,5.081,3.281,4.408,4.544,3.922,3.616,5.648,3.66,4.651,4.809,4.012,3.684,6.017,3.726,3.924,3.69,5.952,3.707,4.632,4.827,3.906,3.633,6.006,3.64,4.543,4.736,3.75,3.534,5.917,3.522,4.424,4.615
5.398,0.996,0.753,4.664,4.664,1.411,0.936,1.385,-0.318,4.661,2.479,13.731,16.761,18.299,4.461,4.776,4.527,15.295,2.724,7.087,3.538,0.029,1.947,7.105,-1.049,1.1,69.355,8.855,0.476,3.643,3.749,3.332,3.054,4.862,3.083,4.172,4.308,3.731,3.46,5.361,3.482,4.439,4.601,3.873,3.538,5.816,3.551,3.762,3.543,5.701,3.503,4.343,4.564,3.539,3.398,5.557,3.33,4.132,4.357,3.368,3.22,5.388,3.143,3.928,4.148
4.721,1.012,0.764,4.727,4.727,1.43,1.147,1.409,-0.18,4.716,2.509,13.731,16.761,18.299,4.529,4.789,4.527,15.296,2.77,67.451,5.164,0.026,1.975,8.429,-0.276,0.076,81.947,9.151,0.435,3.744,3.845,3.633,3.261,4.92,3.215,4.273,4.415,3.865,3.612,5.402,3.578,4.49,4.634,3.966,3.677,5.825,3.643,3.926,3.684,5.709,3.62,4.488,4.705,3.828,3.62,5.611,3.523,4.338,4.533,3.693,3.49,5.554,3.395,4.228,4.437
6.26,0.957,0.741,4.727,4.727,1.483,1.27,1.685,-0.272,4.692,2.535,13.735,16.764,18.302,4.491,4.789,4.527,15.303,3.046,6.187,3.319,0.026,1.776,8.429,0.179,0.032,74.834,8.45,0.435,3.691,3.799,3.338,3.105,4.983,3.161,4.186,4.319,3.732,3.482,5.421,3.532,4.446,4.604,3.831,3.57,5.847,3.602,3.705,3.567,5.736,3.568,4.393,4.601,3.57,3.491,5.658,3.473,4.276,4.489,3.457,3.344,5.652,3.329,4.073,4.284
4.018,1.17,1.024,7.94,7.94,2.209,1.788,2.324,-0.241,5.372,3.326,14.424,17.455,18.992,5.186,5.894,5.215,15.989,3.661,74.538,8.957,0.029,1.967,15.158,-1.938,3.757,136.913,9.108,0.465,4.312,4.414,4.121,3.758,5.523,3.771,4.86,4.991,4.473,4.177,6.036,4.189,5.137,5.284,4.627,4.294,6.495,4.284,4.605,4.335,6.38,4.278,5.129,5.332,4.519,4.288,6.275,4.2,5.027,5.213,4.428,4.202,6.234,4.12,4.992,5.181
4.77,1.018,0.774,6.513,6.513,2.092,1.402,2.053,-0.215,4.838,3.184,13.839,16.827,18.349,4.667,5.329,4.945,15.376,3.051,18.448,4.204,0.038,2.013,10.154,-0.931,0.867,79.309,9.057,0.345,3.909,4.003,3.597,3.261,5.169,3.352,4.472,4.6,4.048,3.619,5.941,3.719,4.71,4.869,4.038,3.68,6.192,3.754,3.969,3.697,6.006,3.742,4.67,4.855,3.937,3.639,6.228,3.678,4.594,4.786,3.806,3.536,6.018,3.573,4.489,4.67
5.18,0.994,0.791,5.177,5.177,1.705,1.327,1.696,-0.276,4.777,2.789,13.055,15.848,17.295,4.593,4.947,4.527,14.546,2.971,7.413,3.45,0.03,1.835,7.909,-1.216,1.478,73.569,8.36,0.458,3.789,3.892,3.403,3.117,5.078,3.194,4.292,4.423,3.813,3.518,5.589,3.582,4.566,4.729,3.878,3.62,5.941,3.659,3.845,3.631,5.945,3.652,4.577,4.776,3.765,3.604,5.923,3.605,4.485,4.702,3.646,3.46,5.806,3.466,4.335,4.554
4.264,0.996,0.804,5.12,5.12,1.623,1.103,1.693,-0.296,4.769,2.696,12.921,15.708,17.158,4.57,4.884,4.369,14.42,2.695,7.841,3.408,0.027,1.802,7.81,-1.47,2.159,71.961,8.148,0.478,3.752,3.861,3.357,3.106,5.0,3.168,4.267,4.408,3.746,3.506,5.476,3.555,4.531,4.699,3.82,3.608,5.878,3.627,3.753,3.607,5.833,3.607,4.528,4.744,3.687,3.565,5.818,3.551,4.401,4.62,3.528,3.415,5.67,3.398,4.26,4.495
5.444,0.959,0.739,4.983,4.983,1.449,0.955,1.445,-0.287,4.641,2.547,13.765,16.781,18.314,4.466,4.941,4.649,15.322,2.887,9.242,5.063,0.03,2.048,7.81,-0.272,0.074,81.252,13.158,0.435,3.651,3.746,3.671,3.136,4.897,3.163,4.168,4.287,4.094,3.551,5.389,3.565,4.431,4.561,4.711,3.692,5.848,3.667,4.325,3.655,5.744,3.623,4.353,4.53,4.254,3.571,5.639,3.499,4.193,4.386,4.049,3.39,5.515,3.31,3.929,4.102
6.444,1.122,0.907,6.599,6.599,2.003,1.462,2.091,-0.221,4.954,3.095,13.808,16.809,18.347,4.769,5.333,4.771,15.38,3.049,21.157,4.356,0.026,1.773,10.852,0.023,0.001,92.552,8.441,0.533,3.948,4.045,3.597,3.374,5.189,3.427,4.471,4.596,3.996,3.767,5.718,3.81,4.723,4.872,4.096,3.845,6.107,3.872,3.994,3.776,6.097,3.8,4.659,4.84,3.883,3.69,6.023,3.708,4.559,4.73,3.836,3.631,5.917,3.661,4.542,4.717
5.083,0.864,0.739,4.535,4.535,1.435,0.99,1.412,-0.242,4.498,2.487,13.778,16.799,18.332,4.291,4.674,4.59,15.338,2.868,15.308,2.973,0.032,1.948,6.389,-1.172,1.373,61.601,8.973,0.5,3.528,3.642,3.212,2.922,4.847,2.996,4.026,4.168,3.638,3.342,5.343,3.405,4.294,4.467,3.723,3.386,5.754,3.445,3.607,3.327,5.861,3.361,4.136,4.354,3.376,3.147,5.596,3.167,3.832,4.051,3.082,2.853,5.234,2.875,3.625,3.846
6.324,1.01,0.768,5.725,5.725,1.677,1.05,1.539,-0.211,4.723,2.751,13.869,16.873,18.398,4.539,5.248,4.705,15.419,2.994,18.494,3.428,0.031,1.955,7.1,-1.816,3.299,67.657,8.79,0.455,3.652,3.762,3.309,3.025,4.976,3.099,4.154,4.296,3.729,3.453,5.45,3.513,4.415,4.577,3.893,3.544,5.853,3.608,3.851,3.521,6.213,3.57,4.444,4.668,3.576,3.355,5.925,3.373,4.109,4.324,3.343,3.123,5.476,3.143,3.991,4.214
5.347,1.119,0.788,4.664,4.664,1.487,0.959,1.389,-0.269,4.774,2.53,13.733,16.763,18.3,4.555,4.776,4.527,15.297,2.785,8.722,3.616,0.029,1.796,7.105,-1.565,2.45,65.824,8.228,0.476,3.631,3.748,3.252,3.038,4.887,3.085,4.163,4.316,3.658,3.487,5.331,3.508,4.48,4.669,3.766,3.601,5.766,3.602,3.634,3.547,5.874,3.527,4.384,4.625,3.407,3.368,5.691,3.325,4.06,4.273,3.233,3.129,5.377,3.112,3.924,4.154
7.388,0.909,0.706,4.664,4.664,1.423,0.937,1.389,-0.38,4.58,2.489,13.733,16.763,18.3,4.388,4.776,4.527,15.297,2.785,6.187,3.071,0.029,1.877,7.105,-1.764,3.111,62.245,8.842,0.476,3.598,3.7,3.271,2.945,4.904,3.034,4.12,4.248,3.686,3.354,5.383,3.435,4.379,4.525,3.797,3.429,5.867,3.496,3.637,3.382,5.786,3.417,4.238,4.443,3.409,3.232,5.642,3.239,4.012,4.215,3.251,3.017,5.417,3.04,3.808,4.008
6.564,1.119,0.788,4.664,4.664,1.487,0.959,1.389,-0.269,4.774,2.53,13.733,16.763,18.3,4.555,4.776,4.527,15.297,2.785,8.722,3.616,0.029,1.796,7.105,-1.565,2.45,65.824,8.228,0.476,3.631,3.748,3.252,3.038,4.887,3.085,4.163,4.316,3.658,3.487,5.331,3.508,4.48,4.669,3.766,3.601,5.766,3.602,3.634,3.547,5.874,3.527,4.384,4.625,3.407,3.368,5.691,3.325,4.06,4.273,3.233,3.129,5.377,3.112,3.924,4.154
6.051,1.023,0.772,4.664,4.664,1.478,0.959,1.412,-0.24,4.691,2.523,13.779,16.796,18.329,4.484,4.776,4.59,15.338,2.833,9.373,3.329,0.029,1.796,7.105,-1.726,2.979,67.53,8.228,0.476,3.639,3.754,3.253,3.028,4.902,3.082,4.138,4.286,3.655,3.457,5.366,3.49,4.383,4.557,3.754,3.551,5.726,3.565,3.626,3.53,5.78,3.512,4.401,4.641,3.408,3.363,5.683,3.325,4.092,4.314,3.231,3.129,5.375,3.109,3.959,4.195
5.056,0.812,0.556,3.664,3.664,1.383,0.749,1.148,-0.418,4.474,2.423,13.673,16.71,18.249,4.248,4.088,4.388,15.244,2.525,8.293,2.347,0.027,1.845,7.176,-1.68,2.822,58.762,8.473,0.556,3.492,3.612,3.121,2.839,4.826,2.909,3.962,4.122,3.47,3.204,5.255,3.257,4.199,4.374,3.542,3.285,5.709,3.311,3.356,3.225,5.617,3.215,4.067,4.3,3.099,3.046,5.343,3.012,3.826,4.042,3.015,2.833,5.214,2.84,3.669,3.888
