pXC50,RBN,AMW,H.,SCBO,Si,nH,nCsp2,Se,nBT,Sv,Sp,nC,nSK,nBO,nN,MW,Mi,nCsp3,nAT,Mv,Mp,nHet,C.,nDB
4.0,9,7.583,49.2,42.0,71.357,31,10,63.131,65.0,38.474,41.586,22,32,34,5,477.72,1.133,12,63.0,0.611,0.66,10,34.9,3
4.0,4,6.067,57.1,17.0,40.152,20,2,34.811,35.0,19.214,20.773,11,15,15,2,212.33,1.147,9,35.0,0.549,0.594,4,31.4,2
4.0,8,6.755,50.8,38.5,67.019,30,13,58.876,60.0,35.078,37.285,22,29,30,4,398.56,1.136,9,59.0,0.595,0.632,7,37.3,3
4.839,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.0,6,6.567,52.5,37.0,69.434,32,9,60.76,63.0,35.605,38.046,22,29,31,4,400.58,1.138,13,61.0,0.584,0.624,7,36.1,3
4.0,8,6.947,50.0,41.0,72.853,32,10,64.414,66.0,38.035,39.955,23,32,34,4,444.59,1.138,13,64.0,0.594,0.624,9,35.9,4
4.0,8,6.024,57.4,33.0,77.806,39,3,67.519,69.0,37.406,40.54,22,29,30,3,409.64,1.144,19,68.0,0.55,0.596,7,32.4,3
4.0,3,7.083,48.1,19.0,30.408,13,7,27.058,28.0,16.612,17.483,11,14,15,1,191.25,1.126,4,27.0,0.615,0.648,3,40.7,1
5.477,8,6.39,54.0,36.0,71.849,34,9,62.643,64.0,36.132,38.807,22,29,30,4,402.6,1.14,13,63.0,0.574,0.616,7,34.9,3
4.087,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.0,3,8.606,37.8,37.0,40.617,14,18,36.909,40.0,26.106,27.682,19,23,26,2,318.42,1.098,1,37.0,0.706,0.748,4,51.4,0
4.0,3,8.033,42.2,39.5,49.946,19,17,44.778,48.0,30.181,32.211,21,26,29,3,361.5,1.11,4,45.0,0.671,0.716,5,46.7,2
4.0,9,6.563,52.3,40.5,73.849,34,13,64.643,66.0,38.132,40.807,24,31,32,4,426.62,1.136,11,65.0,0.587,0.628,7,36.9,3
4.0,6,7.57,43.9,34.0,45.946,18,15,41.254,42.0,26.402,27.466,18,23,24,2,310.38,1.121,3,41.0,0.644,0.67,5,43.9,4
4.0,7,7.459,45.0,31.0,44.946,18,14,40.254,41.0,25.402,26.466,17,22,23,2,298.37,1.124,3,40.0,0.635,0.662,5,42.5,2
4.0,5,9.119,39.0,36.5,45.684,16,15,41.545,43.0,28.196,29.762,18,25,27,3,373.89,1.114,3,41.0,0.688,0.726,7,43.9,1
4.0,7,9.147,40.4,45.0,57.829,21,17,52.796,54.0,35.226,37.631,21,31,33,3,475.66,1.112,4,52.0,0.677,0.724,10,40.4,6
4.0,7,8.716,41.0,53.0,68.74,25,17,62.462,64.0,40.038,41.665,23,36,39,5,531.67,1.127,6,61.0,0.656,0.683,13,37.7,5
4.0,2,9.265,36.4,30.0,36.771,12,11,34.036,35.0,22.869,23.25,15,21,23,1,305.73,1.114,4,33.0,0.693,0.705,6,45.5,4
4.0,5,9.554,35.6,42.0,50.103,16,18,46.2,47.0,31.626,32.671,20,29,31,3,429.91,1.113,2,45.0,0.703,0.726,9,44.4,5
4.0,1,8.009,40.0,27.0,33.491,12,12,30.276,32.0,20.106,20.727,14,18,20,2,240.28,1.116,2,30.0,0.67,0.691,4,46.7,1
4.0,9,8.11,43.3,49.0,67.737,26,16,61.167,63.0,38.356,39.773,23,34,37,4,486.6,1.129,7,60.0,0.639,0.663,11,38.3,4
4.0,8,8.204,41.3,36.0,51.91,19,12,47.673,47.0,29.481,29.494,18,27,28,1,377.38,1.128,6,46.0,0.641,0.641,9,39.1,8
4.0,2,8.138,38.5,38.5,43.777,15,16,39.254,42.0,26.456,27.29,18,24,27,5,317.38,1.122,2,39.0,0.678,0.7,6,46.2,1
4.0,4,6.907,48.7,28.0,44.026,19,11,38.702,41.0,23.993,25.563,16,20,22,3,269.38,1.129,5,39.0,0.615,0.655,4,41.0,0
4.699,4,8.653,40.5,36.0,47.368,17,12,43.204,44.0,27.513,28.267,16,25,27,3,363.43,1.128,4,42.0,0.655,0.673,9,38.1,3
4.0,7,6.954,50.0,35.0,61.409,27,12,54.152,56.0,32.593,34.449,22,27,29,1,375.5,1.137,10,54.0,0.604,0.638,5,40.7,0
4.0,9,8.619,38.9,29.0,40.582,14,11,37.804,36.0,23.406,22.966,14,22,22,0,310.28,1.127,3,36.0,0.65,0.638,8,38.9,4
5.301,12,6.212,55.4,40.0,84.593,41,9,73.396,75.0,41.734,45.097,25,33,34,5,459.71,1.143,16,74.0,0.564,0.609,8,33.8,3
4.0,4,7.457,44.7,30.0,42.448,17,15,38.153,39.0,24.38,25.46,17,21,22,1,283.35,1.117,2,38.0,0.642,0.67,4,44.7,2
4.0,4,7.114,47.9,34.0,54.275,23,10,48.123,51.0,29.477,30.995,19,25,28,3,341.45,1.131,9,48.0,0.614,0.646,6,39.6,3
4.777,10,6.929,48.6,53.0,83.265,36,21,73.527,77.0,45.659,48.569,31,38,41,4,512.71,1.125,10,74.0,0.617,0.656,7,41.9,3
5.469,8,6.324,54.3,40.0,79.68,38,9,69.41,72.0,40.186,43.33,25,32,34,4,442.67,1.138,16,70.0,0.574,0.619,7,35.7,3
4.151,6,8.177,41.7,41.0,53.654,20,16,48.207,51.0,31.917,33.671,21,28,31,4,392.52,1.118,5,48.0,0.665,0.701,7,43.8,1
4.387,11,7.111,49.2,38.0,67.149,29,10,59.756,60.0,35.201,36.642,21,30,31,3,419.53,1.138,11,59.0,0.597,0.621,9,35.6,4
4.699,4,9.366,33.3,47.0,49.953,15,21,46.32,48.0,31.986,32.506,21,30,33,3,421.46,1.11,0,45.0,0.711,0.722,9,46.7,5
4.0,6,8.216,41.0,35.5,43.032,16,19,38.793,41.0,26.632,28.443,19,23,25,2,320.44,1.103,0,39.0,0.683,0.729,4,48.7,2
4.0,4,7.795,45.1,39.0,57.195,23,14,51.2,54.0,32.664,34.642,21,28,31,3,397.54,1.121,7,51.0,0.64,0.679,7,41.2,2
5.222,10,6.419,54.1,34.0,69.933,33,9,60.861,61.0,34.627,37.052,20,28,28,5,391.58,1.146,11,61.0,0.568,0.607,8,32.8,3
4.688,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.0,9,8.338,42.0,40.0,56.14,21,17,51.0,51.0,32.712,33.756,21,29,30,2,416.89,1.123,4,50.0,0.654,0.675,8,42.0,4
5.293,8,7.77,49.2,37.0,67.405,29,9,59.625,60.0,35.755,38.006,20,30,31,5,458.44,1.142,11,59.0,0.606,0.644,10,33.9,3
5.319,9,6.509,53.4,33.0,66.517,31,9,57.978,58.0,33.1,35.29,19,27,27,5,377.55,1.147,10,58.0,0.571,0.608,8,32.8,3
4.699,1,8.48,35.3,35.0,37.119,12,19,34.284,37.0,24.305,24.932,19,22,25,0,288.31,1.092,0,34.0,0.715,0.733,3,55.9,4
4.0,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
4.0,8,6.51,53.0,39.0,75.348,35,9,65.745,68.0,38.153,40.813,23,31,33,5,429.63,1.142,14,66.0,0.578,0.618,8,34.8,3
4.229,8,6.979,48.5,47.5,74.434,32,17,65.76,69.0,40.605,43.046,27,34,37,4,460.63,1.128,10,66.0,0.615,0.652,7,40.9,2
4.0,1,8.196,37.2,43.0,47.322,16,19,43.043,48.0,30.16,31.25,23,27,32,2,352.41,1.101,4,43.0,0.701,0.727,4,53.5,2
4.924,8,6.324,54.3,40.0,79.68,38,9,69.41,72.0,40.186,43.33,25,32,34,4,442.67,1.138,16,70.0,0.574,0.619,7,35.7,3
4.836,11,6.567,52.9,41.0,79.972,37,10,69.956,71.0,40.395,43.029,24,33,34,5,459.66,1.142,14,70.0,0.577,0.615,9,34.3,4
5.328,9,6.609,52.7,32.0,63.102,29,9,55.094,55.0,31.573,33.529,18,26,26,5,363.52,1.147,9,55.0,0.574,0.61,8,32.7,3
4.0,1,9.07,35.3,35.0,37.411,12,16,34.353,37.0,24.294,25.375,17,22,25,2,308.38,1.1,1,34.0,0.715,0.746,5,50.0,2
5.626,7,6.74,50.8,41.5,71.434,32,13,62.76,65.0,37.605,40.046,24,31,33,4,424.6,1.134,11,63.0,0.597,0.636,7,38.1,3
4.839,9,6.845,50.7,42.0,76.268,34,10,67.298,69.0,39.562,41.716,24,33,35,4,458.62,1.138,14,67.0,0.59,0.623,9,35.8,4
5.352,7,6.476,53.3,35.0,68.434,32,9,59.76,61.0,34.605,37.046,21,28,29,4,388.57,1.141,12,60.0,0.577,0.617,7,35.0,3
5.094,9,7.024,47.9,52.0,79.849,34,21,70.643,74.0,44.132,46.807,30,37,40,4,498.68,1.125,9,71.0,0.622,0.659,7,42.3,3
5.356,10,6.558,52.1,46.0,82.68,38,15,72.41,75.0,43.186,46.33,28,35,37,4,478.7,1.133,13,73.0,0.592,0.635,7,38.4,3
5.622,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.896,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
5.633,11,6.953,49.3,48.0,80.557,35,16,71.072,73.0,42.868,45.267,27,36,38,5,493.67,1.135,11,71.0,0.604,0.638,9,38.0,4
4.64,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
5.857,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
5.889,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.331,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
5.132,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
5.777,10,6.558,52.1,46.0,82.68,38,15,72.41,75.0,43.186,46.33,28,35,37,4,478.7,1.133,13,73.0,0.592,0.635,7,38.4,3
5.506,9,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
4.861,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
5.474,8,6.476,53.3,35.0,68.434,32,9,59.76,61.0,34.605,37.046,21,28,29,4,388.57,1.141,12,60.0,0.577,0.617,7,35.0,3
4.431,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
5.863,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.79,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
5.697,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
6.191,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.251,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
5.269,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
5.579,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
5.26,7,6.78,50.8,40.0,69.517,31,11,60.978,63.0,36.1,38.29,22,30,32,5,413.58,1.14,11,61.0,0.592,0.628,8,36.1,3
5.821,7,6.74,50.8,41.5,71.434,32,13,62.76,65.0,37.605,40.046,24,31,33,4,424.6,1.134,11,63.0,0.597,0.636,7,38.1,3
5.967,8,6.603,52.5,35.0,67.517,31,9,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,11,59.0,0.578,0.615,8,33.9,3
4.331,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
4.961,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.49,9,7.271,47.5,43.5,69.521,29,13,61.749,62.0,37.003,38.438,22,32,33,5,443.56,1.14,9,61.0,0.607,0.63,10,36.1,5
4.646,15,7.052,50.0,44.0,80.929,35,10,71.04,70.0,40.615,42.222,21,35,35,9,493.65,1.156,11,70.0,0.58,0.603,14,30.0,6
5.398,14,6.83,51.3,48.0,89.677,40,10,78.589,79.0,45.174,47.5,25,38,39,8,532.73,1.15,15,78.0,0.579,0.609,13,32.1,6
4.983,11,8.526,37.6,76.0,94.575,32,33,87.72,90.0,57.436,57.545,39,53,58,0,724.71,1.113,6,85.0,0.676,0.677,14,45.9,6
6.553,8,6.063,56.0,41.0,85.301,42,8,73.85,78.0,42.524,46.398,27,33,36,4,454.73,1.137,19,75.0,0.567,0.619,6,36.0,2
6.569,6,7.471,47.6,44.5,71.52,30,12,63.272,66.0,38.781,41.182,23,33,36,6,470.66,1.135,11,63.0,0.616,0.654,10,36.5,3
7.509,7,6.625,51.3,51.0,88.095,40,15,77.294,82.0,46.712,50.091,31,38,42,4,516.75,1.129,16,78.0,0.599,0.642,7,39.7,3
4.612,9,6.583,52.0,47.0,85.178,39,15,74.512,77.0,44.207,47.336,28,36,38,5,493.72,1.136,13,75.0,0.589,0.631,8,37.3,3
4.699,8,9.161,37.5,50.0,62.269,21,20,57.404,59.0,38.614,39.858,25,35,38,2,513.0,1.112,5,56.0,0.69,0.712,10,44.6,6
5.336,8,6.755,50.8,38.5,67.019,30,13,58.876,60.0,35.078,37.285,22,29,30,4,398.56,1.136,9,59.0,0.595,0.632,7,37.3,3
6.632,18,7.01,48.6,104.0,168.273,72,28,148.013,156.0,89.866,94.887,56,76,84,14,1037.42,1.137,28,148.0,0.607,0.641,20,37.8,6
8.447,25,6.627,51.9,102.0,184.765,84,22,161.315,169.0,95.026,101.456,58,78,85,14,1073.56,1.141,36,162.0,0.587,0.626,20,35.8,6
7.385,24,6.757,50.6,110.0,188.765,84,28,165.315,174.0,99.026,105.456,62,82,90,14,1121.6,1.137,34,166.0,0.597,0.635,20,37.3,6
4.301,28,7.111,47.5,148.0,223.841,94,46,197.708,210.0,122.606,129.422,80,104,116,16,1407.9,1.131,34,198.0,0.619,0.654,24,40.4,8
8.262,20,6.919,49.4,106.0,175.104,76,28,153.781,162.0,92.919,98.41,58,78,86,14,1065.48,1.137,30,154.0,0.603,0.639,20,37.7,6
8.523,22,6.835,50.0,108.0,181.934,80,28,159.548,168.0,95.973,101.933,60,80,88,14,1093.54,1.137,32,160.0,0.6,0.637,20,37.5,6
8.401,28,6.616,51.7,114.0,202.425,92,28,176.849,186.0,105.134,112.501,66,86,94,14,1177.72,1.137,38,178.0,0.591,0.632,20,37.1,6
6.473,32,6.494,52.6,118.0,216.086,100,28,188.384,198.0,111.241,119.547,70,90,98,14,1233.84,1.137,42,190.0,0.585,0.629,20,36.8,6
8.44,27,6.557,52.4,104.0,191.595,88,22,167.082,175.0,98.08,104.979,60,80,87,14,1101.62,1.14,38,168.0,0.584,0.625,20,35.7,6
6.793,24,6.868,50.0,108.5,185.014,81,24,161.97,170.0,96.51,102.189,58,81,89,17,1112.56,1.142,34,162.0,0.596,0.631,23,35.8,6
6.666,24,6.812,50.6,105.0,185.14,82,23,162.079,169.0,95.73,101.399,57,80,87,16,1103.55,1.143,34,162.0,0.591,0.626,23,35.2,7
6.674,26,6.684,51.5,103.0,185.974,84,22,162.642,170.0,95.741,101.91,58,79,86,14,1089.56,1.141,36,163.0,0.587,0.625,21,35.6,6
8.305,25,6.82,50.6,102.0,180.353,80,22,158.202,165.0,93.402,98.842,56,78,85,14,1077.5,1.141,34,158.0,0.591,0.626,22,35.4,6
6.543,26,6.877,50.3,103.0,181.562,80,22,159.53,166.0,94.117,99.297,56,79,86,14,1093.5,1.142,34,159.0,0.592,0.625,23,35.2,6
6.553,26,6.949,48.9,129.0,206.303,89,37,181.511,192.0,110.816,117.439,71,93,103,15,1264.75,1.134,34,182.0,0.609,0.645,22,39.0,7
4.678,7,7.879,43.4,45.0,58.986,23,20,52.872,56.0,34.949,37.188,24,30,33,3,417.57,1.113,4,53.0,0.659,0.702,6,45.3,1
5.149,2,8.48,40.6,29.5,35.7,13,12,32.127,34.0,21.6,22.926,14,19,21,3,271.37,1.116,2,32.0,0.675,0.716,5,43.8,1
5.319,4,7.225,50.0,28.5,47.361,21,10,41.662,43.0,25.707,27.972,16,21,22,3,303.47,1.128,6,42.0,0.612,0.666,5,38.1,1
5.735,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
5.446,9,6.555,51.9,49.0,87.095,40,15,76.294,80.0,45.712,49.091,30,37,40,4,504.74,1.131,15,77.0,0.594,0.638,7,39.0,3
5.511,10,6.929,48.6,53.0,83.265,36,21,73.527,77.0,45.659,48.569,31,38,41,4,512.71,1.125,10,74.0,0.617,0.656,7,41.9,3
4.389,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
5.866,8,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
4.873,7,6.081,57.1,27.0,64.434,32,3,55.76,56.0,30.605,33.046,17,24,24,4,340.53,1.151,14,56.0,0.547,0.59,7,30.4,3
4.0,7,7.636,44.6,46.5,62.192,25,22,55.429,59.0,36.761,39.495,26,31,34,3,427.61,1.111,4,56.0,0.656,0.705,5,46.4,1
5.387,7,7.819,44.7,37.5,52.571,21,16,46.989,49.0,30.422,32.426,20,26,28,3,367.51,1.119,4,47.0,0.647,0.69,6,42.6,1
4.523,3,8.964,42.4,26.5,37.06,14,10,33.334,34.0,21.954,23.546,13,19,20,3,295.82,1.123,3,33.0,0.665,0.714,6,39.4,1
4.602,7,7.63,47.6,29.5,47.654,20,9,42.207,43.0,25.917,27.671,15,22,23,4,320.46,1.135,6,42.0,0.617,0.659,7,35.7,1
4.699,2,7.186,47.1,25.5,38.694,16,9,34.036,35.0,20.961,22.046,13,18,19,4,244.33,1.138,4,34.0,0.617,0.648,5,38.2,1
6.745,7,7.048,51.9,32.5,61.524,28,7,54.069,55.0,31.739,34.171,18,26,27,4,380.57,1.139,11,54.0,0.588,0.633,8,33.3,3
4.167,8,6.571,52.6,34.0,65.019,30,9,56.876,58.0,33.078,35.285,20,27,28,4,374.54,1.141,11,57.0,0.58,0.619,7,35.1,3
7.62,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
4.824,3,7.921,45.5,25.5,37.116,15,10,33.011,34.0,21.127,22.688,13,18,19,3,261.38,1.125,3,33.0,0.64,0.688,5,39.4,1
5.959,4,8.086,42.5,34.5,44.531,17,16,39.894,42.0,26.654,28.449,18,23,25,3,323.45,1.113,2,40.0,0.666,0.711,5,45.0,1
5.252,2,8.041,44.1,27.5,38.116,15,10,34.011,36.0,22.127,23.688,14,19,21,3,273.39,1.121,4,34.0,0.651,0.697,5,41.2,1
6.128,4,10.058,40.0,35.5,44.372,16,16,40.123,42.0,27.679,29.801,18,24,26,3,402.34,1.109,2,40.0,0.692,0.745,6,45.0,1
6.658,7,6.75,51.9,32.5,61.813,28,7,54.32,55.0,31.266,32.978,18,26,27,4,364.5,1.145,11,54.0,0.579,0.611,8,33.3,3
5.921,8,6.094,55.9,32.0,67.142,33,8,58.214,60.0,33.396,36.347,21,26,27,3,359.57,1.138,13,59.0,0.566,0.616,5,35.6,2
5.523,11,7.09,48.6,50.0,83.893,36,16,74.509,76.0,44.803,46.932,28,38,40,4,524.68,1.134,12,74.0,0.605,0.634,10,37.8,4
7.398,12,6.996,49.4,51.0,87.308,38,16,77.392,79.0,46.33,48.694,29,39,41,4,538.71,1.134,13,77.0,0.602,0.632,10,37.7,4
6.523,13,7.197,48.2,57.0,96.64,41,17,86.032,87.0,51.308,53.37,31,44,46,5,611.77,1.137,14,85.0,0.604,0.628,13,36.5,5
6.301,7,6.646,51.5,42.5,74.849,34,13,65.643,68.0,39.132,41.807,25,32,34,4,438.63,1.134,12,66.0,0.593,0.633,7,37.9,3
4.699,12,7.182,48.1,55.0,92.016,39,17,81.821,83.0,49.066,51.154,30,42,44,5,581.74,1.136,13,81.0,0.606,0.632,12,37.0,5
6.0,7,6.269,54.5,44.0,87.51,42,9,76.178,80.0,44.239,47.853,28,35,38,4,482.74,1.136,19,77.0,0.575,0.621,7,36.4,3
4.699,12,7.182,48.1,55.0,92.016,39,17,81.821,83.0,49.066,51.154,30,42,44,5,581.74,1.136,13,81.0,0.606,0.632,12,37.0,5
6.013,12,6.687,52.2,53.0,102.677,47,11,90.356,92.0,52.173,55.199,31,43,45,5,601.83,1.141,20,90.0,0.58,0.613,12,34.4,5
6.921,13,7.182,48.1,55.0,92.016,39,17,81.821,83.0,49.066,51.154,30,42,44,5,581.74,1.136,13,81.0,0.606,0.632,12,37.0,5
6.046,14,6.768,51.8,49.0,94.846,43,11,83.589,84.0,48.12,50.677,28,40,41,5,561.76,1.143,17,83.0,0.58,0.611,12,33.7,5
6.553,13,6.768,51.8,49.0,94.846,43,11,83.589,84.0,48.12,50.677,28,40,41,5,561.76,1.143,17,83.0,0.58,0.611,12,33.7,5
6.0,7,6.256,54.8,41.0,83.095,40,9,72.294,75.0,41.712,45.091,26,33,35,4,456.7,1.138,17,73.0,0.571,0.618,7,35.6,3
6.921,13,7.092,48.8,56.0,95.431,41,17,84.705,86.0,50.593,52.915,31,43,45,5,595.77,1.136,14,84.0,0.602,0.63,12,36.9,5
7.398,13,7.009,49.4,57.0,98.846,43,17,87.589,89.0,52.12,54.677,32,44,46,5,609.8,1.136,15,87.0,0.599,0.628,12,36.8,5
4.699,12,7.278,47.4,54.0,88.601,37,17,78.938,80.0,47.539,49.392,29,41,43,5,567.71,1.136,12,78.0,0.609,0.633,12,37.2,5
6.222,14,7.122,48.8,53.0,91.016,39,17,80.821,81.0,48.066,50.154,29,41,42,5,569.73,1.138,12,80.0,0.601,0.627,12,36.3,5
5.569,12,7.382,46.7,53.0,85.185,35,17,76.054,77.0,46.013,47.631,28,40,42,5,553.68,1.136,11,75.0,0.614,0.635,12,37.3,5
8.222,9,6.598,51.8,54.0,96.135,44,15,84.388,89.0,50.481,54.069,33,41,45,4,560.81,1.131,18,85.0,0.594,0.636,8,38.8,3
7.046,13,7.176,47.8,63.5,101.846,43,21,90.589,93.0,55.12,57.677,35,47,50,5,645.83,1.132,14,90.0,0.612,0.641,12,38.9,5
6.538,12,7.278,47.4,54.0,88.601,37,17,78.938,80.0,47.539,49.392,29,41,43,5,567.71,1.136,12,78.0,0.609,0.633,12,37.2,5
5.638,9,6.313,54.5,37.0,75.265,36,9,65.527,67.0,37.659,40.569,23,30,31,4,416.63,1.14,14,66.0,0.571,0.615,7,34.8,3
4.699,14,7.033,49.4,54.0,94.431,41,17,83.705,84.0,49.593,51.915,30,42,43,5,583.76,1.138,13,83.0,0.598,0.625,12,36.1,5
7.222,13,7.092,48.8,56.0,95.431,41,17,84.705,86.0,50.593,52.915,31,43,45,5,595.77,1.136,14,84.0,0.602,0.63,12,36.9,5
6.046,12,6.731,51.9,47.0,90.222,41,11,79.378,80.0,45.878,48.461,27,38,39,5,531.73,1.142,16,79.0,0.581,0.613,11,34.2,5
6.0,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
5.818,73,7.812,44.5,247.5,391.166,151,54,347.94,349.0,207.348,211.189,107,188,198,51,2648.16,1.154,53,339.0,0.612,0.623,81,31.6,37
6.252,68,7.904,43.9,231.5,359.887,137,51,320.787,322.0,191.913,194.905,99,175,185,47,2465.9,1.153,48,312.0,0.615,0.625,76,31.7,34
6.398,30,6.878,51.8,77.0,157.869,71,11,139.21,137.0,78.047,81.268,41,66,66,11,942.23,1.152,30,137.0,0.57,0.593,25,29.9,11
6.187,9,7.063,52.6,31.0,65.358,30,4,57.607,57.0,32.695,34.841,17,27,27,4,402.58,1.147,13,57.0,0.574,0.611,10,29.8,4
5.097,9,6.038,56.3,38.0,80.886,40,8,69.967,73.0,39.998,43.637,25,31,33,4,428.69,1.139,17,71.0,0.563,0.615,6,35.2,2
6.3,8,6.063,56.0,41.0,85.301,42,8,73.85,78.0,42.524,46.398,27,33,36,4,454.73,1.137,19,75.0,0.567,0.619,6,36.0,2
6.242,9,6.063,56.0,41.0,85.301,42,8,73.85,78.0,42.524,46.398,27,33,36,4,454.73,1.137,19,75.0,0.567,0.619,6,36.0,2
7.237,13,6.568,51.6,62.0,107.254,49,21,93.93,99.0,56.841,61.143,38,46,50,5,623.92,1.129,17,95.0,0.598,0.644,8,40.0,3
7.284,13,6.568,51.6,62.0,107.254,49,21,93.93,99.0,56.841,61.143,38,46,50,5,623.92,1.129,17,95.0,0.598,0.644,8,40.0,3
7.244,13,6.568,51.6,62.0,107.254,49,21,93.93,99.0,56.841,61.143,38,46,50,5,623.92,1.129,17,95.0,0.598,0.644,8,40.0,3
7.108,13,7.004,50.0,62.0,103.783,46,21,91.37,96.0,56.142,60.239,37,46,50,5,644.33,1.128,16,92.0,0.61,0.655,9,40.2,3
7.328,13,7.004,50.0,62.0,103.783,46,21,91.37,96.0,56.142,60.239,37,46,50,5,644.33,1.128,16,92.0,0.61,0.655,9,40.2,3
7.328,13,7.004,50.0,62.0,103.783,46,21,91.37,96.0,56.142,60.239,37,46,50,5,644.33,1.128,16,92.0,0.61,0.655,9,40.2,3
7.276,13,6.825,50.0,62.0,104.179,46,21,91.559,96.0,55.697,59.319,37,46,50,5,627.88,1.132,16,92.0,0.605,0.645,9,40.2,3
7.357,13,6.825,50.0,62.0,104.179,46,21,91.559,96.0,55.697,59.319,37,46,50,5,627.88,1.132,16,92.0,0.605,0.645,9,40.2,3
7.387,13,6.825,50.0,62.0,104.179,46,21,91.559,96.0,55.697,59.319,37,46,50,5,627.88,1.132,16,92.0,0.605,0.645,9,40.2,3
6.703,13,7.378,48.9,63.0,103.727,45,21,91.694,96.0,56.969,61.097,37,47,51,5,678.77,1.127,16,92.0,0.619,0.664,10,40.2,3
7.187,13,7.02,48.9,63.0,104.518,45,21,92.072,96.0,56.081,59.256,37,47,51,5,645.87,1.136,16,92.0,0.61,0.644,10,40.2,3
