pXC50,Mp,Si,nBT,nH,nAT,Sv,X.,Sp,Se,Mv,H.,nBO,nCsp3,AMW,SCBO,nSK,nAB,C.,Me,Mi,MW,N.,nB,nBM,nBR,nC,nCL,nCsp
4.0,0.691,36.076,35,10,32,22.525,0.0,22.125,33.367,0.704,31.3,25,1,9.321,34.0,22,12,43.8,1.043,1.127,298.28,12.5,0,15,0,14,0,0
4.301,0.626,44.82,41,17,39,24.127,0.0,24.415,40.12,0.619,43.6,24,7,7.881,31.0,22,10,33.3,1.029,1.149,307.35,12.8,0,12,0,13,0,0
4.313,0.717,37.91,36,13,34,23.315,0.0,24.381,34.454,0.686,38.2,23,1,8.805,31.5,21,17,44.1,1.013,1.115,299.38,8.8,0,17,0,15,0,0
4.301,0.681,43.528,41,18,39,24.972,0.0,26.557,38.6,0.64,46.2,23,3,7.138,31.5,21,17,46.2,0.99,1.116,278.38,5.1,0,17,0,18,0,0
4.301,0.624,51.654,48,19,45,28.083,0.0,28.085,46.658,0.624,42.2,29,9,8.12,36.0,26,10,33.3,1.037,1.148,365.39,11.1,0,12,0,15,0,0
4.301,0.657,56.131,51,21,49,31.319,6.1,32.211,50.52,0.639,42.9,30,7,8.459,38.0,28,12,38.8,1.031,1.146,414.49,4.1,0,14,0,19,0,0
4.301,0.835,22.109,21,6,20,15.32,5.0,16.693,20.549,0.766,30.0,15,0,12.188,20.5,14,11,40.0,1.027,1.105,243.76,15.0,0,11,0,8,1,0
4.301,0.718,43.321,41,17,39,25.939,0.0,27.995,38.567,0.665,43.6,24,2,7.883,33.5,22,17,46.2,0.989,1.111,307.45,7.7,0,18,0,18,0,0
4.301,0.696,49.943,49,20,45,29.499,0.0,31.319,44.483,0.656,44.4,29,5,7.299,38.5,25,17,48.9,0.989,1.11,328.44,4.4,0,18,0,22,0,0
4.333,0.704,47.82,46,17,43,29.181,0.0,30.256,43.145,0.679,39.5,29,2,7.986,40.0,26,12,48.8,1.003,1.112,343.41,7.0,0,17,0,21,0,0
4.301,0.772,41.587,40,13,38,27.603,0.0,29.335,38.942,0.726,34.2,27,2,10.303,36.5,25,11,44.7,1.025,1.094,391.52,2.6,0,15,0,17,0,0
5.329,0.686,41.325,39,14,37,25.063,0.0,25.398,37.814,0.677,37.8,25,1,8.387,34.5,23,17,45.9,1.022,1.117,310.33,5.4,0,18,0,17,0,0
4.301,0.691,34.719,31,10,30,20.75,10.0,20.739,31.665,0.692,33.3,21,3,10.044,27.0,20,6,40.0,1.056,1.157,301.32,10.0,0,9,0,12,0,0
4.301,0.655,56.192,52,24,50,30.982,0.0,32.75,49.905,0.62,48.0,28,6,7.049,36.0,26,12,42.0,0.998,1.124,352.47,4.0,0,14,0,21,0,0
5.422,0.745,28.996,27,11,26,17.546,0.0,19.358,25.993,0.675,42.3,16,2,9.13,22.0,15,10,38.5,1.0,1.115,237.38,11.5,0,11,0,10,0,0
4.301,0.711,44.531,42,17,40,26.654,0.0,28.449,39.894,0.666,42.5,25,2,8.086,34.5,23,17,45.0,0.997,1.113,323.45,7.5,0,18,0,18,0,0
4.301,0.682,36.119,33,13,32,21.03,0.0,21.835,32.782,0.657,40.6,20,2,8.73,26.0,19,6,37.5,1.024,1.129,279.35,9.4,0,9,0,12,0,0
4.301,0.651,53.521,50,22,47,29.058,0.0,30.58,47.007,0.618,46.8,28,9,7.201,35.5,25,11,38.3,1.0,1.139,338.46,12.8,0,12,0,18,0,1
4.301,0.687,32.7,31,13,29,18.6,0.0,19.926,29.127,0.641,44.8,18,4,8.115,23.0,16,10,37.9,1.004,1.128,235.34,10.3,0,10,0,11,0,0
4.301,0.662,44.946,41,18,40,25.402,0.0,26.466,40.254,0.635,45.0,23,4,7.459,32.0,22,12,42.5,1.006,1.124,298.37,5.0,0,15,0,17,0,0
4.806,0.681,45.658,44,17,41,27.095,0.0,27.915,41.48,0.661,41.5,27,4,7.887,35.0,24,12,46.3,1.012,1.114,323.37,2.4,0,14,0,19,0,0
4.301,0.694,41.614,40,16,37,24.148,0.0,25.693,37.113,0.653,43.2,24,6,8.119,30.5,21,5,40.5,1.003,1.125,300.42,10.8,0,9,0,15,0,0
4.301,0.673,64.896,63,27,58,36.815,0.0,39.063,57.563,0.635,46.6,36,9,7.13,45.5,31,17,44.8,0.992,1.119,413.56,5.2,0,18,0,26,0,0
4.301,0.707,46.522,44,15,42,29.331,2.4,29.676,43.356,0.698,35.7,29,3,9.21,40.0,27,16,47.6,1.032,1.108,386.8,0.0,0,19,0,20,1,0
4.301,0.692,53.943,51,21,48,31.223,0.0,33.222,47.982,0.65,43.8,30,5,7.907,41.0,27,20,41.7,1.0,1.124,379.53,10.4,0,21,0,20,0,0
4.301,0.705,59.444,57,20,53,36.147,0.0,37.375,53.854,0.682,37.7,37,4,8.69,50.5,33,21,43.4,1.016,1.122,460.56,11.3,0,24,0,23,0,0
4.301,0.635,51.521,46,22,45,27.058,0.0,28.58,45.007,0.601,48.9,24,5,6.988,31.0,23,12,35.6,1.0,1.145,314.44,13.3,0,13,0,16,0,0
4.301,0.651,46.073,42,19,41,25.622,0.0,26.676,41.363,0.625,46.3,23,5,7.35,30.5,22,11,41.5,1.009,1.124,301.37,2.4,0,13,0,17,0,0
4.301,0.683,58.365,54,18,52,35.777,0.0,35.534,53.884,0.688,34.6,36,0,8.893,51.0,34,18,44.2,1.036,1.122,462.45,7.7,0,24,0,23,0,0
4.301,0.673,44.401,42,18,39,24.476,0.0,26.25,38.989,0.628,46.2,24,8,7.755,30.0,21,10,35.9,1.0,1.138,302.45,15.4,0,11,0,14,0,0
4.621,0.694,26.159,24,10,23,14.853,0.0,15.955,23.134,0.646,43.5,14,2,8.447,19.0,13,10,34.8,1.006,1.137,194.29,17.4,0,10,0,8,0,0
4.301,0.697,30.073,29,12,27,17.677,0.0,18.818,26.622,0.655,44.4,17,2,7.269,23.5,15,11,48.1,0.986,1.114,196.27,7.4,0,12,0,13,0,0
4.301,0.667,48.073,46,19,43,27.622,0.0,28.676,43.363,0.642,44.2,27,7,7.567,34.5,24,11,44.2,1.008,1.118,325.39,2.3,0,13,0,19,0,0
4.301,0.715,42.771,40,13,38,26.593,2.6,27.153,39.535,0.7,34.2,27,3,10.022,37.0,25,16,39.5,1.04,1.126,380.84,10.5,0,18,0,15,1,0
4.301,0.651,49.947,46,18,44,28.347,0.0,28.625,45.229,0.644,40.9,28,5,8.145,36.5,26,11,38.6,1.028,1.135,358.39,9.1,0,13,0,17,0,1
4.301,0.704,31.574,30,12,28,18.38,0.0,19.716,28.018,0.656,42.9,18,2,8.298,23.5,16,11,39.3,1.001,1.128,232.34,14.3,0,11,0,11,0,0
4.807,0.721,57.495,56,18,52,36.733,0.0,37.477,53.313,0.706,34.6,38,2,9.125,51.0,34,18,48.1,1.025,1.106,474.52,3.8,0,22,0,25,0,0
4.301,0.684,39.116,36,14,35,23.348,0.0,23.943,35.487,0.667,40.0,22,1,8.066,31.0,21,12,45.7,1.014,1.118,282.32,5.7,0,15,0,16,0,0
4.301,0.65,50.86,47,21,45,27.95,0.0,29.233,45.24,0.621,46.7,26,5,7.276,33.0,24,12,40.0,1.005,1.13,327.42,6.7,0,13,0,18,0,0
4.487,0.647,38.239,35,17,34,20.665,0.0,22.006,33.825,0.608,50.0,18,4,6.804,23.5,17,11,41.2,0.995,1.125,231.32,2.9,0,11,0,14,0,0
4.301,0.675,30.408,28,14,27,16.391,0.0,18.228,26.582,0.607,51.9,14,4,7.197,17.0,13,6,37.0,0.985,1.126,194.33,7.4,0,6,0,10,0,0
4.301,0.659,43.242,38,16,38,24.293,0.0,25.057,39.094,0.639,42.1,22,4,8.537,30.0,22,6,34.2,1.029,1.138,324.4,10.5,0,11,0,13,0,0
4.301,0.693,34.408,33,13,31,20.612,0.0,21.483,31.058,0.665,41.9,20,2,7.719,27.5,18,11,48.4,1.002,1.11,239.29,3.2,0,13,0,15,0,0
5.567,0.709,33.332,31,11,30,20.702,0.0,21.278,30.905,0.69,36.7,20,1,9.244,29.0,19,6,43.3,1.03,1.111,277.32,3.3,0,12,0,13,0,0
4.879,0.675,48.235,45,19,43,27.708,0.0,29.017,43.029,0.644,44.2,26,4,7.475,35.0,24,6,44.2,1.001,1.122,321.41,7.0,0,12,0,19,0,0
4.301,0.729,42.243,41,16,38,25.777,2.6,27.699,37.72,0.678,42.1,25,3,9.323,33.5,22,17,47.4,0.993,1.112,354.27,7.9,0,17,1,18,0,0
4.301,0.688,42.823,40,16,38,24.863,0.0,26.148,38.44,0.654,42.1,24,5,8.327,31.5,22,11,39.5,1.012,1.127,316.42,10.5,0,13,0,15,0,0
4.301,0.658,64.106,60,27,57,35.53,0.0,37.517,56.891,0.623,47.4,33,7,7.115,42.5,30,17,42.1,0.998,1.125,405.54,5.3,0,18,0,24,0,0
4.561,0.701,37.076,35,10,33,23.525,0.0,23.125,34.367,0.713,30.3,25,0,9.403,36.0,23,12,45.5,1.041,1.124,310.29,12.1,0,17,0,15,0,0
4.973,0.642,49.86,46,21,44,26.95,0.0,28.233,44.24,0.612,47.7,25,7,7.168,31.5,23,11,38.6,1.005,1.133,315.41,6.8,0,12,0,17,0,0
4.509,0.696,37.037,35,13,33,22.302,3.0,22.972,33.345,0.676,39.4,22,1,8.131,30.5,20,17,48.5,1.01,1.122,268.31,6.1,0,17,0,16,0,0
4.301,0.733,53.072,51,21,48,32.18,0.0,35.165,47.411,0.67,43.8,30,6,8.158,40.5,27,17,45.8,0.988,1.106,391.6,6.3,0,18,0,22,0,1
4.301,0.702,49.238,46,18,44,29.39,0.0,30.909,44.323,0.668,40.9,28,3,8.329,38.5,26,11,43.2,1.007,1.119,366.48,9.1,0,16,0,19,0,0
4.301,0.747,33.368,33,10,30,21.568,0.0,22.409,30.462,0.719,33.3,23,1,9.412,32.0,20,16,46.7,1.015,1.112,282.35,13.3,0,17,0,14,0,0
4.301,0.651,59.607,56,26,53,32.509,0.0,34.512,52.789,0.613,49.1,30,11,6.915,37.0,27,6,41.5,0.996,1.125,366.5,3.8,0,10,0,22,0,0
4.301,0.685,47.946,45,18,43,28.402,0.0,29.466,43.254,0.661,41.9,27,1,7.777,37.0,25,18,46.5,1.006,1.115,334.4,4.7,0,19,0,20,0,0
4.237,0.723,29.867,30,10,27,18.865,0.0,19.512,27.065,0.699,37.0,20,2,8.232,27.5,17,11,51.9,1.002,1.106,222.26,7.4,0,13,0,14,0,0
4.301,0.751,39.705,38,10,35,25.88,5.7,26.284,36.229,0.739,28.6,28,1,10.664,39.0,25,22,42.9,1.035,1.134,373.23,22.9,0,22,0,15,2,0
4.366,0.678,37.08,34,16,33,20.691,3.0,22.358,33.054,0.627,48.5,18,6,9.036,22.0,17,6,39.4,1.002,1.124,298.2,3.0,0,7,1,13,0,0
4.301,0.633,53.192,48,24,47,27.982,0.0,29.75,46.905,0.595,51.1,24,7,6.733,30.5,23,11,38.3,0.998,1.132,316.44,4.3,0,12,0,18,0,0
5.049,0.665,49.867,46,18,44,28.534,0.0,29.273,45.305,0.649,40.9,28,5,8.601,35.5,26,11,36.4,1.03,1.133,378.45,9.1,0,13,0,16,0,0
4.301,0.669,62.983,60,24,56,36.213,0.0,37.455,56.552,0.647,42.9,36,8,7.724,48.0,32,20,42.9,1.01,1.125,432.52,7.1,0,22,0,24,0,0
4.301,0.72,34.933,32,13,31,20.734,3.2,22.335,31.225,0.669,41.9,19,2,9.058,25.5,18,11,38.7,1.007,1.127,280.81,12.9,0,12,0,12,1,0
5.827,0.764,27.628,27,8,25,18.414,4.0,19.091,25.553,0.737,32.0,19,0,9.812,26.0,17,12,52.0,1.022,1.105,245.29,4.0,0,13,0,13,0,0
4.0,0.667,47.235,44,19,42,26.708,0.0,28.017,42.029,0.636,45.2,25,4,7.367,34.0,23,16,42.9,1.001,1.125,309.4,7.1,0,17,0,18,0,0
4.301,0.733,39.329,39,12,36,26.02,0.0,26.386,36.611,0.723,33.3,27,1,8.787,38.5,24,17,55.6,1.017,1.092,316.32,0.0,0,20,0,20,0,0
4.301,0.7,42.534,40,15,38,25.557,0.0,26.597,38.665,0.673,39.5,25,3,8.669,33.5,23,11,42.1,1.018,1.119,329.41,7.9,0,14,0,16,0,0
4.516,0.684,44.017,41,18,39,24.995,5.1,26.659,38.992,0.641,46.2,23,5,7.816,29.0,21,12,43.6,1.0,1.129,304.82,5.1,0,12,0,17,1,0
4.741,0.663,52.199,48,15,45,30.631,8.9,29.847,47.865,0.681,33.3,33,6,9.907,40.0,30,12,37.8,1.064,1.16,445.82,11.1,0,13,0,17,1,0
4.301,0.72,37.989,37,14,34,22.907,0.0,24.478,33.902,0.674,41.2,23,2,8.306,31.0,20,16,44.1,0.997,1.117,282.4,11.8,0,16,0,15,0,0
4.301,0.641,55.824,51,22,49,30.575,2.0,31.387,49.963,0.624,44.9,29,7,7.662,37.0,27,12,38.8,1.02,1.139,375.44,6.1,0,14,0,19,0,0
4.301,0.669,35.827,33,13,32,21.041,0.0,21.392,32.713,0.658,40.6,20,2,8.103,27.5,19,11,43.8,1.022,1.12,259.28,3.1,0,13,0,14,0,0
4.539,0.636,60.564,56,24,53,32.729,0.0,33.705,53.872,0.618,45.3,32,8,7.556,39.0,29,12,35.8,1.016,1.143,400.49,11.3,0,13,0,19,0,0
4.336,0.719,33.62,31,13,30,19.787,0.0,21.574,30.204,0.66,43.3,18,3,8.914,24.0,17,10,36.7,1.007,1.121,267.41,10.0,0,11,0,11,0,0
4.301,0.662,44.946,41,18,40,25.402,0.0,26.466,40.254,0.635,45.0,23,4,7.459,32.0,22,12,42.5,1.006,1.124,298.37,5.0,0,15,0,17,0,0
4.301,0.669,42.701,39,20,38,23.029,2.6,25.427,37.494,0.606,52.6,19,8,8.165,23.0,18,6,39.5,0.987,1.124,310.26,2.6,0,7,1,15,0,0
4.301,0.71,37.827,35,14,34,22.82,0.0,24.137,34.236,0.671,41.2,21,3,8.423,29.5,20,11,44.1,1.007,1.113,286.38,5.9,0,13,0,15,0,1
4.301,0.636,50.032,45,17,43,27.642,9.3,27.358,45.429,0.643,39.5,28,8,9.205,32.0,26,6,34.9,1.056,1.164,395.8,7.0,0,7,0,15,1,0
4.301,0.675,48.235,46,19,43,27.708,0.0,29.017,43.029,0.644,44.2,27,5,7.475,35.5,24,17,44.2,1.001,1.122,321.41,7.0,0,17,0,19,0,0
4.301,0.7,41.492,39,12,37,26.052,0.0,25.886,38.251,0.704,32.4,27,0,9.09,39.5,25,17,45.9,1.034,1.121,336.33,10.8,0,21,0,17,0,0
4.301,0.715,47.786,46,18,43,28.776,0.0,30.762,43.407,0.669,41.9,28,5,8.71,37.0,25,12,41.9,1.009,1.111,374.52,4.7,0,15,0,18,0,0
4.908,0.693,36.993,35,11,33,23.031,0.0,22.881,34.149,0.698,33.3,24,1,9.009,34.0,22,12,45.5,1.035,1.121,297.29,9.1,0,16,0,15,0,0
4.333,0.71,22.744,21,8,20,13.326,0.0,14.193,20.251,0.666,40.0,13,2,9.013,18.0,12,10,35.0,1.013,1.137,180.26,20.0,0,10,0,7,0,0
4.301,0.625,47.86,43,21,42,24.95,0.0,26.233,42.24,0.594,50.0,22,9,6.938,27.0,21,0,35.7,1.006,1.14,291.39,7.1,0,4,0,15,0,1
4.0,0.68,40.405,39,15,36,23.655,0.0,24.495,36.262,0.657,41.7,24,3,7.815,31.0,21,12,44.4,1.007,1.122,281.34,8.3,0,13,0,16,0,0
4.301,0.752,39.831,39,12,36,26.153,2.8,27.085,36.607,0.726,33.3,27,0,10.618,38.5,24,21,50.0,1.017,1.106,382.23,8.3,0,22,1,18,0,0
4.792,0.707,35.993,33,12,32,21.81,0.0,22.625,32.673,0.682,37.5,21,0,9.011,29.0,20,12,40.6,1.021,1.125,288.36,12.5,0,14,0,13,0,0
4.301,0.736,34.703,34,12,31,21.282,0.0,22.818,31.422,0.687,38.7,22,5,9.433,29.0,19,14,38.7,1.014,1.119,292.42,12.9,0,14,0,12,0,0
4.301,0.661,42.029,38,18,37,22.675,0.0,24.455,36.996,0.613,48.6,20,6,7.525,26.0,19,10,35.1,1.0,1.136,278.42,10.8,0,11,0,13,0,0
4.301,0.655,46.531,43,16,41,26.82,0.0,26.864,42.345,0.654,39.0,27,4,8.399,36.5,25,11,39.0,1.033,1.135,344.36,9.8,0,15,0,16,0,0
4.301,0.689,40.112,38,16,36,23.445,0.0,24.796,35.716,0.651,44.4,22,2,7.343,30.5,20,17,47.2,0.992,1.114,264.35,5.6,0,17,0,17,0,0
4.587,0.694,36.744,34,15,33,21.326,0.0,22.892,33.018,0.646,45.5,19,2,7.92,25.0,18,12,42.4,1.001,1.113,261.37,3.0,0,12,0,14,0,0
5.271,0.658,55.408,50,21,49,31.281,0.0,32.244,50.298,0.638,42.9,29,4,8.316,39.0,28,12,36.7,1.026,1.131,407.49,6.1,0,16,0,18,0,0
4.301,0.686,41.325,39,14,37,25.063,0.0,25.398,37.814,0.677,37.8,25,2,8.387,35.0,23,12,45.9,1.022,1.117,310.33,5.4,0,16,0,17,0,0
4.922,0.674,39.534,36,15,35,22.557,0.0,23.597,35.665,0.644,42.9,21,3,8.382,27.0,20,6,37.1,1.019,1.13,293.38,8.6,0,9,0,13,0,0
4.301,0.726,36.565,35,10,33,24.057,3.0,23.943,34.48,0.729,30.3,25,1,10.052,34.5,23,11,48.5,1.045,1.108,331.72,3.0,0,15,0,16,1,0
4.301,0.673,33.163,30,7,29,20.923,0.0,19.517,31.356,0.721,24.1,23,0,10.525,35.0,22,12,37.9,1.081,1.144,305.23,17.2,0,18,0,11,0,0
4.301,0.656,62.342,57,25,55,34.567,1.8,36.074,55.76,0.628,45.5,32,7,7.872,41.0,30,16,38.2,1.014,1.133,432.95,7.3,0,17,0,21,1,0
4.301,0.689,40.112,38,16,36,23.445,0.0,24.796,35.716,0.651,44.4,22,2,7.343,30.5,20,17,47.2,0.992,1.114,264.35,5.6,0,17,0,17,0,0
4.301,0.659,62.105,58,28,55,33.309,0.0,36.262,54.414,0.606,50.9,30,11,6.993,36.5,27,11,38.2,0.989,1.129,384.6,7.3,0,12,0,21,0,0
4.301,0.643,58.145,54,24,51,31.299,0.0,32.796,51.218,0.614,47.1,30,8,7.225,37.0,27,12,37.3,1.004,1.14,368.49,11.8,0,13,0,19,0,0
4.301,0.643,58.983,54,24,52,32.213,0.0,33.455,52.552,0.619,46.2,30,6,7.394,38.0,28,12,38.5,1.011,1.134,384.48,7.7,0,14,0,20,0,0
4.301,0.694,49.941,48,21,45,29.047,0.0,31.245,44.098,0.645,46.7,27,3,6.966,38.5,24,21,48.9,0.98,1.11,313.45,4.4,0,22,0,22,0,0
4.301,0.651,45.69,42,18,40,25.004,0.0,26.057,40.24,0.625,45.0,24,6,7.46,31.5,22,11,37.5,1.006,1.142,298.39,15.0,0,12,0,15,0,1
4.301,0.739,35.914,34,11,32,22.763,3.1,23.654,32.531,0.711,34.4,23,0,9.324,32.5,21,17,46.9,1.017,1.122,298.37,12.5,0,18,0,15,0,0
4.301,0.678,51.701,48,19,46,30.312,2.2,31.165,46.651,0.659,41.3,29,4,7.966,39.0,27,12,45.7,1.014,1.124,366.42,4.3,0,16,0,21,0,0
4.301,0.722,42.744,42,14,39,27.547,0.0,28.148,39.494,0.706,35.9,28,2,8.471,39.5,25,17,53.8,1.013,1.096,330.35,0.0,0,20,0,21,0,0
4.301,0.648,48.721,44,21,43,26.283,2.3,27.847,43.345,0.611,48.8,23,8,7.554,28.0,22,6,37.2,1.008,1.133,324.84,4.7,0,8,0,16,1,0
4.301,0.729,35.787,35,10,32,22.998,0.0,23.318,33.116,0.719,31.3,25,1,9.823,34.0,22,16,43.8,1.035,1.118,314.35,12.5,0,17,0,14,0,0
4.301,0.646,40.82,38,17,36,22.181,0.0,23.256,36.145,0.616,47.2,21,6,7.204,27.0,19,10,38.9,1.004,1.134,259.34,8.3,0,11,0,14,0,0
4.301,0.717,33.365,31,11,30,20.886,0.0,21.517,30.167,0.696,36.7,20,0,8.31,30.0,19,12,50.0,1.006,1.112,249.29,10.0,0,15,0,15,0,1
4.522,0.727,29.534,28,8,26,18.557,0.0,18.898,26.898,0.714,30.8,20,0,10.012,27.5,18,11,38.5,1.035,1.136,260.31,23.1,0,13,0,10,0,0
4.301,0.643,46.896,42,20,41,24.816,0.0,26.364,40.796,0.605,48.8,22,4,6.937,29.0,21,12,36.6,0.995,1.144,284.41,14.6,0,13,0,15,0,0
4.809,0.725,27.728,26,10,25,17.198,4.0,18.125,25.171,0.688,40.0,16,2,8.787,22.5,15,11,48.0,1.007,1.109,219.68,4.0,0,12,0,12,1,0
4.614,0.721,42.408,40,14,38,26.336,0.0,27.387,38.556,0.693,36.8,26,1,8.906,37.5,24,17,44.7,1.015,1.116,338.42,10.5,0,20,0,17,0,0
4.467,0.649,48.654,45,19,43,27.138,0.0,27.926,43.683,0.631,44.2,26,7,7.66,33.0,24,6,39.5,1.016,1.131,329.39,7.0,0,9,0,17,0,1
4.301,0.696,35.78,34,13,32,21.413,0.0,22.279,32.051,0.669,40.6,21,1,7.853,30.0,19,16,46.9,1.002,1.118,251.31,9.4,0,17,0,15,0,0
4.301,0.702,42.614,40,16,38,25.148,0.0,26.693,38.113,0.662,42.1,24,3,8.222,34.0,22,16,42.1,1.003,1.121,312.43,10.5,0,18,0,16,0,0
4.301,0.659,71.897,67,27,63,40.252,1.6,41.506,63.818,0.639,42.9,40,9,7.787,51.5,36,17,39.7,1.013,1.141,490.6,12.7,0,19,0,25,0,1
4.301,0.657,69.73,65,29,62,38.772,0.0,40.733,62.101,0.625,46.8,36,8,7.219,46.5,33,17,41.9,1.002,1.125,447.58,4.8,0,19,0,26,0,0
4.777,0.729,26.369,26,9,24,16.843,0.0,17.506,23.964,0.702,37.5,17,0,8.135,24.5,15,11,54.2,0.998,1.099,195.23,4.2,0,13,0,13,0,0
4.301,0.679,40.531,37,17,36,22.654,0.0,24.449,35.894,0.629,47.2,20,5,7.65,26.5,19,11,38.9,0.997,1.126,275.41,8.3,0,12,0,14,0,0
4.301,0.71,45.368,43,17,41,27.567,0.0,29.108,41.229,0.672,41.5,26,3,8.279,36.0,24,16,46.3,1.006,1.107,339.44,2.4,0,18,0,19,0,0
5.508,0.761,27.968,27,7,25,18.797,8.0,19.029,26.065,0.752,28.0,20,0,10.531,27.0,18,12,52.0,1.043,1.119,263.28,4.0,0,13,0,13,0,0
4.559,0.659,51.939,50,22,46,28.542,0.0,30.33,45.687,0.62,47.8,28,8,7.01,34.5,24,11,41.3,0.993,1.129,322.45,8.7,0,12,0,19,0,0
4.301,0.741,29.833,28,11,27,18.459,0.0,20.017,27.327,0.684,40.7,17,2,9.384,23.0,16,10,40.7,1.012,1.105,253.37,3.7,0,11,0,11,0,0
4.301,0.733,30.419,29,8,27,19.645,3.7,19.796,28.2,0.728,29.6,21,0,10.27,29.0,19,16,44.4,1.044,1.127,277.3,11.1,0,16,0,12,0,0
4.301,0.795,41.54,41,13,38,27.974,0.0,30.222,38.28,0.736,34.2,28,1,10.093,38.5,25,17,47.4,1.007,1.093,383.55,7.9,0,19,0,18,0,0
4.301,0.665,33.618,31,13,30,19.327,0.0,19.938,30.385,0.644,43.3,18,2,7.709,24.5,17,11,43.3,1.013,1.121,231.27,3.3,0,12,0,13,0,0
4.301,0.644,48.189,44,19,42,26.025,0.0,27.063,42.342,0.62,45.2,25,6,7.462,32.5,23,11,35.7,1.008,1.147,313.41,16.7,0,12,0,15,0,1
4.301,0.64,62.398,57,26,55,33.74,0.0,35.216,55.436,0.613,47.3,31,7,7.246,40.0,29,16,38.2,1.008,1.135,398.51,7.3,0,17,0,21,0,0
4.301,0.702,31.914,30,11,28,18.763,3.6,19.654,28.531,0.67,39.3,19,2,8.94,24.5,17,11,39.3,1.019,1.14,250.33,14.3,0,11,0,11,0,0
4.301,0.721,26.79,26,8,24,16.955,0.0,17.307,24.913,0.706,33.3,18,2,9.845,23.5,16,11,41.7,1.038,1.116,236.27,8.3,0,11,0,10,0,0
4.92,0.689,40.112,38,16,36,23.445,0.0,24.796,35.716,0.651,44.4,22,2,7.343,30.5,20,17,47.2,0.992,1.114,264.35,5.6,0,17,0,17,0,0
4.301,0.647,57.773,53,24,51,31.498,0.0,33.0,51.225,0.618,47.1,29,6,7.225,38.0,27,16,39.2,1.004,1.133,368.48,7.8,0,17,0,20,0,0
4.599,0.731,27.454,25,8,24,16.744,0.0,17.546,24.975,0.698,33.3,17,2,10.681,23.0,16,10,29.2,1.041,1.144,256.35,25.0,0,11,0,7,0,0
4.929,0.661,49.804,46,20,44,27.777,2.3,29.091,44.563,0.631,45.5,26,7,7.951,32.5,24,11,38.6,1.013,1.132,349.85,6.8,0,12,0,17,1,0
4.301,0.672,51.654,48,19,46,30.138,0.0,30.926,46.683,0.655,41.3,29,2,7.944,39.5,27,17,43.5,1.015,1.123,365.42,6.5,0,19,0,20,0,0
4.301,0.721,41.116,39,15,37,25.127,0.0,26.688,37.011,0.679,40.5,24,1,8.363,33.5,22,17,45.9,1.0,1.111,309.42,8.1,0,18,0,17,0,0
4.301,0.722,44.242,43,16,40,27.347,0.0,28.898,40.12,0.684,40.0,27,3,8.411,36.5,24,17,47.5,1.003,1.106,336.44,5.0,0,18,0,19,0,0
4.301,0.644,50.777,47,22,45,27.455,0.0,28.989,45.022,0.61,48.9,25,8,6.987,31.5,23,11,40.0,1.0,1.128,314.42,4.4,0,12,0,18,0,0
4.301,0.698,60.069,57,21,54,36.665,0.0,37.688,54.567,0.679,38.9,36,1,8.139,51.0,33,22,48.1,1.011,1.112,439.5,5.6,0,26,0,26,0,0
4.301,0.641,33.824,32,15,30,18.139,0.0,19.245,29.942,0.605,50.0,17,6,6.843,20.0,15,6,40.0,0.998,1.127,205.28,3.3,0,6,0,12,0,0
4.301,0.649,51.773,48,24,46,27.552,0.0,29.841,45.251,0.599,52.2,24,7,6.445,30.0,22,12,41.3,0.984,1.126,296.45,4.3,0,12,0,19,0,0
4.301,0.763,43.177,40,17,39,26.617,5.1,29.767,39.32,0.682,43.6,23,7,11.981,28.0,22,6,38.5,1.008,1.107,467.27,2.6,0,8,2,15,0,0
4.349,0.681,47.787,45,16,43,29.218,0.0,29.273,44.36,0.679,37.2,29,3,8.567,39.0,27,12,46.5,1.032,1.111,368.36,0.0,0,16,0,20,0,0
4.301,0.645,45.657,41,18,40,24.82,0.0,25.818,40.978,0.62,45.0,23,7,8.16,30.0,22,10,32.5,1.024,1.141,326.42,10.0,0,12,0,13,0,0
4.495,0.66,59.773,56,24,53,33.498,0.0,35.0,53.225,0.632,45.3,32,7,7.406,41.5,29,17,41.5,1.004,1.128,392.5,7.5,0,18,0,22,0,0
4.408,0.699,29.285,27,11,26,17.073,0.0,18.165,26.244,0.657,42.3,16,2,8.512,21.5,15,11,38.5,1.009,1.126,221.31,11.5,0,11,0,10,0,0
4.736,0.774,28.86,27,9,26,18.781,3.8,20.119,26.869,0.722,34.6,18,2,11.108,23.0,17,6,38.5,1.033,1.11,288.8,7.7,0,8,0,10,1,0
5.504,0.766,35.961,35,11,33,24.33,3.0,25.284,33.513,0.737,33.3,24,1,10.763,34.0,22,12,54.5,1.016,1.09,355.19,0.0,0,16,1,18,0,0
4.301,0.764,40.913,40,12,37,26.997,0.0,28.273,37.749,0.73,32.4,28,1,9.959,38.5,25,11,45.9,1.02,1.106,368.47,10.8,0,16,0,17,0,0
4.301,0.664,51.567,48,22,46,28.74,0.0,30.534,45.694,0.625,47.8,26,5,7.01,34.0,24,12,43.5,0.993,1.121,322.44,4.3,0,14,0,20,0,0
4.301,0.676,24.498,23,8,22,14.966,0.0,14.864,22.844,0.68,36.4,15,1,8.735,20.0,14,6,45.5,1.038,1.114,192.18,0.0,0,8,0,10,0,0
