pXC50,MW,Sp,Sv,nBO,SCBO,nC,nBM,nAB,nSK,nBT,Se,nAT,Si,nCsp2,RBF,RBN,nH
5.4,254.29,21.006,20.576,21,29.5,14,17,17,19,32,30.454,30,33.994,13,0.063,2,11
5.5,241.32,22.04,20.94,19,26.0,14,13,12,18,34,32.934,33,37.196,12,0.147,5,15
5.7,324.42,29.023,27.73,26,35.0,18,17,16,24,46,44.131,44,49.734,14,0.13,6,20
6.0,304.39,26.841,25.762,26,36.5,17,21,21,23,42,39.029,39,44.066,15,0.071,3,16
6.9,498.66,43.205,41.013,40,54.5,27,28,27,36,66,62.178,62,69.481,23,0.091,6,26
6.5,380.41,28.534,28.239,30,42.0,18,16,10,27,42,40.327,39,43.412,16,0.071,3,12
6.1,264.35,24.796,23.445,22,30.5,17,17,17,20,38,35.716,36,40.112,15,0.105,4,16
5.3,419.48,35.301,34.499,36,52.5,24,29,27,32,53,49.458,49,54.774,22,0.094,5,17
5.3,380.29,30.699,29.089,27,34.0,19,13,12,25,46,44.567,44,49.167,13,0.13,6,19
5.6,317.42,29.563,27.993,26,36.0,20,19,18,24,45,42.702,43,48.026,18,0.111,5,19
6.45,399.46,33.75,32.893,34,47.5,23,27,27,30,52,48.534,48,53.947,21,0.096,5,18
5.6,289.32,23.767,23.402,25,36.5,16,22,21,22,36,33.487,33,36.947,16,0.056,2,11
6.0,238.27,19.762,19.381,20,29.0,13,17,16,18,30,28.385,28,31.448,13,0.067,2,10
6.7,461.61,42.858,40.617,39,53.5,29,26,23,35,66,61.556,62,69.268,25,0.106,7,27
5.3,335.81,27.898,26.767,27,38.0,19,22,22,24,41,38.258,38,42.14,18,0.049,2,14
5.0,284.3,22.432,22.337,23,32.0,14,17,16,21,35,33.924,33,37.282,12,0.114,4,12
5.0,427.58,41.029,38.541,35,47.0,28,23,22,32,64,60.454,61,67.939,21,0.109,7,29
5.1,390.45,32.961,32.113,32,44.0,22,23,22,29,51,48.643,48,54.073,20,0.078,4,19
7.5,398.53,36.006,34.22,31,39.5,22,14,11,29,58,56.178,56,63.734,14,0.121,7,27
6.6,360.43,30.54,29.673,31,42.0,20,22,22,27,48,44.425,44,49.821,16,0.104,5,17
6.5,265.34,24.04,22.94,22,30.5,16,17,17,20,37,34.934,35,39.196,14,0.108,4,15
4.6,209.27,19.063,18.171,18,26.0,13,16,16,16,29,26.84,27,30.156,13,0.034,1,11
6.3,454.53,38.489,37.487,38,52.5,25,28,27,34,60,56.662,56,62.94,22,0.117,7,22
5.0,453.64,43.381,40.67,39,50.0,28,22,22,34,70,64.323,65,73.099,18,0.1,7,31
5.0,339.8,27.352,26.482,27,36.5,18,18,17,24,41,38.585,38,42.349,16,0.024,1,14
5.1,380.45,32.926,31.839,30,40.0,22,19,18,28,51,49.534,49,55.117,18,0.118,6,21
5.6,429.9,33.796,33.008,32,42.0,20,15,12,30,52,51.211,50,56.595,12,0.115,6,20
6.8,290.34,25.489,24.633,25,34.5,18,18,17,22,39,36.16,36,39.907,17,0.051,2,14
5.3,293.27,21.091,21.563,23,31.0,14,16,16,21,33,32.589,31,35.799,12,0.03,1,10
5.7,392.48,33.517,32.441,32,43.0,21,22,22,29,53,50.52,50,56.861,16,0.113,6,21
5.3,384.79,28.017,28.029,30,42.0,19,23,22,27,41,39.502,38,42.902,19,0.073,3,11
7.3,585.74,50.211,48.034,49,67.5,33,35,33,43,76,70.28,70,77.979,29,0.105,8,27
5.8,388.23,27.506,26.593,26,35.0,18,15,12,24,40,38.825,38,42.084,16,0.1,4,14
7.9,343.85,28.671,27.337,27,35.0,17,16,16,24,45,42.345,42,47.551,11,0.067,3,18
5.7,424.5,35.216,34.351,34,45.0,22,22,22,31,56,53.916,53,60.615,16,0.107,6,22
5.0,479.63,44.074,41.858,40,54.5,29,28,27,36,69,64.767,65,72.893,23,0.13,9,29
6.3,301.42,29.108,27.279,26,35.0,20,18,18,23,45,41.374,42,46.817,18,0.022,1,19
5.4,446.58,39.802,38.021,37,48.0,25,22,22,33,64,60.17,60,68.106,16,0.125,8,27
5.5,331.45,31.324,29.52,28,37.0,21,18,18,25,49,45.585,46,51.441,18,0.041,2,21
4.3,174.63,10.528,10.1,11,15.5,4,9,9,10,14,13.807,13,14.857,4,0.0,0,3
5.3,434.54,39.779,37.936,38,51.5,29,25,23,33,61,55.763,56,62.113,25,0.049,3,23
5.3,373.53,32.438,30.465,30,39.0,18,16,14,26,53,49.192,49,55.567,8,0.094,5,23
5.9,407.52,36.006,34.519,33,42.0,22,18,18,30,58,55.327,55,62.272,15,0.103,6,25
8.2,413.96,35.205,33.433,32,41.0,20,17,16,29,56,53.316,53,60.378,12,0.089,5,24
5.3,325.33,24.921,25.027,26,36.0,16,19,18,24,38,37.211,36,40.911,16,0.132,5,12
5.0,373.51,33.211,31.181,30,42.0,22,23,22,27,49,45.778,46,50.946,20,0.061,3,19
5.0,430.42,32.29,32.594,33,44.0,21,20,18,31,50,49.996,48,54.962,19,0.1,5,17
5.0,220.62,15.301,15.354,17,24.0,10,12,10,15,22,20.949,20,22.19,10,0.0,0,5
5.1,330.45,27.909,26.39,25,35.0,16,18,16,23,43,41.323,41,46.238,13,0.116,5,18
6.8,437.55,38.586,37.079,37,51.5,25,28,27,33,60,56.109,56,63.019,22,0.1,6,23
5.3,280.31,22.977,22.622,23,32.5,15,18,17,21,35,33.596,33,37.073,15,0.057,2,12
5.9,652.79,53.614,51.876,53,70.5,34,34,33,47,83,78.174,77,86.987,28,0.096,8,30
5.0,348.39,28.955,28.391,29,40.0,19,19,16,26,45,42.691,42,47.113,17,0.089,4,16
5.0,407.44,30.54,30.261,32,46.5,19,25,21,29,45,43.429,42,46.91,19,0.133,6,13
6.0,370.45,30.08,28.926,28,38.0,20,19,18,26,44,42.702,42,47.127,18,0.114,5,16
4.5,179.21,14.006,13.875,14,18.0,7,7,6,13,23,22.604,22,25.531,5,0.0,0,9
8.1,273.14,19.409,18.175,18,26.0,13,16,16,16,27,24.967,25,27.499,13,0.037,1,9
4.3,220.63,15.097,15.155,17,23.5,9,12,11,15,22,20.942,20,22.562,9,0.0,0,5
4.5,194.25,18.057,17.15,17,25.0,13,16,16,15,27,24.738,25,27.657,13,0.037,1,10
5.0,429.53,35.983,34.899,34,43.0,21,17,16,31,59,56.901,56,64.529,12,0.119,7,25
6.4,284.35,24.5,23.676,23,31.0,15,16,16,21,39,37.363,37,41.903,12,0.128,5,16
5.4,269.29,21.222,21.117,22,32.0,13,18,16,20,33,31.814,31,35.156,12,0.091,3,11
7.4,353.43,28.597,27.557,28,38.0,18,18,16,25,43,40.665,40,44.534,16,0.07,3,15
5.3,345.19,23.358,22.601,24,34.0,15,20,20,21,34,31.683,31,34.835,14,0.029,1,10
5.3,297.85,24.103,22.282,20,25.5,12,11,11,19,36,35.211,35,39.847,7,0.139,5,16
5.6,348.81,28.142,27.262,28,40.0,19,23,22,25,41,38.476,38,42.223,19,0.073,3,13
6.6,379.48,31.154,29.885,30,43.0,19,24,22,27,47,44.542,44,49.322,18,0.106,5,17
6.1,289.79,24.659,23.294,21,28.0,15,13,12,20,37,36.142,36,40.555,12,0.135,5,16
6.5,371.47,33.779,32.235,31,43.0,23,23,22,28,52,48.912,49,54.651,20,0.135,7,21
8.5,212.24,17.995,17.533,18,26.0,13,16,16,16,27,25.251,25,27.997,13,0.037,1,9
6.4,479.99,36.659,35.437,34,45.0,20,20,18,32,56,55.498,54,61.139,16,0.161,9,22
5.8,405.42,31.898,31.796,33,46.0,21,24,22,30,49,47.305,46,51.951,21,0.082,4,16
5.3,361.48,33.54,31.762,29,39.0,22,19,18,27,52,49.796,50,56.066,18,0.173,9,23
5.6,226.31,20.83,19.72,19,26.0,13,11,10,17,33,30.825,31,35.069,6,0.03,1,14
5.6,401.48,32.392,31.358,33,47.0,21,27,26,29,48,44.658,44,48.906,21,0.083,4,15
6.7,486.62,40.926,39.155,39,53.5,26,28,27,35,62,58.48,58,65.196,23,0.097,6,23
5.8,450.54,37.978,36.878,37,48.0,24,22,22,33,61,57.8,57,65.031,16,0.115,7,24
7.0,273.14,19.409,18.175,18,26.0,13,16,16,16,27,24.967,25,27.499,13,0.037,1,9
4.1,237.28,20.517,19.886,20,29.0,14,17,16,18,31,29.167,29,32.365,13,0.065,2,11
7.4,370.22,26.085,25.153,25,36.0,17,18,16,23,37,35.607,35,38.831,15,0.081,3,12
5.3,436.85,31.693,31.707,32,43.0,20,19,16,30,48,47.992,46,52.697,17,0.125,6,16
5.3,526.75,50.126,46.987,42,55.0,31,24,22,39,80,76.403,77,87.052,21,0.113,9,38
6.3,505.67,41.54,39.367,38,54.0,25,26,22,35,61,58.596,58,64.697,20,0.082,5,23
7.1,342.87,29.222,27.644,27,35.0,17,16,16,24,46,43.12,43,48.84,11,0.065,3,19
5.3,247.38,24.324,22.52,19,23.0,14,7,6,18,40,38.585,39,44.441,6,0.075,3,21
5.4,333.3,23.341,24.079,26,35.5,15,18,17,24,36,35.909,34,39.381,14,0.056,2,10
5.5,265.34,24.04,22.94,22,31.0,16,17,16,20,37,34.934,35,39.196,13,0.081,3,15
7.4,388.26,26.892,25.997,26,35.5,15,18,17,24,40,38.803,38,43.2,14,0.125,5,14
5.9,387.5,32.699,31.17,32,44.0,21,23,22,28,49,45.214,45,50.112,19,0.041,2,17
5.3,338.46,29.659,27.874,26,35.5,19,18,17,24,44,42.003,42,46.657,16,0.114,5,18
6.6,344.8,24.722,24.11,26,36.5,15,21,21,23,35,33.113,32,35.522,15,0.086,3,9
5.0,293.35,25.495,24.655,24,33.0,17,15,12,22,39,37.262,37,41.405,15,0.077,3,15
7.6,482.44,36.574,34.248,33,45.5,22,23,21,30,53,50.211,50,55.784,19,0.132,7,20
5.5,499.67,46.052,43.627,40,53.0,29,24,22,37,73,69.861,70,78.933,21,0.123,9,33
5.5,235.09,15.648,14.648,15,20.5,10,11,11,13,22,20.084,20,22.084,9,0.0,0,7
5.5,266.38,25.353,23.773,22,30.0,16,16,16,20,40,37.592,38,42.9,12,0.075,3,18
5.3,537.08,44.085,42.072,43,60.5,29,34,33,38,64,59.407,59,65.385,28,0.109,7,21
5.3,427.92,35.307,34.019,33,42.5,22,18,17,30,55,52.774,52,58.429,15,0.127,7,22
6.5,427.99,36.966,34.96,33,42.0,21,17,16,30,59,56.2,56,63.794,12,0.102,6,26
5.2,350.46,31.784,30.256,29,38.0,20,17,16,26,51,48.014,48,54.149,14,0.098,5,22
5.5,377.38,29.858,29.799,31,43.0,20,21,18,28,46,44.244,43,48.033,19,0.065,3,15
4.2,176.2,14.0,13.854,14,19.0,8,8,6,13,22,21.502,21,24.033,8,0.045,1,8
5.7,430.45,33.932,33.771,36,50.5,23,28,27,32,52,49.265,48,54.37,22,0.096,5,16
7.5,308.43,28.364,26.816,26,34.0,17,16,16,23,46,42.796,43,48.896,11,0.065,3,20
6.1,440.5,35.671,35.066,35,46.0,22,22,22,32,57,55.243,54,61.825,16,0.123,7,22
5.0,280.79,23.665,22.316,20,25.5,13,11,11,19,37,36.243,36,41.053,8,0.135,5,17
7.4,308.42,28.569,27.015,25,34.0,18,17,16,23,45,42.803,43,48.524,15,0.111,5,20
5.0,346.43,30.057,29.004,29,40.5,19,22,21,26,47,44.24,44,49.69,16,0.085,4,18
6.6,210.25,18.512,17.865,18,25.5,13,13,11,16,28,26.065,26,28.867,13,0.036,1,10
5.2,316.41,27.273,26.246,25,31.0,15,12,12,23,45,43.451,43,49.315,9,0.133,6,20
5.0,421.54,38.336,36.563,37,50.5,26,27,27,32,60,54.789,55,61.438,21,0.05,3,23
7.0,295.4,24.722,23.401,24,33.5,15,16,15,21,37,34.12,34,38.072,10,0.027,1,13
6.6,282.38,25.807,24.488,23,31.0,16,16,16,21,41,38.92,39,44.109,12,0.122,5,18
5.6,410.47,33.455,32.824,33,44.0,21,22,22,30,53,51.032,50,57.2,16,0.094,5,20
6.7,424.5,36.273,35.246,37,50.5,24,24,21,32,57,52.451,52,58.315,20,0.053,3,20
5.3,443.51,36.875,35.965,36,45.0,24,17,16,32,60,57.101,56,63.915,15,0.05,3,24
7.1,410.47,33.455,32.824,34,44.5,21,21,21,30,54,51.032,50,57.2,14,0.074,4,20
5.4,340.43,28.352,27.062,26,35.0,18,15,12,24,42,40.447,40,44.451,16,0.095,4,16
5.9,426.99,37.926,35.664,33,41.5,23,17,17,30,60,56.989,57,64.338,14,0.117,7,27
5.3,534.72,46.427,43.977,41,54.0,28,24,22,38,72,69.341,69,78.066,21,0.139,10,31
5.8,460.58,40.978,39.266,37,48.0,26,20,18,34,65,62.32,62,69.813,20,0.108,7,28
5.1,359.2,22.949,20.773,20,25.0,11,10,10,18,34,32.323,32,36.498,5,0.029,1,14
5.3,467.61,40.103,38.101,36,48.0,25,21,18,33,62,59.48,59,66.365,19,0.097,6,26
7.5,267.36,24.801,23.467,22,30.0,16,16,16,20,39,36.818,37,41.611,12,0.128,5,17
5.4,279.36,26.006,24.665,24,31.5,18,13,11,21,41,37.825,38,42.239,12,0.024,1,17
4.0,210.29,16.409,15.568,15,20.5,8,10,9,14,25,24.462,24,27.368,6,0.04,1,10
5.0,188.02,11.494,11.246,12,17.0,6,10,10,11,15,14.836,14,15.798,6,0.0,0,3
5.0,366.87,31.631,30.041,28,38.0,21,19,18,26,47,45.134,45,50.096,18,0.128,6,19
7.3,349.36,27.915,27.706,29,41.0,20,23,22,26,42,39.96,39,43.875,20,0.071,3,13
8.2,413.96,35.205,33.433,32,41.0,20,17,16,29,56,53.316,53,60.378,12,0.107,6,24
5.5,323.44,29.574,28.036,26,35.0,18,17,16,24,47,44.905,45,51.023,13,0.128,6,21
5.1,265.32,20.074,19.503,19,26.0,11,12,10,18,30,29.898,29,32.704,9,0.1,3,11
6.2,338.42,29.506,28.398,28,37.0,19,17,16,25,47,44.316,44,49.864,14,0.064,3,19
5.1,227.26,19.0,18.555,19,27.0,13,16,16,17,29,27.353,27,30.495,12,0.034,1,10
5.5,611.73,49.847,48.328,49,66.5,32,34,33,44,76,72.189,71,80.074,28,0.118,9,27
4.2,209.27,19.063,18.171,18,26.0,13,16,16,16,29,26.84,27,30.156,13,0.034,1,11
5.3,387.27,26.727,25.319,25,35.5,17,15,11,23,36,34.582,34,37.253,15,0.056,2,11
5.3,339.46,28.699,27.17,26,35.5,17,18,17,24,43,41.214,41,46.112,15,0.14,6,17
5.3,290.34,25.489,24.633,25,35.0,18,18,16,22,39,36.16,36,39.907,17,0.051,2,14
6.4,334.4,29.466,28.402,28,37.5,20,18,17,25,46,43.254,43,47.946,17,0.087,4,18
5.0,312.36,25.955,25.391,26,34.5,16,16,15,23,42,39.691,39,44.113,11,0.048,2,16
5.9,476.34,36.222,35.352,37,52.5,24,25,21,33,52,49.113,48,53.29,21,0.038,2,15
6.6,441.95,37.068,35.546,34,43.5,23,18,17,31,58,55.658,55,61.844,15,0.121,7,24
7.2,405.56,36.188,33.949,32,43.5,23,22,21,29,55,51.872,52,57.986,18,0.091,5,23
7.6,373.37,27.864,28.133,29,39.0,18,19,18,27,43,42.676,41,47.211,17,0.116,5,14
5.1,316.42,26.148,24.863,24,34.0,15,18,16,22,40,38.44,38,42.823,13,0.1,4,16
5.3,373.36,27.563,28.03,29,39.5,16,16,11,27,44,43.891,42,47.824,12,0.114,5,15
6.6,482.69,46.148,43.218,41,52.0,29,22,22,36,75,69.309,70,79.012,18,0.067,5,34
7.1,424.5,36.273,35.246,36,50.5,24,28,27,32,56,52.451,52,58.315,22,0.107,6,20
6.7,343.41,30.256,29.181,29,41.0,21,23,22,26,46,43.145,43,47.82,20,0.087,4,17
7.4,433.59,36.313,34.082,34,49.0,23,28,26,30,53,49.182,49,54.075,21,0.057,3,19
6.7,327.85,28.216,26.622,26,34.0,17,16,16,23,44,41.018,41,46.342,11,0.068,3,18
6.8,307.38,27.256,26.181,26,35.0,18,17,16,23,43,40.145,40,44.82,14,0.047,2,17
5.3,440.81,29.87,30.564,32,42.0,19,16,12,30,45,45.622,43,49.621,17,0.067,3,13
5.3,516.67,44.989,42.771,43,60.5,30,34,33,38,67,61.967,62,68.856,28,0.104,7,24
7.1,362.5,31.25,29.476,30,40.5,19,21,21,26,48,43.989,44,49.401,15,0.125,6,18
8.0,316.82,26.665,25.316,24,32.0,16,16,16,22,41,39.243,39,44.053,12,0.122,5,17
5.3,353.48,30.665,28.895,27,36.5,19,18,17,25,46,44.105,44,49.155,15,0.109,5,19
5.4,389.45,32.722,31.939,32,44.0,21,23,22,29,51,48.676,48,54.026,19,0.118,6,19
5.2,363.27,28.523,27.143,26,35.0,17,17,16,24,42,40.567,40,44.997,14,0.119,5,16
5.0,356.48,31.796,30.299,27,35.0,18,14,12,26,51,50.218,50,57.145,12,0.176,9,24
5.3,186.28,18.58,17.204,15,20.5,12,11,11,14,29,27.505,28,31.488,10,0.034,1,14
5.1,319.84,25.546,23.954,23,31.5,15,16,15,21,37,35.334,35,39.06,12,0.108,4,14
7.6,342.87,29.222,27.644,27,35.0,17,16,16,24,46,43.12,43,48.84,11,0.065,3,19
5.9,265.34,24.04,22.94,22,30.5,16,17,17,20,37,34.934,35,39.196,14,0.108,4,15
6.1,314.8,25.904,24.789,24,33.0,16,17,16,22,39,37.36,37,41.638,13,0.103,4,15
5.0,332.43,30.773,29.214,27,37.0,21,19,18,25,47,44.811,45,50.152,18,0.128,6,20
6.3,396.44,31.694,31.297,33,43.5,20,21,21,29,51,48.149,47,53.785,14,0.059,3,18
6.1,447.45,31.449,31.703,34,46.0,20,23,22,31,47,46.265,44,50.471,19,0.064,3,13
6.5,305.59,17.608,16.378,16,22.0,9,11,10,15,22,21.811,21,23.157,9,0.045,1,6
5.3,514.63,45.193,43.508,41,55.0,29,25,22,38,71,68.531,68,76.438,22,0.141,10,30
6.9,360.48,30.125,28.632,27,37.0,17,18,16,25,47,45.534,45,50.863,12,0.128,6,20
6.7,347.82,28.898,27.767,28,40.0,20,23,22,25,42,39.258,39,43.14,20,0.071,3,14
5.3,278.39,26.353,24.773,24,32.0,17,16,16,21,42,38.592,39,43.9,12,0.048,2,18
5.8,409.45,31.506,30.986,32,44.0,20,16,10,29,47,45.32,44,48.953,16,0.106,5,15
4.0,193.23,15.972,15.601,15,19.5,9,7,5,14,26,25.494,25,28.575,6,0.038,1,11
5.0,407.46,34.506,33.697,35,50.5,24,25,21,31,52,48.465,48,53.402,21,0.038,2,17
7.7,369.38,28.409,28.418,30,41.0,19,22,22,27,44,42.349,41,47.002,17,0.091,4,14
7.8,329.44,30.358,28.795,28,39.0,20,22,22,25,47,43.694,44,49.398,17,0.085,4,19
5.0,385.45,33.472,32.423,32,44.0,23,21,18,29,51,48.356,48,53.445,21,0.157,8,19
5.5,530.76,48.25,45.12,41,54.0,29,24,22,38,75,71.712,72,81.141,21,0.133,10,34
5.8,302.4,28.557,26.972,25,35.0,20,19,18,23,43,40.6,41,45.528,18,0.093,4,18
5.6,381.56,33.779,31.551,30,38.5,19,17,17,27,53,49.858,50,56.73,13,0.094,5,23
5.0,342.47,33.08,31.026,29,39.0,23,19,18,26,51,47.367,48,53.358,18,0.078,4,22
5.3,527.68,47.506,45.341,42,56.0,30,25,22,39,75,72.189,72,81.142,22,0.133,10,33
6.3,344.41,29.296,28.477,29,41.0,19,23,22,26,45,42.356,42,47.275,18,0.111,5,16
5.0,224.28,20.273,19.392,19,26.0,14,13,12,17,31,28.949,29,32.282,13,0.0,0,12
5.0,357.32,25.341,26.079,28,39.5,17,19,17,26,38,37.909,36,41.381,15,0.053,2,10
6.0,329.37,24.324,24.019,25,35.0,14,18,16,23,36,35.218,34,38.285,14,0.083,3,11
7.7,394.47,34.057,33.004,34,48.5,23,28,27,30,52,48.24,48,53.69,22,0.096,5,18
5.4,380.49,34.364,32.816,33,46.5,23,27,27,29,53,48.796,49,54.896,21,0.075,4,20
7.2,268.35,24.046,22.961,22,30.0,15,16,16,20,38,36.036,36,40.694,12,0.132,5,16
5.3,631.82,54.949,52.33,52,69.5,35,34,33,46,85,79.258,79,88.434,28,0.118,10,33
6.0,238.35,19.932,18.622,17,22.0,10,10,10,16,31,30.229,30,34.199,6,0.161,5,14
6.0,389.52,33.461,31.697,31,43.0,21,23,22,28,50,47.098,47,52.527,19,0.06,3,19
7.4,384.25,27.847,26.68,26,37.0,18,18,16,24,40,38.491,38,42.247,15,0.075,3,14
6.3,326.4,26.591,25.535,25,34.0,17,15,12,23,39,37.564,37,41.036,16,0.077,3,14
5.6,420.41,31.625,31.959,36,48.0,21,23,22,31,50,46.709,45,51.164,18,0.04,2,14
5.8,438.53,36.978,35.878,35,46.0,23,22,22,32,59,56.8,56,64.031,16,0.102,6,24
5.7,468.56,39.194,38.119,37,48.0,24,22,22,34,63,61.01,60,68.655,16,0.127,8,26
6.1,463.56,37.585,36.368,36,50.0,23,23,18,33,57,54.963,54,60.571,21,0.123,7,21
6.7,295.36,23.648,22.742,24,34.5,16,21,21,21,34,31.429,31,34.415,16,0.059,2,10
6.3,236.29,21.273,20.392,20,29.0,15,17,16,18,32,29.949,30,33.282,14,0.063,2,12
5.3,326.38,28.284,27.434,28,41.0,20,23,22,25,42,39.153,39,43.279,18,0.048,2,14
5.0,431.44,31.199,31.187,33,45.0,21,23,22,30,46,44.945,43,48.89,20,0.065,3,13
6.7,483.53,40.387,39.575,40,54.0,28,26,24,36,62,58.963,58,64.824,26,0.081,5,22
5.7,386.44,32.716,31.918,32,44.0,22,21,18,29,50,47.574,47,52.528,21,0.06,3,18
5.3,360.37,27.62,27.638,28,37.5,18,18,17,26,43,42.458,41,47.128,15,0.07,3,15
5.3,372.43,30.546,29.993,32,45.0,19,26,26,28,48,44.676,44,49.857,16,0.104,5,16
5.3,450.55,37.909,36.39,38,54.0,26,32,32,33,56,51.323,51,56.238,26,0.071,4,18
5.0,371.86,30.125,29.052,28,37.0,18,14,12,26,46,44.673,44,49.761,11,0.087,4,18
5.3,626.16,50.006,48.245,50,67.5,32,34,33,44,75,70.116,69,77.263,28,0.093,7,25
6.3,438.83,30.182,30.696,32,42.0,18,19,18,30,46,46.429,44,50.863,16,0.109,5,14
5.9,483.69,44.267,41.33,38,52.0,28,24,22,35,67,63.516,64,71.603,20,0.09,6,29
5.0,393.17,22.551,21.39,22,27.0,10,10,10,20,34,33.422,32,36.711,5,0.059,2,12
5.4,303.39,27.801,26.467,25,35.0,19,19,18,23,42,39.818,40,44.611,18,0.119,5,17
6.9,539.72,46.972,44.561,43,58.5,29,29,27,39,72,68.163,68,76.394,24,0.083,6,29
4.4,176.26,14.943,13.81,14,19.0,9,10,10,12,22,19.931,20,22.162,7,0.0,0,8
5.6,424.5,35.216,34.351,34,45.0,22,22,22,31,56,53.916,53,60.615,16,0.107,6,22
5.3,595.76,53.483,51.11,48,62.0,34,23,18,44,85,81.283,81,91.182,24,0.094,8,37
4.7,213.04,12.341,11.836,12,17.0,7,10,10,11,17,16.527,16,17.878,7,0.0,0,5
4.4,243.3,20.529,19.929,20,27.5,12,15,15,18,33,31.371,31,35.362,9,0.061,2,13
5.0,337.13,20.415,18.676,19,26.5,12,13,11,17,27,25.353,25,27.671,12,0.037,1,8
8.4,476.57,42.0,40.498,41,56.5,29,29,27,36,65,60.225,60,66.773,26,0.108,7,24
6.2,341.22,20.091,18.925,20,27.0,11,10,6,18,25,24.007,23,24.927,11,0.0,0,5
5.3,675.76,56.625,55.303,57,75.0,39,35,34,50,89,83.283,82,92.367,32,0.09,8,32
5.1,490.51,37.307,37.359,38,49.0,23,22,22,35,60,59.152,57,65.919,16,0.133,8,22
5.3,368.29,23.972,25.351,28,37.5,16,18,17,26,37,37.716,35,40.977,15,0.054,2,9
5.35,306.41,27.603,26.289,26,35.5,17,16,15,23,44,40.912,41,46.481,9,0.091,4,18
4.1,213.05,12.137,11.638,12,17.0,6,10,10,11,17,16.52,16,18.25,6,0.0,0,5
7.0,502.62,41.381,39.87,40,54.5,26,28,27,36,63,59.807,59,66.405,23,0.095,6,23
5.1,302.36,26.284,25.434,25,36.5,18,19,17,23,39,37.153,37,41.279,16,0.051,2,14
5.7,279.37,25.801,24.467,23,31.5,17,17,17,21,40,37.818,38,42.611,14,0.125,5,17
6.1,458.68,43.023,39.836,38,48.0,27,17,16,33,68,62.298,63,70.52,13,0.088,6,30
6.6,282.38,25.807,24.488,23,31.0,16,16,16,21,41,38.92,39,44.109,12,0.073,3,18
5.6,448.94,37.097,35.799,36,48.0,24,23,22,32,57,53.665,53,59.302,20,0.123,7,21
4.3,211.25,17.551,17.161,18,26.0,11,16,16,16,27,25.276,25,28.322,11,0.037,1,9
5.0,210.23,14.545,14.428,15,21.0,8,11,10,14,21,21.029,20,22.375,7,0.048,1,6
5.3,401.96,33.08,31.051,31,39.0,19,16,16,27,51,47.305,47,52.887,12,0.098,5,20
5.3,376.46,32.273,31.246,32,41.5,20,18,17,28,52,48.451,48,54.315,14,0.058,3,20
5.3,454.53,38.489,37.487,38,52.5,25,28,27,34,60,56.662,56,62.94,22,0.117,7,22
7.3,241.27,19.972,19.601,20,27.5,13,13,11,18,31,29.494,29,32.575,12,0.065,2,11
5.3,499.67,46.052,43.627,40,53.0,29,24,22,37,73,69.861,70,78.933,21,0.11,8,33
5.5,600.21,54.398,51.233,47,61.5,35,28,27,43,85,80.843,81,90.75,25,0.176,15,38
5.3,361.45,30.142,28.842,29,41.0,20,23,22,26,44,41.338,41,45.325,20,0.068,3,15
6.7,238.31,22.034,20.918,20,27.5,15,13,11,18,34,31.833,32,35.697,13,0.029,1,14
8.2,358.48,33.33,31.542,30,41.0,22,22,22,27,52,48.687,49,54.939,18,0.115,6,22
5.3,235.32,21.256,20.181,18,23.0,12,10,10,17,35,34.145,34,38.82,7,0.143,5,17
5.6,286.42,27.33,25.542,23,29.0,16,11,10,21,45,42.687,43,48.939,8,0.067,3,22
7.0,253.34,22.836,21.741,21,29.0,14,16,16,19,36,33.927,34,38.568,12,0.056,2,15
6.1,399.69,26.949,25.776,26,36.0,16,18,16,24,35,34.324,33,36.243,16,0.086,3,9
5.6,251.28,18.517,18.175,18,24.0,11,9,6,17,27,27.022,26,28.917,10,0.074,2,9
5.4,387.28,30.727,29.342,28,38.0,20,19,18,26,44,42.574,42,46.625,18,0.114,5,16
5.0,384.54,35.319,33.353,29,37.0,20,14,12,28,57,55.985,56,63.976,12,0.193,11,28
5.7,211.24,17.756,17.359,18,25.0,12,13,12,16,27,25.284,25,27.95,12,0.037,1,9
5.0,275.76,22.898,21.767,21,27.5,14,12,11,19,35,33.258,33,37.14,10,0.086,3,14
5.3,334.41,29.262,28.203,27,37.0,19,19,18,25,45,43.247,43,48.318,16,0.111,5,18
6.2,324.38,26.75,26.192,27,37.0,16,18,16,24,43,40.683,40,45.485,11,0.07,3,16
6.3,412.46,33.995,33.387,35,49.5,23,28,27,31,52,48.752,48,54.03,22,0.096,5,17
7.2,314.32,24.159,24.201,25,34.0,16,15,12,23,37,36.178,35,39.958,15,0.108,4,12
5.3,485.58,42.426,40.96,39,53.0,28,25,22,36,66,63.545,63,70.524,22,0.136,9,27
5.0,339.38,28.165,27.611,27,36.0,18,15,12,25,44,42.8,42,47.239,15,0.114,5,17
4.1,243.27,19.25,19.071,20,28.0,12,16,16,18,30,28.673,28,32.077,11,0.1,3,10
5.7,333.3,23.341,24.079,26,35.5,15,18,17,24,36,35.909,34,39.381,14,0.056,2,10
5.3,425.5,33.665,32.722,30,39.0,19,15,12,29,53,53.516,52,58.661,13,0.208,11,23
5.7,357.88,30.432,28.864,28,36.0,18,16,16,25,48,45.229,45,50.967,12,0.083,4,20
5.0,323.32,25.154,25.18,27,38.0,18,22,22,24,38,36.076,35,39.46,18,0.053,2,11
