pXC50,nDB,RBN,nN,N.,Mp,X.,RBF,nO,nX,C.,SCBO,Mv,Si,nH,Sv,Se,nAT,Sp,nSK,nAB,nBT,AMW,O.,nHet,Mi,nBO
5.602,4,15,6,6.8,0.676,0.0,0.161,5,0,44.3,75.0,0.649,98.68,38,57.131,88.385,88,59.489,50,32,93,7.623,5.7,11,1.121,55
4.0,4,15,5,5.7,0.677,0.0,0.163,6,0,44.8,75.0,0.653,97.391,37,56.825,87.61,87,58.938,50,32,92,7.722,6.9,11,1.119,55
6.398,6,18,5,5.0,0.634,0.0,0.175,8,0,38.0,68.0,0.604,113.301,49,60.415,100.567,100,63.415,51,16,103,7.039,8.0,13,1.133,54
6.0,5,18,4,4.5,0.644,0.0,0.2,7,0,39.8,62.0,0.615,99.348,42,54.098,88.487,88,56.671,46,18,90,7.168,8.0,11,1.129,48
7.854,3,10,3,4.1,0.658,0.0,0.132,4,0,42.5,53.0,0.621,81.976,35,45.352,72.752,73,48.017,38,18,76,7.037,5.5,7,1.123,41
6.539,3,8,4,5.4,0.666,0.0,0.103,4,0,43.2,58.0,0.633,83.059,34,46.847,73.97,74,49.262,40,22,78,7.28,5.4,8,1.122,44
4.754,4,14,6,6.9,0.658,0.0,0.154,5,0,41.4,68.0,0.628,98.095,40,54.658,87.269,87,57.25,47,26,91,7.32,5.7,11,1.128,51
6.409,6,18,5,5.3,0.648,0.0,0.184,9,0,40.0,72.0,0.627,107.265,43,59.549,96.243,95,61.586,52,22,98,7.514,9.5,14,1.129,55
4.0,3,11,5,7.0,0.672,0.0,0.147,4,0,43.7,60.0,0.645,79.727,31,45.815,71.305,71,47.745,40,26,75,7.573,5.6,9,1.123,44
5.0,6,17,5,6.3,0.636,0.0,0.207,8,0,37.5,57.0,0.616,90.81,37,49.254,81.265,80,50.847,43,12,82,7.446,10.0,13,1.135,45
4.0,5,15,5,6.3,0.638,0.0,0.185,7,0,38.0,57.0,0.614,89.601,37,48.539,79.938,79,50.392,42,16,81,7.338,8.9,12,1.134,44
4.0,6,16,5,6.3,0.615,0.0,0.2,8,0,34.2,50.0,0.592,90.225,39,46.781,80.149,79,48.608,40,6,80,7.11,10.1,13,1.142,41
8.046,4,11,5,7.1,0.668,0.0,0.151,4,0,42.9,57.0,0.64,78.727,31,44.815,70.305,70,46.745,39,22,73,7.509,5.7,9,1.125,42
8.301,3,10,4,5.2,0.682,5.2,0.125,3,4,39.0,53.0,0.637,86.871,36,49.022,77.589,77,52.523,41,12,80,8.344,3.9,11,1.128,44
7.959,3,10,4,6.0,0.668,0.0,0.143,4,0,43.3,54.0,0.639,75.228,30,42.793,67.203,67,44.739,37,22,70,7.442,6.0,8,1.123,40
8.301,3,8,5,7.1,0.668,0.0,0.108,4,0,42.9,57.0,0.64,78.727,31,44.815,70.305,70,46.745,39,22,74,7.509,5.7,9,1.125,43
7.9,4,12,5,5.7,0.672,4.6,0.133,4,4,37.9,59.0,0.63,98.409,41,54.812,87.785,87,58.506,46,12,90,8.202,4.6,13,1.131,49
8.0,4,12,5,5.4,0.671,4.3,0.125,5,4,38.0,63.0,0.631,104.034,43,58.054,92.996,92,61.722,49,12,96,8.213,5.4,14,1.131,53
7.495,3,11,3,3.9,0.655,0.0,0.139,4,0,42.1,54.0,0.617,85.391,37,46.879,75.636,76,49.779,39,18,79,6.944,5.3,7,1.124,42
7.7,4,12,5,6.0,0.676,4.8,0.138,4,4,38.1,58.0,0.634,94.994,39,53.285,84.901,84,56.745,45,12,87,8.328,4.8,13,1.131,48
9.0,4,12,5,5.3,0.668,4.2,0.121,5,4,37.9,64.0,0.627,107.449,45,59.581,95.88,95,63.483,50,12,99,8.102,5.3,14,1.131,54
7.9,4,12,5,5.6,0.67,4.4,0.129,4,4,37.8,60.0,0.626,101.824,43,56.339,90.669,90,60.267,47,12,93,8.085,4.4,13,1.131,50
8.699,4,12,5,6.0,0.676,4.8,0.138,4,4,38.1,58.0,0.634,94.994,39,53.285,84.901,84,56.745,45,12,87,8.328,4.8,13,1.131,48
6.857,3,9,3,4.3,0.661,0.0,0.123,4,0,42.9,52.0,0.626,78.561,33,43.825,69.869,70,46.256,37,18,73,7.138,5.7,7,1.122,40
8.461,3,10,4,5.2,0.682,5.2,0.125,3,4,39.0,53.0,0.637,86.871,36,49.022,77.589,77,52.523,41,12,80,8.344,3.9,11,1.128,44
8.268,3,8,4,5.7,0.672,0.0,0.108,3,0,44.3,56.0,0.637,78.434,32,44.605,69.76,70,47.046,38,22,74,7.267,4.3,7,1.12,42
8.959,4,12,5,5.4,0.671,4.3,0.125,5,4,38.0,63.0,0.631,104.034,43,58.054,92.996,92,61.722,49,12,96,8.213,5.4,14,1.131,53
6.437,10,25,9,7.5,0.626,0.0,0.205,9,0,35.8,79.0,0.598,136.749,59,71.796,120.952,120,75.177,61,12,122,7.051,7.5,18,1.14,63
7.721,5,17,6,6.3,0.646,0.0,0.172,6,0,39.6,69.0,0.614,108.55,46,58.953,96.247,96,61.989,50,22,99,7.114,6.3,12,1.131,53
7.013,9,26,9,7.4,0.622,0.0,0.21,9,0,35.2,78.0,0.593,139.165,61,72.323,122.836,122,75.938,61,12,124,6.952,7.4,18,1.141,63
6.222,7,20,7,6.8,0.637,0.0,0.19,7,0,35.9,67.0,0.601,117.008,51,61.93,103.519,103,65.62,52,12,105,7.165,6.8,15,1.136,54
8.231,2,10,3,3.6,0.668,2.4,0.115,5,2,41.0,59.0,0.63,93.319,39,52.302,83.378,83,55.472,44,18,87,7.719,6.0,10,1.124,48
7.971,2,10,3,3.6,0.658,1.2,0.115,5,1,41.0,58.0,0.62,93.375,40,51.475,83.054,83,54.614,43,18,87,7.304,6.0,9,1.125,47
6.246,2,10,4,4.9,0.646,0.0,0.116,5,0,40.2,57.0,0.611,92.514,40,50.142,81.949,82,53.0,42,18,86,6.985,6.1,9,1.128,46
7.635,2,10,3,3.1,0.662,2.1,0.099,5,2,40.6,65.0,0.619,107.98,47,59.41,95.912,96,63.518,49,18,101,7.383,5.2,10,1.125,54
4.5,9,24,9,6.6,0.626,0.0,0.171,11,0,36.0,90.0,0.598,154.829,67,81.333,137.141,136,85.131,69,16,140,7.046,8.1,20,1.138,73
7.435,2,12,3,3.3,0.639,0.0,0.126,7,0,39.6,61.0,0.606,102.68,45,55.131,91.152,91,58.188,46,18,95,6.943,7.7,10,1.128,50
4.6,8,22,11,8.9,0.621,0.0,0.173,7,0,34.7,78.0,0.588,141.742,63,72.936,124.385,124,77.041,61,12,127,6.824,5.6,18,1.143,64
6.4,8,20,9,7.1,0.642,0.0,0.152,8,0,38.6,90.0,0.611,143.955,61,77.608,127.508,127,81.484,66,22,132,7.12,6.3,17,1.134,71
4.6,9,23,12,9.0,0.626,0.0,0.168,8,0,35.3,88.0,0.595,151.865,66,79.199,133.697,133,83.262,67,16,137,6.972,6.0,20,1.142,71
6.88,1,5,2,3.9,0.682,3.9,0.094,2,2,41.2,36.0,0.636,57.286,24,32.449,51.109,51,34.773,27,12,53,7.988,3.9,6,1.123,29
8.133,2,13,5,5.0,0.657,0.0,0.123,6,0,42.0,75.0,0.625,112.467,47,62.459,100.028,100,65.745,53,28,106,7.179,6.0,11,1.125,59
7.509,2,14,4,3.8,0.654,1.0,0.126,7,1,41.9,78.0,0.625,118.348,49,65.589,105.534,105,68.654,56,28,111,7.285,6.7,12,1.127,62
8.116,2,12,5,5.2,0.661,1.0,0.118,5,1,42.7,74.0,0.631,108.182,44,60.6,96.33,96,63.466,52,28,102,7.353,5.2,11,1.127,58
8.192,2,12,4,4.0,0.661,1.0,0.112,7,1,43.0,78.0,0.635,112.518,45,63.535,100.767,100,66.131,55,28,107,7.489,7.0,12,1.125,62
8.11,3,14,4,4.2,0.666,2.1,0.139,7,2,40.6,71.0,0.633,108.066,44,60.807,96.901,96,63.909,52,22,101,7.831,7.3,13,1.126,57
6.932,2,12,4,4.0,0.658,4.0,0.113,5,4,43.0,78.0,0.638,113.533,44,63.782,101.534,100,65.796,56,28,106,7.729,5.0,13,1.135,62
8.159,2,15,4,4.1,0.644,1.0,0.147,6,1,40.2,68.0,0.612,109.724,47,59.347,97.323,97,62.438,50,22,102,7.081,6.2,11,1.131,55
8.107,3,18,4,3.5,0.652,0.0,0.151,8,0,41.6,82.0,0.619,127.048,54,69.974,113.116,113,73.694,59,28,119,7.107,7.1,12,1.124,65
8.277,1,8,3,4.6,0.67,1.5,0.116,2,1,44.6,51.0,0.635,73.066,30,41.252,64.843,65,43.523,35,22,69,7.256,3.1,6,1.124,39
8.101,2,15,4,4.0,0.653,0.0,0.14,7,0,41.6,74.5,0.621,113.593,48,62.679,101.138,101,65.955,53,27,107,7.138,6.9,11,1.125,59
8.125,2,12,5,5.2,0.68,2.1,0.118,5,2,42.7,75.0,0.644,107.731,43,61.872,96.465,96,65.245,53,28,102,7.883,5.2,12,1.122,59
7.678,2,12,4,4.3,0.659,0.0,0.12,6,0,42.6,71.5,0.627,105.554,44,58.91,94.043,94,61.978,50,27,100,7.201,6.4,10,1.123,56
8.117,3,16,4,3.6,0.652,0.0,0.137,9,0,41.4,82.0,0.623,124.843,52,69.162,111.559,111,72.387,59,28,117,7.252,8.1,13,1.125,65
8.124,2,14,4,4.1,0.662,2.1,0.137,6,2,40.2,69.0,0.625,109.272,46,60.619,97.458,97,64.216,51,22,102,7.606,6.2,12,1.127,56
8.156,2,12,4,4.3,0.646,0.0,0.124,7,0,40.2,66.0,0.615,103.763,44,56.625,92.37,92,59.432,48,22,97,7.14,7.6,11,1.128,53
7.569,2,12,5,5.2,0.662,0.0,0.118,5,0,42.7,73.0,0.627,107.843,45,60.217,95.818,96,63.529,51,28,102,7.166,5.2,10,1.123,57
8.301,2,9,4,4.5,0.695,3.4,0.095,4,3,45.5,74.0,0.664,98.532,37,58.465,88.781,88,61.199,51,28,95,8.269,4.5,11,1.12,58
8.107,2,13,5,4.9,0.66,1.9,0.119,6,2,39.8,73.0,0.623,116.186,49,64.167,103.443,103,67.983,54,22,109,7.562,5.8,13,1.128,60
8.127,2,12,4,4.1,0.68,3.1,0.117,5,3,43.3,76.0,0.647,108.987,43,62.761,97.759,97,65.938,54,28,103,7.977,5.2,12,1.124,60
8.232,1,7,4,6.3,0.672,1.6,0.104,1,1,44.4,50.0,0.635,70.94,29,40.032,62.734,63,42.313,34,22,67,7.248,1.6,6,1.126,38
8.127,2,12,4,4.1,0.662,1.0,0.117,5,1,43.3,74.0,0.63,109.099,45,61.106,97.112,97,64.222,52,28,103,7.267,5.2,10,1.125,58
