pXC50,nCsp2,C.,SCBO,nBM,Mi,nC,H.,nBO,nSK,Mv,Sv,nAB,MW,Mp,Sp,O.,AMW,Me,N.,nAT,nB,nBR,nBT,nCL,nCsp,nCsp3
4.0,15,43.8,38.0,17,1.12,21,45.8,29,26,0.634,30.455,16,350.45,0.666,31.989,6.3,7.301,1.0,4.2,48,0,0,51,0,0,6
4.1,14,47.4,33.0,14,1.114,18,42.1,25,22,0.662,25.16,12,292.36,0.691,26.25,5.3,7.694,1.001,5.3,38,0,0,41,0,0,4
4.0,11,40.6,25.5,12,1.12,13,43.8,19,18,0.651,20.82,11,262.36,0.692,22.137,6.3,8.199,1.007,6.3,32,0,0,33,0,0,2
4.0,19,46.7,43.0,23,1.116,21,37.8,31,28,0.68,30.611,22,375.41,0.693,31.165,8.9,8.342,1.018,6.7,45,0,0,48,0,0,2
4.0,8,40.9,19.5,11,1.134,9,40.9,14,13,0.653,14.359,11,175.21,0.671,14.756,4.5,7.964,1.013,13.6,22,0,0,23,0,0,1
4.863,13,42.6,41.0,15,1.114,20,38.3,32,29,0.691,32.485,12,453.37,0.724,34.046,8.5,9.646,1.025,4.3,47,0,0,50,2,0,7
4.0,15,43.2,34.0,15,1.111,16,37.8,25,23,0.698,25.809,12,342.48,0.745,27.58,2.7,9.256,1.008,10.8,37,0,0,39,0,0,1
4.1,18,42.6,44.5,20,1.124,23,42.6,33,31,0.654,35.325,17,438.95,0.683,36.858,5.6,8.129,1.01,7.4,54,0,0,56,1,0,5
5.332,16,41.7,44.5,20,1.128,20,37.5,33,30,0.675,32.423,17,431.48,0.687,32.966,10.4,8.989,1.033,6.3,48,0,0,51,0,0,4
4.0,15,40.4,51.0,20,1.126,23,40.4,39,34,0.66,37.609,16,481.58,0.681,38.801,8.8,8.449,1.021,8.8,57,0,0,62,0,0,8
4.0,8,36.8,27.0,8,1.126,14,44.7,22,21,0.631,23.997,6,311.39,0.658,25.017,13.2,8.194,1.023,2.6,38,0,0,39,0,0,6
4.1,9,37.2,31.0,12,1.139,16,46.5,25,23,0.625,26.864,12,333.86,0.661,28.432,2.3,7.764,1.005,11.6,43,0,0,45,1,0,7
4.0,14,46.9,31.0,17,1.129,15,37.5,22,20,0.681,21.796,16,269.3,0.694,22.216,3.1,8.416,1.018,9.4,32,0,0,34,0,0,1
4.1,19,47.8,42.0,23,1.108,22,41.3,30,27,0.678,31.181,22,373.51,0.722,33.211,2.2,8.12,0.995,6.5,46,0,0,49,0,0,3
4.0,13,37.9,43.0,15,1.128,22,46.6,34,31,0.623,36.147,12,445.59,0.656,38.074,8.6,7.683,1.011,5.2,58,0,0,61,0,0,9
4.0,1,37.5,10.0,2,1.13,6,50.0,7,8,0.596,9.537,0,112.14,0.622,9.955,12.5,7.009,1.012,0.0,16,0,0,15,0,2,3
6.553,17,42.9,42.0,16,1.113,21,38.8,32,30,0.685,33.57,12,491.39,0.717,35.137,10.2,10.028,1.022,4.1,49,0,1,51,0,0,4
5.951,18,43.1,50.5,23,1.124,25,41.4,38,34,0.654,37.928,21,460.53,0.671,38.909,8.6,7.94,1.015,6.9,58,0,0,62,0,0,7
6.096,3,33.3,29.0,2,1.138,26,64.1,27,28,0.521,40.6,0,394.76,0.589,45.944,2.6,5.061,0.971,0.0,78,0,0,77,0,0,23
4.0,8,40.9,21.0,11,1.117,9,36.4,15,14,0.693,15.24,10,208.26,0.721,15.852,9.1,9.466,1.027,9.1,22,0,0,23,0,0,1
4.358,19,50.0,47.5,25,1.101,19,23.7,33,29,0.783,29.738,21,469.29,0.793,30.125,10.5,12.35,1.044,10.5,38,0,1,42,0,0,0
4.678,10,41.7,28.0,9,1.126,15,44.4,22,20,0.635,22.875,6,272.33,0.658,23.705,8.3,7.565,1.01,5.6,36,0,0,38,0,0,5
6.499,9,43.3,24.0,8,1.121,13,43.3,19,17,0.644,19.327,6,231.27,0.665,19.938,10.0,7.709,1.013,3.3,30,0,0,32,0,0,4
4.879,9,42.4,25.0,8,1.122,14,45.5,20,18,0.632,20.853,6,245.3,0.658,21.699,9.1,7.433,1.008,3.0,33,0,0,35,0,0,5
4.0,14,44.7,37.5,15,1.114,17,34.2,28,25,0.704,26.745,11,355.4,0.718,27.29,10.5,9.353,1.029,7.9,38,0,0,41,0,0,3
4.947,9,42.4,25.0,8,1.122,14,45.5,20,18,0.632,20.853,6,245.3,0.658,21.699,9.1,7.433,1.008,3.0,33,0,0,35,0,0,5
4.962,22,47.9,51.0,24,1.114,23,31.3,36,33,0.713,34.229,18,445.41,0.703,33.767,14.6,9.279,1.04,6.3,48,0,0,51,0,0,1
4.004,15,51.7,35.0,18,1.088,15,24.1,25,22,0.814,23.597,16,437.12,0.866,25.108,3.4,15.073,1.028,10.3,29,0,2,32,0,0,0
5.509,21,50.0,47.5,24,1.101,23,34.8,34,30,0.713,32.777,21,416.48,0.735,33.807,8.7,9.054,1.017,4.3,46,0,0,50,0,0,2
4.0,10,36.6,31.0,10,1.14,15,43.9,24,23,0.625,25.632,6,318.37,0.638,26.171,9.8,7.765,1.022,9.8,41,0,0,42,0,0,5
4.0,14,50.0,27.5,17,1.113,14,39.3,19,17,0.685,19.171,17,221.28,0.717,20.063,0.0,7.903,0.994,10.7,28,0,0,30,0,0,0
5.701,18,44.0,46.0,17,1.108,22,36.0,35,32,0.698,34.92,12,470.56,0.722,36.125,12.0,9.411,1.028,4.0,50,0,0,53,0,0,4
4.0,22,42.9,49.0,23,1.113,24,41.1,35,33,0.671,37.566,18,481.64,0.71,39.744,7.1,8.601,1.011,5.4,56,0,0,58,0,0,2
4.0,17,41.5,44.5,22,1.124,22,43.4,33,30,0.65,34.465,21,421.57,0.688,36.438,3.8,7.954,1.004,9.4,53,0,0,56,0,0,5
4.645,1,25.0,21.0,3,1.153,11,56.8,18,19,0.542,23.862,0,297.45,0.584,25.688,11.4,6.76,1.013,4.5,44,0,0,43,0,0,10
4.1,10,41.9,30.5,12,1.123,18,48.8,24,22,0.624,26.853,11,316.86,0.673,28.938,2.3,7.369,0.993,4.7,43,0,0,45,1,0,8
4.1,10,41.1,38.5,12,1.124,23,50.0,32,28,0.619,34.653,11,442.44,0.674,37.722,1.8,7.901,0.988,5.4,56,0,1,60,0,0,13
4.1,14,41.7,38.0,17,1.128,20,45.8,29,26,0.63,30.256,16,350.46,0.662,31.784,4.2,7.301,1.0,8.3,48,0,0,51,0,0,6
4.0,7,34.6,26.0,9,1.171,9,26.9,20,19,0.706,18.346,6,296.25,0.667,17.335,15.4,11.394,1.102,7.7,26,0,0,27,0,0,2
4.0,10,36.2,33.0,9,1.127,17,46.8,27,25,0.63,29.631,6,378.57,0.683,32.08,4.3,8.055,1.004,8.5,47,0,0,49,0,0,7
4.0,12,39.5,35.0,15,1.125,17,44.2,26,24,0.642,27.61,12,345.46,0.677,29.12,7.0,8.034,1.01,7.0,43,0,0,45,0,0,5
5.775,19,42.4,52.5,18,1.113,25,37.3,40,37,0.685,40.403,11,542.63,0.704,41.557,13.6,9.197,1.031,3.4,59,0,0,62,0,0,6
4.1,13,46.4,28.0,14,1.116,13,32.1,20,19,0.734,20.541,12,294.15,0.758,21.233,3.6,10.505,1.029,10.7,28,0,0,29,2,0,0
6.398,6,38.2,23.0,4,1.126,13,47.1,19,18,0.63,21.405,0,314.2,0.671,22.813,8.8,9.241,1.011,2.9,34,0,1,35,0,0,7
4.0,17,47.5,40.5,21,1.139,19,32.5,30,27,0.701,28.025,21,374.34,0.688,27.517,7.5,9.359,1.048,5.0,40,0,0,43,0,0,2
4.0,19,43.6,52.0,24,1.131,24,36.4,39,35,0.678,37.279,22,477.49,0.679,37.33,9.1,8.682,1.031,9.1,55,0,0,59,0,0,5
4.1,6,37.2,22.0,6,1.132,16,58.1,19,18,0.559,24.058,6,247.42,0.619,26.597,2.3,5.754,0.977,2.3,43,0,0,44,0,0,10
4.1,15,41.5,40.0,15,1.125,22,45.3,31,29,0.63,33.412,12,396.48,0.654,34.659,9.4,7.481,1.011,3.8,53,0,0,55,0,0,7
4.0,9,36.7,31.5,11,1.137,18,51.0,26,24,0.592,29.003,11,331.46,0.628,30.756,6.1,6.764,1.0,6.1,49,0,0,51,0,0,9
4.1,6,34.8,23.0,6,1.136,16,56.5,20,20,0.568,26.127,6,299.88,0.623,28.671,4.3,6.519,0.991,2.2,46,0,0,46,1,0,10
4.0,7,39.1,22.5,11,1.141,9,34.8,17,15,0.677,15.569,11,204.21,0.672,15.455,8.7,8.879,1.036,17.4,23,0,0,25,0,0,2
4.0,11,39.5,33.0,13,1.117,15,39.5,25,23,0.677,25.744,10,349.47,0.717,27.244,7.9,9.197,1.02,7.9,38,0,0,40,0,0,4
4.1,14,41.5,29.0,11,1.119,17,48.8,21,21,0.626,25.686,6,300.46,0.682,27.966,2.4,7.328,0.989,4.9,41,0,0,41,0,0,3
4.1,11,40.0,33.5,14,1.124,16,42.5,25,23,0.652,26.083,11,331.43,0.684,27.358,7.5,8.286,1.014,7.5,40,0,0,42,0,0,5
6.254,22,48.1,49.0,22,1.11,25,36.5,35,33,0.696,36.185,18,462.91,0.711,36.994,9.6,8.902,1.021,3.8,52,0,0,54,1,1,2
5.178,18,55.3,39.0,20,1.097,21,36.8,27,24,0.708,26.918,18,310.37,0.738,28.034,2.6,8.168,0.996,5.3,38,0,0,41,0,2,1
5.011,18,41.1,47.0,17,1.115,23,39.3,36,34,0.673,37.689,12,502.61,0.698,39.102,12.5,8.975,1.026,3.6,56,0,0,58,0,0,5
4.0,9,42.9,25.0,8,1.121,15,48.6,20,18,0.619,21.665,6,243.33,0.657,23.006,5.7,6.952,0.995,2.9,35,0,0,37,0,0,6
4.1,12,36.2,34.0,11,1.138,17,44.7,26,26,0.619,29.094,6,363.41,0.63,29.597,12.8,7.732,1.026,6.4,47,0,0,47,0,0,5
4.1,9,40.0,31.5,9,1.127,16,42.5,25,23,0.649,25.944,5,336.8,0.669,26.779,10.0,8.42,1.023,5.0,40,0,0,42,1,0,7
4.548,1,34.0,36.0,2,1.137,32,63.8,33,34,0.524,49.234,0,476.92,0.593,55.751,2.1,5.074,0.97,0.0,94,0,0,93,0,2,29
6.119,11,43.8,24.5,12,1.119,14,46.9,18,17,0.629,20.139,11,229.3,0.664,21.245,6.3,7.166,0.998,3.1,32,0,0,33,0,0,3
5.607,18,44.0,46.0,17,1.108,22,36.0,35,32,0.698,34.92,12,470.56,0.722,36.125,12.0,9.411,1.028,4.0,50,0,0,53,0,0,4
4.0,13,44.1,32.5,14,1.113,15,35.3,24,22,0.698,23.723,11,316.36,0.714,24.284,11.8,9.305,1.03,5.9,34,0,0,36,0,0,2
5.695,22,47.3,49.0,22,1.113,26,40.0,35,33,0.671,36.885,18,442.5,0.689,37.898,9.1,8.045,1.012,3.6,55,0,0,57,0,1,3
4.0,16,41.5,42.0,16,1.126,22,43.4,32,30,0.64,33.906,12,409.48,0.659,34.904,9.4,7.726,1.015,5.7,53,0,0,55,0,0,6
4.1,7,39.7,40.0,5,1.125,25,50.8,35,31,0.599,37.718,0,428.57,0.633,39.909,9.5,6.803,1.002,0.0,63,0,0,67,0,0,18
4.0,7,34.3,24.0,9,1.131,12,48.6,18,18,0.608,21.282,6,271.37,0.645,22.563,11.4,7.753,1.016,2.9,35,0,0,35,0,0,5
5.86,17,44.2,45.5,22,1.122,23,42.3,34,30,0.653,33.971,21,402.49,0.678,35.239,5.8,7.74,1.007,7.7,52,0,0,56,0,0,6
4.0,21,47.1,45.5,24,1.115,24,41.2,33,30,0.666,33.95,23,399.48,0.691,35.233,5.9,7.833,1.005,5.9,51,0,0,54,0,0,3
4.0,9,39.5,31.0,10,1.13,15,42.1,24,22,0.64,24.304,6,304.33,0.648,24.614,13.2,8.009,1.027,5.3,38,0,0,40,0,0,6
4.0,12,40.5,29.5,13,1.128,15,43.2,22,21,0.638,23.59,11,288.33,0.653,24.159,10.8,7.793,1.019,5.4,37,0,0,38,0,0,3
4.1,17,42.6,46.5,22,1.122,23,42.6,35,31,0.657,35.465,21,433.58,0.693,37.438,3.7,8.029,1.004,9.3,54,0,0,58,0,0,6
4.0,16,42.2,39.0,16,1.127,19,40.0,29,27,0.658,29.632,12,366.41,0.67,30.171,8.9,8.142,1.02,8.9,45,0,0,47,0,0,3
4.1,13,47.1,30.0,14,1.115,16,41.2,22,20,0.666,22.633,12,266.32,0.691,23.489,5.9,7.833,1.005,5.9,34,0,0,36,0,0,3
5.674,20,46.8,50.0,27,1.111,22,31.9,36,32,0.735,34.539,26,484.39,0.763,35.869,4.3,10.306,1.025,10.6,47,0,0,51,2,0,2
6.031,18,47.5,42.0,23,1.102,19,32.5,30,27,0.741,29.636,22,412.95,0.786,31.438,2.5,10.324,1.016,10.0,40,0,0,43,1,0,1
4.0,16,42.2,40.0,16,1.126,19,37.8,30,28,0.677,30.46,12,400.85,0.69,31.029,8.9,8.908,1.027,8.9,45,0,0,47,1,0,3
4.277,7,33.3,24.0,9,1.128,10,43.3,18,17,0.65,19.502,6,271.4,0.701,21.029,6.7,9.047,1.018,10.0,30,0,0,31,0,0,3
4.0,15,45.7,37.5,21,1.112,16,31.4,27,24,0.732,25.637,21,358.83,0.757,26.483,5.7,10.252,1.028,11.4,35,0,0,38,1,0,1
5.818,20,51.3,41.5,24,1.106,20,33.3,29,26,0.73,28.46,23,405.27,0.76,29.637,2.6,10.392,1.01,10.3,39,0,1,42,0,0,0
5.12,9,41.9,28.0,10,1.126,13,38.7,21,19,0.662,20.536,6,260.27,0.666,20.636,12.9,8.396,1.03,6.5,31,0,0,33,0,0,4
4.983,10,40.9,31.0,9,1.125,18,47.7,25,23,0.617,27.149,6,315.4,0.646,28.438,9.1,7.168,1.006,2.3,44,0,0,46,0,0,8
4.297,16,43.9,36.0,15,1.117,18,39.0,27,25,0.688,28.224,12,373.51,0.733,30.034,2.4,9.11,1.012,7.3,41,0,0,43,0,0,2
5.693,22,50.0,47.0,22,1.114,24,35.4,33,31,0.698,33.5,18,416.43,0.705,33.858,8.3,8.676,1.023,4.2,48,0,0,50,0,1,1
4.1,13,40.8,40.5,14,1.129,20,40.8,32,29,0.658,32.235,11,417.5,0.679,33.273,8.2,8.52,1.024,6.1,49,0,0,52,0,0,7
4.1,12,38.5,33.5,14,1.125,15,38.5,25,24,0.682,26.603,11,411.31,0.717,27.955,7.7,10.546,1.026,10.3,39,0,1,40,0,0,3
5.164,22,47.3,54.0,28,1.117,26,38.2,39,34,0.681,37.466,26,451.52,0.7,38.483,5.5,8.209,1.01,9.1,55,0,0,60,0,0,4
4.1,14,40.8,39.0,15,1.119,20,42.9,30,28,0.657,32.185,12,420.95,0.693,33.949,8.2,8.591,1.015,4.1,49,0,0,51,1,0,6
4.235,14,42.9,43.0,16,1.115,21,38.8,33,30,0.681,33.373,12,446.94,0.707,34.642,10.2,9.121,1.024,4.1,49,0,0,52,1,0,7
4.0,19,47.7,42.0,23,1.114,21,38.6,30,27,0.679,29.896,22,359.41,0.698,30.71,6.8,8.168,1.011,6.8,44,0,0,47,0,0,2
5.917,6,35.3,34.5,9,1.125,18,49.0,28,26,0.614,31.291,5,399.58,0.661,33.71,9.8,7.835,1.01,2.0,51,0,0,53,0,0,12
4.0,13,41.0,34.0,15,1.112,16,41.0,25,23,0.673,26.249,12,348.48,0.718,28.0,7.7,8.935,1.013,5.1,39,0,0,41,0,0,3
4.1,10,35.9,35.5,16,1.144,14,38.5,25,24,0.649,25.315,11,333.34,0.644,25.108,12.8,8.547,1.04,12.8,39,0,0,40,0,0,4
5.165,19,43.4,49.0,18,1.112,23,35.8,37,34,0.697,36.942,12,497.59,0.719,38.131,11.3,9.388,1.028,5.7,53,0,0,56,0,0,4
4.0,17,46.3,41.5,20,1.12,19,34.1,30,27,0.697,28.579,17,362.37,0.699,28.648,9.8,8.838,1.028,9.8,41,0,0,44,0,0,2
4.1,7,35.7,30.0,9,1.131,15,47.6,24,22,0.615,25.83,6,324.44,0.651,27.33,9.5,7.725,1.013,4.8,42,0,0,44,0,0,8
4.1,6,31.0,24.0,10,1.125,9,41.4,17,17,0.664,19.243,6,297.81,0.708,20.545,13.8,10.269,1.041,3.4,29,0,0,29,1,0,3
4.0,1,34.2,19.0,1,1.141,13,57.9,18,16,0.553,21.026,0,222.37,0.607,23.08,2.6,5.852,0.983,5.3,38,0,0,40,0,0,12
4.129,8,37.8,34.5,12,1.142,17,46.7,27,24,0.619,27.837,11,323.45,0.653,29.37,0.0,7.188,0.998,15.6,45,0,0,48,0,1,8
4.1,6,36.1,23.5,7,1.129,13,50.0,19,18,0.608,21.874,5,266.4,0.657,23.659,5.6,7.4,1.0,5.6,36,0,0,37,0,0,7
4.1,8,42.4,23.0,10,1.113,14,51.5,18,16,0.619,20.423,10,231.39,0.689,22.745,0.0,7.012,0.977,3.0,33,0,0,35,0,0,6
4.0,2,30.2,21.0,2,1.149,13,55.8,19,19,0.551,23.697,0,272.39,0.586,25.205,9.3,6.335,1.005,4.7,43,0,0,43,0,0,11
4.1,15,40.0,43.5,19,1.124,22,45.5,33,30,0.635,34.905,17,427.57,0.67,36.858,7.3,7.774,1.007,5.5,55,0,0,58,0,0,7
5.334,14,47.4,34.0,17,1.114,18,42.1,25,22,0.662,25.16,16,292.36,0.691,26.25,5.3,7.694,1.001,5.3,38,0,0,41,0,0,4
4.0,12,40.4,41.0,11,1.121,19,36.2,33,30,0.696,32.695,6,470.36,0.718,33.744,10.6,10.008,1.037,6.4,47,0,0,50,2,0,7
4.0,15,39.3,45.0,15,1.132,24,45.9,36,33,0.63,38.4,12,470.02,0.662,40.387,4.9,7.705,1.007,8.2,61,0,0,64,1,0,9
4.0,18,42.9,45.0,17,1.111,24,42.9,34,32,0.662,37.071,12,468.64,0.705,39.5,7.1,8.369,1.007,3.6,56,0,0,58,0,0,6
5.058,18,43.1,47.0,17,1.11,22,35.3,36,33,0.699,35.635,12,486.56,0.717,36.579,13.7,9.54,1.034,3.9,51,0,0,54,0,0,4
4.0,7,40.0,26.0,7,1.176,14,40.0,22,21,0.64,22.394,6,307.29,0.629,22.0,2.9,8.78,1.056,2.9,35,0,0,36,0,0,7
4.1,9,38.5,29.0,8,1.167,15,41.0,24,23,0.635,24.747,6,332.33,0.629,24.523,5.1,8.521,1.048,5.1,39,0,0,40,0,0,6
4.0,1,30.2,17.0,1,1.145,13,60.5,16,17,0.528,22.708,0,246.39,0.575,24.716,9.3,5.73,0.995,0.0,43,0,0,42,0,0,12
4.562,7,31.6,27.0,9,1.136,12,47.4,21,20,0.62,23.577,6,314.48,0.673,25.557,5.3,8.276,1.011,10.5,38,0,0,39,0,0,5
4.0,9,35.9,28.0,9,1.142,14,46.2,22,21,0.613,23.918,6,290.36,0.634,24.716,7.7,7.445,1.015,10.3,39,0,0,40,0,0,5
5.31,19,47.6,43.0,23,1.111,20,33.3,31,28,0.717,30.109,22,440.27,0.732,30.756,9.5,10.483,1.027,7.1,42,0,1,45,0,0,1
4.0,17,39.1,48.5,19,1.133,25,45.3,38,35,0.625,40.003,17,479.59,0.647,41.438,7.8,7.494,1.012,7.8,64,0,0,67,0,0,8
4.0,17,48.6,40.0,22,1.095,18,29.7,29,26,0.769,28.442,22,420.36,0.819,30.29,2.7,11.361,1.023,8.1,37,0,0,40,2,0,1
4.1,17,42.6,45.0,15,1.117,20,36.2,33,30,0.699,32.845,6,489.38,0.727,34.171,8.5,10.412,1.026,8.5,47,0,1,50,0,0,3
4.0,16,41.7,40.0,16,1.128,20,41.7,30,28,0.649,31.159,12,380.44,0.665,31.932,8.3,7.926,1.016,8.3,48,0,0,50,0,0,4
6.581,13,50.0,32.5,17,1.096,13,23.1,23,20,0.798,20.76,15,348.19,0.825,21.449,7.7,13.392,1.04,11.5,26,0,1,29,0,0,0
6.342,10,37.2,31.0,9,1.125,16,46.5,25,23,0.637,27.389,6,348.54,0.695,29.864,2.3,8.106,0.999,9.3,43,0,0,45,0,0,6
4.0,15,41.9,37.0,15,1.127,18,39.5,28,26,0.668,28.745,12,372.84,0.688,29.574,7.0,8.671,1.021,9.3,43,0,0,45,1,0,3
5.553,17,45.8,42.0,16,1.114,22,39.6,32,29,0.668,32.051,12,393.42,0.679,32.585,12.5,8.196,1.021,2.1,48,0,0,51,0,0,5
4.0,22,45.5,50.0,22,1.117,25,38.2,37,34,0.686,37.711,18,521.4,0.71,39.046,7.3,9.48,1.016,7.3,55,0,1,58,0,0,3
4.1,10,38.2,29.5,13,1.11,13,38.2,22,21,0.697,23.689,11,339.5,0.755,25.676,5.9,9.985,1.018,8.8,34,0,0,35,0,0,3
4.301,23,44.6,56.5,22,1.109,29,40.0,43,39,0.677,44.027,17,562.71,0.71,46.171,9.2,8.657,1.014,3.1,65,0,0,69,0,0,6
5.481,17,45.1,43.0,16,1.116,23,41.2,33,30,0.658,33.578,12,407.45,0.673,34.347,11.8,7.989,1.018,2.0,51,0,0,54,0,0,6
4.0,9,35.0,31.5,13,1.136,14,45.0,24,22,0.628,25.105,11,322.43,0.659,26.364,7.5,8.061,1.016,10.0,40,0,0,42,0,0,5
5.69,20,50.0,44.5,20,1.106,24,39.6,33,29,0.68,32.622,17,385.44,0.702,33.676,8.3,8.03,1.008,2.1,48,0,0,52,0,0,4
4.0,9,44.8,25.0,8,1.114,13,37.9,20,18,0.699,20.267,6,284.15,0.731,21.199,6.9,9.798,1.024,3.4,29,0,0,31,2,0,4
5.5,7,38.2,22.0,7,1.122,13,50.0,18,17,0.613,20.853,6,251.38,0.666,22.654,5.9,7.394,0.997,2.9,34,0,0,35,0,0,6
5.62,21,50.0,47.5,24,1.101,23,34.8,34,30,0.713,32.777,21,416.48,0.735,33.807,8.7,9.054,1.017,4.3,46,0,0,50,0,0,2
4.0,7,42.1,15.0,7,1.12,8,42.1,11,11,0.645,12.252,6,152.16,0.653,12.409,15.8,8.008,1.027,0.0,19,0,0,19,0,0,1
4.1,13,44.4,33.0,17,1.121,16,38.9,24,22,0.68,24.482,16,315.78,0.704,25.352,5.6,8.772,1.016,8.3,36,0,0,38,1,0,3
6.218,20,43.3,51.0,18,1.111,26,40.0,39,36,0.675,40.501,12,524.66,0.707,42.409,10.0,8.744,1.017,3.3,60,0,0,63,0,0,6
6.036,10,38.1,35.5,10,1.119,16,38.1,28,26,0.676,28.393,5,396.48,0.699,29.364,14.3,9.44,1.036,4.8,42,0,0,44,0,0,6
5.432,28,47.1,65.0,34,1.115,32,38.2,47,42,0.679,46.169,32,562.62,0.693,47.125,8.8,8.274,1.016,5.9,68,0,0,73,0,0,4
5.433,28,47.8,65.0,34,1.113,32,37.3,47,42,0.691,46.282,32,581.06,0.709,47.529,7.5,8.673,1.016,6.0,67,0,0,72,1,0,4
5.39,28,47.8,64.0,34,1.114,32,38.8,46,41,0.678,45.454,32,546.62,0.697,46.671,7.5,8.159,1.011,6.0,67,0,0,72,0,0,4
5.197,25,44.8,64.5,33,1.117,30,37.3,47,42,0.684,45.851,31,583.67,0.702,47.017,9.0,8.711,1.021,7.5,67,0,0,72,0,0,5
4.495,28,47.8,65.0,34,1.113,32,37.3,47,42,0.691,46.282,32,581.06,0.709,47.529,7.5,8.673,1.016,6.0,67,0,0,72,1,0,4
6.081,20,44.1,51.0,18,1.113,26,39.0,39,36,0.68,40.141,12,527.03,0.705,41.619,10.2,8.933,1.022,3.4,59,0,0,62,1,0,6
5.886,20,44.6,50.0,18,1.112,25,37.5,38,35,0.69,38.614,12,513.0,0.712,39.858,10.7,9.161,1.025,3.6,56,0,0,59,1,0,5
5.745,20,43.3,51.0,18,1.111,26,40.0,39,36,0.675,40.501,12,524.66,0.707,42.409,10.0,8.744,1.017,3.3,60,0,0,63,0,0,6
5.432,20,42.9,53.0,18,1.116,27,39.7,41,38,0.673,42.383,12,557.06,0.696,43.835,11.1,8.842,1.024,3.2,63,0,0,66,1,0,7
5.337,20,43.3,51.0,18,1.116,26,40.0,39,36,0.667,40.028,12,508.59,0.687,41.216,11.7,8.476,1.022,3.3,60,0,0,63,0,0,6
4.301,17,41.4,47.5,16,1.115,24,41.4,37,34,0.664,38.501,11,500.64,0.697,40.409,10.3,8.632,1.018,3.4,58,0,0,61,0,0,7
4.0,15,44.2,34.0,17,1.12,19,46.5,25,23,0.633,27.214,16,308.41,0.669,28.773,4.7,7.172,0.996,4.7,43,0,0,45,0,0,4
4.51,13,45.5,30.0,13,1.148,15,33.3,23,22,0.701,23.144,12,329.34,0.703,23.188,3.0,9.98,1.053,3.0,33,0,0,34,0,0,2
5.474,17,44.7,44.5,22,1.116,21,38.3,33,29,0.683,32.105,21,406.5,0.71,33.364,6.4,8.649,1.014,8.5,47,0,0,51,0,0,4
4.301,17,44.2,45.5,22,1.122,23,42.3,34,30,0.653,33.971,21,402.49,0.678,35.239,5.8,7.74,1.007,7.7,52,0,0,56,0,0,6
5.321,21,52.3,44.0,21,1.108,23,34.1,31,29,0.718,31.591,18,407.84,0.733,32.256,6.8,9.269,1.022,2.3,44,0,0,46,1,1,1
4.0,16,42.0,41.0,15,1.122,21,42.0,32,29,0.666,33.299,12,428.6,0.711,35.563,2.0,8.572,1.007,8.0,50,0,0,53,0,0,5
4.004,24,46.3,52.5,26,1.111,25,35.2,38,35,0.707,38.174,23,507.0,0.73,39.438,7.4,9.389,1.022,7.4,54,0,0,57,1,0,1
5.514,13,43.2,29.0,13,1.111,16,43.2,22,21,0.667,24.68,12,321.85,0.717,26.512,5.4,8.699,1.006,2.7,37,0,0,38,1,0,3
5.564,19,44.6,48.5,23,1.121,25,42.9,36,32,0.652,36.498,21,428.53,0.679,38.0,5.4,7.652,1.004,7.1,56,0,0,60,0,0,6
4.061,15,45.0,33.0,17,1.118,18,45.0,24,22,0.642,25.687,16,294.38,0.675,27.012,5.0,7.359,0.998,5.0,40,0,0,42,0,0,3
4.81,13,42.5,33.0,13,1.148,17,37.5,26,25,0.673,26.913,12,373.4,0.679,27.165,5.0,9.335,1.046,2.5,40,0,0,41,0,0,4
6.177,13,44.1,27.0,13,1.11,15,44.1,20,19,0.657,22.326,12,273.38,0.703,23.892,5.9,8.041,1.001,2.9,34,0,0,35,0,0,2
6.345,17,43.8,42.5,22,1.124,21,41.7,31,28,0.655,31.444,21,376.45,0.677,32.478,6.3,7.843,1.01,8.3,48,0,0,51,0,0,4
4.0,15,43.4,39.0,17,1.115,23,49.1,30,27,0.628,33.266,16,378.58,0.684,36.25,1.9,7.143,0.985,3.8,53,0,0,56,0,0,8
4.0,13,41.3,35.0,13,1.121,19,45.7,28,25,0.64,29.422,12,355.5,0.683,31.426,4.3,7.728,1.0,6.5,46,0,0,49,0,0,6
4.726,13,41.7,30.0,13,1.115,15,38.9,23,22,0.695,25.002,12,357.28,0.739,26.614,5.6,9.924,1.021,5.6,36,0,0,37,2,0,2
4.71,13,43.6,29.0,13,1.121,17,46.2,22,21,0.642,25.048,12,303.43,0.69,26.898,2.6,7.78,0.999,2.6,39,0,0,40,0,0,4
6.405,23,48.1,50.0,22,1.097,25,34.6,37,34,0.722,37.538,18,512.03,0.755,39.284,9.6,9.847,1.022,1.9,52,0,0,55,1,0,2
4.099,13,37.1,47.0,15,1.127,23,45.2,38,34,0.635,39.355,12,504.69,0.673,41.727,8.1,8.14,1.013,6.5,62,0,0,66,0,0,10
4.0,10,37.5,32.0,9,1.12,15,40.0,26,24,0.677,27.098,6,385.93,0.722,28.864,7.5,9.648,1.024,7.5,40,0,0,42,1,0,5
4.983,23,47.2,51.5,28,1.116,25,37.7,37,33,0.682,36.159,27,440.49,0.697,36.932,7.5,8.311,1.015,7.5,53,0,0,57,0,0,2
4.301,21,47.8,48.0,27,1.116,22,34.8,34,30,0.698,32.106,26,400.42,0.705,32.409,8.7,8.705,1.022,8.7,46,0,0,50,0,0,1
