pXC50,N.,X.,nN,nF,nX,nCL,nC,Me,nHet,H.,nBM,AMW,RBN,C.,nDB,Sp,nCsp2,Mv,nS,RBF,Mi,MW,nCsp3,nAB,Sv,nBO,Si,Se,nAT,nSK
6.658,1.8,7.0,1,4,4,0,23,1.032,9,43.9,14,7.991,10,40.4,2,36.233,14,0.628,0,0.172,1.149,455.49,9,12,35.789,33,65.508,58.832,57,32
8.292,1.6,6.3,1,4,4,0,25,1.025,9,46.0,14,7.675,12,39.7,2,39.756,14,0.617,0,0.188,1.148,483.55,11,12,38.843,35,72.338,64.599,63,34
8.167,1.8,5.3,1,3,3,0,23,1.023,8,45.6,14,7.675,10,40.4,2,36.296,14,0.621,0,0.172,1.143,437.5,9,12,35.406,32,65.168,58.32,57,31
6.678,2.1,6.3,1,3,3,0,20,1.035,8,41.7,14,8.238,7,41.7,2,31.012,14,0.642,0,0.143,1.144,395.41,6,12,30.825,29,54.922,49.669,48,28
6.921,1.9,5.6,1,3,3,0,22,1.027,8,44.4,14,7.842,9,40.7,2,34.534,14,0.627,0,0.164,1.144,423.47,8,12,33.879,31,61.753,55.436,54,30
7.347,1.5,4.5,1,3,3,0,26,1.015,8,48.5,14,7.267,13,39.4,2,41.58,14,0.606,0,0.194,1.143,479.59,12,12,39.986,35,75.413,66.97,66,34
8.721,1.7,6.7,1,4,4,0,24,1.029,9,45.0,14,7.825,11,40.0,2,37.995,14,0.622,0,0.18,1.149,469.52,10,12,37.316,34,68.923,61.716,60,33
7.398,1.9,7.4,1,4,4,0,22,1.036,9,42.6,14,8.175,9,40.7,2,34.472,14,0.634,0,0.164,1.15,441.46,8,12,34.262,32,62.092,55.949,54,31
5.523,2.2,6.7,1,3,3,0,19,1.04,8,40.0,14,8.475,7,42.2,2,29.25,14,0.651,0,0.152,1.145,381.38,5,12,29.299,28,51.507,46.785,45,27
8.469,0.0,5.7,0,3,3,0,21,1.033,9,43.4,13,8.387,11,39.6,1,34.631,13,0.637,1,0.204,1.139,444.51,8,12,33.759,31,60.384,54.738,53,30
10.222,0.0,5.8,0,3,3,0,21,1.027,8,44.2,13,8.241,10,40.4,1,34.176,13,0.635,1,0.189,1.138,428.51,8,12,33.045,30,59.174,53.411,52,29
8.721,0.0,5.7,0,3,3,0,21,1.033,9,43.4,13,8.387,11,39.6,1,34.631,13,0.637,1,0.204,1.139,444.51,8,12,33.759,31,60.384,54.738,53,30
8.161,0.0,5.5,0,3,3,0,22,1.024,8,45.5,13,8.046,11,40.0,1,35.938,13,0.629,1,0.196,1.138,442.54,9,12,34.571,31,62.59,56.294,55,30
7.614,0.0,5.7,0,3,3,0,21,1.038,9,43.4,13,8.084,11,39.6,1,33.438,13,0.628,0,0.204,1.145,428.44,8,12,33.287,31,60.673,54.989,53,30
8.155,0.0,5.1,0,3,3,0,23,1.026,9,45.8,13,8.01,13,39.0,1,38.154,13,0.624,1,0.217,1.139,472.57,10,12,36.813,33,67.214,60.505,59,32
8.409,0.0,5.6,0,3,3,0,22,1.032,9,42.6,14,8.454,12,40.7,2,35.631,15,0.644,1,0.218,1.137,456.52,7,12,34.759,32,61.384,55.738,54,31
5.523,0.0,5.6,0,3,3,0,21,1.038,10,42.6,14,8.528,11,38.9,2,35.085,13,0.638,1,0.2,1.141,460.51,8,12,34.474,32,61.593,56.065,54,31
7.726,0.0,6.0,0,3,3,0,20,1.037,9,42.0,13,8.61,10,40.0,1,32.87,13,0.645,1,0.196,1.139,430.48,7,12,32.233,30,56.969,51.854,50,29
7.222,0.0,5.0,0,3,3,0,26,1.027,9,41.7,19,8.443,12,43.3,1,40.392,19,0.655,1,0.194,1.13,506.58,7,18,39.286,37,67.799,61.621,60,35
8.678,0.0,5.6,0,3,3,0,21,1.038,10,42.6,13,8.528,12,38.9,1,35.085,13,0.638,1,0.218,1.141,460.51,8,12,34.474,32,61.593,56.065,54,31
7.155,0.0,5.6,0,3,3,0,21,1.038,10,42.6,13,8.528,12,38.9,1,35.085,13,0.638,1,0.218,1.141,460.51,8,12,34.474,32,61.593,56.065,54,31
7.622,0.0,4.4,0,3,3,0,29,1.025,10,42.6,20,8.274,14,42.6,2,45.37,20,0.648,1,0.2,1.13,562.65,9,18,44.055,41,76.839,69.716,68,39
8.337,0.0,5.4,0,3,3,0,22,1.029,9,44.6,13,8.188,12,39.3,1,36.392,13,0.63,1,0.211,1.139,458.54,9,12,35.286,32,63.799,57.621,56,31
7.77,0.0,9.5,0,6,6,0,27,1.048,12,38.1,19,9.12,12,42.9,1,41.966,19,0.666,1,0.185,1.147,574.58,8,18,41.963,41,72.233,66.043,63,39
5.511,1.9,5.7,1,3,3,0,25,1.031,8,37.7,23,8.594,8,47.2,1,36.012,21,0.676,0,0.143,1.131,455.46,4,22,35.825,36,59.922,54.669,53,33
6.595,1.9,5.7,1,3,3,0,25,1.031,8,37.7,23,8.594,8,47.2,1,36.012,21,0.676,0,0.143,1.131,455.46,4,22,35.825,36,59.922,54.669,53,33
8.476,5.3,7.9,2,3,3,0,16,1.046,9,34.2,16,10.17,5,42.1,1,27.358,12,0.702,2,0.125,1.136,386.45,4,15,26.684,27,43.181,39.734,38,25
7.959,0.0,0.0,0,0,0,0,34,0.995,5,43.5,27,7.749,10,49.3,2,48.887,27,0.666,1,0.139,1.101,534.71,5,24,45.948,42,75.986,68.64,69,39
4.301,10.6,0.0,7,0,0,0,31,0.998,8,40.9,30,7.783,6,47.0,2,46.108,25,0.669,0,0.083,1.119,513.65,6,28,44.133,45,73.85,65.876,66,39
4.0,5.7,13.2,3,7,7,0,19,1.077,16,34.0,14,10.369,5,35.8,3,35.068,11,0.675,2,0.091,1.172,549.54,8,11,35.775,37,62.118,57.076,53,35
6.866,0.0,5.2,0,3,3,0,26,1.03,9,39.7,19,8.699,9,44.8,1,39.631,19,0.668,1,0.148,1.127,504.56,7,18,38.759,38,65.384,59.738,58,35
6.232,0.0,5.0,0,3,3,0,27,1.022,8,41.7,19,8.376,9,45.0,1,40.938,19,0.66,1,0.143,1.126,502.59,8,18,39.571,38,67.59,61.294,60,35
6.6,0.0,5.3,0,3,3,0,26,1.025,8,40.4,19,8.571,9,45.6,1,39.176,19,0.667,1,0.15,1.126,488.56,7,18,38.045,37,64.174,58.411,57,34
6.233,0.0,3.7,0,0,2,2,25,1.012,7,40.7,19,9.064,9,46.3,1,39.318,19,0.686,1,0.158,1.104,489.44,6,18,37.023,35,59.628,54.636,54,32
4.866,0.0,1.9,0,1,1,0,25,1.009,6,42.6,19,8.121,9,46.3,1,37.54,19,0.662,1,0.158,1.113,438.55,6,18,35.751,34,60.08,54.502,54,31
7.155,0.0,7.0,0,4,4,0,26,1.034,9,38.6,19,8.887,9,45.6,1,39.114,19,0.674,1,0.15,1.132,506.55,7,18,38.428,38,64.514,58.923,57,35
7.237,3.9,5.9,2,3,3,0,21,1.04,11,37.3,18,9.501,8,41.2,1,35.551,15,0.68,2,0.151,1.134,484.56,6,17,34.694,34,57.845,53.04,51,32
8.202,1.9,7.5,1,3,4,1,22,1.037,10,39.6,17,9.207,10,41.5,1,36.279,14,0.667,1,0.182,1.136,487.96,8,16,35.367,34,60.201,54.952,53,32
6.276,0.0,5.2,0,3,3,0,26,1.03,9,39.7,19,8.699,10,44.8,1,39.631,19,0.668,1,0.164,1.127,504.56,7,18,38.759,38,65.384,59.738,58,35
4.77,0.0,0.0,0,0,0,0,18,0.996,4,54.2,8,6.384,8,37.5,2,29.716,9,0.577,0,0.167,1.13,306.44,9,6,27.708,22,54.235,47.796,48,22
5.745,0.0,0.0,0,0,0,0,26,0.991,4,51.6,15,6.59,10,41.9,3,40.0,17,0.601,0,0.159,1.121,408.58,9,12,37.288,31,69.481,61.447,62,30
7.833,2.1,6.4,1,3,3,0,22,1.037,9,34.0,22,9.862,6,46.8,1,34.33,18,0.711,2,0.12,1.122,463.53,4,21,33.431,34,52.722,48.727,47,31
6.646,2.4,2.4,1,0,1,1,20,1.024,7,34.1,22,9.753,6,48.8,1,30.659,18,0.722,1,0.136,1.1,399.87,2,21,29.583,30,45.106,41.996,41,27
5.793,2.3,6.8,1,3,3,0,21,1.053,9,31.8,22,9.485,6,47.7,1,30.182,18,0.704,0,0.128,1.134,417.36,3,21,30.96,33,49.886,46.345,44,30
6.644,2.1,8.5,1,3,4,1,22,1.044,10,31.9,22,10.595,6,46.8,1,35.188,18,0.729,2,0.12,1.121,497.97,4,21,34.259,35,52.666,49.051,47,32
6.183,2.3,2.3,1,0,1,1,21,1.02,7,36.4,22,9.407,6,47.7,1,32.421,18,0.707,1,0.128,1.103,413.9,3,21,31.11,31,48.522,44.88,44,28
5.197,2.4,4.9,1,0,2,2,20,1.032,8,31.7,22,10.593,6,48.8,1,31.517,18,0.742,1,0.136,1.099,434.31,2,21,30.41,31,45.05,42.32,41,28
6.251,2.1,6.4,1,3,3,0,22,1.042,9,34.0,22,9.52,6,46.8,1,33.137,18,0.701,1,0.12,1.128,447.46,4,21,32.959,34,53.012,48.978,47,31
5.652,0.0,5.8,0,3,3,0,25,1.032,8,36.5,23,9.087,8,48.1,1,36.654,21,0.692,1,0.145,1.122,472.51,4,22,35.991,36,58.344,53.643,52,33
5.0,0.0,0.0,0,0,0,0,27,0.998,4,43.6,21,7.5,8,49.1,2,37.955,21,0.658,0,0.14,1.106,412.51,4,18,36.181,33,60.82,54.912,55,31
6.114,0.0,1.8,0,0,1,0,27,1.003,5,41.8,21,8.935,8,49.1,2,39.307,21,0.676,0,0.14,1.103,491.4,4,18,37.206,34,60.662,55.142,55,32
7.367,0.0,5.5,0,3,3,0,26,1.028,8,38.2,23,8.846,8,47.3,1,38.415,21,0.682,1,0.138,1.123,486.54,5,22,37.518,37,61.759,56.527,55,34
6.78,0.0,5.8,0,3,3,0,25,1.032,8,36.5,23,9.087,8,48.1,1,36.654,21,0.692,1,0.145,1.122,472.51,4,22,35.991,36,58.344,53.643,52,33
5.971,0.0,5.8,0,3,3,0,25,1.032,8,36.5,23,9.087,8,48.1,1,36.654,21,0.692,1,0.145,1.122,472.51,4,22,35.991,36,58.344,53.643,52,33
7.886,0.0,5.3,0,3,3,0,25,1.03,9,40.4,19,8.641,10,43.9,1,38.631,19,0.662,1,0.169,1.13,492.55,6,18,37.759,36,64.384,58.738,57,34
6.599,0.0,5.7,0,3,3,0,24,1.029,8,39.6,19,8.727,9,45.3,1,36.415,19,0.67,1,0.164,1.128,462.52,5,18,35.518,34,59.759,54.527,53,32
6.03,0.0,1.9,0,0,1,1,25,1.006,6,42.6,19,8.426,9,46.3,1,38.46,19,0.67,1,0.158,1.105,455.0,6,18,36.195,34,59.684,54.313,54,31
6.921,0.0,0.0,0,0,0,0,26,1.003,6,44.8,19,7.769,10,44.8,1,39.818,19,0.648,1,0.164,1.11,450.59,7,18,37.609,35,64.365,58.2,58,32
5.656,0.0,0.0,0,0,0,0,25,1.0,5,44.4,19,7.788,9,46.3,1,37.602,19,0.655,1,0.158,1.106,420.56,6,18,35.368,33,59.74,53.989,54,30
6.638,0.0,5.3,0,3,3,0,26,1.025,8,40.4,19,8.571,9,45.6,1,39.176,19,0.667,1,0.15,1.126,488.56,7,18,38.045,37,64.174,58.411,57,34
7.208,0.0,7.0,0,4,4,0,26,1.034,9,38.6,19,8.887,9,45.6,1,39.114,19,0.674,1,0.15,1.132,506.55,7,18,38.428,38,64.514,58.923,57,35
6.62,1.9,1.9,1,0,1,0,26,1.007,6,40.7,21,9.118,8,48.1,2,38.551,20,0.68,0,0.143,1.106,492.39,4,18,36.701,34,59.745,54.36,54,32
6.31,0.0,1.7,0,0,1,0,28,1.006,6,42.4,21,8.838,9,47.5,2,41.523,21,0.669,0,0.148,1.107,521.43,5,18,39.448,36,65.286,59.352,59,34
5.523,1.6,1.6,1,0,1,0,26,1.006,7,45.9,15,8.434,9,42.6,2,41.29,15,0.639,0,0.143,1.118,514.45,9,12,38.996,35,68.2,61.338,61,33
5.921,0.0,1.6,0,0,1,0,30,1.012,8,39.7,24,9.421,8,47.6,5,45.625,23,0.688,1,0.121,1.102,593.52,5,18,43.349,41,69.416,63.756,63,38
5.827,0.0,5.8,0,3,3,0,25,1.036,8,36.5,23,8.778,8,48.1,1,35.46,21,0.683,0,0.145,1.128,456.44,4,22,35.519,36,58.633,53.894,52,33
5.463,0.0,5.8,0,3,3,0,25,1.036,8,36.5,23,8.778,8,48.1,1,35.46,21,0.683,0,0.145,1.128,456.44,4,22,35.519,36,58.633,53.894,52,33
6.652,5.3,7.9,2,3,3,0,16,1.052,9,34.2,16,9.747,5,42.1,1,26.165,12,0.69,1,0.125,1.144,370.38,4,15,26.212,27,43.47,39.985,38,25
6.886,0.0,6.9,0,3,4,0,28,1.027,8,37.9,21,9.645,8,48.3,2,40.881,21,0.688,0,0.133,1.122,559.4,5,18,39.883,38,65.096,59.563,58,36
6.495,0.0,3.6,0,0,2,1,27,1.008,6,40.0,21,9.561,8,49.1,2,40.165,21,0.692,0,0.14,1.102,525.84,4,18,38.033,35,60.606,55.465,55,33
5.699,0.0,3.4,0,1,2,0,28,1.009,6,41.4,21,9.024,8,48.3,2,41.006,21,0.674,0,0.133,1.111,523.42,5,18,39.116,36,64.417,58.538,58,34
5.409,0.0,0.0,0,0,0,0,32,0.996,5,43.1,26,7.826,9,49.2,2,46.125,25,0.668,1,0.132,1.101,508.67,5,23,43.421,40,71.57,64.756,65,37
6.824,0.0,0.0,0,0,0,0,29,1.003,6,42.6,24,7.977,8,47.5,2,42.818,21,0.666,1,0.125,1.104,486.62,6,21,40.609,38,67.365,61.2,61,35
6.538,1.7,0.0,1,0,0,0,30,1.0,5,41.7,26,7.726,8,50.0,2,41.96,24,0.67,0,0.127,1.105,463.56,4,23,40.202,38,66.318,60.014,60,35
4.917,0.0,0.0,0,0,0,0,20,1.0,4,42.9,15,8.058,6,47.6,2,29.864,15,0.668,1,0.14,1.102,338.45,3,12,28.073,25,46.285,42.011,42,24
8.373,3.4,1.7,2,0,1,1,27,1.007,7,42.4,24,8.085,8,45.8,2,40.824,22,0.662,0,0.129,1.115,476.99,5,22,39.051,37,65.761,59.44,59,34
6.278,3.6,1.8,2,0,1,0,26,1.008,7,41.1,24,9.061,8,46.4,2,39.557,22,0.674,0,0.136,1.111,507.41,4,22,37.722,36,62.243,56.462,56,33
7.42,1.6,4.8,1,3,3,0,27,1.027,9,41.9,20,8.089,8,43.5,2,40.75,20,0.647,0,0.125,1.135,501.54,7,18,40.12,38,70.377,63.647,62,36
7.398,0.0,1.8,0,0,1,1,24,1.001,6,47.4,17,7.843,11,42.1,1,38.983,15,0.636,1,0.186,1.114,447.03,9,16,36.249,32,63.514,57.08,57,30
7.092,1.5,4.6,1,3,3,0,28,1.024,9,43.1,20,7.932,9,43.1,2,42.512,20,0.641,0,0.134,1.135,515.57,8,18,41.647,39,73.792,66.53,65,37
7.658,1.7,6.8,1,4,4,0,26,1.039,10,39.0,20,8.568,8,44.1,2,38.926,20,0.661,0,0.131,1.141,505.5,6,18,38.977,38,67.302,61.276,59,36
7.444,1.7,6.8,1,3,4,0,26,1.034,10,39.0,20,9.6,8,44.1,2,40.341,20,0.672,0,0.131,1.132,566.4,6,18,39.619,38,66.804,60.992,59,36
7.398,1.6,9.7,1,6,6,0,27,1.051,12,37.1,20,8.96,8,43.5,2,40.563,20,0.666,0,0.125,1.152,555.51,7,18,41.27,41,71.396,65.185,62,39
7.523,1.6,4.8,1,3,3,0,27,1.031,10,41.3,20,8.215,9,42.9,2,41.205,20,0.648,0,0.138,1.136,517.54,7,18,40.835,39,71.587,64.974,63,37
6.595,1.7,1.7,1,0,1,1,26,1.009,7,44.1,20,7.932,8,44.1,2,40.034,20,0.649,0,0.131,1.117,467.98,6,18,38.271,35,65.887,59.549,59,33
7.328,3.6,1.8,2,0,1,1,26,1.01,7,41.1,24,8.267,8,46.4,2,39.063,22,0.67,0,0.136,1.113,462.96,4,22,37.524,36,62.345,56.556,56,33
7.268,1.6,4.8,1,3,3,0,27,1.031,10,41.3,20,8.215,9,42.9,2,41.205,20,0.648,0,0.138,1.136,517.54,7,18,40.835,39,71.587,64.974,63,37
7.921,1.6,0.0,1,0,0,0,27,1.007,7,46.0,20,7.358,9,42.9,2,41.392,20,0.63,0,0.138,1.12,463.57,7,18,39.685,36,70.568,63.436,63,34
7.018,1.6,6.5,1,4,4,0,27,1.035,10,40.3,20,8.38,8,43.5,2,40.688,20,0.653,0,0.125,1.141,519.53,7,18,40.504,39,70.717,64.16,62,37
7.097,3.6,1.8,2,0,1,1,26,1.01,7,41.1,24,8.267,8,46.4,2,39.063,22,0.67,0,0.136,1.113,462.96,4,22,37.524,36,62.345,56.556,56,33
7.032,3.6,1.8,2,0,1,0,26,1.008,7,41.1,24,9.061,8,46.4,2,39.557,22,0.674,0,0.136,1.111,507.41,4,22,37.722,36,62.243,56.462,56,33
8.35,1.6,6.5,1,4,4,0,27,1.035,10,40.3,20,8.38,8,43.5,2,40.688,20,0.653,0,0.125,1.141,519.53,7,18,40.504,39,70.717,64.16,62,37
7.066,1.6,6.5,1,4,4,0,27,1.035,10,40.3,20,8.38,8,43.5,2,40.688,20,0.653,0,0.125,1.141,519.53,7,18,40.504,39,70.717,64.16,62,37
6.924,1.7,8.5,1,5,5,0,26,1.047,11,37.3,20,8.873,8,44.1,2,38.864,20,0.667,0,0.131,1.146,523.49,6,18,39.36,39,67.641,61.789,59,37
7.495,1.4,4.3,1,3,3,0,32,1.027,10,40.0,26,8.28,10,45.7,2,46.966,26,0.662,0,0.137,1.129,579.61,6,24,46.362,45,79.002,71.858,70,42
7.481,1.7,5.2,1,3,3,0,26,1.025,8,41.4,20,8.129,8,44.8,2,38.534,20,0.653,0,0.133,1.134,471.51,6,18,37.879,36,65.753,59.436,58,34
8.461,3.2,1.6,2,0,1,1,28,1.005,7,43.5,24,7.92,8,45.2,2,42.585,22,0.654,0,0.123,1.116,491.02,6,22,40.578,38,69.176,62.323,62,35
8.301,2.9,2.9,2,1,2,1,30,1.009,8,44.1,24,7.898,9,44.1,2,46.046,22,0.647,0,0.127,1.123,537.07,8,22,44.015,41,76.346,68.603,68,38
8.023,1.7,1.7,1,0,1,1,23,1.009,8,47.5,14,7.899,12,39.0,2,39.443,14,0.627,1,0.2,1.122,466.04,9,12,36.985,32,66.222,59.509,59,31
7.387,4.7,0.0,3,0,0,0,27,0.995,6,48.4,19,6.963,9,42.2,1,42.04,17,0.618,0,0.134,1.124,445.61,10,18,39.584,36,71.936,63.658,64,33
7.398,0.0,1.9,0,0,1,1,22,1.01,7,46.3,14,8.092,11,40.7,2,36.676,14,0.638,1,0.2,1.117,436.99,8,12,34.437,30,60.309,54.523,54,29
8.155,4.4,0.0,3,0,0,0,28,0.998,7,48.5,19,6.995,11,41.2,1,44.256,17,0.615,0,0.155,1.126,475.64,11,18,41.825,38,76.561,67.869,68,35
7.638,4.9,1.6,3,0,1,1,26,1.002,7,45.9,19,7.64,9,42.6,1,41.137,17,0.637,0,0.141,1.122,466.02,9,18,38.884,36,68.465,61.098,61,33
8.373,1.6,4.8,1,3,3,0,27,1.019,8,44.4,19,7.739,11,42.9,1,41.057,18,0.634,0,0.169,1.136,487.56,9,18,39.932,37,71.583,64.203,63,35
7.62,4.9,0.0,3,0,0,0,26,0.996,6,47.5,19,7.075,9,42.6,1,40.279,17,0.624,0,0.141,1.123,431.58,9,18,38.057,35,68.521,60.774,61,32
7.523,4.5,0.0,3,0,0,0,28,0.993,6,49.3,19,6.86,10,41.8,1,43.802,17,0.614,0,0.143,1.125,459.64,11,18,41.111,37,75.351,66.541,67,34
7.39,4.3,0.0,3,0,0,0,29,0.992,6,50.0,19,6.767,10,41.4,1,45.563,17,0.609,0,0.137,1.125,473.67,12,18,42.637,38,78.766,69.425,70,35
7.553,4.1,0.0,3,0,0,0,30,0.991,6,50.7,19,6.681,10,41.1,1,47.324,17,0.605,0,0.132,1.126,487.7,13,18,44.164,39,82.182,72.309,73,36
7.921,4.6,0.0,3,0,0,0,27,1.0,7,47.7,19,7.102,10,41.5,1,42.495,17,0.62,0,0.147,1.125,461.61,10,18,40.299,37,73.145,64.985,65,34
7.081,4.5,0.0,3,0,0,0,28,1.0,7,47.0,20,7.176,10,42.4,2,43.495,18,0.626,0,0.145,1.123,473.62,10,18,41.299,38,74.145,65.985,66,35
8.155,4.9,1.6,3,0,1,1,26,1.002,7,45.9,19,7.64,9,42.6,1,41.137,17,0.637,0,0.141,1.122,466.02,9,18,38.884,36,68.465,61.098,61,33
8.699,4.3,0.0,3,0,0,0,29,0.992,6,50.0,19,6.767,11,41.4,1,45.563,17,0.609,0,0.151,1.125,473.67,12,18,42.637,38,78.766,69.425,70,35
7.959,4.5,0.0,3,0,0,0,28,0.993,6,49.3,19,6.86,10,41.8,1,43.802,17,0.614,0,0.143,1.125,459.64,11,18,41.111,37,75.351,66.541,67,34
8.523,3.5,0.0,2,0,0,0,24,1.003,7,45.6,18,7.695,10,42.1,1,38.614,15,0.639,1,0.167,1.118,438.59,9,17,36.411,34,63.737,57.192,57,31
7.252,3.4,0.0,2,0,0,0,25,1.009,8,44.1,19,7.908,10,42.4,2,40.068,16,0.646,1,0.161,1.118,466.6,9,17,38.125,36,65.946,59.52,59,33
7.387,0.0,0.0,0,0,0,0,26,0.994,5,49.2,18,7.191,11,42.6,1,40.887,17,0.622,1,0.175,1.115,438.63,9,17,37.948,33,67.986,60.64,61,31
8.523,3.4,0.0,2,0,0,0,24,1.009,8,44.8,18,7.838,11,41.4,1,39.068,15,0.64,1,0.18,1.12,454.59,9,17,37.125,35,64.946,58.52,58,32
7.658,1.7,0.0,1,0,0,0,25,0.998,6,48.3,18,7.327,11,41.7,1,40.131,16,0.624,1,0.177,1.118,439.62,9,17,37.443,33,67.069,59.858,60,31
6.562,1.7,0.0,1,0,0,0,25,1.002,6,48.3,18,7.059,11,41.7,1,38.938,16,0.616,0,0.177,1.123,423.55,9,17,36.971,33,67.358,60.109,60,31
7.62,1.8,1.8,1,0,1,1,25,1.004,6,45.6,19,7.719,10,43.9,1,38.58,18,0.641,0,0.169,1.117,439.97,7,18,36.556,33,63.678,57.222,57,31
8.285,1.6,0.0,1,0,0,0,27,0.995,5,49.2,19,6.882,11,42.9,1,41.245,18,0.616,0,0.169,1.12,433.59,9,18,38.783,34,70.564,62.665,63,32
7.824,1.6,0.0,1,0,0,0,27,0.995,5,49.2,19,6.882,11,42.9,1,41.245,18,0.616,0,0.169,1.12,433.59,9,18,38.783,34,70.564,62.665,63,32
8.31,1.7,5.0,1,3,3,0,26,1.022,8,43.3,19,7.892,10,43.3,1,39.296,18,0.64,0,0.161,1.136,473.53,8,18,38.406,36,68.168,61.32,60,34
8.339,1.5,0.0,1,0,0,0,28,0.993,5,50.0,19,6.782,12,42.4,1,43.006,18,0.611,0,0.176,1.121,447.62,10,18,40.309,35,73.979,65.549,66,33
6.0,3.6,5.5,2,3,3,0,23,1.035,11,38.2,18,9.284,8,41.8,1,38.313,15,0.677,2,0.138,1.132,510.6,8,17,37.221,37,62.261,56.923,55,34
8.0,4.5,6.8,2,3,3,0,19,1.044,10,34.1,18,10.011,7,43.2,1,31.574,15,0.703,2,0.152,1.132,440.5,4,17,30.926,31,49.806,45.945,44,29
8.222,4.0,6.0,2,3,3,0,21,1.034,10,38.0,18,9.371,7,42.0,1,35.097,15,0.68,2,0.135,1.133,468.56,6,17,33.979,33,56.636,51.712,50,31
7.745,4.3,2.1,2,0,1,1,20,1.013,8,40.4,18,9.255,7,42.6,1,34.381,15,0.684,2,0.143,1.109,435.0,5,17,32.13,30,52.146,47.614,47,28
5.021,4.3,6.4,2,3,3,0,20,1.044,10,36.2,15,9.329,6,42.6,3,32.142,15,0.68,1,0.122,1.139,438.46,5,12,31.98,32,53.51,49.08,47,30
7.032,3.4,0.0,2,0,0,0,24,0.997,7,47.5,18,7.74,8,40.7,1,40.568,15,0.634,2,0.131,1.116,456.68,9,17,37.41,33,65.862,58.825,59,31
4.699,0.0,4.3,0,0,2,0,20,1.011,6,43.5,14,10.526,9,43.5,2,32.898,15,0.667,0,0.191,1.111,484.2,5,12,30.704,27,51.088,46.487,46,26
6.796,3.1,4.6,2,3,3,0,28,1.027,10,41.5,23,8.132,12,43.1,1,42.756,20,0.648,0,0.176,1.137,528.57,8,22,42.142,41,73.876,66.749,65,38
5.301,3.1,0.0,2,0,0,0,28,1.003,7,46.2,23,7.302,12,43.1,1,42.943,20,0.631,0,0.176,1.121,474.6,8,22,40.992,38,72.856,65.211,65,35
6.854,3.2,0.0,2,0,0,0,27,1.01,8,44.4,23,7.565,12,42.9,1,41.637,20,0.638,0,0.182,1.121,476.57,7,22,40.18,38,70.651,63.654,63,35
5.796,3.2,1.6,2,1,1,0,27,1.014,8,43.5,23,7.719,12,43.5,1,41.12,20,0.643,0,0.185,1.125,478.56,7,22,39.848,38,69.781,62.84,62,35
5.77,3.0,0.0,2,0,0,0,28,1.008,8,45.5,23,7.433,13,42.4,1,43.398,20,0.632,0,0.188,1.122,490.6,8,22,41.707,39,74.066,66.538,66,36
5.854,4.7,0.0,3,0,0,0,27,1.019,10,42.2,25,7.9,13,42.2,3,42.335,20,0.647,0,0.194,1.124,505.57,7,22,41.389,40,71.943,65.2,64,37
6.921,3.1,0.0,2,0,0,0,28,1.003,7,46.2,23,7.302,12,43.1,1,42.943,20,0.631,0,0.176,1.121,474.6,8,22,40.992,38,72.856,65.211,65,35
5.398,0.0,0.0,0,0,0,0,32,0.993,4,45.5,26,7.252,11,48.5,2,45.239,27,0.648,0,0.159,1.107,478.62,5,24,42.761,39,73.066,65.563,66,36
6.081,2.9,0.0,2,0,0,0,29,1.001,7,47.1,23,7.186,12,42.6,1,44.705,20,0.625,0,0.169,1.122,488.63,9,22,42.519,39,76.272,68.094,68,36
5.187,3.2,3.2,2,2,2,0,27,1.022,9,41.9,23,8.009,12,43.5,1,41.057,20,0.649,0,0.185,1.131,496.55,7,22,40.232,39,70.121,63.352,62,36
5.523,0.0,0.0,0,0,0,0,34,1.012,8,41.7,28,7.87,15,47.2,4,49.057,29,0.661,0,0.2,1.11,566.64,5,24,47.62,45,79.903,72.872,72,42
8.523,3.2,0.0,2,0,0,0,27,1.01,8,44.4,23,7.565,12,42.9,1,41.637,20,0.638,0,0.182,1.121,476.57,7,22,40.18,38,70.651,63.654,63,35
5.551,3.6,0.0,2,0,0,0,25,1.0,6,43.6,23,7.865,10,45.5,1,38.398,20,0.658,1,0.172,1.111,432.58,5,22,36.169,34,61.112,54.982,55,31
5.312,3.0,0.0,2,0,0,0,29,0.993,6,47.8,23,7.294,11,43.3,1,45.444,20,0.631,1,0.157,1.116,488.7,9,22,42.276,38,74.773,66.516,67,35
6.027,3.4,5.2,2,3,3,0,26,1.024,9,39.7,23,8.631,10,44.8,1,39.972,20,0.67,1,0.164,1.13,500.58,6,22,38.846,38,65.546,59.403,58,35
5.759,3.8,0.0,2,0,0,0,23,1.003,7,42.3,22,8.435,10,44.2,1,37.284,18,0.67,2,0.182,1.108,438.61,5,21,34.829,33,57.617,52.174,52,30
5.583,3.4,0.0,2,0,0,0,26,0.998,6,44.8,23,7.7,10,44.8,1,40.159,20,0.65,1,0.164,1.113,446.61,6,22,37.696,35,64.527,57.865,58,32
5.593,3.4,0.0,2,0,0,0,26,0.998,6,44.8,23,7.7,11,44.8,1,40.159,20,0.65,1,0.18,1.113,446.61,6,22,37.696,35,64.527,57.865,58,32
5.924,3.2,1.6,2,1,1,0,27,1.014,8,43.5,23,7.719,12,43.5,1,41.12,20,0.643,0,0.185,1.125,478.56,7,22,39.848,38,69.781,62.84,62,35
