pXC50,SpMax1_Bh.v.,piPC06,piPC07,Eta_betaP,Eta_F,piPC09,piPC10,Ui,SpMax1_Bh.p.,piPC08,SpMax2_Bh.m.,AMR,ATS4v,SpMax2_Bh.p.,Eta_beta,Eta_FL,PCD,piPC03,piPC04,piPC05,Eig07_AEA.bo.,Eig07_EA.bo.,P_VSA_m_2,SM03_AEA.bo.,Eig11_AEA.dm.,GGI8,Chi0_EA.ri.,Eig01_EA.ri.,Eta_alpha,SpDiam_EA.ri.,SpMax_EA.ri.,S0K,NaasC,SM06_EA.bo.,Eig04_AEA.ed.,Eig01_EA.bo.,Eig02_EA.bo.,SM11_AEA.ri.,SM12_AEA.ri.,SpAD_AEA.dm.,SpDiam_EA.bo.,SpMax7_Bh.m.,SpMax_EA.bo.,X0sol,Eta_betaP_A,piID,SM05_EA.bo.,SpMAD_AEA.dm.,ATS5v,SM11_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpMax8_Bh.m.,X1v,Eig12_AEA.dm.,Eig10_AEA.bo.,SM02_AEA.bo.,SM07_EA.bo.
6.638,3.984,6.259,6.647,16.5,29.988,7.298,7.702,3.392,4.075,6.924,4.018,95.26,3.853,3.817,33.75,6.219,2.344,4.776,5.356,5.851,3.07,1.956,184.577,6.295,1.0,0.464,17.034,3.179,12.357,5.125,3.179,116.872,5,10.075,6.389,4.663,4.405,4.663,4.405,47.981,7.663,2.773,4.663,18.371,0.611,9.224,8.39,1.714,3.77,13.45,14.579,15.695,16.824,17.949,2.627,9.637,0.732,2.5,4.975,11.388
7.301,3.984,6.229,6.599,16.5,26.762,7.256,7.65,3.392,4.076,6.869,4.118,89.102,3.734,3.841,32.25,5.814,2.357,4.759,5.347,5.834,2.806,1.808,149.038,6.186,1.0,0.43,16.655,3.134,11.79,5.081,3.134,109.342,5,10.037,5.791,4.663,4.405,4.663,4.405,45.565,7.663,2.915,4.663,16.932,0.66,9.095,8.326,1.752,3.675,12.928,14.044,15.143,16.259,17.371,2.627,9.865,0.778,2.382,4.888,11.357
5.387,3.976,6.031,6.4,13.5,24.451,6.978,7.286,3.087,4.074,6.648,3.981,81.393,3.605,3.757,29.0,5.517,2.251,4.616,5.156,5.627,2.711,1.763,121.344,6.096,0.66,0.348,15.434,2.979,10.89,4.925,2.979,101.284,4,9.924,5.287,4.662,4.196,4.662,4.196,40.016,7.662,2.628,4.662,15.871,0.563,8.904,8.229,1.601,3.531,12.572,13.645,14.689,15.757,16.814,2.526,8.839,0.51,1.593,4.802,11.23
6.706,3.985,6.278,6.659,16.5,29.769,7.315,7.72,3.392,4.075,6.927,4.02,95.332,3.894,3.817,33.75,6.194,2.344,4.793,5.37,5.864,3.046,1.905,178.715,6.239,0.886,0.463,17.832,3.174,12.357,5.12,3.174,117.627,5,10.046,5.801,4.663,4.407,4.663,4.407,45.903,7.663,3.038,4.663,18.155,0.611,9.224,8.341,1.639,3.864,13.057,14.181,15.287,16.413,17.535,2.639,9.949,0.618,2.5,4.947,11.363
6.301,4.053,6.578,6.979,23.5,37.513,7.755,7.978,3.807,4.082,7.33,4.053,108.712,3.957,4.042,43.5,8.707,4.46,5.134,5.724,6.252,3.118,2.427,178.359,6.42,1.263,0.613,20.865,3.026,14.39,5.026,3.026,144.825,5,10.324,6.478,4.662,4.43,4.662,4.43,54.0,7.662,3.062,4.662,19.975,0.758,12.317,8.54,1.588,3.846,13.072,14.174,15.234,16.326,17.4,2.688,10.951,1.107,2.744,5.139,11.57
6.678,3.983,6.293,6.685,16.5,29.352,7.374,7.77,3.392,4.075,6.976,4.017,89.799,3.773,3.816,34.25,6.229,2.33,4.817,5.398,5.875,3.055,1.921,150.61,6.264,1.0,0.521,18.009,3.153,12.29,5.1,3.153,117.627,5,10.05,5.802,4.663,4.407,4.663,4.407,47.927,7.663,2.716,4.663,17.57,0.611,9.44,8.343,1.653,3.766,13.011,14.129,15.227,16.346,17.459,2.627,9.936,0.863,2.5,4.982,11.364
6.527,3.987,6.314,6.711,16.5,30.623,7.403,7.811,3.392,4.076,7.007,4.024,102.603,4.001,3.846,35.25,6.188,2.314,4.849,5.416,5.906,3.065,1.946,174.959,6.312,1.395,0.553,19.157,3.176,13.357,5.176,3.176,134.127,5,10.061,6.025,4.663,4.407,4.663,4.407,51.551,7.663,3.048,4.663,19.147,0.569,9.618,8.357,1.663,3.936,13.164,14.287,15.383,16.505,17.619,2.92,10.946,1.0,2.5,5.035,11.371
6.301,3.981,6.109,6.481,13.5,25.323,7.131,7.393,3.087,4.075,6.73,4.003,86.434,3.744,3.797,29.5,5.589,2.24,4.688,5.239,5.703,2.732,1.785,123.878,6.144,0.759,0.422,15.972,3.132,11.39,5.078,3.132,107.342,5,10.011,5.712,4.663,4.368,4.663,4.368,41.895,7.663,2.693,4.663,16.741,0.54,8.975,8.32,1.611,3.681,12.934,14.047,15.142,16.256,17.366,2.626,9.262,0.51,1.709,4.842,11.336
7.921,4.018,6.7,7.17,23.0,37.793,8.075,8.468,3.807,4.081,7.583,4.105,109.278,3.998,3.963,43.25,8.603,4.023,5.134,5.738,6.229,3.27,2.563,171.485,6.44,1.042,0.669,20.65,3.103,14.605,5.103,3.103,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.236,7.663,3.151,4.663,20.639,0.742,11.798,8.513,1.595,3.958,13.159,14.265,15.333,16.433,17.517,2.687,10.984,1.0,2.529,5.15,11.502
6.301,3.982,6.284,6.668,16.5,32.178,7.333,7.733,3.392,4.075,6.944,4.014,93.373,3.871,3.798,34.75,6.793,2.337,4.801,5.38,5.87,3.048,1.908,167.307,6.252,1.0,0.537,18.774,3.153,12.624,5.099,3.153,125.851,5,10.048,5.801,4.663,4.407,4.663,4.407,47.682,7.663,3.035,4.663,18.863,0.589,9.283,8.341,1.644,3.861,12.995,14.114,15.214,16.335,17.45,2.705,9.84,0.92,2.5,4.968,11.363
5.102,3.97,6.38,6.772,16.5,32.983,7.488,7.85,3.392,4.034,7.086,4.032,98.851,4.009,3.822,36.0,6.826,2.314,4.865,5.457,5.961,3.111,2.091,187.072,6.334,1.267,0.59,19.003,3.206,13.09,5.152,3.206,128.127,5,10.075,5.914,4.664,4.427,4.664,4.427,51.446,7.664,3.046,4.664,19.31,0.569,9.657,8.374,1.66,4.002,13.315,14.45,15.568,16.704,17.835,2.799,9.961,1.0,2.516,5.048,11.387
6.301,3.976,6.035,6.4,13.5,23.943,6.969,7.296,3.087,4.074,6.61,3.982,76.815,3.568,3.756,28.5,5.508,2.249,4.606,5.162,5.627,2.606,1.632,116.752,6.08,0.51,0.344,14.765,2.981,10.39,4.927,2.981,95.287,4,9.923,5.331,4.662,4.197,4.662,4.197,38.744,7.662,2.547,4.662,15.164,0.587,8.821,8.229,1.614,3.514,12.569,13.643,14.689,15.758,16.817,2.499,8.378,0.51,1.034,4.777,11.231
6.959,3.981,6.244,6.623,16.5,29.237,7.278,7.676,3.392,4.074,6.897,4.012,87.131,3.741,3.796,33.25,6.263,2.35,4.768,5.352,5.843,3.052,1.925,162.714,6.225,1.0,0.443,16.852,3.151,11.79,5.097,3.151,113.457,5,10.042,5.792,4.663,4.405,4.663,4.405,45.614,7.663,2.694,4.663,17.448,0.635,9.162,8.336,1.689,3.678,12.983,14.102,15.203,16.323,17.439,2.627,9.235,0.761,2.5,4.925,11.36
6.678,4.013,6.645,7.116,23.0,35.493,8.024,8.408,3.807,4.081,7.524,4.228,108.712,3.936,3.971,42.5,8.226,4.049,5.098,5.693,6.181,3.204,2.487,175.731,6.404,1.0,0.657,20.314,3.094,14.29,5.094,3.094,136.452,7,10.22,6.144,4.663,4.291,4.663,4.291,52.449,7.663,2.687,4.663,19.622,0.767,11.764,8.453,1.589,3.881,13.004,14.104,15.166,16.261,17.341,2.687,11.239,1.0,2.5,5.121,11.443
7.046,4.022,6.7,7.17,23.0,36.703,8.075,8.468,3.807,4.082,7.583,4.21,113.904,4.043,3.982,43.0,8.269,4.023,5.134,5.738,6.229,3.27,2.563,178.266,6.44,1.042,0.669,20.825,3.12,14.79,5.12,3.12,146.825,8,10.268,6.447,4.663,4.312,4.663,4.312,54.194,7.663,2.941,4.663,20.492,0.742,11.798,8.513,1.594,4.012,13.215,14.325,15.402,16.507,17.6,2.79,11.706,1.0,2.529,5.15,11.502
7.222,4.016,6.662,7.138,23.0,36.196,8.034,8.4,3.807,4.08,7.549,4.051,103.8,3.95,3.953,42.5,8.579,4.059,5.116,5.723,6.207,3.233,2.502,177.46,6.379,1.042,0.603,20.239,3.088,13.89,5.088,3.088,143.207,8,10.226,5.847,4.663,4.289,4.663,4.289,52.952,7.663,2.819,4.663,19.268,0.767,11.785,8.452,1.605,3.905,13.083,14.192,15.26,16.361,17.446,2.684,10.514,1.0,2.5,5.109,11.454
6.301,4.025,6.799,7.283,24.5,44.724,8.195,8.586,3.907,4.082,7.703,4.062,116.001,4.13,3.969,46.75,9.547,3.986,5.203,5.803,6.317,3.4,2.714,189.244,6.511,1.361,0.898,22.773,3.167,15.557,5.167,3.167,164.219,8,10.31,6.604,4.663,4.327,4.663,4.327,59.449,7.663,3.185,4.663,22.423,0.721,11.926,8.561,1.607,4.135,13.405,14.529,15.622,16.742,17.851,2.773,11.483,1.313,2.584,5.228,11.545
7.046,3.982,6.278,6.659,16.5,30.14,7.315,7.72,3.392,4.075,6.927,4.015,91.549,3.854,3.801,33.75,6.236,2.344,4.793,5.366,5.864,3.059,1.929,166.947,6.262,1.0,0.463,17.365,3.154,12.29,5.1,3.154,119.627,5,10.052,5.83,4.663,4.407,4.663,4.407,47.492,7.663,2.922,4.663,18.319,0.611,9.224,8.352,1.696,3.806,13.037,14.15,15.247,16.363,17.475,2.628,9.685,0.84,2.5,4.961,11.368
6.046,3.998,6.588,7.019,22.5,38.494,7.845,8.268,3.755,4.077,7.398,4.036,110.647,4.06,3.946,43.25,8.085,3.406,5.096,5.688,6.206,3.341,2.555,190.653,6.459,1.464,0.726,21.571,3.157,14.79,5.157,3.157,153.245,8,10.258,6.482,4.663,4.413,4.663,4.413,57.956,7.663,3.052,4.663,20.846,0.703,11.322,8.515,1.656,3.994,13.298,14.424,15.517,16.637,17.745,2.95,11.539,1.313,2.691,5.178,11.524
5.903,3.965,6.263,6.654,16.5,31.268,7.348,7.744,3.392,4.033,6.953,4.018,94.959,3.8,3.805,35.25,6.734,2.323,4.825,5.393,5.86,3.069,1.957,191.864,6.277,1.0,0.555,18.709,3.17,12.59,5.117,3.17,125.851,5,10.051,5.792,4.663,4.405,4.663,4.405,48.797,7.663,2.957,4.663,18.277,0.589,9.487,8.343,1.627,3.743,13.209,14.338,15.448,16.577,17.699,2.627,9.606,0.963,2.5,5.002,11.364
6.301,3.978,6.082,6.472,13.5,24.542,7.085,7.415,3.087,4.074,6.728,3.988,84.062,3.642,3.79,30.0,5.483,2.262,4.674,5.212,5.663,2.7,1.749,109.239,6.14,0.671,0.426,16.591,2.982,11.39,4.928,2.982,105.342,4,9.934,5.481,4.662,4.197,4.662,4.197,42.562,7.662,2.629,4.662,15.992,0.54,9.238,8.237,1.576,3.617,12.613,13.685,14.724,15.791,16.845,2.583,9.54,0.618,2.142,4.866,11.236
6.398,3.984,6.239,6.617,16.5,28.296,7.3,7.689,3.392,4.077,6.903,4.12,102.853,3.904,3.845,33.75,5.814,2.337,4.784,5.361,5.843,3.075,1.978,160.398,6.252,1.049,0.666,18.353,3.134,13.29,5.081,3.134,125.851,5,10.043,5.791,4.663,4.405,4.663,4.405,50.477,7.663,3.018,4.663,19.216,0.589,9.283,8.336,1.741,3.839,12.942,14.057,15.151,16.266,17.375,2.788,11.221,1.0,2.5,4.968,11.36
6.301,3.978,6.105,6.481,13.5,24.946,7.115,7.402,3.087,4.074,6.701,4.101,81.62,3.656,3.776,29.25,5.61,2.239,4.679,5.244,5.708,2.64,1.681,110.776,6.129,0.582,0.418,15.395,3.033,11.105,4.98,3.033,101.284,5,10.01,5.72,4.663,4.369,4.663,4.369,40.888,7.663,2.628,4.663,16.534,0.563,8.897,8.32,1.636,3.609,12.69,13.777,14.84,15.924,17.0,2.499,8.868,0.51,1.259,4.818,11.336
6.523,4.004,6.519,6.953,19.5,33.099,7.785,8.103,3.524,4.079,7.331,4.081,98.214,3.874,3.923,37.75,7.567,3.293,4.958,5.533,6.079,3.012,2.186,148.285,6.311,1.0,0.638,18.627,3.094,13.105,5.094,3.094,127.851,7,10.16,6.062,4.663,4.302,4.663,4.302,47.987,7.663,3.007,4.663,18.94,0.696,10.604,8.427,1.6,3.806,12.943,14.046,15.112,16.21,17.295,2.631,9.951,0.879,2.5,5.012,11.416
6.301,3.979,6.195,6.551,19.5,32.925,7.288,7.657,3.524,4.074,6.871,3.989,92.478,3.715,3.853,37.75,7.688,3.188,4.878,5.416,5.887,3.083,2.286,153.905,6.283,1.0,0.52,18.513,2.98,12.676,4.98,2.98,127.851,6,10.077,5.51,4.662,4.196,4.662,4.196,47.526,7.662,2.793,4.662,17.406,0.696,10.423,8.336,1.584,3.625,12.662,13.738,14.766,15.833,16.879,2.63,9.64,0.88,2.5,4.999,11.315
