pXC50,H.050,nHDon,CATS2D_08_DA,ATSC8s,Hy,CATS2D_08_AP,Eig10_EA.bo.,Eig11_EA.bo.,DLS_07,P_VSA_MR_5,ATS8s,DBI,PHI,Eig13_EA.bo.,GGI9,CATS2D_09_DL,CATS2D_02_DP,GGI8,S2K,Uindex,CATS2D_09_DA,CATS2D_03_DA,Eig04_EA.dm.,RBN,Eig04_AEA.dm.,Eig06_AEA.dm.,S3K,BAC,SAdon,Eig05_EA.dm.,Eig09_EA.dm.,CATS2D_02_DA,IC3,GGI10,DLS_02,TPSA.NO.,TPSA.Tot.,TIE,IAC,IDDE,TIC0,LLS_02,Eig08_EA.dm.,ON0V,SpMax6_Bh.v.,SpMin6_Bh.i.,SpMin6_Bh.p.,SpMin6_Bh.v.,SsNH2,Eig07_EA.dm.,S1K,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin7_Bh.p.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.v.,TIC2,VvdwZAZ,ATSC5s,SpMin6_Bh.e.,Chi1_EA.ed.,Eig09_EA.bo.,Eig10_EA.dm.,Eig11_EA.dm.,Eta_F,Eta_FL
4.262,1,1,0,36.5,-0.405,0,1.507,1.216,1.0,25.922,5.638,3.391,5.546,0.575,0.259,1,0,0.267,8.26,44.594,0,0,0.0,5,2.765,2.278,3.727,27.0,42.683,0.0,0.0,1,5.325,0.21,1.0,68.65,68.65,52.007,74.342,4.651,74.342,1.0,0.0,10.067,3.076,1.179,1.514,1.507,0.0,0.0,19.471,3.172,3.238,3.083,3.119,1.355,0.995,0.958,1.226,251.262,361.38,66.542,1.237,5.398,2.042,0.0,0.0,29.655,7.48
4.262,2,2,0,32.099,0.175,0,1.5,1.349,1.0,30.303,5.353,2.345,4.715,0.73,0.091,3,0,0.211,7.461,38.191,0,0,0.0,5,2.476,1.636,3.659,2.0,59.346,0.0,0.0,0,4.681,0.065,1.0,58.14,58.14,34.996,63.049,4.316,63.049,1.0,0.0,7.733,2.752,1.073,1.365,1.38,0.0,0.0,16.431,2.854,2.925,2.854,2.925,1.141,0.886,0.821,1.107,167.845,306.66,38.477,1.144,5.268,1.5,0.0,0.0,27.207,8.008
4.252,2,2,0,24.977,0.378,0,0.689,-0.029,1.0,55.088,4.951,3.0,4.811,-0.871,0.045,0,0,0.092,6.989,32.533,0,0,0.0,4,2.319,1.534,4.006,2.0,36.022,0.0,0.0,2,4.824,0.062,1.0,66.91,95.15,27.763,64.469,4.202,64.469,1.0,0.0,6.817,2.839,0.99,1.228,1.262,0.0,0.0,14.456,2.918,2.994,2.812,2.871,1.169,0.755,0.707,0.983,169.866,264.64,34.861,1.078,4.293,1.022,0.0,0.0,14.15,4.378
4.262,0,0,0,15.389,-0.787,0,0.72,-0.179,1.0,15.562,4.29,2.449,2.366,-0.958,0.016,0,0,0.033,4.104,25.849,0,0,0.0,2,2.47,1.678,1.47,7.0,0.0,0.0,0.0,0,4.543,0.0,1.0,52.33,52.33,28.476,46.771,3.984,46.771,1.0,0.0,6.2,2.696,0.831,1.107,1.089,0.0,0.0,11.533,2.608,2.666,2.516,2.565,0.925,0.585,0.542,0.844,127.315,219.47,48.444,0.867,3.76,1.186,0.0,0.0,19.37,5.756
5.172,0,0,0,43.688,-0.817,0,1.871,1.657,1.0,34.856,5.814,3.162,5.145,1.501,0.305,0,0,0.403,8.094,45.378,0,0,0.8,3,3.289,2.719,3.362,26.0,0.0,0.314,0.0,0,4.937,0.177,0.67,60.93,60.93,71.833,91.571,4.536,91.571,0.88,0.0,11.933,3.058,1.204,1.49,1.477,0.0,0.0,21.613,3.177,3.258,3.111,3.206,1.421,1.181,1.122,1.433,281.407,429.97,100.328,1.24,6.071,2.033,0.0,0.0,32.899,7.62
4.262,2,2,0,42.055,0.278,0,0.693,0.521,1.0,65.735,5.365,3.391,4.315,-0.366,0.156,1,0,0.131,6.555,36.872,0,1,0.0,4,2.842,1.861,3.203,11.0,59.469,0.0,0.0,1,4.86,0.045,1.0,81.93,81.93,37.856,59.004,4.089,59.004,1.0,0.0,7.183,2.903,0.943,1.247,1.218,0.0,0.0,15.142,2.91,2.977,2.829,2.88,1.123,0.81,0.749,1.036,160.666,274.36,52.166,0.996,4.314,1.621,0.0,0.0,23.116,6.848
4.263,2,2,0,34.885,0.194,0,1.311,1.0,1.0,93.374,5.742,4.0,8.86,0.698,0.197,4,0,0.233,11.36,52.478,0,0,0.4,10,2.754,2.21,6.455,18.0,36.022,0.149,0.0,1,5.179,0.123,0.67,62.72,62.72,68.034,92.798,4.72,92.798,0.88,0.0,11.093,3.115,1.211,1.536,1.551,0.0,0.0,22.616,3.142,3.232,3.111,3.206,1.435,1.153,1.064,1.429,273.549,415.14,70.105,1.28,5.803,1.466,0.0,0.0,15.868,4.191
4.262,1,1,0,10.685,-0.371,0,-0.725,-1.127,1.0,18.011,4.399,2.236,2.503,-1.5,0.023,0,0,0.032,4.153,23.796,0,1,0.0,3,2.123,1.323,2.126,2.0,18.011,0.0,0.0,0,3.923,0.0,1.0,39.01,39.01,22.595,40.498,3.617,40.498,1.0,0.0,5.167,2.715,0.821,1.062,1.107,0.0,0.0,10.246,2.701,2.771,2.448,2.489,0.951,0.473,0.362,0.801,92.478,210.49,25.349,0.886,3.438,-0.166,0.0,0.0,14.072,4.861
4.262,2,2,0,27.117,0.331,0,0.521,0.109,1.0,21.258,4.771,2.0,2.59,-0.866,0.051,2,0,0.137,4.466,27.972,0,1,0.0,1,2.365,1.701,1.921,5.0,59.469,0.0,0.0,1,4.801,0.025,1.0,79.12,79.12,30.171,49.606,4.011,49.606,1.0,0.0,5.65,2.77,0.888,1.127,1.129,0.0,0.0,12.179,2.748,2.758,2.567,2.596,0.933,0.604,0.592,0.877,129.174,227.83,53.38,0.908,3.973,1.343,0.0,0.0,21.657,6.479
4.262,3,3,1,109.869,0.999,0,1.574,1.261,1.0,69.127,5.99,4.301,6.416,0.483,0.34,1,0,0.397,8.838,55.228,2,0,1.058,4,3.351,2.584,5.375,54.0,54.032,0.86,0.0,5,5.267,0.215,1.0,99.77,99.77,95.185,90.113,4.482,90.113,1.0,0.0,8.629,3.033,1.103,1.483,1.439,0.0,0.106,21.779,3.103,3.164,2.902,2.935,1.378,0.932,0.871,1.208,217.904,351.99,153.235,1.166,5.239,1.622,0.0,0.0,35.628,8.172
4.262,3,3,1,45.365,1.075,0,0.316,-0.171,1.0,49.439,5.352,3.536,6.532,-0.768,0.147,0,0,0.148,8.403,45.626,0,1,0.159,4,2.963,2.35,5.914,26.0,78.705,0.0,0.0,1,4.787,0.083,1.0,70.59,102.68,46.703,70.063,3.708,70.063,1.0,0.0,6.926,2.793,0.821,1.066,1.107,0.0,0.0,17.88,2.854,2.925,2.762,2.799,1.062,0.748,0.717,0.926,164.26,303.88,47.048,0.886,4.293,0.755,0.0,0.0,20.599,6.057
4.262,1,1,0,26.778,-0.369,0,1.188,0.658,1.0,5.23,4.919,2.345,3.085,-0.518,0.078,2,0,0.135,5.13,31.651,0,0,0.0,2,2.728,1.842,2.083,10.0,42.683,0.0,0.0,0,4.503,0.025,1.0,59.3,59.3,44.54,52.546,3.969,52.546,1.0,0.0,6.567,2.729,0.821,1.069,1.107,0.0,0.0,13.83,2.854,2.915,2.753,2.794,1.062,0.721,0.671,0.945,132.898,266.09,35.467,0.886,4.295,1.5,0.0,0.0,25.289,6.921
4.892,0,0,0,38.081,-0.785,0,1.5,1.461,1.0,45.115,5.73,4.848,8.002,0.602,0.176,0,0,0.419,10.452,65.739,0,0,0.8,8,2.982,2.475,6.482,54.0,0.0,0.768,0.0,0,4.717,0.157,1.0,73.64,73.64,81.576,81.116,4.513,81.116,1.0,0.0,11.017,3.119,1.235,1.539,1.556,0.0,0.0,22.201,2.967,3.054,2.939,3.009,1.239,0.934,0.821,1.275,231.441,390.27,85.129,1.318,5.213,1.5,0.0,0.0,31.867,7.909
4.262,2,2,1,40.641,0.177,0,1.936,1.605,1.0,44.582,5.761,2.739,4.603,1.5,0.231,2,0,0.256,7.754,41.308,1,0,0.122,5,2.778,2.368,3.434,2.0,34.796,0.0,0.0,2,5.555,0.167,0.83,87.05,87.05,43.251,78.877,4.563,78.877,0.88,0.0,9.183,3.176,1.248,1.572,1.539,0.0,0.0,18.995,3.027,3.079,2.934,2.994,1.474,1.061,1.035,1.249,243.24,350.66,51.346,1.308,6.376,2.264,0.0,0.0,36.522,9.704
5.392,0,0,0,43.954,-0.722,0,1.191,1.0,1.0,23.677,5.548,3.162,4.657,-0.025,0.169,0,0,0.292,6.822,37.878,0,0,0.0,3,2.802,2.258,3.133,17.0,0.0,0.0,0.0,0,4.855,0.031,1.0,59.38,96.0,56.025,78.18,3.892,78.18,1.0,0.0,8.567,2.921,1.064,1.376,1.429,0.0,0.0,17.749,3.087,3.148,2.865,2.95,1.281,0.871,0.845,1.151,198.168,332.93,107.12,1.153,4.728,1.655,0.0,0.0,24.908,5.989
4.372,3,3,2,94.504,0.822,0,1.77,1.5,1.0,40.026,6.194,4.416,6.172,1.418,0.388,7,0,0.476,9.185,51.553,0,2,0.14,6,3.354,2.218,4.647,30.0,78.705,0.0,0.0,3,5.141,0.291,1.0,100.43,100.43,66.342,82.49,4.75,82.49,1.0,0.0,9.733,3.143,1.216,1.515,1.522,0.0,0.0,21.503,3.193,3.198,3.012,3.057,1.337,1.013,0.975,1.176,229.441,381.86,121.604,1.279,6.069,2.111,0.0,0.0,38.465,9.325
4.501,0,0,0,22.378,-0.772,0,1.0,0.225,1.0,30.342,5.064,2.55,4.061,-0.298,0.121,0,0,0.157,6.197,31.963,0,0,0.0,2,2.569,2.107,2.87,5.0,0.0,0.0,0.0,0,4.496,0.062,1.0,36.44,36.44,33.385,67.077,4.263,67.077,1.0,0.0,7.66,2.91,0.988,1.326,1.296,0.0,0.0,15.071,2.952,2.996,2.683,2.742,1.104,0.676,0.638,0.967,175.82,289.88,38.687,1.04,4.329,1.052,0.0,0.0,17.331,4.96
5.343,1,1,0,42.634,-0.26,0,0.334,-0.056,1.0,50.867,5.302,3.082,4.883,-0.455,0.196,0,0,0.239,6.77,39.435,0,1,0.0,3,3.144,2.393,3.625,37.0,18.011,0.0,0.0,1,4.765,0.139,1.0,63.99,92.23,46.712,72.635,4.085,72.635,1.0,0.0,8.376,2.963,1.01,1.317,1.308,0.0,0.0,17.308,2.893,2.963,2.766,2.826,1.176,0.768,0.743,1.001,172.348,311.03,75.618,1.063,4.217,1.392,0.0,0.0,20.255,5.798
4.913,3,2,0,45.274,0.848,0,2.069,2.036,1.0,18.156,6.021,2.915,6.038,1.627,0.354,2,0,0.509,9.3,51.917,2,1,0.0,4,3.14,2.643,4.278,26.0,60.694,0.0,0.0,1,5.24,0.297,0.67,122.89,161.69,72.56,92.16,4.844,92.16,0.63,0.0,9.983,3.129,1.184,1.462,1.477,0.0,0.0,22.726,3.131,3.206,2.984,3.015,1.355,0.928,0.898,1.128,242.407,406.94,71.235,1.239,6.515,2.12,0.0,0.0,46.023,10.728
4.262,1,1,1,135.787,-0.322,0,1.596,1.5,1.0,54.412,6.163,4.416,7.375,1.045,0.222,1,0,0.278,10.249,54.905,0,0,0.555,7,3.022,2.512,5.753,27.0,16.405,0.555,0.0,2,5.223,0.168,0.83,90.03,98.41,82.481,103.323,4.476,103.323,0.88,0.0,11.35,3.236,1.376,1.572,1.602,0.0,0.0,23.745,3.244,3.311,3.156,3.221,1.484,1.153,1.083,1.429,280.039,429.07,105.287,1.388,6.058,1.99,0.0,0.0,32.354,7.76
5.059,2,2,0,17.573,0.429,0,-0.667,-0.917,1.0,80.792,4.681,3.082,4.06,-1.397,0.07,2,0,0.103,5.744,31.067,0,0,0.0,3,2.478,1.646,3.155,16.0,32.897,0.0,0.0,1,4.317,0.037,1.0,83.26,83.26,30.87,53.001,3.725,53.001,1.0,0.0,5.817,2.764,0.843,1.256,1.236,5.063,0.0,12.722,2.698,2.778,2.311,2.361,1.114,0.418,0.335,0.731,134.955,232.58,49.39,0.922,3.382,0.509,0.0,0.0,14.087,4.218
4.937,3,3,2,89.201,1.032,0,0.607,0.075,1.0,51.176,5.621,3.536,5.639,-0.707,0.107,1,0,0.172,7.683,45.441,0,0,0.0,4,2.963,2.359,4.749,27.0,103.377,0.0,0.0,1,4.781,0.115,1.0,93.35,93.35,59.996,61.77,4.176,61.77,1.0,0.0,6.326,2.745,0.834,1.111,1.107,0.0,0.0,16.883,2.9,2.925,2.854,2.92,1.062,0.757,0.725,0.98,154.466,293.32,51.669,0.883,4.152,0.831,0.0,0.0,24.324,6.746
4.611,2,2,0,35.658,0.429,0,-0.7,-1.136,1.0,0.0,5.07,2.646,3.581,-1.5,0.101,2,0,0.151,5.32,31.082,0,0,0.0,3,2.327,1.314,3.083,11.0,85.367,0.0,0.0,1,4.352,0.012,1.0,82.25,82.25,31.842,46.526,3.503,46.526,1.0,0.0,4.883,2.689,0.767,1.031,1.038,0.0,0.0,12.115,2.651,2.705,2.328,2.402,0.891,0.161,0.067,0.619,97.851,214.19,49.076,0.811,3.417,-0.11,0.0,0.0,17.956,5.686
4.855,1,1,0,19.889,-0.197,0,0.468,-0.287,1.0,48.017,4.972,3.082,4.928,-0.974,0.131,2,0,0.249,6.515,39.299,0,0,0.8,4,3.109,1.751,3.231,42.0,18.011,0.113,0.0,2,4.399,0.058,1.0,71.24,103.33,46.746,67.122,4.011,67.122,1.0,0.0,7.817,2.9,1.042,1.417,1.386,0.0,0.0,15.887,2.764,2.807,2.687,2.765,1.142,0.616,0.603,0.946,163.157,277.18,54.694,1.097,3.473,0.618,0.0,0.0,18.455,4.96
4.593,0,0,0,68.158,-0.792,0,1.523,1.5,1.0,19.787,5.966,2.828,4.441,1.5,0.085,0,0,0.197,7.272,41.083,0,0,0.483,4,3.129,2.473,2.945,10.0,0.0,0.253,0.0,0,4.293,0.049,1.0,70.05,70.05,64.8,72.03,4.44,72.03,0.88,0.0,8.517,2.889,1.143,1.427,1.368,0.0,0.0,18.323,2.925,2.925,2.854,2.925,1.113,0.886,0.821,1.107,161.933,354.31,89.189,1.166,5.848,1.97,0.0,0.0,36.522,8.971
4.73,0,0,0,26.05,-0.74,0,1.0,0.927,1.0,22.739,5.106,2.55,4.167,-0.294,0.131,0,0,0.171,6.458,33.987,0,0,0.0,2,2.55,2.099,3.027,5.0,0.0,0.0,0.0,0,4.622,0.069,1.0,49.58,49.58,33.235,67.064,4.168,67.064,1.0,0.0,7.243,2.91,1.064,1.376,1.429,0.0,0.0,15.486,2.953,2.995,2.683,2.736,1.205,0.777,0.707,1.064,165.367,282.49,49.589,1.153,4.577,1.156,0.0,0.0,22.105,6.524
4.521,2,2,0,51.488,0.267,0,1.5,1.499,1.0,40.026,5.727,2.828,4.602,0.372,0.146,4,0,0.363,7.065,39.958,1,0,0.636,3,3.193,2.72,3.181,19.0,60.694,0.484,0.0,1,5.059,0.099,1.0,87.45,115.69,53.102,71.926,4.459,71.926,1.0,0.0,7.6,2.878,1.031,1.295,1.277,0.0,0.0,17.588,2.893,2.954,2.854,2.925,1.105,0.867,0.821,1.103,190.477,332.16,74.176,1.062,5.059,1.872,0.0,0.0,29.235,7.608
4.262,0,0,0,16.279,-0.856,0,-0.671,-0.991,1.0,5.069,3.676,2.0,2.047,-1.846,0.0,0,0,0.0,3.428,21.533,0,0,0.0,1,2.201,1.319,1.307,6.0,0.0,0.0,0.0,0,4.495,0.0,1.0,26.3,26.3,20.355,36.283,3.406,36.283,1.0,0.0,5.5,2.608,0.705,0.937,0.968,0.0,0.0,9.556,2.648,2.702,2.213,2.287,0.809,0.186,0.103,0.538,110.241,193.62,20.008,0.75,2.875,-0.427,0.0,0.0,13.147,4.304
4.252,2,2,1,40.87,0.337,0,0.064,-0.292,1.0,76.15,5.336,4.123,6.493,-0.725,0.179,1,0,0.234,8.188,48.832,0,1,0.8,4,3.048,2.598,6.624,43.0,36.022,0.162,0.0,3,4.486,0.12,1.0,64.68,64.68,56.456,79.538,3.918,79.538,1.0,0.0,9.46,2.91,1.006,1.376,1.364,0.0,0.0,19.032,2.915,3.009,2.875,3.009,1.239,0.934,0.804,1.308,203.837,330.63,90.284,1.064,4.305,1.0,0.0,0.0,18.276,4.963
5.398,0,0,0,44.055,-0.817,0,1.869,1.657,1.0,43.682,5.856,3.082,6.075,1.443,0.285,0,0,0.444,9.035,50.221,0,0,0.8,3,3.288,2.714,4.0,37.0,0.0,0.314,0.0,0,5.157,0.168,0.83,60.93,60.93,78.089,93.758,4.83,93.758,0.88,0.0,12.6,3.092,1.161,1.454,1.475,0.0,0.0,22.862,3.232,3.291,3.177,3.258,1.42,1.182,1.121,1.435,300.783,442.33,105.871,1.223,6.029,2.032,0.0,0.0,33.363,7.647
4.262,0,0,0,46.137,-0.617,0,0.618,-0.375,1.0,49.247,5.543,5.244,7.454,-0.895,0.109,0,0,0.383,8.651,66.38,0,0,0.599,9,3.146,1.983,6.585,82.0,0.0,0.359,0.0,0,4.376,0.07,1.0,93.22,101.6,110.351,81.926,3.804,81.926,1.0,0.0,9.65,2.905,1.11,1.449,1.429,0.0,0.0,20.681,2.958,3.009,2.874,3.009,1.239,0.934,0.804,1.308,192.039,338.39,124.478,1.162,4.078,0.625,0.0,0.0,21.358,4.678
4.262,1,1,0,57.398,-0.244,0,-0.166,-0.592,1.0,29.761,5.275,3.391,5.182,-1.086,0.121,2,0,0.175,6.9,39.403,0,0,0.0,6,2.771,2.206,4.177,33.0,42.683,0.0,0.0,1,4.629,0.062,1.0,80.4,99.61,48.075,63.331,3.916,63.331,1.0,0.0,7.4,2.781,0.918,1.215,1.208,0.0,0.0,15.772,2.854,2.925,2.692,2.746,1.062,0.603,0.583,0.942,167.911,270.37,60.484,0.954,3.791,0.547,0.0,0.0,17.764,5.018
4.262,2,2,1,89.772,0.393,0,0.0,-0.138,1.0,59.685,5.689,3.808,5.393,-1.06,0.082,0,0,0.09,7.275,42.521,0,0,0.0,6,2.522,1.604,5.022,19.0,34.416,0.0,0.0,3,4.805,0.049,1.0,88.16,96.54,52.869,68.531,3.538,68.531,1.0,0.0,7.033,2.715,0.821,1.068,1.107,0.0,0.0,16.308,2.815,2.904,2.77,2.86,1.062,0.729,0.645,1.036,171.724,280.94,72.733,0.886,4.129,1.196,0.0,0.0,21.748,6.047
4.609,1,1,0,120.587,-0.352,0,1.698,1.596,1.0,50.146,5.967,4.359,6.702,1.211,0.303,1,0,0.501,9.368,54.254,0,1,0.4,5,3.009,2.252,5.692,41.0,18.011,0.0,0.0,0,4.925,0.277,0.67,15.27,15.27,92.13,88.829,4.332,88.829,0.75,0.0,9.974,3.179,1.219,1.532,1.495,0.0,0.0,23.607,3.259,3.328,3.086,3.163,1.455,1.034,0.967,1.286,233.481,396.22,143.696,1.284,5.937,1.904,0.0,0.0,33.74,7.536
4.644,1,1,0,17.689,-0.37,0,-0.222,-0.525,1.0,34.436,4.908,2.646,3.473,-1.183,0.051,0,0,0.129,5.275,29.979,0,0,0.0,2,2.175,1.565,2.585,10.0,42.683,0.0,0.0,0,4.722,0.025,1.0,32.59,60.83,26.357,51.435,4.222,51.435,1.0,0.0,6.983,2.81,0.942,1.066,1.097,0.0,0.0,13.166,2.852,2.93,2.505,2.609,1.029,0.71,0.651,0.931,135.26,250.06,27.846,0.956,3.761,0.938,0.0,0.0,17.055,5.427
5.153,2,2,0,28.597,0.348,0,0.951,0.077,1.0,11.192,5.028,2.828,3.709,-0.859,0.172,1,0,0.163,5.82,34.616,0,1,0.0,3,2.456,1.827,2.914,11.0,85.367,0.0,0.0,1,4.802,0.095,1.0,95.14,95.14,37.839,54.901,3.698,54.901,1.0,0.0,5.917,2.715,0.821,1.062,1.107,0.0,0.0,14.021,2.803,2.848,2.715,2.764,1.016,0.61,0.554,0.91,134.465,248.55,53.007,0.886,4.114,1.5,0.0,0.0,23.772,6.988
4.718,0,0,0,173.804,-0.683,0,1.475,1.331,1.0,41.772,6.073,4.123,6.437,0.54,0.261,0,0,0.267,8.833,52.963,0,0,0.933,5,3.1,2.349,5.483,41.0,0.0,0.8,0.0,0,4.808,0.173,1.0,62.74,62.74,78.015,87.979,4.116,87.979,1.0,0.0,9.112,2.994,1.064,1.392,1.429,0.0,0.0,21.132,3.111,3.206,2.912,2.967,1.376,0.849,0.799,1.096,216.101,352.14,134.602,1.153,5.115,1.5,0.0,0.0,29.681,7.387
5.088,1,1,0,36.107,-0.134,0,-1.012,-1.518,1.0,28.31,4.717,2.121,3.361,-2.0,0.0,0,0,0.031,4.576,23.735,0,0,0.524,1,3.136,1.675,2.551,10.0,18.011,0.172,0.0,1,4.357,0.0,1.0,36.1,96.43,20.362,48.143,3.64,48.143,1.0,0.0,5.117,2.45,0.576,0.851,0.907,0.0,0.0,11.018,2.447,2.534,2.03,2.188,0.514,0.063,0.0,0.476,115.627,214.09,19.981,0.646,2.731,-0.819,0.0,0.0,8.386,2.811
4.536,0,0,0,44.673,-0.817,1,1.692,1.5,1.0,47.148,6.009,4.0,8.074,1.143,0.51,0,0,0.503,11.024,56.643,0,0,0.404,9,2.955,2.329,5.728,41.0,0.0,0.0,0.0,0,4.955,0.26,0.83,53.57,53.57,67.823,99.276,4.852,99.276,0.88,0.0,14.117,3.24,1.311,1.611,1.599,0.0,0.0,24.902,3.273,3.329,3.167,3.259,1.521,1.195,1.104,1.483,325.573,448.18,73.881,1.352,6.22,2.019,0.0,0.0,29.225,6.885
4.262,1,1,1,63.514,-0.302,0,1.29,1.052,0.5,81.815,5.824,4.583,10.093,0.368,0.155,0,0,0.251,12.559,65.96,2,1,0.8,13,2.828,2.124,7.751,49.0,18.011,0.586,0.0,1,4.898,0.127,0.83,99.75,99.75,88.263,93.536,4.375,93.536,0.88,0.0,11.183,3.162,1.25,1.661,1.596,0.0,0.0,23.306,3.311,3.395,3.121,3.182,1.519,1.099,1.055,1.378,266.291,399.56,56.421,1.307,5.735,1.532,0.0,0.0,22.338,5.549
4.262,1,1,1,50.014,-0.392,0,1.964,1.5,1.0,72.238,6.069,3.464,7.618,0.793,0.426,2,0,0.587,10.643,56.39,0,0,0.86,8,3.016,2.638,5.328,46.0,31.672,0.86,0.0,1,4.885,0.309,0.67,69.36,94.66,57.01,97.795,4.359,97.795,0.75,0.12,13.067,3.07,1.169,1.524,1.54,0.0,0.393,24.336,3.253,3.318,3.199,3.26,1.522,1.186,1.112,1.44,276.49,442.36,50.321,1.227,6.056,2.045,0.0,0.0,36.111,8.848
5.155,1,1,0,29.153,-0.31,0,1.477,-0.252,1.0,53.978,5.134,2.55,3.996,-0.698,0.08,0,0,0.128,6.253,34.525,0,0,0.0,3,2.405,1.776,3.422,5.0,18.011,0.0,0.0,2,4.927,0.049,1.0,67.77,67.77,29.567,55.327,4.278,55.327,1.0,0.0,6.85,2.817,0.883,1.072,1.101,0.0,0.0,14.059,2.754,2.839,2.746,2.829,0.969,0.705,0.62,0.976,152.956,259.27,25.959,0.93,4.366,1.5,0.0,0.0,22.816,6.953
5.131,1,1,0,25.528,-0.31,0,1.477,-0.252,1.0,53.978,5.092,2.55,3.996,-0.698,0.08,0,0,0.128,6.253,34.525,0,0,0.0,3,2.405,1.776,3.422,5.0,18.011,0.0,0.0,2,4.739,0.049,1.0,67.77,67.77,29.395,55.327,4.278,55.327,1.0,0.0,6.85,2.723,0.821,1.062,1.107,0.0,0.0,14.059,2.854,2.923,2.748,2.83,1.011,0.712,0.63,0.978,150.201,259.27,30.484,0.886,4.366,1.5,0.0,0.0,22.805,6.953
4.48,1,1,0,14.097,-0.284,0,1.0,0.324,1.0,47.997,4.901,2.55,5.306,-0.629,0.159,0,0,0.167,7.427,37.075,0,1,0.8,4,2.551,2.063,3.737,12.0,18.011,0.214,0.0,1,4.624,0.11,1.0,50.26,82.35,35.951,71.735,4.089,71.735,1.0,0.0,8.067,2.91,1.064,1.376,1.429,0.0,0.0,16.43,2.859,2.942,2.854,2.925,1.131,0.867,0.821,1.107,193.95,307.93,37.133,1.153,4.4,1.198,0.0,0.0,18.154,5.12
4.262,5,5,3,137.01,2.846,0,0.907,0.172,0.5,72.057,5.911,4.062,6.473,-0.811,0.116,0,0,0.239,8.356,44.839,2,2,0.522,7,2.694,1.769,4.717,35.0,136.275,0.4,0.0,1,4.87,0.033,0.83,146.6,146.6,69.113,77.41,4.176,77.41,1.0,0.0,7.367,2.91,0.986,1.344,1.315,5.685,0.0,17.816,2.954,3.019,2.83,2.949,1.303,0.771,0.702,1.154,209.133,288.44,102.309,1.041,4.24,1.0,0.0,0.0,18.572,4.666
4.262,1,1,0,31.604,-0.383,0,0.739,0.694,1.0,35.124,5.373,3.317,5.08,-0.206,0.132,1,0,0.225,7.25,39.085,0,0,0.0,7,2.422,1.828,3.031,30.0,18.011,0.0,0.0,0,4.595,0.029,1.0,51.1,51.1,50.413,67.601,3.97,67.601,1.0,0.0,9.2,2.973,1.109,1.457,1.492,0.0,0.0,16.819,3.044,3.126,2.905,2.904,1.29,0.772,0.761,1.058,194.959,316.78,47.258,1.205,4.643,1.234,0.0,0.0,20.671,5.09
5.15,4,4,0,59.842,1.942,0,0.119,-0.225,1.0,0.0,5.522,4.123,5.697,-1.171,0.209,0,0,0.436,7.079,48.413,4,0,0.0,5,3.831,2.603,4.994,69.0,65.794,0.0,0.0,0,3.884,0.223,1.0,120.32,187.68,79.491,77.574,3.022,77.574,0.88,0.0,7.5,2.697,0.803,1.241,1.254,11.756,0.0,19.314,2.942,2.974,2.804,2.863,1.024,0.825,0.772,1.033,145.858,319.6,76.648,0.903,3.843,0.831,0.0,0.0,25.759,5.944
4.263,2,2,0,17.404,0.431,0,-0.929,-1.494,1.0,47.036,3.75,1.732,1.78,-1.891,0.0,0,0,0.0,3.023,19.82,0,1,0.0,0,1.995,1.41,1.243,5.0,59.469,0.0,0.0,0,4.431,0.0,0.83,48.38,48.38,15.733,40.343,3.507,40.343,1.0,0.0,5.15,2.251,0.633,0.917,0.952,0.0,0.0,8.834,2.446,2.501,2.101,2.226,0.785,0.021,0.0,0.57,114.872,174.87,16.094,0.701,2.774,-0.583,0.0,0.0,11.065,3.877
4.262,3,3,0,43.387,1.084,0,0.668,0.521,1.0,65.53,5.288,3.082,4.114,-0.127,0.131,4,0,0.357,6.297,36.021,0,0,1.004,5,3.299,2.854,3.205,17.0,50.908,0.624,0.0,4,4.875,0.167,1.0,123.98,149.28,55.577,72.828,4.244,72.828,1.0,0.0,6.983,2.802,0.992,1.373,1.339,5.931,0.0,16.332,2.94,2.949,2.893,2.928,1.275,0.901,0.861,1.084,182.131,290.67,127.64,1.046,4.538,2.003,0.0,0.0,23.535,6.1
4.509,1,1,0,121.119,-0.302,0,1.31,1.0,1.0,62.819,5.843,4.243,7.172,0.092,0.277,1,0,0.436,9.269,52.32,0,1,0.4,5,2.753,2.038,6.364,41.0,18.011,0.0,0.0,0,4.679,0.289,0.83,15.27,15.27,94.863,88.12,3.909,88.12,0.88,0.0,9.724,3.142,1.151,1.532,1.429,0.0,0.0,22.439,3.111,3.206,3.086,3.164,1.376,1.058,0.969,1.339,227.681,374.38,135.48,1.179,5.246,1.486,0.0,0.0,21.248,4.332
4.262,3,3,0,62.389,0.812,0,1.216,1.037,0.5,106.036,6.082,5.05,11.356,0.496,0.261,3,0,0.436,13.455,72.918,0,0,0.4,13,2.624,2.02,10.379,50.0,54.032,0.0,0.0,0,5.059,0.269,0.67,36.09,36.09,101.169,99.774,4.349,99.774,0.75,0.0,13.095,3.157,1.255,1.607,1.626,0.0,0.0,26.164,3.299,3.378,3.213,3.285,1.507,1.153,1.064,1.429,320.515,448.73,64.288,1.339,5.928,1.441,0.0,0.0,17.612,3.985
