pXC50,N.,nH,Si,nAT,Se,nN,nBT,H.,Sp,AMW,nCsp3,Sv,Mp,nAB,RBN,RBF,Mv,Me,nDB,nBM,nHet,nC
9.046,4.3,20,52.455,47,47.342,2,49,42.6,33.25,8.581,6,31.395,0.707,17,9,0.184,0.668,1.007,1,18,6,21
8.886,3.8,24,59.321,53,53.309,2,55,45.3,35.853,7.784,7,33.884,0.676,17,10,0.182,0.639,1.006,3,20,7,22
8.174,3.1,34,73.059,65,63.996,2,67,52.3,42.103,6.44,12,38.901,0.648,17,14,0.209,0.598,0.985,1,18,4,27
7.602,4.1,20,54.362,49,49.138,2,52,40.8,34.228,7.846,3,32.928,0.699,23,8,0.154,0.672,1.003,1,24,5,24
5.678,4.3,18,52.156,47,47.582,2,50,38.3,32.921,8.222,2,32.116,0.7,23,8,0.16,0.683,1.012,1,24,6,23
8.699,4.1,20,54.362,49,49.138,2,52,40.8,34.228,7.846,3,32.928,0.699,23,8,0.154,0.672,1.003,1,24,5,24
8.367,4.5,20,49.072,44,43.887,2,46,45.5,30.421,7.738,6,28.401,0.691,16,9,0.196,0.645,0.997,1,17,5,19
8.292,4.5,20,49.072,44,43.887,2,46,45.5,30.421,7.738,6,28.401,0.691,16,9,0.196,0.645,0.997,1,17,5,19
7.959,3.8,24,58.983,53,52.578,2,56,45.3,36.296,7.255,6,34.267,0.685,22,9,0.161,0.647,0.992,1,23,4,25
6.921,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
8.584,4.3,18,50.946,46,46.254,2,49,39.1,32.466,8.053,2,31.402,0.706,23,7,0.143,0.683,1.006,1,24,5,23
8.699,6.4,19,52.235,47,47.029,3,50,40.4,33.017,7.861,2,31.708,0.702,23,7,0.14,0.675,1.001,1,24,5,23
8.495,4.2,20,53.152,48,47.811,2,51,41.7,33.773,7.676,3,32.214,0.704,23,7,0.137,0.671,0.996,1,24,4,24
7.495,6.5,21,51.651,46,45.912,3,48,45.7,30.779,7.292,6,29.235,0.669,17,9,0.188,0.636,0.998,1,18,5,20
8.523,4.0,24,55.983,50,49.578,2,52,48.0,33.296,6.97,7,31.267,0.666,17,9,0.173,0.625,0.992,1,18,4,22
8.553,4.0,24,55.983,50,49.578,2,52,48.0,33.296,6.97,7,31.267,0.666,17,9,0.173,0.625,0.992,1,18,4,22
8.237,3.9,24,57.192,51,50.905,2,53,47.1,33.75,7.147,7,31.982,0.662,17,10,0.189,0.627,0.998,1,18,5,22
9.14,4.4,18,49.737,45,44.927,2,48,40.0,32.012,7.876,2,30.687,0.711,23,6,0.125,0.682,0.998,1,24,4,23
8.602,3.9,24,57.192,51,50.905,2,53,47.1,33.75,7.147,7,31.982,0.662,17,10,0.189,0.627,0.998,1,18,5,22
7.523,6.1,23,55.066,49,48.796,3,51,46.9,32.54,7.132,6,30.762,0.664,17,9,0.176,0.628,0.996,1,18,5,21
8.523,6.1,23,55.066,49,48.796,3,51,46.9,32.54,7.132,6,30.762,0.664,17,9,0.176,0.628,0.996,1,18,5,21
8.77,4.3,21,52.907,47,47.207,2,49,44.7,31.472,7.499,6,30.124,0.67,17,9,0.184,0.641,1.004,1,18,5,21
8.252,4.7,31,72.145,64,63.985,3,66,48.4,41.495,7.025,10,39.299,0.648,17,12,0.182,0.614,1.0,2,19,7,26
8.658,4.3,21,52.907,47,47.207,2,49,44.7,31.472,7.499,6,30.124,0.67,17,9,0.184,0.641,1.004,1,18,5,21
6.523,7.1,17,46.82,42,42.145,3,44,40.5,29.256,7.89,4,28.181,0.697,17,6,0.136,0.671,1.003,1,19,5,20
6.824,7.1,17,46.82,42,42.145,3,44,40.5,29.256,7.89,4,28.181,0.697,17,6,0.136,0.671,1.003,1,19,5,20
7.921,5.0,27,67.315,60,60.218,3,62,45.0,39.972,7.426,8,38.245,0.666,17,9,0.145,0.637,1.004,2,20,7,26
8.097,4.7,17,48.077,43,43.44,2,45,39.5,29.949,8.102,4,29.07,0.696,17,6,0.133,0.676,1.01,1,19,5,21
8.495,4.7,17,48.077,43,43.44,2,45,39.5,29.949,8.102,4,29.07,0.696,17,6,0.133,0.676,1.01,1,19,5,21
6.222,4.0,22,55.986,50,50.349,2,52,44.0,33.443,7.569,6,32.17,0.669,17,10,0.192,0.643,1.007,2,19,6,22
8.721,4.3,21,52.511,47,47.018,2,49,44.7,32.392,7.849,6,30.568,0.689,17,9,0.184,0.65,1.0,1,18,5,21
8.319,6.7,17,50.239,45,45.8,3,47,37.8,31.165,8.342,4,30.611,0.693,17,7,0.149,0.68,1.018,3,21,7,21
7.509,6.7,17,50.239,45,45.8,3,47,37.8,31.165,8.342,4,30.611,0.693,17,7,0.149,0.68,1.018,3,21,7,21
8.0,4.3,17,52.171,46,47.349,2,48,37.0,31.586,8.661,5,31.364,0.687,17,6,0.125,0.682,1.029,1,19,7,22
6.0,4.3,20,51.282,46,46.214,2,48,43.5,31.875,8.011,5,30.116,0.693,17,9,0.188,0.655,1.005,2,19,6,20
4.699,4.3,20,52.491,47,47.542,2,49,42.6,32.33,8.181,5,30.83,0.688,17,9,0.184,0.656,1.012,3,20,7,20
6.699,6.1,23,55.066,49,48.796,3,51,46.9,32.54,7.132,6,30.762,0.664,17,9,0.176,0.628,0.996,1,18,5,21
7.201,4.4,20,50.362,45,45.138,2,47,44.4,30.228,7.476,5,28.928,0.672,17,9,0.191,0.643,1.003,1,18,5,20
7.125,4.3,17,52.171,46,47.349,2,48,37.0,31.586,8.661,5,31.364,0.687,17,6,0.125,0.682,1.029,1,19,7,22
4.301,7.7,10,29.076,26,26.393,2,28,38.5,17.966,8.24,3,17.58,0.691,11,3,0.107,0.676,1.015,1,12,4,12
4.301,1.6,35,69.394,61,60.432,1,61,57.4,36.768,5.993,14,33.836,0.603,6,15,0.246,0.555,0.991,1,7,5,21
4.301,1.6,35,69.185,61,60.105,1,62,57.4,37.313,5.928,15,34.121,0.612,6,14,0.226,0.559,0.985,1,7,4,22
4.301,1.4,43,82.846,73,71.639,1,74,58.9,44.359,5.722,19,40.229,0.608,6,18,0.243,0.551,0.981,1,7,4,26
5.0,1.2,45,91.68,81,80.178,1,82,55.6,50.029,6.17,17,46.185,0.618,12,19,0.232,0.57,0.99,1,13,6,30
4.301,1.4,43,83.055,73,71.967,1,73,58.9,43.813,5.777,18,39.943,0.6,6,19,0.26,0.547,0.986,1,7,5,25
4.301,1.4,43,82.846,73,71.639,1,74,58.9,44.359,5.722,19,40.229,0.608,6,18,0.243,0.551,0.981,1,7,4,26
4.602,1.6,37,72.81,64,63.316,1,64,57.8,38.529,5.931,15,35.363,0.602,6,16,0.25,0.553,0.989,1,7,5,22
4.301,1.6,37,72.6,64,62.989,1,65,57.8,39.074,5.869,16,35.648,0.611,6,15,0.231,0.557,0.984,1,7,4,23
4.301,1.3,45,86.261,76,74.523,1,77,59.2,46.12,5.681,20,41.755,0.607,6,19,0.247,0.549,0.981,1,7,4,27
4.301,1.3,45,86.47,76,74.85,1,76,59.2,45.574,5.733,19,41.47,0.6,6,20,0.263,0.546,0.985,1,7,5,26
4.301,1.6,37,72.81,64,63.316,1,64,57.8,38.529,5.931,15,35.363,0.602,6,16,0.25,0.553,0.989,1,7,5,22
4.301,1.6,37,72.6,64,62.989,1,65,57.8,39.074,5.869,16,35.648,0.611,6,15,0.231,0.557,0.984,1,7,4,23
4.301,1.3,45,86.261,76,74.523,1,77,59.2,46.12,5.681,20,41.755,0.607,6,19,0.247,0.549,0.981,1,7,4,27
8.523,4.4,20,50.072,45,44.887,2,47,44.4,31.421,7.833,5,29.401,0.698,17,9,0.191,0.653,0.997,1,18,5,20
6.0,4.3,20,51.282,46,46.214,2,48,43.5,31.875,8.011,5,30.116,0.693,17,9,0.188,0.655,1.005,2,19,6,20
4.0,6.7,19,50.445,45,45.356,3,47,42.2,30.472,7.765,4,29.423,0.677,17,8,0.17,0.654,1.008,2,19,6,20
7.456,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
4.0,6.5,12,34.91,31,31.931,2,32,38.7,20.636,8.396,3,20.536,0.666,11,6,0.188,0.662,1.03,2,13,6,13
5.155,5.9,14,38.325,34,34.814,2,35,41.2,22.398,8.068,4,22.063,0.659,11,7,0.2,0.649,1.024,2,13,6,14
5.745,5.4,16,41.741,37,37.698,2,38,43.2,24.159,7.793,5,23.59,0.653,11,8,0.211,0.638,1.019,2,13,6,15
6.097,9.1,7,24.605,22,22.833,2,23,31.8,16.063,10.12,1,15.88,0.73,11,2,0.087,0.722,1.038,1,12,5,10
8.495,4.3,21,52.907,47,47.207,2,49,44.7,31.472,7.499,6,30.124,0.67,17,9,0.184,0.641,1.004,1,18,5,21
5.456,6.1,23,55.066,49,48.796,3,51,46.9,32.54,7.132,6,30.762,0.664,17,9,0.176,0.628,0.996,1,18,5,21
7.26,4.4,20,50.362,45,45.138,2,47,44.4,30.228,7.476,5,28.928,0.672,17,9,0.191,0.643,1.003,1,18,5,20
7.602,4.4,20,50.072,45,44.887,2,47,44.4,31.421,7.833,5,29.401,0.698,17,9,0.191,0.653,0.997,1,18,5,20
5.602,4.3,20,51.282,46,46.214,2,48,43.5,31.875,8.011,5,30.116,0.693,17,9,0.188,0.655,1.005,2,19,6,20
8.377,3.9,24,56.903,51,50.654,2,53,47.1,34.944,7.462,7,32.454,0.685,17,10,0.189,0.636,0.993,1,18,5,22
8.602,3.9,24,56.903,51,50.654,2,53,47.1,34.944,7.462,7,32.454,0.685,17,10,0.189,0.636,0.993,1,18,5,22
8.187,6.1,21,55.069,49,49.567,3,51,42.9,32.688,7.744,6,31.665,0.667,17,10,0.196,0.646,1.012,3,20,7,21
9.0,4.0,21,57.002,50,51.116,2,52,42.0,33.108,8.049,7,32.417,0.662,17,9,0.173,0.648,1.022,1,18,7,22
8.398,4.0,21,57.002,50,51.116,2,52,42.0,33.108,8.049,7,32.417,0.662,17,9,0.173,0.648,1.022,1,18,7,22
9.0,3.8,24,59.401,53,53.232,2,55,45.3,35.205,7.405,7,33.697,0.664,17,11,0.2,0.636,1.004,2,19,6,23
8.721,3.8,24,59.401,53,53.232,2,55,45.3,35.205,7.405,7,33.697,0.664,17,11,0.2,0.636,1.004,2,19,6,23
8.824,3.8,24,59.401,53,53.232,2,55,45.3,35.205,7.405,7,33.697,0.664,17,11,0.2,0.636,1.004,2,19,6,23
6.222,4.0,22,55.986,50,50.349,2,52,44.0,33.443,7.569,6,32.17,0.669,17,10,0.192,0.643,1.007,2,19,6,22
4.699,6.7,19,50.445,45,45.356,3,47,42.2,30.472,7.765,4,29.423,0.677,17,8,0.17,0.654,1.008,2,19,6,20
5.509,6.7,19,50.445,45,45.356,3,47,42.2,30.472,7.765,4,29.423,0.677,17,8,0.17,0.654,1.008,2,19,6,20
8.097,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
6.301,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
5.824,4.2,22,53.777,48,48.022,2,50,45.8,31.989,7.301,6,30.455,0.666,17,9,0.18,0.634,1.0,1,18,5,21
5.699,4.3,20,51.362,46,46.138,2,48,43.5,31.228,7.575,5,29.928,0.679,17,9,0.188,0.651,1.003,2,19,5,21
4.301,1.2,47,95.095,84,83.061,1,85,56.0,51.79,6.117,18,47.712,0.617,12,20,0.235,0.568,0.989,1,13,6,31
5.0,1.3,45,86.47,76,74.85,1,76,59.2,45.574,5.733,19,41.47,0.6,6,20,0.263,0.546,0.985,1,7,5,26
4.301,1.3,45,86.261,76,74.523,1,77,59.2,46.12,5.681,20,41.755,0.607,6,19,0.247,0.549,0.981,1,7,4,27
4.301,1.4,41,79.431,70,68.756,1,71,58.6,42.597,5.767,18,38.702,0.609,6,17,0.239,0.553,0.982,1,7,4,25
7.854,4.4,20,50.362,45,45.138,2,47,44.4,30.228,7.476,5,28.928,0.672,17,9,0.191,0.643,1.003,1,18,5,20
7.42,4.3,18,51.866,47,47.331,2,50,38.3,34.114,8.564,2,32.589,0.726,22,6,0.12,0.693,1.007,2,24,6,23
4.005,0.0,42,81.557,72,70.865,0,72,58.3,43.807,5.815,17,39.922,0.608,0,17,0.236,0.554,0.984,5,5,4,26
6.917,4.5,16,48.451,44,44.447,2,47,36.4,32.352,8.829,1,31.062,0.735,22,6,0.128,0.706,1.01,2,24,6,22
6.541,4.5,18,49.156,44,44.582,2,47,40.9,29.921,7.964,5,29.116,0.68,16,5,0.106,0.662,1.013,2,18,6,20
4.296,0.0,42,80.347,71,69.538,0,71,59.2,43.353,5.672,17,39.207,0.611,0,17,0.239,0.552,0.979,5,5,3,26
5.288,0.0,40,76.932,68,66.654,0,68,58.8,41.591,5.715,16,37.68,0.612,0,16,0.235,0.554,0.98,5,5,3,25
4.021,0.0,38,78.726,70,69.098,0,71,54.3,44.285,6.267,13,40.868,0.633,6,17,0.239,0.584,0.987,5,11,4,28
5.0,0.0,36,68.102,60,58.887,0,60,60.0,36.069,5.609,16,32.627,0.601,0,17,0.283,0.544,0.981,3,3,3,21
4.96,0.0,38,70.517,62,60.77,0,62,61.3,36.83,5.461,18,33.154,0.594,0,18,0.29,0.535,0.98,2,2,3,21
5.088,0.0,34,63.687,56,55.003,0,56,60.7,33.307,5.545,16,30.1,0.595,0,16,0.286,0.538,0.982,2,2,3,19
4.726,0.0,40,75.932,67,65.654,0,67,59.7,40.591,5.621,17,36.68,0.606,0,16,0.239,0.547,0.98,4,4,3,24
4.534,0.0,44,80.763,71,69.421,0,71,62.0,42.114,5.362,21,37.734,0.593,0,18,0.254,0.531,0.978,2,2,3,24
5.0,0.0,40,73.932,65,63.654,0,65,61.5,38.591,5.425,19,34.68,0.594,0,16,0.246,0.534,0.979,2,2,3,22
4.0,0.0,14,36.535,33,33.167,0,35,42.4,22.693,7.706,3,21.832,0.688,12,5,0.143,0.662,1.005,1,13,3,16
4.453,0.0,14,36.535,33,33.167,0,35,42.4,22.693,7.706,3,21.832,0.688,12,5,0.143,0.662,1.005,1,13,3,16
4.369,0.0,20,46.78,42,41.818,0,44,47.6,27.978,7.057,6,26.412,0.666,12,5,0.114,0.629,0.996,1,13,3,19
5.0,2.6,44,87.135,77,75.414,2,79,57.1,47.91,5.88,18,43.535,0.622,10,15,0.19,0.565,0.979,2,12,4,29
4.748,0.0,20,46.78,42,41.818,0,44,47.6,27.978,7.057,6,26.412,0.666,12,5,0.114,0.629,0.996,1,13,3,19
4.493,0.0,20,46.78,42,41.818,0,44,47.6,27.978,7.057,6,26.412,0.666,12,5,0.114,0.629,0.996,1,13,3,19
4.278,0.0,16,35.95,32,32.051,0,33,50.0,20.455,6.884,6,19.359,0.639,6,4,0.121,0.605,1.002,1,7,3,13
4.301,4.0,24,55.983,50,49.578,2,53,48.0,33.296,6.97,7,31.267,0.666,16,3,0.057,0.625,0.992,1,17,4,22
6.561,4.2,20,53.152,48,47.811,2,52,41.7,33.773,7.676,3,32.214,0.704,22,3,0.058,0.671,0.996,1,23,4,24
4.301,5.9,25,57.272,51,50.352,3,54,49.0,33.847,6.814,7,31.574,0.664,16,2,0.037,0.619,0.987,1,17,4,22
4.301,7.1,16,48.045,42,43.24,3,45,38.1,28.375,8.557,4,28.143,0.676,16,1,0.022,0.67,1.03,1,17,7,19
5.169,4.8,15,47.966,42,43.792,2,45,35.7,28.279,8.961,4,28.552,0.673,16,2,0.044,0.68,1.043,1,17,8,19
5.204,3.7,26,60.607,54,53.789,2,57,48.1,35.512,7.009,8,33.509,0.658,16,6,0.105,0.621,0.996,1,17,5,23
5.0,3.9,24,57.192,51,50.905,2,54,47.1,33.75,7.147,7,31.982,0.662,16,3,0.056,0.627,0.998,1,17,5,22
5.759,4.1,20,54.362,49,49.138,2,53,40.8,34.228,7.846,3,32.928,0.699,22,3,0.057,0.672,1.003,1,23,5,24
5.0,4.1,20,54.362,49,49.138,2,53,40.8,34.228,7.846,3,32.928,0.699,22,3,0.057,0.672,1.003,1,23,5,24
5.0,3.8,22,57.777,52,52.022,2,56,42.3,35.989,7.663,4,34.455,0.692,22,3,0.054,0.663,1.0,1,23,5,25
5.0,5.8,25,58.481,52,51.68,3,55,48.1,34.302,6.99,7,32.289,0.66,16,2,0.036,0.621,0.994,1,17,5,22
5.0,5.8,25,58.481,52,51.68,3,55,48.1,34.302,6.99,7,32.289,0.66,16,2,0.036,0.621,0.994,1,17,5,22
5.0,7.0,16,49.254,43,44.567,3,46,37.2,28.83,8.73,4,28.858,0.67,16,1,0.022,0.671,1.036,1,17,8,19
5.0,7.0,16,49.254,43,44.567,3,46,37.2,28.83,8.73,4,28.858,0.67,16,1,0.022,0.671,1.036,1,17,8,19
4.301,6.0,21,55.651,50,49.912,3,54,42.0,34.779,7.67,3,33.235,0.696,22,2,0.037,0.665,0.998,1,23,5,24
4.301,6.0,21,55.651,50,49.912,3,54,42.0,34.779,7.67,3,33.235,0.696,22,2,0.037,0.665,0.998,1,23,5,24
4.301,5.5,27,61.896,55,54.563,3,58,49.1,36.063,6.864,8,33.815,0.656,16,2,0.034,0.615,0.992,1,17,5,23
4.301,6.5,18,52.67,46,47.451,3,49,39.1,30.591,8.465,5,30.385,0.665,16,1,0.02,0.661,1.032,1,17,8,20
5.0,2.6,42,86.719,77,75.53,2,79,54.5,49.148,6.166,14,45.008,0.638,10,14,0.177,0.585,0.981,5,15,4,31
5.0,3.4,30,66.228,59,58.229,2,62,50.8,38.58,6.62,10,35.848,0.654,16,8,0.129,0.608,0.987,1,17,4,25
5.0,4.0,24,55.983,50,49.578,2,53,48.0,33.296,6.97,7,31.267,0.666,16,2,0.038,0.625,0.992,1,17,4,22
4.301,4.2,20,53.152,48,47.811,2,52,41.7,33.773,7.676,3,32.214,0.704,22,2,0.038,0.671,0.996,1,23,4,24
4.301,3.9,22,56.567,51,50.694,2,55,43.1,35.534,7.5,4,33.74,0.697,22,3,0.055,0.662,0.994,1,23,4,25
5.433,3.9,24,57.192,51,50.905,2,54,47.1,33.75,7.147,7,31.982,0.662,16,3,0.056,0.627,0.998,1,17,5,22
6.987,4.7,18,47.866,43,43.331,2,45,41.9,30.114,8.243,4,28.589,0.7,16,7,0.156,0.665,1.008,2,18,6,19
8.169,2.3,21,49.279,44,43.92,1,46,47.7,28.983,7.077,6,27.434,0.659,12,4,0.087,0.623,0.998,1,13,4,19
8.926,4.7,22,48.777,43,43.022,2,44,51.2,26.989,6.753,8,25.455,0.628,6,8,0.182,0.592,1.001,2,8,5,16
9.149,10.4,20,54.492,48,48.822,5,51,41.7,32.614,8.365,6,31.321,0.679,16,3,0.059,0.653,1.017,1,17,9,19
9.337,10.4,19,54.831,48,49.334,5,51,39.6,32.551,8.74,6,31.705,0.678,16,3,0.059,0.661,1.028,1,17,10,19
6.886,12.8,18,53.109,47,47.894,6,51,38.3,31.966,8.307,4,31.434,0.68,21,3,0.059,0.669,1.019,1,22,9,20
8.215,10.4,19,53.737,48,48.425,5,52,39.6,33.915,8.448,4,32.411,0.707,21,3,0.058,0.675,1.009,1,22,8,21
6.538,8.2,20,54.654,49,49.207,4,53,40.8,34.671,8.256,4,32.917,0.708,21,3,0.057,0.672,1.004,1,22,7,22
6.0,10.4,19,53.737,48,48.425,5,52,39.6,33.915,8.448,5,32.411,0.707,21,4,0.077,0.675,1.009,1,22,8,21
7.26,8.2,20,54.654,49,49.207,4,53,40.8,34.671,8.256,5,32.917,0.708,21,3,0.057,0.672,1.004,1,22,7,22
6.0,14.0,16,48.405,43,43.76,6,46,37.2,30.398,8.848,2,29.379,0.707,21,6,0.13,0.683,1.018,1,22,9,18
6.0,12.0,20,56.235,50,50.527,6,54,40.0,34.921,8.411,5,33.433,0.698,21,3,0.056,0.669,1.011,1,22,9,21
6.0,12.0,20,56.235,50,50.527,6,54,40.0,34.921,8.411,5,33.433,0.698,21,4,0.074,0.669,1.011,1,22,9,21
6.0,12.5,18,53.82,48,48.643,6,53,37.5,34.159,8.719,5,32.906,0.712,21,3,0.057,0.686,1.013,1,22,9,21
8.886,12.8,20,53.235,47,47.527,6,50,42.6,31.921,8.181,6,30.433,0.679,16,3,0.06,0.648,1.011,1,17,9,18
8.481,16.3,17,48.694,43,43.534,7,46,39.5,29.949,8.546,4,28.686,0.696,17,3,0.065,0.667,1.012,1,18,9,17
7.319,13.6,18,49.61,44,44.316,6,47,40.9,30.705,8.329,4,29.191,0.698,17,3,0.064,0.663,1.007,1,18,8,18
9.018,10.4,21,54.152,48,48.309,5,51,43.8,32.676,7.99,6,30.938,0.681,16,3,0.059,0.645,1.006,1,17,8,19
8.921,12.8,19,53.575,47,48.04,6,50,40.4,31.858,8.564,6,30.816,0.678,16,3,0.06,0.656,1.022,1,17,10,18
9.125,10.4,20,54.492,48,48.822,5,51,41.7,32.614,8.365,6,31.321,0.679,16,3,0.059,0.653,1.017,1,17,9,19
8.699,12.8,19,53.575,47,48.04,6,50,40.4,31.858,8.564,6,30.816,0.678,16,3,0.06,0.656,1.022,1,17,10,18
8.854,10.4,20,54.492,48,48.822,5,51,41.7,32.614,8.365,6,31.321,0.679,16,3,0.059,0.653,1.017,1,17,9,19
9.097,12.8,19,53.575,47,48.04,6,50,40.4,31.858,8.564,6,30.816,0.678,16,3,0.06,0.656,1.022,1,17,10,18
8.699,4.6,30,73.066,65,64.843,3,68,46.2,43.523,7.256,7,41.252,0.67,23,11,0.162,0.635,0.998,1,24,6,29
6.469,4.6,31,72.727,65,64.33,3,68,47.7,43.586,6.979,7,40.869,0.671,23,11,0.162,0.629,0.99,1,24,5,29
4.301,2.8,36,79.474,71,69.879,2,74,50.7,46.864,6.601,10,43.428,0.66,22,12,0.162,0.612,0.984,1,23,4,31
4.301,3.0,34,75.059,67,65.996,2,70,50.7,44.103,6.607,10,40.901,0.658,21,11,0.157,0.61,0.985,1,22,4,29
4.301,5.6,27,60.896,54,53.563,3,56,50.0,35.063,6.769,7,32.815,0.649,16,6,0.107,0.608,0.992,1,17,5,22
4.523,2.7,42,83.719,74,72.53,2,75,56.8,46.148,5.929,15,42.008,0.624,10,17,0.227,0.568,0.98,3,13,4,28
5.932,3.8,22,57.986,52,52.349,2,55,42.3,35.443,7.74,3,34.17,0.682,22,8,0.145,0.657,1.007,1,23,6,24
4.301,3.6,28,61.813,55,54.345,2,57,50.9,35.819,6.628,8,33.321,0.651,16,10,0.175,0.606,0.988,1,17,4,23
4.301,4.0,22,55.567,50,49.694,2,53,44.0,34.534,7.41,3,32.74,0.691,22,6,0.113,0.655,0.994,1,23,4,24
4.301,2.6,44,86.135,76,74.414,2,77,57.9,46.91,5.799,17,42.535,0.617,10,18,0.234,0.56,0.979,2,12,4,28
4.301,4.2,24,53.823,48,47.731,2,50,50.0,32.591,7.595,9,29.641,0.679,10,8,0.16,0.618,0.994,1,11,6,18
4.301,2.5,44,90.344,80,78.741,2,81,55.0,50.364,6.16,14,46.25,0.63,10,19,0.235,0.578,0.984,5,15,5,31
4.301,2.6,42,85.929,76,74.858,2,77,55.3,47.603,6.141,14,43.723,0.626,10,18,0.234,0.575,0.985,4,14,5,29
4.301,2.6,42,85.929,76,74.858,2,77,55.3,47.603,6.141,14,43.723,0.626,10,18,0.234,0.575,0.985,4,14,5,29
5.444,3.8,26,59.607,53,52.789,2,55,49.1,34.512,6.915,7,32.509,0.651,16,9,0.164,0.613,0.996,1,17,5,22
6.301,4.2,20,53.362,48,48.138,2,51,41.7,33.228,7.759,2,31.928,0.692,22,6,0.118,0.665,1.003,1,23,5,23
5.0,4.0,24,56.192,50,49.905,2,52,48.0,32.75,7.049,6,30.982,0.655,16,6,0.115,0.62,0.998,1,17,5,21
5.658,4.9,15,46.966,41,42.792,2,43,36.6,27.279,8.887,3,27.552,0.665,16,5,0.116,0.672,1.044,1,17,8,18
5.194,4.9,15,46.966,41,42.792,2,43,36.6,27.279,8.887,3,27.552,0.665,16,5,0.116,0.672,1.044,1,17,8,18
4.301,6.7,21,50.651,45,44.912,3,47,46.7,29.779,7.187,4,28.235,0.662,16,6,0.128,0.627,0.998,1,17,5,19
4.301,6.7,20,50.595,45,45.236,3,47,44.4,30.637,7.953,4,29.063,0.681,16,6,0.128,0.646,1.005,1,17,6,19
4.301,5.5,25,61.481,55,54.68,3,58,45.5,37.301,7.264,4,35.289,0.678,22,7,0.121,0.642,0.994,1,23,5,25
5.167,5.3,15,42.475,38,38.694,2,40,39.5,26.563,8.705,2,25.702,0.699,16,5,0.125,0.676,1.018,1,17,6,17
5.745,5.3,15,42.252,38,38.44,2,40,39.5,28.364,11.112,2,26.192,0.746,16,5,0.125,0.689,1.012,1,17,6,17
5.0,4.5,18,48.946,44,44.254,2,47,40.9,30.466,7.873,2,29.402,0.692,21,5,0.106,0.668,1.006,1,22,5,21
5.0,4.8,18,47.156,42,42.582,2,44,42.9,27.921,7.771,3,27.116,0.665,16,6,0.136,0.646,1.014,1,17,6,18
7.328,4.3,20,52.571,47,47.465,2,50,42.6,31.682,7.754,6,30.643,0.674,16,5,0.1,0.652,1.01,2,18,6,21
7.495,4.3,18,52.156,47,47.582,2,50,38.3,32.921,8.222,2,32.116,0.7,22,6,0.12,0.683,1.012,2,24,6,23
4.765,0.0,42,81.557,72,70.865,0,72,58.3,43.807,5.815,17,39.922,0.608,0,17,0.236,0.554,0.984,5,5,4,26
5.221,0.0,36,70.102,62,60.887,0,62,58.1,38.069,5.816,14,34.627,0.614,0,17,0.274,0.558,0.982,5,5,3,23
4.048,1.4,43,82.846,73,71.639,1,73,58.9,44.359,5.722,17,40.229,0.608,0,16,0.219,0.551,0.981,5,5,4,26
4.552,0.0,42,81.557,72,70.865,0,72,58.3,43.807,5.815,17,39.922,0.608,0,17,0.236,0.554,0.984,5,5,4,26
4.916,0.0,36,70.102,62,60.887,0,62,58.1,38.069,5.816,14,34.627,0.614,0,17,0.274,0.558,0.982,5,5,3,23
4.0,0.0,10,25.704,23,23.4,0,24,43.5,15.17,7.748,3,14.778,0.66,6,4,0.167,0.643,1.017,1,7,3,10
4.161,1.4,41,78.221,69,67.428,1,69,59.4,42.143,5.618,16,37.987,0.611,0,16,0.232,0.551,0.977,5,5,3,25
6.421,5.4,14,41.325,37,37.814,2,39,37.8,25.398,8.387,2,25.063,0.686,16,5,0.128,0.677,1.022,2,18,6,17
6.963,5.0,16,44.741,40,40.698,2,42,40.0,27.159,8.109,3,26.59,0.679,16,6,0.143,0.665,1.017,2,18,6,18
7.553,4.5,18,49.156,44,44.582,2,47,40.9,29.921,7.964,5,29.116,0.68,16,5,0.106,0.662,1.013,2,18,6,20
4.301,11.6,19,48.607,43,43.022,5,45,44.2,28.813,7.475,4,27.509,0.67,17,5,0.111,0.64,1.001,1,18,6,18
9.125,4.4,18,49.737,45,44.927,2,48,40.0,32.012,7.876,2,30.687,0.711,23,6,0.125,0.682,0.998,1,24,4,23
4.301,9.5,20,47.315,42,41.476,4,44,47.6,28.114,6.962,5,26.3,0.669,17,5,0.114,0.626,0.988,0,17,4,18
4.301,9.5,20,47.315,42,41.476,4,44,47.6,28.114,6.962,5,26.3,0.669,17,5,0.114,0.626,0.988,0,17,4,18
4.301,14.7,13,38.152,34,34.043,5,36,38.2,24.074,8.098,2,23.214,0.708,17,4,0.111,0.683,1.001,0,18,5,16
9.161,5.6,18,40.737,36,35.927,2,37,50.0,23.012,6.843,7,21.687,0.639,10,7,0.189,0.602,0.998,1,11,4,14
9.244,4.2,26,54.398,48,47.461,2,49,54.2,30.057,6.301,11,27.794,0.626,10,11,0.224,0.579,0.989,1,11,4,18
