pXC50,RBN,Se,nBT,Si,Sv,nCsp2,Sp,nH,nHet,nC,nCsp3,nAT,nS,MW,nBO,nAB,nSK,nO,nDB,SCBO,Mv,nBM,RBF,N.,O.,nN,X.,H.,Mp,C.
6.924,6,60.32,63,67.813,37.266,15,38.978,28,8,24,9,60,0,436.56,35,16,32,4,2,45.0,0.621,18,0.095,6.7,6.7,4,0.0,46.7,0.65,40.0
6.237,6,60.32,63,67.813,37.266,15,38.978,28,8,24,9,60,0,436.56,35,16,32,4,2,45.0,0.621,18,0.095,6.7,6.7,4,0.0,46.7,0.65,40.0
5.991,5,54.552,57,60.983,34.213,15,35.455,24,8,22,7,54,0,408.5,33,16,30,4,2,43.0,0.634,18,0.088,7.4,7.4,4,0.0,44.4,0.657,40.7
6.796,5,53.225,56,59.773,33.498,16,35.0,24,7,22,6,53,0,392.5,32,16,29,3,2,42.0,0.632,18,0.089,7.5,5.7,4,0.0,45.3,0.66,41.5
4.0,6,44.774,47,48.661,30.777,19,31.807,16,7,21,2,44,1,392.46,31,12,28,4,5,42.0,0.699,17,0.128,4.5,9.1,2,0.0,36.4,0.723,47.7
6.47,7,49.938,51,54.992,32.533,15,34.227,20,10,19,4,49,2,432.57,31,12,29,4,5,42.0,0.664,17,0.137,8.2,8.2,4,0.0,40.8,0.699,38.8
6.431,6,46.945,48,51.451,31.786,15,33.256,17,10,19,3,46,2,427.55,31,12,29,3,5,44.0,0.691,18,0.125,10.9,6.5,5,0.0,37.0,0.723,41.3
6.458,7,51.818,53,57.142,34.173,15,36.392,21,10,20,5,51,2,465.04,32,12,30,3,5,43.0,0.67,17,0.132,7.8,5.9,4,2.0,41.2,0.714,39.2
6.77,3,41.749,42,44.758,28.147,13,28.977,14,10,16,3,40,1,417.29,28,12,26,5,3,37.0,0.704,15,0.071,5.0,12.5,2,5.0,35.0,0.724,40.0
5.22,9,70.403,72,77.94,44.432,20,45.347,29,12,28,8,69,0,547.62,43,17,40,7,5,56.5,0.644,22,0.125,7.2,10.1,5,0.0,42.0,0.657,40.6
5.22,7,69.851,73,78.019,44.024,19,45.443,30,11,28,9,69,0,530.64,43,17,39,5,4,55.5,0.638,21,0.096,8.7,7.2,6,0.0,43.5,0.659,40.6
5.889,6,65.713,68,72.029,42.566,19,43.472,25,13,26,7,64,1,551.63,43,17,39,7,6,57.5,0.665,23,0.088,7.8,10.9,5,0.0,39.1,0.679,40.6
6.485,6,57.436,60,64.398,35.74,15,37.216,26,8,23,8,57,0,422.53,34,16,31,4,2,44.0,0.627,18,0.1,7.0,7.0,4,0.0,45.6,0.653,40.4
6.409,7,95.112,96,106.779,56.818,17,58.256,43,16,34,17,93,0,704.83,53,12,50,7,5,64.0,0.611,17,0.073,6.5,7.5,6,3.2,46.2,0.626,36.6
7.77,4,57.545,60,64.524,34.96,11,36.426,27,8,22,11,57,0,413.52,33,6,30,5,4,40.0,0.613,10,0.067,5.3,8.8,3,0.0,47.4,0.639,38.6
5.22,8,76.4,80,85.767,47.583,19,49.722,35,10,31,12,76,0,557.71,45,17,41,5,4,57.5,0.626,21,0.1,6.6,6.6,5,0.0,46.1,0.654,40.8
4.102,6,32.713,33,35.827,21.041,12,21.392,13,5,14,2,32,0,259.28,20,6,19,4,4,27.0,0.658,10,0.182,3.1,12.5,1,0.0,40.6,0.669,43.8
6.409,8,65.763,69,72.607,43.454,25,44.671,26,9,30,5,65,0,522.6,43,23,39,5,4,58.5,0.669,27,0.116,6.2,7.7,4,0.0,40.0,0.687,46.2
4.06,3,31.018,32,34.744,19.326,6,20.892,15,4,12,6,31,1,237.35,17,6,16,2,1,21.0,0.623,7,0.094,3.2,6.5,1,0.0,48.4,0.674,38.7
4.174,3,24.502,24,27.203,14.8,6,15.176,11,4,9,3,24,0,181.21,13,0,13,3,4,17.0,0.617,4,0.125,4.2,12.5,1,0.0,45.8,0.632,37.5
6.409,8,73.4,76,82.767,44.583,16,46.722,35,10,28,12,73,0,521.68,41,16,38,5,3,52.0,0.611,19,0.105,6.8,6.8,5,0.0,47.9,0.64,38.4
7.42,5,41.884,43,45.787,26.997,13,28.017,17,7,17,4,41,1,347.42,26,15,24,5,3,36.5,0.658,18,0.116,2.4,12.2,1,0.0,41.5,0.683,41.5
5.979,7,50.753,51,54.961,33.0,14,34.046,19,11,19,5,49,1,499.37,32,15,30,7,4,43.5,0.673,19,0.137,4.1,14.3,2,2.0,38.8,0.695,38.8
5.301,4,59.694,63,64.91,39.984,17,41.142,21,13,24,7,58,2,539.64,42,11,37,6,8,55.5,0.689,19,0.063,8.6,10.3,5,0.0,36.2,0.709,41.4
5.0,5,55.291,58,60.78,36.082,15,37.04,21,11,22,7,54,1,467.55,37,11,33,5,5,47.5,0.668,16,0.086,9.3,9.3,5,0.0,38.9,0.686,40.7
7.0,8,57.484,59,62.454,37.689,19,39.102,22,11,23,4,56,2,502.61,37,21,34,7,5,52.5,0.673,26,0.136,3.6,12.5,2,0.0,39.3,0.698,41.1
7.987,7,50.6,51,55.039,32.162,13,33.341,20,11,18,5,49,2,440.54,31,15,29,7,5,43.5,0.656,20,0.137,4.1,14.3,2,0.0,40.8,0.68,36.7
4.602,7,55.993,58,61.512,37.513,22,38.551,21,9,25,3,55,0,476.95,37,23,34,4,3,51.5,0.682,26,0.121,7.3,7.3,4,1.8,38.2,0.701,45.5
7.301,8,56.367,57,61.87,35.215,13,36.864,24,11,20,7,55,2,468.6,33,15,31,7,5,45.5,0.64,20,0.14,3.6,12.7,2,0.0,43.6,0.67,36.4
5.602,8,59.913,61,65.162,38.425,16,39.562,23,13,22,6,58,2,521.62,38,20,35,8,5,53.0,0.662,25,0.131,5.2,13.8,3,0.0,39.7,0.682,37.9
8.143,7,50.524,51,55.119,31.975,14,32.693,20,10,19,5,49,1,420.48,31,15,29,7,4,42.5,0.653,19,0.137,4.1,14.3,2,0.0,40.8,0.667,38.8
7.854,9,56.291,57,61.95,35.028,14,36.216,24,10,21,7,55,1,448.54,33,15,31,7,4,44.5,0.637,19,0.158,3.6,12.7,2,0.0,43.6,0.658,38.2
7.409,8,56.291,57,61.95,35.028,14,36.216,24,10,21,7,55,1,448.54,33,15,31,7,4,44.5,0.637,19,0.14,3.6,12.7,2,0.0,43.6,0.658,38.2
7.959,7,50.6,51,55.039,32.162,13,33.341,20,11,18,5,49,2,440.54,31,15,29,7,5,43.5,0.656,20,0.137,4.1,14.3,2,0.0,40.8,0.68,36.7
6.77,7,50.6,51,55.039,32.162,13,33.341,20,11,18,5,49,2,440.54,31,15,29,7,5,43.5,0.656,20,0.137,4.1,14.3,2,0.0,40.8,0.68,36.7
7.155,8,55.022,54,59.474,34.838,13,34.915,19,14,19,6,52,2,508.54,35,15,33,7,5,47.5,0.67,20,0.148,3.8,13.5,2,5.8,36.5,0.671,36.5
7.347,8,57.407,59,62.534,37.501,20,38.455,22,10,24,4,56,1,482.55,37,21,34,7,4,51.5,0.67,25,0.136,3.6,12.5,2,0.0,39.3,0.687,42.9
5.409,7,50.753,51,54.961,33.0,14,34.046,19,11,19,5,49,1,499.37,32,15,30,7,4,43.5,0.673,19,0.137,4.1,14.3,2,2.0,38.8,0.695,38.8
8.092,8,57.92,59,62.874,37.885,20,38.392,21,11,24,4,56,1,500.54,38,21,35,7,4,52.5,0.677,25,0.136,3.6,12.5,2,1.8,37.5,0.686,42.9
8.0,8,53.92,54,58.874,33.885,14,34.392,21,11,20,6,52,1,452.5,33,15,31,7,4,44.5,0.652,19,0.148,3.8,13.5,2,1.9,40.4,0.661,38.5
7.796,8,57.92,59,62.874,37.885,20,38.392,21,11,24,4,56,1,500.54,38,21,35,7,4,52.5,0.677,25,0.136,3.6,12.5,2,1.8,37.5,0.686,42.9
8.301,7,60.949,63,67.654,37.862,14,39.529,27,10,23,9,60,1,473.6,36,15,33,6,4,47.5,0.631,19,0.111,5.0,10.0,3,0.0,45.0,0.659,38.3
8.959,9,61.142,63,67.159,39.522,18,41.415,25,11,24,6,60,2,515.66,38,20,35,6,4,52.0,0.659,24,0.143,5.0,10.0,3,0.0,41.7,0.69,40.0
8.18,8,57.731,59,62.478,38.329,20,39.312,21,11,24,4,56,1,516.99,38,21,35,7,4,52.5,0.684,25,0.136,3.6,12.5,2,1.8,37.5,0.702,42.9
7.888,7,50.524,51,55.119,31.975,14,32.693,20,10,19,5,49,1,420.48,31,15,29,7,4,42.5,0.653,19,0.137,4.1,14.3,2,0.0,40.8,0.667,38.8
8.252,9,56.291,57,61.95,35.028,14,36.216,24,10,21,7,55,1,448.54,33,15,31,7,4,44.5,0.637,19,0.158,3.6,12.7,2,0.0,43.6,0.658,38.2
8.328,9,59.174,60,65.365,36.555,14,37.977,26,10,22,8,58,1,462.57,34,15,32,7,4,45.5,0.63,19,0.15,3.4,12.1,2,0.0,44.8,0.655,37.9
4.0,4,52.465,55,57.571,35.643,21,36.682,20,6,26,3,52,0,424.48,35,18,32,4,3,49.0,0.685,22,0.073,3.8,7.7,2,0.0,38.5,0.705,50.0
6.249,3,58.632,60,66.121,34.723,7,35.341,26,11,20,13,57,0,441.51,34,6,31,3,2,39.0,0.609,8,0.05,8.8,5.3,5,5.3,45.6,0.62,35.1
4.99,1,33.709,34,35.542,22.638,15,21.989,10,7,15,0,32,0,302.25,24,12,22,7,2,32.0,0.707,14,0.029,0.0,21.9,0,0.0,31.3,0.687,46.9
5.085,11,82.814,83,90.615,49.204,15,49.523,36,15,29,14,80,0,624.65,47,12,44,15,2,55.0,0.615,14,0.133,0.0,18.8,0,0.0,45.0,0.619,36.3
9.62,18,89.229,90,97.655,57.966,26,60.404,35,17,35,9,87,0,818.06,55,23,52,10,6,72.5,0.666,29,0.2,4.6,11.5,4,2.3,40.2,0.694,40.2
7.854,7,51.214,54,56.282,35.115,23,36.875,20,6,25,2,51,1,428.54,34,23,31,3,2,47.5,0.689,25,0.13,3.9,5.9,2,0.0,39.2,0.723,49.0
6.222,5,41.884,43,45.787,26.997,13,28.017,17,7,17,4,41,1,347.42,26,15,24,5,3,36.5,0.658,18,0.116,2.4,12.2,1,0.0,41.5,0.683,41.5
8.119,6,48.414,49,52.993,30.755,14,31.483,19,10,18,4,47,1,405.47,30,15,28,6,4,41.5,0.654,19,0.122,6.4,12.8,3,0.0,40.4,0.67,38.3
8.699,7,50.524,51,55.119,31.975,14,32.693,20,10,19,5,49,1,420.48,31,15,29,7,4,42.5,0.653,19,0.137,4.1,14.3,2,0.0,40.8,0.667,38.8
8.301,8,53.407,54,58.534,33.502,14,34.455,22,10,20,6,52,1,434.51,32,15,30,7,4,43.5,0.644,19,0.148,3.8,13.5,2,0.0,42.3,0.663,38.5
8.678,8,53.92,54,58.874,33.885,14,34.392,21,11,20,6,52,1,452.5,33,15,31,7,4,44.5,0.652,19,0.148,3.8,13.5,2,1.9,40.4,0.661,38.5
7.991,8,57.407,59,62.534,37.501,20,38.455,22,10,24,4,56,1,482.55,37,21,34,7,4,51.5,0.67,25,0.136,3.6,12.5,2,0.0,39.3,0.687,42.9
7.854,8,60.291,62,65.95,39.028,20,40.216,24,10,25,5,59,1,496.58,38,21,35,7,4,52.5,0.661,25,0.129,3.4,11.9,2,0.0,40.7,0.682,42.4
9.046,7,55.374,57,60.328,36.468,18,37.892,21,11,22,4,54,2,487.6,36,20,33,6,4,50.0,0.675,24,0.123,5.6,11.1,3,0.0,38.9,0.702,40.7
5.22,5,56.091,57,62.002,35.363,15,35.267,21,11,22,7,54,0,462.47,36,16,33,4,2,46.0,0.655,18,0.088,7.4,7.4,4,5.6,38.9,0.653,40.7
7.44,8,60.04,62,65.66,39.501,20,41.409,24,10,25,5,59,2,512.65,38,21,35,6,4,52.5,0.67,25,0.129,3.4,10.2,2,0.0,40.7,0.702,42.4
5.137,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
8.777,6,51.524,53,56.119,32.975,14,33.693,20,10,20,6,50,1,432.49,33,15,30,7,4,44.5,0.659,19,0.113,4.0,14.0,2,0.0,40.0,0.674,40.0
7.955,7,50.524,51,55.119,31.975,14,32.693,20,10,19,5,49,1,420.48,31,15,29,7,4,42.5,0.653,19,0.137,4.1,14.3,2,0.0,40.8,0.667,38.8
7.377,5,43.734,45,47.996,28.491,13,30.216,18,8,17,4,43,2,378.51,27,15,25,4,3,37.5,0.663,18,0.111,4.7,9.3,2,0.0,41.9,0.703,39.5
5.833,7,57.931,60,63.534,38.28,20,40.199,23,10,24,4,57,2,497.64,37,21,34,5,4,51.5,0.672,25,0.117,5.3,8.8,3,0.0,40.4,0.705,42.1
7.695,9,58.923,60,65.075,37.027,14,39.171,26,10,22,8,58,2,478.64,34,15,32,6,4,45.5,0.638,19,0.15,3.4,10.3,2,0.0,44.8,0.675,37.9
7.602,8,57.156,59,62.245,37.974,20,39.648,22,10,24,4,56,2,498.62,37,21,34,6,4,51.5,0.678,25,0.136,3.6,10.7,2,0.0,39.3,0.708,42.9
6.585,7,53.931,55,59.534,34.28,14,36.199,23,10,20,6,53,2,449.6,32,15,30,5,4,43.5,0.647,19,0.127,5.7,9.4,3,0.0,43.4,0.683,37.7
6.728,9,60.891,63,66.869,39.994,18,42.608,25,11,24,6,60,3,531.73,38,20,35,5,4,52.0,0.667,24,0.143,5.0,8.3,3,0.0,41.7,0.71,40.0
6.125,5,41.633,43,45.498,27.469,13,29.21,17,7,17,4,41,2,363.49,26,15,24,4,3,36.5,0.67,18,0.116,2.4,9.8,1,0.0,41.5,0.712,41.5
7.301,7,50.349,51,54.75,32.634,13,34.534,20,11,18,5,49,3,456.61,31,15,29,6,5,43.5,0.666,20,0.137,4.1,12.2,2,0.0,40.8,0.705,36.7
8.119,10,59.771,60,64.999,38.117,14,39.966,24,13,21,7,58,3,528.68,36,15,34,8,6,49.5,0.657,21,0.167,3.4,13.8,2,0.0,41.4,0.689,36.2
7.357,6,51.273,53,55.83,33.447,14,34.886,20,10,20,6,50,2,448.56,33,15,30,6,4,44.5,0.669,19,0.113,4.0,12.0,2,0.0,40.0,0.698,40.0
7.745,9,61.142,63,67.159,39.522,18,41.415,25,11,24,6,60,2,515.66,38,20,35,6,4,52.0,0.659,24,0.143,5.0,10.0,3,0.0,41.7,0.69,40.0
5.357,7,50.349,51,54.75,32.634,13,34.534,20,11,18,5,49,3,456.61,31,15,29,6,5,43.5,0.666,20,0.137,4.1,12.2,2,0.0,40.8,0.705,36.7
5.678,7,50.349,51,54.75,32.634,13,34.534,20,11,18,5,49,3,456.61,31,15,29,6,5,43.5,0.666,20,0.137,4.1,12.2,2,0.0,40.8,0.705,36.7
7.77,5,43.985,45,48.285,28.018,13,29.023,18,8,17,4,43,1,362.44,27,15,25,5,3,37.5,0.652,18,0.111,4.7,11.6,2,0.0,41.9,0.675,39.5
7.636,8,56.04,57,61.66,35.501,14,37.409,24,10,21,7,55,2,464.61,33,15,31,6,4,44.5,0.645,19,0.14,3.6,10.9,2,0.0,43.6,0.68,38.2
7.538,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
5.538,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
8.745,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
9.398,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
8.201,8,53.156,54,58.245,33.974,14,35.648,22,10,20,6,52,2,450.58,32,15,30,6,4,43.5,0.653,19,0.148,3.8,11.5,2,0.0,42.3,0.686,38.5
7.553,8,57.669,59,62.585,38.357,20,39.585,21,11,24,4,56,2,516.61,38,21,35,6,4,52.5,0.685,25,0.136,3.6,10.7,2,1.8,37.5,0.707,42.9
8.046,7,50.273,51,54.83,32.447,14,33.886,20,10,19,5,49,2,436.55,31,15,29,6,4,42.5,0.662,19,0.137,4.1,12.2,2,0.0,40.8,0.692,38.8
7.0,8,53.156,54,58.245,33.974,14,35.648,22,10,20,6,52,2,450.58,32,15,30,6,4,43.5,0.653,19,0.148,3.8,11.5,2,0.0,42.3,0.686,38.5
7.222,7,50.349,51,54.75,32.634,13,34.534,20,11,18,5,49,3,456.61,31,15,29,6,5,43.5,0.666,20,0.137,4.1,12.2,2,0.0,40.8,0.705,36.7
8.036,6,51.524,53,56.119,32.975,14,33.693,20,10,20,6,50,1,432.49,33,15,30,7,4,44.5,0.659,19,0.113,4.0,14.0,2,0.0,40.0,0.674,40.0
7.467,8,60.814,63,66.949,39.807,20,41.96,25,10,25,5,60,2,511.67,38,21,35,5,4,52.5,0.663,25,0.127,5.0,8.3,3,0.0,41.7,0.699,41.7
8.215,9,55.156,56,60.245,35.974,14,37.648,22,10,22,6,54,2,474.6,34,15,32,6,4,47.5,0.666,20,0.161,3.7,11.1,2,0.0,40.7,0.697,40.7
7.051,7,57.931,60,63.534,38.28,20,40.199,23,10,24,4,57,2,497.64,37,21,34,5,4,51.5,0.672,25,0.117,5.3,8.8,3,0.0,40.4,0.705,42.1
6.0,7,60.698,63,67.364,38.334,14,40.722,27,10,23,9,60,2,489.67,36,15,33,5,4,47.5,0.639,19,0.111,5.0,8.3,3,0.0,45.0,0.679,38.3
5.604,6,37.454,38,41.079,24.261,13,25.557,16,5,16,3,37,1,304.39,22,12,21,4,3,31.0,0.656,15,0.158,0.0,10.8,0,0.0,43.2,0.691,43.2
5.939,6,48.702,52,54.195,31.939,19,33.739,22,3,24,5,49,0,358.46,30,18,27,3,1,40.0,0.652,19,0.115,0.0,6.1,0,0.0,44.9,0.689,49.0
5.301,36,179.148,179,203.689,101.282,17,107.064,95,25,58,41,178,0,1174.62,84,6,83,16,11,98.0,0.569,17,0.201,5.1,9.0,9,0.0,53.4,0.601,32.6
4.0,3,44.04,48,48.824,31.293,22,32.949,16,6,22,0,44,0,430.33,32,27,28,0,0,45.5,0.711,27,0.063,11.4,0.0,5,2.3,36.4,0.749,50.0
5.695,1,24.829,26,27.108,18.013,10,18.762,7,7,10,0,24,0,312.57,19,15,17,0,0,26.5,0.751,15,0.038,20.8,0.0,5,8.3,29.2,0.782,41.7
7.06,5,41.633,43,45.498,27.469,13,29.21,17,7,17,4,41,2,363.49,26,15,24,4,3,36.5,0.67,18,0.116,2.4,9.8,1,0.0,41.5,0.712,41.5
4.0,3,44.04,48,48.824,31.293,22,32.949,16,6,22,0,44,0,430.33,32,27,28,0,0,45.5,0.711,27,0.063,11.4,0.0,5,2.3,36.4,0.749,50.0
5.299,1,24.924,26,27.21,17.816,10,18.267,7,7,10,0,24,0,268.12,19,15,17,0,0,26.5,0.742,15,0.038,20.8,0.0,5,8.3,29.2,0.761,41.7
4.991,4,40.04,43,44.824,27.293,16,28.949,16,6,18,2,40,0,382.29,27,21,24,0,0,37.5,0.682,21,0.093,12.5,0.0,5,2.5,40.0,0.724,45.0
4.0,1,27.389,29,30.579,18.713,10,19.665,10,6,11,1,27,0,292.16,19,15,17,0,0,26.5,0.693,15,0.034,18.5,0.0,5,3.7,37.0,0.728,40.7
4.728,2,34.273,37,37.994,24.239,16,25.426,12,6,16,0,34,0,354.23,25,21,22,0,0,35.5,0.713,21,0.054,14.7,0.0,5,2.9,35.3,0.748,47.1
4.0,4,44.691,46,49.1,30.995,16,31.875,14,10,19,3,43,0,529.18,32,21,29,0,0,42.5,0.721,21,0.087,11.6,0.0,5,11.6,32.6,0.741,44.2
4.0,4,44.691,46,49.1,30.995,16,31.875,14,10,19,3,43,0,529.18,32,21,29,0,0,42.5,0.721,21,0.087,11.6,0.0,5,11.6,32.6,0.741,44.2
4.0,2,34.273,37,37.994,24.239,16,25.426,12,6,16,0,34,0,354.23,25,21,22,0,0,35.5,0.713,21,0.054,14.7,0.0,5,2.9,35.3,0.748,47.1
4.0,3,37.385,40,41.251,26.791,16,28.54,13,7,17,1,37,0,447.15,27,21,24,0,0,37.5,0.724,21,0.075,13.5,0.0,5,5.4,35.1,0.771,45.9
5.524,4,40.269,43,44.666,28.318,16,30.302,15,7,18,2,40,0,461.18,28,21,25,0,0,38.5,0.708,21,0.093,12.5,0.0,5,5.0,37.5,0.758,45.0
4.0,4,44.691,46,49.1,30.995,16,31.875,14,10,19,3,43,0,529.18,32,21,29,0,0,42.5,0.721,21,0.087,11.6,0.0,5,11.6,32.6,0.741,44.2
8.569,6,50.651,52,55.617,33.051,19,34.54,21,7,22,3,50,1,411.51,31,18,29,5,3,43.0,0.661,21,0.115,2.0,10.0,1,0.0,42.0,0.691,44.0
5.426,9,51.912,54,57.82,33.181,19,34.955,24,4,24,5,52,0,376.48,30,18,28,4,1,40.0,0.638,19,0.167,0.0,7.7,0,0.0,46.2,0.672,46.2
5.347,6,36.127,37,39.87,23.546,13,25.102,16,4,16,3,36,1,288.39,21,12,20,3,2,29.0,0.654,14,0.162,0.0,8.3,0,0.0,44.4,0.697,44.4
5.106,6,36.051,37,39.95,23.359,14,24.455,16,3,17,3,36,0,268.33,21,12,20,3,2,29.0,0.649,14,0.162,0.0,8.3,0,0.0,44.4,0.679,47.2
4.928,6,34.8,36,38.66,22.831,13,24.648,16,3,16,3,35,1,272.39,20,12,19,2,1,27.0,0.652,13,0.167,0.0,5.7,0,0.0,45.7,0.704,45.7
6.284,6,37.934,39,42.365,23.886,13,25.216,18,3,17,4,38,0,270.35,21,12,20,3,1,28.0,0.629,13,0.154,0.0,7.9,0,0.0,47.4,0.664,44.7
7.495,5,38.0,38,41.372,24.47,13,25.256,15,7,15,2,37,1,321.38,23,12,22,5,3,32.0,0.661,15,0.132,2.7,13.5,1,0.0,40.5,0.683,40.5
9.071,7,49.094,50,53.412,32.239,19,33.233,19,8,21,2,48,1,413.48,31,18,29,6,3,43.0,0.672,21,0.14,2.1,12.5,1,0.0,39.6,0.692,43.8
7.155,5,44.884,46,48.787,29.997,19,31.017,17,7,20,1,44,1,383.45,29,18,27,5,3,41.0,0.682,21,0.109,2.3,11.4,1,0.0,38.6,0.705,45.5
5.824,5,41.454,43,45.079,28.261,19,29.557,16,5,20,1,41,1,352.43,27,18,25,4,3,39.0,0.689,21,0.116,0.0,9.8,0,0.0,39.0,0.721,48.8
6.824,6,45.665,47,49.704,30.502,19,31.773,18,6,21,2,45,1,382.46,29,18,27,5,3,41.0,0.678,21,0.128,0.0,11.1,0,0.0,40.0,0.706,46.7
8.222,5,43.556,45,47.578,29.282,19,30.563,17,6,20,1,43,1,367.45,28,18,26,4,3,40.0,0.681,21,0.111,2.3,9.3,1,0.0,39.5,0.711,46.5
6.742,6,41.262,43,45.574,26.6,15,27.671,18,4,19,4,41,0,310.37,25,16,23,4,1,34.0,0.649,17,0.14,0.0,9.8,0,0.0,43.9,0.675,46.3
4.264,8,43.145,44,47.99,27.127,14,28.432,20,4,19,5,43,0,312.39,24,12,23,4,2,32.0,0.631,14,0.182,0.0,9.3,0,0.0,46.5,0.661,44.2
6.229,4,40.673,42,44.162,27.755,19,28.801,15,6,19,0,40,1,353.42,27,18,25,4,3,39.0,0.694,21,0.095,2.5,10.0,1,0.0,37.5,0.72,47.5
8.222,5,46.44,48,50.993,30.809,19,32.324,19,6,21,2,46,1,381.48,29,18,27,4,3,41.0,0.67,21,0.104,2.2,8.7,1,0.0,41.3,0.703,45.7
5.47,6,39.153,40,43.448,25.38,13,26.46,17,4,18,4,39,0,295.36,23,12,22,3,1,32.0,0.651,14,0.15,2.6,7.7,1,0.0,43.6,0.678,46.2
7.237,7,41.894,43,46.7,26.6,13,28.625,20,4,18,5,42,1,316.45,23,12,22,3,1,30.0,0.633,13,0.163,0.0,7.1,0,0.0,47.6,0.682,42.9
7.26,6,37.153,38,41.448,23.38,12,24.46,17,4,16,4,37,0,271.34,21,12,20,3,1,28.0,0.632,13,0.158,2.7,8.1,1,0.0,45.9,0.661,43.2
6.387,8,52.418,53,58.448,32.104,13,34.063,25,7,20,7,52,1,391.53,28,12,27,5,3,37.0,0.617,15,0.151,1.9,9.6,1,0.0,48.1,0.655,38.5
4.854,4,35.116,35,37.957,22.943,13,23.494,13,7,14,1,34,1,307.35,22,12,21,5,3,31.0,0.675,15,0.114,2.9,14.7,1,0.0,38.2,0.691,41.2
5.921,5,42.0,43,45.372,28.47,19,29.256,15,7,19,0,41,1,369.42,28,18,26,5,3,40.0,0.694,21,0.116,2.4,12.2,1,0.0,36.6,0.714,46.3
4.697,6,47.145,50,51.99,31.127,19,32.432,20,4,23,4,47,0,360.43,30,21,27,4,1,41.5,0.662,22,0.12,0.0,8.5,0,0.0,42.6,0.69,48.9
4.701,8,49.029,51,54.405,31.654,19,33.193,22,4,23,4,49,0,362.45,29,18,27,4,1,39.0,0.646,19,0.157,0.0,8.2,0,0.0,44.9,0.677,46.9
5.299,1,27.618,29,30.42,19.738,10,21.017,9,7,11,1,27,0,371.05,20,15,18,0,0,27.5,0.731,15,0.034,18.5,0.0,5,7.4,33.3,0.778,40.7
5.237,6,47.287,48,50.916,31.899,19,33.119,17,9,20,1,46,2,431.52,31,18,29,6,4,44.0,0.693,22,0.125,2.2,13.0,1,0.0,37.0,0.72,43.5
4.0,1,27.389,29,30.579,18.713,10,19.665,10,6,11,1,27,0,292.16,19,15,17,0,0,26.5,0.693,15,0.034,18.5,0.0,5,3.7,37.0,0.728,40.7
5.907,1,24.964,26,26.847,19.236,10,20.608,6,8,10,0,24,0,435.91,20,15,18,0,0,27.5,0.802,15,0.038,20.8,0.0,5,12.5,25.0,0.859,41.7
4.0,1,27.618,29,30.42,19.738,10,21.017,9,7,11,1,27,0,371.05,20,15,18,0,0,27.5,0.731,15,0.034,18.5,0.0,5,7.4,33.3,0.778,40.7
4.0,3,37.156,40,41.409,25.766,16,27.188,14,6,17,1,37,0,368.26,26,21,23,0,0,36.5,0.696,21,0.075,13.5,0.0,5,2.7,37.8,0.735,45.9
6.42,7,46.993,48,50.913,31.217,19,32.227,18,7,21,2,46,1,398.46,30,18,28,6,3,42.0,0.679,21,0.146,0.0,13.0,0,0.0,39.1,0.701,45.7
5.721,5,44.338,46,48.494,29.788,19,31.318,18,5,21,2,44,1,366.46,28,18,26,4,3,40.0,0.677,21,0.109,0.0,9.1,0,0.0,40.9,0.712,47.7
4.0,4,40.269,43,44.666,28.318,16,30.302,15,7,18,2,40,0,461.18,28,21,25,0,0,38.5,0.708,21,0.093,12.5,0.0,5,5.0,37.5,0.758,45.0
7.066,6,39.153,40,43.448,25.38,13,26.46,17,4,18,4,39,0,295.36,23,12,22,3,1,32.0,0.651,14,0.15,2.6,7.7,1,0.0,43.6,0.678,46.2
4.0,5,42.923,46,48.24,28.82,16,30.711,18,6,19,3,43,0,396.32,28,21,25,0,0,38.5,0.67,21,0.109,11.6,0.0,5,2.3,41.9,0.714,44.2
4.0,5,43.152,46,48.081,29.845,16,32.063,17,7,19,3,43,0,475.21,29,21,26,0,0,39.5,0.694,21,0.109,11.6,0.0,5,4.7,39.5,0.746,44.2
5.452,7,40.818,42,45.78,25.412,13,26.978,20,3,18,5,41,0,284.38,22,12,21,3,1,29.0,0.62,13,0.167,0.0,7.3,0,0.0,48.8,0.658,43.9
6.036,6,46.211,47,49.996,30.712,19,31.472,17,8,20,1,45,1,399.45,30,18,28,6,3,42.0,0.682,21,0.128,2.2,13.3,1,0.0,37.8,0.699,44.4
