pXC50,Sp,nAT,nBT,nH,nCsp3,nHM,nS,SCBO,nBM,nN,nDB,nC,Sv,nSK,nBO,Se,MW,nO,nHet,Me,nAB,O.
6.433,94.194,144.0,149.0,66,21,2,2,105.0,36,12,8,54,89.866,78,83,145.759,1113.46,8,24,1.012,28,5.6
9.215,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
5.0,137.853,215.0,221.0,102,33,2,2,149.0,47,16,13,78,131.521,113,119,217.341,1600.1,17,35,1.011,34,7.9
6.0,96.683,148.0,153.0,68,20,2,2,108.0,37,12,9,55,92.244,80,85,149.716,1137.49,11,25,1.012,28,7.4
6.0,73.194,114.0,119.0,54,18,0,0,82.0,28,8,6,44,70.006,60,65,114.756,823.06,8,16,1.007,22,7.0
6.762,92.438,142.0,147.0,65,21,2,2,103.5,35,13,8,52,88.361,77,82,143.977,1102.44,8,25,1.014,27,5.6
8.311,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
7.693,93.671,143.0,148.0,66,20,2,2,104.0,36,10,8,54,89.201,77,82,144.512,1095.44,11,23,1.011,28,7.7
6.0,99.393,147.0,152.0,68,21,3,2,106.5,37,9,8,57,92.836,79,84,147.919,1230.38,10,22,1.006,29,6.8
8.0,93.887,142.0,146.0,67,22,3,2,98.0,30,12,8,50,87.846,75,79,143.457,1187.33,10,25,1.01,22,7.0
6.0,129.41,201.0,207.0,96,31,2,2,139.0,45,14,11,74,122.995,105,111,202.715,1485.98,15,31,1.009,34,7.5
6.328,93.83,144.0,149.0,70,23,2,2,99.5,34,10,7,54,88.111,74,79,144.297,1051.48,8,20,1.002,27,5.6
6.854,103.967,155.0,161.0,72,25,5,3,111.0,36,12,8,58,97.522,83,89,156.108,1232.53,8,25,1.007,28,5.2
8.301,130.331,205.0,210.0,98,33,2,2,139.0,41,16,13,72,124.467,107,112,207.573,1524.0,17,35,1.013,28,8.3
6.854,98.631,148.0,154.0,67,20,3,2,111.5,41,12,8,57,93.642,81,87,149.385,1163.95,9,24,1.009,33,6.1
6.406,120.251,191.0,196.0,92,34,2,2,126.0,33,14,11,65,115.085,99,104,193.93,1421.85,18,34,1.015,22,9.4
8.635,138.774,219.0,224.0,104,35,2,2,149.0,43,18,15,76,132.993,115,120,222.199,1638.12,19,39,1.015,28,8.7
8.886,95.768,145.0,151.0,67,20,2,2,108.0,40,11,8,56,90.793,78,84,145.959,1102.48,9,22,1.007,32,6.2
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.0,132.325,206.0,212.0,97,31,2,2,144.0,46,15,12,75,126.446,109,115,208.472,1545.01,17,34,1.012,34,8.3
8.078,88.461,137.0,141.0,65,21,2,2,95.0,30,11,8,49,83.981,72,76,138.403,1032.39,10,23,1.01,22,7.3
6.336,110.575,166.0,173.0,77,21,2,2,124.0,48,11,8,67,104.427,89,96,166.377,1244.69,9,22,1.002,40,5.4
5.0,131.166,203.0,209.0,97,31,2,2,140.5,46,13,11,76,124.5,106,112,204.497,1497.0,15,30,1.007,35,7.4
10.0,98.751,152.0,159.0,72,22,0,0,111.0,41,10,7,61,93.978,80,87,152.355,1089.43,9,19,1.002,34,5.9
6.418,98.558,147.0,154.0,66,18,2,2,115.0,46,12,8,59,93.573,81,88,147.85,1135.51,8,22,1.006,38,5.4
7.546,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
7.62,93.671,143.0,148.0,66,20,2,2,104.0,36,10,8,54,89.201,77,82,144.512,1095.44,11,23,1.011,28,7.7
8.301,130.331,205.0,210.0,98,33,2,2,139.0,41,16,13,72,124.467,107,112,207.573,1524.0,17,35,1.013,28,8.3
6.0,145.899,228.0,235.0,110,38,2,2,155.0,47,16,13,83,138.628,118,125,229.875,1668.23,17,35,1.008,34,7.5
5.0,102.955,156.0,162.0,72,21,2,2,115.0,42,10,8,61,97.782,84,90,157.163,1185.57,11,23,1.007,34,7.1
6.095,167.99,267.0,273.0,134,47,2,2,170.0,48,20,14,93,158.696,133,139,268.445,1884.61,18,40,1.005,34,6.7
6.0,144.137,225.0,232.0,108,37,2,2,154.0,47,16,13,82,137.101,117,124,226.991,1654.2,17,35,1.009,34,7.6
6.277,99.535,151.0,157.0,70,21,2,2,111.5,41,12,8,58,94.341,81,87,151.945,1143.54,9,23,1.006,33,6.0
6.199,85.694,132.0,136.0,62,20,2,2,93.0,30,10,8,48,81.433,70,74,133.417,1003.34,10,22,1.011,22,7.6
6.0,129.422,203.0,209.0,98,34,2,2,137.0,40,16,12,72,123.037,105,111,204.919,1492.0,15,33,1.009,28,7.4
5.0,133.177,207.0,213.0,99,32,2,2,142.5,46,15,11,76,126.543,108,114,208.701,1527.04,15,32,1.008,35,7.2
8.022,109.859,170.0,175.0,79,25,2,2,121.0,39,13,11,62,105.044,91,96,172.217,1294.68,14,29,1.013,28,8.2
6.0,137.291,209.0,215.0,98,31,3,2,146.5,47,15,12,77,129.574,111,117,211.097,1680.94,16,34,1.01,35,7.7
8.538,96.239,141.0,145.0,64,21,4,2,101.0,31,12,9,50,89.351,77,81,142.97,1327.2,11,27,1.014,22,7.8
6.0,169.746,269.0,275.0,135,47,2,2,171.5,49,19,14,95,160.202,134,140,270.227,1895.63,18,39,1.005,35,6.7
6.014,105.603,159.0,166.0,74,22,2,2,119.0,46,12,8,63,99.68,85,92,159.384,1191.63,8,22,1.002,38,5.0
6.0,99.393,147.0,152.0,68,21,3,2,106.5,37,9,8,57,92.836,79,84,147.919,1230.38,10,22,1.006,29,6.8
8.347,112.041,170.0,177.0,79,23,2,2,126.0,47,13,9,66,106.185,91,98,170.908,1278.72,10,25,1.005,38,5.9
7.721,107.177,163.0,169.0,75,22,2,2,120.0,43,11,9,63,102.045,88,94,164.475,1242.63,12,25,1.009,34,7.4
6.0,131.166,203.0,209.0,97,31,2,2,140.5,46,13,11,76,124.5,106,112,204.497,1497.0,15,30,1.007,35,7.4
6.499,110.643,169.0,175.0,77,22,2,2,125.0,44,13,10,64,105.802,92,98,171.006,1300.68,13,28,1.012,34,7.7
7.469,94.972,144.0,149.0,67,20,2,2,104.5,37,9,8,56,89.992,77,82,144.966,1090.46,10,21,1.007,29,6.9
6.0,102.313,153.0,158.0,70,22,3,2,111.0,37,11,9,57,96.308,83,88,154.777,1292.42,12,26,1.012,28,7.8
8.9,140.535,222.0,227.0,106,36,2,2,150.0,43,18,15,77,134.52,116,121,225.082,1652.15,19,39,1.014,28,8.6
7.777,128.569,202.0,207.0,96,32,2,2,138.0,41,16,13,71,122.94,106,111,204.69,1509.97,17,35,1.013,28,8.4
5.0,138.217,216.0,222.0,106,36,2,2,144.0,45,14,11,79,130.629,110,116,217.133,1556.13,15,31,1.005,34,6.9
6.0,135.603,209.0,215.0,101,36,3,2,140.0,40,16,12,74,127.408,108,114,210.755,1645.95,15,34,1.008,28,7.2
6.0,143.37,222.0,229.0,105,33,2,2,156.0,52,15,12,83,136.553,117,124,224.006,1649.17,17,34,1.009,40,7.7
6.201,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.0,144.836,226.0,233.0,107,36,2,2,157.0,48,17,14,82,138.31,119,126,228.537,1683.2,18,37,1.011,34,8.0
6.0,95.677,146.0,151.0,67,20,2,2,107.0,37,11,9,55,91.223,79,84,147.614,1122.47,11,24,1.011,28,7.5
7.1,128.245,205.0,208.0,99,35,2,2,133.0,33,17,15,68,122.918,106,109,208.33,1522.98,19,38,1.016,18,9.3
6.0,133.546,210.0,216.0,100,35,2,2,143.0,41,16,13,74,127.709,110,116,212.784,1566.04,18,36,1.013,28,8.6
9.0,132.484,208.0,213.0,97,32,2,2,145.0,43,17,15,73,127.391,111,116,211.446,1581.01,19,38,1.017,28,9.1
9.9,93.467,143.0,150.0,66,19,0,0,108.0,41,10,7,58,89.398,77,84,143.705,1047.34,9,19,1.005,34,6.3
6.134,92.438,142.0,147.0,65,21,2,2,103.5,35,13,8,52,88.361,77,82,143.977,1102.44,8,25,1.014,27,5.6
6.0,137.365,212.0,218.0,103,37,3,2,141.0,40,16,12,75,128.935,109,115,213.639,1659.98,15,34,1.008,28,7.1
6.0,131.626,205.0,211.0,98,32,2,2,141.0,45,14,11,75,125.236,107,113,206.926,1516.01,16,32,1.009,34,7.8
6.963,94.387,147.0,151.0,68,21,2,2,104.0,32,14,10,51,90.475,79,83,149.363,1133.47,12,28,1.016,22,8.2
6.401,117.688,181.0,187.0,85,26,2,2,129.0,44,13,10,68,111.91,96,102,182.541,1356.8,13,28,1.009,34,7.2
6.254,97.137,149.0,154.0,68,20,2,2,109.0,37,12,9,55,92.959,81,86,151.043,1153.49,12,26,1.014,28,8.1
6.701,85.694,132.0,136.0,62,20,2,2,93.0,30,10,8,48,81.433,70,74,133.417,1003.34,10,22,1.011,22,7.6
8.075,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
6.166,155.717,246.0,252.0,122,42,2,2,160.0,47,18,13,87,147.305,124,130,247.497,1756.41,17,37,1.006,34,6.9
6.0,146.598,229.0,236.0,109,37,2,2,158.0,48,17,14,83,139.837,120,127,231.42,1697.23,18,37,1.011,34,7.9
6.0,102.955,156.0,162.0,72,21,2,2,115.0,42,10,8,61,97.782,84,90,157.163,1185.57,11,23,1.007,34,7.1
6.159,94.194,144.0,149.0,66,21,2,2,105.0,36,12,8,54,89.866,78,83,145.759,1113.46,8,24,1.012,28,5.6
5.0,124.66,190.0,197.0,88,26,2,2,139.0,50,12,10,74,118.657,102,109,191.533,1433.88,14,28,1.008,40,7.4
6.0,127.643,197.0,203.0,93,29,2,2,138.5,46,13,11,74,121.446,104,110,198.73,1468.94,15,30,1.009,35,7.6
7.076,117.688,181.0,187.0,85,26,2,2,129.0,44,13,10,68,111.91,96,102,182.541,1356.8,13,28,1.009,34,7.2
6.14,106.603,160.0,167.0,74,21,2,2,120.5,47,12,8,64,100.68,86,93,160.384,1203.64,8,22,1.002,39,5.0
6.018,93.694,144.0,149.0,58,21,2,2,113.0,36,12,8,54,92.933,86,91,149.861,1257.38,8,32,1.041,28,5.6
6.939,92.768,142.0,148.0,67,19,0,0,105.0,41,9,7,58,88.188,75,81,142.159,1018.34,8,17,1.001,34,5.6
7.569,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.0,132.319,205.0,211.0,96,31,2,2,145.5,48,14,13,76,126.424,109,115,207.37,1542.0,17,33,1.012,35,8.3
6.0,145.899,228.0,235.0,110,38,2,2,155.0,47,16,13,83,138.628,118,125,229.875,1668.23,17,35,1.008,34,7.5
6.0,133.075,203.0,209.0,96,31,3,2,141.0,45,15,11,74,125.333,107,113,204.886,1626.89,15,33,1.009,34,7.4
6.0,145.831,226.0,233.0,106,33,2,2,160.0,53,16,13,84,139.289,120,127,228.435,1692.2,18,36,1.011,40,8.0
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
6.0,73.501,115.0,119.0,56,18,0,0,80.0,28,8,6,44,69.818,59,63,115.312,809.08,7,15,1.003,22,6.1
7.886,95.427,145.0,150.0,67,20,2,2,105.5,37,9,8,56,90.707,78,83,146.294,1106.46,11,22,1.009,29,7.6
6.0,87.705,136.0,140.0,64,21,2,2,95.0,30,12,8,48,83.476,72,76,137.621,1033.38,10,24,1.012,22,7.4
6.33,107.711,158.0,165.0,72,21,3,2,120.0,46,11,8,63,100.69,86,93,158.679,1318.5,9,23,1.004,38,5.7
8.108,100.296,153.0,159.0,72,22,2,2,111.0,40,12,8,58,94.868,81,87,153.828,1145.56,9,23,1.005,32,5.9
9.5,88.239,134.0,141.0,62,18,0,0,102.0,40,8,6,56,84.113,72,79,134.29,975.26,8,16,1.002,34,6.0
7.144,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.0,142.376,222.0,229.0,106,36,2,2,153.0,47,16,13,81,135.574,116,123,224.108,1640.17,17,35,1.009,34,7.7
6.0,144.137,225.0,232.0,108,37,2,2,154.0,47,16,13,82,137.101,117,124,226.991,1654.2,17,35,1.009,34,7.6
6.0,131.183,206.0,212.0,100,35,2,2,138.0,40,16,12,73,124.564,106,112,207.802,1506.03,15,33,1.009,28,7.3
6.0,133.546,210.0,216.0,100,35,2,2,143.0,41,16,13,74,127.709,110,116,212.784,1566.04,18,36,1.013,28,8.6
5.73,100.319,150.0,157.0,68,19,2,2,116.0,46,12,8,60,95.1,82,89,150.734,1149.54,8,22,1.005,38,5.3
8.4,94.984,146.0,151.0,69,22,2,2,103.5,35,11,8,54,90.035,77,82,147.17,1096.48,10,23,1.008,27,6.8
6.175,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
7.268,90.921,141.0,145.0,66,21,2,2,99.0,31,12,9,50,86.717,75,79,142.832,1075.42,11,25,1.013,22,7.8
6.701,85.694,132.0,136.0,62,20,2,2,93.0,30,10,8,48,81.433,70,74,133.417,1003.34,10,22,1.011,22,7.6
6.281,103.842,156.0,163.0,72,21,2,2,118.0,46,12,8,62,98.153,84,91,156.501,1177.6,8,22,1.003,38,5.1
6.818,99.393,147.0,152.0,68,21,3,2,106.5,37,9,8,57,92.836,79,84,147.919,1230.38,10,22,1.006,29,6.8
6.0,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
5.0,129.41,201.0,207.0,96,31,2,2,139.0,45,14,11,74,122.995,105,111,202.715,1485.98,15,31,1.009,34,7.5
6.033,91.938,142.0,147.0,57,21,2,2,111.5,35,13,8,52,91.427,85,90,148.079,1246.36,8,33,1.043,27,5.6
6.0,145.132,225.0,232.0,107,34,2,2,157.0,52,15,12,84,138.08,118,125,226.89,1663.2,17,34,1.008,40,7.6
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
6.0,130.416,203.0,209.0,97,31,2,2,140.0,45,15,11,74,124.016,106,112,204.817,1501.0,15,32,1.009,34,7.4
6.0,145.831,226.0,233.0,106,33,2,2,160.0,53,16,13,84,139.289,120,127,228.435,1692.2,18,36,1.011,40,8.0
8.046,95.427,145.0,150.0,67,20,2,2,105.5,37,9,8,56,90.707,78,83,146.294,1106.46,11,22,1.009,29,7.6
9.1,138.319,218.0,223.0,104,35,2,2,148.0,43,18,15,76,132.278,114,119,220.871,1622.12,18,38,1.013,28,8.3
7.0,132.484,208.0,213.0,97,32,2,2,145.0,43,17,15,73,127.391,111,116,211.446,1581.01,19,38,1.017,28,9.1
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.0,148.342,226.0,233.0,107,34,3,2,158.0,52,16,12,84,139.703,119,126,227.733,1788.11,16,35,1.008,40,7.1
6.542,99.018,150.0,156.0,69,21,2,2,111.5,41,12,8,58,94.01,81,87,151.13,1145.53,8,23,1.008,33,5.3
6.682,94.984,146.0,151.0,69,22,2,2,103.5,35,11,8,54,90.035,77,82,147.17,1096.48,10,23,1.008,27,6.8
6.896,111.7,170.0,176.0,79,23,2,2,123.5,44,11,9,66,106.098,91,97,171.243,1282.7,12,25,1.007,35,7.1
5.648,111.779,168.0,176.0,79,25,3,3,124.5,46,13,9,65,104.942,89,97,168.33,1266.78,8,24,1.002,37,4.8
7.569,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
7.328,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
5.708,118.422,178.0,186.0,82,21,1,0,137.0,58,11,8,75,112.461,96,104,178.199,1317.13,9,21,1.001,50,5.1
7.519,88.461,137.0,141.0,65,21,2,2,95.0,30,11,8,49,83.981,72,76,138.403,1032.39,10,23,1.01,22,7.3
9.114,87.91,136.0,140.0,64,21,2,2,95.0,30,10,8,49,83.675,72,76,137.628,1033.37,11,23,1.012,22,8.1
4.0,62.518,100.0,102.0,51,17,0,0,64.0,21,7,5,36,59.028,49,51,100.116,677.94,6,13,1.001,16,6.0
7.602,72.739,113.0,118.0,54,18,0,0,81.0,28,8,6,44,69.291,59,64,113.428,807.06,7,15,1.004,22,6.2
7.961,79.711,122.0,126.0,57,18,2,2,87.0,29,9,7,45,75.643,65,69,123.221,932.25,9,20,1.01,22,7.4
7.337,93.217,142.0,147.0,66,20,2,2,103.0,36,10,8,54,88.487,76,81,143.185,1079.44,10,22,1.008,28,7.0
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
6.0,199.155,312.0,323.0,151,50,0,0,217.0,73,21,17,119,189.702,161,172,313.445,2211.91,21,42,1.005,56,6.7
7.18,39.29,56.0,60.0,25,5,1,1,48.0,26,5,0,25,36.562,31,35,55.421,427.62,0,6,0.99,26,0.0
5.474,93.745,146.0,150.0,71,24,2,2,98.0,30,11,8,52,88.562,75,79,147.054,1074.48,10,23,1.007,22,6.8
6.0,131.172,204.0,210.0,98,32,2,2,140.0,45,14,11,75,124.521,106,112,205.599,1500.01,15,31,1.008,34,7.4
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.997,91.007,139.0,145.0,65,18,0,0,104.0,41,9,7,57,86.661,74,80,139.275,1004.31,8,17,1.002,34,5.8
6.16,99.654,153.0,158.0,71,22,2,2,110.0,37,11,9,57,94.991,82,87,154.708,1166.53,12,25,1.011,28,7.8
5.959,36.96,55.0,59.0,25,8,0,0,43.5,18,1,1,25,35.202,30,34,55.014,403.51,4,5,1.0,17,7.3
7.569,97.188,148.0,153.0,69,21,2,2,106.5,37,9,8,57,92.234,79,84,149.177,1120.49,11,22,1.008,29,7.4
6.0,134.081,208.0,214.0,98,31,2,2,145.5,47,14,12,77,127.951,110,116,210.253,1556.03,17,33,1.011,35,8.2
6.0,148.49,226.0,233.0,105,33,3,2,161.0,53,16,13,84,140.606,121,128,228.504,1818.09,18,37,1.011,40,8.0
6.75,118.422,178.0,186.0,82,21,1,0,137.0,58,11,8,75,112.461,96,104,178.199,1317.13,9,21,1.001,50,5.1
6.0,148.359,232.0,239.0,111,38,2,2,159.0,48,17,14,84,141.364,121,128,234.304,1711.26,18,37,1.01,34,7.8
6.959,103.461,156.0,162.0,73,23,3,2,113.5,41,12,8,60,97.508,83,89,156.708,1190.04,8,23,1.005,33,5.1
5.829,107.609,162.0,169.0,75,21,2,2,121.5,47,13,8,64,101.702,87,94,162.486,1218.66,8,23,1.003,39,4.9
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
7.4,72.739,113.0,118.0,54,18,0,0,81.0,28,8,6,44,69.291,59,64,113.428,807.06,7,15,1.004,22,6.2
8.638,43.512,63.0,67.0,28,7,1,1,53.0,27,6,1,27,40.825,35,39,62.734,484.68,1,8,0.996,26,1.6
7.131,93.58,141.0,145.0,65,21,3,2,100.0,31,12,9,50,88.034,76,80,142.901,1201.31,11,26,1.013,22,7.8
8.308,86.813,136.0,140.0,65,21,1,1,94.0,30,11,8,49,82.794,71,75,137.326,1000.32,10,22,1.01,22,7.4
6.0,129.865,202.0,208.0,96,31,2,2,140.0,45,14,11,74,123.709,106,112,204.042,1501.98,16,32,1.01,34,7.9
6.268,96.603,151.0,155.0,70,22,2,2,106.0,32,14,10,52,92.717,81,85,153.574,1163.5,13,29,1.017,22,8.6
8.066,107.853,167.0,172.0,78,25,2,2,118.0,38,12,10,61,103.023,89,94,169.115,1267.65,14,28,1.013,28,8.4
6.585,106.95,161.0,168.0,75,25,3,3,117.5,41,12,8,62,100.777,86,93,161.857,1231.7,8,24,1.005,33,5.0
6.037,93.694,144.0,149.0,58,21,2,2,113.0,36,12,8,54,92.933,86,91,149.861,1257.38,8,32,1.041,28,5.6
7.0,131.251,209.0,213.0,100,35,2,2,139.0,37,18,15,70,125.939,109,113,212.432,1562.02,19,39,1.016,22,9.1
6.0,94.222,144.0,149.0,67,20,2,2,104.0,36,11,8,54,89.508,77,82,145.286,1094.46,10,23,1.009,28,6.9
6.3,102.086,154.0,161.0,71,21,2,2,116.5,45,13,8,60,96.648,83,90,154.719,1166.58,8,23,1.005,37,5.2
6.178,108.183,165.0,171.0,76,22,2,2,121.0,43,12,9,63,103.066,89,95,166.577,1257.65,12,26,1.01,34,7.3
7.032,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.62,99.938,150.0,156.0,69,21,3,2,111.5,41,12,8,58,94.454,81,87,150.941,1161.98,8,23,1.006,33,5.3
6.0,135.603,209.0,215.0,101,36,3,2,140.0,40,16,12,74,127.408,108,114,210.755,1645.95,15,34,1.008,28,7.2
6.815,103.967,155.0,161.0,72,25,5,3,111.0,36,12,8,58,97.522,83,89,156.108,1232.53,8,25,1.007,28,5.2
7.18,97.024,144.0,149.0,66,21,4,2,105.0,36,12,8,54,91.15,78,83,145.192,1235.26,8,24,1.008,28,5.6
6.415,125.882,194.0,200.0,91,28,2,2,137.5,46,13,11,73,119.92,103,109,195.846,1454.91,15,30,1.01,35,7.7
6.0,133.546,210.0,216.0,100,35,2,2,143.0,41,16,13,74,127.709,110,116,212.784,1566.04,18,36,1.013,28,8.6
6.004,113.302,169.0,175.0,76,22,3,2,126.0,44,13,10,64,107.119,93,99,171.075,1426.57,13,29,1.012,34,7.7
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
9.2,136.558,215.0,220.0,102,34,2,2,147.0,43,18,15,75,130.751,113,118,217.988,1608.09,18,38,1.014,28,8.4
8.2,131.251,209.0,213.0,100,35,2,2,139.0,37,18,15,70,125.939,109,113,212.432,1562.02,19,39,1.016,22,9.1
9.2,100.512,155.0,162.0,74,23,0,0,112.0,41,10,7,62,95.505,81,88,155.239,1103.46,9,19,1.002,34,5.8
6.0,66.205,102.0,105.0,48,16,2,2,71.0,22,8,6,36,62.8,54,57,103.258,785.06,8,18,1.012,16,7.8
5.801,94.194,144.0,149.0,66,21,2,2,105.0,36,12,8,54,89.866,78,83,145.759,1113.46,8,24,1.012,28,5.6
6.0,85.018,128.0,133.0,59,17,2,2,95.0,35,9,7,50,80.455,69,74,128.777,978.32,8,19,1.006,28,6.3
7.298,90.677,141.0,145.0,67,22,2,2,97.0,30,11,8,50,86.223,74,78,142.614,1062.42,11,24,1.011,22,7.8
6.959,97.137,149.0,154.0,68,20,2,2,109.0,37,12,9,55,92.959,81,86,151.043,1153.49,12,26,1.014,28,8.1
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.339,106.643,165.0,170.0,77,24,2,2,117.0,38,13,10,60,101.802,88,93,167.006,1252.64,13,28,1.012,28,7.9
6.0,124.66,190.0,197.0,88,26,2,2,139.0,50,12,10,74,118.657,102,109,191.533,1433.88,14,28,1.008,40,7.4
6.284,107.87,161.0,168.0,75,25,4,3,117.5,41,12,8,62,101.222,86,93,161.668,1248.15,8,24,1.004,33,5.0
5.86,93.694,144.0,149.0,58,21,2,2,113.0,36,12,8,54,92.933,86,91,149.861,1257.38,8,32,1.041,28,5.6
5.0,143.37,222.0,229.0,105,33,2,2,156.0,52,15,12,83,136.553,117,124,224.006,1649.17,17,34,1.009,40,7.7
8.119,96.131,147.0,152.0,67,20,2,2,108.0,37,11,9,55,91.938,80,85,148.941,1138.47,12,25,1.013,28,8.2
6.0,138.853,216.0,223.0,102,34,2,2,151.0,47,16,13,79,132.521,114,121,218.341,1612.11,17,35,1.011,34,7.9
7.74,113.802,173.0,180.0,81,24,2,2,127.0,47,13,9,67,107.712,92,99,173.792,1292.75,10,25,1.005,38,5.8
7.06,99.387,149.0,155.0,68,20,3,2,111.5,41,11,8,58,94.148,81,87,150.166,1162.96,9,23,1.008,33,6.0
7.469,108.183,165.0,171.0,76,22,2,2,121.0,43,12,9,63,103.066,89,95,166.577,1257.65,12,26,1.01,34,7.3
6.0,133.546,210.0,216.0,100,35,2,2,143.0,41,16,13,74,127.709,110,116,212.784,1566.04,18,36,1.013,28,8.6
6.0,142.376,222.0,229.0,106,36,2,2,153.0,47,16,13,81,135.574,116,123,224.108,1640.17,17,35,1.009,34,7.7
6.857,96.035,144.0,149.0,66,21,4,2,105.0,36,12,8,54,90.755,78,83,145.381,1146.36,8,24,1.01,28,5.6
6.0,132.927,206.0,212.0,99,32,2,2,141.5,46,13,11,77,126.027,107,113,207.381,1511.03,15,30,1.007,35,7.3
6.0,90.461,139.0,145.0,65,23,2,2,99.0,30,11,8,51,85.981,74,80,140.403,1056.41,10,23,1.01,22,7.2
6.0,90.222,140.0,144.0,67,22,2,2,96.0,30,11,8,50,85.508,73,77,141.286,1046.42,10,23,1.009,22,7.1
7.523,94.222,144.0,149.0,67,20,2,2,104.0,36,11,8,54,89.508,77,82,145.286,1094.46,10,23,1.009,28,6.9
6.0,133.933,208.0,214.0,100,32,2,2,142.5,46,14,11,77,127.048,108,114,209.482,1526.05,15,31,1.007,35,7.2
6.0,104.848,158.0,165.0,73,21,2,2,119.0,46,13,8,62,99.175,85,92,158.603,1192.62,8,23,1.004,38,5.1
6.0,145.035,222.0,229.0,105,36,3,2,154.0,47,16,13,81,136.891,117,124,224.177,1766.06,17,36,1.01,34,7.7
6.0,132.325,206.0,212.0,97,31,2,2,144.0,46,15,12,75,126.446,109,115,208.472,1545.01,17,34,1.012,34,8.3
6.0,136.74,208.0,214.0,97,31,3,2,146.5,47,14,12,77,129.268,111,117,210.322,1681.92,17,34,1.011,35,8.2
9.0,93.887,142.0,146.0,67,22,3,2,98.0,30,12,8,50,87.846,75,79,143.457,1187.33,10,25,1.01,22,7.0
7.523,90.921,141.0,145.0,66,21,2,2,99.0,31,12,9,50,86.717,75,79,142.832,1075.42,11,25,1.013,22,7.8
6.0,140.615,219.0,226.0,104,35,2,2,152.0,47,16,13,80,134.047,115,122,221.224,1626.14,17,35,1.01,34,7.8
9.4,136.558,215.0,220.0,102,34,2,2,147.0,43,18,15,75,130.751,113,118,217.988,1608.09,18,38,1.014,28,8.4
6.262,119.944,190.0,195.0,90,33,2,2,128.0,34,14,12,65,115.273,100,105,193.374,1435.83,19,35,1.018,22,10.0
5.432,88.16,137.0,141.0,64,21,2,2,96.0,30,12,8,48,84.191,73,77,138.948,1049.38,11,25,1.014,22,8.0
8.515,266.405,430.0,437.0,209,77,3,3,277.0,63,41,35,139,255.852,221,228,437.063,3159.1,38,82,1.016,28,8.8
8.579,264.098,427.0,434.0,207,77,3,3,275.0,62,41,34,137,254.04,220,227,434.507,3149.06,39,83,1.018,28,9.1
6.0,142.927,223.0,230.0,107,36,2,2,153.0,47,17,13,81,135.881,116,123,224.882,1639.19,16,35,1.008,34,7.2
9.252,45.813,71.0,74.0,35,11,0,0,50.0,19,5,3,28,43.153,36,39,70.745,489.68,3,8,0.996,16,4.2
