pXC50,MW,Sv,SCBO,Sp,nSK,nBO,nBM,nBT,Se,nAT,Si,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBR,nCL,nCsp,nCsp2
5.3,425.97,33.25,42.0,35.284,29,31,20,51,49.313,49,54.515,22,8.693,44.9,40.8,1.006,1.113,0.72,0.679,6.1,18,0,0,1,0,20
5.1,383.51,31.455,46.0,33.245,28,32,27,49,44.887,45,49.903,22,8.522,48.9,37.8,0.997,1.109,0.739,0.699,11.1,26,0,0,0,0,22
5.9,453.64,40.67,50.0,43.381,34,39,22,70,64.323,65,73.099,28,6.979,43.1,47.7,0.99,1.125,0.667,0.626,7.7,22,0,0,0,0,18
6.4,506.58,38.726,54.5,39.557,36,40,28,60,57.436,56,63.33,25,9.046,44.6,35.7,1.026,1.131,0.706,0.692,10.7,27,0,0,0,0,23
6.3,386.51,31.675,44.0,33.455,28,31,24,49,45.996,46,51.029,22,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,22,0,0,0,0,21
5.7,368.86,27.648,38.0,28.994,25,28,19,41,38.56,38,41.771,19,9.707,50.0,34.2,1.015,1.099,0.763,0.728,5.3,18,0,0,1,0,18
6.5,404.49,31.379,45.0,32.398,29,32,24,48,45.76,45,50.405,20,8.989,44.4,35.6,1.017,1.12,0.72,0.697,13.3,22,0,0,0,0,20
5.2,375.42,30.412,43.0,30.96,28,31,20,48,45.793,45,50.611,20,8.343,44.4,37.8,1.018,1.125,0.688,0.676,11.1,16,0,0,0,0,18
5.1,492.51,37.723,54.5,37.642,36,40,28,59,56.865,55,63.121,24,8.955,43.6,34.5,1.034,1.148,0.684,0.686,14.5,27,0,0,0,0,22
5.7,428.52,32.862,44.0,33.83,30,32,21,52,51.182,50,56.654,19,8.57,38.0,40.0,1.024,1.133,0.677,0.657,12.0,18,0,0,0,0,17
5.1,380.39,29.244,44.5,29.171,28,32,25,46,43.382,42,47.955,19,9.057,45.2,33.3,1.033,1.142,0.695,0.696,14.3,25,0,0,0,0,16
5.1,269.33,22.655,29.5,23.495,20,22,13,37,35.262,35,39.405,15,7.695,42.9,42.9,1.007,1.126,0.671,0.647,8.6,11,0,0,0,0,12
5.4,206.26,15.194,21.5,15.881,14,16,11,23,21.444,21,23.502,10,9.822,47.6,33.3,1.021,1.119,0.756,0.724,9.5,11,0,0,0,0,9
5.1,363.45,27.993,34.0,29.057,25,28,9,46,43.945,43,48.704,17,8.452,39.5,41.9,1.022,1.133,0.676,0.651,7.0,6,0,0,0,0,10
5.1,254.29,20.576,29.5,21.006,19,21,17,32,30.454,30,33.994,14,8.476,46.7,36.7,1.015,1.133,0.7,0.686,13.3,17,0,0,0,0,13
5.1,241.32,20.94,26.0,22.04,18,19,13,34,32.934,33,37.196,14,7.313,42.4,45.5,0.998,1.127,0.668,0.635,9.1,12,0,0,0,0,12
6.35,498.66,41.013,54.5,43.205,36,40,28,66,62.178,62,69.481,27,8.043,43.5,41.9,1.003,1.121,0.697,0.662,9.7,27,0,0,0,0,23
5.2,380.41,28.239,42.0,28.534,27,30,16,42,40.327,39,43.412,18,9.754,46.2,30.8,1.034,1.113,0.732,0.724,10.3,10,0,0,0,1,16
5.1,251.26,20.074,31.5,20.21,19,21,17,30,28.611,28,31.159,14,8.974,50.0,32.1,1.022,1.113,0.722,0.717,10.7,15,0,0,0,1,12
5.1,264.35,23.445,30.5,24.796,20,22,17,38,35.716,36,40.112,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,5.6,17,0,0,0,0,15
5.8,407.29,28.986,41.0,30.398,26,29,23,44,41.265,41,45.535,20,9.934,48.8,36.6,1.006,1.111,0.741,0.707,9.8,22,0,1,0,0,19
5.1,381.85,29.525,41.0,30.364,27,30,22,46,43.789,43,48.346,19,8.88,44.2,37.2,1.018,1.124,0.706,0.687,11.6,22,0,0,1,0,17
5.15,317.42,27.993,36.0,29.563,24,26,19,45,42.702,43,48.026,20,7.382,46.5,44.2,0.993,1.117,0.688,0.651,7.0,18,0,0,0,0,18
5.1,399.46,32.893,47.5,33.75,30,34,27,52,48.534,48,53.947,23,8.322,47.9,37.5,1.011,1.124,0.703,0.685,10.4,27,0,0,0,0,21
5.7,288.16,19.197,27.0,20.415,17,19,16,29,27.069,27,29.997,13,10.673,48.1,37.0,1.003,1.111,0.756,0.711,11.1,16,0,1,0,0,13
5.1,289.32,23.402,36.5,23.767,22,25,22,36,33.487,33,36.947,16,8.767,48.5,33.3,1.015,1.12,0.72,0.709,15.2,21,0,0,0,0,16
5.1,238.27,19.381,29.0,19.762,18,20,17,30,28.385,28,31.448,13,8.51,46.4,35.7,1.014,1.123,0.706,0.692,14.3,16,0,0,0,0,13
5.1,461.61,40.617,53.5,42.858,35,39,26,66,61.556,62,69.268,29,7.445,46.8,43.5,0.993,1.117,0.691,0.655,8.1,23,0,0,0,0,25
7.1,405.43,31.597,46.0,31.693,30,33,24,49,47.298,46,52.323,20,8.814,43.5,34.8,1.028,1.137,0.689,0.687,15.2,22,0,0,0,0,20
5.6,427.58,38.541,47.0,41.029,32,35,23,64,60.454,61,67.939,28,7.01,45.9,47.5,0.991,1.114,0.673,0.632,1.6,22,0,0,0,0,21
5.1,390.45,32.113,44.0,32.961,29,32,23,51,48.643,48,54.073,22,8.134,45.8,39.6,1.013,1.127,0.687,0.669,8.3,22,0,0,0,0,20
6.7,398.53,34.22,39.5,36.006,29,31,14,58,56.178,56,63.734,22,7.117,39.3,48.2,1.003,1.138,0.643,0.611,7.1,11,0,0,0,0,14
5.1,360.43,29.673,42.0,30.54,27,31,22,48,44.425,44,49.821,20,8.192,45.5,38.6,1.01,1.132,0.694,0.674,13.6,22,0,0,0,0,16
5.6,265.34,22.94,30.5,24.04,20,22,17,37,34.934,35,39.196,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,17,0,0,0,0,14
6.6,427.36,33.197,43.0,35.046,29,32,22,52,49.334,49,54.827,22,8.722,44.9,40.8,1.007,1.119,0.715,0.677,8.2,22,0,0,2,0,18
5.1,453.64,40.67,50.0,43.381,34,39,22,70,64.323,65,73.099,28,6.979,43.1,47.7,0.99,1.125,0.667,0.626,7.7,22,0,0,0,0,18
5.4,339.8,26.482,36.5,27.352,24,27,18,41,38.585,38,42.349,18,8.942,47.4,36.8,1.015,1.114,0.72,0.697,7.9,17,0,0,1,0,16
6.3,388.39,28.852,40.0,28.364,28,30,18,46,45.985,44,50.694,15,8.827,34.1,36.4,1.045,1.152,0.645,0.656,18.2,16,0,0,0,0,12
5.1,380.45,31.839,40.0,32.926,28,30,19,51,49.534,49,55.117,22,7.764,44.9,42.9,1.011,1.125,0.672,0.65,4.1,18,0,0,0,0,18
5.3,429.9,33.008,42.0,33.796,30,32,15,52,51.211,50,56.595,20,8.598,40.0,40.0,1.024,1.132,0.676,0.66,10.0,12,0,0,1,1,12
5.1,290.34,24.633,34.5,25.489,22,25,18,39,36.16,36,39.907,18,8.065,50.0,38.9,1.004,1.109,0.708,0.684,5.6,17,0,0,0,0,17
5.1,392.48,32.441,43.0,33.517,29,32,22,53,50.52,50,56.861,21,7.85,42.0,42.0,1.01,1.137,0.67,0.649,12.0,22,0,0,0,0,16
5.1,585.74,48.034,67.5,50.211,43,49,35,76,70.28,70,77.979,33,8.368,47.1,38.6,1.004,1.114,0.717,0.686,10.0,33,0,0,0,0,29
5.1,388.23,26.593,35.0,27.506,24,26,15,40,38.825,38,42.084,18,10.217,47.4,36.8,1.022,1.107,0.724,0.7,2.6,12,0,1,0,0,16
5.1,299.41,26.235,30.0,27.779,22,24,9,45,42.912,43,48.651,17,6.963,39.5,48.8,0.998,1.131,0.646,0.61,7.0,6,0,0,0,0,9
5.3,399.45,30.135,41.0,30.779,28,32,15,47,44.247,43,48.42,20,9.29,46.5,34.9,1.029,1.126,0.716,0.701,7.0,12,0,0,0,0,16
5.1,424.5,34.351,45.0,35.216,31,34,22,56,53.916,53,60.615,22,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,0,0,0,0,16
5.1,479.63,41.858,54.5,44.074,36,40,28,69,64.767,65,72.893,29,7.379,44.6,44.6,0.996,1.121,0.678,0.644,7.7,27,0,0,0,0,23
5.1,747.02,61.76,71.0,64.444,54,55,22,105,104.945,104,120.613,32,7.183,30.8,48.1,1.009,1.16,0.62,0.594,19.2,12,0,0,0,0,22
5.1,331.45,29.52,37.0,31.324,25,27,19,48,45.585,46,51.441,21,7.205,45.7,45.7,0.991,1.118,0.681,0.642,6.5,18,0,0,0,0,18
5.1,373.51,31.181,42.0,33.211,27,30,23,49,45.778,46,50.946,22,8.12,47.8,41.3,0.995,1.108,0.722,0.678,6.5,22,0,0,0,0,20
5.1,430.42,32.594,44.0,32.29,31,33,20,50,49.996,48,54.962,21,8.967,43.8,35.4,1.042,1.145,0.673,0.679,8.3,18,0,0,0,0,19
5.1,220.62,15.354,24.0,15.301,15,17,12,22,20.949,20,22.19,10,11.031,50.0,25.0,1.047,1.109,0.765,0.768,10.0,10,0,0,1,0,10
5.3,330.45,26.39,35.0,27.909,23,25,18,43,41.323,41,46.238,16,8.06,39.0,43.9,1.008,1.128,0.681,0.644,9.8,16,0,0,0,0,13
5.1,348.39,28.391,40.0,28.955,26,29,19,45,42.691,42,47.113,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,16,0,0,0,0,17
5.1,407.44,30.261,46.5,30.54,29,32,25,45,43.429,42,46.91,19,9.701,45.2,31.0,1.034,1.117,0.727,0.72,11.9,21,0,0,0,0,19
6.1,273.14,18.175,26.0,19.409,16,18,16,27,24.967,25,27.499,13,10.926,52.0,36.0,0.999,1.1,0.776,0.727,8.0,16,0,1,0,0,13
5.2,221.28,19.171,27.5,20.063,17,19,17,30,27.84,28,31.156,14,7.903,50.0,39.3,0.994,1.113,0.717,0.685,10.7,17,0,0,0,0,14
5.5,567.66,42.378,59.0,43.591,39,42,29,64,62.771,61,68.083,27,9.306,44.3,36.1,1.029,1.116,0.715,0.695,4.9,24,0,0,0,0,25
5.1,411.48,32.498,43.0,32.983,30,33,18,54,52.2,51,58.604,18,8.068,35.3,41.2,1.024,1.149,0.647,0.637,17.6,16,0,0,0,0,12
5.1,429.53,34.899,43.0,35.983,31,34,17,59,56.901,56,64.529,21,7.67,37.5,44.6,1.016,1.152,0.643,0.623,12.5,16,0,0,0,0,12
5.1,399.9,32.821,45.0,34.421,29,33,21,51,47.025,47,51.97,24,8.509,51.1,38.3,1.001,1.106,0.732,0.698,6.4,18,0,0,1,0,22
6.7,284.35,23.676,31.0,24.5,21,23,16,39,37.363,37,41.903,15,7.685,40.5,43.2,1.01,1.133,0.662,0.64,10.8,16,0,0,0,0,12
5.4,269.29,21.117,32.0,21.222,20,22,18,33,31.814,31,35.156,13,8.687,41.9,35.5,1.026,1.134,0.685,0.681,16.1,16,0,0,0,0,12
5.1,776.07,64.308,73.0,67.211,56,57,22,110,109.93,109,126.526,33,7.12,30.3,48.6,1.009,1.161,0.617,0.59,19.3,12,0,0,0,0,22
6.0,353.43,27.557,38.0,28.597,25,28,18,43,40.665,40,44.534,18,8.836,45.0,37.5,1.017,1.113,0.715,0.689,7.5,16,0,0,0,0,16
6.3,379.48,29.885,43.0,31.154,27,30,24,47,44.542,44,49.322,19,8.625,43.2,38.6,1.012,1.121,0.708,0.679,11.4,22,0,0,0,0,18
5.2,289.79,23.294,28.0,24.659,20,21,13,37,36.142,36,40.555,15,8.05,41.7,44.4,1.004,1.127,0.685,0.647,8.3,12,0,0,1,0,12
5.1,371.47,32.235,43.0,33.779,28,31,23,52,48.912,49,54.651,23,7.581,46.9,42.9,0.998,1.115,0.689,0.658,6.1,22,0,0,0,0,20
5.7,405.42,31.796,46.0,31.898,30,33,24,49,47.305,46,51.951,21,8.813,45.7,34.8,1.028,1.129,0.693,0.691,10.9,22,0,0,0,0,21
5.1,361.48,31.762,39.0,33.54,27,29,19,52,49.796,50,56.066,22,7.23,44.0,46.0,0.996,1.121,0.671,0.635,6.0,18,0,0,0,0,18
6.2,486.62,39.155,53.5,40.926,35,39,28,62,58.48,58,65.196,26,8.39,44.8,39.7,1.008,1.124,0.706,0.675,10.3,27,0,0,0,0,23
5.1,450.54,36.878,48.0,37.978,33,37,22,61,57.8,57,65.031,24,7.904,42.1,42.1,1.014,1.141,0.666,0.647,10.5,22,0,0,0,0,16
5.3,273.14,18.175,26.0,19.409,16,18,16,27,24.967,25,27.499,13,10.926,52.0,36.0,0.999,1.1,0.776,0.727,8.0,16,0,1,0,0,13
5.2,370.22,25.153,36.0,26.085,23,25,18,37,35.607,35,38.831,17,10.578,48.6,34.3,1.017,1.109,0.745,0.719,8.6,16,0,1,0,1,15
6.1,505.67,39.367,54.0,41.54,35,38,26,61,58.596,58,64.697,25,8.718,43.1,39.7,1.01,1.115,0.716,0.679,8.6,22,0,0,0,2,20
5.1,247.38,22.52,23.0,24.324,18,19,7,40,38.585,39,44.441,14,6.343,35.9,53.8,0.989,1.14,0.624,0.577,7.7,6,0,0,0,0,6
5.1,333.3,24.079,35.5,23.341,24,26,18,36,35.909,34,39.381,15,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,0,0,0,0,14
5.6,387.5,31.17,44.0,32.699,28,32,23,49,45.214,45,50.112,21,8.611,46.7,37.8,1.005,1.114,0.727,0.693,11.1,22,0,0,0,0,19
5.1,344.8,24.11,36.5,24.722,23,26,21,35,33.113,32,35.522,15,10.775,46.9,28.1,1.035,1.11,0.773,0.753,12.5,21,0,0,1,0,15
5.1,293.35,24.655,33.0,25.495,22,24,15,39,37.262,37,41.405,17,7.928,45.9,40.5,1.007,1.119,0.689,0.666,8.1,12,0,0,0,0,15
5.9,482.44,34.248,45.5,36.574,30,33,23,53,50.211,50,55.784,22,9.649,44.0,40.0,1.004,1.116,0.731,0.685,10.0,21,0,1,0,0,19
5.1,235.09,14.648,20.5,15.648,13,15,11,22,20.084,20,22.084,10,11.755,50.0,35.0,1.004,1.104,0.782,0.732,10.0,11,0,1,0,0,9
4.7,190.28,16.72,20.0,17.83,14,15,10,29,27.825,28,32.069,10,6.796,35.7,50.0,0.994,1.145,0.637,0.597,14.3,10,0,0,0,0,7
5.1,245.32,20.456,25.0,21.29,18,19,12,34,33.254,33,37.777,12,7.434,36.4,45.5,1.008,1.145,0.645,0.62,15.2,12,0,0,0,0,10
5.9,367.82,27.998,39.0,28.602,26,29,19,43,40.905,40,44.93,18,9.195,45.0,35.0,1.023,1.123,0.715,0.7,12.5,18,0,0,1,0,17
5.1,350.46,30.256,38.0,31.784,26,29,17,51,48.014,48,54.149,20,7.301,41.7,45.8,1.0,1.128,0.662,0.63,8.3,16,0,0,0,0,14
5.1,377.38,29.799,43.0,29.858,28,31,21,46,44.244,43,48.033,20,8.776,46.5,34.9,1.029,1.117,0.694,0.693,7.0,18,0,0,0,0,19
5.1,440.5,35.066,46.0,35.671,32,35,22,57,55.243,54,61.825,22,8.157,40.7,40.7,1.023,1.145,0.661,0.649,11.1,22,0,0,0,0,16
5.1,280.79,22.316,25.5,23.665,19,20,11,37,36.243,36,41.053,13,7.8,36.1,47.2,1.007,1.14,0.657,0.62,11.1,11,0,0,1,0,8
5.6,346.43,29.004,40.5,30.057,26,29,22,47,44.24,44,49.69,19,7.873,43.2,40.9,1.005,1.129,0.683,0.659,13.6,21,0,0,0,0,16
5.1,283.41,25.52,29.0,27.324,21,23,12,44,41.585,42,47.441,17,6.748,40.5,50.0,0.99,1.13,0.651,0.608,7.1,12,0,0,0,0,10
5.7,421.54,36.563,50.5,38.336,32,37,27,60,54.789,55,61.438,26,7.664,47.3,41.8,0.996,1.117,0.697,0.665,9.1,27,0,0,0,0,21
5.1,255.31,19.745,29.0,20.608,18,20,17,29,27.367,27,29.498,14,9.456,51.9,33.3,1.014,1.093,0.763,0.731,3.7,16,0,0,0,0,14
5.1,410.47,32.824,44.0,33.455,30,33,22,53,51.032,50,57.2,21,8.209,42.0,40.0,1.021,1.144,0.669,0.656,12.0,22,0,0,0,0,16
5.1,361.45,30.904,41.0,32.262,27,30,22,50,47.098,47,52.781,22,7.69,46.8,42.6,1.002,1.123,0.686,0.658,6.4,22,0,0,0,0,19
5.2,400.46,33.643,45.0,34.682,30,33,21,53,50.465,50,55.571,24,8.009,48.0,40.0,1.009,1.111,0.694,0.673,4.0,18,0,0,0,0,21
5.1,359.2,20.773,25.0,22.949,18,20,10,34,32.323,32,36.498,11,11.225,34.4,43.8,1.01,1.141,0.717,0.649,15.6,10,0,0,0,0,5
6.5,267.36,23.467,30.0,24.801,20,22,16,39,36.818,37,41.611,16,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,16,0,0,0,0,12
5.1,279.36,24.665,31.5,26.006,21,24,13,41,37.825,38,42.239,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,11,0,0,0,0,12
5.1,188.02,11.246,17.0,11.494,11,12,10,15,14.836,14,15.798,6,13.43,42.9,21.4,1.06,1.128,0.821,0.803,21.4,10,0,0,2,0,6
5.1,366.87,30.041,38.0,31.631,26,28,19,47,45.134,45,50.096,21,8.153,46.7,42.2,1.003,1.113,0.703,0.668,4.4,18,0,0,1,0,18
6.3,349.36,27.706,41.0,27.915,26,29,23,42,39.96,39,43.875,20,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,0,0,0,0,20
5.1,265.32,19.503,26.0,20.074,18,19,12,30,29.898,29,32.704,11,9.149,37.9,37.9,1.031,1.128,0.692,0.673,10.3,10,0,0,0,0,9
5.1,338.42,28.398,37.0,29.506,25,28,17,47,44.316,44,49.864,19,7.691,43.2,43.2,1.007,1.133,0.671,0.645,9.1,16,0,0,0,0,14
7.1,315.4,27.467,37.5,28.801,24,27,19,44,40.818,41,45.611,20,7.693,48.8,41.5,0.996,1.112,0.702,0.67,7.3,17,0,0,0,0,18
5.1,312.36,25.391,34.5,25.955,23,26,16,42,39.691,39,44.113,16,8.009,41.0,41.0,1.018,1.131,0.666,0.651,10.3,15,0,0,0,0,11
5.6,476.34,35.352,52.5,36.222,33,37,25,52,49.113,48,53.29,24,9.924,50.0,31.3,1.023,1.11,0.755,0.737,10.4,21,0,0,2,1,21
5.3,316.42,24.863,34.0,26.148,22,24,18,40,38.44,38,42.823,15,8.327,39.5,42.1,1.012,1.127,0.688,0.654,10.5,16,0,0,0,0,13
6.6,482.69,43.218,52.0,46.148,36,41,22,75,69.309,70,79.012,29,6.896,41.4,48.6,0.99,1.129,0.659,0.617,8.6,22,0,0,0,0,18
5.2,411.42,31.659,45.0,31.625,30,33,23,49,47.56,46,52.626,21,8.944,45.7,34.8,1.034,1.144,0.688,0.688,10.9,22,0,0,0,0,20
5.1,344.4,28.676,41.0,29.5,26,29,23,45,42.363,42,46.903,20,8.2,47.6,38.1,1.009,1.117,0.702,0.683,9.5,22,0,0,0,0,19
5.8,343.41,29.181,41.0,30.256,26,29,23,46,43.145,43,47.82,21,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,22,0,0,0,0,20
5.1,433.59,34.082,49.0,36.313,30,34,28,53,49.182,49,54.075,23,8.849,46.9,38.8,1.004,1.104,0.741,0.696,6.1,26,0,0,0,0,21
5.1,307.38,26.181,35.0,27.256,23,26,17,43,40.145,40,44.82,18,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,16,0,0,0,0,14
7.3,363.27,27.143,35.0,28.523,24,26,17,42,40.567,40,44.997,17,9.082,42.5,40.0,1.014,1.125,0.713,0.679,10.0,16,0,0,2,0,14
7.1,427.47,33.713,45.0,34.148,31,34,22,54,52.327,51,58.457,22,8.382,43.1,39.2,1.026,1.146,0.67,0.661,9.8,22,0,0,0,0,17
5.1,319.84,23.954,31.5,25.546,21,23,16,37,35.334,35,39.06,15,9.138,42.9,40.0,1.01,1.116,0.73,0.684,8.6,15,0,0,1,0,12
5.1,265.34,22.94,30.5,24.04,20,22,17,37,34.934,35,39.196,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,17,0,0,0,0,14
5.1,332.43,29.214,37.0,30.773,25,27,19,47,44.811,45,50.152,21,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,0,0,0,0,18
5.1,396.44,31.297,43.5,31.694,29,33,21,51,48.149,47,53.785,20,8.435,42.6,38.3,1.024,1.144,0.674,0.666,12.8,21,0,0,0,0,14
6.4,447.45,31.703,46.0,31.449,31,34,23,47,46.265,44,50.471,20,10.169,45.5,29.5,1.051,1.147,0.715,0.721,11.4,22,0,0,0,0,19
5.1,305.59,16.378,22.0,17.608,15,16,11,22,21.811,21,23.157,9,14.552,42.9,28.6,1.039,1.103,0.838,0.78,9.5,10,0,1,1,0,9
5.1,347.82,27.767,40.0,28.898,25,28,23,42,39.258,39,43.14,20,8.918,51.3,35.9,1.007,1.106,0.741,0.712,7.7,22,0,0,1,0,20
5.1,409.45,30.986,44.0,31.506,29,32,16,47,45.32,44,48.953,20,9.306,45.5,34.1,1.03,1.113,0.716,0.704,6.8,10,0,0,0,1,16
5.2,407.46,33.697,50.5,34.506,31,35,25,52,48.465,48,53.402,24,8.489,50.0,35.4,1.01,1.113,0.719,0.702,10.4,21,0,0,0,1,21
5.1,302.4,26.972,35.0,28.557,23,25,19,43,40.6,41,45.528,20,7.376,48.8,43.9,0.99,1.11,0.697,0.658,4.9,18,0,0,0,0,18
5.1,342.47,31.026,39.0,33.08,26,29,19,51,47.367,48,53.358,23,7.135,47.9,45.8,0.987,1.112,0.689,0.646,4.2,18,0,0,0,0,18
5.4,254.33,20.052,29.0,21.159,18,20,17,30,28.142,28,30.787,14,9.083,50.0,35.7,1.005,1.1,0.756,0.716,7.1,16,0,0,0,0,14
5.1,344.41,28.477,41.0,29.296,26,29,23,45,42.356,42,47.275,19,8.2,45.2,38.1,1.008,1.126,0.698,0.678,14.3,22,0,0,0,0,18
5.1,224.28,19.392,26.0,20.273,17,19,13,31,28.949,29,32.282,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,6.9,12,0,0,0,0,13
5.1,544.7,47.605,61.5,50.046,41,47,29,79,72.76,73,81.434,34,7.462,46.6,43.8,0.997,1.116,0.686,0.652,5.5,29,0,0,0,0,26
5.1,336.81,25.745,31.5,26.574,23,25,12,42,40.898,40,45.472,15,8.42,37.5,42.5,1.022,1.137,0.664,0.644,10.0,11,0,0,1,0,9
5.6,329.37,24.019,35.0,24.324,23,25,18,36,35.218,34,38.285,14,9.687,41.2,32.4,1.036,1.126,0.715,0.706,14.7,16,0,0,0,0,14
5.3,369.2,21.844,32.0,22.387,21,23,17,30,29.396,28,31.308,14,13.186,50.0,25.0,1.05,1.118,0.8,0.78,7.1,16,0,1,0,0,14
7.2,394.47,33.004,48.5,34.057,30,34,28,52,48.24,48,53.69,23,8.218,47.9,37.5,1.005,1.119,0.71,0.688,12.5,27,0,0,0,0,22
6.4,268.35,22.961,30.0,24.046,20,22,16,38,36.036,36,40.694,15,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,16,0,0,0,0,12
5.1,346.46,25.722,36.0,27.239,23,25,19,39,37.64,37,40.956,16,9.364,43.2,37.8,1.017,1.107,0.736,0.695,5.4,16,0,0,0,0,14
5.4,238.35,18.622,22.0,19.932,16,17,10,31,30.229,30,34.199,10,7.945,33.3,46.7,1.008,1.14,0.664,0.621,13.3,10,0,0,0,0,6
6.0,372.51,33.068,42.0,35.091,28,31,22,55,51.571,52,58.355,23,7.164,44.2,46.2,0.992,1.122,0.675,0.636,7.7,22,0,0,0,0,18
6.7,389.52,31.697,43.0,33.461,28,31,23,50,47.098,47,52.527,21,8.288,44.7,40.4,1.002,1.118,0.712,0.674,10.6,22,0,0,0,0,19
5.3,384.25,26.68,37.0,27.847,24,26,18,40,38.491,38,42.247,18,10.112,47.4,36.8,1.013,1.112,0.733,0.702,7.9,16,0,1,0,1,15
5.1,326.4,25.535,34.0,26.591,23,25,15,39,37.564,37,41.036,17,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,0,0,0,0,16
7.1,420.41,31.959,48.0,31.625,31,36,23,50,46.709,45,51.164,21,9.342,46.7,31.1,1.038,1.137,0.703,0.71,13.3,22,0,0,0,0,18
5.1,438.53,35.878,46.0,36.978,32,35,22,59,56.8,56,64.031,23,7.831,41.1,42.9,1.014,1.143,0.66,0.641,10.7,22,0,0,0,0,16
5.1,468.56,38.119,48.0,39.194,34,37,22,63,61.01,60,68.655,24,7.809,40.0,43.3,1.017,1.144,0.653,0.635,10.0,22,0,0,0,0,16
5.1,265.35,22.741,31.5,23.836,20,22,16,37,34.927,35,39.568,15,7.581,42.9,42.9,0.998,1.131,0.681,0.65,14.3,15,0,0,0,1,11
5.2,463.56,36.368,50.0,37.585,33,36,23,57,54.963,54,60.571,23,8.584,42.6,38.9,1.018,1.122,0.696,0.673,9.3,18,0,0,0,0,21
5.1,295.36,22.742,34.5,23.648,21,24,21,34,31.429,31,34.415,16,9.528,51.6,32.3,1.014,1.11,0.763,0.734,9.7,21,0,0,0,0,16
5.8,236.29,20.392,29.0,21.273,18,20,17,32,29.949,30,33.282,15,7.876,50.0,40.0,0.998,1.109,0.709,0.68,6.7,16,0,0,0,0,14
5.5,708.9,57.61,73.0,59.387,52,54,28,94,93.207,92,105.955,32,7.705,34.8,43.5,1.013,1.152,0.646,0.626,19.6,18,0,0,0,0,28
5.1,431.44,31.187,45.0,31.199,30,33,23,46,44.945,43,48.89,21,10.033,48.8,30.2,1.045,1.137,0.726,0.725,7.0,22,0,0,0,0,20
5.1,483.53,39.575,54.0,40.387,36,40,26,62,58.963,58,64.824,28,8.337,48.3,37.9,1.017,1.118,0.696,0.682,5.2,24,0,0,0,0,26
5.2,386.44,31.918,44.0,32.716,29,32,21,50,47.574,47,52.528,22,8.222,46.8,38.3,1.012,1.118,0.696,0.679,8.5,18,0,0,0,0,21
5.1,371.86,29.052,37.0,30.125,26,28,14,46,44.673,44,49.761,18,8.451,40.9,40.9,1.015,1.131,0.685,0.66,11.4,12,0,0,1,1,11
5.6,438.83,30.696,42.0,30.182,30,32,19,46,46.429,44,50.863,18,9.973,40.9,31.8,1.055,1.156,0.686,0.698,13.6,18,0,0,1,0,16
6.0,483.69,41.33,52.0,44.267,35,38,24,67,63.516,64,71.603,28,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,22,0,0,0,2,20
5.1,393.17,21.39,27.0,22.551,20,22,10,34,33.422,32,36.711,10,12.287,31.3,37.5,1.044,1.147,0.705,0.668,15.6,10,0,0,0,0,5
5.4,539.72,44.561,58.5,46.972,39,43,29,72,68.163,68,76.394,29,7.937,42.6,42.6,1.002,1.123,0.691,0.655,10.3,27,0,0,0,0,24
5.1,424.5,34.351,45.0,35.216,31,34,22,56,53.916,53,60.615,22,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,0,0,0,0,16
5.8,526.67,46.562,62.5,49.034,40,45,34,75,69.556,70,77.438,35,7.524,50.0,42.9,0.994,1.106,0.7,0.665,2.9,33,0,0,0,0,31
5.1,337.13,18.676,26.5,20.415,17,19,13,27,25.353,25,27.671,12,13.485,48.0,32.0,1.014,1.107,0.817,0.747,12.0,11,0,0,0,0,12
7.1,476.57,40.498,56.5,42.0,36,41,29,65,60.225,60,66.773,29,7.943,48.3,40.0,1.004,1.113,0.7,0.675,6.7,27,0,0,0,0,26
5.6,341.22,18.925,27.0,20.091,18,20,10,25,24.007,23,24.927,11,14.836,47.8,21.7,1.044,1.084,0.874,0.823,8.7,6,0,1,0,0,11
5.1,675.76,55.303,75.0,56.625,50,57,35,89,83.283,82,92.367,39,8.241,47.6,39.0,1.016,1.126,0.691,0.674,6.1,34,0,0,0,0,32
