pXC50,nC,O.,RBN,nH,nAT,Se,RBF,nBT,AMW,nO,MW,N.,Sv,Si,Sp,SCBO,nCsp2
5.0,12,0.0,2,15,32,31.76,0.061,33,8.295,0,265.44,9.4,20.599,35.826,22.881,23.0,8
5.0,13,0.0,2,17,35,34.643,0.056,36,7.985,0,279.47,8.6,22.126,39.241,24.642,24.0,8
5.0,11,3.3,2,13,30,30.204,0.065,31,8.914,1,267.41,10.0,19.787,33.62,21.574,23.0,8
5.0,11,0.0,2,13,30,29.953,0.065,31,9.449,0,283.48,10.0,20.26,33.331,22.767,23.0,8
5.0,11,0.0,1,10,29,30.414,0.033,30,10.53,0,305.38,10.3,20.222,33.43,20.932,25.0,8
5.0,11,3.3,2,10,30,31.742,0.065,31,10.713,1,321.38,10.0,20.937,34.639,21.387,26.0,8
5.0,10,3.7,1,11,27,27.32,0.036,28,9.384,1,253.38,11.1,18.26,30.205,19.813,22.0,8
5.0,10,7.1,2,10,28,28.865,0.069,29,10.085,2,282.38,14.3,19.47,31.498,20.511,26.0,8
5.0,10,0.0,1,12,28,28.094,0.034,29,9.014,0,252.4,14.3,18.567,31.494,20.364,22.0,8
5.0,12,3.0,2,14,33,33.305,0.059,34,8.922,1,294.44,12.1,21.809,37.119,23.58,26.0,9
5.0,14,0.0,1,13,32,31.876,0.029,34,8.982,0,287.44,9.4,22.072,35.411,24.12,28.5,12
5.0,10,7.1,1,10,28,29.16,0.034,29,10.263,2,287.37,10.7,19.359,31.754,20.205,26.0,8
5.0,10,7.1,1,10,28,28.971,0.034,29,10.851,2,303.82,10.7,19.803,31.359,21.125,26.0,8
5.0,10,7.1,1,9,28,29.673,0.034,29,10.906,2,305.36,10.7,19.742,32.094,20.142,27.0,8
5.0,10,7.1,1,9,28,29.673,0.034,29,10.906,2,305.36,10.7,19.742,32.094,20.142,27.0,8
5.0,10,7.1,1,9,28,29.389,0.034,29,13.081,2,366.26,10.7,20.384,31.596,21.557,27.0,8
5.0,10,7.1,1,9,28,29.389,0.034,29,13.081,2,366.26,10.7,20.384,31.596,21.557,27.0,8
5.0,11,6.5,1,13,31,31.531,0.031,32,9.142,2,283.41,9.7,20.502,34.83,22.029,26.0,8
5.0,12,5.9,2,15,34,34.414,0.057,35,8.748,2,297.44,8.8,22.029,38.245,23.79,27.0,8
5.0,13,5.4,2,17,37,37.298,0.053,38,8.418,2,311.47,8.1,23.556,41.66,25.551,28.0,8
5.0,11,9.4,2,13,32,32.858,0.061,33,9.357,3,299.41,9.4,21.217,36.039,22.483,27.0,8
5.0,11,6.5,1,10,31,33.069,0.031,32,10.883,2,337.38,9.7,21.652,35.849,21.841,29.0,8
5.0,11,9.4,2,10,32,34.396,0.061,33,11.043,3,353.38,9.4,22.367,37.058,22.296,30.0,8
5.0,10,10.3,1,11,29,29.975,0.033,30,9.841,3,285.38,10.3,19.69,32.624,20.722,26.0,8
5.0,10,13.3,2,10,30,31.52,0.065,31,10.479,4,314.38,13.3,20.899,33.916,21.42,30.0,8
5.0,12,8.6,2,14,35,35.96,0.056,36,9.327,3,326.44,11.4,23.238,39.537,24.489,30.0,9
4.745,26,5.4,14,40,74,73.621,0.189,74,6.388,4,472.7,5.4,42.427,84.304,45.546,42.0,9
5.156,23,5.1,9,26,59,60.389,0.15,60,8.163,3,481.59,5.1,37.394,67.46,38.739,45.0,13
5.0,22,3.7,9,24,54,55.101,0.164,55,7.768,2,419.49,5.6,33.965,61.915,34.875,40.0,13
5.4,25,3.2,5,29,62,61.843,0.076,66,7.478,2,463.66,8.1,39.045,69.813,41.722,46.5,11
4.886,27,9.6,16,43,83,83.749,0.193,83,7.251,8,601.87,3.6,48.693,94.314,52.176,51.0,11
5.963,22,3.6,4,27,56,56.178,0.068,59,7.117,2,398.53,7.1,34.22,63.734,36.006,39.0,8
5.8,23,3.4,4,27,58,57.96,0.065,62,7.545,2,437.62,8.6,36.518,65.398,38.961,44.0,9
5.6,19,3.8,4,25,52,52.076,0.073,55,7.453,2,387.56,9.6,31.992,58.982,34.199,36.5,5
5.6,21,3.4,4,29,58,57.843,0.066,61,7.166,2,415.62,8.6,35.045,65.813,37.722,38.5,5
5.5,21,3.4,5,29,58,57.843,0.082,61,7.166,2,415.62,8.6,35.045,65.813,37.722,38.5,5
5.3,22,3.4,5,29,59,58.843,0.079,63,7.248,2,427.63,8.5,36.045,66.813,38.722,40.5,5
5.5,23,3.1,5,33,64,63.61,0.075,67,6.932,2,443.68,7.8,38.099,72.643,41.245,40.5,5
5.2,20,3.6,4,24,55,56.498,0.069,58,8.283,2,455.56,9.1,34.668,63.417,35.773,40.5,5
5.3,21,3.4,4,26,58,59.381,0.066,61,8.096,2,469.59,8.6,36.195,66.832,37.534,41.5,5
5.3,20,3.6,4,23,55,56.821,0.069,58,8.909,2,490.0,9.1,35.496,63.361,36.631,41.5,5
5.4,20,3.8,4,24,53,53.294,0.071,56,7.784,2,412.57,11.3,33.486,60.065,35.444,40.5,5
5.1,24,6.3,5,29,64,64.574,0.074,68,8.058,4,515.72,7.8,40.662,72.152,43.279,50.0,9
5.3,23,3.2,5,30,62,61.945,0.077,65,7.333,2,454.66,9.7,38.067,70.311,40.728,43.5,5
4.6,22,3.5,4,26,57,57.178,0.066,61,7.695,2,438.61,10.5,36.013,64.481,38.205,44.0,8
5.4,22,3.5,4,26,57,57.178,0.066,61,7.695,2,438.61,10.5,36.013,64.481,38.205,44.0,8
5.5,22,3.5,4,26,57,57.178,0.066,61,7.695,2,438.61,10.5,36.013,64.481,38.205,44.0,8
5.4,22,3.5,4,26,57,57.178,0.066,61,7.695,2,438.61,10.5,36.013,64.481,38.205,44.0,8
5.7,22,3.4,4,29,59,58.843,0.063,63,7.248,2,427.63,8.5,36.045,66.813,38.722,40.5,5
5.5,22,5.0,4,29,60,60.171,0.063,64,7.394,3,443.63,8.3,36.76,68.022,39.176,41.5,5
5.6,24,4.5,4,33,66,65.938,0.057,70,7.147,3,471.69,7.6,39.814,74.853,42.699,43.5,5
4.538,34,8.8,21,54,102,102.519,0.206,102,6.814,9,694.99,3.9,58.876,116.178,62.796,59.0,13
4.745,35,8.6,22,56,105,105.403,0.21,105,6.753,9,709.02,3.8,60.403,119.593,64.557,60.0,13
4.569,34,7.4,18,48,94,94.214,0.189,95,6.989,7,656.93,4.3,55.866,106.513,59.603,60.0,18
8.699,25,9.5,13,29,63,63.756,0.2,65,7.422,6,467.57,4.8,39.201,71.149,40.642,47.0,15
5.237,31,7.5,18,50,93,93.098,0.194,93,6.698,7,622.92,4.3,53.393,105.929,57.364,53.0,12
5.807,22,5.2,9,25,58,59.607,0.153,59,8.32,3,482.58,6.9,36.889,66.543,37.983,45.0,13
5.796,29,7.0,16,46,86,86.003,0.186,86,6.731,6,578.86,4.7,49.624,97.889,53.387,50.0,12
4.638,30,8.0,15,46,88,88.33,0.169,89,6.896,7,606.87,4.5,51.339,100.098,54.841,53.0,12
5.606,22,1.9,8,23,53,54.287,0.148,54,7.952,1,421.48,5.7,33.634,61.046,34.358,40.0,13
5.328,24,1.8,8,25,57,57.876,0.136,59,7.764,1,442.53,7.0,36.272,65.204,37.427,45.0,15
4.699,28,9.6,17,43,83,83.672,0.205,83,7.01,8,581.81,3.6,48.506,94.394,51.529,50.0,12
5.874,23,1.8,8,26,56,56.658,0.14,57,7.456,1,417.52,5.4,34.777,64.121,36.182,40.0,13
5.0,22,1.9,8,22,53,54.799,0.148,54,8.292,1,439.47,5.7,34.017,61.385,34.296,41.0,13
5.959,29,6.9,10,28,72,75.374,0.133,75,8.703,5,626.61,5.6,46.861,83.306,46.341,58.5,17
4.638,29,6.9,10,28,72,75.374,0.133,75,8.703,5,626.61,5.6,46.861,83.306,46.341,58.5,17
6.569,26,7.6,10,27,66,68.145,0.145,69,8.555,5,564.64,6.1,42.845,75.377,43.654,53.0,15
5.0,26,7.0,10,33,71,72.719,0.137,73,7.586,5,538.63,5.6,43.238,81.703,44.29,48.5,11
6.658,26,9.1,10,27,66,68.396,0.145,69,8.312,6,548.57,6.1,42.373,75.666,42.46,53.0,15
5.137,23,9.2,10,32,65,65.741,0.149,67,7.086,6,460.59,6.2,38.75,74.062,40.409,43.0,9
6.137,27,7.1,10,33,70,70.516,0.137,73,7.252,5,507.65,7.1,43.056,79.351,44.961,51.0,15
5.426,20,11.8,8,21,51,52.298,0.151,53,8.461,6,431.51,5.9,33.281,57.408,34.244,44.0,14
4.996,14,6.3,3,15,32,31.942,0.091,33,7.166,2,229.3,3.1,20.139,35.824,21.245,24.5,11
4.244,29,8.2,11,31,73,75.163,0.145,76,8.064,6,588.64,5.5,46.426,83.497,46.983,56.5,17
6.367,25,7.4,10,31,68,69.836,0.143,70,7.715,5,524.6,5.9,41.711,78.287,42.529,47.5,11
4.319,19,7.3,11,25,55,56.858,0.196,56,7.827,4,430.48,7.3,33.416,63.832,33.79,38.0,8
4.796,16,11.1,9,21,45,45.894,0.196,46,7.453,5,335.4,6.7,27.379,51.279,28.142,32.0,8
4.602,20,8.3,9,21,48,48.567,0.18,50,7.655,4,367.44,6.3,30.665,54.069,31.688,39.0,14
4.469,19,10.9,9,19,46,47.011,0.188,48,8.031,5,369.41,6.5,29.853,51.864,30.381,39.0,14
4.137,28,7.2,10,29,69,70.952,0.139,72,8.096,5,558.61,5.8,44.185,78.872,44.767,54.5,17
5.83,21,9.4,8,24,53,53.636,0.145,55,7.859,5,416.54,3.8,33.599,59.531,35.307,41.0,14
5.585,25,1.6,7,32,62,61.105,0.109,64,6.526,1,404.61,6.5,37.176,70.015,40.137,41.0,13
6.959,19,8.5,7,19,47,47.687,0.143,49,11.286,4,530.44,4.3,32.334,52.132,35.637,40.0,14
4.921,27,1.5,8,31,65,64.4,0.118,68,7.288,1,473.7,7.7,40.857,73.019,44.029,48.5,16
6.924,20,8.0,7,22,50,50.502,0.135,52,8.372,4,418.58,4.0,32.544,55.826,34.739,40.0,14
5.658,30,11.8,8,29,68,69.091,0.111,72,7.818,8,531.6,1.5,44.115,75.986,45.301,55.0,21
5.161,30,6.9,11,33,72,72.272,0.147,75,7.607,5,547.73,4.2,45.727,80.69,48.358,56.0,21
5.83,18,7.8,9,26,51,51.192,0.173,52,7.187,4,366.53,3.9,30.411,57.737,32.614,33.0,8
5.137,13,6.9,2,12,29,29.382,0.067,30,8.611,2,249.71,3.4,19.439,32.352,20.341,24.5,11
5.347,29,12.3,7,27,65,66.207,0.101,69,7.963,8,517.57,1.5,42.588,72.571,43.54,54.0,21
5.0,19,2.3,6,21,44,43.585,0.133,45,6.987,1,307.43,6.8,27.52,49.441,29.324,33.0,13
4.917,21,7.7,7,24,52,52.309,0.13,54,7.703,4,400.54,3.8,32.884,58.321,34.853,40.0,14
4.523,25,8.6,11,31,70,72.24,0.153,72,8.181,6,572.67,5.7,43.613,80.417,44.631,51.0,14
4.26,13,10.0,2,13,30,30.385,0.065,31,7.709,3,231.27,3.3,19.327,33.618,19.938,24.5,11
5.284,17,6.8,6,16,44,45.269,0.13,46,9.954,3,437.97,11.4,30.614,49.395,32.114,41.5,15
4.432,31,1.3,9,39,77,75.934,0.113,80,6.881,1,529.82,6.5,46.964,86.679,51.074,52.5,16
4.745,27,1.5,8,31,65,64.4,0.118,68,7.288,1,473.7,7.7,40.857,73.019,44.029,48.5,16
5.102,38,10.8,8,27,74,75.207,0.099,81,8.455,8,625.66,1.4,51.588,81.571,52.54,72.0,33
7.046,19,8.5,7,19,47,47.847,0.143,49,10.286,4,483.44,4.3,32.043,52.253,34.33,40.0,14
5.355,20,8.2,7,21,49,49.654,0.137,51,9.498,4,465.4,4.1,32.382,54.748,34.443,40.0,14
4.188,18,12.5,3,13,40,41.436,0.071,42,9.585,5,383.41,7.5,28.459,44.538,28.744,42.5,16
4.2,18,11.6,6,14,43,44.72,0.133,45,10.51,5,451.94,7.0,31.001,47.817,32.011,43.0,17
4.292,28,1.5,9,33,68,67.283,0.127,71,7.172,1,487.73,7.4,42.384,76.434,45.79,49.5,16
5.268,20,8.2,7,21,49,49.749,0.137,51,8.591,4,420.95,4.1,32.185,54.85,33.949,40.0,14
5.569,32,10.8,9,33,74,74.858,0.115,78,7.563,8,559.66,1.4,47.169,82.817,48.824,57.0,21
4.292,29,1.4,9,35,71,70.167,0.122,74,7.067,1,501.76,7.0,43.911,79.849,47.552,50.5,16
5.156,20,8.2,7,21,49,49.938,0.137,51,8.255,4,404.5,4.1,31.74,55.246,33.029,40.0,14
4.658,28,1.5,8,33,68,67.283,0.113,71,7.172,1,487.73,7.4,42.384,76.434,45.79,49.5,16
5.0,10,7.1,1,10,28,28.876,0.034,29,12.438,2,348.27,10.7,20.0,31.256,21.619,26.0,8
6.155,32,9.1,15,44,88,88.698,0.167,90,6.964,8,612.8,4.5,52.34,99.972,54.887,56.0,16
6.699,31,8.0,15,44,88,88.69,0.167,90,6.964,7,612.81,6.8,52.141,100.344,54.682,56.0,16
8.237,17,8.0,8,24,50,50.629,0.16,50,7.61,4,380.52,8.0,30.4,56.903,32.103,35.0,8
4.398,16,8.9,8,21,45,45.643,0.178,45,7.81,4,351.47,6.7,27.852,50.989,29.335,33.0,8
4.62,14,9.5,8,19,42,42.836,0.19,42,8.512,4,357.5,7.1,26.512,47.494,28.222,31.5,6
5.292,20,7.7,9,23,52,52.603,0.17,53,8.338,4,433.6,5.8,33.566,58.325,35.745,41.5,12
5.194,20,7.7,9,23,52,52.603,0.17,53,8.338,4,433.6,5.8,33.566,58.325,35.745,41.5,12
5.268,18,8.2,9,21,49,49.796,0.18,50,8.972,4,439.63,6.1,32.226,54.829,34.631,40.0,10
4.469,15,8.5,9,19,47,48.476,0.188,48,9.054,4,425.55,14.9,30.544,53.657,31.722,40.0,7
5.409,20,7.7,9,23,52,52.603,0.17,53,8.338,4,433.6,5.8,33.566,58.325,35.745,41.5,12
5.469,18,8.2,9,21,49,49.796,0.18,50,8.972,4,439.63,6.1,32.226,54.829,34.631,40.0,10
5.167,18,8.3,8,21,48,48.72,0.163,49,8.491,4,407.56,6.3,31.039,53.909,32.983,39.0,10
5.143,16,8.9,8,19,45,45.913,0.174,46,9.191,4,413.59,6.7,29.699,50.414,31.869,37.5,8
4.62,16,8.9,8,21,45,45.643,0.178,45,7.81,4,351.47,6.7,27.852,50.989,29.335,33.0,8
4.226,24,10.2,3,15,49,50.502,0.056,54,10.429,5,511.0,4.1,36.506,53.734,37.767,52.0,20
4.493,23,12.8,5,12,47,50.12,0.1,50,11.687,6,549.27,4.3,35.194,53.02,34.233,51.5,22
5.587,30,8.2,12,33,73,73.6,0.158,76,7.722,6,563.73,4.1,46.442,81.899,48.813,57.0,21
5.336,20,11.8,8,21,51,52.298,0.151,53,8.461,6,431.51,5.9,33.281,57.408,34.244,44.0,14
5.538,24,6.6,4,28,61,61.396,0.062,65,7.682,4,468.63,6.6,38.453,68.733,40.625,48.0,10
5.538,22,3.7,3,25,54,54.0,0.052,58,7.25,2,391.52,9.3,33.805,61.062,35.552,42.0,9
5.538,24,6.6,4,28,61,61.396,0.062,65,7.682,4,468.63,6.6,38.453,68.733,40.625,48.0,10
5.538,23,3.6,3,25,55,55.105,0.051,59,7.727,2,424.97,7.3,35.137,61.923,37.165,43.0,10
5.538,24,3.4,3,28,58,57.665,0.048,62,6.975,2,404.56,6.9,35.837,65.394,38.069,43.0,10
5.538,23,3.6,3,25,55,55.011,0.051,59,8.535,2,469.42,7.3,35.335,61.821,37.659,43.0,10
5.538,24,3.6,3,25,56,56.0,0.05,60,7.42,2,415.54,8.9,35.805,63.062,37.551,46.0,10
5.538,24,3.4,3,25,58,59.203,0.048,62,7.906,2,458.53,6.9,36.987,66.414,37.881,46.0,10
5.538,24,5.1,4,28,59,58.992,0.063,63,7.128,3,420.56,6.8,36.552,66.604,38.523,44.0,10
5.538,24,3.4,4,28,59,58.741,0.063,63,7.401,2,436.63,6.8,37.024,66.314,39.716,44.0,10
5.538,24,5.1,4,25,59,60.53,0.063,63,8.043,3,474.53,6.8,37.701,67.623,38.336,47.0,10
5.538,25,4.8,5,30,62,61.876,0.076,66,7.01,3,434.59,6.5,38.078,70.019,40.284,45.0,10
5.538,24,6.6,4,28,61,61.396,0.062,65,7.682,4,468.63,6.6,38.453,68.733,40.625,48.0,10
5.008,12,5.6,3,19,36,36.029,0.083,36,6.593,2,237.34,8.3,20.708,41.235,22.017,21.0,2
5.058,15,4.7,3,23,43,42.796,0.068,44,6.451,2,277.41,7.0,24.762,49.066,26.54,25.0,2
6.148,19,4.3,3,23,47,46.796,0.061,49,6.924,2,325.45,6.4,28.762,53.066,30.54,33.0,8
5.117,15,4.4,3,24,45,44.898,0.065,46,6.498,2,292.43,8.9,25.783,51.564,27.546,26.0,2
6.342,20,3.8,4,26,52,51.781,0.074,54,6.817,2,354.5,7.7,31.31,58.979,33.307,35.0,8
5.848,21,3.9,3,23,51,51.411,0.056,54,7.5,2,382.48,7.8,32.167,57.904,33.483,40.0,10
5.453,23,3.6,3,25,55,55.294,0.051,59,7.428,2,408.52,7.3,34.693,62.319,36.245,43.0,10
4.348,22,3.7,3,25,54,54.294,0.053,57,7.343,2,396.51,7.4,33.693,61.319,35.245,41.0,10
4.134,22,3.7,3,25,54,54.294,0.053,57,7.343,2,396.51,7.4,33.693,61.319,35.245,41.0,10
4.506,25,3.2,4,31,63,62.945,0.061,66,6.962,2,438.6,6.3,38.274,71.565,40.529,44.0,10
5.538,23,3.6,3,26,55,54.781,0.051,59,7.101,2,390.53,7.3,34.31,61.979,36.307,42.0,10
5.538,23,3.6,3,25,55,55.294,0.051,59,7.428,2,408.52,7.3,34.693,62.319,36.245,43.0,10
5.538,23,3.6,3,25,55,55.294,0.051,59,7.428,2,408.52,7.3,34.693,62.319,36.245,43.0,10
5.538,23,3.6,3,25,55,55.294,0.051,59,7.428,2,408.52,7.3,34.693,62.319,36.245,43.0,10
5.538,24,3.4,3,26,58,58.69,0.048,62,7.596,2,440.54,6.9,36.603,66.074,37.944,45.0,10
5.538,23,3.6,3,25,55,55.105,0.051,59,7.727,2,424.97,7.3,35.137,61.923,37.165,43.0,10
5.538,24,5.1,4,28,59,58.992,0.063,63,7.128,3,420.56,6.8,36.552,66.604,38.523,44.0,10
5.538,24,3.4,3,25,58,59.203,0.048,62,7.906,2,458.53,6.9,36.987,66.414,37.881,46.0,10
5.538,26,3.1,4,32,64,63.432,0.059,68,6.76,2,432.62,6.3,38.89,72.225,41.591,45.0,10
6.22,25,4.7,4,31,64,63.978,0.059,68,7.025,3,449.61,7.8,39.1,72.517,41.29,46.0,9
6.502,20,3.8,4,25,52,52.294,0.074,54,7.163,2,372.49,7.7,31.693,59.319,33.245,36.0,8
6.243,21,3.6,4,28,55,54.665,0.07,57,6.701,2,368.53,7.3,32.837,62.394,35.069,36.0,8
6.399,21,5.4,5,28,56,55.992,0.086,58,6.867,3,384.53,7.1,33.552,63.604,35.523,37.0,8
5.896,22,6.7,6,30,60,60.203,0.097,62,6.909,4,414.56,6.7,35.793,68.228,37.739,39.0,8
5.928,21,6.9,5,28,58,58.396,0.083,60,7.459,4,432.6,6.9,35.453,65.733,37.625,41.0,8
5.842,22,3.6,4,28,56,55.665,0.068,59,6.795,2,380.54,7.1,33.837,63.394,36.069,38.0,8
5.842,23,5.0,5,30,60,59.876,0.079,63,6.843,3,410.57,6.7,36.078,68.019,38.284,40.0,8
5.514,24,6.3,6,32,64,64.087,0.09,67,6.884,4,440.6,6.3,38.32,72.644,40.5,42.0,8
5.62,23,6.5,5,30,62,62.28,0.077,65,7.397,4,458.64,6.5,37.98,70.148,40.387,44.0,8
6.01,24,6.2,5,32,65,65.163,0.074,68,7.272,4,472.67,6.2,39.507,73.564,42.148,45.0,8
5.465,24,6.2,5,32,65,65.163,0.074,68,7.272,4,472.67,6.2,39.507,73.564,42.148,45.0,8
4.604,25,5.9,5,34,68,68.047,0.07,71,7.157,4,486.7,5.9,41.034,76.979,43.909,46.0,8
4.398,25,5.9,5,34,68,68.047,0.07,71,7.157,4,486.7,5.9,41.034,76.979,43.909,46.0,8
6.013,26,2.9,4,34,68,67.636,0.056,72,6.804,2,462.66,8.8,40.933,77.221,43.603,47.0,9
6.116,26,2.9,4,34,68,67.636,0.056,72,6.804,2,462.66,8.8,40.933,77.221,43.603,47.0,9
5.532,27,2.9,4,34,69,68.636,0.055,73,6.879,2,474.67,8.7,41.933,78.221,44.603,48.5,10
5.772,24,6.1,6,33,66,66.189,0.087,69,6.903,4,455.62,7.6,39.341,75.142,41.506,43.0,7
5.943,27,4.3,6,36,70,69.527,0.081,74,6.638,3,464.67,5.7,41.659,79.265,44.569,45.0,8
6.19,24,6.5,4,30,62,62.203,0.061,66,7.074,4,438.58,6.5,37.793,70.228,39.739,43.0,8
5.733,25,6.0,6,34,67,66.97,0.086,70,6.786,4,454.63,6.0,39.847,76.059,42.262,43.0,8
6.335,21,3.6,4,28,55,54.665,0.07,57,6.701,2,368.53,7.3,32.837,62.394,35.069,36.0,8
6.188,23,3.4,4,30,59,58.549,0.065,62,6.688,2,394.57,6.8,35.364,66.81,37.83,39.0,8
5.455,25,5.9,5,34,68,68.047,0.07,71,7.157,4,486.7,5.9,41.034,76.979,43.909,46.0,8
3.966,58,12.0,23,67,150,153.112,0.146,157,7.669,18,1150.32,4.7,93.82,169.713,96.063,111.0,33
5.027,21,7.8,10,22,51,51.669,0.192,52,7.735,4,394.47,7.8,32.686,57.568,33.693,41.0,16
4.0,27,6.3,11,30,63,62.883,0.169,65,7.089,4,446.59,3.2,39.277,70.647,41.489,46.0,20
5.699,27,6.3,12,28,63,63.32,0.185,65,7.501,4,472.59,6.3,40.266,70.813,41.978,50.0,21
4.824,22,1.7,8,31,60,59.4,0.129,62,6.894,1,413.65,8.3,35.857,68.019,39.029,39.0,7
5.345,27,6.1,10,45,82,81.818,0.119,84,6.339,5,519.77,6.1,46.217,93.843,49.529,44.0,5
4.398,21,5.5,6,26,55,55.185,0.105,57,7.538,3,414.58,7.3,34.212,62.109,36.409,41.5,11
4.398,23,6.8,7,28,59,59.32,0.115,61,7.196,4,424.55,6.8,36.266,66.813,37.978,42.0,11
6.854,24,6.3,7,31,64,64.305,0.106,66,7.087,4,453.6,7.8,38.815,72.727,40.745,44.0,11
5.606,28,6.8,11,37,74,74.04,0.145,76,7.132,5,527.75,4.1,44.781,83.52,47.881,50.0,16
7.337,14,8.6,2,17,35,35.153,0.054,37,7.066,3,247.32,2.9,21.38,39.448,22.46,24.0,7
8.301,12,10.3,2,13,29,29.385,0.065,31,7.561,3,219.26,3.4,18.327,32.618,18.938,22.0,7
8.097,10,9.7,3,17,31,31.153,0.094,32,6.428,3,199.28,3.2,17.38,35.448,18.46,16.0,1
4.0,13,5.7,2,19,35,34.709,0.056,36,6.324,2,221.33,2.9,20.192,39.654,21.767,20.0,6
4.076,10,14.3,1,7,21,21.735,0.045,22,9.009,3,189.18,4.8,14.746,23.372,14.653,22.5,10
4.071,14,9.1,2,14,33,33.487,0.057,35,7.827,3,258.3,6.1,21.348,37.116,21.943,28.5,10
4.495,10,9.1,1,7,22,22.738,0.043,23,12.14,2,267.09,9.1,16.078,24.503,16.557,23.5,10
4.62,15,5.4,2,17,37,37.145,0.051,39,7.334,2,271.35,8.1,23.181,41.82,24.256,29.5,9
4.42,17,9.3,5,19,43,43.683,0.111,45,7.66,4,329.39,7.0,27.138,48.654,27.926,34.5,10
4.444,19,6.0,5,24,50,50.225,0.096,52,7.129,3,356.47,8.0,30.498,56.773,32.0,36.5,10
4.194,15,6.1,4,12,33,33.596,0.114,35,8.494,2,280.31,12.1,22.622,37.073,22.977,33.5,14
4.027,20,6.1,5,21,49,49.56,0.096,52,7.744,3,379.46,10.2,31.466,55.441,32.483,41.5,14
4.237,17,7.9,5,15,38,38.589,0.125,40,8.141,3,309.35,7.9,25.369,42.614,25.949,35.5,15
4.086,12,9.7,4,13,31,31.705,0.125,32,7.977,3,247.28,9.7,19.843,35.199,20.188,26.5,9
4.412,19,7.1,6,16,42,42.691,0.136,44,8.295,3,348.39,9.5,28.391,47.113,28.955,40.5,15
4.119,13,9.4,4,12,32,32.924,0.121,33,8.509,3,272.29,12.5,21.337,36.282,21.432,30.5,9
5.301,12,10.3,4,10,29,30.04,0.133,30,8.906,3,258.26,13.8,19.81,32.867,19.671,29.5,9
4.06,17,10.9,5,20,46,47.113,0.104,48,7.835,5,360.41,8.7,28.874,52.362,29.387,36.5,10
4.131,19,10.0,7,23,50,50.778,0.135,52,7.469,5,373.45,6.0,30.906,56.694,31.904,37.5,10
6.351,30,6.1,17,41,82,82.716,0.202,84,7.242,5,593.81,3.7,49.128,93.445,52.04,53.0,14
5.498,36,5.9,14,53,102,101.999,0.132,106,6.666,6,679.96,6.9,59.555,116.294,63.279,62.0,10
6.495,37,6.1,20,49,98,98.577,0.2,100,7.163,6,701.96,3.1,58.95,111.316,62.54,64.0,20
6.73,35,5.4,19,46,93,93.585,0.2,95,7.236,5,672.92,4.3,56.203,105.774,59.569,62.0,19
7.699,37,6.1,21,49,98,98.577,0.21,100,7.163,6,701.96,3.1,58.95,111.316,62.54,64.0,20
6.688,30,7.2,19,40,83,84.261,0.226,84,7.504,6,622.81,4.8,50.337,94.738,52.739,56.0,14
7.721,29,7.3,18,38,82,84.581,0.217,83,7.948,6,651.77,3.7,49.993,94.674,51.307,55.0,14
5.0,18,12.0,10,23,50,51.4,0.2,50,7.649,6,382.43,4.0,30.51,57.16,31.051,34.0,10
6.444,28,6.4,16,39,78,78.832,0.203,79,7.279,5,567.77,3.8,46.601,89.03,49.279,50.0,14
7.102,27,6.7,15,36,75,75.578,0.195,77,7.423,5,556.76,8.0,45.791,85.185,48.375,53.5,15
7.149,23,7.9,11,27,63,64.473,0.169,65,8.834,5,556.52,7.9,40.845,71.329,42.801,50.0,14
7.398,26,6.9,14,33,72,73.123,0.189,74,8.314,5,598.61,6.9,45.425,81.575,48.085,53.0,14
7.167,29,3.9,14,35,76,77.563,0.179,78,7.601,3,577.69,6.6,46.74,87.537,48.086,53.5,16
6.886,29,6.3,15,36,79,80.781,0.185,81,7.896,5,623.77,6.3,48.974,90.536,50.705,57.5,16
4.699,27,5.5,13,33,73,74.712,0.173,75,7.708,4,562.66,8.2,45.039,84.075,46.086,53.0,15
6.523,19,11.3,11,25,53,54.283,0.208,53,7.48,6,396.46,3.8,32.037,60.575,32.813,35.0,10
6.5,37,5.2,19,46,97,98.788,0.192,99,7.628,5,739.93,3.1,59.385,111.125,61.898,66.0,20
6.305,36,5.3,19,47,94,94.367,0.198,96,7.148,5,671.93,3.2,56.708,106.691,60.324,62.0,20
4.143,9,22.7,2,5,22,23.826,0.087,23,10.69,5,235.17,13.6,16.165,24.957,15.051,27.5,9
6.161,15,13.2,6,13,38,39.513,0.15,40,9.986,5,379.45,7.9,26.646,42.458,27.392,38.0,14
5.701,15,10.8,5,13,37,38.185,0.128,39,9.823,4,363.45,8.1,25.932,41.249,26.938,37.0,14
5.9,14,14.7,5,10,34,36.065,0.139,36,10.334,5,351.34,8.8,24.316,38.462,23.92,37.0,14
6.77,22,5.6,8,21,54,56.134,0.143,56,8.954,3,483.53,5.6,35.724,61.969,36.154,46.0,13
5.111,25,4.8,9,28,63,64.272,0.138,65,8.058,3,507.63,4.8,39.921,71.875,41.5,48.0,13
5.703,16,6.8,7,18,44,45.854,0.156,45,8.851,3,389.44,6.8,28.287,50.799,28.693,35.0,7
6.38,16,2.4,7,17,42,43.429,0.163,43,10.389,1,436.33,7.1,27.882,48.222,29.137,32.0,7
6.542,19,5.9,9,22,51,52.621,0.17,53,8.422,3,429.51,5.9,32.34,58.629,33.216,39.0,7
5.957,16,6.8,7,17,44,46.367,0.156,45,9.26,3,407.43,6.8,28.67,51.139,28.631,36.0,7
