pXC50,nBM,nAB,nBT,Si,nAT,SCBO,nBO,MW,Sv,Sp,Se,nC,RBF,nSK,nN,nH,nCsp2,nDB,C.,X.,O.,nF,N.,nO
4.602,26,24,74,78.889,70,57.0,43,521.68,44.901,47.086,69.97,30,0.095,39,7,31,24,2,42.9,0.0,2.9,0,10.0,2
7.201,27,25,68,68.899,62,56.5,42,494.66,41.497,43.955,61.858,29,0.059,36,4,26,21,2,46.8,0.0,3.2,0,6.5,2
7.367,27,25,71,72.314,65,57.5,43,508.69,43.024,45.716,64.741,30,0.056,37,4,28,21,2,46.2,0.0,3.1,0,6.2,2
5.398,20,18,53,56.096,50,45.0,34,438.9,33.987,34.79,51.109,22,0.075,31,4,19,19,2,44.0,2.0,8.0,0,8.0,4
4.602,23,22,49,51.156,46,43.0,31,374.42,31.116,31.921,46.582,22,0.102,28,2,18,20,1,47.8,0.0,8.7,0,4.3,4
5.398,23,22,53,55.026,49,46.0,34,401.46,32.939,33.722,49.676,22,0.057,30,5,19,19,1,44.9,0.0,6.1,0,10.2,3
4.602,23,22,57,58.986,53,47.0,35,414.49,35.17,36.443,53.349,25,0.105,31,2,22,20,1,47.2,0.0,7.5,0,3.8,4
5.745,24,22,57,59.069,53,49.0,36,427.49,35.665,36.688,53.567,25,0.105,32,3,21,21,2,47.2,0.0,7.5,0,5.7,4
4.602,23,22,55,57.986,52,45.0,33,402.48,34.17,35.443,52.349,24,0.127,30,2,22,20,1,46.2,0.0,7.7,0,3.8,4
4.602,23,22,45,46.531,42,41.0,29,344.39,28.875,29.705,42.371,21,0.089,26,2,16,20,1,50.0,0.0,7.1,0,4.8,3
5.398,18,17,53,56.279,50,41.5,32,395.45,32.379,33.142,50.894,21,0.075,29,3,21,16,1,42.0,0.0,10.0,0,6.0,5
4.602,20,18,68,74.62,65,52.0,41,528.59,41.744,42.347,66.734,26,0.118,38,6,27,18,2,40.0,4.6,4.6,3,9.2,3
5.398,20,18,56,59.568,53,45.0,34,418.49,34.686,35.693,53.669,23,0.071,31,4,22,19,2,43.4,0.0,7.5,0,7.5,4
5.824,24,23,61,64.034,57,51.5,39,475.51,38.289,38.841,58.291,26,0.082,35,3,22,22,1,45.6,1.8,8.8,1,5.3,5
5.081,26,24,82,88.139,78,61.0,47,581.74,49.384,51.517,78.392,32,0.11,43,7,35,24,2,41.0,0.0,5.1,0,9.0,4
5.398,24,23,64,67.109,60,51.5,39,471.55,39.433,40.665,60.662,27,0.094,35,3,25,22,1,45.0,0.0,8.3,0,5.0,5
5.398,18,17,56,59.694,53,42.5,33,409.48,33.906,34.904,53.778,22,0.089,30,3,23,16,1,41.5,0.0,9.4,0,5.7,5
8.046,24,23,61,63.638,57,51.5,39,491.96,38.734,39.761,58.102,26,0.082,35,3,22,22,1,45.6,1.8,8.8,0,5.3,5
5.002,26,24,77,83.324,73,61.0,47,589.68,47.578,48.66,74.392,31,0.091,43,7,30,24,2,42.5,4.1,2.7,3,9.6,2
5.301,20,18,48,52.836,46,43.0,32,415.41,31.374,31.08,47.887,20,0.083,30,5,16,18,2,43.5,6.5,4.3,3,10.9,2
6.437,25,24,69,73.912,65,56.0,43,533.6,43.008,43.887,66.305,29,0.087,39,5,26,22,1,44.6,4.6,3.1,3,7.7,2
5.0,13,11,34,35.697,32,27.5,20,238.31,20.918,22.034,31.833,15,0.029,18,2,14,13,2,46.9,0.0,3.1,0,6.3,1
5.0,23,23,42,43.535,39,39.5,28,331.37,27.323,27.978,39.447,20,0.071,25,3,14,20,0,51.3,2.6,2.6,1,7.7,1
6.854,25,24,79,87.237,76,59.0,46,594.71,48.126,49.427,77.378,30,0.139,43,8,33,21,1,39.5,3.9,2.6,3,10.5,2
4.0,22,22,48,51.081,45,43.0,32,459.31,31.127,31.801,46.309,19,0.146,29,6,16,16,0,42.2,4.4,4.4,1,13.3,2
5.667,18,17,68,73.405,65,49.5,39,530.5,41.755,44.006,65.625,26,0.132,36,5,29,15,0,40.0,3.1,4.6,0,7.7,3
6.041,23,22,93,99.879,88,61.0,49,596.86,53.083,56.66,87.374,34,0.086,44,8,44,18,1,38.6,0.0,2.3,0,9.1,2
5.611,23,22,87,93.048,82,59.0,47,568.8,50.03,53.137,81.607,32,0.092,42,8,40,18,1,39.0,0.0,2.4,0,9.8,2
4.935,22,22,55,57.149,51,44.0,33,386.49,33.256,34.784,51.014,23,0.073,29,4,22,18,0,45.1,0.0,3.9,0,7.8,2
5.0,11,10,51,55.404,49,33.0,27,380.59,30.157,32.841,49.051,17,0.118,25,4,24,7,1,34.7,0.0,4.1,0,8.2,2
5.179,22,22,51,52.817,47,43.0,32,373.45,31.224,32.267,47.349,21,0.078,28,5,19,18,0,44.7,0.0,4.3,0,10.6,2
4.777,22,22,47,49.318,44,40.0,29,346.42,29.203,30.262,44.247,20,0.106,26,4,18,18,0,45.5,0.0,4.5,0,9.1,2
5.33,23,22,81,86.218,76,57.0,45,540.74,46.976,49.614,75.839,30,0.074,40,8,36,18,1,39.5,0.0,2.6,0,10.5,2
5.0,29,26,74,75.893,68,61.0,45,515.66,44.858,47.074,67.767,32,0.068,39,5,29,25,3,47.1,0.0,2.9,0,7.4,2
5.081,17,17,38,40.689,36,33.5,25,333.77,24.865,25.29,37.098,16,0.105,23,3,13,14,0,44.4,5.6,5.6,1,8.3,2
6.444,22,22,58,60.564,54,45.0,34,400.52,34.783,36.546,53.898,24,0.086,30,4,24,18,0,44.4,0.0,3.7,0,7.4,2
5.572,22,22,52,54.939,49,41.0,30,358.48,31.542,33.33,48.687,22,0.077,27,4,22,18,0,44.9,0.0,2.0,0,8.2,1
5.745,22,22,53,56.149,50,42.0,31,374.48,32.256,33.784,50.014,22,0.075,28,4,22,18,0,44.0,0.0,4.0,0,8.0,2
6.398,22,22,51,54.023,48,41.0,30,359.47,31.036,32.574,47.905,21,0.078,27,5,21,18,0,43.8,0.0,2.1,0,10.4,1
5.721,24,22,51,54.026,48,45.0,32,389.45,31.939,32.722,48.676,21,0.098,29,5,19,18,2,43.8,0.0,6.3,0,10.4,3
4.748,23,23,42,43.196,39,38.5,27,313.38,26.94,28.04,38.934,20,0.095,24,3,15,20,0,51.3,0.0,2.6,0,7.7,1
6.387,23,22,57,59.358,53,47.0,35,414.5,34.971,36.239,53.342,24,0.088,31,4,22,19,1,45.3,0.0,5.7,0,7.5,3
5.155,16,16,40,42.844,38,31.0,23,300.82,24.601,26.211,37.916,16,0.05,21,4,17,12,0,42.1,2.6,0.0,0,10.5,0
5.155,16,16,42,45.398,40,31.0,23,281.4,24.795,26.358,39.694,16,0.048,21,5,19,11,0,40.0,0.0,0.0,0,12.5,0
6.367,22,22,49,51.524,46,40.0,29,344.45,30.015,31.569,45.803,21,0.082,26,4,20,18,0,45.7,0.0,2.2,0,8.7,1
5.829,27,26,89,94.132,83,64.0,50,593.81,51.524,54.381,82.825,33,0.067,44,9,39,20,1,39.8,0.0,2.4,0,10.8,2
5.0,19,17,62,66.971,59,47.5,37,485.99,38.257,39.563,60.047,24,0.145,34,5,25,17,2,40.7,3.4,5.1,1,8.5,3
5.301,6,0,42,47.993,42,30.0,24,342.34,25.976,25.739,43.891,14,0.167,24,2,18,8,6,33.3,0.0,19.0,0,4.8,8
5.867,23,21,79,82.976,74,56.5,44,525.7,46.352,49.017,73.752,32,0.127,39,3,35,20,2,43.2,0.0,5.4,0,4.1,4
5.167,30,29,59,60.939,55,52.5,37,430.54,37.542,39.33,54.687,28,0.102,33,4,22,27,1,50.9,0.0,1.8,0,7.3,1
5.745,29,24,80,84.432,76,71.0,54,938.24,54.753,56.966,78.429,34,0.0,50,4,26,30,5,44.7,5.3,10.5,0,5.3,8
5.75,22,22,42,43.293,39,40.0,29,386.25,28.31,29.21,39.909,19,0.071,26,3,13,18,0,48.7,5.1,5.1,0,7.7,2
6.269,23,22,46,48.113,43,42.0,30,360.4,29.391,29.955,43.691,20,0.087,27,4,16,19,1,46.5,0.0,7.0,0,9.3,3
6.07,30,28,58,60.016,54,55.0,39,507.0,38.174,39.438,55.185,25,0.103,35,4,19,24,2,46.3,1.9,7.4,0,7.4,4
5.798,23,22,51,53.737,48,44.0,32,405.52,32.411,33.915,48.425,21,0.078,29,5,19,19,1,43.8,0.0,4.2,0,10.4,2
6.47,23,22,53,55.943,50,44.0,32,403.55,33.223,35.222,49.982,22,0.075,29,5,21,19,1,44.0,0.0,2.0,0,10.0,1
4.767,17,17,62,65.551,58,45.5,37,472.97,37.282,38.529,59.087,23,0.129,33,4,25,14,0,39.7,1.7,8.6,0,6.9,5
6.57,29,28,60,62.441,56,53.0,38,466.61,38.245,40.228,56.083,26,0.083,34,6,22,24,1,46.4,0.0,1.8,0,10.7,1
7.0,23,22,50,53.546,47,46.0,34,443.49,32.846,33.273,48.636,21,0.06,31,5,16,19,1,44.7,6.4,2.1,3,10.6,1
6.77,23,22,53,55.943,50,44.0,32,403.55,33.223,35.222,49.982,22,0.057,29,5,21,19,1,44.0,0.0,2.0,0,10.0,1
6.539,23,22,56,59.358,53,45.0,33,417.58,34.75,36.983,52.865,23,0.089,30,5,23,19,1,43.4,0.0,1.9,0,9.4,1
6.96,23,22,50,52.527,47,43.0,31,389.52,31.697,33.461,47.098,21,0.06,28,5,19,19,1,44.7,0.0,2.1,0,10.6,1
6.601,29,28,60,62.441,56,53.0,38,466.61,38.245,40.228,56.083,26,0.083,34,6,22,24,1,46.4,0.0,1.8,0,10.7,1
6.442,23,22,51,53.737,48,44.0,32,405.52,32.411,33.915,48.425,21,0.078,29,5,19,19,1,43.8,0.0,4.2,0,10.4,2
6.239,23,22,56,59.358,53,45.0,33,417.58,34.75,36.983,52.865,23,0.071,30,5,23,19,1,43.4,0.0,1.9,0,9.4,1
5.921,23,22,47,49.056,44,43.0,31,409.93,30.997,32.557,44.538,20,0.064,28,5,16,19,1,45.5,2.3,2.3,0,11.4,1
6.201,23,22,68,72.185,64,51.0,39,487.69,40.846,43.517,63.836,26,0.074,35,7,29,19,1,40.6,0.0,1.6,0,10.9,1
7.659,29,28,59,61.385,55,54.0,39,485.96,38.293,39.341,55.883,26,0.085,35,5,20,25,1,47.3,1.8,5.5,0,9.1,3
6.058,29,28,61,63.358,57,53.0,38,465.62,38.75,40.983,56.865,27,0.082,34,5,23,25,1,47.4,0.0,1.8,0,8.8,1
6.3,29,28,57,59.283,53,53.0,38,454.49,36.828,37.415,53.971,26,0.088,34,4,19,25,1,49.1,1.9,5.7,1,7.5,3
4.699,16,16,31,32.575,29,28.0,20,241.27,19.601,19.972,29.494,13,0.065,18,3,11,12,0,44.8,0.0,6.9,0,10.3,2
7.444,21,20,57,58.438,52,45.0,34,385.51,33.563,35.336,51.789,23,0.035,29,5,23,16,1,44.2,0.0,1.9,0,9.6,1
8.155,22,20,69,72.102,64,52.0,40,471.61,40.573,42.529,64.094,27,0.087,35,5,29,17,2,42.2,0.0,4.7,0,7.8,3
8.097,20,18,65,72.54,63,51.0,39,514.58,40.698,41.375,64.592,26,0.108,37,6,26,17,1,41.3,6.3,1.6,4,9.5,1
6.742,25,24,70,75.201,66,56.0,43,532.62,43.315,44.438,67.079,29,0.086,39,6,27,22,1,43.9,4.5,1.5,3,9.1,1
7.366,25,24,76,84.162,73,59.0,46,598.67,46.982,47.603,75.007,29,0.145,43,8,30,21,1,39.7,5.5,2.7,4,11.0,2
7.684,20,18,61,66.71,58,51.0,39,498.53,38.644,38.853,59.825,25,0.049,36,6,22,17,1,43.1,6.9,1.7,4,10.3,1
6.979,25,24,71,76.75,67,58.0,45,566.61,44.413,44.83,68.919,29,0.099,41,6,26,22,1,43.3,6.0,3.0,4,9.0,2
8.155,28,26,79,82.016,73,62.0,47,548.7,47.121,49.296,73.08,32,0.076,41,6,32,23,2,43.8,0.0,4.1,0,8.2,3
8.699,28,26,72,74.316,66,60.0,45,522.63,43.736,45.256,66.498,30,0.056,39,6,27,23,2,45.5,1.5,3.0,1,9.1,2
7.714,20,18,59,64.212,56,50.0,38,483.51,37.623,37.847,57.723,25,0.051,35,5,21,17,1,44.6,7.1,1.8,4,8.9,1
6.917,25,24,71,76.354,67,58.0,45,583.06,44.857,45.75,68.73,29,0.099,41,6,26,22,1,43.3,6.0,3.0,3,9.0,2
8.222,28,26,80,83.305,74,62.0,47,547.72,47.428,49.847,73.854,32,0.063,41,7,33,23,2,43.2,0.0,2.7,0,9.5,2
5.569,25,24,53,56.753,50,49.0,36,450.45,34.879,34.836,51.669,24,0.094,33,4,17,22,1,48.0,6.0,4.0,3,8.0,2
8.398,28,26,72,73.817,66,60.0,45,583.53,44.378,46.671,66.214,30,0.056,39,6,27,23,2,45.5,1.5,3.0,0,9.1,2
4.602,30,29,79,82.351,74,61.5,46,543.71,48.111,50.802,73.541,35,0.089,41,3,33,27,1,47.3,0.0,4.1,0,4.1,3
5.921,20,18,63,68.497,60,51.0,39,495.55,39.481,40.125,61.421,26,0.063,36,5,24,17,1,43.3,5.0,3.3,3,8.3,2
4.602,30,29,86,90.683,81,65.5,50,604.76,52.088,54.478,81.181,36,0.105,45,4,36,26,1,44.4,0.0,6.2,0,4.9,5
7.648,25,24,81,87.558,77,59.0,46,570.74,48.359,50.552,77.352,31,0.148,42,8,35,21,1,40.3,1.3,2.6,1,10.4,2
7.959,20,18,43,46.713,41,42.0,30,382.37,29.111,28.858,42.574,20,0.047,28,4,13,17,1,48.8,7.3,2.4,3,9.8,1
8.699,24,22,49,52.128,46,48.0,34,420.42,32.638,32.62,47.458,23,0.041,31,4,15,19,1,50.0,6.5,2.2,3,8.7,1
7.481,20,18,61,66.71,58,51.0,39,498.53,38.644,38.853,59.825,25,0.049,36,6,22,17,1,43.1,6.9,1.7,4,10.3,1
6.382,23,22,46,48.195,43,42.0,30,376.48,29.664,30.943,43.433,19,0.065,27,6,16,18,1,44.2,0.0,2.3,0,14.0,1
6.357,20,20,49,52.283,46,40.0,30,370.42,29.828,30.415,46.971,19,0.102,27,4,19,14,0,41.3,2.2,6.5,1,8.7,3
5.0,22,22,52,54.939,49,41.0,30,358.48,31.542,33.33,48.687,22,0.115,27,4,22,18,0,44.9,0.0,2.0,0,8.2,1
6.442,23,22,47,49.0,44,44.0,32,444.37,31.825,33.415,44.862,20,0.064,29,5,15,19,1,45.5,4.5,2.3,0,11.4,1
7.77,23,22,50,53.886,47,47.0,35,461.48,33.23,33.211,49.149,21,0.06,32,5,15,19,1,44.7,8.5,2.1,4,10.6,1
6.852,24,22,63,67.481,60,50.0,37,474.64,39.013,41.205,60.178,25,0.095,34,6,26,20,2,41.7,0.0,3.3,0,10.0,2
6.679,23,22,47,49.056,44,43.0,31,409.93,30.997,32.557,44.538,20,0.064,28,5,16,19,1,45.5,2.3,2.3,0,11.4,1
5.83,23,22,52,54.943,49,44.0,32,388.46,32.444,33.478,49.458,22,0.077,29,4,20,19,1,44.9,0.0,6.1,0,8.2,3
5.0,15,12,53,58.665,51,41.0,32,441.51,32.661,33.222,52.872,18,0.113,30,5,21,11,3,35.3,3.9,7.8,2,9.8,4
4.602,25,24,53,55.734,50,46.0,33,396.48,33.73,35.023,50.131,24,0.132,30,4,20,23,1,48.0,0.0,4.0,0,8.0,2
8.699,24,23,51,54.543,48,46.5,34,422.44,33.165,33.381,49.341,23,0.059,31,4,17,21,1,47.9,6.3,2.1,3,8.3,1
8.421,25,24,54,58.042,51,49.0,36,449.47,35.186,35.387,52.443,24,0.093,33,5,18,22,1,47.1,5.9,2.0,3,9.8,1
6.553,20,18,48,49.917,45,43.0,32,443.38,32.33,34.171,45.644,21,0.083,29,4,16,19,2,46.7,4.4,2.2,0,8.9,1
8.199,20,18,67,73.54,64,53.0,41,526.59,41.698,42.375,65.592,27,0.06,38,6,26,17,1,42.2,6.3,1.6,4,9.4,1
6.699,25,24,100,108.76,96,67.0,54,686.89,58.668,61.444,96.574,37,0.15,50,6,46,23,1,38.5,0.0,7.3,0,6.3,7
8.523,25,21,71,73.893,66,56.5,42,491.64,42.858,45.074,65.767,30,0.07,37,5,29,23,4,45.5,0.0,3.0,0,7.6,2
6.886,24,22,55,60.093,52,52.0,39,504.44,36.208,34.932,55.156,22,0.109,36,6,16,20,2,42.3,7.7,7.7,4,11.5,4
5.959,23,22,50,54.176,47,47.0,35,445.41,32.757,32.017,49.4,21,0.08,32,5,15,20,1,44.7,8.5,4.3,4,10.6,2
8.27,24,22,73,79.458,69,59.0,46,585.62,45.149,45.29,71.349,28,0.096,42,7,27,21,2,40.6,5.8,4.3,4,10.1,3
5.337,23,22,68,70.105,63,53.0,40,480.68,41.309,44.262,62.414,29,0.074,35,4,28,19,0,46.0,0.0,1.6,0,6.3,1
6.627,23,22,74,80.663,70,57.0,45,571.64,44.961,45.597,71.905,28,0.108,41,7,29,20,1,40.0,5.7,2.9,4,10.0,2
5.66,29,28,59,62.452,55,57.0,42,540.93,39.617,39.392,57.389,27,0.068,38,4,17,26,1,49.1,9.1,3.6,4,7.3,2
6.585,28,28,55,57.46,51,51.0,37,445.47,35.67,36.137,52.123,26,0.073,33,3,18,24,0,51.0,5.9,2.0,3,5.9,1
6.602,30,28,58,59.78,54,53.0,37,455.57,37.137,38.881,54.316,26,0.086,33,3,21,24,2,48.1,0.0,5.6,0,5.6,3
7.398,30,28,61,63.195,57,54.0,38,469.6,38.664,40.642,57.2,27,0.082,34,3,23,24,2,47.4,0.0,5.3,0,5.3,3
7.229,30,28,58,59.724,54,54.0,38,490.01,37.964,39.739,54.64,26,0.086,34,3,20,24,2,48.1,1.9,5.6,0,5.6,3
7.886,25,24,64,68.478,61,50.0,37,453.59,39.331,41.313,60.883,27,0.109,34,5,27,22,1,44.3,0.0,3.3,0,8.2,2
8.699,25,24,64,68.478,61,50.0,37,453.59,39.331,41.313,60.883,27,0.109,34,5,27,22,1,44.3,0.0,3.3,0,8.2,2
8.398,25,24,60,64.485,57,50.0,37,458.54,37.682,38.733,57.731,25,0.117,34,6,23,21,1,43.9,1.8,3.5,1,10.5,2
4.301,25,22,63,65.405,59,55.0,40,497.61,40.378,42.097,59.527,28,0.127,36,3,23,21,2,47.5,0.0,6.8,0,5.1,4
5.432,28,26,80,84.141,75,61.0,46,566.79,48.12,51.25,74.712,32,0.1,41,6,34,24,2,42.7,0.0,2.7,0,8.0,2
5.721,28,26,83,87.557,78,62.0,47,580.82,49.647,53.012,77.596,33,0.096,42,6,36,24,2,42.3,0.0,2.6,0,7.7,2
6.244,28,26,83,87.557,78,62.0,47,580.82,49.647,53.012,77.596,33,0.096,42,6,36,24,2,42.3,0.0,2.6,0,7.7,2
8.06,24,22,56,61.01,53,52.0,39,503.45,36.714,35.688,55.938,23,0.107,36,5,17,21,2,43.4,7.5,7.5,4,9.4,4
7.35,24,22,53,56.18,50,48.0,35,451.9,34.481,35.034,51.327,22,0.113,32,5,18,21,2,44.0,2.0,8.0,0,10.0,4
5.66,24,22,55,59.074,52,49.0,36,450.47,35.058,35.12,53.618,22,0.109,33,6,19,21,2,42.3,1.9,7.7,1,11.5,4
7.699,25,24,57,61.749,54,51.0,38,480.49,36.922,36.847,55.872,24,0.105,35,6,19,21,1,44.4,5.6,3.7,3,11.1,2
7.886,25,24,63,68.547,60,54.0,41,526.53,40.558,40.512,62.16,27,0.127,38,4,22,23,1,45.0,6.7,5.0,4,6.7,3
5.495,24,22,57,61.587,54,51.0,38,484.47,36.836,36.506,56.207,24,0.123,35,4,19,21,2,44.4,5.6,7.4,3,7.4,4
6.456,25,22,56,61.302,53,54.0,40,520.44,36.923,35.387,56.483,22,0.107,37,6,16,20,3,41.5,7.5,9.4,4,11.3,5
5.0,18,15,46,48.322,43,39.5,29,367.47,28.885,30.154,43.542,18,0.087,26,5,17,14,3,41.9,0.0,4.7,0,11.6,2
7.222,29,28,60,61.986,56,52.0,37,453.6,37.949,40.188,55.872,27,0.083,33,3,23,24,1,48.2,0.0,3.6,0,5.4,2
6.47,29,28,53,53.788,49,50.0,35,488.43,35.206,37.563,49.007,25,0.075,31,3,18,24,1,51.0,2.0,2.0,0,6.1,1
6.66,29,28,56,57.361,52,50.0,35,423.57,35.707,37.972,51.662,26,0.071,31,3,21,24,1,50.0,0.0,1.9,0,5.8,1
8.699,29,28,62,66.215,58,58.0,43,537.51,40.526,39.995,60.494,27,0.081,39,5,19,25,1,46.6,6.9,5.2,4,8.6,3
7.013,22,20,65,67.478,60,50.0,38,441.58,38.331,40.313,59.883,26,0.046,33,5,27,17,2,43.3,0.0,3.3,0,8.3,2
8.301,27,25,71,72.314,65,57.5,43,508.69,43.024,45.716,64.741,30,0.056,37,4,28,21,2,46.2,0.0,3.1,0,6.2,2
7.585,22,20,68,70.893,63,51.0,39,455.61,39.858,42.074,62.767,27,0.059,34,5,29,17,2,42.9,0.0,3.2,0,7.9,2
7.347,22,20,71,74.308,66,52.0,40,469.64,41.385,43.836,65.65,28,0.07,35,5,31,17,2,42.4,0.0,3.0,0,7.6,2
7.081,22,20,63,64.979,58,49.0,37,426.56,37.31,39.307,57.781,26,0.048,32,4,26,17,2,44.8,0.0,3.4,0,6.9,2
7.62,27,25,65,65.484,59,55.5,41,480.63,39.97,42.193,58.974,28,0.046,35,4,24,21,2,47.5,0.0,3.4,0,6.8,2
7.367,27,25,62,62.069,56,54.5,40,466.6,38.443,40.432,56.091,27,0.048,34,4,22,21,2,48.2,0.0,3.6,0,7.1,2
6.863,24,22,82,87.347,77,59.0,46,576.8,47.878,50.716,77.243,29,0.085,41,8,36,17,2,37.7,0.0,3.9,0,10.4,3
7.824,27,25,68,68.741,62,57.5,43,573.55,42.522,45.307,62.087,29,0.059,37,4,25,21,2,46.8,1.6,3.2,0,6.5,2
6.967,22,20,68,70.893,63,51.0,39,455.61,39.858,42.074,62.767,27,0.074,34,5,29,17,2,42.9,0.0,3.2,0,7.9,2
7.284,22,20,74,77.723,69,53.0,41,483.67,42.912,45.597,68.534,29,0.068,36,5,33,17,2,42.0,0.0,2.9,0,7.2,2
7.357,22,20,53,53.817,48,46.0,34,385.46,32.224,33.267,48.349,22,0.019,29,5,19,17,2,45.8,0.0,4.2,0,10.4,2
6.0,22,20,51,51.318,46,45.0,33,370.44,31.203,32.262,46.247,22,0.02,28,4,18,17,2,47.8,0.0,4.3,0,8.7,2
7.638,22,20,59,60.647,54,48.0,36,413.52,35.278,36.79,54.116,24,0.051,31,5,23,17,2,44.4,0.0,3.7,0,9.3,2
5.398,18,17,50,52.864,47,40.5,31,381.42,30.853,31.381,48.011,20,0.08,28,3,19,16,1,42.6,0.0,10.6,0,6.4,5
5.081,26,24,86,92.55,82,61.0,47,577.8,51.008,54.131,81.505,34,0.093,43,7,39,24,2,41.5,0.0,2.4,0,8.5,2
5.081,26,24,79,85.822,75,62.0,48,604.7,48.599,49.665,76.494,31,0.089,44,8,31,24,2,41.3,4.0,2.7,3,10.7,2
6.0,22,20,57,58.149,52,47.0,35,398.5,34.256,35.784,52.014,24,0.035,30,4,22,17,2,46.2,0.0,3.8,0,7.7,2
4.602,23,22,61,64.817,58,47.0,35,430.54,37.224,38.966,58.116,26,0.098,32,2,26,20,1,44.8,0.0,6.9,0,3.4,4
5.216,26,24,77,83.663,73,62.0,48,607.67,47.961,48.597,74.905,31,0.091,44,7,29,24,2,42.5,5.5,2.7,4,9.6,2
6.91,26,24,77,83.324,73,61.0,47,589.68,47.578,48.66,74.392,31,0.091,43,7,30,24,2,42.5,4.1,2.7,3,9.6,2
4.602,23,22,58,61.401,55,46.0,34,416.51,35.697,37.205,55.232,25,0.103,31,2,24,20,1,45.5,0.0,7.3,0,3.6,4
4.602,26,24,80,86.659,76,63.0,49,620.69,49.513,50.324,77.829,32,0.125,45,6,31,24,2,42.1,3.9,5.3,3,7.9,4
5.367,23,22,58,61.401,55,46.0,34,416.51,35.697,37.205,55.232,25,0.121,31,2,24,20,1,45.5,0.0,7.3,0,3.6,4
4.602,26,24,78,83.514,74,59.0,45,551.71,47.143,49.302,74.181,31,0.103,41,7,33,24,2,41.9,0.0,4.1,0,9.5,3
6.538,25,23,61,63.721,57,53.5,40,504.96,39.228,40.006,58.32,26,0.082,36,4,21,23,2,45.6,1.8,8.8,0,7.0,5
7.032,24,23,53,57.042,50,47.5,35,437.46,34.186,34.387,51.443,23,0.057,32,5,18,21,1,46.0,6.0,2.0,3,10.0,1
5.398,24,23,67,70.524,63,52.5,40,485.58,40.96,42.426,63.545,28,0.09,36,3,27,22,1,44.4,0.0,7.9,0,4.8,5
7.143,27,25,68,69.189,62,56.5,42,478.59,41.025,42.762,62.109,29,0.059,36,4,26,21,2,46.8,0.0,4.8,0,6.5,3
6.125,29,28,76,78.763,70,61.0,46,530.69,45.681,47.875,69.861,31,0.053,40,8,30,24,1,44.3,0.0,1.4,0,11.4,1
4.602,23,22,55,59.005,52,48.0,36,456.45,35.32,35.256,53.887,24,0.109,33,2,19,20,1,46.2,5.8,7.7,3,3.8,4
5.854,23,22,63,65.817,59,49.0,37,442.55,38.224,39.966,59.116,27,0.095,33,2,26,20,1,45.8,0.0,6.8,0,3.4,4
4.602,25,23,73,78.182,69,56.5,43,526.66,44.11,45.784,69.516,28,0.096,39,8,30,21,2,40.6,0.0,4.3,0,11.6,3
5.131,23,22,56,58.069,52,47.0,35,415.48,34.665,35.688,52.567,24,0.107,31,3,21,19,1,46.2,0.0,7.7,0,5.8,4
7.237,27,25,68,69.189,62,56.5,42,478.59,41.025,42.762,62.109,29,0.059,36,4,26,21,2,46.8,0.0,4.8,0,6.5,3
6.0,24,23,64,67.109,60,51.5,39,471.55,39.433,40.665,60.662,27,0.078,35,3,25,22,1,45.0,0.0,8.3,0,5.0,5
4.602,20,18,48,52.836,46,43.0,32,415.41,31.374,31.08,47.887,20,0.083,30,5,16,18,2,43.5,6.5,4.3,3,10.9,2
5.081,23,22,58,61.694,55,47.0,35,433.5,35.906,36.904,55.778,24,0.138,32,3,23,19,1,43.6,0.0,9.1,0,5.5,5
6.561,23,22,92,97.464,86,62.0,50,594.84,52.556,55.898,85.49,34,0.087,44,8,42,18,1,39.5,0.0,2.3,0,9.3,2
4.301,22,22,48,50.607,45,40.0,29,345.44,29.509,30.813,45.022,20,0.104,26,5,19,18,0,44.4,0.0,2.2,0,11.1,1
5.842,23,22,93,99.879,88,61.0,49,596.86,53.083,56.66,87.374,34,0.086,44,8,44,18,1,38.6,0.0,2.3,0,9.1,2
6.222,22,22,55,57.149,51,44.0,33,386.49,33.256,34.784,51.014,23,0.073,29,4,22,18,0,45.1,0.0,3.9,0,7.8,2
8.398,28,26,73,75.185,67,60.0,45,520.64,44.068,45.773,67.312,30,0.055,39,6,28,23,2,44.8,0.0,4.5,0,9.0,3
8.699,28,26,72,74.316,66,60.0,45,522.63,43.736,45.256,66.498,30,0.056,39,6,27,23,2,45.5,1.5,3.0,1,9.1,2
7.538,27,25,67,68.272,61,56.5,42,479.58,40.519,42.006,61.327,28,0.06,36,5,25,21,2,45.9,0.0,4.9,0,8.2,3
7.42,25,24,57,61.749,54,51.0,38,480.49,36.922,36.847,55.872,24,0.105,35,6,19,21,1,44.4,5.6,3.7,3,11.1,2
8.699,28,26,72,74.316,66,60.0,45,522.63,43.736,45.256,66.498,30,0.056,39,6,27,23,2,45.5,1.5,3.0,1,9.1,2
8.0,27,25,70,71.398,64,57.5,43,509.68,42.518,44.961,63.96,29,0.057,37,5,27,21,2,45.3,0.0,3.1,0,7.8,2
8.523,20,18,46,50.128,44,43.0,31,396.4,30.638,30.62,45.458,21,0.043,29,4,15,17,1,47.7,6.8,2.3,3,9.1,1
7.602,22,20,71,74.308,66,52.0,40,469.64,41.385,43.836,65.65,28,0.07,35,5,31,17,2,42.4,0.0,3.0,0,7.6,2
