pXC50,SpMAD_EA.ed.,Hy,GATS2v,SpMax3_Bh.p.,SpMin1_Bh.s.,JGI3,P_VSA_LogP_2,Eta_epsi_A,MATS1p,Eta_B_A,MATS2p,CATS2D_03_AA,SpMAD_AEA.ri.,SpMAD_EA,X3A,H.050,nHDon,CATS2D_04_DL,P_VSA_i_4,Me,P_VSA_MR_5,P_VSA_e_3,MATS2v,CATS2D_02_AA,H.052,H.,CATS2D_07_AA,GATS7e,Eig01_AEA.ri.,SpMax_AEA.ri.,GATS1e,Eta_L_A,C.003,nCt,GATS2p,O.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,MATS1m,CATS2D_05_DL,SpMAD_AEA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,X4A,MATS4s,ATSC2e,SpDiam_AEA.ri.,Psi_e_A,Psi_i_A,CATS2D_03_AL,NssO,SssO,AAC,IC0,NddssS,S.110,SddssS,CATS2D_03_DL,SM13_EA.ed.,GATS1m,MATS1i,MAXDN,Eig01_AEA.ed.,Eig01_EA.ed.
5.0,3.827,13.81,1.25,3.63,1.293,0.045,288.845,0.621,0.099,0.028,-0.167,0,1.437,1.438,0.205,18,18,11,302.997,1.02,322.416,302.997,-0.137,0,10,48.9,2,1.158,4.033,4.033,0.953,0.254,0,0,1.4,8.5,2.997,4.997,2.997,-0.053,10,1.51,3.047,3.047,3.047,0.131,-0.154,0.883,5.085,8.399,2.899,7,0,0.0,1.707,1.707,0,0,0.0,10,30.398,0.93,-0.013,3.034,6.489,10.107
4.194,3.834,14.677,1.252,3.63,1.296,0.042,291.379,0.623,0.109,0.029,-0.169,0,1.436,1.436,0.208,19,19,11,302.997,1.021,324.95,302.997,-0.131,0,12,49.0,2,1.179,3.954,3.954,0.972,0.256,0,0,1.415,9.2,2.913,4.913,2.913,-0.057,12,1.512,2.97,2.97,2.97,0.131,-0.165,0.923,5.006,8.427,2.927,7,0,0.0,1.712,1.712,0,0,0.0,11,29.681,0.934,-0.003,3.05,6.225,9.292
4.347,3.834,13.647,1.224,3.63,1.297,0.042,291.379,0.609,0.091,0.029,-0.133,0,1.435,1.436,0.208,18,18,10,302.997,1.016,333.776,302.997,-0.104,0,12,50.0,2,1.224,3.954,3.954,0.941,0.26,0,0,1.365,8.0,2.914,4.914,2.914,-0.048,11,1.512,2.97,2.97,2.97,0.131,-0.153,0.873,5.006,8.347,2.847,7,0,0.0,1.68,1.68,0,0,0.0,9,29.681,0.945,-0.006,3.03,6.225,9.292
4.523,3.898,13.162,1.196,3.695,1.297,0.044,291.379,0.617,0.114,0.028,-0.126,0,1.446,1.447,0.203,18,18,10,302.997,1.017,324.95,302.997,-0.11,0,12,47.7,2,1.192,4.002,4.002,0.901,0.247,0,0,1.312,8.3,3.035,5.035,3.035,-0.042,11,1.516,2.991,2.991,2.991,0.129,-0.164,0.885,5.054,8.319,2.819,11,0,0.0,1.685,1.685,0,0,0.0,9,30.281,0.901,0.05,3.058,6.391,9.67
4.0,3.78,12.725,1.219,3.631,1.298,0.048,278.17,0.615,0.062,0.028,-0.139,1,1.431,1.431,0.207,17,17,6,288.111,1.018,311.741,288.111,-0.115,1,10,49.5,2,1.163,3.99,3.99,0.94,0.255,0,0,1.35,8.2,2.929,4.929,2.929,-0.045,8,1.502,3.017,3.017,3.017,0.132,-0.152,0.907,5.043,8.364,2.864,9,0,0.0,1.693,1.693,0,0,0.0,6,30.066,0.932,-0.066,3.025,6.425,9.84
4.569,3.739,11.368,1.248,3.61,1.284,0.044,235.402,0.607,0.098,0.027,-0.154,0,1.424,1.425,0.209,15,15,9,252.089,1.015,268.973,252.089,-0.136,0,10,50.0,1,1.278,3.938,3.938,0.986,0.257,0,0,1.378,7.5,2.897,4.897,2.897,-0.052,10,1.496,2.954,2.954,2.954,0.135,-0.149,0.693,4.984,8.313,2.813,5,0,0.0,1.676,1.676,0,0,0.0,6,29.392,0.954,-0.01,2.982,6.205,9.216
4.125,3.801,9.502,1.249,3.56,1.296,0.043,200.399,0.621,0.106,0.028,-0.17,0,1.431,1.433,0.208,13,13,7,202.407,1.02,217.185,202.407,-0.146,0,8,48.6,1,1.2,3.942,3.942,0.921,0.253,0,0,1.388,9.5,2.902,4.902,2.902,-0.053,8,1.51,2.957,2.957,2.957,0.133,-0.132,0.684,4.983,8.421,2.921,5,0,0.0,1.698,1.698,0,0,0.0,7,29.402,0.917,0.028,3.125,6.209,9.24
4.0,3.81,13.81,1.25,3.628,1.294,0.045,288.845,0.621,0.099,0.028,-0.167,0,1.434,1.436,0.205,18,18,9,302.997,1.02,322.416,302.997,-0.137,0,10,48.9,2,1.22,3.954,3.954,0.953,0.253,0,0,1.4,8.5,2.913,4.913,2.913,-0.053,11,1.505,2.97,2.97,2.97,0.134,-0.126,0.883,5.005,8.399,2.899,6,0,0.0,1.707,1.707,0,0,0.0,7,29.689,0.93,-0.013,3.034,6.225,9.292
4.0,3.849,13.647,1.249,3.637,1.296,0.045,291.379,0.609,0.091,0.03,-0.171,0,1.446,1.445,0.205,18,18,11,302.997,1.016,333.776,302.997,-0.127,0,15,50.0,2,1.203,3.995,3.995,0.941,0.261,0,0,1.406,8.0,2.944,4.944,2.944,-0.048,11,1.512,3.015,3.015,3.015,0.131,-0.146,0.852,5.047,8.35,2.85,7,0,0.0,1.68,1.68,0,0,0.0,10,30.084,0.945,-0.006,3.032,6.397,9.701
6.097,3.808,15.318,1.253,3.634,1.298,0.042,310.29,0.618,0.062,0.028,-0.181,0,1.426,1.429,0.207,20,19,10,321.008,1.019,343.861,321.008,-0.153,0,12,49.1,3,1.217,3.96,3.96,0.932,0.268,0,0,1.348,8.3,2.918,4.918,2.918,-0.07,12,1.512,2.976,2.976,2.976,0.132,-0.161,0.977,5.016,8.371,2.871,7,0,0.0,1.753,1.753,0,0,0.0,9,29.889,0.941,-0.022,3.052,6.234,9.321
4.409,3.652,1.977,1.146,3.26,1.318,0.041,55.134,0.58,0.05,0.021,-0.056,0,1.394,1.393,0.214,4,4,8,50.494,1.006,72.785,50.494,-0.077,0,1,51.2,0,1.525,3.944,3.944,0.75,0.261,1,1,1.19,7.3,2.914,4.914,2.914,-0.013,8,1.504,2.957,2.957,2.957,0.136,-0.102,0.285,4.973,8.108,2.608,1,0,0.0,1.576,1.576,0,0,0.0,5,29.502,0.929,0.014,2.283,6.395,9.665
4.796,3.628,1.822,1.153,3.467,1.236,0.03,55.134,0.602,0.107,0.017,-0.109,0,1.412,1.412,0.209,4,4,8,50.494,1.008,55.134,50.494,-0.166,0,2,45.2,0,1.851,3.845,3.845,0.739,0.211,0,0,1.158,7.1,2.817,4.817,2.817,-0.006,9,1.464,2.857,2.857,2.857,0.134,-0.138,0.269,4.878,8.043,2.543,1,0,0.0,1.59,1.59,0,0,0.0,4,28.393,0.833,0.096,2.33,6.08,8.833
4.658,3.433,2.026,1.212,3.305,1.225,0.034,56.034,0.602,0.116,0.017,-0.195,0,1.37,1.371,0.218,4,4,6,50.494,1.011,56.034,50.494,-0.161,0,0,48.7,0,1.467,3.794,3.794,0.761,0.283,0,0,1.398,7.7,2.758,4.758,2.758,0.028,4,1.45,2.81,2.81,2.81,0.14,-0.147,0.313,4.829,8.108,2.608,1,0,0.0,1.739,1.739,0,0,0.0,3,28.093,0.825,0.059,2.283,6.041,8.64
5.292,3.556,1.921,1.171,3.36,1.311,0.043,57.669,0.57,0.045,0.023,-0.072,0,1.396,1.394,0.213,4,4,8,50.494,1.003,75.319,50.494,-0.091,0,4,52.3,0,2.055,3.821,3.821,0.746,0.268,1,1,1.214,6.8,2.79,4.79,2.79,-0.01,7,1.468,2.834,2.834,2.834,0.141,-0.075,0.279,4.851,8.056,2.556,1,0,0.0,1.547,1.547,0,0,0.0,3,28.24,0.95,0.014,2.276,6.065,8.747
5.994,4.321,2.105,1.232,3.514,1.442,0.071,44.029,0.538,0.068,0.048,-0.078,0,1.492,1.49,0.203,4,4,6,32.897,0.997,73.267,32.897,-0.004,0,0,59.1,0,1.37,4.375,4.375,0.964,0.36,3,3,1.547,9.1,3.363,5.3,3.363,0.178,6,1.596,3.38,3.38,3.38,0.129,-0.135,0.319,5.313,8.295,2.795,3,0,0.0,1.522,1.522,0,0,0.0,4,32.622,1.075,0.095,4.412,7.27,12.293
6.0,4.06,0.455,1.08,3.136,1.284,0.03,40.501,0.545,0.134,0.024,-0.078,0,1.458,1.459,0.196,2,2,2,32.897,0.99,40.501,32.897,-0.059,0,2,50.0,0,1.233,3.951,3.951,0.706,0.261,0,0,1.134,3.8,2.962,4.962,2.962,0.005,2,1.513,2.945,2.945,2.945,0.123,-0.128,0.041,4.951,7.795,2.295,2,0,0.0,1.387,1.387,0,0,0.0,2,29.008,0.898,0.21,1.59,6.208,9.259
6.319,3.981,1.822,1.065,3.402,1.311,0.047,53.029,0.589,0.096,0.025,-0.016,0,1.445,1.443,0.189,4,4,10,50.494,1.005,70.679,50.494,-0.034,0,2,47.7,0,1.981,4.034,4.034,0.734,0.239,1,1,1.107,6.8,3.012,5.012,3.012,-0.001,8,1.532,3.045,3.045,3.045,0.122,-0.041,0.262,5.072,8.022,2.522,1,0,0.0,1.568,1.568,0,0,0.0,5,30.354,0.866,0.082,2.299,6.513,10.234
5.194,3.756,1.968,1.043,3.295,1.31,0.046,53.029,0.602,-0.018,0.026,0.009,0,1.409,1.408,0.207,4,4,7,50.494,1.014,70.679,50.494,0.009,0,2,50.0,1,1.473,3.831,3.831,0.801,0.246,1,1,1.115,9.5,2.795,4.795,2.795,-0.002,6,1.512,2.847,2.847,2.847,0.134,-0.055,0.378,4.868,8.159,2.659,3,1,5.019,1.623,1.623,0,0,0.0,4,28.354,0.891,-0.059,2.311,6.067,8.762
6.027,3.804,1.977,1.087,3.3,1.31,0.05,53.029,0.58,0.05,0.029,-0.019,0,1.422,1.421,0.207,4,4,8,50.494,1.006,79.504,50.494,-0.012,0,2,51.2,0,1.706,3.831,3.831,0.75,0.254,1,1,1.158,7.3,2.796,4.796,2.796,-0.013,7,1.522,2.846,2.846,2.846,0.133,-0.026,0.274,4.862,8.117,2.617,1,0,0.0,1.576,1.576,0,0,0.0,4,28.322,0.929,0.014,2.294,6.067,8.762
5.959,3.741,1.914,1.04,3.313,1.31,0.043,55.134,0.59,-0.018,0.024,0.038,0,1.409,1.41,0.205,4,4,8,50.494,1.01,72.785,50.494,0.016,0,2,51.1,0,1.758,3.836,3.836,0.794,0.255,1,1,1.083,8.9,2.795,4.795,2.795,0.0,6,1.507,2.859,2.859,2.859,0.134,-0.101,0.385,4.871,8.106,2.606,3,1,5.198,1.594,1.594,0,0,0.0,3,29.072,0.912,-0.054,2.304,6.132,8.988
6.102,3.719,1.914,1.04,3.314,1.31,0.045,55.134,0.59,-0.018,0.025,0.038,0,1.407,1.41,0.209,4,4,7,50.494,1.01,72.785,50.494,0.016,0,2,51.1,1,1.524,3.823,3.823,0.794,0.255,1,1,1.083,8.9,2.791,4.791,2.791,0.0,7,1.497,2.837,2.837,2.837,0.134,-0.091,0.385,4.858,8.106,2.606,3,1,5.107,1.594,1.594,0,0,0.0,4,28.368,0.912,-0.054,2.301,6.065,8.748
5.523,3.758,1.968,1.12,3.313,1.31,0.048,55.134,0.617,0.048,0.028,-0.06,0,1.426,1.421,0.208,4,4,7,65.454,1.018,72.785,50.494,-0.055,0,2,48.8,0,1.413,3.823,3.823,0.683,0.255,1,1,1.192,7.3,2.791,4.791,2.791,-0.016,7,1.504,2.836,2.836,2.836,0.136,-0.073,0.35,4.855,8.349,2.849,1,0,0.0,1.717,1.717,0,0,0.0,4,28.308,0.845,-0.016,2.343,6.065,8.748
5.161,3.72,1.914,1.04,3.315,1.31,0.036,55.134,0.59,-0.018,0.025,0.038,0,1.409,1.41,0.211,4,4,8,50.494,1.01,72.785,50.494,0.016,0,2,51.1,0,1.819,3.823,3.823,0.794,0.255,1,1,1.083,8.9,2.791,4.791,2.791,0.0,6,1.501,2.836,2.836,2.836,0.135,-0.102,0.385,4.858,8.106,2.606,3,1,5.055,1.594,1.594,0,0,0.0,4,28.302,0.912,-0.054,2.298,6.065,8.748
5.824,3.753,1.921,1.081,3.325,1.31,0.038,55.134,0.57,0.045,0.028,0.013,0,1.419,1.418,0.211,4,4,8,50.494,1.003,81.61,50.494,-0.003,0,2,52.3,0,2.005,3.823,3.823,0.746,0.263,1,1,1.123,6.8,2.791,4.791,2.791,-0.01,7,1.504,2.836,2.836,2.836,0.134,-0.075,0.286,4.854,8.063,2.563,1,0,0.0,1.547,1.547,0,0,0.0,4,28.267,0.95,0.014,2.283,6.065,8.748
6.041,3.753,1.968,1.12,3.313,1.31,0.038,55.134,0.617,0.048,0.028,-0.06,0,1.423,1.418,0.211,4,4,8,65.454,1.018,72.785,50.494,-0.055,0,2,48.8,0,1.636,3.823,3.823,0.683,0.255,1,1,1.192,7.3,2.791,4.791,2.791,-0.016,6,1.504,2.836,2.836,2.836,0.134,-0.093,0.35,4.855,8.349,2.849,1,0,0.0,1.717,1.717,0,0,0.0,4,28.267,0.845,-0.016,2.333,6.065,8.748
6.377,3.944,1.777,1.058,3.431,1.325,0.042,55.134,0.579,0.088,0.024,0.015,0,1.445,1.444,0.192,4,4,9,50.494,1.003,72.785,50.494,-0.02,0,2,48.9,0,2.1,4.03,4.03,0.731,0.247,1,1,1.077,6.4,3.027,5.027,3.027,0.002,9,1.52,3.032,3.032,3.032,0.124,-0.081,0.275,5.066,7.979,2.479,1,0,0.0,1.542,1.542,0,0,0.0,4,30.31,0.887,0.077,2.288,6.506,10.196
4.553,4.036,2.05,1.243,3.505,1.388,0.052,49.098,0.543,0.089,0.029,-0.159,0,1.438,1.437,0.212,4,4,7,32.897,0.994,51.861,32.897,-0.101,0,0,55.0,0,1.397,4.47,4.47,1.07,0.306,0,0,1.564,7.5,3.438,5.438,3.438,0.192,8,1.53,3.482,3.482,3.482,0.133,-0.173,0.232,5.47,8.063,2.563,2,0,0.0,1.548,1.548,0,0,0.0,4,33.587,1.022,0.164,4.542,7.614,13.245
4.921,4.265,2.05,1.182,3.527,1.387,0.058,44.029,0.543,0.089,0.037,-0.118,0,1.486,1.485,0.206,4,4,8,32.897,0.994,55.617,32.897,-0.039,0,0,55.0,0,0.991,4.473,4.473,1.07,0.298,1,1,1.524,7.5,3.441,5.441,3.441,0.192,8,1.555,3.485,3.485,3.485,0.133,-0.123,0.234,5.473,8.082,2.582,2,0,0.0,1.548,1.548,0,0,0.0,4,33.597,1.022,0.164,4.566,7.615,13.255
6.26,4.147,1.874,1.179,3.801,1.359,0.046,44.029,0.566,0.093,0.028,-0.192,0,1.475,1.473,0.205,4,4,8,32.897,0.997,37.966,32.897,-0.133,0,0,48.8,0,1.478,4.474,4.474,1.052,0.24,0,0,1.525,7.3,3.442,5.442,3.442,0.175,10,1.514,3.486,3.486,3.486,0.13,-0.165,0.209,5.474,8.015,2.515,2,0,0.0,1.572,1.572,0,0,0.0,4,33.599,0.942,0.2,4.678,7.616,13.257
6.62,4.085,1.825,1.194,3.817,1.378,0.04,46.563,0.557,0.091,0.027,-0.188,0,1.469,1.469,0.208,4,4,7,32.897,0.995,40.501,32.897,-0.134,0,0,50.0,0,1.603,4.47,4.47,1.048,0.252,0,0,1.513,6.8,3.439,5.439,3.439,0.174,9,1.504,3.482,3.482,3.482,0.133,-0.19,0.22,5.47,7.968,2.468,2,0,0.0,1.542,1.542,0,0,0.0,4,33.587,0.954,0.188,4.649,7.614,13.245
6.301,4.29,2.05,1.182,3.436,1.387,0.05,44.029,0.543,0.089,0.036,-0.118,0,1.486,1.487,0.213,4,4,6,32.897,0.994,55.617,32.897,-0.039,0,0,55.0,0,0.952,4.495,4.495,1.07,0.299,1,1,1.524,7.5,3.464,5.464,3.464,0.192,6,1.573,3.507,3.507,3.507,0.135,-0.141,0.234,5.495,8.082,2.582,2,0,0.0,1.548,1.548,0,0,0.0,5,33.778,1.022,0.164,4.54,7.659,13.441
6.0,4.184,1.986,1.203,3.533,1.401,0.05,46.563,0.535,0.086,0.035,-0.122,0,1.479,1.479,0.21,4,4,7,32.897,0.992,58.151,32.897,-0.053,0,0,55.8,0,1.382,4.469,4.469,1.066,0.309,1,1,1.518,7.0,3.438,5.438,3.438,0.188,7,1.547,3.482,3.482,3.482,0.137,-0.144,0.243,5.469,8.025,2.525,2,0,0.0,1.517,1.517,0,0,0.0,4,33.585,1.035,0.153,4.538,7.614,13.244
4.337,4.33,3.264,1.175,3.174,1.333,0.045,74.392,0.554,0.113,0.037,-0.118,0,1.493,1.493,0.215,5,5,5,65.794,0.997,77.154,65.794,-0.042,0,0,53.1,0,1.144,4.46,4.46,1.15,0.266,0,0,1.573,6.3,3.439,5.439,3.439,0.21,5,1.567,3.468,3.468,3.468,0.133,-0.292,0.194,5.46,8.143,2.643,2,0,0.0,1.665,1.665,0,0,0.0,3,33.428,1.008,0.251,4.271,7.589,13.084
5.398,4.265,2.971,1.183,3.528,1.398,0.058,76.926,0.528,0.099,0.037,-0.088,0,1.486,1.485,0.206,5,5,8,65.794,0.989,88.514,65.794,-0.025,0,0,56.1,0,0.977,4.477,4.477,1.134,0.3,1,1,1.499,4.9,3.455,5.455,3.455,0.198,8,1.555,3.485,3.485,3.485,0.133,-0.165,0.227,5.477,7.971,2.471,2,0,0.0,1.549,1.549,0,0,0.0,4,33.597,1.048,0.205,4.344,7.615,13.255
6.222,4.147,2.751,1.173,3.801,1.37,0.046,76.926,0.551,0.104,0.028,-0.16,0,1.474,1.473,0.205,5,5,8,65.794,0.992,70.863,65.794,-0.112,0,0,50.0,0,1.454,4.478,4.478,1.113,0.242,0,0,1.497,4.8,3.456,5.456,3.456,0.182,10,1.514,3.486,3.486,3.486,0.13,-0.218,0.205,5.478,7.919,2.419,2,0,0.0,1.577,1.577,0,0,0.0,4,33.599,0.962,0.244,4.456,7.616,13.257
6.149,4.085,2.689,1.19,3.818,1.389,0.04,79.461,0.543,0.101,0.027,-0.157,0,1.469,1.469,0.208,5,5,7,65.794,0.99,73.398,65.794,-0.115,0,0,51.1,0,1.496,4.474,4.474,1.11,0.254,0,0,1.487,4.4,3.453,5.453,3.453,0.18,9,1.504,3.482,3.482,3.482,0.133,-0.228,0.216,5.474,7.878,2.378,2,0,0.0,1.547,1.547,0,0,0.0,4,33.587,0.975,0.23,4.427,7.614,13.245
4.119,4.292,3.857,1.292,2.891,1.364,0.058,74.392,0.533,0.106,0.047,-0.157,0,1.447,1.453,0.236,5,5,4,65.794,0.996,85.979,65.794,-0.024,0,0,60.7,0,0.408,4.341,4.341,1.187,0.355,1,1,1.739,7.1,3.323,5.175,3.323,0.243,3,1.622,3.348,3.348,3.348,0.153,-0.157,0.219,5.199,8.361,2.861,1,0,0.0,1.629,1.629,0,0,0.0,2,32.391,1.112,0.164,4.068,7.242,12.081
4.301,4.303,3.384,1.286,3.394,1.406,0.072,79.461,0.509,0.088,0.043,-0.077,0,1.472,1.472,0.215,5,5,7,65.794,0.988,99.874,65.794,-0.023,0,0,62.2,0,0.403,4.473,4.473,1.164,0.383,1,1,1.59,5.4,3.452,5.354,3.452,0.22,5,1.625,3.481,3.481,3.481,0.144,-0.166,0.235,5.376,8.093,2.593,2,0,0.0,1.518,1.518,0,0,0.0,4,33.584,1.15,0.145,4.195,7.614,13.243
6.276,4.184,2.038,1.129,3.523,1.343,0.05,61.611,0.563,0.054,0.035,-0.128,1,1.479,1.479,0.21,4,4,6,50.908,1.0,73.199,50.908,-0.032,0,0,52.5,0,1.755,4.481,4.481,0.957,0.273,1,1,1.423,7.5,3.477,5.477,3.477,0.19,5,1.547,3.482,3.482,3.482,0.137,-0.112,0.282,5.481,8.148,2.648,1,0,0.0,1.644,1.644,0,0,0.0,4,33.585,0.973,0.078,4.843,7.614,13.244
6.032,4.29,2.105,1.1,3.41,1.297,0.05,59.076,0.573,0.056,0.036,-0.124,1,1.486,1.487,0.213,4,4,5,50.908,1.003,70.664,50.908,-0.014,0,0,51.4,0,1.147,4.506,4.506,0.963,0.262,1,1,1.427,8.1,3.5,5.5,3.5,0.193,4,1.573,3.507,3.507,3.507,0.135,-0.119,0.291,5.506,8.211,2.711,1,0,0.0,1.683,1.683,0,0,0.0,5,33.778,0.96,0.083,4.845,7.659,13.441
6.187,3.772,1.968,1.051,3.313,1.31,0.046,55.134,0.607,0.061,0.027,0.011,0,1.428,1.418,0.208,4,4,9,50.494,1.014,72.785,50.494,-0.027,0,2,48.8,0,1.892,3.826,3.826,0.726,0.261,1,1,1.034,7.3,2.791,4.791,2.791,-0.014,6,1.513,2.845,2.845,2.845,0.135,-0.106,0.321,4.86,8.164,2.664,1,0,0.0,1.717,1.717,0,0,0.0,3,28.747,0.709,0.02,2.309,6.066,8.752
6.137,3.772,1.968,1.012,3.313,1.31,0.046,55.134,0.592,0.058,0.027,0.038,0,1.43,1.418,0.208,4,4,9,50.494,1.011,72.785,96.448,-0.015,0,2,48.8,0,1.992,3.826,3.826,0.742,0.274,1,1,0.902,7.3,2.791,4.791,2.791,-0.007,6,1.513,2.845,2.845,2.845,0.135,-0.097,0.309,4.861,8.099,2.599,1,0,0.0,1.717,1.717,0,0,0.0,3,28.747,0.538,0.03,2.292,6.066,8.752
5.883,3.826,2.026,1.058,3.294,1.31,0.053,53.029,0.621,0.07,0.028,-0.022,0,1.428,1.422,0.204,4,4,7,50.494,1.018,70.679,50.494,-0.042,0,2,47.4,0,1.703,3.844,3.844,0.733,0.252,1,1,1.064,7.9,2.797,4.797,2.797,-0.017,7,1.53,2.878,2.878,2.878,0.133,-0.069,0.313,4.88,8.222,2.722,1,0,0.0,1.757,1.757,0,0,0.0,5,28.846,0.689,0.02,2.326,6.09,8.847
6.276,3.826,2.026,1.016,3.294,1.31,0.053,53.029,0.604,0.064,0.028,0.012,0,1.429,1.422,0.204,4,4,7,50.494,1.015,70.679,96.448,-0.028,0,2,47.4,0,1.763,3.843,3.843,0.75,0.266,1,1,0.92,7.9,2.796,4.796,2.796,-0.008,7,1.53,2.878,2.878,2.878,0.133,-0.057,0.299,4.88,8.154,2.654,1,0,0.0,1.757,1.757,0,0,0.0,5,28.846,0.53,0.032,2.305,6.09,8.847
6.215,3.826,1.977,1.087,3.294,1.31,0.053,53.029,0.58,0.05,0.028,-0.019,0,1.423,1.422,0.204,4,4,8,50.494,1.006,79.504,50.494,-0.012,0,2,51.2,0,1.74,3.858,3.858,0.75,0.254,1,1,1.158,7.3,2.815,4.815,2.815,-0.013,7,1.53,2.878,2.878,2.878,0.133,-0.051,0.274,4.889,8.117,2.617,1,0,0.0,1.576,1.576,0,0,0.0,5,28.846,0.929,0.014,2.293,6.09,8.847
6.155,3.779,1.968,1.043,3.294,1.31,0.049,53.029,0.602,-0.018,0.025,0.009,0,1.409,1.408,0.201,4,4,7,50.494,1.014,70.679,50.494,0.009,0,2,50.0,0,1.8,3.863,3.863,0.801,0.246,1,1,1.115,9.5,2.806,4.806,2.806,-0.002,6,1.519,2.897,2.897,2.897,0.132,-0.064,0.378,4.901,8.159,2.659,3,1,5.123,1.623,1.623,0,0,0.0,4,29.163,0.891,-0.059,2.32,6.16,9.115
5.509,4.228,1.059,0.787,3.294,1.272,0.051,42.783,0.678,-0.132,0.026,0.185,3,1.45,1.452,0.187,3,3,0,35.608,1.038,42.783,35.608,0.197,2,2,42.9,1,1.114,4.099,4.099,0.801,0.222,0,0,0.871,16.3,3.036,5.036,3.036,0.023,1,1.602,3.128,3.128,3.128,0.117,-0.171,0.829,5.139,8.381,2.881,9,3,15.585,1.727,1.727,0,0,0.0,3,31.131,0.732,-0.218,2.585,6.609,10.429
5.53,4.147,4.964,1.129,3.784,1.407,0.047,127.912,0.584,0.023,0.028,-0.094,1,1.474,1.474,0.194,9,9,13,141.636,1.006,191.374,141.636,-0.064,1,10,49.6,0,1.335,4.124,4.124,0.796,0.27,2,2,1.22,7.1,3.052,5.052,3.052,0.006,16,1.549,3.156,3.156,3.156,0.121,-0.14,0.639,5.182,8.041,2.541,8,0,0.0,1.574,1.574,0,0,0.0,14,31.418,0.889,-0.072,2.879,6.731,10.878
4.0,4.143,4.964,1.129,3.785,1.326,0.045,127.912,0.584,0.023,0.028,-0.094,1,1.475,1.476,0.193,9,9,12,141.636,1.006,191.374,141.636,-0.064,1,10,49.6,0,1.328,4.134,4.134,0.796,0.269,2,2,1.22,7.1,3.06,5.06,3.06,0.006,17,1.546,3.166,3.166,3.166,0.121,-0.113,0.639,5.193,8.041,2.541,6,0,0.0,1.574,1.574,0,0,0.0,13,31.392,0.889,-0.072,2.881,6.736,10.893
6.85,4.12,4.137,1.131,3.785,1.362,0.045,79.11,0.586,0.017,0.028,-0.087,1,1.473,1.473,0.191,8,8,13,108.738,1.007,160.582,108.738,-0.067,1,9,49.6,1,1.21,4.134,4.134,0.797,0.272,3,3,1.212,7.8,3.06,5.06,3.06,0.006,19,1.542,3.166,3.166,3.166,0.121,-0.122,0.715,5.193,8.057,2.557,7,0,0.0,1.566,1.566,0,0,0.0,13,31.396,0.886,-0.087,2.882,6.736,10.893
3.06,4.153,4.964,1.122,3.785,1.327,0.048,127.483,0.584,0.023,0.027,-0.08,1,1.471,1.471,0.19,9,9,15,141.636,1.006,190.945,141.636,-0.057,1,9,49.6,0,1.349,4.134,4.134,0.796,0.269,3,3,1.206,7.1,3.06,5.06,3.06,0.006,15,1.555,3.166,3.166,3.166,0.123,-0.106,0.648,5.193,8.041,2.541,7,0,0.0,1.574,1.574,0,0,0.0,13,31.482,0.889,-0.072,2.881,6.736,10.893
4.46,4.243,4.935,1.13,3.814,1.327,0.044,137.621,0.585,0.038,0.026,-0.082,1,1.477,1.478,0.188,9,9,15,141.636,1.006,183.433,141.636,-0.067,1,9,49.1,0,1.396,4.483,4.483,0.789,0.276,1,1,1.208,7.0,3.484,5.484,3.484,0.011,15,1.567,3.481,3.481,3.481,0.12,-0.139,0.641,5.545,8.007,2.507,8,0,0.0,1.572,1.572,0,0,0.0,15,34.135,0.876,-0.053,2.878,7.608,13.746
5.23,4.112,4.935,1.131,3.785,1.327,0.051,130.018,0.58,0.022,0.027,-0.085,1,1.464,1.465,0.19,9,9,15,141.636,1.005,193.479,141.636,-0.061,1,9,50.0,1,1.278,4.132,4.132,0.794,0.272,3,3,1.214,6.9,3.058,5.058,3.058,0.007,14,1.546,3.164,3.164,3.164,0.125,-0.069,0.638,5.192,8.023,2.523,6,0,0.0,1.563,1.563,0,0,0.0,12,31.461,0.897,-0.07,2.741,6.735,10.89
5.137,3.782,2.312,1.122,3.075,1.263,0.044,36.331,0.589,0.058,0.026,-0.137,0,1.422,1.424,0.213,4,3,4,32.897,1.005,36.331,32.897,-0.119,0,2,48.1,0,1.401,3.797,3.797,0.896,0.273,0,0,1.12,7.4,2.789,4.789,2.789,-0.124,3,1.528,2.797,2.797,2.797,0.135,-0.029,0.146,4.797,8.183,2.683,2,0,0.0,1.669,1.669,0,0,0.0,3,27.578,0.956,0.182,2.574,5.931,8.245
5.34,4.138,4.964,1.129,3.785,1.33,0.05,127.912,0.584,0.023,0.028,-0.094,1,1.473,1.474,0.193,9,9,13,141.636,1.006,191.374,141.636,-0.064,1,10,49.6,0,1.209,4.133,4.133,0.796,0.269,2,2,1.22,7.1,3.058,5.058,3.058,0.006,15,1.547,3.165,3.165,3.165,0.122,-0.122,0.639,5.19,8.041,2.541,6,0,0.0,1.574,1.574,0,0,0.0,13,31.382,0.889,-0.072,2.877,6.736,10.893
