pXC50,RBN,nCsp2,nBM,nCsp3,nBT,H.,nSK,nHet,nDB,RBF,Se,Si,nO,nAT,nH,Mv,nBO
8.658,24,39,41,15,135,46.2,70,16,7,0.178,130.406,146.457,8,130,60,0.628,75
8.478,22,27,29,17,120,47.9,61,17,7,0.183,117.967,132.836,9,117,56,0.609,64
5.959,32,29,33,24,151,48.0,77,24,11,0.212,149.966,168.208,14,148,71,0.606,80
7.678,23,28,30,15,115,46.4,60,17,8,0.2,113.199,127.005,9,112,52,0.618,63
8.155,21,26,28,18,120,49.6,59,15,6,0.175,117.196,132.832,7,117,58,0.601,62
8.42,22,31,34,16,123,46.2,64,17,7,0.179,120.192,134.547,10,119,55,0.621,68
8.0,7,27,27,8,82,44.9,43,8,3,0.085,77.85,87.209,3,78,35,0.647,47
8.854,34,31,35,23,155,46.1,82,28,13,0.219,155.167,172.919,17,152,70,0.614,85
7.092,29,28,32,20,135,47.0,70,22,10,0.215,134.003,149.839,13,132,62,0.613,73
6.18,34,30,34,26,162,47.8,83,27,12,0.21,161.49,180.955,16,159,76,0.605,86
7.959,22,27,29,16,118,47.8,60,17,7,0.186,115.857,130.71,8,115,55,0.609,63
5.48,11,25,27,13,93,42.5,50,12,5,0.118,88.232,97.857,7,87,37,0.649,56
5.923,24,26,28,19,123,50.0,60,15,6,0.195,120.079,136.247,7,120,60,0.599,63
7.658,23,27,31,15,116,45.1,62,20,9,0.198,115.072,128.507,11,113,51,0.621,65
7.0,10,18,21,5,57,43.6,31,8,4,0.175,55.636,61.531,5,55,24,0.647,33
7.481,22,30,34,15,118,45.6,62,17,7,0.186,115.199,129.005,9,114,52,0.625,66
6.959,22,29,33,15,117,45.1,62,18,7,0.188,114.523,127.949,9,113,51,0.629,66
6.406,22,26,28,18,120,49.6,59,15,6,0.183,117.196,132.832,7,117,58,0.601,62
5.854,8,16,16,12,74,47.9,37,9,4,0.108,71.298,80.268,5,71,34,0.614,40
6.81,13,18,22,12,77,50.0,37,7,2,0.169,73.596,83.81,2,74,37,0.606,40
8.347,22,27,29,15,114,45.0,61,19,7,0.193,112.847,125.893,9,111,50,0.629,64
6.301,13,20,23,12,79,51.3,37,5,2,0.165,74.865,85.387,2,76,39,0.605,40
5.886,8,15,15,10,65,49.2,32,7,3,0.123,62.985,71.145,4,63,31,0.608,34
8.575,23,21,23,18,109,49.5,54,15,7,0.211,107.654,121.713,8,107,53,0.598,56
5.721,8,16,16,13,76,49.3,37,8,4,0.105,72.854,82.474,4,73,36,0.608,40
8.699,21,27,29,15,113,47.3,58,16,7,0.186,110.872,124.796,8,110,52,0.613,61
6.8,5,22,22,6,68,39.1,39,11,4,0.074,65.563,72.576,4,64,25,0.664,43
5.67,11,29,29,17,109,43.6,57,11,5,0.101,101.476,112.624,7,101,44,0.653,65
6.0,14,17,19,12,75,52.1,35,6,3,0.187,72.083,82.47,2,73,38,0.595,37
4.569,10,11,13,9,55,50.0,27,7,3,0.182,54.218,61.315,4,54,27,0.597,28
5.469,8,11,13,15,71,51.5,33,7,3,0.113,67.752,76.976,4,68,35,0.593,36
7.538,25,26,28,17,122,48.7,61,18,6,0.205,119.843,135.623,8,119,58,0.601,64
5.67,10,28,28,17,106,45.9,53,8,4,0.094,97.498,109.261,5,98,45,0.64,61
5.538,28,31,35,29,174,47.6,89,29,13,0.161,172.686,193.493,17,170,81,0.606,93
6.6,7,11,13,20,83,52.6,37,6,2,0.084,77.076,88.012,3,78,41,0.593,42
6.28,7,11,13,17,74,50.7,34,6,2,0.095,68.425,77.766,3,69,35,0.603,39
8.886,21,33,35,13,118,45.6,62,16,7,0.178,114.872,128.796,8,114,52,0.627,66
9.509,32,29,33,23,149,47.3,77,25,11,0.215,148.41,166.002,15,146,69,0.609,80
4.319,3,20,20,6,59,45.5,30,4,2,0.051,54.352,61.272,1,55,25,0.647,34
4.0,3,24,25,2,53,38.8,30,4,2,0.057,48.807,53.887,1,49,19,0.701,34
7.959,22,27,29,23,135,48.1,67,17,7,0.163,129.617,146.081,9,129,62,0.611,73
4.0,3,22,24,2,51,36.2,30,6,2,0.059,47.727,52.705,1,47,17,0.697,34
4.538,18,14,16,16,90,49.4,45,15,6,0.2,90.345,101.763,9,89,44,0.591,46
7.4,6,22,24,7,74,39.1,42,13,6,0.081,70.178,78.059,4,69,27,0.664,47
6.622,20,26,28,19,122,49.2,60,15,6,0.164,118.196,133.832,7,118,58,0.605,64
8.523,21,33,35,13,120,45.7,63,17,7,0.175,116.974,131.294,8,116,53,0.625,67
5.1,18,20,22,15,97,48.4,49,14,6,0.186,95.901,107.969,8,95,46,0.604,51
5.9,9,18,21,4,54,42.3,30,8,4,0.167,52.753,58.116,5,52,22,0.655,32
5.469,9,20,20,10,74,49.3,36,6,2,0.122,70.425,79.766,3,71,35,0.615,39
7.076,20,26,28,17,117,49.1,58,15,6,0.171,114.312,129.417,7,114,56,0.604,61
5.746,7,16,16,15,83,50.0,40,9,4,0.084,79.949,90.514,5,80,40,0.602,43
5.669,9,16,18,15,79,48.6,38,7,2,0.114,73.538,83.023,3,74,36,0.624,43
7.553,23,28,30,16,118,47.0,61,17,8,0.195,116.083,130.421,9,115,54,0.615,64
5.792,9,16,18,15,79,48.6,38,7,2,0.114,73.632,83.126,3,74,36,0.622,43
6.509,24,21,23,23,124,50.4,60,16,7,0.194,121.516,137.583,9,121,61,0.593,63
8.377,23,29,30,16,120,47.0,62,17,8,0.192,118.192,132.547,10,117,55,0.615,65
6.52,11,29,29,17,109,43.6,57,11,5,0.101,101.665,113.02,7,101,44,0.649,65
5.95,8,11,13,15,69,50.8,32,6,2,0.116,64.541,73.351,3,65,33,0.602,36
6.745,26,27,31,17,123,45.8,65,21,9,0.211,122.25,136.095,13,120,55,0.619,68
7.523,24,29,30,16,120,47.0,62,17,8,0.2,118.192,132.547,10,117,55,0.615,65
7.845,20,26,28,14,108,47.6,55,15,6,0.185,105.661,119.171,7,105,50,0.612,58
5.52,6,22,24,8,69,46.2,35,5,2,0.087,64.556,72.438,3,65,30,0.639,39
6.032,25,28,29,16,120,47.9,61,17,7,0.208,117.967,132.836,9,117,56,0.609,64
6.328,24,26,28,17,120,48.7,60,17,6,0.2,117.741,133.125,8,117,57,0.603,63
5.84,10,22,22,18,98,47.3,48,8,4,0.102,90.614,101.846,5,91,43,0.628,55
6.52,11,29,37,17,115,42.9,60,14,3,0.096,105.123,118.168,3,105,45,0.651,70
5.45,11,29,29,17,110,44.1,57,11,5,0.1,102.479,113.889,8,102,45,0.646,65
6.38,7,17,19,14,77,48.6,37,6,2,0.091,71.425,80.766,3,72,35,0.62,42
7.119,26,27,31,17,123,45.8,65,21,9,0.211,122.25,136.095,13,120,55,0.619,68
6.0,17,30,33,13,109,45.7,57,14,6,0.156,105.785,118.384,8,105,48,0.628,61
6.638,23,27,29,16,117,47.4,60,17,7,0.197,115.083,129.421,9,114,54,0.612,63
5.724,26,31,33,30,173,49.1,86,25,11,0.15,170.512,192.36,14,169,83,0.599,90
5.0,4,13,19,5,48,37.8,28,10,3,0.083,46.051,50.312,3,45,17,0.692,31
4.987,16,20,22,12,88,46.5,46,14,6,0.182,87.25,97.723,8,86,40,0.614,48
8.328,28,28,32,19,132,46.5,69,22,10,0.212,131.119,146.424,13,129,60,0.615,72
5.81,41,31,35,30,179,48.3,91,30,13,0.229,178.781,200.533,18,176,85,0.601,94
6.35,12,37,39,8,101,40.4,56,11,5,0.119,94.72,104.517,7,94,38,0.671,63
6.658,23,29,30,16,119,44.8,64,19,8,0.193,118.403,132.357,9,116,52,0.624,67
7.292,13,18,22,12,77,51.4,36,6,2,0.169,73.083,83.47,2,74,38,0.601,39
6.337,7,27,27,7,79,44.0,42,8,3,0.089,74.967,83.793,3,75,33,0.653,46
4.658,14,16,20,12,75,49.3,37,9,4,0.187,73.036,82.255,4,73,36,0.615,39
4.0,2,14,16,1,34,31.3,22,7,4,0.059,33.145,35.728,3,32,10,0.723,24
8.081,16,29,32,12,102,45.9,53,12,5,0.157,98.472,110.261,7,98,45,0.629,57
6.0,17,29,32,13,105,46.5,54,12,5,0.162,101.356,113.677,7,101,47,0.625,58
4.833,7,17,19,5,54,44.2,29,7,3,0.13,52.451,58.485,4,52,23,0.638,31
4.772,8,23,25,3,59,41.1,33,7,3,0.136,56.451,62.485,4,56,23,0.664,36
4.943,8,17,19,4,52,42.0,29,8,3,0.154,50.643,55.989,4,50,21,0.657,31
4.959,18,19,21,15,93,49.5,46,12,5,0.194,91.472,103.261,7,91,45,0.601,48
5.921,19,23,26,17,106,49.5,52,12,5,0.179,103.123,116.507,7,103,51,0.604,55
5.201,18,23,26,16,103,49.0,51,12,5,0.175,100.239,113.092,7,100,49,0.607,54
4.562,6,17,19,4,51,42.9,28,7,3,0.118,49.567,55.069,4,49,21,0.646,30
4.409,3,23,28,3,57,38.5,32,6,1,0.053,52.091,58.153,0,52,20,0.687,37
4.93,4,12,13,11,56,48.1,27,4,2,0.071,51.687,58.109,3,52,25,0.625,31
5.45,5,13,14,15,71,48.5,34,6,3,0.07,65.767,74.062,4,66,32,0.618,39
6.05,11,24,35,13,98,41.1,53,16,3,0.112,90.909,102.089,3,90,37,0.653,61
4.301,6,21,21,9,72,47.1,36,6,3,0.083,67.432,76.225,2,68,32,0.631,40
6.013,8,22,24,10,84,45.7,44,12,6,0.095,81.687,91.311,6,81,37,0.63,47
6.432,8,16,16,16,86,50.6,41,9,4,0.093,82.832,93.929,5,83,42,0.598,44
5.886,9,28,30,10,95,45.1,50,12,6,0.095,91.454,102.142,6,91,41,0.638,54
6.0,8,23,27,9,84,43.8,45,13,4,0.095,80.712,90.72,4,80,35,0.636,49
6.658,8,16,20,16,89,49.4,43,11,3,0.09,84.818,96.673,3,85,42,0.603,47
7.244,22,31,34,15,119,46.1,62,16,7,0.185,115.981,129.922,9,115,53,0.623,66
6.509,24,27,29,17,118,47.8,60,16,7,0.203,115.865,130.338,9,115,55,0.611,63
6.041,25,27,29,18,121,48.3,61,16,7,0.207,118.748,133.753,9,118,57,0.608,64
7.745,18,20,22,13,92,47.8,47,14,6,0.196,90.909,102.428,7,90,43,0.607,49
7.824,23,29,30,16,119,46.6,62,17,8,0.193,117.188,131.282,9,116,54,0.621,65
6.854,23,29,30,15,116,46.0,61,17,8,0.198,114.21,127.764,9,113,52,0.626,64
6.854,25,27,29,18,122,47.9,62,17,7,0.205,120.076,134.962,10,119,57,0.609,65
5.886,9,28,30,9,92,44.3,49,12,6,0.098,88.57,98.726,6,88,39,0.642,53
7.187,23,29,30,15,116,46.0,61,17,8,0.198,114.494,128.262,9,113,52,0.62,64
6.796,24,27,29,17,120,47.0,62,18,7,0.2,118.519,132.756,11,117,55,0.612,65
6.602,24,27,29,17,118,47.0,61,17,7,0.203,116.377,130.677,9,115,54,0.614,64
8.538,24,31,36,15,124,44.2,67,21,9,0.194,122.367,135.68,13,120,53,0.631,71
8.097,24,32,35,16,125,45.5,66,18,8,0.192,122.519,136.756,11,121,55,0.625,70
7.796,23,29,30,15,117,46.5,61,17,8,0.197,115.308,129.132,10,114,53,0.618,64
6.398,24,27,29,17,119,47.4,61,17,7,0.202,117.192,131.547,10,116,55,0.612,64
4.924,19,20,22,14,95,47.3,49,15,6,0.2,94.094,105.474,8,93,44,0.613,51
6.921,24,29,30,17,124,47.9,63,17,8,0.194,121.85,137.251,9,121,58,0.61,66
5.959,23,27,29,16,116,46.9,60,17,7,0.198,114.308,128.132,10,113,53,0.614,63
7.387,23,27,31,15,116,45.1,62,20,9,0.198,115.072,128.507,11,113,51,0.621,65
7.585,22,27,29,15,114,46.8,59,17,7,0.193,112.199,126.005,9,111,52,0.614,62
6.415,3,21,21,3,55,42.3,30,6,3,0.055,52.014,58.149,2,52,22,0.659,33
6.187,21,27,29,15,114,46.8,59,17,7,0.184,112.199,126.005,9,111,52,0.614,62
4.907,14,9,9,13,62,51.6,30,8,3,0.226,62.298,70.365,4,62,32,0.597,30
7.229,22,27,29,16,117,44.7,63,20,7,0.188,116.621,130.44,9,114,51,0.622,66
6.77,22,27,29,16,117,44.7,63,20,7,0.188,116.621,130.44,9,114,51,0.622,66
6.569,3,23,25,2,55,39.2,31,6,3,0.055,51.131,56.734,2,51,20,0.681,35
5.626,9,20,23,15,86,48.8,41,6,2,0.105,79.192,89.597,3,80,39,0.621,47
6.155,7,21,21,11,80,48.1,40,8,3,0.088,76.923,87.02,3,77,37,0.618,43
5.7,6,23,23,6,71,40.3,40,11,5,0.085,68.192,75.315,6,67,27,0.66,44
6.013,7,21,21,12,83,50.0,40,7,3,0.084,79.294,90.095,3,80,40,0.609,43
5.546,11,17,19,15,82,48.1,40,8,3,0.134,76.963,86.6,5,77,37,0.618,45
5.628,7,20,23,13,80,47.3,39,6,2,0.088,73.425,82.766,3,74,35,0.63,45
5.372,10,16,18,16,82,50.6,38,6,2,0.122,76.192,86.597,3,77,39,0.606,43
5.398,8,11,13,14,68,48.4,33,8,3,0.118,64.312,72.355,5,64,31,0.61,37
4.0,5,16,18,2,41,38.5,24,6,2,0.122,39.694,43.475,3,39,15,0.685,26
6.215,7,21,21,12,83,50.0,40,7,3,0.084,79.294,90.095,3,80,40,0.609,43
6.092,8,21,21,13,86,50.6,41,7,3,0.093,82.178,93.51,3,83,42,0.605,44
7.796,22,31,34,15,121,46.2,63,17,7,0.182,118.083,132.421,9,117,54,0.622,67
8.444,22,27,29,15,114,45.9,60,18,7,0.193,112.428,125.847,9,111,51,0.624,63
7.638,28,30,33,17,130,45.7,69,22,11,0.215,129.236,144.009,13,127,58,0.621,72
6.824,29,28,32,19,132,46.5,69,22,10,0.22,131.119,146.424,13,129,60,0.615,72
7.796,22,27,29,16,117,47.4,60,17,7,0.188,115.083,129.421,9,114,54,0.612,63
5.696,11,19,20,16,87,48.8,42,7,3,0.126,81.629,91.932,5,82,40,0.617,47
6.824,26,27,31,17,122,46.2,64,20,9,0.213,120.923,134.886,12,119,55,0.618,67
6.886,25,28,32,17,125,44.6,67,22,10,0.2,123.469,137.178,13,121,54,0.626,71
6.114,8,26,29,5,71,44.8,37,6,2,0.113,66.549,74.81,2,67,30,0.647,41
5.388,8,16,18,14,76,49.3,36,6,2,0.105,70.425,79.766,3,71,35,0.615,41
7.155,11,19,20,16,87,48.8,42,7,3,0.126,81.629,91.932,5,82,40,0.617,47
6.125,8,21,21,12,84,49.4,41,8,3,0.095,80.621,91.304,4,81,40,0.61,44
8.0,7,21,21,11,80,48.1,40,8,3,0.088,76.734,86.624,3,77,37,0.624,43
6.292,24,27,29,16,116,46.9,60,17,7,0.207,114.308,128.132,10,113,53,0.614,63
5.961,11,17,19,16,85,47.5,42,9,3,0.129,80.17,89.96,5,80,38,0.624,47
