pXC50,MW,nBO,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT,nB,nBM,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3
5.1,267.36,22,30.0,7.226,43.2,45.9,0.995,1.125,0.67,0.634,8.1,16,37,0,16,0,39,16,0,0,12,4
6.5,279.36,24,31.5,7.352,47.4,44.7,0.995,1.112,0.684,0.649,2.6,11,38,0,13,0,41,18,0,0,12,6
5.1,188.02,12,17.0,13.43,42.9,21.4,1.06,1.128,0.821,0.803,21.4,10,14,0,10,0,15,6,2,0,6,0
5.1,366.87,28,38.0,8.153,46.7,42.2,1.003,1.113,0.703,0.668,4.4,18,45,0,19,0,47,21,1,0,18,3
5.6,349.36,29,41.0,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,39,0,23,0,42,20,0,0,20,0
5.1,265.32,19,26.0,9.149,37.9,37.9,1.031,1.128,0.692,0.673,10.3,10,29,0,12,0,30,11,0,0,9,2
5.1,338.42,28,37.0,7.691,43.2,43.2,1.007,1.133,0.671,0.645,9.1,16,44,0,17,0,47,19,0,0,14,5
6.5,315.4,27,37.5,7.693,48.8,41.5,0.996,1.112,0.702,0.67,7.3,17,41,0,19,0,44,20,0,0,18,2
5.1,312.36,26,34.5,8.009,41.0,41.0,1.018,1.131,0.666,0.651,10.3,15,39,0,16,0,42,16,0,0,11,5
6.3,476.34,37,52.5,9.924,50.0,31.3,1.023,1.11,0.755,0.737,10.4,21,48,0,25,0,52,24,2,1,21,2
5.1,441.95,34,43.5,8.035,41.8,43.6,1.012,1.124,0.674,0.646,5.5,17,55,0,18,0,58,23,1,0,15,8
5.1,405.56,32,43.5,7.799,44.2,44.2,0.998,1.115,0.696,0.653,5.8,21,52,0,22,0,55,23,0,0,18,5
5.1,316.42,24,34.0,8.327,39.5,42.1,1.012,1.127,0.688,0.654,10.5,16,38,0,18,0,40,15,0,0,13,2
5.1,482.69,41,52.0,6.896,41.4,48.6,0.99,1.129,0.659,0.617,8.6,22,70,0,22,0,75,29,0,0,18,11
5.3,343.41,29,41.0,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,22,43,0,23,0,46,21,0,0,20,1
5.1,433.59,34,49.0,8.849,46.9,38.8,1.004,1.104,0.741,0.696,6.1,26,49,0,28,0,53,23,0,0,21,2
5.1,327.85,26,34.0,7.996,41.5,43.9,1.0,1.13,0.688,0.649,12.2,16,41,0,16,0,44,17,1,0,11,6
5.1,307.38,26,35.0,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,16,40,0,17,0,43,18,0,0,14,4
5.3,389.45,32,44.0,8.114,43.8,39.6,1.014,1.126,0.682,0.665,10.4,22,48,0,23,0,51,21,0,0,19,2
5.1,363.27,26,35.0,9.082,42.5,40.0,1.014,1.125,0.713,0.679,10.0,16,40,0,17,0,42,17,2,0,14,3
6.2,427.47,34,45.0,8.382,43.1,39.2,1.026,1.146,0.67,0.661,9.8,22,51,0,22,0,54,22,0,0,17,5
5.1,356.48,27,35.0,7.13,36.0,48.0,1.004,1.143,0.636,0.606,12.0,12,50,0,14,0,51,18,0,0,12,6
5.1,319.84,23,31.5,9.138,42.9,40.0,1.01,1.116,0.73,0.684,8.6,15,35,0,16,0,37,15,1,0,12,3
5.1,265.34,22,30.5,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,17,35,0,17,0,37,16,0,0,14,2
5.1,332.43,27,37.0,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,45,0,19,0,47,21,0,0,18,3
5.1,396.44,33,43.5,8.435,42.6,38.3,1.024,1.144,0.674,0.666,12.8,21,47,0,21,0,51,20,0,0,14,6
6.0,447.45,34,46.0,10.169,45.5,29.5,1.051,1.147,0.715,0.721,11.4,22,44,0,23,0,47,20,0,0,19,1
5.6,305.59,16,22.0,14.552,42.9,28.6,1.039,1.103,0.838,0.78,9.5,10,21,0,11,1,22,9,1,0,9,0
5.1,347.82,28,40.0,8.918,51.3,35.9,1.007,1.106,0.741,0.712,7.7,22,39,0,23,0,42,20,1,0,20,0
5.8,409.45,32,44.0,9.306,45.5,34.1,1.03,1.113,0.716,0.704,6.8,10,44,0,16,0,47,20,0,1,16,3
5.7,407.46,35,50.5,8.489,50.0,35.4,1.01,1.113,0.719,0.702,10.4,21,48,0,25,0,52,24,0,1,21,2
5.1,385.45,32,44.0,8.03,47.9,39.6,1.007,1.113,0.697,0.675,6.3,18,48,0,21,0,51,23,0,0,21,2
5.1,302.4,25,35.0,7.376,48.8,43.9,0.99,1.11,0.697,0.658,4.9,18,41,0,19,0,43,20,0,0,18,2
5.1,342.47,29,39.0,7.135,47.9,45.8,0.987,1.112,0.689,0.646,4.2,18,48,0,19,0,51,23,0,0,18,5
5.1,344.41,29,41.0,8.2,45.2,38.1,1.008,1.126,0.698,0.678,14.3,22,42,0,23,0,45,19,0,0,18,1
5.1,224.28,19,26.0,7.734,48.3,41.4,0.998,1.113,0.699,0.669,6.9,12,29,0,13,0,31,14,0,0,13,1
5.1,357.32,28,39.5,9.926,47.2,27.8,1.053,1.149,0.704,0.724,13.9,17,36,0,19,0,38,17,0,1,15,1
6.4,329.37,25,35.0,9.687,41.2,32.4,1.036,1.126,0.715,0.706,14.7,16,34,0,18,0,36,14,0,0,14,0
5.5,394.47,34,48.5,8.218,47.9,37.5,1.005,1.119,0.71,0.688,12.5,27,48,0,28,0,52,23,0,0,22,1
5.1,268.35,22,30.0,7.454,41.7,44.4,1.001,1.13,0.668,0.638,11.1,16,36,0,16,0,38,15,0,0,12,3
5.1,238.35,17,22.0,7.945,33.3,46.7,1.008,1.14,0.664,0.621,13.3,10,30,0,10,0,31,10,0,0,6,4
6.0,389.52,31,43.0,8.288,44.7,40.4,1.002,1.118,0.712,0.674,10.6,22,47,0,23,0,50,21,0,0,19,2
7.6,384.25,26,37.0,10.112,47.4,36.8,1.013,1.112,0.733,0.702,7.9,16,38,0,18,1,40,18,0,1,15,2
5.5,326.4,25,34.0,8.822,45.9,37.8,1.015,1.109,0.719,0.69,5.4,12,37,0,15,0,39,17,0,0,16,1
5.2,420.41,36,48.0,9.342,46.7,31.1,1.038,1.137,0.703,0.71,13.3,22,45,0,23,0,50,21,0,0,18,3
5.1,438.53,35,46.0,7.831,41.1,42.9,1.014,1.143,0.66,0.641,10.7,22,56,0,22,0,59,23,0,0,16,7
5.1,468.56,37,48.0,7.809,40.0,43.3,1.017,1.144,0.653,0.635,10.0,22,60,0,22,0,63,24,0,0,16,8
6.1,463.56,36,50.0,8.584,42.6,38.9,1.018,1.122,0.696,0.673,9.3,18,54,0,23,0,57,23,0,0,21,2
5.1,295.36,24,34.5,9.528,51.6,32.3,1.014,1.11,0.763,0.734,9.7,21,31,0,21,0,34,16,0,0,16,0
5.1,236.29,20,29.0,7.876,50.0,40.0,0.998,1.109,0.709,0.68,6.7,16,30,0,17,0,32,15,0,0,14,1
5.1,431.44,33,45.0,10.033,48.8,30.2,1.045,1.137,0.726,0.725,7.0,22,43,0,23,0,46,21,0,0,20,1
5.7,483.53,40,54.0,8.337,48.3,37.9,1.017,1.118,0.696,0.682,5.2,24,58,0,26,0,62,28,0,0,26,2
5.1,386.44,32,44.0,8.222,46.8,38.3,1.012,1.118,0.696,0.679,8.5,18,47,0,21,0,50,22,0,0,21,1
5.4,371.86,28,37.0,8.451,40.9,40.9,1.015,1.131,0.685,0.66,11.4,12,44,0,14,0,46,18,1,1,11,6
5.2,438.83,32,42.0,9.973,40.9,31.8,1.055,1.156,0.686,0.698,13.6,18,44,0,19,0,46,18,1,0,16,2
5.4,483.69,38,52.0,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,22,64,0,24,0,67,28,0,2,20,6
5.1,393.17,22,27.0,12.287,31.3,37.5,1.044,1.147,0.705,0.668,15.6,10,32,0,10,0,34,10,0,0,5,5
5.1,539.72,43,58.5,7.937,42.6,42.6,1.002,1.123,0.691,0.655,10.3,27,68,0,29,0,72,29,0,0,24,5
5.1,424.5,34,45.0,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,53,0,22,0,56,22,0,0,16,6
5.6,526.67,45,62.5,7.524,50.0,42.9,0.994,1.106,0.7,0.665,2.9,33,70,0,34,0,75,35,0,0,31,4
5.1,337.13,19,26.5,13.485,48.0,32.0,1.014,1.107,0.817,0.747,12.0,11,25,0,13,0,27,12,0,0,12,0
7.1,476.57,41,56.5,7.943,48.3,40.0,1.004,1.113,0.7,0.675,6.7,27,60,0,29,0,65,29,0,0,26,3
5.2,341.22,20,27.0,14.836,47.8,21.7,1.044,1.084,0.874,0.823,8.7,6,23,0,10,1,25,11,0,0,11,0
5.1,490.51,38,49.0,8.605,40.4,38.6,1.038,1.156,0.655,0.655,10.5,22,57,0,22,0,60,23,0,0,16,7
5.2,502.62,40,54.5,8.519,44.1,39.0,1.014,1.126,0.701,0.676,10.2,27,59,0,28,0,63,26,0,0,23,3
5.1,302.36,25,36.5,8.172,48.6,37.8,1.004,1.116,0.71,0.687,10.8,17,37,0,19,0,39,18,0,1,16,1
5.1,279.37,23,31.5,7.352,44.7,44.7,0.995,1.121,0.679,0.644,7.9,17,38,0,17,0,40,17,0,0,14,3
5.1,458.68,38,48.0,7.281,42.9,47.6,0.989,1.119,0.683,0.632,6.3,16,63,0,17,0,68,27,0,2,13,12
6.2,448.94,36,48.0,8.471,45.3,39.6,1.013,1.119,0.7,0.675,7.5,22,53,0,23,0,57,24,1,0,20,4
5.1,210.23,15,21.0,10.512,40.0,30.0,1.051,1.119,0.727,0.721,10.0,10,20,0,11,0,21,8,0,0,7,1
5.1,241.27,20,27.5,8.32,44.8,37.9,1.017,1.123,0.689,0.676,10.3,11,29,0,13,0,31,13,0,0,12,1
5.3,600.21,47,61.5,7.41,43.2,46.9,0.998,1.12,0.672,0.633,3.7,27,81,0,28,0,85,35,1,0,25,10
5.1,238.31,20,27.5,7.447,46.9,43.8,0.995,1.116,0.689,0.654,6.3,11,32,0,13,0,34,15,0,0,13,2
5.3,358.48,30,41.0,7.316,44.9,44.9,0.994,1.121,0.68,0.644,8.2,22,49,0,22,0,52,22,0,0,18,4
5.1,286.42,23,29.0,6.661,37.2,51.2,0.993,1.138,0.636,0.594,9.3,10,43,0,11,0,45,16,0,0,8,8
5.6,399.69,26,36.0,12.112,48.5,27.3,1.04,1.098,0.817,0.781,6.1,16,33,0,18,0,35,16,3,0,16,0
5.1,251.28,18,24.0,9.665,42.3,34.6,1.039,1.112,0.712,0.699,3.8,6,26,0,9,0,27,11,0,0,10,1
5.1,387.28,28,38.0,9.221,47.6,38.1,1.014,1.11,0.732,0.699,4.8,18,42,0,19,0,44,20,2,0,18,2
5.1,384.54,29,37.0,6.867,35.7,50.0,1.0,1.142,0.631,0.596,10.7,12,56,0,14,0,57,20,0,0,12,8
5.1,211.24,18,25.0,8.45,48.0,36.0,1.011,1.118,0.71,0.694,12.0,12,25,0,13,0,27,12,0,0,12,0
5.1,275.76,21,27.5,8.356,42.4,42.4,1.008,1.125,0.694,0.66,9.1,11,33,0,12,0,35,14,1,0,10,4
5.6,342.47,29,39.0,7.135,47.9,45.8,0.987,1.112,0.689,0.646,4.2,18,48,0,19,0,51,23,0,0,18,5
6.0,412.46,35,49.5,8.593,47.9,35.4,1.016,1.126,0.708,0.696,12.5,27,48,0,28,0,52,23,0,0,22,1
5.1,339.38,27,36.0,8.08,42.9,40.5,1.019,1.125,0.671,0.657,7.1,12,42,0,15,0,44,18,0,0,15,3
5.1,333.3,26,35.5,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,34,0,18,0,36,15,0,0,14,1
5.3,528.69,42,56.5,8.01,42.4,42.4,1.006,1.123,0.688,0.655,9.1,27,66,0,28,0,70,28,0,0,23,5
5.3,385.5,32,43.0,7.413,46.2,44.2,0.996,1.117,0.683,0.649,5.8,18,52,0,20,0,55,24,0,0,20,4
6.5,459.61,33,44.0,9.779,42.6,36.2,1.022,1.106,0.747,0.706,6.4,10,47,0,16,0,50,20,0,0,17,3
5.1,423.53,34,46.5,8.643,44.9,38.8,1.014,1.131,0.707,0.679,10.2,25,49,0,25,0,53,22,0,0,18,4
7.0,312.38,25,33.5,7.809,42.5,42.5,1.011,1.136,0.669,0.647,10.0,11,40,0,13,0,42,17,0,1,11,5
5.1,344.39,29,40.0,8.2,50.0,38.1,1.009,1.108,0.707,0.687,4.8,18,42,0,20,0,45,21,0,0,20,1
6.4,373.41,29,39.5,9.108,43.9,36.6,1.032,1.112,0.7,0.687,2.4,17,41,0,19,0,44,18,0,0,16,2
5.1,249.33,18,24.5,8.905,35.7,39.3,1.02,1.138,0.693,0.664,17.9,11,28,0,12,0,29,10,0,0,9,1
5.1,381.26,25,31.5,9.531,37.5,42.5,1.02,1.134,0.677,0.649,10.0,11,40,0,12,1,42,15,0,0,9,6
5.1,380.43,30,42.5,9.755,41.0,30.8,1.034,1.132,0.721,0.714,20.5,21,39,0,23,0,42,16,0,0,16,0
5.1,542.77,42,56.0,7.435,41.1,46.6,0.996,1.125,0.675,0.632,8.2,22,73,0,25,0,76,30,0,0,23,7
5.1,341.39,30,42.0,8.327,51.2,36.6,1.006,1.107,0.719,0.699,7.3,22,41,0,23,0,45,21,0,0,20,1
5.1,297.36,24,32.5,7.825,44.7,42.1,1.009,1.13,0.677,0.654,7.9,17,38,0,17,0,40,17,0,0,14,3
5.1,333.42,27,37.0,7.578,45.5,43.2,1.001,1.119,0.682,0.652,6.8,18,44,0,19,0,46,20,0,0,17,3
5.1,302.39,23,33.0,8.64,40.0,40.0,1.016,1.126,0.697,0.667,11.4,16,35,0,18,0,37,14,0,0,13,1
5.1,350.42,28,38.0,7.787,46.7,42.2,1.007,1.122,0.682,0.658,4.4,18,45,0,19,0,47,21,0,0,18,3
5.1,486.35,36,51.5,10.132,50.0,33.3,1.014,1.109,0.747,0.723,10.4,21,48,0,25,1,52,24,0,1,21,2
5.1,452.56,38,52.5,7.803,44.8,41.4,1.004,1.123,0.686,0.66,10.3,27,58,0,28,0,62,26,0,0,22,4
5.7,506.72,41,49.0,6.756,37.3,50.7,0.996,1.137,0.634,0.596,8.0,12,75,0,14,0,79,28,0,0,12,16
5.1,339.5,27,35.5,7.544,42.2,46.7,0.992,1.119,0.688,0.638,6.7,15,45,0,16,0,48,19,0,0,12,7
5.1,258.3,21,28.0,7.827,42.4,42.4,1.015,1.125,0.665,0.647,6.1,10,33,0,12,0,35,14,0,0,10,4
5.8,449.55,35,48.0,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,52,0,24,0,55,23,0,0,21,2
5.1,359.42,30,42.0,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,22,44,0,23,0,47,20,0,0,19,1
5.6,480.01,38,49.0,8.0,41.7,43.3,1.009,1.127,0.677,0.648,8.3,16,60,0,19,0,64,25,1,0,18,7
5.1,315.41,24,31.0,7.168,38.6,47.7,1.005,1.133,0.642,0.612,6.8,6,44,0,10,0,45,17,0,0,10,7
5.1,436.56,37,51.5,7.659,45.6,42.1,0.998,1.122,0.69,0.659,10.5,27,57,0,28,0,61,26,0,0,22,4
5.9,401.19,28,37.5,11.463,45.7,25.7,1.067,1.148,0.738,0.75,11.4,17,35,0,18,0,37,16,2,0,15,1
5.9,404.51,33,44.5,7.491,42.6,44.4,1.004,1.125,0.667,0.639,7.4,21,54,0,22,0,57,23,0,0,17,6
5.1,404.56,32,42.0,6.975,41.4,48.3,0.994,1.127,0.656,0.618,6.9,18,58,0,19,0,60,24,0,0,18,6
5.1,393.55,32,41.0,7.028,37.5,48.2,0.998,1.14,0.645,0.61,12.5,16,56,0,17,0,59,21,0,0,13,8
6.5,328.43,25,35.5,8.421,41.0,41.0,1.011,1.124,0.696,0.663,10.3,17,39,0,19,0,41,16,0,0,14,2
5.1,332.39,28,38.0,8.107,46.3,39.0,1.009,1.12,0.695,0.675,9.8,18,41,0,19,0,44,19,0,0,18,1
6.1,327.85,26,34.0,7.996,41.5,43.9,1.0,1.13,0.688,0.649,12.2,16,41,0,16,0,44,17,1,0,11,6
5.1,296.36,25,33.5,7.799,42.1,42.1,1.01,1.129,0.671,0.649,10.5,15,38,0,16,0,41,16,0,0,11,5
5.1,282.23,22,28.0,9.732,48.3,31.0,1.063,1.143,0.681,0.705,0.0,6,29,0,9,0,31,14,0,0,10,4
5.1,277.75,20,28.0,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,16,26,0,16,0,28,12,1,0,12,0
5.1,393.5,31,43.0,8.372,44.7,40.4,1.009,1.114,0.705,0.673,6.4,18,47,0,21,0,50,21,0,0,19,2
6.0,607.69,50,68.5,9.07,47.8,34.3,1.021,1.123,0.721,0.706,10.4,33,67,0,35,0,73,32,0,0,29,3
5.1,380.48,30,42.0,8.647,45.5,38.6,1.012,1.122,0.713,0.683,9.1,20,44,0,22,0,47,20,0,0,18,2
5.1,361.26,25,36.0,10.947,51.5,30.3,1.02,1.094,0.807,0.765,6.1,16,33,0,18,0,35,17,2,1,15,1
5.1,451.47,38,54.5,8.852,49.0,33.3,1.022,1.114,0.714,0.708,9.8,21,51,0,26,0,55,25,0,1,22,2
5.5,359.41,30,42.0,8.168,47.7,38.6,1.011,1.114,0.698,0.679,6.8,22,44,0,23,0,47,21,0,0,20,1
5.1,355.8,28,37.5,9.123,46.2,35.9,1.023,1.117,0.713,0.697,7.7,17,39,0,18,0,42,18,1,0,16,2
5.1,367.49,31,43.5,7.5,46.9,42.9,0.991,1.119,0.696,0.66,10.2,17,49,0,19,0,52,23,0,3,14,6
6.0,310.38,25,33.5,7.57,43.9,43.9,1.006,1.121,0.67,0.644,4.9,11,41,0,14,0,43,18,0,0,14,4
5.1,360.49,29,39.0,7.068,45.1,47.1,0.992,1.117,0.672,0.633,3.9,18,51,0,19,0,53,23,0,0,18,5
5.1,421.53,34,45.0,7.664,40.0,43.6,1.009,1.141,0.66,0.636,12.7,22,55,0,22,0,58,22,0,0,16,6
5.3,322.42,27,36.0,8.714,45.9,37.8,1.006,1.113,0.728,0.692,10.8,16,37,0,17,0,41,17,0,0,13,4
5.1,305.79,23,29.5,8.265,40.5,43.2,1.013,1.129,0.679,0.649,8.1,11,37,0,12,0,39,15,1,0,10,5
5.2,317.67,23,29.5,11.345,42.9,25.0,1.084,1.162,0.702,0.735,10.7,11,28,0,12,0,30,12,1,0,10,2
5.1,220.26,16,22.0,7.866,35.7,42.9,1.021,1.145,0.642,0.629,14.3,6,28,0,8,0,28,10,0,1,6,3
5.8,252.3,20,29.0,8.139,45.2,38.7,1.009,1.125,0.694,0.674,12.9,12,31,0,14,0,32,14,0,1,12,1
5.1,356.42,27,36.0,7.748,39.1,43.5,1.017,1.134,0.651,0.634,8.7,12,46,0,14,0,47,18,0,1,12,5
5.8,340.37,27,38.0,8.302,41.5,39.0,1.025,1.13,0.669,0.661,9.8,16,41,0,19,0,43,17,0,0,14,3
5.1,443.95,30,39.0,8.705,35.3,43.1,1.03,1.133,0.664,0.64,5.9,12,51,0,15,0,52,18,1,0,12,6
5.1,434.52,31,42.0,8.356,36.5,42.3,1.027,1.133,0.659,0.64,7.7,12,52,0,16,0,53,19,0,1,12,6
5.1,360.41,30,42.0,8.382,44.2,37.2,1.016,1.128,0.692,0.679,14.0,22,43,0,23,0,46,19,0,0,18,1
5.8,414.38,33,45.0,9.637,44.2,30.2,1.052,1.151,0.688,0.706,14.0,22,43,0,23,0,46,19,0,0,18,1
5.0,507.63,40,52.0,7.577,38.8,44.8,1.012,1.141,0.649,0.627,10.4,22,67,0,23,0,70,26,0,0,18,8
5.3,357.45,30,42.0,7.771,45.7,41.3,1.0,1.122,0.692,0.663,10.9,22,46,0,23,0,49,21,0,0,20,1
5.1,570.67,47,61.5,7.926,40.3,41.7,1.016,1.133,0.662,0.646,11.1,27,72,0,28,0,77,29,0,0,21,8
5.0,312.42,25,33.0,7.266,37.2,46.5,1.003,1.142,0.647,0.617,14.0,10,43,0,12,0,45,16,0,1,7,8
5.05,375.44,31,43.0,8.162,45.7,39.1,1.012,1.129,0.69,0.672,10.9,22,46,0,23,0,49,21,0,0,20,1
5.2,431.92,32,41.0,8.306,38.5,42.3,1.021,1.135,0.665,0.645,9.6,12,52,0,14,0,54,20,1,1,11,8
5.1,466.95,33,44.0,9.339,36.0,38.0,1.037,1.136,0.683,0.668,12.0,12,50,0,16,0,52,18,1,1,11,6
5.1,213.26,18,24.5,7.899,44.4,40.7,1.006,1.125,0.686,0.662,11.1,11,27,0,12,0,29,12,0,0,10,2
5.4,340.41,30,42.0,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,42,0,23,0,46,21,0,0,19,2
5.4,307.35,26,35.5,8.307,48.6,37.8,1.012,1.123,0.702,0.684,8.1,17,37,0,18,0,40,18,0,0,16,2
5.284,346.38,29,40.5,8.659,45.0,35.0,1.02,1.127,0.7,0.692,15.0,23,40,0,23,0,43,18,0,0,18,0
8.0,439.5,40,53.0,8.139,48.1,38.9,1.011,1.112,0.698,0.679,5.6,24,54,0,25,0,61,26,0,0,19,7
7.377,570.69,51,68.0,7.818,47.9,41.1,1.003,1.113,0.695,0.668,5.5,30,73,0,32,0,81,35,0,0,26,9
5.3,378.46,30,42.0,9.011,47.6,35.7,1.015,1.118,0.729,0.703,9.5,22,42,0,23,0,45,20,0,0,20,0
5.1,312.42,25,33.0,7.266,37.2,46.5,1.003,1.142,0.647,0.617,14.0,10,43,0,12,0,45,16,0,1,7,8
5.3,322.35,26,36.0,8.483,44.7,36.8,1.021,1.124,0.689,0.681,10.5,18,38,0,19,0,40,17,0,0,17,0
5.6,346.38,29,41.0,8.659,45.0,35.0,1.02,1.127,0.7,0.692,15.0,22,40,0,23,0,43,18,0,0,18,0
5.1,404.95,30,38.0,7.641,35.8,47.2,1.008,1.142,0.649,0.616,11.3,12,53,0,14,0,55,19,1,0,10,9
5.0,475.4,33,41.5,8.804,40.7,44.4,1.01,1.133,0.678,0.643,7.4,17,54,0,17,1,57,22,0,0,14,8
5.619,471.97,35,46.5,9.439,40.0,36.0,1.028,1.129,0.71,0.689,14.0,17,50,0,19,0,53,20,1,1,14,5
5.1,387.48,33,43.5,7.75,44.0,42.0,1.005,1.125,0.681,0.655,10.0,17,50,0,18,0,54,22,0,1,14,7
5.0,255.36,21,28.5,7.093,38.9,47.2,0.995,1.138,0.655,0.619,13.9,15,36,0,15,0,38,14,0,0,10,4
5.1,532.46,34,41.5,9.508,35.7,42.9,1.028,1.145,0.672,0.643,8.9,11,56,0,13,1,58,20,0,0,11,9
5.0,529.57,43,58.5,8.681,45.9,36.1,1.025,1.139,0.691,0.685,11.5,29,61,0,30,0,65,28,0,0,25,3
5.1,368.45,30,38.5,7.676,41.7,43.8,1.011,1.135,0.661,0.638,8.3,17,48,0,17,0,51,20,0,0,13,7
5.0,476.89,38,52.0,9.732,51.0,30.6,1.033,1.121,0.735,0.731,8.2,24,49,0,26,0,53,25,1,0,24,1
5.1,411.46,35,49.5,8.572,45.8,35.4,1.016,1.125,0.703,0.692,14.6,27,48,0,28,0,52,22,0,0,21,1
5.1,287.35,25,36.0,8.21,48.6,37.1,1.001,1.119,0.716,0.692,14.3,22,35,0,22,0,38,17,0,0,17,0
5.0,366.46,29,38.0,7.479,40.8,44.9,1.007,1.13,0.658,0.632,8.2,18,49,0,18,0,51,20,0,0,16,4
5.1,394.47,31,43.0,9.174,44.2,34.9,1.022,1.129,0.718,0.699,14.0,22,43,0,23,0,46,19,0,0,18,1
5.5,453.32,32,44.0,9.855,45.7,37.0,1.017,1.117,0.719,0.694,8.7,22,46,0,23,1,49,21,0,0,20,1
5.1,408.87,32,44.0,8.888,45.7,37.0,1.02,1.119,0.708,0.69,8.7,22,46,0,23,0,49,21,1,0,20,1
5.1,338.43,28,36.5,7.692,40.9,43.2,1.007,1.142,0.666,0.641,13.6,17,44,0,17,0,47,18,0,0,13,5
5.0,331.37,28,39.5,8.497,51.3,35.9,1.011,1.116,0.717,0.701,7.7,23,39,0,23,0,42,20,0,0,20,0
5.0,530.5,39,49.5,8.162,40.0,44.6,1.01,1.129,0.677,0.642,7.7,17,65,0,18,0,68,26,2,1,15,10
5.0,380.59,27,33.0,7.767,34.7,49.0,1.001,1.131,0.67,0.615,8.2,10,49,0,11,0,51,17,0,0,7,10
5.0,515.66,45,61.0,7.583,47.1,42.6,0.997,1.116,0.692,0.66,7.4,26,68,0,29,0,74,32,0,0,25,7
5.1,281.4,23,31.0,7.035,40.0,47.5,0.992,1.135,0.659,0.62,12.5,16,40,0,16,0,42,16,0,0,11,5
5.1,333.36,28,39.5,8.773,52.6,34.2,1.017,1.123,0.723,0.71,7.9,23,38,0,23,0,41,20,0,0,20,0
5.0,485.99,37,47.5,8.237,40.7,42.4,1.018,1.135,0.671,0.648,8.5,17,59,0,19,0,62,24,1,0,17,7
5.1,391.83,31,43.0,9.329,50.0,33.3,1.022,1.109,0.733,0.719,7.1,18,42,0,21,0,45,21,1,0,21,0
5.1,371.42,31,43.0,8.254,48.9,37.8,1.011,1.112,0.705,0.687,6.7,18,45,0,21,0,48,22,0,0,21,1
5.5,512.59,44,58.0,8.136,44.4,39.7,1.015,1.129,0.682,0.665,9.5,20,63,0,24,0,69,28,0,0,20,8
5.1,399.55,32,44.5,7.991,48.0,42.0,0.993,1.107,0.719,0.674,6.0,23,50,0,24,0,53,24,0,0,21,3
5.1,403.55,32,44.0,8.071,44.0,42.0,1.0,1.119,0.704,0.664,10.0,22,50,0,23,0,53,22,0,0,19,3
5.0,370.42,30,40.0,8.053,41.3,41.3,1.021,1.137,0.661,0.648,8.7,20,46,0,20,0,49,19,0,0,14,5
5.1,383.89,26,35.0,8.928,37.2,41.9,1.025,1.128,0.684,0.655,7.0,12,43,0,15,0,44,16,1,0,12,4
5.1,375.45,27,38.0,8.731,37.2,39.5,1.028,1.133,0.676,0.658,11.6,12,43,0,16,0,44,16,0,1,12,3
5.0,401.48,31,40.5,8.922,42.2,37.8,1.025,1.138,0.696,0.677,11.1,17,45,0,18,0,48,19,0,0,15,4
5.1,448.55,32,43.0,8.155,36.4,43.6,1.023,1.133,0.655,0.633,7.3,12,55,0,16,0,56,20,0,1,12,7
6.26,358.48,30,41.0,7.316,44.9,44.9,0.994,1.121,0.68,0.644,8.2,22,49,0,22,0,52,22,0,0,18,4
5.1,325.77,26,35.5,9.308,48.6,34.3,1.02,1.112,0.731,0.713,8.6,17,35,0,18,0,38,17,1,0,16,1
5.0,441.51,32,41.0,8.657,35.3,41.2,1.037,1.15,0.651,0.64,9.8,12,51,0,15,0,53,18,0,0,11,7
5.0,443.38,32,43.0,9.853,46.7,35.6,1.014,1.109,0.759,0.718,8.9,18,45,0,20,0,48,21,2,0,19,2
5.1,476.65,38,49.0,7.688,41.9,45.2,1.001,1.121,0.68,0.641,6.5,16,62,0,18,0,66,26,0,2,14,10
5.1,416.61,31,39.0,7.309,35.1,49.1,1.001,1.139,0.649,0.606,10.5,12,57,0,14,0,59,20,0,0,10,10
5.2,374.5,30,42.0,8.322,46.7,40.0,1.0,1.112,0.721,0.682,8.9,22,45,0,23,0,48,21,0,0,20,1
5.2,394.91,30,42.0,9.403,47.6,35.7,1.01,1.109,0.751,0.714,9.5,22,42,0,23,0,45,20,1,0,20,0
5.8,346.38,29,41.0,8.659,45.0,35.0,1.02,1.127,0.7,0.692,15.0,22,40,0,23,0,43,18,0,0,18,0
5.1,415.54,35,45.5,7.42,42.9,44.6,1.0,1.126,0.671,0.639,8.9,17,56,0,18,0,60,24,0,1,14,9
5.2,390.46,32,44.0,8.135,43.8,39.6,1.013,1.134,0.682,0.665,12.5,22,48,0,23,0,51,21,0,0,19,2
