pXC50,O.059,nROR,SpDiam_EA.ed.,ATS6s,Eig01_AEA.ed.,SpMax_AEA.ed.,nBnz,Mi,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,SpDiam_EA.bo.,Chi1_EA.bo.,ATS8m,Eig01_AEA.ri.,SpMax_AEA.ri.,Eta_betaS,SpMin6_Bh.i.,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Eig14_AEA.ri.,CATS2D_02_AA,Chi0_EA.ri.,SpMaxA_EA.ri.,SpMin5_Bh.m.,SpMin6_Bh.e.,Eig15_AEA.ri.,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,C.,X1Per,IDM,X1Kup,CID,X1,SpMin6_Bh.p.,IVDM,Psi_i_0,Eig15_EA,SM09_AEA.dm.,RDSQ,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Eig15_EA.bo.,SpMaxA_AEA.ed.,S0K,HDcpx,X1Mad,MPC01,MWC01,nBO,SRW02,SM15_EA.ed.,SM14_EA.ed.,Eig14_AEA.ed.,BID,SpMaxA_AEA.bo.,nN.C.N.,SpMaxA_AEA.ri.,P_VSA_MR_5,ATS7m,GMTI,ATSC7m,SM13_EA.ed.,CATS2D_06_LL,LPRS,Psi_i_1,MPC07,Xu,IDDM,Eig06_EA.ri.,nSK,MPC08,P_VSA_e_3,Eig09_EA.ed.,SM04_AEA.ri.,ATS7v,Psi_e_0,SMTI,nRNHR,Eig11_EA.ed.,SM06_AEA.ri.,Eig02_EA.bo.,SM12_AEA.ri.,Eig11_AEA.ri.,SpAD_EA.ri.,SpDiam_AEA.ri.,X0,VvdwZAZ,CATS2D_05_LL,ATS7p,SpMin5_Bh.e.,X0sol,Psi_e_1,GGI10,GGI6,SpMax7_Bh.p.,N.067,Eig11_AEA.bo.,ATSC8s,C.027,SpMaxA_EA.bo.,CATS2D_08_AA,Eig11_AEA.ed.,IC4,S1K,SpMax7_Bh.v.,MWC10,N.074,ON0,MW,ATSC6i,TWC,ATS6v,Eig06_EA.ed.,SM15_AEA.dm.,Eig11_EA.bo.,IC5,piPC06,Eig01_AEA.dm.,SpMax_AEA.dm.,SpMin3_Bh.s.,D.Dtr06,TIC3,Eig09_AEA.dm.,SpDiam_AEA.dm.
7.585,0,0,20.57,6.532,7.206,7.206,3,1.118,12.741,12.741,12.741,3.452,3.452,5.452,3.452,7.593,19.37,4.429,4.419,4.419,28.25,1.403,28.601,28.601,28.601,28.601,28.601,25.782,2.353,3,29.04,0.07,1.846,1.45,2.143,4.593,4.593,4.593,45.2,11.466,9.426,14.313,4.479,20.136,1.665,5.313,29.94,1.149,1.149,473.003,23.763,23.763,23.763,23.763,23.763,1.5,0.15,211.66,1.809,19.418,3.892,3.892,48,4.575,38.299,35.782,3.62,3.742,0.098,0,0.092,48.835,4.523,29670.0,53.454,33.261,14,229.317,26.655,5.872,36.195,5.319,2.382,41,6.153,26.158,6.091,6.091,4.555,15.38,26208.0,0,4.69,4.69,3.96,3.96,2.555,71.856,5.488,27.501,484.46,14,4.634,1.711,27.501,7.002,0.24,1.43,3.114,0,2.892,91.873,0,0.096,3,4.7,5.697,25.247,3.136,12.898,0,18.833,548.69,2.796,13.393,4.625,7.658,7.658,2.039,5.697,6.81,4.069,4.069,1.146,543.033,401.493,2.293,6.069
9.0,0,0,18.757,5.765,6.913,6.913,1,1.134,11.591,11.591,11.591,3.289,3.289,5.289,3.289,7.363,10.139,3.294,4.255,4.255,15.5,0.981,16.43,16.43,16.43,16.43,16.43,14.768,0.546,1,16.747,0.122,1.578,1.065,0.359,4.363,4.363,4.363,39.1,6.714,7.895,8.231,3.909,11.651,1.364,4.507,17.045,-0.59,-0.59,198.889,12.785,12.785,12.785,12.785,12.785,-0.725,0.266,110.039,1.676,11.175,3.296,3.296,26,3.97,36.876,34.447,2.316,3.229,0.179,1,0.164,79.9,3.606,5495.0,24.944,32.011,8,112.017,13.629,4.745,22.924,4.552,1.52,24,4.828,53.236,2.449,2.449,3.707,8.892,5523.0,0,0.548,0.548,3.934,3.934,1.245,36.925,5.328,17.104,304.18,7,3.819,1.355,17.104,3.707,0.065,0.645,2.788,0,1.463,47.09,0,0.168,0,2.783,5.04,16.718,2.797,12.043,1,12.667,326.44,1.248,12.555,3.817,4.219,4.219,0.354,5.04,6.127,3.71,3.71,1.072,129.862,223.819,1.191,5.71
5.222,0,0,17.423,5.136,6.561,6.561,1,1.12,10.443,10.443,10.443,3.119,3.119,5.119,3.119,7.451,8.685,2.674,4.072,4.072,13.5,0.894,14.085,14.085,14.085,14.085,14.085,12.26,0.076,0,14.367,0.129,1.438,0.948,0.0,4.451,4.451,4.451,45.7,5.559,7.347,6.848,3.751,9.899,1.133,4.295,14.46,-1.0,-1.0,155.841,11.403,11.403,11.403,11.403,11.403,-1.324,0.285,84.439,1.62,9.586,3.178,3.178,23,3.85,35.293,32.971,2.0,3.059,0.197,0,0.177,41.682,3.186,4189.0,15.27,30.636,8,87.792,12.311,4.443,19.833,4.292,1.43,20,4.511,50.357,1.877,1.877,3.333,7.381,3847.0,0,-0.28,-0.28,3.853,3.853,0.84,32.783,5.158,13.364,226.53,8,3.461,1.153,13.364,3.187,0.0,0.21,2.574,0,1.082,19.868,1,0.194,0,2.607,4.786,11.772,2.6,11.76,0,9.0,265.34,0.824,12.29,3.462,3.45,3.45,-0.128,4.786,6.238,3.205,3.205,0.966,108.791,165.525,1.0,5.205
6.0,0,0,17.418,5.245,6.561,6.561,1,1.126,10.442,10.442,10.442,3.118,3.118,5.118,3.118,7.451,8.667,2.972,4.071,4.071,13.5,0.895,14.767,14.767,14.767,14.767,14.767,12.942,0.095,0,15.068,0.129,1.438,0.948,-0.026,4.451,4.451,4.451,42.5,6.017,7.474,7.33,3.791,10.381,1.164,4.355,15.118,-1.0,-1.0,156.874,11.385,11.385,11.385,11.385,11.385,-1.331,0.285,92.239,1.633,10.061,3.178,3.178,23,3.85,35.286,32.962,2.0,3.103,0.197,0,0.177,53.042,3.264,4396.0,16.607,30.624,8,95.017,12.101,4.382,20.896,4.356,1.429,21,4.454,50.357,1.839,1.839,3.439,7.741,4316.0,0,0.414,0.414,3.853,3.853,1.179,31.835,5.125,14.493,256.19,6,3.568,1.311,14.493,3.172,0.04,0.214,2.682,0,1.348,18.361,1,0.194,0,2.555,5.003,13.934,2.673,11.636,0,10.167,281.39,0.89,12.168,3.494,3.17,3.17,0.256,5.003,6.222,3.198,3.198,0.966,119.082,198.122,1.0,5.198
9.319,0,0,18.099,5.631,6.709,6.709,2,1.116,10.908,10.908,10.908,3.156,3.156,5.156,3.156,7.531,9.675,3.68,4.138,4.138,15.75,1.025,17.196,17.196,17.196,17.196,17.196,15.068,0.497,0,17.617,0.115,1.44,1.112,0.474,4.531,4.531,4.531,46.3,6.087,7.996,7.571,3.95,12.156,1.361,4.569,17.173,-0.468,-0.468,204.224,13.102,13.102,13.102,13.102,13.102,-0.692,0.248,116.096,1.683,11.457,3.332,3.332,27,4.007,35.88,33.507,2.373,3.267,0.17,0,0.153,44.357,3.692,6663.0,15.213,31.123,6,120.079,13.712,4.522,24.088,4.615,1.705,25,4.585,65.856,1.84,1.84,3.649,9.157,6600.0,0,0.758,0.758,3.889,3.889,1.419,37.233,5.176,17.811,306.87,6,3.731,1.125,18.311,3.82,0.128,0.426,2.803,0,1.84,72.336,1,0.168,0,2.822,5.144,17.346,2.779,11.86,1,13.167,353.83,1.026,12.394,3.68,4.99,4.99,0.747,5.144,6.433,4.058,4.058,0.839,205.753,210.905,1.313,6.058
8.301,0,0,18.61,5.83,6.894,6.894,1,1.12,11.488,11.488,11.488,3.282,3.282,5.282,3.282,7.359,11.295,3.883,4.249,4.249,17.5,1.285,18.37,18.37,18.37,18.37,18.37,16.124,0.846,1,18.879,0.106,1.63,1.284,0.613,4.359,4.359,4.359,42.6,7.028,8.247,8.784,4.034,13.08,1.464,4.681,19.114,-0.355,-0.355,243.364,14.781,14.781,14.781,14.781,14.781,-0.432,0.23,128.382,1.709,12.102,3.434,3.434,30,4.111,36.812,34.398,2.688,3.341,0.155,1,0.142,66.435,3.977,8072.0,24.241,31.977,6,131.131,15.645,4.97,25.347,4.725,1.672,27,5.118,53.236,3.033,3.033,3.872,9.985,7757.0,0,2.051,2.051,4.085,4.085,1.842,42.931,5.323,18.966,328.75,7,3.955,1.453,19.319,4.257,0.11,0.655,2.792,0,2.324,40.108,0,0.145,0,3.279,5.166,18.083,2.803,12.222,1,13.833,380.51,1.396,12.734,3.913,4.957,4.957,1.259,5.166,6.43,3.708,3.708,0.919,146.46,242.801,1.558,5.708
8.523,0,0,18.608,5.904,6.894,6.894,1,1.136,11.487,11.487,11.487,3.281,3.281,5.281,3.281,7.357,11.752,3.892,4.248,4.248,18.5,1.16,18.74,18.74,18.74,18.74,18.74,16.897,0.821,1,19.297,0.106,1.726,1.224,0.522,4.357,4.357,4.357,36.5,7.348,8.345,9.075,4.053,13.439,1.475,4.714,19.565,-0.448,-0.448,243.304,14.741,14.741,14.741,14.741,14.741,-0.522,0.23,134.606,1.718,12.557,3.434,3.434,30,4.111,36.777,34.358,2.583,3.375,0.155,1,0.142,113.387,4.052,8435.0,29.079,31.933,6,138.86,15.371,4.883,26.331,4.773,1.792,28,5.011,89.257,3.041,3.041,3.921,10.331,8499.0,0,1.707,1.707,4.011,4.011,1.953,41.977,5.32,20.259,359.35,5,4.005,1.498,20.759,4.273,0.18,0.869,3.009,0,2.123,48.151,0,0.145,0,3.131,5.219,20.613,3.004,12.138,1,15.333,400.56,1.45,12.654,3.959,5.376,5.376,1.08,5.219,6.226,3.786,3.786,0.992,162.167,271.403,1.568,5.786
8.398,0,0,18.609,5.993,6.894,6.894,1,1.139,11.488,11.488,11.488,3.281,3.281,5.281,3.281,7.36,10.132,3.626,4.249,4.249,16.75,1.07,16.508,16.508,16.508,16.508,16.508,14.516,0.419,2,16.871,0.118,1.48,1.131,0.357,4.36,4.36,4.36,38.1,6.177,8.024,7.606,3.942,11.918,1.45,4.541,16.942,-0.595,-0.595,212.998,13.26,13.26,13.26,13.26,13.26,-0.731,0.255,114.096,1.688,11.182,3.332,3.332,27,4.007,36.789,34.371,2.338,3.268,0.172,1,0.157,66.435,3.762,5982.0,19.518,31.947,4,117.999,13.486,4.804,23.63,4.613,1.648,25,4.905,58.906,2.814,2.814,3.647,9.244,6031.0,0,0.649,0.649,4.114,4.114,1.288,39.224,5.321,18.137,295.52,5,3.663,1.242,18.137,3.981,0.037,0.687,2.771,0,1.529,121.443,0,0.161,5,2.92,4.91,17.271,2.777,12.115,1,13.833,343.38,1.079,12.627,3.716,4.948,4.948,0.405,4.91,6.296,3.784,3.784,0.912,137.42,206.213,1.555,5.784
8.699,0,0,18.745,5.964,6.913,6.913,1,1.126,11.587,11.587,11.587,3.291,3.291,5.291,3.291,7.367,12.133,4.037,4.258,4.258,19.0,1.262,19.687,19.687,19.687,19.687,19.687,17.469,1.275,1,20.284,0.099,1.74,1.311,0.796,4.367,4.367,4.367,40.4,7.706,8.455,9.63,4.101,14.012,1.538,4.777,20.575,-0.197,-0.197,268.311,15.701,15.701,15.701,15.701,15.701,-0.234,0.216,140.881,1.728,13.011,3.497,3.497,32,4.174,36.927,34.505,2.734,3.409,0.145,1,0.133,89.877,4.075,9642.0,32.155,32.076,9,144.553,16.742,5.05,26.936,4.827,1.966,29,5.22,70.021,3.651,3.651,4.0,10.739,9345.0,0,2.562,2.562,4.105,4.105,2.038,45.571,5.339,20.543,357.05,8,4.095,1.528,20.897,4.553,0.188,0.731,2.933,0,2.447,46.883,0,0.136,2,3.444,5.219,19.931,2.897,12.304,1,15.167,409.56,1.563,12.815,4.045,6.04,6.04,1.442,5.219,6.507,3.711,3.711,1.037,160.425,265.403,1.639,5.711
9.398,0,0,18.136,5.637,6.714,6.714,2,1.116,10.937,10.937,10.937,3.164,3.164,5.164,3.164,7.572,9.686,3.526,4.149,4.149,15.5,1.008,17.196,17.196,17.196,17.196,17.196,15.076,0.521,0,17.605,0.115,1.574,1.101,0.396,4.572,4.572,4.572,46.5,6.427,7.984,7.984,3.95,12.156,1.38,4.569,17.472,-0.566,-0.566,203.639,13.119,13.119,13.119,13.119,13.119,-0.775,0.249,116.096,1.681,11.536,3.332,3.332,27,4.007,35.92,33.545,2.458,3.267,0.171,0,0.154,55.716,3.524,6783.0,18.223,31.158,7,120.539,13.956,4.5,24.171,4.616,1.521,25,4.543,65.856,1.908,1.908,3.567,9.16,6716.0,0,0.685,0.685,3.889,3.889,1.442,37.392,5.188,17.811,315.38,8,3.692,1.273,18.311,3.775,0.165,0.324,2.814,0,1.762,32.236,1,0.169,0,2.844,5.112,17.384,2.822,11.868,1,13.167,351.86,1.13,12.402,3.685,4.537,4.537,0.637,5.112,6.424,4.06,4.06,0.949,205.586,219.82,1.416,6.06
8.699,0,0,18.608,5.915,6.894,6.894,1,1.139,11.487,11.487,11.487,3.281,3.281,5.281,3.281,7.357,11.192,3.752,4.248,4.248,18.25,1.11,18.033,18.033,18.033,18.033,18.033,16.19,0.792,2,18.567,0.109,1.606,1.192,0.508,4.357,4.357,4.357,37.5,6.744,8.243,8.306,4.017,12.939,1.466,4.659,18.506,-0.472,-0.472,233.189,14.203,14.203,14.203,14.203,14.203,-0.579,0.238,128.382,1.709,12.164,3.401,3.401,29,4.078,36.777,34.358,2.482,3.341,0.16,1,0.146,84.446,3.923,7536.0,25.434,31.933,4,131.786,14.468,4.868,25.427,4.722,1.841,27,4.99,71.247,3.037,3.037,3.813,9.966,7597.0,0,0.96,0.96,4.011,4.011,1.42,41.004,5.32,19.552,330.12,5,3.864,1.317,19.552,4.171,0.155,0.869,2.829,0,1.642,58.854,0,0.15,0,2.959,5.105,19.235,2.836,12.127,1,14.833,371.44,1.268,12.642,3.873,5.203,5.203,0.56,5.105,6.22,3.709,3.709,0.912,153.748,245.059,1.568,5.709
4.237,0,0,17.497,5.178,6.574,6.574,1,1.118,10.485,10.485,10.485,3.136,3.136,5.136,3.136,7.455,7.781,2.874,4.092,4.092,13.25,0.783,13.593,13.593,13.593,13.593,13.593,11.651,-0.049,0,14.217,0.136,1.415,0.844,-0.153,4.455,4.455,4.455,42.4,4.755,7.346,6.036,3.737,9.686,1.059,4.248,13.909,-1.0,-1.0,153.382,10.798,10.798,10.798,10.798,10.798,-1.5,0.299,86.439,1.62,8.612,3.135,3.135,22,3.807,35.373,33.051,1.891,3.059,0.207,0,0.186,39.352,3.263,3575.0,14.323,30.715,2,87.386,11.251,4.454,19.616,4.293,1.356,20,4.466,50.357,0.86,0.86,3.161,7.366,3532.0,0,-0.827,-0.827,3.978,3.978,0.568,30.74,5.129,14.113,231.59,1,3.292,1.168,14.401,3.119,0.04,0.284,2.64,0,0.995,25.216,2,0.202,0,2.44,4.756,13.129,2.617,11.762,0,10.333,287.37,0.773,12.288,3.324,3.383,3.383,-0.464,4.756,6.363,4.699,4.699,0.768,112.088,156.955,0.938,6.699
6.092,0,0,18.771,5.689,7.123,7.123,2,1.119,11.735,11.735,11.735,3.338,3.338,5.338,3.338,7.717,10.24,3.51,4.221,4.221,17.0,1.058,16.712,16.712,16.712,16.712,16.712,14.428,0.4,3,17.284,0.108,1.437,1.119,0.312,4.717,4.717,4.717,42.5,5.979,7.98,7.598,3.964,12.004,1.367,4.57,17.369,-0.664,-0.664,212.047,13.844,13.844,13.844,13.844,13.844,-0.906,0.254,114.096,1.679,10.668,3.367,3.367,28,4.043,37.072,34.634,2.502,3.267,0.172,0,0.151,19.519,3.566,7509.0,17.196,32.194,4,120.486,14.57,4.654,24.22,4.62,1.597,25,4.71,51.582,2.579,2.579,3.501,9.386,7051.0,0,1.508,1.508,4.348,4.348,1.58,40.13,5.299,17.441,286.07,3,3.563,1.169,17.691,4.263,0.129,0.423,2.787,0,1.899,49.118,0,0.168,1,3.193,5.053,16.124,2.779,11.989,0,12.583,357.42,0.959,12.519,3.533,4.85,4.85,0.78,5.053,6.449,5.18,5.18,0.905,180.755,200.122,1.471,7.18
8.301,0,0,18.608,5.931,6.894,6.894,1,1.148,11.487,11.487,11.487,3.281,3.281,5.281,3.281,7.357,12.139,3.878,4.248,4.248,20.25,1.187,19.472,19.472,19.472,19.472,19.472,17.138,0.87,2,20.019,0.099,1.515,1.268,0.839,4.357,4.357,4.357,36.0,7.268,8.445,8.923,4.101,13.957,1.563,4.777,19.948,-0.153,-0.153,264.053,15.776,15.776,15.776,15.776,15.776,-0.189,0.215,140.881,1.726,13.175,3.497,3.497,32,4.174,36.78,34.362,2.877,3.409,0.145,1,0.133,104.907,3.994,10078.0,24.836,31.938,4,145.507,15.967,4.977,27.155,4.826,1.953,29,5.124,154.255,3.73,3.73,3.888,10.663,9703.0,0,2.6,2.6,4.016,4.016,2.037,45.659,5.321,20.543,330.64,5,3.93,1.361,20.543,4.538,0.212,0.863,2.842,0,2.475,55.453,0,0.136,0,3.454,5.239,19.422,2.867,12.236,1,15.167,395.48,1.369,12.752,3.938,6.335,6.335,1.474,5.239,6.326,3.708,3.708,0.912,163.497,261.928,1.687,5.708
8.699,0,0,18.745,6.052,6.913,6.913,1,1.122,11.587,11.587,11.587,3.291,3.291,5.291,3.291,7.367,14.199,4.173,4.258,4.258,22.5,1.314,23.463,23.463,23.463,23.463,23.463,20.609,1.855,1,24.113,0.084,1.782,1.343,1.487,4.367,4.367,4.367,43.1,8.942,8.899,11.123,4.268,16.584,1.545,5.023,24.048,0.668,0.668,335.723,18.689,18.689,18.689,18.689,18.689,0.993,0.182,172.974,1.765,15.515,3.664,3.664,38,4.344,36.957,34.54,3.263,3.561,0.122,1,0.112,99.147,4.245,16326.0,32.565,32.117,12,180.325,19.706,5.236,31.113,5.056,1.999,34,5.407,86.807,4.076,4.076,4.161,12.571,15347.0,0,3.002,3.002,4.135,4.135,2.303,54.277,5.357,23.656,406.07,11,4.227,1.581,24.01,5.372,0.217,0.751,3.112,0,2.552,50.603,2,0.115,2,3.98,5.509,22.578,3.118,12.449,1,17.0,472.62,1.737,12.962,4.181,6.525,6.525,1.53,5.509,6.742,3.711,3.711,1.038,309.592,317.498,1.778,5.711
8.0,0,0,18.607,5.719,6.894,6.894,1,1.138,11.487,11.487,11.487,3.28,3.28,5.28,3.28,7.357,9.562,3.255,4.247,4.247,15.25,0.95,15.301,15.301,15.301,15.301,15.301,13.561,0.378,1,15.627,0.127,1.479,1.017,0.179,4.357,4.357,4.357,38.1,5.954,7.775,7.34,3.864,11.007,1.341,4.428,15.979,-0.784,-0.784,189.657,12.293,12.293,12.293,12.293,12.293,-1.001,0.276,102.042,1.664,10.483,3.258,3.258,25,3.932,36.771,34.352,2.337,3.19,0.186,1,0.17,66.435,3.565,4852.0,20.163,31.925,4,105.284,12.791,4.682,21.989,4.494,1.648,23,4.779,86.133,2.593,2.593,3.567,8.486,4869.0,0,-0.299,-0.299,4.002,4.002,0.847,36.05,5.32,16.56,280.58,5,3.65,1.202,16.56,3.586,0.037,0.646,2.769,0,1.25,50.265,0,0.174,0,2.689,4.91,15.716,2.774,12.036,1,12.5,313.4,1.078,12.548,3.666,4.941,4.941,-0.16,4.91,6.104,3.708,3.708,0.91,122.78,206.213,1.193,5.708
8.523,0,0,18.61,5.844,6.894,6.894,1,1.125,11.488,11.488,11.488,3.282,3.282,5.282,3.282,7.359,11.295,3.894,4.249,4.249,18.0,1.201,18.37,18.37,18.37,18.37,18.37,16.124,0.846,1,18.951,0.106,1.494,1.241,0.612,4.359,4.359,4.359,41.3,6.908,8.247,8.627,4.034,13.08,1.462,4.681,18.984,-0.355,-0.355,243.364,14.781,14.781,14.781,14.781,14.781,-0.432,0.23,128.382,1.709,12.052,3.434,3.434,30,4.111,36.812,34.398,2.688,3.341,0.155,1,0.142,76.412,3.981,8072.0,23.098,31.977,6,131.131,15.453,4.97,25.347,4.725,1.649,27,5.118,70.021,3.033,3.033,3.843,9.975,7757.0,0,2.051,2.051,4.085,4.085,1.824,42.649,5.326,18.966,322.45,5,3.917,1.357,19.319,4.254,0.11,0.655,2.792,0,2.324,48.229,1,0.145,2,3.279,5.127,18.021,2.803,12.222,1,13.833,381.5,1.37,12.734,3.89,4.957,4.957,1.259,5.127,6.43,3.708,3.708,0.916,146.46,235.819,1.558,5.708
7.0,0,0,17.433,5.313,6.599,6.599,1,1.113,10.535,10.535,10.535,3.144,3.144,5.144,3.144,7.513,8.057,2.752,4.087,4.087,12.75,0.889,13.853,13.853,13.853,13.853,13.853,11.983,-0.064,1,14.338,0.135,1.344,0.941,-0.254,4.513,4.513,4.513,44.1,5.194,7.358,6.456,3.74,9.792,1.053,4.266,14.066,-1.227,-1.227,152.48,10.852,10.852,10.852,10.852,10.852,-1.5,0.3,86.439,1.623,8.997,3.135,3.135,22,3.807,35.57,33.241,1.807,3.059,0.208,0,0.186,16.269,3.287,3547.0,17.098,30.897,8,87.181,11.337,4.394,19.581,4.292,1.263,20,4.466,33.571,1.78,1.78,3.308,7.372,3498.0,0,-0.773,-0.773,3.921,3.921,0.584,30.164,5.187,13.949,237.89,7,3.464,0.979,14.303,3.102,0.02,0.366,2.564,0,1.065,27.984,0,0.205,0,2.58,4.83,13.314,2.543,11.718,0,10.0,286.38,0.803,12.245,3.456,2.977,2.977,-0.423,4.83,6.284,3.23,3.23,0.88,103.603,162.219,0.81,5.23
5.699,0,0,18.604,5.545,6.893,6.893,1,1.126,11.484,11.484,11.484,3.278,3.278,5.278,3.278,7.355,9.151,3.097,4.245,4.245,14.0,0.938,14.853,14.853,14.853,14.853,14.853,13.138,0.303,1,15.232,0.132,1.477,0.993,0.128,4.355,4.355,4.355,40.0,5.801,7.638,7.271,3.825,10.613,1.177,4.376,15.616,-0.852,-0.852,177.313,11.809,11.809,11.809,11.809,11.809,-1.155,0.287,98.107,1.65,9.769,3.219,3.219,24,3.892,36.751,34.332,2.075,3.148,0.193,1,0.177,62.742,3.526,4389.0,19.665,31.905,7,99.219,12.632,4.605,21.202,4.429,1.475,22,4.691,53.236,2.449,2.449,3.497,8.132,4386.0,0,-0.363,-0.363,3.933,3.933,0.843,34.188,5.322,15.69,279.3,5,3.641,1.196,16.043,3.413,0.037,0.544,2.772,0,1.246,29.045,0,0.181,0,2.673,4.865,15.167,2.777,11.971,1,11.667,314.45,1.086,12.485,3.624,3.739,3.739,-0.176,4.865,6.026,4.432,4.432,0.911,116.026,192.612,1.198,6.432
8.602,0,0,18.61,5.888,6.894,6.894,1,1.126,11.488,11.488,11.488,3.282,3.282,5.282,3.282,7.359,11.706,3.918,4.249,4.249,18.5,1.279,18.817,18.817,18.817,18.817,18.817,16.546,0.846,1,19.412,0.102,1.669,1.313,0.627,4.359,4.359,4.359,40.8,7.217,8.351,9.049,4.067,13.474,1.475,4.723,19.758,-0.341,-0.341,255.802,15.264,15.264,15.264,15.264,15.264,-0.413,0.222,134.606,1.718,12.425,3.466,3.466,31,4.143,36.818,34.405,2.695,3.376,0.15,1,0.137,78.946,4.045,8869.0,26.86,31.985,8,137.926,16.087,5.004,26.164,4.777,1.896,28,5.17,70.021,3.629,3.629,3.915,10.354,8562.0,0,2.562,2.562,4.104,4.104,2.037,44.455,5.333,19.836,339.75,9,3.981,1.463,20.19,4.406,0.172,0.691,2.92,0,2.447,45.691,0,0.141,2,3.444,5.145,18.975,2.907,12.267,1,14.667,395.53,1.433,12.78,3.957,6.04,6.04,1.442,5.145,6.462,3.708,3.708,0.917,153.741,252.101,1.576,5.708
8.77,0,0,18.745,6.091,6.913,6.913,2,1.13,11.587,11.587,11.587,3.291,3.291,5.291,3.291,7.367,14.199,4.109,4.258,4.258,22.5,1.239,23.463,23.463,23.463,23.463,23.463,20.609,1.892,2,23.94,0.084,1.781,1.308,1.62,4.367,4.367,4.367,42.4,9.062,8.899,11.152,4.268,16.584,1.591,5.023,23.942,0.668,0.668,335.723,18.689,18.689,18.689,18.689,18.689,0.993,0.182,168.974,1.765,15.913,3.664,3.664,38,4.344,36.957,34.54,3.263,3.561,0.122,1,0.112,96.357,4.164,16326.0,31.078,32.117,15,180.325,19.55,5.236,31.113,5.056,2.003,34,5.407,103.347,4.076,4.076,4.14,12.563,15347.0,0,3.002,3.002,4.135,4.135,2.317,55.107,5.331,23.656,398.56,10,4.195,1.581,23.656,5.375,0.217,0.751,3.106,0,2.552,58.737,0,0.115,4,3.98,5.404,22.207,3.117,12.449,1,17.0,455.57,1.735,12.962,4.16,6.525,6.525,1.53,5.404,6.742,3.711,3.711,1.084,309.592,313.302,1.778,5.711
4.796,0,0,18.781,5.503,6.847,6.847,0,1.15,11.347,11.347,11.347,3.227,3.227,5.227,3.227,7.58,8.559,2.873,4.163,4.163,13.25,0.908,13.458,13.458,13.458,13.458,13.458,12.28,-0.109,3,13.813,0.144,1.513,1.009,-0.403,4.58,4.58,4.58,32.6,5.876,7.345,7.158,3.714,9.647,1.272,4.237,14.314,-1.322,-1.322,142.831,10.315,10.315,10.315,10.315,10.315,-1.561,0.326,86.439,1.621,9.251,3.091,3.091,21,3.761,36.461,34.045,1.703,3.058,0.221,0,0.198,53.319,3.238,3318.0,22.51,31.618,1,88.189,11.481,4.143,19.817,4.285,1.287,20,4.094,85.153,1.088,1.088,3.395,7.401,3475.0,0,-0.731,-0.731,3.255,3.255,0.583,28.777,5.236,14.535,257.47,2,3.551,1.277,14.535,3.029,0.037,0.402,2.667,0,0.944,41.611,0,0.218,0,2.271,4.926,15.046,2.689,11.632,0,11.0,277.42,0.973,12.157,3.534,3.487,3.487,-0.422,4.926,5.88,3.313,3.313,0.93,52.683,202.31,0.605,5.313
8.523,0,0,18.745,6.055,6.913,6.913,2,1.118,11.587,11.587,11.587,3.291,3.291,5.291,3.291,7.367,14.199,4.17,4.258,4.258,22.0,1.317,23.463,23.463,23.463,23.463,23.463,20.609,1.864,1,24.048,0.084,1.782,1.343,1.487,4.367,4.367,4.367,44.1,9.077,8.899,11.291,4.268,16.584,1.546,5.023,24.178,0.668,0.668,335.723,18.689,18.689,18.689,18.689,18.689,0.993,0.182,168.974,1.765,15.59,3.664,3.664,38,4.344,36.957,34.54,3.263,3.561,0.122,1,0.112,81.052,4.242,16326.0,33.397,32.117,15,180.325,19.89,5.236,31.113,5.056,2.0,34,5.407,70.021,4.076,4.076,4.173,12.584,15347.0,0,3.002,3.002,4.135,4.135,2.31,54.543,5.356,23.656,412.37,13,4.245,1.581,24.01,5.379,0.217,0.751,3.113,0,2.552,48.537,0,0.115,2,3.98,5.404,22.64,3.118,12.449,1,17.0,471.63,1.753,12.962,4.193,6.525,6.525,1.53,5.404,6.742,3.711,3.711,1.089,309.592,313.302,1.778,5.711
