pXC50,RBF,nC,Sp,Sv,nCsp3,nBT,Si,nN,Se,nAT,nH,nSK,MW,nO,C.
7.456,0.062,28,41.733,40.982,4,65.0,66.023,7,59.88,59.0,21.0,38.0,503.56,3,47.5
7.109,0.07,22,35.392,34.895,6,57.0,59.86,5,54.214,53.0,21.0,32.0,435.48,5,41.5
7.854,0.069,27,44.443,43.024,10,72.0,77.019,6,68.851,68.0,30.0,38.0,518.63,5,39.7
7.728,0.059,26,42.87,40.948,10,68.0,70.816,5,63.614,63.0,27.0,36.0,505.65,4,41.3
5.921,0.057,21,33.114,33.037,5,53.0,55.575,5,50.516,49.0,18.0,31.0,423.44,4,42.9
6.855,0.083,23,37.398,36.917,6,60.0,63.358,6,57.316,56.0,22.0,34.0,462.51,5,41.1
8.285,0.048,24,38.46,37.234,8,62.0,65.481,5,58.654,58.0,25.0,33.0,447.54,4,41.4
8.741,0.045,28,42.006,40.519,8,67.0,68.272,5,61.327,61.0,25.0,36.0,479.58,3,45.9
6.276,0.045,28,42.006,40.519,8,67.0,68.272,5,61.327,61.0,25.0,36.0,479.58,3,45.9
9.347,0.046,27,40.943,40.202,6,65.0,66.149,6,59.989,59.0,22.0,37.0,494.55,4,45.8
9.568,0.048,27,39.483,38.466,5,62.0,62.441,5,56.56,56.0,21.0,35.0,463.53,3,48.2
8.621,0.046,28,41.245,39.993,6,65.0,65.857,5,59.443,59.0,23.0,36.0,477.56,3,47.5
8.448,0.047,27,40.245,38.993,7,64.0,64.857,5,58.443,58.0,23.0,35.0,465.55,3,46.6
8.401,0.043,29,43.767,42.046,9,70.0,71.687,5,64.211,64.0,27.0,37.0,493.61,3,45.3
8.537,0.045,28,42.006,40.519,8,67.0,68.272,5,61.327,61.0,25.0,36.0,479.58,3,45.9
7.252,0.086,27,43.5,41.32,11,70.0,75.644,4,67.087,67.0,32.0,35.0,476.63,4,40.3
8.745,0.09,26,42.597,40.621,10,67.0,72.172,4,64.527,64.0,29.0,35.0,497.04,4,40.6
8.102,0.086,27,43.5,41.32,11,70.0,75.644,4,67.087,67.0,32.0,35.0,476.63,4,40.3
9.26,0.09,26,41.614,40.56,10,67.0,72.908,4,65.229,64.0,28.0,36.0,498.58,4,40.6
8.357,0.09,26,43.455,41.448,10,67.0,72.116,4,64.851,64.0,28.0,36.0,531.48,4,40.6
9.585,0.086,27,43.375,42.087,11,70.0,76.323,4,68.112,67.0,30.0,37.0,512.61,4,40.3
8.432,0.09,26,41.676,40.176,10,67.0,72.568,4,64.716,64.0,29.0,35.0,480.59,4,40.6
6.409,0.045,24,40.188,40.236,14,67.0,74.342,4,66.65,64.0,27.0,37.0,530.55,4,37.5
7.959,0.042,27,43.739,43.543,13,72.0,78.631,5,70.425,68.0,28.0,40.0,565.6,3,39.7
6.62,0.065,30,47.5,47.07,12,77.0,84.046,5,75.308,73.0,30.0,43.0,603.65,3,41.1
8.764,0.043,26,42.432,42.731,12,70.0,76.425,5,68.869,66.0,26.0,40.0,567.57,4,39.4
7.782,0.058,25,41.739,41.543,13,69.0,76.631,5,68.425,66.0,28.0,38.0,541.58,3,37.9
5.301,0.053,20,33.966,33.974,12,57.0,64.219,3,57.338,55.0,24.0,31.0,449.47,3,36.4
6.951,0.061,24,39.978,40.016,12,66.0,73.216,5,65.541,63.0,26.0,37.0,527.55,3,38.1
7.18,0.056,26,43.438,43.752,12,72.0,78.924,6,70.97,68.0,27.0,41.0,582.59,4,38.2
9.547,0.043,30,44.25,43.014,7,70.0,70.355,6,63.545,63.0,24.0,39.0,516.6,3,47.6
7.347,0.099,27,43.955,42.035,11,71.0,76.853,4,68.414,68.0,32.0,36.0,492.63,5,39.7
6.854,0.046,23,38.733,38.522,14,65.0,72.133,4,64.323,62.0,27.0,35.0,502.54,3,37.1
8.626,0.043,26,41.978,42.016,12,69.0,75.216,5,67.541,65.0,26.0,39.0,551.57,3,40.0
5.051,0.048,22,37.12,37.898,12,62.0,68.721,4,62.21,59.0,23.0,36.0,518.49,5,37.3
7.854,0.09,26,41.676,40.176,10,67.0,72.568,4,64.716,64.0,29.0,35.0,480.59,4,40.6
7.28,0.042,27,43.188,43.236,12,71.0,77.342,4,69.65,67.0,27.0,40.0,566.58,4,40.3
8.796,0.09,26,41.676,40.176,10,67.0,72.568,4,64.716,64.0,29.0,35.0,480.59,4,40.6
8.921,0.09,26,42.534,41.004,10,67.0,72.512,4,65.04,64.0,28.0,36.0,515.03,4,40.6
8.721,0.09,26,41.739,39.793,10,67.0,72.228,4,64.203,64.0,30.0,34.0,462.6,4,40.6
6.469,0.045,24,40.188,40.236,14,67.0,74.342,4,66.65,64.0,27.0,37.0,530.55,4,37.5
7.26,0.047,23,38.426,38.71,13,64.0,70.927,4,63.767,61.0,25.0,36.0,516.52,4,37.7
7.638,0.088,27,42.983,41.288,10,68.0,73.312,5,65.421,65.0,29.0,36.0,487.61,4,41.5
7.581,0.055,28,44.739,44.543,12,73.0,79.631,5,71.425,69.0,28.0,41.0,577.61,3,40.6
7.602,0.086,27,43.313,42.47,11,70.0,76.663,4,68.625,67.0,29.0,38.0,530.6,4,40.3
6.42,0.053,29,46.256,45.575,14,76.0,82.963,4,74.09,72.0,31.0,41.0,578.64,3,40.3
6.097,0.09,26,41.739,39.793,10,67.0,72.228,4,64.203,64.0,30.0,34.0,462.6,4,40.6
7.182,0.048,22,37.671,38.204,12,63.0,70.01,5,62.985,60.0,24.0,36.0,517.51,4,36.7
7.0,0.06,25,40.733,40.522,12,67.0,74.133,4,66.323,64.0,27.0,37.0,526.56,3,39.1
9.081,0.086,27,43.5,41.32,11,70.0,75.644,4,67.087,67.0,32.0,35.0,476.63,4,40.3
5.903,0.041,28,44.495,44.048,13,73.0,79.548,4,71.207,69.0,29.0,40.0,564.61,3,40.6
6.292,0.045,23,39.432,39.731,13,66.0,73.425,5,65.869,63.0,26.0,37.0,531.54,4,36.5
9.921,0.056,30,45.159,43.845,10,72.0,75.698,4,67.901,67.0,28.0,39.0,530.62,3,44.8
6.7,0.076,31,48.995,47.331,10,79.0,82.308,7,73.625,73.0,31.0,42.0,565.69,4,42.5
7.1,0.079,28,47.034,45.737,13,76.0,81.137,7,72.53,71.0,30.0,41.0,586.1,3,39.4
6.9,0.074,21,35.443,34.615,6,54.0,56.412,6,51.425,50.0,18.0,32.0,473.35,3,42.0
6.1,0.074,21,35.443,34.615,6,54.0,56.412,6,51.425,50.0,18.0,32.0,473.35,3,42.0
6.5,0.074,21,34.585,33.788,6,54.0,56.468,6,51.102,50.0,19.0,31.0,438.91,3,42.0
8.4,0.07,22,36.159,36.465,7,57.0,60.903,6,55.523,53.0,18.0,35.0,506.91,3,41.5
6.0,0.074,21,34.585,33.788,6,54.0,56.468,6,51.102,50.0,19.0,31.0,438.91,3,42.0
8.6,0.077,27,42.108,40.841,6,65.0,67.299,6,60.869,60.0,23.0,37.0,515.01,3,45.0
6.9,0.074,25,42.33,41.104,10,68.0,71.422,7,64.182,63.0,26.0,37.0,524.03,4,39.7
7.3,0.097,23,38.159,37.444,8,62.0,65.774,6,59.2,58.0,24.0,34.0,464.53,5,39.7
7.6,0.074,21,34.523,34.171,6,54.0,56.808,6,51.614,50.0,18.0,32.0,456.9,3,42.0
7.9,0.074,21,35.938,34.813,6,54.0,56.31,6,51.331,50.0,18.0,32.0,517.8,3,42.0
7.6,0.067,23,36.875,38.314,8,60.0,65.393,6,59.621,56.0,18.0,38.0,540.47,3,41.1
7.6,0.069,26,44.642,42.938,11,72.0,76.126,8,67.84,67.0,29.0,38.0,537.08,3,38.8
6.3,0.074,21,34.585,33.788,6,54.0,56.468,6,51.102,50.0,19.0,31.0,438.91,3,42.0
7.7,0.068,27,45.398,43.443,12,73.0,77.043,7,68.621,68.0,30.0,38.0,536.09,3,39.7
7.0,0.074,26,43.12,41.884,8,68.0,71.295,8,64.072,63.0,25.0,38.0,533.04,3,41.3
5.6,0.079,26,39.762,38.025,7,63.0,66.189,4,59.109,59.0,26.0,33.0,442.56,3,44.1
7.8,0.074,21,35.443,34.615,6,54.0,56.412,6,51.425,50.0,18.0,32.0,473.35,3,42.0
7.6,0.067,23,37.25,36.014,8,60.0,63.355,6,56.545,56.0,24.0,32.0,432.53,3,41.1
7.85,0.105,28,47.37,45.19,12,76.0,81.584,6,72.614,72.0,33.0,39.0,553.12,4,38.9
6.6,0.074,21,35.443,34.615,6,54.0,56.412,6,51.425,50.0,18.0,32.0,473.35,3,42.0
6.8,0.074,21,35.443,34.615,6,54.0,56.412,6,51.425,50.0,18.0,32.0,473.35,3,42.0
6.7,0.074,21,33.728,32.96,6,54.0,56.524,6,50.778,50.0,20.0,30.0,404.47,3,42.0
8.1,0.086,22,36.801,36.029,7,58.0,61.093,6,55.313,54.0,21.0,33.0,468.94,4,40.7
6.9,0.074,21,33.603,33.727,6,54.0,57.204,6,51.803,50.0,18.0,32.0,440.45,3,42.0
7.3,0.116,25,43.091,41.631,10,69.0,73.837,7,66.065,65.0,28.0,37.0,526.05,4,38.5
8.2,0.07,26,43.233,41.804,11,71.0,74.893,7,66.741,66.0,29.0,37.0,503.62,4,39.4
6.9,0.075,27,43.114,41.863,7,67.0,69.797,7,62.971,62.0,24.0,38.0,530.03,3,43.5
7.8,0.079,28,47.159,44.97,13,76.0,80.458,7,71.505,71.0,32.0,39.0,550.12,3,39.4
4.481,0.07,30,44.341,41.374,11,71.0,73.643,2,65.112,66.0,32.0,34.0,452.64,2,45.5
4.131,0.074,27,41.489,39.277,12,68.0,70.647,2,62.883,63.0,30.0,33.0,446.59,4,42.9
4.0,0.082,24,38.466,35.508,11,61.0,63.733,2,56.421,57.0,28.0,29.0,408.61,2,42.1
4.921,0.092,32,47.557,44.616,11,76.0,79.268,2,70.323,71.0,34.0,37.0,494.68,3,45.1
4.432,0.078,26,41.296,38.503,11,64.0,67.116,2,59.876,60.0,28.0,32.0,471.46,2,43.3
5.004,0.075,27,41.154,39.524,12,67.0,71.663,2,63.65,63.0,29.0,34.0,470.58,2,42.9
4.0,0.076,26,40.586,37.869,11,66.0,69.727,3,61.33,62.0,31.0,31.0,417.6,2,41.9
