pXC50,Sp,Si,Sv,nAT,Se,nBT,nSK,nC,MW,nH,nBO,Me,nAB,SCBO,O.,RBN,AMW
7.836,22.404,39.824,22.084,35,35.916,36,20,13,277.31,15,21,1.026,10,29.0,11.4,5,7.923
10.097,25.671,40.458,23.004,36,35.996,37,19,14,372.23,17,20,1.0,10,26.0,5.6,4,10.34
5.975,22.404,39.824,22.084,35,35.916,36,20,13,277.31,15,21,1.026,10,29.0,11.4,5,7.923
5.726,26.824,42.96,24.928,38,38.869,39,22,14,417.23,16,23,1.023,10,31.0,10.5,5,10.98
7.31,22.404,39.824,22.084,35,35.916,36,20,13,277.31,15,21,1.026,10,29.0,11.4,5,7.923
8.161,24.012,41.737,22.687,37,36.927,38,19,15,258.35,18,20,0.998,11,26.5,5.4,5,6.982
8.092,30.506,54.109,28.487,48,47.687,49,23,19,315.45,25,24,0.993,11,30.5,6.3,8,6.572
10.699,29.222,47.863,27.907,43,43.036,45,24,20,321.4,19,26,1.001,16,36.0,7.0,6,7.474
7.074,31.557,54.713,31.111,48,49.341,50,28,21,391.42,20,30,1.028,16,39.0,6.3,6,8.155
8.086,38.79,67.355,36.068,60,59.338,62,29,25,393.57,31,31,0.989,16,40.0,5.0,11,6.559
5.42,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
7.538,32.199,54.903,30.675,49,49.131,51,26,21,353.45,23,28,1.003,16,37.0,8.2,7,7.213
6.48,31.534,52.567,29.74,47,46.694,50,25,21,334.45,22,28,0.993,16,37.0,4.3,6,7.116
4.79,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
8.3,24.551,35.464,21.643,32,32.087,33,18,13,375.25,14,19,1.003,10,25.0,6.3,4,11.727
8.4,24.654,40.159,22.853,36,35.902,38,19,15,275.4,17,21,0.997,10,27.0,5.6,5,7.65
9.1,21.063,38.341,21.31,33,34.582,34,20,13,286.28,13,21,1.048,10,27.0,6.1,4,8.675
9.523,20.699,36.033,19.853,32,32.269,33,17,13,233.29,15,18,1.008,10,24.0,9.4,4,7.29
6.322,33.131,59.147,33.787,51,53.763,53,32,22,459.42,19,34,1.054,16,43.0,5.9,6,9.008
8.062,32.642,49.999,29.751,45,44.989,47,25,20,449.31,20,27,1.0,16,36.0,6.7,6,9.985
7.455,34.961,59.318,33.202,53,53.014,55,28,23,379.49,25,30,1.0,16,40.0,7.5,9,7.16
7.678,29.983,50.279,28.434,45,44.92,47,24,20,323.42,21,26,0.998,16,35.0,6.7,6,7.187
6.467,32.267,57.524,30.014,51,50.571,53,24,20,329.48,27,26,0.992,10,32.0,5.9,6,6.46
7.715,32.199,54.903,30.675,49,49.131,51,26,21,353.45,23,28,1.003,16,37.0,8.2,7,7.213
7.06,28.773,48.152,27.214,43,42.811,45,23,19,308.41,20,25,0.996,16,34.0,4.7,5,7.172
11.0,30.983,51.279,29.434,46,45.92,48,25,21,335.43,21,27,0.998,16,37.0,6.5,7,7.292
9.119,35.819,61.813,33.321,55,54.345,57,27,23,364.53,28,29,0.988,16,38.0,3.6,10,6.628
7.469,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,6,6.661
7.222,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,7,6.41
5.89,31.392,51.511,29.568,46,46.018,48,25,20,356.88,21,27,1.0,16,36.0,4.3,6,7.758
6.2,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
7.62,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
9.201,36.819,62.813,34.321,56,55.345,59,28,24,376.54,28,31,0.988,16,40.0,3.6,10,6.724
8.879,26.767,44.654,25.192,40,39.709,43,21,18,281.38,19,24,0.993,11,30.5,5.0,4,7.034
8.4,22.25,38.322,21.16,34,34.043,35,18,14,244.32,16,19,1.001,11,25.5,5.9,4,7.186
7.432,32.199,54.903,30.675,49,49.131,51,26,21,353.45,23,28,1.003,16,37.0,8.2,7,7.213
8.1,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,7,6.61
6.889,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,3,6.533
10.921,29.745,51.694,27.961,46,45.803,48,23,19,313.43,23,25,0.996,11,31.5,6.5,5,6.814
7.9,23.006,39.239,21.665,35,34.825,36,18,15,243.33,17,19,0.995,11,25.5,5.7,4,6.952
8.824,23.012,40.737,21.687,36,35.927,38,18,14,246.34,18,20,0.998,6,24.0,5.6,2,6.843
8.363,25.313,42.445,23.477,38,37.382,40,19,17,253.37,19,21,0.984,11,27.5,2.6,4,6.668
10.824,27.983,48.279,26.434,43,42.92,45,22,18,299.4,21,24,0.998,11,30.5,7.0,4,6.963
8.724,30.29,51.484,28.246,46,45.476,49,23,20,309.44,23,26,0.989,11,32.5,4.3,5,6.727
9.097,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,3,6.907
9.658,27.529,47.069,25.719,42,41.592,44,21,18,283.4,21,23,0.99,11,29.5,4.8,5,6.748
8.618,23.012,40.737,21.687,36,35.927,37,18,14,246.34,18,19,0.998,10,25.0,5.6,4,6.843
10.155,31.506,55.109,29.487,49,48.687,51,24,20,327.46,25,26,0.994,11,32.5,6.1,6,6.683
8.187,23.551,39.029,21.951,35,34.498,37,18,16,239.34,17,20,0.986,11,26.5,2.9,3,6.838
8.4,22.699,38.033,21.853,34,34.269,36,19,15,257.31,15,21,1.008,10,28.0,8.8,3,7.568
9.5,31.983,52.279,30.434,47,46.92,49,26,22,347.44,21,28,0.998,17,38.5,6.4,6,7.392
6.2,36.762,63.189,35.025,56,56.109,59,30,23,406.53,26,33,1.002,20,44.0,5.4,8,7.259
7.4,24.222,42.863,22.907,38,38.036,39,19,15,261.35,19,20,1.001,6,25.0,7.9,6,6.878
9.102,25.313,42.445,23.477,38,37.382,40,19,17,253.37,19,21,0.984,11,27.5,2.6,4,6.668
8.886,27.074,45.86,25.004,41,40.265,43,20,18,267.4,21,22,0.982,11,28.5,2.4,4,6.522
8.638,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,6,6.676
6.74,28.773,48.152,27.214,43,42.811,45,23,19,308.41,20,25,0.996,16,34.0,4.7,5,7.172
8.886,34.057,58.398,31.794,52,51.461,54,26,22,350.5,26,28,0.99,16,37.0,3.8,9,6.74
7.222,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,7,7.01
8.682,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,5,6.61
10.796,31.506,55.109,29.487,49,48.687,51,24,20,327.46,25,26,0.994,11,32.5,6.1,6,6.683
8.975,24.551,40.029,22.951,36,35.498,39,19,17,251.35,17,22,0.986,11,28.5,2.8,3,6.982
7.174,26.534,47.567,24.74,42,41.694,44,20,16,274.4,22,22,0.993,6,26.0,4.8,4,6.533
8.0,22.654,38.159,20.853,34,33.902,35,17,13,251.38,17,18,0.997,6,22.0,5.9,4,7.394
7.4,23.46,40.448,22.38,36,36.153,37,19,15,259.33,17,20,1.004,11,26.5,8.3,5,7.204
7.1,24.222,42.863,22.907,38,38.036,39,19,15,261.35,19,20,1.001,10,26.0,7.9,5,6.878
7.3,25.716,46.99,24.618,41,41.425,42,21,15,293.38,20,22,1.01,10,28.0,4.9,6,7.156
6.0,21.245,35.824,20.139,32,31.942,33,17,14,229.3,15,18,0.998,11,24.5,6.3,4,7.166
8.357,27.54,50.066,25.762,44,43.796,46,21,16,289.42,23,23,0.995,6,27.0,4.5,4,6.578
8.1,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,6,6.61
7.9,28.529,48.069,26.719,43,42.592,45,22,19,295.41,21,24,0.991,11,31.5,4.7,7,6.87
7.3,23.222,41.863,21.907,37,37.036,38,18,14,249.34,19,19,1.001,6,23.0,8.1,5,6.739
8.1,23.358,35.754,21.17,32,32.338,33,18,13,359.18,14,19,1.011,10,25.0,9.4,4,11.224
5.8,17.727,30.491,17.106,27,27.276,28,15,11,204.25,12,16,1.01,10,22.0,7.4,3,7.565
7.2,24.961,41.365,22.665,37,36.458,38,18,15,261.42,19,19,0.985,10,25.0,2.7,5,7.065
7.0,23.563,40.578,22.282,36,36.556,37,19,13,283.38,17,20,1.015,10,27.0,11.1,6,7.872
6.85,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,16,35.0,4.3,6,7.01
4.0,20.029,32.199,18.897,29,28.731,31,16,14,211.28,13,18,0.991,11,24.5,3.4,1,7.286
5.0,21.801,37.162,20.755,33,33.673,34,18,12,269.35,15,19,1.02,6,25.0,12.1,3,8.162
7.3,27.983,48.279,26.434,43,42.92,44,22,18,299.4,21,23,0.998,11,30.5,7.0,6,6.963
9.745,24.773,44.152,23.214,39,38.811,41,19,15,260.37,20,21,0.995,6,25.0,5.1,3,6.676
5.6,25.017,44.235,23.708,39,39.029,41,20,15,273.37,19,22,1.001,10,28.0,5.1,5,7.009
6.1,21.915,39.658,21.095,35,35.48,36,18,13,251.31,17,19,1.014,6,23.0,11.4,4,7.18
8.1,23.466,41.946,22.402,37,37.254,38,19,14,262.34,18,20,1.007,10,26.0,8.1,5,7.09
8.658,24.017,43.235,22.708,38,38.029,40,19,14,261.36,19,21,1.001,6,25.0,5.3,2,6.878
7.3,27.534,48.567,25.74,43,42.694,44,21,17,286.41,22,22,0.993,11,28.5,4.7,6,6.661
6.9,24.415,41.574,22.379,37,36.785,38,18,14,265.41,19,19,0.994,6,23.0,5.4,5,7.173
5.8,22.245,36.824,21.139,33,32.942,35,18,15,241.31,15,20,0.998,11,26.5,6.1,2,7.312
4.5,24.699,40.033,23.853,36,36.269,38,21,17,281.33,15,23,1.007,12,31.0,8.3,3,7.815
7.9,25.205,41.448,23.159,37,36.676,38,19,15,274.42,18,20,0.991,11,26.5,2.7,4,7.417
7.7,22.051,35.875,20.879,32,32.498,33,18,13,312.18,14,19,1.016,10,25.0,9.4,4,9.756
6.39,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
6.28,24.012,41.737,22.687,37,36.927,39,19,15,258.35,18,21,0.998,10,27.0,5.4,4,6.982
5.7,30.052,52.9,27.773,47,46.36,48,22,19,299.45,25,23,0.986,11,29.5,4.3,8,6.371
7.409,39.586,68.727,36.869,61,60.33,64,30,25,405.59,31,33,0.989,16,42.0,3.3,8,6.649
9.0,36.574,62.73,33.826,56,55.127,59,27,24,363.54,29,30,0.984,12,37.0,3.6,8,6.492
6.0,38.813,63.315,36.299,57,56.243,61,30,27,397.55,27,34,0.987,18,44.0,3.5,4,6.975
7.796,38.574,64.73,35.826,58,57.127,62,29,26,387.56,29,33,0.985,16,42.0,3.4,9,6.682
6.26,29.08,49.358,27.026,44,43.367,46,22,19,294.43,22,24,0.986,12,31.0,2.3,4,6.692
6.0,30.745,52.694,28.961,47,46.803,49,24,20,325.44,23,26,0.996,12,33.0,6.4,5,6.924
8.046,39.341,68.643,36.374,61,60.112,64,29,25,392.59,32,32,0.985,12,39.0,3.3,9,6.436
9.0,39.336,67.145,36.353,60,59.01,64,29,26,389.58,31,33,0.984,12,40.0,3.3,9,6.493
6.0,45.79,74.355,43.068,67,66.338,71,36,32,477.64,31,40,0.99,24,53.0,4.5,7,7.129
8.222,40.097,69.56,36.88,62,60.894,65,29,26,391.6,33,32,0.982,12,39.0,3.2,9,6.316
7.481,38.58,66.228,35.848,59,58.229,62,29,25,390.57,30,32,0.987,16,41.0,3.4,9,6.62
6.95,26.557,43.528,24.972,39,38.6,41,21,18,278.38,18,23,0.99,12,31.0,2.6,3,7.138
8.398,35.574,61.73,32.826,55,54.127,57,26,23,351.53,29,28,0.984,12,35.0,3.6,9,6.391
6.62,26.313,43.445,24.477,39,38.382,41,20,18,265.38,19,22,0.984,12,29.0,2.6,2,6.805
7.377,39.58,67.228,36.848,60,59.229,64,30,26,402.58,30,34,0.987,16,43.0,3.3,8,6.71
8.125,36.574,62.73,33.826,56,55.127,58,27,24,363.54,29,29,0.984,16,38.0,3.6,10,6.492
8.0,39.336,67.145,36.353,60,59.01,63,29,26,389.58,31,32,0.984,16,41.0,3.3,10,6.493
6.0,40.029,66.939,37.541,60,59.454,63,31,27,415.57,29,34,0.991,18,44.0,5.0,6,6.926
7.24,30.534,51.567,28.74,46,45.694,48,24,20,322.44,22,26,0.993,12,34.0,4.3,5,7.01
6.207,38.267,63.524,36.014,57,56.571,60,30,26,401.54,27,33,0.992,18,43.0,5.3,6,7.045
6.41,28.074,46.86,26.004,42,41.265,44,21,19,279.41,21,23,0.983,12,30.0,2.4,3,6.653
4.69,26.25,42.322,25.16,38,38.043,40,22,18,292.36,16,24,1.001,12,33.0,5.3,2,7.694
6.26,25.551,41.029,23.951,37,36.498,39,20,18,263.36,17,22,0.986,12,30.0,2.7,2,7.118
7.721,34.813,59.315,32.299,53,52.243,55,26,23,349.51,27,28,0.986,16,37.0,3.8,9,6.595
5.0,31.33,51.491,29.83,46,46.542,48,26,19,372.48,20,28,1.012,16,39.0,8.7,6,8.097
6.0,39.841,67.958,38.691,60,60.992,63,34,27,469.54,26,37,1.017,18,47.0,5.0,6,7.826
8.699,40.097,69.56,36.88,62,60.894,65,29,26,391.6,33,32,0.982,12,39.0,3.2,10,6.316
9.0,38.336,66.145,35.353,59,58.01,62,28,25,377.57,31,31,0.983,12,38.0,3.4,9,6.399
8.699,39.097,68.56,35.88,61,59.894,63,28,25,379.59,33,30,0.982,12,37.0,3.3,11,6.223
5.0,31.085,50.306,29.756,45,45.462,47,26,20,370.86,19,28,1.01,16,38.0,6.7,5,8.241
5.6,31.773,51.152,30.214,46,45.811,49,26,22,344.44,20,29,0.996,21,40.5,4.3,5,7.488
6.26,31.052,53.9,28.773,48,47.36,49,23,20,311.46,25,24,0.987,12,31.0,4.2,8,6.489
6.15,25.313,42.445,23.477,38,37.382,39,19,17,253.37,19,20,0.984,12,27.0,2.6,5,6.668
8.6,26.529,46.069,24.719,41,40.592,42,20,17,271.39,21,21,0.99,11,27.5,4.9,5,6.619
8.37,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,6,6.41
8.699,24.767,42.654,23.192,38,37.709,39,19,16,257.36,19,20,0.992,11,26.5,5.3,5,6.773
6.307,30.296,52.983,28.267,47,46.578,50,23,19,312.45,24,26,0.991,10,32.0,4.3,5,6.648
7.066,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,5,6.661
6.14,29.296,51.983,27.267,46,45.578,48,22,18,300.44,24,24,0.991,10,30.0,4.3,5,6.531
6.83,29.296,51.983,27.267,46,45.578,48,22,18,300.44,24,24,0.991,10,30.0,4.3,4,6.531
6.316,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,4,6.661
5.66,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,3,6.809
8.31,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,5,6.533
6.146,32.057,56.398,29.794,50,49.461,53,24,20,326.48,26,27,0.989,10,33.0,4.0,5,6.53
6.77,31.057,55.398,28.794,49,48.461,51,23,19,314.47,26,25,0.989,10,31.0,4.1,5,6.418
6.52,31.057,55.398,28.794,49,48.461,51,23,19,314.47,26,25,0.989,10,31.0,4.1,5,6.418
6.513,30.296,52.983,28.267,47,46.578,50,23,19,312.45,24,26,0.991,10,32.0,4.3,5,6.648
9.0,25.773,45.152,24.214,40,39.811,42,20,16,272.38,20,22,0.995,10,28.0,5.0,2,6.809
8.102,59.648,106.388,56.867,94,94.581,97,48,36,662.86,46,51,1.006,20,65.0,8.5,21,7.052
7.617,63.171,113.218,59.92,100,100.348,103,50,38,690.92,50,53,1.003,20,67.0,8.0,23,6.909
6.412,52.307,92.72,48.954,82,81.505,85,40,32,546.78,42,43,0.994,20,55.0,4.9,17,6.668
4.0,16.273,28.282,15.392,25,24.949,26,13,10,176.24,12,14,0.998,10,19.0,4.0,2,7.05
7.154,31.966,57.817,30.224,51,51.116,52,25,19,346.47,26,26,1.002,10,33.0,7.8,10,6.794
8.54,26.534,47.567,24.74,42,41.694,43,20,16,274.4,22,21,0.993,10,27.0,4.8,6,6.533
8.06,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,4,6.676
7.71,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,6,6.41
7.72,28.989,50.777,27.455,45,45.022,46,23,18,314.42,22,24,1.0,12,31.0,6.7,7,6.987
7.48,27.887,47.409,25.766,42,41.923,43,21,16,353.29,21,22,0.998,10,28.0,4.8,6,8.412
6.02,32.296,54.983,30.267,49,48.578,51,25,21,336.47,24,27,0.991,16,36.0,4.1,7,6.867
7.0,28.989,50.777,27.455,45,45.022,46,23,18,314.42,22,24,1.0,12,31.0,6.7,7,6.987
6.11,26.773,46.152,25.214,41,40.811,42,21,17,284.39,20,22,0.995,12,29.0,4.9,6,6.936
8.75,24.773,44.152,23.214,39,38.811,40,19,15,260.37,20,20,0.995,10,26.0,5.1,5,6.676
7.3,28.534,49.567,26.74,44,43.694,45,22,18,298.42,22,23,0.993,12,30.0,4.5,7,6.782
7.39,18.699,34.033,17.853,30,30.269,30,15,11,209.27,15,15,1.009,6,19.0,10.0,5,6.976
8.28,19.25,35.322,18.16,31,31.043,31,15,11,208.29,16,15,1.001,6,19.0,6.5,5,6.719
7.8,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,6,6.61
6.301,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,6,7.134
6.301,26.222,44.863,24.907,40,40.036,41,21,17,285.37,19,22,1.001,12,29.0,7.5,6,7.134
8.9,25.767,43.654,24.192,39,38.709,41,20,17,269.37,19,22,0.993,11,28.5,5.1,5,6.907
6.2,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
6.0,18.938,32.618,18.327,29,29.385,30,16,12,219.26,13,17,1.013,6,22.0,10.3,3,7.561
6.9,22.46,39.448,21.38,35,35.153,36,18,14,247.32,17,19,1.004,10,25.0,8.6,5,7.066
7.469,29.296,51.983,27.267,46,45.578,48,22,18,300.44,24,24,0.991,10,30.0,4.3,5,6.531
6.64,26.767,44.654,25.192,40,39.709,41,21,18,281.38,19,22,0.993,12,30.0,5.0,5,7.034
8.22,28.296,50.983,26.267,45,44.578,46,21,17,288.43,24,22,0.991,10,28.0,4.4,5,6.41
6.04,29.074,47.86,27.004,43,42.265,45,22,20,291.42,21,24,0.983,12,32.0,2.3,5,6.777
5.82,27.534,48.567,25.74,43,42.694,45,21,17,286.41,22,23,0.993,10,29.0,4.7,4,6.661
8.52,28.222,46.863,26.907,42,42.036,44,23,19,309.39,19,25,1.001,12,33.0,7.1,3,7.366
8.31,28.296,50.983,26.267,45,44.578,47,21,17,288.43,24,23,0.991,6,27.0,4.4,5,6.41
8.274,47.012,79.477,44.331,71,70.65,74,37,31,498.67,34,40,0.995,22,53.0,5.6,12,7.024
9.699,28.296,50.983,26.267,45,44.578,47,21,17,288.43,24,23,0.991,6,27.0,4.4,5,6.41
6.172,40.483,68.149,38.256,61,60.781,64,32,27,431.57,29,35,0.996,18,45.0,6.6,7,7.075
9.432,29.29,50.484,27.246,45,44.476,47,22,19,297.43,23,24,0.988,11,30.5,4.4,6,6.61
6.0,37.813,62.315,35.299,56,55.243,59,29,26,385.54,27,32,0.986,18,42.0,3.6,5,6.885
8.18,26.779,47.651,25.235,42,41.912,45,21,16,287.4,21,24,0.998,6,28.0,4.8,3,6.843
5.8,23.767,41.654,22.192,37,36.709,38,18,15,245.35,19,19,0.992,10,25.0,5.4,5,6.631
8.886,37.58,65.228,34.848,58,57.229,60,28,24,378.56,30,30,0.987,16,39.0,3.4,10,6.527
8.5,27.529,47.069,25.719,42,41.592,43,21,18,283.4,21,22,0.99,11,29.5,4.8,6,6.748
5.0,27.767,45.654,26.192,41,40.709,43,22,19,293.39,19,24,0.993,16,33.0,4.9,5,7.156
8.658,25.222,43.863,23.907,39,39.036,40,20,16,273.36,19,21,1.001,11,27.5,7.7,5,7.009
8.4,25.222,43.863,23.907,39,39.036,40,20,16,273.36,19,21,1.001,11,27.5,7.7,6,7.009
5.27,34.057,58.398,31.794,52,51.461,54,26,22,350.5,26,28,0.99,16,37.0,3.8,7,6.74
6.8,22.654,38.159,20.853,34,33.902,35,17,13,251.38,17,18,0.997,6,22.0,5.9,4,7.394
6.64,29.983,50.279,28.434,45,44.92,47,24,20,323.42,21,26,0.998,16,35.0,6.7,6,7.187
5.852,38.824,66.311,36.342,59,58.447,63,30,25,403.57,29,34,0.991,16,43.0,3.4,7,6.84
7.638,29.773,49.152,28.214,44,43.811,47,24,20,320.42,20,27,0.996,16,36.0,4.5,6,7.282
9.54,21.25,37.322,20.16,33,33.043,34,17,13,232.31,16,18,1.001,10,24.0,6.1,4,7.04
7.276,30.529,50.069,28.719,45,44.592,47,24,21,319.43,21,26,0.991,17,35.5,4.4,5,7.098
6.0,33.086,54.856,31.047,49,48.469,53,26,22,345.48,23,30,0.989,16,39.0,2.0,3,7.051
6.964,35.307,60.979,33.31,54,53.781,57,28,22,378.52,26,31,0.996,16,40.0,3.7,6,7.01
7.11,24.654,40.159,22.853,36,35.902,37,19,15,275.4,17,20,0.997,11,27.5,5.6,4,7.65
9.058,24.199,38.949,22.138,35,34.574,36,18,15,259.4,17,19,0.988,11,25.5,2.9,4,7.411
6.879,32.29,53.484,30.246,48,47.476,50,25,22,333.46,23,27,0.989,17,36.5,4.2,6,6.947
7.389,39.586,68.727,36.869,61,60.33,64,30,25,405.59,31,33,0.989,16,42.0,3.3,8,6.649
7.42,36.063,61.896,33.815,55,54.563,58,28,23,377.53,27,31,0.992,16,40.0,3.6,7,6.864
6.509,24.352,40.451,23.062,36,36.447,37,20,14,292.39,16,21,1.012,11,29.5,8.3,4,8.122
7.071,35.654,58.323,33.314,52,51.909,55,28,22,442.39,24,31,0.998,16,40.0,3.8,6,8.507
5.583,29.568,48.076,28.304,43,43.658,45,25,18,358.45,18,27,1.015,16,38.0,9.3,6,8.336
6.321,25.108,41.368,23.567,37,37.229,38,20,15,291.4,17,21,1.006,11,29.5,8.1,4,7.876
6.561,32.745,54.694,30.961,49,48.803,51,26,22,349.46,23,28,0.996,17,37.5,6.1,6,7.132
6.527,32.745,54.694,30.961,49,48.803,51,26,22,349.46,23,28,0.996,17,37.5,6.1,6,7.132
7.22,36.267,61.524,34.014,55,54.571,57,28,24,377.52,27,30,0.992,17,39.5,5.5,8,6.864
6.9,34.949,53.205,31.563,48,47.545,50,26,22,459.35,22,28,0.991,17,37.5,4.2,5,9.57
5.857,33.296,55.983,31.267,50,49.578,52,26,22,348.48,24,28,0.992,17,37.5,4.0,6,6.97
7.084,33.296,55.983,31.267,50,49.578,52,26,22,348.48,24,28,0.992,17,37.5,4.0,6,6.97
7.303,35.057,59.398,32.794,53,52.461,55,27,23,362.51,26,29,0.99,17,38.5,3.8,6,6.84
6.907,36.966,62.817,35.224,56,56.116,58,30,24,406.52,26,32,1.002,17,42.5,7.1,8,7.259
5.821,37.267,62.524,35.014,56,55.571,59,29,25,389.53,27,32,0.992,17,41.5,5.4,7,6.956
7.416,34.75,58.192,32.982,52,51.905,54,28,23,376.49,24,30,0.998,17,40.5,5.8,6,7.24
7.086,31.534,52.567,29.74,47,46.694,49,25,21,334.45,22,27,0.993,17,36.5,4.3,5,7.116
5.417,32.438,53.488,31.149,48,48.247,50,27,22,363.44,21,29,1.005,17,39.5,8.3,6,7.572
7.295,33.642,53.326,31.271,48,47.705,50,26,22,412.35,22,28,0.994,17,37.5,4.2,5,8.591
6.69,34.506,58.109,32.487,52,51.687,54,27,23,363.49,25,29,0.994,17,38.5,5.8,7,6.99
6.863,31.983,52.279,30.434,47,46.92,49,26,22,347.44,21,28,0.998,17,38.5,6.4,6,7.392
7.607,34.199,56.903,32.675,51,51.131,53,28,23,377.47,23,30,1.003,17,40.5,7.8,7,7.401
5.274,29.443,51.986,28.17,46,46.349,48,24,18,330.42,22,26,1.008,10,33.0,8.7,6,7.183
5.57,25.921,45.156,25.116,40,40.582,41,22,16,302.36,18,23,1.015,10,31.0,10.0,7,7.559
5.0,28.989,50.777,27.455,45,45.022,47,23,18,314.42,22,25,1.0,10,32.0,6.7,5,6.987
5.0,22.517,40.55,23.025,35,36.909,36,22,14,314.29,13,23,1.055,10,30.0,8.6,4,8.98
5.411,28.438,49.488,27.149,44,44.247,46,23,18,315.4,21,25,1.006,10,32.0,9.1,6,7.168
5.0,25.608,42.452,25.283,38,38.924,40,23,17,313.33,15,25,1.024,15,34.5,13.2,6,8.246
5.087,25.921,45.156,25.116,40,40.582,42,22,16,302.36,18,24,1.015,10,31.0,10.0,6,7.559
8.009,36.517,63.106,34.53,56,55.891,59,29,23,393.53,27,32,0.998,16,41.0,5.4,7,7.027
7.757,36.517,63.106,34.53,56,55.891,59,29,23,393.53,27,32,0.998,16,41.0,5.4,7,7.027
7.633,20.006,36.239,18.665,32,31.825,32,15,12,207.3,17,15,0.995,6,19.0,6.3,5,6.478
6.0,23.71,42.03,22.896,37,37.473,38,20,14,275.34,17,21,1.013,10,28.0,8.1,5,7.442
5.0,24.398,40.325,24.063,36,36.814,38,22,16,298.32,14,24,1.023,15,33.5,11.1,5,8.287
6.724,22.705,39.531,21.875,35,35.371,36,19,14,260.32,16,20,1.011,10,27.0,8.6,4,7.438
6.83,36.063,61.896,33.815,55,54.563,58,28,23,377.53,27,31,0.992,16,40.0,3.6,6,6.864
6.515,35.455,60.983,34.213,54,54.552,57,30,22,408.5,24,33,1.01,16,44.0,7.4,7,7.565
6.099,36.574,62.73,33.826,56,55.127,59,27,24,363.54,29,30,0.984,12,37.0,3.6,6,6.492
6.508,35.302,59.481,33.289,53,52.68,57,28,23,375.51,25,32,0.994,16,41.0,3.8,4,7.085
6.968,34.302,58.481,32.289,52,51.68,55,27,22,363.5,25,30,0.994,16,39.0,3.8,6,6.99
7.389,36.063,61.896,33.815,55,54.563,58,28,23,377.53,27,31,0.992,16,40.0,3.6,6,6.864
6.919,30.302,54.481,28.289,48,47.68,50,23,18,315.46,25,25,0.993,10,31.0,4.2,6,6.572
5.748,37.517,64.106,35.53,57,56.891,61,30,24,405.54,27,34,0.998,16,43.0,5.3,5,7.115
8.239,36.517,63.106,34.53,56,55.891,59,29,23,393.53,27,32,0.998,16,41.0,5.4,7,7.027
8.229,32.745,54.694,30.961,49,48.803,51,26,22,349.46,23,28,0.996,17,37.5,6.1,6,7.132
6.903,34.506,58.109,32.487,52,51.687,54,27,23,363.49,25,29,0.994,17,38.5,5.8,7,6.99
5.272,26.682,47.571,25.643,42,42.465,43,22,16,304.38,20,23,1.011,10,30.0,9.5,6,7.247
5.0,26.614,44.95,26.304,40,41.025,42,24,17,328.35,16,26,1.026,15,35.5,12.5,6,8.209
5.0,20.943,36.116,20.348,32,32.487,33,18,13,246.29,14,19,1.015,10,26.0,9.4,4,7.697
5.914,25.466,43.946,24.402,39,39.254,41,21,16,286.36,18,23,1.007,10,30.0,7.7,5,7.343
7.462,38.733,67.73,36.772,60,60.101,63,31,24,423.56,29,34,1.002,16,43.0,6.7,8,7.059
