pXC50,CATS2D_09_AL,CATS2D_09_AN,CATS2D_09_DL,SpMin2_Bh.p.,nArOR,MATS3i,MATS3p,GATS3i,GATS4i,SpMin2_Bh.e.,SpMin2_Bh.i.,GATS4s,MATS7e,LOC,SpMin2_Bh.v.,SdO,SssCH2,CATS2D_08_NL,SpMAD_EA.ri.,nCrq,nCrs,GATS7v,MATS7v,nR06,Rperim,TRS,ATSC8m,SpMin1_Bh.s.,F.082,P_VSA_MR_4,MCD,Vindex,O.060,MATS7p,Xindex,SM08_EA.ri.,SM09_EA.ri.,Yindex,GATS7i,SM10_EA.ri.,nF,NsF,P_VSA_e_6,SpMax1_Bh.s.,SsF,D.Dtr06,SpMax2_Bh.s.,SpMax3_Bh.s.,ATSC7i,ATSC8i,X.,C.002,GGI5,ATSC4v,nR.Cs,nX,AECC,O.058,SM06_EA.ri.,RBF,SpMax3_Bh.e.,SpMax3_Bh.p.
8.444,2,0,2,1.88,0,-0.202,-0.212,1.309,1.062,1.765,1.735,0.358,0.034,1.608,1.893,10.758,3.603,2,1.559,3,3,1.02,-0.038,2,13,15,33.151,1.504,0,0.0,0.5,0.229,0,-0.059,0.358,11.238,12.483,0.633,1.031,13.772,0,0,0.0,7.476,0.0,137.682,6.351,4.768,1.648,1.525,0.0,3,1.215,26.616,3,0,10.423,1,8.768,0.067,3.719,3.619
5.553,2,0,1,2.054,0,-0.111,-0.134,1.196,1.056,1.938,1.912,0.749,-0.022,0.771,2.053,23.791,3.721,0,1.447,1,8,1.361,-0.313,3,18,18,50.166,1.461,0,0.0,0.439,0.152,0,-0.307,0.255,10.47,11.535,0.377,1.36,12.734,0,0,0.0,7.474,0.0,522.013,7.43,6.517,1.992,2.022,0.0,4,1.625,30.595,6,0,18.463,2,8.33,0.105,3.837,3.731
7.526,2,0,2,1.898,0,-0.3,-0.312,1.439,0.943,1.788,1.756,0.391,-0.08,2.196,1.914,10.665,0.0,2,1.522,0,0,1.57,-0.539,1,6,6,43.142,1.358,0,0.0,0.24,0.382,0,-0.53,0.598,10.479,11.613,1.048,1.549,12.816,0,0,0.0,7.476,0.0,98.137,6.351,4.777,1.892,1.899,0.0,0,1.861,23.119,4,0,10.04,1,8.21,0.105,3.685,3.583
7.638,3,0,3,1.862,0,-0.251,-0.267,1.304,1.011,1.766,1.733,0.512,0.085,0.885,1.891,11.107,2.416,3,1.525,2,2,0.943,0.043,2,15,17,34.949,1.508,0,0.0,0.577,0.242,0,-0.001,0.374,10.754,11.931,0.684,0.958,13.176,0,0,0.0,7.475,0.0,135.586,6.351,4.778,1.759,1.458,0.0,2,1.316,24.538,1,0,9.654,1,8.42,0.054,3.685,3.614
7.886,3,0,3,1.886,0,-0.153,-0.163,1.267,1.072,1.777,1.747,0.357,0.094,1.608,1.901,10.857,4.745,3,1.555,3,4,0.94,0.024,2,13,15,35.579,1.51,0,0.0,0.5,0.249,0,-0.021,0.382,11.161,12.388,0.712,0.972,13.662,0,0,0.0,7.476,0.0,139.664,6.351,4.763,1.943,1.595,0.0,4,1.41,26.693,3,0,9.577,1,8.725,0.067,3.705,3.601
5.699,3,0,3,1.926,0,-0.146,-0.153,1.259,1.037,1.825,1.792,0.357,0.081,1.547,1.946,10.992,7.213,3,1.545,3,6,0.954,0.021,2,15,17,48.46,1.518,0,0.0,0.536,0.257,0,-0.014,0.39,11.089,12.3,0.749,0.979,13.566,0,0,0.0,7.476,0.0,150.033,6.351,4.753,2.439,2.197,0.0,6,1.576,30.189,3,0,9.464,1,8.681,0.061,3.711,3.605
7.721,2,0,2,1.884,0,-0.162,-0.172,1.258,1.082,1.774,1.744,0.358,0.1,1.629,1.897,10.802,4.745,2,1.545,3,4,0.935,0.038,2,13,15,30.09,1.504,0,0.0,0.52,0.242,0,-0.014,0.373,11.118,12.342,0.68,0.978,13.614,0,0,0.0,7.476,0.0,133.744,6.351,4.771,1.592,1.347,0.0,4,1.215,25.013,3,0,9.6,1,8.682,0.07,3.701,3.595
5.638,2,0,2,1.847,0,-0.262,-0.277,1.298,1.009,1.755,1.724,0.517,0.109,0.886,1.876,11.053,2.417,2,1.525,2,2,0.859,0.123,2,15,17,27.486,1.502,0,0.0,0.6,0.235,0,0.087,0.365,10.698,11.875,0.654,0.876,13.122,0,0,0.0,7.475,0.0,129.666,6.351,4.785,1.352,1.159,0.0,2,1.011,22.928,1,0,9.68,1,8.363,0.057,3.66,3.589
6.678,5,0,2,1.844,0,-0.241,-0.268,1.28,0.993,1.742,1.709,0.469,0.112,0.886,1.87,11.013,2.395,2,1.514,2,2,0.864,0.126,2,15,17,27.18,1.502,0,0.0,0.6,0.235,0,0.081,0.365,10.69,11.87,0.654,0.888,13.117,0,0,0.0,7.475,0.0,129.666,6.351,4.852,1.31,1.139,0.0,2,1.011,22.317,1,0,9.68,1,8.352,0.058,3.656,3.583
6.745,3,0,3,1.864,0,-0.242,-0.233,1.281,1.0,1.767,1.735,0.656,0.085,0.885,1.891,11.103,2.416,3,1.528,2,2,0.943,0.043,2,15,17,34.949,1.508,0,0.0,0.577,0.242,0,-0.001,0.374,10.776,11.951,0.684,0.958,13.193,0,0,0.0,7.475,0.0,135.586,6.351,4.777,1.759,1.458,0.0,2,1.316,24.57,1,0,9.654,1,8.442,0.054,3.686,3.614
6.902,2,0,2,1.924,0,-0.154,-0.161,1.25,1.044,1.822,1.79,0.359,0.073,1.562,1.943,10.938,7.214,2,1.546,3,6,1.009,-0.013,2,15,17,43.143,1.51,0,0.0,0.556,0.25,0,-0.05,0.381,11.043,12.251,0.717,1.042,13.515,0,0,0.0,7.476,0.0,144.113,6.351,4.761,2.007,1.955,0.0,6,1.302,28.494,3,0,9.481,1,8.636,0.063,3.709,3.602
6.507,2,0,2,1.999,0,-0.201,-0.204,1.244,1.056,1.921,1.9,0.655,0.118,0.886,2.009,11.023,2.375,2,1.563,2,2,0.79,0.2,3,16,18,21.964,1.501,0,0.0,0.64,0.242,0,0.15,0.374,10.773,11.942,0.68,0.821,13.186,0,0,0.0,7.475,0.0,207.724,6.351,4.88,1.269,1.058,0.0,2,1.097,23.206,0,0,9.6,1,8.441,0.057,3.636,3.554
6.672,3,0,3,1.996,0,-0.231,-0.232,1.29,1.038,1.911,1.892,0.792,0.206,0.885,2.001,24.073,2.23,3,1.57,2,2,0.747,0.217,3,16,18,24.399,1.506,0,0.0,0.615,0.249,0,0.199,0.382,10.847,12.018,0.711,0.73,13.261,0,0,0.0,7.475,0.0,215.782,7.427,6.351,1.561,1.091,0.0,2,1.403,22.936,0,0,9.577,2,8.513,0.056,3.66,3.569
