pXC50,nBM,nCsp2,nN,nBT,nAB,Se,nAT,Si,SCBO,O.,nBO,MW,nC,N.,nH,Sp,nHet,Sv,nSK,nDB,C.,nCsp3,nCL,Mi,nO,RBN
5.678,22,19,2,54,22,49.694,50,55.567,43.0,4.0,32,370.48,24,4.0,22,34.534,4,32.74,28,0,48.0,5,0,1.111,2,5
7.658,22,19,5,81,22,75.629,76,85.763,55.0,3.9,44,527.73,31,6.6,37,49.574,8,46.68,39,0,40.8,12,0,1.128,3,10
7.268,22,19,5,80,22,74.301,75,84.554,54.0,2.7,43,511.73,31,6.7,37,49.12,7,45.965,38,0,41.3,12,0,1.127,2,10
7.523,27,22,6,75,27,69.752,70,78.806,56.5,2.9,43,508.68,30,8.6,32,46.841,8,44.406,38,0,42.9,8,0,1.126,2,10
5.2,21,17,5,41,18,40.353,39,43.99,40.0,10.3,28,351.35,17,12.8,13,26.892,9,27.073,26,3,43.6,0,0,1.128,4,6
6.2,19,17,4,40,18,38.807,38,42.697,36.0,7.9,26,322.35,17,10.5,14,26.193,7,25.864,24,1,44.7,0,0,1.124,3,5
6.3,23,18,6,43,22,40.8,40,45.069,41.0,5.0,29,346.38,18,15.0,14,27.989,8,27.665,26,1,45.0,0,0,1.127,2,5
4.509,24,20,5,72,22,66.843,67,74.813,57.0,3.0,43,523.71,30,7.5,29,46.722,8,44.045,38,1,44.8,8,0,1.117,2,6
4.795,24,20,3,58,22,54.316,54,59.78,51.0,5.6,37,455.57,26,5.6,21,38.881,7,37.137,33,1,48.1,4,0,1.107,3,6
4.301,24,20,3,65,22,61.411,61,67.82,54.0,6.6,40,499.63,28,4.9,25,42.858,8,40.905,36,1,45.9,6,0,1.112,4,9
4.67,25,21,3,57,22,53.76,53,58.574,53.0,7.5,38,469.55,26,5.7,19,38.574,8,37.325,34,2,49.1,3,0,1.105,4,6
5.301,26,19,7,67,26,62.716,62,70.399,54.0,3.2,41,487.59,26,11.3,26,41.5,10,40.231,36,0,41.9,7,0,1.135,2,8
6.836,25,21,6,61,24,60.596,58,66.714,54.0,5.2,41,528.51,25,10.3,20,39.0,13,39.547,38,1,43.1,4,0,1.15,3,8
5.6,14,10,6,55,12,53.425,53,60.505,38.0,3.8,30,404.95,19,11.3,25,34.415,9,32.654,28,2,35.8,9,1,1.142,2,8
5.917,22,18,3,53,22,48.912,49,54.651,43.0,4.1,32,371.47,23,6.1,21,33.779,5,32.235,28,0,46.9,5,0,1.115,2,5
6.914,22,18,3,53,22,48.912,49,54.651,43.0,4.1,32,371.47,23,6.1,21,33.779,5,32.235,28,0,46.9,5,0,1.115,2,5
7.092,22,18,5,59,22,54.672,55,61.853,45.0,1.8,34,399.54,24,9.1,25,37.097,6,35.09,30,0,43.6,6,0,1.125,1,6
8.046,22,18,6,79,22,73.519,74,83.637,54.0,2.7,43,512.72,30,8.1,36,48.364,8,45.46,38,0,40.5,12,0,1.13,2,10
7.854,22,18,5,80,22,74.301,75,84.554,54.0,2.7,43,511.73,31,6.7,37,49.12,7,45.965,38,0,41.3,13,0,1.127,2,10
8.222,22,18,4,68,22,63.876,64,72.019,49.0,4.7,38,458.61,27,6.3,30,42.284,7,40.078,34,0,42.2,9,0,1.125,3,9
7.959,22,18,4,73,22,67.76,68,76.434,52.0,4.4,41,484.65,29,5.9,32,45.046,7,42.605,36,0,42.6,11,0,1.124,3,9
8.301,28,24,4,75,28,69.432,70,78.225,57.0,2.9,43,504.68,32,5.7,32,47.591,6,44.89,38,0,45.7,8,0,1.117,2,10
8.222,22,18,5,74,22,68.534,69,77.723,52.0,2.9,41,483.67,29,7.2,33,45.597,7,42.912,36,0,42.0,11,0,1.126,2,7
7.444,22,18,4,67,22,62.549,63,70.81,48.0,3.2,37,442.61,27,6.3,30,41.83,6,39.364,33,0,42.9,9,0,1.124,2,8
7.959,23,19,5,76,22,70.861,71,79.933,55.0,4.2,43,511.68,30,7.0,33,47.052,8,44.627,38,1,42.3,11,0,1.126,3,7
7.959,22,18,6,73,22,67.752,68,76.806,52.0,2.9,41,484.66,28,8.8,32,44.841,8,42.406,36,0,41.2,10,0,1.13,2,7
7.377,22,18,6,70,22,64.869,65,73.391,51.0,3.1,40,470.63,27,9.2,30,43.08,8,40.88,35,0,41.5,9,0,1.129,2,6
7.569,22,18,6,76,22,70.636,71,80.221,53.0,2.8,42,498.69,29,8.5,34,46.603,8,43.933,37,0,40.8,11,0,1.13,2,8
7.658,23,19,6,77,22,71.636,72,81.221,55.0,2.8,43,510.7,30,8.3,34,47.603,8,44.933,38,1,41.7,11,0,1.128,2,7
6.149,26,19,8,67,26,62.163,62,70.478,53.0,0.0,40,470.61,26,12.9,27,41.597,9,39.822,35,0,41.9,7,0,1.137,0,6
7.4,17,14,4,57,17,54.523,54,61.161,41.5,3.7,33,475.4,22,7.4,24,36.597,8,34.718,30,0,40.7,8,0,1.133,2,6
7.854,22,18,6,74,22,69.636,70,79.221,51.0,2.9,40,486.68,28,8.6,34,45.603,8,42.933,36,0,40.0,10,0,1.132,2,10
5.584,19,14,7,53,17,51.396,50,56.472,46.5,6.0,35,471.97,20,14.0,18,35.477,12,34.47,32,1,40.0,5,1,1.129,3,3
7.854,19,17,5,44,18,42.465,42,47.402,37.0,4.8,27,335.4,18,11.9,17,28.506,7,27.697,25,1,42.9,1,0,1.129,2,5
5.6,18,14,5,54,17,50.232,50,56.232,43.5,4.0,33,387.48,22,10.0,21,34.029,7,32.751,29,0,44.0,7,0,1.125,2,5
5.3,13,13,1,28,12,27.862,27,29.518,27.0,7.4,20,449.92,13,3.7,8,22.779,6,21.161,19,1,48.1,0,0,1.093,2,2
5.0,15,10,5,38,15,35.811,36,40.983,28.5,0.0,21,255.36,14,13.9,17,23.597,5,22.268,19,0,38.9,4,0,1.138,0,3
5.301,24,20,7,70,22,67.44,66,75.363,56.0,4.5,43,535.61,27,10.6,27,43.654,12,42.856,39,2,40.9,7,0,1.142,3,7
7.0,13,11,5,58,11,57.541,56,64.128,41.5,5.4,34,532.46,20,8.9,24,37.642,12,36.025,32,2,35.7,9,0,1.145,3,10
8.097,29,24,8,70,28,65.065,64,71.765,62.0,1.6,47,605.95,29,12.5,23,46.926,12,45.11,41,1,45.3,5,3,1.121,1,4
7.347,20,18,6,75,18,74.385,73,83.865,53.0,4.1,42,558.67,28,8.2,33,46.631,12,45.325,40,2,38.4,10,0,1.149,3,11
5.48,12,10,3,39,11,37.218,37,41.475,29.5,2.7,23,321.86,15,8.1,16,26.307,6,24.481,21,1,40.5,5,1,1.121,1,4
5.721,13,11,4,47,11,46.091,46,52.069,32.5,4.3,25,346.5,17,8.7,22,30.432,7,28.444,24,2,37.0,6,0,1.132,2,7
8.155,20,18,5,55,18,55.494,53,61.215,47.0,5.7,36,477.46,22,9.4,19,34.995,12,35.526,34,2,41.5,4,0,1.155,3,6
4.301,13,11,4,47,11,46.091,46,52.069,32.5,4.3,25,346.5,17,8.7,22,30.432,7,28.444,24,2,37.0,6,0,1.132,2,6
6.966,30,25,7,65,29,62.53,61,69.453,58.5,1.6,43,529.57,28,11.5,22,42.159,11,41.756,39,1,45.9,3,0,1.139,1,6
7.721,20,18,7,82,18,80.37,79,90.779,57.0,3.8,46,599.73,30,8.9,36,50.398,13,48.873,43,2,38.0,12,0,1.149,3,10
7.932,23,19,5,64,23,60.531,60,67.366,50.5,3.3,39,510.46,26,8.3,25,42.029,9,39.986,35,0,43.3,7,2,1.123,2,7
5.9,17,13,4,51,17,48.527,48,54.489,38.5,4.2,30,368.45,20,8.3,21,31.722,7,30.64,27,0,41.7,7,0,1.135,2,4
9.222,26,24,7,81,24,79.116,77,88.288,64.0,3.9,50,637.7,32,9.1,31,50.813,14,50.203,46,2,41.6,8,0,1.147,3,8
4.301,13,11,4,41,11,40.323,40,45.238,30.5,5.0,23,318.44,15,10.0,18,26.909,7,25.39,22,2,37.5,4,0,1.131,2,5
5.319,13,11,4,44,11,43.207,43,48.654,31.5,4.7,24,332.47,16,9.3,20,28.671,7,26.917,23,2,37.2,5,0,1.131,2,6
4.301,13,11,4,44,11,43.207,43,48.654,31.5,4.7,24,332.47,16,9.3,20,28.671,7,26.917,23,2,37.2,5,0,1.131,2,5
4.658,13,11,4,47,11,46.091,46,52.069,32.5,4.3,25,346.5,17,8.7,22,30.432,7,28.444,24,2,37.0,6,0,1.132,2,6
4.301,13,11,4,47,11,46.091,46,52.069,32.5,4.3,25,346.5,17,8.7,22,30.432,7,28.444,24,2,37.0,6,0,1.132,2,6
5.237,18,14,6,52,16,50.411,50,56.65,40.0,4.0,30,398.54,19,12.0,22,33.682,9,31.96,28,2,38.0,5,0,1.133,2,6
6.854,12,10,3,36,11,34.334,34,38.06,28.5,2.9,22,307.83,14,8.8,14,24.546,6,22.954,20,1,41.2,4,1,1.119,1,4
6.733,25,15,8,50,25,46.56,46,52.272,44.5,2.2,32,374.45,19,17.4,18,31.307,9,30.52,28,0,41.3,4,0,1.136,1,4
5.598,26,24,4,53,24,50.596,49,54.942,52.0,4.1,38,476.89,25,8.2,15,35.995,9,35.797,34,2,51.0,1,1,1.121,2,4
6.621,20,18,4,46,18,45.785,44,50.338,42.0,4.5,31,400.39,20,9.1,15,30.074,9,30.353,29,2,45.5,2,0,1.144,2,4
6.0,23,20,2,60,22,56.232,56,62.401,48.0,7.1,36,428.52,26,3.6,24,38.205,6,36.697,32,1,46.4,6,0,1.114,4,6
7.62,20,18,6,71,18,69.618,68,78.035,53.0,4.4,42,542.62,27,8.8,29,44.108,12,43.271,39,2,39.7,9,0,1.148,3,9
7.398,21,16,4,44,21,40.592,41,45.9,36.5,0.0,26,302.41,19,9.8,18,28.353,4,26.773,23,0,46.3,3,0,1.12,0,2
5.6,14,10,4,34,11,34.327,33,37.412,30.5,12.1,22,308.35,12,12.1,12,22.534,9,22.239,21,3,36.4,2,0,1.134,4,5
4.301,28,21,7,52,27,48.785,48,53.983,49.5,4.2,35,411.46,22,14.6,17,33.756,9,33.213,31,1,45.8,1,0,1.125,2,5
6.7,20,18,7,53,18,51.763,50,57.623,46.0,2.0,35,441.46,21,14.0,18,33.637,11,33.702,32,2,42.0,3,0,1.152,1,3
4.301,22,17,5,38,22,35.043,35,39.152,36.0,0.0,25,287.35,17,14.3,13,25.074,5,24.214,22,0,48.6,0,0,1.119,0,2
7.066,23,19,4,52,21,50.105,49,54.831,46.5,6.1,34,457.34,22,8.2,18,35.193,9,34.099,31,2,44.9,3,2,1.119,3,5
8.222,29,24,8,94,28,88.261,88,99.467,69.0,4.5,54,648.84,36,9.1,40,58.046,12,55.459,48,1,40.9,12,0,1.13,4,10
8.155,23,19,6,71,22,67.523,67,75.81,53.0,6.0,41,502.63,27,9.0,30,43.989,10,42.309,37,1,40.3,8,0,1.131,4,11
8.222,29,24,8,91,28,85.378,85,96.052,68.0,4.7,53,634.81,35,9.4,38,56.285,12,53.932,47,1,41.2,11,0,1.13,4,9
6.721,29,24,8,74,28,68.305,68,76.557,61.0,2.9,46,532.66,30,11.8,28,46.569,10,44.869,40,1,44.1,6,0,1.126,2,5
7.699,29,24,7,76,28,70.97,71,79.889,60.0,2.8,45,533.69,31,9.9,31,48.086,9,45.901,40,1,43.7,7,0,1.125,2,8
6.921,22,17,5,64,21,60.858,60,67.575,50.5,5.0,39,514.45,25,8.3,25,41.483,10,39.701,35,1,41.7,8,2,1.126,3,5
5.699,25,15,8,53,25,49.443,49,55.687,45.5,2.0,33,388.48,20,16.3,20,33.069,9,32.047,29,0,40.8,5,0,1.136,1,4
5.1,18,16,4,51,18,49.342,49,55.358,38.0,6.1,29,366.46,20,8.2,22,32.239,7,30.971,27,0,40.8,4,0,1.13,3,7
6.131,22,17,5,60,21,56.647,56,62.95,48.5,3.6,37,484.42,24,8.9,23,39.267,9,37.46,33,1,42.9,7,2,1.124,2,4
8.0,28,24,5,68,27,64.087,64,71.571,55.5,1.6,41,532.51,29,7.8,27,45.336,8,42.798,37,1,45.3,5,2,1.118,1,7
6.538,17,13,5,54,16,51.443,51,57.857,40.0,5.9,31,381.48,20,9.8,23,33.245,8,31.993,28,1,39.2,7,0,1.134,3,5
4.471,23,12,17,156,11,153.548,154,175.765,104.5,2.6,79,1052.5,56,11.0,77,97.757,21,92.027,77,4,36.4,36,0,1.141,4,44
6.8,23,18,6,46,22,43.945,43,48.535,43.0,2.3,31,394.47,19,14.0,15,30.881,9,30.048,28,1,44.2,1,0,1.129,1,3
4.6,13,11,5,33,12,31.043,31,35.152,27.0,0.0,20,239.31,13,16.1,13,21.074,5,20.214,18,1,41.9,2,0,1.134,0,1
6.699,17,13,6,52,16,49.334,49,55.73,39.0,4.1,30,366.47,19,12.2,22,32.034,8,30.772,27,1,38.8,6,0,1.137,2,4
9.0,25,23,6,84,24,80.243,80,90.601,60.0,3.8,47,584.76,33,7.5,37,52.518,10,50.085,43,1,41.3,10,0,1.133,3,9
7.06,22,17,4,48,21,46.222,45,50.416,43.5,6.7,32,431.3,20,8.9,16,32.432,9,31.573,29,1,44.4,3,2,1.12,3,4
9.0,25,23,5,93,24,90.032,89,100.64,65.0,9.0,52,659.81,35,5.6,41,57.37,13,55.308,48,1,39.3,12,0,1.131,8,14
4.301,23,16,16,162,12,158.442,160,182.093,105.0,1.3,80,1059.58,60,10.0,82,102.126,18,95.156,78,3,37.5,36,0,1.138,2,45
7.301,27,21,5,55,27,52.578,51,57.59,51.5,2.0,38,500.36,24,9.8,17,37.165,10,36.458,34,0,47.1,3,2,1.129,1,3
5.699,27,22,5,61,27,57.32,57,63.741,51.5,1.8,38,492.44,26,8.8,23,40.813,8,38.745,34,0,45.6,4,2,1.118,1,6
5.602,9,10,0,28,6,28.055,27,30.123,24.0,18.5,18,234.22,12,0.0,10,18.08,5,18.208,17,3,44.4,2,0,1.116,5,3
6.337,22,17,5,55,21,52.763,52,58.535,45.5,3.8,34,458.38,22,9.6,21,36.506,9,34.933,31,1,42.3,5,2,1.126,2,5
7.347,22,18,4,46,21,43.567,43,47.997,41.5,2.3,30,399.3,20,9.3,16,31.523,7,30.143,27,1,46.5,2,2,1.116,1,3
5.921,23,20,2,55,22,52.349,52,57.986,45.0,7.7,33,402.48,24,3.8,22,35.443,6,34.17,30,1,46.2,4,0,1.115,4,6
7.076,20,18,6,56,18,56.269,54,62.504,47.0,3.7,36,476.48,22,11.1,20,35.546,12,35.832,34,2,40.7,4,0,1.157,2,6
6.108,21,16,4,48,21,45.451,45,50.412,40.5,2.2,30,401.32,20,8.9,18,32.284,7,30.67,27,0,44.4,4,2,1.12,1,3
9.0,24,22,3,64,23,60.662,60,67.109,51.5,8.3,39,471.55,27,5.0,25,40.665,8,39.433,35,1,45.0,5,0,1.118,5,5
7.569,24,22,3,64,23,60.662,60,67.109,51.5,8.3,39,471.55,27,5.0,25,40.665,8,39.433,35,1,45.0,5,0,1.118,5,5
6.456,29,24,8,73,28,66.978,67,75.348,60.0,1.5,45,516.66,30,11.9,28,46.114,9,44.154,39,1,44.8,6,0,1.125,1,4
6.824,24,22,3,67,23,63.545,63,70.524,52.5,7.9,40,485.58,28,4.8,27,42.426,8,40.96,36,1,44.4,6,0,1.119,5,6
4.796,25,21,4,51,23,48.247,48,53.318,47.5,4.2,33,394.46,24,8.3,18,34.262,6,33.203,30,1,50.0,2,0,1.111,2,4
7.745,24,22,3,67,23,63.545,63,70.524,52.5,7.9,40,485.58,28,4.8,27,42.426,8,40.96,36,1,44.4,6,0,1.119,5,6
6.0,18,16,3,59,17,56.662,56,63.109,43.5,8.9,34,423.51,23,5.4,25,36.665,8,35.433,31,1,41.1,7,0,1.127,5,5
7.699,24,22,3,61,23,58.102,57,63.638,51.5,8.8,39,491.96,26,5.3,22,39.761,9,38.734,35,1,45.6,4,1,1.116,5,5
5.658,24,22,3,61,23,58.102,57,63.638,51.5,8.8,39,491.96,26,5.3,22,39.761,9,38.734,35,1,45.6,4,1,1.116,5,5
5.315,24,21,5,72,23,67.978,68,76.517,53.5,4.4,41,497.65,29,7.4,31,45.29,8,43.1,37,1,42.6,8,0,1.125,3,6
9.0,28,22,7,68,28,64.531,64,72.268,55.0,4.7,41,497.61,27,10.9,27,43.017,10,41.562,37,0,42.2,5,0,1.129,3,8
6.155,23,20,2,52,22,49.465,49,54.571,44.0,8.2,32,388.45,23,4.1,20,33.682,6,32.643,29,1,46.9,3,0,1.114,4,5
5.959,23,20,2,60,22,56.232,56,62.401,48.0,7.1,36,428.52,26,3.6,24,38.205,6,36.697,32,1,46.4,6,0,1.114,4,7
8.222,26,24,7,81,24,77.534,76,86.403,64.0,5.3,50,615.7,32,9.2,31,50.631,13,49.624,45,2,42.1,8,0,1.137,4,8
7.569,29,24,6,70,28,65.756,65,72.979,59.0,6.2,44,522.61,29,9.2,26,44.466,10,43.256,39,1,44.6,5,0,1.123,4,6
7.569,21,16,4,49,21,46.778,46,51.622,41.5,4.3,31,417.32,20,8.7,18,32.739,8,31.385,28,0,43.5,4,2,1.122,2,4
7.658,20,18,6,72,18,70.945,69,79.244,54.0,5.8,43,558.62,27,8.7,29,44.563,13,43.986,40,2,39.1,9,0,1.148,4,9
6.959,21,16,4,42,21,39.684,39,43.582,38.5,2.6,28,373.26,18,10.3,14,28.762,7,27.616,25,0,46.2,2,2,1.117,1,2
5.398,23,19,5,50,22,47.116,46,51.555,46.0,6.5,34,421.87,21,10.9,16,32.818,9,32.24,30,1,45.7,2,1,1.121,3,3
7.721,25,23,4,64,23,60.88,60,67.192,53.5,8.3,40,484.55,27,6.7,24,40.909,9,39.928,36,2,45.0,4,0,1.12,5,5
7.276,20,18,5,55,18,54.981,53,60.876,46.0,5.7,35,459.47,22,9.4,20,35.057,11,35.142,33,2,41.5,4,0,1.149,3,6
7.602,26,24,5,63,24,61.865,60,68.291,55.0,5.0,41,521.54,27,8.3,22,40.818,11,40.669,38,2,45.0,3,0,1.138,3,7
7.357,20,18,5,58,18,57.865,56,64.291,47.0,5.4,36,473.5,23,8.9,22,36.818,11,36.669,34,2,41.1,5,0,1.148,3,6
8.222,28,22,7,62,28,58.763,58,65.438,53.0,5.2,39,469.55,25,12.1,23,39.495,10,38.509,35,0,43.1,3,0,1.128,3,8
9.097,26,24,7,80,24,77.276,76,86.739,62.0,2.6,48,603.71,32,9.2,32,50.421,12,49.104,44,2,42.1,8,0,1.141,2,7
8.886,26,24,7,78,24,74.65,73,82.988,63.0,5.5,49,601.67,31,9.6,29,48.87,13,48.097,44,2,42.5,7,0,1.137,4,7
8.745,26,24,7,75,24,72.091,70,79.516,63.0,5.7,49,622.08,30,10.0,26,47.966,14,47.398,44,2,42.9,6,1,1.136,4,7
5.921,23,20,2,59,22,56.56,56,62.611,47.0,8.9,35,432.51,25,3.6,24,37.659,7,36.412,32,1,44.6,5,0,1.118,5,8
6.0,23,20,2,62,22,59.443,59,66.026,48.0,8.5,36,446.54,26,3.4,26,39.421,7,37.938,33,1,44.1,6,0,1.119,5,9
4.523,6,9,1,83,0,80.72,80,90.687,48.0,11.3,42,547.71,29,1.3,41,49.324,10,46.991,39,6,36.3,20,0,1.134,9,8
7.319,20,18,7,66,18,63.087,63,71.474,48.0,3.2,37,459.61,25,11.1,29,41.324,9,39.374,34,2,39.7,7,0,1.135,2,6
4.796,24,21,3,57,23,54.123,54,60.275,46.5,5.6,34,413.51,25,5.6,23,36.995,6,35.477,31,1,46.3,4,0,1.116,3,6
5.883,20,18,6,67,18,65.407,64,73.41,51.0,3.1,40,512.59,26,9.4,27,41.892,11,41.029,37,2,40.6,8,0,1.147,2,6
7.201,20,18,6,50,18,49.989,48,55.334,44.0,4.2,33,430.43,20,12.5,17,32.086,11,32.396,31,2,41.7,2,0,1.153,2,4
6.5,23,20,4,49,22,46.803,46,51.369,44.0,6.5,32,453.32,21,8.7,17,33.068,8,31.943,29,1,45.7,1,0,1.117,3,4
7.1,23,19,6,48,22,45.752,45,51.03,43.0,2.2,31,376.43,20,13.3,17,30.995,8,30.387,28,1,44.4,1,0,1.134,1,3
6.996,20,18,6,71,18,69.618,68,78.035,53.0,4.4,42,542.62,27,8.8,29,44.108,12,43.271,39,2,39.7,9,0,1.148,3,7
7.222,22,17,4,37,21,34.498,34,37.705,37.5,2.9,26,367.22,17,11.8,11,25.875,6,24.933,23,1,50.0,0,0,1.109,1,2
8.301,26,24,7,74,24,69.97,70,78.889,57.0,2.9,43,521.68,30,10.0,31,47.086,9,44.901,39,2,42.9,6,0,1.127,2,7
5.398,20,19,4,53,18,51.109,50,56.096,45.0,8.0,34,438.9,22,8.0,19,34.79,9,33.987,31,2,44.0,3,1,1.122,4,4
6.523,23,20,2,49,22,46.582,46,51.156,43.0,8.7,31,374.42,22,4.3,18,31.921,6,31.116,28,1,47.8,2,0,1.112,4,5
7.585,21,16,5,57,21,54.647,54,60.95,44.5,3.7,34,460.4,22,9.3,23,37.267,9,35.46,31,0,40.7,6,2,1.129,2,6
5.398,23,19,5,53,22,49.676,49,55.026,46.0,6.1,34,401.46,22,10.2,19,33.722,8,32.939,30,1,44.9,3,0,1.123,3,3
6.481,23,20,2,57,22,53.349,53,58.986,47.0,7.5,35,414.49,25,3.8,22,36.443,6,35.17,31,1,47.2,5,0,1.113,4,6
6.1,23,20,4,49,22,46.898,46,51.472,44.0,6.5,32,408.87,21,8.7,17,32.574,8,31.745,29,1,45.7,1,1,1.119,3,4
5.62,18,16,3,53,17,50.894,50,56.279,41.5,10.0,32,395.45,21,6.0,21,33.142,8,32.379,29,1,42.0,5,0,1.126,5,4
7.143,20,18,6,68,18,66.734,65,74.62,52.0,4.6,41,528.59,26,9.2,27,42.347,12,41.744,38,2,40.0,8,0,1.148,3,8
5.398,20,19,4,56,18,53.669,53,59.568,45.0,7.5,34,418.49,23,7.5,22,35.693,8,34.686,31,2,43.4,4,0,1.124,4,4
7.046,24,22,3,61,23,58.291,57,64.034,51.5,8.8,39,475.51,26,5.3,22,38.841,9,38.289,35,1,45.6,4,0,1.123,5,5
8.854,26,24,7,82,24,78.392,78,88.139,61.0,5.1,47,581.74,32,9.0,35,51.517,11,49.384,43,2,41.0,8,0,1.13,4,9
6.301,24,22,3,64,23,60.662,60,67.109,51.5,8.3,39,471.55,27,5.0,25,40.665,8,39.433,35,1,45.0,5,0,1.118,5,6
5.824,18,16,3,56,17,53.778,53,59.694,42.5,9.4,33,409.48,22,5.7,23,34.904,8,33.906,30,1,41.5,6,0,1.126,5,5
8.398,24,22,3,61,23,58.102,57,63.638,51.5,8.8,39,491.96,26,5.3,22,39.761,9,38.734,35,1,45.6,4,1,1.116,5,5
9.222,26,24,7,77,24,74.392,73,83.324,61.0,2.7,47,589.68,31,9.6,30,48.66,12,47.578,43,2,42.5,7,0,1.141,2,7
7.824,20,18,5,48,18,47.887,46,52.836,43.0,4.3,32,415.41,20,10.9,16,31.08,10,31.374,30,2,43.5,2,0,1.149,2,4
6.5,23,19,6,48,22,45.24,45,50.69,42.0,2.2,30,358.44,20,13.3,18,31.057,7,30.004,27,1,44.4,1,0,1.126,1,3
6.114,21,16,4,46,21,43.894,43,48.206,40.5,4.7,30,403.29,19,9.3,16,30.977,8,29.858,27,0,44.2,3,2,1.121,2,3
4.796,18,15,3,50,17,46.912,47,52.651,38.5,4.3,29,347.45,21,6.4,21,31.779,5,30.235,26,1,44.7,6,0,1.12,2,5
7.4,23,19,6,48,22,45.752,45,51.03,43.0,2.2,31,376.43,20,13.3,17,30.995,8,30.387,28,1,44.4,1,0,1.134,1,3
9.301,18,15,6,63,17,60.385,60,67.84,45.5,3.3,36,487.08,23,10.0,27,40.824,10,38.367,33,1,38.3,8,1,1.131,2,9
8.699,22,18,5,57,21,54.32,54,60.741,45.5,1.9,34,456.41,23,9.3,23,37.813,8,35.745,31,1,42.6,5,2,1.125,1,6
6.9,17,13,6,47,17,44.309,44,50.236,36.5,0.0,28,338.43,18,13.6,19,29.302,7,28.199,25,0,40.9,5,0,1.142,0,3
8.046,22,18,4,47,21,44.894,44,49.206,42.5,4.5,31,415.3,20,9.1,16,31.977,8,30.858,28,1,45.5,2,2,1.118,2,3
7.523,21,16,5,62,21,58.531,58,65.366,47.5,3.4,37,486.44,24,8.6,25,40.029,9,37.986,33,0,41.4,8,2,1.127,2,5
5.696,26,26,5,89,18,87.338,85,95.747,72.0,12.9,55,719.7,34,5.9,34,57.131,17,55.795,51,8,40.0,8,0,1.126,11,14
5.15,23,20,3,42,23,39.447,39,43.535,39.5,2.6,28,331.37,20,7.7,14,27.978,5,27.323,25,0,51.3,0,0,1.116,1,3
4.301,17,13,3,44,16,42.029,42,47.235,34.0,4.8,25,309.4,18,7.1,19,28.017,5,26.708,23,1,42.9,5,0,1.125,2,6
5.62,34,31,4,92,28,89.563,87,97.458,79.0,13.8,59,756.71,37,4.6,33,59.58,17,58.489,54,6,42.5,6,0,1.12,12,13
5.0,17,14,2,36,17,34.16,34,37.907,30.5,5.9,22,266.32,16,5.9,14,23.489,4,22.633,20,0,47.1,2,0,1.115,2,3
8.208,21,16,4,50,21,47.782,47,52.887,41.5,6.4,31,398.88,20,8.5,19,32.335,8,31.272,28,0,42.6,4,1,1.125,3,5
6.745,27,22,5,68,27,64.414,64,71.781,54.5,3.1,41,536.5,28,7.8,27,44.79,9,42.513,37,0,43.8,6,2,1.122,2,7
8.62,21,16,4,49,21,46.131,46,51.734,39.5,4.3,29,348.44,20,8.7,20,31.023,6,29.73,26,0,43.5,4,0,1.125,2,4
6.745,21,16,4,38,21,35.054,35,38.911,35.5,0.0,25,353.24,17,11.4,13,26.182,5,24.745,22,0,48.6,1,0,1.112,0,2
6.444,21,16,4,35,21,32.967,32,36.333,35.5,0.0,25,296.3,16,12.5,10,22.943,6,22.959,22,0,50.0,0,0,1.135,0,2
6.155,22,17,4,54,21,51.989,51,57.246,45.5,5.9,34,459.36,22,7.8,20,35.955,9,34.626,31,1,43.1,5,2,1.122,3,6
6.244,22,18,4,50,21,47.778,47,52.622,43.5,4.3,32,429.33,21,8.5,18,33.739,8,32.385,29,1,44.7,3,2,1.12,2,4
7.523,21,16,4,38,21,35.149,35,39.013,35.5,0.0,25,308.79,17,11.4,13,25.688,5,24.547,22,0,48.6,1,1,1.115,0,2
5.796,15,14,6,104,6,105.607,103,117.78,67.0,13.6,55,784.85,33,5.8,49,63.83,21,61.649,54,9,32.0,19,0,1.143,14,21
6.921,22,17,5,61,21,57.974,57,64.16,49.5,5.3,38,500.42,24,8.8,23,39.722,10,38.174,34,1,42.1,7,2,1.126,3,4
5.796,12,11,5,86,6,84.334,83,94.573,55.0,10.8,46,621.7,28,6.0,40,52.506,15,49.946,43,6,33.7,17,0,1.139,9,10
4.903,22,17,4,40,21,37.153,37,41.279,37.5,2.7,26,302.36,18,10.8,14,26.284,5,25.434,23,1,48.6,1,0,1.116,1,2
9.228,22,18,5,63,21,60.087,60,67.571,47.5,1.7,36,484.47,25,8.3,27,41.336,8,38.798,33,1,41.7,7,2,1.126,1,7
5.921,18,17,5,85,12,82.567,81,91.743,61.0,11.1,49,641.68,30,6.2,36,52.983,15,50.893,45,6,37.0,13,0,1.133,9,9
7.222,22,17,4,37,21,34.498,34,37.705,37.5,2.9,26,367.22,17,11.8,11,25.875,6,24.933,23,1,50.0,0,0,1.109,1,2
7.222,21,16,4,35,21,32.265,32,35.598,34.5,0.0,24,294.76,16,12.5,11,23.926,5,23.02,21,0,50.0,0,1,1.112,0,2
7.276,21,16,4,53,21,50.665,50,56.302,42.5,6.0,32,412.91,21,8.0,21,34.097,8,32.799,29,0,42.0,5,1,1.126,3,5
8.046,21,16,4,38,21,35.149,35,39.013,35.5,0.0,25,308.79,17,11.4,13,25.688,5,24.547,22,0,48.6,1,1,1.115,0,2
