pXC50,nAB,nDB,nBM,Se,nSK,Si,Sv,nAT,nCsp2,nHet,nBT,MW,nBO,nO,SCBO
7.721,18,3,21,59.294,36,65.164,39.621,58,21,10,62,553.42,40,4,52.0
5.672,17,3,20,68.305,37,76.727,42.815,68,18,9,72,501.64,41,4,52.5
6.071,6,3,9,28.047,17,30.495,18.009,27,9,6,28,234.23,18,4,24.0
7.37,12,2,14,46.323,25,51.71,29.094,46,13,7,48,360.38,27,4,35.0
7.777,12,2,14,64.171,32,72.494,38.464,64,13,9,66,461.55,34,5,42.0
5.672,17,5,22,66.269,38,73.235,42.378,65,18,12,69,537.65,42,6,55.5
4.64,17,7,24,67.723,40,75.352,43.002,66,18,15,68,546.61,42,5,57.5
5.952,12,4,16,45.309,27,49.229,29.846,44,15,9,46,408.89,29,5,39.0
9.237,12,4,16,45.309,27,49.229,29.846,44,15,9,46,408.89,29,5,39.0
8.229,12,3,15,47.193,27,51.644,30.373,46,13,9,48,410.91,29,5,38.0
6.0,12,4,16,43.982,26,48.02,29.131,43,15,8,45,392.89,28,4,38.0
8.886,12,4,16,48.193,28,52.644,31.373,47,15,9,49,422.92,30,5,40.0
9.337,12,4,16,61.273,34,67.598,38.689,60,15,11,63,508.04,37,6,47.0
5.293,12,3,15,43.905,26,48.1,28.944,43,16,7,45,372.83,28,4,37.0
5.822,12,4,16,43.982,26,48.02,29.131,43,15,8,45,392.89,28,4,38.0
8.699,12,4,16,44.985,26,49.285,29.018,44,15,8,46,374.45,28,5,38.0
9.0,12,4,16,49.196,28,53.91,31.26,48,15,9,50,404.48,30,6,40.0
8.699,12,4,16,49.407,30,53.72,31.695,47,15,11,49,442.45,32,5,42.0
7.638,12,4,16,44.204,26,48.368,28.513,43,14,9,45,375.44,28,5,38.0
7.921,12,4,16,44.204,26,48.368,28.513,43,14,9,45,375.44,28,5,38.0
8.046,11,4,15,43.734,25,47.996,28.491,43,13,8,45,378.51,27,4,36.5
7.796,11,4,15,41.175,25,44.525,27.791,40,13,9,42,398.92,27,4,36.5
7.959,11,4,15,45.062,26,49.205,29.205,44,13,9,46,394.51,28,5,37.5
6.0,12,4,16,58.294,31,65.235,36.432,58,15,8,61,441.6,34,4,44.0
6.0,12,4,16,57.512,31,64.318,35.927,57,15,9,60,442.59,34,4,44.0
9.658,12,4,16,64.156,35,71.013,40.216,63,15,11,66,522.07,38,6,48.0
9.678,12,4,16,65.712,35,73.219,41.028,65,15,10,68,520.1,38,5,48.0
9.699,12,4,16,67.814,36,75.717,42.049,67,15,11,70,535.12,39,5,49.0
7.77,11,4,15,60.022,33,66.308,38.161,59,13,11,62,512.1,36,5,45.5
7.959,11,4,15,62.582,33,69.78,38.861,62,13,10,65,491.69,36,5,45.5
9.097,11,4,16,64.582,35,71.78,40.861,64,13,10,67,515.71,38,5,49.5
4.602,18,0,18,59.229,30,67.228,36.848,60,18,4,63,402.58,33,2,42.0
4.602,17,1,18,62.105,31,71.015,38.176,63,16,5,66,416.62,34,1,43.5
7.699,18,4,22,61.178,38,66.754,42.27,60,22,11,64,689.33,42,5,55.0
8.341,12,2,14,63.069,32,70.995,38.442,63,13,8,66,458.54,35,5,43.0
5.672,23,4,27,74.632,43,82.936,48.529,74,25,10,79,577.69,48,5,63.5
8.699,12,3,15,55.949,32,61.913,36.244,55,15,10,58,550.39,35,5,44.0
7.585,12,4,16,58.436,34,64.243,37.668,57,16,11,60,531.4,37,6,47.0
6.192,12,3,16,53.083,30,58.456,34.119,52,13,10,53,496.42,31,5,42.0
8.466,18,2,20,59.52,33,66.248,37.883,59,18,9,62,467.5,36,5,47.0
7.553,18,3,22,72.272,39,80.69,45.727,72,19,9,75,547.73,42,5,56.0
6.342,12,3,16,48.098,28,52.542,31.57,47,13,9,48,467.37,29,5,40.0
8.398,12,3,15,56.109,32,62.034,35.953,55,15,10,58,503.39,35,5,44.0
7.848,12,2,14,60.512,31,67.79,36.63,60,13,9,62,448.5,33,6,41.0
5.672,17,3,20,62.538,35,69.896,39.761,62,18,9,66,473.58,39,4,50.5
8.693,12,2,14,47.651,26,52.919,29.809,47,13,8,49,376.38,28,5,36.0
5.672,17,3,20,48.683,29,53.654,32.138,48,18,7,51,389.44,32,4,43.5
4.0,16,1,18,34.12,22,37.501,24.73,34,15,5,36,401.22,24,1,35.0
4.0,20,1,22,33.993,23,36.996,25.546,34,17,5,37,333.46,26,0,39.0
5.706,20,3,23,48.062,29,52.205,32.205,47,16,9,50,430.54,32,5,45.0
5.0,11,0,11,20.956,12,23.741,13.645,21,8,3,22,159.21,13,0,18.5
6.097,12,3,16,50.982,29,55.957,33.097,50,13,9,51,481.4,30,5,41.0
7.071,23,3,26,75.189,42,84.142,48.341,75,24,9,80,563.71,47,4,61.5
6.161,6,4,10,42.313,23,46.495,25.733,41,8,9,42,342.41,24,6,31.0
6.18,12,4,16,47.869,27,52.7,30.545,47,14,8,49,388.48,29,5,39.0
7.523,12,4,16,49.196,28,53.91,31.26,48,14,9,50,404.48,30,6,40.0
5.051,21,3,24,55.996,33,61.777,36.401,55,20,9,58,446.5,36,5,49.5
4.0,12,1,14,51.905,28,58.192,32.982,52,13,5,55,376.49,31,3,40.0
5.0,12,1,14,66.541,34,75.351,41.111,67,13,6,71,459.64,38,3,47.0
5.0,12,3,16,70.272,37,78.69,43.727,70,13,9,74,523.71,41,5,52.0
5.0,12,2,15,68.869,36,77.561,42.825,69,14,7,73,487.65,40,4,50.0
5.0,12,2,15,72.752,38,81.976,45.352,73,14,7,78,513.69,43,4,53.0
5.0,12,2,15,70.97,37,80.059,43.847,71,14,8,75,502.67,41,4,51.0
5.0,12,1,14,70.425,36,79.766,43.637,71,13,6,76,485.68,41,3,50.0
5.0,12,3,16,65.287,35,72.776,41.179,65,13,8,69,494.66,39,5,50.0
5.0,12,3,16,65.287,35,72.776,41.179,65,13,8,69,494.66,39,5,50.0
5.0,12,3,16,62.403,34,69.361,39.652,62,13,8,66,480.63,38,5,49.0
7.292,6,5,12,50.702,28,55.538,31.183,49,7,12,50,431.54,29,7,39.0
8.155,12,3,15,55.065,31,61.323,34.596,54,15,9,57,426.49,34,4,43.0
8.046,18,3,21,58.283,35,64.406,38.091,57,20,10,61,475.52,39,4,51.0
8.398,18,4,22,90.545,49,100.98,55.691,89,22,14,93,677.8,53,8,66.0
7.387,17,3,20,73.901,41,82.193,45.364,72,17,14,75,570.64,44,7,55.5
8.0,23,3,26,84.214,48,93.316,52.627,82,22,16,86,663.73,52,8,66.5
7.569,17,3,20,92.749,49,103.977,55.734,91,17,16,95,683.82,53,8,64.5
7.131,17,3,20,121.127,61,136.136,70.808,119,17,20,123,860.06,65,12,76.5
7.252,23,3,26,124.345,65,139.219,74.302,122,22,21,127,909.09,70,12,84.5
7.638,23,4,27,99.076,55,110.186,61.449,97,24,17,102,759.87,60,9,75.5
6.967,12,3,16,55.956,31,62.112,35.115,55,12,10,57,444.56,33,5,44.0
7.699,23,5,28,101.254,56,112.604,62.657,99,23,19,104,794.95,61,9,77.5
8.155,23,5,28,104.138,57,116.02,64.184,102,23,19,107,808.98,62,9,78.5
7.222,23,3,26,104.618,56,117.305,63.809,103,22,17,108,774.94,61,8,75.5
5.0,12,3,15,45.323,24,50.408,28.336,45,13,6,46,347.47,25,4,34.0
8.222,12,3,15,60.091,33,66.817,37.169,59,15,10,62,454.53,36,6,45.0
4.523,12,2,14,41.254,23,45.946,26.402,41,14,5,43,310.38,25,3,33.0
4.328,12,2,14,39.447,23,43.451,26.062,39,14,6,41,328.42,25,3,33.0
5.721,12,4,16,42.102,25,45.87,27.492,41,14,8,43,360.42,27,5,37.0
4.119,12,3,15,42.658,24,47.076,27.304,42,13,7,44,346.44,26,4,35.0
6.638,12,3,15,40.851,24,44.581,26.964,40,13,8,42,364.48,26,4,35.0
4.301,11,3,14,36.967,22,40.165,24.437,36,11,8,38,338.44,24,4,32.5
6.252,11,3,14,36.185,22,39.249,23.932,35,10,9,37,339.43,24,4,32.5
8.699,12,3,15,46.389,27,50.415,29.92,45,13,10,47,410.51,29,6,38.0
7.796,12,3,15,42.502,26,45.734,28.506,41,13,10,43,414.92,28,5,37.0
8.301,12,3,15,42.691,26,46.13,28.062,41,13,10,43,398.47,28,5,37.0
6.222,12,4,16,42.178,25,45.79,27.679,41,13,9,43,380.48,27,5,37.0
6.319,12,5,17,43.505,26,46.999,28.393,42,13,10,44,396.48,28,6,39.0
9.301,12,5,17,45.156,28,48.153,29.936,43,13,12,45,446.92,30,7,41.0
7.056,6,4,11,49.298,27,54.408,30.281,48,8,10,49,395.48,28,6,37.0
6.77,6,3,10,43.313,24,47.495,26.733,42,7,9,43,354.42,25,6,33.0
9.244,10,3,13,56.32,28,63.813,33.266,56,11,8,57,388.52,29,4,37.0
7.959,12,3,15,53.334,28,59.9,32.718,53,15,7,54,383.49,29,4,38.0
6.007,30,8,38,120.014,66,132.892,75.197,118,34,20,122,945.18,70,12,93.0
6.68,6,4,11,57.949,30,64.654,34.862,57,8,10,58,437.57,31,6,40.0
7.858,12,2,14,30.054,18,33.143,20.725,30,15,3,31,257.73,19,1,27.0
8.409,6,3,9,52.218,25,59.315,30.245,52,9,7,52,349.48,25,4,31.0
7.252,17,2,19,47.683,28,52.654,31.138,47,18,7,50,377.43,31,4,41.5
9.046,0,3,3,57.869,25,66.561,31.825,58,3,7,58,355.54,25,4,28.0
5.821,12,2,15,52.792,28,58.97,33.82,53,14,4,54,396.94,29,3,39.0
7.976,12,2,14,30.243,18,33.539,20.28,30,15,3,31,241.28,19,1,27.0
8.569,22,4,26,55.982,34,60.957,38.097,55,22,9,58,541.45,37,5,52.0
5.157,16,1,17,49.887,28,55.651,31.181,49,13,9,52,383.45,31,4,40.0
8.553,6,3,9,55.101,26,62.73,31.772,55,9,7,55,363.51,26,4,32.0
4.301,12,1,13,62.021,30,70.738,36.668,62,13,6,63,418.58,31,2,38.0
5.032,18,2,21,47.818,28,52.78,32.412,48,20,3,50,368.45,30,3,43.0
4.301,12,1,13,61.239,30,69.821,36.162,61,13,7,62,419.57,31,2,38.0
4.301,12,1,13,60.465,30,68.532,35.856,60,13,7,61,420.55,31,3,38.0
4.959,12,1,13,63.349,31,71.947,37.383,63,13,7,64,434.58,32,3,39.0
5.267,12,2,15,52.469,27,59.026,32.993,53,14,3,54,362.5,28,3,38.0
8.886,6,3,9,57.985,27,66.145,33.299,58,9,7,58,377.54,27,4,33.0
5.444,12,2,15,40.934,23,45.365,26.886,41,14,3,42,306.38,24,3,34.0
8.097,12,3,15,48.836,26,53.966,30.216,48,12,9,49,399.44,27,6,36.0
5.672,17,3,20,54.854,31,60.614,35.093,54,16,9,57,441.55,34,5,45.5
5.672,17,3,20,55.636,31,61.531,35.599,55,16,8,58,440.56,34,5,45.5
5.672,17,3,20,51.971,30,57.199,33.567,51,16,9,54,427.52,33,5,44.5
8.699,12,5,17,67.883,38,74.344,41.66,65,13,15,67,580.66,40,8,51.0
9.301,12,3,15,58.938,34,64.095,36.398,56,13,13,58,505.51,36,8,45.0
9.469,12,5,17,60.931,36,66.467,38.2,58,15,14,60,529.54,38,7,49.0
6.706,17,3,20,46.767,27,51.202,30.524,46,17,7,48,385.47,29,5,40.5
8.959,12,3,15,61.822,35,67.51,37.925,59,13,13,61,519.54,37,8,46.0
8.959,12,3,15,64.705,36,70.925,39.452,62,13,13,64,533.57,38,8,47.0
8.301,12,3,15,78.73,38,89.431,46.647,79,15,8,81,523.74,40,5,49.0
5.672,17,3,20,54.854,31,60.614,35.093,54,16,9,57,441.55,34,5,45.5
5.672,17,3,20,57.738,32,64.029,36.62,57,16,9,60,455.58,35,5,46.5
5.699,6,3,9,43.382,23,48.04,25.928,42,7,9,43,346.42,24,5,30.0
4.699,22,4,26,65.527,40,71.983,43.158,64,22,12,69,540.58,45,6,60.0
4.699,22,3,25,64.218,41,70.18,42.151,61,21,14,65,573.52,45,4,59.0
4.935,12,5,17,66.414,38,71.91,41.426,64,19,12,66,530.52,40,12,51.0
4.903,6,3,9,43.8,23,48.408,26.557,43,10,6,44,320.37,24,6,30.0
6.004,18,4,22,69.414,41,74.91,44.426,67,23,12,70,566.55,44,12,57.0
5.461,18,4,22,75.182,43,81.741,47.48,73,23,12,76,594.61,46,12,59.0
4.673,24,1,25,63.993,40,68.661,42.943,62,25,10,68,542.52,46,10,59.0
4.541,12,1,13,36.92,23,39.166,23.879,35,13,8,37,320.27,25,8,32.0
5.004,12,1,13,51.894,27,57.448,31.325,51,14,7,52,376.44,28,7,35.0
4.845,0,2,2,32.262,14,36.574,17.6,32,2,4,31,202.28,13,4,15.0
8.854,18,4,23,55.651,34,60.617,38.05,55,21,7,58,471.56,37,5,52.0
5.672,17,2,19,62.101,33,69.73,38.772,62,17,7,65,447.58,36,4,46.5
5.672,17,2,19,72.854,37,82.474,44.374,73,17,8,76,504.69,40,4,50.5
5.672,17,3,20,69.381,38,77.647,44.002,69,18,10,73,533.71,42,4,53.5
7.602,18,3,22,55.651,34,60.617,38.05,55,21,7,58,471.56,37,5,51.0
5.672,17,4,21,67.934,37,75.567,42.41,67,17,11,70,526.67,40,6,52.5
7.357,12,2,14,34.833,21,37.714,23.59,34,12,6,36,324.42,23,3,31.0
5.523,12,2,14,34.833,21,37.714,23.59,34,12,6,36,324.42,23,3,31.0
6.538,12,2,14,34.389,21,37.095,24.523,34,12,6,36,432.32,23,3,31.0
6.409,12,2,14,38.531,22,41.999,25.448,38,12,6,40,336.46,24,4,32.0
6.796,12,2,14,35.647,21,38.584,23.921,35,12,6,37,322.43,23,4,31.0
6.328,12,2,14,44.298,24,48.83,28.501,44,12,6,46,364.52,26,4,34.0
6.796,12,2,14,42.742,24,46.624,27.689,42,12,7,44,366.49,26,5,34.0
6.032,12,2,14,40.069,25,43.018,26.598,38,12,9,40,390.43,27,4,35.0
7.041,12,7,19,56.967,35,61.492,35.943,54,15,15,56,489.44,37,10,50.0
7.323,12,5,17,49.884,30,54.365,31.777,48,15,11,50,414.41,32,7,43.0
7.036,12,5,17,58.753,34,64.694,36.852,57,15,12,60,469.5,37,7,48.0
6.818,12,5,17,59.534,34,65.611,37.357,58,15,11,61,468.51,37,7,48.0
6.674,12,5,17,56.651,33,62.196,35.83,55,15,11,58,454.48,36,7,47.0
6.983,12,5,17,56.651,33,62.196,35.83,55,15,11,58,454.48,36,7,47.0
7.585,12,3,15,51.222,29,56.488,32.094,50,15,9,52,399.44,31,6,40.0
6.839,12,3,15,47.011,27,51.864,29.853,46,15,8,48,369.41,29,5,38.0
8.092,12,3,15,55.88,31,62.192,34.928,55,15,9,58,424.5,34,5,43.0
7.921,12,3,15,56.662,31,63.109,35.433,56,15,8,59,423.51,34,5,43.0
7.013,12,3,15,53.778,30,59.694,33.906,53,15,8,56,409.48,33,5,42.0
8.208,12,3,15,53.778,30,59.694,33.906,53,15,8,56,409.48,33,5,42.0
8.301,17,3,20,118.21,58,132.684,68.193,116,15,20,118,844.08,60,13,71.5
9.222,17,3,20,96.927,49,108.564,56.888,95,15,17,97,711.9,51,10,62.5
9.432,12,3,16,86.225,43,96.315,50.914,85,13,13,86,622.81,44,10,55.0
7.367,17,3,20,111.887,57,124.648,65.328,109,15,21,112,830.0,60,14,71.5
8.523,17,3,20,125.305,61,140.724,71.962,123,15,21,125,888.14,63,14,74.5
8.699,6,3,10,43.869,23,48.7,26.545,43,7,8,43,340.44,23,5,31.0
8.155,17,5,22,71.767,39,79.404,44.048,70,15,15,72,581.74,41,8,54.5
10.523,11,3,14,54.571,29,60.95,32.519,53,9,12,54,429.53,30,5,38.5
10.222,17,5,22,93.051,48,103.524,55.353,91,15,18,93,713.92,50,11,63.5
10.301,11,3,14,75.854,38,85.07,43.825,74,9,15,75,561.71,39,8,47.5
9.046,11,5,16,77.88,40,87.394,45.452,76,9,17,77,584.74,41,8,51.5
8.398,17,3,20,86.167,45,96.193,51.088,84,14,17,86,654.8,47,9,58.5
9.222,11,3,14,69.531,37,77.033,40.959,67,9,16,69,547.63,39,9,47.5
4.0,22,6,28,121.749,63,136.095,71.997,119,18,25,122,925.18,66,13,83.0
6.921,18,5,24,67.167,40,73.737,44.356,66,21,11,70,558.66,44,6,60.0
8.357,18,5,23,56.305,34,61.036,37.48,55,21,9,58,479.54,37,7,51.0
5.672,17,3,20,75.181,39,84.683,46.088,75,18,9,78,532.7,42,5,53.5
5.672,17,2,19,67.6,36,75.983,41.703,67,17,9,70,494.62,39,4,49.5
8.292,18,3,22,60.091,35,66.238,40.389,60,21,6,63,483.62,38,4,52.0
5.672,23,2,25,71.087,39,79.644,45.32,71,23,8,75,524.67,43,4,56.5
5.672,17,2,19,75.738,38,85.889,45.9,76,17,8,79,518.72,41,4,51.5
7.638,18,5,23,59.171,38,63.265,39.345,56,21,13,59,549.51,41,8,55.0
5.672,17,2,19,60.545,33,67.524,37.96,60,17,8,63,449.55,36,5,46.5
5.672,17,3,20,71.516,38,80.351,44.056,71,18,10,74,519.66,41,5,52.5
5.672,17,2,19,67.087,35,75.644,41.32,67,17,8,70,476.63,38,4,48.5
5.672,17,3,20,75.181,39,84.683,46.088,75,18,9,78,532.7,42,5,53.5
5.672,17,2,20,71.97,38,81.059,44.847,72,17,8,75,514.68,41,4,53.5
5.672,17,3,20,72.298,38,81.268,44.562,72,18,9,75,518.67,41,5,52.5
5.672,17,3,20,78.065,40,88.099,47.615,78,18,9,81,546.73,43,5,54.5
5.672,17,2,19,61.32,33,68.813,38.266,61,17,8,64,448.57,36,4,46.5
5.672,17,2,19,69.97,36,79.059,42.847,70,17,8,73,490.66,39,4,49.5
6.588,18,6,24,65.171,39,71.099,43.668,64,23,10,68,565.08,43,6,58.0
5.672,17,4,21,76.585,40,85.813,46.99,76,17,11,79,568.76,43,6,55.5
7.015,18,4,22,52.974,32,57.561,35.878,52,20,8,55,469.97,35,5,48.0
7.658,18,3,22,62.974,36,69.654,41.916,63,21,6,66,497.65,39,4,53.0
7.699,18,5,23,56.516,36,60.846,37.915,54,21,11,57,517.51,39,6,53.0
6.056,6,4,11,66.043,34,73.694,39.63,65,8,11,67,493.64,36,7,45.0
7.824,18,5,24,53.313,34,57.495,36.733,52,21,9,55,474.52,37,6,53.0
5.979,18,5,23,49.535,32,52.94,34.539,48,21,9,51,469.92,35,6,49.0
9.018,18,5,23,56.054,34,60.747,37.952,55,21,9,58,495.61,37,6,51.0
7.509,18,3,22,54.323,33,59.408,37.336,54,21,6,57,455.56,36,4,50.0
8.921,18,3,22,51.764,33,55.937,36.636,51,21,7,54,475.97,36,4,50.0
6.73,6,2,8,44.207,21,49.823,25.863,44,7,6,44,313.46,21,4,26.0
5.0,12,2,15,41.556,24,45.578,27.282,41,13,6,42,343.43,25,4,35.0
5.0,12,2,15,45.767,26,50.202,29.524,45,13,7,46,373.46,27,5,37.0
6.83,6,2,8,44.207,21,49.823,25.863,44,7,6,44,313.46,21,4,26.0
5.824,6,2,9,49.091,24,55.238,29.389,49,7,6,49,351.51,24,4,31.0
5.0,12,2,15,41.556,24,45.578,27.282,41,13,6,42,343.43,25,4,35.0
5.0,12,2,15,45.767,26,50.202,29.524,45,13,7,46,373.46,27,5,37.0
5.0,18,3,21,48.622,29,52.774,33.329,48,19,7,50,447.0,31,4,43.0
5.777,6,5,12,60.134,31,66.7,36.269,59,7,11,60,472.64,32,7,42.0
7.721,12,5,18,64.134,35,70.7,40.269,63,13,11,65,520.68,37,7,50.0
8.745,22,5,27,55.927,36,60.333,38.138,54,22,11,58,507.53,40,6,56.0
9.301,18,5,24,56.978,35,61.827,38.765,56,21,8,59,487.56,38,6,54.0
7.854,18,5,23,52.418,33,56.356,36.066,51,21,9,54,483.95,36,6,50.0
8.013,18,3,22,60.091,35,66.238,40.389,60,21,6,63,483.62,38,4,52.0
6.996,18,4,22,58.862,35,64.242,39.292,58,22,8,61,489.58,38,6,51.0
6.387,6,3,9,60.312,29,68.355,35.013,60,9,8,61,405.55,30,5,36.0
6.638,6,3,9,60.312,29,68.355,35.013,60,9,8,61,405.55,30,5,36.0
6.012,6,4,11,64.269,33,71.405,38.323,63,8,11,64,482.61,34,8,43.0
6.319,12,3,15,58.938,34,64.095,36.398,56,13,13,58,505.51,36,8,45.0
6.951,12,3,15,65.498,33,73.401,39.421,65,13,9,67,476.65,35,6,44.0
8.854,12,3,15,58.938,34,64.095,36.398,56,13,13,58,505.51,36,8,45.0
7.167,12,4,17,62.731,34,69.571,39.367,62,14,9,64,484.62,36,6,48.0
5.971,6,4,11,64.498,32,72.401,38.421,64,8,9,65,464.64,33,6,42.0
6.343,12,4,17,59.847,33,66.155,37.84,59,14,9,61,470.59,35,6,47.0
4.367,11,1,12,30.385,17,33.618,19.327,30,11,4,31,231.27,18,3,24.5
4.529,12,6,18,44.72,29,47.817,31.001,43,17,11,45,451.94,31,5,43.0
4.355,6,4,10,30.375,19,32.704,19.724,29,10,7,30,262.24,20,5,27.0
4.886,6,4,10,34.585,21,37.329,21.966,33,10,8,34,292.27,22,6,29.0
6.287,12,4,16,40.142,25,43.535,26.778,39,16,7,41,338.34,27,5,37.0
4.703,12,4,16,40.465,26,43.479,27.605,39,16,8,41,372.78,28,5,38.0
4.561,12,6,18,43.015,28,46.037,28.702,41,16,10,43,383.34,30,7,42.0
6.987,12,4,16,43.025,26,46.95,28.304,42,16,7,44,352.37,28,5,38.0
7.18,12,4,16,40.465,26,43.479,27.605,39,16,8,41,372.78,28,5,38.0
6.251,12,4,16,44.353,27,48.159,29.019,43,16,8,45,368.37,29,6,39.0
6.851,12,4,16,44.353,27,48.159,29.019,43,16,8,45,368.37,29,6,39.0
7.678,12,4,16,45.891,30,49.179,30.169,43,16,11,45,422.34,32,6,42.0
7.066,12,4,16,44.102,27,47.87,29.492,43,16,8,45,384.44,29,5,39.0
6.187,12,6,18,46.756,29,50.289,30.921,45,16,10,47,416.44,31,7,43.0
6.77,12,5,17,45.353,28,49.159,30.019,44,17,8,46,380.38,30,6,41.0
5.745,12,5,17,44.571,28,48.243,29.514,43,17,9,45,381.37,30,6,41.0
5.521,12,5,17,50.338,30,55.073,32.567,49,17,9,51,409.43,32,6,43.0
6.799,11,4,15,37.335,24,40.04,25.438,36,14,8,38,344.37,26,5,35.5
8.0,28,4,32,90.134,49,100.862,57.307,90,29,11,94,680.8,53,6,71.0
5.301,6,3,9,53.891,27,61.106,32.53,54,10,6,57,369.51,30,3,36.0
5.301,6,2,8,52.891,26,60.106,31.53,53,8,6,56,357.5,29,3,34.0
5.301,6,3,9,53.891,27,61.106,32.53,54,10,6,57,369.51,30,3,36.0
9.0,6,3,9,49.789,24,56.607,29.509,50,9,5,51,330.47,25,3,31.0
8.699,6,3,9,52.672,25,60.022,31.036,53,9,5,54,344.5,26,3,32.0
5.745,6,3,9,55.556,26,63.438,32.562,56,9,5,57,358.53,27,3,33.0
7.06,6,3,9,51.327,27,57.626,30.659,50,9,8,51,384.44,28,3,34.0
8.0,6,3,9,54.0,26,61.232,31.75,54,9,6,55,360.5,27,4,33.0
7.569,6,3,9,56.883,27,64.647,33.277,57,9,6,58,374.53,28,4,34.0
5.347,6,3,9,59.767,28,68.062,34.804,60,9,6,61,388.56,29,4,35.0
7.658,6,3,9,55.538,29,62.251,32.9,54,9,9,55,414.47,30,4,36.0
4.602,18,4,22,67.934,37,75.567,42.41,67,20,11,69,526.67,39,6,52.0
4.602,12,4,16,55.283,30,61.322,33.83,54,14,11,55,436.54,31,6,41.0
5.222,12,5,17,55.367,30,60.87,34.215,54,13,11,55,456.59,31,7,42.0
5.301,6,2,8,54.992,27,62.604,32.552,55,8,7,58,372.52,30,3,35.0
5.301,0,2,2,45.007,20,51.69,25.003,45,2,6,46,283.42,21,3,23.0
5.301,6,4,10,57.865,30,65.106,34.476,57,8,10,60,417.52,33,5,40.0
5.0,6,3,10,60.614,30,67.986,35.894,60,7,9,61,438.6,31,6,39.0
5.523,6,2,8,50.007,25,56.69,30.003,50,8,6,53,343.47,28,3,33.0
8.222,12,3,16,54.865,31,60.372,35.624,54,13,9,56,507.44,33,5,44.0
6.187,6,2,8,52.109,26,59.189,31.025,52,8,7,55,358.49,29,3,34.0
6.399,6,2,9,40.44,21,44.993,24.809,40,7,6,40,309.42,21,4,28.0
5.0,6,3,10,48.534,25,54.033,29.577,48,7,7,49,365.49,26,5,34.0
5.0,6,4,11,48.054,26,52.747,29.952,47,7,9,48,399.53,27,6,36.0
6.907,12,3,16,42.884,25,46.787,27.997,42,13,7,43,359.43,26,5,37.0
5.899,6,3,10,41.767,22,46.202,25.524,41,7,7,41,325.42,22,5,30.0
6.785,12,3,16,61.731,33,68.571,38.367,61,13,9,63,472.61,35,6,46.0
6.415,12,3,16,57.749,32,63.788,37.151,57,13,9,59,521.47,34,5,45.0
8.0,12,3,15,61.516,32,68.618,38.204,61,13,9,63,525.51,34,5,43.0
5.0,6,1,8,39.113,20,43.783,24.094,39,7,5,39,293.42,20,3,26.0
5.0,12,3,16,47.094,27,51.412,30.239,46,13,8,47,389.46,28,6,39.0
5.523,6,1,8,45.88,23,51.614,28.148,46,7,5,47,333.49,24,3,30.0
5.0,6,4,11,56.847,30,63.155,34.84,56,8,9,58,434.56,32,6,41.0
5.523,6,1,8,47.763,23,54.029,28.675,48,7,5,48,335.51,23,3,29.0
6.06,12,3,15,44.313,25,48.495,27.733,43,13,9,44,366.43,26,6,35.0
5.428,6,3,9,40.313,21,44.495,23.733,39,7,9,39,318.39,21,6,27.0
5.0,5,2,7,47.552,23,53.983,27.213,47,4,8,48,324.43,24,4,28.5
4.301,5,4,9,53.982,28,60.691,31.949,53,7,10,55,391.48,30,5,36.5
8.387,12,3,15,47.509,25,52.756,29.501,47,12,8,48,383.44,26,5,35.0
7.194,12,3,15,47.509,25,52.756,29.501,47,12,8,48,383.44,26,5,35.0
5.149,12,3,15,50.393,26,56.171,31.028,50,12,8,51,397.47,27,5,36.0
4.481,6,3,9,72.032,32,82.062,40.528,72,7,9,72,472.72,32,6,38.0
5.699,6,3,9,54.847,28,61.155,32.84,54,7,9,57,410.54,31,6,37.0
7.62,12,3,15,54.603,28,60.796,33.269,54,12,9,55,427.5,29,6,38.0
9.252,12,3,15,51.72,27,57.381,31.743,51,12,9,52,413.47,28,6,37.0
6.167,12,3,15,54.603,28,60.796,33.269,54,12,9,55,427.5,29,6,38.0
5.738,18,3,21,58.291,33,63.95,37.028,57,19,10,59,472.56,35,7,47.0
6.77,12,3,15,45.138,25,49.681,28.358,44,12,9,45,387.4,26,5,35.0
6.796,12,3,15,44.949,25,49.285,28.802,44,12,9,45,403.85,26,5,35.0
4.089,6,1,7,38.138,18,43.362,21.928,38,7,5,38,252.35,18,3,22.0
5.672,17,3,20,48.676,29,54.026,31.939,48,18,8,51,389.45,32,3,43.5
5.672,17,3,20,53.669,31,59.568,34.686,53,18,8,56,418.49,34,4,45.5
8.208,12,2,14,31.058,18,34.408,20.612,31,15,3,32,239.29,19,2,27.0
6.699,12,4,16,51.08,28,56.325,31.787,50,14,9,51,406.5,29,6,39.0
7.149,24,8,32,126.294,69,141.045,78.962,125,32,18,132,941.15,76,10,96.0
6.883,24,8,32,129.177,70,144.46,80.489,128,32,18,135,955.18,77,10,97.0
6.921,24,8,32,134.945,72,151.291,83.543,134,32,18,141,983.24,79,10,99.0
7.092,24,8,32,140.712,74,158.121,86.596,140,32,18,147,1011.3,81,10,101.0
6.654,24,8,32,146.479,76,164.952,89.65,146,32,18,153,1039.36,83,10,103.0
6.842,24,8,32,163.781,82,185.443,98.811,164,32,18,171,1123.54,89,10,109.0
7.301,30,8,38,115.876,68,127.969,75.328,114,38,18,122,919.04,76,10,99.0
7.886,12,4,16,62.647,34,70.023,38.981,62,16,9,65,464.57,37,5,47.0
