pXC50,nAB,nH,RBN,Sp,Sv,nSK,SCBO,nBO,Si,nBM,nC,Se,nBT,MW,nAT,nCsp2,H.,Mv,nCsp3,AMW,RBF,Me,C.,Mp,nN,nHet,Mi,N.
8.398,22,30,9,44.739,42.793,37,54.0,42,75.228,23,29,67.203,72,498.63,67,19,44.8,0.639,10,7.442,0.125,1.003,43.3,0.668,4,8,1.123,6.0
8.398,22,31,9,45.29,43.1,37,54.0,42,76.517,23,29,67.978,73,497.65,68,19,45.6,0.634,10,7.318,0.123,1.0,42.6,0.666,5,8,1.125,7.4
8.0,22,26,6,39.762,38.025,33,49.0,37,66.189,23,26,59.109,63,442.56,59,19,44.1,0.644,7,7.501,0.095,1.002,44.1,0.674,4,7,1.122,6.8
8.699,22,27,6,40.313,38.331,33,49.0,37,67.478,23,26,59.883,64,441.58,60,19,45.0,0.639,7,7.36,0.094,0.998,43.3,0.672,5,7,1.125,8.3
7.886,22,24,6,38.0,36.498,32,48.0,36,62.773,23,25,56.225,60,428.53,56,19,42.9,0.652,6,7.652,0.1,1.004,44.6,0.679,4,7,1.121,7.1
8.523,22,25,6,38.551,36.805,32,48.0,36,64.062,23,25,57.0,61,427.55,57,19,43.9,0.646,6,7.501,0.098,1.0,43.9,0.676,5,7,1.124,8.8
8.222,22,28,6,42.978,41.266,36,53.0,41,71.813,23,28,64.32,69,484.6,64,19,43.8,0.645,9,7.572,0.087,1.005,43.8,0.672,4,8,1.122,6.3
8.222,22,29,6,43.529,41.573,36,53.0,41,73.102,23,28,65.094,70,483.62,65,19,44.6,0.64,9,7.44,0.086,1.001,43.1,0.67,5,8,1.125,7.7
8.0,16,35,9,44.358,41.439,34,47.0,38,78.138,17,27,68.418,73,461.67,69,14,50.7,0.601,13,6.691,0.123,0.992,39.1,0.643,5,7,1.132,7.2
7.699,16,33,9,42.597,39.912,33,46.0,37,74.723,17,26,65.534,70,447.64,66,14,50.0,0.605,12,6.782,0.129,0.993,39.4,0.645,5,7,1.132,7.6
5.703,16,31,9,39.836,37.385,31,43.0,35,70.308,16,24,61.65,66,421.6,62,12,50.0,0.603,12,6.8,0.136,0.994,38.7,0.643,5,7,1.134,8.1
7.398,22,32,9,44.841,42.406,36,52.0,41,76.806,22,28,67.752,73,484.66,68,17,47.1,0.624,11,7.127,0.123,0.996,41.2,0.659,6,8,1.13,8.8
8.0,22,35,10,47.813,45.153,38,54.0,43,82.348,22,30,72.745,78,513.7,73,18,47.9,0.619,12,7.037,0.128,0.997,41.1,0.655,5,8,1.128,6.8
7.699,22,35,9,47.358,44.439,37,53.0,42,81.138,22,30,71.418,77,497.7,72,18,48.6,0.617,12,6.912,0.117,0.992,41.7,0.658,5,7,1.127,6.9
8.398,22,32,9,45.535,43.295,37,53.0,42,78.063,22,29,69.047,74,501.66,69,18,46.4,0.627,11,7.27,0.122,1.001,42.0,0.66,5,8,1.131,7.2
9.523,22,29,9,43.915,40.518,34,49.0,38,70.523,22,26,62.592,67,491.74,63,18,46.0,0.643,8,7.805,0.134,0.994,41.3,0.697,5,8,1.119,7.9
9.699,22,28,9,43.364,40.211,34,49.0,38,69.234,22,26,61.818,66,492.72,62,18,45.2,0.649,8,7.947,0.136,0.997,41.9,0.699,4,8,1.117,6.5
8.0,22,31,9,46.677,43.044,36,52.0,41,74.939,22,28,66.476,72,517.78,67,18,46.3,0.642,10,7.728,0.125,0.992,41.8,0.697,5,8,1.118,7.5
8.097,22,30,9,43.478,40.551,34,49.0,38,71.73,22,27,63.625,68,474.68,64,18,46.9,0.634,9,7.417,0.132,0.994,42.2,0.679,4,7,1.121,6.3
7.886,22,28,9,40.978,39.266,34,49.0,38,69.813,22,26,62.32,66,460.58,62,18,45.2,0.633,8,7.429,0.136,1.005,41.9,0.661,4,8,1.126,6.5
7.161,22,32,9,45.239,42.077,35,50.0,39,75.145,22,28,66.509,71,488.71,67,18,47.8,0.628,10,7.294,0.127,0.993,41.8,0.675,4,7,1.122,6.0
8.398,22,30,9,45.125,41.738,35,50.0,39,72.65,22,27,64.701,69,506.75,65,18,46.2,0.642,9,7.796,0.13,0.995,41.5,0.694,4,8,1.118,6.2
7.523,22,31,9,42.836,40.385,34,49.0,38,73.308,22,27,64.65,69,457.63,65,18,47.7,0.621,9,7.04,0.13,0.995,41.5,0.659,5,7,1.128,7.7
7.699,22,33,10,44.597,41.912,35,50.0,39,76.723,22,28,67.534,72,471.66,68,18,48.5,0.616,10,6.936,0.139,0.993,41.2,0.656,5,7,1.128,7.4
7.398,22,33,9,44.597,41.912,35,50.0,39,76.723,22,28,67.534,72,471.66,68,18,48.5,0.616,10,6.936,0.125,0.993,41.2,0.656,5,7,1.128,7.4
7.301,22,35,10,46.358,43.439,36,51.0,40,80.138,22,29,70.418,75,485.69,71,18,49.3,0.612,11,6.841,0.133,0.992,40.8,0.653,5,7,1.129,7.0
7.301,22,35,10,46.358,43.439,36,51.0,40,80.138,22,29,70.418,75,485.69,71,18,49.3,0.612,11,6.841,0.133,0.992,40.8,0.653,5,7,1.129,7.0
5.0,22,21,5,34.972,32.707,28,43.0,32,54.361,22,23,48.662,53,387.54,49,18,42.9,0.667,5,7.909,0.094,0.993,46.9,0.714,3,5,1.109,6.1
5.137,22,21,5,33.574,32.036,28,43.0,32,55.023,22,22,48.905,53,371.48,49,17,42.9,0.654,5,7.581,0.094,0.998,44.9,0.685,5,6,1.123,10.2
5.745,22,21,5,33.574,32.036,28,43.0,32,55.023,22,22,48.905,53,371.48,49,17,42.9,0.654,5,7.581,0.094,0.998,44.9,0.685,5,6,1.123,10.2
5.022,12,12,2,21.523,20.908,19,29.0,20,34.863,14,14,31.269,32,252.3,31,12,38.7,0.674,1,8.139,0.063,1.009,45.2,0.694,4,5,1.125,12.9
5.022,12,20,7,29.932,29.159,26,36.0,27,52.152,14,18,46.785,47,356.42,46,12,43.5,0.634,5,7.748,0.149,1.017,39.1,0.651,4,8,1.134,8.7
5.022,12,22,8,33.864,32.636,29,39.0,30,57.767,15,18,52.505,52,443.95,51,12,43.1,0.64,6,8.705,0.154,1.03,35.3,0.664,3,11,1.133,5.9
5.022,12,22,8,34.25,33.303,30,42.0,31,58.906,16,19,53.4,53,434.52,52,12,42.3,0.64,6,8.356,0.151,1.027,36.5,0.659,4,11,1.133,7.7
6.9,15,16,1,26.739,25.85,23,35.5,26,43.95,17,18,39.331,42,309.37,39,14,41.0,0.663,4,7.933,0.024,1.008,46.2,0.686,3,5,1.127,7.7
5.2,22,30,13,43.478,41.999,37,52.0,40,76.438,23,26,67.81,70,507.63,67,18,44.8,0.627,8,7.577,0.186,1.012,38.8,0.649,7,11,1.141,10.4
5.0,16,18,4,28.159,26.906,24,36.0,26,47.82,18,15,42.643,44,346.46,42,11,42.9,0.641,4,8.249,0.091,1.015,35.7,0.67,6,9,1.139,14.3
5.0,10,20,3,27.819,26.531,23,33.0,25,49.106,12,16,43.123,45,312.42,43,7,46.5,0.617,8,7.266,0.067,1.003,37.2,0.647,6,7,1.142,14.0
5.2,22,18,3,31.75,30.893,28,43.0,31,51.947,23,21,46.534,49,375.44,46,20,39.1,0.672,1,8.162,0.061,1.012,45.7,0.69,5,7,1.129,10.9
5.4,11,11,1,18.517,17.886,16,24.5,18,30.365,12,12,27.167,29,213.26,27,10,40.7,0.662,2,7.899,0.034,1.006,44.4,0.686,3,4,1.125,11.1
5.0,23,14,2,27.989,27.665,26,40.5,29,45.069,23,18,40.8,43,346.38,40,18,35.0,0.692,0,8.659,0.047,1.02,45.0,0.7,6,8,1.127,15.0
8.18,24,21,1,37.688,36.665,33,53.0,40,60.069,25,26,54.567,61,439.5,54,19,38.9,0.679,7,8.139,0.016,1.011,48.1,0.698,3,7,1.112,5.6
6.921,30,30,3,50.739,48.793,43,68.0,51,81.228,32,35,73.203,81,570.69,73,26,41.1,0.668,9,7.818,0.037,1.003,47.9,0.695,4,8,1.113,5.5
6.638,22,24,4,36.091,34.068,29,44.0,33,59.355,22,24,52.571,57,384.52,53,18,45.3,0.643,6,7.255,0.07,0.992,45.3,0.681,4,5,1.12,7.5
6.559,22,22,4,35.966,34.835,31,46.0,35,60.034,22,24,53.596,57,420.5,53,18,41.5,0.657,6,7.934,0.07,1.011,45.3,0.679,4,7,1.133,7.5
6.658,22,26,4,38.307,36.31,31,46.0,35,63.979,22,25,56.781,61,414.55,57,18,45.6,0.637,7,7.273,0.066,0.996,43.9,0.672,4,6,1.122,7.0
6.886,22,20,4,34.659,34.023,31,46.0,35,57.828,22,23,52.04,55,422.47,51,18,39.2,0.667,5,8.284,0.073,1.02,45.1,0.68,4,8,1.134,7.8
6.959,22,24,5,37.0,35.498,31,46.0,35,61.773,22,24,55.225,59,416.52,55,18,43.6,0.645,6,7.573,0.085,1.004,43.6,0.673,4,7,1.123,7.3
5.0,22,23,5,36.79,35.278,31,47.0,35,60.647,23,24,54.116,58,413.52,54,19,42.6,0.653,5,7.658,0.086,1.002,44.4,0.681,5,7,1.123,9.3
5.0,22,21,5,35.029,33.751,30,46.0,34,57.232,23,23,51.232,55,399.49,51,19,41.2,0.662,4,7.833,0.091,1.005,45.1,0.687,5,7,1.122,9.8
5.0,16,21,4,33.574,32.036,28,43.0,32,55.023,19,22,48.905,53,371.48,49,17,42.9,0.654,5,7.581,0.075,0.998,44.9,0.685,5,6,1.123,10.2
6.658,22,19,4,32.506,31.398,28,43.0,32,52.864,22,22,47.316,51,374.45,47,18,40.4,0.668,4,7.967,0.078,1.007,46.8,0.692,4,6,1.125,8.5
6.432,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
5.975,22,19,4,33.426,31.842,28,43.0,32,52.468,22,22,47.127,51,390.9,47,18,40.4,0.677,4,8.317,0.078,1.003,46.8,0.711,4,6,1.116,8.5
7.125,22,22,5,34.784,33.256,29,44.0,33,57.149,22,23,51.014,55,386.49,51,18,43.1,0.652,5,7.578,0.091,1.0,45.1,0.682,4,6,1.121,7.8
6.328,22,24,6,36.546,34.783,30,45.0,34,60.564,22,24,53.898,58,400.52,54,18,44.4,0.644,6,7.417,0.103,0.998,44.4,0.677,4,6,1.122,7.4
6.481,22,20,4,33.762,31.487,27,42.0,31,52.235,22,22,46.552,51,372.53,47,18,42.6,0.67,4,7.926,0.078,0.99,46.8,0.718,4,5,1.111,8.5
6.42,22,21,4,33.12,31.321,27,42.0,31,53.813,22,22,47.578,52,355.48,48,18,43.8,0.653,4,7.406,0.077,0.991,45.8,0.69,5,5,1.121,10.4
6.244,22,22,4,33.875,31.827,27,42.0,31,54.73,22,23,48.36,53,354.49,49,18,44.9,0.65,5,7.234,0.075,0.987,46.9,0.691,4,4,1.117,8.2
7.06,22,20,4,33.569,32.015,28,44.0,32,53.524,23,23,47.803,52,368.47,48,19,41.7,0.667,4,7.676,0.077,0.996,47.9,0.699,4,5,1.115,8.3
6.553,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
7.046,22,24,4,36.091,34.068,29,44.0,33,59.355,22,24,52.571,57,384.52,53,18,45.3,0.643,6,7.255,0.07,0.992,45.3,0.681,4,5,1.12,7.5
5.475,26,20,3,34.364,32.816,29,47.0,34,54.896,26,23,48.796,54,380.49,49,19,40.8,0.67,4,7.765,0.056,0.996,46.9,0.701,6,6,1.12,12.2
5.388,26,20,3,35.762,33.487,29,47.0,34,54.235,26,24,48.552,54,396.55,49,20,40.8,0.683,4,8.093,0.056,0.991,49.0,0.73,4,5,1.107,8.2
6.796,22,22,4,34.784,33.256,29,44.0,33,57.149,22,23,51.014,55,386.49,51,18,43.1,0.652,5,7.578,0.073,1.0,45.1,0.682,4,6,1.121,7.8
6.854,22,21,4,35.722,34.64,31,47.0,35,58.489,23,24,52.527,56,416.49,52,19,40.4,0.666,5,8.009,0.071,1.01,46.2,0.687,4,7,1.125,7.7
6.959,22,24,5,38.0,36.498,32,48.0,36,62.773,23,25,56.225,60,428.53,56,19,42.9,0.652,6,7.652,0.083,1.004,44.6,0.679,4,7,1.121,7.1
7.305,22,21,4,35.722,34.64,31,47.0,35,58.489,23,24,52.527,56,416.49,52,19,40.4,0.666,5,8.009,0.071,1.01,46.2,0.687,4,7,1.125,7.7
7.0,22,19,4,32.506,31.398,28,43.0,32,52.864,22,22,47.316,51,374.45,47,18,40.4,0.668,4,7.967,0.078,1.007,46.8,0.692,4,6,1.125,8.5
6.62,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
6.131,22,19,4,33.426,31.842,28,43.0,32,52.468,22,22,47.127,51,390.9,47,18,40.4,0.677,4,8.317,0.078,1.003,46.8,0.711,4,6,1.116,8.5
6.959,22,19,4,32.506,31.398,28,43.0,32,52.864,22,22,47.316,51,374.45,47,18,40.4,0.668,4,7.967,0.078,1.007,46.8,0.692,4,6,1.125,8.5
6.62,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
5.496,22,19,4,33.426,31.842,28,43.0,32,52.468,22,22,47.127,51,390.9,47,18,40.4,0.677,4,8.317,0.078,1.003,46.8,0.711,4,6,1.116,8.5
5.263,22,19,4,32.506,31.398,28,43.0,32,52.864,22,22,47.316,51,374.45,47,18,40.4,0.668,4,7.967,0.078,1.007,46.8,0.692,4,6,1.125,8.5
6.046,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
5.728,22,19,4,33.426,31.842,28,43.0,32,52.468,22,22,47.127,51,390.9,47,18,40.4,0.677,4,8.317,0.078,1.003,46.8,0.711,4,6,1.116,8.5
5.721,22,19,4,31.813,30.509,27,42.0,31,51.607,22,21,46.022,50,357.45,46,17,41.3,0.663,4,7.771,0.08,1.0,45.7,0.692,5,6,1.122,10.9
7.319,22,22,5,34.784,33.256,29,44.0,33,57.149,22,23,51.014,55,386.49,51,18,43.1,0.652,5,7.578,0.091,1.0,45.1,0.682,4,6,1.121,7.8
7.056,22,19,4,32.506,31.398,28,43.0,32,52.864,22,22,47.316,51,374.45,47,18,40.4,0.668,4,7.967,0.078,1.007,46.8,0.692,4,6,1.125,8.5
5.772,22,19,4,33.426,31.842,28,43.0,32,52.468,22,22,47.127,51,390.9,47,18,40.4,0.677,4,8.317,0.078,1.003,46.8,0.711,4,6,1.116,8.5
5.202,22,22,4,34.33,32.542,28,43.0,32,55.939,22,23,49.687,54,370.49,50,18,44.0,0.651,5,7.41,0.074,0.994,46.0,0.687,4,5,1.119,8.0
5.0,18,22,3,37.034,35.762,32,47.0,35,60.744,21,23,55.04,57,455.55,54,18,40.7,0.662,5,8.436,0.053,1.019,42.6,0.686,3,9,1.125,5.6
5.4,10,20,3,27.819,26.531,23,33.0,25,49.106,12,16,43.123,45,312.42,43,7,46.5,0.617,8,7.266,0.067,1.003,37.2,0.647,6,7,1.142,14.0
5.4,21,18,2,29.262,28.203,25,38.5,28,48.318,21,19,43.247,46,334.41,43,16,41.9,0.656,3,7.777,0.043,1.006,44.2,0.681,4,6,1.124,9.3
6.745,22,43,12,53.404,49.546,40,55.0,44,93.799,22,33,81.952,87,541.81,83,19,51.8,0.597,14,6.528,0.138,0.987,39.8,0.643,5,7,1.13,6.0
6.032,27,35,11,49.358,46.439,39,57.5,44,83.138,27,32,73.418,79,521.72,74,22,47.3,0.628,10,7.05,0.139,0.992,43.2,0.667,5,7,1.123,6.8
6.959,22,22,5,34.534,32.74,28,43.0,32,55.567,22,24,49.694,54,370.48,50,19,44.0,0.655,5,7.41,0.093,0.994,48.0,0.691,2,4,1.111,4.0
6.824,22,37,10,49.574,46.68,39,55.0,44,85.763,22,31,75.629,81,527.73,76,19,48.7,0.614,12,6.944,0.123,0.995,40.8,0.652,5,8,1.128,6.6
6.77,22,37,10,49.12,45.965,38,54.0,43,84.554,22,31,74.301,80,511.73,75,19,49.3,0.613,12,6.823,0.125,0.991,41.3,0.655,5,7,1.127,6.7
7.076,27,32,10,46.841,44.406,38,56.5,43,78.806,27,30,69.752,75,508.68,70,22,45.7,0.634,8,7.267,0.133,0.996,42.9,0.669,6,8,1.126,8.6
5.8,18,13,6,26.892,27.073,26,40.0,28,43.99,21,17,40.353,41,351.35,39,17,33.3,0.694,0,9.009,0.146,1.035,43.6,0.69,5,9,1.128,12.8
6.721,22,20,4,32.569,31.015,27,42.0,31,52.524,22,22,46.803,51,356.46,47,18,42.6,0.66,4,7.584,0.078,0.996,46.8,0.693,4,5,1.118,8.5
6.281,22,21,5,33.779,32.235,28,43.0,32,54.651,22,23,48.912,53,371.47,49,18,42.9,0.658,5,7.581,0.094,0.998,46.9,0.689,3,5,1.115,6.1
6.208,22,21,5,33.779,32.235,28,43.0,32,54.651,22,23,48.912,53,371.47,49,18,42.9,0.658,5,7.581,0.094,0.998,46.9,0.689,3,5,1.115,6.1
6.742,22,25,6,37.097,35.09,30,45.0,34,61.853,22,24,54.672,59,399.54,55,18,45.5,0.638,6,7.264,0.102,0.994,43.6,0.674,5,6,1.125,9.1
7.009,22,36,10,48.364,45.46,38,54.0,43,83.637,22,30,73.519,79,512.72,74,18,48.6,0.614,12,6.929,0.127,0.994,40.5,0.654,6,8,1.13,8.1
6.479,22,37,10,49.12,45.965,38,54.0,43,84.554,22,31,74.301,80,511.73,75,18,49.3,0.613,13,6.823,0.125,0.991,41.3,0.655,5,7,1.127,6.7
7.959,22,30,9,42.284,40.078,34,49.0,38,72.019,22,27,63.876,68,458.61,64,18,46.9,0.626,9,7.166,0.132,0.998,42.2,0.661,4,7,1.125,6.3
7.796,22,32,9,45.046,42.605,36,52.0,41,76.434,22,29,67.76,73,484.65,68,18,47.1,0.627,11,7.127,0.123,0.996,42.6,0.662,4,7,1.124,5.9
9.0,28,32,10,47.591,44.89,38,57.0,43,78.225,28,32,69.432,75,504.68,70,24,45.7,0.641,8,7.21,0.133,0.992,45.7,0.68,4,6,1.117,5.7
8.155,22,33,7,45.597,42.912,36,52.0,41,77.723,22,29,68.534,74,483.67,69,18,47.8,0.622,11,7.01,0.095,0.993,42.0,0.661,5,7,1.126,7.2
7.108,22,30,8,41.83,39.364,33,48.0,37,70.81,22,27,62.549,67,442.61,63,18,47.6,0.625,9,7.026,0.119,0.993,42.9,0.664,4,6,1.124,6.3
7.886,22,33,7,47.052,44.627,38,55.0,43,79.933,23,30,70.861,76,511.68,71,19,46.5,0.629,11,7.207,0.092,0.998,42.3,0.663,5,8,1.126,7.0
7.77,22,32,7,44.841,42.406,36,52.0,41,76.806,22,28,67.752,73,484.66,68,18,47.1,0.624,10,7.127,0.096,0.996,41.2,0.659,6,8,1.13,8.8
7.013,22,30,6,43.08,40.88,35,51.0,40,73.391,22,27,64.869,70,470.63,65,18,46.2,0.629,9,7.24,0.086,0.998,41.5,0.663,6,8,1.129,9.2
7.041,22,34,8,46.603,43.933,37,53.0,42,80.221,22,29,70.636,76,498.69,71,18,47.9,0.619,11,7.024,0.105,0.995,40.8,0.656,6,8,1.13,8.5
7.071,22,34,7,47.603,44.933,38,55.0,43,81.221,23,30,71.636,77,510.7,72,19,47.2,0.624,11,7.093,0.091,0.995,41.7,0.661,6,8,1.128,8.3
5.2,17,24,6,36.597,34.718,30,41.5,33,61.161,17,22,54.523,57,475.4,54,14,44.4,0.643,8,8.804,0.105,1.01,40.7,0.678,4,8,1.133,7.4
6.83,22,34,10,45.603,42.933,36,51.0,40,79.221,22,28,69.636,74,486.68,70,18,48.6,0.613,10,6.953,0.135,0.995,40.0,0.651,6,8,1.132,8.6
5.0,15,17,3,23.597,22.268,19,28.5,21,40.983,15,14,35.811,38,255.36,36,10,47.2,0.619,4,7.093,0.079,0.995,38.9,0.655,5,5,1.138,13.9
5.4,11,24,10,37.642,36.025,32,41.5,34,64.128,13,20,57.541,58,532.46,56,11,42.9,0.643,9,9.508,0.172,1.028,35.7,0.672,5,12,1.145,8.9
5.0,29,22,6,42.159,41.756,39,58.5,43,69.453,30,28,62.53,65,529.57,61,25,36.1,0.685,3,8.681,0.092,1.025,45.9,0.691,7,11,1.139,11.5
5.2,24,15,4,35.995,35.797,34,52.0,38,54.942,26,25,50.596,53,476.89,49,24,30.6,0.731,1,9.732,0.075,1.033,51.0,0.735,4,9,1.121,8.2
5.2,18,22,7,32.239,30.971,27,38.0,29,55.358,18,20,49.342,51,366.46,49,16,44.9,0.632,4,7.479,0.137,1.007,40.8,0.658,4,7,1.13,8.2
4.4,12,13,1,21.074,20.214,18,27.0,20,35.152,13,13,31.043,33,239.31,31,11,41.9,0.652,2,7.72,0.03,1.001,41.9,0.68,5,5,1.134,16.1
5.2,23,14,3,27.978,27.323,25,39.5,28,43.535,23,20,39.447,42,331.37,39,20,35.9,0.701,0,8.497,0.071,1.011,51.3,0.717,3,5,1.116,7.7
7.538,17,29,9,44.006,41.755,36,49.5,39,73.405,18,26,65.625,68,530.5,65,15,44.6,0.642,10,8.162,0.132,1.01,40.0,0.677,5,10,1.129,7.7
5.2,10,24,6,32.841,30.157,25,33.0,27,55.404,11,17,49.051,51,380.59,49,7,49.0,0.615,10,7.767,0.118,1.001,34.7,0.67,4,8,1.131,8.2
5.0,26,29,5,47.074,44.858,39,61.0,45,75.893,29,32,67.767,74,515.66,68,25,42.6,0.66,7,7.583,0.068,0.997,47.1,0.692,5,7,1.116,7.4
5.0,17,25,9,39.563,38.257,34,47.5,37,66.971,19,24,60.047,62,485.99,59,17,42.4,0.648,7,8.237,0.145,1.018,40.7,0.671,5,10,1.135,8.5
5.4,20,28,2,42.523,40.552,35,53.0,40,70.604,23,28,62.992,68,468.6,63,20,44.4,0.644,8,7.438,0.029,1.0,44.4,0.675,4,7,1.121,6.3
5.0,20,19,5,30.415,29.828,27,40.0,30,52.283,20,19,46.971,49,370.42,46,14,41.3,0.648,5,8.053,0.102,1.021,41.3,0.661,4,8,1.137,8.7
5.022,12,18,6,29.432,28.152,25,35.0,26,48.518,15,16,44.084,44,383.89,43,12,41.9,0.655,4,8.928,0.136,1.025,37.2,0.684,3,9,1.128,7.0
5.4,12,17,6,29.063,28.314,26,38.0,27,48.74,16,16,44.196,44,375.45,43,12,39.5,0.658,3,8.731,0.136,1.028,37.2,0.676,5,10,1.133,11.6
5.022,12,24,8,36.012,34.83,31,43.0,32,62.322,16,20,56.283,56,448.55,55,12,43.6,0.633,7,8.155,0.143,1.023,36.4,0.655,4,11,1.133,7.3
5.0,22,22,6,33.33,31.542,27,41.0,30,54.939,22,22,48.687,52,358.48,49,18,44.9,0.644,4,7.316,0.115,0.994,44.9,0.68,4,5,1.121,8.2
5.8,21,11,1,28.04,27.649,26,42.5,30,40.645,23,20,37.927,41,362.78,37,20,29.7,0.747,0,9.805,0.024,1.025,54.1,0.758,2,6,1.099,5.4
5.4,11,17,2,24.904,23.369,20,29.5,22,41.74,13,14,37.222,39,291.41,37,9,45.9,0.632,5,7.876,0.051,1.006,37.8,0.673,3,6,1.128,8.1
5.0,12,21,6,33.222,32.661,30,41.0,32,58.665,15,18,52.872,53,441.51,51,11,41.2,0.64,7,8.657,0.113,1.037,35.3,0.651,5,12,1.15,9.8
7.569,18,16,4,34.171,32.33,29,43.0,32,49.917,20,21,45.644,48,443.38,45,19,35.6,0.718,2,9.853,0.083,1.014,46.7,0.759,4,8,1.109,8.9
6.377,22,26,6,37.853,35.595,30,45.0,34,62.77,22,25,55.454,60,398.55,56,19,46.4,0.636,6,7.117,0.1,0.99,44.6,0.676,4,5,1.121,7.1
6.921,22,39,10,50.881,47.492,39,55.0,44,87.969,22,32,77.185,83,525.76,78,19,50.0,0.609,13,6.741,0.12,0.99,41.0,0.652,5,7,1.128,6.4
6.232,22,40,11,52.341,49.228,41,57.0,46,91.676,22,32,80.614,86,556.78,81,18,49.4,0.608,14,6.874,0.128,0.995,39.5,0.646,6,9,1.132,7.4
5.4,17,25,7,37.551,35.805,31,45.5,35,63.062,18,24,56.0,60,415.54,56,14,44.6,0.639,9,7.42,0.117,1.0,42.9,0.671,5,7,1.126,8.9
6.187,22,32,8,43.591,40.89,34,49.0,38,74.225,22,28,65.432,70,456.64,66,18,48.5,0.62,10,6.919,0.114,0.991,42.4,0.66,4,6,1.125,6.1
7.42,22,36,10,49.023,46.374,39,55.0,44,84.474,22,31,74.854,80,528.71,75,18,48.0,0.618,13,7.049,0.125,0.998,41.3,0.654,4,8,1.126,5.3
6.0,16,16,2,25.455,24.095,21,31.0,23,41.927,16,15,37.134,39,301.81,37,11,43.2,0.651,4,8.157,0.051,1.004,40.5,0.688,5,6,1.133,13.5
5.4,22,31,15,47.284,45.594,41,57.0,44,82.206,24,26,73.651,75,587.61,72,18,43.1,0.633,8,8.161,0.2,1.023,36.1,0.657,7,15,1.142,9.7
5.4,12,20,2,32.75,31.691,28,39.0,31,53.641,14,21,48.898,51,401.87,48,15,41.7,0.66,6,8.372,0.039,1.019,43.8,0.682,1,7,1.118,2.1
5.4,12,18,6,29.818,28.82,26,38.0,27,49.657,16,17,44.978,45,374.46,44,12,40.9,0.655,4,8.51,0.133,1.022,38.6,0.678,4,9,1.129,9.1
6.745,28,34,10,49.353,46.417,39,58.0,44,81.64,28,33,72.316,78,518.71,73,24,46.6,0.636,9,7.106,0.128,0.991,45.2,0.676,4,6,1.118,5.5
5.0,12,20,2,32.75,31.691,28,39.0,31,53.641,14,21,48.898,51,401.87,48,15,41.7,0.66,6,8.372,0.039,1.019,43.8,0.682,1,7,1.118,2.1
7.699,28,34,10,49.353,46.417,39,58.0,44,81.64,28,33,72.316,78,518.71,73,24,46.6,0.636,9,7.106,0.128,0.991,45.2,0.676,4,6,1.118,5.5
5.2,23,16,4,31.955,31.391,29,45.5,33,50.113,24,22,45.691,49,384.42,45,21,35.6,0.698,1,8.543,0.082,1.015,48.9,0.71,4,7,1.114,8.9
5.0,11,17,4,28.983,27.879,25,34.5,27,47.705,13,16,42.996,44,382.28,42,11,40.5,0.664,5,9.102,0.091,1.024,38.1,0.69,5,9,1.136,11.9
5.0,17,34,7,53.387,50.216,43,61.5,48,86.282,22,32,77.578,82,641.67,77,20,44.2,0.652,12,8.333,0.085,1.008,41.6,0.693,4,11,1.121,5.2
7.222,22,44,13,55.353,51.972,43,58.0,47,99.135,22,33,86.668,91,589.84,87,17,50.6,0.597,16,6.78,0.143,0.996,37.9,0.636,7,10,1.139,8.0
4.5,10,7,1,12.994,12.833,12,19.0,13,21.535,11,8,19.4,20,161.18,19,8,36.8,0.675,0,8.483,0.05,1.021,42.1,0.684,3,4,1.133,15.8
7.699,22,41,12,51.893,48.535,40,55.0,44,91.965,22,31,80.388,85,543.79,81,17,50.6,0.599,14,6.713,0.141,0.992,38.3,0.641,7,9,1.135,8.6
7.4,18,25,7,38.87,37.368,33,46.0,36,65.714,19,23,58.752,61,468.99,58,17,43.1,0.644,6,8.086,0.115,1.013,39.7,0.67,6,10,1.133,10.3
7.35,24,34,9,49.057,46.648,40,57.0,44,83.431,25,31,73.963,78,538.71,74,23,45.9,0.63,8,7.28,0.115,1.0,41.9,0.663,6,9,1.127,8.1
7.611,22,42,9,52.444,48.842,40,55.0,44,93.254,22,31,81.163,86,542.81,82,17,51.2,0.596,14,6.62,0.105,0.99,37.8,0.64,8,9,1.137,9.8
6.523,22,31,8,42.177,39.471,33,48.0,37,72.471,22,26,63.316,68,441.64,64,17,48.4,0.617,9,6.901,0.118,0.989,40.6,0.659,7,7,1.132,10.9
