pXC50,nDB,N.,nCsp3,Sp,Sv,Se,nSK,Si,nBO,SCBO,nAT,nBT,nC,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB
5.0,2,3.2,2,22.029,20.897,30.731,18,34.199,20,28.0,31,33,16,7.59,51.6,41.9,0.991,1.103,0.711,0.674,235.3,12
5.0,2,6.7,2,21.273,20.392,29.949,18,33.282,20,28.0,30,32,15,7.876,50.0,40.0,0.998,1.109,0.709,0.68,236.29,12
7.824,1,3.4,2,20.512,19.566,28.916,17,32.329,19,26.0,29,31,15,7.768,51.7,41.4,0.997,1.115,0.707,0.675,225.28,12
5.548,1,3.0,3,22.79,21.424,32.614,18,36.614,20,27.0,33,35,16,7.192,48.5,45.5,0.988,1.11,0.691,0.649,237.32,12
7.102,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
5.558,0,9.7,1,21.824,20.698,30.723,18,34.571,20,28.5,31,33,15,7.591,48.4,41.9,0.991,1.115,0.704,0.668,235.31,17
5.0,0,0.0,5,21.978,19.875,29.262,16,32.826,19,24.5,30,33,15,7.545,50.0,46.7,0.975,1.094,0.733,0.662,226.36,11
7.143,1,3.0,1,23.483,22.612,33.058,20,36.408,22,31.5,33,35,17,7.979,51.5,39.4,1.002,1.103,0.712,0.685,263.31,17
4.62,0,3.1,5,22.336,20.709,31.287,17,35.405,20,26.0,32,35,16,6.916,50.0,46.9,0.978,1.106,0.698,0.647,221.32,12
6.0,0,9.1,1,15.915,14.978,22.062,13,24.601,14,19.5,22,23,10,8.757,45.5,40.9,1.003,1.118,0.723,0.681,192.66,11
7.71,1,8.8,1,24.972,24.601,34.494,23,37.575,26,37.5,34,37,18,8.862,52.9,32.4,1.015,1.105,0.734,0.724,301.32,17
8.292,0,2.6,3,26.006,24.665,37.825,21,42.239,23,31.5,38,40,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,279.36,17
8.585,1,6.3,3,22.034,20.918,31.833,18,35.697,20,27.0,32,34,15,7.447,46.9,43.8,0.995,1.116,0.689,0.654,238.31,12
8.114,0,2.1,3,33.529,31.719,47.592,27,53.069,30,41.5,48,51,24,7.405,50.0,43.8,0.992,1.106,0.699,0.661,355.46,23
8.377,0,2.9,2,24.245,23.139,34.942,20,38.824,22,30.5,35,37,17,7.581,48.6,42.9,0.998,1.109,0.693,0.661,265.33,17
8.041,0,2.9,2,24.245,23.139,34.942,20,38.824,22,30.5,35,37,17,7.581,48.6,42.9,0.998,1.109,0.693,0.661,265.33,17
8.357,1,3.7,2,19.267,18.37,26.847,16,29.784,18,25.0,27,29,14,7.75,51.9,40.7,0.994,1.103,0.714,0.68,209.26,12
7.658,0,2.9,2,24.245,23.139,34.942,20,38.824,22,30.5,35,37,17,7.581,48.6,42.9,0.998,1.109,0.693,0.661,265.33,17
10.0,1,5.3,3,26.796,25.445,37.716,22,42.112,25,34.5,38,41,19,7.589,50.0,42.1,0.993,1.108,0.705,0.67,288.37,17
7.886,0,6.1,1,23.034,21.918,32.833,19,36.697,21,29.5,33,35,16,7.585,48.5,42.4,0.995,1.112,0.698,0.664,250.32,17
9.699,1,5.7,2,25.034,23.918,34.833,21,38.697,24,33.5,35,38,18,7.838,51.4,40.0,0.995,1.106,0.715,0.683,274.34,17
7.658,1,5.7,4,23.796,22.445,34.716,19,39.112,21,28.0,35,37,16,7.21,45.7,45.7,0.992,1.117,0.68,0.641,252.34,12
8.42,1,6.9,2,21.131,20.219,29.273,18,32.226,20,27.0,29,31,14,8.921,48.3,37.9,1.009,1.111,0.729,0.697,258.72,12
8.569,1,6.1,3,22.489,21.633,33.16,19,36.907,21,28.0,33,35,15,7.706,45.5,42.4,1.005,1.118,0.681,0.656,254.31,12
9.699,1,5.6,4,24.25,23.16,36.043,20,40.322,22,29.0,36,38,16,7.454,44.4,44.4,1.001,1.12,0.674,0.643,268.34,12
7.194,3,9.7,2,21.426,21.316,31.822,20,34.784,22,31.0,31,33,14,8.686,45.2,35.5,1.027,1.122,0.691,0.688,269.28,12
7.854,1,7.7,1,18.512,17.865,26.065,16,28.867,18,25.0,26,28,13,8.087,50.0,38.5,1.003,1.11,0.712,0.687,210.25,12
7.523,0,2.6,6,25.313,23.477,37.382,19,42.445,21,27.0,38,40,17,6.668,44.7,50.0,0.984,1.117,0.666,0.618,253.37,12
8.292,0,6.3,4,22.58,21.204,31.505,18,35.488,20,28.0,32,34,16,7.322,50.0,43.8,0.985,1.109,0.706,0.663,234.32,12
8.481,0,2.9,5,23.551,21.951,34.498,18,39.029,20,26.0,35,37,16,6.838,45.7,48.6,0.986,1.115,0.673,0.627,239.34,12
7.538,0,3.2,4,21.336,19.709,30.287,16,34.405,18,24.0,31,33,15,6.752,48.4,48.4,0.977,1.11,0.688,0.636,209.31,12
7.357,0,3.1,4,21.79,20.424,31.614,17,35.614,19,25.0,32,34,15,7.041,46.9,46.9,0.988,1.113,0.681,0.638,225.31,12
8.796,1,6.7,2,21.818,20.677,29.622,18,33.073,20,29.0,30,32,16,7.743,53.3,40.0,0.987,1.102,0.727,0.689,232.3,12
6.996,0,6.5,3,21.034,19.918,30.833,17,34.697,19,25.0,31,33,14,7.3,45.2,45.2,0.995,1.119,0.679,0.643,226.3,12
6.812,0,3.7,2,18.722,18.085,27.174,16,29.993,18,24.0,27,29,13,7.898,48.1,40.7,1.006,1.111,0.693,0.67,213.25,12
8.108,1,3.3,3,21.029,19.897,29.731,17,33.199,19,26.0,30,32,15,7.443,50.0,43.3,0.991,1.107,0.701,0.663,223.29,12
7.96,0,6.3,1,22.58,21.204,31.505,18,35.488,20,28.5,32,34,16,7.322,50.0,43.8,0.985,1.109,0.706,0.663,234.32,17
7.523,1,5.0,0,30.034,28.918,39.833,26,43.697,29,43.5,40,43,23,8.36,57.5,35.0,0.996,1.092,0.751,0.723,334.39,23
7.553,1,2.3,1,30.818,30.815,44.363,29,48.258,32,44.5,43,46,23,9.148,53.5,32.6,1.032,1.122,0.717,0.717,393.38,23
8.108,0,2.3,2,31.313,29.477,43.382,25,48.445,28,39.5,44,47,23,7.396,52.3,43.2,0.986,1.101,0.712,0.67,325.43,23
8.119,0,1.9,4,35.745,33.961,51.803,29,57.694,32,43.5,52,55,25,7.413,48.1,44.2,0.996,1.109,0.687,0.653,385.49,23
6.812,0,2.5,1,29.097,27.236,39.171,23,43.82,26,37.5,40,43,22,7.385,55.0,42.5,0.979,1.095,0.727,0.681,295.4,23
8.301,0,1.9,3,38.29,36.246,53.476,31,59.484,35,49.0,54,58,28,7.51,51.9,42.6,0.99,1.102,0.709,0.671,405.52,28
6.924,1,2.3,1,31.006,29.665,42.825,26,47.239,29,41.5,43,46,23,7.893,53.5,39.5,0.996,1.099,0.721,0.69,339.41,23
8.409,0,2.3,2,31.125,30.627,44.92,28,49.464,31,42.5,44,47,23,8.623,52.3,36.4,1.021,1.124,0.707,0.696,379.4,23
7.959,0,2.1,3,33.529,31.719,47.592,27,53.069,30,41.5,48,51,24,7.405,50.0,43.8,0.992,1.106,0.699,0.661,355.46,23
7.62,0,2.1,3,33.529,31.719,47.592,27,53.069,30,41.5,48,51,24,7.405,50.0,43.8,0.992,1.106,0.699,0.661,355.46,23
5.776,0,2.4,4,29.188,28.244,42.407,25,47.124,28,37.0,42,45,21,8.033,50.0,40.5,1.01,1.122,0.695,0.672,337.39,18
6.025,0,2.2,5,31.466,30.102,46.105,26,51.409,29,38.0,46,49,22,7.596,47.8,43.5,1.002,1.118,0.684,0.654,349.43,18
6.004,1,2.5,2,28.489,27.334,40.011,24,44.369,27,37.0,40,43,21,7.934,52.5,40.0,1.0,1.109,0.712,0.683,317.38,18
6.265,0,2.6,3,27.034,25.619,37.683,22,42.16,25,34.0,38,41,20,7.615,52.6,42.1,0.992,1.109,0.711,0.674,289.37,18
6.286,0,2.4,4,28.796,27.146,40.567,23,45.575,26,35.0,41,44,21,7.4,51.2,43.9,0.989,1.112,0.702,0.662,303.4,18
6.246,0,2.4,4,28.733,27.529,41.08,24,45.915,27,36.0,41,44,21,7.839,51.2,41.5,1.002,1.12,0.701,0.671,321.39,18
6.231,0,2.4,4,29.25,27.861,41.894,24,46.784,27,36.0,42,45,21,7.605,50.0,42.9,0.997,1.114,0.696,0.663,319.4,18
6.917,1,2.6,2,28.034,26.619,38.683,23,43.16,26,36.0,39,42,21,7.728,53.8,41.0,0.992,1.107,0.719,0.683,301.38,18
6.507,1,2.6,2,27.972,27.002,39.196,24,43.499,27,37.0,39,42,21,8.189,53.8,38.5,1.005,1.115,0.717,0.692,319.37,18
6.088,0,2.6,3,27.489,26.334,39.011,23,43.369,26,35.0,39,42,20,7.83,51.3,41.0,1.0,1.112,0.705,0.675,305.37,18
6.076,0,2.4,4,29.25,27.861,41.894,24,46.784,27,36.0,42,45,21,7.605,50.0,42.9,0.997,1.114,0.696,0.663,319.4,18
8.745,1,2.9,4,23.245,22.139,33.942,19,37.824,21,28.0,34,36,16,7.451,47.1,44.1,0.998,1.112,0.684,0.651,253.32,12
9.301,1,2.4,4,29.313,27.477,41.382,23,46.445,26,35.5,42,45,21,7.176,50.0,45.2,0.985,1.106,0.698,0.654,301.41,17
8.155,0,2.9,2,23.79,22.424,33.614,19,37.614,21,29.5,34,36,17,7.333,50.0,44.1,0.989,1.106,0.7,0.66,249.33,17
8.921,1,2.5,5,26.767,25.192,39.709,21,44.654,23,30.0,40,42,18,7.034,45.0,47.5,0.993,1.116,0.669,0.63,281.38,12
9.097,1,2.7,2,25.699,24.853,37.269,22,41.033,24,33.5,37,39,18,7.928,48.6,40.5,1.007,1.109,0.695,0.672,293.34,17
9.699,0,2.4,4,27.767,26.192,40.709,22,45.654,24,32.5,41,43,19,7.156,46.3,46.3,0.993,1.114,0.677,0.639,293.39,17
8.319,0,2.4,1,29.551,27.951,40.498,24,45.029,27,38.5,41,44,22,7.595,53.7,41.5,0.988,1.098,0.721,0.682,311.4,23
9.222,0,2.7,1,26.79,25.424,36.614,22,40.614,25,36.0,37,40,20,7.712,54.1,40.5,0.99,1.098,0.724,0.687,285.36,22
9.301,0,2.6,3,26.006,24.665,37.825,21,42.239,23,31.5,38,40,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,279.36,17
9.699,0,2.6,3,26.006,24.665,37.825,21,42.239,23,31.5,38,40,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,279.36,17
7.027,0,3.1,1,22.483,21.612,32.058,19,35.408,21,29.5,32,34,16,7.853,50.0,40.6,1.002,1.107,0.703,0.675,251.3,17
8.347,1,6.7,2,21.818,20.677,29.622,18,33.073,20,29.0,30,32,16,7.743,53.3,40.0,0.987,1.102,0.727,0.689,232.3,12
9.097,0,2.9,2,23.79,22.424,33.614,19,37.614,21,29.5,34,36,17,7.333,50.0,44.1,0.989,1.106,0.7,0.66,249.33,17
9.222,0,6.5,1,22.818,21.677,30.622,19,34.073,21,31.5,31,33,17,7.881,54.8,38.7,0.988,1.099,0.736,0.699,244.31,17
8.658,0,2.6,3,26.006,24.665,37.825,21,42.239,23,31.5,38,40,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,279.36,17
5.915,1,2.7,2,25.699,24.853,37.269,22,41.033,24,33.5,37,39,18,7.928,48.6,40.5,1.007,1.109,0.695,0.672,293.34,17
7.187,1,2.3,1,30.943,30.049,43.338,27,47.578,30,42.5,43,46,23,8.312,53.5,37.2,1.008,1.106,0.72,0.699,357.4,23
8.481,1,2.8,4,24.551,22.951,35.498,19,40.029,21,28.0,36,38,17,6.982,47.2,47.2,0.986,1.112,0.682,0.638,251.35,12
8.42,0,2.6,3,26.006,24.665,37.825,21,42.239,23,31.5,38,40,18,7.352,47.4,44.7,0.995,1.112,0.684,0.649,279.36,17
7.027,1,5.7,1,24.489,23.633,35.16,21,38.907,23,32.5,35,37,17,7.952,48.6,40.0,1.005,1.112,0.7,0.675,278.33,17
8.678,1,2.8,2,25.245,24.139,35.942,21,39.824,23,32.5,36,38,18,7.704,50.0,41.7,0.998,1.106,0.701,0.671,277.34,17
8.377,1,6.9,2,22.324,20.691,29.022,18,31.937,20,27.0,29,31,14,9.476,48.3,37.9,1.001,1.101,0.77,0.713,274.79,12
7.921,1,7.4,1,20.159,19.052,27.142,17,29.787,19,26.0,27,29,13,8.975,48.1,37.0,1.005,1.103,0.747,0.706,242.32,12
8.509,1,6.9,2,21.466,19.864,28.698,17,31.993,19,26.0,29,31,14,8.288,48.3,41.4,0.99,1.103,0.74,0.685,240.35,12
6.728,4,7.7,1,27.642,27.557,40.033,26,43.409,29,41.5,39,42,19,8.906,48.7,33.3,1.026,1.113,0.709,0.707,347.35,17
8.523,0,2.0,2,36.074,34.004,49.265,29,54.86,33,47.0,50,54,27,7.51,54.0,42.0,0.985,1.097,0.721,0.68,375.49,28
7.276,0,2.3,2,31.313,29.477,43.382,25,48.445,28,39.5,44,47,23,7.396,52.3,43.2,0.986,1.101,0.712,0.67,325.43,23
8.569,0,4.9,1,30.341,28.73,40.389,25,44.903,28,41.5,41,44,23,7.815,56.1,39.0,0.985,1.095,0.74,0.701,320.41,23
8.509,0,2.5,2,28.551,26.951,39.498,23,44.029,26,37.0,40,43,21,7.485,52.5,42.5,0.987,1.101,0.714,0.674,299.39,22
5.826,1,2.4,2,29.006,27.665,40.825,24,45.239,27,37.0,41,44,21,7.692,51.2,41.5,0.996,1.103,0.707,0.675,315.39,18
8.161,1,2.5,3,27.46,26.38,40.153,23,44.448,25,34.5,40,42,19,7.684,47.5,42.5,1.004,1.111,0.687,0.66,307.37,17
6.361,0,2.3,4,29.705,28.576,43.222,25,47.994,28,37.0,43,46,21,7.8,48.8,41.9,1.005,1.116,0.691,0.665,335.4,18
6.0,0,7.7,2,17.273,16.392,25.949,14,29.282,15,20.5,26,27,11,7.24,42.3,46.2,0.998,1.126,0.664,0.63,188.25,11
8.458,1,8.6,4,23.495,22.655,35.262,20,39.405,21,29.5,35,36,15,7.695,42.9,42.9,1.007,1.126,0.671,0.647,269.33,11
7.798,0,6.3,4,20.733,19.829,32.229,17,36.452,18,23.5,32,33,13,7.322,40.6,46.9,1.007,1.139,0.648,0.62,234.3,11
7.852,0,5.6,2,24.796,23.445,35.716,20,40.112,22,30.5,36,38,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,264.35,17
8.153,1,10.3,2,19.972,19.601,29.494,18,32.575,19,27.5,29,30,13,8.32,44.8,37.9,1.017,1.123,0.689,0.676,241.27,11
8.399,1,5.9,4,23.603,22.185,34.273,19,38.163,20,26.5,34,35,14,9.506,41.2,44.1,1.008,1.122,0.694,0.653,323.21,11
8.239,0,6.3,1,23.438,22.031,31.829,19,35.432,21,29.5,32,34,16,8.399,50.0,40.6,0.995,1.107,0.732,0.688,268.76,17
8.291,0,6.3,1,23.932,22.229,31.734,19,35.329,21,29.5,32,34,16,9.788,50.0,40.6,0.992,1.104,0.748,0.695,313.21,17
5.93,0,7.7,2,17.273,16.392,25.949,14,29.282,15,20.5,26,27,11,7.24,42.3,46.2,0.998,1.126,0.664,0.63,188.25,11
6.221,0,12.5,1,16.063,15.171,23.84,13,27.156,14,19.5,24,25,10,7.218,41.7,45.8,0.993,1.131,0.669,0.632,173.24,11
7.23,0,5.6,5,23.012,21.687,35.927,18,40.737,19,24.5,36,37,14,6.843,38.9,50.0,0.998,1.132,0.639,0.602,246.34,11
8.77,0,9.1,1,23.824,22.698,32.723,20,36.571,22,32.5,33,35,17,7.858,51.5,39.4,0.992,1.108,0.722,0.688,259.33,17
6.0,0,12.5,1,16.063,15.171,23.84,13,27.156,14,19.5,24,25,10,7.218,41.7,45.8,0.993,1.131,0.669,0.632,173.24,11
6.09,0,9.1,1,14.995,14.533,22.251,13,24.997,14,19.5,22,23,10,8.01,45.5,40.9,1.011,1.136,0.682,0.661,176.21,11
6.439,0,9.1,1,16.409,15.175,21.967,13,24.499,14,19.5,22,23,10,10.778,45.5,40.9,0.999,1.114,0.746,0.69,237.11,11
7.888,0,9.1,4,22.04,20.94,32.934,18,37.196,19,26.5,33,34,14,7.313,42.4,45.5,0.998,1.127,0.668,0.635,241.32,11
7.26,0,6.3,4,21.654,20.273,32.04,17,36.056,18,23.5,32,33,13,7.836,40.6,46.9,1.001,1.127,0.677,0.634,250.75,11
8.26,0,9.1,1,23.762,23.082,33.236,21,36.911,23,33.5,33,35,17,8.404,51.5,36.4,1.007,1.119,0.72,0.699,277.32,17
7.601,0,9.1,1,23.762,23.082,33.236,21,36.911,23,33.5,33,35,17,8.404,51.5,36.4,1.007,1.119,0.72,0.699,277.32,17
8.209,0,6.3,4,22.148,20.47,31.945,17,35.954,18,23.5,32,33,13,9.225,40.6,46.9,0.998,1.124,0.692,0.64,295.2,11
7.359,1,9.1,3,22.188,21.843,33.705,20,37.199,21,29.5,33,34,14,8.221,42.4,39.4,1.021,1.127,0.672,0.662,271.3,11
7.639,0,13.0,1,17.654,16.67,23.185,15,25.582,16,23.5,23,24,11,11.397,47.8,34.8,1.008,1.112,0.768,0.725,262.12,11
7.539,0,11.1,2,18.517,17.886,27.167,16,30.365,17,24.5,27,28,12,7.899,44.4,40.7,1.006,1.125,0.686,0.662,213.26,11
6.39,0,12.5,1,23.068,22.193,31.942,20,35.654,22,32.5,32,34,16,8.135,50.0,37.5,0.998,1.114,0.721,0.694,260.32,17
8.639,0,9.1,1,23.762,23.082,33.236,21,36.911,23,33.5,33,35,17,8.404,51.5,36.4,1.007,1.119,0.72,0.699,277.32,17
7.301,1,5.9,4,22.188,21.543,34.556,19,38.662,20,26.5,34,35,14,7.715,41.2,44.1,1.016,1.137,0.653,0.634,262.31,11
6.751,1,5.9,4,23.108,21.988,34.367,19,38.266,20,26.5,34,35,14,8.199,41.2,44.1,1.011,1.125,0.68,0.647,278.76,11
6.919,1,5.3,5,24.466,23.402,38.254,20,42.946,21,27.5,38,39,15,7.22,39.5,47.4,1.007,1.13,0.644,0.616,274.35,11
6.931,0,8.3,2,25.586,24.225,35.607,21,39.986,23,33.5,36,38,18,7.593,50.0,41.7,0.989,1.111,0.711,0.673,273.36,17
8.282,0,8.3,2,25.586,24.225,35.607,21,39.986,23,33.5,36,38,18,7.593,50.0,41.7,0.989,1.111,0.711,0.673,273.36,17
6.712,1,5.9,4,22.25,21.16,34.043,18,38.322,19,25.5,34,35,14,7.186,41.2,47.1,1.001,1.127,0.654,0.622,244.32,11
6.34,0,9.1,1,15.915,14.978,22.062,13,24.601,14,19.5,22,23,10,8.757,45.5,40.9,1.003,1.118,0.723,0.681,192.66,11
7.96,0,6.3,1,22.517,21.587,32.018,19,35.828,21,29.5,32,34,16,7.885,50.0,40.6,1.001,1.12,0.704,0.675,252.31,17
8.431,0,8.3,2,25.586,24.225,35.607,21,39.986,23,33.5,36,38,18,7.593,50.0,41.7,0.989,1.111,0.711,0.673,273.36,17
6.542,0,6.3,4,20.796,19.445,31.716,16,36.112,17,22.5,32,33,13,6.76,40.6,50.0,0.991,1.129,0.65,0.608,216.31,11
7.209,1,12.0,1,17.756,17.359,25.284,16,27.95,17,25.5,25,26,12,8.45,48.0,36.0,1.011,1.118,0.71,0.694,211.24,11
7.553,1,6.9,2,20.273,19.392,28.949,17,32.282,19,26.0,29,31,14,7.734,48.3,41.4,0.998,1.113,0.699,0.669,224.28,12
8.77,1,5.9,4,22.25,21.16,34.043,18,38.322,19,25.5,34,35,14,7.186,41.2,47.1,1.001,1.127,0.654,0.622,244.32,11
8.071,1,6.1,1,25.08,24.132,33.505,22,36.333,25,34.5,33,36,17,10.764,51.5,33.3,1.015,1.101,0.76,0.731,355.2,17
4.921,2,3.2,2,22.029,20.897,30.731,18,34.199,20,28.0,31,33,16,7.59,51.6,41.9,0.991,1.103,0.711,0.674,235.3,12
9.049,0,10.0,4,20.824,19.698,29.723,17,33.571,19,26.5,30,32,14,7.443,46.7,43.3,0.991,1.119,0.694,0.657,223.3,11
7.143,1,6.5,3,21.034,19.918,30.833,17,34.697,18,25.0,31,32,14,7.3,45.2,45.2,0.995,1.119,0.679,0.643,226.3,12
