pXC50,nO,O.,Si,Se,nSK,Sp,nDB,Sv,nCsp3,C.,nBT,nAT,nC,MW,nHet,SCBO,AMW,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM
5.273,2,6.3,36.322,32.043,16,20.25,1,19.16,8,37.5,34,32,12,220.3,4,21.5,6.884,50.0,1.001,1.135,0.633,0.599,6.3,5,0,6
5.0,2,5.7,39.737,34.927,17,22.012,1,20.687,9,37.1,37,35,13,234.33,4,22.5,6.695,51.4,0.998,1.135,0.629,0.591,5.7,5,0,6
5.0,2,5.7,39.737,34.927,17,22.012,1,20.687,9,37.1,37,35,13,234.33,4,22.5,6.695,51.4,0.998,1.135,0.629,0.591,5.7,5,0,6
5.889,2,8.3,27.076,24.393,14,15.966,2,15.58,4,41.7,26,24,10,190.22,4,20.5,7.926,41.7,1.016,1.128,0.665,0.649,8.3,5,0,7
5.0,2,8.3,27.076,24.393,14,15.966,2,15.58,4,41.7,26,24,10,190.22,4,20.5,7.926,41.7,1.016,1.128,0.665,0.649,8.3,5,0,7
7.553,2,7.4,30.491,27.276,15,17.727,2,17.106,5,40.7,29,27,11,204.25,4,21.5,7.565,44.4,1.01,1.129,0.657,0.634,7.4,5,0,7
6.644,2,7.4,30.491,27.276,15,17.727,2,17.106,5,40.7,29,27,11,204.25,4,21.5,7.565,44.4,1.01,1.129,0.657,0.634,7.4,5,0,7
5.703,2,7.4,30.491,27.276,15,17.727,1,17.106,7,40.7,30,27,11,204.25,4,21.5,7.565,44.4,1.01,1.129,0.657,0.634,7.4,5,0,6
5.2,3,6.4,52.279,46.92,26,31.983,1,30.434,3,46.8,49,47,22,347.44,4,38.0,7.392,44.7,0.998,1.112,0.68,0.648,2.1,18,0,19
5.959,4,12.5,35.744,32.494,18,21.148,3,20.547,4,43.8,33,32,14,246.28,4,25.0,7.696,43.8,1.015,1.117,0.661,0.642,0.0,6,0,9
6.391,4,15.4,28.755,26.956,17,18.977,3,18.518,2,46.2,27,26,12,297.11,5,24.0,11.427,34.6,1.037,1.106,0.73,0.712,0.0,6,0,9
5.377,4,13.8,33.348,31.149,20,19.199,3,20.17,3,44.8,30,29,13,286.22,7,27.0,9.87,31.0,1.074,1.15,0.662,0.696,0.0,6,0,9
5.301,4,17.4,25.418,23.92,15,16.511,3,16.154,2,43.5,24,23,10,224.25,5,21.5,9.75,34.8,1.04,1.105,0.718,0.702,0.0,5,0,8
5.33,4,17.4,25.362,24.244,16,17.369,3,16.981,2,43.5,24,23,10,258.69,6,22.5,11.247,30.4,1.054,1.103,0.755,0.738,0.0,5,0,8
6.131,4,17.4,25.26,24.149,16,17.864,3,17.179,2,43.5,24,23,10,303.14,6,22.5,13.18,30.4,1.05,1.098,0.777,0.747,0.0,5,0,8
4.481,4,16.0,27.997,25.945,16,16.869,3,16.988,2,44.0,26,25,11,219.21,5,23.0,8.768,36.0,1.038,1.12,0.675,0.68,4.0,6,0,9
4.387,4,15.4,28.802,27.375,18,19.341,3,19.148,2,46.2,27,26,12,287.1,6,25.0,11.042,30.8,1.053,1.108,0.744,0.736,0.0,6,0,9
6.367,4,15.4,28.634,26.796,17,20.284,3,18.81,2,46.2,27,26,12,344.11,5,24.0,13.235,34.6,1.031,1.101,0.78,0.723,0.0,6,0,9
5.62,4,17.4,25.418,23.92,15,16.511,3,16.154,2,43.5,24,23,10,224.25,5,21.5,9.75,34.8,1.04,1.105,0.718,0.702,0.0,5,0,8
6.319,4,15.4,28.834,26.804,16,18.273,3,17.68,3,42.3,27,26,11,238.28,5,22.5,9.165,38.5,1.031,1.109,0.703,0.68,0.0,5,0,8
5.553,4,15.4,28.834,26.804,16,18.273,3,17.68,3,42.3,27,26,11,238.28,5,22.5,9.165,38.5,1.031,1.109,0.703,0.68,0.0,5,0,8
5.585,4,15.4,29.593,27.753,18,17.5,3,18.26,2,46.2,27,26,12,254.2,6,25.0,9.777,30.8,1.067,1.138,0.673,0.702,0.0,6,0,9
4.301,4,18.2,24.914,22.727,12,13.625,3,13.493,4,36.4,22,22,8,170.18,4,15.0,7.735,45.5,1.033,1.132,0.619,0.613,0.0,0,0,3
4.0,4,17.4,25.914,23.727,13,14.625,3,14.493,5,39.1,24,23,9,182.19,4,17.0,7.921,43.5,1.032,1.127,0.636,0.63,0.0,0,0,3
5.699,4,13.3,33.744,30.494,16,19.148,4,18.547,6,40.0,31,30,12,222.26,4,21.0,7.409,46.7,1.016,1.125,0.638,0.618,0.0,0,0,4
5.244,4,15.4,29.253,27.24,17,17.563,3,17.877,2,46.2,27,26,12,236.21,5,24.0,9.085,34.6,1.048,1.125,0.675,0.688,0.0,6,0,9
5.268,4,13.8,32.329,29.611,17,19.386,3,19.02,3,44.8,30,29,13,232.25,4,24.0,8.009,41.4,1.021,1.115,0.668,0.656,0.0,6,0,9
5.412,5,13.5,41.452,37.924,22,24.608,2,24.283,2,43.2,38,37,16,301.32,6,31.0,8.144,40.5,1.025,1.12,0.665,0.656,2.7,12,0,14
6.0,2,8.3,27.831,24.789,13,14.665,1,14.49,4,33.3,24,24,8,186.21,5,16.5,7.759,45.8,1.033,1.16,0.611,0.604,8.3,5,0,6
5.36,2,8.3,27.333,24.505,13,16.08,1,15.132,4,33.3,24,24,8,247.11,5,16.5,10.296,45.8,1.021,1.139,0.67,0.63,8.3,5,0,6
5.82,0,0.0,19.99,17.611,11,11.034,0,11.128,1,29.4,18,17,5,150.17,6,17.0,8.834,35.3,1.036,1.176,0.649,0.655,35.3,10,0,10
4.39,0,0.0,26.82,23.378,13,14.557,0,14.182,3,30.4,24,23,7,178.23,6,19.0,7.749,43.5,1.016,1.166,0.633,0.617,26.1,10,0,10
4.74,0,0.0,24.405,21.494,13,13.796,0,13.655,3,33.3,23,21,7,176.21,6,20.0,8.391,38.1,1.024,1.162,0.657,0.65,28.6,10,0,10
5.82,0,0.0,20.33,18.124,12,10.972,0,11.512,1,29.4,18,17,5,168.16,7,18.0,9.892,29.4,1.066,1.196,0.645,0.677,35.3,10,0,10
7.347,4,8.7,51.017,46.687,28,32.534,2,31.449,2,47.8,48,46,22,395.86,6,41.0,8.606,39.1,1.015,1.109,0.707,0.684,2.2,18,0,20
6.301,3,7.3,45.448,41.153,24,28.46,2,27.38,2,48.8,43,41,20,319.38,4,36.5,7.79,41.5,1.004,1.108,0.694,0.668,2.4,17,0,19
6.229,3,6.7,49.863,45.036,26,31.222,2,29.907,2,48.9,47,45,22,345.42,4,39.0,7.676,42.2,1.001,1.108,0.694,0.665,2.2,18,0,20
7.066,4,8.9,50.156,45.582,27,30.921,2,30.116,2,46.7,47,45,21,362.41,6,40.0,8.054,40.0,1.013,1.115,0.687,0.669,4.4,18,0,20
4.699,3,6.5,51.445,46.356,27,31.472,2,30.423,2,45.7,48,46,21,361.43,6,40.0,7.857,41.3,1.008,1.118,0.684,0.661,6.5,18,0,20
7.114,4,9.3,47.522,43.88,27,31.421,2,30.11,2,46.5,45,43,20,401.89,7,39.5,9.346,37.2,1.02,1.105,0.731,0.7,2.3,17,0,19
8.222,4,9.5,46.605,43.098,27,30.665,2,29.604,2,45.2,44,42,19,402.88,8,39.5,9.592,35.7,1.026,1.11,0.73,0.705,4.8,17,0,19
7.326,4,8.7,51.654,46.683,27,30.926,2,30.138,3,43.5,48,46,20,365.42,7,39.5,7.944,41.3,1.015,1.123,0.672,0.655,6.5,17,0,19
4.699,5,12.2,46.033,42.244,26,27.858,2,27.799,2,43.9,43,41,18,353.36,8,38.5,8.619,36.6,1.03,1.123,0.679,0.678,7.3,17,0,19
5.23,0,0.0,24.745,22.007,14,13.733,0,14.039,3,33.3,23,21,7,194.2,7,21.0,9.248,33.3,1.048,1.178,0.654,0.669,28.6,10,0,10
6.62,4,10.3,43.827,40.211,25,27.296,2,26.766,2,41.0,41,39,16,358.41,9,37.0,9.19,35.9,1.031,1.124,0.7,0.686,10.3,16,0,18
6.367,4,9.8,45.744,41.993,26,29.051,2,28.271,2,43.9,43,41,18,369.43,8,38.5,9.01,36.6,1.024,1.116,0.709,0.69,7.3,17,0,19
6.032,4,9.8,45.744,41.993,26,29.051,2,28.271,2,43.9,43,41,18,369.43,8,38.5,9.01,36.6,1.024,1.116,0.709,0.69,7.3,17,0,19
8.398,5,12.5,45.116,41.462,26,27.102,2,27.294,2,42.5,42,40,17,354.35,9,38.5,8.859,35.0,1.037,1.128,0.678,0.682,10.0,17,0,19
5.886,4,9.5,47.322,43.018,26,28.409,2,28.106,2,42.9,44,42,18,352.38,8,38.5,8.39,38.1,1.024,1.127,0.676,0.669,9.5,17,0,19
4.456,2,7.1,31.907,28.16,14,17.489,1,16.633,4,35.7,28,28,10,194.26,4,18.0,6.938,50.0,1.006,1.14,0.625,0.594,7.1,6,0,7
6.37,2,9.5,24.076,21.393,11,12.966,1,12.58,3,33.3,21,21,7,154.19,4,14.5,7.342,47.6,1.019,1.146,0.617,0.599,9.5,5,0,6
5.333,2,9.5,24.076,21.393,11,12.966,1,12.58,3,33.3,21,21,7,154.19,4,14.5,7.342,47.6,1.019,1.146,0.617,0.599,9.5,5,0,6
6.0,2,13.3,17.586,16.138,10,9.381,1,9.909,1,33.3,15,15,5,144.12,5,13.5,9.608,33.3,1.076,1.172,0.625,0.661,13.3,5,0,6
4.79,2,9.1,25.076,22.393,12,13.966,1,13.58,4,36.4,23,22,8,166.2,4,16.5,7.555,45.5,1.018,1.14,0.635,0.617,9.1,5,0,6
5.06,3,15.8,21.87,19.836,11,11.659,1,11.768,2,31.6,19,19,6,156.16,5,14.5,8.219,42.1,1.044,1.151,0.614,0.619,10.5,5,0,6
5.215,3,21.4,16.04,15.069,10,9.136,2,9.714,0,35.7,14,14,5,140.11,5,14.5,10.008,28.6,1.076,1.146,0.653,0.694,14.3,5,0,7
5.602,3,18.8,18.455,16.953,10,9.898,1,10.241,1,31.3,16,16,5,142.13,5,13.5,8.883,37.5,1.06,1.153,0.619,0.64,12.5,5,0,6
6.0,2,10.5,21.661,19.509,11,12.205,1,12.053,3,36.8,20,19,7,152.17,4,15.5,8.009,42.1,1.027,1.14,0.642,0.634,10.5,5,0,6
4.796,2,11.8,19.163,17.407,10,11.199,1,11.031,1,41.2,17,17,7,137.15,3,14.0,8.068,41.2,1.024,1.127,0.659,0.649,5.9,6,0,7
6.301,2,14.3,15.668,14.6,9,10.085,1,9.692,1,35.7,14,14,5,143.18,4,12.5,10.227,35.7,1.043,1.119,0.72,0.692,7.1,5,0,6
5.538,2,15.4,14.831,13.742,9,8.682,1,8.999,0,38.5,13,13,5,124.11,4,13.0,9.547,30.8,1.057,1.141,0.668,0.692,15.4,6,0,7
5.051,2,8.0,28.076,25.393,15,16.966,1,16.58,1,44.0,26,25,11,202.23,4,22.5,8.089,40.0,1.016,1.123,0.679,0.663,8.0,11,0,12
4.866,2,14.3,15.589,14.753,10,10.79,1,10.53,0,42.9,14,14,6,202.01,4,14.0,14.429,28.6,1.054,1.114,0.771,0.752,7.1,6,0,7
5.18,2,7.1,31.907,28.16,14,17.489,1,16.633,6,35.7,29,28,10,194.26,4,18.5,6.938,50.0,1.006,1.14,0.625,0.594,7.1,5,0,6
4.921,2,6.9,32.491,29.276,17,19.727,1,19.106,3,44.8,31,29,13,228.27,4,25.5,7.871,41.4,1.01,1.12,0.68,0.659,6.9,11,0,12
5.06,3,13.0,26.286,23.72,13,14.42,1,14.294,4,34.8,24,23,8,182.2,5,17.5,7.922,43.5,1.031,1.143,0.627,0.621,8.7,5,0,6
5.252,2,11.8,19.166,17.702,11,12.091,1,11.713,2,35.3,18,17,6,170.21,5,15.5,10.012,35.3,1.041,1.127,0.711,0.689,11.8,5,0,6
6.48,2,7.4,30.907,27.16,13,16.489,1,15.633,5,33.3,27,27,9,182.25,4,16.5,6.75,51.9,1.006,1.145,0.611,0.579,7.4,5,0,6
5.252,2,6.7,34.322,30.043,14,18.25,1,17.16,6,33.3,30,30,10,196.28,4,17.5,6.543,53.3,1.001,1.144,0.608,0.572,6.7,5,0,6
5.337,3,6.0,56.441,50.56,29,33.483,2,32.466,5,42.0,53,50,21,391.47,8,42.5,7.829,42.0,1.011,1.129,0.67,0.649,10.0,17,0,19
5.5,3,5.7,59.857,53.443,30,35.245,2,33.993,6,41.5,56,53,22,405.5,8,43.5,7.651,43.4,1.008,1.129,0.665,0.641,9.4,17,0,19
5.357,3,5.7,59.857,53.443,30,35.245,2,33.993,6,41.5,56,53,22,405.5,8,43.5,7.651,43.4,1.008,1.129,0.665,0.641,9.4,17,0,19
5.796,3,6.4,53.026,47.676,28,31.722,2,30.939,4,42.6,50,47,20,377.44,8,41.5,8.031,40.4,1.014,1.128,0.675,0.658,10.6,17,0,19
5.416,3,6.3,53.943,48.458,28,32.478,2,31.444,4,43.8,51,48,21,376.45,7,41.5,7.843,41.7,1.01,1.124,0.677,0.655,8.3,17,0,19
4.503,3,6.1,54.86,49.24,28,33.233,2,31.95,4,44.9,52,49,22,375.46,6,41.5,7.662,42.9,1.005,1.12,0.678,0.652,6.1,17,0,19
5.352,3,6.3,53.943,48.458,28,32.478,2,31.444,4,43.8,51,48,21,376.45,7,41.5,7.843,41.7,1.01,1.124,0.677,0.655,8.3,17,0,19
4.699,3,7.1,47.416,43.222,26,29.432,2,28.573,4,40.5,44,42,17,395.27,9,36.0,9.411,38.1,1.029,1.129,0.701,0.68,9.5,12,0,14
4.886,3,5.9,57.441,51.56,30,34.483,2,33.466,4,43.1,54,51,22,403.48,8,44.0,7.911,41.2,1.011,1.126,0.676,0.656,9.8,18,0,20
5.481,4,7.8,57.651,51.887,30,33.938,2,33.181,5,41.2,54,51,21,407.47,9,43.5,7.99,41.2,1.017,1.13,0.665,0.651,9.8,17,0,19
5.237,4,8.3,54.236,49.003,29,32.176,2,31.654,4,41.7,51,48,20,393.44,9,42.5,8.197,39.6,1.021,1.13,0.67,0.659,10.4,17,0,19
4.979,2,8.0,27.918,25.622,16,18.318,1,17.605,1,44.0,26,25,11,281.12,5,23.5,11.245,36.0,1.025,1.117,0.733,0.704,8.0,11,0,12
5.31,2,10.5,21.08,19.189,11,12.955,2,12.537,0,47.4,19,19,9,148.17,2,16.0,7.798,42.1,1.01,1.109,0.682,0.66,0.0,6,0,8
6.293,4,15.4,28.914,26.727,16,17.625,3,17.493,2,46.2,27,26,12,218.22,4,23.0,8.393,38.5,1.028,1.112,0.678,0.673,0.0,6,0,9
4.854,3,18.8,17.874,16.633,10,10.648,2,10.725,0,43.8,16,16,7,138.13,3,14.5,8.633,37.5,1.04,1.117,0.665,0.67,0.0,5,0,7
5.569,3,17.6,19.455,17.953,11,10.898,1,11.241,2,35.3,18,17,6,154.14,5,15.5,9.067,35.3,1.056,1.144,0.641,0.661,11.8,5,0,6
5.456,2,9.1,25.076,22.393,12,13.966,1,13.58,4,36.4,23,22,8,166.2,4,16.5,7.555,45.5,1.018,1.14,0.635,0.617,9.1,5,0,6
5.276,3,17.6,19.455,17.953,11,10.898,2,11.241,1,35.3,17,17,6,154.14,5,16.0,9.067,35.3,1.056,1.144,0.641,0.661,11.8,6,0,8
5.155,4,15.4,28.675,27.033,17,19.625,3,18.706,3,42.3,27,26,11,317.17,6,23.5,12.199,34.6,1.04,1.103,0.755,0.719,0.0,5,0,8
4.638,5,16.7,33.538,30.938,18,19.841,3,19.735,3,43.3,31,30,13,248.25,5,25.0,8.275,40.0,1.031,1.118,0.661,0.658,0.0,6,0,9
4.337,5,21.7,25.708,24.171,15,15.318,3,15.681,2,43.5,24,23,10,208.18,5,21.5,9.051,34.8,1.051,1.118,0.666,0.682,0.0,5,0,8
5.796,4,15.4,28.858,27.051,17,18.483,3,18.321,2,46.2,27,26,12,252.66,5,24.0,9.718,34.6,1.04,1.11,0.711,0.705,0.0,6,0,9
6.959,4,17.4,25.26,24.149,16,17.864,3,17.179,2,43.5,24,23,10,303.14,6,22.5,13.18,30.4,1.05,1.098,0.777,0.747,0.0,5,0,8
4.301,4,20.0,22.498,20.844,12,12.864,4,12.966,2,40.0,20,20,8,168.16,4,16.0,8.408,40.0,1.042,1.125,0.643,0.648,0.0,0,0,4
5.215,4,15.4,29.593,27.753,18,17.5,3,18.26,2,46.2,27,26,12,254.2,6,25.0,9.777,30.8,1.067,1.138,0.673,0.702,0.0,6,0,9
4.721,4,14.8,29.914,27.727,17,18.625,3,18.493,3,48.1,29,27,13,230.23,4,25.0,8.527,37.0,1.027,1.108,0.69,0.685,0.0,6,0,9
5.602,4,14.8,30.329,27.611,15,17.386,4,17.02,5,40.7,28,27,11,208.23,4,20.0,7.712,44.4,1.023,1.123,0.644,0.63,0.0,0,0,4
5.268,4,15.4,29.253,27.24,17,17.563,3,17.877,2,46.2,27,26,12,236.21,5,24.0,9.085,34.6,1.048,1.125,0.675,0.688,0.0,6,0,9
5.143,4,15.4,29.593,27.753,18,17.5,3,18.26,2,46.2,27,26,12,254.2,6,25.0,9.777,30.8,1.067,1.138,0.673,0.702,0.0,6,0,9
5.921,4,15.4,29.253,27.24,17,17.563,3,17.877,2,46.2,27,26,12,236.21,5,24.0,9.085,34.6,1.048,1.125,0.675,0.688,0.0,6,0,9
6.398,2,7.7,29.575,26.494,15,16.972,1,16.601,3,38.5,27,26,10,205.24,5,22.0,7.894,42.3,1.019,1.137,0.653,0.639,11.5,10,0,11
4.921,4,15.4,29.593,27.753,18,17.5,3,18.26,2,46.2,27,26,12,254.2,6,25.0,9.777,30.8,1.067,1.138,0.673,0.702,0.0,6,0,9
6.046,2,13.3,17.246,15.625,9,9.443,1,9.526,1,33.3,15,15,5,126.13,4,12.5,8.409,40.0,1.042,1.15,0.63,0.635,13.3,5,0,6
6.467,3,6.8,48.946,44.254,26,30.466,2,29.402,2,47.7,46,44,21,346.41,5,39.0,7.873,40.9,1.006,1.112,0.692,0.668,4.5,18,0,20
5.469,4,8.5,52.571,47.465,27,31.682,2,30.643,4,44.7,49,47,21,364.43,6,39.5,7.754,42.6,1.01,1.119,0.674,0.652,4.3,17,0,19
6.921,5,12.2,46.033,42.244,26,27.858,2,27.799,2,43.9,43,41,18,353.36,8,38.5,8.619,36.6,1.03,1.123,0.679,0.678,7.3,17,0,19
6.285,2,10.5,22.001,20.022,12,12.142,1,12.436,3,36.8,20,19,7,170.16,5,16.5,8.956,36.8,1.054,1.158,0.639,0.655,10.5,5,0,6
5.6,2,13.3,17.19,15.949,10,10.301,1,10.354,1,33.3,15,15,5,160.57,5,13.5,10.705,33.3,1.063,1.146,0.687,0.69,13.3,5,0,6
4.77,0,0.0,16.575,14.727,10,9.273,0,9.602,0,28.6,15,14,4,136.14,6,16.0,9.724,28.6,1.052,1.184,0.662,0.686,42.9,10,0,10
5.11,0,0.0,26.82,23.378,13,14.557,0,14.182,3,30.4,24,23,7,178.23,6,19.0,7.749,43.5,1.016,1.166,0.633,0.617,26.1,10,0,10
4.73,0,0.0,30.235,26.262,14,16.318,0,15.709,4,30.8,27,26,8,192.26,6,20.0,7.395,46.2,1.01,1.163,0.628,0.604,23.1,10,0,10
5.602,3,15.0,22.87,20.836,12,12.659,1,12.768,3,35.0,21,20,7,168.17,5,16.5,8.409,40.0,1.042,1.144,0.633,0.638,10.0,5,0,6
5.678,3,11.5,29.701,26.604,14,16.182,1,15.821,5,34.6,27,26,9,196.23,5,18.5,7.547,46.2,1.023,1.142,0.622,0.609,7.7,5,0,6
5.824,2,18.2,12.252,11.716,8,8.324,1,8.165,0,36.4,11,11,4,129.15,4,11.5,11.741,27.3,1.065,1.114,0.757,0.742,9.1,5,0,6
5.886,3,21.4,15.957,14.851,9,8.892,1,9.219,1,35.7,14,14,5,127.11,4,12.5,9.079,35.7,1.061,1.14,0.635,0.659,7.1,5,0,6
4.699,2,13.3,17.246,15.625,9,9.443,1,9.526,1,33.3,15,15,5,126.13,4,12.5,8.409,40.0,1.042,1.15,0.63,0.635,13.3,5,0,6
4.638,2,15.4,14.831,13.742,9,8.682,1,8.999,0,38.5,13,13,5,124.11,4,13.0,9.547,30.8,1.057,1.141,0.668,0.692,15.4,6,0,7
5.293,2,8.0,28.02,25.716,16,17.824,1,17.407,1,44.0,26,25,11,236.67,5,23.5,9.467,36.0,1.029,1.121,0.713,0.696,8.0,11,0,12
4.914,3,13.6,25.286,22.72,12,13.42,1,13.294,3,31.8,22,22,7,170.19,5,15.5,7.736,45.5,1.033,1.149,0.61,0.604,9.1,5,0,6
6.049,2,11.1,20.661,18.509,10,11.205,1,11.053,2,33.3,18,18,6,140.16,4,13.5,7.787,44.4,1.028,1.148,0.622,0.614,11.1,5,0,6
5.081,2,9.1,25.076,22.393,12,13.966,1,13.58,4,36.4,23,22,8,166.2,4,16.5,7.555,45.5,1.018,1.14,0.635,0.617,9.1,5,0,6
5.432,2,10.5,21.581,19.585,11,12.852,1,12.24,2,31.6,19,19,6,172.23,5,14.5,9.065,42.1,1.031,1.136,0.676,0.644,10.5,5,0,6
5.31,3,15.0,22.79,20.913,12,13.307,2,12.955,2,30.0,20,20,6,188.23,6,16.5,9.412,40.0,1.046,1.14,0.665,0.648,10.0,5,0,7
5.658,2,11.8,19.166,17.702,11,12.091,1,11.713,2,35.3,18,17,6,170.21,5,15.5,10.012,35.3,1.041,1.127,0.711,0.689,11.8,5,0,6
5.119,2,14.3,15.692,14.847,10,10.295,1,10.332,0,42.9,14,14,6,157.56,4,14.0,11.254,28.6,1.061,1.121,0.735,0.738,7.1,6,0,7
6.0,2,11.1,21.001,19.022,11,11.142,1,11.436,2,33.3,18,18,6,158.15,5,14.5,8.786,38.9,1.057,1.167,0.619,0.635,11.1,5,0,6
4.699,2,6.5,35.322,31.043,15,19.25,1,18.16,5,35.5,31,31,11,208.29,4,19.0,6.719,51.6,1.001,1.139,0.621,0.586,6.5,6,0,7
6.06,0,0.0,23.745,21.007,13,12.733,0,13.039,2,30.0,21,20,6,182.19,7,19.0,9.11,35.0,1.05,1.187,0.637,0.652,30.0,10,0,10
5.46,0,0.0,30.575,26.774,15,16.256,0,16.092,4,30.8,27,26,8,210.25,7,21.0,8.087,42.3,1.03,1.176,0.625,0.619,23.1,10,0,10
5.276,2,14.3,16.087,15.036,10,9.375,1,9.888,0,42.9,14,14,6,141.11,4,14.0,10.079,28.6,1.074,1.149,0.67,0.706,7.1,6,0,7
4.959,4,7.8,57.651,51.887,30,33.938,2,33.181,5,41.2,54,51,21,407.47,9,43.5,7.99,41.2,1.017,1.13,0.665,0.651,9.8,17,0,19
6.591,4,8.3,54.236,49.003,29,32.176,2,31.654,4,41.7,51,48,20,393.44,9,42.5,8.197,39.6,1.021,1.13,0.67,0.659,10.4,17,0,19
5.499,3,6.3,53.943,48.458,28,32.478,2,31.444,5,43.8,51,48,21,376.45,7,41.5,7.843,41.7,1.01,1.124,0.677,0.655,8.3,17,0,19
4.77,3,6.1,55.524,49.778,29,32.728,2,31.96,4,40.8,52,49,20,392.46,9,42.5,8.009,40.8,1.016,1.133,0.668,0.652,12.2,17,0,19
4.959,4,8.3,54.236,49.003,29,32.176,2,31.654,4,41.7,51,48,20,393.44,9,42.5,8.197,39.6,1.021,1.13,0.67,0.659,10.4,17,0,19
5.611,3,6.7,50.448,45.651,27,31.364,2,30.105,4,42.2,48,45,19,382.48,8,40.0,8.5,40.0,1.014,1.121,0.697,0.669,8.9,16,0,18
4.658,4,8.9,50.737,45.902,27,30.171,2,29.632,4,42.2,48,45,19,366.41,8,40.0,8.142,40.0,1.02,1.127,0.67,0.658,8.9,16,0,18
5.53,2,9.5,24.076,21.393,11,12.966,1,12.58,3,33.3,21,21,7,154.19,4,14.5,7.342,47.6,1.019,1.146,0.617,0.599,9.5,5,0,6
5.678,4,17.4,25.362,24.244,16,17.369,3,16.981,2,43.5,24,23,10,258.69,6,22.5,11.247,30.4,1.054,1.103,0.755,0.738,0.0,5,0,8
6.526,4,15.4,28.834,26.804,16,18.273,3,17.68,3,42.3,27,26,11,238.28,5,22.5,9.165,38.5,1.031,1.109,0.703,0.68,0.0,5,0,8
5.678,3,7.0,47.946,43.254,25,29.466,2,28.402,2,46.5,45,43,20,334.4,5,37.5,7.777,41.9,1.006,1.115,0.685,0.661,4.7,17,0,19
5.854,2,8.3,27.491,24.276,12,14.727,1,14.106,4,33.3,24,24,8,168.22,4,15.5,7.009,50.0,1.012,1.145,0.614,0.588,8.3,5,0,6
5.102,4,7.8,57.734,52.105,31,34.182,3,33.675,4,41.2,54,51,21,420.47,10,45.5,8.245,39.2,1.022,1.132,0.67,0.66,11.8,17,0,20
5.606,2,8.0,28.416,25.905,16,16.904,1,16.963,1,44.0,26,25,11,220.22,5,23.5,8.809,36.0,1.036,1.137,0.676,0.679,8.0,11,0,12
4.62,4,13.8,32.329,29.611,17,19.386,3,19.02,3,44.8,30,29,13,232.25,4,24.0,8.009,41.4,1.021,1.115,0.668,0.656,0.0,6,0,9
5.108,3,6.4,53.026,47.676,28,31.722,2,30.939,4,42.6,50,47,20,377.44,8,41.5,8.031,40.4,1.014,1.128,0.675,0.658,10.6,17,0,19
5.921,4,8.9,50.488,45.247,24,29.438,2,28.149,5,42.2,46,45,19,327.41,5,33.0,7.276,46.7,1.005,1.122,0.654,0.626,2.2,12,0,14
5.721,0,0.0,35.179,31.585,20,22.176,0,21.536,3,41.9,34,31,13,286.75,7,31.0,9.25,35.5,1.019,1.135,0.715,0.695,19.4,16,0,16
5.783,0,0.0,24.405,21.494,13,13.796,0,13.655,3,33.3,23,21,7,176.21,6,20.0,8.391,38.1,1.024,1.162,0.657,0.65,28.6,10,0,10
7.119,4,8.7,51.488,46.247,25,30.438,3,29.149,6,43.5,48,46,20,339.42,5,35.5,7.379,45.7,1.005,1.119,0.662,0.634,2.2,11,0,14
7.54,4,8.5,52.654,47.683,28,31.926,2,31.138,4,44.7,50,47,21,377.43,7,41.5,8.03,40.4,1.015,1.12,0.679,0.663,6.4,17,0,19
5.569,0,0.0,35.575,31.774,20,21.256,0,21.092,3,41.9,34,31,13,270.3,7,31.0,8.719,35.5,1.025,1.148,0.686,0.68,19.4,16,0,16
6.77,4,8.0,56.069,50.567,29,33.688,2,32.665,5,44.0,53,50,22,391.46,7,42.5,7.829,42.0,1.011,1.121,0.674,0.653,6.0,17,0,19
5.319,0,0.0,41.481,35.912,18,22.603,0,21.289,8,33.3,38,36,12,246.36,6,25.0,6.843,50.0,0.998,1.152,0.628,0.591,16.7,10,0,10
5.0,5,11.6,47.95,44.025,27,29.614,2,29.304,3,46.5,46,43,20,364.38,7,40.5,8.474,37.2,1.024,1.115,0.689,0.681,4.7,17,0,19
8.355,5,10.4,53.78,48.793,28,32.137,3,31.358,6,43.8,51,48,21,380.43,7,41.5,7.926,41.7,1.017,1.12,0.67,0.653,4.2,15,0,18
7.62,5,10.4,54.12,49.305,29,32.074,3,31.741,6,43.8,51,48,21,398.42,8,42.5,8.3,39.6,1.027,1.128,0.668,0.661,4.2,15,0,18
5.62,0,0.0,35.915,32.287,21,21.193,0,21.475,3,41.9,34,31,13,288.29,8,32.0,9.3,32.3,1.042,1.159,0.684,0.693,19.4,16,0,16
6.119,0,0.0,35.915,32.287,21,21.193,0,21.475,3,41.9,34,31,13,288.29,8,32.0,9.3,32.3,1.042,1.159,0.684,0.693,19.4,16,0,16
6.0,3,6.4,52.279,46.92,26,31.983,2,30.434,4,46.8,49,47,22,347.44,4,38.5,7.392,44.7,0.998,1.112,0.68,0.648,2.1,17,0,19
6.481,4,8.0,56.069,50.567,29,33.688,2,32.665,5,44.0,53,50,22,391.46,7,42.5,7.829,42.0,1.011,1.121,0.674,0.653,6.0,17,0,19
7.367,5,10.4,53.724,49.116,29,32.994,3,32.186,6,43.8,51,48,21,414.87,8,42.5,8.643,39.6,1.023,1.119,0.687,0.671,4.2,15,0,18
