pXC50,ATSC1e,ATSC2s,CATS2D_04_DA,SsssCH,CATS2D_07_PL,AECC,ATS1m,ATS2m,ATS3s,ATS4s,ATS5s,ATS6s,ATSC1s,ATSC3e,ATSC3p,ATSC3s,ATSC4p,ATSC4s,ATSC5e,ATSC5m,ATSC5p,ATSC5s,ATSC6e,ATSC6m,ATSC6p,ATSC6s,ATSC7s,ATSC8e,BAC,C.001,C.008,CATS2D_00_DD,CATS2D_00_DP,CATS2D_00_PP,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DP,CATS2D_05_DA,CATS2D_05_DP,CATS2D_06_AP,CATS2D_06_DA,CATS2D_06_DD,CATS2D_07_DD,CATS2D_08_AA,CATS2D_08_DA,CATS2D_08_DD,CATS2D_08_DL,CATS2D_08_DP,CATS2D_08_PL,CATS2D_09_AP,CATS2D_09_DD,CATS2D_09_DL,DBI,DECC,DELS,DLS_cons,Eig05_AEA.dm.,Eig06_AEA.dm.,Eig06_EA.dm.,Eig07_AEA.dm.,Eig07_EA.dm.,Eig08_AEA.dm.,Eig08_EA.dm.,Eig09_AEA.dm.,Eig09_AEA.ed.,Eig09_EA.dm.
7.288,0.393,271.414,3,-22.719,2,51.46,5.214,5.547,7.817,7.959,8.222,8.13,83.705,3.905,60.481,548.165,60.085,644.565,5.947,242.368,61.86,1151.57,5.447,263.053,69.878,818.388,907.505,7.211,1679.0,9,15,5,5,5,17,32,1,19,1,1,19,21,8,17,25,4,31,2,2,2,20,38,12.981,8.078,314.221,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
7.62,0.536,276.213,3,-22.444,2,42.789,5.098,5.448,7.723,7.875,8.159,8.061,99.056,3.938,50.156,549.178,49.859,675.12,6.011,210.955,51.595,1143.72,5.606,232.027,59.624,836.257,961.645,7.411,1584.0,8,15,6,6,6,17,31,1,19,1,1,19,21,8,17,24,4,29,2,2,2,20,35,12.268,6.935,298.525,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
7.658,0.393,271.414,3,-22.68,2,53.513,5.214,5.547,7.817,7.959,8.222,8.13,83.705,3.905,60.481,548.165,60.085,644.565,5.947,242.368,61.86,1151.57,5.447,263.053,69.878,818.388,905.255,7.211,1673.0,9,15,5,5,5,17,32,1,19,1,1,19,21,8,17,25,4,31,2,2,3,20,38,12.981,8.688,313.402,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
8.959,0.673,333.863,3,-27.346,3,48.756,5.272,5.628,7.878,8.013,8.314,8.256,117.969,4.696,57.025,678.04,57.659,852.762,7.033,233.742,59.633,1310.66,6.975,260.743,68.579,1066.53,1203.52,8.362,2015.0,10,17,5,5,5,20,32,1,24,3,4,26,22,4,21,25,5,42,4,8,4,22,41,13.134,7.605,359.293,0.31,3.845,3.839,1.998,3.808,1.994,3.782,1.985,3.777,6.08,1.978
7.824,0.393,271.414,3,-22.719,2,51.46,5.214,5.547,7.817,7.959,8.222,8.13,83.705,3.905,60.481,548.165,60.085,644.565,5.947,242.368,61.86,1151.57,5.447,263.053,69.878,818.388,907.505,7.211,1679.0,9,15,5,5,5,17,32,1,19,1,1,19,21,8,17,25,4,31,2,2,2,20,38,12.981,8.078,314.221,0.34,3.838,3.781,1.985,3.765,1.976,3.745,1.968,3.714,6.076,1.955
6.796,0.405,255.074,4,-21.381,1,51.377,5.137,5.482,7.73,7.872,8.136,8.03,77.139,3.744,53.558,516.559,53.664,626.343,5.655,213.517,55.068,1072.84,5.168,231.616,61.799,760.122,824.708,6.584,1304.0,10,14,2,2,2,16,26,1,19,1,1,19,18,5,17,23,4,29,2,1,2,18,30,12.288,8.622,283.342,0.34,3.815,3.781,1.984,3.752,1.971,3.715,1.96,3.707,6.007,1.951
6.669,0.398,281.818,3,-24.798,2,50.987,5.253,5.576,7.859,7.998,8.264,8.203,88.491,3.917,63.744,562.765,63.561,649.704,5.952,257.942,66.088,1170.74,5.627,283.436,74.762,860.148,973.468,7.479,1983.0,9,16,7,7,7,19,37,1,20,1,1,18,25,10,16,28,4,36,2,2,1,25,47,13.472,8.152,330.284,0.34,3.821,3.784,1.984,3.773,1.975,3.73,1.965,3.714,6.042,1.954
7.799,0.384,269.979,3,-22.616,2,51.243,5.199,5.536,7.804,7.944,8.213,8.12,83.844,3.846,59.629,548.596,59.605,641.666,5.855,239.303,61.612,1141.35,5.381,260.042,69.09,820.246,905.412,7.076,1661.0,10,15,5,5,5,16,32,1,19,1,1,18,20,8,17,25,3,32,2,2,2,18,35,12.903,7.959,311.255,0.34,3.837,3.78,1.983,3.765,1.974,3.744,1.965,3.709,6.076,1.951
7.286,0.413,285.627,3,-23.071,1,51.46,5.214,5.548,7.818,7.961,8.227,8.132,85.996,3.972,60.451,554.557,60.14,659.046,6.066,241.628,61.72,1170.85,5.544,262.25,69.768,829.162,930.14,7.35,1679.0,9,15,4,4,4,17,32,1,19,1,1,19,21,8,17,25,4,31,2,1,2,20,38,12.981,8.078,317.695,0.34,3.839,3.784,1.995,3.778,1.984,3.749,1.972,3.714,6.076,1.963
4.616,0.023,16.598,1,0.0,0,10.13,3.426,3.765,5.477,5.417,5.346,5.332,5.538,0.165,6.653,24.176,6.732,25.827,0.232,19.053,5.392,25.417,0.17,17.195,5.824,23.21,20.097,0.176,5.0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2.449,1.701,12.933,0.74,2.191,1.941,0.0,1.583,0.0,1.247,0.0,1.0,3.247,0.0
8.759,0.386,183.541,3,-14.653,3,27.963,4.601,4.972,7.253,7.396,7.657,7.582,69.209,2.434,29.406,359.839,29.787,473.303,3.583,118.512,29.932,687.288,3.572,132.112,33.537,577.522,629.561,4.073,697.0,8,10,3,3,3,12,18,1,13,2,2,11,12,4,9,13,3,20,2,4,2,11,18,9.566,4.313,175.041,0.36,3.731,3.689,1.944,3.63,1.927,3.595,1.912,3.579,5.838,1.901
7.456,0.402,274.841,3,-23.92,3,51.453,5.213,5.551,7.831,7.965,8.218,8.14,88.183,3.906,60.456,562.736,60.013,666.973,5.87,241.683,62.229,1146.77,5.416,263.68,70.142,831.295,933.453,7.099,1745.0,10,16,6,6,6,17,33,1,19,1,2,19,21,8,17,25,4,32,3,3,3,20,40,13.019,8.071,317.301,0.34,3.838,3.787,1.985,3.766,1.976,3.747,1.968,3.73,6.077,1.955
6.662,1.436,574.083,12,-49.123,5,69.987,5.623,5.991,8.269,8.447,8.752,8.631,223.233,7.967,74.698,1115.86,76.098,1447.57,12.129,333.093,81.484,2223.2,11.391,370.665,94.688,1723.22,1941.17,14.997,4651.0,14,27,8,8,8,34,40,4,45,3,4,38,37,14,35,51,11,52,7,3,7,37,57,16.155,10.996,573.876,0.31,3.856,3.848,2.006,3.841,2.005,3.838,2.0,3.831,6.207,1.996
8.854,1.083,455.356,6,-41.241,5,59.158,5.522,5.889,8.143,8.29,8.586,8.523,183.764,6.329,70.026,905.901,72.596,1126.65,9.595,309.778,77.006,1755.3,9.419,342.444,88.817,1453.67,1581.26,12.216,3693.0,13,23,11,11,11,25,45,2,34,3,4,33,27,14,27,42,15,50,12,7,11,27,52,15.133,9.513,492.355,0.31,3.848,3.84,1.998,3.838,1.995,3.813,1.987,3.781,6.206,1.982
8.009,1.423,576.044,12,-48.922,4,69.641,5.605,5.974,8.252,8.436,8.732,8.611,221.471,7.812,73.699,1094.71,75.058,1445.78,11.924,325.979,79.779,2185.97,11.196,362.729,92.578,1701.59,1933.33,14.648,4457.0,14,27,7,7,7,33,40,3,44,4,4,37,36,14,34,49,10,51,6,3,7,35,54,16.0,10.843,564.305,0.31,3.863,3.848,2.009,3.839,2.005,3.834,2.003,3.83,6.206,1.999
9.222,0.759,395.463,3,-35.108,3,57.956,5.53,5.906,8.119,8.27,8.555,8.501,138.323,5.601,75.828,787.664,76.727,997.603,8.756,309.088,79.742,1622.84,8.464,346.162,93.659,1274.52,1444.35,10.652,2870.0,12,22,8,8,8,20,46,1,27,3,4,30,27,6,28,32,7,52,4,8,7,24,59,14.56,9.19,463.884,0.31,3.871,3.845,2.004,3.839,1.996,3.836,1.994,3.789,6.218,1.984
8.824,0.557,294.564,3,-25.837,3,47.142,5.166,5.552,7.817,7.978,8.25,8.121,97.632,4.395,53.039,590.888,53.146,796.804,6.835,220.118,54.894,1277.85,6.093,245.589,66.101,889.463,1039.09,7.945,1946.0,15,18,3,3,3,18,26,1,20,1,2,22,17,4,22,21,4,32,3,4,2,16,28,12.51,7.861,323.02,0.31,3.846,3.84,1.996,3.796,1.987,3.781,1.982,3.755,6.116,1.972
7.695,0.357,259.471,3,-21.817,2,51.041,5.186,5.52,7.788,7.934,8.188,8.098,79.221,3.679,59.542,518.39,59.252,617.059,5.678,237.977,61.01,1101.81,5.167,256.583,68.534,781.866,870.941,6.778,1571.0,9,15,5,5,5,16,32,1,18,1,1,18,20,8,16,23,3,30,2,2,2,18,35,12.787,7.852,300.746,0.34,3.835,3.776,1.981,3.764,1.973,3.744,1.962,3.696,6.075,1.949
