pXC50,nO,nC,O.,nCsp2,Mp,nBO,nF,nSK,Sp,nBM,Sv,MW,Me,nAB,nX,Se,Si,nBT,C.,nAT,nH,SCBO,H.,RBF,nDB,Mv,X.,RBN,nN,nCL
4.6,2,18,4.5,10,0.654,26,0,23,28.779,12,27.235,311.42,0.998,10,0,43.912,49.651,47,40.9,44,21,33.0,47.7,0.064,2,0.619,0.0,3,3,0
5.0,2,20,4.5,17,0.707,30,0,27,31.12,19,30.03,380.86,1.013,18,1,44.571,49.262,47,45.5,44,17,40.0,38.6,0.064,1,0.683,2.3,3,4,1
6.43,2,15,4.9,6,0.65,20,0,19,26.642,6,24.271,328.28,0.993,6,1,40.705,46.326,42,36.6,41,22,23.0,53.7,0.119,0,0.592,2.4,5,1,0
6.2,3,23,5.6,17,0.663,36,3,33,35.813,19,35.648,458.48,1.033,18,3,55.763,61.793,57,42.6,54,21,46.0,38.9,0.07,1,0.66,5.6,4,4,0
6.3,2,20,4.5,17,0.706,31,1,28,31.057,19,30.414,398.85,1.025,18,2,45.083,49.602,47,45.5,44,16,41.0,36.4,0.064,1,0.691,4.5,3,4,1
6.5,2,20,4.5,17,0.707,30,0,27,31.12,19,30.03,380.86,1.013,18,1,44.571,49.262,47,45.5,44,17,40.0,38.6,0.064,1,0.683,2.3,3,4,1
7.1,2,21,4.1,16,0.67,34,3,31,32.841,19,32.901,429.44,1.036,18,3,50.771,56.251,52,42.9,49,18,44.0,36.7,0.058,1,0.671,6.1,3,5,0
6.663,0,26,0.0,20,0.675,33,2,30,37.785,19,35.658,404.54,0.995,18,2,55.716,63.074,59,46.4,56,26,43.0,46.4,0.102,1,0.637,3.6,6,2,0
5.0,2,21,4.3,17,0.677,33,3,30,31.836,19,31.88,414.42,1.036,18,3,48.669,53.753,50,44.7,47,17,43.0,36.2,0.06,1,0.678,6.4,3,4,0
5.3,2,21,4.3,17,0.677,33,3,30,31.836,19,31.88,414.42,1.036,18,3,48.669,53.753,50,44.7,47,17,43.0,36.2,0.08,1,0.678,6.4,4,4,0
6.168,1,28,1.6,19,0.696,38,0,34,43.847,19,40.809,494.5,0.994,18,2,62.651,70.405,67,44.4,63,29,48.0,46.0,0.104,1,0.648,3.2,7,3,2
6.9,2,21,4.3,17,0.718,32,0,29,33.739,19,32.385,429.33,1.017,18,2,47.778,52.622,50,44.7,47,18,42.0,38.3,0.06,1,0.689,4.3,3,4,2
6.1,2,19,4.5,15,0.722,30,0,27,31.767,18,30.217,400.92,1.015,17,1,44.647,49.182,47,43.2,44,17,39.5,38.6,0.085,1,0.687,2.3,4,4,1
7.926,1,11,3.6,7,0.714,19,0,17,19.994,7,19.068,272.15,1.025,6,2,28.698,31.668,30,39.3,28,11,23.0,39.3,0.0,1,0.681,7.1,0,3,2
6.6,2,20,4.5,17,0.727,31,0,28,31.977,19,30.858,415.3,1.02,18,2,44.894,49.206,47,45.5,44,16,41.0,36.4,0.064,1,0.701,4.5,3,4,2
6.481,1,28,1.6,21,0.706,38,0,34,43.086,20,40.282,492.48,0.996,18,2,60.767,67.99,65,45.9,61,27,49.0,44.3,0.092,2,0.66,3.3,6,3,2
7.971,2,13,6.1,6,0.678,19,0,17,22.358,6,20.691,298.2,1.002,6,1,33.054,37.08,35,39.4,33,16,22.0,48.5,0.057,0,0.627,3.0,2,1,0
5.801,1,20,2.1,12,0.656,26,0,23,30.841,12,28.552,308.46,0.984,12,0,46.251,52.773,50,42.6,47,24,32.0,51.1,0.06,0,0.607,0.0,3,2,0
7.316,2,32,2.7,19,0.654,38,0,35,48.381,19,44.46,469.72,0.98,18,0,72.545,82.806,77,43.2,74,39,48.0,52.7,0.13,1,0.601,0.0,10,1,0
5.15,4,18,8.3,11,0.639,28,0,26,30.693,13,29.686,358.44,1.014,10,0,48.669,54.568,50,37.5,48,22,36.0,45.8,0.14,3,0.618,0.0,7,4,0
9.292,1,20,2.2,13,0.721,26,1,24,32.432,13,29.231,437.32,0.994,12,2,44.731,50.335,47,44.4,45,21,33.0,46.7,0.106,1,0.65,4.4,5,1,0
6.094,0,12,0.0,6,0.645,16,0,14,19.341,6,17.73,188.3,0.98,6,0,29.389,33.903,32,40.0,30,16,19.0,53.3,0.0,0,0.591,0.0,0,2,0
5.0,4,22,7.1,13,0.647,33,0,30,36.216,14,34.74,410.52,1.008,10,0,56.436,63.398,59,39.3,56,26,42.0,46.4,0.119,4,0.62,0.0,7,4,0
6.26,4,25,6.8,17,0.661,35,0,32,38.972,19,37.245,433.55,1.004,16,0,59.218,66.315,62,42.4,59,27,46.0,45.8,0.145,3,0.631,0.0,9,3,0
7.56,4,20,7.5,11,0.658,30,0,28,34.858,13,32.905,403.55,1.008,10,0,53.411,59.82,55,37.7,53,25,38.0,47.2,0.164,3,0.621,0.0,9,3,0
5.03,4,20,7.4,11,0.634,30,0,28,34.216,13,32.74,386.5,1.008,10,0,54.436,61.398,56,37.0,54,26,38.0,48.1,0.125,3,0.606,0.0,7,4,0
5.62,4,22,6.7,11,0.629,32,0,30,37.739,13,35.793,414.56,1.003,10,0,60.203,68.228,62,36.7,60,30,40.0,50.0,0.129,3,0.597,0.0,8,4,0
4.6,2,17,4.7,9,0.652,25,0,23,28.023,12,26.73,312.41,1.003,10,0,43.131,48.734,45,39.5,43,20,33.0,46.5,0.111,1,0.622,0.0,5,4,0
7.3,4,25,6.6,17,0.655,36,0,33,39.978,19,38.266,448.57,1.005,16,0,61.32,68.813,64,41.0,61,28,47.0,45.9,0.156,3,0.627,0.0,10,4,0
5.071,2,12,6.7,6,0.687,18,0,16,20.597,6,19.164,284.17,1.006,6,1,30.171,33.665,32,40.0,30,14,21.0,46.7,0.031,0,0.639,3.3,1,1,0
8.398,0,17,0.0,12,0.688,21,0,18,24.097,12,22.236,235.35,0.976,12,0,34.171,38.82,38,48.6,35,17,27.0,48.6,0.0,0,0.635,0.0,0,1,0
5.0,4,21,8.2,16,0.672,32,0,29,32.932,19,32.159,392.45,1.016,16,0,49.785,55.152,52,42.9,49,20,43.0,40.8,0.135,3,0.656,0.0,7,4,0
7.755,2,23,3.9,14,0.666,30,1,27,33.989,14,32.156,365.48,0.997,12,1,50.872,57.239,54,45.1,51,24,38.0,47.1,0.074,2,0.631,2.0,4,1,0
6.57,4,21,7.0,11,0.631,31,0,29,35.978,13,34.266,400.53,1.006,10,0,57.32,64.813,59,36.8,57,28,39.0,49.1,0.153,3,0.601,0.0,9,4,0
7.523,0,14,0.0,8,0.65,18,0,16,22.103,10,20.257,214.34,0.979,10,0,33.272,38.318,36,41.2,34,18,23.0,52.9,0.028,0,0.596,0.0,1,2,0
4.77,4,26,5.7,11,0.629,37,0,34,44.023,13,41.374,468.66,0.998,10,0,69.854,79.474,73,37.1,70,36,45.0,51.4,0.123,3,0.591,0.0,9,4,0
5.0,4,22,6.9,11,0.638,33,0,30,36.978,13,35.266,412.54,1.006,10,0,58.32,65.813,61,37.9,58,28,41.0,48.3,0.115,3,0.608,0.0,7,4,0
6.371,0,18,0.0,12,0.736,26,0,23,29.438,12,27.267,367.72,1.003,12,3,40.127,44.565,43,45.0,40,17,32.0,42.5,0.023,0,0.682,7.5,1,2,3
5.0,4,18,8.3,11,0.639,28,0,26,30.693,13,29.686,358.44,1.014,10,0,48.669,54.568,50,37.5,48,22,36.0,45.8,0.14,3,0.618,0.0,7,4,0
3.25,2,7,9.5,3,0.617,12,0,11,12.966,5,12.58,154.19,1.019,5,0,21.393,24.076,22,33.3,21,10,14.5,47.6,0.0,0,0.599,0.0,0,2,0
6.299,0,11,0.0,6,0.679,15,0,14,19.694,6,17.756,255.18,0.987,6,1,28.618,32.745,30,37.9,29,15,18.0,51.7,0.067,0,0.612,3.4,2,2,0
6.0,1,23,1.8,12,0.645,29,0,26,36.126,12,33.133,350.55,0.98,12,0,54.901,63.019,59,41.1,56,30,35.0,53.6,0.068,0,0.592,0.0,4,2,0
6.0,1,27,1.7,18,0.673,36,0,31,40.37,18,37.627,411.59,0.985,18,0,59.12,67.102,65,45.0,60,29,45.0,48.3,0.046,0,0.627,0.0,3,3,0
8.41,1,21,2.0,12,0.652,27,0,24,32.603,12,30.079,322.49,0.983,12,0,49.134,56.188,53,42.0,50,26,33.0,52.0,0.075,0,0.602,0.0,4,2,0
7.398,1,14,3.0,9,0.655,22,3,20,21.608,11,21.595,282.29,1.038,10,3,34.254,38.132,35,42.4,33,13,28.0,39.4,0.029,1,0.654,9.1,1,2,0
6.29,2,22,3.8,13,0.655,29,0,26,34.057,13,31.794,350.5,0.99,12,0,51.461,58.398,55,42.3,52,26,36.0,50.0,0.073,1,0.611,0.0,4,2,0
8.719,2,18,4.8,12,0.682,26,0,23,28.631,12,27.041,330.84,1.003,12,1,42.134,47.096,45,42.9,42,19,32.0,45.2,0.044,0,0.644,2.4,2,2,1
7.538,1,13,3.3,9,0.668,18,0,16,20.034,11,18.918,214.29,0.994,10,0,29.833,33.697,32,43.3,30,14,24.0,46.7,0.031,1,0.631,0.0,1,2,0
7.056,0,19,0.0,12,0.686,25,0,22,29.483,12,27.138,312.87,0.985,12,1,42.363,48.093,46,44.2,43,21,31.0,48.8,0.022,0,0.631,2.3,1,2,1
6.991,0,18,0.0,12,0.714,25,0,22,28.58,12,26.439,333.28,0.995,12,2,39.803,44.621,43,45.0,40,18,31.0,45.0,0.023,0,0.661,5.0,1,2,2
8.0,0,12,0.0,8,0.664,16,0,14,18.58,10,17.204,186.28,0.982,10,0,27.505,31.488,30,42.9,28,14,21.0,50.0,0.0,0,0.614,0.0,0,2,0
7.7,5,20,9.1,9,0.626,30,0,28,34.426,9,32.96,389.5,1.01,6,0,55.545,62.524,57,36.4,55,27,36.0,49.1,0.14,3,0.599,0.0,8,3,0
6.31,3,25,4.8,17,0.668,37,0,34,41.387,19,39.4,482.03,1.007,16,1,62.418,70.046,65,40.3,62,28,48.0,45.2,0.138,3,0.635,1.6,9,5,1
6.94,2,25,3.4,14,0.653,33,1,30,38.517,14,36.231,408.56,0.996,12,1,58.741,66.568,62,42.4,59,29,41.0,49.2,0.113,2,0.614,1.7,7,2,0
5.0,1,20,2.1,12,0.656,26,0,23,30.841,12,28.552,308.46,0.984,12,0,46.251,52.773,50,42.6,47,24,32.0,51.1,0.06,0,0.607,0.0,3,2,0
6.851,0,18,0.0,12,0.691,25,1,22,27.659,12,25.995,316.83,1.0,12,2,39.992,45.017,43,45.0,40,18,31.0,45.0,0.023,0,0.65,5.0,1,2,1
6.55,1,22,1.9,12,0.653,30,0,26,34.608,12,32.101,349.52,0.986,12,0,52.236,59.687,57,41.5,53,27,36.0,50.9,0.035,0,0.606,0.0,2,3,0
6.121,1,19,2.3,12,0.7,27,0,24,30.796,12,28.681,363.31,1.0,12,2,44.014,49.246,47,43.2,44,20,33.0,45.5,0.043,0,0.652,4.5,2,2,2
5.52,4,21,7.0,11,0.631,31,0,29,35.978,13,34.266,400.53,1.006,10,0,57.32,64.813,59,36.8,57,28,39.0,49.1,0.136,3,0.601,0.0,8,4,0
5.88,4,19,7.8,10,0.632,28,0,26,32.211,12,30.718,359.47,1.007,10,0,51.334,57.9,53,37.3,51,25,35.0,49.0,0.151,2,0.602,0.0,8,3,0
8.337,1,12,3.2,8,0.639,16,0,15,19.796,10,18.445,204.3,0.991,10,0,30.716,35.112,32,38.7,31,16,21.0,51.6,0.094,0,0.595,0.0,3,2,0
6.0,1,21,2.0,12,0.657,29,0,25,32.847,12,30.574,335.49,0.987,12,0,49.352,56.272,54,42.0,50,25,35.0,50.0,0.037,0,0.611,0.0,2,3,0
5.86,4,19,7.8,11,0.636,29,0,27,32.455,13,31.213,372.47,1.011,10,0,51.552,57.983,53,37.3,51,24,37.0,47.1,0.151,3,0.612,0.0,8,4,0
7.155,0,18,0.0,12,0.736,26,0,23,29.438,12,27.267,367.72,1.003,12,3,40.127,44.565,43,45.0,40,17,32.0,42.5,0.023,0,0.682,7.5,1,2,3
7.086,0,18,0.0,12,0.693,24,0,21,27.722,12,25.612,298.84,0.987,12,1,39.48,44.677,43,45.0,40,19,30.0,47.5,0.023,0,0.64,2.5,1,2,1
7.553,0,13,0.0,8,0.656,17,0,15,20.341,10,18.73,200.31,0.98,10,0,30.389,34.903,33,41.9,31,16,22.0,51.6,0.0,0,0.604,0.0,0,2,0
7.337,1,13,3.1,9,0.658,19,0,17,21.04,11,19.94,229.31,0.998,10,0,31.934,36.196,34,40.6,32,15,25.0,46.9,0.029,1,0.623,0.0,1,3,0
7.745,0,12,0.0,8,0.664,16,0,14,18.58,10,17.204,186.28,0.982,10,0,27.505,31.488,30,42.9,28,14,21.0,50.0,0.0,0,0.614,0.0,0,2,0
5.23,4,22,6.7,11,0.629,32,0,30,37.739,13,35.793,414.56,1.003,10,0,60.203,68.228,62,36.7,60,30,40.0,50.0,0.145,3,0.597,0.0,9,4,0
5.0,4,20,8.7,16,0.678,31,0,28,31.171,19,30.632,378.42,1.02,16,0,46.902,51.737,49,43.5,46,18,42.0,39.1,0.122,3,0.666,0.0,6,4,0
7.921,0,13,0.0,8,0.656,17,0,15,20.341,10,18.73,200.31,0.98,10,0,30.389,34.903,33,41.9,31,16,22.0,51.6,0.0,0,0.604,0.0,0,2,0
6.662,1,20,2.1,12,0.674,27,0,24,31.699,12,29.38,342.9,0.991,12,1,46.574,52.717,50,42.6,47,23,33.0,48.9,0.06,0,0.625,2.1,3,2,1
7.04,1,20,2.1,12,0.656,26,0,23,30.841,12,28.552,308.46,0.984,12,0,46.251,52.773,50,42.6,47,24,32.0,51.1,0.06,0,0.607,0.0,3,2,0
7.49,1,19,2.3,12,0.68,26,0,23,29.938,12,27.853,328.87,0.993,12,1,43.691,49.302,47,43.2,44,21,32.0,47.7,0.043,0,0.633,2.3,2,2,1
5.0,0,10,0.0,6,0.647,14,0,13,16.824,7,15.698,175.26,0.989,6,0,25.723,29.571,27,38.5,26,13,18.0,50.0,0.074,1,0.604,0.0,2,3,0
6.0,1,25,1.9,18,0.689,33,0,28,35.841,18,33.552,368.51,0.986,18,0,51.251,57.773,57,48.1,52,24,42.0,46.2,0.035,0,0.645,0.0,2,2,0
5.959,1,26,1.5,16,0.651,38,1,34,42.324,21,40.075,462.63,0.999,21,1,64.938,73.937,69,40.0,65,31,48.5,47.7,0.13,0,0.617,1.5,9,6,0
5.0,7,26,10.0,15,0.662,42,0,39,46.369,17,44.479,579.13,1.021,12,1,71.469,79.136,73,37.1,70,31,53.0,44.3,0.151,5,0.635,1.4,11,4,1
7.4,0,11,0.0,8,0.681,16,1,15,18.375,10,17.414,226.7,1.013,10,2,27.342,30.772,28,40.7,27,12,21.0,44.4,0.071,0,0.645,7.4,2,2,1
6.818,0,19,0.0,8,0.641,24,0,21,30.148,10,27.364,282.47,0.975,10,0,45.807,52.979,50,40.4,47,26,29.0,55.3,0.0,0,0.582,0.0,0,2,0
7.97,1,19,2.3,12,0.658,27,2,24,28.955,12,27.792,330.41,1.009,12,2,44.392,50.037,47,43.2,44,20,33.0,45.5,0.043,0,0.632,4.5,2,2,0
7.32,1,20,2.1,12,0.656,26,0,23,30.841,12,28.552,308.46,0.984,12,0,46.251,52.773,50,42.6,47,24,32.0,51.1,0.04,0,0.607,0.0,2,2,0
6.701,0,16,0.0,8,0.654,21,0,18,24.864,10,22.784,240.38,0.978,10,0,37.156,42.733,41,42.1,38,20,26.0,52.6,0.0,0,0.6,0.0,0,2,0
7.27,1,19,2.3,12,0.659,26,1,23,29.017,12,27.409,312.42,0.997,12,1,43.88,49.698,47,43.2,44,21,32.0,47.7,0.043,0,0.623,2.3,2,2,0
7.163,1,28,1.7,18,0.696,36,0,31,41.767,18,38.298,427.65,0.981,18,0,58.876,66.441,65,46.7,60,29,45.0,48.3,0.046,0,0.638,0.0,3,1,0
6.52,2,20,4.2,12,0.652,27,0,24,31.296,12,29.267,324.46,0.991,12,0,47.578,53.983,51,41.7,48,24,33.0,50.0,0.059,0,0.61,0.0,3,2,0
5.54,1,17,2.6,14,0.685,25,0,22,26.046,17,24.961,292.37,1.001,16,0,38.036,42.694,41,44.7,38,16,34.0,42.1,0.024,1,0.657,0.0,1,4,0
7.65,1,25,1.9,18,0.678,32,0,28,36.603,18,34.079,370.53,0.984,18,0,53.134,60.188,58,46.3,54,26,41.0,48.1,0.052,0,0.631,0.0,3,2,0
6.0,1,19,2.3,12,0.68,26,0,23,29.938,12,27.853,328.87,0.993,12,1,43.691,49.302,47,43.2,44,21,32.0,47.7,0.043,0,0.633,2.3,2,2,1
6.035,0,14,0.0,8,0.667,19,0,16,21.341,10,19.73,212.32,0.981,10,0,31.389,35.903,35,43.8,32,16,24.0,50.0,0.0,0,0.617,0.0,0,2,0
5.0,3,18,6.1,11,0.638,28,0,26,31.245,13,29.993,357.46,1.009,10,0,49.443,55.857,51,36.7,49,23,36.0,46.9,0.137,3,0.612,0.0,7,5,0
5.35,3,28,4.2,17,0.645,39,0,36,45.813,19,43.153,489.68,0.996,16,0,70.745,80.348,74,39.4,71,35,50.0,49.3,0.135,3,0.608,0.0,10,5,0
8.46,1,19,2.3,12,0.68,26,0,23,29.938,12,27.853,328.87,0.993,12,1,43.691,49.302,47,43.2,44,21,32.0,47.7,0.043,0,0.633,2.3,2,2,1
7.62,1,19,2.3,12,0.659,26,1,23,29.017,12,27.409,312.42,0.997,12,1,43.88,49.698,47,43.2,44,21,32.0,47.7,0.043,0,0.623,2.3,2,2,0
7.762,1,22,1.9,12,0.678,30,0,26,35.25,12,32.266,366.57,0.985,12,0,51.211,58.108,56,42.3,52,26,36.0,50.0,0.036,0,0.621,0.0,2,2,0
6.0,2,23,3.6,17,0.722,36,0,32,39.699,23,36.985,487.09,1.007,21,1,55.374,61.348,59,41.8,55,23,48.5,41.8,0.068,2,0.672,1.8,4,4,1
7.6,1,21,2.1,12,0.663,28,0,24,31.841,12,29.552,320.47,0.984,12,0,47.251,53.773,52,43.8,48,24,34.0,50.0,0.038,0,0.616,0.0,2,2,0
5.352,3,13,8.8,6,0.631,19,0,17,21.46,6,20.38,235.31,1.004,6,0,34.153,38.448,36,38.2,34,17,22.0,50.0,0.083,0,0.599,0.0,3,1,0
7.0,0,12,0.0,8,0.645,15,0,14,19.341,10,17.73,188.3,0.98,10,0,29.389,33.903,31,40.0,30,16,20.0,53.3,0.065,0,0.591,0.0,2,2,0
5.7,2,22,3.8,17,0.73,35,0,31,37.938,23,35.458,473.06,1.009,21,1,52.491,57.933,56,42.3,52,21,47.5,40.4,0.071,2,0.682,1.9,4,4,1
8.0,1,17,2.4,10,0.645,22,0,20,27.08,11,25.026,270.41,0.985,11,0,41.367,47.358,44,40.5,42,22,27.5,52.4,0.068,0,0.596,0.0,3,2,0
6.364,1,23,1.9,12,0.655,30,0,26,35.364,12,32.606,348.53,0.982,12,0,53.018,60.604,58,42.6,54,28,36.0,51.9,0.034,0,0.604,0.0,2,2,0
6.666,3,12,8.6,6,0.606,16,0,16,21.222,6,19.907,225.32,1.001,6,0,35.036,39.863,35,34.3,35,19,19.0,54.3,0.171,0,0.569,0.0,6,1,0
5.5,1,15,2.8,10,0.654,20,0,18,23.557,11,21.972,242.35,0.989,11,0,35.6,40.528,38,41.7,36,18,25.5,50.0,0.079,0,0.61,0.0,3,2,0
7.0,0,14,0.0,10,0.709,19,0,17,22.694,11,20.756,291.21,0.988,11,1,31.618,35.745,34,43.8,32,15,24.5,46.9,0.059,0,0.649,3.1,2,2,0
5.301,4,19,8.9,12,0.654,27,0,24,29.438,12,28.149,327.41,1.005,12,0,45.247,50.488,48,42.2,45,21,33.0,46.7,0.042,0,0.626,0.0,2,1,0
6.918,1,28,1.4,16,0.65,42,3,39,48.131,18,45.609,560.76,1.009,18,3,74.69,84.782,77,37.8,74,35,51.0,47.3,0.13,0,0.616,4.1,10,6,0
5.2,1,14,2.9,12,0.704,22,0,20,23.932,16,22.622,286.39,1.007,15,0,34.229,38.199,36,41.2,34,14,30.5,41.2,0.056,1,0.665,0.0,2,4,0
8.244,1,25,1.5,16,0.675,37,0,34,43.892,18,40.706,499.14,0.997,18,1,64.825,73.461,68,38.5,65,31,46.0,47.7,0.132,0,0.626,1.5,9,6,1
6.069,2,23,3.6,13,0.656,30,0,28,36.063,14,33.815,377.53,0.992,12,0,54.563,61.896,57,41.8,55,27,39.0,49.1,0.14,1,0.615,0.0,8,3,0
5.975,2,29,3.0,19,0.655,39,3,36,43.915,19,42.051,496.62,1.008,18,3,67.534,76.078,70,43.3,67,31,49.0,46.3,0.143,1,0.628,4.5,10,2,0
6.146,2,30,2.9,19,0.665,40,2,37,45.222,20,43.162,503.64,1.004,18,2,68.239,76.821,71,44.1,68,31,52.0,45.6,0.141,1,0.635,2.9,10,3,0
7.553,0,26,0.0,20,0.688,32,0,28,37.148,22,34.364,366.54,0.978,22,0,52.807,59.979,58,48.1,54,26,43.0,48.1,0.069,0,0.636,0.0,4,2,0
7.513,1,19,2.3,12,0.691,25,0,22,29.722,12,27.191,311.48,0.985,12,0,42.342,47.78,46,44.2,43,21,31.0,48.8,0.043,0,0.632,0.0,2,1,0
6.983,1,20,2.2,12,0.663,25,0,22,29.836,12,27.531,293.44,0.981,12,0,44.149,50.275,48,44.4,45,23,31.0,51.1,0.042,0,0.612,0.0,2,1,0
6.0,4,26,6.3,15,0.648,37,0,33,41.495,14,39.299,449.6,1.0,12,0,63.985,72.145,68,40.6,64,31,45.0,48.4,0.103,2,0.614,0.0,7,3,0
5.973,2,20,4.3,12,0.658,26,0,23,30.29,12,28.246,309.44,0.989,12,0,45.476,51.484,49,43.5,46,23,32.0,50.0,0.041,0,0.614,0.0,2,1,0
8.553,0,20,0.0,14,0.661,24,0,22,30.387,16,27.838,292.46,0.977,16,0,44.923,51.564,48,43.5,46,24,32.0,52.2,0.125,0,0.605,0.0,6,2,0
7.093,1,20,2.1,12,0.656,26,0,23,30.841,12,28.552,308.46,0.984,12,0,46.251,52.773,50,42.6,47,24,32.0,51.1,0.04,0,0.607,0.0,2,2,0
5.0,7,26,10.0,15,0.649,42,1,39,45.449,17,44.035,562.68,1.024,12,1,71.658,79.532,73,37.1,70,31,53.0,44.3,0.151,5,0.629,1.4,11,4,0
9.367,0,19,0.0,14,0.664,24,1,22,28.563,16,26.694,296.42,0.99,16,1,42.552,48.488,45,44.2,43,21,32.0,48.8,0.111,0,0.621,2.3,5,2,0
8.602,1,19,2.3,12,0.661,25,0,22,29.08,12,27.026,294.43,0.986,12,0,43.367,49.358,47,43.2,44,22,31.0,50.0,0.043,0,0.614,0.0,2,2,0
10.097,0,19,0.0,14,0.664,24,1,22,28.563,16,26.694,296.42,0.99,16,1,42.552,48.488,45,44.2,43,21,32.0,48.8,0.111,0,0.621,2.3,5,2,0
6.364,2,30,3.1,19,0.676,39,1,34,43.273,19,40.736,455.61,0.993,18,1,63.523,71.485,69,46.9,64,30,49.0,46.9,0.058,1,0.637,1.6,4,1,0
7.0,0,17,0.0,10,0.649,21,0,19,26.625,11,24.311,254.41,0.977,11,0,40.04,46.149,43,41.5,41,22,26.5,53.7,0.047,0,0.593,0.0,2,2,0
6.7,0,11,0.0,8,0.683,15,0,14,18.438,10,17.031,208.71,0.994,10,1,26.829,30.432,28,40.7,27,13,20.0,48.1,0.071,0,0.631,3.7,2,2,1
7.708,1,20,2.2,12,0.663,25,0,22,29.836,12,27.531,293.44,0.981,12,0,44.149,50.275,48,44.4,45,23,31.0,51.1,0.042,0,0.612,0.0,2,1,0
5.1,3,17,6.7,12,0.723,29,1,27,32.523,14,30.571,523.25,1.029,12,3,46.287,50.803,47,37.8,45,18,37.0,40.0,0.106,2,0.679,6.7,5,3,0
8.602,1,20,2.2,12,0.663,25,0,22,29.836,12,27.531,293.44,0.981,12,0,44.149,50.275,48,44.4,45,23,31.0,51.1,0.042,0,0.612,0.0,2,1,0
7.313,1,19,2.4,12,0.668,24,0,21,28.074,12,26.004,279.41,0.983,12,0,41.265,46.86,45,45.2,42,21,30.0,50.0,0.044,0,0.619,0.0,2,1,0
8.892,0,27,0.0,14,0.658,35,0,30,41.438,16,37.966,399.63,0.977,16,0,61.559,70.723,68,42.9,63,33,43.0,52.4,0.044,0,0.603,0.0,3,3,0
5.597,0,15,0.0,8,0.66,20,0,17,23.103,10,21.257,226.35,0.979,10,0,34.272,39.318,38,42.9,35,18,25.0,51.4,0.0,0,0.607,0.0,0,2,0
9.721,0,21,0.0,14,0.648,31,6,29,31.773,16,31.664,414.43,1.038,16,6,50.883,57.017,51,42.9,49,20,39.0,40.8,0.098,0,0.646,12.2,5,2,0
8.137,1,24,1.8,15,0.66,33,0,29,37.614,17,35.122,388.56,0.988,16,0,56.338,64.185,61,42.1,57,28,42.0,49.1,0.082,1,0.616,0.0,5,4,0
8.753,0,34,0.0,20,0.667,43,0,37,50.722,22,46.547,489.76,0.976,22,0,74.21,84.969,82,44.7,76,39,54.0,51.3,0.073,0,0.612,0.0,6,3,0
7.033,2,19,4.7,12,0.663,25,0,22,28.529,12,26.719,295.41,0.991,12,0,42.592,48.069,46,44.2,43,21,31.0,48.8,0.043,0,0.621,0.0,2,1,0
8.93,2,25,3.6,16,0.677,36,1,31,37.239,21,35.672,417.52,1.003,20,1,55.192,61.821,60,45.5,55,24,47.0,43.6,0.05,1,0.649,1.8,3,3,0
6.0,2,18,3.9,6,0.67,27,0,25,34.182,8,31.163,405.43,1.001,6,2,51.069,57.621,53,35.3,51,26,32.0,51.0,0.094,2,0.611,3.9,5,2,2
5.499,0,21,0.0,5,0.602,22,0,22,36.092,6,31.767,304.6,0.966,6,0,57.948,68.18,60,35.0,60,38,25.0,63.3,0.25,0,0.529,0.0,15,1,0
6.0,1,20,2.1,15,0.66,27,1,25,31.023,17,29.43,339.45,1.0,16,1,46.981,53.196,49,42.6,47,22,36.0,46.8,0.102,1,0.626,2.1,5,3,0
6.975,1,23,1.9,13,0.66,29,1,26,34.296,13,31.968,351.5,0.989,12,1,51.429,58.445,55,44.2,52,26,36.0,50.0,0.109,1,0.615,1.9,6,1,0
7.824,3,21,5.9,13,0.668,29,1,27,34.091,15,32.058,389.53,1.005,12,1,51.276,57.369,53,41.2,51,24,38.0,47.1,0.132,3,0.629,2.0,7,1,0
6.194,0,13,0.0,9,0.716,18,0,17,23.637,11,21.105,264.45,0.986,11,0,32.542,36.743,34,39.4,33,16,23.5,48.5,0.147,0,0.64,0.0,5,2,0
7.658,0,19,0.0,12,0.66,22,0,20,28.381,12,25.816,265.43,0.973,12,0,41.821,48.066,45,44.2,43,23,28.0,53.5,0.089,0,0.6,0.0,4,1,0
7.886,0,18,0.0,12,0.665,21,0,19,26.62,12,24.289,251.4,0.973,12,0,38.938,44.65,42,45.0,40,21,27.0,52.5,0.095,0,0.607,0.0,4,1,0
6.16,2,21,3.9,12,0.653,29,0,26,33.302,13,31.289,351.49,0.994,12,0,50.68,57.481,54,41.2,51,25,36.0,49.0,0.074,1,0.614,0.0,4,3,0
9.097,1,24,1.8,13,0.656,32,0,28,37.37,13,34.627,375.56,0.985,12,0,56.12,64.102,61,42.1,57,29,39.0,50.9,0.082,1,0.607,0.0,5,3,0
8.553,2,23,3.6,13,0.655,33,1,29,36.0,13,34.199,395.52,1.001,12,1,55.076,62.236,59,41.8,55,26,40.0,47.3,0.085,1,0.622,1.8,5,3,0
8.377,1,24,1.7,13,0.672,34,1,30,38.955,13,36.198,425.62,0.995,12,1,57.709,65.362,62,41.4,58,28,41.0,48.3,0.081,1,0.624,1.7,5,3,0
6.142,0,22,0.0,18,0.696,26,0,23,30.62,18,28.289,299.44,0.976,18,0,42.938,48.65,47,50.0,44,21,35.0,47.7,0.085,0,0.643,0.0,4,1,0
