pXC50,nCsp3,nH,Se,Si,nBT,nO,nAT,Mv,Sv,Sp,Mp,AMW,MW,C.,H.,Mi,nC,nSK,nBO,SCBO,Me,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nDB
5.7,1,11,35.025,37.878,36,2,34,0.729,24.783,25.449,0.748,10.241,348.2,47.1,32.4,1.114,16,23,25,34.0,1.03,8.8,12,0,15,0,2,0,15,3
4.602,13,39,85.152,96.341,91,3,85,0.626,53.239,55.836,0.657,7.316,621.82,40.0,45.9,1.133,34,46,52,67.0,1.002,10.6,26,0,28,0,0,0,21,2
5.7,0,6,21.687,23.91,23,0,21,0.729,15.316,15.682,0.747,10.394,218.27,38.1,28.6,1.139,8,15,17,24.5,1.033,28.6,15,0,15,0,0,0,8,0
5.7,7,26,57.061,64.98,60,0,57,0.628,35.801,37.591,0.659,7.361,419.56,40.4,45.6,1.14,23,31,34,45.0,1.001,12.3,22,0,22,0,0,0,16,0
5.7,0,10,28.058,31.239,31,0,28,0.702,19.666,20.307,0.725,8.367,234.28,50.0,35.7,1.116,14,18,21,31.0,1.002,14.3,20,0,20,0,0,0,14,0
5.7,0,15,42.342,46.455,45,1,42,0.718,30.174,32.046,0.763,10.461,439.36,47.6,35.7,1.106,20,27,30,42.0,1.008,9.5,22,0,23,1,0,0,20,1
5.7,3,21,46.912,52.651,49,2,47,0.643,30.235,31.779,0.676,7.393,347.45,44.7,44.7,1.12,21,26,28,38.0,0.998,6.4,18,0,19,0,0,0,18,1
5.7,2,20,47.88,53.444,51,1,48,0.671,32.202,34.216,0.713,8.094,388.53,45.8,41.7,1.113,22,28,31,43.0,0.997,8.3,22,0,23,0,0,0,20,1
5.9,5,19,39.702,45.026,42,1,40,0.625,24.993,26.563,0.664,7.035,281.39,42.5,47.5,1.126,17,21,23,31.0,0.993,7.5,16,0,16,0,0,0,12,0
5.7,1,10,35.909,39.381,36,1,34,0.708,24.079,23.341,0.687,9.803,333.3,44.1,29.4,1.158,15,24,26,35.5,1.056,14.7,17,0,18,0,0,0,14,1
5.7,4,16,47.592,52.579,50,2,46,0.684,31.485,31.387,0.682,8.922,410.42,43.5,34.8,1.143,20,30,34,46.5,1.035,13.0,25,0,25,0,0,0,16,0
4.7,1,9,22.284,24.95,23,1,22,0.653,14.359,14.756,0.671,7.964,175.21,40.9,40.9,1.134,9,13,14,20.0,1.013,13.6,10,0,11,0,0,0,8,1
5.7,2,20,51.778,57.524,54,3,51,0.666,33.96,34.728,0.681,8.166,416.48,43.1,39.2,1.128,22,31,34,47.0,1.015,11.8,22,0,24,0,0,0,20,2
5.7,4,20,47.123,53.106,50,1,47,0.65,30.531,31.819,0.677,7.669,360.46,42.6,42.6,1.13,20,27,30,41.5,1.003,12.8,21,0,22,0,0,0,16,1
5.7,0,7,24.571,26.754,26,1,24,0.757,18.171,19.659,0.819,14.088,338.12,45.8,29.2,1.115,11,17,19,26.0,1.024,16.7,12,0,13,0,0,0,11,1
4.7,0,7,24.804,26.664,26,2,24,0.739,17.735,18.097,0.754,10.22,245.28,45.8,29.2,1.111,11,17,19,27.5,1.033,12.5,15,0,16,0,0,0,11,1
5.7,1,10,29.756,32.625,31,1,29,0.705,20.457,21.102,0.728,9.494,275.33,44.8,34.5,1.125,13,19,21,29.5,1.026,10.3,15,0,16,0,0,0,12,1
5.7,7,25,55.992,63.434,60,1,56,0.636,35.606,37.347,0.667,7.421,415.55,41.1,44.6,1.133,23,31,35,46.5,1.0,12.5,21,0,22,0,0,0,16,1
7.2,3,21,54.578,60.409,55,4,53,0.656,34.772,35.529,0.67,8.689,460.54,37.7,39.6,1.14,20,32,34,46.0,1.03,11.3,18,0,21,0,0,0,17,3
5.7,6,22,53.916,60.615,56,1,53,0.648,34.351,35.216,0.664,8.009,424.5,41.5,41.5,1.144,22,31,34,45.0,1.017,11.3,22,0,22,0,0,0,16,0
5.7,5,17,40.549,44.95,43,3,40,0.652,26.083,27.358,0.684,8.286,331.43,40.0,42.5,1.124,16,23,26,34.5,1.014,7.5,11,0,14,0,0,0,11,3
5.7,1,16,42.036,46.694,46,1,42,0.69,28.961,30.046,0.715,8.105,340.41,50.0,38.1,1.112,21,26,30,42.0,1.001,9.5,22,0,23,0,0,0,20,1
5.7,2,19,49.971,55.283,52,3,49,0.67,32.828,33.415,0.682,8.295,406.45,44.9,38.8,1.128,22,30,33,45.0,1.02,8.2,22,0,23,0,0,0,20,1
5.7,2,13,40.902,44.922,41,2,39,0.688,26.826,26.313,0.675,9.291,362.34,43.6,33.3,1.152,17,26,28,37.5,1.049,10.3,17,0,18,0,0,0,15,1
5.7,2,12,38.8,42.424,39,2,37,0.697,25.805,25.307,0.684,9.387,347.32,45.9,32.4,1.147,17,25,27,36.0,1.049,8.1,12,0,15,0,0,0,15,3
5.7,3,22,48.36,54.73,52,0,49,0.65,31.827,33.875,0.691,7.234,354.49,46.9,44.9,1.117,23,27,30,42.0,0.987,8.2,22,0,23,0,0,0,20,1
5.7,2,20,52.822,58.492,55,2,52,0.679,35.321,36.614,0.704,8.645,449.55,44.2,38.5,1.125,23,32,35,48.0,1.016,9.6,22,0,24,0,0,0,21,2
5.7,1,12,39.127,42.376,41,2,38,0.732,27.804,28.455,0.749,10.191,387.24,47.4,31.6,1.115,18,26,29,40.0,1.03,10.5,16,0,19,0,2,0,17,3
5.7,4,25,57.749,64.773,61,1,58,0.66,38.277,40.745,0.702,7.856,455.63,44.8,43.1,1.117,26,33,36,50.0,0.996,8.6,22,0,24,0,0,2,20,1
5.7,3,19,45.022,50.607,48,1,45,0.656,29.509,30.813,0.685,7.676,345.44,44.4,42.2,1.125,20,26,29,40.5,1.0,11.1,21,0,22,0,0,0,17,1
5.7,5,26,61.101,68.561,64,2,61,0.653,39.826,41.557,0.681,7.649,466.59,44.3,42.6,1.124,27,35,38,53.0,1.002,9.8,22,0,25,0,0,1,21,2
5.8,4,25,57.749,64.773,61,1,58,0.66,38.277,40.745,0.702,7.856,455.63,44.8,43.1,1.117,26,33,36,50.0,0.996,8.6,22,0,24,0,0,2,20,1
5.7,3,13,37.28,41.456,38,1,36,0.673,24.222,24.165,0.671,8.815,317.33,41.7,36.1,1.152,15,23,25,34.0,1.036,13.9,16,0,17,0,0,0,12,1
5.7,2,10,41.112,44.732,40,1,38,0.717,27.261,25.671,0.676,10.534,400.31,44.7,26.3,1.177,17,28,30,39.5,1.082,10.5,17,0,18,0,0,0,15,1
5.7,1,18,48.643,53.82,51,2,48,0.686,32.906,34.159,0.712,8.719,418.52,43.8,37.5,1.121,21,30,33,46.0,1.013,12.5,22,0,24,0,0,0,20,2
5.7,1,17,41.818,46.611,45,1,42,0.678,28.467,29.801,0.71,7.795,327.41,50.0,40.5,1.11,21,25,28,39.5,0.996,7.1,23,0,23,0,0,0,20,0
6.1,2,21,56.923,62.99,60,2,56,0.685,38.343,39.62,0.707,8.725,488.59,44.6,37.5,1.125,25,35,39,53.5,1.016,10.7,27,0,28,0,0,0,23,1
7.3,2,14,39.873,43.978,42,1,39,0.697,27.172,27.841,0.714,9.149,356.81,46.2,35.9,1.128,18,25,28,37.5,1.022,10.3,17,0,18,0,1,0,16,1
5.7,1,12,34.702,37.934,36,2,34,0.705,23.955,24.591,0.723,9.228,313.76,47.1,35.3,1.116,16,22,24,33.0,1.021,8.8,12,0,15,0,1,0,15,3
5.7,1,10,37.014,40.242,37,1,35,0.726,25.412,24.955,0.713,10.479,366.75,45.7,28.6,1.15,16,25,27,36.5,1.058,11.4,17,0,18,0,1,0,15,1
5.7,2,15,40.003,44.488,44,0,40,0.698,27.928,29.483,0.737,8.636,345.46,47.5,37.5,1.112,19,25,29,41.5,1.0,12.5,25,0,25,0,0,0,17,0
5.7,4,14,42.887,46.559,43,5,41,0.686,28.143,27.966,0.682,9.556,391.8,39.0,34.1,1.136,16,27,29,38.0,1.046,12.2,12,0,14,0,1,1,11,1
5.7,1,14,42.665,46.399,45,1,42,0.738,31.001,32.904,0.783,11.281,473.8,47.6,33.3,1.105,20,28,31,43.0,1.016,9.5,22,0,23,1,1,0,19,1
5.7,10,37,82.618,92.019,87,7,82,0.634,52.023,54.142,0.66,7.46,611.75,42.7,45.1,1.122,35,45,50,63.0,1.008,3.7,24,0,25,0,0,0,25,1
5.7,0,11,35.207,38.645,36,1,34,0.71,24.14,24.324,0.715,9.758,331.76,44.1,32.4,1.137,15,23,25,34.5,1.036,14.7,17,0,18,0,1,0,15,1
5.7,4,20,54.647,61.038,56,1,53,0.665,35.229,35.398,0.668,8.594,455.49,41.5,37.7,1.152,22,33,36,47.0,1.031,13.2,18,0,20,0,0,0,18,2
5.7,0,11,31.487,34.947,33,1,31,0.69,21.402,21.767,0.702,8.558,265.3,45.2,35.5,1.127,14,20,22,31.5,1.016,16.1,17,0,18,0,0,0,14,1
5.7,6,33,79.141,88.933,85,1,79,0.66,52.118,54.336,0.688,7.757,612.77,45.6,41.8,1.126,36,46,52,70.0,1.002,10.1,34,0,35,0,0,0,30,1
5.7,1,12,34.8,38.167,36,1,34,0.709,24.089,25.0,0.735,9.859,335.21,44.1,35.3,1.123,15,22,24,33.0,1.024,11.8,16,0,17,0,2,0,14,1
5.7,3,19,44.778,49.946,48,1,45,0.671,30.181,32.211,0.716,8.033,361.5,46.7,42.2,1.11,21,26,29,40.0,0.995,6.7,22,0,22,0,0,0,18,0
5.7,3,19,48.098,53.527,52,1,48,0.681,32.697,34.461,0.718,8.365,401.53,45.8,39.6,1.115,22,29,33,45.0,1.002,10.4,22,0,23,0,0,0,19,1
5.7,1,12,34.891,38.329,36,2,34,0.692,23.511,23.671,0.696,8.744,297.31,47.1,35.3,1.127,16,22,24,33.0,1.026,8.8,12,0,15,0,0,0,15,3
5.7,6,27,62.96,70.398,67,2,63,0.659,41.518,43.961,0.698,7.9,497.67,44.4,42.9,1.117,28,36,40,54.0,0.999,7.9,22,0,24,0,0,2,20,1
5.7,2,22,55.083,61.441,59,1,55,0.677,37.245,39.228,0.713,8.265,454.6,45.5,40.0,1.117,25,33,37,51.5,1.002,10.9,27,0,28,0,0,0,23,1
6.3,1,18,49.749,54.681,52,2,49,0.699,34.239,35.773,0.73,9.224,451.97,44.9,36.7,1.116,22,31,34,47.0,1.015,10.2,22,0,24,0,1,0,21,2
5.7,2,10,30.047,32.495,31,4,29,0.69,20.009,19.875,0.685,8.905,258.25,44.8,34.5,1.121,13,19,21,28.5,1.036,6.9,11,0,13,0,0,0,11,2
5.7,0,7,25.676,27.615,27,1,25,0.78,19.504,21.273,0.851,14.863,371.57,48.0,28.0,1.105,12,18,20,27.5,1.027,12.0,11,0,13,0,1,0,12,2
5.7,2,13,40.902,44.922,41,2,39,0.688,26.826,26.313,0.675,9.291,362.34,43.6,33.3,1.152,17,26,28,37.5,1.049,10.3,17,0,18,0,0,0,15,1
5.7,0,10,29.491,32.309,31,1,29,0.714,20.714,21.375,0.737,9.37,271.72,48.3,34.5,1.114,14,19,21,30.0,1.017,10.3,16,0,17,0,1,0,14,1
5.7,3,15,37.36,41.638,39,1,37,0.67,24.789,25.904,0.7,8.508,314.8,43.2,40.5,1.125,16,22,24,32.5,1.01,10.8,17,0,17,0,1,0,13,0
5.7,4,18,47.283,52.658,52,0,47,0.689,32.365,33.944,0.722,8.586,403.52,46.8,38.3,1.12,22,29,34,46.5,1.006,10.6,25,0,25,0,0,0,18,0
5.7,1,17,43.145,47.82,46,2,43,0.679,29.181,30.256,0.704,7.986,343.41,48.8,39.5,1.112,21,26,29,41.0,1.003,7.0,22,0,23,0,0,0,20,1
5.7,0,15,38.934,43.196,42,1,39,0.691,26.94,28.04,0.719,8.035,313.38,51.3,38.5,1.108,20,24,27,39.0,0.998,7.7,22,0,23,0,0,0,20,1
5.7,0,8,26.684,28.814,28,1,26,0.745,19.374,20.261,0.779,10.683,277.75,46.2,30.8,1.108,12,18,20,28.0,1.026,11.5,16,0,16,0,1,0,12,0
5.7,1,10,35.793,38.519,35,4,34,0.717,24.374,23.989,0.706,10.228,347.74,41.2,29.4,1.133,14,24,25,35.0,1.053,14.7,12,0,15,0,1,1,12,2
5.7,6,29,63.516,71.603,67,1,64,0.646,41.33,44.267,0.692,7.558,483.69,43.8,45.3,1.119,28,35,38,52.0,0.992,7.8,22,0,24,0,0,2,20,1
7.9,11,25,60.523,67.995,63,2,59,0.636,37.503,38.131,0.646,8.043,474.54,39.0,42.4,1.152,23,34,38,46.0,1.026,10.2,12,0,14,0,0,0,12,2
5.7,3,17,40.145,44.82,42,2,40,0.655,26.181,27.256,0.681,7.684,307.38,45.0,42.5,1.121,18,23,25,34.0,1.004,7.5,12,0,15,0,0,0,15,3
5.7,1,15,37.683,41.906,41,0,38,0.695,26.412,28.233,0.743,8.354,317.44,50.0,39.5,1.103,19,23,26,37.0,0.992,7.9,22,0,22,0,0,0,18,0
6.7,6,25,52.665,60.225,56,0,53,0.621,32.891,34.893,0.658,7.085,375.53,39.6,47.2,1.136,21,28,31,40.5,0.994,13.2,17,0,18,0,0,0,15,1
5.7,1,13,36.709,40.33,38,2,36,0.699,25.174,26.091,0.725,10.368,373.23,44.4,36.1,1.12,16,23,25,34.5,1.02,11.1,17,0,18,1,0,0,15,1
5.7,2,21,49.905,56.023,53,1,50,0.661,33.036,34.574,0.691,7.67,383.49,46.0,42.0,1.12,23,29,32,45.0,0.998,10.0,22,0,24,0,0,0,21,2
5.7,1,17,44.465,49.402,47,2,44,0.675,29.697,30.506,0.693,8.169,359.42,45.5,38.6,1.123,20,27,30,42.0,1.011,11.4,22,0,23,0,0,0,19,1
5.7,4,27,66.949,73.654,70,6,66,0.665,43.862,45.529,0.69,8.268,545.66,43.9,40.9,1.116,29,39,43,58.0,1.014,4.5,24,0,27,0,0,0,25,3
6.2,11,33,72.181,81.514,77,3,72,0.627,45.143,47.302,0.657,7.329,527.69,40.3,45.8,1.132,29,39,44,57.0,1.003,9.7,26,0,26,0,0,0,18,0
5.7,0,8,27.705,30.127,29,0,27,0.753,20.321,21.023,0.779,10.783,291.15,48.1,29.6,1.116,13,19,21,29.5,1.026,14.8,17,0,17,0,2,0,13,0
5.7,3,15,37.582,41.986,38,2,37,0.653,24.171,24.745,0.669,8.036,297.35,40.5,40.5,1.135,15,22,23,32.0,1.016,13.5,12,0,14,0,0,1,11,1
5.7,2,19,47.316,52.864,50,1,47,0.668,31.398,32.506,0.692,7.967,374.45,46.8,40.4,1.125,22,28,31,43.0,1.007,8.5,22,0,23,0,0,0,20,1
5.7,3,20,46.88,52.444,50,1,47,0.664,31.202,33.216,0.707,8.011,376.52,44.7,42.6,1.116,21,27,30,41.5,0.997,8.5,21,0,22,0,0,0,18,1
5.7,3,17,39.811,44.983,43,0,40,0.657,26.268,27.597,0.69,7.585,303.4,45.0,42.5,1.125,18,23,26,36.5,0.995,12.5,21,0,21,0,0,0,15,0
5.7,1,17,44.465,49.402,47,2,44,0.675,29.697,30.506,0.693,8.169,359.42,45.5,38.6,1.123,20,27,30,42.0,1.011,11.4,22,0,23,0,0,0,19,1
5.7,3,17,41.222,45.74,43,2,41,0.668,27.369,28.904,0.705,8.279,339.45,43.9,41.5,1.116,18,24,26,35.5,1.005,7.3,17,0,18,0,0,0,15,1
5.7,9,27,58.538,65.896,61,4,58,0.617,35.761,37.222,0.642,7.337,425.54,37.9,46.6,1.136,22,31,34,42.5,1.009,8.6,17,0,17,0,0,0,13,0
5.7,9,29,63.381,71.731,66,2,63,0.623,39.263,41.017,0.651,7.375,464.6,39.7,46.0,1.139,25,34,37,48.0,1.006,9.5,22,0,22,0,0,0,16,0
5.7,3,11,29.349,32.146,31,1,29,0.704,20.406,21.779,0.751,9.613,278.78,44.8,37.9,1.108,13,18,20,26.5,1.012,6.9,11,0,12,0,1,0,10,1
5.7,0,16,43.469,47.764,46,2,43,0.698,30.009,31.114,0.724,8.787,377.85,48.8,37.2,1.111,21,27,30,41.5,1.011,7.0,23,0,23,0,1,0,21,0
5.7,1,17,49.534,54.694,54,1,49,0.708,34.686,35.949,0.734,8.97,439.54,46.9,34.7,1.116,23,32,37,53.0,1.011,14.3,30,0,31,0,0,0,22,1
5.7,1,18,47.862,53.156,50,2,47,0.673,31.608,32.205,0.685,8.329,391.44,44.7,38.3,1.131,21,29,32,44.0,1.018,10.6,22,0,23,0,0,0,20,1
5.7,3,15,38.843,43.29,40,1,38,0.664,25.233,25.676,0.676,8.299,315.35,44.7,39.5,1.139,17,23,25,34.0,1.022,7.9,16,0,17,0,0,0,14,1
5.7,8,32,74.087,82.644,79,4,74,0.653,48.32,50.5,0.682,7.577,560.7,45.9,43.2,1.117,34,42,47,62.0,1.001,5.4,24,0,26,0,0,1,25,1
5.7,2,22,51.687,57.939,55,1,52,0.664,34.542,36.33,0.699,7.587,394.51,48.1,42.3,1.114,25,30,33,46.5,0.994,7.7,23,0,25,0,0,0,23,2
5.7,0,8,25.356,27.605,27,0,25,0.746,18.659,19.807,0.792,10.47,261.75,48.0,32.0,1.104,12,17,19,27.0,1.014,12.0,16,0,16,0,1,0,12,0
5.7,6,19,39.029,44.235,40,2,39,0.608,23.708,25.017,0.641,7.009,273.37,38.5,48.7,1.134,15,20,21,27.0,1.001,7.7,6,0,9,0,0,0,9,3
6.3,4,18,42.323,47.238,44,2,42,0.652,27.39,28.909,0.688,8.154,342.46,40.5,42.9,1.125,17,24,26,34.0,1.008,9.5,12,0,14,0,0,0,13,2
5.7,2,16,42.691,47.113,45,3,42,0.676,28.391,28.955,0.689,8.295,348.39,45.2,38.1,1.122,19,26,29,40.5,1.016,9.5,21,0,22,0,0,0,17,1
5.7,1,17,46.425,51.821,50,0,46,0.689,31.673,32.54,0.707,8.358,384.45,47.8,37.0,1.127,22,29,33,46.5,1.009,13.0,27,0,27,0,0,0,21,0
5.7,9,25,58.614,65.9,62,2,58,0.642,37.209,38.495,0.664,7.734,448.55,41.4,43.1,1.136,24,33,37,47.0,1.011,10.3,12,0,16,0,0,0,15,4
5.7,4,23,60.174,66.195,63,5,59,0.671,39.609,40.801,0.692,8.569,505.6,42.4,39.0,1.122,25,36,40,55.0,1.02,8.5,22,0,26,0,0,0,21,4
5.7,4,21,53.956,59.943,56,3,53,0.664,35.169,36.381,0.686,8.52,451.56,39.6,39.6,1.131,21,32,35,47.5,1.018,13.2,21,0,23,0,0,0,17,2
5.7,6,21,52.847,59.07,56,2,52,0.657,34.156,34.972,0.673,8.086,420.49,42.3,40.4,1.136,22,31,35,46.5,1.016,11.5,21,0,22,0,0,0,16,1
5.7,1,13,38.524,42.202,41,1,38,0.719,27.303,28.824,0.759,9.671,367.49,44.7,34.2,1.111,17,25,28,39.5,1.014,13.2,21,0,22,0,0,0,16,1
6.0,6,18,42.345,47.551,45,1,42,0.651,27.337,28.671,0.683,8.187,343.85,40.5,42.9,1.132,17,24,27,35.0,1.008,11.9,16,0,16,0,1,0,11,0
5.7,5,22,51.334,57.73,54,2,51,0.643,32.772,34.034,0.667,7.657,390.49,41.2,43.1,1.132,21,29,32,43.5,1.007,11.8,21,0,22,0,0,0,16,1
5.7,6,20,43.88,49.444,47,1,44,0.641,28.202,30.216,0.687,7.738,340.49,40.9,45.5,1.124,18,24,27,35.5,0.997,9.1,15,0,16,0,0,0,12,1
5.7,2,17,43.222,47.74,46,2,43,0.683,29.369,30.904,0.719,8.453,363.47,46.5,39.5,1.11,20,26,29,40.5,1.005,7.0,21,0,22,0,0,0,18,1
8.2,1,15,45.316,49.456,46,3,44,0.707,31.119,32.205,0.732,10.804,475.36,40.9,34.1,1.124,18,29,31,44.0,1.03,13.6,18,0,21,1,0,1,16,2
6.0,10,30,69.621,78.043,74,3,69,0.644,44.443,46.398,0.672,7.943,548.1,40.6,43.5,1.131,28,39,44,57.0,1.009,10.1,26,0,26,0,1,0,18,0
4.7,0,10,26.058,29.239,28,0,26,0.679,17.666,18.307,0.704,8.087,210.26,46.2,38.5,1.125,12,16,18,26.0,1.002,15.4,16,0,16,0,0,0,12,0
5.7,8,25,51.007,57.69,53,3,51,0.608,31.003,32.756,0.642,6.97,355.48,39.2,49.0,1.131,20,26,28,35.5,1.0,5.9,11,0,13,0,0,0,12,2
5.7,6,23,53.403,60.276,56,1,53,0.641,33.968,35.279,0.666,7.67,406.51,41.5,43.4,1.137,22,30,33,44.0,1.008,11.3,22,0,22,0,0,0,16,0
5.7,3,20,50.458,55.943,54,3,50,0.669,33.444,34.478,0.69,8.009,400.47,46.0,40.0,1.119,23,30,34,46.0,1.009,8.0,22,0,23,0,0,0,20,1
5.7,3,20,47.218,52.412,49,2,47,0.669,31.447,33.779,0.719,9.498,446.4,42.6,42.6,1.115,20,27,29,40.5,1.005,6.4,17,0,20,1,0,0,17,3
5.7,1,15,46.534,51.048,48,1,45,0.707,31.825,32.267,0.717,9.522,428.47,46.7,33.3,1.134,21,30,33,45.0,1.034,8.9,22,0,23,0,0,0,20,1
5.7,1,20,54.494,60.282,58,1,54,0.696,37.607,39.159,0.725,8.696,469.58,48.1,37.0,1.116,26,34,38,53.0,1.009,9.3,28,0,29,0,0,0,25,1
5.7,2,10,37.993,40.929,39,2,36,0.735,26.465,26.193,0.728,10.483,377.37,47.2,27.8,1.137,17,26,29,39.5,1.055,8.3,21,0,21,0,0,0,15,0
7.8,0,15,41.658,45.906,44,2,41,0.692,28.358,29.392,0.717,8.913,365.45,43.9,36.6,1.12,18,26,29,42.0,1.016,12.2,22,0,24,0,0,0,18,2
5.7,2,20,49.313,54.515,51,2,49,0.679,33.25,35.284,0.72,8.693,425.97,44.9,40.8,1.113,22,29,31,42.0,1.006,6.1,18,0,20,0,1,0,20,2
5.7,0,17,44.887,49.903,49,0,45,0.699,31.455,33.245,0.739,8.522,383.51,48.9,37.8,1.109,22,28,32,46.0,0.997,11.1,26,0,27,0,0,0,22,1
5.7,10,31,64.323,73.099,70,1,65,0.626,40.67,43.381,0.667,6.979,453.64,43.1,47.7,1.125,28,34,39,50.0,0.99,7.7,22,0,22,0,0,0,18,0
5.7,2,20,57.436,63.33,60,2,56,0.692,38.726,39.557,0.706,9.046,506.58,44.6,35.7,1.131,25,36,40,54.5,1.026,10.7,27,0,28,0,0,0,23,1
6.5,1,18,45.996,51.029,49,1,46,0.689,31.675,33.455,0.727,8.402,386.51,47.8,39.1,1.109,22,28,31,44.0,1.0,8.7,22,0,24,0,0,0,21,2
5.7,1,13,38.56,41.771,41,2,38,0.728,27.648,28.994,0.763,9.707,368.86,50.0,34.2,1.099,19,25,28,38.0,1.015,5.3,18,0,19,0,1,0,18,1
5.7,0,16,45.76,50.405,48,2,45,0.697,31.379,32.398,0.72,8.989,404.49,44.4,35.6,1.12,20,29,32,45.0,1.017,13.3,22,0,24,0,0,0,20,2
5.7,2,17,45.793,50.611,48,3,45,0.676,30.412,30.96,0.688,8.343,375.42,44.4,37.8,1.125,20,28,31,43.0,1.018,11.1,16,0,20,0,0,0,18,4
5.7,2,19,56.865,63.121,59,1,55,0.686,37.723,37.642,0.684,8.955,492.51,43.6,34.5,1.148,24,36,40,54.5,1.034,14.5,27,0,28,0,0,0,22,1
7.6,2,20,51.182,56.654,52,4,50,0.657,32.862,33.83,0.677,8.57,428.52,38.0,40.0,1.133,19,30,32,44.0,1.024,12.0,18,0,21,0,0,0,17,3
5.7,3,15,35.262,39.405,37,2,35,0.647,22.655,23.495,0.671,7.695,269.33,42.9,42.9,1.126,15,20,22,29.5,1.007,8.6,11,0,13,0,0,0,12,2
4.7,1,8,19.854,22.242,22,0,20,0.681,13.623,14.296,0.715,7.81,156.2,50.0,40.0,1.112,10,12,14,19.5,0.993,10.0,11,0,11,0,0,0,9,0
5.7,1,11,30.454,33.994,32,0,30,0.686,20.576,21.006,0.7,8.476,254.29,46.7,36.7,1.133,14,19,21,29.5,1.015,13.3,17,0,17,0,0,0,13,0
5.7,2,15,32.934,37.196,34,1,33,0.635,20.94,22.04,0.668,7.313,241.32,42.4,45.5,1.127,14,18,19,26.0,0.998,9.1,12,0,13,0,0,0,12,1
6.2,2,16,39.029,44.066,42,0,39,0.661,25.762,26.841,0.688,7.805,304.39,43.6,41.0,1.13,17,23,26,36.5,1.001,15.4,21,0,21,0,0,0,15,0
5.7,4,26,62.178,69.481,66,2,62,0.662,41.013,43.205,0.697,8.043,498.66,43.5,41.9,1.121,27,36,40,54.5,1.003,9.7,27,0,28,0,0,0,23,1
5.7,1,12,40.327,43.412,42,4,39,0.724,28.239,28.534,0.732,9.754,380.41,46.2,30.8,1.113,18,27,30,42.0,1.034,10.3,10,0,16,0,0,1,16,5
4.7,0,10,26.065,28.867,28,1,26,0.687,17.865,18.512,0.712,8.087,210.25,50.0,38.5,1.11,13,16,18,26.0,1.003,7.7,16,0,16,0,0,0,13,0
5.7,1,9,28.611,31.159,30,2,28,0.717,20.074,20.21,0.722,8.974,251.26,50.0,32.1,1.113,14,19,21,31.5,1.022,10.7,15,0,17,0,0,1,12,1
6.1,2,16,35.716,40.112,38,1,36,0.651,23.445,24.796,0.689,7.343,264.35,47.2,44.4,1.114,17,20,22,30.5,0.992,5.6,17,0,17,0,0,0,15,0
5.7,2,19,42.702,48.026,45,1,43,0.651,27.993,29.563,0.688,7.382,317.42,46.5,44.2,1.117,20,24,26,36.0,0.993,7.0,18,0,19,0,0,0,18,1
5.7,2,18,48.534,53.947,52,1,48,0.685,32.893,33.75,0.703,8.322,399.46,47.9,37.5,1.124,23,30,34,47.5,1.011,10.4,27,0,27,0,0,0,21,0
5.7,0,10,27.069,29.997,29,0,27,0.711,19.197,20.415,0.756,10.673,288.16,48.1,37.0,1.111,13,17,19,27.0,1.003,11.1,16,0,16,1,0,0,13,0
5.7,0,10,28.385,31.448,30,1,28,0.692,19.381,19.762,0.706,8.51,238.27,46.4,35.7,1.123,13,18,20,29.0,1.014,14.3,16,0,17,0,0,0,13,1
5.7,4,27,61.556,69.268,66,1,62,0.655,40.617,42.858,0.691,7.445,461.61,46.8,43.5,1.117,29,35,39,53.5,0.993,8.1,23,0,26,0,0,0,25,3
5.7,0,16,47.298,52.323,49,2,46,0.687,31.597,31.693,0.689,8.814,405.43,43.5,34.8,1.137,20,30,33,46.0,1.028,15.2,22,0,24,0,0,0,20,2
5.7,7,29,60.454,67.939,64,3,61,0.632,38.541,41.029,0.673,7.01,427.58,45.9,47.5,1.114,28,32,35,47.0,0.991,1.6,22,0,23,0,0,0,21,1
5.7,2,19,48.643,54.073,51,2,48,0.669,32.113,32.961,0.687,8.134,390.45,45.8,39.6,1.127,22,29,32,44.0,1.013,8.3,22,0,23,0,0,0,20,1
5.9,8,27,56.178,63.734,58,2,56,0.611,34.22,36.006,0.643,7.117,398.53,39.3,48.2,1.138,22,29,31,39.5,1.003,7.1,11,0,14,0,0,0,14,3
5.7,4,17,44.425,49.821,48,0,44,0.674,29.673,30.54,0.694,8.192,360.43,45.5,38.6,1.132,20,27,31,42.0,1.01,13.6,22,0,22,0,0,0,16,0
5.7,2,15,34.934,39.196,37,1,35,0.655,22.94,24.04,0.687,7.581,265.34,45.7,42.9,1.12,16,20,22,30.5,0.998,8.6,17,0,17,0,0,0,14,0
5.7,4,20,49.334,54.827,52,1,49,0.677,33.197,35.046,0.715,8.722,427.36,44.9,40.8,1.119,22,29,32,43.0,1.007,8.2,22,0,22,0,2,0,18,0
7.7,3,22,56.662,62.94,60,3,56,0.669,37.487,38.489,0.687,8.117,454.53,44.6,39.3,1.124,25,34,38,52.5,1.012,10.7,27,0,28,0,0,0,22,1
5.7,10,31,64.323,73.099,70,1,65,0.626,40.67,43.381,0.667,6.979,453.64,43.1,47.7,1.125,28,34,39,50.0,0.99,7.7,22,0,22,0,0,0,18,0
