pXC50,nBO,nSK,SCBO,nCsp3,N.,nC,nCsp2,nH,Sv,Se,Sp,Si,nBT,nAT,nN,nHet,MW,RBN,nBM,nAB,Mi,nCsp,nCL,nX,nO,nF,RBF,C.
5.724,31,27,43.5,2,4.3,25,23,20,31.784,46.156,33.864,51.733,51,47,2,2,348.47,3,24,23,1.101,0,0,0,0,0,0.059,53.2
5.697,32,28,44.5,2,4.3,25,23,19,32.167,46.669,33.802,52.073,51,47,2,3,366.46,3,24,23,1.108,0,0,1,0,1,0.059,53.2
5.836,32,28,44.5,2,4.3,25,23,19,32.612,46.48,34.722,51.677,51,47,2,3,382.91,3,24,23,1.1,0,1,1,0,0,0.059,53.2
5.893,32,28,44.5,2,4.3,25,23,19,32.809,46.385,35.216,51.575,51,47,2,3,427.36,3,24,23,1.097,0,0,1,0,0,0.059,53.2
5.839,33,29,45.5,3,3.9,26,23,22,34.026,50.367,36.08,56.358,55,51,2,3,378.5,4,24,23,1.105,0,0,0,1,0,0.073,51.0
5.947,32,28,44.5,3,4.0,26,23,22,33.311,49.04,35.625,55.149,54,50,2,2,362.5,3,24,23,1.103,0,0,0,0,0,0.056,52.0
5.991,33,29,45.5,2,4.3,25,23,18,33.439,46.803,35.58,51.621,51,47,2,4,417.35,3,24,23,1.098,0,2,2,0,0,0.059,53.2
5.14,27,24,37.5,2,7.3,20,18,17,27.939,40.567,29.995,45.321,44,41,3,4,331.47,2,19,17,1.105,0,0,0,0,0,0.045,48.8
4.973,28,25,38.5,2,7.3,20,18,16,28.322,41.08,29.932,45.661,44,41,3,5,349.46,2,19,17,1.114,0,0,1,0,1,0.045,48.8
5.263,28,25,38.5,2,7.3,20,18,16,28.766,40.891,30.853,45.265,44,41,3,5,365.91,2,19,17,1.104,0,1,1,0,0,0.045,48.8
5.039,28,25,38.5,2,7.3,20,18,16,28.964,40.796,31.347,45.163,44,41,3,5,410.36,2,19,17,1.102,0,0,1,0,0,0.045,48.8
5.379,29,26,39.5,3,6.7,21,18,19,30.181,44.778,32.211,49.946,48,45,3,5,361.5,3,19,17,1.11,0,0,0,1,0,0.063,46.7
5.175,28,25,38.5,3,6.8,21,18,19,29.466,43.451,31.756,48.737,47,44,3,4,345.5,2,19,17,1.108,0,0,0,0,0,0.043,47.7
5.165,29,26,39.5,2,7.3,20,18,15,29.594,41.214,31.71,45.209,44,41,3,6,400.35,2,19,17,1.103,0,2,2,0,0,0.045,48.8
5.245,27,24,37.5,2,7.3,20,18,17,27.939,40.567,29.995,45.321,44,41,3,4,331.47,2,19,17,1.105,0,0,0,0,0,0.045,48.8
5.757,28,25,38.5,2,7.3,20,18,16,28.322,41.08,29.932,45.661,44,41,3,5,349.46,2,19,17,1.114,0,0,1,0,1,0.045,48.8
5.0,33,29,45.0,6,6.3,23,16,19,32.895,48.105,34.665,53.155,52,48,3,6,401.52,3,19,16,1.107,1,0,0,2,0,0.058,47.9
5.0,27,24,38.0,4,5.0,20,15,16,27.632,39.793,29.443,44.032,43,40,2,4,332.45,2,18,16,1.101,1,0,0,1,0,0.047,50.0
5.0,34,31,46.0,1,14.0,19,18,12,31.169,45.545,30.421,49.448,46,43,6,12,448.82,4,23,22,1.15,0,1,4,2,3,0.087,44.2
5.678,80,75,104.0,9,5.0,51,42,44,83.447,122.352,87.353,132.687,124,119,6,24,1412.41,21,42,36,1.115,0,0,6,12,0,0.169,42.9
5.347,55,51,71.0,6,5.1,34,28,27,56.305,80.542,59.08,86.689,82,78,4,17,1019.15,0,28,24,1.111,0,0,5,8,0,0.0,43.6
6.125,41,36,55.0,6,13.1,26,20,25,40.01,61.607,41.29,69.272,66,61,8,10,484.59,6,27,26,1.136,0,0,1,1,1,0.091,42.6
7.796,41,36,54.0,7,12.7,26,19,27,40.537,63.49,42.052,71.688,68,63,8,10,486.61,6,26,26,1.138,0,0,1,1,1,0.088,41.3
5.456,35,32,47.0,5,5.6,23,18,22,35.762,55.04,37.034,60.744,57,54,3,9,455.55,3,21,18,1.125,0,0,1,4,1,0.053,42.6
5.0,28,25,38.5,4,6.8,19,15,19,28.895,44.105,30.665,49.155,47,44,3,6,353.48,2,19,17,1.117,0,0,0,2,0,0.043,43.2
5.0,32,29,42.5,7,7.3,22,15,26,34.497,54.858,36.955,61.899,58,55,4,7,410.59,4,19,17,1.125,0,0,0,2,0,0.069,40.0
5.0,27,24,37.5,3,7.3,18,15,17,27.369,41.222,28.904,45.74,44,41,3,6,339.45,2,19,17,1.116,0,0,0,2,0,0.045,43.9
7.991,75,74,93.0,25,9.1,46,21,69,84.751,145.974,87.211,164.245,144,143,13,28,1044.28,30,23,10,1.149,0,0,0,15,0,0.208,32.2
6.759,104,100,127.5,33,9.0,63,30,89,114.097,192.835,117.791,216.317,193,189,17,37,1420.76,38,32,17,1.145,0,0,0,19,0,0.197,33.3
6.35,111,108,136.0,35,9.5,69,34,102,124.608,213.482,128.967,240.968,213,210,20,39,1515.91,43,34,18,1.147,0,0,0,19,0,0.202,32.9
5.8,25,23,33.0,8,14.0,16,7,20,26.531,43.123,27.819,49.106,45,43,6,7,312.42,3,12,10,1.142,1,0,0,1,0,0.067,37.2
6.921,41,36,54.0,8,12.3,27,19,29,41.349,65.047,43.358,73.893,70,65,8,9,484.64,6,26,26,1.137,0,0,1,0,1,0.086,41.5
7.409,41,36,55.0,6,13.1,26,20,25,40.01,61.607,41.29,69.272,66,61,8,10,484.59,6,27,26,1.136,0,0,1,1,1,0.091,42.6
6.959,42,37,56.0,7,11.1,27,20,26,41.231,63.716,42.5,71.399,68,63,7,10,499.6,7,27,26,1.133,0,0,1,2,1,0.103,42.9
7.538,39,36,50.0,5,8.8,24,19,21,38.497,59.189,38.676,65.235,60,57,5,12,519.95,7,20,18,1.144,0,1,4,3,3,0.117,42.1
7.187,42,39,55.0,6,8.1,25,19,23,41.925,64.476,42.54,70.779,65,62,5,14,582.05,8,22,18,1.142,0,1,4,4,3,0.123,40.3
7.745,37,33,50.0,3,7.7,24,21,19,36.459,52.858,37.983,57.807,56,52,4,9,478.99,6,24,22,1.112,0,1,1,3,0,0.107,46.2
7.62,39,35,52.0,4,8.8,25,21,22,39.007,57.843,40.75,63.721,61,57,5,10,508.04,7,24,22,1.118,0,1,1,3,0,0.115,43.9
7.523,42,38,57.0,5,8.1,26,21,24,42.436,63.131,44.614,69.265,66,62,5,12,570.14,8,26,22,1.117,0,1,1,4,0,0.121,41.9
7.0,37,34,48.0,4,7.7,23,19,18,35.949,54.203,35.909,59.321,55,52,4,11,490.9,6,20,18,1.141,0,1,4,3,3,0.109,44.2
4.301,18,17,25.5,2,14.8,11,8,10,18.096,27.713,18.216,30.658,28,27,4,6,230.25,3,12,11,1.135,1,0,0,2,0,0.107,40.7
4.5,15,14,22.5,0,21.1,9,8,5,13.996,19.804,13.722,21.748,20,19,4,5,188.18,1,12,11,1.145,1,0,1,0,1,0.05,47.4
5.102,15,14,22.5,0,21.1,9,8,5,14.638,19.52,15.137,21.25,20,19,4,5,249.08,1,12,11,1.118,1,0,1,0,0,0.05,47.4
4.87,17,16,24.5,3,14.3,12,8,12,18.193,27.942,19.068,31.654,29,28,4,4,212.28,2,12,11,1.131,1,0,0,0,0,0.069,42.9
4.301,16,15,23.5,1,17.4,10,8,8,15.854,23.502,16.0,26.033,24,23,4,5,200.22,2,12,11,1.132,1,0,0,1,0,0.083,43.5
4.438,15,14,22.5,1,18.2,10,8,8,15.139,22.174,15.546,24.824,23,22,4,4,184.22,1,12,11,1.128,1,0,0,0,0,0.043,45.5
5.0,31,28,44.0,0,7.3,19,19,13,30.24,42.251,31.585,45.529,44,41,3,9,433.94,3,24,22,1.11,0,1,2,2,1,0.068,46.3
5.0,45,41,62.0,1,8.3,27,26,19,42.428,62.898,42.097,68.345,64,60,5,14,585.58,5,31,28,1.139,0,0,4,4,4,0.078,45.0
5.8,26,24,36.0,0,10.5,17,17,14,25.864,38.807,26.193,42.697,40,38,4,7,322.35,5,19,18,1.124,0,0,0,3,0,0.125,44.7
5.8,29,26,41.0,0,15.0,18,18,14,27.665,40.8,27.989,45.069,43,40,6,8,346.38,5,23,22,1.127,0,0,0,2,0,0.116,45.0
6.071,41,36,54.0,8,10.8,27,19,29,41.374,65.087,43.324,73.474,70,65,7,9,483.63,8,26,26,1.13,0,0,0,2,0,0.114,41.5
7.387,42,37,55.0,8,10.8,27,19,28,41.757,65.6,43.262,73.814,70,65,7,10,501.62,8,26,26,1.136,0,0,1,2,1,0.114,41.5
4.0,28,26,37.0,4,14.0,17,13,17,27.966,44.334,28.177,49.915,45,43,6,9,362.4,6,17,16,1.161,0,0,3,0,3,0.133,39.5
5.0,28,25,39.5,2,11.9,19,17,17,27.983,42.138,29.051,47.192,45,42,5,6,331.41,4,22,21,1.124,0,0,0,1,0,0.089,45.2
7.222,37,33,50.0,5,12.3,24,19,24,36.989,57.505,38.284,64.774,61,57,7,9,445.55,9,26,26,1.136,0,0,1,1,1,0.148,42.1
4.921,29,26,40.5,2,11.6,19,17,17,28.697,43.465,29.506,48.402,46,43,5,7,347.41,5,22,21,1.126,0,0,0,2,0,0.109,44.2
6.886,38,34,51.0,6,11.7,25,19,26,38.516,60.389,40.046,68.189,64,60,7,9,459.58,10,26,26,1.136,0,0,1,1,1,0.156,41.7
6.252,39,35,52.0,7,11.1,26,19,28,40.043,63.272,41.807,71.604,67,63,7,9,473.61,10,26,26,1.137,0,0,1,1,1,0.149,41.3
7.155,40,35,53.0,7,11.5,26,19,26,39.516,61.389,41.046,69.189,66,61,7,9,471.59,7,26,26,1.134,0,0,1,1,1,0.106,42.6
4.432,32,29,44.5,3,12.2,21,18,20,32.246,49.451,33.273,55.315,52,49,6,8,388.47,6,23,21,1.129,0,0,0,2,0,0.115,42.9
5.519,31,28,42.5,4,12.0,21,17,22,32.058,50.007,33.58,56.521,53,50,6,7,374.49,7,22,21,1.13,0,0,0,1,0,0.132,42.0
6.921,41,36,54.0,8,10.9,27,19,28,41.043,64.272,42.807,72.604,69,64,7,9,485.62,8,26,26,1.134,0,0,1,1,1,0.116,42.2
6.77,41,36,54.0,8,10.9,27,19,28,41.043,64.272,42.807,72.604,69,64,7,9,485.62,8,26,26,1.134,0,0,1,1,1,0.116,42.2
4.0,24,22,33.0,1,15.6,14,13,10,22.364,33.582,21.887,37.171,34,32,5,8,305.29,3,17,16,1.162,0,0,3,0,3,0.088,43.8
4.485,29,26,40.5,1,13.2,18,17,12,26.891,39.465,26.648,43.587,41,38,5,8,355.35,3,22,21,1.147,0,0,3,0,3,0.073,47.4
6.959,33,29,46.0,2,13.0,21,19,17,31.387,46.752,31.995,52.03,50,46,6,8,388.44,5,26,26,1.131,0,0,1,1,1,0.1,45.7
7.26,41,36,54.0,7,11.3,26,19,26,40.231,62.716,41.5,70.399,67,62,7,10,487.59,8,26,26,1.135,0,0,1,2,1,0.119,41.9
6.377,37,33,50.0,5,10.7,24,19,23,36.682,56.731,37.733,63.485,60,56,6,9,446.53,9,26,26,1.134,0,0,1,2,1,0.15,42.9
6.553,38,34,52.0,4,10.9,24,20,21,36.87,56.174,37.426,62.279,59,55,6,10,460.51,9,27,26,1.132,0,0,1,3,1,0.153,43.6
6.229,41,36,54.0,7,11.3,26,19,26,40.231,62.716,41.5,70.399,67,62,7,10,487.59,8,26,26,1.135,0,0,1,2,1,0.119,41.9
6.252,39,35,50.0,7,8.3,25,18,25,39.257,61.047,40.563,67.971,64,60,5,10,498.0,9,22,22,1.133,0,1,2,3,1,0.141,41.7
7.284,39,34,52.0,6,13.6,25,19,25,38.296,59.28,39.836,67.063,64,59,8,9,456.58,6,26,26,1.137,0,0,1,0,1,0.094,42.4
6.959,37,33,51.0,3,13.2,23,20,20,35.65,54.065,36.216,60.153,57,53,7,10,445.5,8,27,26,1.135,0,0,1,2,1,0.14,43.4
6.721,46,41,61.0,10,10.8,29,19,33,47.02,74.545,49.438,84.063,79,74,8,12,576.77,10,28,26,1.136,0,0,1,2,1,0.127,39.2
5.8,30,28,38.0,9,11.3,19,10,25,32.654,53.425,34.415,60.505,55,53,6,9,404.95,8,14,12,1.142,0,1,1,2,0,0.145,35.8
6.0,23,20,33.0,1,18.8,14,13,12,21.709,32.262,22.318,36.235,35,32,6,6,264.32,2,20,20,1.132,0,0,0,0,0,0.057,43.8
6.367,30,27,41.0,2,9.3,20,18,16,29.699,43.756,30.603,48.393,46,43,4,7,382.85,5,22,22,1.125,0,1,2,1,1,0.109,46.5
7.509,43,38,56.0,9,11.6,28,19,31,43.591,69.258,45.574,78.518,74,69,8,10,514.67,9,26,26,1.138,0,0,1,1,1,0.122,40.6
6.387,40,35,53.0,7,13.1,25,18,26,39.342,61.421,40.807,69.142,66,61,8,10,470.59,8,26,26,1.133,0,0,0,2,0,0.121,41.0
6.959,42,37,55.0,9,11.8,28,19,31,42.876,67.93,45.12,77.309,73,68,8,9,498.67,7,26,26,1.137,0,0,1,0,1,0.096,41.2
6.745,43,38,57.0,8,11.9,28,20,29,43.064,67.374,44.813,76.103,72,67,8,10,512.65,7,27,26,1.136,0,0,1,1,1,0.097,41.8
6.921,44,39,58.0,8,11.8,28,20,29,43.779,68.701,45.267,77.312,73,68,8,11,528.65,8,27,26,1.137,0,0,1,2,1,0.11,41.2
7.387,38,34,49.0,7,10.0,25,18,26,38.849,60.494,40.659,68.05,64,60,6,9,481.02,7,22,22,1.134,0,1,2,1,1,0.109,41.7
7.495,38,34,49.0,7,10.0,25,18,26,38.849,60.494,40.659,68.05,64,60,6,9,481.02,7,22,22,1.134,0,1,2,1,1,0.109,41.7
6.77,42,37,55.0,8,12.1,27,19,29,42.064,66.374,43.813,75.103,71,66,8,10,500.64,7,26,26,1.138,0,0,1,1,1,0.099,40.9
7.456,39,34,52.0,7,14.8,25,18,27,38.934,60.869,40.904,69.222,66,61,9,9,453.61,6,26,26,1.135,0,0,0,0,0,0.091,41.0
7.469,39,34,52.0,7,14.8,25,18,27,38.934,60.869,40.904,69.222,66,61,9,9,453.61,6,26,26,1.135,0,0,0,0,0,0.091,41.0
6.721,39,34,52.0,7,14.8,25,18,27,38.934,60.869,40.904,69.222,66,61,9,9,453.61,6,26,26,1.135,0,0,0,0,0,0.091,41.0
7.648,40,35,53.0,7,12.9,26,19,27,39.822,62.163,41.597,70.478,67,62,8,9,470.61,6,26,26,1.137,0,0,1,0,1,0.09,41.9
7.886,40,35,53.0,8,14.1,26,18,29,40.461,63.752,42.665,72.637,69,64,9,9,467.64,6,26,26,1.135,0,0,0,0,0,0.087,40.6
7.222,38,34,49.0,8,11.3,25,17,28,39.487,62.083,41.728,70.209,66,62,7,9,478.05,7,22,22,1.132,0,1,1,1,0,0.106,40.3
7.658,37,33,48.0,7,11.9,24,17,26,37.96,59.2,39.966,66.794,63,59,7,9,464.02,7,22,22,1.132,0,1,1,1,0,0.111,40.7
5.585,33,30,41.5,8,7.4,22,14,24,34.718,54.523,36.597,61.161,57,54,4,8,475.4,6,17,17,1.133,0,0,2,2,1,0.105,40.7
7.585,37,33,48.0,7,13.8,23,16,25,37.455,58.418,39.211,65.877,62,58,8,10,465.01,7,22,22,1.136,0,1,1,1,0,0.113,39.7
7.745,38,34,50.0,7,11.7,24,17,26,38.675,60.527,40.421,68.003,64,60,7,10,480.02,7,23,22,1.133,0,1,1,2,0,0.109,40.0
5.444,34,30,47.0,3,14.9,21,18,17,32.077,48.04,32.483,53.659,51,47,7,9,405.45,5,26,26,1.142,0,0,2,0,2,0.098,44.7
5.291,33,29,46.0,3,14.9,21,18,18,31.694,47.527,32.546,53.319,51,47,7,8,387.46,5,26,26,1.134,0,0,1,0,1,0.098,44.7
5.821,35,32,46.5,5,14.0,20,14,18,34.47,51.396,35.477,56.472,53,50,7,12,471.97,3,19,17,1.129,1,1,1,3,0,0.057,40.0
6.602,43,37,55.5,11,11.9,27,16,30,42.868,66.938,45.523,75.683,73,67,8,10,514.72,5,25,25,1.13,0,0,0,1,0,0.068,40.3
6.62,35,30,50.5,1,13.0,23,22,16,32.477,46.356,33.296,51.275,51,46,6,7,392.45,3,31,31,1.115,0,0,0,1,0,0.059,50.0
7.071,36,31,51.5,2,12.2,24,22,18,34.004,49.24,35.057,54.69,54,49,6,7,406.48,4,31,31,1.116,0,0,0,1,0,0.074,49.0
4.0,38,33,53.5,4,10.9,26,22,22,37.058,55.007,38.58,61.521,60,55,6,7,434.54,5,31,31,1.119,0,0,0,1,0,0.083,47.3
4.0,36,31,51.5,2,12.2,24,22,18,34.004,49.24,35.057,54.69,54,49,6,7,406.48,4,31,31,1.116,0,0,0,1,0,0.074,49.0
4.0,31,27,44.0,2,14.0,20,18,16,29.477,43.356,30.296,48.275,47,43,6,7,356.42,4,26,26,1.123,0,0,0,1,0,0.085,46.5
5.8,33,29,43.5,7,10.0,22,14,21,32.751,50.232,34.029,56.232,54,50,5,7,387.48,5,18,17,1.125,1,0,0,2,0,0.093,44.0
4.523,43,37,56.5,9,10.3,30,21,31,43.471,67.316,46.177,76.471,74,68,7,7,489.68,4,27,27,1.125,0,0,0,0,0,0.054,44.1
4.0,31,27,44.0,2,16.7,19,17,15,28.972,42.574,29.54,47.358,46,42,7,8,357.41,4,26,26,1.128,0,0,0,1,0,0.087,45.2
7.051,39,34,54.5,5,11.9,27,22,25,38.891,58.665,40.892,66.225,64,59,7,7,447.59,6,31,31,1.122,0,0,0,0,0,0.094,45.8
5.186,41,35,56.5,5,13.6,27,22,24,39.386,58.883,41.137,66.308,65,59,8,8,460.59,3,31,31,1.124,0,0,0,0,0,0.046,45.8
5.224,20,19,27.0,0,3.7,13,13,8,21.161,27.862,22.779,29.518,28,27,1,6,449.92,2,13,12,1.093,0,0,3,2,0,0.071,48.1
6.73,44,38,57.0,11,11.4,29,18,32,44.208,69.745,46.637,79.178,76,70,8,9,508.69,5,26,26,1.131,0,0,0,1,0,0.066,41.4
4.0,40,34,55.5,4,12.7,26,22,21,37.552,55.225,38.824,61.604,61,55,7,8,447.54,3,31,31,1.12,0,0,0,1,0,0.049,47.3
4.0,36,31,52.5,0,13.3,23,23,14,32.665,45.8,32.989,50.069,50,45,6,8,406.43,3,32,31,1.113,0,0,0,2,0,0.06,51.1
5.0,39,34,55.5,3,12.7,26,23,21,37.552,55.225,38.824,61.604,60,55,7,8,447.54,4,32,31,1.12,0,0,0,1,0,0.067,47.3
4.0,35,31,48.0,5,13.0,23,18,23,35.079,54.109,36.586,61.019,58,54,7,8,413.53,6,26,26,1.13,0,0,0,1,0,0.103,42.6
4.0,36,32,49.0,6,12.3,24,18,25,36.606,56.992,38.347,64.434,61,57,7,8,427.56,7,26,26,1.13,0,0,0,1,0,0.115,42.1
5.0,21,19,28.5,4,13.9,14,10,17,22.268,35.811,23.597,40.983,38,36,5,5,255.36,3,15,15,1.138,0,0,0,0,0,0.079,38.9
6.833,41,37,53.5,7,7.9,27,20,26,41.588,63.862,43.08,70.84,67,63,5,10,520.03,9,24,23,1.124,0,1,1,4,0,0.134,42.9
7.367,38,35,50.5,5,8.5,25,20,24,39.062,59.978,40.318,66.425,62,59,5,10,493.99,10,24,23,1.126,0,1,1,4,0,0.161,42.4
7.959,39,36,51.5,6,8.1,26,20,26,40.588,62.862,42.08,69.84,65,62,5,10,508.02,10,24,23,1.126,0,1,1,4,0,0.154,41.9
7.959,39,36,51.5,6,8.1,26,20,26,40.588,62.862,42.08,69.84,65,62,5,10,508.02,10,24,23,1.126,0,1,1,4,0,0.154,41.9
6.178,45,39,58.0,11,11.4,29,18,31,45.035,70.069,47.495,79.122,76,70,8,10,543.13,5,26,26,1.13,0,1,1,1,0,0.066,41.4
5.0,40,35,56.5,4,12.1,27,23,23,39.079,58.109,40.586,65.019,63,58,7,8,461.57,5,32,31,1.121,0,0,0,1,0,0.079,46.6
4.0,37,32,52.5,3,11.5,25,22,20,35.531,52.123,36.818,58.106,57,52,6,7,420.51,4,31,31,1.117,0,0,0,1,0,0.07,48.1
6.446,28,25,33.0,11,6.0,19,8,25,30.003,50.007,31.756,56.69,53,50,3,6,343.47,3,8,6,1.134,0,0,0,3,0,0.057,38.0
5.301,43,39,56.0,7,10.6,27,20,27,42.856,67.44,43.654,75.363,70,66,7,12,535.61,7,24,22,1.142,0,0,2,3,2,0.1,40.9
5.8,34,32,41.5,9,8.9,20,11,24,36.025,57.541,37.642,64.128,58,56,5,12,532.46,10,13,11,1.145,0,0,3,3,2,0.172,35.7
6.0,33,30,44.0,4,14.0,20,16,20,33.095,50.876,34.137,56.757,53,50,7,10,425.92,9,22,22,1.135,0,1,1,2,0,0.17,40.0
6.735,39,35,50.0,8,11.5,24,16,26,39.39,61.854,40.875,69.212,65,61,7,11,496.02,8,22,22,1.135,0,1,1,3,0,0.123,39.3
6.362,41,37,56.0,3,11.5,27,24,24,40.704,61.832,41.739,68.983,65,61,7,10,497.58,9,29,28,1.131,0,0,1,2,1,0.138,44.3
8.222,35,32,47.0,4,13.0,22,18,22,35.177,54.949,35.978,61.568,57,54,7,10,435.51,9,23,22,1.14,0,0,1,2,1,0.158,40.7
5.282,22,21,29.0,2,14.7,13,11,13,22.667,35.091,23.085,39.061,35,34,5,8,309.76,5,13,12,1.149,0,1,2,1,1,0.143,38.2
6.886,38,35,50.5,6,8.1,26,20,27,39.761,62.538,41.222,69.896,65,62,5,9,473.58,9,24,23,1.127,0,0,0,4,0,0.138,41.9
7.721,40,36,51.0,8,9.7,25,17,26,40.278,63.149,41.568,70.469,66,62,6,11,513.02,9,22,22,1.137,0,1,2,3,1,0.136,40.3
7.022,39,35,54.0,2,12.3,26,24,22,38.462,57.621,39.523,64.359,61,57,7,9,467.55,8,29,28,1.129,0,0,1,1,1,0.131,45.6
6.69,21,20,28.0,1,16.1,12,11,11,21.14,32.207,21.324,35.645,32,31,5,8,295.73,4,13,12,1.15,0,1,2,1,1,0.125,38.7
7.523,32,29,44.0,2,14.9,20,18,18,31.853,47.665,32.921,53.133,50,47,7,9,407.9,6,23,22,1.13,0,1,1,1,0,0.12,42.6
5.0,43,39,58.5,3,11.5,28,25,22,41.756,62.53,42.159,69.453,65,61,7,11,529.57,6,30,29,1.139,0,0,3,1,3,0.092,45.9
7.357,33,30,47.0,2,16.7,21,18,18,32.52,48.56,33.307,54.272,51,48,8,9,398.47,6,24,22,1.131,1,0,0,1,0,0.118,43.8
5.385,23,21,32.0,1,20.6,13,12,13,22.445,34.691,22.779,38.943,36,34,7,8,283.33,4,17,16,1.145,0,0,0,1,0,0.111,38.2
6.521,32,29,44.0,2,14.9,20,18,18,31.409,47.854,32.0,53.528,50,47,7,9,391.45,6,23,22,1.139,0,0,1,1,1,0.12,42.6
7.367,37,34,49.5,5,8.6,25,20,24,38.347,58.651,39.864,65.216,61,58,5,9,477.99,8,24,23,1.124,0,1,1,3,0,0.131,43.1
7.102,39,36,51.5,6,8.1,26,20,26,40.588,62.862,42.08,69.84,65,62,5,10,508.02,10,24,23,1.126,0,1,1,4,0,0.154,41.9
7.377,31,28,43.0,1,15.9,19,18,16,29.882,44.971,30.239,50.113,47,44,7,9,377.42,5,23,22,1.139,0,0,1,1,1,0.106,43.2
7.745,30,28,40.0,2,11.1,19,17,17,30.435,46.185,31.063,51.1,47,45,5,9,401.86,7,19,18,1.136,0,1,2,2,1,0.149,42.2
7.638,37,34,49.5,6,8.2,26,20,27,39.046,61.211,40.767,68.687,64,61,5,8,457.58,7,24,23,1.126,0,0,0,3,0,0.109,42.6
7.495,37,33,51.5,3,13.0,24,21,21,36.267,54.552,37.279,60.813,58,54,7,9,439.52,7,28,27,1.126,0,0,0,2,0,0.121,44.4
7.229,38,34,52.5,4,12.3,25,21,23,37.794,57.436,39.04,64.229,61,57,7,9,453.55,7,28,27,1.127,0,0,0,2,0,0.115,43.9
6.724,32,29,44.0,2,14.9,20,18,18,31.409,47.854,32.0,53.528,50,47,7,9,391.45,6,23,22,1.139,0,0,1,1,1,0.12,42.6
7.292,43,38,57.5,7,10.8,28,21,27,42.562,65.531,44.017,73.268,70,65,7,10,509.62,7,28,27,1.127,0,0,0,3,0,0.1,43.1
8.097,40,36,54.5,5,9.8,27,22,25,40.209,61.614,41.495,68.9,65,61,6,9,484.58,7,28,27,1.13,0,0,1,2,1,0.108,44.3
8.222,40,36,54.5,5,9.8,27,22,25,40.209,61.614,41.495,68.9,65,61,6,9,484.58,7,28,27,1.13,0,0,1,2,1,0.108,44.3
5.8,30,27,38.5,7,8.3,20,13,21,30.64,48.527,31.722,54.489,51,48,4,7,368.45,4,17,17,1.135,0,0,1,2,1,0.078,41.7
7.244,39,35,53.5,4,10.3,26,22,23,38.682,58.731,39.733,65.485,62,58,6,9,470.55,7,28,27,1.129,0,0,1,2,1,0.113,44.8
6.638,38,34,52.0,5,12.3,24,19,23,37.981,57.512,39.688,64.149,61,57,7,10,473.61,7,27,26,1.125,0,0,0,2,0,0.115,42.1
6.886,38,34,52.0,5,12.3,24,19,23,37.981,57.512,39.688,64.149,61,57,7,10,473.61,7,27,26,1.125,0,0,0,2,0,0.115,42.1
6.854,36,32,50.0,3,13.7,22,19,19,34.927,51.745,36.165,57.318,55,51,7,10,445.55,7,27,26,1.124,0,0,0,2,0,0.127,43.1
7.585,38,34,52.0,5,12.3,24,19,23,37.981,57.512,39.688,64.149,61,57,7,10,473.61,7,27,26,1.125,0,0,0,2,0,0.115,42.1
7.62,38,34,52.0,5,12.3,24,19,23,37.981,57.512,39.688,64.149,61,57,7,10,473.61,7,27,26,1.125,0,0,0,2,0,0.115,42.1
6.62,37,33,51.0,4,13.0,23,19,21,36.454,54.629,37.926,60.733,58,54,7,10,459.58,7,27,26,1.125,0,0,0,2,0,0.121,42.6
7.367,42,37,56.0,7,11.3,26,19,25,41.222,62.723,42.904,69.773,67,62,7,11,515.65,7,27,26,1.125,0,0,0,3,0,0.104,41.9
6.893,38,34,49.0,7,13.6,23,16,25,38.169,59.745,39.665,67.086,63,59,8,11,481.01,9,22,22,1.137,0,1,1,2,0,0.143,39.0
6.921,40,37,52.5,8,7.4,28,20,31,42.815,68.305,44.745,76.727,71,68,5,9,501.64,10,24,23,1.128,0,0,0,4,0,0.141,41.2
7.161,39,36,51.5,7,7.7,27,20,29,41.288,65.421,42.983,73.312,68,65,5,9,487.61,9,24,23,1.128,0,0,0,4,0,0.132,41.5
6.593,32,29,42.0,4,12.0,21,17,21,32.441,50.52,33.517,56.861,53,50,6,8,392.48,6,19,18,1.137,0,0,1,1,1,0.113,42.0
6.815,29,27,39.0,2,11.1,19,17,18,30.052,45.673,31.125,50.761,47,45,5,8,383.87,7,19,18,1.128,0,1,1,2,0,0.149,42.2
7.569,32,29,44.0,2,12.5,21,19,19,31.914,48.636,32.756,54.445,51,48,6,8,390.46,6,23,22,1.134,0,0,1,1,1,0.118,43.8
6.357,39,35,50.0,8,11.5,24,16,26,39.39,61.854,40.875,69.212,65,61,7,11,496.02,10,22,22,1.135,0,1,1,3,0,0.154,39.3
8.222,40,36,51.0,9,10.9,25,16,28,40.916,64.738,42.637,72.628,68,64,7,11,510.05,10,22,22,1.135,0,1,1,3,0,0.147,39.1
8.398,32,29,43.0,3,13.0,19,16,17,31.261,47.218,31.824,52.053,49,46,6,10,412.87,8,22,22,1.132,0,1,1,3,0,0.163,41.3
6.382,39,35,50.0,9,10.9,25,16,29,40.089,64.414,41.779,72.684,68,64,7,10,475.61,8,22,22,1.136,0,0,0,3,0,0.118,39.1
8.301,39,35,50.0,8,11.5,24,16,26,38.945,62.043,39.955,69.608,65,61,7,11,479.57,8,22,22,1.141,0,0,1,3,1,0.123,39.3
6.889,41,37,53.0,8,12.5,25,17,27,41.411,64.956,42.881,72.711,68,64,8,12,523.05,9,23,22,1.136,0,1,1,3,0,0.132,39.1
