pXC50,nC,nBM,nAB,RBN,nO,Sv,Sp,nBO,Se,nH,Si,nAT,nBT,RBF,MW
6.943,18,8,6,6,2,28.289,30.302,25,47.68,25,54.481,48,50,0.12,315.46
6.592,17,8,6,6,2,26.762,28.54,24,44.796,23,51.066,45,47,0.128,301.43
7.796,19,8,6,6,2,29.815,32.063,26,50.563,27,57.896,51,53,0.113,329.49
7.201,21,8,6,7,2,32.869,35.586,28,56.33,31,64.727,57,59,0.119,357.55
8.0,20,8,6,7,2,32.492,33.637,30,54.985,26,62.33,54,56,0.125,397.49
7.208,20,8,6,7,2,32.492,33.637,30,54.985,26,62.33,54,56,0.125,397.49
7.796,24,14,12,7,2,35.342,37.824,32,57.447,29,65.311,58,61,0.115,391.56
7.602,25,14,12,8,2,36.869,39.586,33,60.33,31,68.727,61,64,0.125,405.59
7.377,23,14,12,7,2,34.837,37.069,32,56.665,28,64.394,57,60,0.117,392.55
8.398,19,8,6,6,2,29.815,32.063,26,50.563,27,57.896,51,53,0.113,329.49
7.699,19,8,6,6,2,29.815,32.063,26,50.563,27,57.896,51,53,0.113,329.49
7.071,18,8,6,6,2,28.289,30.302,25,47.68,25,54.481,48,50,0.12,315.46
7.553,19,8,6,6,2,29.815,32.063,26,50.563,27,57.896,51,53,0.113,329.49
7.886,20,8,6,6,2,31.342,33.824,27,53.447,29,61.311,54,56,0.107,343.52
7.229,20,8,6,6,2,31.342,33.824,27,53.447,29,61.311,54,56,0.107,343.52
7.377,23,14,12,7,2,34.837,37.069,32,56.665,28,64.394,57,60,0.117,392.55
7.678,23,14,12,7,2,34.837,37.069,32,56.665,28,64.394,57,60,0.117,392.55
6.434,19,6,6,4,3,29.014,31.267,26,49.571,27,56.524,50,53,0.075,317.47
7.004,20,6,6,4,3,30.541,33.029,27,52.454,29,59.939,53,56,0.071,331.5
7.066,21,6,6,5,3,32.068,34.79,28,55.338,31,63.355,56,59,0.085,345.53
6.951,21,6,6,5,3,32.068,34.79,28,55.338,31,63.355,56,59,0.085,345.53
7.131,21,6,6,4,3,32.068,34.79,28,55.338,31,63.355,56,59,0.068,345.53
7.041,20,6,6,5,3,30.541,33.029,27,52.454,29,59.939,53,56,0.089,331.5
7.066,20,6,6,5,2,31.013,34.222,27,52.203,29,59.65,53,56,0.089,347.57
7.194,21,6,6,6,2,32.54,35.983,28,55.087,31,63.065,56,59,0.102,361.6
6.804,20,8,6,5,4,32.443,35.131,29,54.858,29,62.069,55,58,0.086,379.57
7.387,21,8,6,6,4,33.97,36.892,30,57.741,31,65.484,58,61,0.098,393.6
6.924,21,6,6,3,3,31.541,34.029,29,53.454,29,60.939,54,58,0.052,343.51
7.409,21,6,6,3,3,31.541,34.029,29,53.454,29,60.939,54,58,0.052,343.51
7.377,21,6,6,3,2,32.013,35.222,29,53.203,29,60.65,54,58,0.052,359.58
7.31,22,6,6,4,3,33.068,35.79,30,56.338,31,64.355,57,61,0.066,357.54
7.301,22,6,6,4,3,33.068,35.79,30,56.338,31,64.355,57,61,0.066,357.54
7.208,22,6,6,3,2,33.54,36.983,30,56.087,31,64.065,57,61,0.049,373.61
7.319,23,6,6,4,2,35.067,38.745,31,58.97,33,67.48,60,64,0.063,387.64
7.357,21,8,6,3,4,33.443,36.131,31,55.858,29,63.069,56,60,0.05,391.58
7.62,22,8,6,3,4,34.97,37.892,32,58.741,31,66.484,59,63,0.048,405.61
8.046,23,8,6,4,4,36.496,39.654,33,61.625,33,69.899,62,66,0.061,419.64
5.592,16,16,16,2,1,24.983,26.051,25,39.138,17,44.192,39,42,0.048,295.38
8.402,21,17,16,6,1,31.563,33.336,30,49.789,23,56.438,50,53,0.113,361.49
7.3,13,11,11,6,1,20.467,21.801,18,33.818,17,38.611,34,35,0.171,231.33
8.553,6,6,5,4,0,12.853,13.955,11,21.134,10,24.159,21,21,0.19,170.27
8.928,23,17,16,6,1,32.574,34.847,30,51.352,25,58.272,52,55,0.109,359.51
9.398,23,18,16,6,1,33.563,35.336,32,51.789,23,58.438,52,55,0.109,385.51
8.432,23,15,12,7,2,34.31,36.307,32,54.781,26,61.979,55,58,0.121,390.53
8.699,19,9,6,4,2,28.762,30.54,27,46.796,23,53.066,47,50,0.08,325.45
8.222,20,9,6,4,2,30.289,32.302,28,49.68,25,56.481,50,53,0.075,339.48
7.886,20,8,6,4,2,30.815,33.063,28,51.563,27,58.896,52,55,0.073,341.5
8.097,21,9,6,4,2,31.815,34.063,29,52.563,27,59.896,53,56,0.071,353.51
8.046,25,15,12,5,2,36.837,39.069,35,58.665,28,66.394,59,63,0.079,416.57
8.0,26,15,12,5,2,38.364,40.83,36,61.549,30,69.81,62,66,0.076,430.6
7.77,26,15,12,5,2,38.364,40.83,36,61.549,30,69.81,62,66,0.076,430.6
8.097,24,14,11,5,2,36.002,38.711,34,56.64,27,63.816,57,61,0.082,421.61
7.699,18,9,6,4,2,28.256,29.784,27,46.014,22,52.149,46,49,0.082,326.44
9.06,22,18,16,7,3,33.003,34.756,31,53.007,25,59.69,53,56,0.125,379.5
7.0,16,6,5,5,0,24.859,27.393,21,43.025,25,50.062,44,46,0.109,259.44
8.833,22,17,16,5,1,31.047,33.086,29,48.469,23,54.856,49,52,0.096,345.48
8.658,19,9,6,4,2,28.762,30.54,27,46.796,23,53.066,47,50,0.08,325.45
8.155,20,9,6,4,2,30.289,32.302,28,49.68,25,56.481,50,53,0.075,339.48
6.0,16,9,6,3,2,24.708,26.017,23,40.029,19,45.235,40,42,0.071,285.38
7.337,19,9,6,4,2,29.289,31.302,26,48.68,25,55.481,49,51,0.078,327.47
7.824,24,15,12,5,2,35.31,37.307,34,55.781,26,62.979,56,60,0.083,402.54
8.201,20,9,6,4,2,30.289,32.302,28,49.68,25,56.481,50,53,0.075,339.48
6.996,17,9,6,4,2,27.256,28.784,25,45.014,22,51.149,45,47,0.085,314.43
7.721,18,9,6,4,2,28.256,29.784,27,46.014,22,52.149,46,49,0.082,326.44
7.292,19,9,6,4,2,29.783,31.546,28,48.898,24,55.564,49,52,0.077,340.47
8.066,19,9,6,4,2,29.783,31.546,28,48.898,24,55.564,49,52,0.077,340.47
7.921,20,9,6,4,2,31.31,33.307,29,51.781,26,58.979,52,55,0.073,354.5
8.027,21,9,6,5,2,32.837,35.069,30,54.665,28,62.394,55,58,0.086,368.53
7.086,23,15,12,5,2,34.805,36.552,34,55.0,25,62.062,55,59,0.085,403.53
8.174,19,8,6,4,2,29.289,31.302,27,48.68,25,55.481,49,52,0.077,327.47
8.357,21,8,6,4,2,32.342,34.824,29,54.447,29,62.311,55,58,0.069,355.53
7.553,20,8,6,4,2,31.837,34.069,29,53.665,28,61.394,54,57,0.07,356.52
8.143,21,8,6,4,2,32.726,34.762,30,54.96,28,62.651,55,58,0.069,373.52
8.018,20,8,6,4,2,30.815,33.063,28,51.563,27,58.896,52,55,0.073,341.5
7.886,20,8,6,4,2,30.815,33.063,28,51.563,27,58.896,52,55,0.073,341.5
6.759,20,7,6,8,2,30.848,33.58,26,53.229,30,61.228,54,56,0.143,330.52
6.226,19,7,6,8,3,30.036,32.273,26,51.672,28,59.022,52,54,0.148,332.49
6.357,20,7,6,8,3,31.562,34.035,27,54.556,30,62.438,55,57,0.14,346.52
7.301,20,7,6,8,3,31.562,34.035,27,54.556,30,62.438,55,57,0.14,346.52
6.053,20,7,6,8,3,31.562,34.035,27,54.556,30,62.438,55,57,0.14,346.52
6.0,21,7,6,8,3,33.089,35.796,28,57.44,32,65.853,58,60,0.133,360.55
5.523,21,7,6,10,4,33.804,36.25,29,58.767,32,67.062,59,61,0.164,376.55
5.523,21,7,6,10,4,33.804,36.25,29,58.767,32,67.062,59,61,0.164,376.55
6.979,21,7,6,8,3,33.089,35.796,28,57.44,32,65.853,58,60,0.133,360.55
7.481,22,7,6,8,3,34.616,37.557,29,60.323,34,69.268,61,63,0.127,374.58
7.108,22,7,6,8,3,34.616,37.557,29,60.323,34,69.268,61,63,0.127,374.58
6.613,21,7,6,8,3,33.089,35.796,28,57.44,32,65.853,58,60,0.133,360.55
7.252,20,7,6,8,3,31.562,34.035,27,54.556,30,62.438,55,57,0.14,346.52
5.9,6,5,5,3,1,11.886,12.517,10,21.167,11,24.365,21,21,0.143,141.2
9.456,20,18,16,6,3,30.971,32.239,30,49.342,22,55.358,49,52,0.115,366.46
9.42,19,16,16,5,1,28.542,30.33,27,45.687,22,51.939,46,49,0.102,322.45
8.541,21,20,16,8,5,34.422,35.154,34,55.098,23,61.275,54,57,0.14,425.49
8.924,21,18,16,7,3,32.498,34.0,31,52.225,24,58.773,52,55,0.127,380.49
8.87,22,17,16,5,1,31.047,33.086,29,48.469,23,54.856,49,52,0.096,345.48
8.6,20,16,16,6,1,30.068,32.091,28,48.571,24,55.355,49,52,0.115,336.48
9.959,20,18,16,6,3,30.971,32.239,30,49.342,22,55.358,49,52,0.115,366.46
8.559,21,16,16,5,1,31.724,32.66,31,50.89,22,57.291,50,53,0.094,389.46
8.674,22,18,16,7,3,33.003,34.756,31,53.007,25,59.69,53,56,0.125,379.5
8.848,22,17,16,6,1,32.068,34.091,30,50.571,24,57.355,51,54,0.111,360.5
8.697,19,16,16,5,1,28.542,30.33,27,45.687,22,51.939,46,49,0.102,322.45
8.567,21,18,16,7,3,32.498,34.0,31,52.225,24,58.773,52,55,0.127,380.49
9.569,19,16,16,5,1,28.542,30.33,27,45.687,22,51.939,46,49,0.102,322.45
7.798,13,12,11,6,2,21.971,24.154,20,33.331,14,37.126,33,34,0.176,371.2
7.62,24,8,6,5,4,39.045,42.421,35,66.61,36,75.813,67,71,0.07,448.69
7.77,23,8,6,4,4,37.518,40.659,34,63.727,34,72.397,64,68,0.059,434.66
5.523,17,6,6,1,2,25.246,27.29,23,42.476,23,48.484,43,46,0.022,273.41
7.398,27,7,6,5,4,41.911,45.296,37,72.301,40,82.723,73,77,0.065,456.69
8.222,22,6,6,3,2,33.374,36.341,30,57.112,32,65.643,58,62,0.048,356.56
7.569,25,8,6,5,4,40.571,44.182,36,69.494,38,79.228,70,74,0.068,462.72
7.745,25,8,6,5,4,40.045,43.421,37,67.61,36,76.813,68,73,0.068,460.7
8.0,24,7,6,3,3,36.616,39.557,33,62.323,34,71.268,63,67,0.045,398.6
8.222,26,7,6,4,3,39.67,43.08,35,68.09,38,78.098,69,73,0.055,426.66
7.796,26,7,6,4,3,39.143,42.319,36,66.207,36,75.683,67,72,0.056,424.64
6.635,16,12,11,9,3,26.245,28.887,23,41.207,19,46.082,41,42,0.214,414.27
7.244,20,6,6,7,1,32.71,36.592,27,54.243,30,62.117,55,57,0.123,474.32
7.409,13,12,11,6,2,20.95,23.148,19,31.229,13,34.627,31,32,0.188,356.18
7.512,14,12,11,6,2,22.477,24.909,20,34.113,15,38.042,34,35,0.171,370.21
7.7,13,12,11,6,2,20.95,23.148,19,31.229,13,34.627,31,32,0.188,356.18
8.081,21,9,6,5,2,31.815,34.063,29,52.563,27,59.896,53,56,0.089,353.51
7.77,23,9,6,6,2,34.869,37.586,31,58.33,31,66.727,59,62,0.097,381.57
7.638,26,15,12,6,2,37.342,39.824,35,59.447,29,67.311,60,64,0.094,415.58
6.854,27,15,12,7,2,38.869,41.586,36,62.33,31,70.727,63,67,0.104,429.61
7.854,20,9,6,5,2,30.289,32.302,28,49.68,25,56.481,50,53,0.094,339.48
7.276,20,8,6,5,2,30.815,33.063,28,51.563,27,58.896,52,55,0.091,341.5
7.721,20,9,6,5,2,30.289,32.302,28,49.68,25,56.481,50,53,0.094,339.48
7.585,21,8,6,3,2,31.815,34.063,30,52.563,27,59.896,53,57,0.053,353.51
9.0,22,17,16,5,2,30.629,32.228,29,47.989,22,53.824,48,51,0.098,351.45
6.759,22,17,16,4,1,32.068,34.091,31,50.571,24,57.355,51,55,0.073,360.5
6.839,21,13,12,4,1,29.552,31.841,27,47.251,24,53.773,48,51,0.078,320.47
6.759,21,13,12,4,1,29.936,31.779,28,47.763,23,54.113,48,51,0.078,338.46
6.785,21,13,12,4,1,29.936,31.779,28,47.763,23,54.113,48,51,0.078,338.46
7.066,21,13,12,4,1,29.936,31.779,28,47.763,23,54.113,48,51,0.078,338.46
7.137,22,14,12,4,1,31.047,33.086,29,48.469,23,54.856,49,52,0.077,345.48
7.602,22,14,12,4,1,31.047,33.086,29,48.469,23,54.856,49,52,0.077,345.48
6.74,22,13,12,4,1,32.229,33.415,31,51.672,23,58.208,51,54,0.074,388.47
6.996,22,13,12,4,1,32.229,33.415,31,51.672,23,58.208,51,54,0.074,388.47
6.559,22,13,12,5,2,32.944,33.87,32,53.0,23,59.417,52,55,0.091,404.47
6.75,22,13,12,5,2,32.944,33.87,32,53.0,23,59.417,52,55,0.091,404.47
6.815,21,13,12,4,1,30.319,31.716,29,48.276,22,54.453,48,51,0.078,356.45
7.086,21,13,12,4,1,30.319,31.716,29,48.276,22,54.453,48,51,0.078,356.45
6.836,21,13,12,4,1,30.319,31.716,29,48.276,22,54.453,48,51,0.078,356.45
6.569,23,14,12,5,1,32.574,34.847,30,51.352,25,58.272,52,55,0.091,359.51
6.815,24,14,12,5,1,34.101,36.608,31,54.236,27,61.687,55,58,0.086,373.54
7.328,23,13,12,4,1,32.989,35.302,30,53.53,27,60.943,54,57,0.07,366.52
6.959,22,13,12,4,1,31.463,33.54,29,50.647,25,57.528,51,54,0.074,352.49
7.638,22,13,12,4,1,31.463,33.54,29,50.647,25,57.528,51,54,0.074,352.49
7.31,23,14,12,4,1,32.574,34.847,30,51.352,25,58.272,52,55,0.073,359.51
8.237,23,14,12,4,1,32.574,34.847,30,51.352,25,58.272,52,55,0.073,359.51
7.601,13,12,11,6,2,20.95,23.148,19,31.229,13,34.627,31,32,0.188,356.18
7.4,16,12,11,9,2,25.53,28.432,22,39.88,19,44.873,40,41,0.22,398.27
6.818,13,12,11,6,2,23.288,26.813,21,33.4,13,36.846,33,34,0.176,497.09
7.585,21,9,6,9,4,36.012,38.904,31,61.945,33,70.481,62,64,0.141,423.64
7.854,27,14,12,9,3,40.637,43.563,36,67.425,35,76.766,68,71,0.127,449.65
7.638,22,8,6,8,2,33.869,36.586,29,57.33,31,65.727,58,60,0.133,369.56
8.041,22,7,6,8,2,35.051,36.915,31,60.534,31,69.078,60,62,0.129,412.55
7.367,21,7,6,8,2,33.141,35.216,29,57.138,30,65.323,57,59,0.136,380.53
7.319,21,7,6,8,2,33.141,35.216,29,57.138,30,65.323,57,59,0.136,380.53
7.678,20,7,6,8,2,31.614,33.455,28,54.254,28,61.908,54,56,0.143,366.5
7.523,22,8,6,8,3,35.111,37.802,30,60.541,33,69.351,61,63,0.127,387.58
7.77,22,8,6,8,3,36.26,37.614,33,62.079,30,70.37,61,63,0.127,441.55
8.237,27,14,12,9,3,41.021,43.5,37,67.938,34,77.106,68,71,0.127,467.64
8.046,25,13,11,9,3,39.298,42.449,35,64.618,33,73.271,65,68,0.132,455.68
7.796,25,13,11,9,4,38.825,41.256,35,64.869,33,73.561,65,68,0.132,439.61
8.027,26,13,11,9,3,40.659,43.569,36,68.527,36,78.265,69,72,0.125,452.66
8.398,29,18,16,9,3,43.824,47.211,40,70.501,35,79.686,71,75,0.12,505.74
7.721,22,8,6,9,4,35.825,38.256,31,61.869,33,70.561,62,64,0.141,403.58
7.638,23,8,6,10,4,37.352,40.017,32,64.752,35,73.976,65,67,0.149,417.61
7.921,25,8,6,11,4,40.406,43.54,34,70.519,39,80.806,71,73,0.151,445.67
8.161,27,14,12,10,4,41.352,44.017,37,68.752,35,77.976,69,72,0.139,465.65
8.432,27,14,12,10,4,41.735,43.955,38,69.265,34,78.315,69,72,0.139,483.64
6.593,14,6,6,7,1,22.552,24.841,17,40.251,24,46.773,41,41,0.171,236.4
8.398,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.367,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.469,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
6.883,19,9,6,6,2,29.289,31.302,26,48.68,25,55.481,49,51,0.118,327.47
7.854,20,9,6,8,3,31.53,33.517,28,52.891,27,60.106,53,55,0.145,357.5
7.886,21,9,6,9,4,33.772,35.733,30,57.101,29,64.73,57,59,0.153,387.53
7.721,21,9,6,9,4,33.772,35.733,30,57.101,29,64.73,57,59,0.153,387.53
7.208,19,9,6,7,3,30.003,31.756,27,50.007,25,56.69,50,52,0.135,343.47
6.462,14,6,6,7,1,22.552,24.841,17,40.251,24,46.773,41,41,0.171,236.4
6.496,14,6,6,7,1,24.603,27.546,19,40.709,22,46.456,41,41,0.171,394.18
7.051,15,6,6,8,1,24.079,26.603,18,43.134,26,50.188,44,44,0.182,250.43
8.301,18,6,6,8,1,28.133,31.126,22,49.901,30,58.019,51,52,0.154,290.5
7.478,15,11,11,8,1,23.816,26.978,20,37.552,19,42.663,38,39,0.205,370.26
7.154,19,8,6,6,3,31.75,34.682,27,54.632,30,62.358,55,57,0.105,366.58
8.959,20,6,6,6,1,30.66,33.887,25,53.785,32,62.434,55,57,0.105,316.54
9.252,20,6,6,6,1,30.66,33.887,25,53.785,32,62.434,55,57,0.105,316.54
9.097,25,12,12,7,1,36.186,39.648,31,60.669,34,69.849,62,65,0.108,378.61
9.051,20,6,6,6,1,30.66,33.887,25,53.785,32,62.434,55,57,0.105,316.54
7.402,21,7,6,6,2,33.396,36.347,28,58.214,33,67.142,59,61,0.098,359.57
7.128,18,8,6,6,3,30.223,32.921,26,51.749,28,58.942,52,54,0.111,352.55
7.488,22,7,6,6,2,34.923,38.108,29,61.098,35,70.557,62,64,0.094,373.6
7.419,19,8,6,6,3,31.75,34.682,27,54.632,30,62.358,55,57,0.105,366.58
8.0,13,6,5,7,2,22.762,24.54,18,40.796,23,47.066,41,41,0.171,253.39
8.106,18,12,12,5,0,25.838,28.387,21,42.923,24,49.564,44,45,0.111,268.44
8.796,21,6,6,6,1,32.186,35.648,26,56.669,34,65.849,58,60,0.1,330.57
8.889,21,6,6,6,1,32.186,35.648,26,56.669,34,65.849,58,60,0.1,330.57
7.312,20,7,6,5,2,30.848,33.58,26,53.229,30,61.228,54,56,0.089,330.52
9.337,24,6,6,7,1,36.24,40.171,30,63.436,38,73.68,65,68,0.103,370.64
8.398,24,16,12,10,4,37.432,39.62,35,59.294,27,66.235,59,62,0.161,453.61
7.77,22,9,6,10,5,35.487,37.188,33,59.429,29,66.94,59,62,0.161,415.54
7.81,21,13,12,6,2,30.267,32.296,27,48.578,24,54.983,49,51,0.118,336.47
7.699,14,12,11,6,2,21.16,22.25,19,34.043,16,38.322,34,35,0.171,244.32
7.435,19,7,6,5,2,29.321,31.819,25,50.345,28,57.813,51,53,0.094,316.49
7.458,25,17,16,5,4,36.75,38.728,35,59.0,28,66.232,59,63,0.079,420.55
7.56,26,13,12,8,3,39.637,42.563,35,66.425,35,75.766,67,70,0.114,437.64
7.73,26,13,12,8,2,38.923,42.108,34,65.098,35,74.557,66,69,0.116,421.64
7.53,28,13,12,8,2,41.976,45.631,36,70.865,39,81.387,72,75,0.107,449.7
6.94,24,13,12,5,1,34.133,37.126,30,55.901,30,64.019,57,60,0.083,362.56
7.23,24,14,12,10,4,37.464,40.137,33,60.96,30,68.567,61,63,0.159,442.63
7.33,25,13,12,5,1,36.681,39.893,32,60.887,33,69.932,62,65,0.077,391.61
8.04,25,12,12,6,0,35.472,39.194,30,59.341,34,68.64,61,64,0.094,362.61
7.679,12,11,11,5,1,19.235,21.693,17,28.902,13,32.418,29,30,0.167,328.17
9.013,25,6,6,7,1,37.767,41.932,31,66.319,40,77.095,68,71,0.099,384.67
6.67,28,12,12,7,0,40.052,44.478,33,67.992,40,78.885,70,73,0.096,404.7
6.17,28,12,12,5,0,40.052,44.478,33,67.992,40,78.885,70,73,0.068,404.7
7.09,22,12,12,5,2,32.321,34.819,29,53.345,28,60.813,54,57,0.088,352.52
7.82,26,12,12,5,0,36.998,40.955,31,62.225,36,72.055,64,67,0.075,376.64
5.41,26,14,12,5,2,39.417,42.353,35,65.316,34,74.64,66,69,0.072,434.64
7.522,11,6,5,7,2,19.708,21.017,16,35.029,19,40.235,35,35,0.2,225.33
6.859,10,5,5,6,1,16.972,18.557,13,30.6,18,35.528,31,31,0.194,182.3
8.029,12,5,5,8,1,20.026,22.08,15,36.367,22,42.358,37,37,0.216,210.36
8.0,12,5,5,7,1,20.026,22.08,15,36.367,22,42.358,37,37,0.189,210.36
7.852,11,5,5,7,1,18.499,20.319,14,33.483,20,38.943,34,34,0.206,196.33
8.5,18,15,15,4,1,26.52,28.324,25,42.585,21,48.441,43,46,0.087,295.42
7.431,18,7,6,5,1,27.846,29.478,25,47.16,24,53.868,47,49,0.102,322.44
9.47,20,6,6,7,1,31.043,33.824,26,54.298,31,62.774,55,57,0.123,334.53
8.282,20,6,6,5,1,30.133,33.126,26,51.901,30,60.019,53,56,0.089,314.52
7.094,20,12,12,6,1,29.574,31.847,27,48.352,25,55.272,49,52,0.115,323.48
6.803,19,7,6,5,1,29.434,32.222,25,49.341,27,56.548,50,52,0.096,334.93
7.454,19,7,6,5,1,28.989,31.302,25,49.53,27,56.943,50,52,0.096,318.48
7.726,20,7,6,6,1,30.899,33.001,27,52.927,28,60.698,53,55,0.109,350.5
8.24,20,7,6,4,1,29.606,32.364,25,50.018,28,57.604,51,53,0.075,312.5
8.615,25,17,17,5,0,36.955,39.927,34,59.996,31,68.889,61,65,0.077,401.61
9.131,26,22,22,7,1,39.165,41.625,37,62.541,30,71.182,63,67,0.104,442.62
6.89,23,13,12,8,3,34.562,37.035,30,57.556,30,65.438,58,60,0.133,382.55
7.49,24,13,12,7,4,36.277,38.489,33,59.883,30,67.647,60,63,0.111,410.56
7.01,24,13,12,9,3,36.089,38.796,31,60.44,32,68.853,61,63,0.143,396.58
5.693,8,6,6,3,0,12.677,13.818,10,21.622,12,25.073,22,22,0.136,136.22
7.79,23,13,12,10,2,34.374,37.341,28,58.112,32,66.643,59,60,0.167,368.57
6.851,25,18,17,4,0,33.364,36.148,30,51.807,26,58.979,53,56,0.071,354.53
7.342,21,18,17,4,0,27.784,29.864,25,42.156,20,47.733,43,45,0.089,300.43
7.902,23,18,17,6,0,30.838,33.387,27,47.923,24,54.564,49,51,0.118,328.49
7.18,23,18,17,4,0,30.311,32.625,28,46.04,22,52.149,47,50,0.08,326.47
7.471,25,18,17,5,0,33.364,36.148,30,51.807,26,58.979,53,56,0.089,354.53
6.34,20,18,17,4,1,26.972,28.557,25,40.6,18,45.528,41,43,0.093,302.4
8.46,24,18,17,4,0,31.838,34.387,29,48.923,24,55.564,50,53,0.075,340.5
8.191,23,18,17,4,0,30.311,32.625,28,46.04,22,52.149,47,50,0.08,326.47
8.708,21,13,12,6,1,29.552,31.841,26,47.251,24,53.773,48,50,0.12,320.47
8.608,24,18,17,4,0,31.838,34.387,29,48.923,24,55.564,50,53,0.075,340.5
6.632,26,18,17,5,0,34.891,37.91,31,54.69,28,62.394,56,59,0.085,368.56
6.332,27,18,17,6,0,36.418,39.671,32,57.574,30,65.809,59,62,0.097,382.59
8.01,24,18,17,4,0,32.221,34.324,30,49.436,23,55.904,50,53,0.075,358.49
7.28,24,13,12,7,4,36.277,38.489,33,59.883,30,67.647,60,63,0.111,410.56
8.53,28,13,12,7,2,40.955,44.626,35,68.763,38,78.889,70,73,0.096,434.68
7.51,26,13,12,7,3,38.616,41.557,34,64.323,34,73.268,65,68,0.103,422.62
7.37,24,13,12,8,2,35.374,38.341,30,59.112,32,67.643,60,62,0.129,380.58
6.94,26,13,12,7,3,38.616,41.557,34,64.323,34,73.268,65,68,0.103,422.62
8.44,28,13,12,7,2,40.955,44.626,35,68.763,38,78.889,70,73,0.096,434.68
6.66,25,13,12,8,2,36.901,40.103,31,61.996,34,71.059,63,65,0.123,394.61
8.42,25,13,12,8,2,36.901,40.103,31,61.996,34,71.059,63,65,0.123,394.61
8.201,21,3,0,7,0,34.504,37.694,29,59.981,34,69.803,61,63,0.111,370.61
7.26,20,3,0,6,0,32.977,35.932,28,57.098,32,66.387,58,60,0.1,356.58
7.125,26,14,11,10,0,39.504,42.694,34,64.981,34,74.803,66,68,0.147,430.66
7.59,25,13,12,7,3,37.089,39.796,33,61.44,32,69.853,62,65,0.108,408.59
7.092,10,5,5,3,0,16.918,18.989,14,28.465,16,32.823,29,30,0.1,196.35
8.77,26,13,12,6,1,36.66,39.887,33,59.785,32,68.434,61,65,0.092,388.6
8.55,25,13,12,8,2,36.901,40.103,31,61.996,34,71.059,63,65,0.123,394.61
9.517,26,13,12,6,0,35.945,39.432,32,58.458,32,67.225,60,64,0.094,372.6
9.534,22,7,6,5,0,31.945,35.432,27,54.458,32,63.225,56,59,0.085,324.56
7.447,23,13,12,5,0,33.407,36.16,31,54.01,28,61.976,55,59,0.085,360.55
9.291,27,13,12,7,1,38.186,41.648,34,62.669,34,71.849,64,68,0.103,402.63
10.266,27,13,12,6,0,37.472,41.194,33,61.341,34,70.64,63,67,0.09,386.63
9.414,27,13,12,6,0,37.472,41.194,33,61.341,34,70.64,63,67,0.09,386.63
8.62,25,13,12,6,0,34.418,37.671,31,55.574,30,63.809,57,61,0.098,358.57
8.08,26,13,12,9,2,38.428,41.864,32,64.879,36,74.474,66,68,0.132,408.64
7.38,20,13,12,6,1,28.026,30.08,25,44.367,22,50.358,45,47,0.128,306.44
8.066,22,3,0,8,0,36.03,39.455,30,62.865,36,73.218,64,66,0.121,384.64
6.585,13,8,6,4,2,20.687,22.012,18,34.927,18,39.737,35,36,0.111,234.33
7.553,22,3,0,8,0,36.03,39.455,30,62.865,36,73.218,64,66,0.121,384.64
9.161,20,3,0,6,0,32.977,35.932,28,57.098,32,66.387,58,60,0.1,356.58
8.959,20,3,0,6,0,32.977,35.932,28,57.098,32,66.387,58,60,0.1,356.58
9.114,20,3,0,6,0,32.977,35.932,28,57.098,32,66.387,58,60,0.1,356.58
8.721,20,3,0,6,0,32.977,35.932,28,57.098,32,66.387,58,60,0.1,356.58
6.481,14,6,6,3,0,20.289,22.62,16,34.938,21,40.65,36,37,0.081,203.36
6.469,13,6,6,3,0,18.763,20.858,15,32.054,19,37.235,33,34,0.088,189.33
6.585,13,6,6,4,1,19.477,21.313,16,33.382,19,38.445,34,35,0.114,205.33
6.62,14,6,6,3,0,20.289,22.62,16,34.938,21,40.65,36,37,0.081,203.36
7.523,14,6,6,3,0,20.289,22.62,16,34.938,21,40.65,36,37,0.081,203.36
6.469,13,6,6,3,0,18.763,20.858,15,32.054,19,37.235,33,34,0.088,189.33
8.163,23,13,12,5,0,33.407,36.16,31,54.01,28,61.976,55,59,0.085,360.55
8.42,15,6,5,2,0,25.541,28.285,22,43.32,24,50.065,44,46,0.043,292.5
7.619,14,12,11,7,2,22.565,23.193,21,36.658,16,41.16,36,37,0.189,277.33
6.783,19,18,17,7,2,27.708,29.017,26,43.029,19,48.235,43,45,0.156,321.41
8.45,25,22,22,4,0,34.88,37.398,33,54.127,26,61.56,55,59,0.068,382.55
7.26,20,9,6,9,4,31.75,33.728,27,54.0,28,61.232,54,55,0.164,360.5
7.167,12,11,11,4,1,19.068,18.847,19,30.371,11,33.716,29,30,0.133,256.25
7.071,16,12,11,8,2,24.214,25.773,21,39.811,20,45.152,40,41,0.195,272.38
8.712,6,5,5,2,0,11.171,12.063,9,19.84,11,23.156,20,20,0.1,125.2
8.18,24,13,12,7,2,34.848,37.58,31,57.229,30,65.228,58,61,0.115,378.56
8.229,20,12,12,6,1,28.058,30.597,24,46.032,25,52.69,47,49,0.122,295.46
10.326,26,13,12,6,0,35.945,39.432,32,58.458,32,67.225,60,64,0.094,372.6
6.695,26,14,12,6,1,36.133,39.125,33,57.901,30,66.019,59,63,0.095,386.58
