pXC50,MW,Si,nAT,nSK,nBT,Sv,nC,nBO,nH,Sp,Se,SCBO,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nB,nBM,nBR,nCL,nCsp,nCsp2,nCsp3,nDB,nF
6.8,400.31,44.732,38,28,40,27.261,17,30,10,25.671,41.112,39.5,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,0,18,0,0,0,15,2,1,6
7.75,439.58,65.806,58,33,62,37.407,24,37,25,39.142,57.985,50.0,7.579,41.4,43.1,1.0,1.135,0.675,0.645,15.5,22,0,23,0,0,1,17,6,0,0
8.2,449.55,51.036,46,31,50,33.26,21,35,15,34.494,47.062,51.0,9.773,45.7,32.6,1.023,1.109,0.75,0.723,10.9,26,0,29,0,0,0,21,0,3,0
9.0,342.87,48.84,43,24,46,27.644,17,27,19,29.222,43.12,35.0,7.974,39.5,44.2,1.003,1.136,0.68,0.643,14.0,16,0,16,0,1,0,11,6,0,0
5.6,429.31,42.878,39,26,42,28.56,19,29,13,29.943,39.793,41.0,11.008,48.7,33.3,1.02,1.099,0.768,0.732,5.1,18,0,21,1,0,0,19,0,3,0
5.8,209.26,29.784,27,16,29,18.37,14,18,11,19.267,26.847,25.0,7.75,51.9,40.7,0.994,1.103,0.714,0.68,3.7,12,0,13,0,0,0,13,1,1,0
7.3,271.72,32.309,29,19,31,20.714,14,21,10,21.375,29.491,30.0,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,16,0,17,0,1,0,14,0,1,0
6.5,270.38,36.617,33,19,35,22.106,15,21,14,23.682,32.909,29.0,8.193,45.5,42.4,0.997,1.11,0.718,0.67,6.1,16,0,16,0,0,0,13,2,0,0
7.6,222.26,29.867,27,17,29,18.865,14,19,10,19.512,27.065,27.5,8.232,51.9,37.0,1.002,1.106,0.723,0.699,7.4,17,0,17,0,0,0,14,0,0,0
6.8,372.49,51.863,46,26,48,29.632,18,28,20,31.125,46.534,39.0,8.098,39.1,43.5,1.012,1.127,0.677,0.644,8.7,16,0,19,0,0,0,14,4,3,0
5.2,436.34,51.449,46,28,49,31.535,21,31,18,33.165,46.251,43.0,9.486,45.7,39.1,1.005,1.118,0.721,0.686,10.9,22,0,23,1,0,0,20,1,1,0
5.7,491.59,71.572,63,36,67,40.625,27,40,27,41.949,63.792,52.0,7.803,42.9,42.9,1.013,1.136,0.666,0.645,7.9,22,0,23,0,0,0,20,7,1,2
5.2,294.33,40.116,36,22,37,24.348,17,23,14,24.943,36.487,33.0,8.176,47.2,38.9,1.014,1.114,0.693,0.676,5.6,12,0,15,0,0,1,15,1,2,0
8.3,345.39,45.986,41,26,44,28.171,19,29,15,28.745,41.582,41.0,8.424,46.3,36.6,1.014,1.122,0.701,0.687,12.2,22,0,23,0,0,0,18,1,1,0
5.0,484.63,66.065,59,35,63,39.486,26,39,24,41.443,59.294,53.5,8.214,44.1,40.7,1.005,1.12,0.702,0.669,10.2,27,0,28,0,0,0,23,3,1,0
6.4,318.4,46.737,42,24,44,27.687,20,26,18,29.012,41.927,36.0,7.581,47.6,42.9,0.998,1.113,0.691,0.659,4.8,18,0,19,0,0,0,18,2,1,0
6.8,272.32,31.127,28,19,30,20.435,14,21,9,21.097,28.654,30.0,9.726,50.0,32.1,1.023,1.112,0.753,0.73,7.1,16,0,17,0,0,0,14,0,1,1
7.1,340.48,55.936,49,25,51,29.584,18,27,24,31.341,48.891,34.0,6.949,36.7,49.0,0.998,1.142,0.64,0.604,12.2,12,0,13,0,0,0,11,7,1,0
6.5,349.36,43.875,39,26,42,27.706,20,29,13,27.915,39.96,41.0,8.958,51.3,33.3,1.025,1.125,0.716,0.71,7.7,22,0,23,0,0,0,20,0,1,2
6.1,351.18,36.124,32,21,34,22.362,13,23,11,22.784,33.153,30.5,10.974,40.6,34.4,1.036,1.129,0.712,0.699,12.5,11,0,13,1,0,0,10,3,2,0
6.3,253.28,33.575,30,19,32,20.601,14,21,11,20.972,30.494,30.0,8.443,46.7,36.7,1.016,1.119,0.699,0.687,10.0,16,0,17,0,0,0,14,0,1,0
7.5,215.23,28.159,25,16,27,17.074,11,18,9,17.21,25.611,25.5,8.609,44.0,36.0,1.024,1.126,0.688,0.683,12.0,15,0,15,0,0,0,10,1,0,0
6.7,347.41,48.402,43,26,46,28.697,19,29,17,29.506,43.465,40.5,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,21,0,22,0,0,0,17,2,1,0
6.1,330.59,23.868,22,17,24,18.071,11,19,5,19.057,23.036,26.0,15.027,50.0,22.7,1.047,1.085,0.866,0.821,4.5,10,0,12,1,1,0,10,1,2,0
6.4,356.59,33.035,30,22,32,23.282,15,24,8,23.75,31.473,32.0,11.886,50.0,26.7,1.049,1.101,0.792,0.776,3.3,12,0,14,0,3,0,15,0,2,0
5.4,212.25,24.79,22,14,23,14.955,8,15,8,15.307,22.913,19.5,9.648,36.4,36.4,1.041,1.127,0.696,0.68,9.1,5,0,7,0,0,0,6,2,2,0
8.5,370.49,55.939,50,28,53,32.542,23,31,22,34.33,49.687,43.0,7.41,46.0,44.0,0.994,1.119,0.687,0.651,8.0,22,0,23,0,0,0,20,3,1,0
5.0,332.43,50.152,45,25,47,29.214,21,27,20,30.773,44.811,37.0,7.387,46.7,44.4,0.996,1.114,0.684,0.649,4.4,18,0,19,0,0,0,18,3,1,0
7.9,416.25,40.371,36,23,39,25.552,16,26,13,27.739,36.214,36.5,11.562,44.4,36.1,1.006,1.121,0.771,0.71,16.7,21,0,21,0,0,0,15,1,0,0
6.1,395.49,51.495,46,28,48,31.279,21,30,18,32.603,46.618,41.0,8.598,45.7,39.1,1.013,1.119,0.709,0.68,6.5,18,0,20,0,0,0,20,1,2,1
5.0,348.37,48.077,42,25,44,27.016,16,27,17,27.108,43.414,34.5,8.295,38.1,40.5,1.034,1.145,0.645,0.643,9.5,11,0,13,0,0,0,10,6,2,1
5.8,227.31,27.661,25,16,27,17.832,12,18,9,18.949,25.033,26.0,9.092,48.0,36.0,1.001,1.106,0.758,0.713,12.0,16,0,16,0,0,0,12,0,0,0
5.0,317.76,38.515,34,22,35,23.471,14,23,12,23.841,35.022,32.0,9.346,41.2,35.3,1.03,1.133,0.701,0.69,14.7,12,0,14,0,1,1,11,2,1,0
5.1,386.46,40.66,36,26,39,26.502,14,29,10,27.011,37.505,41.0,10.735,38.9,27.8,1.042,1.129,0.75,0.736,22.2,20,0,22,0,0,0,14,0,2,0
5.0,365.52,60.896,54,27,57,32.815,22,30,27,35.063,53.563,38.5,6.769,40.7,50.0,0.992,1.128,0.649,0.608,5.6,15,0,16,0,0,0,12,10,1,0
8.0,329.39,44.777,40,25,43,27.456,19,28,15,28.29,40.254,40.0,8.235,47.5,37.5,1.006,1.119,0.707,0.686,12.5,22,0,23,0,0,0,19,0,1,0
6.1,414.5,59.358,53,31,57,34.971,24,35,22,36.239,53.342,47.0,7.821,45.3,41.5,1.006,1.12,0.684,0.66,7.5,22,0,23,0,0,0,20,4,1,0
6.0,460.53,65.192,58,34,61,37.928,25,37,24,38.909,58.88,49.0,7.94,43.1,41.4,1.015,1.124,0.671,0.654,6.9,18,0,21,0,0,0,21,4,3,0
7.2,363.19,36.707,32,18,33,20.487,10,19,14,22.404,32.651,24.0,11.35,31.3,43.8,1.02,1.147,0.7,0.64,15.6,10,0,10,0,0,0,6,4,0,0
6.6,283.29,35.286,31,21,33,21.786,14,23,10,21.705,32.0,32.5,9.138,45.2,32.3,1.032,1.138,0.7,0.703,16.1,17,0,18,0,0,0,14,0,1,1
5.2,341.78,41.107,37,24,40,26.349,19,27,13,27.04,37.778,36.5,9.237,51.4,35.1,1.021,1.111,0.731,0.712,2.7,17,0,18,0,1,0,16,3,1,1
6.9,348.2,37.878,34,23,36,24.783,16,25,11,25.449,35.025,34.0,10.241,47.1,32.4,1.03,1.114,0.748,0.729,8.8,12,0,15,0,2,0,15,1,3,0
6.3,355.45,46.95,42,25,44,28.083,18,27,17,29.358,42.549,38.0,8.463,42.9,40.5,1.013,1.118,0.699,0.669,7.1,18,0,20,0,0,0,16,2,2,0
4.4,211.24,27.95,25,16,27,17.359,12,18,9,17.756,25.284,25.5,8.45,48.0,36.0,1.011,1.118,0.71,0.694,12.0,11,0,13,0,0,0,12,0,2,0
5.9,214.03,16.961,15,11,16,11.331,6,12,4,11.585,15.745,16.0,14.269,40.0,26.7,1.05,1.131,0.772,0.755,20.0,6,0,7,1,0,0,6,0,1,0
5.9,316.39,48.571,43,23,44,26.643,17,24,20,27.682,43.465,31.0,7.358,39.5,46.5,1.011,1.13,0.644,0.62,4.7,12,0,13,0,0,0,13,4,1,0
6.8,406.48,58.568,52,30,55,33.686,22,33,22,34.693,52.669,44.0,7.817,42.3,42.3,1.013,1.126,0.667,0.648,7.7,22,0,22,0,0,0,18,4,0,0
6.0,500.67,78.388,69,37,73,42.922,27,41,32,45.091,69.072,52.0,7.256,39.1,46.4,1.001,1.136,0.653,0.622,11.6,18,0,20,0,0,0,18,9,2,0
7.9,218.27,23.91,21,15,23,15.316,8,17,6,15.682,21.687,24.5,10.394,38.1,28.6,1.033,1.139,0.747,0.729,28.6,15,0,15,0,0,0,8,0,0,0
5.4,419.56,64.98,57,31,60,35.801,23,34,26,37.591,57.061,45.0,7.361,40.4,45.6,1.001,1.14,0.659,0.628,12.3,22,0,22,0,0,0,16,7,0,1
7.1,234.28,31.239,28,18,31,19.666,14,21,10,20.307,28.058,31.0,8.367,50.0,35.7,1.002,1.116,0.725,0.702,14.3,20,0,20,0,0,0,14,0,0,0
5.9,372.14,32.005,29,23,32,23.002,15,26,6,22.71,30.611,37.0,12.832,51.7,20.7,1.056,1.104,0.783,0.793,10.3,12,0,17,1,0,0,15,0,5,0
5.6,405.26,46.001,41,27,44,29.046,18,30,14,29.671,42.338,41.0,9.884,43.9,34.1,1.033,1.122,0.724,0.708,9.8,16,0,19,0,2,0,15,3,3,0
6.7,439.36,46.455,42,27,45,30.174,20,30,15,32.046,42.342,42.0,10.461,47.6,35.7,1.008,1.106,0.763,0.718,9.5,22,0,23,1,0,0,20,0,1,0
6.5,347.45,52.651,47,26,49,30.235,21,28,21,31.779,46.912,38.0,7.393,44.7,44.7,0.998,1.12,0.676,0.643,6.4,18,0,19,0,0,0,18,3,1,0
5.6,241.28,33.539,30,18,32,20.28,15,20,12,20.966,30.243,27.0,8.043,50.0,40.0,1.008,1.118,0.699,0.676,3.3,12,0,13,0,0,0,13,2,1,1
5.6,402.49,58.358,52,30,56,33.971,23,34,22,35.239,52.342,45.0,7.74,44.2,42.3,1.007,1.122,0.678,0.653,7.7,22,0,22,0,0,0,18,5,0,0
5.5,281.39,45.026,40,21,42,24.993,17,23,19,26.563,39.702,31.0,7.035,42.5,47.5,0.993,1.126,0.664,0.625,7.5,16,0,16,0,0,0,12,5,0,0
7.7,333.3,39.381,34,24,36,24.079,15,26,10,23.341,35.909,35.5,9.803,44.1,29.4,1.056,1.158,0.687,0.708,14.7,17,0,18,0,0,0,14,1,1,3
5.0,410.42,52.579,46,30,50,31.485,20,34,16,31.387,47.592,46.5,8.922,43.5,34.8,1.035,1.143,0.682,0.684,13.0,25,0,25,0,0,0,16,4,0,2
5.3,175.21,24.95,22,13,23,14.359,9,14,9,14.756,22.284,20.0,7.964,40.9,40.9,1.013,1.134,0.671,0.653,13.6,10,0,11,0,0,0,8,1,1,0
7.4,343.85,47.551,42,24,45,27.337,17,27,18,28.671,42.345,35.0,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,16,0,16,0,1,0,11,6,0,0
8.4,419.48,54.774,49,32,53,34.499,24,36,17,35.301,49.458,52.5,8.561,49.0,34.7,1.009,1.118,0.72,0.704,14.3,27,0,29,0,0,1,22,1,1,0
5.6,532.52,65.959,58,39,63,40.637,27,44,19,40.301,60.2,59.0,9.181,46.6,32.8,1.038,1.137,0.695,0.701,10.3,28,0,29,0,0,0,25,2,1,3
6.2,288.37,42.112,38,22,40,25.445,19,24,16,26.796,37.716,34.0,7.589,50.0,42.1,0.993,1.108,0.705,0.67,5.3,18,0,19,0,0,0,18,1,1,0
9.0,358.41,47.406,42,27,45,29.146,20,30,15,29.779,42.542,43.0,8.534,47.6,35.7,1.013,1.129,0.709,0.694,14.3,22,0,23,0,0,1,17,2,0,1
5.0,500.63,67.275,60,36,64,40.201,26,40,24,41.898,60.622,54.5,8.344,43.3,40.0,1.01,1.121,0.698,0.67,10.0,27,0,28,0,0,0,23,3,1,0
8.0,360.46,53.106,47,27,50,30.531,20,30,20,31.819,47.123,41.5,7.669,42.6,42.6,1.003,1.13,0.677,0.65,12.8,21,0,22,0,0,0,16,4,1,0
6.6,338.12,26.754,24,17,26,18.171,11,19,7,19.659,24.571,26.0,14.088,45.8,29.2,1.024,1.115,0.819,0.757,16.7,12,0,13,0,0,0,11,0,1,0
5.0,380.44,52.576,46,28,50,30.583,20,32,18,31.239,46.821,42.5,8.27,43.5,39.1,1.018,1.143,0.679,0.665,13.0,21,0,21,0,0,0,14,6,0,2
5.0,381.44,49.044,43,26,46,28.377,17,29,17,28.995,44.458,35.0,8.871,39.5,39.5,1.034,1.141,0.674,0.66,7.0,6,0,9,0,0,0,10,7,3,2
5.6,470.57,68.398,61,35,64,39.74,27,38,26,41.216,61.436,52.0,7.714,44.3,42.6,1.007,1.121,0.676,0.651,6.6,22,0,25,0,0,0,22,5,3,0
6.9,275.33,32.625,29,19,31,20.457,13,21,10,21.102,29.756,29.5,9.494,44.8,34.5,1.026,1.125,0.728,0.705,10.3,15,0,16,0,0,0,12,1,1,1
6.1,300.77,38.223,34,21,36,23.262,15,23,13,24.142,34.476,32.0,8.846,44.1,38.2,1.014,1.124,0.71,0.684,11.8,16,0,17,0,1,0,14,1,1,0
7.6,277.34,39.824,36,21,38,24.139,18,23,15,25.245,35.942,32.0,7.704,50.0,41.7,0.998,1.106,0.701,0.671,2.8,12,0,15,0,0,0,17,1,3,0
5.9,290.35,40.279,36,22,39,24.434,17,25,14,25.284,36.153,35.5,8.065,47.2,38.9,1.004,1.119,0.702,0.679,11.1,21,0,21,0,0,0,16,1,0,0
5.6,237.28,32.365,29,18,31,19.886,14,20,11,20.517,29.167,29.0,8.182,48.3,37.9,1.006,1.116,0.707,0.686,10.3,16,0,17,0,0,0,13,1,1,0
6.6,415.55,63.434,56,31,60,35.606,23,35,25,37.347,55.992,46.5,7.421,41.1,44.6,1.0,1.133,0.667,0.636,12.5,21,0,22,0,0,0,16,7,1,0
6.5,460.54,60.409,53,32,55,34.772,20,34,21,35.529,54.578,46.0,8.689,37.7,39.6,1.03,1.14,0.67,0.656,11.3,18,0,21,0,0,0,17,3,3,1
5.8,525.78,81.849,73,38,76,45.911,31,41,35,49.552,72.167,55.0,7.202,42.5,47.9,0.989,1.121,0.679,0.629,6.8,22,0,24,0,0,2,20,9,1,0
6.4,327.2,34.496,31,20,34,22.218,15,23,11,23.421,31.171,33.0,10.555,48.4,35.5,1.006,1.113,0.756,0.717,12.9,20,0,20,1,0,0,14,1,0,0
6.8,333.22,30.628,28,19,30,21.077,14,21,9,22.512,28.371,30.0,11.901,50.0,32.1,1.013,1.094,0.804,0.753,7.1,16,0,17,1,0,0,14,0,1,0
5.2,424.5,60.615,53,31,56,34.351,22,34,22,35.216,53.916,45.0,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,22,0,22,0,0,0,16,6,0,2
5.7,616.81,86.308,77,45,83,51.109,34,51,32,53.739,77.149,68.5,8.011,44.2,41.6,1.002,1.121,0.698,0.664,10.4,33,0,34,0,0,0,28,6,1,0
5.8,515.67,80.142,71,38,74,44.341,29,41,33,46.506,71.189,54.0,7.263,40.8,46.5,1.003,1.129,0.655,0.625,7.0,22,0,24,0,0,0,21,8,2,0
6.1,411.9,52.598,48,30,51,34.02,26,33,18,35.625,48.033,47.0,8.581,54.2,37.5,1.001,1.096,0.742,0.709,2.1,18,0,22,0,1,1,22,3,3,0
5.2,331.43,44.95,40,23,43,26.083,16,26,17,27.358,40.549,34.5,8.286,40.0,42.5,1.014,1.124,0.684,0.652,7.5,11,0,14,0,0,0,11,5,3,0
5.6,352.21,35.579,32,22,35,23.713,16,25,10,24.665,32.389,37.0,11.007,50.0,31.3,1.012,1.112,0.771,0.741,15.6,20,0,21,1,0,1,14,1,0,0
5.6,353.48,49.155,44,25,46,28.895,19,27,19,30.665,44.105,36.5,8.034,43.2,43.2,1.002,1.117,0.697,0.657,6.8,17,0,18,0,0,0,15,4,1,0
5.7,340.41,46.694,42,26,46,28.961,21,30,16,30.046,42.036,42.0,8.105,50.0,38.1,1.001,1.112,0.715,0.69,9.5,22,0,23,0,0,0,20,1,1,0
5.4,406.45,55.283,49,30,52,32.828,22,33,19,33.415,49.971,45.0,8.295,44.9,38.8,1.02,1.128,0.682,0.67,8.2,22,0,23,0,0,0,20,2,1,1
7.8,362.34,44.922,39,26,41,26.826,17,28,13,26.313,40.902,37.5,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,0,18,0,0,0,15,2,1,3
6.6,347.32,42.424,37,25,39,25.805,17,27,12,25.307,38.8,36.0,9.387,45.9,32.4,1.049,1.147,0.684,0.697,8.1,12,0,15,0,0,0,15,2,3,3
5.0,378.19,34.584,31,20,33,22.224,14,22,11,24.182,31.338,30.5,12.2,45.2,35.5,1.011,1.116,0.78,0.717,12.9,11,0,13,0,0,1,11,2,1,0
6.0,354.49,54.73,49,27,52,31.827,23,30,22,33.875,48.36,42.0,7.234,46.9,44.9,0.987,1.117,0.691,0.65,8.2,22,0,23,0,0,0,20,3,1,0
5.0,449.55,58.492,52,32,55,35.321,23,35,20,36.614,52.822,48.0,8.645,44.2,38.5,1.016,1.125,0.704,0.679,9.6,22,0,24,0,0,0,21,2,2,1
5.3,455.63,64.773,58,33,61,38.277,26,36,25,40.745,57.749,50.0,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,24,0,0,2,20,4,1,0
7.6,434.98,61.252,54,31,58,35.213,22,35,23,36.995,54.207,46.0,8.055,40.7,42.6,1.004,1.134,0.685,0.652,14.8,22,0,22,0,1,0,17,5,0,0
8.3,484.66,76.806,68,36,71,42.406,28,39,32,44.841,67.752,52.0,7.127,41.2,47.1,0.996,1.13,0.659,0.624,8.8,22,0,24,0,0,0,21,7,2,0
5.0,466.59,68.561,61,35,64,39.826,27,38,26,41.557,61.101,53.0,7.649,44.3,42.6,1.002,1.124,0.681,0.653,9.8,22,0,25,0,0,1,21,5,2,0
5.4,455.63,64.773,58,33,61,38.277,26,36,25,40.745,57.749,50.0,7.856,44.8,43.1,0.996,1.117,0.702,0.66,8.6,22,0,24,0,0,2,20,4,1,0
6.3,325.33,40.911,36,24,38,25.027,16,26,12,24.921,37.211,36.0,9.037,44.4,33.3,1.034,1.136,0.692,0.695,13.9,18,0,19,0,0,0,16,0,1,1
6.8,317.33,41.456,36,23,38,24.222,15,25,13,24.165,37.28,34.0,8.815,41.7,36.1,1.036,1.152,0.671,0.673,13.9,16,0,17,0,0,0,12,3,1,2
4.1,208.28,31.073,28,16,30,18.677,14,18,12,19.818,27.622,26.0,7.439,50.0,42.9,0.986,1.11,0.708,0.667,7.1,16,0,16,0,0,0,13,1,0,0
5.0,400.31,44.732,38,28,40,27.261,17,30,10,25.671,41.112,39.5,10.534,44.7,26.3,1.082,1.177,0.676,0.717,10.5,17,0,18,0,0,0,15,2,1,6
5.5,418.52,53.82,48,30,51,32.906,21,33,18,34.159,48.643,46.0,8.719,43.8,37.5,1.013,1.121,0.712,0.686,12.5,22,0,24,0,0,0,20,1,2,0
5.3,327.41,46.611,42,25,45,28.467,21,28,17,29.801,41.818,39.5,7.795,50.0,40.5,0.996,1.11,0.71,0.678,7.1,23,0,23,0,0,0,20,1,0,0
5.6,490.59,64.069,57,35,60,38.389,24,38,22,39.591,58.065,54.0,8.607,42.1,38.6,1.019,1.124,0.695,0.673,10.5,24,0,28,0,0,0,22,2,4,0
5.6,293.36,41.777,37,22,39,24.456,16,24,15,25.29,37.254,33.0,7.929,43.2,40.5,1.007,1.129,0.684,0.661,13.5,18,0,18,0,0,0,15,1,0,0
6.0,488.59,62.99,56,35,60,38.343,25,39,21,39.62,56.923,53.5,8.725,44.6,37.5,1.016,1.125,0.707,0.685,10.7,27,0,28,0,0,0,23,2,1,1
5.9,302.35,40.907,37,23,40,25.633,19,26,14,26.489,37.16,36.5,8.172,51.4,37.8,1.004,1.106,0.716,0.693,5.4,17,0,19,0,0,0,19,0,2,0
5.3,224.28,32.282,29,17,31,19.392,14,19,12,20.273,28.949,27.0,7.734,48.3,41.4,0.998,1.113,0.699,0.669,6.9,16,0,16,0,0,0,13,1,0,0
6.0,356.81,43.978,39,25,42,27.172,18,28,14,27.841,39.873,37.5,9.149,46.2,35.9,1.022,1.128,0.714,0.697,10.3,17,0,18,0,1,0,16,2,1,1
9.5,436.55,63.564,57,33,61,37.783,27,37,24,39.546,56.898,50.5,7.659,47.4,42.1,0.998,1.115,0.694,0.663,7.0,23,0,25,0,0,0,24,3,2,0
6.1,313.76,37.934,34,22,36,23.955,16,24,12,24.591,34.702,33.0,9.228,47.1,35.3,1.021,1.116,0.723,0.705,8.8,12,0,15,0,1,0,15,1,3,0
5.9,366.75,40.242,35,25,37,25.412,16,27,10,24.955,37.014,36.5,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,0,18,0,1,0,15,1,1,3
8.699,420.97,55.594,49,28,52,31.787,18,31,21,33.54,49.734,41.0,8.591,36.7,42.9,1.015,1.135,0.684,0.649,12.2,16,0,18,0,1,0,11,7,2,0
5.9,297.37,35.867,32,21,35,22.589,14,24,11,23.415,32.564,33.0,9.293,43.8,34.4,1.018,1.121,0.732,0.706,15.6,16,0,17,0,0,0,12,2,1,0
6.7,227.25,29.531,26,17,28,17.875,11,19,9,18.006,26.604,26.0,8.74,42.3,34.6,1.023,1.136,0.693,0.688,19.2,12,0,13,0,0,0,11,0,1,0
5.1,345.46,44.488,40,25,44,27.928,19,29,15,29.483,40.003,41.5,8.636,47.5,37.5,1.0,1.112,0.737,0.698,12.5,25,0,25,0,0,0,17,2,0,0
5.7,385.94,57.797,51,27,54,31.917,20,30,24,33.955,50.996,38.0,7.567,39.2,47.1,1.0,1.133,0.666,0.626,9.8,16,0,16,0,1,0,12,8,0,0
4.3,154.57,14.937,13,10,13,9.913,5,10,3,9.881,13.731,15.0,11.89,38.5,23.1,1.056,1.149,0.76,0.763,30.8,6,0,7,0,1,1,4,0,0,0
6.0,473.8,46.399,42,28,45,31.001,20,31,14,32.904,42.665,43.0,11.281,47.6,33.3,1.016,1.105,0.783,0.738,9.5,22,0,23,1,1,0,19,1,1,0
8.699,466.58,68.189,61,35,68,40.025,28,42,26,41.762,61.109,55.0,7.649,45.9,42.6,1.002,1.118,0.685,0.656,6.6,24,0,25,0,0,0,19,9,1,0
5.8,474.62,73.6,65,35,69,40.594,26,39,30,42.534,65.196,49.5,7.302,40.0,46.2,1.003,1.132,0.654,0.625,9.2,17,0,19,0,0,0,17,9,2,0
9.0,394.51,57.939,52,30,56,34.542,25,34,22,36.33,51.687,47.5,7.587,48.1,42.3,0.994,1.114,0.699,0.664,7.7,27,0,27,0,0,0,22,3,0,0
6.9,398.32,45.602,39,28,41,27.593,17,30,11,26.188,41.927,39.5,10.213,43.6,28.2,1.075,1.169,0.671,0.708,10.3,17,0,18,0,0,0,15,2,1,5
5.6,455.49,61.038,53,33,56,35.229,22,36,20,35.398,54.647,47.0,8.594,41.5,37.7,1.031,1.152,0.668,0.665,13.2,18,0,20,0,0,0,18,4,2,3
5.4,191.21,26.159,23,14,24,15.074,9,15,9,15.21,23.611,21.0,8.313,39.1,39.1,1.027,1.137,0.661,0.655,13.0,10,0,11,0,0,0,8,1,1,0
7.2,301.37,42.196,38,23,41,25.94,19,26,15,27.04,37.934,36.0,7.931,50.0,39.5,0.998,1.11,0.712,0.683,7.9,18,0,19,0,0,0,18,1,1,0
6.3,265.3,34.947,31,20,33,21.402,14,22,11,21.767,31.487,31.5,8.558,45.2,35.5,1.016,1.127,0.702,0.69,16.1,17,0,18,0,0,0,14,0,1,0
5.0,612.77,88.933,79,46,85,52.118,36,52,33,54.336,79.141,70.0,7.757,45.6,41.8,1.002,1.126,0.688,0.66,10.1,34,0,35,0,0,0,30,6,1,1
5.9,366.75,40.242,35,25,37,25.412,16,27,10,24.955,37.014,36.5,10.479,45.7,28.6,1.058,1.15,0.713,0.726,11.4,17,0,18,0,1,0,15,1,1,3
6.7,335.21,38.167,34,22,36,24.089,15,24,12,25.0,34.8,33.0,9.859,44.1,35.3,1.024,1.123,0.735,0.709,11.8,16,0,17,0,2,0,14,1,1,0
5.6,368.29,40.977,35,26,37,25.351,16,28,9,23.972,37.716,37.5,10.523,45.7,25.7,1.078,1.171,0.685,0.724,11.4,17,0,18,0,0,0,15,1,1,5
6.0,361.5,49.946,45,26,48,30.181,21,29,19,32.211,44.778,40.0,8.033,46.7,42.2,0.995,1.11,0.716,0.671,6.7,22,0,22,0,0,0,18,3,0,0
6.7,401.53,53.527,48,29,52,32.697,22,33,19,34.461,48.098,45.0,8.365,45.8,39.6,1.002,1.115,0.718,0.681,10.4,22,0,23,0,0,0,19,3,1,0
8.699,427.99,63.794,56,30,59,34.96,21,33,26,36.966,56.2,42.0,7.643,37.5,46.4,1.004,1.139,0.66,0.624,12.5,16,0,17,0,1,0,12,9,1,0
5.0,297.31,38.329,34,22,36,23.511,16,24,12,23.671,34.891,33.0,8.744,47.1,35.3,1.026,1.127,0.696,0.692,8.8,12,0,15,0,0,0,15,1,3,1
5.0,435.56,66.189,58,32,61,36.516,23,35,26,38.046,58.389,46.0,7.51,39.7,44.8,1.007,1.141,0.656,0.63,12.1,22,0,22,0,0,0,16,7,0,1
8.4,351.44,48.983,44,27,48,30.268,22,31,17,31.597,43.811,44.5,7.987,50.0,38.6,0.996,1.113,0.718,0.688,11.4,27,0,27,0,0,0,21,1,0,0
7.3,304.85,47.302,42,21,44,25.853,17,23,21,27.938,41.691,28.5,7.258,40.5,50.0,0.993,1.126,0.665,0.616,4.8,11,0,11,0,1,0,9,8,0,0
5.2,497.67,70.398,63,36,67,41.518,28,40,27,43.961,62.96,54.0,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,22,0,24,0,0,2,20,6,1,0
5.0,454.6,61.441,55,33,59,37.245,25,37,22,39.228,55.083,51.5,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,27,0,28,0,0,0,23,2,1,0
6.4,258.25,32.495,29,19,31,20.009,13,21,10,19.875,30.047,28.5,8.905,44.8,34.5,1.036,1.121,0.685,0.69,6.9,11,0,13,0,0,0,11,2,2,0
5.0,420.54,63.691,56,31,59,35.494,23,34,25,37.04,56.287,45.0,7.51,41.1,44.6,1.005,1.137,0.661,0.634,10.7,22,0,22,0,0,0,16,7,0,1
7.3,371.57,27.615,25,18,27,19.504,12,20,7,21.273,25.676,27.5,14.863,48.0,28.0,1.027,1.105,0.851,0.78,12.0,11,0,13,0,1,0,12,0,2,0
7.6,362.34,44.922,39,26,41,26.826,17,28,13,26.313,40.902,37.5,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,17,0,18,0,0,0,15,2,1,3
5.6,374.53,64.647,57,27,58,33.277,21,28,30,35.489,56.883,34.0,6.571,36.8,52.6,0.998,1.134,0.623,0.584,3.5,6,0,9,0,0,0,10,11,3,0
5.0,314.8,41.638,37,22,39,24.789,16,24,15,25.904,37.36,32.5,8.508,43.2,40.5,1.01,1.125,0.7,0.67,10.8,17,0,17,0,1,0,13,3,0,0
