pXC50,Sp,Sv,nBT,Si,nAT,nBO,nSK,SCBO,nH,nC,MW,Se,nCsp2,nN,nCsp3,RBN,nDB,nBM,Mv,H.,nAB,nHet,nHM,Me,O.,AMW,N.,Mp
5.602,36.176,34.049,58,63.574,56,31,29,37.5,27,18,445.62,57.025,6,3,12,6,4,9,0.608,48.2,5,11,2,1.018,10.7,7.957,5.4,0.646
5.699,35.955,33.786,55,59.451,53,31,29,40.5,24,20,436.6,53.713,12,2,8,6,4,15,0.637,45.3,11,9,2,1.013,9.4,8.238,3.8,0.678
6.854,27.58,25.728,40,42.173,38,24,22,30.0,16,16,359.29,38.658,9,0,7,4,1,11,0.677,42.1,10,6,3,1.017,7.9,9.455,0.0,0.726
4.796,27.369,26.81,42,45.867,41,25,24,34.5,17,18,327.36,41.807,16,1,2,7,4,15,0.654,41.5,11,6,0,1.02,12.2,7.984,2.4,0.668
7.0,27.159,27.299,39,42.19,38,27,26,38.0,12,18,373.76,39.691,16,1,1,6,3,16,0.718,31.6,12,8,1,1.044,15.8,9.836,2.6,0.715
7.31,28.523,28.141,38,40.998,37,28,27,39.0,10,16,450.69,39.415,16,1,0,6,5,17,0.761,27.0,12,11,4,1.065,16.2,12.181,2.7,0.771
6.854,27.665,27.313,38,41.054,37,27,26,38.0,11,16,416.25,39.091,16,1,0,6,5,17,0.738,29.7,12,10,3,1.057,16.2,11.25,2.7,0.748
4.569,22.665,22.778,33,34.383,31,24,22,32.5,9,15,320.31,32.644,14,0,1,3,3,14,0.735,29.0,11,7,1,1.053,16.1,10.333,0.0,0.731
4.796,26.546,26.666,40,43.791,39,26,25,36.5,14,18,343.33,40.436,17,1,1,6,5,16,0.684,35.9,11,7,0,1.037,12.8,8.803,2.6,0.681
4.301,12.557,13.154,19,21.293,19,13,13,18.5,6,8,182.14,20.287,8,0,0,3,3,8,0.692,31.6,5,5,0,1.068,26.3,9.586,0.0,0.661
4.745,22.972,22.59,33,35.589,32,22,21,30.5,11,15,306.33,33.2,14,0,1,5,3,14,0.706,34.4,11,6,1,1.037,12.5,9.573,0.0,0.718
4.886,22.847,22.756,35,38.037,34,22,21,30.5,13,15,287.29,35.04,14,1,1,5,3,14,0.669,38.2,11,6,0,1.031,14.7,8.45,2.9,0.672
4.387,20.875,21.419,30,32.407,29,22,21,30.5,8,14,310.67,30.891,14,0,0,4,3,14,0.739,27.6,11,7,1,1.065,17.2,10.713,0.0,0.72
4.357,24.602,24.262,37,39.953,36,23,22,32.0,14,17,298.31,36.822,16,0,1,6,3,15,0.674,38.9,12,5,0,1.023,13.9,8.286,0.0,0.683
4.523,22.33,22.425,34,37.167,33,22,21,30.5,12,15,289.28,34.225,14,1,1,5,3,14,0.68,36.4,11,6,0,1.037,12.1,8.766,3.0,0.677
6.35,37.483,34.861,60,65.78,58,31,29,37.5,29,19,443.65,58.582,6,3,13,6,4,9,0.601,50.0,5,10,2,1.01,8.6,7.649,5.2,0.646
6.585,35.205,33.302,55,60.032,53,31,29,40.0,24,18,440.6,54.033,9,4,9,6,4,14,0.628,45.3,10,11,2,1.019,9.4,8.313,7.5,0.664
5.699,38.489,35.882,62,68.278,60,32,30,38.5,30,19,458.67,60.683,6,4,13,6,4,9,0.598,50.0,5,11,2,1.011,8.3,7.644,6.7,0.641
5.959,39.245,36.388,63,69.195,61,32,30,38.5,31,20,457.68,61.465,6,3,14,6,4,9,0.597,50.8,5,10,2,1.008,8.2,7.503,4.9,0.643
6.699,35.955,33.786,55,59.451,53,31,29,40.5,24,20,436.6,53.713,12,2,8,6,4,15,0.637,45.3,11,9,2,1.013,9.4,8.238,3.8,0.678
6.301,35.955,33.786,55,59.451,53,31,29,40.5,24,20,436.6,53.713,12,2,8,6,4,15,0.637,45.3,11,9,2,1.013,9.4,8.238,3.8,0.678
6.0,27.938,27.532,38,40.48,36,29,27,40.0,9,16,430.48,38.371,16,2,0,4,5,17,0.765,25.0,12,11,3,1.066,8.3,11.958,5.6,0.776
5.721,27.938,27.532,38,40.48,36,29,27,40.0,9,16,430.48,38.371,16,2,0,4,5,17,0.765,25.0,12,11,3,1.066,8.3,11.958,5.6,0.776
6.77,28.87,27.094,44,46.783,42,25,23,33.0,19,18,329.45,42.113,9,1,8,4,1,12,0.645,45.2,10,5,1,1.003,7.1,7.844,2.4,0.687
6.824,35.205,33.302,55,60.032,53,31,29,40.0,24,18,440.6,54.033,9,4,9,6,4,14,0.628,45.3,10,11,2,1.019,9.4,8.313,7.5,0.664
6.0,34.193,32.259,52,56.036,50,30,28,39.5,22,19,422.57,50.829,12,2,7,6,4,15,0.645,44.0,11,9,2,1.017,10.0,8.451,4.0,0.684
6.549,35.722,33.334,57,62.364,55,30,28,36.5,27,18,429.62,55.698,6,3,12,6,4,9,0.606,49.1,5,10,2,1.013,9.1,7.811,5.5,0.649
4.699,25.864,24.073,40,42.285,38,22,20,28.0,18,16,290.41,38.011,9,0,7,4,1,11,0.633,47.4,10,4,1,1.0,7.9,7.642,0.0,0.681
5.398,29.267,28.513,45,48.368,43,28,26,36.5,17,17,375.44,44.204,11,3,6,6,3,14,0.663,39.5,11,9,1,1.028,11.6,8.731,7.0,0.681
5.921,34.648,32.974,53,57.245,51,31,29,40.5,22,19,438.57,52.156,12,2,7,7,4,15,0.647,43.1,11,10,2,1.023,11.8,8.599,3.9,0.679
5.553,33.585,32.656,51,55.122,49,32,30,43.5,19,18,453.54,50.818,12,3,6,7,6,17,0.666,38.8,11,12,2,1.037,14.3,9.256,6.1,0.685
4.788,24.625,23.729,37,39.047,35,23,21,29.0,14,15,329.19,36.025,9,0,6,3,1,11,0.678,40.0,10,6,2,1.029,11.4,9.405,0.0,0.704
6.886,28.807,27.477,44,47.123,42,26,24,34.0,18,18,347.44,42.625,9,1,8,4,1,12,0.654,42.9,10,6,1,1.015,7.1,8.272,2.4,0.686
5.827,26.386,25.255,40,42.462,38,24,22,30.0,16,16,343.22,38.909,9,0,7,4,1,11,0.665,42.1,10,6,2,1.024,10.5,9.032,0.0,0.694
5.545,28.87,27.094,44,46.783,42,25,23,33.0,19,18,329.45,42.113,9,1,8,4,1,12,0.645,45.2,10,5,1,1.003,7.1,7.844,2.4,0.687
4.754,24.057,22.674,34,35.343,32,22,20,28.0,12,14,331.23,32.891,9,0,5,2,1,11,0.709,37.5,10,6,3,1.028,9.4,10.351,0.0,0.752
6.155,29.477,27.408,38,39.302,36,27,25,38.0,11,16,455.4,37.062,16,2,0,4,5,17,0.761,30.6,12,9,4,1.029,8.3,12.65,5.6,0.819
5.57,34.057,33.293,51,52.242,47,35,31,49.0,16,22,432.49,48.094,21,4,1,3,5,23,0.708,34.0,18,9,1,1.023,8.5,9.202,8.5,0.725
5.523,28.0,27.149,38,40.14,36,28,26,39.0,10,16,412.49,37.858,16,2,0,4,5,17,0.754,27.8,12,10,3,1.052,8.3,11.458,5.6,0.778
5.42,26.671,25.205,41,45.205,40,23,22,29.5,18,13,346.47,41.062,6,2,7,5,4,9,0.63,45.0,5,9,2,1.027,12.5,8.662,5.0,0.667
5.403,44.074,42.147,68,71.444,64,41,37,55.0,27,28,517.65,64.622,22,3,6,7,5,23,0.659,42.2,18,9,1,1.01,7.8,8.088,4.7,0.689
5.551,31.267,30.513,48,50.368,45,31,28,42.0,17,19,399.46,46.204,16,3,3,4,5,17,0.678,37.8,12,9,1,1.027,11.1,8.877,6.7,0.695
7.092,35.966,35.722,54,55.661,50,38,34,54.0,16,23,476.5,51.749,22,4,1,4,7,25,0.714,32.0,18,11,1,1.035,12.0,9.53,8.0,0.719
7.086,34.813,33.798,52,53.159,48,35,31,49.0,17,23,431.5,48.876,22,3,1,3,5,23,0.704,35.4,18,8,1,1.018,8.3,8.99,6.3,0.725
6.688,35.688,33.877,53,55.831,50,33,30,44.0,20,21,490.41,50.873,16,3,5,4,5,17,0.678,40.0,12,9,2,1.017,8.0,9.808,6.0,0.714
6.277,34.029,33.04,53,54.784,49,34,30,45.0,19,21,425.5,50.087,16,3,5,3,5,17,0.674,38.8,12,9,1,1.022,10.2,8.684,6.1,0.694
5.0,35.966,35.722,54,55.661,50,38,34,54.0,16,23,476.5,51.749,22,4,1,4,7,25,0.714,32.0,18,11,1,1.035,12.0,9.53,8.0,0.719
6.222,31.602,29.564,41,42.764,39,29,27,40.0,12,17,459.42,40.364,16,2,1,4,5,17,0.758,30.8,12,10,5,1.035,7.7,11.78,5.1,0.81
4.523,20.261,18.954,28,29.916,27,18,17,24.0,10,11,266.37,27.545,10,2,1,2,3,9,0.702,37.0,6,6,2,1.02,7.4,9.866,7.4,0.75
5.0,25.528,25.218,38,38.913,35,27,24,38.5,11,16,341.37,36.225,16,3,0,1,3,20,0.721,31.4,17,8,1,1.035,11.4,9.753,8.6,0.729
5.654,29.051,28.271,44,45.744,41,29,26,40.0,15,18,369.43,41.993,16,3,2,2,5,17,0.69,36.6,12,8,1,1.024,9.8,9.01,7.3,0.709
6.721,28.978,26.625,43,45.542,41,24,22,30.0,19,17,383.33,41.123,9,0,8,4,1,11,0.649,46.3,10,5,2,1.003,7.3,9.35,0.0,0.707
7.444,36.165,34.823,52,53.001,48,36,32,50.0,16,23,510.39,49.105,22,3,1,3,5,23,0.725,33.3,18,9,2,1.023,8.3,10.633,6.3,0.753
5.0,33.21,32.918,51,54.206,48,34,31,46.0,17,20,444.48,49.818,17,4,3,3,6,18,0.686,35.4,12,11,1,1.038,10.4,9.26,8.3,0.692
7.215,34.057,33.293,51,52.242,47,35,31,49.0,16,22,432.49,48.094,21,4,1,3,5,23,0.708,34.0,18,9,1,1.023,8.5,9.202,8.5,0.725
6.824,31.813,30.798,48,50.159,45,31,28,43.0,17,20,395.47,45.876,18,3,2,3,6,18,0.684,37.8,12,8,1,1.019,8.9,8.788,6.7,0.707
5.0,41.858,39.905,64,66.82,60,39,35,53.0,25,27,487.62,60.411,22,3,5,4,5,23,0.665,41.7,18,8,1,1.007,6.7,8.127,5.0,0.698
5.0,29.506,28.986,45,46.953,42,30,27,41.0,15,18,385.43,43.32,16,3,2,3,5,17,0.69,35.7,12,9,1,1.031,11.9,9.177,7.1,0.703
6.618,33.574,32.325,52,53.574,48,33,29,44.0,19,21,409.5,48.76,16,3,5,3,5,17,0.673,39.6,12,8,1,1.016,8.3,8.531,6.3,0.699
5.919,35.193,33.679,53,55.933,50,33,30,44.0,20,21,445.96,50.967,16,3,5,4,5,17,0.674,40.0,12,9,2,1.019,8.0,8.919,6.0,0.704
5.0,36.574,35.325,55,56.574,51,36,32,50.0,19,24,445.53,51.76,22,3,2,4,5,23,0.693,37.3,18,8,1,1.015,7.8,8.736,5.9,0.717
7.086,34.79,33.567,54,57.199,51,33,30,44.0,21,21,427.52,51.971,16,3,5,5,5,17,0.658,41.2,12,9,1,1.019,9.8,8.383,5.9,0.682
7.276,32.46,30.985,48,50.079,45,31,28,42.0,17,19,415.53,45.953,16,3,3,4,5,17,0.689,37.8,12,9,2,1.021,8.9,9.234,6.7,0.721
5.0,35.46,33.985,52,53.079,48,35,31,48.5,17,22,451.56,48.953,20,3,2,4,5,22,0.708,35.4,17,9,2,1.02,8.3,9.407,6.3,0.739
4.523,17.898,16.518,22,22.737,21,16,15,22.0,6,10,255.76,21.556,10,1,0,1,3,9,0.787,28.6,6,5,3,1.026,4.8,12.179,4.8,0.852
4.523,27.881,26.308,37,38.275,35,26,24,36.0,11,17,374.89,35.753,17,2,0,3,4,16,0.752,31.4,12,7,3,1.022,5.7,10.711,5.7,0.797
6.495,28.87,27.094,44,46.783,42,25,23,33.0,19,18,329.45,42.113,9,1,8,4,1,12,0.645,45.2,10,5,1,1.003,7.1,7.844,2.4,0.687
6.699,27.938,27.532,38,40.48,36,29,27,40.0,9,16,430.48,38.371,16,2,0,4,5,17,0.765,25.0,12,11,3,1.066,8.3,11.958,5.6,0.776
4.523,28.125,26.383,38,39.461,36,26,24,37.0,12,16,376.51,36.833,16,2,0,4,5,17,0.733,33.3,12,8,3,1.023,8.3,10.459,5.6,0.781
6.699,28.727,26.698,35,35.854,33,27,25,37.5,8,14,451.42,34.673,14,2,0,4,5,16,0.809,24.2,11,11,6,1.051,9.1,13.679,6.1,0.871
5.0,30.051,29.271,45,46.744,42,30,27,42.0,15,19,381.44,42.993,18,3,1,3,6,18,0.697,35.7,12,8,1,1.024,9.5,9.082,7.1,0.716
7.481,35.193,33.679,53,55.933,50,33,30,44.0,20,21,445.96,50.967,16,3,5,4,5,17,0.674,40.0,12,9,2,1.019,8.0,8.919,6.0,0.704
6.764,32.057,31.293,48,50.242,45,32,29,45.0,16,20,408.47,46.094,16,4,3,4,5,18,0.695,35.6,12,9,1,1.024,8.9,9.077,8.9,0.712
7.328,34.79,33.567,54,57.199,51,33,30,44.0,21,21,427.52,51.971,16,3,5,4,5,17,0.658,41.2,12,9,1,1.019,9.8,8.383,5.9,0.682
5.0,36.994,34.169,53,55.71,50,33,30,44.0,20,21,537.41,50.713,16,3,5,4,5,17,0.683,40.0,12,9,2,1.014,8.0,10.748,6.0,0.74
6.686,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,4,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
6.842,41.858,39.905,64,66.82,60,39,35,53.0,25,27,487.62,60.411,22,3,5,5,5,23,0.665,41.7,18,8,1,1.007,6.7,8.127,5.0,0.698
5.0,36.244,35.281,56,59.408,53,35,32,47.0,21,22,455.53,54.298,17,3,5,7,6,18,0.666,39.6,12,10,1,1.024,11.3,8.595,5.7,0.684
5.0,36.341,34.873,57,59.488,53,35,31,46.0,22,22,438.55,53.745,16,4,6,4,5,17,0.658,41.5,12,9,1,1.014,7.5,8.275,7.5,0.686
5.0,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,16,4,4,5,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
7.022,36.165,34.823,52,53.001,48,36,32,50.0,16,23,510.39,49.105,22,3,1,3,5,23,0.725,33.3,18,9,2,1.023,8.3,10.633,6.3,0.753
6.125,29.341,27.255,43,45.588,41,25,23,31.0,18,17,373.32,41.542,9,0,8,5,1,11,0.665,43.9,10,6,3,1.013,7.3,9.105,0.0,0.716
6.526,37.796,36.588,58,61.697,55,36,33,49.0,22,23,466.56,56.073,16,4,6,6,5,18,0.665,40.0,12,10,1,1.02,9.1,8.483,7.3,0.687
5.0,39.557,38.115,61,65.112,58,37,34,50.0,24,24,480.59,58.956,19,4,5,6,7,19,0.657,41.4,12,10,1,1.016,8.6,8.286,6.9,0.682
6.745,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,4,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
5.0,32.722,32.228,50,52.578,47,33,30,45.0,17,20,427.47,48.531,17,3,3,5,6,18,0.686,36.2,12,10,1,1.033,12.8,9.095,6.4,0.696
5.222,32.818,30.806,44,46.389,42,30,28,40.0,14,17,477.44,43.575,15,2,2,5,4,16,0.733,33.3,12,11,5,1.037,9.5,11.368,4.8,0.781
7.046,31.813,30.798,48,50.159,45,31,28,43.0,17,20,395.47,45.876,18,3,2,4,6,18,0.684,37.8,12,8,1,1.019,8.9,8.788,6.7,0.707
6.538,33.926,32.35,50,52.416,47,32,29,43.0,18,20,476.38,47.989,16,3,4,4,5,17,0.688,38.3,12,9,2,1.021,8.5,10.136,6.4,0.722
5.0,38.557,37.115,60,64.112,57,36,33,48.0,24,23,468.58,57.956,17,4,6,5,6,18,0.651,42.1,12,10,1,1.017,8.8,8.221,7.0,0.676
6.517,34.705,33.48,51,52.162,47,35,31,48.5,16,21,452.55,48.171,19,4,2,3,5,22,0.712,34.0,17,10,2,1.025,8.5,9.629,8.5,0.738
5.003,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,15,4,5,4,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
4.523,19.807,18.239,27,28.707,26,17,16,23.0,10,11,250.37,26.218,10,2,1,1,3,9,0.702,38.5,6,5,2,1.008,3.8,9.63,7.7,0.762
5.0,39.767,38.335,62,66.239,59,37,34,49.0,25,24,483.59,60.065,17,3,7,7,6,18,0.65,42.4,12,10,1,1.018,10.2,8.196,5.1,0.674
5.886,33.029,32.04,51,53.784,48,32,29,43.0,19,20,413.49,49.087,16,3,4,5,5,17,0.667,39.6,12,9,1,1.023,10.4,8.614,6.3,0.688
5.0,33.58,32.346,52,55.072,49,32,29,43.0,20,20,412.51,49.862,16,4,4,4,5,17,0.66,40.8,12,9,1,1.018,8.2,8.419,8.2,0.685
5.097,31.648,29.436,44,46.291,42,28,26,39.0,16,18,404.57,42.6,16,2,2,4,5,17,0.701,38.1,12,8,3,1.014,7.1,9.633,4.8,0.754
6.0,19.199,18.636,26,27.794,25,19,18,27.0,7,10,281.34,26.207,10,3,0,2,5,11,0.745,28.0,6,8,2,1.048,12.0,11.254,12.0,0.768
5.373,44.318,42.641,68,71.527,64,42,38,57.0,26,28,530.65,64.84,23,4,5,6,6,24,0.666,40.6,18,10,1,1.013,7.8,8.291,6.3,0.692
6.097,32.818,30.806,44,46.389,42,30,28,40.0,14,17,477.44,43.575,15,2,2,5,4,16,0.733,33.3,12,11,5,1.037,9.5,11.368,4.8,0.781
6.0,28.063,26.766,38,39.801,36,27,25,38.0,11,16,394.5,37.345,16,2,0,4,5,17,0.743,30.6,12,9,3,1.037,8.3,10.958,5.6,0.78
6.703,34.79,33.567,54,57.199,51,33,30,44.0,21,21,427.52,51.971,16,3,5,4,5,17,0.658,41.2,12,9,1,1.019,9.8,8.383,5.9,0.682
4.796,18.903,17.54,24,25.236,23,17,16,23.0,7,10,270.78,23.658,10,2,0,1,3,9,0.763,30.4,6,6,3,1.029,4.3,11.773,8.7,0.822
6.087,31.267,30.513,48,50.368,45,31,28,42.0,17,19,399.46,46.204,16,3,3,4,5,17,0.678,37.8,12,9,1,1.027,11.1,8.877,6.7,0.695
4.569,31.364,29.091,42,44.179,40,28,26,37.0,14,16,449.43,41.247,13,2,3,5,3,15,0.727,35.0,12,10,5,1.031,7.5,11.236,5.0,0.784
4.5,20.347,20.788,35,38.199,33,22,20,27.0,13,10,283.28,34.68,5,5,5,2,0,10,0.63,39.4,10,10,0,1.051,15.2,8.584,15.2,0.617
6.975,32.387,32.475,50,53.593,47,34,31,45.0,16,20,451.46,49.298,16,3,4,4,5,17,0.691,34.0,12,11,1,1.049,8.5,9.606,6.4,0.689
7.357,34.148,34.002,53,57.008,50,35,32,46.0,18,21,465.49,52.182,16,3,5,4,5,17,0.68,36.0,12,11,1,1.044,8.0,9.31,6.0,0.683
4.523,21.421,19.572,28,29.568,27,18,17,24.0,10,12,283.82,27.324,10,1,2,2,3,9,0.725,37.0,6,5,3,1.012,3.7,10.512,3.7,0.793
6.108,36.057,35.293,53,54.242,49,37,33,53.0,16,24,456.51,50.094,22,4,1,3,5,24,0.72,32.7,18,9,1,1.022,8.2,9.317,8.2,0.736
5.0,30.017,28.708,47,49.235,44,28,25,38.0,19,20,333.42,44.029,16,3,4,4,2,18,0.652,43.2,16,5,0,1.001,4.5,7.578,6.8,0.682
5.81,30.813,29.798,47,49.159,44,30,27,41.0,17,19,383.46,44.876,16,3,3,3,5,17,0.677,38.6,12,8,1,1.02,9.1,8.715,6.8,0.7
5.0,35.688,33.877,53,55.831,50,33,30,44.0,20,21,490.41,50.873,16,3,5,4,5,17,0.678,40.0,12,9,2,1.017,8.0,9.808,6.0,0.714
5.699,29.278,28.307,40,41.963,38,29,27,42.0,11,16,421.51,39.706,16,3,0,5,7,19,0.745,28.9,12,11,3,1.045,13.2,11.092,7.9,0.77
6.046,29.369,27.877,39,40.544,37,28,26,41.0,11,17,401.52,38.051,16,3,0,4,5,18,0.753,29.7,12,9,3,1.028,8.1,10.852,8.1,0.794
6.928,31.051,30.271,46,47.744,43,31,28,44.0,15,20,393.45,43.993,16,3,2,3,5,18,0.704,34.9,12,8,1,1.023,9.3,9.15,7.0,0.722
5.0,35.489,34.776,55,58.491,52,35,32,48.0,20,21,456.52,53.516,16,4,5,5,7,19,0.669,38.5,12,11,1,1.029,11.5,8.779,7.7,0.682
6.758,42.534,40.883,67,72.152,64,39,36,51.0,28,25,512.64,65.051,17,4,8,9,6,18,0.639,43.8,12,11,1,1.016,9.4,8.01,6.3,0.665
6.471,35.489,34.776,55,58.491,52,35,32,48.0,20,21,456.52,53.516,16,4,5,5,7,19,0.669,38.5,12,11,1,1.029,11.5,8.779,7.7,0.682
6.583,34.273,33.235,53,56.329,50,33,30,44.0,20,21,429.51,51.156,16,3,5,4,5,17,0.665,40.0,12,9,1,1.023,8.0,8.59,6.0,0.685
6.818,33.574,32.325,52,53.574,48,33,29,44.0,19,21,409.5,48.76,16,3,5,4,5,17,0.673,39.6,12,8,1,1.016,8.3,8.531,6.3,0.699
5.596,32.915,31.7,49,51.288,46,32,29,44.0,17,19,431.53,47.28,16,3,3,4,6,18,0.689,37.0,12,10,2,1.028,10.9,9.381,6.5,0.716
5.0,35.193,33.679,53,55.933,50,33,30,44.0,20,21,445.96,50.967,16,3,5,4,5,17,0.674,40.0,12,9,2,1.019,8.0,8.919,6.0,0.704
4.523,27.182,25.099,36,36.983,34,24,22,33.0,12,17,345.89,34.207,16,1,1,3,3,15,0.738,35.3,12,5,3,1.006,2.9,10.173,2.9,0.799
5.0,35.46,33.985,52,53.079,48,35,31,48.5,17,22,451.56,48.953,20,3,2,4,5,22,0.708,35.4,17,9,2,1.02,8.3,9.407,6.3,0.739
7.678,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,4,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
5.985,36.244,35.281,56,59.408,53,35,32,47.0,21,22,455.53,54.298,17,3,5,5,6,18,0.666,39.6,12,10,1,1.024,11.3,8.595,5.7,0.684
5.0,34.887,33.158,54,57.278,51,32,29,43.0,22,21,410.54,51.418,16,4,5,4,5,17,0.65,43.1,12,8,1,1.008,5.9,8.05,7.8,0.684
5.0,33.881,32.137,52,54.78,49,31,28,42.0,21,21,395.52,49.316,16,3,5,4,5,17,0.656,42.9,12,7,1,1.006,6.1,8.072,6.1,0.691
5.0,33.881,32.137,52,54.78,49,31,28,42.0,21,21,395.52,49.316,16,3,5,4,5,17,0.656,42.9,12,7,1,1.006,6.1,8.072,6.1,0.691
4.523,19.955,19.142,27,28.71,26,19,18,27.0,8,11,280.35,26.989,10,2,1,2,5,11,0.736,30.8,6,7,2,1.038,11.5,10.783,7.7,0.767
6.222,32.364,30.091,43,45.179,41,29,27,39.0,14,17,461.44,42.247,15,2,2,4,4,16,0.734,34.1,12,10,5,1.03,7.3,11.255,4.9,0.789
6.444,34.273,33.235,53,56.329,50,33,30,44.0,20,21,429.51,51.156,16,3,5,4,5,17,0.665,40.0,12,9,1,1.023,8.0,8.59,6.0,0.685
6.5,34.057,33.293,51,52.242,47,35,31,49.0,16,22,432.49,48.094,21,4,1,3,5,23,0.708,34.0,18,9,1,1.023,8.5,9.202,8.5,0.725
6.435,37.097,35.378,58,60.405,54,35,31,46.0,23,23,437.56,54.527,16,3,7,3,5,17,0.655,42.6,12,8,1,1.01,7.4,8.103,5.6,0.687
5.252,27.29,26.745,41,42.329,38,28,25,39.0,13,17,355.4,39.109,16,3,1,1,5,17,0.704,34.2,12,8,1,1.029,10.5,9.353,7.9,0.718
6.699,29.841,28.038,38,39.349,36,28,26,39.0,10,16,445.39,37.48,16,2,0,4,5,17,0.779,27.8,12,10,5,1.041,8.3,12.372,5.6,0.829
6.256,34.273,33.235,53,56.329,50,33,30,44.0,20,21,429.51,51.156,16,3,5,4,5,17,0.665,40.0,12,9,1,1.023,8.0,8.59,6.0,0.685
5.0,36.244,35.281,56,59.408,53,35,32,47.0,21,22,455.53,54.298,17,3,5,5,6,18,0.666,39.6,12,10,1,1.024,11.3,8.595,5.7,0.684
6.432,41.08,39.168,65,69.943,62,37,34,48.0,28,24,484.63,62.723,16,4,8,7,5,17,0.632,45.2,12,10,1,1.012,8.1,7.817,6.5,0.663
5.691,30.96,30.701,47,49.163,44,32,29,44.0,15,19,413.44,45.647,17,3,2,3,6,18,0.698,34.1,12,10,1,1.037,13.6,9.396,6.8,0.704
4.523,32.398,31.668,47,48.956,44,33,30,45.5,14,19,442.51,45.615,18,4,1,5,2,23,0.72,31.8,21,11,2,1.037,11.4,10.057,9.1,0.736
5.678,39.966,38.224,63,65.817,59,37,33,49.0,26,27,442.55,59.116,20,2,7,7,1,23,0.648,44.1,22,6,0,1.002,6.8,7.501,3.4,0.677
6.638,28.75,28.481,43,46.036,41,29,27,39.5,14,17,386.42,42.538,16,4,1,5,2,19,0.695,34.1,17,10,1,1.038,12.2,9.425,9.8,0.701
4.273,28.602,28.287,41,43.482,39,29,27,39.5,12,17,405.84,40.76,16,3,1,5,2,19,0.725,30.8,17,10,2,1.045,12.8,10.406,7.7,0.733
6.155,29.364,27.091,39,42.179,38,25,24,33.0,14,14,425.41,39.247,10,2,4,6,5,11,0.713,36.8,6,10,5,1.033,7.9,11.195,5.3,0.773
5.0,32.409,31.806,51,52.784,47,33,29,43.5,18,22,391.43,47.869,17,3,5,4,2,19,0.677,38.3,17,7,0,1.018,6.4,8.328,6.4,0.69
7.387,33.574,32.325,52,53.574,48,33,29,44.0,19,21,409.5,48.76,16,3,5,3,5,17,0.673,39.6,12,8,1,1.016,8.3,8.531,6.3,0.699
6.747,32.813,31.798,49,51.159,46,32,29,45.0,17,21,407.48,46.876,16,3,3,4,5,18,0.691,37.0,12,8,1,1.019,8.7,8.858,6.5,0.713
5.615,36.097,34.379,56,59.405,53,33,30,44.0,23,22,425.55,53.527,16,3,6,4,5,17,0.649,43.4,12,8,1,1.01,7.5,8.029,5.7,0.681
4.301,29.506,28.986,44,46.953,42,29,27,39.5,15,18,385.43,43.32,16,3,2,6,2,19,0.69,35.7,17,9,1,1.031,11.9,9.177,7.1,0.703
6.804,34.58,33.346,54,56.072,50,34,30,45.0,20,21,424.52,50.862,16,4,5,4,5,17,0.667,40.0,12,9,1,1.017,8.0,8.49,8.0,0.692
6.108,58.938,56.525,93,98.854,88,54,49,71.0,39,39,662.82,88.461,28,4,11,9,3,31,0.642,44.3,28,10,0,1.005,5.7,7.532,4.5,0.67
5.921,29.608,29.308,43,45.98,41,30,28,40.5,13,17,420.86,42.862,16,4,1,4,5,16,0.715,31.7,11,11,2,1.045,12.2,10.265,9.8,0.722
4.301,30.75,30.481,46,48.036,43,32,29,44.5,14,19,410.44,44.538,18,4,1,5,2,23,0.709,32.6,21,10,1,1.036,11.6,9.545,9.3,0.715
4.936,20.761,20.67,30,31.0,28,22,20,31.0,8,13,288.3,29.24,13,2,0,2,1,17,0.738,28.6,16,7,1,1.044,14.3,10.296,7.1,0.741
5.509,50.557,47.616,79,82.268,74,45,40,60.0,34,35,530.71,73.323,26,2,9,7,1,29,0.643,45.9,28,5,0,0.991,4.1,7.172,2.7,0.683
6.313,40.142,37.486,65,70.065,62,34,31,42.0,31,23,445.64,62.061,10,3,13,5,5,11,0.605,50.0,6,8,1,1.001,6.5,7.188,4.8,0.647
4.301,19.398,19.063,32,35.325,31,18,17,22.0,14,11,238.27,31.814,5,2,6,2,1,7,0.615,45.2,6,6,0,1.026,12.9,7.686,6.5,0.626
5.721,17.006,17.164,25,27.083,24,18,17,24.5,7,9,253.26,25.458,9,3,0,2,1,12,0.715,29.2,11,8,1,1.061,16.7,10.553,12.5,0.709
6.538,28.199,28.174,42,44.747,40,29,27,39.5,13,17,387.4,41.764,16,3,1,6,2,19,0.704,32.5,17,10,1,1.044,15.0,9.685,7.5,0.705
