pXC50,SCBO,MW,RBN,nH,nSK,Sv,nBO,Se,Sp,Si,nBT,nAT,nCsp3,nHet,nO,nC,nDB,nAB,C.,H.,Mi,nCsp2,AMW,nN,Mv,RBF,nBM,Mp,nF,nCsp
7.06,62.5,579.77,10,33,42,49.012,46,74.945,51.904,83.481,79.0,75.0,7,8,4,34,3,27,45.3,44.0,1.113,27,7.73,3,0.653,0.127,30,0.692,0,0
8.409,71.5,667.85,12,37,48,55.012,52,85.687,57.586,95.311,89.0,85.0,8,12,6,36,6,27,42.4,43.5,1.121,28,7.857,5,0.647,0.135,33,0.677,0,0
5.721,61.0,607.75,13,33,43,48.673,46,77.247,50.517,85.69,79.0,76.0,8,13,7,30,3,24,39.5,43.4,1.128,22,7.997,5,0.64,0.165,27,0.665,0,0
8.523,53.0,585.85,12,43,41,49.877,44,84.01,53.415,95.347,87.0,84.0,18,11,5,30,4,10,35.7,51.2,1.135,12,6.974,5,0.594,0.138,14,0.636,0,0
9.0,66.0,681.87,14,35,47,52.903,51,83.527,55.176,92.607,86.0,82.0,10,16,7,31,3,24,37.8,42.7,1.129,21,8.315,7,0.645,0.163,27,0.673,0,0
9.051,71.5,667.85,13,37,48,55.012,52,85.687,57.586,95.311,89.0,85.0,8,12,6,36,6,27,42.4,43.5,1.121,28,7.857,5,0.647,0.146,33,0.677,0,0
8.268,78.5,717.91,13,39,52,59.538,57,91.57,62.347,101.726,96.0,91.0,8,12,6,40,5,33,44.0,42.9,1.118,32,7.889,5,0.654,0.135,38,0.685,0,0
6.009,26.5,286.76,3,11,18,19.836,19,30.004,20.688,32.565,30.0,29.0,2,7,3,11,2,11,37.9,37.9,1.123,9,9.888,2,0.684,0.1,13,0.713,0,0
9.699,57.0,564.58,11,28,41,45.238,45,70.971,45.659,77.116,73.0,69.0,8,11,11,30,3,18,43.5,40.6,1.118,22,8.182,0,0.656,0.151,21,0.662,0,0
6.959,27.5,386.06,3,7,19,20.162,20,27.673,21.136,28.935,27.0,26.0,1,9,3,10,2,11,38.5,26.9,1.113,9,14.848,2,0.775,0.111,13,0.813,0,0
8.553,28.5,424.13,4,12,20,22.586,21,33.022,24.296,35.719,33.0,32.0,3,8,3,12,2,11,37.5,37.5,1.116,9,13.254,2,0.706,0.121,13,0.759,0,0
8.721,70.5,653.82,12,35,47,53.485,51,82.803,55.824,91.896,86.0,82.0,7,12,6,35,6,27,42.7,42.7,1.121,28,7.973,5,0.652,0.14,33,0.681,0,0
6.796,26.5,335.17,3,8,18,18.89,19,27.538,19.358,29.387,27.0,26.0,1,8,3,10,2,11,38.5,30.8,1.13,9,12.891,2,0.727,0.111,13,0.745,1,0
5.119,35.5,328.42,4,16,23,26.062,25,39.447,27.352,43.451,41.0,39.0,2,6,3,17,2,17,43.6,41.0,1.114,15,8.421,2,0.668,0.098,19,0.701,0,0
8.42,35.5,348.83,4,13,23,25.363,25,36.887,26.449,39.98,38.0,36.0,1,7,3,16,2,17,44.4,36.1,1.111,15,9.69,2,0.705,0.105,19,0.735,0,0
6.071,57.5,596.82,13,40,42,50.044,44,82.352,53.103,92.643,84.0,82.0,13,11,6,31,5,17,37.8,48.8,1.13,18,7.278,4,0.61,0.155,22,0.648,0,0
8.638,77.5,703.88,12,37,51,58.012,56,88.687,60.586,98.311,93.0,88.0,7,12,6,39,5,33,44.3,42.0,1.117,32,7.999,5,0.659,0.129,38,0.688,0,0
5.721,29.5,312.38,5,16,21,23.492,22,38.102,24.261,41.87,38.0,37.0,4,8,5,13,2,11,35.1,43.2,1.132,9,8.443,2,0.635,0.132,13,0.656,0,0
8.208,29.5,373.3,5,17,21,24.614,22,38.56,26.466,42.708,39.0,38.0,5,7,3,14,2,11,36.8,44.7,1.124,9,9.824,2,0.648,0.128,13,0.696,0,0
6.854,27.5,474.96,3,7,19,20.557,20,27.484,22.125,28.73,27.0,26.0,1,9,3,10,2,11,38.5,26.9,1.105,9,18.268,2,0.791,0.111,13,0.851,0,0
5.004,35.5,328.42,4,16,23,26.062,25,39.447,27.352,43.451,41.0,39.0,2,6,3,17,2,17,43.6,41.0,1.114,15,8.421,2,0.668,0.098,19,0.701,0,0
6.553,27.5,321.2,3,10,19,20.663,20,30.327,21.545,32.509,30.0,29.0,2,8,3,11,2,11,37.9,34.5,1.121,9,11.076,2,0.713,0.1,13,0.743,0,0
7.208,27.5,386.06,3,7,19,20.162,20,27.673,21.136,28.935,27.0,26.0,1,9,3,10,2,11,38.5,26.9,1.113,9,14.848,2,0.775,0.111,13,0.813,0,0
6.796,35.5,348.83,4,13,23,25.363,25,36.887,26.449,39.98,38.0,36.0,1,7,3,16,2,17,44.4,36.1,1.111,15,9.69,2,0.705,0.105,19,0.735,0,0
7.538,28.5,424.13,4,12,20,22.586,21,33.022,24.296,35.719,33.0,32.0,3,8,3,12,2,11,37.5,37.5,1.116,9,13.254,2,0.706,0.121,13,0.759,0,0
7.807,29.5,373.3,5,17,21,24.614,22,38.56,26.466,42.708,39.0,38.0,5,7,3,14,2,11,36.8,44.7,1.124,9,9.824,2,0.648,0.128,13,0.696,0,0
8.785,57.5,596.82,13,40,42,50.044,44,82.352,53.103,92.643,84.0,82.0,13,11,6,31,5,17,37.8,48.8,1.13,18,7.278,4,0.61,0.155,22,0.648,0,0
7.143,28.5,426.1,4,10,20,21.774,21,31.465,22.989,33.513,31.0,30.0,2,9,4,11,2,11,36.7,33.3,1.117,9,14.203,2,0.726,0.129,13,0.766,0,0
7.398,26.5,396.07,3,8,18,19.532,19,27.255,20.773,28.889,27.0,26.0,1,8,3,10,2,11,38.5,30.8,1.111,9,15.233,2,0.751,0.111,13,0.799,0,0
4.276,28.5,294.41,3,18,20,23.589,21,38.331,25.114,42.866,39.0,38.0,5,6,3,14,2,11,36.8,47.4,1.128,9,7.748,2,0.621,0.077,13,0.661,0,0
6.004,27.5,300.79,3,13,19,21.363,20,32.887,22.449,35.98,33.0,32.0,3,7,3,12,2,11,37.5,40.6,1.124,9,9.4,2,0.668,0.091,13,0.702,0,0
6.301,25.5,252.32,3,12,17,19.008,18,29.68,19.83,32.621,30.0,29.0,2,6,3,11,2,11,37.9,41.4,1.125,9,8.701,2,0.655,0.1,13,0.684,0,0
6.921,26.5,331.21,3,11,18,20.034,19,29.909,21.182,32.462,30.0,29.0,2,7,3,11,2,11,37.9,37.9,1.119,9,11.421,2,0.691,0.1,13,0.73,0,0
5.0,60.0,619.84,16,45,45,53.932,47,90.145,56.983,102.052,92.0,90.0,15,11,6,34,5,16,37.8,50.0,1.134,19,6.887,5,0.599,0.174,21,0.633,0,0
6.699,86.0,882.13,24,59,64,74.995,67,123.959,78.381,139.377,126.0,123.0,19,17,10,47,8,22,38.2,48.0,1.133,28,7.172,7,0.61,0.19,30,0.637,0,0
6.032,72.0,750.89,21,46,54,61.527,56,101.883,63.262,113.597,102.0,100.0,15,17,11,37,8,16,37.0,46.0,1.136,22,7.509,6,0.615,0.206,24,0.633,0,0
4.387,50.0,439.55,6,25,33,38.003,37,58.007,39.756,64.69,62.0,58.0,5,6,3,27,2,22,46.6,43.1,1.115,22,7.578,3,0.655,0.097,24,0.685,0,0
5.569,84.0,901.18,25,64,65,77.268,67,129.836,81.114,146.334,131.0,129.0,22,17,11,48,8,18,37.2,49.6,1.134,26,6.986,6,0.599,0.191,26,0.629,0,0
5.745,85.0,887.16,24,62,64,75.543,67,126.945,79.148,143.291,129.0,126.0,22,18,10,46,8,20,36.5,49.2,1.137,24,7.041,8,0.6,0.186,28,0.628,0,0
6.514,35.0,413.34,4,13,23,25.747,25,36.869,27.591,39.798,38.0,36.0,2,8,3,15,2,16,41.7,36.1,1.105,13,11.482,2,0.715,0.105,18,0.766,0,0
6.854,89.0,924.22,25,65,67,79.575,70,132.61,83.666,149.623,135.0,132.0,22,17,10,50,8,22,37.9,49.2,1.134,28,7.002,7,0.603,0.185,30,0.634,0,0
6.939,40.0,483.49,7,23,28,33.381,30,51.287,36.398,56.874,53.0,51.0,7,8,3,20,2,16,39.2,45.1,1.115,13,9.48,2,0.655,0.132,18,0.714,0,0
7.886,50.0,476.53,7,24,35,38.642,38,60.207,39.364,66.402,62.0,59.0,6,10,6,25,3,18,42.4,40.7,1.125,19,8.077,4,0.655,0.113,21,0.667,0,0
7.762,57.0,543.06,7,27,39,44.094,43,66.643,45.835,73.757,70.0,66.0,6,9,4,30,2,24,45.5,40.9,1.118,24,8.228,4,0.668,0.1,26,0.694,0,0
6.37,86.0,882.13,24,59,64,74.995,67,123.959,78.381,139.377,126.0,123.0,19,17,10,47,8,22,38.2,48.0,1.133,28,7.172,7,0.61,0.19,30,0.637,0,0
5.0,80.0,863.14,26,62,62,73.543,64,124.945,77.148,141.291,126.0,124.0,22,18,10,44,8,16,35.5,50.0,1.139,22,6.961,8,0.593,0.206,24,0.622,0,0
6.74,39.0,469.46,7,21,27,31.855,29,48.403,34.637,53.458,50.0,48.0,6,8,3,19,2,16,39.6,43.8,1.114,13,9.78,2,0.664,0.14,18,0.722,0,0
4.437,34.0,399.31,4,11,22,24.221,24,33.985,25.83,36.382,35.0,33.0,1,8,3,14,2,16,42.4,33.3,1.102,13,12.1,2,0.734,0.114,18,0.783,0,0
4.481,53.0,468.55,6,24,35,39.213,39,59.552,40.455,65.983,63.0,59.0,4,8,4,27,3,22,45.8,40.7,1.118,23,7.942,4,0.665,0.095,25,0.686,0,0
6.181,79.0,849.11,25,60,61,72.016,63,122.061,75.387,137.876,123.0,121.0,21,18,10,43,8,16,35.5,49.6,1.139,22,7.017,8,0.595,0.203,24,0.623,0,0
7.886,89.0,925.21,26,64,67,79.07,70,131.828,82.91,148.706,134.0,131.0,21,18,10,49,8,22,37.4,48.9,1.135,28,7.063,8,0.604,0.194,30,0.633,0,0
5.228,58.0,577.49,8,26,40,45.12,44,66.974,46.898,73.329,70.0,66.0,5,9,5,31,2,24,47.0,39.4,1.111,26,8.75,2,0.684,0.114,26,0.711,0,0
6.276,48.0,428.46,4,20,32,35.557,36,52.8,36.341,57.408,56.0,52.0,5,6,6,26,3,18,50.0,38.5,1.104,21,8.24,0,0.684,0.071,21,0.699,0,0
8.229,57.0,526.61,7,27,39,43.65,43,66.832,44.915,74.153,70.0,66.0,6,9,4,30,2,24,45.5,40.9,1.124,24,7.979,4,0.661,0.1,26,0.681,1,0
4.77,52.5,465.59,7,27,35,40.53,39,61.891,42.517,69.106,66.0,62.0,5,6,3,29,2,23,46.8,43.5,1.115,24,7.51,3,0.654,0.106,25,0.686,0,0
8.051,57.0,522.65,7,30,39,44.793,43,69.203,46.739,77.228,73.0,69.0,7,8,4,31,2,24,44.9,43.5,1.119,24,7.575,4,0.649,0.096,26,0.677,0,0
6.0,86.5,898.18,24,63,65,77.048,68,128.726,80.904,145.208,131.0,128.0,22,17,10,48,8,21,37.5,49.2,1.134,26,7.017,7,0.602,0.183,29,0.632,0,0
4.097,53.0,468.55,6,24,35,39.213,39,59.552,40.455,65.983,63.0,59.0,4,8,4,27,3,22,45.8,40.7,1.118,23,7.942,4,0.665,0.095,25,0.686,0,0
4.319,48.0,428.46,4,20,32,35.557,36,52.8,36.341,57.408,56.0,52.0,5,6,6,26,3,18,50.0,38.5,1.104,21,8.24,0,0.684,0.071,21,0.699,0,0
5.0,75.0,806.08,23,59,58,69.28,60,117.632,72.927,133.168,119.0,117.0,21,16,9,42,7,16,35.9,50.4,1.138,21,6.89,7,0.592,0.193,23,0.623,0,0
5.0,77.0,783.03,20,54,57,67.49,60,111.436,70.944,125.63,114.0,111.0,17,14,8,43,6,22,38.7,48.6,1.132,26,7.054,6,0.608,0.175,28,0.639,0,0
5.041,70.0,734.94,20,50,53,62.151,55,103.996,64.875,117.009,105.0,103.0,17,15,9,38,7,16,36.9,48.5,1.136,21,7.135,6,0.603,0.19,23,0.63,0,0
4.854,78.0,851.14,23,58,60,71.16,62,118.934,75.023,133.799,120.0,118.0,21,17,10,43,8,16,36.4,49.2,1.134,22,7.213,6,0.603,0.192,24,0.636,0,0
7.77,88.0,910.19,24,63,66,78.048,69,129.726,81.904,146.208,132.0,129.0,21,17,10,49,8,22,38.0,48.8,1.133,28,7.056,7,0.605,0.182,30,0.635,0,0
6.65,59.5,621.81,7,43,45,53.12,48,88.589,55.677,99.846,91.0,88.0,17,12,7,33,6,11,37.5,48.9,1.135,16,7.066,5,0.604,0.077,17,0.633,0,0
7.368,38.0,455.43,6,19,26,30.328,28,45.52,32.875,50.043,47.0,45.0,5,8,3,18,2,16,40.0,42.2,1.112,13,10.121,2,0.674,0.128,18,0.731,0,0
5.0,77.0,768.95,20,48,56,64.624,59,105.112,67.114,117.594,107.0,104.0,14,15,9,41,7,22,39.4,46.2,1.131,27,7.394,6,0.621,0.187,29,0.645,0,0
4.081,54.5,479.57,6,25,36,40.718,40,61.334,42.21,67.9,65.0,61.0,4,7,4,29,3,23,47.5,41.0,1.113,25,7.862,3,0.668,0.092,26,0.692,0,0
8.131,61.0,566.66,9,30,42,47.223,46,72.858,48.648,80.647,76.0,72.0,7,10,6,32,3,24,44.4,41.7,1.12,25,7.87,4,0.656,0.118,27,0.676,0,0
8.523,68.0,614.75,9,34,46,52.562,51,80.298,54.716,89.268,85.0,80.0,7,9,5,37,2,30,46.3,42.5,1.116,30,7.684,4,0.657,0.106,32,0.684,0,0
9.301,67.0,691.79,16,41,50,57.135,54,92.701,58.688,102.315,95.0,91.0,14,13,12,37,4,18,40.7,45.1,1.124,23,7.602,1,0.628,0.168,22,0.645,0,0
6.456,48.0,426.49,4,22,32,36.369,36,54.356,37.648,59.614,58.0,54.0,6,5,5,27,3,18,50.0,40.7,1.104,21,7.898,0,0.673,0.069,21,0.697,0,0
7.991,60.0,568.68,9,32,42,47.75,46,74.741,49.409,83.062,78.0,74.0,8,10,6,32,2,24,43.2,43.2,1.122,24,7.685,4,0.645,0.115,26,0.668,0,0
4.481,58.0,491.52,6,21,37,40.578,43,58.902,41.347,63.907,64.0,58.0,4,7,6,30,1,28,51.7,36.2,1.102,26,8.474,1,0.7,0.094,29,0.713,0,0
4.602,42.0,357.43,5,19,27,30.907,30,46.036,32.222,50.863,49.0,46.0,3,4,3,23,1,22,50.0,41.3,1.106,20,7.77,1,0.672,0.102,23,0.7,0,0
8.668,55.0,528.65,12,32,39,45.234,42,71.421,47.159,79.481,74.0,71.0,8,8,6,31,1,24,43.7,45.1,1.119,23,7.446,2,0.637,0.162,25,0.664,0,0
4.244,54.0,447.51,6,21,34,38.149,39,55.247,39.438,60.488,60.0,55.0,3,5,4,29,1,28,52.7,38.2,1.1,26,8.137,1,0.694,0.1,29,0.717,0,0
7.604,62.0,606.65,8,29,44,48.185,48,74.952,48.767,82.872,77.0,73.0,8,12,5,32,2,24,43.8,39.7,1.135,24,8.31,4,0.66,0.104,26,0.668,3,0
8.337,58.0,538.65,8,30,40,45.508,44,70.531,47.193,78.438,74.0,70.0,7,9,5,31,2,24,44.3,42.9,1.121,24,7.695,4,0.65,0.108,26,0.674,0,0
5.678,86.0,882.13,24,59,64,74.995,67,123.959,78.381,139.377,126.0,123.0,19,17,10,47,8,22,38.2,48.0,1.133,28,7.172,7,0.61,0.19,30,0.637,0,0
7.602,51.0,468.59,10,28,35,40.75,38,63.0,42.728,70.232,66.0,63.0,6,6,4,29,1,24,46.0,44.4,1.115,23,7.438,2,0.647,0.152,25,0.678,0,0
8.201,59.0,552.68,8,32,41,47.035,45,73.414,48.955,81.853,77.0,73.0,8,9,5,32,2,24,43.8,43.8,1.121,24,7.571,4,0.644,0.104,26,0.671,0,0
8.194,57.0,587.51,7,27,39,44.292,43,66.549,46.33,73.655,70.0,66.0,6,9,4,30,2,24,45.5,40.9,1.116,24,8.902,4,0.671,0.1,26,0.702,0,0
5.151,83.0,885.18,25,64,64,76.554,66,128.508,80.66,145.125,130.0,128.0,22,16,10,48,8,18,37.5,50.0,1.134,26,6.915,6,0.598,0.192,26,0.63,0,0
6.602,57.0,554.74,13,38,41,49.099,44,78.745,51.989,88.517,82.0,79.0,11,7,5,34,1,24,43.0,48.1,1.12,23,7.022,2,0.622,0.159,25,0.658,0,0
4.602,54.0,534.43,3,16,38,38.669,42,57.432,37.273,61.652,58.0,54.0,6,11,5,27,3,18,50.0,29.6,1.142,21,9.897,0,0.716,0.052,21,0.69,6,0
5.0,57.0,561.49,7,26,39,44.405,43,65.647,46.443,72.12,69.0,65.0,5,8,4,31,2,24,47.7,40.0,1.11,26,8.638,2,0.683,0.101,26,0.715,0,0
6.174,91.0,940.17,26,61,68,78.951,71,130.497,82.052,146.211,132.0,129.0,20,19,12,49,9,22,38.0,47.3,1.133,29,7.288,7,0.612,0.197,31,0.636,0,0
7.772,68.0,653.6,8,30,46,51.975,51,76.734,54.216,84.532,81.0,76.0,6,10,4,36,2,30,47.4,39.5,1.112,30,8.6,4,0.684,0.099,32,0.713,0,0
6.979,59.0,570.69,12,34,42,48.475,46,76.632,50.375,85.106,80.0,76.0,10,9,7,33,1,24,43.4,44.7,1.12,23,7.509,2,0.638,0.15,25,0.663,0,0
8.222,58.0,544.6,7,26,40,44.033,44,67.345,44.853,74.493,70.0,66.0,6,10,4,30,2,24,45.5,39.4,1.129,24,8.252,4,0.667,0.1,26,0.68,2,0
7.688,48.0,460.58,7,28,34,39.266,37,62.32,40.978,69.813,65.0,62.0,8,8,4,26,2,18,41.9,45.2,1.126,18,7.429,4,0.633,0.108,20,0.661,0,0
7.406,60.0,600.77,15,40,44,52.056,47,84.283,54.659,94.351,87.0,84.0,12,9,7,35,1,24,41.7,47.6,1.123,23,7.152,2,0.62,0.172,25,0.651,0,0
6.416,46.0,434.49,6,22,32,35.401,35,54.996,36.148,60.777,57.0,54.0,5,9,5,23,2,18,42.6,40.7,1.126,18,8.046,4,0.656,0.105,20,0.669,0,0
8.041,60.0,576.62,7,27,42,45.943,46,70.741,46.551,78.248,73.0,69.0,7,11,4,31,2,24,44.9,39.1,1.134,24,8.357,4,0.666,0.096,26,0.675,3,0
8.625,56.0,544.65,13,32,40,45.948,43,72.749,47.614,80.69,75.0,72.0,8,9,7,31,1,24,43.1,44.4,1.121,23,7.565,2,0.638,0.173,25,0.661,0,0
5.699,51.5,445.53,5,19,32,35.325,36,51.76,36.574,56.574,55.0,51.0,2,8,4,24,2,27,47.1,37.3,1.109,22,8.736,3,0.693,0.091,29,0.717,0,0
9.456,63.0,635.67,14,33,46,51.028,50,81.167,51.642,88.654,83.0,79.0,10,13,12,33,4,18,41.8,41.8,1.122,23,8.046,1,0.646,0.169,22,0.654,0,0
5.7,85.0,882.18,24,63,64,76.333,67,127.399,80.45,143.998,130.0,127.0,21,16,9,48,7,22,37.8,49.6,1.134,27,6.946,7,0.601,0.185,29,0.633,0,0
7.654,88.0,910.19,24,63,66,78.048,69,129.726,81.904,146.208,132.0,129.0,21,17,10,49,8,22,38.0,48.8,1.133,28,7.056,7,0.605,0.182,30,0.635,0,0
4.602,58.0,503.63,7,29,38,44.256,43,66.781,46.483,74.149,72.0,67.0,7,5,4,33,1,28,49.3,43.3,1.107,26,7.517,1,0.661,0.097,29,0.694,0,0
7.306,85.0,880.21,23,65,64,77.145,67,128.955,81.757,146.204,132.0,129.0,22,15,8,49,7,22,38.0,50.4,1.133,27,6.823,7,0.598,0.174,29,0.634,0,0
8.102,69.0,638.69,8,29,47,51.47,52,77.625,52.313,85.663,81.0,76.0,6,11,4,36,2,30,47.4,38.2,1.127,30,8.404,4,0.677,0.099,32,0.688,3,0
7.721,45.0,409.5,6,19,29,32.325,32,48.76,33.574,53.574,51.0,48.0,3,8,4,21,2,22,43.8,39.6,1.116,18,8.531,3,0.673,0.118,24,0.699,0,0
8.046,57.0,563.6,10,29,41,45.545,45,71.745,46.21,78.405,74.0,70.0,8,11,10,30,3,18,42.9,41.4,1.12,22,8.051,1,0.651,0.135,21,0.66,0,0
8.721,48.0,459.58,8,29,34,39.971,38,63.109,41.938,70.358,67.0,63.0,10,6,5,28,1,18,44.4,46.0,1.117,18,7.295,1,0.634,0.119,19,0.666,0,0
9.319,53.0,500.59,10,28,37,42.18,40,65.654,43.637,72.651,68.0,65.0,6,8,6,29,1,24,44.6,43.1,1.118,23,7.701,2,0.649,0.147,25,0.671,0,0
5.367,44.0,371.41,4,17,28,31.095,32,45.48,31.915,49.658,49.0,45.0,3,5,4,23,1,22,51.1,37.8,1.104,20,8.254,1,0.691,0.082,23,0.709,0,0
8.155,47.0,446.54,7,26,33,37.938,37,59.443,39.421,66.026,63.0,59.0,8,7,5,26,1,18,44.1,44.1,1.119,18,7.568,2,0.643,0.111,19,0.668,0,0
9.097,60.0,589.64,12,31,43,48.071,47,75.629,48.972,82.82,78.0,74.0,8,11,10,32,4,18,43.2,41.9,1.119,24,7.968,1,0.65,0.154,22,0.662,0,0
9.036,47.0,447.52,7,25,33,37.632,37,58.669,38.869,64.737,62.0,58.0,8,7,6,26,1,18,44.8,43.1,1.116,18,7.716,1,0.649,0.113,19,0.67,0,0
7.495,54.0,494.63,10,30,37,43.277,40,66.883,45.489,74.647,70.0,67.0,6,6,4,31,2,24,46.3,44.8,1.114,25,7.383,2,0.646,0.143,26,0.679,0,0
6.0,86.5,898.18,24,63,65,77.048,68,128.726,80.904,145.208,131.0,128.0,22,17,10,48,8,21,37.5,49.2,1.134,26,7.017,7,0.602,0.183,29,0.632,0,0
6.824,49.0,461.5,7,23,34,37.82,38,58.113,38.563,63.531,61.0,57.0,7,8,7,26,2,18,45.6,40.4,1.115,19,8.096,1,0.664,0.115,20,0.677,0,0
8.975,46.5,498.69,13,38,36,43.615,39,74.065,46.239,84.099,77.0,74.0,16,9,5,27,2,11,36.5,51.4,1.136,11,6.739,4,0.589,0.169,13,0.625,0,0
7.959,45.0,409.5,5,19,29,32.325,32,48.76,33.574,53.574,51.0,48.0,3,8,4,21,2,22,43.8,39.6,1.116,18,8.531,3,0.673,0.098,24,0.699,0,0
9.0,75.5,703.79,12,37,52,58.652,58,90.28,60.256,99.066,95.0,89.0,9,11,10,41,3,29,46.1,41.6,1.113,32,7.908,1,0.659,0.126,32,0.677,0,0
6.81,58.0,570.74,14,38,42,49.814,45,80.072,52.444,89.727,83.0,80.0,11,8,6,34,1,24,42.5,47.5,1.122,23,7.134,2,0.623,0.169,25,0.656,0,0
6.319,90.0,938.25,26,67,68,81.102,71,135.494,85.427,153.038,138.0,135.0,23,17,10,51,8,22,37.8,49.6,1.134,28,6.95,7,0.601,0.188,30,0.633,0,0
9.42,51.0,564.74,13,37,39,46.099,42,76.989,48.483,86.196,79.0,76.0,15,11,7,28,3,12,36.8,48.7,1.134,13,7.431,2,0.607,0.165,15,0.638,1,0
9.26,47.0,447.52,7,25,33,37.632,37,58.669,38.869,64.737,62.0,58.0,8,7,6,26,1,18,44.8,43.1,1.116,18,7.716,1,0.649,0.113,19,0.67,0,0
9.0,44.0,500.75,13,44,36,45.68,38,79.396,49.273,90.763,82.0,80.0,19,7,5,29,3,6,36.3,55.0,1.135,10,6.259,2,0.571,0.159,9,0.616,0,0
6.398,80.0,864.12,24,61,62,73.236,64,124.17,76.597,140.002,125.0,123.0,22,18,11,44,8,16,35.8,49.6,1.138,22,7.025,7,0.595,0.192,24,0.623,0,0
6.886,85.0,887.16,24,62,64,75.543,67,126.945,79.148,143.291,129.0,126.0,22,18,10,46,8,20,36.5,49.2,1.137,24,7.041,8,0.6,0.186,28,0.628,0,0
9.26,51.0,585.15,12,34,39,45.4,42,74.429,47.58,82.725,76.0,73.0,14,12,7,27,3,12,37.0,46.6,1.133,13,8.016,2,0.622,0.158,15,0.652,1,0
4.495,29.5,277.33,3,11,19,20.503,20,30.898,21.074,33.704,31.0,30.0,2,7,3,12,2,11,40.0,36.7,1.123,9,9.244,3,0.683,0.097,14,0.702,0,1
9.367,43.0,454.94,6,15,29,31.221,32,45.829,32.222,48.943,47.0,44.0,4,11,6,18,3,16,40.9,34.1,1.112,14,10.34,2,0.71,0.128,19,0.732,0,0
5.553,79.0,848.12,24,61,61,72.521,63,122.843,76.143,138.793,124.0,122.0,22,17,10,44,8,16,36.1,50.0,1.138,22,6.952,7,0.594,0.194,24,0.624,0,0
5.891,85.0,880.21,24,65,64,77.145,67,128.955,81.757,146.204,132.0,129.0,22,15,8,49,7,22,38.0,50.4,1.133,27,6.823,7,0.598,0.182,29,0.634,0,0
5.149,85.0,864.16,13,61,63,75.092,67,124.188,79.234,140.374,128.0,124.0,21,15,8,48,7,22,38.7,49.2,1.132,27,6.969,7,0.606,0.102,29,0.639,0,0
5.495,82.0,906.26,24,71,65,79.155,69,136.261,83.95,154.869,140.0,136.0,32,17,10,48,8,10,35.3,52.2,1.139,16,6.664,7,0.582,0.171,18,0.617,0,0
5.0,80.0,876.23,23,69,63,76.914,65,132.05,81.734,150.244,134.0,132.0,26,16,9,47,7,16,35.6,52.3,1.138,21,6.638,7,0.583,0.172,23,0.619,0,0
5.403,50.0,492.57,8,28,36,40.895,39,64.982,42.091,71.86,67.0,64.0,7,9,7,27,2,18,42.2,43.8,1.123,20,7.696,2,0.639,0.119,20,0.658,0,0
8.237,57.0,543.06,7,27,39,44.094,43,66.643,45.835,73.757,70.0,66.0,6,9,4,30,2,24,45.5,40.9,1.118,24,8.228,4,0.668,0.1,26,0.694,0,0
6.951,55.0,544.71,8,36,40,47.088,44,76.181,49.478,85.683,80.0,76.0,13,9,5,31,2,18,40.8,47.4,1.127,18,7.167,4,0.62,0.1,20,0.651,0,0
6.08,35.0,413.34,4,13,23,25.747,25,36.869,27.591,39.798,38.0,36.0,2,8,3,15,2,16,41.7,36.1,1.105,13,11.482,2,0.715,0.105,18,0.766,0,0
7.085,38.0,455.43,6,19,26,30.328,28,45.52,32.875,50.043,47.0,45.0,5,8,3,18,2,16,40.0,42.2,1.112,13,10.121,2,0.674,0.128,18,0.731,0,0
8.161,48.0,462.55,7,26,34,38.454,37,60.763,39.671,67.607,63.0,60.0,7,9,5,25,2,18,41.7,43.3,1.127,18,7.709,4,0.641,0.111,20,0.661,0,0
7.318,89.0,924.22,25,65,67,79.575,70,132.61,83.666,149.623,135.0,132.0,22,17,10,50,8,22,37.9,49.2,1.134,28,7.002,7,0.603,0.185,30,0.634,0,0
6.0,86.0,902.16,15,51,63,72.262,67,115.578,75.631,128.557,118.0,114.0,16,19,10,44,8,22,38.6,44.7,1.128,28,7.914,7,0.634,0.127,30,0.663,0,0
6.354,52.0,522.6,9,30,38,43.136,41,69.192,44.307,76.485,71.0,68.0,8,10,8,28,2,18,41.2,44.1,1.125,20,7.685,2,0.634,0.127,20,0.652,0,0
5.0,91.0,940.17,26,61,68,78.951,71,130.497,82.052,146.211,132.0,129.0,20,19,12,49,9,22,38.0,47.3,1.133,29,7.288,7,0.612,0.197,31,0.636,0,0
8.959,58.0,544.6,7,26,40,44.033,44,67.345,44.853,74.493,70.0,66.0,6,10,4,30,2,24,45.5,39.4,1.129,24,8.252,4,0.667,0.1,26,0.68,2,0
5.47,34.0,399.31,4,11,22,24.221,24,33.985,25.83,36.382,35.0,33.0,1,8,3,14,2,16,42.4,33.3,1.102,13,12.1,2,0.734,0.114,18,0.783,0,0
8.602,59.0,562.59,7,25,41,44.416,45,67.858,44.79,74.832,70.0,66.0,6,11,4,30,2,24,45.5,37.9,1.134,24,8.524,4,0.673,0.1,26,0.679,3,0
6.797,38.0,455.43,7,19,26,30.328,28,45.52,32.875,50.043,47.0,45.0,5,8,3,18,2,16,40.0,42.2,1.112,13,10.121,2,0.674,0.149,18,0.731,0,0
5.222,89.0,923.24,25,66,67,79.882,70,133.385,84.217,150.912,136.0,133.0,22,17,9,50,8,22,37.6,49.6,1.135,28,6.942,8,0.601,0.184,30,0.633,0,0
