pXC50,nX,Mi,nBO,nSK,X.,SCBO,nF,nBT,Si,nAT,nDB,nN,MW,nCL,nHet,C.,nC,Sp,Se,Sv,N.,RBF,nAB,Me,nH,RBN,nHM,H.
5.301,0,1.123,27,25,0.0,34.0,0,46.0,49.412,44.0,4,1,365.44,0,8,38.6,17,29.233,45.094,28.239,2.3,0.13,6,1.025,19,6,1,43.2
9.155,3,1.141,43,41,4.4,57.0,3,70.0,77.586,68.0,8,4,592.65,0,14,39.7,27,45.108,70.472,44.56,5.9,0.143,12,1.036,27,10,1,39.7
6.716,3,1.162,34,33,4.5,38.0,3,67.0,76.703,66.0,4,4,478.58,0,12,31.8,21,39.29,67.719,38.238,6.1,0.104,0,1.026,33,7,0,50.0
5.398,0,1.117,35,32,0.0,46.0,0,58.0,61.451,55.0,5,1,457.54,0,9,41.8,23,37.21,56.189,36.007,1.8,0.138,12,1.022,23,8,1,41.8
4.301,3,1.168,28,27,7.0,34.0,3,44.0,50.221,43.0,6,3,415.39,0,14,30.2,13,26.75,46.28,27.619,7.0,0.091,0,1.076,16,4,1,37.2
4.699,0,1.111,21,19,0.0,27.0,0,34.0,35.538,32.0,3,1,275.35,0,5,43.8,14,22.585,32.462,21.514,3.1,0.118,6,1.014,13,4,1,40.6
5.699,0,1.12,26,24,0.0,32.0,0,47.0,50.408,45.0,3,1,347.47,0,6,40.0,18,30.085,45.323,28.336,2.2,0.149,6,1.007,21,7,1,46.7
5.523,6,1.193,28,27,15.4,33.0,6,40.0,46.533,39.0,5,2,426.33,0,15,30.8,12,24.102,43.389,26.033,5.1,0.1,0,1.113,12,4,1,30.8
5.398,0,1.118,33,30,0.0,43.0,0,56.0,59.242,53.0,4,1,429.53,0,8,41.5,22,35.756,53.862,34.292,1.9,0.125,12,1.016,23,7,1,43.4
4.699,0,1.139,19,18,0.0,23.0,0,34.0,37.581,33.0,4,1,277.33,0,8,30.3,10,20.71,34.327,20.185,3.0,0.088,0,1.04,15,3,1,45.5
8.523,2,1.148,39,38,2.7,47.0,2,75.0,84.987,74.0,5,4,538.66,0,12,35.1,26,45.569,75.418,44.097,5.4,0.16,6,1.019,36,12,0,48.6
4.658,3,1.162,31,29,6.4,37.0,3,49.0,54.637,47.0,6,3,441.43,0,14,31.9,15,29.511,50.163,30.146,6.4,0.061,0,1.067,18,3,1,38.3
5.699,0,1.127,27,25,0.0,34.0,0,48.0,51.827,46.0,4,1,367.46,0,8,37.0,17,29.994,46.978,28.765,2.2,0.125,6,1.021,21,6,1,45.7
7.745,3,1.133,54,51,3.6,73.0,3,87.0,95.171,84.0,10,4,746.85,0,17,40.5,34,56.949,86.854,55.757,4.8,0.138,18,1.034,33,12,2,39.3
6.0,0,1.126,32,30,0.0,41.0,0,55.0,59.661,53.0,6,1,437.51,0,10,37.7,20,34.665,54.516,33.722,1.9,0.145,6,1.029,23,8,1,43.4
9.161,0,1.127,27,25,0.0,34.0,0,49.0,52.986,47.0,4,2,342.43,0,6,40.4,19,30.443,47.349,29.17,4.3,0.102,6,1.007,22,5,0,46.8
4.022,5,1.161,43,41,6.9,51.0,5,74.0,83.591,72.0,5,4,590.61,0,15,36.1,26,44.62,75.072,44.72,5.6,0.122,6,1.043,31,9,0,43.1
7.796,3,1.149,46,44,3.6,55.0,3,85.0,95.367,83.0,6,4,624.73,0,14,36.1,30,51.483,85.025,50.248,4.8,0.118,6,1.024,39,10,0,47.0
4.398,0,1.134,24,23,0.0,30.0,0,43.0,47.621,42.0,6,1,345.41,0,9,33.3,14,26.688,43.422,25.953,2.4,0.14,0,1.034,19,6,1,45.2
6.62,5,1.158,47,45,6.0,55.0,5,86.0,97.252,84.0,5,4,646.73,0,15,35.7,30,51.665,86.607,50.827,4.8,0.116,6,1.031,39,10,0,46.4
6.11,0,1.138,17,16,0.0,22.0,0,30.0,32.99,29.0,2,3,219.27,0,5,37.9,11,18.733,29.378,18.128,10.3,0.067,6,1.013,13,2,0,44.8
4.301,0,1.13,34,32,0.0,43.0,0,63.0,68.94,61.0,3,3,439.56,0,8,39.3,24,39.188,61.429,37.487,4.9,0.159,12,1.007,29,10,0,47.5
6.469,5,1.158,47,45,6.0,55.0,5,86.0,97.252,84.0,5,4,646.73,0,15,35.7,30,51.665,86.607,50.827,4.8,0.116,6,1.031,39,10,0,46.4
4.301,0,1.13,34,32,0.0,43.0,0,63.0,68.94,61.0,3,3,439.56,0,8,39.3,24,39.188,61.429,37.487,4.9,0.19,12,1.007,29,12,0,47.5
4.238,0,1.128,19,17,0.0,24.0,0,28.0,29.336,26.0,5,1,259.26,0,8,34.6,9,17.426,27.676,17.605,3.8,0.036,0,1.064,9,1,1,34.6
5.624,0,1.135,22,21,0.0,27.0,0,41.0,45.412,40.0,5,1,317.4,0,8,32.5,13,25.233,41.094,24.239,2.5,0.098,0,1.027,19,4,1,47.5
4.027,0,1.142,13,13,0.0,16.0,0,24.0,27.412,24.0,3,1,185.2,0,5,33.3,8,14.631,24.829,14.515,4.2,0.083,0,1.035,11,2,0,45.8
7.222,1,1.142,25,24,2.4,31.0,1,43.0,47.961,42.0,6,1,363.4,0,10,33.3,14,26.625,43.934,26.337,2.4,0.14,0,1.046,18,6,1,42.9
6.027,0,1.121,30,28,0.0,38.0,0,53.0,57.162,51.0,5,1,425.57,0,9,37.3,19,34.404,51.938,32.479,2.0,0.132,6,1.018,23,7,2,45.1
5.26,5,1.158,46,44,6.2,54.0,5,83.0,93.837,81.0,5,4,632.7,0,15,35.8,29,49.904,83.723,49.3,4.9,0.12,6,1.034,37,10,0,45.7
4.553,0,1.136,29,28,0.0,35.0,0,56.0,62.491,55.0,6,1,417.53,0,10,32.7,18,34.188,56.283,32.775,1.8,0.161,0,1.023,27,9,1,49.1
4.301,0,1.139,27,26,0.0,34.0,0,45.0,50.123,44.0,7,2,390.41,0,12,31.8,14,27.841,46.295,27.878,4.5,0.178,0,1.052,18,8,1,40.9
7.222,3,1.157,52,52,3.0,61.0,3,101.0,116.862,101.0,9,6,750.87,0,20,31.7,32,60.358,104.072,59.257,5.9,0.198,0,1.03,49,20,0,48.5
4.62,0,1.135,27,26,0.0,33.0,0,52.0,57.867,51.0,6,1,387.5,0,9,33.3,17,31.972,52.073,30.534,2.0,0.154,0,1.021,25,8,1,49.0
5.009,5,1.167,37,36,7.1,41.0,5,71.0,81.714,70.0,4,3,527.6,0,13,32.9,23,41.682,72.41,41.037,4.3,0.127,0,1.034,34,9,0,48.6
7.541,0,1.132,45,41,0.0,54.0,0,85.0,91.723,81.0,3,4,564.75,0,10,38.3,31,51.455,81.276,48.857,4.9,0.106,12,1.003,40,9,0,49.4
4.292,0,1.125,31,29,0.0,40.0,0,55.0,59.611,53.0,3,2,396.48,0,7,41.5,22,34.659,53.56,33.412,3.8,0.127,12,1.011,24,7,0,45.3
6.432,0,1.127,28,26,0.0,36.0,0,50.0,54.116,48.0,5,2,378.49,0,8,37.5,18,31.546,48.753,30.072,4.2,0.12,6,1.016,22,6,1,45.8
4.398,0,1.136,28,27,0.0,34.0,0,53.0,59.076,52.0,6,1,403.5,0,10,32.7,17,32.426,53.4,31.249,1.9,0.17,0,1.027,25,9,1,48.1
4.0,0,1.125,20,19,0.0,23.0,0,37.0,40.498,36.0,3,1,303.44,0,7,33.3,12,24.21,36.633,22.469,2.8,0.108,0,1.018,17,4,2,47.2
4.699,0,1.117,24,22,0.0,30.0,0,43.0,45.783,41.0,3,1,317.44,0,5,41.5,17,27.87,41.113,26.094,2.4,0.116,6,1.003,19,5,1,46.3
7.0,5,1.151,52,49,5.7,63.0,5,91.0,101.252,88.0,5,4,694.77,0,15,38.6,34,55.665,90.607,54.827,4.5,0.11,12,1.03,39,10,0,44.3
7.155,5,1.156,46,44,6.3,54.0,5,81.0,91.342,79.0,5,4,650.74,0,16,35.4,28,49.79,81.916,48.96,5.1,0.123,6,1.037,35,10,1,44.3
6.0,0,1.139,31,30,0.0,38.0,0,57.0,63.784,56.0,7,2,446.53,0,12,32.1,18,34.886,57.829,33.985,3.6,0.175,0,1.033,26,10,1,46.4
7.0,0,1.126,34,32,0.0,44.0,0,55.0,59.664,53.0,7,1,467.49,0,12,37.7,20,34.812,55.287,34.625,1.9,0.182,6,1.043,21,10,1,39.6
4.301,0,1.139,26,25,0.0,33.0,0,42.0,46.708,41.0,7,2,376.38,0,12,31.7,13,26.079,43.411,26.351,4.9,0.167,0,1.059,16,7,1,39.0
5.377,5,1.158,37,36,7.5,44.0,5,68.0,77.591,67.0,4,2,518.58,0,11,37.3,25,41.461,69.098,40.774,3.0,0.147,6,1.031,31,10,0,46.3
4.301,0,1.116,37,34,0.0,49.0,0,62.0,65.82,59.0,3,3,475.61,0,8,44.1,26,40.858,59.411,38.905,5.1,0.161,18,1.007,25,10,1,42.4
5.398,0,1.138,27,26,0.0,34.0,0,47.0,52.329,46.0,7,2,388.44,0,11,32.6,15,29.148,47.851,28.69,4.3,0.149,0,1.04,20,7,1,43.5
6.508,0,1.124,32,30,0.0,42.0,0,55.0,59.581,53.0,7,1,457.57,0,11,35.8,19,35.313,54.593,33.909,1.9,0.127,6,1.03,23,7,2,43.4
5.699,0,1.134,26,25,0.0,32.0,0,49.0,54.451,48.0,6,1,373.47,0,9,33.3,16,30.21,49.189,29.007,2.1,0.143,0,1.025,23,7,1,47.9
4.301,0,1.13,34,32,0.0,43.0,0,63.0,68.94,61.0,3,3,439.56,0,8,39.3,24,39.188,61.429,37.487,4.9,0.175,12,1.007,29,11,0,47.5
6.301,0,1.136,28,27,0.0,35.0,0,47.0,52.249,46.0,7,1,405.42,0,12,32.6,15,29.051,48.404,29.098,2.2,0.213,0,1.052,19,10,1,41.3
4.959,0,1.125,43,39,0.0,48.0,0,88.0,94.52,84.0,2,1,575.91,0,8,36.9,31,54.324,83.33,49.559,1.2,0.102,6,0.992,45,9,2,53.6
6.523,0,1.134,27,26,0.0,34.0,0,46.0,51.04,45.0,7,1,389.42,0,11,33.3,15,28.597,47.076,28.383,2.2,0.174,0,1.046,19,8,1,42.2
4.119,0,1.124,40,36,0.0,45.0,0,77.0,82.068,73.0,2,1,535.79,0,9,37.0,27,47.733,73.123,44.167,1.4,0.091,6,1.002,37,7,2,50.7
5.301,0,1.127,30,28,0.0,39.0,0,50.0,54.119,48.0,6,2,408.47,0,10,37.5,18,31.693,49.524,30.975,4.2,0.14,6,1.032,20,7,1,41.7
7.0,0,1.128,31,29,0.0,40.0,0,53.0,57.534,51.0,6,2,422.5,0,10,37.3,19,33.455,52.407,32.502,3.9,0.132,6,1.028,22,7,1,43.1
10.522,2,1.111,29,27,4.8,39.0,0,44.0,46.675,42.0,4,1,428.31,2,9,42.9,18,30.733,43.531,29.652,2.4,0.114,12,1.036,15,5,3,35.7
4.745,0,1.125,41,37,0.0,46.0,0,80.0,85.484,76.0,2,1,549.82,0,9,36.8,28,49.495,76.007,45.694,1.3,0.088,6,1.0,39,7,2,51.3
4.398,0,1.126,34,32,0.0,43.5,0,58.0,63.079,56.0,7,2,484.6,0,12,35.7,20,37.318,57.694,35.93,3.6,0.155,5,1.03,24,9,2,42.9
7.398,1,1.132,25,24,2.4,31.0,0,43.0,47.565,42.0,6,1,379.85,1,10,33.3,14,27.545,43.745,26.781,2.4,0.14,0,1.042,18,6,2,42.9
7.538,0,1.131,30,28,0.0,36.0,0,62.0,67.853,60.0,3,2,384.57,0,5,38.3,23,37.796,59.44,35.089,3.3,0.161,6,0.991,32,10,0,53.3
4.301,0,1.135,22,21,0.0,28.0,0,35.0,38.585,34.0,6,1,319.32,0,10,32.4,11,21.858,36.098,22.088,2.9,0.143,0,1.062,13,5,1,38.2
6.398,0,1.128,37,35,0.0,47.0,0,64.0,69.91,62.0,7,1,509.58,0,12,37.1,23,40.097,63.938,39.205,1.6,0.172,6,1.031,27,11,1,43.5
6.699,0,1.139,32,31,0.0,39.0,0,60.0,67.199,59.0,7,2,460.56,0,12,32.2,19,36.648,60.713,35.511,3.4,0.183,0,1.029,28,11,1,47.5
6.0,0,1.139,29,28,0.0,36.0,0,51.0,56.953,50.0,7,2,418.47,0,12,32.0,16,31.364,52.062,30.931,4.0,0.157,0,1.041,22,8,1,44.0
5.633,0,1.132,30,28,0.0,37.5,0,53.0,57.743,51.0,5,3,429.57,0,11,33.3,17,33.654,52.258,31.995,5.9,0.132,5,1.025,23,7,2,45.1
7.699,5,1.15,55,52,5.3,66.0,5,98.0,109.292,95.0,5,4,738.83,0,16,37.9,36,59.643,97.701,58.595,4.2,0.133,12,1.028,43,13,0,45.3
7.0,0,1.127,32,30,0.0,41.0,0,53.0,57.455,51.0,6,1,439.48,0,11,37.3,19,33.358,52.96,32.91,2.0,0.17,6,1.038,21,9,1,41.2
4.398,0,1.136,30,29,0.0,36.0,0,59.0,65.906,58.0,6,1,431.56,0,10,32.8,19,35.949,59.167,34.302,1.7,0.169,0,1.02,29,10,1,50.0
4.444,0,1.132,27,26,0.0,32.0,0,50.0,55.451,49.0,5,1,385.48,0,9,34.7,17,31.21,50.189,30.007,2.0,0.18,0,1.024,23,9,1,46.9
7.0,0,1.136,29,28,0.0,36.0,0,50.0,55.664,49.0,7,1,419.45,0,12,32.7,16,30.812,51.287,30.625,2.0,0.22,0,1.047,21,11,1,42.9
7.0,0,1.136,28,27,0.0,35.0,0,47.0,52.249,46.0,7,1,405.42,0,12,32.6,15,29.051,48.404,29.098,2.2,0.213,0,1.052,19,10,1,41.3
5.699,3,1.158,31,30,6.1,38.0,3,50.0,56.763,49.0,7,2,456.44,0,14,32.7,16,30.722,52.273,31.366,4.1,0.14,0,1.067,19,7,1,38.8
6.699,0,1.135,23,22,0.0,29.0,0,38.0,42.0,37.0,6,1,333.35,0,10,32.4,12,23.619,38.982,23.615,2.7,0.158,0,1.054,15,6,1,40.5
4.301,0,1.116,37,34,0.0,49.0,0,62.0,65.82,59.0,3,3,475.61,0,8,44.1,26,40.858,59.411,38.905,5.1,0.161,18,1.007,25,10,1,42.4
4.444,0,1.125,25,23,0.0,33.0,0,44.0,47.235,42.0,2,3,309.4,0,5,42.9,18,28.017,42.029,26.708,7.1,0.091,12,1.001,19,4,0,45.2
4.523,1,1.103,29,27,2.4,40.0,0,44.0,46.313,42.0,5,0,382.81,1,6,50.0,21,30.222,43.029,29.616,0.0,0.136,12,1.025,15,6,1,35.7
6.046,0,1.127,26,24,0.0,34.0,0,45.0,48.445,43.0,2,3,325.4,0,6,41.9,18,28.472,43.356,27.423,7.0,0.111,12,1.008,19,5,0,44.2
5.921,0,1.126,26,24,0.0,34.0,0,47.0,50.651,45.0,2,3,323.43,0,5,42.2,19,29.779,44.912,28.235,6.7,0.106,12,0.998,21,5,0,46.7
9.222,0,1.124,32,29,0.0,43.5,0,47.0,49.455,44.0,3,5,433.51,0,12,38.6,17,31.403,45.716,30.689,11.4,0.128,17,1.039,15,6,2,34.1
5.854,1,1.137,66,62,0.8,76.0,0,130.0,143.223,126.0,7,6,887.39,1,19,34.1,43,79.075,126.93,33.718,4.8,0.154,6,1.007,64,20,1,50.8
10.222,2,1.135,58,55,2.0,75.0,2,103.0,113.485,100.0,8,5,781.96,0,16,39.0,39,65.177,101.785,62.842,5.0,0.155,18,1.018,45,16,1,45.0
7.495,3,1.14,48,46,3.7,61.0,3,84.0,93.453,82.0,7,3,643.72,0,13,40.2,33,52.716,84.039,51.7,3.7,0.167,12,1.025,36,14,0,43.9
4.125,0,1.141,40,39,0.0,47.0,0,86.0,96.969,85.0,4,4,546.79,0,10,34.1,29,51.739,84.927,48.437,4.7,0.151,6,0.999,46,13,0,54.1
4.125,0,1.12,26,24,0.0,34.0,0,45.0,48.155,43.0,2,3,341.47,0,6,41.9,18,29.665,43.105,27.895,7.0,0.111,12,1.002,19,5,1,44.2
8.237,3,1.162,31,31,4.8,35.0,3,63.0,73.204,63.0,4,3,451.55,0,11,31.7,20,37.285,64.618,36.217,4.8,0.143,0,1.026,32,9,0,50.8
8.398,2,1.124,37,34,3.4,47.0,0,62.0,66.332,59.0,4,3,526.48,2,11,39.0,23,40.79,60.269,38.802,5.1,0.081,12,1.022,25,5,3,42.4
5.585,3,1.163,28,28,6.5,35.0,3,46.0,53.507,46.0,7,3,405.37,0,12,34.8,16,28.409,48.76,29.244,6.5,0.174,0,1.06,18,8,0,39.1
7.377,3,1.14,43,41,4.5,56.0,3,69.0,76.377,67.0,7,3,573.57,0,13,41.8,28,43.909,69.621,44.066,4.5,0.159,12,1.039,26,11,0,38.8
5.137,0,1.141,62,59,0.0,69.0,0,131.0,146.109,128.0,7,6,832.97,0,18,32.0,41,77.739,128.374,33.718,4.7,0.16,0,1.003,69,21,0,53.9
9.194,0,1.131,46,43,0.0,59.0,0,82.0,89.312,79.0,5,4,592.71,0,12,39.2,31,50.841,80.163,49.233,5.1,0.146,16,1.015,36,12,0,45.6
8.796,2,1.141,45,43,2.4,55.0,2,87.0,97.024,85.0,4,4,600.78,0,11,37.6,32,53.398,85.741,50.962,4.7,0.172,12,1.009,42,15,0,49.4
7.287,0,1.129,35,33,0.0,46.0,0,64.0,69.989,62.0,5,3,495.68,0,11,35.5,22,40.938,62.909,38.576,4.8,0.141,12,1.015,29,9,2,46.8
6.721,6,1.168,36,35,11.1,46.0,6,55.0,63.067,54.0,7,3,527.49,0,15,37.0,20,34.938,57.814,35.92,5.6,0.145,6,1.071,19,8,1,35.2
7.839,0,1.124,32,29,0.0,43.5,0,47.0,49.455,44.0,3,5,433.51,0,12,38.6,17,31.403,45.716,30.689,11.4,0.128,17,1.039,15,6,2,34.1
8.658,2,1.12,32,30,4.0,42.0,0,52.0,56.004,50.0,4,2,471.39,2,10,40.0,20,35.261,51.4,33.727,4.0,0.115,12,1.028,20,6,3,40.0
6.469,0,1.137,69,65,0.0,79.0,0,142.0,156.939,138.0,7,6,909.07,0,18,34.1,47,85.262,138.141,33.718,4.3,0.148,6,1.001,73,21,0,52.9
7.745,3,1.139,42,40,4.5,55.0,3,68.0,75.168,66.0,7,3,557.57,0,12,42.4,28,43.455,68.294,43.351,4.5,0.147,12,1.035,26,10,0,39.4
6.495,3,1.14,40,38,4.7,52.0,3,66.0,72.959,64.0,6,3,529.56,0,11,42.2,27,42.0,65.967,41.636,4.7,0.152,12,1.031,26,10,0,40.6
4.125,0,1.114,25,23,0.0,33.0,0,43.0,45.657,41.0,2,2,326.45,0,5,43.9,18,28.659,41.003,26.874,4.9,0.093,12,1.0,18,4,1,43.9
7.824,3,1.146,40,38,4.7,52.0,3,66.0,73.331,64.0,6,5,529.57,0,12,40.6,26,41.796,65.96,41.438,7.8,0.136,12,1.031,26,9,0,40.6
5.638,0,1.131,29,28,0.0,37.0,0,54.0,59.927,53.0,2,4,384.29,0,9,35.8,19,34.557,53.323,33.718,7.5,0.167,12,1.006,25,9,0,47.2
7.0,2,1.112,27,25,5.0,36.0,0,42.0,44.466,40.0,3,1,400.3,2,8,42.5,17,29.278,41.204,27.937,2.5,0.095,12,1.03,15,4,3,37.5
8.215,3,1.138,37,34,5.4,49.5,3,59.0,63.709,56.0,2,3,469.5,0,9,44.6,25,37.568,57.545,37.153,5.4,0.102,21,1.028,22,6,0,39.3
10.523,3,1.119,30,28,7.1,40.0,1,44.0,47.015,42.0,4,1,446.3,2,10,42.9,18,30.67,44.044,30.035,2.4,0.114,12,1.049,14,5,3,33.3
8.456,4,1.139,41,39,6.3,53.0,3,66.0,72.903,64.0,6,3,564.0,1,12,42.2,27,42.858,66.291,42.464,4.7,0.152,12,1.036,25,10,1,39.1
7.284,3,1.147,41,39,4.6,54.0,3,67.0,74.54,65.0,7,5,545.57,0,13,40.0,26,42.25,67.287,42.152,7.7,0.134,12,1.035,26,9,0,40.0
4.125,0,1.12,26,24,0.0,34.0,0,45.0,48.155,43.0,2,3,341.47,0,6,41.9,18,29.665,43.105,27.895,7.0,0.111,12,1.002,19,5,1,44.2
7.523,3,1.147,40,38,4.8,51.0,3,65.0,72.251,63.0,8,4,534.54,0,13,39.7,25,40.699,65.512,40.846,6.3,0.138,6,1.04,25,9,0,39.7
6.0,0,1.125,37,34,0.0,47.0,0,65.0,69.78,62.0,4,2,488.61,0,10,38.7,24,40.739,63.058,39.082,3.2,0.138,12,1.017,28,9,1,45.2
8.06,3,1.15,31,30,5.6,39.0,3,55.0,62.125,54.0,5,3,423.48,0,9,38.9,21,34.33,55.429,33.68,5.6,0.145,6,1.026,24,8,0,44.4
7.495,3,1.14,43,41,4.5,56.0,3,69.0,76.377,67.0,7,3,573.57,0,13,41.8,28,43.909,69.621,44.066,4.5,0.159,12,1.039,26,11,0,38.8
5.86,0,1.109,19,18,0.0,23.5,0,34.0,36.584,33.0,2,1,301.49,0,6,36.4,12,24.188,33.171,21.7,3.0,0.147,5,1.005,15,5,3,45.5
9.0,2,1.117,27,25,5.0,35.0,0,42.0,44.675,40.0,5,1,404.29,2,9,40.0,16,28.733,41.531,27.652,2.5,0.095,6,1.038,15,4,3,37.5
7.824,3,1.151,33,32,5.6,42.0,3,55.0,62.128,54.0,6,3,453.46,0,11,38.9,21,34.478,56.2,34.583,5.6,0.145,6,1.041,22,8,0,40.7
7.367,3,1.163,30,30,5.0,34.0,3,60.0,69.789,60.0,4,3,437.52,0,11,31.7,19,35.523,61.734,34.69,5.0,0.15,0,1.029,30,9,0,50.0
7.481,3,1.138,42,40,4.4,55.0,3,70.0,77.374,68.0,7,3,555.6,0,11,42.6,29,44.762,69.85,44.163,4.4,0.157,12,1.027,28,11,0,41.2
7.237,2,1.143,46,44,2.4,57.0,2,85.0,94.901,83.0,5,5,615.75,0,13,37.3,31,52.336,84.403,50.645,6.0,0.153,12,1.017,39,13,0,47.0
4.0,3,1.149,45,45,3.5,54.0,2,86.0,98.805,86.0,6,4,663.19,1,16,33.7,29,53.074,88.374,51.649,4.7,0.221,6,1.028,41,19,1,47.7
9.097,2,1.112,28,25,5.3,36.0,0,41.0,42.26,38.0,5,1,402.27,2,9,42.1,16,27.972,39.647,27.125,2.6,0.098,6,1.043,13,4,3,34.2
9.153,2,1.118,28,26,4.7,36.0,0,45.0,48.09,43.0,5,1,418.32,2,9,39.5,17,30.494,44.415,29.179,2.3,0.111,6,1.033,17,5,3,39.5
4.125,0,1.115,26,24,0.0,34.0,0,46.0,49.072,44.0,2,2,340.48,0,5,43.2,19,30.421,43.887,28.401,4.5,0.109,12,0.997,20,5,1,45.5
7.509,0,1.107,24,22,0.0,34.0,0,35.0,36.541,33.0,4,1,317.34,0,7,45.5,15,23.733,34.233,23.417,3.0,0.114,12,1.037,11,4,1,33.3
4.602,0,1.125,25,23,0.0,33.0,0,44.0,47.235,42.0,2,3,309.4,0,5,42.9,18,28.017,42.029,26.708,7.1,0.091,12,1.001,19,4,0,45.2
4.921,0,1.143,63,63,0.0,77.0,0,126.0,144.045,126.0,11,7,890.12,0,21,33.3,42,76.722,128.036,73.907,5.6,0.23,6,1.016,63,29,0,50.0
5.301,0,1.141,65,63,0.0,80.0,0,125.0,140.294,123.0,9,8,881.11,0,20,35.0,43,76.296,124.716,73.446,6.5,0.176,12,1.014,60,22,0,48.8
6.301,0,1.124,30,28,0.0,39.0,0,49.0,52.83,47.0,6,1,409.45,0,10,38.3,18,31.142,48.749,30.668,2.1,0.143,6,1.037,19,7,1,40.4
8.959,2,1.124,37,34,3.4,47.0,0,62.0,66.332,59.0,4,3,526.48,2,11,39.0,23,40.79,60.269,38.802,5.1,0.097,12,1.022,25,6,3,42.4
6.602,0,1.137,37,34,0.0,46.0,0,58.0,62.538,55.0,9,5,515.58,0,16,32.7,18,36.506,57.676,36.129,9.1,0.103,0,1.049,21,6,2,38.2
8.319,3,1.14,43,41,4.5,56.0,3,69.0,76.377,67.0,7,3,573.57,0,13,41.8,28,43.909,69.621,44.066,4.5,0.159,12,1.039,26,11,0,38.8
5.442,0,1.132,19,18,0.0,24.0,0,37.0,40.737,36.0,2,2,246.34,0,4,38.9,14,23.012,35.927,21.687,5.6,0.162,6,0.998,18,6,0,50.0
9.745,1,1.126,59,55,1.1,78.0,0,99.0,106.923,95.0,8,5,794.35,1,17,40.0,38,63.784,97.087,61.752,5.3,0.141,22,1.022,40,14,2,42.1
8.959,0,1.131,48,45,0.0,61.0,0,88.0,96.142,85.0,5,4,620.77,0,12,38.8,33,54.364,85.93,52.286,4.7,0.159,16,1.011,40,14,0,47.1
6.4,0,1.132,20,19,0.0,25.0,0,40.0,44.152,39.0,2,2,260.37,0,4,38.5,15,24.773,38.811,23.214,5.1,0.075,6,0.995,20,3,0,51.3
4.18,0,1.146,31,30,0.0,37.0,0,59.0,66.441,58.0,6,4,424.51,0,11,32.8,19,35.341,59.302,34.411,6.9,0.119,0,1.022,28,7,0,48.3
8.337,0,1.131,48,45,0.0,63.0,0,85.0,92.73,82.0,7,5,639.8,0,14,37.8,31,53.495,83.341,51.441,6.1,0.129,16,1.016,37,11,1,45.1
9.699,1,1.127,56,52,1.1,74.0,0,95.0,102.587,91.0,7,6,751.33,1,16,39.6,36,61.12,92.651,58.817,6.6,0.126,22,1.018,39,12,2,42.9
9.456,0,1.132,49,46,0.0,64.0,0,86.0,93.939,83.0,7,5,655.8,0,15,37.3,31,53.949,84.669,52.156,6.0,0.14,16,1.02,37,12,1,44.6
9.18,1,1.126,57,53,1.1,75.0,0,97.0,104.714,93.0,7,5,766.34,1,16,39.8,37,62.33,94.76,60.037,5.4,0.134,22,1.019,40,13,2,43.0
8.638,0,1.13,45,42,0.0,58.0,0,81.0,88.102,78.0,5,4,576.71,0,11,39.7,31,50.387,78.836,48.518,5.1,0.136,16,1.011,36,11,0,46.2
10.222,1,1.128,60,56,1.0,79.0,0,101.0,109.421,97.0,8,6,809.37,1,18,39.2,38,64.79,99.189,62.773,6.2,0.139,22,1.023,41,14,2,42.3
9.367,0,1.13,52,49,0.0,64.0,0,104.0,114.148,101.0,4,4,693.02,0,12,36.6,37,65.535,100.683,60.617,4.0,0.144,16,0.997,52,15,1,51.5
7.523,4,1.143,51,49,4.6,64.0,3,89.0,99.44,87.0,7,4,731.26,1,17,36.8,32,56.443,89.752,54.978,4.6,0.157,12,1.032,38,14,2,43.7
8.745,0,1.13,45,42,0.0,59.0,0,80.0,86.976,77.0,4,5,573.71,0,11,40.3,31,50.176,77.727,48.298,6.5,0.138,16,1.009,35,11,0,45.5
9.301,4,1.143,48,46,5.0,61.0,3,82.0,91.401,80.0,7,4,687.2,1,16,37.5,30,52.466,82.658,51.209,5.0,0.134,12,1.033,34,11,2,42.5
6.59,0,1.092,26,23,0.0,36.5,0,39.0,39.328,36.0,2,1,319.4,0,4,52.8,19,27.131,36.134,25.799,2.8,0.077,17,1.004,13,3,1,36.1
5.842,0,1.123,33,31,0.0,44.0,0,55.0,59.534,53.0,5,2,446.52,0,10,39.6,21,35.455,54.407,34.502,3.8,0.2,12,1.027,22,11,1,41.5
6.96,5,1.194,19,18,22.7,24.0,5,23.0,26.276,22.0,2,1,265.15,0,8,45.5,10,14.648,24.854,16.475,4.5,0.043,6,1.13,4,1,0,18.2
9.658,0,1.109,33,30,0.0,44.0,0,52.0,54.332,49.0,5,1,445.55,0,9,42.9,21,34.881,50.171,33.426,2.0,0.096,12,1.024,19,5,2,38.8
8.699,5,1.158,47,45,6.1,56.0,5,84.0,94.966,82.0,6,4,668.76,0,17,34.1,28,51.006,85.127,50.202,4.9,0.131,6,1.038,37,11,1,45.1
6.12,0,1.126,17,16,0.0,23.0,0,27.0,29.286,26.0,3,2,218.23,0,5,42.3,11,17.421,26.72,17.294,7.7,0.074,6,1.028,10,2,0,38.5
7.357,5,1.165,43,42,6.0,48.0,5,84.0,96.667,83.0,5,4,612.72,0,15,32.5,27,49.427,85.49,48.354,4.8,0.131,0,1.03,41,11,0,49.4
