pXC50,nN,nBM,nAB,SCBO,MW,nBO,Sv,nSK,nCsp2,Se,Si,Sp,nHet,nAT,nBT,nH,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nB
5.1,4,23,22,43.0,374.43,31,30.918,28,19,46.574,51.528,31.716,7,46,49,18,21,8.14,45.7,39.1,1.012,1.12,0.689,0.672,8.7,0
6.6,7,17,16,42.0,427.99,33,34.96,30,12,56.2,63.794,36.966,9,56,59,26,21,7.643,37.5,46.4,1.004,1.139,0.66,0.624,12.5,0
5.1,3,15,12,33.0,297.31,24,23.511,22,15,34.891,38.329,23.671,6,34,36,12,16,8.744,47.1,35.3,1.026,1.127,0.696,0.692,8.8,0
5.1,7,22,22,46.0,435.56,35,36.516,32,16,58.389,66.189,38.046,9,58,61,26,23,7.51,39.7,44.8,1.007,1.141,0.656,0.63,12.1,0
6.0,5,24,22,54.0,497.67,40,41.518,36,20,62.96,70.398,43.961,8,63,67,27,28,7.9,44.4,42.9,0.999,1.117,0.698,0.659,7.9,0
7.5,6,28,27,51.5,454.6,37,37.245,33,23,55.083,61.441,39.228,8,55,59,22,25,8.265,45.5,40.0,1.002,1.117,0.713,0.677,10.9,0
7.7,5,24,22,47.0,451.97,34,34.239,31,21,49.749,54.681,35.773,9,49,52,18,22,9.224,44.9,36.7,1.015,1.116,0.73,0.699,10.2,0
5.9,2,13,11,28.5,258.25,21,20.009,19,11,30.047,32.495,19.875,6,29,31,10,13,8.905,44.8,34.5,1.036,1.121,0.685,0.69,6.9,0
5.1,6,22,22,45.0,420.54,34,35.494,31,16,56.287,63.691,37.04,8,56,59,25,23,7.51,41.1,44.6,1.005,1.137,0.661,0.634,10.7,0
5.3,3,13,11,27.5,371.57,20,19.504,18,12,25.676,27.615,21.273,6,25,27,7,12,14.863,48.0,28.0,1.027,1.105,0.851,0.78,12.0,0
6.3,4,18,17,37.5,362.34,28,26.826,26,15,40.902,44.922,26.313,9,39,41,13,17,9.291,43.6,33.3,1.049,1.152,0.675,0.688,10.3,0
6.3,3,17,16,30.0,271.72,21,20.714,19,14,29.491,32.309,21.375,5,29,31,10,14,9.37,48.3,34.5,1.017,1.114,0.737,0.714,10.3,0
6.1,5,13,12,34.0,359.9,27,29.391,25,12,47.112,53.382,31.194,7,47,49,22,18,7.657,38.3,46.8,1.002,1.136,0.664,0.625,10.6,0
5.1,4,17,17,32.5,314.8,24,24.789,22,13,37.36,41.638,25.904,6,37,39,15,16,8.508,43.2,40.5,1.01,1.125,0.7,0.67,10.8,0
5.1,5,25,25,46.5,403.52,34,32.365,29,18,47.283,52.658,33.944,7,47,52,18,22,8.586,46.8,38.3,1.006,1.12,0.722,0.689,10.6,0
5.3,5,22,22,40.0,347.41,29,28.697,26,17,43.465,48.402,29.506,7,43,46,17,19,8.079,44.2,39.5,1.011,1.126,0.686,0.667,11.6,0
6.8,3,23,22,41.0,343.41,29,29.181,26,20,43.145,47.82,30.256,5,43,46,17,21,7.986,48.8,39.5,1.003,1.112,0.704,0.679,7.0,0
7.1,3,23,22,39.0,313.38,27,26.94,24,20,38.934,43.196,28.04,4,39,42,15,20,8.035,51.3,38.5,0.998,1.108,0.719,0.691,7.7,0
5.1,1,18,16,41.0,432.37,31,34.142,29,17,52.334,57.997,36.222,6,52,54,23,23,8.315,44.2,44.2,1.006,1.115,0.697,0.657,1.9,0
5.1,3,16,16,28.0,277.75,20,19.374,18,12,26.684,28.814,20.261,6,26,28,8,12,10.683,46.2,30.8,1.026,1.108,0.779,0.745,11.5,0
5.5,5,15,12,35.0,347.74,25,24.374,24,12,35.793,38.519,23.989,10,34,35,10,14,10.228,41.2,29.4,1.053,1.133,0.706,0.717,14.7,0
5.2,5,24,22,52.0,483.69,38,41.33,35,20,63.516,71.603,44.267,7,64,67,29,28,7.558,43.8,45.3,0.992,1.119,0.692,0.646,7.8,0
7.3,6,14,12,46.0,474.54,38,37.503,34,12,60.523,67.995,38.131,11,59,63,25,23,8.043,39.0,42.4,1.026,1.152,0.646,0.636,10.2,0
5.1,4,22,21,42.5,376.45,31,31.444,28,17,48.458,53.943,32.478,7,48,51,20,21,7.843,43.8,41.7,1.01,1.124,0.677,0.655,8.3,0
5.7,6,23,22,58.0,560.71,46,47.227,41,20,75.545,85.316,49.239,10,75,80,34,31,7.476,41.3,45.3,1.007,1.138,0.657,0.63,8.0,0
5.1,2,17,16,34.0,348.83,25,25.363,23,14,36.887,39.98,26.449,7,36,38,13,16,9.69,44.4,36.1,1.025,1.111,0.735,0.705,5.6,0
5.1,3,15,12,34.0,307.38,25,26.181,23,15,40.145,44.82,27.256,5,40,42,17,18,7.684,45.0,42.5,1.004,1.121,0.681,0.655,7.5,0
5.1,3,22,22,37.0,317.44,26,26.412,23,18,37.683,41.906,28.233,4,38,41,15,19,8.354,50.0,39.5,0.992,1.103,0.743,0.695,7.9,0
7.3,6,16,16,35.0,342.87,27,27.644,24,11,43.12,48.84,29.222,7,43,46,19,17,7.974,39.5,44.2,1.003,1.136,0.68,0.643,14.0,0
5.5,6,28,27,49.5,428.91,35,33.832,31,22,48.563,53.634,34.915,8,48,52,17,23,8.936,47.9,35.4,1.012,1.117,0.727,0.705,12.5,0
5.4,7,18,17,40.5,375.53,31,32.891,28,15,52.665,60.225,34.893,7,53,56,25,21,7.085,39.6,47.2,0.994,1.136,0.658,0.621,13.2,0
5.1,4,18,17,34.5,373.23,25,25.174,23,15,36.709,40.33,26.091,7,36,38,13,16,10.368,44.4,36.1,1.02,1.12,0.725,0.699,11.1,0
5.2,5,24,22,45.0,383.49,32,33.036,29,21,49.905,56.023,34.574,6,50,53,21,23,7.67,46.0,42.0,0.998,1.12,0.691,0.661,10.0,0
6.0,5,23,22,42.0,359.42,30,29.697,27,19,44.465,49.402,30.506,7,44,47,17,20,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,0
5.2,3,27,24,58.0,545.66,43,43.862,39,25,66.949,73.654,45.529,10,66,70,27,29,8.268,43.9,40.9,1.014,1.116,0.69,0.665,4.5,0
5.1,3,27,26,52.0,453.58,38,39.53,34,22,60.891,68.106,41.517,6,61,65,27,28,7.436,45.9,44.3,0.998,1.116,0.681,0.648,4.9,0
5.1,4,17,16,37.0,352.48,28,30.783,26,14,49.898,56.564,32.546,6,50,52,24,20,7.05,40.0,48.0,0.998,1.131,0.651,0.616,8.0,0
6.3,7,26,26,57.0,527.69,44,45.143,39,18,72.181,81.514,47.302,10,72,77,33,29,7.329,40.3,45.8,1.003,1.132,0.657,0.627,9.7,0
5.1,4,17,17,29.5,291.15,21,20.321,19,13,27.705,30.127,21.023,6,27,29,8,13,10.783,48.1,29.6,1.026,1.116,0.779,0.753,14.8,0
5.1,5,14,12,32.0,297.35,23,24.171,22,11,37.582,41.986,24.745,7,37,38,15,15,8.036,40.5,40.5,1.016,1.135,0.669,0.653,13.5,0
5.1,6,26,23,50.5,424.45,36,33.907,32,23,49.011,53.694,34.205,9,48,52,16,23,8.843,47.9,33.3,1.021,1.119,0.713,0.706,12.5,0
6.1,4,23,22,43.0,374.45,31,31.398,28,20,47.316,52.864,32.506,6,47,50,19,22,7.967,46.8,40.4,1.007,1.125,0.692,0.668,8.5,0
5.1,4,22,21,41.5,376.52,30,31.202,27,18,46.88,52.444,33.216,6,47,50,20,21,8.011,44.7,42.6,0.997,1.116,0.707,0.664,8.5,0
5.1,5,21,21,36.5,303.4,26,26.268,23,15,39.811,44.983,27.597,5,40,43,17,18,7.585,45.0,42.5,0.995,1.125,0.69,0.657,12.5,0
5.1,1,8,6,25.0,279.81,20,21.438,18,9,32.014,35.478,23.296,4,32,34,14,14,8.744,43.8,43.8,1.0,1.109,0.728,0.67,3.1,0
8.4,7,18,17,35.5,343.81,26,25.799,24,14,38.898,43.302,26.398,9,38,40,14,15,9.048,39.5,36.8,1.024,1.14,0.695,0.679,18.4,0
5.7,5,23,22,42.0,359.42,30,29.697,27,19,44.465,49.402,30.506,7,44,47,17,20,8.169,45.5,38.6,1.011,1.123,0.693,0.675,11.4,0
5.1,3,18,17,35.5,339.45,26,27.369,24,15,41.222,45.74,28.904,6,41,43,17,18,8.279,43.9,41.5,1.005,1.116,0.705,0.668,7.3,0
5.1,6,22,22,47.0,454.53,36,36.593,33,16,58.127,65.24,37.432,10,57,60,24,23,7.974,40.4,42.1,1.02,1.145,0.657,0.642,10.5,0
5.1,5,17,17,42.5,425.54,34,35.761,31,13,58.538,65.896,37.222,9,58,61,27,22,7.337,37.9,46.6,1.009,1.136,0.642,0.617,8.6,0
5.1,4,17,16,38.0,372.86,29,29.226,26,14,44.64,49.808,30.364,7,44,47,18,19,8.474,43.2,40.9,1.015,1.132,0.69,0.664,9.1,0
5.1,6,22,22,48.0,464.6,37,39.263,34,16,63.381,71.731,41.017,9,63,66,29,25,7.375,39.7,46.0,1.006,1.139,0.651,0.623,9.5,0
5.1,2,12,11,26.5,278.78,20,20.406,18,10,29.349,32.146,21.779,5,29,31,11,13,9.613,44.8,37.9,1.012,1.108,0.751,0.704,6.9,0
5.3,3,23,23,41.5,377.85,30,30.009,27,21,43.469,47.764,31.114,6,43,46,16,21,8.787,48.8,37.2,1.011,1.111,0.724,0.698,7.0,0
5.6,7,31,30,53.0,439.54,37,34.686,32,22,49.534,54.694,35.949,9,49,54,17,23,8.97,46.9,34.7,1.011,1.116,0.734,0.708,14.3,0
6.5,5,23,22,44.0,391.44,32,31.608,29,20,47.862,53.156,32.205,8,47,50,18,21,8.329,44.7,38.3,1.018,1.131,0.685,0.673,10.6,0
5.1,3,17,16,34.0,315.35,25,25.233,23,14,38.843,43.29,25.676,6,38,40,15,17,8.299,44.7,39.5,1.022,1.139,0.676,0.664,7.9,0
5.1,4,26,24,62.0,560.7,47,48.32,42,25,74.087,82.644,50.5,8,74,79,32,34,7.577,45.9,43.2,1.001,1.117,0.682,0.653,5.4,0
5.1,4,25,23,46.5,394.51,33,34.542,30,23,51.687,57.939,36.33,5,52,55,22,25,7.587,48.1,42.3,0.994,1.114,0.699,0.664,7.7,0
6.5,5,16,16,33.0,329.87,25,27.149,23,12,42.902,48.757,28.978,6,43,45,20,17,7.671,39.5,46.5,0.998,1.134,0.674,0.631,11.6,0
5.1,3,16,16,27.0,261.75,19,18.659,17,12,25.356,27.605,19.807,5,25,27,8,12,10.47,48.0,32.0,1.014,1.104,0.792,0.746,12.0,0
5.1,3,9,6,27.0,273.37,21,23.708,20,9,39.029,44.235,25.017,5,39,40,19,15,7.009,38.5,48.7,1.001,1.134,0.641,0.608,7.7,0
5.9,4,14,12,34.0,342.46,26,27.39,24,13,42.323,47.238,28.909,7,42,44,18,17,8.154,40.5,42.9,1.008,1.125,0.688,0.652,9.5,0
5.1,4,22,21,40.5,348.39,29,28.391,26,17,42.691,47.113,28.955,7,42,45,16,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,0
5.1,6,27,27,46.5,384.45,33,31.673,29,21,46.425,51.821,32.54,7,46,50,17,22,8.358,47.8,37.0,1.009,1.127,0.707,0.689,13.0,0
5.1,6,16,12,47.0,448.55,37,37.209,33,15,58.614,65.9,38.495,9,58,62,25,24,7.734,41.4,43.1,1.011,1.136,0.664,0.642,10.3,0
5.1,5,26,22,55.0,505.6,40,39.609,36,21,60.174,66.195,40.801,11,59,63,23,25,8.569,42.4,39.0,1.02,1.122,0.692,0.671,8.5,0
5.1,7,23,21,47.5,451.56,35,35.169,32,17,53.956,59.943,36.381,11,53,56,21,21,8.52,39.6,39.6,1.018,1.131,0.686,0.664,13.2,0
6.3,7,23,22,41.0,347.37,29,27.16,26,17,40.018,44.153,27.233,9,39,42,13,17,8.907,43.6,33.3,1.026,1.132,0.698,0.696,17.9,0
5.1,6,22,21,46.5,420.49,35,34.156,31,16,52.847,59.07,34.972,9,52,56,21,22,8.086,42.3,40.4,1.016,1.136,0.673,0.657,11.5,0
7.0,6,28,27,54.5,502.62,40,39.87,36,23,59.807,66.405,41.381,10,59,63,23,26,8.519,44.1,39.0,1.014,1.126,0.701,0.676,10.2,0
7.5,4,22,22,40.0,348.41,29,28.871,26,18,43.432,48.449,29.745,6,43,46,17,20,8.103,46.5,39.5,1.01,1.127,0.692,0.671,9.3,0
5.1,5,22,21,39.5,367.49,28,27.303,25,16,38.524,42.202,28.824,8,38,41,13,17,9.671,44.7,34.2,1.014,1.111,0.759,0.719,13.2,0
7.3,5,16,16,35.0,343.85,27,27.337,24,11,42.345,47.551,28.671,7,42,45,18,17,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,0
5.1,6,22,21,43.5,390.49,32,32.772,29,16,51.334,57.73,34.034,8,51,54,22,21,7.657,41.2,43.1,1.007,1.132,0.667,0.643,11.8,0
5.1,4,16,15,35.5,340.49,27,28.202,24,12,43.88,49.444,30.216,6,44,47,20,18,7.738,40.9,45.5,0.997,1.124,0.687,0.641,9.1,0
5.6,3,22,21,40.5,363.47,29,29.369,26,18,43.222,47.74,30.904,6,43,46,17,20,8.453,46.5,39.5,1.005,1.11,0.719,0.683,7.0,0
6.9,6,21,18,44.0,475.36,31,31.119,29,16,45.316,49.456,32.205,11,44,46,15,18,10.804,40.9,34.1,1.03,1.124,0.732,0.707,13.6,0
6.0,7,26,26,57.0,548.1,44,44.443,39,18,69.621,78.043,46.398,11,69,74,30,28,7.943,40.6,43.5,1.009,1.131,0.672,0.644,10.1,0
5.5,6,28,27,49.5,428.91,35,33.832,31,22,48.563,53.634,34.915,8,48,52,17,23,8.936,47.9,35.4,1.012,1.117,0.727,0.705,12.5,0
6.0,5,16,16,33.0,313.42,25,26.705,23,12,43.091,49.153,28.057,6,43,45,20,17,7.289,39.5,46.5,1.002,1.143,0.652,0.621,11.6,0
5.1,3,13,11,35.5,355.48,28,31.003,26,12,51.007,57.69,32.756,6,51,53,25,20,6.97,39.2,49.0,1.0,1.131,0.642,0.608,5.9,0
6.3,4,16,16,27.0,244.7,19,18.494,17,12,26.382,29.183,19.165,5,26,28,9,12,9.412,46.2,34.6,1.015,1.122,0.737,0.711,15.4,0
5.1,6,22,22,44.0,406.51,33,33.968,30,16,53.403,60.276,35.279,8,53,56,23,22,7.67,41.5,43.4,1.008,1.137,0.666,0.641,11.3,0
6.0,4,23,22,46.0,400.47,34,33.444,30,20,50.458,55.943,34.478,7,50,54,20,23,8.009,46.0,40.0,1.009,1.119,0.69,0.669,8.0,0
5.1,3,20,17,40.5,446.4,29,31.447,27,17,47.218,52.412,33.779,7,47,49,20,20,9.498,42.6,42.6,1.005,1.115,0.719,0.669,6.4,0
5.1,1,28,27,51.5,435.55,37,38.487,33,25,57.687,64.109,40.506,4,58,62,25,29,7.509,50.0,43.1,0.995,1.105,0.698,0.664,1.7,0
5.1,4,23,22,45.0,428.47,33,31.825,30,20,46.534,51.048,32.267,9,45,48,15,21,9.522,46.7,33.3,1.034,1.134,0.717,0.707,8.9,0
6.5,6,18,16,41.0,420.97,31,31.787,28,11,49.734,55.594,33.54,10,49,52,21,18,8.591,36.7,42.9,1.015,1.135,0.684,0.649,12.2,0
5.1,2,17,16,38.0,358.39,29,28.649,26,16,44.021,48.962,29.131,6,43,46,17,20,8.335,46.5,39.5,1.024,1.139,0.677,0.666,4.7,0
6.5,5,29,28,53.0,469.58,38,37.607,34,25,54.494,60.282,39.159,8,54,58,20,26,8.696,48.1,37.0,1.009,1.116,0.725,0.696,9.3,0
6.3,6,34,33,59.5,502.64,42,41.245,37,28,59.083,65.441,43.228,8,59,64,22,29,8.519,49.2,37.3,1.001,1.109,0.733,0.699,10.2,0
5.1,3,21,21,39.5,377.37,29,26.465,26,15,37.993,40.929,26.193,9,36,39,10,17,10.483,47.2,27.8,1.055,1.137,0.728,0.735,8.3,0
7.1,5,24,22,42.0,365.45,29,28.358,26,18,41.658,45.906,29.392,8,41,44,15,18,8.913,43.9,36.6,1.016,1.12,0.717,0.692,12.2,0
5.1,3,20,18,42.0,425.97,31,33.25,29,20,49.313,54.515,35.284,7,49,51,20,22,8.693,44.9,40.8,1.006,1.113,0.72,0.679,6.1,0
5.1,5,27,26,46.0,383.51,32,31.455,28,22,44.887,49.903,33.245,6,45,49,17,22,8.522,48.9,37.8,0.997,1.109,0.739,0.699,11.1,0
5.7,5,22,22,50.0,453.64,39,40.67,34,18,64.323,73.099,43.381,6,65,70,31,28,6.979,43.1,47.7,0.99,1.125,0.667,0.626,7.7,0
7.1,6,28,27,54.5,506.58,40,38.726,36,23,57.436,63.33,39.557,11,56,60,20,25,9.046,44.6,35.7,1.026,1.131,0.706,0.692,10.7,0
6.4,4,24,22,44.0,386.51,31,31.675,28,21,45.996,51.029,33.455,6,46,49,18,22,8.402,47.8,39.1,1.0,1.109,0.727,0.689,8.7,0
6.1,2,19,18,38.0,368.86,28,27.648,25,18,38.56,41.771,28.994,6,38,41,13,19,9.707,50.0,34.2,1.015,1.099,0.763,0.728,5.3,0
6.5,6,24,22,45.0,404.49,32,31.379,29,20,45.76,50.405,32.398,9,45,48,16,20,8.989,44.4,35.6,1.017,1.12,0.72,0.697,13.3,0
5.1,5,20,16,43.0,375.42,31,30.412,28,18,45.793,50.611,30.96,8,45,48,17,20,8.343,44.4,37.8,1.018,1.125,0.688,0.676,11.1,0
6.3,8,28,27,54.5,492.51,40,37.723,36,22,56.865,63.121,37.642,12,55,59,19,24,8.955,43.6,34.5,1.034,1.148,0.684,0.686,14.5,0
5.7,6,21,18,44.0,428.52,32,32.862,30,17,51.182,56.654,33.83,11,50,52,20,19,8.57,38.0,40.0,1.024,1.133,0.677,0.657,12.0,0
5.1,6,25,25,44.5,380.39,32,29.244,28,16,43.382,47.955,29.171,9,42,46,14,19,9.057,45.2,33.3,1.033,1.142,0.695,0.696,14.3,0
5.1,3,13,11,29.5,269.33,22,22.655,20,12,35.262,39.405,23.495,5,35,37,15,15,7.695,42.9,42.9,1.007,1.126,0.671,0.647,8.6,0
5.1,3,9,6,34.0,363.45,28,27.993,25,10,43.945,48.704,29.057,8,43,46,18,17,8.452,39.5,41.9,1.022,1.133,0.676,0.651,7.0,0
5.5,4,17,17,29.5,254.29,21,20.576,19,13,30.454,33.994,21.006,5,30,32,11,14,8.476,46.7,36.7,1.015,1.133,0.7,0.686,13.3,0
5.1,3,13,12,26.0,241.32,19,20.94,18,12,32.934,37.196,22.04,4,33,34,15,14,7.313,42.4,45.5,0.998,1.127,0.668,0.635,9.1,0
5.1,6,21,21,36.5,304.39,26,25.762,23,15,39.029,44.066,26.841,6,39,42,16,17,7.805,43.6,41.0,1.001,1.13,0.688,0.661,15.4,0
7.25,6,28,27,54.5,498.66,40,41.013,36,23,62.178,69.481,43.205,9,62,66,26,27,8.043,43.5,41.9,1.003,1.121,0.697,0.662,9.7,0
5.1,4,16,10,42.0,380.41,30,28.239,27,16,40.327,43.412,28.534,9,39,42,12,18,9.754,46.2,30.8,1.034,1.113,0.732,0.724,10.3,0
5.3,3,17,15,31.5,251.26,21,20.074,19,12,28.611,31.159,20.21,5,28,30,9,14,8.974,50.0,32.1,1.022,1.113,0.722,0.717,10.7,0
5.1,2,17,17,30.5,264.35,22,23.445,20,15,35.716,40.112,24.796,3,36,38,16,17,7.343,47.2,44.4,0.992,1.114,0.689,0.651,5.6,0
5.5,7,29,27,52.5,419.48,36,34.499,32,22,49.458,54.774,35.301,8,49,53,17,24,8.561,49.0,34.7,1.009,1.118,0.72,0.704,14.3,0
5.2,5,22,22,41.0,381.85,30,29.525,27,17,43.789,48.346,30.364,8,43,46,16,19,8.88,44.2,37.2,1.018,1.124,0.706,0.687,11.6,0
5.1,3,19,18,36.0,317.42,26,27.993,24,18,42.702,48.026,29.563,4,43,45,19,20,7.382,46.5,44.2,0.993,1.117,0.688,0.651,7.0,0
5.1,5,27,27,47.5,399.46,34,32.893,30,21,48.534,53.947,33.75,7,48,52,18,23,8.322,47.9,37.5,1.011,1.124,0.703,0.685,10.4,0
5.1,5,22,21,36.5,289.32,25,23.402,22,16,33.487,36.947,23.767,6,33,36,11,16,8.767,48.5,33.3,1.015,1.12,0.72,0.709,15.2,0
5.7,4,17,16,29.0,238.27,20,19.381,18,13,28.385,31.448,19.762,5,28,30,10,13,8.51,46.4,35.7,1.014,1.123,0.706,0.692,14.3,0
5.3,5,26,23,53.5,461.61,39,40.617,35,25,61.556,69.268,42.858,6,62,66,27,29,7.445,46.8,43.5,0.993,1.117,0.691,0.655,8.1,0
7.4,7,24,22,46.0,405.43,33,31.597,30,20,47.298,52.323,31.693,10,46,49,16,20,8.814,43.5,34.8,1.028,1.137,0.689,0.687,15.2,0
5.4,2,16,16,39.0,388.47,31,32.229,28,14,51.672,58.208,33.415,6,51,54,23,22,7.617,43.1,45.1,1.013,1.141,0.655,0.632,3.9,0
5.1,1,23,22,47.0,427.58,35,38.541,32,21,60.454,67.939,41.029,4,61,64,29,28,7.01,45.9,47.5,0.991,1.114,0.673,0.632,1.6,0
5.1,4,23,22,44.0,390.45,32,32.113,29,20,48.643,54.073,32.961,7,48,51,19,22,8.134,45.8,39.6,1.013,1.127,0.687,0.669,8.3,0
7.0,4,14,11,39.5,398.53,31,34.22,29,14,56.178,63.734,36.006,7,56,58,27,22,7.117,39.3,48.2,1.003,1.138,0.643,0.611,7.1,0
5.1,6,22,22,42.0,360.43,31,29.673,27,16,44.425,49.821,30.54,7,44,48,17,20,8.192,45.5,38.6,1.01,1.132,0.694,0.674,13.6,0
5.1,3,17,17,30.5,265.34,22,22.94,20,14,34.934,39.196,24.04,4,35,37,15,16,7.581,45.7,42.9,0.998,1.12,0.687,0.655,8.6,0
7.2,4,22,22,43.0,427.36,32,33.197,29,18,49.334,54.827,35.046,7,49,52,20,22,8.722,44.9,40.8,1.007,1.119,0.715,0.677,8.2,0
6.1,6,28,27,52.5,454.53,38,37.487,34,22,56.662,62.94,38.489,9,56,60,22,25,8.117,44.6,39.3,1.012,1.124,0.687,0.669,10.7,0
5.2,5,22,22,50.0,453.64,39,40.67,34,18,64.323,73.099,43.381,6,65,70,31,28,6.979,43.1,47.7,0.99,1.125,0.667,0.626,7.7,0
5.1,3,18,17,36.5,339.8,27,26.482,24,16,38.585,42.349,27.352,6,38,41,14,18,8.942,47.4,36.8,1.015,1.114,0.72,0.697,7.9,0
5.3,8,18,16,40.0,388.39,30,28.852,28,12,45.985,50.694,28.364,13,44,46,16,15,8.827,34.1,36.4,1.045,1.152,0.645,0.656,18.2,0
5.1,2,19,18,40.0,380.45,30,31.839,28,18,49.534,55.117,32.926,6,49,51,21,22,7.764,44.9,42.9,1.011,1.125,0.672,0.65,4.1,0
5.8,5,15,12,42.0,429.9,32,33.008,30,12,51.211,56.595,33.796,10,50,52,20,20,8.598,40.0,40.0,1.024,1.132,0.676,0.66,10.0,0
5.1,2,18,17,34.5,290.34,25,24.633,22,17,36.16,39.907,25.489,4,36,39,14,18,8.065,50.0,38.9,1.004,1.109,0.708,0.684,5.6,0
5.1,6,22,22,43.0,392.48,32,32.441,29,16,50.52,56.861,33.517,8,50,53,21,21,7.85,42.0,42.0,1.01,1.137,0.67,0.649,12.0,0
5.5,4,23,22,42.0,384.79,30,28.029,27,19,39.502,42.902,28.017,8,38,41,11,19,10.126,50.0,28.9,1.04,1.129,0.737,0.738,10.5,0
5.2,7,35,33,67.5,585.74,49,48.034,43,29,70.28,77.979,50.211,10,70,76,27,33,8.368,47.1,38.6,1.004,1.114,0.717,0.686,10.0,0
5.1,1,15,12,35.0,388.23,26,26.593,24,16,38.825,42.084,27.506,6,38,40,14,18,10.217,47.4,36.8,1.022,1.107,0.724,0.7,2.6,0
5.1,3,9,6,30.0,299.41,24,26.235,22,9,42.912,48.651,27.779,5,43,45,21,17,6.963,39.5,48.8,0.998,1.131,0.646,0.61,7.0,0
5.9,3,15,12,41.0,399.45,32,30.135,28,16,44.247,48.42,30.779,8,43,47,15,20,9.29,46.5,34.9,1.029,1.126,0.716,0.701,7.0,0
7.3,5,16,16,35.0,343.85,27,27.337,24,11,42.345,47.551,28.671,7,42,45,18,17,8.187,40.5,42.9,1.008,1.132,0.683,0.651,11.9,0
5.1,6,22,22,45.0,424.5,34,34.351,31,16,53.916,60.615,35.216,9,53,56,22,22,8.009,41.5,41.5,1.017,1.144,0.664,0.648,11.3,0
5.1,5,28,27,54.5,479.63,40,41.858,36,23,64.767,72.893,44.074,7,65,69,29,29,7.379,44.6,44.6,0.996,1.121,0.678,0.644,7.7,0
6.3,20,22,12,71.0,747.02,55,61.76,54,22,104.945,120.613,64.444,22,104,105,50,32,7.183,30.8,48.1,1.009,1.16,0.62,0.594,19.2,0
5.1,6,22,22,48.0,446.58,37,38.021,33,16,60.17,68.106,39.802,8,60,64,27,25,7.443,41.7,45.0,1.003,1.135,0.663,0.634,10.0,0
5.1,3,19,18,37.0,331.45,27,29.52,25,18,45.585,51.441,31.324,4,46,48,21,21,7.205,45.7,45.7,0.991,1.118,0.681,0.642,6.5,0
7.3,7,17,16,41.0,413.96,32,33.433,29,12,53.316,60.378,35.205,9,53,56,24,20,7.811,37.7,45.3,1.006,1.139,0.664,0.631,13.2,0
5.5,5,19,18,36.0,325.33,26,25.027,24,16,37.211,40.911,24.921,8,36,38,12,16,9.037,44.4,33.3,1.034,1.136,0.692,0.695,13.9,0
5.1,3,23,22,42.0,373.51,30,31.181,27,20,45.778,50.946,33.211,5,46,49,19,22,8.12,47.8,41.3,0.995,1.108,0.722,0.678,6.5,0
5.1,4,20,18,44.0,430.42,33,32.594,31,19,49.996,54.962,32.29,10,48,50,17,21,8.967,43.8,35.4,1.042,1.145,0.673,0.679,8.3,0
5.1,2,12,10,24.0,220.62,17,15.354,15,10,20.949,22.19,15.301,5,20,22,5,10,11.031,50.0,25.0,1.047,1.109,0.765,0.768,10.0,0
5.1,4,18,16,35.0,330.45,25,26.39,23,13,41.323,46.238,27.909,7,41,43,18,16,8.06,39.0,43.9,1.008,1.128,0.681,0.644,9.8,0
6.0,7,28,27,51.5,437.55,37,37.079,33,22,56.109,63.019,38.586,8,56,60,23,25,7.813,44.6,41.1,1.002,1.125,0.689,0.662,12.5,0
5.1,4,19,16,40.0,348.39,29,28.391,26,17,42.691,47.113,28.955,7,42,45,16,19,8.295,45.2,38.1,1.016,1.122,0.689,0.676,9.5,0
5.1,5,25,21,46.5,407.44,32,30.261,29,19,43.429,46.91,30.54,10,42,45,13,19,9.701,45.2,31.0,1.034,1.117,0.727,0.72,11.9,0
6.6,2,16,16,26.0,273.14,18,18.175,16,13,24.967,27.499,19.409,3,25,27,9,13,10.926,52.0,36.0,0.999,1.1,0.776,0.727,8.0,0
5.1,3,29,24,59.0,567.66,42,42.378,39,25,62.771,68.083,43.591,12,61,64,22,27,9.306,44.3,36.1,1.029,1.116,0.715,0.695,4.9,0
5.1,9,18,16,43.0,411.48,33,32.498,30,12,52.2,58.604,32.983,12,51,54,21,18,8.068,35.3,41.2,1.024,1.149,0.647,0.637,17.6,0
5.1,7,17,16,43.0,429.53,34,34.899,31,12,56.901,64.529,35.983,10,56,59,25,21,7.67,37.5,44.6,1.016,1.152,0.643,0.623,12.5,0
5.1,3,21,18,45.0,399.9,33,32.821,29,22,47.025,51.97,34.421,5,47,51,18,24,8.509,51.1,38.3,1.001,1.106,0.732,0.698,6.4,0
6.9,4,16,16,31.0,284.35,23,23.676,21,12,37.363,41.903,24.5,6,37,39,16,15,7.685,40.5,43.2,1.01,1.133,0.662,0.64,10.8,0
5.3,5,18,16,32.0,269.29,22,21.117,20,12,31.814,35.156,21.222,7,31,33,11,13,8.687,41.9,35.5,1.026,1.134,0.685,0.681,16.1,0
6.5,21,22,12,73.0,776.07,57,64.308,56,22,109.93,126.526,67.211,23,109,110,53,33,7.12,30.3,48.6,1.009,1.161,0.617,0.59,19.3,0
