pXC50,RBF,O.,Me,H.,nBM,nDB,nAB,Mv,Mp,AMW,Sp,Se,SCBO,nCsp2,nBO,nSK,Si,MW,Mi,nAT,nH,nO,RBN,Sv,nBT,C.
4.74,0.088,1.6,0.983,50.0,18,0,18,0.625,0.68,6.97,43.5,62.89,45.0,18,36,32,71.295,446.07,1.114,64,32,1,6,39.992,68,45.3
4.939,0.092,1.6,0.984,49.2,18,0,18,0.631,0.684,7.083,41.739,60.007,44.0,18,35,31,67.88,432.04,1.113,61,30,1,6,38.466,65,45.9
4.523,0.075,2.6,1.011,39.5,17,1,16,0.684,0.725,9.128,27.551,38.436,34.0,13,25,23,42.558,346.87,1.12,38,15,1,3,25.976,40,42.1
5.615,0.071,7.4,0.998,55.6,1,1,0,0.561,0.602,6.269,16.244,26.942,14.0,1,13,12,30.824,169.25,1.142,27,15,2,2,15.139,28,33.3
8.517,0.14,2.1,0.984,56.3,6,0,6,0.565,0.617,6.031,29.608,47.236,26.0,4,23,21,54.687,289.47,1.139,48,27,1,7,27.101,50,35.4
4.9,0.088,1.6,0.978,51.6,18,0,18,0.612,0.666,6.432,42.643,62.567,44.0,18,35,31,71.351,411.63,1.115,64,33,1,6,39.165,68,45.3
5.003,0.092,1.6,1.001,45.9,18,0,18,0.643,0.682,7.672,41.614,61.032,46.0,18,37,33,68.559,468.02,1.124,61,28,1,6,39.232,65,45.9
5.018,0.092,1.6,0.989,47.5,18,0,18,0.644,0.698,7.647,42.597,60.331,45.0,18,36,32,67.824,466.48,1.112,61,29,1,6,39.293,65,45.9
5.013,0.088,1.6,0.994,48.4,18,0,18,0.624,0.664,6.994,42.518,63.592,46.0,18,37,33,72.03,447.61,1.125,64,31,1,6,39.932,68,45.3
7.398,0.034,3.6,0.996,47.3,14,2,12,0.624,0.66,7.101,36.307,54.781,41.0,13,33,29,61.979,390.53,1.127,55,26,2,2,34.31,59,41.8
5.644,0.022,0.0,0.984,50.0,11,0,11,0.619,0.679,7.13,28.517,41.334,29.5,10,24,21,47.152,299.48,1.123,42,21,0,1,25.993,45,40.5
5.0,0.022,0.0,0.996,47.6,11,0,11,0.628,0.677,7.559,28.455,41.847,30.5,10,25,22,47.491,317.47,1.131,42,20,0,1,26.376,45,40.5
9.762,0.128,6.7,0.997,48.9,8,2,6,0.628,0.698,9.496,31.404,44.872,30.0,9,25,23,50.414,427.31,1.12,45,22,3,6,28.277,47,40.0
7.762,0.128,2.7,0.996,51.4,5,0,5,0.605,0.672,7.716,24.858,36.854,22.5,2,20,18,41.866,285.48,1.132,37,19,1,5,22.368,39,32.4
6.432,0.043,4.7,1.013,41.9,14,2,12,0.645,0.663,7.87,28.512,43.567,36.0,12,28,25,48.9,338.41,1.137,43,18,2,2,27.719,46,39.5
6.959,0.034,3.6,0.996,47.3,14,2,12,0.624,0.66,7.101,36.307,54.781,41.0,13,33,29,61.979,390.53,1.127,55,26,2,2,34.31,59,41.8
5.921,0.032,1.8,0.992,47.4,17,1,16,0.625,0.664,7.045,37.858,56.556,44.0,13,35,30,64.268,401.56,1.128,57,27,1,2,35.617,62,42.1
6.365,0.105,5.6,1.011,46.3,13,1,12,0.626,0.651,7.435,35.142,54.596,39.0,13,32,29,61.204,401.49,1.133,54,25,3,6,33.781,57,42.6
6.848,0.117,5.3,1.008,47.4,13,1,12,0.619,0.647,7.29,36.904,57.48,40.0,13,33,30,64.619,415.52,1.134,57,27,3,7,35.308,60,42.1
6.106,0.111,5.0,1.006,48.3,13,1,12,0.614,0.644,7.159,38.665,60.363,41.0,13,34,31,68.034,429.55,1.134,60,29,3,7,36.834,63,41.7
5.644,0.118,4.7,1.006,45.3,19,1,18,0.638,0.667,7.462,42.665,64.363,49.0,19,39,35,72.034,477.59,1.126,64,29,3,8,40.834,68,45.3
6.141,0.121,4.8,1.004,49.2,13,1,12,0.609,0.642,7.041,40.427,63.247,42.0,13,35,32,71.449,443.58,1.134,63,31,3,8,38.361,66,41.3
6.258,0.108,4.9,1.008,44.3,19,1,18,0.644,0.671,7.599,40.904,61.48,48.0,19,38,34,68.619,463.56,1.125,61,27,3,7,39.308,65,45.9
5.458,0.127,4.5,1.004,46.3,19,1,18,0.632,0.663,7.338,44.427,67.247,50.0,19,40,36,75.449,491.62,1.126,67,31,3,9,42.361,71,44.8
6.21,0.103,7.3,1.018,45.5,14,2,12,0.631,0.659,7.955,36.245,56.0,41.0,12,33,30,62.333,437.55,1.133,55,25,4,6,34.683,58,40.0
5.074,0.113,5.2,1.01,43.1,19,1,18,0.651,0.675,7.751,39.142,58.596,47.0,19,37,33,65.204,449.53,1.124,58,25,3,7,37.781,62,46.6
9.108,0.128,6.7,0.997,48.9,8,2,6,0.628,0.698,9.496,31.404,44.872,30.0,9,25,23,50.414,427.31,1.12,45,22,3,6,28.277,47,40.0
4.636,0.089,4.7,0.988,53.5,7,1,6,0.587,0.635,6.358,27.29,42.476,26.0,7,22,20,48.484,273.41,1.128,43,23,2,4,25.246,45,39.5
4.66,0.071,7.4,0.998,55.6,1,1,0,0.561,0.602,6.269,16.244,26.942,14.0,1,13,12,30.824,169.25,1.142,27,15,2,2,15.139,28,33.3
5.154,0.103,5.4,0.992,51.4,7,1,6,0.6,0.642,6.631,23.767,36.709,24.0,7,20,18,41.654,245.35,1.126,37,19,2,4,22.192,39,40.5
9.374,0.094,4.0,0.987,50.0,13,1,12,0.615,0.661,6.71,33.052,49.36,35.0,13,28,25,55.9,335.48,1.118,50,25,2,5,30.773,53,44.0
8.658,0.094,4.0,0.987,50.0,13,1,12,0.615,0.661,6.71,33.052,49.36,35.0,13,28,25,55.9,335.48,1.118,50,25,2,5,30.773,53,44.0
4.393,0.059,3.0,0.988,54.5,2,1,0,0.575,0.623,6.252,20.557,32.6,19.0,1,16,15,37.528,206.32,1.137,33,18,1,2,18.972,34,36.4
4.559,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
5.269,0.05,2.6,0.984,56.4,2,1,0,0.565,0.617,6.01,24.08,38.367,21.0,1,18,17,44.358,234.38,1.137,39,22,1,2,22.026,40,35.9
4.979,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
4.757,0.071,7.4,0.998,55.6,1,1,0,0.561,0.602,6.269,16.244,26.942,14.0,1,13,12,30.824,169.25,1.142,27,15,2,2,15.139,28,33.3
5.646,0.103,5.4,0.992,51.4,7,1,6,0.6,0.642,6.631,23.767,36.709,24.0,7,20,18,41.654,245.35,1.126,37,19,2,4,22.192,39,40.5
9.057,0.094,4.0,0.987,50.0,13,1,12,0.615,0.661,6.71,33.052,49.36,35.0,13,28,25,55.9,335.48,1.118,50,25,2,5,30.773,53,44.0
8.275,0.094,4.0,0.987,50.0,13,1,12,0.615,0.661,6.71,33.052,49.36,35.0,13,28,25,55.9,335.48,1.118,50,25,2,5,30.773,53,44.0
5.513,0.059,3.0,0.988,54.5,2,1,0,0.575,0.623,6.252,20.557,32.6,19.0,1,16,15,37.528,206.32,1.137,33,18,1,2,18.972,34,36.4
5.519,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
5.921,0.05,2.6,0.984,56.4,2,1,0,0.565,0.617,6.01,24.08,38.367,21.0,1,18,17,44.358,234.38,1.137,39,22,1,2,22.026,40,35.9
5.263,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
4.745,0.069,10.7,1.01,53.6,1,1,0,0.566,0.596,6.616,16.699,28.269,15.0,1,14,13,32.033,185.25,1.144,28,15,3,2,15.853,29,32.1
6.788,0.091,1.9,0.999,48.1,13,1,12,0.622,0.658,7.106,34.233,51.941,37.0,14,30,27,58.785,369.49,1.13,52,25,1,5,32.351,55,44.2
6.15,0.152,6.7,1.012,45.3,21,3,18,0.631,0.655,7.529,49.103,75.887,57.0,19,45,41,84.781,564.68,1.13,75,34,5,12,47.339,79,42.7
4.767,0.123,5.6,1.011,46.3,13,1,12,0.626,0.651,7.435,35.142,54.596,39.0,13,32,29,61.204,401.49,1.133,54,25,3,7,33.781,57,42.6
8.228,0.163,2.4,0.989,54.8,6,1,5,0.577,0.637,6.702,26.733,41.545,23.5,4,20,19,47.776,281.47,1.138,42,23,1,7,24.234,43,33.3
5.514,0.117,5.3,1.002,47.4,13,1,12,0.635,0.68,7.867,38.745,57.102,40.0,13,33,30,63.827,448.42,1.12,57,27,3,7,36.196,60,42.1
6.466,0.139,4.0,1.002,48.0,19,1,18,0.619,0.653,7.129,48.955,75.116,53.0,19,43,39,84.778,534.7,1.13,75,36,3,11,46.436,79,42.7
6.963,0.091,3.8,1.005,48.1,12,0,12,0.617,0.648,7.182,33.688,52.269,36.0,12,30,27,58.994,373.48,1.135,52,25,2,5,32.066,55,42.3
5.495,0.145,4.5,1.002,50.0,13,1,12,0.604,0.639,6.933,42.188,66.13,43.0,13,36,33,74.864,457.61,1.134,66,33,3,10,39.888,69,40.9
10.699,0.082,5.2,0.988,55.2,7,1,6,0.575,0.624,6.182,36.171,57.28,33.0,7,29,26,65.562,358.55,1.13,58,32,3,5,33.331,61,37.9
6.523,0.136,7.1,0.995,53.6,7,1,6,0.581,0.623,6.438,34.864,55.723,33.0,7,29,26,63.356,360.52,1.131,56,30,4,8,32.519,59,37.5
6.698,0.105,5.6,1.011,46.3,13,1,12,0.626,0.651,7.435,35.142,54.596,39.0,13,32,29,61.204,401.49,1.133,54,25,3,6,33.781,57,42.6
11.0,0.085,5.3,0.987,56.1,7,1,6,0.567,0.617,6.08,35.171,56.28,31.0,7,27,25,64.562,346.54,1.133,57,32,3,5,32.331,59,36.8
4.585,0.048,2.5,0.989,50.0,8,2,6,0.617,0.674,7.211,26.966,39.56,27.0,9,22,20,44.863,288.45,1.122,40,20,1,2,24.686,42,40.0
6.027,0.057,3.0,1.01,42.4,11,1,10,0.665,0.714,8.964,23.546,33.334,27.0,8,21,19,37.06,295.82,1.123,33,14,1,2,21.954,35,39.4
5.59,0.061,1.6,0.994,50.0,13,1,12,0.606,0.646,6.816,40.074,61.618,42.0,13,35,31,70.355,422.6,1.135,62,31,1,4,37.559,66,40.3
5.197,0.056,1.5,0.985,51.5,13,1,12,0.602,0.65,6.525,42.898,64.989,44.0,13,37,32,74.431,430.65,1.128,66,34,1,4,39.702,71,40.9
6.442,0.088,5.5,0.996,52.7,8,2,6,0.583,0.623,6.537,34.279,54.774,33.0,8,28,26,62.521,359.52,1.137,55,29,3,5,32.057,57,36.4
5.695,0.088,5.5,1.0,50.9,8,2,6,0.601,0.648,7.971,35.631,55.003,34.0,8,29,27,62.362,438.41,1.134,55,28,3,5,33.082,57,36.4
5.47,0.088,5.5,1.004,49.1,8,2,6,0.62,0.672,9.405,36.983,55.232,35.0,8,30,28,62.204,517.3,1.131,55,27,3,5,34.107,57,36.4
5.498,0.085,5.3,1.025,47.4,8,2,6,0.6,0.616,7.518,35.097,58.414,37.0,7,32,30,66.038,428.51,1.159,57,27,3,5,34.228,59,35.1
6.022,0.059,1.6,0.991,49.2,13,1,12,0.619,0.667,7.16,41.995,62.429,44.0,13,37,32,70.959,451.06,1.126,63,31,1,4,39.003,68,41.3
6.022,0.059,1.6,0.986,50.8,13,1,12,0.606,0.653,6.613,41.137,62.105,43.0,13,36,31,71.015,416.62,1.127,63,32,1,4,38.176,68,41.3
7.12,0.087,0.0,0.973,52.3,13,1,12,0.609,0.668,6.305,29.381,42.821,30.0,14,23,21,49.066,277.44,1.115,44,23,0,4,26.816,46,45.5
5.921,0.061,3.0,0.986,57.6,2,1,0,0.553,0.604,5.919,19.938,32.542,17.0,1,14,14,37.735,195.32,1.143,33,19,1,2,18.235,33,33.3
6.26,0.109,2.3,0.993,50.0,12,0,12,0.603,0.644,6.782,28.33,43.687,30.0,10,24,22,49.939,298.43,1.135,44,22,1,5,26.542,46,38.6
8.745,0.039,4.2,1.002,45.8,13,2,11,0.634,0.676,7.719,32.432,48.091,36.5,12,29,26,54.069,370.52,1.126,48,22,2,2,30.444,51,39.6
5.959,0.111,1.9,0.992,50.0,13,1,12,0.614,0.663,7.153,34.466,51.56,35.0,13,28,26,58.631,371.95,1.128,52,26,1,6,31.928,54,40.4
6.357,0.105,1.8,0.988,54.5,7,1,6,0.581,0.636,6.618,34.989,54.327,31.0,7,27,25,62.461,363.98,1.136,55,30,1,6,31.982,57,36.4
6.31,0.135,2.0,0.989,54.9,7,1,6,0.578,0.632,6.626,32.228,50.443,28.0,7,24,23,58.046,337.94,1.138,51,28,1,7,29.455,52,35.3
5.553,0.034,7.1,1.004,53.6,5,0,5,0.568,0.602,6.545,16.87,28.102,16.5,3,14,13,32.114,183.26,1.147,28,15,2,1,15.897,29,32.1
4.726,0.127,3.8,0.998,49.1,13,1,12,0.616,0.659,7.32,34.921,52.887,36.0,13,29,27,59.84,387.95,1.129,53,26,2,7,32.643,55,39.6
7.63,0.173,3.8,0.997,48.1,42,6,36,0.615,0.651,7.028,104.166,159.562,115.0,39,91,83,181.021,1124.54,1.131,160,77,6,29,98.425,168,40.0
7.0,0.081,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,3,20.499,37,36.1
5.411,0.097,1.7,1.008,43.1,18,0,18,0.664,0.702,8.421,40.711,58.472,46.0,18,37,33,65.088,488.43,1.122,58,25,1,6,38.533,62,46.6
6.276,0.071,7.4,1.003,51.9,5,0,5,0.595,0.649,7.419,17.512,27.076,16.5,3,14,13,30.536,200.31,1.131,27,14,2,2,16.062,28,33.3
6.237,0.131,3.4,0.994,50.8,13,1,12,0.605,0.652,7.051,38.444,58.654,38.0,13,31,29,66.671,416.01,1.13,59,30,2,8,35.696,61,39.0
5.301,0.083,2.2,0.995,47.8,13,1,12,0.628,0.673,7.476,30.944,45.792,33.0,13,26,24,51.8,343.89,1.126,46,22,1,4,28.875,48,41.3
5.939,0.089,1.9,0.992,49.1,13,1,12,0.621,0.669,7.245,35.466,52.56,37.0,13,30,27,59.631,383.96,1.125,53,26,1,5,32.928,56,41.5
5.959,0.029,6.1,0.998,54.5,2,2,0,0.566,0.606,6.373,20.012,32.927,18.0,2,16,15,37.737,210.31,1.144,33,18,2,1,18.687,34,33.3
5.194,0.04,8.3,1.012,50.0,5,0,5,0.588,0.614,7.009,14.727,24.276,15.5,3,13,12,27.491,168.22,1.145,24,12,2,1,14.106,25,33.3
5.886,0.065,6.5,1.0,54.8,2,1,0,0.562,0.601,6.364,18.631,30.985,17.0,1,14,14,35.529,197.29,1.146,31,17,2,2,17.423,31,32.3
7.108,0.063,6.5,1.001,51.6,2,1,0,0.586,0.621,6.719,19.25,31.043,19.0,1,16,15,35.322,208.29,1.139,31,16,2,2,18.16,32,35.5
5.396,0.108,1.6,0.995,51.6,12,0,12,0.596,0.637,6.687,39.523,61.694,39.0,12,33,30,70.529,414.59,1.138,62,32,1,7,36.953,65,40.3
6.397,0.106,1.6,0.995,46.8,19,1,18,0.636,0.673,7.187,41.756,61.709,47.0,20,37,33,69.615,445.59,1.123,62,29,1,7,39.405,66,46.8
6.699,0.02,4.3,1.005,44.7,14,2,12,0.633,0.66,7.478,31.029,47.232,37.0,13,29,26,53.232,351.45,1.133,47,21,2,1,29.751,50,40.4
7.43,0.276,1.9,0.978,59.6,12,0,12,0.546,0.606,5.606,63.012,101.686,49.0,12,43,42,118.453,583.02,1.139,104,62,2,29,56.792,105,34.6
7.638,0.039,4.2,1.0,45.8,14,2,12,0.63,0.662,7.301,31.784,48.014,37.0,14,29,26,54.149,350.46,1.128,48,22,2,2,30.256,51,41.7
6.523,0.04,4.3,1.005,44.7,14,2,12,0.633,0.66,7.478,31.029,47.232,37.0,13,29,26,53.232,351.45,1.133,47,21,2,2,29.751,50,40.4
7.15,0.032,3.3,0.98,58.3,2,2,0,0.557,0.614,5.76,36.859,58.778,30.0,3,28,25,67.976,345.58,1.133,60,35,2,2,33.407,63,36.7
7.495,0.143,0.0,0.987,56.1,6,1,5,0.557,0.607,6.083,24.881,40.461,22.5,3,19,18,47.228,249.41,1.152,41,23,0,6,22.848,42,31.7
5.387,0.04,8.3,1.008,50.0,5,0,5,0.606,0.656,7.762,15.75,24.193,15.5,3,13,12,27.121,186.28,1.13,24,12,2,1,14.536,25,33.3
4.796,0.063,4.3,0.991,57.4,2,2,0,0.549,0.597,5.988,28.063,46.563,23.0,2,21,20,53.896,281.45,1.147,47,27,2,3,25.815,48,31.9
5.0,0.057,4.0,1.002,46.0,14,2,12,0.626,0.656,7.31,32.79,50.116,38.0,13,30,27,56.647,365.48,1.133,50,23,2,3,31.278,53,40.0
4.77,0.109,2.3,0.993,50.0,12,0,12,0.603,0.644,6.782,28.33,43.687,30.0,10,24,22,49.939,298.43,1.135,44,22,1,5,26.542,46,38.6
6.222,0.102,4.3,1.0,46.8,14,2,12,0.622,0.655,7.201,30.784,47.014,35.0,13,27,25,53.149,338.45,1.131,47,22,2,5,29.256,49,40.4
7.0,0.037,3.9,0.998,47.1,14,2,12,0.623,0.658,7.147,33.546,50.898,38.0,13,30,27,57.564,364.49,1.129,51,24,2,2,31.783,54,41.2
4.0,0.096,2.0,0.986,54.0,7,1,6,0.586,0.645,6.671,32.256,49.312,29.0,7,25,23,56.607,333.55,1.132,50,27,1,5,29.288,52,36.0
6.367,0.065,6.7,0.999,53.3,5,0,5,0.586,0.642,7.145,19.273,29.96,17.5,3,15,14,33.951,214.34,1.132,30,16,2,2,17.589,31,33.3
5.727,0.117,5.3,1.008,47.4,13,1,12,0.619,0.647,7.29,36.904,57.48,40.0,13,33,30,64.619,415.52,1.134,57,27,3,7,35.308,60,42.1
6.128,0.111,0.0,0.985,48.6,13,1,12,0.621,0.667,6.839,23.347,34.491,26.0,13,19,18,39.401,239.35,1.126,35,17,0,4,21.752,36,42.9
5.326,0.118,4.7,1.006,45.3,19,1,18,0.638,0.667,7.462,42.665,64.363,49.0,19,39,35,72.034,477.59,1.126,64,29,3,8,40.834,68,45.3
6.602,0.074,7.7,1.007,46.2,6,0,5,0.636,0.683,8.088,17.75,26.193,19.5,3,15,14,29.121,210.3,1.12,26,12,2,2,16.536,27,38.5
4.523,0.0,8.3,1.008,50.0,2,2,0,0.606,0.656,7.762,15.75,24.193,15.0,3,13,12,27.121,186.28,1.13,24,12,2,0,14.536,25,33.3
5.235,0.0,6.9,0.994,58.6,0,0,0,0.54,0.586,5.906,17.006,28.825,13.0,0,13,12,33.239,171.27,1.146,29,17,2,0,15.665,30,31.0
5.803,0.0,6.7,0.994,56.7,0,0,0,0.556,0.6,6.109,18.006,29.825,15.0,0,15,13,34.239,183.28,1.141,30,17,2,0,16.665,32,33.3
9.25,0.035,5.7,0.993,49.1,13,1,12,0.618,0.658,6.877,34.887,52.629,38.0,13,31,27,59.317,364.5,1.119,53,26,3,2,32.751,57,43.4
4.824,0.063,6.3,0.989,62.5,0,0,0,0.514,0.567,5.447,18.148,31.651,12.0,0,12,12,36.862,174.3,1.152,32,20,2,2,16.456,32,28.1
8.959,0.1,8.5,1.002,51.1,7,1,6,0.594,0.629,6.775,29.58,47.072,30.0,7,26,23,53.111,318.43,1.13,47,24,4,5,27.939,50,38.3
5.585,0.065,6.7,0.994,56.7,1,1,0,0.556,0.6,6.109,18.006,29.825,15.0,1,14,13,34.239,183.28,1.141,30,17,2,2,16.665,31,33.3
4.73,0.067,6.7,0.992,60.0,1,1,0,0.531,0.58,5.743,17.387,29.767,13.0,1,12,12,34.446,172.28,1.148,30,18,2,2,15.929,30,30.0
4.222,0.07,4.9,1.001,46.3,13,1,12,0.627,0.659,7.253,27.017,41.029,31.0,12,24,22,46.235,297.39,1.128,41,19,2,3,25.708,43,41.5
5.886,0.105,0.0,0.986,47.2,16,0,16,0.632,0.676,6.982,24.347,35.491,29.0,13,21,19,40.401,251.36,1.122,36,17,0,4,22.752,38,44.4
6.398,0.029,0.0,0.988,46.9,12,0,12,0.632,0.675,7.041,21.586,31.607,25.0,11,19,17,35.986,225.32,1.125,32,15,0,1,20.225,34,43.8
5.167,0.091,2.4,0.99,50.0,12,0,12,0.608,0.651,6.748,27.324,41.585,29.0,11,23,21,47.441,283.41,1.13,42,21,1,4,25.52,44,40.5
6.23,0.065,3.3,1.0,50.0,6,1,5,0.604,0.656,7.512,19.688,30.011,19.5,4,16,15,34.116,225.35,1.137,30,15,1,2,18.127,31,33.3
5.932,0.109,3.3,0.998,49.2,14,2,12,0.605,0.641,6.928,39.08,60.869,42.0,13,34,31,69.391,422.59,1.138,61,30,2,7,36.88,64,37.7
5.332,0.056,3.9,1.004,45.1,14,2,12,0.637,0.675,7.795,34.438,51.192,39.0,13,31,28,57.567,397.55,1.129,51,23,2,3,32.465,54,39.2
5.021,0.118,4.6,1.005,47.7,15,3,12,0.609,0.639,7.163,41.54,65.298,46.0,14,37,34,74.099,465.62,1.14,65,31,3,8,39.616,68,36.9
7.801,0.152,2.6,0.991,52.6,14,2,12,0.586,0.63,6.483,47.887,75.287,47.0,13,39,36,86.467,492.74,1.138,76,40,2,12,44.514,79,36.8
4.0,0.057,8.0,1.019,42.0,16,4,12,0.647,0.672,8.31,33.585,50.963,42.0,13,32,29,56.571,415.52,1.131,50,21,4,3,32.368,53,38.0
7.79,0.088,3.0,0.997,51.5,6,1,5,0.596,0.65,7.254,21.449,32.894,20.5,4,17,16,37.531,239.38,1.137,33,17,1,3,19.654,34,33.3
8.523,0.165,2.3,0.987,54.5,14,2,12,0.575,0.624,6.237,54.933,86.821,51.0,13,43,40,100.128,548.86,1.138,88,48,2,15,50.621,91,36.4
4.0,0.038,6.1,1.011,42.9,15,3,12,0.642,0.663,7.744,32.483,49.56,40.0,14,31,28,55.441,379.46,1.131,49,21,3,2,31.466,52,40.8
7.431,0.134,5.1,0.999,50.6,15,3,12,0.594,0.63,6.794,49.796,78.941,51.0,14,42,39,89.886,536.75,1.138,79,40,4,11,46.943,82,36.7
6.0,0.065,3.3,1.0,50.0,6,1,5,0.604,0.656,7.512,19.688,30.011,19.5,4,16,15,34.116,225.35,1.137,30,15,1,2,18.127,31,33.3
7.18,0.129,3.0,0.995,50.7,14,2,12,0.596,0.636,6.726,42.603,66.636,44.0,13,36,33,76.221,450.65,1.138,67,34,2,9,39.933,70,37.3
8.748,0.118,3.0,0.997,51.5,6,1,5,0.596,0.65,7.254,21.449,32.894,20.5,4,17,16,37.531,239.38,1.137,33,17,1,4,19.654,34,33.3
6.77,0.093,5.7,1.007,42.9,22,4,18,0.647,0.671,7.695,46.989,70.523,58.0,21,45,40,78.81,538.66,1.126,70,30,4,7,45.309,75,42.9
5.547,0.074,4.7,1.005,43.8,21,3,18,0.642,0.668,7.572,42.773,64.312,52.0,20,40,36,72.185,484.61,1.128,64,28,3,5,41.068,68,42.2
4.666,0.071,7.4,0.998,55.6,1,1,0,0.561,0.602,6.269,16.244,26.942,14.0,1,13,12,30.824,169.25,1.142,27,15,2,2,15.139,28,33.3
7.62,0.145,2.7,0.992,52.1,14,2,12,0.589,0.632,6.558,46.126,72.403,46.0,13,38,35,83.052,478.71,1.138,73,38,2,11,42.987,76,37.0
4.523,0.055,7.7,1.02,42.3,16,4,12,0.642,0.665,8.28,34.591,53.065,43.0,13,33,30,59.069,430.54,1.136,52,22,4,3,33.389,55,36.5
5.883,0.119,3.1,0.996,50.0,14,2,12,0.6,0.638,6.822,40.841,63.752,43.0,13,35,32,72.806,436.62,1.138,64,32,2,8,38.406,67,37.5
6.83,0.071,3.7,1.005,48.1,6,1,5,0.615,0.664,7.827,17.926,27.127,18.5,4,15,14,30.7,211.32,1.137,27,13,1,2,16.6,28,33.3
5.857,0.096,4.3,1.004,44.9,21,3,18,0.632,0.66,7.444,45.54,69.298,54.0,20,42,38,78.099,513.66,1.132,69,31,3,7,43.616,73,40.6
7.797,0.108,2.8,0.994,52.8,6,1,5,0.588,0.645,7.039,23.211,35.778,21.5,4,18,17,40.946,253.41,1.137,36,19,1,4,21.181,37,33.3
5.777,0.058,4.1,1.005,42.9,15,2,12,0.648,0.674,7.663,33.029,49.232,41.0,13,31,28,55.232,375.47,1.127,49,21,2,3,31.751,52,42.9
8.3,0.038,6.1,0.995,49.0,13,1,12,0.617,0.656,6.907,32.125,48.745,35.0,13,28,25,54.901,338.46,1.12,49,24,3,2,30.224,52,42.9
7.222,0.103,5.5,1.006,43.8,22,4,18,0.642,0.668,7.571,48.75,73.407,59.0,21,46,41,82.225,552.69,1.126,73,32,4,8,46.836,78,42.5
8.158,0.14,2.4,0.989,54.8,6,1,5,0.577,0.637,6.702,26.733,41.545,23.5,4,20,19,47.776,281.47,1.138,42,23,1,6,24.234,43,33.3
5.0,0.061,12.5,1.029,46.9,3,3,0,0.596,0.606,7.54,19.404,32.916,21.0,3,18,17,36.824,241.28,1.151,32,15,4,2,19.084,33,31.3
7.699,0.137,2.9,0.993,51.4,14,2,12,0.592,0.634,6.638,44.364,69.519,45.0,13,37,34,79.637,464.68,1.138,70,36,2,10,41.46,73,37.1
8.828,0.135,0.0,0.987,52.8,6,1,5,0.601,0.678,7.486,24.404,35.527,21.5,4,18,17,40.657,269.48,1.129,36,19,0,5,21.653,37,33.3
6.426,0.042,0.0,1.01,43.5,6,1,5,0.66,0.72,9.38,16.568,23.24,17.5,4,14,13,26.02,215.73,1.131,23,10,0,1,15.186,24,34.8
6.728,0.156,0.0,0.98,56.8,6,1,5,0.569,0.637,6.352,28.04,43.101,23.5,4,20,19,49.982,279.5,1.136,44,25,0,7,25.046,45,34.1
4.523,0.115,8.0,1.015,46.7,17,5,12,0.613,0.641,7.65,48.074,76.123,54.0,14,43,40,85.477,573.75,1.14,75,35,6,9,46.001,78,34.7
6.979,0.159,0.0,0.984,55.8,6,1,5,0.571,0.635,6.523,27.285,42.32,23.5,4,20,19,49.065,280.49,1.141,43,24,0,7,24.541,44,32.6
8.47,0.15,0.0,0.985,53.8,6,1,5,0.594,0.671,7.269,26.165,38.411,22.5,4,19,18,44.072,283.51,1.13,39,21,0,6,23.18,40,33.3
7.367,0.071,0.0,0.995,48.1,6,1,5,0.632,0.708,8.422,19.12,26.876,18.5,4,15,14,30.411,227.39,1.126,27,13,0,2,17.072,28,33.3
5.114,0.054,3.8,1.0,47.2,14,2,12,0.619,0.652,7.161,34.552,53.0,39.0,13,31,28,60.062,379.51,1.133,53,25,2,3,32.805,56,39.6
8.038,0.14,2.4,0.989,54.8,6,1,5,0.577,0.637,6.702,26.733,41.545,23.5,4,20,19,47.776,281.47,1.138,42,23,1,6,24.234,43,33.3
8.398,0.118,0.0,0.989,51.5,6,1,5,0.61,0.686,7.741,22.642,32.643,20.5,4,17,16,37.241,255.45,1.129,33,17,0,4,20.126,34,33.3
7.745,0.118,3.0,0.997,51.5,6,1,5,0.596,0.65,7.254,21.449,32.894,20.5,4,17,16,37.531,239.38,1.137,33,17,1,4,19.654,34,33.3
5.412,0.086,3.6,1.002,47.3,14,2,12,0.615,0.646,7.173,35.557,55.101,40.0,13,32,29,62.561,394.53,1.137,55,26,2,5,33.826,58,38.2
8.244,0.163,0.0,0.983,54.8,6,1,5,0.588,0.665,7.084,27.927,41.294,23.5,4,20,19,47.487,297.54,1.131,42,23,0,7,24.706,43,33.3
8.416,0.078,2.1,0.987,50.0,12,0,12,0.623,0.676,7.123,32.455,47.356,33.0,12,27,24,53.634,341.91,1.117,48,24,1,4,29.885,51,43.8
