pXC50,RBN,RBF,nH,MW,C.,SCBO,nC,Sp,nBO,Sv,nSK,N.,Se,Si,nBT,nAT,Mp,nCsp2,nF,Mv,nAB,nN,nBM,H.,Mi,nHet,AMW,nX
4.796,6,0.12,26,298.47,39.6,30.0,19,30.603,24,28.079,22,4.2,47.134,54.188,50,48,0.638,9,0,0.585,10,2,11,54.2,1.129,3,6.218,0
6.149,2,0.048,20,252.39,43.6,28.0,17,25.864,22,23.784,19,5.1,38.156,43.733,42,39,0.663,10,0,0.61,10,2,11,51.3,1.121,2,6.472,0
7.137,7,0.103,35,409.63,38.5,39.0,25,41.108,33,37.923,30,4.6,64.098,73.557,68,65,0.632,12,0,0.583,12,3,12,53.8,1.132,5,6.302,0
5.004,4,0.071,25,375.51,43.4,41.0,23,35.302,31,33.289,28,5.7,52.68,59.481,56,53,0.666,13,0,0.628,16,3,17,47.2,1.122,5,7.085,0
4.066,3,0.057,23,361.48,44.0,40.0,22,33.54,30,31.762,27,6.0,49.796,56.066,53,50,0.671,13,0,0.635,16,3,17,46.0,1.121,5,7.23,0
6.955,6,0.088,32,456.67,37.5,43.0,24,41.694,36,38.792,32,6.3,63.836,72.354,68,64,0.651,9,0,0.606,10,4,12,50.0,1.131,8,7.135,0
4.81,0,0.0,17,251.35,47.2,28.0,17,24.551,22,22.951,19,2.8,35.498,40.029,39,36,0.682,12,0,0.638,12,1,12,47.2,1.112,2,6.982,0
6.067,5,0.079,29,477.48,45.0,44.0,27,41.478,34,38.158,31,3.3,59.13,66.86,63,60,0.691,20,0,0.636,18,2,19,48.3,1.114,4,7.958,1
5.0,2,0.045,20,284.39,41.5,30.0,17,26.773,24,25.214,21,4.9,40.811,46.152,44,41,0.653,9,0,0.615,10,2,11,48.8,1.126,4,6.936,0
5.772,8,0.107,35,507.68,41.7,50.0,30,46.745,40,44.216,37,4.2,72.007,81.652,75,72,0.649,19,2,0.614,12,3,16,48.6,1.134,7,7.051,2
6.373,4,0.071,28,332.53,43.4,35.0,23,34.91,28,31.891,25,3.8,51.69,59.394,56,53,0.659,14,0,0.602,12,2,13,52.8,1.121,2,6.274,0
6.344,4,0.082,22,377.47,36.2,32.0,17,29.966,27,28.824,25,2.1,48.301,54.048,49,47,0.638,6,3,0.613,6,1,8,46.8,1.15,8,8.031,3
6.18,6,0.085,30,487.64,40.9,52.5,27,43.569,41,41.569,36,10.6,66.156,75.02,71,66,0.66,17,1,0.63,21,7,22,45.5,1.137,9,7.388,1
6.367,6,0.085,30,487.64,40.9,52.5,27,43.569,41,41.569,36,10.6,66.156,75.02,71,66,0.66,17,1,0.63,21,7,22,45.5,1.137,9,7.388,1
8.585,6,0.15,17,299.43,42.1,31.0,16,26.449,23,24.654,21,7.9,37.894,42.531,40,38,0.696,13,0,0.649,16,3,16,44.7,1.119,5,7.88,0
5.633,5,0.109,25,271.45,37.8,26.0,17,28.393,21,25.859,20,6.7,44.025,51.062,46,45,0.631,6,0,0.575,6,3,7,55.6,1.135,3,6.032,0
8.921,5,0.102,22,359.89,40.4,34.0,19,31.398,27,29.589,25,6.4,47.12,53.01,49,47,0.668,13,0,0.63,12,3,13,46.8,1.128,6,7.657,1
7.538,6,0.083,31,486.65,41.8,52.5,28,44.324,41,42.075,36,9.0,66.938,75.937,72,67,0.662,18,1,0.628,21,6,22,46.3,1.133,8,7.263,1
7.759,3,0.065,21,291.43,44.2,33.0,19,28.87,25,26.805,22,7.0,42.258,48.232,46,43,0.671,14,0,0.623,16,3,16,48.8,1.122,3,6.777,0
6.824,2,0.047,21,255.39,42.5,27.0,17,26.074,22,24.004,19,2.5,39.265,44.86,43,40,0.652,8,0,0.6,10,1,10,52.5,1.121,2,6.385,0
7.398,6,0.115,22,413.5,40.0,38.0,20,32.966,30,31.824,28,2.0,51.301,57.048,52,50,0.659,12,3,0.636,12,1,14,44.0,1.141,8,8.27,3
6.509,6,0.085,30,487.64,40.9,52.5,27,43.569,41,41.569,36,10.6,66.156,75.02,71,66,0.66,17,1,0.63,21,7,22,45.5,1.137,9,7.388,1
5.301,1,0.019,25,364.95,45.1,37.0,23,35.006,29,32.192,26,3.9,50.131,56.923,54,51,0.686,16,0,0.631,12,2,14,49.0,1.116,3,7.156,1
5.204,7,0.137,19,499.5,32.0,39.0,16,31.79,32,32.306,31,2.0,53.898,58.615,51,50,0.636,6,6,0.646,6,1,10,38.0,1.172,15,9.99,6
4.928,5,0.114,20,351.43,34.9,29.0,15,27.205,24,26.298,23,2.3,44.418,49.633,44,43,0.633,6,3,0.612,6,1,8,46.5,1.154,8,8.173,3
5.908,2,0.05,21,251.44,34.2,21.5,13,24.517,19,21.993,17,7.9,37.334,43.152,40,38,0.645,3,0,0.579,5,3,5,55.3,1.136,4,6.617,0
6.407,5,0.109,27,245.45,37.8,22.0,17,27.904,19,24.87,18,2.2,43.589,50.896,46,45,0.62,6,0,0.553,6,1,6,60.0,1.131,1,5.454,0
6.658,7,0.119,26,427.97,41.1,41.0,23,37.375,33,35.358,30,5.4,56.214,63.05,59,56,0.667,14,0,0.631,12,3,14,46.4,1.126,7,7.642,1
5.509,3,0.075,20,240.38,42.1,25.0,16,24.864,20,22.784,18,5.3,37.156,42.733,40,38,0.654,6,0,0.6,6,2,7,52.6,1.125,2,6.326,0
7.066,6,0.085,30,487.64,40.9,52.5,27,43.569,41,41.569,36,10.6,66.156,75.02,71,66,0.66,17,1,0.63,21,7,22,45.5,1.137,9,7.388,1
9.009,5,0.102,22,359.89,40.4,34.0,19,31.398,27,29.589,25,6.4,47.12,53.01,49,47,0.668,13,0,0.63,12,3,13,46.8,1.128,6,7.657,1
5.928,4,0.098,18,337.4,35.0,28.0,14,25.443,23,24.771,22,2.5,41.534,46.218,41,40,0.636,6,3,0.619,6,1,8,45.0,1.155,8,8.435,3
6.244,6,0.083,31,486.65,41.8,52.5,28,44.324,41,42.075,36,9.0,66.938,75.937,72,67,0.662,18,1,0.628,21,6,22,46.3,1.133,8,7.263,1
8.569,6,0.15,16,317.8,42.1,32.0,16,26.114,24,25.009,22,7.9,38.469,42.764,40,38,0.687,13,0,0.658,16,3,16,42.1,1.125,6,8.363,1
5.47,5,0.104,26,310.51,34.0,27.0,16,29.705,22,26.981,21,4.3,46.538,53.318,48,47,0.632,6,0,0.574,6,2,8,55.3,1.134,5,6.607,0
5.465,2,0.053,19,249.42,36.1,22.5,13,23.756,19,21.466,17,8.3,35.451,40.737,38,36,0.66,5,0,0.596,5,3,6,52.8,1.132,4,6.928,0
7.259,11,0.186,28,401.52,40.4,38.0,23,36.421,31,34.639,29,1.8,57.294,64.488,59,57,0.639,13,1,0.608,12,1,13,49.1,1.131,6,7.044,1
6.395,3,0.064,20,341.87,43.2,34.0,19,30.182,27,28.348,24,6.8,43.909,49.385,47,44,0.686,13,0,0.644,12,3,13,45.5,1.122,5,7.77,1
7.066,7,0.095,32,501.67,40.6,53.5,28,45.33,42,43.096,37,10.1,69.039,78.435,74,69,0.657,17,1,0.625,21,7,22,46.4,1.137,9,7.271,1
7.42,2,0.043,21,295.41,44.2,31.0,19,28.529,25,26.719,22,2.3,42.592,48.069,46,43,0.663,12,0,0.621,12,1,12,48.8,1.118,3,6.87,0
7.921,6,0.111,21,455.9,40.4,41.0,21,34.426,33,33.981,31,5.8,53.869,59.653,54,52,0.662,14,3,0.653,12,3,14,40.4,1.147,10,8.767,4
7.796,6,0.086,29,488.63,40.0,52.5,26,42.813,41,41.064,36,12.3,65.374,74.103,70,65,0.659,16,1,0.632,21,8,22,44.6,1.14,10,7.517,1
7.358,9,0.173,24,357.46,42.0,35.0,21,32.444,28,30.871,26,2.0,50.2,56.449,52,50,0.649,13,1,0.617,12,1,13,48.0,1.129,5,7.149,1
4.437,0,0.0,13,216.28,44.8,24.0,13,19.517,19,18.587,16,6.9,29.018,32.828,32,29,0.673,8,1,0.641,10,2,10,44.8,1.132,3,7.458,1
6.721,8,0.123,30,457.04,40.3,44.0,25,40.932,35,38.386,32,6.5,61.941,70.299,65,62,0.66,15,1,0.619,16,4,17,48.4,1.134,7,7.372,2
7.347,7,0.109,31,409.58,39.3,40.0,24,39.04,33,36.584,30,4.9,60.658,68.936,64,61,0.64,13,0,0.6,12,3,13,50.8,1.13,6,6.714,0
7.194,6,0.086,34,454.7,37.9,43.0,25,43.0,36,39.604,32,6.1,65.392,74.56,70,66,0.652,9,0,0.6,10,4,12,51.5,1.13,7,6.889,0
7.523,6,0.111,24,369.48,41.2,38.0,21,33.239,30,31.672,27,5.9,51.192,57.821,54,51,0.652,13,1,0.621,16,3,16,47.1,1.134,6,7.245,1
7.585,7,0.117,28,396.53,40.4,39.0,23,36.728,32,34.75,29,3.5,57.0,64.232,60,57,0.644,13,0,0.61,12,2,13,49.1,1.127,6,6.957,0
5.738,7,0.101,32,420.64,46.9,48.0,30,43.432,37,39.945,32,3.1,62.458,71.225,69,64,0.679,20,0,0.624,22,2,22,50.0,1.113,2,6.572,0
6.886,6,0.086,32,483.08,40.9,47.0,27,43.694,38,40.913,34,6.1,65.825,74.714,70,66,0.662,15,1,0.62,16,4,17,48.5,1.132,7,7.319,2
5.345,5,0.079,28,392.58,48.3,46.0,28,39.91,35,36.891,30,3.4,56.69,64.394,63,58,0.688,20,0,0.636,22,2,22,48.3,1.11,2,6.769,0
6.169,6,0.103,28,344.54,44.4,38.0,24,35.91,30,32.891,26,3.7,52.69,60.394,58,54,0.665,14,0,0.609,16,2,16,51.9,1.118,2,6.38,0
7.62,6,0.13,20,346.86,43.2,34.0,19,29.875,26,28.236,24,4.5,44.203,49.642,46,44,0.679,14,1,0.642,16,2,16,45.5,1.128,5,7.883,2
7.638,6,0.097,30,414.63,37.3,39.0,22,38.478,32,35.551,29,6.8,58.625,66.73,62,59,0.652,9,0,0.603,10,4,12,50.8,1.131,7,7.028,0
6.62,6,0.118,22,374.51,37.5,36.0,18,31.887,29,30.158,26,8.3,48.418,54.278,51,48,0.664,9,0,0.628,10,4,12,45.8,1.131,8,7.802,0
5.0,2,0.041,21,319.44,44.4,36.5,20,30.324,28,28.52,24,6.7,44.585,50.441,49,45,0.674,12,0,0.634,15,3,16,46.7,1.121,4,7.099,0
6.0,0,0.0,15,237.32,48.5,27.0,16,22.79,21,21.424,18,3.0,32.614,36.614,36,33,0.691,12,0,0.649,12,1,12,45.5,1.11,2,7.192,0
7.42,4,0.095,18,316.83,45.0,32.0,18,27.659,24,25.995,22,5.0,39.992,45.017,42,40,0.691,14,1,0.65,16,2,16,45.0,1.125,4,7.921,2
7.699,8,0.136,26,428.98,41.1,42.0,23,37.409,33,35.333,30,7.1,56.174,63.469,59,56,0.668,15,1,0.631,16,4,17,46.4,1.133,7,7.66,2
6.398,8,0.136,26,428.98,41.1,42.0,23,37.409,33,35.333,30,7.1,56.174,63.469,59,56,0.668,15,1,0.631,16,4,17,46.4,1.133,7,7.66,2
8.0,5,0.083,27,431.98,40.4,40.0,23,37.62,33,35.553,30,5.3,57.283,64.595,60,57,0.66,13,1,0.624,12,3,13,47.4,1.133,7,7.579,2
5.585,4,0.08,22,318.45,45.7,36.0,21,31.08,28,29.026,24,4.3,45.367,51.358,50,46,0.676,14,0,0.631,16,2,16,47.8,1.116,3,6.923,0
7.628,1,0.022,20,317.47,40.5,30.5,17,28.455,25,26.376,22,7.1,41.847,47.491,45,42,0.677,10,1,0.628,11,3,11,47.6,1.131,5,7.559,1
6.125,5,0.086,27,397.59,40.0,38.0,22,36.711,31,34.003,28,5.5,54.64,61.816,58,55,0.667,13,0,0.618,12,3,13,49.1,1.124,6,7.229,0
7.284,7,0.117,28,396.53,40.4,39.0,23,36.728,32,34.75,29,3.5,57.0,64.232,60,57,0.644,13,0,0.61,12,2,13,49.1,1.127,6,6.957,0
6.921,6,0.095,29,439.63,40.0,42.0,24,39.926,34,37.244,31,5.0,59.851,67.441,63,60,0.665,14,0,0.621,12,3,14,48.3,1.124,7,7.327,0
7.569,5,0.102,20,374.87,43.5,37.0,20,31.33,29,29.951,26,4.3,46.531,51.851,49,46,0.681,14,1,0.651,16,2,16,43.5,1.127,6,8.149,2
6.0,4,0.073,27,329.52,46.2,36.0,24,34.904,28,31.87,25,1.9,50.589,57.896,55,52,0.671,16,0,0.613,12,1,14,51.9,1.113,1,6.337,0
6.85,3,0.05,24,417.52,45.5,47.0,25,37.239,36,35.672,31,5.5,55.192,61.821,60,55,0.677,16,1,0.649,20,3,21,43.6,1.124,6,7.591,1
7.126,1,0.022,21,299.48,40.5,29.5,17,28.517,24,25.993,21,7.1,41.334,47.152,45,42,0.679,10,0,0.619,11,3,11,50.0,1.123,4,7.13,0
6.444,6,0.09,31,459.04,38.1,43.0,24,40.904,36,38.433,32,6.3,63.083,71.378,67,63,0.649,9,0,0.61,10,4,12,49.2,1.133,8,7.286,1
8.021,2,0.042,22,331.5,40.0,31.5,18,30.216,26,27.903,23,6.7,44.731,50.907,48,45,0.671,10,1,0.62,11,3,11,48.9,1.131,5,7.367,1
6.699,8,0.14,24,430.95,40.7,42.0,22,36.103,33,34.521,30,7.4,54.618,61.263,57,54,0.669,15,1,0.639,16,4,17,44.4,1.134,8,7.981,2
5.585,4,0.077,24,316.48,45.8,36.0,22,32.387,28,29.838,24,4.2,46.923,53.564,52,48,0.675,14,0,0.622,16,2,16,50.0,1.116,2,6.593,0
8.399,2,0.042,22,392.4,40.0,31.5,18,31.631,26,28.545,23,6.7,44.447,50.409,48,45,0.703,10,0,0.634,11,3,11,48.9,1.12,5,8.72,1
10.409,8,0.114,34,451.64,40.3,44.0,27,43.046,36,40.306,33,4.5,66.61,75.897,70,67,0.642,14,1,0.602,12,3,14,50.7,1.133,6,6.741,1
7.162,4,0.098,18,287.36,43.6,29.0,17,25.705,23,24.576,21,2.6,39.222,43.994,41,39,0.659,12,1,0.63,12,1,12,46.2,1.128,4,7.368,1
6.157,6,0.088,30,478.74,41.3,47.0,26,43.671,38,40.023,33,6.3,62.374,70.44,68,63,0.693,14,0,0.635,16,4,17,47.6,1.118,7,7.599,0
5.947,6,0.103,28,415.58,35.7,34.0,20,35.591,30,33.491,28,5.4,56.618,64.456,58,56,0.636,7,3,0.598,6,3,7,50.0,1.151,8,7.421,3
7.836,7,0.137,22,354.44,41.7,37.0,20,31.443,29,30.17,26,4.2,48.349,53.986,51,48,0.655,13,0,0.629,16,2,16,45.8,1.125,6,7.384,0
5.0,1,0.022,23,294.86,37.2,25.0,16,27.699,22,25.38,20,4.7,42.574,48.717,45,43,0.644,6,0,0.59,6,2,6,53.5,1.133,4,6.857,1
6.547,2,0.056,18,251.78,40.0,22.0,14,23.171,18,21.305,17,2.9,34.705,39.389,36,35,0.662,8,0,0.609,6,1,7,51.4,1.125,3,7.194,1
7.509,7,0.109,30,438.65,39.3,42.0,24,40.478,34,37.551,31,6.6,60.625,68.73,64,61,0.664,14,0,0.616,12,4,14,49.2,1.127,7,7.191,0
6.699,7,0.095,36,476.75,40.0,47.0,28,46.307,38,42.416,34,5.7,68.949,78.766,74,70,0.662,15,0,0.606,16,4,17,51.4,1.125,6,6.811,0
6.0,6,0.118,25,331.46,36.7,31.5,18,30.756,26,29.003,24,6.1,49.007,55.69,51,49,0.628,9,0,0.592,11,3,11,51.0,1.137,6,6.764,0
6.382,7,0.127,27,358.51,37.7,34.0,20,33.552,28,31.505,26,7.5,52.85,60.525,55,53,0.633,10,1,0.594,12,4,12,50.9,1.142,6,6.764,1
7.229,7,0.095,35,494.74,40.0,48.0,28,46.245,39,42.8,35,5.7,69.461,79.106,74,70,0.661,15,1,0.611,16,4,17,50.0,1.13,7,7.068,1
7.959,2,0.035,26,384.96,43.4,37.0,23,35.705,31,33.102,27,3.8,52.527,59.678,57,53,0.674,12,1,0.625,12,2,12,49.1,1.126,4,7.263,2
5.86,6,0.122,23,330.45,38.3,32.0,18,30.029,26,28.452,24,8.5,47.083,53.694,49,47,0.639,10,1,0.605,12,4,12,48.9,1.142,6,7.031,1
7.138,4,0.058,34,418.64,40.0,42.0,26,41.898,35,38.702,31,6.2,63.989,73.431,69,65,0.645,12,0,0.595,12,4,13,52.3,1.13,5,6.441,0
7.288,6,0.115,27,309.49,42.0,31.0,21,32.358,25,29.585,23,2.0,48.916,56.105,52,50,0.647,12,0,0.592,12,1,12,54.0,1.122,2,6.19,0
7.276,4,0.073,27,329.52,46.2,36.0,24,34.904,28,31.87,25,1.9,50.589,57.896,55,52,0.671,16,0,0.613,12,1,14,51.9,1.113,1,6.337,0
7.066,6,0.109,26,390.63,36.5,35.0,19,35.148,29,31.969,26,7.7,51.607,58.61,55,52,0.676,8,0,0.615,10,4,11,50.0,1.127,7,7.512,0
10.06,9,0.118,34,515.68,43.1,53.0,31,47.5,42,45.021,38,4.2,71.938,81.106,76,72,0.66,20,1,0.625,18,3,20,47.2,1.126,7,7.162,1
9.672,8,0.111,31,611.54,44.1,52.0,30,47.944,41,44.096,37,4.4,67.796,76.202,72,68,0.705,20,1,0.648,18,3,20,45.6,1.121,7,8.993,2
6.0,8,0.119,29,483.58,37.5,47.5,24,40.892,38,39.717,35,7.8,65.076,72.73,67,64,0.639,15,0,0.621,17,5,18,45.3,1.136,11,7.556,0
6.0,1,0.029,15,225.31,46.9,25.0,15,21.79,19,20.424,17,3.1,31.614,35.614,34,32,0.681,12,0,0.638,12,1,12,46.9,1.113,2,7.041,0
6.866,7,0.121,25,458.63,36.4,39.0,20,36.722,33,34.646,30,7.3,56.029,63.044,58,55,0.668,8,3,0.63,10,4,11,45.5,1.146,10,8.339,3
9.023,2,0.035,29,339.53,38.9,34.0,21,34.37,28,31.627,25,5.6,53.12,61.102,57,54,0.636,9,0,0.586,10,3,11,53.7,1.132,4,6.288,0
5.301,2,0.043,19,376.37,46.5,35.0,20,31.983,27,29.132,24,2.3,42.662,47.458,46,43,0.744,14,0,0.677,16,1,16,44.2,1.104,4,8.753,2
5.924,1,0.02,26,307.9,38.3,26.0,18,30.216,23,27.412,21,2.1,46.24,53.049,49,47,0.643,6,0,0.583,6,1,6,55.3,1.129,3,6.551,1
5.648,0,0.0,20,265.81,39.5,23.0,15,24.932,20,22.832,18,2.6,37.589,42.804,40,38,0.656,6,0,0.601,6,1,6,52.6,1.126,3,6.995,1
6.752,5,0.135,19,237.33,36.1,21.0,13,22.222,18,20.907,17,2.8,36.036,40.863,37,36,0.617,6,0,0.581,6,1,6,52.8,1.135,4,6.592,0
6.613,6,0.094,31,429.71,38.3,39.0,23,40.427,33,36.528,29,5.0,59.156,67.357,64,60,0.674,9,0,0.609,10,3,11,51.7,1.123,6,7.162,0
10.456,9,0.12,34,499.68,43.7,52.0,31,47.046,41,44.306,37,4.2,70.61,79.897,75,71,0.663,20,1,0.624,18,3,20,47.9,1.125,6,7.038,1
9.924,9,0.122,31,530.65,42.9,56.0,30,46.438,43,44.703,39,5.7,70.6,78.983,74,70,0.663,20,1,0.639,18,4,22,44.3,1.128,9,7.581,1
8.149,4,0.098,18,303.81,43.6,29.0,17,26.625,23,25.02,21,2.6,39.033,43.598,41,39,0.683,12,0,0.642,12,1,12,46.2,1.118,4,7.79,1
6.105,7,0.125,29,363.58,35.2,31.0,19,34.472,27,31.529,25,5.6,53.523,61.231,56,54,0.638,7,0,0.584,6,3,7,53.7,1.134,6,6.733,0
6.0,6,0.105,25,395.51,38.9,40.5,21,35.006,32,33.519,29,9.3,54.327,61.272,57,54,0.648,14,0,0.621,17,5,17,46.3,1.135,8,7.324,0
7.796,6,0.095,30,430.7,37.3,39.0,22,39.671,33,36.023,29,6.8,58.374,66.44,63,59,0.672,8,0,0.611,10,4,11,50.8,1.126,7,7.3,0
7.886,5,0.088,27,386.58,40.7,36.0,22,35.949,30,33.176,27,3.7,53.607,60.863,57,54,0.666,12,1,0.614,12,2,12,50.0,1.127,5,7.159,1
7.334,6,0.125,22,346.49,39.1,34.0,18,30.637,26,28.642,24,4.3,46.098,51.697,48,46,0.666,12,0,0.623,12,2,14,47.8,1.124,6,7.532,0
8.553,4,0.105,17,275.4,41.7,26.5,15,24.654,21,22.853,19,2.8,35.902,40.159,38,36,0.685,10,0,0.635,11,1,11,47.2,1.116,4,7.65,0
5.149,4,0.058,34,418.64,40.0,42.0,26,41.898,35,38.702,31,6.2,63.989,73.431,69,65,0.645,12,0,0.595,12,4,13,52.3,1.13,5,6.441,0
6.721,9,0.153,24,454.97,42.9,46.0,24,38.103,35,36.521,32,7.1,56.618,63.263,59,56,0.68,15,1,0.652,16,4,18,42.9,1.13,8,8.124,2
5.567,2,0.056,18,271.84,37.1,21.0,13,23.818,18,21.492,17,2.9,34.782,39.309,36,35,0.681,6,0,0.614,6,1,6,51.4,1.123,4,7.767,1
6.1,6,0.103,27,397.59,40.0,38.0,22,36.711,31,34.003,28,5.5,54.64,61.816,58,55,0.667,13,0,0.618,12,3,13,49.1,1.124,6,7.229,0
8.398,6,0.111,25,348.5,45.1,38.0,23,34.086,29,31.748,26,3.9,50.32,57.319,54,51,0.668,16,1,0.623,16,2,17,49.0,1.124,3,6.833,1
7.301,6,0.105,28,344.54,44.4,38.0,24,35.91,29,32.891,26,3.7,52.69,60.394,57,54,0.665,16,0,0.609,16,2,17,51.9,1.118,2,6.38,0
6.261,7,0.119,31,377.61,35.1,32.0,20,36.233,28,33.056,26,5.3,56.407,64.647,59,57,0.636,7,0,0.58,6,3,7,54.4,1.134,6,6.625,0
5.126,7,0.132,27,349.55,35.3,30.0,18,32.711,26,30.003,24,5.9,50.64,57.816,53,51,0.641,7,0,0.588,6,3,7,52.9,1.134,6,6.854,0
5.658,2,0.057,19,205.33,38.2,19.0,13,21.313,16,19.477,15,2.9,33.382,38.445,35,34,0.627,6,0,0.573,6,1,6,55.9,1.131,2,6.039,0
7.79,4,0.095,19,285.37,42.5,29.0,17,26.222,23,24.907,21,2.5,40.036,44.863,42,40,0.656,12,0,0.623,12,1,12,47.5,1.122,4,7.134,0
5.652,6,0.115,26,367.99,36.0,30.0,18,33.114,26,30.115,24,6.0,49.636,56.551,52,50,0.662,7,0,0.602,6,3,7,52.0,1.131,6,7.36,1
5.688,1,0.023,22,279.84,39.0,24.0,16,26.694,21,24.359,19,2.4,40.472,46.219,43,41,0.651,6,0,0.594,6,1,6,53.7,1.127,3,6.825,1
6.0,6,0.105,26,399.96,40.7,38.0,22,35.921,31,33.643,28,5.6,53.887,60.84,57,54,0.665,13,0,0.623,12,3,13,48.1,1.127,6,7.407,1
6.0,15,0.217,39,397.66,38.2,36.0,26,42.381,30,38.46,29,1.5,66.545,76.806,69,68,0.623,12,0,0.566,12,1,12,57.4,1.129,3,5.848,0
6.65,6,0.115,24,376.6,36.7,34.0,18,33.387,28,30.443,25,8.2,48.723,55.195,52,49,0.681,8,0,0.621,10,4,11,49.0,1.126,7,7.686,0
6.122,5,0.091,25,383.56,40.4,37.0,21,34.949,30,32.476,27,5.8,51.756,58.401,55,52,0.672,13,0,0.625,12,3,13,48.1,1.123,6,7.376,0
7.201,5,0.116,18,332.83,43.9,33.0,18,28.114,25,26.71,23,4.9,41.32,46.227,43,41,0.686,14,1,0.651,16,2,16,43.9,1.127,5,8.118,2
7.538,7,0.113,30,434.69,35.6,38.0,21,39.125,32,35.738,29,6.8,58.701,66.65,62,59,0.663,8,0,0.606,10,4,11,50.8,1.13,8,7.368,0
6.155,7,0.121,28,360.54,43.6,39.0,24,36.364,30,33.606,27,3.6,54.018,61.604,58,55,0.661,16,0,0.611,16,2,17,50.9,1.12,3,6.555,0
5.0,7,0.119,26,445.43,41.1,42.0,23,38.33,33,35.777,30,7.1,55.985,63.073,59,56,0.684,15,0,0.639,16,4,17,46.4,1.126,7,7.954,2
4.42,5,0.102,22,339.45,42.6,36.0,20,31.023,27,29.43,25,6.4,46.981,53.196,49,47,0.66,15,1,0.626,16,3,17,46.8,1.132,5,7.222,1
6.577,0,0.0,14,211.71,39.3,18.0,11,18.648,15,17.251,14,3.6,27.938,31.558,29,28,0.666,6,0,0.616,6,1,6,50.0,1.127,3,7.561,1
6.0,6,0.113,19,503.24,40.0,42.0,20,36.222,34,34.588,31,10.0,51.411,56.423,53,50,0.724,12,0,0.692,12,5,14,38.0,1.128,11,10.065,4
4.0,3,0.086,17,215.33,39.4,23.0,13,21.347,18,19.752,16,9.1,32.491,37.401,35,33,0.647,7,0,0.599,10,3,10,51.5,1.133,3,6.525,0
6.252,6,0.109,24,401.55,40.4,38.0,21,34.887,31,32.859,28,5.8,52.269,58.741,55,52,0.671,13,1,0.632,12,3,13,46.2,1.13,7,7.722,1
4.298,5,0.114,23,257.42,38.1,26.0,16,26.631,21,24.332,19,7.1,41.141,47.647,44,42,0.634,7,0,0.579,10,3,10,54.8,1.134,3,6.129,0
7.357,6,0.143,23,249.39,36.6,22.0,15,25.29,19,23.246,18,2.4,40.476,46.484,42,41,0.617,6,0,0.567,6,1,6,56.1,1.134,3,6.083,0
7.06,5,0.085,28,372.55,44.6,40.0,25,37.364,31,34.606,28,3.6,55.018,62.604,59,56,0.667,18,0,0.618,18,2,18,50.0,1.118,3,6.653,0
4.0,4,0.087,25,296.88,35.6,24.0,16,28.461,21,25.907,20,4.4,44.458,51.132,46,45,0.632,6,0,0.576,6,2,6,55.6,1.136,4,6.597,1
9.42,6,0.111,25,372.48,40.4,36.0,21,33.449,29,31.892,27,3.8,52.301,58.947,54,52,0.643,13,1,0.613,12,2,13,48.1,1.134,6,7.163,1
6.466,7,0.117,26,457.44,42.1,43.5,24,39.33,34,36.777,31,7.0,56.985,64.073,60,57,0.69,16,0,0.645,17,4,18,45.6,1.124,7,8.025,2
5.569,1,0.022,21,291.43,44.2,32.0,19,28.87,25,26.805,22,7.0,42.258,48.232,46,43,0.671,13,0,0.623,12,3,13,48.8,1.122,3,6.777,0
5.812,1,0.024,20,277.82,41.0,25.0,16,25.932,21,23.832,19,2.6,38.589,43.804,41,39,0.665,8,0,0.611,6,1,7,51.3,1.123,3,7.124,1
6.31,3,0.067,20,374.3,44.2,32.0,19,29.881,25,27.744,23,2.3,42.822,47.911,45,43,0.695,14,0,0.645,12,1,13,46.5,1.114,4,8.705,1
6.0,14,0.203,39,397.66,38.2,36.0,26,42.381,30,38.46,29,1.5,66.545,76.806,69,68,0.623,12,0,0.566,12,1,12,57.4,1.129,3,5.848,0
5.856,9,0.145,29,427.62,39.0,40.0,23,38.926,33,36.244,30,5.1,58.851,66.441,62,59,0.66,13,0,0.614,12,3,13,49.2,1.126,7,7.248,0
6.286,8,0.125,28,432.57,41.7,46.5,25,39.523,36,37.552,32,6.7,59.992,67.604,64,60,0.659,17,0,0.626,21,4,21,46.7,1.127,7,7.209,0
7.721,8,0.136,26,428.98,41.1,42.0,23,37.409,33,35.333,30,7.1,56.174,63.469,59,56,0.668,15,1,0.631,16,4,17,46.4,1.133,7,7.66,2
7.22,4,0.071,25,384.94,42.3,37.0,22,34.915,31,32.622,27,3.8,51.785,58.342,56,52,0.671,12,0,0.627,12,2,12,48.1,1.122,5,7.403,1
7.252,6,0.103,30,354.54,39.3,34.0,22,35.58,28,32.848,26,3.6,55.229,63.228,58,56,0.635,12,0,0.587,12,2,12,53.6,1.129,4,6.331,0
6.638,8,0.107,32,524.74,44.3,56.0,31,48.239,43,45.077,38,5.7,69.509,78.145,75,70,0.689,21,0,0.644,22,4,24,45.7,1.116,7,7.496,0
6.0,5,0.072,28,481.61,46.9,53.0,30,43.762,41,41.725,36,4.7,63.96,71.651,69,64,0.684,22,1,0.652,18,3,21,43.8,1.12,6,7.525,1
5.71,13,0.165,40,508.74,36.4,48.5,28,48.341,39,45.228,37,7.8,76.614,87.676,79,77,0.628,15,0,0.587,17,6,18,51.9,1.139,9,6.607,0
