pXC50,nAB,Sp,Me,Sv,nCsp2,nBM,nHet,Si,nAT,nH,Se,RBN,nC,C.,Mi,RBF,X.,nX,O.,nF,nBT,SCBO,AMW,N.,nCsp3,H.
8.028,6,20.421,1.087,21.745,9,8,9,38.151,32,10,34.792,2,13,40.6,1.192,0.061,18.8,6,3.1,6,33,28.0,10.133,6.3,4,31.3
5.0,6,23.944,1.067,24.799,9,8,9,44.981,38,14,40.56,4,15,39.5,1.184,0.103,15.8,6,2.6,6,39,30.0,9.271,5.3,6,36.8
5.0,6,23.944,1.067,24.799,9,8,9,44.981,38,14,40.56,3,15,39.5,1.184,0.077,15.8,6,2.6,6,39,30.0,9.271,5.3,6,36.8
5.0,6,27.466,1.053,27.852,9,8,9,51.811,44,18,46.327,4,17,38.6,1.178,0.089,13.6,6,2.3,6,45,32.0,8.645,4.5,8,40.9
5.0,6,29.228,1.047,29.379,9,8,9,55.227,47,20,49.21,5,18,38.3,1.175,0.104,12.8,6,2.1,6,48,33.0,8.391,4.3,9,42.6
5.0,6,23.04,1.086,24.099,9,8,10,41.51,35,11,38.0,3,14,40.0,1.186,0.083,20.0,7,2.9,6,36,30.0,10.649,5.7,5,31.4
5.0,6,23.631,1.135,26.715,9,8,14,46.68,38,9,43.123,4,15,39.5,1.228,0.103,28.9,11,2.6,11,39,35.0,11.638,5.3,6,23.7
8.141,6,22.637,1.083,23.987,9,8,10,42.775,36,12,39.003,4,14,38.9,1.188,0.108,16.7,6,5.6,6,37,30.0,9.841,5.6,5,33.3
7.336,6,28.705,1.056,29.325,13,10,9,51.396,44,16,46.443,4,19,43.2,1.168,0.087,13.6,6,2.3,6,46,37.0,9.145,4.5,6,36.4
7.568,5,27.591,1.064,27.986,11,9,10,47.901,41,14,43.636,4,17,41.5,1.168,0.093,14.6,6,2.4,6,43,35.5,9.961,4.9,6,34.1
6.0,0,22.449,1.126,25.137,8,5,13,43.794,36,9,40.541,2,14,38.9,1.217,0.054,25.0,9,5.6,9,37,33.0,11.34,5.6,6,25.0
5.0,5,26.398,1.07,27.513,11,9,10,48.19,41,14,43.887,4,17,41.5,1.175,0.093,14.6,6,4.9,6,43,35.5,9.569,4.9,6,34.1
5.237,6,52.785,0.988,48.69,10,9,5,94.597,84,46,82.959,9,33,39.3,1.126,0.102,0.0,0,6.0,0,88,48.0,6.224,0.0,23,54.8
6.352,6,54.546,0.987,50.217,10,9,5,98.012,87,48,85.843,10,34,39.1,1.127,0.11,0.0,0,5.7,0,91,49.0,6.17,0.0,24,55.2
6.071,6,54.546,0.987,50.217,10,9,5,98.012,87,48,85.843,10,34,39.1,1.127,0.11,0.0,0,5.7,0,91,49.0,6.17,0.0,24,55.2
6.602,6,56.307,0.986,51.744,10,9,5,101.427,90,50,88.727,11,35,38.9,1.127,0.117,0.0,0,5.6,0,94,50.0,6.121,0.0,25,55.6
5.0,6,22.182,1.076,23.272,9,8,9,41.566,35,12,37.676,3,14,40.0,1.188,0.083,17.1,6,2.9,6,36,29.0,9.665,5.7,5,34.3
5.0,6,23.944,1.067,24.799,9,8,9,44.981,38,14,40.56,4,15,39.5,1.184,0.103,15.8,6,2.6,6,39,30.0,9.271,5.3,6,36.8
8.37,6,25.705,1.06,26.325,9,8,9,48.396,41,16,43.443,4,16,39.0,1.18,0.095,14.6,6,2.4,6,42,31.0,8.935,4.9,7,39.0
9.35,6,22.057,1.106,24.038,9,8,11,42.245,35,10,38.701,3,14,40.0,1.207,0.083,22.9,8,2.9,8,36,31.0,10.693,5.7,5,28.6
9.176,6,21.279,1.097,22.573,9,8,10,38.095,32,9,35.116,3,13,40.6,1.19,0.091,21.9,7,3.1,6,33,29.0,11.209,6.3,4,28.1
9.151,6,21.773,1.094,22.77,9,8,10,37.992,32,9,35.021,3,13,40.6,1.187,0.091,21.9,7,3.1,6,33,29.0,12.598,6.3,4,28.1
5.812,12,23.057,1.044,23.289,12,13,6,38.843,34,12,35.48,4,16,47.1,1.142,0.114,8.8,3,5.9,3,35,31.0,9.038,2.9,3,35.3
5.089,12,28.796,1.033,28.584,12,13,7,50.298,44,18,45.458,8,19,43.2,1.143,0.178,6.8,3,6.8,3,45,35.0,8.304,2.3,6,40.9
8.009,12,19.483,1.053,19.633,12,13,5,29.537,26,7,27.382,1,14,53.8,1.136,0.037,15.4,4,0.0,3,27,28.0,10.833,3.8,1,26.9
7.565,12,20.841,1.042,21.047,12,13,5,34.218,30,10,31.269,2,15,50.0,1.141,0.065,10.0,3,3.3,3,31,29.0,9.242,3.3,2,33.3
5.0,15,29.0,0.992,26.96,11,16,5,45.82,41,18,40.669,2,18,43.9,1.118,0.045,0.0,0,0.0,0,44,35.5,7.865,9.8,6,43.9
4.301,17,25.284,1.029,24.723,15,18,7,38.83,35,12,36.007,4,16,45.7,1.109,0.108,0.0,0,11.4,0,37,34.5,9.382,5.7,1,34.3
6.955,0,19.608,1.04,19.595,7,4,6,36.132,31,13,32.254,2,12,38.7,1.166,0.063,9.7,3,3.2,3,32,23.0,8.331,6.5,5,41.9
7.771,0,19.421,1.09,20.745,7,4,9,37.151,31,10,33.792,2,12,38.7,1.198,0.063,19.4,6,3.2,6,32,26.0,10.072,6.5,5,32.3
7.439,0,21.057,1.109,23.038,7,4,11,41.245,34,10,37.701,3,13,38.2,1.213,0.086,23.5,8,2.9,8,35,29.0,10.654,5.9,6,29.4
6.201,6,22.671,1.089,24.261,8,9,11,41.732,35,10,38.112,2,14,40.0,1.192,0.056,17.1,6,2.9,6,36,33.0,10.408,11.4,5,28.6
6.439,0,24.705,1.061,25.325,7,4,9,47.396,40,16,42.443,4,15,37.5,1.185,0.098,15.0,6,2.5,6,41,29.0,8.858,5.0,8,40.0
7.669,0,19.608,1.04,19.595,7,4,6,36.132,31,13,32.254,1,12,38.7,1.166,0.031,9.7,3,3.2,3,32,23.0,8.331,6.5,5,41.9
7.854,0,23.131,1.028,22.649,7,4,6,42.962,37,17,38.021,2,14,37.8,1.161,0.053,8.1,3,2.7,3,38,25.0,7.739,5.4,7,45.9
6.182,0,23.131,1.028,22.649,7,4,6,42.962,37,17,38.021,3,14,37.8,1.161,0.079,8.1,3,2.7,3,38,25.0,7.739,5.4,7,45.9
6.148,0,25.892,1.022,25.176,7,4,6,47.377,41,19,41.905,2,16,39.0,1.156,0.047,7.3,3,2.4,3,43,28.0,7.619,4.9,9,46.3
7.341,0,21.057,1.109,23.038,7,4,11,41.245,34,10,37.701,3,13,38.2,1.213,0.086,23.5,8,2.9,8,35,29.0,10.654,5.9,6,29.4
7.343,6,25.131,1.026,24.649,9,8,6,44.962,39,17,40.021,1,16,41.0,1.153,0.024,7.7,3,2.6,3,41,29.0,7.958,5.1,7,43.6
7.417,6,25.586,1.034,25.364,9,8,7,46.171,40,17,41.349,2,16,40.0,1.154,0.048,7.5,3,5.0,3,42,30.0,8.159,5.0,7,42.5
7.45,0,22.944,1.069,23.799,7,4,9,43.981,37,14,39.56,3,14,37.8,1.189,0.079,16.2,6,2.7,6,38,28.0,9.197,5.4,7,37.8
5.721,17,41.182,1.025,40.066,20,19,9,67.673,60,24,61.512,3,27,45.0,1.128,0.047,5.0,3,6.7,3,64,50.5,8.593,1.7,7,40.0
5.936,0,19.608,1.04,19.595,7,4,6,36.132,31,13,32.254,1,12,38.7,1.166,0.031,9.7,3,3.2,3,32,23.0,8.331,6.5,5,41.9
7.159,0,23.131,1.028,22.649,7,4,6,42.962,37,17,38.021,3,14,37.8,1.161,0.079,8.1,3,2.7,3,38,25.0,7.739,5.4,7,45.9
6.873,0,24.892,1.023,24.176,7,4,6,46.377,40,19,40.905,3,15,37.5,1.159,0.073,7.5,3,2.5,3,41,26.0,7.509,5.0,8,47.5
6.921,0,24.131,1.027,23.649,9,5,6,43.962,38,17,39.021,3,15,39.5,1.157,0.077,7.9,3,2.6,3,39,27.0,7.851,5.3,6,44.7
6.793,0,22.37,1.033,22.122,7,4,6,40.547,35,15,36.138,2,14,40.0,1.158,0.054,8.6,3,2.9,3,37,26.0,8.123,5.7,7,42.9
7.444,0,23.131,1.028,22.649,7,4,6,42.962,37,17,38.021,3,14,37.8,1.161,0.079,8.1,3,2.7,3,38,25.0,7.739,5.4,7,45.9
5.815,17,41.37,1.0,38.916,20,19,6,66.654,60,27,59.974,3,27,45.0,1.111,0.047,0.0,0,6.7,0,64,47.5,7.694,1.7,7,45.0
7.907,0,24.131,1.027,23.649,7,4,6,43.962,38,17,39.021,1,15,39.5,1.157,0.025,7.9,3,2.6,3,40,27.0,7.851,5.3,8,44.7
7.302,0,17.847,1.049,18.068,7,4,6,32.716,28,11,29.371,1,11,39.3,1.168,0.034,10.7,3,3.6,3,29,22.0,8.723,7.1,4,39.3
7.497,0,19.608,1.04,19.595,7,4,6,36.132,31,13,32.254,2,12,38.7,1.166,0.063,9.7,3,3.2,3,32,23.0,8.331,6.5,5,41.9
7.238,0,23.131,1.028,22.649,7,4,6,42.962,37,17,38.021,4,14,37.8,1.161,0.105,8.1,3,2.7,3,38,25.0,7.739,5.4,7,45.9
7.515,6,23.37,1.032,23.122,9,8,6,41.547,36,15,37.138,1,15,41.7,1.154,0.026,8.3,3,2.8,3,38,28.0,8.231,5.6,6,41.7
5.0,6,25.131,1.026,24.649,9,8,6,44.962,39,17,40.021,1,16,41.0,1.153,0.024,7.7,3,2.6,3,41,29.0,7.958,5.1,7,43.6
6.735,0,22.944,1.069,23.799,7,4,9,43.981,37,14,39.56,3,14,37.8,1.189,0.079,16.2,6,2.7,6,38,28.0,9.197,5.4,7,37.8
7.169,0,22.205,1.12,24.642,7,4,12,43.711,36,10,40.323,3,14,38.9,1.214,0.081,25.0,9,5.6,9,37,31.0,10.979,2.8,7,27.8
5.886,0,16.085,1.059,16.542,7,4,6,29.301,25,9,26.487,0,10,40.0,1.172,0.0,12.0,3,4.0,3,26,21.0,9.208,8.0,3,36.0
5.862,0,32.33,0.979,29.332,2,1,2,58.647,52,30,50.909,0,20,38.5,1.128,0.0,0.0,0,3.8,0,56,27.0,5.817,0.0,18,57.7
5.951,0,32.33,0.979,29.332,2,1,2,58.647,52,30,50.909,0,20,38.5,1.128,0.0,0.0,0,3.8,0,56,27.0,5.817,0.0,18,57.7
6.0,0,32.023,0.987,29.52,3,2,3,57.441,51,28,50.352,0,20,39.2,1.126,0.0,0.0,0,5.9,0,55,29.0,6.205,0.0,17,54.9
6.0,0,32.023,0.987,29.52,3,2,3,57.441,51,28,50.352,0,20,39.2,1.126,0.0,0.0,0,5.9,0,55,29.0,6.205,0.0,17,54.9
6.0,0,32.023,0.987,29.52,3,2,3,57.441,51,28,50.352,0,20,39.2,1.126,0.0,0.0,0,5.9,0,55,29.0,6.205,0.0,17,54.9
8.155,10,18.801,1.082,19.197,9,11,8,30.189,26,7,28.134,2,11,42.3,1.161,0.074,19.2,5,3.8,3,27,26.0,11.965,7.7,2,26.9
7.481,0,32.33,0.979,29.332,4,2,2,58.647,52,30,50.909,1,20,38.5,1.128,0.018,0.0,0,3.8,0,55,27.0,5.817,0.0,16,57.7
6.144,0,34.091,0.978,30.858,4,2,2,62.062,55,32,53.792,1,21,38.2,1.128,0.017,0.0,0,3.6,0,58,28.0,5.755,0.0,17,58.2
8.102,0,31.569,0.981,28.805,5,3,2,56.232,50,28,49.025,1,20,40.0,1.125,0.019,0.0,0,4.0,0,53,28.0,6.01,0.0,15,56.0
7.071,0,33.33,0.979,30.332,4,2,2,59.647,53,30,51.909,0,21,39.6,1.125,0.0,0.0,0,3.8,0,57,29.0,5.934,0.0,17,56.6
5.0,6,22.063,1.047,22.31,9,8,7,39.341,34,13,35.582,1,14,41.2,1.157,0.028,8.8,3,5.9,3,36,28.0,8.773,5.9,5,38.2
7.77,10,22.972,1.062,22.437,7,10,9,36.94,32,11,33.978,4,12,37.5,1.154,0.121,15.6,5,3.1,3,33,27.0,11.226,6.3,5,34.4
7.009,6,28.921,1.058,29.567,9,8,10,54.021,46,18,48.654,3,18,39.1,1.174,0.063,13.0,6,4.3,6,48,35.0,8.878,4.3,9,39.1
5.0,12,29.398,1.066,30.513,15,14,10,51.19,44,14,46.887,2,20,45.5,1.163,0.043,13.6,6,4.5,6,47,41.0,9.735,4.5,5,31.8
5.0,12,32.347,1.026,31.89,15,14,7,54.587,48,19,49.232,3,22,45.8,1.137,0.058,6.3,3,4.2,3,52,41.0,8.342,4.2,7,39.6
5.0,6,29.108,1.024,28.417,9,8,7,53.002,46,21,47.116,3,18,39.1,1.152,0.063,6.5,3,4.3,3,48,32.0,7.705,4.3,9,45.7
5.0,12,32.347,1.026,31.89,15,14,7,54.587,48,19,49.232,3,22,45.8,1.137,0.058,6.3,3,4.2,3,52,41.0,8.342,4.2,7,39.6
5.412,6,18.54,1.065,19.256,9,8,7,32.511,28,9,29.814,0,12,42.9,1.161,0.0,10.7,3,7.1,3,30,26.0,9.651,7.1,3,32.1
5.0,6,20.301,1.055,20.783,9,8,7,35.926,31,11,32.698,0,13,41.9,1.159,0.0,9.7,3,6.5,3,33,27.0,9.17,6.5,4,35.5
6.559,6,25.586,1.034,25.364,9,8,7,46.171,40,17,41.349,1,16,40.0,1.154,0.024,7.5,3,5.0,3,42,30.0,8.159,5.0,7,42.5
5.0,6,27.347,1.029,26.89,9,8,7,49.587,43,19,44.232,2,17,39.5,1.153,0.044,7.0,3,4.7,3,45,31.0,7.916,4.7,8,44.2
5.0,6,28.347,1.028,27.89,11,9,7,50.587,44,19,45.232,3,18,40.9,1.15,0.065,6.8,3,4.5,3,46,33.0,8.009,4.5,7,43.2
5.0,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,3,21,44.7,1.162,0.06,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
7.523,12,24.159,1.029,23.902,11,13,6,41.42,36,14,37.029,3,16,44.4,1.151,0.081,8.3,3,0.0,3,37,31.0,8.481,8.3,4,38.9
6.679,6,25.682,1.02,24.955,5,7,6,46.251,40,18,40.796,1,16,40.0,1.156,0.024,7.5,3,0.0,3,42,29.0,7.734,7.5,10,45.0
6.0,6,21.921,1.026,21.429,5,7,6,40.836,35,16,35.912,5,13,37.1,1.167,0.143,8.6,3,0.0,3,35,24.0,7.752,8.6,7,45.7
5.308,12,22.398,1.035,22.375,11,13,6,38.005,33,12,34.145,3,15,45.5,1.152,0.088,9.1,3,0.0,3,34,30.0,8.827,9.1,3,36.4
6.0,6,20.159,1.032,19.902,5,7,6,37.42,32,14,33.029,3,12,37.5,1.169,0.094,9.4,3,0.0,3,32,23.0,8.04,9.4,6,43.8
6.0,6,20.159,1.032,19.902,5,7,6,37.42,32,14,33.029,4,12,37.5,1.169,0.125,9.4,3,0.0,3,32,23.0,8.04,9.4,6,43.8
6.866,6,21.159,1.031,20.902,5,7,6,38.42,33,14,34.029,1,13,39.4,1.164,0.029,9.1,3,0.0,3,34,25.0,8.161,9.1,7,42.4
7.398,0,31.876,0.972,28.617,4,2,1,57.437,51,30,49.581,0,20,39.2,1.126,0.0,0.0,0,2.0,0,54,26.0,5.618,0.0,16,58.8
6.301,0,34.637,0.972,31.144,6,3,1,61.853,55,32,53.465,2,22,40.0,1.125,0.034,0.0,0,1.8,0,58,29.0,5.683,0.0,16,58.2
5.792,0,34.876,0.974,31.617,6,4,1,60.437,54,30,52.581,1,23,42.6,1.119,0.018,0.0,0,1.9,0,57,32.0,5.973,0.0,15,55.6
5.415,12,26.063,1.042,26.31,15,14,7,43.341,38,13,39.582,1,18,47.4,1.141,0.024,7.9,3,5.3,3,41,36.0,9.114,5.3,3,34.2
5.0,6,23.824,1.04,23.837,9,8,7,42.756,37,15,38.465,2,15,40.5,1.156,0.051,8.1,3,5.4,3,39,29.0,8.441,5.4,6,40.5
5.114,12,27.512,1.021,25.434,13,13,6,38.475,35,13,35.738,6,16,45.7,1.099,0.167,8.6,3,8.6,0,36,30.0,14.085,0.0,3,37.1
6.77,0,34.091,0.978,30.858,4,2,2,62.062,55,32,53.792,1,21,38.2,1.128,0.017,0.0,0,3.6,0,58,28.0,5.755,0.0,17,58.2
5.648,0,31.876,0.972,28.617,4,2,1,57.437,51,30,49.581,0,20,39.2,1.126,0.0,0.0,0,2.0,0,54,26.0,5.618,0.0,16,58.8
6.377,6,23.824,1.04,23.837,9,8,7,42.756,37,15,38.465,1,15,40.5,1.156,0.026,8.1,3,5.4,3,39,29.0,8.441,5.4,6,40.5
6.391,6,25.586,1.034,25.364,9,8,7,46.171,40,17,41.349,2,16,40.0,1.154,0.048,7.5,3,5.0,3,42,30.0,8.159,5.0,7,42.5
6.642,6,24.824,1.039,24.837,11,9,7,43.756,38,15,39.465,2,16,42.1,1.151,0.05,7.9,3,5.3,3,40,31.0,8.535,5.3,5,39.5
6.721,6,21.875,1.092,23.46,9,8,10,40.36,34,10,37.12,1,14,41.2,1.187,0.028,17.6,6,5.9,6,36,31.0,10.361,5.9,5,29.4
5.0,6,25.586,1.034,25.364,9,8,7,46.171,40,17,41.349,2,16,40.0,1.154,0.048,7.5,3,5.0,3,42,30.0,8.159,5.0,7,42.5
5.0,6,25.398,1.072,26.513,9,8,10,47.19,40,14,42.887,2,16,40.0,1.18,0.048,15.0,6,5.0,6,42,33.0,9.508,5.0,7,35.0
5.583,0,34.091,0.978,30.858,4,2,2,62.062,55,32,53.792,1,21,38.2,1.128,0.017,0.0,0,3.6,0,58,28.0,5.755,0.0,17,58.2
7.562,6,22.608,1.037,22.595,6,8,6,39.132,34,13,35.254,2,15,44.1,1.151,0.057,8.8,3,2.9,3,35,29.0,8.656,5.9,7,38.2
8.923,12,23.75,1.057,24.477,15,14,7,38.637,34,10,35.923,0,17,50.0,1.136,0.0,8.8,3,8.8,3,37,35.0,9.802,2.9,2,29.4
5.0,12,27.46,1.004,26.38,15,14,4,44.448,40,17,40.153,1,19,47.5,1.111,0.023,0.0,0,7.5,0,43,34.0,7.684,2.5,4,42.5
5.824,16,34.461,0.989,31.907,14,16,4,57.132,51,25,50.458,2,22,43.1,1.12,0.037,2.0,1,2.0,0,54,37.0,7.234,3.9,8,49.0
6.843,12,27.915,1.012,27.095,15,14,5,45.658,41,17,41.48,2,19,46.3,1.114,0.045,0.0,0,9.8,0,44,35.0,7.887,2.4,4,41.5
7.476,6,23.574,1.095,25.37,9,8,11,44.115,37,11,40.516,1,15,40.5,1.192,0.026,18.9,7,5.4,7,39,33.0,10.386,5.4,6,29.7
4.939,6,22.512,1.053,23.003,8,8,7,39.052,34,12,35.807,1,15,44.1,1.149,0.027,8.8,3,8.8,3,37,30.0,9.155,2.9,7,35.3
7.401,10,27.955,1.017,27.391,9,13,7,46.113,41,16,41.691,1,18,43.9,1.125,0.022,0.0,0,7.3,0,45,38.0,8.204,9.8,8,39.0
8.072,6,28.818,1.02,26.906,8,9,7,43.461,39,15,39.767,1,17,43.6,1.114,0.024,2.6,1,10.3,0,42,34.0,11.237,5.1,8,38.5
6.301,6,23.557,1.017,22.681,8,8,5,37.977,34,14,34.593,1,15,44.1,1.117,0.027,2.9,1,8.8,0,37,28.0,8.581,2.9,7,41.2
8.377,6,29.375,1.063,30.282,9,8,11,55.23,47,18,49.981,5,18,38.3,1.175,0.102,12.8,6,6.4,6,49,36.0,9.029,4.3,9,38.3
6.886,6,23.063,1.045,23.31,8,8,7,40.341,35,13,36.582,1,15,42.9,1.153,0.026,8.6,3,5.7,3,38,30.0,8.866,5.7,7,37.1
7.578,6,27.046,1.072,27.701,9,8,11,48.11,41,14,43.963,3,16,39.0,1.173,0.07,14.6,6,4.9,6,43,34.0,10.058,4.9,7,34.1
7.292,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,3,21,44.7,1.162,0.06,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
7.634,6,24.881,1.085,26.481,9,9,11,44.858,38,11,41.221,2,16,42.1,1.18,0.05,15.8,6,5.3,6,40,36.0,10.297,7.9,6,28.9
7.692,6,25.211,1.111,27.663,9,8,13,48.21,40,11,44.425,2,16,40.0,1.205,0.048,22.5,9,5.0,9,42,36.0,10.857,5.0,7,27.5
8.533,6,23.512,1.109,25.753,9,8,12,44.455,37,10,41.029,1,15,40.5,1.201,0.026,21.6,8,5.4,8,39,34.0,10.872,5.4,6,27.0
7.357,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,2,21,44.7,1.162,0.04,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
8.155,6,23.449,1.123,26.137,9,8,13,44.794,37,9,41.541,1,15,40.5,1.211,0.026,24.3,9,5.4,9,39,35.0,11.358,5.4,6,24.3
7.444,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,2,21,44.7,1.162,0.04,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
7.678,12,31.131,1.015,30.337,16,15,6,51.282,46,19,46.691,3,21,45.7,1.115,0.061,0.0,0,10.9,0,49,39.0,7.944,2.2,5,41.3
5.0,12,28.875,1.066,30.148,17,16,10,47.68,42,12,44.789,3,20,47.6,1.135,0.067,7.1,3,14.3,3,45,43.0,9.984,2.4,3,28.6
7.301,12,25.699,1.007,24.853,15,14,4,41.033,37,15,37.269,1,18,48.6,1.109,0.025,0.0,0,8.1,0,40,33.0,7.928,2.7,3,40.5
7.477,12,29.369,1.019,28.81,16,15,6,47.867,43,17,43.807,3,20,46.5,1.113,0.065,0.0,0,11.6,0,46,38.0,8.172,2.3,4,39.5
7.753,12,25.699,1.007,24.853,15,14,4,41.033,37,15,37.269,1,18,48.6,1.109,0.025,0.0,0,8.1,0,40,33.0,7.928,2.7,3,40.5
6.108,16,32.182,0.995,30.048,14,16,4,52.848,47,22,46.76,1,21,44.7,1.124,0.02,4.3,2,0.0,1,50,36.0,7.594,4.3,7,46.8
7.721,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,2,21,44.7,1.162,0.04,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
6.493,12,31.159,1.059,32.04,15,14,10,54.606,47,16,49.77,2,21,44.7,1.162,0.04,12.8,6,4.3,6,50,42.0,9.413,4.3,6,34.0
8.495,6,27.614,1.07,28.755,9,8,11,51.815,44,16,47.098,4,17,38.6,1.178,0.087,13.6,6,6.8,6,46,35.0,9.326,4.5,8,36.4
7.796,6,26.176,1.022,25.035,8,8,6,41.336,37,15,37.8,1,16,43.2,1.117,0.025,5.4,2,8.1,0,40,30.0,9.195,2.7,8,40.5
7.336,12,23.443,1.072,24.665,16,15,8,37.431,33,8,35.367,0,17,51.5,1.134,0.0,9.1,3,12.1,3,36,37.0,10.523,3.0,1,24.2
7.423,6,23.449,1.123,26.137,9,8,13,44.794,37,9,41.541,1,15,40.5,1.211,0.026,24.3,9,5.4,9,39,35.0,11.358,5.4,6,24.3
5.0,11,26.131,1.026,25.649,9,11,6,45.962,40,17,41.021,0,17,42.5,1.149,0.0,7.5,3,2.5,3,43,31.5,8.059,5.0,8,42.5
5.443,12,26.154,1.016,25.568,15,14,5,42.242,38,15,38.596,1,18,47.4,1.112,0.024,0.0,0,10.5,0,41,34.0,8.141,2.6,3,39.5
7.244,16,32.245,0.984,29.665,14,16,3,52.508,47,23,46.247,1,21,44.7,1.117,0.02,2.1,1,0.0,0,50,35.0,7.211,4.3,7,48.9
6.62,12,23.114,1.032,23.183,16,15,5,35.542,32,10,33.014,0,17,53.1,1.111,0.0,3.1,1,9.4,1,35,34.0,9.228,3.1,1,31.3
5.399,12,30.222,1.001,28.907,17,15,4,48.863,44,19,44.036,3,21,47.7,1.111,0.064,0.0,0,6.8,0,47,37.0,7.577,2.3,4,43.2
5.0,12,25.392,1.02,25.041,16,15,5,39.827,36,13,36.713,1,18,50.0,1.106,0.026,0.0,0,11.1,0,39,35.0,8.537,2.8,2,36.1
6.041,18,40.205,1.001,38.397,22,20,5,65.864,59,26,59.083,2,28,47.5,1.116,0.032,1.7,1,5.1,1,63,48.0,7.518,1.7,6,44.1
6.3,12,36.171,1.045,36.472,15,15,11,64.385,56,22,58.494,6,23,41.1,1.15,0.103,7.1,4,8.9,4,58,45.0,8.616,3.6,8,39.3
6.602,23,34.773,1.021,33.814,23,24,6,52.384,47,16,47.996,3,25,53.2,1.115,0.059,6.4,3,2.1,3,51,47.5,9.266,2.1,2,34.0
7.432,6,86.751,0.993,80.914,14,13,11,154.413,137,72,136.075,10,54,39.4,1.127,0.069,0.0,0,6.6,0,145,84.0,6.52,1.5,38,52.6
7.046,24,83.387,1.035,83.337,30,32,24,143.826,127,50,131.49,14,53,41.7,1.132,0.104,2.4,3,12.6,3,134,106.0,8.426,3.9,20,39.4
5.0,12,31.392,1.032,31.208,11,14,10,55.54,48,19,49.545,2,19,39.6,1.157,0.04,6.3,3,2.1,3,50,40.0,8.426,12.5,7,39.6
5.0,11,25.131,1.026,24.649,9,11,6,44.962,39,17,40.021,1,16,41.0,1.153,0.024,7.7,3,2.6,3,41,29.5,7.958,5.1,7,43.6
5.91,12,34.052,0.987,31.773,16,14,3,56.9,51,25,50.36,3,23,45.1,1.116,0.056,0.0,0,3.9,0,54,37.0,6.814,2.0,7,49.0
8.078,6,22.818,1.039,22.815,9,8,6,40.258,35,14,36.363,1,15,42.9,1.15,0.027,8.6,3,5.7,3,37,28.0,8.494,2.9,6,40.0
5.652,12,24.818,1.037,24.815,12,13,6,42.258,37,14,38.363,5,17,45.9,1.142,0.132,8.1,3,5.4,3,38,32.0,8.684,2.7,4,37.8
5.686,12,32.29,0.989,30.246,16,14,3,53.484,48,23,47.476,2,22,45.8,1.114,0.039,0.0,0,4.2,0,51,36.0,6.947,2.1,6,47.9
8.151,6,22.506,1.112,24.732,9,8,11,41.956,35,9,38.927,1,15,42.9,1.199,0.027,22.9,8,5.7,8,37,33.0,11.064,2.9,6,25.7
8.208,6,87.058,0.99,80.726,13,12,10,155.619,138,74,136.632,11,54,39.1,1.128,0.075,0.0,0,5.8,0,146,82.0,6.372,1.4,39,53.6
7.7,11,21.608,1.038,21.595,9,11,6,38.132,33,13,34.254,0,14,42.4,1.156,0.0,9.1,3,3.0,3,35,27.5,8.554,6.1,5,39.4
7.016,12,33.927,1.008,32.539,16,14,5,57.579,51,23,51.385,3,23,45.1,1.129,0.056,3.9,2,3.9,2,54,39.0,7.519,2.0,7,45.1
8.351,11,24.944,1.066,25.799,9,11,9,45.981,39,14,41.56,4,16,41.0,1.179,0.098,15.4,6,2.6,6,41,32.5,9.342,5.1,7,35.9
8.699,6,20.87,1.094,22.438,9,8,9,37.862,32,9,35.018,0,14,43.8,1.183,0.0,18.8,6,6.3,6,34,30.0,10.539,3.1,5,28.1
8.131,6,43.767,0.992,40.836,12,10,5,76.394,68,35,67.432,5,28,41.2,1.123,0.069,0.0,0,5.9,0,72,44.0,6.612,1.5,16,51.5
7.348,11,30.415,1.014,29.229,9,11,6,55.208,48,23,48.672,3,19,39.6,1.15,0.06,6.3,3,2.1,3,50,32.5,7.342,4.2,10,47.9
5.0,11,25.131,1.026,24.649,9,11,6,44.962,39,17,40.021,1,16,41.0,1.153,0.024,7.7,3,2.6,3,41,29.5,7.958,5.1,7,43.6
7.353,11,25.131,1.026,24.649,9,11,6,44.962,39,17,40.021,0,16,41.0,1.153,0.0,7.7,3,2.6,3,41,29.5,7.958,5.1,7,43.6
6.622,12,34.597,0.981,32.058,18,15,2,56.69,51,25,50.032,3,24,47.1,1.112,0.056,0.0,0,2.0,0,54,38.0,6.735,2.0,6,49.0
7.721,6,19.296,1.055,19.762,9,8,6,33.427,29,10,30.596,0,13,44.8,1.153,0.0,10.3,3,6.9,3,31,26.0,9.284,3.4,4,34.5
5.879,12,34.052,0.987,31.773,16,14,3,56.9,51,25,50.36,3,23,45.1,1.116,0.056,0.0,0,3.9,0,54,37.0,6.814,2.0,7,49.0
