pXC50,nHM,Si,nAT,nBT,Mp,C.,nCsp2,nN,SCBO,nBM,AMW,nDB,N.,Se,Sp,Mi,nC,nAB,nBO,Mv,nO,nS,nSK,MW,nH,RBF,H.,Sv,nHet,Me
6.936,2,60.724,54,57,0.702,40.7,19,5,51.0,25,9.296,3,9.3,55.614,37.898,1.125,22,22,37,0.684,5,1,34,501.99,20,0.105,37.0,36.91,12,1.03
6.767,0,78.391,69,70,0.62,36.2,11,3,41.0,13,6.43,3,4.3,68.636,42.779,1.136,25,10,33,0.578,4,0,32,443.65,37,0.2,53.6,39.879,7,0.995
7.62,1,72.773,64,65,0.634,34.4,9,4,41.0,11,7.26,5,6.3,64.491,40.603,1.137,22,6,33,0.597,5,1,32,464.65,32,0.138,50.0,38.222,10,1.008
7.112,1,63.716,56,59,0.689,42.9,21,4,54.5,26,9.51,3,7.1,58.611,38.608,1.138,24,23,40,0.692,5,1,37,532.54,19,0.119,33.9,38.738,13,1.047
6.762,1,64.633,57,60,0.691,43.9,22,3,54.5,26,9.325,3,5.3,59.392,39.364,1.134,25,23,40,0.688,5,1,37,531.55,20,0.117,35.1,39.243,12,1.042
5.993,1,55.867,50,53,0.705,44.0,21,4,49.5,26,9.01,3,8.0,51.305,35.273,1.117,22,23,35,0.691,5,1,32,450.51,18,0.113,36.0,34.534,10,1.026
5.208,2,61.906,55,57,0.691,38.2,16,5,44.5,19,8.611,2,9.1,55.923,37.994,1.126,21,17,34,0.656,4,2,32,473.63,23,0.158,41.8,36.082,11,1.017
4.921,3,50.577,45,47,0.716,35.6,10,5,35.5,13,9.102,2,11.1,45.578,32.21,1.124,16,11,28,0.662,2,3,26,409.61,19,0.106,42.2,29.786,10,1.013
5.638,0,63.192,56,58,0.659,41.1,15,4,45.0,16,7.795,3,7.1,56.88,36.909,1.128,23,12,34,0.642,5,0,32,436.51,24,0.121,42.9,35.928,9,1.016
5.0,1,75.61,67,69,0.646,37.3,14,2,47.0,16,7.532,4,3.0,67.825,43.262,1.129,25,12,37,0.614,7,1,35,504.66,32,0.159,47.8,41.135,10,1.012
4.699,1,63.74,57,59,0.68,42.1,19,2,49.0,23,8.221,5,3.5,57.963,38.761,1.118,24,18,35,0.655,6,1,33,468.57,24,0.169,42.1,37.313,9,1.017
4.523,1,59.74,53,55,0.656,37.7,13,2,40.0,15,7.935,3,3.8,53.963,34.762,1.127,20,12,31,0.629,6,1,29,420.53,24,0.109,45.3,33.314,9,1.018
5.959,0,62.109,55,57,0.648,40.0,15,3,41.0,15,7.482,3,5.5,55.662,35.665,1.129,22,12,32,0.626,5,0,30,411.5,25,0.123,45.5,34.433,8,1.012
8.222,0,69.644,61,62,0.615,34.4,9,4,37.0,12,6.632,2,6.6,61.087,37.5,1.142,21,10,30,0.579,4,0,29,404.57,32,0.161,52.5,35.32,8,1.001
6.071,1,61.159,54,56,0.642,35.2,7,2,40.0,10,8.158,3,3.7,55.618,34.671,1.133,19,6,32,0.625,8,1,30,440.52,24,0.089,44.4,33.743,11,1.03
7.409,1,63.278,56,59,0.679,39.3,18,6,51.0,25,8.617,3,10.7,57.393,38.046,1.13,22,22,37,0.663,5,1,34,482.57,22,0.119,39.3,37.104,12,1.025
6.064,1,59.408,53,55,0.684,41.5,16,3,47.5,21,8.595,3,5.7,54.298,36.244,1.121,22,17,34,0.666,6,1,32,455.53,21,0.127,39.6,35.281,10,1.024
6.071,1,61.159,54,56,0.642,35.2,7,2,40.0,10,8.158,3,3.7,55.618,34.671,1.133,19,6,32,0.625,8,1,30,440.52,24,0.089,44.4,33.743,11,1.03
8.161,0,72.979,64,64,0.612,34.4,10,3,38.0,10,6.806,4,4.7,64.523,39.165,1.14,22,6,31,0.582,6,0,31,435.58,33,0.188,51.6,37.255,9,1.008
7.284,0,70.561,62,62,0.617,35.5,11,3,36.0,10,6.509,4,4.8,61.869,38.256,1.138,22,6,29,0.578,4,0,29,403.58,33,0.177,53.2,35.825,7,0.998
4.699,2,49.657,44,46,0.695,36.4,10,5,34.5,13,8.58,2,11.4,44.502,30.563,1.129,16,11,27,0.65,2,2,25,377.54,19,0.109,43.2,28.598,9,1.011
6.0,1,58.78,52,54,0.674,38.5,13,5,46.0,20,8.529,3,9.6,53.291,35.04,1.13,20,16,33,0.655,5,1,31,443.53,21,0.111,40.4,34.083,11,1.025
6.819,1,63.614,57,60,0.694,43.9,22,3,51.5,26,8.379,3,5.3,57.854,39.551,1.116,25,23,37,0.668,5,1,34,477.58,23,0.117,40.4,38.093,9,1.015
5.187,2,56.269,50,52,0.677,38.0,13,2,40.0,15,8.819,3,4.0,51.404,33.858,1.125,19,12,31,0.652,6,1,29,440.94,21,0.115,42.0,32.614,10,1.028
8.155,0,69.453,60,61,0.614,35.0,9,4,39.0,12,7.376,2,6.7,61.298,36.858,1.158,21,10,32,0.596,3,0,31,442.54,29,0.148,48.3,35.755,10,1.022
5.379,1,69.922,62,66,0.708,46.8,27,4,62.5,32,9.332,3,6.5,64.167,43.915,1.128,29,29,45,0.702,4,1,41,578.61,21,0.106,33.9,43.55,12,1.035
5.456,0,76.268,67,68,0.623,35.8,12,4,42.5,14,6.845,3,6.0,67.298,41.716,1.138,24,11,34,0.59,5,0,33,458.62,34,0.176,50.7,39.562,9,1.004
5.0,1,52.242,46,46,0.625,32.6,7,1,29.0,9,7.51,3,2.2,46.862,28.756,1.136,15,6,23,0.593,6,1,23,345.46,23,0.174,50.0,27.292,8,1.019
4.523,1,56.325,50,52,0.66,38.0,13,2,39.0,15,8.13,3,4.0,51.08,33.0,1.127,19,12,30,0.636,6,1,28,406.5,22,0.115,44.0,31.787,9,1.022
5.523,2,43.525,37,38,0.695,35.1,10,5,35.5,13,11.552,2,13.5,40.298,25.727,1.176,13,11,28,0.715,2,2,27,427.42,10,0.132,27.0,26.461,14,1.089
6.137,1,89.862,80,82,0.659,40.0,20,2,53.0,21,6.859,3,2.5,79.159,52.739,1.123,32,18,41,0.605,4,0,39,548.72,41,0.159,51.3,48.362,7,0.989
5.0,1,76.112,68,71,0.666,41.2,19,1,52.0,21,7.73,3,1.5,68.723,45.256,1.119,28,18,40,0.634,7,1,37,525.67,31,0.155,45.6,43.114,9,1.011
4.538,2,66.401,59,62,0.692,39.0,16,6,46.5,19,8.181,2,10.2,59.254,40.853,1.125,23,17,36,0.647,2,2,33,482.69,26,0.113,44.1,38.2,10,1.004
5.824,2,62.069,55,58,0.697,38.2,15,7,45.5,19,8.539,2,12.7,55.589,38.335,1.129,21,17,35,0.658,2,2,32,469.65,23,0.103,41.8,36.168,11,1.011
6.719,1,67.029,60,63,0.689,43.3,22,3,52.5,26,8.193,3,5.0,60.738,41.313,1.117,26,23,38,0.66,5,1,35,491.61,25,0.127,41.7,39.62,9,1.012
6.821,1,70.112,63,67,0.707,46.0,27,4,60.5,32,8.582,3,6.3,63.956,44.557,1.113,29,29,43,0.684,5,1,39,540.64,24,0.119,38.1,43.115,10,1.015
4.398,2,70.412,63,65,0.693,41.3,20,2,51.0,22,9.135,4,3.2,63.96,43.637,1.118,26,18,38,0.657,6,1,36,575.52,27,0.2,42.9,41.392,10,1.015
7.046,1,56.744,50,51,0.638,34.0,7,2,37.0,10,8.29,3,4.0,51.734,31.909,1.135,17,6,29,0.624,8,1,28,414.48,22,0.118,44.0,31.216,11,1.035
6.668,1,56.199,50,52,0.676,40.0,15,3,40.0,15,8.31,3,6.0,50.971,33.79,1.124,20,12,31,0.651,5,1,29,415.51,21,0.154,42.0,32.567,9,1.019
5.975,1,75.397,67,69,0.652,38.8,14,2,43.0,14,7.025,2,3.0,66.727,43.659,1.125,26,12,35,0.605,4,1,33,470.69,34,0.145,50.7,40.518,7,0.996
5.895,1,75.397,67,69,0.652,38.8,14,2,43.0,14,7.025,2,3.0,66.727,43.659,1.125,26,12,35,0.605,4,1,33,470.69,34,0.145,50.7,40.518,7,0.996
7.398,1,46.384,40,40,0.648,35.0,9,3,30.0,9,9.085,3,7.5,41.971,25.932,1.16,14,6,24,0.644,3,1,24,363.4,16,0.175,40.0,25.76,10,1.049
6.131,1,71.982,64,66,0.655,39.1,14,2,42.0,14,7.135,2,3.1,63.843,41.898,1.125,25,12,34,0.609,4,1,32,456.66,32,0.136,50.0,38.991,7,0.998
5.65,0,76.062,67,69,0.633,37.3,14,4,46.0,15,7.233,3,6.0,67.741,42.409,1.135,25,12,37,0.608,6,0,35,484.61,32,0.13,47.8,40.75,10,1.011
6.522,0,94.092,82,81,0.583,30.5,3,3,35.0,3,5.753,3,3.7,81.265,47.802,1.147,25,0,32,0.534,5,0,33,471.77,49,0.247,59.8,43.755,8,0.991
4.62,1,60.95,54,56,0.652,37.0,13,2,41.0,15,8.084,3,3.7,55.291,35.216,1.129,20,12,32,0.63,7,1,30,436.53,24,0.125,44.4,34.028,10,1.024
5.22,1,66.773,59,60,0.635,35.6,8,2,33.0,8,6.655,2,3.4,58.516,37.444,1.132,21,6,28,0.581,3,1,27,392.62,32,0.15,54.2,34.276,6,0.992
5.099,0,93.799,82,81,0.587,31.7,3,2,34.0,3,5.546,3,2.4,80.719,48.103,1.144,26,0,31,0.531,4,0,32,454.78,50,0.247,61.0,43.545,6,0.984
4.638,1,57.408,51,53,0.671,39.2,13,3,43.0,16,8.461,3,5.9,52.298,34.244,1.126,20,12,32,0.653,6,1,30,431.51,21,0.113,41.2,33.281,10,1.025
7.0,0,72.391,63,62,0.584,30.2,3,3,28.0,3,5.898,3,4.8,62.636,36.779,1.149,19,0,25,0.538,4,0,26,371.59,37,0.21,58.7,33.879,7,0.994
7.745,1,45.246,40,41,0.68,37.5,13,4,38.0,17,9.46,5,10.0,41.865,27.205,1.131,15,12,27,0.68,6,1,26,378.4,14,0.195,35.0,27.196,11,1.047
6.344,0,57.026,50,52,0.658,38.0,15,7,45.0,20,8.509,4,14.0,51.651,32.881,1.141,19,16,33,0.658,5,0,31,425.45,19,0.173,38.0,32.885,12,1.033
7.959,0,76.81,67,67,0.592,31.3,4,3,34.0,4,6.382,4,4.5,67.29,39.688,1.146,21,0,30,0.557,6,0,30,427.61,37,0.209,55.2,37.309,9,1.004
5.301,0,73.228,65,69,0.658,41.5,17,4,49.5,19,7.302,2,6.2,65.203,42.739,1.127,27,17,39,0.628,4,0,35,474.61,30,0.101,46.2,40.793,8,1.003
7.081,1,60.906,54,56,0.671,38.9,17,4,47.5,22,8.491,5,7.4,55.4,36.25,1.128,21,17,34,0.654,6,1,32,458.54,22,0.143,40.7,35.303,11,1.026
8.658,0,78.6,69,70,0.612,34.8,9,3,39.0,9,6.488,3,4.3,68.963,42.233,1.139,24,6,33,0.574,5,0,32,447.64,37,0.057,53.6,39.594,8,0.999
6.175,1,59.752,52,53,0.64,36.5,8,2,33.0,8,7.741,2,3.8,52.96,33.279,1.149,19,6,28,0.609,2,1,27,402.53,25,0.113,48.1,31.658,8,1.018
6.87,1,69.856,62,64,0.656,38.7,13,3,41.0,14,7.123,2,4.8,61.734,40.688,1.127,24,12,33,0.609,3,1,31,441.65,31,0.141,50.0,37.771,7,0.996
5.362,1,59.448,53,55,0.662,39.6,13,1,39.0,15,7.614,3,1.9,53.418,35.063,1.122,21,12,30,0.625,5,1,28,403.54,25,0.127,47.2,33.104,7,1.008
5.305,1,73.694,65,67,0.639,35.4,13,3,45.0,15,7.594,3,4.6,66.043,41.506,1.134,23,12,36,0.61,7,1,34,493.64,31,0.134,47.7,39.63,11,1.016
7.032,1,51.863,46,47,0.677,39.1,14,4,36.0,15,8.098,3,8.7,46.534,31.125,1.127,18,12,27,0.644,3,1,26,372.49,20,0.17,43.5,29.632,8,1.012
7.77,1,64.74,57,58,0.648,35.1,14,4,46.0,18,8.431,6,7.0,58.938,36.92,1.136,20,12,34,0.636,8,1,33,480.55,24,0.172,42.1,36.259,13,1.034
7.268,2,66.877,59,61,0.685,37.3,20,5,58.0,26,9.858,8,8.5,62.189,40.443,1.134,22,18,41,0.687,9,2,39,581.61,20,0.164,33.9,40.512,17,1.054
5.305,1,61.029,54,56,0.654,37.0,13,3,40.0,15,7.769,3,5.6,54.738,35.313,1.13,20,12,31,0.623,5,1,29,419.55,25,0.089,46.3,33.62,9,1.014
6.0,0,66.73,59,60,0.64,39.0,15,3,40.0,15,6.975,3,5.1,59.101,37.733,1.131,23,12,31,0.606,4,0,30,411.55,29,0.183,49.2,35.772,7,1.002
5.32,1,71.069,63,66,0.655,38.1,14,3,47.0,16,7.74,4,4.8,63.832,41.29,1.128,24,12,37,0.625,6,1,34,487.63,29,0.121,46.0,39.388,10,1.013
5.398,1,44.448,39,39,0.65,33.3,8,4,27.0,9,7.959,3,10.3,39.651,25.364,1.14,13,6,21,0.618,3,1,21,310.42,18,0.179,46.2,24.105,8,1.017
8.52,1,46.861,40,41,0.666,37.5,13,3,42.0,17,11.384,5,7.5,44.211,26.648,1.172,15,12,31,0.715,6,1,30,455.35,10,0.171,25.0,28.617,15,1.105
7.125,1,37.747,33,33,0.642,30.3,7,3,28.0,11,9.192,5,9.1,34.764,21.199,1.144,10,6,20,0.642,6,1,20,303.33,13,0.182,39.4,21.174,10,1.053
7.26,2,69.953,62,64,0.682,37.1,20,5,58.0,26,9.317,8,8.1,64.56,42.267,1.128,23,18,41,0.672,9,2,39,577.65,23,0.156,37.1,41.656,16,1.041
7.552,1,49.787,44,45,0.663,36.4,13,3,39.0,17,8.987,5,6.8,45.858,29.176,1.132,16,12,28,0.658,7,1,27,395.43,17,0.178,38.6,28.943,11,1.042
6.824,0,72.976,64,64,0.61,34.4,9,3,35.0,9,6.337,3,4.7,63.752,39.017,1.14,22,6,29,0.568,4,0,29,405.6,35,0.219,54.7,36.352,7,0.996
6.959,1,59.942,53,54,0.64,35.8,8,2,31.0,8,6.878,2,3.8,52.749,33.921,1.131,19,6,26,0.589,3,1,25,364.56,28,0.13,52.8,31.223,6,0.995
5.384,1,64.155,57,59,0.658,38.6,14,2,43.0,16,7.835,4,3.5,57.847,37.523,1.126,22,12,33,0.629,6,1,31,446.57,26,0.136,45.6,35.84,9,1.015
7.921,1,54.528,48,50,0.68,37.5,14,7,42.0,19,8.615,3,14.6,49.073,32.62,1.136,18,16,31,0.659,3,1,29,413.51,19,0.16,39.6,31.642,11,1.022
5.365,1,70.407,61,60,0.593,26.2,2,4,28.0,3,6.468,3,6.6,61.156,36.16,1.154,16,0,25,0.541,5,0,26,394.52,35,0.217,57.4,33.012,10,1.003
6.969,1,81.982,73,76,0.672,41.1,21,4,58.0,23,7.9,5,5.5,73.818,49.057,1.123,30,18,44,0.643,6,1,41,576.73,32,0.132,43.8,46.937,11,1.011
5.0,1,71.697,64,66,0.664,40.6,19,1,49.0,21,7.807,3,1.6,64.84,42.494,1.12,26,18,37,0.634,7,1,35,499.63,29,0.182,45.3,40.587,9,1.013
6.0,2,40.205,36,37,0.681,36.1,6,0,24.0,8,7.957,2,0.0,36.087,24.512,1.117,13,6,19,0.618,3,2,18,286.45,18,0.081,50.0,22.26,5,1.002
5.0,1,72.195,64,66,0.648,37.5,14,2,46.0,16,7.666,4,3.1,64.942,41.5,1.128,24,12,36,0.619,7,1,34,490.63,30,0.152,46.9,39.609,10,1.015
5.658,0,62.109,55,57,0.648,40.0,15,3,41.0,15,7.482,3,5.5,55.662,35.665,1.129,22,12,32,0.626,5,0,30,411.5,25,0.14,45.5,34.433,8,1.012
6.538,1,72.989,63,62,0.594,25.4,3,6,31.0,4,6.707,4,9.5,63.476,37.41,1.159,16,0,27,0.548,5,0,28,422.54,35,0.21,55.6,34.528,12,1.008
5.0,1,70.318,62,63,0.622,33.9,7,1,36.0,9,6.897,3,1.6,62.28,38.563,1.134,21,6,30,0.579,6,1,29,427.62,33,0.19,53.2,35.926,8,1.005
6.824,0,64.94,57,58,0.617,35.1,9,3,35.0,9,6.869,3,5.3,57.429,35.188,1.139,20,6,29,0.587,5,0,28,391.52,29,0.138,50.9,33.487,8,1.008
5.0,1,72.195,64,66,0.648,37.5,14,2,46.0,16,7.666,4,3.1,64.942,41.5,1.128,24,12,36,0.619,7,1,34,490.63,30,0.152,46.9,39.609,10,1.015
5.0,1,77.737,69,72,0.645,37.7,13,1,48.0,15,7.531,3,1.4,69.934,44.472,1.127,26,12,39,0.614,8,1,36,519.67,33,0.167,47.8,42.356,10,1.014
5.0,1,55.617,50,52,0.691,44.0,19,1,43.0,21,8.23,3,2.0,50.651,34.54,1.112,22,18,31,0.661,5,1,29,411.51,21,0.135,42.0,33.051,7,1.013
6.585,1,69.703,61,61,0.62,31.1,8,3,35.0,9,7.041,3,4.9,61.498,37.847,1.143,19,6,29,0.577,6,0,29,429.51,32,0.18,52.5,35.179,10,1.008
5.305,1,70.278,62,64,0.641,35.5,13,3,44.0,15,7.736,3,4.8,63.16,39.744,1.134,22,12,35,0.615,7,1,33,479.61,29,0.125,46.8,38.103,11,1.019
7.584,0,87.893,78,81,0.653,41.0,21,4,58.5,22,7.343,5,5.1,78.509,50.932,1.127,32,17,45,0.626,6,0,42,572.72,36,0.16,46.2,48.803,10,1.007
5.0,1,80.026,71,74,0.648,38.0,14,2,50.0,16,7.475,4,2.8,71.709,46.023,1.127,27,12,40,0.615,7,1,37,530.7,34,0.135,47.9,43.662,10,1.01
4.252,3,58.585,53,55,0.733,43.4,19,1,45.0,21,9.821,3,1.9,53.513,38.847,1.105,23,18,33,0.681,4,2,31,520.5,22,0.182,41.5,36.075,8,1.01
6.066,0,69.019,61,63,0.644,39.3,15,4,43.5,18,6.928,3,6.6,60.876,39.284,1.131,24,15,33,0.608,3,0,31,422.58,30,0.159,49.2,37.078,7,0.998
5.538,1,79.949,70,70,0.616,31.4,8,3,38.0,9,6.737,3,4.3,70.149,43.131,1.142,22,6,32,0.568,6,0,32,471.6,38,0.186,54.3,39.759,10,1.002
6.337,0,67.355,59,59,0.609,33.9,9,3,34.0,9,6.67,3,5.1,59.312,35.949,1.142,20,6,28,0.576,5,0,28,393.54,31,0.169,52.5,34.013,8,1.005
5.187,2,46.937,42,43,0.695,40.5,13,1,34.0,15,8.759,3,2.4,42.764,29.182,1.118,17,12,25,0.658,4,1,24,367.88,18,0.14,42.9,27.636,7,1.018
5.0,1,76.112,68,71,0.666,41.2,19,1,52.0,21,7.73,3,1.5,68.723,45.256,1.119,28,18,40,0.634,7,1,37,525.67,31,0.155,45.6,43.114,9,1.011
7.538,0,65.019,57,58,0.619,35.1,9,4,35.0,12,6.571,2,7.0,56.876,35.285,1.141,20,10,28,0.58,3,0,27,374.54,30,0.155,52.6,33.078,7,0.998
6.119,1,65.66,57,57,0.612,28.1,5,5,32.5,8,7.079,3,8.8,57.607,34.881,1.152,16,5,27,0.569,5,0,27,403.48,30,0.193,52.6,32.453,11,1.011
6.983,2,68.696,61,62,0.66,36.1,13,2,41.0,15,7.65,3,3.3,61.363,40.239,1.126,22,12,32,0.613,5,2,31,466.68,30,0.194,49.2,37.366,9,1.006
5.0,1,68.494,60,60,0.623,31.7,8,3,34.0,9,6.892,3,5.0,60.171,37.392,1.142,19,6,28,0.574,5,0,28,413.51,32,0.183,53.3,34.464,9,1.003
7.208,1,53.285,47,48,0.663,36.2,14,4,42.0,18,8.989,6,8.5,48.96,31.182,1.134,17,12,30,0.659,7,1,29,422.46,18,0.146,38.3,30.964,12,1.042
4.807,1,73.118,64,64,0.619,31.3,8,3,36.0,9,6.93,3,4.7,64.381,39.608,1.142,20,6,30,0.574,6,0,30,443.54,34,0.188,53.1,36.705,10,1.006
4.387,2,69.203,62,64,0.696,41.9,20,2,50.0,22,9.025,4,3.2,62.632,43.182,1.116,26,18,37,0.656,5,1,35,559.52,27,0.188,43.5,40.677,9,1.01
6.0,2,57.411,52,55,0.73,46.2,19,2,50.5,25,8.935,3,3.8,52.618,37.977,1.104,24,21,35,0.693,4,2,32,464.6,20,0.109,38.5,36.017,8,1.012
5.305,1,61.112,54,56,0.658,37.0,14,4,42.0,16,8.01,4,7.4,54.956,35.557,1.132,20,12,32,0.632,5,1,30,432.55,24,0.071,44.4,34.115,10,1.018
4.0,1,71.909,63,63,0.621,31.7,8,3,35.0,9,6.786,3,4.8,63.054,39.154,1.141,20,6,29,0.571,5,0,29,427.54,34,0.19,54.0,35.991,9,1.001
7.389,1,76.773,68,70,0.656,38.2,15,4,49.0,17,7.54,5,5.9,68.491,44.603,1.129,26,12,38,0.621,5,1,36,512.69,32,0.129,47.1,42.222,10,1.007
8.046,0,58.604,51,51,0.598,31.4,5,4,27.5,7,6.362,2,7.8,50.992,30.523,1.149,16,5,23,0.56,3,0,23,324.48,28,0.176,54.9,28.552,7,1.0
5.076,0,75.272,66,67,0.619,34.8,11,4,43.0,11,7.221,5,6.1,67.069,40.864,1.14,23,6,35,0.598,7,0,34,476.59,32,0.075,48.5,39.464,11,1.016
5.0,1,82.943,74,77,0.659,40.5,19,1,54.0,21,7.483,3,1.4,74.491,48.779,1.121,30,18,42,0.624,7,1,39,553.73,35,0.169,47.3,46.168,9,1.007
6.456,0,90.933,80,81,0.624,36.3,16,4,51.0,16,6.959,4,5.0,80.603,49.909,1.137,29,12,41,0.595,7,0,40,556.73,40,0.21,50.0,47.572,11,1.008
5.456,1,59.61,53,54,0.668,39.6,15,3,38.0,15,7.539,3,5.7,53.083,35.404,1.125,21,12,29,0.626,3,1,28,399.56,25,0.185,47.2,33.191,7,1.002
7.824,1,47.664,42,43,0.669,35.7,13,4,42.0,19,9.771,7,9.5,44.52,28.114,1.135,15,12,29,0.682,8,1,28,410.4,14,0.186,33.3,28.625,13,1.06
6.565,1,49.574,44,46,0.672,38.6,13,3,36.0,15,8.215,3,6.8,44.76,29.574,1.127,17,12,27,0.644,4,1,25,361.46,19,0.065,43.2,28.325,8,1.017
7.638,0,93.434,83,86,0.649,41.0,21,3,60.5,22,7.25,5,3.6,83.501,53.904,1.126,34,17,47,0.621,7,0,44,601.76,39,0.163,47.0,51.55,10,1.006
7.854,2,41.667,37,38,0.699,35.1,11,3,35.5,16,10.039,5,8.1,38.84,25.847,1.126,13,11,25,0.685,6,2,24,371.43,13,0.184,35.1,25.361,11,1.05
7.398,1,55.278,49,50,0.671,38.8,15,4,37.0,15,7.888,3,8.2,49.418,32.887,1.128,19,12,28,0.636,3,1,27,386.52,22,0.16,44.9,31.158,8,1.009
5.305,1,55.218,48,50,0.658,37.5,13,3,41.0,15,9.28,3,6.3,50.509,31.602,1.15,18,12,32,0.661,5,1,30,445.46,18,0.08,37.5,31.716,12,1.052
7.523,1,60.942,54,56,0.647,37.0,8,2,33.0,8,6.974,2,3.7,53.749,34.921,1.129,20,6,28,0.597,3,1,26,376.57,28,0.107,51.9,32.223,6,0.995
7.921,3,46.26,41,42,0.711,36.6,13,3,40.0,17,10.982,5,7.3,43.622,29.131,1.128,15,12,29,0.709,7,1,28,450.28,13,0.167,31.7,29.071,13,1.064
7.444,1,55.408,49,50,0.658,36.7,13,3,40.0,17,8.316,5,6.1,50.298,32.244,1.131,18,12,29,0.638,6,1,28,407.49,21,0.14,42.9,31.281,10,1.026
5.305,1,93.271,82,84,0.628,34.1,14,4,54.0,16,7.424,4,4.9,83.334,51.466,1.137,28,12,44,0.6,9,1,42,608.79,40,0.167,48.8,49.188,14,1.016
5.876,1,80.102,71,73,0.647,38.0,14,3,44.0,14,6.813,2,4.2,70.385,45.972,1.128,27,12,36,0.596,3,1,34,483.74,37,0.137,52.1,42.351,7,0.991
7.509,2,47.608,42,43,0.69,35.7,13,4,43.0,19,10.591,7,9.5,44.844,28.971,1.134,15,12,30,0.701,8,1,29,444.84,13,0.186,31.0,29.453,14,1.068
8.398,0,73.391,64,64,0.59,31.3,3,3,30.0,3,5.994,3,4.7,63.636,37.779,1.147,20,0,27,0.545,4,0,27,383.6,37,0.141,57.8,34.879,7,0.994
5.305,1,60.112,53,55,0.652,35.8,12,4,40.0,15,7.935,3,7.5,53.956,34.557,1.134,19,12,31,0.625,5,1,29,420.54,24,0.091,45.3,33.115,10,1.018
5.553,0,61.524,54,55,0.619,35.2,9,3,34.0,9,6.991,3,5.6,54.545,33.426,1.139,19,6,28,0.592,5,0,27,377.49,27,0.145,50.0,31.96,8,1.01
4.398,1,53.195,47,48,0.652,36.2,9,3,31.0,9,7.436,3,6.4,47.2,30.642,1.132,17,6,25,0.61,3,1,24,349.5,23,0.125,48.9,28.664,7,1.004
5.305,1,54.008,47,49,0.663,38.3,13,3,40.0,15,9.137,3,6.4,49.182,31.148,1.149,18,12,31,0.66,4,1,29,429.46,18,0.061,38.3,31.002,11,1.046
5.305,1,83.943,74,76,0.634,35.1,14,3,51.0,16,7.645,4,4.1,75.465,46.938,1.134,26,12,41,0.61,9,1,39,565.71,35,0.184,47.3,45.113,13,1.02
6.767,1,49.574,44,45,0.672,38.6,13,3,34.5,14,8.215,3,6.8,44.76,29.574,1.127,17,11,26,0.644,4,1,25,361.46,19,0.178,43.2,28.325,8,1.017
6.959,1,53.697,48,50,0.68,41.7,14,2,36.0,14,7.719,2,4.2,48.098,32.637,1.119,20,12,28,0.638,3,1,26,370.51,22,0.12,45.8,30.642,6,1.002
7.337,2,49.814,44,45,0.688,36.4,14,4,42.0,18,10.065,6,9.1,46.4,30.278,1.132,16,12,30,0.688,7,1,29,442.87,15,0.156,34.1,30.265,13,1.055
5.272,1,91.065,81,84,0.654,39.5,20,2,59.0,22,7.541,4,2.5,81.803,53.0,1.124,32,18,46,0.623,8,1,43,610.79,38,0.167,46.9,50.431,11,1.01
6.135,1,50.199,44,45,0.632,31.8,7,3,30.0,9,7.806,3,6.8,44.971,27.79,1.141,14,6,24,0.604,5,1,23,343.45,21,0.089,47.7,26.567,9,1.022
7.139,1,84.813,75,77,0.648,37.3,15,4,52.0,17,7.423,5,5.3,75.585,48.58,1.131,28,12,41,0.613,6,1,39,556.75,36,0.156,48.0,45.99,11,1.008
5.0,3,47.331,43,45,0.732,41.9,12,0,33.0,14,8.479,2,0.0,42.72,31.466,1.101,18,12,25,0.657,2,3,23,364.59,20,0.089,46.5,28.259,5,0.993
5.305,1,39.953,35,36,0.643,31.4,7,3,27.0,9,8.61,3,8.6,36.32,22.506,1.142,11,6,21,0.628,5,1,20,301.36,15,0.083,42.9,21.986,9,1.038
6.547,1,81.816,73,76,0.665,41.1,20,2,55.0,22,7.544,4,2.7,73.381,48.568,1.121,30,18,42,0.629,6,1,39,550.73,34,0.132,46.6,45.947,9,1.005
7.367,1,50.21,44,45,0.667,36.4,14,4,42.0,18,9.691,6,9.1,46.589,29.358,1.141,16,12,30,0.678,7,1,29,426.42,15,0.156,34.1,29.82,13,1.059
6.223,1,57.405,51,52,0.669,39.2,15,3,38.0,15,7.873,3,5.9,51.527,34.097,1.126,20,12,29,0.635,4,1,28,401.53,23,0.192,45.1,32.379,8,1.01
4.523,0,65.524,58,60,0.645,39.7,15,3,42.0,15,7.337,3,5.2,58.545,37.426,1.13,23,12,33,0.62,5,0,31,425.53,27,0.133,46.6,35.96,8,1.009
7.222,0,72.517,64,66,0.645,39.1,16,5,46.0,19,7.025,3,7.8,63.978,41.29,1.133,25,16,35,0.611,3,0,33,449.61,31,0.152,48.4,39.1,8,1.0
7.237,2,69.953,62,64,0.682,37.1,20,5,58.0,26,9.317,8,8.1,64.56,42.267,1.128,23,18,41,0.672,9,2,39,577.65,23,0.156,37.1,41.656,16,1.041
6.304,1,50.199,44,45,0.632,31.8,7,3,30.0,9,7.806,3,6.8,44.971,27.79,1.141,14,6,24,0.604,5,1,23,343.45,21,0.089,47.7,26.567,9,1.022
7.0,2,64.379,57,59,0.692,38.6,20,4,57.0,26,9.94,8,7.0,60.087,39.437,1.129,22,18,40,0.693,9,2,38,566.59,19,0.169,33.3,39.491,16,1.054
