pXC50,Sp,nC,nBO,nAT,nBT,nSK,SCBO,Sv,MW,X.,nF,nH,Si,nCsp3,Se,O.,RBN,nN,N.,Mv,nHet,nCsp2,nDB,Mi,H.,nAB,AMW,Mp,RBF,nBM
6.509,48.95,29,39,78.0,82.0,35,45.5,44.831,477.77,0.0,0,43,88.59,20,76.625,1.3,8,5,6.4,0.575,6,9,1,1.136,55.1,11,6.125,0.628,0.098,12
9.398,53.461,33,49,83.0,88.0,44,59.5,51.19,608.78,3.6,3,39,94.901,16,83.708,2.4,7,6,7.2,0.617,11,17,2,1.143,47.0,17,7.335,0.644,0.08,19
8.398,49.432,30,41,77.0,81.0,37,50.5,45.799,500.76,0.0,0,40,87.258,15,75.959,1.3,8,6,7.8,0.595,7,15,1,1.133,51.9,17,6.503,0.642,0.099,18
7.538,49.432,30,41,77.0,81.0,37,50.5,45.799,500.76,0.0,0,40,87.258,15,75.959,1.3,8,6,7.8,0.595,7,15,1,1.133,51.9,17,6.503,0.642,0.099,18
5.638,55.858,34,47,85.0,88.0,44,62.0,52.549,619.85,0.0,0,41,95.56,13,85.134,7.1,15,3,3.5,0.618,10,21,6,1.124,48.2,18,7.292,0.657,0.17,24
8.42,47.904,29,42,76.0,79.0,39,51.0,45.862,546.7,3.9,3,37,87.114,16,76.832,3.9,6,4,5.3,0.603,10,13,3,1.146,48.7,12,7.193,0.63,0.076,15
9.398,62.836,40,53,97.0,102.0,48,65.5,58.73,652.93,1.0,1,49,109.511,18,96.225,3.1,12,4,4.1,0.605,8,22,1,1.129,50.5,23,6.731,0.648,0.118,24
9.222,53.552,33,45,84.0,88.0,41,54.5,50.149,562.8,1.2,1,43,95.265,17,83.574,3.6,10,4,4.8,0.597,8,16,1,1.134,51.2,17,6.7,0.638,0.114,18
9.222,60.143,37,48,95.0,99.0,44,57.5,55.542,602.92,1.1,1,51,107.717,21,93.781,2.1,11,4,4.2,0.585,7,16,1,1.134,53.7,17,6.347,0.633,0.111,18
8.284,47.001,28,40,75.0,78.0,37,47.0,44.454,517.71,4.0,3,38,86.194,17,75.279,1.3,5,5,6.7,0.593,9,11,1,1.149,50.7,12,6.903,0.627,0.064,13
9.097,58.836,36,48,93.0,97.0,44,57.5,54.73,604.89,1.1,1,49,105.511,20,92.225,3.2,13,4,4.3,0.588,8,16,1,1.135,52.7,17,6.504,0.633,0.134,18
7.745,54.609,35,46,84.0,89.0,41,56.0,50.745,553.81,0.0,0,43,94.427,16,82.959,3.6,6,3,3.6,0.604,6,19,1,1.124,51.2,18,6.593,0.65,0.067,19
7.174,70.285,43,56,108.0,112.0,52,70.5,64.829,725.1,0.0,0,56,121.546,19,106.766,3.7,17,4,3.7,0.6,9,24,3,1.125,51.9,23,6.714,0.651,0.152,26
8.151,53.671,30,44,81.0,84.0,41,54.0,49.796,623.71,2.5,0,40,91.528,16,81.229,4.9,10,4,4.9,0.615,11,14,4,1.13,49.4,12,7.7,0.663,0.119,16
7.699,53.921,32,46,81.0,84.0,43,60.0,50.767,632.86,2.5,2,38,91.452,13,81.807,6.2,11,2,2.5,0.627,11,19,5,1.129,46.9,18,7.813,0.666,0.131,23
9.301,58.648,36,51,93.0,97.0,47,60.5,55.88,658.86,4.3,4,46,106.53,20,93.763,3.2,13,4,4.3,0.601,11,16,1,1.145,49.5,17,7.085,0.631,0.134,18
5.292,125.944,68,109,214.0,223.0,100,111.0,120.901,1443.82,0.0,0,114,244.367,65,217.839,15.0,24,0,0.0,0.565,32,3,2,1.142,53.3,0,6.747,0.589,0.108,2
4.7,52.591,33,46,77.0,82.0,41,57.0,49.126,591.63,2.6,0,36,86.358,13,76.73,2.6,8,4,5.2,0.638,8,20,2,1.122,46.8,18,7.684,0.683,0.098,20
7.824,48.529,29,41,74.0,78.0,37,50.5,45.099,521.17,1.4,0,37,83.786,14,73.399,1.4,8,6,8.1,0.609,8,15,1,1.132,50.0,17,7.043,0.656,0.103,18
7.0,48.529,29,41,74.0,78.0,37,50.5,45.099,521.17,1.4,0,37,83.786,14,73.399,1.4,8,6,8.1,0.609,8,15,1,1.132,50.0,17,7.043,0.656,0.103,18
7.319,49.387,29,42,74.0,78.0,38,51.5,45.927,555.61,2.7,0,36,83.73,14,73.723,1.4,8,6,8.1,0.621,9,15,1,1.131,48.6,17,7.508,0.667,0.103,18
7.699,47.671,29,40,74.0,78.0,36,49.5,44.272,486.73,0.0,0,38,83.842,14,73.076,1.4,8,6,8.1,0.598,7,15,1,1.133,51.4,17,6.577,0.644,0.103,18
7.108,48.194,28,39,77.0,81.0,35,45.5,44.326,478.76,0.0,0,42,87.673,19,75.843,1.3,8,6,7.8,0.576,7,9,1,1.139,54.5,11,6.218,0.626,0.099,12
6.491,49.432,30,41,77.0,81.0,37,50.5,45.799,500.76,0.0,0,40,87.258,15,75.959,1.3,9,6,7.8,0.595,7,15,1,1.133,51.9,17,6.503,0.642,0.111,18
8.398,48.529,29,41,74.0,78.0,37,50.5,45.099,521.17,1.4,0,37,83.786,14,73.399,1.4,8,6,8.1,0.609,8,15,1,1.132,50.0,17,7.043,0.656,0.103,18
7.0,52.557,31,44,84.0,88.0,40,51.0,49.171,553.8,1.2,1,44,95.763,20,83.676,3.6,12,5,6.0,0.585,9,11,1,1.14,52.4,12,6.593,0.626,0.136,13
7.523,46.972,32,46,71.0,75.0,42,57.0,46.396,590.63,9.9,7,29,81.642,11,73.141,1.4,7,2,2.8,0.653,10,21,2,1.15,40.8,18,8.319,0.662,0.093,20
6.0,48.722,30,40,73.0,77.0,36,48.0,44.873,528.59,2.7,0,37,81.985,15,72.352,2.7,5,2,2.7,0.615,6,15,2,1.123,50.7,12,7.241,0.667,0.065,14
9.301,50.847,32,41,80.0,84.0,37,48.0,46.918,506.77,1.3,1,43,90.474,19,78.927,2.5,11,2,2.5,0.586,5,13,1,1.131,53.8,12,6.335,0.636,0.131,13
9.35,51.126,31,43,79.0,83.0,39,51.0,47.677,558.8,2.5,2,40,89.528,18,78.959,3.8,11,2,2.5,0.604,8,13,2,1.133,50.6,12,7.073,0.647,0.133,14
8.432,52.694,33,46,83.0,88.0,41,53.0,49.731,568.77,2.4,2,42,94.233,20,83.094,4.8,11,2,2.4,0.599,8,13,1,1.135,50.6,12,6.853,0.635,0.125,13
9.523,61.904,38,49,98.0,102.0,45,58.5,57.068,616.95,1.0,1,53,111.132,22,96.665,2.0,12,4,4.1,0.582,7,16,1,1.134,54.1,17,6.295,0.632,0.118,18
8.959,53.341,32,45,83.0,87.0,41,54.0,49.918,588.83,2.4,2,42,94.153,19,83.17,4.8,10,2,2.4,0.601,9,13,3,1.134,50.6,12,7.094,0.643,0.115,15
9.097,47.91,29,39,74.0,77.0,36,46.0,44.435,516.76,2.7,2,38,83.904,16,73.748,2.7,10,2,2.7,0.6,7,13,1,1.134,51.4,12,6.983,0.647,0.13,13
9.097,50.785,32,42,80.0,84.0,38,49.0,47.302,524.76,2.5,2,42,90.814,19,79.439,2.5,11,2,2.5,0.591,6,13,1,1.135,52.5,12,6.559,0.635,0.131,13
9.523,52.484,33,44,83.0,87.0,40,51.0,49.212,556.78,3.6,3,43,94.569,20,82.836,2.4,10,2,2.4,0.593,7,13,1,1.139,51.8,12,6.708,0.632,0.115,13
8.824,52.694,33,45,83.0,87.0,41,53.0,49.731,568.77,2.4,2,42,94.233,19,83.094,4.8,13,2,2.4,0.599,8,14,2,1.135,50.6,12,6.853,0.635,0.149,14
7.292,50.932,32,44,80.0,84.0,40,52.0,48.205,554.74,2.5,2,40,90.818,18,80.21,5.0,12,2,2.5,0.603,8,14,2,1.135,50.0,12,6.934,0.637,0.143,14
5.456,47.091,29,41,68.0,73.0,36,53.0,43.463,520.77,0.0,0,32,75.693,11,67.592,4.4,5,2,2.9,0.639,7,18,3,1.113,47.1,18,7.658,0.693,0.068,21
5.0,46.637,29,40,67.0,72.0,35,51.0,42.749,504.77,0.0,0,32,74.483,11,66.265,3.0,5,2,3.0,0.638,6,18,2,1.112,47.8,18,7.534,0.696,0.069,20
5.0,46.637,29,40,67.0,72.0,35,51.0,42.749,504.77,0.0,0,32,74.483,11,66.265,3.0,5,2,3.0,0.638,6,18,2,1.112,47.8,18,7.534,0.696,0.069,20
6.076,45.029,30,36,68.0,71.0,33,47.0,41.45,439.67,0.0,0,35,76.057,9,66.61,1.5,8,2,2.9,0.61,3,21,2,1.118,51.5,18,6.466,0.662,0.113,20
8.854,48.699,32,41,74.0,78.0,37,52.0,45.406,497.71,0.0,0,37,82.891,11,73.149,4.1,6,2,2.7,0.614,5,21,2,1.12,50.0,18,6.726,0.658,0.077,20
8.407,43.006,26,34,65.0,68.0,31,41.0,39.233,484.53,1.5,0,34,73.189,13,63.999,1.5,4,3,4.6,0.604,5,13,1,1.126,52.3,12,7.454,0.662,0.059,13
6.344,45.654,30,38,69.0,73.0,34,48.0,42.208,453.68,0.0,0,35,77.348,11,67.77,1.4,5,3,4.3,0.612,4,19,1,1.121,50.7,18,6.575,0.662,0.068,19
8.745,50.915,33,43,78.0,82.0,39,54.0,47.648,527.74,0.0,0,39,87.515,12,77.359,5.1,8,2,2.6,0.611,6,21,2,1.122,50.0,18,6.766,0.653,0.098,20
6.42,46.029,31,38,69.0,73.0,34,49.0,42.45,451.68,0.0,0,35,77.057,10,67.61,1.4,5,2,2.9,0.615,3,21,2,1.117,50.7,18,6.546,0.667,0.068,20
6.991,48.66,32,42,73.0,78.0,37,54.0,45.229,492.72,0.0,0,36,81.846,11,71.872,1.4,5,4,5.5,0.62,5,21,1,1.121,49.3,22,6.75,0.667,0.064,23
6.912,46.421,29,38,72.0,76.0,34,47.0,42.756,458.71,0.0,0,38,81.261,14,70.756,1.4,4,4,5.6,0.594,5,15,1,1.129,52.8,16,6.371,0.645,0.053,17
8.167,45.938,30,38,70.0,73.0,35,49.0,42.879,471.67,0.0,0,35,78.476,9,69.265,4.3,8,2,2.9,0.613,5,21,2,1.121,50.0,18,6.738,0.656,0.11,20
8.481,49.006,32,39,75.0,78.0,36,50.0,45.218,483.73,0.0,0,39,84.097,11,73.705,2.7,8,2,2.7,0.603,4,21,2,1.121,52.0,18,6.45,0.653,0.103,20
7.878,50.938,33,41,78.0,82.0,37,51.0,46.788,495.77,0.0,0,41,87.593,14,76.421,1.3,6,3,3.8,0.6,4,19,1,1.123,52.6,18,6.356,0.653,0.073,19
7.31,53.597,32,48,78.0,83.0,43,60.0,50.436,644.67,2.6,0,35,87.408,13,78.687,6.4,6,3,3.8,0.647,11,19,3,1.121,44.9,18,8.265,0.687,0.072,21
6.62,46.029,31,38,69.0,73.0,34,49.0,42.45,451.68,0.0,0,35,77.057,10,67.61,1.4,5,2,2.9,0.615,3,21,2,1.117,50.7,18,6.546,0.667,0.068,20
7.0,51.637,33,43,79.0,83.0,39,54.0,47.998,524.77,0.0,0,40,88.886,13,77.967,2.5,6,4,5.1,0.608,6,20,2,1.125,50.6,18,6.643,0.654,0.072,20
6.357,55.404,34,48,84.0,89.0,43,60.0,51.834,603.85,0.0,0,41,94.351,15,83.807,6.0,6,3,3.6,0.617,9,19,3,1.123,48.8,18,7.189,0.66,0.067,21
7.699,57.023,34,45,88.0,91.0,42,57.0,52.48,590.91,0.0,0,46,99.261,15,87.021,3.4,13,4,4.5,0.596,8,19,3,1.128,52.3,18,6.715,0.648,0.143,21
8.301,51.188,31,42,78.0,81.0,39,54.0,47.593,549.8,0.0,0,39,87.726,12,77.596,5.1,12,3,3.8,0.61,8,19,3,1.125,50.0,18,7.049,0.656,0.148,21
7.824,55.234,32,43,87.0,90.0,40,52.0,50.7,569.89,0.0,0,47,98.387,19,86.13,4.6,13,3,3.4,0.583,8,13,3,1.131,54.0,12,6.55,0.635,0.144,15
7.0,49.978,30,41,76.0,79.0,38,53.0,46.373,534.79,0.0,0,38,85.6,11,75.487,3.9,11,4,5.3,0.61,8,19,3,1.126,50.0,18,7.037,0.658,0.139,21
9.097,58.029,34,48,88.0,91.0,45,61.0,54.21,655.33,1.1,0,43,99.208,14,88.116,5.7,15,4,4.5,0.616,11,20,4,1.127,48.9,18,7.447,0.659,0.165,22
7.347,47.307,29,41,69.0,73.0,37,53.0,44.125,538.16,1.4,0,32,77.215,10,68.941,4.3,8,3,4.3,0.639,8,19,3,1.119,46.4,18,7.799,0.686,0.11,21
6.0,41.904,24,34,65.0,67.0,32,43.0,39.012,459.67,0.0,0,33,73.481,11,64.945,6.2,10,3,4.6,0.6,8,13,3,1.13,50.8,12,7.072,0.645,0.149,15
7.398,45.427,26,36,71.0,73.0,34,45.0,42.066,487.73,0.0,0,37,80.311,13,70.712,5.6,11,3,4.2,0.592,8,13,3,1.131,52.1,12,6.869,0.64,0.151,15
8.301,50.893,31,40,76.0,79.0,37,51.0,46.496,539.24,1.3,0,39,85.168,13,75.047,2.6,12,2,2.6,0.612,6,18,2,1.121,51.3,18,7.095,0.67,0.152,20
8.222,56.285,34,48,87.0,90.0,45,60.0,53.323,645.86,3.4,3,42,98.991,15,87.785,4.6,14,3,3.4,0.613,11,19,3,1.138,48.3,18,7.424,0.647,0.156,21
8.699,54.648,33,46,83.0,86.0,43,61.0,51.329,604.84,0.0,0,40,93.434,12,83.025,6.0,14,4,4.8,0.618,10,21,6,1.126,48.2,18,7.287,0.658,0.163,24
8.523,56.472,34,45,87.0,90.0,42,57.0,52.173,591.89,0.0,0,45,97.972,15,86.247,4.6,14,3,3.4,0.6,8,19,3,1.126,51.7,18,6.803,0.649,0.156,21
8.0,51.188,31,42,78.0,81.0,39,54.0,47.593,549.8,0.0,0,39,87.726,12,77.596,5.1,12,3,3.8,0.61,8,19,3,1.125,50.0,18,7.049,0.656,0.148,21
8.699,55.961,33,48,84.0,87.0,45,63.0,52.871,655.28,1.2,0,39,94.587,12,84.676,7.1,15,4,4.8,0.629,12,21,6,1.126,46.4,18,7.801,0.666,0.172,24
8.538,45.239,27,39,72.0,75.0,36,46.0,42.927,503.68,4.2,3,36,82.778,16,72.396,1.4,4,5,6.9,0.596,9,11,1,1.15,50.0,12,6.996,0.628,0.053,13
5.0,41.086,25,33,60.0,62.0,31,44.0,37.862,457.08,1.7,0,29,67.092,7,59.629,3.3,11,2,3.3,0.631,6,18,2,1.118,48.3,18,7.618,0.685,0.177,20
8.796,49.762,30,43,79.0,83.0,39,50.0,46.981,543.75,3.8,3,40,90.609,19,79.163,1.3,6,5,6.3,0.595,9,11,1,1.147,50.6,12,6.883,0.63,0.072,13
7.523,45.608,28,37,67.0,70.0,34,48.0,41.916,497.15,1.5,0,33,74.923,10,66.396,3.0,9,2,3.0,0.626,6,18,2,1.118,49.3,18,7.42,0.681,0.129,20
7.301,47.614,29,40,70.0,74.0,36,51.0,43.937,524.18,1.4,0,34,78.421,11,69.498,2.9,8,3,4.3,0.628,7,18,2,1.12,48.6,18,7.488,0.68,0.108,20
7.456,55.234,32,43,87.0,90.0,40,52.0,50.7,569.89,0.0,0,47,98.387,19,86.13,4.6,13,3,3.4,0.583,8,13,3,1.131,54.0,12,6.55,0.635,0.144,15
7.222,51.176,29,46,73.0,77.0,42,61.0,48.284,652.67,2.7,0,31,81.707,11,74.323,8.2,9,3,4.1,0.661,13,18,6,1.119,42.5,18,8.941,0.701,0.117,24
6.824,51.176,29,46,73.0,77.0,42,61.0,48.284,652.67,2.7,0,31,81.707,11,74.323,8.2,9,3,4.1,0.661,13,18,6,1.119,42.5,18,8.941,0.701,0.117,24
8.398,55.569,33,45,84.0,87.0,42,57.0,51.474,612.3,1.2,0,42,94.501,14,83.687,4.8,14,3,3.6,0.613,9,19,3,1.125,50.0,18,7.289,0.662,0.161,21
6.244,44.625,28,38,67.0,70.0,35,49.0,41.855,498.69,3.0,2,32,75.658,10,67.098,3.0,9,2,3.0,0.625,7,18,2,1.129,47.8,18,7.443,0.666,0.129,20
6.469,48.818,27,42,70.0,74.0,38,53.5,45.161,595.67,2.9,0,32,78.577,12,70.443,4.3,8,4,5.7,0.645,11,15,3,1.123,45.7,17,8.51,0.697,0.108,20
6.108,48.921,30,42,70.0,74.0,38,53.0,45.458,571.61,2.9,0,32,78.076,11,70.047,4.3,8,2,2.9,0.649,8,19,2,1.115,45.7,18,8.166,0.699,0.108,20
6.194,50.228,31,42,72.0,76.0,38,53.0,46.27,569.64,2.8,0,34,80.282,12,71.603,2.8,8,2,2.8,0.643,7,19,2,1.115,47.2,18,7.912,0.698,0.105,20
5.796,47.353,28,40,66.0,70.0,36,51.0,43.404,561.64,3.0,0,30,73.371,10,65.912,3.0,8,2,3.0,0.658,8,18,2,1.112,45.5,18,8.51,0.717,0.114,20
6.921,53.574,32,47,75.0,80.0,42,61.5,49.667,642.72,2.7,0,33,83.494,11,75.225,4.0,8,3,4.0,0.662,10,21,3,1.113,44.0,23,8.57,0.714,0.1,26
7.046,53.574,32,47,75.0,80.0,42,61.5,49.667,642.72,2.7,0,33,83.494,11,75.225,4.0,8,3,4.0,0.662,10,21,3,1.113,44.0,23,8.57,0.714,0.1,26
7.721,47.648,33,41,70.0,75.0,36,53.5,44.186,474.69,0.0,0,34,77.849,10,68.669,1.4,5,2,2.9,0.631,3,23,1,1.112,48.6,23,6.781,0.681,0.067,24
6.886,51.33,30,43,73.0,77.0,39,55.0,47.172,605.7,2.7,0,34,81.411,12,73.007,4.1,9,2,2.7,0.646,9,18,3,1.115,46.6,18,8.297,0.703,0.117,21
8.398,46.461,29,39,66.0,70.0,35,49.0,42.722,528.58,3.0,0,31,73.368,11,65.618,3.0,8,1,1.5,0.647,6,18,1,1.112,47.0,18,8.009,0.704,0.114,19
6.125,43.745,29,37,64.0,68.0,33,47.0,40.487,459.07,1.6,0,31,71.378,10,63.109,1.6,5,2,3.1,0.633,4,19,1,1.115,48.4,18,7.173,0.684,0.074,19
7.222,48.273,30,38,73.0,76.0,35,49.0,44.142,490.77,0.0,0,38,81.809,12,71.839,2.7,9,2,2.7,0.605,5,18,2,1.121,52.1,18,6.723,0.661,0.118,20
6.0,46.966,29,38,71.0,74.0,35,49.0,43.33,492.74,0.0,0,36,79.603,11,70.283,4.2,10,2,2.8,0.61,6,18,2,1.121,50.7,18,6.94,0.661,0.135,20
10.0,49.148,31,39,77.0,81.0,35,46.0,45.008,474.75,0.0,0,42,86.719,18,75.53,2.6,11,2,2.6,0.585,4,13,1,1.126,54.5,12,6.166,0.638,0.136,13
4.19,18.057,13,17,25.0,27.0,15,25.0,17.15,194.25,0.0,0,10,27.657,1,24.738,0.0,0,2,8.0,0.686,2,12,0,1.106,40.0,16,7.77,0.722,0.0,16
7.26,44.438,28,38,70.0,73.0,35,45.0,42.105,488.65,4.3,3,35,79.908,15,70.301,2.9,5,2,2.9,0.601,7,13,1,1.142,50.0,12,6.981,0.635,0.068,13
9.262,51.217,32,39,81.0,85.0,35,45.0,46.347,474.8,0.0,0,46,91.34,20,78.97,1.2,9,2,2.5,0.572,3,12,0,1.128,56.8,12,5.862,0.632,0.106,12
7.886,58.313,37,51,89.0,94.0,46,65.0,54.975,621.85,0.0,0,43,100.218,14,88.607,4.5,13,5,5.6,0.618,9,23,3,1.126,48.3,22,6.987,0.655,0.138,25
7.921,50.461,31,39,80.0,84.0,35,45.0,45.842,475.79,0.0,0,45,90.424,20,78.188,1.3,9,3,3.8,0.573,4,11,0,1.13,56.3,12,5.947,0.631,0.107,12
8.699,48.603,30,38,77.0,80.0,35,45.0,44.723,478.74,0.0,0,42,86.929,17,75.858,3.9,10,2,2.6,0.581,5,13,1,1.129,54.5,12,6.217,0.631,0.125,13
9.155,48.148,30,37,76.0,79.0,34,44.0,44.008,462.74,0.0,0,42,85.719,17,74.53,2.6,10,2,2.6,0.579,4,13,1,1.128,55.3,12,6.089,0.634,0.127,13
8.523,47.387,30,38,74.0,78.0,34,45.0,43.482,460.72,0.0,0,40,83.304,17,72.647,2.7,10,2,2.7,0.588,4,13,1,1.126,54.1,12,6.226,0.64,0.128,13
8.523,53.126,33,42,84.0,88.0,38,49.0,48.777,518.81,0.0,0,46,94.759,20,82.625,3.6,10,2,2.4,0.581,5,13,1,1.128,54.8,12,6.176,0.632,0.114,13
7.114,60.932,38,53,92.0,97.0,48,67.0,57.33,670.32,1.1,0,44,103.577,15,91.814,4.3,13,5,5.4,0.623,10,23,3,1.126,47.8,22,7.286,0.662,0.134,25
9.699,54.717,33,45,86.0,91.0,40,53.5,50.379,542.85,0.0,0,46,97.503,20,84.61,1.2,10,6,7.0,0.586,7,13,0,1.134,53.5,17,6.312,0.636,0.11,17
7.319,55.552,35,48,85.0,89.0,44,63.0,52.449,595.81,0.0,0,41,95.803,13,84.723,4.7,14,5,5.9,0.617,9,22,4,1.127,48.2,22,7.01,0.654,0.157,26
8.0,53.126,33,42,84.0,88.0,38,49.0,48.777,518.81,0.0,0,46,94.759,20,82.625,3.6,10,2,2.4,0.581,5,13,1,1.128,54.8,12,6.176,0.632,0.114,13
6.699,50.421,33,45,74.0,79.0,40,57.0,47.465,556.15,1.4,0,34,82.71,12,73.749,4.1,8,3,4.1,0.641,7,21,3,1.118,45.9,18,7.516,0.681,0.101,21
8.699,56.648,35,44,90.0,94.0,40,51.0,51.83,546.87,0.0,0,50,101.59,22,88.392,3.3,12,2,2.2,0.576,5,13,1,1.129,55.6,12,6.076,0.629,0.128,13
7.638,54.79,35,48,83.0,87.0,44,63.5,51.922,593.79,0.0,0,39,93.388,11,82.839,4.8,14,5,6.0,0.626,9,24,4,1.125,47.0,23,7.154,0.66,0.161,27
10.0,49.148,31,39,77.0,81.0,35,46.0,45.008,474.75,0.0,0,42,86.719,18,75.53,2.6,10,2,2.6,0.585,4,13,1,1.126,54.5,12,6.166,0.638,0.123,13
8.187,50.762,32,38,80.0,84.0,34,44.0,45.632,458.8,0.0,0,46,90.131,20,77.643,0.0,9,2,2.5,0.57,2,12,0,1.127,57.5,12,5.735,0.635,0.107,12
6.609,54.398,35,45,83.0,87.0,41,58.0,50.524,550.81,0.0,0,42,93.301,13,81.85,2.4,13,4,4.8,0.609,6,22,2,1.124,50.6,22,6.636,0.655,0.149,24
7.62,62.41,40,50,97.0,102.0,45,60.0,57.357,608.94,0.0,0,52,109.005,21,95.276,3.1,13,2,2.1,0.591,5,19,1,1.124,53.6,18,6.278,0.643,0.127,19
8.155,46.449,28,40,74.0,77.0,37,48.0,44.147,518.69,4.1,3,37,84.905,16,74.505,2.7,4,4,5.4,0.597,9,12,2,1.147,50.0,12,7.009,0.628,0.052,14
9.699,56.478,34,46,89.0,94.0,41,54.5,51.906,556.88,0.0,0,48,100.918,21,87.494,1.1,10,6,6.7,0.583,7,13,0,1.134,53.9,17,6.257,0.635,0.106,17
7.824,48.421,29,44,75.0,78.0,41,58.5,46.792,562.69,0.0,0,34,85.059,11,75.945,8.0,14,6,8.0,0.624,12,18,6,1.134,45.3,17,7.503,0.646,0.179,23
9.301,53.126,33,42,84.0,88.0,38,49.0,48.777,518.81,0.0,0,46,94.759,20,82.625,3.6,10,2,2.4,0.581,5,13,1,1.128,54.8,12,6.176,0.632,0.114,13
7.444,42.802,27,35,67.0,70.0,32,42.0,39.811,438.64,1.5,1,35,75.814,14,66.392,3.0,7,2,3.0,0.594,5,13,1,1.132,52.2,12,6.547,0.639,0.1,13
7.638,44.768,27,35,68.0,71.0,32,42.0,40.76,498.56,1.5,0,36,76.604,14,66.883,1.5,4,3,4.4,0.599,5,13,1,1.127,52.9,12,7.332,0.658,0.056,13
8.959,45.466,27,37,69.0,72.0,34,45.0,41.969,527.56,1.4,0,35,77.897,14,68.429,2.9,5,4,5.8,0.608,7,13,2,1.129,50.7,12,7.646,0.659,0.069,14
8.155,50.461,31,39,80.0,84.0,35,45.0,45.842,475.79,0.0,0,45,90.424,20,78.188,1.3,9,3,3.8,0.573,4,11,0,1.13,56.3,12,5.947,0.631,0.107,12
6.721,44.216,27,35,67.0,70.0,32,42.0,40.453,499.54,1.5,0,35,75.315,14,66.109,3.0,4,2,3.0,0.604,5,13,1,1.124,52.2,12,7.456,0.66,0.057,13
5.42,57.62,35,48,88.0,91.0,45,63.0,54.076,633.88,0.0,0,43,98.975,14,88.018,6.8,15,3,3.4,0.615,10,21,6,1.125,48.9,18,7.203,0.655,0.165,24
8.484,47.984,29,38,73.0,76.0,35,46.0,44.001,540.6,1.4,0,38,82.229,15,72.094,2.7,6,3,4.1,0.603,6,14,2,1.126,52.1,12,7.405,0.657,0.079,14
8.301,45.091,27,39,70.0,73.0,36,46.0,42.733,523.1,5.7,3,34,80.224,14,70.618,1.4,4,4,5.7,0.61,9,13,1,1.146,48.6,12,7.473,0.644,0.055,13
7.824,52.029,33,46,79.0,83.0,42,61.0,49.395,567.75,0.0,0,37,88.972,11,78.956,5.1,13,5,6.3,0.625,9,22,4,1.126,46.8,22,7.187,0.659,0.157,26
8.097,46.074,27,35,68.0,71.0,32,42.0,41.051,545.56,1.5,0,36,76.483,14,66.723,1.5,4,3,4.4,0.604,5,13,1,1.125,52.9,12,8.023,0.678,0.056,13
6.561,43.415,27,34,68.0,71.0,31,41.0,39.735,419.67,0.0,0,37,76.763,14,66.654,1.5,4,3,4.4,0.584,4,13,1,1.129,54.4,12,6.172,0.638,0.056,13
7.921,46.529,27,36,69.0,72.0,33,43.0,41.766,561.56,1.4,0,36,77.693,14,68.05,2.9,4,3,4.3,0.605,6,13,1,1.126,52.2,12,8.139,0.674,0.056,13
8.398,56.143,34,46,83.0,87.0,42,59.5,51.592,603.92,0.0,0,41,92.852,13,82.229,3.6,13,3,3.6,0.622,8,21,2,1.119,49.4,23,7.276,0.676,0.149,25
9.638,51.279,32,43,77.0,82.0,38,52.5,47.163,529.81,0.0,0,39,86.307,16,75.941,2.6,10,3,3.9,0.613,6,16,1,1.121,50.6,17,6.881,0.666,0.122,18
7.824,50.37,30,40,81.0,85.0,36,45.0,46.271,495.78,0.0,0,45,91.842,22,79.843,3.7,8,3,3.7,0.571,6,8,2,1.134,55.6,6,6.121,0.622,0.094,8
9.097,58.0,38,52,87.0,92.0,47,68.5,55.142,632.82,0.0,0,40,97.514,12,86.949,5.7,11,4,4.6,0.634,9,26,5,1.121,46.0,23,7.274,0.667,0.12,28
6.585,42.131,28,36,63.0,67.0,32,46.0,39.154,425.62,0.0,0,31,70.517,10,62.003,1.6,5,3,4.8,0.621,4,18,1,1.119,49.2,18,6.756,0.669,0.075,19
7.495,46.557,31,40,70.0,74.0,36,51.0,43.616,482.67,0.0,0,34,78.268,11,69.323,4.3,7,2,2.9,0.623,5,20,2,1.118,48.6,18,6.895,0.665,0.095,20
6.0,44.052,29,36,65.0,69.0,32,45.0,40.299,445.09,1.5,0,33,72.584,11,63.665,0.0,6,2,3.1,0.62,3,18,0,1.117,50.8,18,6.848,0.678,0.087,18
6.921,44.75,28,36,67.0,70.0,33,47.0,41.088,462.71,0.0,0,34,74.979,10,66.072,3.0,9,2,3.0,0.613,5,18,2,1.119,50.7,18,6.906,0.668,0.129,20
6.409,44.955,30,36,68.0,72.0,32,45.0,40.998,424.68,0.0,0,36,76.055,12,66.225,0.0,6,2,2.9,0.603,2,18,0,1.118,52.9,18,6.245,0.661,0.083,18
6.0,49.228,30,41,71.0,75.0,37,52.0,45.27,557.63,2.8,0,34,79.282,12,70.603,2.8,8,2,2.8,0.638,7,18,2,1.117,47.9,18,7.854,0.693,0.107,20
6.854,45.103,30,38,68.0,72.0,34,48.0,41.901,454.66,0.0,0,34,76.059,11,66.996,2.9,6,2,2.9,0.616,4,19,1,1.119,50.0,18,6.686,0.663,0.083,19
8.046,51.393,33,42,79.0,83.0,38,52.0,47.503,511.77,0.0,0,41,88.803,14,77.748,2.5,10,3,3.8,0.601,5,19,1,1.124,51.9,18,6.478,0.651,0.12,19
