pXC50,nCsp2,nBM,SCBO,nCL,nBO,nC,Mi,Sv,MW,nO,Sp,nAB,nSK,nBT,Se,N.,O.,nHM,Si,nAT,nDB,C.,nN,X.,nX,Mp
7.89,21,24,48.5,1,35,23,1.106,33.132,434.85,5,33.472,21,31,50,47.349,4.3,10.9,1,50.894,46,3,50.0,2,2.2,1,0.728
7.131,26,29,56.5,1,41,29,1.107,40.304,495.99,3,41.852,27,36,63,58.447,5.2,5.2,1,64.219,58,2,50.0,3,1.7,1,0.722
6.41,21,24,49.5,2,36,23,1.105,33.959,469.29,5,34.33,21,32,50,47.673,4.3,10.9,2,50.838,46,3,50.0,2,4.3,2,0.746
7.921,21,26,54.5,1,39,24,1.112,37.582,511.97,6,38.341,21,35,57,54.738,5.7,11.3,2,58.937,53,5,45.3,3,1.9,1,0.723
7.852,21,24,54.5,2,41,27,1.119,41.395,539.45,4,42.932,21,37,65,62.083,6.6,6.6,2,68.286,61,3,44.3,4,3.3,2,0.704
7.172,26,29,57.5,2,42,29,1.106,41.132,530.43,3,42.71,27,37,63,58.771,5.2,5.2,2,64.163,58,2,50.0,3,3.4,2,0.736
5.6,20,24,55.0,0,42,26,1.14,41.967,518.61,3,42.961,22,38,69,66.145,12.3,4.6,0,74.106,65,2,40.0,8,1.5,1,0.661
7.458,21,24,53.5,1,40,27,1.12,40.567,505.01,4,42.074,21,36,65,61.76,6.6,6.6,1,68.342,61,3,44.3,4,1.6,1,0.69
7.638,21,24,47.5,0,34,23,1.108,32.304,400.41,5,32.614,21,30,50,47.025,4.3,10.9,0,50.95,46,3,50.0,2,0.0,0,0.709
5.0,20,24,56.0,0,43,27,1.14,43.494,532.64,3,44.722,22,39,72,69.029,11.8,4.4,0,77.522,68,2,39.7,8,1.5,1,0.658
7.62,24,28,58.0,1,43,30,1.113,43.072,528.04,4,44.83,26,38,69,64.542,4.7,6.3,1,71.259,64,2,46.9,3,1.6,1,0.7
7.743,22,25,58.5,1,44,29,1.118,43.502,548.03,6,44.739,21,39,70,66.196,4.6,9.2,1,72.678,65,4,44.6,3,1.5,1,0.688
6.481,21,24,49.5,2,36,23,1.109,34.266,468.31,4,34.881,21,32,51,48.447,6.4,8.5,2,52.127,47,3,48.9,3,4.3,2,0.742
6.699,20,23,45.5,0,33,23,1.11,32.116,386.43,4,32.921,21,29,51,47.582,4.3,8.5,0,52.156,47,2,48.9,2,0.0,0,0.7
7.602,20,23,44.5,0,32,22,1.108,30.59,372.4,4,31.159,21,28,48,44.698,4.5,9.1,0,48.741,44,2,50.0,2,0.0,0,0.708
8.099,20,23,46.5,2,34,22,1.105,32.245,441.28,4,32.875,21,30,48,45.345,4.5,9.1,2,48.629,44,2,50.0,2,4.5,2,0.747
8.153,20,23,47.5,2,35,23,1.107,33.771,455.31,4,34.636,21,31,51,48.229,4.3,8.5,2,52.044,47,2,48.9,2,4.3,2,0.737
7.798,21,28,54.0,1,39,24,1.119,36.261,472.92,3,36.824,26,34,56,52.218,11.8,5.9,1,57.053,51,2,47.1,6,2.0,1,0.722
8.046,22,29,56.0,1,40,24,1.111,37.142,505.97,4,37.92,26,35,56,52.52,9.8,7.8,2,56.684,51,3,47.1,5,2.0,1,0.744
7.721,22,30,58.0,1,41,24,1.113,37.856,521.97,5,38.375,26,36,57,53.847,9.6,9.6,2,57.894,52,4,46.2,5,1.9,1,0.738
8.221,21,24,48.5,1,35,23,1.11,33.439,433.87,4,34.023,21,31,51,48.124,6.4,8.5,1,52.183,47,3,48.9,3,2.1,1,0.724
7.123,24,28,56.0,1,41,28,1.111,40.019,499.98,4,41.307,26,36,63,58.774,5.2,6.9,1,64.429,58,2,48.3,3,1.7,1,0.712
7.822,25,29,58.0,1,42,28,1.112,40.513,512.98,4,41.551,26,37,63,58.993,6.9,6.9,1,64.512,58,3,48.3,4,1.7,1,0.716
7.62,24,28,58.0,1,43,29,1.114,42.26,530.01,5,43.523,26,38,67,62.985,4.8,8.1,1,69.053,62,2,46.8,3,1.6,1,0.702
7.7,24,28,56.0,1,41,28,1.106,40.491,516.05,3,42.5,26,36,63,58.523,5.2,5.2,2,64.139,58,2,48.3,3,1.7,1,0.733
6.051,16,19,47.0,0,37,22,1.142,36.827,470.51,5,37.097,18,34,60,58.712,10.5,8.8,0,65.113,57,1,38.6,6,1.8,1,0.651
7.601,14,17,34.5,0,25,16,1.115,23.536,296.3,4,23.636,15,22,37,34.931,5.9,11.8,0,37.91,34,2,47.1,2,0.0,0,0.695
7.481,24,29,58.0,1,42,28,1.108,41.206,532.05,4,42.955,26,37,64,59.851,5.1,6.8,2,65.349,59,3,47.5,3,1.7,1,0.728
5.0,17,24,47.0,0,34,21,1.132,34.981,437.58,2,36.688,22,31,57,54.512,13.0,3.7,1,61.149,54,2,38.9,7,0.0,0,0.679
6.3,13,17,37.5,0,29,18,1.131,29.718,368.51,1,31.466,17,26,49,46.2,13.0,2.2,1,52.026,46,0,39.1,6,0.0,0,0.684
5.0,22,25,51.5,0,38,27,1.124,40.046,469.59,3,41.767,23,35,65,62.211,8.1,4.8,0,69.687,62,2,43.5,5,0.0,0,0.674
7.192,21,24,56.5,2,43,28,1.115,42.088,552.44,5,43.381,21,38,66,62.309,4.9,8.2,2,67.997,61,3,45.9,3,3.3,2,0.711
7.23,24,29,58.0,2,42,27,1.11,39.814,533.39,4,40.648,26,37,60,56.433,7.3,7.3,2,61.04,55,3,49.1,4,3.6,2,0.739
7.031,20,23,45.5,0,33,23,1.113,32.423,385.45,3,33.472,21,29,52,48.356,6.3,6.3,0,53.445,48,2,47.9,3,0.0,0,0.697
6.77,15,18,42.5,0,32,21,1.129,32.686,394.47,4,33.693,15,29,54,51.669,7.8,7.8,0,57.568,51,3,41.2,4,0.0,0,0.661
6.522,14,17,42.5,0,33,22,1.128,33.498,392.5,3,35.0,15,29,57,53.225,7.5,5.7,0,59.773,53,2,41.5,4,0.0,0,0.66
7.679,15,18,37.5,0,27,17,1.119,25.557,323.33,4,25.642,15,24,40,38.033,8.1,10.8,0,41.409,37,3,45.9,3,0.0,0,0.693
4.349,26,29,51.5,0,36,26,1.096,33.875,404.44,3,34.705,27,31,52,47.371,4.3,6.4,0,51.531,47,2,55.3,2,0.0,0,0.738
7.442,24,28,55.0,1,40,27,1.109,38.492,485.95,4,39.546,26,35,60,55.891,5.5,7.3,1,61.013,55,2,49.1,3,1.8,1,0.719
7.192,21,24,54.5,1,41,27,1.114,39.734,503.97,5,40.761,21,36,63,59.102,5.2,8.6,1,64.638,58,3,46.6,3,1.7,1,0.703
6.96,21,24,55.5,2,42,27,1.113,40.561,538.41,5,41.619,21,37,63,59.425,5.2,8.6,2,64.582,58,3,46.6,3,3.4,2,0.718
8.048,22,29,56.0,1,40,24,1.111,37.142,505.97,4,37.92,26,35,56,52.52,9.8,7.8,2,56.684,51,3,47.1,5,2.0,1,0.744
7.149,20,23,52.5,1,40,27,1.116,39.546,489.99,4,41.068,21,35,64,59.658,5.1,6.8,1,65.844,59,2,45.8,3,1.7,1,0.696
7.268,23,28,54.0,1,39,26,1.111,37.272,470.94,3,38.335,26,34,58,53.782,7.5,5.7,1,58.887,53,2,49.1,4,1.9,1,0.723
6.921,24,29,57.0,2,41,26,1.108,38.287,519.36,4,38.886,26,36,57,53.549,7.7,7.7,2,57.625,52,3,50.0,4,3.8,2,0.748
7.194,20,23,53.5,2,41,27,1.115,40.373,524.43,4,41.926,21,36,64,59.982,5.1,6.8,2,65.788,59,2,45.8,3,3.4,2,0.711
7.019,20,23,47.5,1,35,24,1.114,34.777,433.92,3,36.091,21,31,55,51.563,5.9,5.9,1,56.804,51,2,47.1,3,2.0,1,0.708
6.77,20,23,48.5,2,36,24,1.113,35.605,468.36,3,36.949,21,32,55,51.887,5.9,5.9,2,56.748,51,2,47.1,3,3.9,2,0.724
7.62,20,23,43.5,1,31,20,1.106,28.67,377.8,3,29.046,21,27,43,40.029,7.7,7.7,1,43.143,39,2,51.3,3,2.6,1,0.745
7.721,22,30,58.0,1,41,24,1.113,37.856,521.97,5,38.375,26,36,57,53.847,9.6,9.6,2,57.894,52,4,46.2,5,1.9,1,0.738
7.522,21,24,49.5,1,36,24,1.108,34.659,448.88,5,35.233,21,32,53,50.233,4.1,10.2,1,54.309,49,3,49.0,2,2.0,1,0.719
7.57,20,23,47.5,1,35,24,1.11,34.471,434.9,4,35.54,21,31,54,50.789,4.0,8.0,1,55.515,50,2,48.0,2,2.0,1,0.711
6.639,18,23,45.0,0,32,20,1.117,29.579,374.38,4,29.648,20,28,46,43.134,9.5,9.5,0,46.907,42,3,47.6,4,0.0,0,0.706
6.852,15,18,43.5,0,33,21,1.122,31.853,393.43,5,32.381,15,29,52,49.011,6.3,10.4,0,53.864,48,3,43.8,3,0.0,0,0.675
6.442,14,17,37.5,0,28,19,1.124,28.423,337.41,3,29.472,15,25,47,44.356,6.8,6.8,0,49.445,44,2,43.2,3,0.0,0,0.67
7.442,24,28,56.0,1,41,29,1.111,40.831,498.01,3,42.614,26,36,65,60.331,5.0,5.0,1,66.634,60,2,48.3,3,1.7,1,0.71
6.638,23,28,52.0,0,37,25,1.111,34.918,422.47,3,35.716,26,32,55,50.574,8.0,6.0,0,55.528,50,2,50.0,4,0.0,0,0.714
6.783,19,20,49.0,2,38,26,1.125,40.513,512.48,2,42.79,18,35,65,62.414,8.1,3.2,2,69.781,62,2,41.9,5,3.2,2,0.69
5.0,16,21,47.5,0,37,25,1.132,37.935,450.56,3,39.461,21,33,64,60.505,6.7,5.0,0,67.944,60,0,41.7,4,1.7,1,0.658
5.0,8,16,43.5,0,34,21,1.143,35.562,425.55,3,37.017,15,31,61,58.531,12.1,5.2,0,66.268,58,0,36.2,7,0.0,0,0.638
5.735,11,19,33.0,0,22,11,1.122,19.659,290.28,4,19.25,16,20,28,27.676,15.4,15.4,1,29.166,26,3,42.3,4,0.0,0,0.74
6.852,14,17,32.5,0,23,15,1.11,21.294,266.27,3,21.421,15,20,33,30.72,6.7,10.0,0,33.286,30,2,50.0,2,0.0,0,0.714
6.921,23,28,54.0,2,39,25,1.108,36.573,491.35,3,37.432,26,34,55,51.222,8.0,6.0,2,55.416,50,2,50.0,4,4.0,2,0.749
7.088,20,23,53.5,1,41,28,1.12,41.379,503.04,3,43.381,21,36,68,63.316,6.3,4.8,1,70.548,63,2,44.4,4,1.6,1,0.689
6.444,20,23,47.5,0,35,25,1.116,35.477,413.51,3,36.995,21,31,58,54.123,5.6,5.6,0,60.275,54,2,46.3,3,0.0,0,0.685
6.852,20,23,49.5,2,37,25,1.114,37.132,482.39,3,38.71,21,33,58,54.771,5.6,5.6,2,60.163,54,2,46.3,3,3.7,2,0.717
7.161,20,23,47.5,1,35,24,1.114,34.777,433.92,3,36.091,21,31,55,51.563,5.9,5.9,1,56.804,51,2,47.1,3,2.0,1,0.708
5.523,16,20,57.0,1,46,30,1.135,50.264,614.29,3,53.853,18,42,86,82.116,8.5,3.7,2,93.039,82,2,36.6,7,1.2,1,0.657
6.7,14,17,35.5,0,26,17,1.117,25.063,310.33,4,25.398,15,23,40,37.814,5.4,10.8,0,41.325,37,2,45.9,2,0.0,0,0.686
6.538,20,23,51.5,0,39,27,1.117,38.718,455.55,4,40.21,21,34,64,59.334,5.1,6.8,0,65.9,59,2,45.8,3,0.0,0,0.682
7.822,20,24,48.5,1,34,23,1.104,32.197,415.85,3,32.807,21,30,48,44.913,6.8,6.8,1,48.558,44,2,52.3,3,2.3,1,0.746
7.349,20,23,45.5,1,33,22,1.106,31.417,406.84,4,32.017,21,29,48,45.022,4.5,9.1,1,48.685,44,2,50.0,2,2.3,1,0.728
7.886,21,24,49.5,1,36,24,1.108,34.659,448.88,5,35.233,21,32,53,50.233,4.1,10.2,1,54.309,49,3,49.0,2,2.0,1,0.719
7.678,21,24,47.5,0,34,23,1.111,32.611,399.43,4,33.165,21,30,51,47.8,6.4,8.5,0,52.239,47,3,48.9,3,0.0,0,0.706
7.522,20,23,47.5,0,35,24,1.113,34.358,416.46,5,35.137,21,31,55,51.793,3.9,9.8,0,56.78,51,2,47.1,2,0.0,0,0.689
7.679,21,28,53.0,1,38,23,1.117,34.734,458.89,3,35.063,26,33,53,49.334,12.5,6.3,1,53.638,48,2,47.9,6,2.1,1,0.73
7.62,22,28,54.0,1,39,24,1.109,36.427,489.97,3,37.466,26,34,55,51.193,10.0,6.0,2,55.475,50,2,48.0,5,2.0,1,0.749
4.303,16,21,36.5,0,26,17,1.113,25.622,322.42,1,26.932,21,23,40,37.229,10.8,2.7,1,41.199,37,0,45.9,4,0.0,0,0.728
5.0,12,14,50.0,0,42,28,1.14,45.723,521.74,3,48.586,12,38,81,76.832,9.1,3.9,0,87.76,77,2,36.4,7,0.0,0,0.631
7.339,24,30,60.0,1,43,27,1.113,41.415,549.04,5,42.653,26,38,64,60.396,6.8,8.5,2,65.641,59,4,45.8,4,1.7,1,0.723
8.153,27,32,63.5,1,45,29,1.106,43.109,574.04,6,44.102,27,40,65,61.622,5.0,10.0,2,66.352,60,5,48.3,3,1.7,1,0.735
7.244,20,23,48.5,1,36,24,1.116,35.492,449.92,4,36.546,21,32,56,52.891,5.8,7.7,1,58.013,52,2,46.2,3,1.9,1,0.703
7.237,20,23,49.5,1,37,25,1.117,37.019,463.95,4,38.307,21,33,59,55.774,5.5,7.3,1,61.429,55,2,45.5,3,1.8,1,0.696
6.77,21,24,52.5,0,39,27,1.121,39.74,470.57,4,41.216,21,35,65,61.436,6.6,6.6,0,68.398,61,3,44.3,4,0.0,0,0.676
7.301,24,28,55.0,1,40,28,1.109,39.304,483.98,3,40.852,26,35,62,57.447,5.3,5.3,1,63.219,57,2,49.1,3,1.8,1,0.717
7.15,21,24,55.5,1,42,28,1.116,41.26,518.0,5,42.523,21,37,66,61.985,4.9,8.2,1,68.053,61,3,45.9,3,1.6,1,0.697
6.959,23,28,53.0,0,38,26,1.112,36.444,436.5,3,37.477,26,33,58,53.458,7.5,5.7,0,58.943,53,2,49.1,4,0.0,0,0.707
6.552,14,17,36.5,0,27,18,1.123,26.896,323.38,3,27.71,15,24,44,41.473,7.3,7.3,0,46.03,41,2,43.9,3,0.0,0,0.676
6.699,20,23,46.5,0,34,24,1.115,33.95,399.48,3,35.233,21,30,55,51.24,5.9,5.9,0,56.86,51,2,47.1,3,0.0,0,0.691
6.539,15,18,44.5,0,34,22,1.123,33.379,407.46,5,34.142,15,30,55,51.894,5.9,9.8,0,57.279,51,3,43.1,3,0.0,0,0.669
6.959,20,23,52.5,2,40,26,1.114,38.846,510.4,4,40.165,21,35,61,57.098,5.4,7.1,2,62.373,56,2,46.4,3,3.6,2,0.717
6.7,14,17,36.5,0,27,18,1.123,26.896,323.38,3,27.71,15,24,44,41.473,7.3,7.3,0,46.03,41,2,43.9,3,0.0,0,0.676
7.639,15,18,37.5,0,27,17,1.114,25.251,324.31,5,25.091,15,24,39,37.258,5.6,13.9,0,40.12,36,3,47.2,2,0.0,0,0.697
7.481,20,24,49.5,1,35,24,1.106,33.724,429.88,3,34.568,21,31,51,47.796,6.4,6.4,1,51.974,47,2,51.1,3,2.1,1,0.735
7.038,24,29,56.0,1,40,26,1.109,37.46,484.92,4,38.028,26,35,57,53.225,7.7,7.7,1,57.681,52,3,50.0,4,1.9,1,0.731
7.638,20,23,47.5,1,35,23,1.111,33.659,436.87,5,34.233,21,31,52,49.233,4.2,10.4,1,53.309,48,2,47.9,2,2.1,1,0.713
6.798,24,30,60.0,1,43,28,1.109,41.921,548.05,5,43.409,26,38,65,61.178,5.0,8.3,2,66.558,60,4,46.7,3,1.7,1,0.723
6.854,20,23,50.5,0,38,26,1.116,37.191,441.52,4,38.449,21,33,61,56.451,5.4,7.1,0,62.485,56,2,46.4,3,0.0,0,0.687
6.96,18,23,46.0,0,33,21,1.118,31.106,388.41,4,31.409,20,29,49,46.018,8.9,8.9,0,50.322,45,3,46.7,4,0.0,0,0.698
7.62,22,28,54.0,1,39,24,1.109,36.427,489.97,3,37.466,26,34,55,51.193,10.0,6.0,2,55.475,50,2,48.0,5,2.0,1,0.749
5.0,13,22,52.0,0,40,23,1.131,39.936,513.71,3,42.313,20,35,67,62.683,11.3,4.8,2,70.108,62,2,37.1,7,0.0,0,0.682
5.921,16,18,43.0,0,33,21,1.137,32.441,392.48,1,33.517,16,29,54,50.52,12.0,2.0,0,56.861,50,2,42.0,6,2.0,1,0.67
5.0,15,18,37.5,0,28,19,1.124,28.203,334.41,2,29.262,17,25,46,43.247,9.3,4.7,0,48.318,43,1,44.2,4,0.0,0,0.681
5.955,20,25,47.5,0,33,21,1.104,30.965,406.44,5,31.5,21,29,47,44.218,4.7,11.6,1,47.455,43,4,48.8,2,0.0,0,0.733
7.194,20,23,51.5,1,39,26,1.115,38.019,475.96,4,39.307,21,34,61,56.774,5.4,7.1,1,62.429,56,2,46.4,3,1.8,1,0.702
7.036,23,28,53.0,1,38,25,1.109,35.745,456.91,3,36.574,26,33,55,50.898,8.0,6.0,1,55.472,50,2,50.0,4,2.0,1,0.731
7.269,24,29,57.0,1,41,27,1.111,38.987,498.95,4,39.79,26,36,60,56.109,7.3,7.3,1,61.096,55,3,49.1,4,1.8,1,0.723
5.959,14,14,39.5,0,31,22,1.138,34.22,398.53,2,36.006,11,29,58,56.178,7.1,3.6,0,63.734,56,3,39.3,4,1.8,1,0.643
7.097,19,20,50.0,2,39,26,1.127,41.228,528.48,3,43.245,18,36,66,63.742,7.9,4.8,2,70.99,63,2,41.3,5,3.2,2,0.686
5.0,14,18,41.5,0,31,22,1.125,33.191,393.48,4,34.449,17,29,54,52.451,5.8,7.7,0,58.485,52,0,42.3,3,0.0,0,0.662
5.0,24,30,60.0,1,44,29,1.121,44.664,581.11,4,46.421,28,40,70,67.232,6.1,6.1,2,74.017,66,2,43.9,4,3.0,2,0.703
5.0,21,27,54.5,0,41,24,1.161,37.357,518.46,1,36.205,27,37,57,56.083,11.3,1.9,0,61.559,53,0,45.3,6,11.3,6,0.683
4.303,12,14,31.0,0,23,16,1.137,25.509,297.4,1,26.813,12,22,42,41.022,12.2,2.4,0,46.607,41,2,39.0,5,0.0,0,0.654
5.495,14,18,46.5,0,37,23,1.136,38.341,464.66,1,40.762,17,33,65,61.054,13.1,1.6,1,69.268,61,1,37.7,8,0.0,0,0.668
5.0,17,19,41.0,0,31,22,1.126,32.563,373.5,1,34.336,18,28,54,50.789,9.8,2.0,0,57.438,51,1,43.1,5,0.0,0,0.673
5.0,15,21,40.5,0,30,19,1.122,28.391,348.39,3,28.955,21,26,46,42.691,9.5,7.1,0,47.113,42,0,45.2,4,0.0,0,0.689
5.0,17,19,51.0,0,41,26,1.152,42.578,529.63,2,43.66,18,38,71,69.392,10.3,2.9,0,78.324,68,1,38.2,7,4.4,3,0.642
5.0,19,26,58.5,0,45,29,1.127,46.023,560.74,4,48.398,25,40,77,72.483,8.3,5.6,1,81.145,72,1,40.3,6,0.0,0,0.672
5.735,13,17,32.5,0,24,16,1.133,24.983,295.38,1,26.051,17,22,41,39.138,12.8,2.6,0,44.192,39,0,41.0,5,0.0,0,0.668
4.78,14,18,37.5,0,28,18,1.134,28.939,353.42,3,29.722,17,26,47,45.676,11.1,6.7,0,51.026,45,1,40.0,5,0.0,0,0.66
5.0,14,17,41.5,2,33,21,1.136,34.128,450.38,1,35.75,17,30,55,52.832,9.6,1.9,2,59.081,52,0,40.4,5,5.8,3,0.688
6.114,18,20,47.5,1,35,24,1.131,37.015,467.97,2,38.347,17,33,58,56.836,8.9,3.6,1,63.346,56,2,42.9,5,3.6,2,0.685
5.0,17,22,40.5,1,29,19,1.118,28.504,366.83,2,29.358,21,26,44,41.687,9.8,4.9,1,45.847,41,1,46.3,4,2.4,1,0.716
4.303,10,12,24.5,2,18,10,1.115,18.202,288.17,1,19.119,11,17,25,25.007,12.5,4.2,3,26.758,24,1,41.7,3,8.3,2,0.797
5.0,20,23,53.0,0,40,28,1.121,40.552,468.6,3,42.523,20,35,68,62.992,6.3,4.8,0,70.604,63,3,44.4,4,0.0,0,0.675
5.0,14,17,42.5,1,34,22,1.136,35.236,446.95,3,36.557,17,31,58,55.945,7.3,5.5,1,62.472,55,0,40.0,4,3.6,2,0.665
5.0,22,25,54.0,0,41,29,1.128,43.186,493.67,1,45.631,24,37,72,67.643,10.3,1.5,0,76.68,68,1,42.6,7,0.0,0,0.671
