pXC50,nBO,Sp,nBT,Se,nAT,nN,nC,nH,Sv,MW,nSK,Si,O.,nCsp3,SCBO,nHet,C.,Mi,RBN,Mv,nDB,N.
7.432,28,28.75,44,42.683,42,6,18,16,28.192,348.4,26,47.485,4.8,3,41.0,8,42.9,1.131,5,0.671,3,14.3
5.328,27,28.523,43,40.567,40,4,17,16,27.143,363.27,24,44.997,2.5,7,35.0,7,42.5,1.125,0,0.679,1,10.0
6.201,28,28.977,44,41.894,41,4,17,16,27.858,379.27,25,46.206,4.9,5,35.0,8,41.5,1.127,3,0.679,4,9.8
7.796,28,28.977,44,41.894,41,4,17,16,27.858,379.27,25,46.206,4.9,5,35.0,8,41.5,1.127,3,0.679,4,9.8
7.398,31,32.023,51,47.131,47,4,21,20,30.73,360.45,27,52.734,4.3,5,40.5,6,44.7,1.122,3,0.654,4,8.5
6.0,27,27.199,44,41.76,41,4,17,17,26.586,328.38,24,46.658,4.9,5,34.0,7,41.5,1.138,3,0.648,4,9.8
6.398,27,27.199,44,41.76,41,4,17,17,26.586,328.38,24,46.658,4.9,5,34.0,7,41.5,1.138,3,0.648,4,9.8
6.201,27,27.199,44,41.76,41,4,17,17,26.586,328.38,24,46.658,4.9,5,34.0,7,41.5,1.138,3,0.648,4,9.8
6.699,27,28.12,44,41.571,41,4,17,17,27.03,344.83,24,46.262,4.9,5,34.0,7,41.5,1.128,3,0.659,4,9.8
5.886,27,28.12,44,41.571,41,4,17,17,27.03,344.83,24,46.262,4.9,5,34.0,7,41.5,1.128,3,0.659,4,9.8
6.699,27,29.023,47,44.131,44,4,18,20,27.73,324.42,24,49.734,4.5,6,34.0,6,40.9,1.13,3,0.63,4,9.1
6.602,27,29.023,47,44.131,44,4,18,20,27.73,324.42,24,49.734,4.5,6,34.0,6,40.9,1.13,3,0.63,4,9.1
6.097,30,28.836,47,45.669,44,4,18,17,28.88,378.39,27,50.753,4.5,6,37.0,9,40.9,1.153,3,0.656,4,9.1
7.201,28,28.977,44,41.894,41,4,17,16,27.858,379.27,25,46.206,4.9,5,35.0,8,41.5,1.127,3,0.679,4,9.8
6.886,28,28.057,44,42.083,41,4,17,16,27.414,362.82,25,46.602,4.9,5,35.0,8,41.5,1.137,3,0.669,4,9.8
7.699,31,30.597,50,48.552,47,4,19,19,30.406,392.42,28,54.168,4.3,7,38.0,9,40.4,1.153,3,0.647,4,8.5
7.796,29,30.739,47,44.778,44,4,18,18,29.385,393.3,26,49.622,4.5,6,36.0,8,40.9,1.128,3,0.668,4,9.1
8.1,32,32.358,53,51.436,50,4,20,21,31.933,406.45,29,57.583,4.0,8,39.0,9,40.0,1.152,3,0.639,4,8.0
7.796,33,34.12,56,54.32,53,4,21,23,33.46,420.48,30,60.998,3.8,9,40.0,9,39.6,1.151,4,0.631,4,7.5
7.0,33,33.739,51,47.778,47,4,21,18,32.385,429.33,29,52.622,4.3,5,42.0,8,44.7,1.12,3,0.689,3,8.5
7.097,30,32.5,50,47.662,47,4,19,20,30.911,407.33,27,53.037,4.3,7,37.0,8,40.4,1.128,3,0.658,4,8.5
7.699,33,34.12,56,54.32,53,4,21,23,33.46,420.48,30,60.998,3.8,9,40.0,9,39.6,1.151,3,0.631,4,7.5
7.301,36,36.784,58,53.014,53,4,25,22,35.256,410.51,31,59.149,3.8,5,47.5,6,47.2,1.116,3,0.665,3,7.5
7.097,36,35.358,57,54.436,53,4,23,21,34.933,442.48,32,60.583,3.8,7,45.0,9,43.4,1.143,3,0.659,3,7.5
7.509,29,28.915,44,42.407,41,4,17,15,28.241,397.26,26,46.546,4.9,5,36.0,9,41.5,1.135,3,0.689,4,9.8
6.398,31,30.597,50,48.552,47,4,19,19,30.406,392.42,28,54.168,4.3,7,38.0,9,40.4,1.153,3,0.647,4,8.5
7.841,29,30.739,47,44.778,44,4,18,18,29.385,393.3,26,49.622,4.5,6,36.0,8,40.9,1.128,3,0.668,4,9.1
6.602,30,32.5,50,47.662,47,4,19,20,30.911,407.33,27,53.037,4.3,7,37.0,8,40.4,1.128,3,0.658,4,8.5
7.886,32,32.358,53,51.436,50,4,20,21,31.933,406.45,29,57.583,4.0,8,39.0,9,40.0,1.152,3,0.639,4,8.0
6.796,32,32.358,53,51.436,50,4,20,21,31.933,406.45,29,57.583,4.0,8,39.0,9,40.0,1.152,3,0.639,4,8.0
8.523,32,32.358,53,51.436,50,4,20,21,31.933,406.45,29,57.583,4.0,8,39.0,9,40.0,1.152,3,0.639,4,8.0
6.796,30,31.193,48,46.105,45,4,18,18,30.099,409.3,27,50.831,6.7,6,37.0,9,40.0,1.13,4,0.669,4,8.9
7.398,31,30.591,49,47.451,46,3,20,18,30.385,389.41,28,52.67,4.3,6,39.0,8,43.5,1.145,3,0.661,5,6.5
5.886,31,31.353,51,49.334,48,3,20,20,30.912,391.43,28,55.085,4.2,8,38.0,8,41.7,1.148,3,0.644,4,6.3
6.201,28,30.171,44,41.644,41,4,17,16,28.33,395.34,25,45.917,2.4,5,35.0,8,41.5,1.12,3,0.691,4,9.8
6.335,30,33.546,54,50.898,51,4,21,24,31.783,364.49,27,57.564,3.9,7,38.0,6,41.2,1.129,4,0.623,5,7.8
8.398,35,36.381,56,53.956,53,7,21,21,35.169,451.56,32,59.943,5.7,4,47.5,11,39.6,1.131,7,0.664,2,13.2
6.936,32,31.608,53,51.756,50,6,18,21,31.449,410.45,29,58.165,4.0,9,38.0,11,36.0,1.163,3,0.629,0,12.0
7.301,29,29.983,46,43.996,43,5,17,17,28.879,394.29,26,48.705,4.7,6,36.0,9,39.5,1.133,3,0.672,4,11.6
7.509,30,31.631,47,45.073,44,5,17,17,30.066,426.36,27,49.625,4.5,6,37.0,10,38.6,1.128,4,0.683,4,11.4
6.886,32,32.745,51,47.88,47,5,19,19,31.406,420.33,28,53.12,4.3,8,39.0,9,40.4,1.13,4,0.668,4,10.6
7.5,30,31.745,49,46.88,46,5,18,19,30.406,408.32,27,52.12,4.3,7,37.0,9,39.1,1.133,3,0.661,4,10.9
7.102,30,30.654,43,40.978,40,5,18,13,29.298,418.33,27,44.585,2.5,2,40.0,9,45.0,1.115,4,0.732,4,12.5
7.699,32,31.603,52,50.654,49,5,19,20,31.428,407.44,29,56.666,4.1,8,39.0,10,38.8,1.156,3,0.641,4,10.2
7.602,33,33.25,53,51.731,50,5,19,20,32.615,439.51,30,57.586,4.0,8,40.0,11,38.0,1.152,4,0.652,4,10.0
7.398,35,34.364,57,54.538,53,5,21,22,33.955,433.48,31,61.081,3.8,10,42.0,10,39.6,1.152,4,0.641,4,9.4
8.199,33,33.364,55,53.538,52,5,20,22,32.955,421.47,30,60.081,3.8,9,40.0,10,38.5,1.155,3,0.634,4,9.6
4.0,25,26.449,38,36.887,36,2,16,13,25.363,348.83,23,39.98,8.3,2,33.5,7,44.4,1.111,5,0.705,0,5.6
4.722,25,25.529,38,37.076,36,2,16,13,24.918,332.38,23,40.376,8.3,2,33.5,7,44.4,1.122,5,0.692,0,5.6
4.938,25,25.529,38,37.076,36,2,16,13,24.918,332.38,23,40.376,8.3,2,33.5,7,44.4,1.122,5,0.692,0,5.6
4.527,27,26.744,40,39.436,38,3,16,13,26.459,359.39,25,42.538,13.2,2,37.5,9,42.1,1.119,6,0.696,2,7.9
7.602,34,35.012,56,54.614,53,5,20,22,34.142,453.54,31,61.001,3.8,9,41.0,11,37.7,1.151,4,0.644,4,9.4
4.0,25,27.352,41,39.447,39,2,17,16,26.062,328.42,23,43.451,7.7,3,33.5,6,43.6,1.114,5,0.668,0,5.1
4.592,26,26.29,39,38.109,37,3,16,13,25.745,343.39,24,41.329,10.8,2,36.5,8,43.2,1.117,5,0.696,2,8.1
4.6,36,38.142,59,56.84,56,7,22,23,36.696,465.59,33,63.358,5.4,4,50.0,11,39.3,1.131,6,0.655,3,12.5
5.8,37,39.904,62,59.723,59,7,23,25,38.222,479.62,34,66.773,5.1,5,51.0,11,39.0,1.132,7,0.648,3,11.9
7.6,38,41.665,65,62.607,62,7,24,27,39.749,493.65,35,70.188,4.8,6,52.0,11,38.7,1.132,8,0.641,3,11.3
7.9,39,42.125,67,65.036,64,8,23,28,40.485,512.66,36,72.896,6.3,8,52.5,13,35.9,1.139,8,0.633,3,12.5
7.1,35,38.364,61,60.152,59,8,20,26,36.959,474.61,33,67.481,6.8,7,47.0,13,33.9,1.144,7,0.626,4,13.6
6.7,37,39.154,62,60.043,59,9,21,25,37.738,483.62,34,67.355,5.1,6,50.5,13,35.6,1.142,8,0.64,3,15.3
7.8,38,41.557,64,61.902,61,8,22,26,39.431,514.7,35,69.191,4.9,7,51.5,13,36.1,1.134,8,0.646,3,13.1
7.6,38,40.154,63,61.043,60,9,22,25,38.738,495.63,35,68.355,5.0,6,52.0,13,36.7,1.139,8,0.646,3,15.0
7.1,41,42.37,68,65.254,64,9,23,27,40.98,525.66,37,72.979,6.3,9,54.5,14,35.9,1.14,9,0.64,3,14.1
8.2,41,42.165,68,65.247,64,11,22,27,40.781,525.67,37,73.351,4.7,9,54.5,15,34.4,1.146,9,0.637,3,17.2
7.3,42,43.926,71,68.131,67,11,23,29,42.308,539.7,38,76.766,4.5,10,55.5,15,34.3,1.146,10,0.631,3,16.4
6.1,34,36.602,58,57.269,56,8,19,24,35.432,460.58,32,64.066,7.1,6,46.0,13,33.9,1.144,7,0.633,4,14.3
7.2,38,41.125,66,64.036,63,8,22,28,39.485,500.65,35,71.896,6.3,9,50.0,13,34.9,1.141,7,0.627,4,12.7
7.8,39,41.58,67,65.363,64,8,22,28,40.2,516.65,36,73.105,7.8,9,51.0,14,34.4,1.142,7,0.628,4,12.5
7.9,40,43.892,71,69.021,68,9,23,31,42.034,529.7,37,77.81,5.9,10,52.0,14,33.8,1.144,7,0.618,4,13.2
8.097,33,34.5,57,54.865,54,8,19,24,33.53,412.51,30,61.936,5.6,8,42.0,11,35.2,1.147,6,0.621,1,14.8
5.3,25,25.085,38,37.102,36,5,14,13,24.546,331.39,23,40.701,8.3,2,36.0,9,38.9,1.131,3,0.682,3,13.9
5.2,22,21.869,33,31.891,31,5,12,11,21.304,289.35,20,35.076,6.5,1,32.0,8,38.7,1.131,2,0.687,2,16.1
5.8,26,28.159,44,42.643,42,6,15,18,26.906,346.46,24,47.82,4.8,4,36.0,9,35.7,1.139,4,0.641,2,14.3
6.1,30,32.381,51,49.956,49,7,17,21,31.169,403.52,28,55.943,6.1,5,41.0,11,34.7,1.142,5,0.636,3,14.3
5.5,35,37.358,60,58.051,57,7,20,25,35.937,459.59,32,64.983,7.0,8,46.0,12,35.1,1.14,5,0.63,3,12.3
5.9,34,38.671,62,60.709,60,8,20,28,36.771,460.63,32,68.687,5.0,8,45.0,12,33.3,1.145,8,0.613,3,13.3
7.7,38,41.887,68,65.92,65,8,22,30,40.012,502.67,35,74.311,6.2,10,49.0,13,33.8,1.143,8,0.616,3,12.3
5.0,35,36.585,56,53.963,53,5,22,21,35.368,451.55,32,59.571,7.5,3,49.0,10,41.5,1.124,7,0.667,3,9.4
6.78,29,30.165,48,45.651,45,2,20,19,29.312,354.41,26,50.701,6.7,5,37.5,6,44.4,1.127,3,0.651,0,4.4
6.182,30,33.75,54,50.905,51,2,22,24,31.982,364.48,27,57.192,5.9,7,38.0,5,43.1,1.121,4,0.627,2,3.9
5.542,26,26.506,43,40.465,40,5,16,17,25.697,311.38,23,45.402,5.0,5,34.0,7,40.0,1.135,3,0.642,3,12.5
5.716,27,28.267,46,43.349,43,5,17,19,27.224,325.41,24,48.817,4.7,6,35.0,7,39.5,1.135,3,0.633,3,11.6
6.66,27,26.443,43,40.978,40,5,16,16,26.081,329.37,24,45.741,5.0,5,35.0,8,40.0,1.144,3,0.652,3,12.5
5.243,28,28.205,46,43.862,43,5,17,18,27.608,343.4,25,49.156,4.7,6,36.0,8,39.5,1.143,3,0.642,3,11.6
6.068,28,28.205,46,43.862,43,5,17,18,27.608,343.4,25,49.156,4.7,6,36.0,8,39.5,1.143,3,0.642,3,11.6
5.975,28,28.205,46,43.862,43,5,17,18,27.608,343.4,25,49.156,4.7,6,36.0,8,39.5,1.143,3,0.642,3,11.6
6.355,27,27.858,43,40.694,40,5,16,16,26.723,390.27,24,45.243,5.0,5,35.0,8,40.0,1.131,3,0.668,3,12.5
6.607,27,27.364,43,40.789,40,5,16,16,26.525,345.82,24,45.346,5.0,5,35.0,8,40.0,1.134,3,0.663,3,12.5
5.656,27,28.267,46,43.349,43,5,17,19,27.224,325.41,24,48.817,4.7,6,35.0,7,39.5,1.135,3,0.633,3,11.6
6.401,28,28.722,47,44.676,44,5,17,19,27.939,341.41,25,50.026,6.8,6,36.0,8,38.6,1.137,4,0.635,3,11.4
5.545,30,28.08,46,44.887,43,5,17,16,28.374,379.38,27,49.836,4.7,6,38.0,10,39.5,1.159,3,0.66,3,11.6
6.648,28,30.029,49,46.232,46,5,18,21,28.751,339.44,25,52.232,4.3,7,36.0,7,39.1,1.135,4,0.625,3,10.9
7.444,31,30.966,51,47.745,47,5,19,20,30.134,369.44,27,53.572,4.3,8,39.0,8,40.4,1.14,4,0.641,3,10.6
6.569,31,32.182,53,50.956,50,5,19,22,31.376,387.46,28,57.196,6.0,8,39.0,9,38.0,1.144,6,0.628,3,10.0
7.678,33,36.313,60,55.883,56,5,22,27,34.331,393.54,29,63.478,3.6,11,41.0,7,39.3,1.134,4,0.613,3,8.9
7.444,33,34.029,54,50.232,50,5,22,21,32.751,387.48,29,56.232,4.0,5,44.0,7,44.0,1.125,4,0.655,3,10.0
7.076,34,35.79,57,53.116,53,5,23,23,34.278,401.51,30,59.647,3.8,6,45.0,7,43.4,1.125,5,0.647,3,9.4
6.745,33,34.029,54,50.232,50,5,22,21,32.751,387.48,29,56.232,4.0,5,44.0,7,44.0,1.125,4,0.655,3,10.0
6.562,34,35.79,57,53.116,53,5,23,23,34.278,401.51,30,59.647,3.8,6,45.0,7,43.4,1.125,4,0.647,3,9.4
6.742,34,35.79,57,53.116,53,5,23,23,34.278,401.51,30,59.647,3.8,6,45.0,7,43.4,1.125,4,0.647,3,9.4
5.171,34,35.79,57,53.116,53,5,23,23,34.278,401.51,30,59.647,3.8,6,45.0,7,43.4,1.125,4,0.647,3,9.4
5.468,34,35.79,57,53.116,53,5,23,23,34.278,401.51,30,59.647,3.8,6,45.0,7,43.4,1.125,4,0.647,3,9.4
5.073,27,25.892,42,40.203,39,4,16,15,25.774,330.35,24,44.452,7.7,5,35.0,8,41.0,1.14,3,0.661,3,10.3
6.069,27,25.892,42,40.203,39,4,16,15,25.774,330.35,24,44.452,7.7,5,35.0,8,41.0,1.14,3,0.661,3,10.3
5.044,27,25.892,42,40.203,39,4,16,15,25.774,330.35,24,44.452,7.7,5,35.0,8,41.0,1.14,3,0.661,3,10.3
5.593,27,25.892,42,40.203,39,4,16,15,25.774,330.35,24,44.452,7.7,5,35.0,8,41.0,1.14,3,0.661,3,10.3
5.56,27,27.716,45,42.574,42,4,17,18,26.918,326.39,24,47.528,7.1,6,35.0,7,40.5,1.132,3,0.641,3,9.5
5.944,27,27.716,45,42.574,42,4,17,18,26.918,326.39,24,47.528,7.1,6,35.0,7,40.5,1.132,3,0.641,3,9.5
5.623,27,27.716,45,42.574,42,4,17,18,26.918,326.39,24,47.528,7.1,6,35.0,7,40.5,1.132,3,0.641,3,9.5
5.644,27,27.307,42,39.92,39,4,16,15,26.416,391.25,24,43.954,7.7,5,35.0,8,41.0,1.127,3,0.677,3,10.3
6.428,33,33.478,53,49.458,49,4,22,20,32.444,388.46,29,54.943,6.1,5,44.0,7,44.9,1.121,4,0.662,3,8.2
5.928,33,33.478,53,49.458,49,4,22,20,32.444,388.46,29,54.943,6.1,5,44.0,7,44.9,1.121,4,0.662,3,8.2
6.4,32,32.364,50,46.651,46,4,20,18,31.105,394.49,28,51.448,6.5,5,42.5,8,43.5,1.118,4,0.676,3,8.7
5.664,33,32.722,52,48.676,48,5,21,19,31.939,389.45,29,54.026,6.3,5,44.0,8,43.8,1.126,4,0.665,3,10.4
6.475,33,32.722,52,48.676,48,5,21,19,31.939,389.45,29,54.026,6.3,5,44.0,8,43.8,1.126,4,0.665,3,10.4
6.002,33,32.722,52,48.676,48,5,21,19,31.939,389.45,29,54.026,6.3,5,44.0,8,43.8,1.126,4,0.665,3,10.4
6.821,34,33.415,53,49.971,49,4,22,19,32.828,406.45,30,55.283,6.1,5,45.0,8,44.9,1.128,4,0.67,3,8.2
6.108,26,25.955,42,39.691,39,4,16,16,25.391,312.36,23,44.113,7.7,5,34.0,7,41.0,1.131,3,0.651,3,10.3
6.928,25,26.716,43,41.574,41,4,16,18,25.918,314.38,23,46.528,7.3,5,32.0,7,39.0,1.135,4,0.632,4,9.8
4.5,23,23.739,37,35.48,35,4,15,14,23.149,282.33,21,39.488,5.7,2,32.0,6,42.9,1.128,3,0.661,1,11.4
5.2,24,25.5,40,38.363,38,4,16,16,24.676,296.36,22,42.903,5.3,3,33.0,6,42.1,1.129,2,0.649,1,10.5
4.1,23,23.739,37,35.48,35,4,15,14,23.149,282.33,21,39.488,5.7,2,32.0,6,42.9,1.128,3,0.661,1,11.4
4.5,23,23.739,37,35.48,35,4,15,14,23.149,282.33,21,39.488,5.7,2,32.0,6,42.9,1.128,3,0.661,1,11.4
5.7,25,25.955,41,39.691,39,4,16,16,25.391,312.36,23,44.113,7.7,3,34.0,7,41.0,1.131,4,0.651,1,10.3
5.5,25,25.841,39,37.884,37,4,15,14,25.051,330.4,23,41.617,8.1,2,36.0,8,40.5,1.125,3,0.677,3,10.8
5.3,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,2,37.0,9,38.5,1.131,4,0.669,3,12.8
6.0,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,2,37.0,9,38.5,1.131,4,0.669,3,12.8
4.0,25,25.745,40,38.582,38,5,16,15,25.171,309.36,23,42.986,5.3,2,35.0,7,42.1,1.131,3,0.662,2,13.2
4.0,25,25.841,39,37.884,37,4,15,14,25.051,330.4,23,41.617,8.1,2,36.0,8,40.5,1.125,3,0.677,3,10.8
4.0,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,2,37.0,9,38.5,1.131,4,0.669,3,12.8
5.9,29,32.131,50,48.636,48,5,18,21,30.653,387.51,27,54.361,6.3,5,40.0,9,37.5,1.133,7,0.639,3,10.4
5.2,33,34.37,52,49.753,49,5,21,19,33.126,421.52,30,54.946,6.1,2,47.0,9,42.9,1.121,6,0.676,3,10.2
4.0,28,29.046,44,41.036,41,4,20,16,27.961,328.4,25,45.694,2.4,1,40.0,5,48.8,1.114,3,0.682,1,9.8
4.5,21,20.767,32,30.487,30,5,13,11,20.402,253.29,19,33.947,3.3,1,30.0,6,43.3,1.132,2,0.68,1,16.7
4.0,21,20.012,31,29.705,29,6,12,10,19.897,254.28,19,33.03,3.4,1,30.0,7,41.4,1.139,2,0.686,1,20.7
4.0,26,25.529,39,36.371,36,5,17,13,24.929,303.35,23,40.362,2.8,1,37.5,6,47.2,1.121,2,0.692,1,13.9
4.0,21,20.767,32,30.487,30,5,13,11,20.402,253.29,19,33.947,3.3,1,30.0,6,43.3,1.132,2,0.68,1,16.7
4.0,22,23.176,35,33.447,33,5,13,13,22.116,287.38,20,37.282,3.0,3,30.5,7,39.4,1.13,2,0.67,1,15.2
4.0,21,20.773,33,31.589,31,6,12,12,20.424,256.3,19,35.445,3.2,2,29.5,7,38.7,1.143,2,0.659,1,19.4
4.7,20,20.409,30,28.462,28,4,12,10,19.568,258.33,18,31.368,3.6,1,28.5,6,42.9,1.12,2,0.699,1,14.3
5.0,23,22.983,36,34.698,34,5,14,13,22.644,283.32,21,38.571,5.9,2,32.0,7,41.2,1.134,3,0.666,1,14.7
5.5,33,33.614,51,48.971,48,6,20,18,32.621,422.51,30,54.029,6.3,2,47.0,10,41.7,1.126,6,0.68,3,12.5
6.0,26,26.091,40,39.204,38,6,14,14,25.567,346.41,24,43.199,7.9,2,37.0,10,36.8,1.137,4,0.673,3,15.8
6.3,32,34.892,55,52.52,52,5,20,23,33.18,413.55,29,58.777,5.8,7,43.0,9,38.5,1.13,5,0.638,3,9.6
4.0,26,27.602,42,40.767,40,4,16,16,26.578,344.43,24,45.033,7.5,3,37.0,8,40.0,1.126,3,0.664,3,10.0
4.6,23,23.631,36,34.774,34,5,13,13,22.831,303.38,21,38.491,5.9,2,33.0,8,38.2,1.132,3,0.671,2,14.7
4.0,24,25.392,39,37.658,37,5,14,15,24.358,317.41,22,41.906,5.4,3,34.0,8,37.8,1.133,3,0.658,2,13.5
4.0,26,26.188,39,38.505,37,5,13,13,25.448,367.45,24,41.83,10.8,2,38.0,11,35.1,1.131,4,0.688,4,13.5
6.9,34,33.398,50,46.76,46,6,21,16,32.379,416.5,30,51.405,4.3,0,49.5,9,45.7,1.117,4,0.704,2,13.0
6.4,30,29.494,43,41.2,40,6,17,13,28.68,400.88,27,44.933,5.0,0,43.0,10,42.5,1.123,4,0.717,2,15.0
5.2,30,29.494,43,41.2,40,6,17,13,28.68,400.88,27,44.933,5.0,0,43.0,10,42.5,1.123,4,0.717,2,15.0
5.1,30,30.398,46,43.76,43,6,18,16,29.379,380.47,27,48.405,4.7,1,43.0,9,41.9,1.126,5,0.683,2,14.0
5.8,25,26.398,41,39.76,39,6,14,16,25.379,332.43,23,44.405,5.1,3,35.0,9,35.9,1.139,4,0.651,2,15.4
5.2,27,27.398,43,40.76,40,6,15,16,26.379,344.44,24,45.405,5.0,4,37.0,9,37.5,1.135,5,0.659,2,15.0
5.5,25,27.154,42,40.542,40,5,15,17,25.885,331.44,23,45.322,5.0,4,35.0,8,37.5,1.133,3,0.647,2,12.5
5.3,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,3,37.0,9,38.5,1.131,3,0.669,3,12.8
4.0,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,3,37.0,9,38.5,1.131,3,0.669,3,12.8
4.4,26,26.847,41,39.985,39,5,15,15,26.073,345.42,24,44.116,7.7,3,37.0,9,38.5,1.131,3,0.669,3,12.8
4.0,26,23.443,36,36.313,34,5,13,10,23.981,357.35,24,39.51,5.9,2,36.0,11,38.2,1.162,2,0.705,2,14.7
4.0,23,22.727,33,32.215,31,5,12,10,22.132,323.79,21,35.02,6.5,1,33.0,9,38.7,1.13,2,0.714,2,16.1
4.7,26,25.023,38,37.614,36,5,14,12,24.929,349.38,24,41.04,8.3,2,37.0,10,38.9,1.14,3,0.692,3,13.9
5.1,27,28.097,44,43.156,42,6,15,17,27.289,364.45,25,48.16,4.8,4,37.0,10,35.7,1.147,4,0.65,2,14.3
4.0,27,28.097,44,43.156,42,6,15,17,27.289,364.45,25,48.16,4.8,4,37.0,10,35.7,1.147,4,0.65,2,14.3
6.131,29,35.409,55,54.185,54,4,20,26,33.212,402.57,28,61.109,5.6,8,37.5,8,37.0,1.132,7,0.615,3,7.4
6.678,21,23.483,34,33.858,33,3,12,13,22.217,311.42,20,37.039,9.1,2,29.5,8,36.4,1.122,3,0.673,3,9.1
6.721,21,24.239,35,34.64,34,2,13,14,22.722,310.43,20,37.956,8.8,3,29.5,7,38.2,1.116,3,0.668,3,5.9
7.102,22,25.097,35,34.964,34,2,13,13,23.55,344.87,21,37.9,8.8,3,30.5,8,38.2,1.115,3,0.693,3,5.9
7.215,22,25.591,35,34.869,34,2,13,13,23.747,389.32,21,37.798,8.8,3,30.5,8,38.2,1.112,3,0.698,3,5.9
6.607,22,24.176,35,35.153,34,2,13,13,23.106,328.42,21,38.296,8.8,3,30.5,8,38.2,1.126,3,0.68,3,5.9
7.102,23,25.483,36,35.858,35,3,14,13,24.217,335.44,22,39.039,8.6,3,33.5,8,40.0,1.115,3,0.692,3,8.6
7.131,25,25.813,38,39.062,37,2,14,13,25.399,378.43,24,42.39,8.1,4,33.5,10,37.8,1.146,3,0.686,3,5.4
7.721,23,24.932,37,35.229,35,4,15,14,23.622,298.4,21,39.199,2.9,2,32.0,6,42.9,1.12,3,0.675,1,11.4
6.585,20,23.137,34,33.236,33,2,14,14,21.82,274.37,19,36.827,6.1,3,27.5,5,42.4,1.116,3,0.661,2,6.1
5.441,29,32.227,49,47.938,47,4,17,20,30.533,408.55,27,52.992,8.5,6,38.5,10,36.2,1.127,4,0.65,4,8.5
5.538,30,32.165,49,48.451,47,4,17,19,30.917,426.54,28,53.332,8.5,6,39.5,11,36.2,1.135,4,0.658,4,8.5
5.777,33,33.801,52,52.36,50,4,18,19,33.21,476.55,31,57.427,8.0,7,42.5,13,36.0,1.149,4,0.664,4,8.0
6.658,31,32.921,51,48.527,48,6,19,20,31.433,396.52,28,54.235,4.2,5,41.0,9,39.6,1.13,4,0.655,2,12.5
6.268,34,32.733,51,50.065,48,6,19,17,32.583,450.49,31,55.254,4.2,5,44.0,12,39.6,1.151,3,0.679,2,12.5
8.523,34,35.625,54,53.88,52,5,19,20,34.653,481.58,32,59.04,9.6,5,46.0,13,36.5,1.135,7,0.666,4,9.6
6.42,31,35.898,55,55.327,54,3,19,24,34.191,457.6,30,61.289,9.3,8,40.5,11,35.2,1.135,8,0.633,4,5.6
6.328,32,33.966,52,51.545,50,7,17,20,32.739,453.58,30,57.202,6.0,6,43.0,13,34.0,1.144,7,0.655,3,14.0
5.301,22,21.517,31,30.022,29,1,14,9,21.175,287.31,20,31.917,13.8,0,30.5,6,48.3,1.101,2,0.73,3,3.4
5.699,26,27.148,42,39.44,39,4,16,16,25.863,328.43,23,43.823,5.1,5,33.5,7,41.0,1.124,3,0.663,2,10.3
6.602,27,28.909,45,42.323,42,4,17,18,27.39,342.46,24,47.238,4.8,6,34.5,7,40.5,1.125,3,0.652,2,9.5
6.301,27,28.909,45,42.323,42,4,17,18,27.39,342.46,24,47.238,4.8,6,34.5,7,40.5,1.125,3,0.652,2,9.5
6.0,27,28.909,45,42.323,42,4,17,18,27.39,342.46,24,47.238,4.8,6,34.5,7,40.5,1.125,4,0.652,2,9.5
6.102,27,28.006,42,39.764,39,4,16,15,26.691,362.87,24,43.767,5.1,5,34.5,8,41.0,1.122,3,0.684,2,10.3
5.602,26,26.892,39,36.956,36,4,14,13,25.351,368.9,23,40.272,5.6,5,33.0,9,38.9,1.119,3,0.704,2,11.1
6.495,27,28.006,42,39.764,39,4,16,15,26.691,362.87,24,43.767,5.1,5,34.5,8,41.0,1.122,3,0.684,2,10.3
7.102,28,28.864,42,40.087,39,4,16,14,27.518,397.31,25,43.711,5.1,5,35.5,9,41.0,1.121,3,0.706,2,10.3
7.201,31,30.483,48,46.745,45,4,18,17,30.067,410.46,28,51.673,4.4,7,38.5,10,40.0,1.148,3,0.668,2,8.9
7.398,28,29.767,45,42.647,42,4,17,17,28.217,376.9,25,47.182,4.8,6,35.5,8,40.5,1.123,3,0.672,2,9.5
7.699,32,32.245,51,49.629,48,4,19,19,31.593,424.49,29,55.088,4.2,8,39.5,10,39.6,1.148,3,0.658,2,8.3
8.0,29,31.529,48,45.531,45,4,18,19,29.744,390.93,26,50.598,4.4,7,36.5,8,40.0,1.124,3,0.661,2,8.9
7.886,33,34.006,54,52.512,51,4,20,21,33.12,438.52,30,58.503,3.9,9,40.5,10,39.2,1.147,4,0.649,2,7.8
7.796,35,35.006,56,53.512,52,4,21,21,34.12,450.53,31,59.503,3.8,10,42.5,10,40.4,1.144,4,0.656,2,7.7
6.301,38,38.006,59,56.512,55,4,24,21,37.12,486.56,34,62.503,3.6,7,48.5,10,43.6,1.136,4,0.675,2,7.3
7.201,39,39.767,62,59.396,58,4,25,23,38.647,500.59,35,65.918,3.4,8,49.5,10,43.1,1.137,5,0.666,2,6.9
