pXC50,nN,Mi,nCsp2,H.,Mp,nCL,C.,nAB,Mv,N.,nBM,Sp,nSK,nC,nBO,SCBO,nCsp3,Sv,MW,X.,RBF,nAT
6.611,3,1.122,13,48.8,0.671,0,44.2,16,0.623,7.0,16,28.87,22,19,25,33.0,6,26.805,291.43,0.0,0.065,43
5.4,3,1.123,13,50.0,0.666,0,43.5,16,0.616,6.5,16,30.631,23,20,26,34.0,7,28.332,305.46,0.0,0.061,46
6.409,3,1.125,13,48.9,0.661,0,42.6,16,0.618,6.4,16,31.086,24,20,27,35.0,7,29.047,321.46,0.0,0.08,47
6.625,3,1.13,13,46.5,0.67,0,44.2,16,0.632,7.0,16,28.807,23,19,26,34.0,6,27.189,309.42,2.3,0.065,43
6.658,3,1.145,13,43.5,0.662,0,43.5,16,0.641,6.5,16,30.444,26,20,29,37.0,7,29.482,359.43,6.5,0.061,46
5.0,3,1.123,14,45.7,0.669,0,43.5,16,0.636,6.5,17,30.779,25,20,28,37.0,6,29.235,335.44,0.0,0.082,46
5.1,4,1.127,12,48.9,0.664,0,42.2,16,0.618,8.9,16,29.875,23,19,26,34.0,7,27.827,306.45,0.0,0.063,45
5.889,4,1.121,13,45.5,0.684,0,45.5,16,0.643,9.1,17,30.114,24,20,27,37.0,6,28.3,316.44,0.0,0.064,44
5.145,4,1.118,18,46.2,0.685,0,46.2,22,0.641,7.7,22,35.637,28,24,32,43.0,6,33.354,368.52,0.0,0.071,52
5.0,4,1.128,13,52.5,0.651,0,41.0,16,0.598,6.6,16,39.682,29,25,33,41.0,12,36.461,388.61,0.0,0.062,61
5.554,4,1.128,13,52.5,0.651,0,41.0,16,0.598,6.6,16,39.682,29,25,33,41.0,12,36.461,388.61,0.0,0.062,61
5.121,4,1.128,13,52.5,0.651,0,41.0,16,0.598,6.6,16,39.682,29,25,33,41.0,12,36.461,388.61,0.0,0.062,61
5.0,3,1.125,10,48.9,0.661,0,42.6,11,0.618,6.4,12,31.086,24,20,28,34.5,10,29.047,321.46,0.0,0.078,47
5.0,2,1.135,5,56.3,0.628,0,37.5,6,0.571,6.3,6,20.103,14,12,15,18.0,7,18.257,190.32,0.0,0.061,32
8.23,3,1.133,19,47.6,0.648,0,41.5,18,0.618,3.7,20,53.177,43,34,46,58.0,13,50.699,591.76,2.4,0.153,82
8.02,3,1.133,19,48.2,0.646,0,41.2,18,0.614,3.5,20,54.938,44,35,47,59.0,14,52.226,605.79,2.4,0.148,85
8.12,3,1.133,19,48.9,0.644,0,40.9,18,0.611,3.4,20,56.699,45,36,48,60.0,15,53.753,619.82,2.3,0.154,88
6.824,5,1.142,15,44.6,0.656,0,41.1,17,0.632,8.9,18,36.733,31,23,34,43.5,8,35.383,425.53,3.6,0.085,56
5.0,1,1.125,6,53.8,0.643,0,41.0,6,0.59,2.6,6,25.074,18,16,21,24.0,10,23.004,243.38,0.0,0.048,39
5.0,1,1.133,6,51.3,0.641,0,41.0,6,0.6,2.6,6,25.012,19,16,22,25.0,10,23.388,261.37,2.6,0.048,39
5.0,1,1.122,6,55.3,0.648,0,42.1,6,0.587,2.6,6,24.62,17,16,20,23.0,10,22.289,227.38,0.0,0.049,38
5.0,1,1.131,6,52.6,0.646,0,42.1,6,0.597,2.6,6,24.557,18,16,21,24.0,10,22.673,245.37,2.6,0.049,38
6.963,4,1.134,19,45.9,0.655,0,41.9,18,0.627,5.4,20,48.444,40,31,43,55.0,10,46.425,548.69,2.7,0.13,74
7.721,4,1.12,20,45.2,0.68,1,43.8,18,0.643,5.5,21,49.665,40,32,44,57.0,10,46.959,557.14,1.4,0.078,73
7.523,4,1.125,19,48.1,0.665,1,41.6,18,0.624,5.2,20,51.188,40,32,43,55.0,11,48.013,561.18,1.3,0.138,77
8.046,4,1.124,19,47.3,0.668,1,41.9,18,0.628,5.4,20,49.427,39,31,42,54.0,10,46.486,547.15,1.4,0.13,74
6.53,4,1.134,19,45.1,0.657,0,42.3,18,0.632,5.6,20,46.682,39,30,42,54.0,9,44.899,534.66,2.8,0.122,71
7.854,4,1.121,20,46.1,0.677,1,43.4,18,0.638,5.3,21,51.427,41,33,45,58.0,11,48.486,571.17,1.3,0.088,76
5.0,4,1.145,18,44.3,0.65,0,41.0,17,0.631,6.6,19,39.642,34,25,36,46.5,7,38.513,472.56,4.9,0.127,61
8.471,3,1.12,13,47.1,0.693,1,41.2,12,0.639,5.9,13,35.353,27,21,30,37.0,8,32.588,402.0,2.0,0.093,51
6.77,5,1.126,20,47.0,0.664,0,42.4,22,0.627,7.6,23,43.836,35,28,39,51.0,8,41.385,469.64,0.0,0.114,66
6.11,5,1.125,20,45.5,0.677,1,42.4,22,0.64,7.6,23,44.694,36,28,40,52.0,8,42.212,504.08,1.5,0.114,66
6.22,6,1.129,19,46.2,0.663,0,41.5,22,0.629,9.2,23,43.08,35,27,39,51.0,8,40.88,470.63,0.0,0.116,65
8.15,6,1.131,20,49.4,0.651,0,40.3,22,0.61,7.8,23,50.126,39,31,43,55.0,11,46.987,526.75,0.0,0.136,77
7.0,6,1.13,20,48.1,0.662,1,40.3,22,0.621,7.8,23,50.983,40,31,44,56.0,11,47.814,561.19,1.3,0.136,77
6.65,3,1.118,21,46.8,0.675,0,45.2,22,0.635,4.8,23,41.824,33,28,37,49.0,7,39.342,439.6,0.0,0.106,62
6.34,5,1.126,20,47.0,0.664,0,42.4,22,0.627,7.6,23,43.836,35,28,39,51.0,8,41.385,469.64,0.0,0.129,66
6.67,7,1.134,20,50.6,0.643,0,38.8,22,0.601,8.2,23,54.654,42,33,46,58.0,13,51.062,569.83,0.0,0.135,85
8.26,7,1.132,22,46.9,0.662,0,42.0,26,0.626,8.6,27,53.614,43,34,49,63.0,12,50.677,579.79,1.2,0.092,81
4.398,5,1.151,4,56.8,0.606,0,31.8,6,0.554,11.4,6,26.643,19,14,20,23.0,10,24.375,263.44,0.0,0.133,44
5.0,5,1.15,4,57.4,0.604,0,31.9,6,0.551,10.6,6,28.404,20,15,21,24.0,11,25.902,277.47,0.0,0.104,47
5.0,2,1.135,2,60.6,0.613,0,36.4,0,0.546,3.0,1,40.478,26,24,30,31.0,22,36.052,356.66,0.0,0.014,66
5.384,3,1.124,15,49.2,0.658,0,42.4,16,0.616,5.1,17,38.824,30,25,34,43.0,10,36.342,403.57,0.0,0.079,59
8.211,1,1.119,12,51.2,0.66,0,43.9,12,0.61,2.4,12,27.074,20,18,22,28.0,6,25.004,267.4,0.0,0.093,41
7.209,7,1.151,5,51.1,0.625,0,33.3,10,0.586,15.6,10,28.131,22,15,25,30.0,10,26.364,301.45,0.0,0.042,45
6.37,5,1.126,14,39.4,0.699,0,45.5,16,0.673,15.2,17,23.074,20,15,23,32.0,1,22.214,263.33,0.0,0.028,33
6.27,2,1.118,14,50.0,0.672,0,45.0,16,0.62,5.0,16,26.864,20,18,22,30.0,4,24.784,264.4,0.0,0.095,40
6.15,6,1.139,8,42.4,0.689,0,36.4,15,0.649,18.2,15,22.728,19,12,21,28.5,4,21.423,274.39,0.0,0.114,33
6.15,4,1.136,6,47.1,0.667,0,35.3,10,0.622,11.8,10,22.693,18,12,20,25.0,6,21.148,264.39,0.0,0.083,34
5.75,3,1.133,7,53.2,0.635,0,38.3,10,0.587,6.4,10,29.847,22,18,25,30.0,11,27.574,299.46,0.0,0.08,47
5.64,2,1.134,6,55.8,0.624,0,37.2,6,0.571,4.7,6,26.841,19,16,21,24.0,10,24.552,260.42,0.0,0.089,43
5.58,5,1.138,8,48.7,0.65,0,38.5,14,0.61,12.8,14,25.358,20,15,23,30.0,7,23.795,269.39,0.0,0.071,39
5.49,4,1.133,8,51.2,0.648,0,39.5,11,0.601,9.3,11,27.875,21,17,24,29.5,9,25.827,282.43,0.0,0.043,43
5.38,5,1.138,8,48.7,0.65,0,38.5,14,0.61,12.8,14,25.358,20,15,23,30.0,7,23.795,269.39,0.0,0.071,39
5.34,1,1.122,10,51.5,0.653,0,42.4,11,0.605,3.0,11,21.551,16,14,17,22.5,4,19.951,215.32,0.0,0.118,33
5.2,2,1.121,12,48.8,0.666,0,43.9,15,0.622,4.9,15,27.319,21,18,24,31.5,6,25.499,280.4,0.0,0.114,41
5.09,4,1.131,8,51.2,0.663,0,37.2,11,0.605,9.3,11,28.523,21,16,23,28.5,8,26.014,302.49,0.0,0.111,43
4.96,1,1.117,12,48.4,0.671,0,45.2,12,0.627,3.2,12,20.79,16,14,17,23.0,2,19.424,213.3,0.0,0.125,31
5.0,2,1.128,11,52.0,0.641,0,40.0,6,0.596,4.0,9,32.057,24,20,26,32.0,9,29.794,326.48,0.0,0.115,50
7.377,1,1.114,12,46.5,0.695,0,44.2,12,0.645,2.3,12,29.881,23,19,26,32.0,7,27.744,374.3,2.3,0.043,43
5.0,1,1.129,6,53.4,0.636,0,36.2,6,0.586,1.7,8,36.892,27,21,30,35.0,15,33.97,393.6,0.0,0.098,58
5.0,1,1.127,6,52.5,0.642,0,37.3,6,0.593,1.7,8,37.892,28,22,32,37.0,16,34.97,405.61,0.0,0.048,59
5.0,1,1.127,6,53.2,0.64,0,37.1,6,0.589,1.6,8,39.654,29,23,33,38.0,17,36.496,419.64,0.0,0.061,62
8.148,4,1.134,14,48.2,0.653,0,41.1,16,0.616,7.1,17,36.552,29,23,32,41.0,9,34.505,394.54,1.8,0.085,56
8.201,4,1.135,14,50.0,0.646,0,40.3,16,0.606,6.5,17,40.074,31,25,34,43.0,11,37.559,422.6,1.6,0.108,62
8.31,4,1.133,14,49.2,0.652,0,41.3,16,0.612,6.3,17,41.074,32,26,36,45.0,12,38.559,434.61,1.6,0.075,63
7.78,4,1.134,14,47.5,0.652,0,41.0,16,0.619,6.6,17,39.767,32,25,36,45.0,11,37.747,436.58,1.6,0.077,61
7.883,4,1.129,16,44.2,0.674,0,44.2,21,0.643,7.7,21,35.029,29,23,33,43.5,7,33.452,390.5,1.9,0.089,52
9.0,3,1.132,13,48.0,0.656,0,42.0,16,0.619,6.0,16,32.785,26,21,29,37.0,8,30.957,353.48,2.0,0.094,50
8.921,3,1.13,13,46.5,0.67,0,44.2,16,0.632,7.0,16,28.807,23,19,26,34.0,6,27.189,309.42,2.3,0.065,43
9.0,3,1.125,13,48.9,0.661,0,42.6,16,0.618,6.4,16,31.086,24,20,27,35.0,7,29.047,321.46,0.0,0.1,47
7.924,4,1.13,14,50.0,0.647,0,40.0,16,0.606,6.7,17,38.83,30,24,33,42.0,10,36.364,406.58,0.0,0.111,60
7.609,4,1.125,16,46.4,0.666,0,42.9,21,0.631,7.1,21,37.307,30,24,34,44.5,8,35.31,402.54,0.0,0.117,56
9.0,3,1.124,13,47.7,0.666,0,43.2,16,0.625,6.8,16,29.324,23,19,26,34.0,6,27.52,307.43,0.0,0.064,44
9.097,3,1.131,13,43.9,0.671,0,43.9,16,0.643,7.3,16,27.5,23,18,26,34.0,5,26.377,311.39,2.4,0.068,41
6.438,3,1.125,13,48.9,0.661,0,42.6,16,0.618,6.4,16,31.086,24,20,27,35.0,7,29.047,321.46,0.0,0.06,47
8.855,3,1.117,13,47.7,0.694,0,43.2,16,0.636,6.8,16,30.517,23,19,26,34.0,6,27.993,323.5,0.0,0.064,44
7.022,3,1.124,13,43.9,0.7,0,43.9,16,0.655,7.3,16,28.694,23,18,26,34.0,5,26.849,327.46,2.4,0.068,41
8.886,3,1.124,13,43.9,0.7,0,43.9,16,0.655,7.3,16,28.694,23,18,26,34.0,5,26.849,327.46,2.4,0.068,41
8.854,3,1.119,13,46.7,0.688,0,42.2,16,0.638,6.7,16,30.972,24,19,27,35.0,6,28.707,339.5,0.0,0.083,45
7.036,3,1.119,13,46.7,0.688,0,42.2,16,0.638,6.7,16,30.972,24,19,27,35.0,6,28.707,339.5,0.0,0.083,45
5.132,5,1.134,12,45.2,0.662,0,40.5,16,0.631,11.9,16,27.813,23,17,26,34.0,5,26.509,309.41,0.0,0.044,42
5.553,5,1.127,12,45.2,0.691,0,40.5,16,0.642,11.9,16,29.006,23,17,26,34.0,5,26.982,325.48,0.0,0.044,42
5.192,5,1.134,12,45.2,0.662,0,40.5,16,0.631,11.9,16,27.813,23,17,26,34.0,5,26.509,309.41,0.0,0.044,42
4.979,5,1.133,12,43.6,0.668,0,41.0,16,0.641,12.8,16,26.051,22,16,25,33.0,4,24.983,295.38,0.0,0.048,39
9.253,1,1.119,12,46.5,0.69,0,44.2,12,0.641,2.3,12,29.659,23,19,26,32.0,7,27.575,329.47,2.3,0.043,43
7.201,2,1.133,12,50.0,0.647,0,41.3,12,0.607,4.3,12,29.779,23,19,25,31.0,7,27.936,314.44,2.2,0.125,46
7.168,2,1.126,12,52.2,0.649,0,41.3,12,0.599,4.3,12,29.841,22,19,24,30.0,7,27.552,296.45,0.0,0.125,46
6.777,3,1.136,11,51.1,0.645,0,40.4,12,0.601,6.4,12,30.33,23,19,25,31.0,8,28.242,313.46,2.1,0.122,47
6.674,3,1.131,11,48.9,0.671,0,40.0,12,0.62,6.7,12,30.216,23,18,25,31.0,7,27.903,331.5,2.2,0.128,45
6.582,3,1.138,11,48.9,0.645,0,40.0,12,0.61,6.7,12,29.023,23,18,25,31.0,7,27.43,315.43,2.2,0.128,45
5.0,5,1.142,13,49.2,0.636,0,37.7,12,0.603,8.2,13,38.773,31,23,34,41.0,10,36.768,427.58,1.6,0.063,61
5.382,1,1.127,12,48.1,0.666,1,42.3,12,0.625,1.9,12,34.608,27,22,30,36.0,10,32.51,389.93,3.8,0.109,52
5.765,1,1.126,12,50.0,0.665,1,42.6,12,0.617,1.9,12,35.915,27,23,30,36.0,11,33.322,387.96,3.7,0.105,54
6.097,2,1.126,12,49.0,0.686,1,40.8,12,0.628,4.1,12,33.591,25,20,27,33.0,8,30.762,378.98,4.1,0.118,49
6.293,2,1.132,12,49.0,0.661,1,40.8,12,0.618,4.1,12,32.398,25,20,27,33.0,8,30.29,362.91,4.1,0.118,49
5.904,2,1.131,12,51.0,0.661,1,41.2,12,0.61,3.9,12,33.705,25,21,27,33.0,9,31.102,360.94,3.9,0.113,51
7.215,3,1.12,13,49.1,0.692,1,41.5,16,0.63,5.7,16,36.66,27,22,30,38.0,9,33.4,400.03,1.9,0.107,53
6.177,3,1.119,13,48.0,0.698,1,42.0,16,0.637,6.0,16,34.898,26,21,29,37.0,8,31.874,386.0,2.0,0.094,50
6.889,3,1.119,14,47.3,0.693,1,41.8,16,0.638,5.5,17,38.114,29,23,32,41.0,9,35.115,428.04,1.8,0.121,55
8.125,1,1.126,12,46.5,0.662,0,44.2,12,0.63,2.3,12,28.466,23,19,26,32.0,7,27.102,313.4,2.3,0.043,43
6.728,2,1.115,13,48.2,0.694,1,42.9,16,0.636,3.6,16,38.87,29,24,33,41.0,11,35.621,427.05,1.8,0.1,56
8.456,3,1.124,16,43.4,0.688,2,41.5,17,0.654,5.7,18,36.472,30,22,32,41.5,6,34.658,448.38,3.8,0.145,53
7.481,1,1.126,12,46.5,0.662,0,44.2,12,0.63,2.3,12,28.466,23,19,26,32.0,7,27.102,313.4,2.3,0.043,43
5.0,4,1.134,13,51.5,0.633,0,37.9,12,0.593,6.1,13,41.807,32,25,35,42.0,12,39.132,438.63,0.0,0.087,66
5.0,5,1.142,13,49.2,0.636,0,37.7,12,0.603,8.2,13,38.773,31,23,34,41.0,10,36.768,427.58,1.6,0.063,61
6.387,2,1.121,20,47.2,0.659,0,43.1,18,0.626,2.8,20,47.466,38,31,42,53.0,11,45.046,514.67,0.0,0.118,72
5.0,5,1.137,13,50.8,0.632,0,36.9,12,0.594,7.7,13,41.052,32,24,35,42.0,11,38.627,439.62,0.0,0.074,65
5.0,5,1.152,13,46.9,0.631,0,37.5,12,0.61,7.8,13,40.41,34,24,37,44.0,11,39.062,477.59,4.7,0.06,64
5.0,5,1.129,19,49.3,0.653,0,40.8,18,0.612,7.0,19,46.358,36,29,40,50.0,10,43.439,485.69,0.0,0.067,71
5.0,5,1.133,13,50.8,0.65,0,36.9,12,0.602,7.7,13,42.245,32,24,35,42.0,11,39.099,455.69,0.0,0.074,65
7.959,1,1.117,15,46.7,0.666,0,44.4,12,0.632,2.2,14,29.983,24,20,26,34.0,5,28.434,323.42,0.0,0.085,45
6.824,5,1.135,13,48.3,0.642,0,38.3,11,0.61,8.3,14,38.529,31,23,34,42.5,10,36.573,423.57,0.0,0.111,60
5.152,2,1.12,15,44.0,0.669,0,44.0,16,0.643,4.0,19,33.443,28,22,31,42.0,7,32.17,378.46,0.0,0.113,50
5.017,3,1.125,14,50.8,0.651,0,41.5,12,0.606,4.6,14,42.347,32,27,36,44.0,13,39.396,431.63,0.0,0.087,65
5.0,3,1.126,14,50.0,0.652,0,41.4,12,0.609,5.2,14,37.824,29,24,32,40.0,10,35.342,391.56,0.0,0.082,58
5.0,3,1.125,14,50.8,0.651,0,41.5,12,0.606,4.6,14,42.347,32,27,36,44.0,13,39.396,431.63,0.0,0.072,65
5.154,3,1.125,14,50.8,0.651,0,41.5,12,0.606,4.6,14,42.347,32,27,36,44.0,13,39.396,431.63,0.0,0.072,65
5.141,3,1.127,14,50.8,0.649,0,41.0,12,0.604,4.9,14,39.586,30,25,33,41.0,11,36.869,405.59,0.0,0.094,61
5.058,3,1.125,14,50.8,0.651,0,41.5,12,0.606,4.6,14,42.347,32,27,36,44.0,13,39.396,431.63,0.0,0.072,65
7.337,3,1.118,14,46.2,0.699,1,42.3,16,0.646,5.8,17,36.353,28,22,31,40.0,8,33.588,414.01,1.9,0.127,52
7.284,2,1.115,14,49.1,0.684,0,43.4,16,0.628,3.8,17,36.25,27,23,30,39.0,9,33.266,378.58,0.0,0.125,53
5.0,3,1.132,10,51.0,0.639,0,38.8,6,0.598,6.1,9,31.302,24,19,26,32.0,9,29.289,327.47,0.0,0.118,49
5.0,3,1.134,10,50.9,0.632,0,37.7,6,0.595,5.7,9,33.517,26,20,28,34.0,10,31.53,357.5,0.0,0.145,53
7.54,6,1.126,32,48.7,0.655,0,41.6,24,0.616,5.3,30,73.961,58,47,63,81.0,15,69.609,784.08,0.0,0.153,113
4.35,1,1.121,13,51.9,0.65,0,42.3,12,0.602,1.9,13,33.813,25,22,27,34.0,9,31.299,337.5,0.0,0.111,52
5.057,1,1.124,13,47.2,0.672,1,43.4,12,0.632,1.9,13,35.608,28,23,31,38.0,10,33.51,401.94,3.8,0.107,53
8.456,1,1.116,12,50.0,0.668,0,45.2,12,0.619,2.4,12,28.074,21,19,24,30.0,7,26.004,279.41,0.0,0.044,42
4.699,3,1.123,13,45.8,0.672,0,40.7,12,0.634,5.1,16,39.62,32,24,35,46.0,10,37.432,453.61,0.0,0.161,59
5.41,2,1.122,12,49.0,0.659,0,42.9,12,0.618,4.1,13,32.296,25,21,27,35.0,8,30.267,336.47,0.0,0.118,49
4.523,10,1.135,30,48.5,0.651,0,38.8,22,0.621,7.5,30,87.172,69,52,75,95.0,21,35.203,943.08,1.5,0.2,134
5.0,2,1.125,9,46.5,0.656,0,41.9,10,0.626,4.7,11,28.228,23,18,27,33.0,9,26.928,312.4,0.0,0.021,43
6.35,2,1.124,14,49.2,0.658,0,39.3,12,0.614,3.3,14,40.137,31,24,33,41.0,10,37.464,442.63,0.0,0.159,61
8.03,4,1.138,11,55.7,0.621,0,36.1,12,0.569,6.6,12,37.898,27,22,28,34.0,11,34.702,370.6,0.0,0.21,61
4.523,6,1.145,7,55.9,0.613,0,33.8,6,0.563,8.8,8,41.671,30,23,31,37.0,15,38.272,414.67,0.0,0.217,68
4.523,8,1.131,27,51.8,0.643,0,38.3,18,0.596,5.7,27,90.711,68,54,73,92.0,26,84.053,946.42,0.0,0.178,141
4.523,6,1.13,29,47.2,0.661,0,40.7,22,0.621,5.6,28,71.342,57,44,63,80.0,15,35.203,776.82,1.9,0.167,108
5.084,3,1.129,9,48.6,0.675,1,40.5,11,0.624,8.1,11,24.966,19,15,21,26.5,6,23.106,275.81,2.7,0.154,37
8.11,3,1.121,13,43.9,0.693,1,43.9,12,0.654,7.3,13,28.421,23,18,26,33.0,5,26.821,327.84,2.4,0.023,41
5.036,3,1.129,9,48.6,0.675,1,40.5,11,0.624,8.1,11,24.966,19,15,21,26.5,6,23.106,275.81,2.7,0.154,37
5.0,3,1.141,3,58.1,0.614,0,34.9,5,0.555,7.0,5,26.393,18,15,20,22.5,12,23.859,247.43,0.0,0.133,43
9.375,4,1.125,13,44.7,0.685,1,42.6,12,0.646,8.5,14,32.188,26,20,29,37.0,7,30.369,368.9,2.1,0.08,47
9.6,4,1.128,13,46.3,0.67,1,40.7,12,0.632,7.4,14,36.165,29,22,32,40.0,9,34.138,412.96,1.9,0.123,54
9.04,3,1.124,14,49.1,0.671,1,42.1,12,0.622,5.3,14,38.228,29,24,32,40.0,10,35.455,410.0,1.8,0.117,57
9.29,3,1.124,14,47.3,0.671,1,41.8,12,0.63,5.5,14,36.921,29,23,32,40.0,9,34.643,411.97,1.8,0.121,55
8.6,4,1.125,13,44.7,0.685,1,42.6,12,0.646,8.5,14,32.188,26,20,29,37.0,7,30.369,368.9,2.1,0.08,47
9.48,4,1.125,13,44.7,0.685,1,42.6,12,0.646,8.5,14,32.188,26,20,29,37.0,7,30.369,368.9,2.1,0.08,47
9.4,4,1.127,13,48.2,0.669,1,41.1,12,0.624,7.1,14,37.472,29,23,32,40.0,10,34.949,410.99,1.8,0.119,56
9.35,4,1.127,13,48.2,0.669,1,41.1,12,0.624,7.1,14,37.472,29,23,32,40.0,10,34.949,410.99,1.8,0.119,56
9.05,4,1.128,13,46.3,0.67,1,40.7,12,0.632,7.4,14,36.165,29,22,32,40.0,9,34.138,412.96,1.9,0.123,54
9.5,4,1.125,13,44.7,0.685,1,42.6,12,0.646,8.5,14,32.188,26,20,29,37.0,7,30.369,368.9,2.1,0.08,47
9.2,4,1.127,13,48.2,0.669,1,41.1,12,0.624,7.1,14,37.472,29,23,32,40.0,10,34.949,410.99,1.8,0.119,56
9.27,4,1.128,13,46.3,0.67,1,40.7,12,0.632,7.4,14,36.165,29,22,32,40.0,9,34.138,412.96,1.9,0.123,54
8.645,5,1.13,12,43.5,0.683,1,41.3,12,0.649,10.9,14,31.432,26,19,29,37.0,7,29.864,369.89,2.2,0.082,46
7.76,5,1.128,19,51.1,0.655,1,40.4,18,0.606,5.3,20,61.546,46,38,51,62.0,19,56.954,642.36,1.1,0.141,94
5.6,3,1.127,13,50.0,0.652,0,38.6,12,0.608,4.3,15,45.665,35,27,39,48.0,14,42.539,497.72,0.0,0.081,70
7.9,2,1.124,18,51.8,0.645,0,41.2,17,0.6,2.4,19,54.819,41,35,45,55.5,17,50.965,556.81,0.0,0.112,85
7.81,4,1.119,32,43.5,0.673,0,44.6,24,0.648,4.3,30,61.909,52,41,57,75.0,9,59.572,700.85,0.0,0.155,92
7.61,4,1.138,11,54.5,0.625,0,36.4,12,0.575,7.3,12,34.376,25,20,26,32.0,9,31.649,342.54,0.0,0.196,55
8.47,4,1.119,32,43.5,0.673,0,44.6,24,0.648,4.3,30,61.909,52,41,57,75.0,9,59.572,700.85,0.0,0.155,92
7.8,3,1.125,13,47.0,0.675,2,40.9,12,0.633,4.5,14,44.517,35,27,38,47.0,13,41.766,516.51,3.0,0.116,66
7.6,3,1.125,13,47.0,0.675,2,40.9,12,0.633,4.5,14,44.517,35,27,38,47.0,13,41.766,516.51,3.0,0.116,66
7.8,3,1.125,13,47.0,0.675,2,40.9,12,0.633,4.5,14,44.517,35,27,38,47.0,13,41.766,516.51,3.0,0.116,66
7.5,2,1.126,13,50.0,0.662,2,39.7,12,0.615,2.9,13,45.034,34,27,37,44.0,14,41.798,505.53,2.9,0.113,68
7.8,2,1.126,13,50.0,0.662,2,39.7,12,0.615,2.9,13,45.034,34,27,37,44.0,14,41.798,505.53,2.9,0.113,68
7.1,2,1.126,13,50.0,0.662,2,39.7,12,0.615,2.9,13,45.034,34,27,37,44.0,14,41.798,505.53,2.9,0.113,68
7.2,2,1.127,13,49.3,0.659,2,39.1,12,0.616,2.9,13,45.489,35,27,38,45.0,14,42.513,521.53,2.9,0.125,69
7.2,2,1.127,13,49.3,0.659,2,39.1,12,0.616,2.9,13,45.489,35,27,38,45.0,14,42.513,521.53,2.9,0.125,69
6.8,2,1.141,13,45.6,0.66,2,39.7,12,0.632,2.9,13,44.847,37,27,40,47.0,14,42.948,559.5,7.4,0.113,68
6.4,2,1.132,13,49.2,0.652,1,40.0,12,0.613,3.1,13,42.353,33,26,36,43.0,13,39.827,475.05,3.1,0.118,65
7.0,2,1.131,13,47.7,0.665,2,40.0,12,0.625,3.1,13,43.211,34,26,37,44.0,13,40.654,509.49,4.6,0.118,65
7.1,2,1.132,13,50.0,0.649,1,39.7,12,0.608,2.9,13,44.114,34,27,37,44.0,14,41.354,489.08,2.9,0.113,68
6.8,2,1.138,13,50.0,0.635,0,39.7,12,0.602,2.9,13,43.194,34,27,37,44.0,14,40.909,472.63,2.9,0.113,68
7.0,2,1.132,13,50.0,0.649,1,39.7,12,0.608,2.9,13,44.114,34,27,37,44.0,14,41.354,489.08,2.9,0.113,68
7.4,2,1.131,13,48.5,0.661,2,39.7,12,0.62,2.9,13,44.972,35,27,38,45.0,14,42.181,523.52,4.4,0.113,68
7.5,2,1.131,13,48.5,0.661,2,39.7,12,0.62,2.9,13,44.972,35,27,38,45.0,14,42.181,523.52,4.4,0.113,68
6.3,3,1.131,13,47.8,0.657,1,40.6,12,0.621,4.3,14,45.358,36,28,39,48.0,14,42.848,514.09,2.9,0.111,69
7.0,2,1.126,13,50.0,0.662,2,39.7,12,0.615,2.9,13,45.034,34,27,37,44.0,14,41.798,505.53,2.9,0.113,68
7.1,2,1.131,13,48.5,0.661,2,39.7,12,0.62,2.9,13,44.972,35,27,38,45.0,14,42.181,523.52,4.4,0.113,68
7.2,2,1.126,13,50.0,0.662,2,39.7,12,0.615,2.9,13,45.034,34,27,37,44.0,14,41.798,505.53,2.9,0.113,68
6.7,2,1.127,13,50.7,0.659,2,39.4,12,0.61,2.8,13,46.796,35,28,38,45.0,15,43.325,519.56,2.8,0.108,71
7.5,2,1.131,13,49.3,0.658,2,39.4,12,0.616,2.8,13,46.733,36,28,39,46.0,15,43.708,537.55,4.2,0.108,71
6.8,2,1.132,13,50.7,0.646,1,39.4,12,0.604,2.8,13,45.875,35,28,38,45.0,15,42.88,503.11,2.8,0.108,71
7.3,2,1.132,13,50.7,0.646,1,39.4,12,0.604,2.8,13,45.875,35,28,38,45.0,15,42.88,503.11,2.8,0.108,71
7.1,2,1.138,13,50.7,0.633,0,39.4,12,0.598,2.8,13,44.955,35,28,38,45.0,15,42.436,486.66,2.8,0.108,71
7.449,3,1.126,13,46.0,0.68,2,38.1,12,0.637,4.8,15,42.858,34,24,37,46.0,11,40.141,526.53,3.2,0.076,63
7.2,2,1.124,13,47.5,0.674,2,40.7,12,0.631,3.4,13,39.75,31,24,34,41.0,11,37.217,463.44,3.4,0.097,59
7.2,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.7,2,1.126,13,46.7,0.67,2,40.0,12,0.632,3.3,13,40.205,32,24,35,42.0,11,37.932,479.44,3.3,0.111,60
7.0,2,1.126,13,46.7,0.67,2,40.0,12,0.632,3.3,13,40.205,32,24,35,42.0,11,37.932,479.44,3.3,0.111,60
7.3,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.6,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
7.0,2,1.125,13,48.4,0.67,2,40.3,12,0.625,3.2,13,41.512,32,25,35,42.0,12,38.744,477.47,3.2,0.108,62
