pXC50,nCsp2,nC,SCBO,nBO,MW,Mv,nSK,nH,RBF,nBT,nBM,Se,nAT,nCsp3,H.,C.,nAB
7.699,21,41,70.0,58,716.92,0.618,52,47,0.105,105,21,99.577,99,20,47.5,41.4,18
7.62,21,38,66.0,54,726.2,0.636,49,43,0.103,97,21,92.243,92,17,46.7,41.3,18
7.276,21,37,65.0,53,712.17,0.64,48,41,0.096,94,21,89.36,89,16,46.1,41.6,18
6.538,21,37,62.0,50,608.85,0.612,45,44,0.096,94,21,88.388,89,16,49.4,41.6,18
5.04,7,14,25.0,19,281.79,0.616,19,18,0.108,37,8,37.193,37,5,48.6,37.8,6
6.22,6,20,29.0,26,331.57,0.583,23,29,0.055,55,6,50.876,52,14,55.8,38.5,6
7.9,6,21,43.0,37,531.73,0.601,35,33,0.271,70,11,69.323,68,15,48.5,30.9,10
5.0,24,40,61.0,49,622.98,0.587,46,54,0.223,103,24,98.152,100,16,54.0,40.0,24
5.28,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
4.921,14,20,37.0,29,336.42,0.643,25,20,0.061,49,16,45.138,45,6,44.4,44.4,16
4.167,14,19,33.0,25,308.48,0.642,22,20,0.067,45,16,41.232,42,5,47.6,45.2,16
6.523,13,21,36.0,29,352.47,0.62,26,24,0.075,53,13,49.905,50,8,48.0,42.0,12
4.523,14,17,31.0,23,264.35,0.651,20,16,0.026,39,16,35.716,36,3,44.4,47.2,16
6.523,13,23,38.0,31,380.53,0.608,28,28,0.068,59,13,55.672,56,10,50.0,41.1,12
4.721,13,18,30.0,23,280.4,0.622,21,20,0.093,43,13,40.483,41,5,48.8,43.9,12
6.699,14,25,42.0,34,422.57,0.611,31,30,0.094,64,14,60.883,61,11,49.2,41.0,12
4.745,14,20,35.0,27,322.44,0.625,24,22,0.082,49,16,45.694,46,6,47.8,43.5,16
5.0,7,16,28.0,22,271.37,0.614,20,19,0.073,41,8,38.869,39,7,48.7,41.0,6
6.863,12,19,31.0,25,310.5,0.625,22,22,0.043,47,12,43.116,44,7,50.0,43.2,12
5.21,26,40,65.0,51,650.94,0.603,48,50,0.208,101,26,97.039,98,14,51.0,40.8,24
5.645,7,17,29.0,23,285.4,0.607,21,21,0.068,44,8,41.752,42,8,50.0,40.5,6
5.0,26,41,66.0,52,664.97,0.6,49,52,0.212,104,26,99.923,101,15,51.5,40.6,24
6.101,1,12,20.0,17,222.32,0.579,16,18,0.057,35,2,33.927,34,9,52.9,35.3,0
7.83,24,44,65.0,53,647.04,0.587,48,58,0.117,111,24,103.599,106,20,54.7,41.5,24
5.91,24,37,57.0,45,549.84,0.602,41,45,0.133,90,24,84.356,86,13,52.3,43.0,24
4.0,18,26,41.0,32,386.58,0.612,29,30,0.113,62,18,57.901,59,8,50.8,44.1,18
4.95,24,39,58.0,46,580.93,0.586,43,52,0.163,98,24,92.948,95,15,54.7,41.1,24
7.17,24,42,63.0,51,616.96,0.598,46,52,0.126,103,24,95.948,98,18,53.1,42.9,24
6.229,18,25,43.0,33,400.57,0.623,30,28,0.115,61,19,57.338,58,7,48.3,43.1,18
4.03,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
4.65,24,36,56.0,44,534.8,0.61,40,42,0.14,86,24,80.53,82,12,51.2,43.9,24
5.04,7,14,25.0,19,281.79,0.616,19,18,0.108,37,8,37.193,37,5,48.6,37.8,6
7.464,12,19,30.0,24,314.89,0.615,22,23,0.085,47,12,44.247,45,7,51.1,42.2,12
7.624,13,18,33.0,26,326.86,0.646,23,19,0.022,45,13,41.8,42,5,45.2,42.9,12
7.82,17,24,44.0,34,404.5,0.643,30,24,0.086,58,18,54.232,54,7,44.4,44.4,16
7.09,13,21,32.0,25,306.49,0.599,23,26,0.098,51,13,47.807,49,8,53.1,42.9,12
4.05,16,21,37.0,28,331.45,0.642,25,21,0.041,49,15,45.585,46,5,45.7,45.7,12
5.261,9,17,30.5,23,282.37,0.633,21,18,0.098,41,12,38.927,39,6,46.2,43.6,11
5.347,13,25,40.0,33,424.66,0.606,30,32,0.123,65,13,61.189,62,12,51.6,40.3,12
5.71,1,22,31.0,28,343.56,0.567,25,33,0.0,61,2,56.894,58,19,56.9,37.9,0
5.437,20,26,41.0,31,368.56,0.623,28,28,0.102,59,19,54.69,56,6,50.0,46.4,18
5.076,10,20,32.5,26,325.5,0.59,24,27,0.132,53,12,50.236,51,10,52.9,39.2,11
7.01,13,19,30.0,23,278.43,0.612,21,22,0.089,45,13,42.04,43,6,51.2,44.2,12
5.0,13,19,35.0,27,322.45,0.62,24,22,0.082,49,16,45.687,46,6,47.8,41.3,16
5.32,12,22,33.0,27,339.55,0.579,25,31,0.103,58,12,54.843,56,10,55.4,39.3,12
7.409,21,37,65.0,53,662.82,0.625,48,41,0.096,94,21,89.927,89,16,46.1,41.6,18
5.854,1,11,16.0,15,197.31,0.551,14,19,0.088,34,1,32.709,33,10,57.6,33.3,0
5.699,12,21,36.0,30,354.46,0.619,26,24,0.037,54,12,50.072,50,9,48.0,42.0,12
5.553,13,19,32.0,25,292.41,0.631,22,20,0.044,45,13,41.483,42,6,47.6,45.2,12
7.733,7,21,29.0,25,331.55,0.559,24,33,0.155,58,7,55.894,57,14,57.9,36.8,6
7.454,14,19,29.0,22,263.41,0.617,20,21,0.07,43,13,39.938,41,5,51.2,46.3,12
4.32,4,10,15.5,13,165.26,0.571,12,15,0.036,28,5,26.614,27,6,55.6,37.0,5
4.25,4,9,14.5,12,151.23,0.579,11,13,0.04,25,5,23.731,24,5,54.2,37.5,5
6.24,6,19,27.0,24,320.57,0.568,22,30,0.074,54,6,50.818,52,13,57.7,36.5,6
4.16,4,9,14.5,12,151.23,0.579,11,13,0.04,25,5,23.731,24,5,54.2,37.5,5
4.06,4,8,13.5,11,137.2,0.589,10,11,0.045,22,5,20.847,21,4,52.4,38.1,5
4.05,4,8,13.5,11,137.2,0.589,10,11,0.045,22,5,20.847,21,4,52.4,38.1,5
4.53,4,9,14.5,12,151.23,0.579,11,13,0.04,25,5,23.731,24,5,54.2,37.5,5
4.1,4,9,14.5,12,151.23,0.579,11,13,0.04,25,5,23.731,24,5,54.2,37.5,5
5.873,22,27,53.0,40,531.94,0.688,37,21,0.131,61,24,60.203,58,5,36.2,46.6,22
8.699,25,29,55.5,41,497.56,0.674,37,24,0.108,65,26,61.847,61,4,39.3,47.5,23
4.23,4,10,15.5,13,165.26,0.571,12,15,0.036,28,5,26.614,27,6,55.6,37.0,5
5.0,12,20,35.0,29,339.42,0.634,25,21,0.04,50,12,46.247,46,8,45.7,43.5,12
4.301,13,25,44.0,35,415.59,0.619,31,29,0.063,64,14,59.44,60,11,48.3,41.7,12
8.0,3,15,25.0,22,327.55,0.531,23,33,0.255,55,3,55.527,56,12,58.9,26.8,0
4.301,13,24,41.0,34,425.02,0.618,30,29,0.063,63,13,58.545,59,11,49.2,40.7,12
4.301,13,24,45.0,36,435.58,0.616,32,29,0.077,65,15,61.094,61,11,47.5,39.3,12
5.18,13,23,42.0,34,405.55,0.62,30,27,0.033,61,14,56.883,57,10,47.4,40.4,12
5.61,13,23,42.0,34,405.55,0.62,30,27,0.033,61,14,56.883,57,10,47.4,40.4,12
4.301,13,25,44.0,37,458.58,0.618,33,29,0.061,66,13,62.643,62,12,46.8,40.3,12
7.528,12,21,34.0,28,370.63,0.622,25,26,0.074,54,12,49.96,51,9,51.0,41.2,12
6.041,4,17,29.0,25,369.59,0.54,26,35,0.25,60,4,60.738,61,13,57.4,27.9,0
6.303,1,14,20.0,19,255.4,0.546,18,25,0.136,44,1,42.687,43,13,58.1,32.6,0
5.808,16,33,59.5,49,586.75,0.621,43,38,0.057,87,16,81.392,81,17,46.9,40.7,11
6.301,12,18,30.0,24,427.31,0.628,23,22,0.174,46,12,44.872,45,6,48.9,40.0,12
4.523,13,23,45.0,36,458.61,0.629,32,27,0.063,63,15,59.581,59,10,45.8,39.0,12
8.041,8,20,36.0,31,387.54,0.589,28,29,0.1,60,8,57.094,57,12,50.9,35.1,6
4.523,13,23,45.0,36,458.61,0.629,32,27,0.063,63,15,59.581,59,10,45.8,39.0,12
4.523,14,25,48.0,40,519.65,0.636,36,28,0.059,68,14,65.265,64,11,43.8,39.1,12
4.523,13,23,45.0,36,458.61,0.629,32,27,0.063,63,15,59.581,59,10,45.8,39.0,12
4.523,14,25,49.0,41,537.64,0.642,37,27,0.059,68,14,65.778,64,11,42.2,39.1,12
4.523,13,23,45.0,36,519.51,0.64,32,27,0.063,63,15,59.298,59,10,45.8,39.0,12
4.523,14,25,49.0,41,537.64,0.642,37,27,0.059,68,14,65.778,64,11,42.2,39.1,12
4.523,14,25,49.0,41,554.09,0.649,37,27,0.059,68,14,65.589,64,11,42.2,39.1,12
4.301,13,25,45.0,38,476.57,0.624,34,28,0.061,66,13,63.156,62,12,45.2,40.3,12
6.613,12,19,33.0,27,329.4,0.632,24,20,0.085,47,12,44.432,44,7,45.5,43.2,12
4.301,13,24,41.0,34,425.02,0.618,30,29,0.063,63,13,58.545,59,11,49.2,40.7,12
4.301,13,25,42.0,35,422.6,0.606,31,31,0.061,66,13,61.618,62,12,50.0,40.3,12
4.301,13,25,42.0,35,422.6,0.606,31,31,0.061,66,13,61.618,62,12,50.0,40.3,12
4.301,13,25,45.0,36,450.03,0.633,32,28,0.063,64,14,59.763,60,11,46.7,41.7,12
8.041,8,20,35.0,30,372.52,0.592,27,28,0.069,58,8,54.992,55,12,50.9,36.4,6
4.301,13,25,45.0,38,476.57,0.624,34,28,0.061,66,13,63.156,62,12,45.2,40.3,12
5.99,12,20,34.0,27,341.51,0.626,24,23,0.06,50,13,46.552,47,8,48.9,42.6,12
6.45,6,20,31.0,27,347.57,0.585,24,29,0.054,56,7,52.203,53,14,54.7,37.7,6
6.35,6,20,31.0,27,347.57,0.585,24,29,0.054,56,7,52.203,53,14,54.7,37.7,6
6.59,6,20,31.0,27,347.57,0.585,24,29,0.054,56,7,52.203,53,14,54.7,37.7,6
5.983,14,39,66.5,56,758.03,0.579,54,59,0.209,115,16,113.639,113,25,52.2,34.5,11
5.0,7,16,27.0,23,292.39,0.598,21,21,0.091,44,7,42.207,42,9,50.0,38.1,6
4.29,4,9,14.5,12,151.23,0.579,11,13,0.04,25,5,23.731,24,5,54.2,37.5,5
4.61,4,10,15.5,13,165.26,0.571,12,15,0.036,28,5,26.614,27,6,55.6,37.0,5
4.301,13,24,46.0,37,470.02,0.63,33,28,0.077,65,15,61.418,61,11,45.9,39.3,12
4.301,13,24,42.0,35,459.46,0.632,31,28,0.063,63,13,58.869,59,11,47.5,40.7,12
7.796,16,21,33.0,25,287.43,0.635,22,21,0.0,46,14,41.938,43,5,48.8,48.8,12
9.469,7,17,27.0,23,289.41,0.59,21,23,0.109,46,7,43.803,44,10,52.3,38.6,6
4.301,13,25,45.0,38,493.02,0.631,34,28,0.061,66,13,62.967,62,12,45.2,40.3,12
4.523,13,23,45.0,36,475.06,0.637,32,27,0.063,63,15,59.392,59,10,45.8,39.0,12
4.301,13,25,45.0,38,476.57,0.624,34,28,0.061,66,13,63.156,62,12,45.2,40.3,12
4.301,13,25,42.0,35,422.6,0.606,31,31,0.061,66,13,61.618,62,12,50.0,40.3,12
6.134,13,25,41.0,34,404.61,0.6,30,32,0.061,66,13,61.105,62,12,51.6,40.3,12
6.395,12,20,34.0,27,341.51,0.626,24,23,0.06,50,13,46.552,47,8,48.9,42.6,12
4.301,13,25,42.0,35,439.05,0.613,31,31,0.061,66,13,61.429,62,12,50.0,40.3,12
4.523,14,15,29.0,21,316.16,0.728,19,10,0.065,31,14,29.404,29,1,34.5,51.7,12
5.82,6,20,31.0,27,347.57,0.585,24,29,0.054,56,7,52.203,53,14,54.7,37.7,6
4.55,4,10,15.5,13,166.27,0.56,12,16,0.034,29,5,27.556,28,6,57.1,35.7,5
5.996,13,19,32.5,25,309.46,0.65,22,19,0.0,44,13,40.458,41,6,46.3,46.3,11
7.1,5,22,34.5,30,423.69,0.566,29,37,0.239,67,7,65.385,66,17,56.1,33.3,5
7.515,6,21,32.0,28,362.61,0.576,25,32,0.05,60,7,56.029,57,15,56.1,36.8,6
6.52,6,21,32.0,28,362.61,0.576,25,32,0.05,60,7,56.029,57,15,56.1,36.8,6
6.83,12,21,35.0,28,356.55,0.612,25,26,0.056,54,13,50.378,51,9,51.0,41.2,12
5.946,15,23,36.0,28,349.51,0.609,26,27,0.145,55,14,52.243,53,8,50.9,43.4,12
6.835,15,21,34.0,26,321.45,0.622,24,23,0.122,49,14,46.476,47,6,48.9,44.7,12
6.585,6,21,32.0,28,362.61,0.576,25,32,0.05,60,7,56.029,57,15,56.1,36.8,6
6.325,15,21,34.0,26,321.45,0.622,24,23,0.122,49,14,46.476,47,6,48.9,44.7,12
5.935,15,23,36.0,28,349.51,0.609,26,27,0.145,55,14,52.243,53,8,50.9,43.4,12
7.5,4,20,30.5,27,381.65,0.559,26,35,0.226,62,6,60.174,61,16,57.4,32.8,5
5.801,14,19,34.0,26,340.47,0.608,25,24,0.2,50,14,48.898,49,5,49.0,38.8,12
9.699,15,26,46.0,37,484.71,0.633,33,30,0.149,67,17,62.876,63,11,47.6,41.3,16
5.29,4,11,16.5,14,180.3,0.555,13,18,0.031,32,5,30.44,31,7,58.1,35.5,5
5.367,7,17,29.0,25,326.4,0.607,23,21,0.087,46,7,44.789,44,10,47.7,38.6,6
8.6,6,19,40.0,34,487.67,0.608,32,29,0.254,63,11,62.229,61,13,47.5,31.1,10
4.67,4,10,15.5,13,166.27,0.56,12,16,0.034,29,5,27.556,28,6,57.1,35.7,5
4.86,4,11,16.5,14,180.3,0.555,13,18,0.031,32,5,30.44,31,7,58.1,35.5,5
5.19,4,10,15.5,13,166.27,0.56,12,16,0.034,29,5,27.556,28,6,57.1,35.7,5
6.415,6,21,32.0,28,362.61,0.576,25,32,0.05,60,7,56.029,57,15,56.1,36.8,6
6.455,15,22,38.0,29,351.45,0.638,26,22,0.098,51,17,47.989,48,7,45.8,45.8,16
5.36,4,11,16.5,14,180.3,0.555,13,18,0.031,32,5,30.44,31,7,58.1,35.5,5
5.93,12,21,35.0,28,356.55,0.612,25,26,0.056,54,13,50.378,51,9,51.0,41.2,12
6.05,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
7.02,6,19,29.0,25,336.57,0.571,23,30,0.073,55,7,52.145,53,13,56.6,35.8,6
6.0,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
6.524,12,17,28.0,22,284.46,0.624,20,20,0.095,42,12,39.232,40,5,50.0,42.5,12
5.41,13,20,31.0,24,292.46,0.605,22,24,0.104,48,13,44.923,46,7,52.2,43.5,12
6.43,10,23,34.5,29,354.56,0.58,26,32,0.066,61,11,56.952,58,13,55.2,39.7,11
7.48,10,23,34.5,29,354.56,0.58,26,32,0.066,61,11,56.952,58,13,55.2,39.7,11
5.63,10,23,34.5,29,354.56,0.58,26,32,0.066,61,11,56.952,58,13,55.2,39.7,11
6.26,10,22,33.5,28,339.52,0.589,25,29,0.07,57,11,53.127,54,12,53.7,40.7,11
8.37,10,23,34.5,29,354.56,0.58,26,32,0.066,61,11,56.952,58,13,55.2,39.7,11
7.71,10,23,33.5,28,338.56,0.577,25,32,0.067,60,11,55.625,57,13,56.1,40.4,11
7.19,16,23,37.5,29,348.5,0.616,26,26,0.073,55,17,51.301,52,7,50.0,44.2,17
7.81,10,23,34.5,29,354.56,0.58,26,32,0.066,61,11,56.952,58,13,55.2,39.7,11
5.51,10,22,33.5,28,339.52,0.589,25,29,0.07,57,11,53.127,54,12,53.7,40.7,11
8.4,10,22,33.5,28,339.52,0.589,25,29,0.07,57,11,53.127,54,12,53.7,40.7,11
6.8,16,22,35.5,27,317.46,0.628,24,23,0.08,50,17,46.149,47,6,48.9,46.8,17
7.26,10,22,33.5,28,339.52,0.589,25,29,0.07,57,11,53.127,54,12,53.7,40.7,11
6.21,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
6.98,16,22,36.5,28,333.46,0.63,25,23,0.078,51,17,47.476,48,6,47.9,45.8,17
7.11,10,22,32.5,27,323.52,0.587,24,29,0.071,56,11,51.8,53,12,54.7,41.5,11
6.191,14,22,42.0,34,444.54,0.612,32,28,0.194,62,14,60.974,60,8,46.7,36.7,12
6.521,15,24,44.0,35,422.52,0.63,31,26,0.082,61,17,57.443,57,9,45.6,42.1,16
7.42,16,23,36.5,28,332.5,0.614,25,26,0.074,54,17,49.974,51,7,51.0,45.1,17
7.85,10,22,33.5,28,339.52,0.589,25,29,0.07,57,11,53.127,54,12,53.7,40.7,11
5.341,6,20,26.0,23,337.63,0.55,23,35,0.207,58,6,56.527,58,14,60.3,34.5,6
6.1,3,22,30.0,28,345.58,0.557,25,35,0.032,63,2,58.778,60,19,58.3,36.7,0
4.0,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
5.324,14,21,38.0,30,350.45,0.634,26,22,0.038,52,16,48.022,48,7,45.8,43.8,16
4.52,0,11,14.0,14,202.36,0.513,14,24,0.053,38,0,37.418,38,11,63.2,28.9,0
4.59,0,11,14.0,14,202.36,0.513,14,24,0.053,38,0,37.418,38,11,63.2,28.9,0
4.27,0,12,15.0,15,216.39,0.513,15,26,0.049,41,0,40.301,41,12,63.4,29.3,0
4.0,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
4.0,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
4.03,0,9,12.0,12,174.3,0.514,12,20,0.063,32,0,31.651,32,9,62.5,28.1,0
4.35,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
4.0,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
4.24,0,11,14.0,14,202.36,0.513,14,24,0.053,38,0,37.418,38,11,63.2,28.9,0
4.06,0,11,14.0,14,202.36,0.513,14,24,0.053,38,0,37.418,38,11,63.2,28.9,0
4.51,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
5.0,14,21,36.5,28,350.51,0.608,26,26,0.093,54,17,51.454,52,7,50.0,40.4,17
7.268,15,23,42.0,33,392.49,0.636,29,24,0.07,57,17,53.232,53,8,45.3,43.4,16
6.3,15,22,41.0,32,378.46,0.643,28,22,0.056,54,17,50.349,50,7,44.0,44.0,16
6.477,15,22,41.0,32,378.46,0.643,28,22,0.074,54,17,50.349,50,7,44.0,44.0,16
5.523,6,14,27.0,22,258.36,0.608,19,18,0.025,40,10,36.92,37,8,48.6,37.8,10
6.6,6,14,23.0,20,286.22,0.632,18,17,0.108,37,6,35.029,35,8,48.6,40.0,6
4.0,0,10,13.0,13,188.33,0.514,13,22,0.057,35,0,34.534,35,10,62.9,28.6,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
4.0,0,9,15.0,14,203.34,0.562,13,17,0.032,31,1,29.902,30,9,56.7,30.0,0
6.444,15,24,43.0,34,406.52,0.629,30,26,0.083,60,17,56.116,56,9,46.4,42.9,16
5.824,15,23,43.0,34,408.49,0.637,30,24,0.086,58,17,54.56,54,8,44.4,42.6,16
5.579,21,28,51.0,39,454.56,0.654,34,26,0.077,65,23,60.116,60,7,43.3,46.7,22
5.003,15,21,39.0,30,348.43,0.651,26,20,0.04,50,17,46.138,46,6,43.5,45.7,16
5.789,15,24,43.0,34,406.52,0.629,30,26,0.083,60,17,56.116,56,9,46.4,42.9,16
5.688,15,24,43.0,34,406.52,0.629,30,26,0.067,60,17,56.116,56,9,46.4,42.9,16
8.276,14,20,30.0,23,277.44,0.609,21,23,0.065,46,13,42.821,44,6,52.3,45.5,12
5.44,15,25,42.0,33,645.35,0.645,31,29,0.177,62,17,59.476,60,10,48.3,41.7,16
7.481,1,9,14.0,13,169.25,0.561,12,15,0.071,28,1,26.942,27,8,55.6,33.3,0
8.548,12,17,28.0,22,284.46,0.624,20,20,0.071,42,12,39.232,40,5,50.0,42.5,12
5.685,12,18,29.0,23,264.4,0.62,20,20,0.0,43,12,39.156,40,6,50.0,45.0,12
5.102,1,9,14.0,13,169.25,0.561,12,15,0.071,28,1,26.942,27,8,55.6,33.3,0
6.497,12,18,28.0,22,266.42,0.603,20,22,0.068,44,12,41.04,42,6,52.4,42.9,12
5.998,19,25,40.0,30,372.58,0.606,28,30,0.067,60,16,56.734,58,6,51.7,43.1,12
6.429,12,17,26.0,20,255.39,0.6,19,21,0.146,41,12,39.265,40,5,52.5,42.5,12
5.07,1,7,10.0,9,146.24,0.515,10,16,0.16,25,1,25.883,26,6,61.5,26.9,0
7.174,3,9,16.5,14,182.25,0.579,13,14,0.071,28,5,27.16,27,6,51.9,33.3,5
7.523,3,10,19.5,15,192.24,0.619,14,12,0.074,27,6,26.276,26,5,46.2,38.5,5
4.959,9,19,31.0,26,331.45,0.596,24,25,0.118,51,8,49.014,49,10,51.0,38.8,6
4.79,8,18,30.0,25,333.49,0.612,23,23,0.104,48,8,45.88,46,10,50.0,39.1,6
6.814,12,17,29.0,23,318.9,0.645,21,19,0.095,42,12,39.556,40,5,47.5,42.5,12
10.155,12,26,40.0,33,425.69,0.594,30,35,0.088,68,13,63.854,65,14,53.8,40.0,12
9.481,14,26,43.0,34,439.67,0.606,31,33,0.09,67,15,63.298,64,12,51.6,40.6,12
7.779,11,17,31.5,25,312.48,0.631,22,20,0.022,45,12,41.552,42,6,47.6,40.5,11
8.043,13,25,43.0,34,441.64,0.612,31,31,0.092,65,15,61.741,62,12,50.0,40.3,12
6.779,13,21,37.0,30,383.56,0.625,27,25,0.109,55,13,51.756,52,8,48.1,40.4,12
7.73,12,25,45.0,35,453.66,0.615,32,31,0.091,66,15,62.734,63,12,49.2,39.7,12
5.46,12,22,39.0,33,437.58,0.624,30,26,0.102,59,12,56.734,56,10,46.4,39.3,12
5.866,12,20,34.0,28,373.99,0.63,25,24,0.077,52,12,48.425,49,8,49.0,40.8,12
4.323,3,8,13.0,11,155.22,0.567,11,13,0.083,24,2,24.058,24,5,54.2,33.3,0
5.04,7,14,25.0,19,281.79,0.616,19,18,0.108,37,8,37.193,37,5,48.6,37.8,6
5.703,13,23,38.0,30,400.01,0.603,28,30,0.15,60,16,57.327,58,10,51.7,39.7,16
5.445,0,19,22.0,22,277.55,0.527,20,35,0.07,57,0,53.123,55,19,63.6,34.5,0
5.487,7,16,24.0,20,260.42,0.571,19,24,0.068,44,7,42.251,43,9,55.8,37.2,6
5.301,1,12,19.0,16,206.32,0.575,15,18,0.059,34,2,32.6,33,9,54.5,36.4,0
8.93,13,21,33.0,26,324.48,0.601,24,26,0.096,52,13,49.301,50,8,52.0,42.0,12
5.673,15,18,34.5,26,381.7,0.704,24,15,0.146,41,17,39.571,39,3,38.5,46.2,17
5.58,12,17,28.0,22,306.25,0.66,20,17,0.051,39,12,36.702,37,5,45.9,45.9,12
5.658,1,14,20.0,19,237.38,0.556,17,23,0.071,42,1,39.476,40,13,57.5,35.0,0
5.317,20,26,40.0,30,371.56,0.616,28,29,0.136,59,19,55.8,57,6,50.9,45.6,18
6.511,7,14,23.0,19,231.32,0.608,17,17,0.083,36,7,33.825,34,7,50.0,41.2,6
6.468,13,17,32.0,25,312.83,0.656,22,17,0.024,42,13,38.916,39,4,43.6,43.6,12
6.214,7,15,24.0,20,245.35,0.6,18,19,0.077,39,7,36.709,37,8,51.4,40.5,6
6.903,12,18,27.0,21,269.42,0.594,20,23,0.136,44,12,42.149,43,6,53.5,41.9,12
5.495,15,18,35.5,27,416.14,0.725,25,14,0.146,41,17,39.895,39,3,35.9,46.2,17
5.2,4,9,13.5,11,154.26,0.544,11,16,0.074,27,5,26.556,27,5,59.3,33.3,5
6.567,12,21,31.0,25,309.49,0.592,23,27,0.115,52,12,48.916,50,9,54.0,42.0,12
5.782,20,26,41.0,31,406.0,0.631,29,28,0.153,59,19,56.123,57,6,49.1,45.6,18
5.796,1,8,11.0,10,160.27,0.515,11,18,0.143,28,1,28.767,29,7,62.1,27.6,0
7.6,13,19,37.0,29,351.45,0.633,26,21,0.04,50,14,47.232,47,6,44.7,40.4,12
