pXC50,MW,SCBO,nSK,nBO,nAB,Sp,nBM,Se,nAT,nCsp2,Si,nHet,nO,nC,nBT,nS,O.,Mi,RBF,RBN,N.,Sv,nDB,nH,AMW,C.
5.83,422.55,44.0,31,35,16,38.006,17,58.178,58,14,65.734,7,2,24,62,0,3.4,1.133,0.065,4,6.9,36.22,1,27,7.285,41.4
8.0,402.37,35.0,25,28,10,33.199,12,48.581,49,11,55.113,5,1,20,52,0,2.0,1.125,0.058,3,6.1,30.599,2,24,8.212,40.8
5.632,233.39,21.0,17,18,6,24.836,6,39.149,40,6,45.275,2,1,15,41,0,2.5,1.132,0.098,4,2.5,22.531,0,23,5.835,37.5
7.398,212.32,23.5,16,18,11,21.341,11,31.389,32,10,35.903,2,0,14,34,0,0.0,1.122,0.029,1,6.3,19.73,0,16,6.635,43.8
5.0,212.27,25.5,16,18,15,19.273,15,27.949,28,11,31.282,3,1,13,30,0,3.6,1.117,0.033,1,7.1,18.392,0,12,7.581,46.4
5.678,212.32,23.5,16,18,11,21.341,11,31.389,32,10,35.903,2,0,14,34,0,0.0,1.122,0.029,1,6.3,19.73,0,16,6.635,43.8
6.775,275.48,24.0,20,21,6,30.12,6,47.8,49,6,55.521,2,1,18,50,0,2.0,1.133,0.12,6,2.0,27.111,0,29,5.622,36.7
7.194,352.55,31.0,24,26,6,32.921,8,51.749,52,6,58.942,6,3,18,54,1,5.8,1.134,0.093,5,3.8,30.223,2,28,6.78,34.6
5.0,310.41,34.0,23,26,16,28.052,16,41.989,42,13,47.655,5,0,18,45,0,0.0,1.135,0.067,3,9.5,26.683,0,19,7.391,42.9
5.0,320.48,35.0,24,27,16,31.637,16,47.243,48,13,54.145,4,0,20,51,0,0.0,1.128,0.078,4,8.3,29.354,0,24,6.677,41.7
5.0,360.42,37.0,26,29,16,29.688,16,45.898,45,13,51.749,7,0,19,48,0,0.0,1.15,0.063,3,8.9,28.977,0,19,8.009,42.2
5.0,322.45,35.0,24,27,16,30.33,16,45.687,46,13,51.939,5,1,19,49,0,2.2,1.129,0.082,4,8.7,28.542,0,22,7.01,41.3
5.0,338.52,35.0,24,27,16,31.523,16,45.436,46,13,51.65,5,0,19,49,1,0.0,1.123,0.082,4,8.7,29.014,0,22,7.359,41.3
5.0,368.52,43.0,28,32,22,35.637,22,51.243,52,19,58.145,4,0,24,56,0,0.0,1.118,0.071,4,7.7,33.354,0,24,7.087,46.2
5.0,334.51,36.0,25,28,16,33.398,16,50.127,51,13,57.56,4,0,21,54,0,0.0,1.129,0.093,5,7.8,30.88,0,26,6.559,41.2
5.0,310.41,34.0,23,26,16,28.052,16,41.989,42,13,47.655,5,0,18,45,0,0.0,1.135,0.067,3,9.5,26.683,0,19,7.391,42.9
6.073,184.26,22.0,14,16,10,17.818,11,25.622,26,9,29.073,2,0,12,28,0,0.0,1.118,0.0,0,7.7,16.677,1,12,7.087,46.2
5.0,318.46,36.0,24,27,16,30.875,17,45.36,46,15,51.73,4,0,20,49,0,0.0,1.125,0.082,4,8.7,28.827,1,22,6.923,43.5
5.0,175.26,18.0,13,14,6,16.824,7,25.723,26,6,29.571,3,0,10,27,0,0.0,1.137,0.074,2,11.5,15.698,1,13,6.741,38.5
5.0,462.63,48.5,34,38,21,42.324,21,64.938,65,16,73.937,8,1,26,69,0,1.5,1.137,0.13,9,9.2,40.075,0,31,7.117,40.0
5.0,219.34,22.0,16,17,10,21.938,10,34.542,35,8,39.735,3,1,13,36,0,2.9,1.135,0.083,3,5.7,20.235,0,19,6.267,37.1
5.471,503.64,52.0,37,40,18,45.222,20,68.239,68,19,76.821,7,2,30,71,0,2.9,1.13,0.141,10,4.4,43.162,1,31,7.406,44.1
6.569,372.9,37.0,26,29,16,32.637,16,48.087,48,14,54.057,5,1,21,51,0,2.1,1.126,0.098,5,4.2,30.763,0,22,7.769,43.8
5.0,214.29,24.0,16,18,10,20.034,11,29.833,30,9,33.697,3,1,13,32,0,3.3,1.123,0.031,1,6.7,18.918,1,14,7.143,43.3
6.545,352.49,37.0,26,29,16,33.54,16,50.647,51,14,57.528,4,1,22,54,0,2.0,1.128,0.093,5,3.9,31.463,0,25,6.912,43.1
6.456,350.5,37.0,26,29,16,34.057,16,51.461,52,14,58.398,4,2,22,55,0,3.8,1.123,0.109,6,3.8,31.794,0,26,6.74,42.3
5.0,214.29,24.0,16,18,10,20.034,11,29.833,30,9,33.697,3,1,13,32,0,3.3,1.123,0.031,1,6.7,18.918,1,14,7.143,43.3
5.717,288.4,28.5,21,23,11,27.017,11,41.88,42,10,47.698,4,1,17,44,0,2.4,1.136,0.114,5,4.8,25.409,0,21,6.867,40.5
7.569,335.49,36.0,25,29,10,32.847,12,49.352,50,11,56.272,4,1,21,54,0,2.0,1.125,0.019,1,6.0,30.574,2,25,6.71,42.0
5.513,351.43,29.0,23,24,6,27.205,8,44.418,43,6,49.633,8,3,15,44,1,7.0,1.154,0.114,5,2.3,26.298,2,20,8.173,34.9
8.3,518.76,56.0,39,42,24,51.421,26,75.756,77,26,86.261,5,1,34,80,0,1.3,1.12,0.163,13,5.2,47.756,2,38,6.737,44.2
7.1,527.82,52.0,39,42,18,53.915,19,82.516,84,19,94.633,5,2,34,87,0,2.4,1.127,0.172,15,3.6,49.557,1,45,6.284,40.5
6.2,491.73,53.0,37,40,24,49.415,25,72.654,74,25,82.763,4,1,33,77,0,1.4,1.118,0.156,12,4.1,45.735,1,37,6.645,44.6
6.6,523.83,53.0,39,43,18,54.461,19,82.188,84,19,94.424,4,1,35,88,0,1.2,1.124,0.136,12,3.6,49.842,1,45,6.236,41.7
8.0,460.66,48.0,33,38,16,41.512,18,60.734,61,15,68.686,8,1,25,66,1,1.6,1.126,0.061,4,9.8,38.825,2,28,7.552,41.0
5.0,191.26,20.0,14,15,10,17.279,10,27.051,27,7,30.78,4,1,10,28,0,3.7,1.14,0.071,2,11.1,16.413,0,13,7.084,37.0
6.758,176.24,19.0,13,14,10,16.273,10,24.949,25,8,28.282,3,1,10,26,0,4.0,1.131,0.077,2,8.0,15.392,0,12,7.05,40.0
7.004,181.64,17.0,12,13,6,14.159,7,20.28,20,7,22.685,4,0,8,21,0,0.0,1.134,0.0,0,15.0,13.472,1,8,9.082,40.0
8.328,239.73,21.0,16,17,6,19.898,7,30.258,30,7,34.14,5,1,11,31,0,3.3,1.138,0.032,1,10.0,18.767,1,14,7.991,36.7
5.0,405.53,37.0,29,31,12,36.665,12,58.363,58,12,66.034,6,3,23,60,0,5.2,1.139,0.133,8,1.7,34.834,0,29,6.992,39.7
7.595,233.35,22.0,17,18,6,22.563,7,35.702,36,7,41.026,4,1,13,37,0,2.8,1.14,0.081,3,8.3,20.993,1,19,6.482,36.1
6.914,215.33,22.0,16,18,6,21.347,7,32.491,33,7,37.401,3,0,13,35,0,0.0,1.133,0.057,2,9.1,19.752,1,17,6.525,39.4
6.724,217.35,21.0,16,17,6,22.108,7,34.374,35,7,39.817,3,0,13,36,0,0.0,1.138,0.111,4,8.6,20.279,1,19,6.21,37.1
6.788,245.36,24.0,18,20,6,23.563,7,36.702,37,7,42.026,4,1,14,39,0,2.7,1.136,0.077,3,8.1,21.993,1,19,6.631,37.8
6.554,286.42,28.0,21,23,6,27.33,8,42.687,43,8,48.939,5,1,16,45,0,2.3,1.138,0.044,2,9.3,25.542,2,22,6.661,37.2
7.55,255.3,23.0,18,19,6,20.676,7,33.843,33,7,38.29,6,1,12,34,0,3.0,1.16,0.088,3,9.1,20.233,1,15,7.736,36.4
7.018,261.36,25.0,19,21,6,24.017,7,38.029,38,7,43.235,5,2,14,40,0,5.3,1.138,0.075,3,7.9,22.708,1,19,6.878,36.8
8.796,195.67,18.0,13,14,6,15.921,7,23.164,23,7,26.1,4,0,9,24,0,0.0,1.135,0.0,0,13.0,14.999,1,10,8.507,39.1
7.703,259.71,22.0,17,18,6,19.318,7,29.956,29,7,33.61,6,0,11,30,0,0.0,1.159,0.067,2,10.3,18.819,1,12,8.956,37.9
8.201,191.26,19.0,14,15,6,17.279,7,27.051,27,7,30.78,4,1,10,28,0,3.7,1.14,0.036,1,11.1,16.413,1,13,7.084,37.0
6.0,326.86,33.0,23,26,12,28.972,13,41.8,42,13,47.259,5,0,18,45,0,0.0,1.125,0.022,1,9.5,27.128,1,19,7.782,42.9
5.0,334.5,36.0,25,28,16,33.603,16,50.134,51,14,57.188,3,1,22,54,0,2.0,1.121,0.093,5,3.9,31.079,0,26,6.559,43.1
5.5,412.58,46.0,31,35,22,39.614,22,58.338,59,18,66.185,5,1,26,63,0,1.7,1.122,0.095,6,6.8,37.122,0,28,6.993,44.1
5.0,373.51,35.0,27,29,6,33.767,9,54.211,54,9,61.687,8,3,19,56,0,5.6,1.142,0.125,7,9.3,32.046,3,27,6.917,35.2
8.244,294.15,23.0,18,19,6,20.176,7,30.28,29,7,33.554,7,0,11,30,0,0.0,1.157,0.067,2,10.3,19.647,1,11,10.143,37.9
6.312,243.26,22.0,17,18,6,18.398,7,30.145,29,7,34.005,6,0,11,30,0,0.0,1.173,0.067,2,10.3,18.375,1,12,8.388,37.9
8.0,449.37,35.0,25,28,10,34.506,12,48.421,49,11,54.992,5,1,20,52,0,2.0,1.122,0.058,3,6.1,30.891,2,24,9.171,40.8
6.721,335.49,36.0,25,28,16,32.847,16,49.352,50,14,56.272,4,1,21,53,0,2.0,1.125,0.094,5,6.0,30.574,0,25,6.71,42.0
5.0,322.45,35.0,24,27,16,30.33,16,45.687,46,13,51.939,5,1,19,49,0,2.2,1.129,0.082,4,8.7,28.542,0,22,7.01,41.3
7.577,244.14,20.0,15,16,6,18.54,7,26.371,26,7,29.459,5,0,10,27,0,0.0,1.133,0.037,1,11.5,17.353,1,11,9.39,38.5
5.0,186.28,21.0,14,16,10,18.58,10,27.505,28,8,31.488,2,0,12,30,0,0.0,1.125,0.0,0,7.1,17.204,0,14,6.653,42.9
6.382,195.67,18.0,13,14,6,15.921,7,23.164,23,7,26.1,4,0,9,24,0,0.0,1.135,0.0,0,13.0,14.999,1,10,8.507,39.1
7.658,581.73,62.0,43,50,16,51.722,20,78.4,78,19,87.767,10,5,33,85,0,6.4,1.125,0.047,4,6.4,49.583,4,35,7.458,42.3
6.733,330.51,37.0,25,28,16,34.148,17,49.807,51,16,56.979,2,0,23,54,0,0.0,1.117,0.093,5,3.9,31.364,1,26,6.481,45.1
7.654,283.36,25.0,20,21,6,24.199,7,39.611,39,7,45.121,6,1,14,40,0,2.6,1.157,0.1,4,7.7,23.287,1,19,7.266,35.9
5.653,339.42,35.0,25,29,12,30.438,12,46.247,46,12,51.488,5,4,20,50,0,8.7,1.119,0.04,2,2.2,29.149,0,21,7.379,43.5
5.0,343.54,34.0,24,27,14,32.495,14,48.429,49,9,55.192,5,1,19,52,1,2.0,1.126,0.096,5,6.1,29.761,0,25,7.011,38.8
5.0,432.54,41.0,31,33,12,37.881,14,60.723,60,12,68.196,8,5,23,62,0,8.3,1.137,0.145,9,3.3,36.375,2,29,7.209,38.3
5.0,401.57,37.0,29,31,12,38.489,12,60.734,61,12,69.109,5,3,24,63,0,4.9,1.133,0.127,8,1.6,35.978,0,32,6.583,39.3
6.301,427.31,30.0,23,24,12,31.404,12,44.872,45,12,50.414,5,3,18,46,0,6.7,1.12,0.174,8,2.2,28.277,0,22,9.496,40.0
5.0,415.55,39.0,30,32,12,38.182,13,60.178,60,13,67.904,6,4,24,62,0,6.7,1.132,0.145,9,1.7,36.166,1,30,6.926,40.0
5.774,399.55,38.0,29,31,12,37.728,13,58.85,59,13,66.694,5,3,24,61,0,5.1,1.13,0.131,8,1.7,35.451,1,30,6.772,40.7
5.0,417.57,38.0,30,32,12,38.944,12,62.061,62,12,70.319,6,4,24,64,0,6.5,1.134,0.141,9,1.6,36.693,0,32,6.735,38.7
5.0,430.52,42.0,31,33,12,37.12,15,58.84,58,13,65.781,8,5,23,60,0,8.6,1.134,0.15,9,3.4,35.848,3,27,7.423,39.7
5.9,453.66,45.5,32,35,17,41.688,19,62.734,63,15,70.856,7,3,25,66,1,4.8,1.125,0.121,8,4.8,38.771,2,31,7.201,39.7
5.0,226.26,27.0,17,19,16,18.762,16,27.385,27,12,30.448,5,1,12,29,0,3.7,1.128,0.034,1,14.8,18.381,0,10,8.38,44.4
4.699,395.47,41.0,29,32,12,33.932,15,51.636,51,15,57.615,7,3,22,54,0,5.9,1.13,0.093,5,5.9,32.86,3,22,7.754,43.1
5.0,421.34,36.0,26,28,10,31.387,13,47.563,47,11,53.572,9,2,17,49,0,4.3,1.14,0.143,7,12.8,29.798,3,21,8.965,36.2
5.167,405.53,37.0,29,31,12,36.665,12,58.363,58,12,66.034,6,3,23,60,0,5.2,1.139,0.133,8,1.7,34.834,0,29,6.992,39.7
5.8,403.51,38.0,29,31,12,35.904,13,56.48,56,13,63.619,6,3,23,58,0,5.4,1.136,0.138,8,1.8,34.308,1,27,7.206,41.1
4.066,299.81,25.0,20,20,6,23.921,8,38.665,38,6,44.133,9,1,11,38,0,2.6,1.161,0.132,5,18.4,22.853,2,18,7.89,28.9
5.8,479.7,48.5,34,38,17,44.449,19,66.618,67,15,75.271,7,3,27,71,1,4.5,1.123,0.099,7,4.5,41.298,2,33,7.16,40.3
8.0,511.82,51.0,38,41,18,53.461,19,81.188,83,19,93.424,4,1,34,86,0,1.2,1.126,0.163,14,3.6,48.842,1,45,6.167,41.0
6.334,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
6.093,181.64,17.0,12,13,6,14.159,7,20.28,20,7,22.685,4,0,8,21,0,0.0,1.134,0.0,0,15.0,13.472,1,8,9.082,40.0
5.747,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.042,1,13.0,14.171,1,11,7.01,39.1
5.862,177.23,18.0,13,14,6,15.517,7,24.167,24,7,27.365,4,1,9,25,0,4.2,1.14,0.04,1,12.5,14.886,1,11,7.385,37.5
6.189,165.19,17.0,12,13,6,13.239,7,20.469,20,7,23.08,4,0,8,21,0,0.0,1.154,0.0,0,15.0,13.028,1,8,8.26,40.0
6.562,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
6.04,165.19,17.0,12,13,6,13.239,7,20.469,20,7,23.08,4,0,8,21,0,0.0,1.154,0.0,0,15.0,13.028,1,8,8.26,40.0
5.0,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
6.708,189.29,19.0,14,15,6,18.586,7,28.607,29,7,32.986,3,0,11,30,0,0.0,1.137,0.067,2,10.3,17.225,1,15,6.527,37.9
6.839,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
6.775,488.1,47.0,33,37,16,42.546,18,63.058,63,14,70.8,8,3,25,67,1,4.8,1.124,0.104,7,4.8,39.598,2,30,7.748,39.7
6.46,181.64,17.0,12,13,6,14.159,7,20.28,20,7,22.685,4,0,8,21,0,0.0,1.134,0.0,0,15.0,13.472,1,8,9.082,40.0
6.26,165.19,17.0,12,13,6,13.239,7,20.469,20,7,23.08,4,0,8,21,0,0.0,1.154,0.0,0,15.0,13.028,1,8,8.26,40.0
5.701,165.19,17.0,12,13,6,13.239,7,20.469,20,7,23.08,4,0,8,21,0,0.0,1.154,0.0,0,15.0,13.028,1,8,8.26,40.0
7.42,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
8.167,259.71,22.0,17,18,6,19.318,7,29.956,29,7,33.61,6,0,11,30,0,0.0,1.159,0.067,2,10.3,18.819,1,12,8.956,37.9
4.034,243.43,23.0,18,20,6,27.143,6,41.705,43,6,48.481,1,0,17,45,0,0.0,1.127,0.044,2,2.3,24.343,0,25,5.661,39.5
7.013,177.23,18.0,13,14,6,15.517,7,24.167,24,7,27.365,4,1,9,25,0,4.2,1.14,0.04,1,12.5,14.886,1,11,7.385,37.5
5.0,351.45,38.0,26,29,16,32.228,17,47.989,48,15,53.824,4,2,22,51,0,4.2,1.121,0.098,5,2.1,30.629,1,22,7.322,45.8
7.004,181.64,17.0,12,13,6,14.159,7,20.28,20,7,22.685,4,0,8,21,0,0.0,1.134,0.0,0,15.0,13.472,1,8,9.082,40.0
6.182,147.2,16.0,11,12,6,13.301,7,19.956,20,7,22.741,3,0,8,21,0,0.0,1.137,0.0,0,15.0,12.645,1,9,7.36,40.0
6.055,161.23,17.0,12,13,6,15.063,7,22.84,23,7,26.156,3,0,9,24,0,0.0,1.137,0.0,0,13.0,14.171,1,11,7.01,39.1
5.931,175.26,18.0,13,14,6,16.824,7,25.723,26,7,29.571,3,0,10,27,0,0.0,1.137,0.0,0,11.5,15.698,1,13,6.741,38.5
5.602,247.42,22.0,18,19,6,26.597,6,42.032,43,6,48.69,2,1,16,44,0,2.3,1.132,0.114,5,2.3,24.058,0,25,5.754,37.2
4.034,360.65,32.5,21,23,17,25.034,18,32.276,32,16,35.357,5,0,16,34,0,0.0,1.105,0.088,3,9.4,23.551,1,11,11.27,50.0
5.0,350.51,36.5,26,28,17,33.853,17,51.454,52,14,58.77,5,1,21,54,0,1.9,1.13,0.093,5,7.7,31.595,0,26,6.741,40.4
5.0,202.28,22.0,15,17,10,19.034,10,28.833,29,8,32.697,3,1,12,31,0,3.4,1.127,0.032,1,6.9,17.918,0,14,6.975,41.4
5.0,200.26,23.0,15,17,10,18.273,11,26.949,27,9,30.282,3,1,12,29,0,3.7,1.122,0.034,1,7.4,17.392,1,12,7.417,44.4
6.0,321.18,18.0,15,15,6,21.665,6,30.894,31,6,34.959,4,2,11,31,0,6.5,1.128,0.129,4,3.2,18.982,0,16,10.361,35.5
4.981,232.36,23.0,17,18,10,23.319,10,36.483,37,8,41.943,3,1,14,38,0,2.7,1.134,0.105,4,5.4,21.499,0,20,6.28,37.8
5.287,294.43,32.0,22,24,16,29.08,16,43.367,44,14,49.358,3,1,19,46,0,2.3,1.122,0.109,5,4.5,27.026,0,22,6.692,43.2
5.0,197.28,17.0,14,14,6,18.489,6,30.011,30,6,34.369,3,1,11,30,0,3.3,1.146,0.167,5,3.3,17.334,0,16,6.576,36.7
9.0,356.6,33.0,24,27,12,33.682,12,47.076,48,12,53.404,4,0,20,51,2,0.0,1.113,0.039,2,4.2,30.212,0,24,7.429,41.7
6.74,488.1,47.0,33,37,16,42.546,18,63.058,63,14,70.8,8,3,25,67,1,4.8,1.124,0.104,7,4.8,39.598,2,30,7.748,39.7
7.573,338.46,36.0,25,28,16,31.779,16,47.763,48,14,54.113,4,1,21,51,0,2.1,1.127,0.098,5,4.2,29.936,0,23,7.051,43.8
5.301,281.42,27.0,19,20,10,24.665,12,38.105,38,8,43.155,6,2,13,39,1,5.3,1.136,0.128,5,7.9,22.895,2,19,7.406,34.2
6.699,367.54,37.0,27,30,10,35.824,12,55.447,56,11,63.311,5,2,22,59,0,3.6,1.131,0.085,5,5.4,33.342,2,29,6.563,39.3
6.7,555.72,63.0,42,47,30,51.802,31,74.541,75,30,83.351,6,3,36,80,0,4.0,1.111,0.138,11,4.0,49.111,1,33,7.41,48.0
