pXC50,nC,nSK,MW,Sv,SCBO,Sp,nBO,Se,nO,N.,nAB,O.,nBM,nCsp2,Si,nHet,nAT,nBT,nH,nS,nCL,nDB,RBN,AMW,C.,H.,Me,Mi
5.9,17,26,362.34,26.826,37.5,26.313,28,40.902,2,10.3,17,5.1,18,15,44.922,9,39,41,13,0,0,1,3,9.291,43.6,33.3,1.049,1.152
6.5,14,19,271.72,20.714,30.0,21.375,21,29.491,1,10.3,16,3.4,17,14,32.309,5,29,31,10,0,1,1,2,9.37,48.3,34.5,1.017,1.114
5.9,16,22,314.8,24.789,32.5,25.904,24,37.36,1,10.8,17,2.7,17,13,41.638,6,37,39,15,0,1,0,5,8.508,43.2,40.5,1.01,1.125
5.9,22,29,403.52,32.365,46.5,33.944,34,47.283,0,10.6,25,0.0,25,18,52.658,7,47,52,18,1,0,0,4,8.586,46.8,38.3,1.006,1.12
5.9,21,26,343.41,29.181,41.0,30.256,29,43.145,2,7.0,22,4.7,23,20,47.82,5,43,46,17,0,0,1,4,7.986,48.8,39.5,1.003,1.112
6.2,20,24,313.38,26.94,39.0,28.04,27,38.934,1,7.7,22,2.6,23,20,43.196,4,39,42,15,0,0,1,3,8.035,51.3,38.5,0.998,1.108
6.8,19,24,321.38,26.85,36.0,27.739,26,40.331,1,7.5,18,2.5,19,18,44.95,5,40,42,16,0,0,1,5,8.034,47.5,40.0,1.008,1.124
5.9,28,35,483.69,41.33,52.0,44.267,38,63.516,1,7.8,22,1.6,24,20,71.603,7,64,67,29,1,0,1,5,7.558,43.8,45.3,0.992,1.119
6.5,23,34,474.54,37.503,46.0,38.131,38,60.523,2,10.2,12,3.4,14,12,67.995,11,59,63,25,0,0,2,6,8.043,39.0,42.4,1.026,1.152
7.9,16,21,281.4,24.795,31.0,26.358,23,39.694,0,12.5,16,0.0,16,12,45.398,5,40,42,19,0,0,0,5,7.035,40.0,47.5,0.992,1.135
6.3,21,28,376.45,31.444,42.5,32.478,31,48.458,3,8.3,21,6.3,22,17,53.943,7,48,51,20,0,0,1,5,7.843,43.8,41.7,1.01,1.124
6.1,31,41,560.71,47.227,58.0,49.239,46,75.545,2,8.0,22,2.7,23,20,85.316,10,75,80,34,0,0,1,7,7.476,41.3,45.3,1.007,1.138
8.6,24,29,379.5,33.321,46.5,35.12,33,49.578,0,10.0,27,0.0,27,21,55.813,5,50,54,21,0,0,0,4,7.59,48.0,42.0,0.992,1.116
5.9,19,23,317.44,26.412,37.0,28.233,26,37.683,0,7.9,22,0.0,22,18,41.906,4,38,41,15,1,0,0,4,8.354,50.0,39.5,0.992,1.103
8.9,17,24,342.87,27.644,35.0,29.222,27,43.12,0,14.0,16,0.0,16,11,48.84,7,43,46,19,0,1,0,3,7.974,39.5,44.2,1.003,1.136
9.1,23,31,428.91,33.832,49.5,34.915,35,48.563,1,12.5,27,2.1,28,22,53.634,8,48,52,17,0,1,1,5,8.936,47.9,35.4,1.012,1.117
7.5,16,21,282.38,24.488,31.0,25.807,23,38.92,1,10.3,16,2.6,16,12,44.109,5,39,41,18,0,0,0,5,7.241,41.0,46.2,0.998,1.131
5.9,21,28,375.53,32.891,40.5,34.893,31,52.665,0,13.2,17,0.0,18,15,60.225,7,53,56,25,0,0,1,5,7.085,39.6,47.2,0.994,1.136
5.9,16,23,373.23,25.174,34.5,26.091,25,36.709,2,11.1,17,5.6,18,15,40.33,7,36,38,13,0,0,1,3,10.368,44.4,36.1,1.02,1.12
6.0,23,29,383.49,33.036,45.0,34.574,32,49.905,1,10.0,22,2.0,24,21,56.023,6,50,53,21,0,0,2,6,7.67,46.0,42.0,0.998,1.12
5.9,20,27,359.42,29.697,42.0,30.506,30,44.465,2,11.4,22,4.5,23,19,49.402,7,44,47,17,0,0,1,3,8.169,45.5,38.6,1.011,1.123
5.9,29,39,545.66,43.862,58.0,45.529,43,66.949,6,4.5,24,9.1,27,25,73.654,10,66,70,27,1,0,3,7,8.268,43.9,40.9,1.014,1.116
5.9,29,39,527.69,45.143,57.0,47.302,44,72.181,3,9.7,26,4.2,26,18,81.514,10,72,77,33,0,0,0,8,7.329,40.3,45.8,1.003,1.132
5.9,13,19,291.15,20.321,29.5,21.023,21,27.705,0,14.8,17,0.0,17,13,30.127,6,27,29,8,0,2,0,2,10.783,48.1,29.6,1.026,1.116
5.9,22,28,374.45,31.398,43.0,32.506,31,47.316,1,8.5,22,2.1,23,20,52.864,6,47,50,19,0,0,1,4,7.967,46.8,40.4,1.007,1.125
5.9,21,27,376.52,31.202,41.5,33.216,30,46.88,1,8.5,21,2.1,22,18,52.444,6,47,50,20,1,0,1,5,8.011,44.7,42.6,0.997,1.116
8.3,15,24,343.81,25.799,35.5,26.398,26,38.898,1,18.4,17,2.6,18,14,43.302,9,38,40,14,0,1,1,5,9.048,39.5,36.8,1.024,1.14
5.9,20,27,359.42,29.697,42.0,30.506,30,44.465,2,11.4,22,4.5,23,19,49.402,7,44,47,17,0,0,1,3,8.169,45.5,38.6,1.011,1.123
5.9,18,24,339.45,27.369,35.5,28.904,26,41.222,2,7.3,17,4.9,18,15,45.74,6,41,43,17,1,0,1,5,8.279,43.9,41.5,1.005,1.116
5.9,23,33,454.53,36.593,47.0,37.432,36,58.127,2,10.5,22,3.5,22,16,65.24,10,57,60,24,0,0,0,7,7.974,40.4,42.1,1.02,1.145
5.9,22,31,425.54,35.761,42.5,37.222,34,58.538,4,8.6,17,6.9,17,13,65.896,9,58,61,27,0,0,0,8,7.337,37.9,46.6,1.009,1.136
5.9,13,18,278.78,20.406,26.5,21.779,20,29.349,1,6.9,11,3.4,12,10,32.146,5,29,31,11,1,1,1,1,9.613,44.8,37.9,1.012,1.108
5.9,21,27,377.85,30.009,41.5,31.114,30,43.469,2,7.0,23,4.7,23,21,47.764,6,43,46,16,0,1,0,4,8.787,48.8,37.2,1.011,1.111
6.9,23,32,439.54,34.686,53.0,35.949,37,49.534,1,14.3,30,2.0,31,22,54.694,9,49,54,17,1,0,1,4,8.97,46.9,34.7,1.011,1.116
7.5,17,24,327.43,27.751,33.0,29.029,26,45.232,2,11.1,12,4.4,13,11,51.232,7,45,47,21,0,0,1,5,7.276,37.8,46.7,1.005,1.138
5.9,17,23,315.35,25.233,34.0,25.676,25,38.843,1,7.9,16,2.6,17,14,43.29,6,38,40,15,0,0,1,4,8.299,44.7,39.5,1.022,1.139
8.0,18,25,360.88,29.084,35.0,30.642,27,46.338,2,8.7,16,4.3,16,12,52.093,7,46,48,21,0,1,0,8,7.845,39.1,45.7,1.007,1.132
8.2,17,23,329.87,27.149,33.0,28.978,25,42.902,0,11.6,16,0.0,16,12,48.757,6,43,45,20,0,1,0,5,7.671,39.5,46.5,0.998,1.134
5.9,12,17,261.75,18.659,27.0,19.807,19,25.356,0,12.0,16,0.0,16,12,27.605,5,25,27,8,1,1,0,2,10.47,48.0,32.0,1.014,1.104
6.2,15,20,273.37,23.708,27.0,25.017,21,39.029,2,7.7,6,5.1,9,9,44.235,5,39,40,19,0,0,3,3,7.009,38.5,48.7,1.001,1.134
7.6,17,24,342.46,27.39,34.0,28.909,26,42.323,2,9.5,12,4.8,14,13,47.238,7,42,44,18,1,0,2,5,8.154,40.5,42.9,1.008,1.125
6.4,19,26,348.39,28.391,40.5,28.955,29,42.691,3,9.5,21,7.1,22,17,47.113,7,42,45,16,0,0,1,3,8.295,45.2,38.1,1.016,1.122
8.801,22,29,384.45,31.673,46.5,32.54,33,46.425,0,13.0,27,0.0,27,21,51.821,7,46,50,17,0,0,0,4,8.358,47.8,37.0,1.009,1.127
5.9,24,33,448.55,37.209,47.0,38.495,37,58.614,2,10.3,12,3.4,16,15,65.9,9,58,62,25,0,0,4,4,7.734,41.4,43.1,1.011,1.136
5.9,25,36,505.6,39.609,55.0,40.801,40,60.174,5,8.5,22,8.5,26,21,66.195,11,59,63,23,1,0,4,6,8.569,42.4,39.0,1.02,1.122
6.9,16,20,267.36,23.467,29.0,24.801,22,36.818,1,8.1,12,2.7,13,12,41.611,4,37,39,17,0,0,1,3,7.226,43.2,45.9,0.995,1.125
7.8,18,23,302.36,25.434,36.0,26.284,26,37.153,1,10.8,12,2.7,16,17,41.279,5,37,40,14,0,0,4,2,8.172,48.6,37.8,1.004,1.116
5.9,22,31,420.49,34.156,46.5,34.972,35,52.847,2,11.5,21,3.8,22,16,59.07,9,52,56,21,0,0,1,4,8.086,42.3,40.4,1.016,1.136
9.0,20,26,348.41,28.871,40.0,29.745,29,43.432,1,9.3,22,2.3,22,18,48.449,6,43,46,17,0,0,0,5,8.103,46.5,39.5,1.01,1.127
5.9,17,25,367.49,27.303,39.5,28.824,28,38.524,1,13.2,21,2.6,22,16,42.202,8,38,41,13,2,0,1,3,9.671,44.7,34.2,1.014,1.111
9.801,17,24,343.85,27.337,35.0,28.671,27,42.345,1,11.9,16,2.4,16,11,47.551,7,42,45,18,0,1,0,3,8.187,40.5,42.9,1.008,1.132
5.9,21,29,390.49,32.772,43.5,34.034,32,51.334,2,11.8,21,3.9,22,16,57.73,8,51,54,22,0,0,1,7,7.657,41.2,43.1,1.007,1.132
5.9,18,24,340.49,28.202,35.5,30.216,27,43.88,1,9.1,15,2.3,16,12,49.444,6,44,47,20,1,0,1,3,7.738,40.9,45.5,0.997,1.124
5.9,20,26,363.47,29.369,40.5,30.904,29,43.222,2,7.0,21,4.7,22,18,47.74,6,43,46,17,1,0,1,5,8.453,46.5,39.5,1.005,1.11
7.5,18,29,475.36,31.119,44.0,32.205,31,45.316,3,13.6,18,6.8,21,16,49.456,11,44,46,15,1,0,2,7,10.804,40.9,34.1,1.03,1.124
8.9,23,31,428.91,33.832,49.5,34.915,35,48.563,1,12.5,27,2.1,28,22,53.634,8,48,52,17,0,1,1,5,8.936,47.9,35.4,1.012,1.117
8.699,17,23,313.42,26.705,33.0,28.057,25,43.091,0,11.6,16,0.0,16,12,49.153,6,43,45,20,0,0,0,5,7.289,39.5,46.5,1.002,1.143
5.9,20,26,355.48,31.003,35.5,32.756,28,51.007,3,5.9,11,5.9,13,12,57.69,6,51,53,25,0,0,2,9,6.97,39.2,49.0,1.0,1.131
8.801,12,17,244.7,18.494,27.0,19.165,19,26.382,0,15.4,16,0.0,16,12,29.183,5,26,28,9,0,1,0,1,9.412,46.2,34.6,1.015,1.122
5.9,23,30,400.47,33.444,46.0,34.478,34,50.458,3,8.0,22,6.0,23,20,55.943,7,50,54,20,0,0,1,6,8.009,46.0,40.0,1.009,1.119
7.7,18,23,321.78,25.241,36.0,26.137,26,35.374,1,8.6,18,2.9,19,18,38.724,5,35,38,12,0,1,1,1,9.194,51.4,34.3,1.011,1.106
6.3,29,33,435.55,38.487,51.5,40.506,37,57.687,3,1.7,27,5.2,28,25,64.109,4,58,62,25,0,0,1,7,7.509,50.0,43.1,0.995,1.105
6.6,21,28,379.48,31.946,40.0,33.273,30,50.301,1,10.0,18,2.0,19,17,56.777,7,50,52,22,0,0,1,7,7.59,42.0,44.0,1.006,1.136
5.9,21,30,428.47,31.825,45.0,32.267,33,46.534,1,8.9,22,2.2,23,20,51.048,9,45,48,15,1,0,1,3,9.522,46.7,33.3,1.034,1.134
9.2,18,28,420.97,31.787,41.0,33.54,31,49.734,2,12.2,16,4.1,18,11,55.594,10,49,52,21,1,1,2,5,8.591,36.7,42.9,1.015,1.135
5.9,26,34,469.58,37.607,53.0,39.159,38,54.494,1,9.3,28,1.9,29,25,60.282,8,54,58,20,1,0,1,4,8.696,48.1,37.0,1.009,1.116
5.9,17,26,377.37,26.465,39.5,26.193,29,37.993,2,8.3,21,5.6,21,15,40.929,9,36,39,10,1,0,0,3,10.483,47.2,27.8,1.055,1.137
7.4,18,26,365.45,28.358,42.0,29.392,29,41.658,2,12.2,22,4.9,24,18,45.906,8,41,44,15,1,0,2,4,8.913,43.9,36.6,1.016,1.12
6.6,22,29,425.97,33.25,42.0,35.284,31,49.313,2,6.1,18,4.1,20,20,54.515,7,49,51,20,1,1,2,5,8.693,44.9,40.8,1.006,1.113
5.9,22,28,383.51,31.455,46.0,33.245,32,44.887,0,11.1,26,0.0,27,22,49.903,6,45,49,17,1,0,1,3,8.522,48.9,37.8,0.997,1.109
8.9,21,26,362.89,30.128,40.0,31.972,29,44.8,0,8.9,22,0.0,22,18,50.259,5,45,48,19,0,1,0,4,8.064,46.7,42.2,0.996,1.117
5.9,25,36,506.58,38.726,54.5,39.557,40,57.436,2,10.7,27,3.6,28,23,63.33,11,56,60,20,1,0,1,5,9.046,44.6,35.7,1.026,1.131
5.9,22,28,386.51,31.675,44.0,33.455,31,45.996,1,8.7,22,2.2,24,21,51.029,6,46,49,18,1,0,2,5,8.402,47.8,39.1,1.0,1.109
5.9,19,25,368.86,27.648,38.0,28.994,28,38.56,2,5.3,18,5.3,19,18,41.771,6,38,41,13,1,1,1,2,9.707,50.0,34.2,1.015,1.099
5.9,20,29,404.49,31.379,45.0,32.398,32,45.76,2,13.3,22,4.4,24,20,50.405,9,45,48,16,1,0,2,4,8.989,44.4,35.6,1.017,1.12
5.9,20,28,375.42,30.412,43.0,30.96,31,45.793,3,11.1,16,6.7,20,18,50.611,8,45,48,17,0,0,4,4,8.343,44.4,37.8,1.018,1.125
7.9,17,23,311.43,27.036,33.0,28.574,25,43.905,1,11.4,16,2.3,16,12,50.023,6,44,46,21,0,0,0,6,7.078,38.6,47.7,0.998,1.137
5.9,24,36,492.51,37.723,54.5,37.642,40,56.865,1,14.5,27,1.8,28,22,63.121,12,55,59,19,0,0,1,4,8.955,43.6,34.5,1.034,1.148
6.2,19,30,428.52,32.862,44.0,33.83,32,51.182,4,12.0,18,8.0,21,17,56.654,11,50,52,20,1,0,3,8,8.57,38.0,40.0,1.024,1.133
8.6,14,20,288.76,22.262,30.0,23.142,22,33.476,1,12.1,16,3.0,16,12,37.223,6,33,35,13,0,1,0,4,8.75,42.4,39.4,1.014,1.128
5.9,15,20,269.33,22.655,29.5,23.495,22,35.262,2,8.6,11,5.7,13,12,39.405,5,35,37,15,0,0,2,3,7.695,42.9,42.9,1.007,1.126
8.1,18,22,287.34,24.413,35.0,25.279,25,35.051,1,8.6,18,2.9,19,18,38.78,4,35,38,13,0,0,1,1,8.21,51.4,37.1,1.001,1.108
8.4,18,23,305.33,24.796,36.0,25.216,26,35.563,1,8.6,18,2.9,19,18,39.12,5,35,38,12,0,0,1,1,8.724,51.4,34.3,1.016,1.118
7.7,17,23,304.39,25.762,36.5,26.841,26,39.029,0,15.4,21,0.0,21,15,44.066,6,39,42,16,0,0,0,3,7.805,43.6,41.0,1.001,1.13
5.9,27,36,498.66,41.013,54.5,43.205,40,62.178,2,9.7,27,3.2,28,23,69.481,9,62,66,26,1,0,1,6,8.043,43.5,41.9,1.003,1.121
6.7,18,27,380.41,28.239,42.0,28.534,30,40.327,4,10.3,10,10.3,16,16,43.412,9,39,42,12,1,0,5,3,9.754,46.2,30.8,1.034,1.113
8.5,24,32,419.48,34.499,52.5,35.301,36,49.458,1,14.3,27,2.0,29,22,54.774,8,49,53,17,0,0,1,5,8.561,49.0,34.7,1.009,1.118
5.9,20,24,317.42,27.993,36.0,29.563,26,42.702,1,7.0,18,2.3,19,18,48.026,4,43,45,19,0,0,1,5,7.382,46.5,44.2,0.993,1.117
5.9,23,30,399.46,32.893,47.5,33.75,34,48.534,1,10.4,27,2.1,27,21,53.947,7,48,52,18,0,0,0,5,8.322,47.9,37.5,1.011,1.124
6.2,13,18,238.27,19.381,29.0,19.762,20,28.385,1,14.3,16,3.6,17,13,31.448,5,28,30,10,0,0,1,2,8.51,46.4,35.7,1.014,1.123
5.9,29,35,461.61,40.617,53.5,42.858,39,61.556,1,8.1,23,1.6,26,25,69.268,6,62,66,27,0,0,3,7,7.445,46.8,43.5,0.993,1.117
8.3,14,21,284.3,22.337,32.0,22.432,23,33.924,3,12.1,16,9.1,17,12,37.282,7,33,35,12,0,0,1,4,8.615,42.4,36.4,1.028,1.13
6.1,28,32,427.58,38.541,47.0,41.029,35,60.454,3,1.6,22,4.9,23,21,67.939,4,61,64,29,0,0,1,7,7.01,45.9,47.5,0.991,1.114
5.9,22,29,390.45,32.113,44.0,32.961,32,48.643,2,8.3,22,4.2,23,20,54.073,7,48,51,19,0,0,1,4,8.134,45.8,39.6,1.013,1.127
5.9,22,29,398.53,34.22,39.5,36.006,31,56.178,2,7.1,11,3.6,14,14,63.734,7,56,58,27,0,0,3,7,7.117,39.3,48.2,1.003,1.138
5.9,20,27,360.43,29.673,42.0,30.54,31,44.425,0,13.6,22,0.0,22,16,49.821,7,44,48,17,0,0,0,5,8.192,45.5,38.6,1.01,1.132
5.9,16,20,265.34,22.94,30.5,24.04,22,34.934,1,8.6,17,2.9,17,14,39.196,4,35,37,15,0,0,0,4,7.581,45.7,42.9,0.998,1.12
7.9,22,29,427.36,33.197,43.0,35.046,32,49.334,1,8.2,22,2.0,22,18,54.827,7,49,52,20,0,2,0,6,8.722,44.9,40.8,1.007,1.119
8.9,25,34,454.53,37.487,52.5,38.489,38,56.662,3,10.7,27,5.4,28,22,62.94,9,56,60,22,0,0,1,7,8.117,44.6,39.3,1.012,1.124
5.9,28,34,453.64,40.67,50.0,43.381,39,64.323,1,7.7,22,1.5,22,18,73.099,6,65,70,31,0,0,0,7,6.979,43.1,47.7,0.99,1.125
5.9,22,28,380.45,31.839,40.0,32.926,30,49.534,3,4.1,18,6.1,19,18,55.117,6,49,51,21,0,0,1,6,7.764,44.9,42.9,1.011,1.125
6.3,14,21,282.28,21.81,33.5,21.671,23,32.04,3,12.9,17,9.7,19,14,34.867,7,31,33,10,0,0,2,3,9.106,45.2,32.3,1.034,1.125
5.9,20,30,429.9,33.008,42.0,33.796,32,51.211,4,10.0,12,8.0,15,12,56.595,10,50,52,20,0,1,2,6,8.598,40.0,40.0,1.024,1.132
5.9,21,29,392.48,32.441,43.0,33.517,32,50.52,1,12.0,22,2.0,22,16,56.861,8,50,53,21,0,0,0,6,7.85,42.0,42.0,1.01,1.137
8.6,19,27,384.79,28.029,42.0,28.017,30,39.502,1,10.5,22,2.6,23,19,42.902,8,38,41,11,0,1,1,3,10.126,50.0,28.9,1.04,1.129
5.9,33,43,585.74,48.034,67.5,50.211,49,70.28,2,10.0,33,2.9,35,29,77.979,10,70,76,27,1,0,2,8,8.368,47.1,38.6,1.004,1.114
9.0,17,24,343.85,27.337,35.0,28.671,27,42.345,1,11.9,16,2.4,16,11,47.551,7,42,45,18,0,1,0,3,8.187,40.5,42.9,1.008,1.132
5.9,22,31,424.5,34.351,45.0,35.216,34,53.916,1,11.3,22,1.9,22,16,60.615,9,53,56,22,0,0,0,6,8.009,41.5,41.5,1.017,1.144
5.9,29,36,479.63,41.858,54.5,44.074,40,64.767,2,7.7,27,3.1,28,23,72.893,7,65,69,29,0,0,1,9,7.379,44.6,44.6,0.996,1.121
5.9,25,33,446.58,38.021,48.0,39.802,37,60.17,1,10.0,22,1.7,22,16,68.106,8,60,64,27,0,0,0,8,7.443,41.7,45.0,1.003,1.135
9.699,20,29,413.96,33.433,41.0,35.205,32,53.316,1,13.2,16,1.9,17,12,60.378,9,53,56,24,0,1,1,5,7.811,37.7,45.3,1.006,1.139
8.6,16,24,325.33,25.027,36.0,24.921,26,37.211,2,13.9,18,5.6,19,16,40.911,8,36,38,12,0,0,1,5,9.037,44.4,33.3,1.034,1.136
5.9,22,27,373.51,31.181,42.0,33.211,30,45.778,1,6.5,22,2.2,23,20,50.946,5,46,49,19,1,0,1,3,8.12,47.8,41.3,0.995,1.108
5.9,21,31,430.42,32.594,44.0,32.29,33,49.996,3,8.3,18,6.3,20,19,54.962,10,48,50,17,0,0,2,5,8.967,43.8,35.4,1.042,1.145
7.1,10,15,220.62,15.354,24.0,15.301,17,20.949,2,10.0,10,10.0,12,10,22.19,5,20,22,5,0,1,2,0,11.031,50.0,25.0,1.047,1.109
5.9,16,23,330.45,26.39,35.0,27.909,25,41.323,2,9.8,16,4.9,18,13,46.238,7,41,43,18,1,0,2,5,8.06,39.0,43.9,1.008,1.128
9.5,25,33,437.55,37.079,51.5,38.586,37,56.109,1,12.5,27,1.8,28,22,63.019,8,56,60,23,0,0,1,6,7.813,44.6,41.1,1.002,1.125
5.9,19,26,348.39,28.391,40.0,28.955,29,42.691,3,9.5,16,7.1,19,17,47.113,7,42,45,16,0,0,3,4,8.295,45.2,38.1,1.016,1.122
5.9,13,16,273.14,18.175,26.0,19.409,18,24.967,0,8.0,16,0.0,16,13,27.499,3,25,27,9,0,0,0,1,10.926,52.0,36.0,0.999,1.1
5.9,21,31,429.53,34.899,43.0,35.983,34,56.901,1,12.5,16,1.8,17,12,64.529,10,56,59,25,0,0,1,7,7.67,37.5,44.6,1.016,1.152
6.6,15,21,284.35,23.676,31.0,24.5,23,37.363,2,10.8,16,5.4,16,12,41.903,6,37,39,16,0,0,0,5,7.685,40.5,43.2,1.01,1.133
5.9,13,20,269.29,21.117,32.0,21.222,22,31.814,2,16.1,16,6.5,18,12,35.156,7,31,33,11,0,0,2,3,8.687,41.9,35.5,1.026,1.134
5.9,18,25,353.43,27.557,38.0,28.597,28,40.665,3,7.5,16,7.5,18,16,44.534,7,40,43,15,1,0,2,3,8.836,45.0,37.5,1.017,1.113
8.801,19,25,348.81,27.262,40.0,28.142,28,38.476,1,10.5,22,2.6,23,19,42.223,6,38,41,13,0,1,1,3,9.179,50.0,34.2,1.013,1.111
5.9,19,27,379.48,29.885,43.0,31.154,30,44.542,2,11.4,22,4.5,24,18,49.322,8,44,47,17,1,0,2,5,8.625,43.2,38.6,1.012,1.121
6.4,15,20,289.79,23.294,28.0,24.659,21,36.142,1,8.3,12,2.8,13,12,40.555,5,36,37,16,0,1,1,5,8.05,41.7,44.4,1.004,1.127
6.0,23,28,371.47,32.235,43.0,33.779,31,48.912,2,6.1,22,4.1,23,20,54.651,5,49,52,21,0,0,1,7,7.581,46.9,42.9,0.998,1.115
7.2,13,16,212.24,17.533,26.0,17.995,18,25.251,0,8.0,16,0.0,16,13,27.997,3,25,27,9,0,0,0,1,8.49,52.0,36.0,1.01,1.12
8.3,20,32,479.99,35.437,45.0,36.659,34,55.498,5,9.3,18,9.3,20,16,61.139,12,54,56,22,1,1,2,9,8.889,37.0,40.7,1.028,1.132
6.6,21,30,405.42,31.796,46.0,31.898,33,47.305,3,10.9,22,6.5,24,21,51.951,9,46,49,16,0,0,2,4,8.813,45.7,34.8,1.028,1.129
5.9,22,27,361.48,31.762,39.0,33.54,29,49.796,2,6.0,18,4.0,19,18,56.066,5,50,52,23,0,0,1,9,7.23,44.0,46.0,0.996,1.121
5.9,26,35,486.62,39.155,53.5,40.926,39,58.48,1,10.3,27,1.7,28,23,65.196,9,58,62,23,1,0,1,6,8.39,44.8,39.7,1.008,1.124
5.9,24,33,450.54,36.878,48.0,37.978,37,57.8,1,10.5,22,1.8,22,16,65.031,9,57,61,24,0,0,0,7,7.904,42.1,42.1,1.014,1.141
5.9,13,16,273.14,18.175,26.0,19.409,18,24.967,0,8.0,16,0.0,16,13,27.499,3,25,27,9,0,0,0,1,10.926,52.0,36.0,0.999,1.1
6.6,17,23,370.22,25.153,36.0,26.085,25,35.607,2,8.6,16,5.7,18,15,38.831,6,35,37,12,0,0,1,3,10.578,48.6,34.3,1.017,1.109
5.9,25,35,505.67,39.367,54.0,41.54,38,58.596,3,8.6,22,5.2,26,20,64.697,10,58,61,23,2,0,3,5,8.718,43.1,39.7,1.01,1.115
8.3,17,24,342.87,27.644,35.0,29.222,27,43.12,0,14.0,16,0.0,16,11,48.84,7,43,46,19,0,1,0,3,7.974,39.5,44.2,1.003,1.136
5.9,14,18,247.38,22.52,23.0,24.324,19,38.585,1,7.7,6,2.6,7,6,44.441,4,39,40,21,0,0,1,3,6.343,35.9,53.8,0.989,1.14
5.9,15,24,333.3,24.079,35.5,23.341,26,35.909,1,14.7,17,2.9,18,14,39.381,9,34,36,10,0,0,1,2,9.803,44.1,29.4,1.056,1.158
8.6,15,24,388.26,25.997,35.5,26.892,26,38.803,1,18.4,17,2.6,18,14,43.2,9,38,40,14,0,0,1,5,10.217,39.5,36.8,1.021,1.137
5.9,21,28,387.5,31.17,44.0,32.699,32,45.214,1,11.1,22,2.2,23,19,50.112,7,45,49,17,1,0,1,2,8.611,46.7,37.8,1.005,1.114
5.9,15,23,344.8,24.11,36.5,24.722,26,33.113,2,12.5,21,6.3,21,15,35.522,8,32,35,9,1,1,0,3,10.775,46.9,28.1,1.035,1.11
5.9,22,30,482.44,34.248,45.5,36.574,33,50.211,1,10.0,21,2.0,23,19,55.784,8,50,53,20,1,0,2,7,9.649,44.0,40.0,1.004,1.116
7.3,16,24,321.35,25.114,38.0,25.262,27,36.876,0,19.4,22,0.0,22,16,41.073,8,36,39,12,0,0,0,4,8.926,44.4,33.3,1.024,1.141
8.699,21,30,427.99,34.96,42.0,36.966,33,56.2,1,12.5,16,1.8,17,12,63.794,9,56,59,26,0,1,1,6,7.643,37.5,46.4,1.004,1.139
5.9,20,28,377.38,29.799,43.0,29.858,31,44.244,5,7.0,18,11.6,21,19,48.033,8,43,46,15,0,0,3,3,8.776,46.5,34.9,1.029,1.117
8.5,23,32,430.45,33.771,50.5,33.932,36,49.265,1,12.5,27,2.1,28,22,54.37,9,48,52,16,0,0,1,5,8.968,47.9,33.3,1.026,1.133
8.0,17,23,308.43,26.816,34.0,28.364,26,42.796,0,14.0,16,0.0,16,11,48.896,6,43,46,20,0,0,0,3,7.173,39.5,46.5,0.995,1.137
5.9,22,32,440.5,35.066,46.0,35.671,35,55.243,2,11.1,22,3.7,22,16,61.825,10,54,57,22,0,0,0,7,8.157,40.7,40.7,1.023,1.145
8.6,19,24,315.41,27.268,38.0,28.597,27,40.811,0,12.2,22,0.0,22,17,45.983,5,41,44,17,0,0,0,4,7.693,46.3,41.5,0.995,1.122
6.1,18,23,308.42,27.015,34.0,28.569,25,42.803,1,9.3,16,2.3,17,15,48.524,5,43,45,20,0,0,1,5,7.173,41.9,46.5,0.995,1.128
5.9,17,23,317.4,24.875,38.5,25.96,26,34.236,0,14.7,21,0.0,22,16,37.657,6,34,37,11,1,0,0,2,9.335,50.0,32.4,1.007,1.108
6.2,19,26,346.43,29.004,40.5,30.057,29,44.24,1,13.6,21,2.3,22,16,49.69,7,44,47,18,0,0,1,4,7.873,43.2,40.9,1.005,1.129
5.9,26,32,421.54,36.563,50.5,38.336,37,54.789,1,9.1,27,1.8,27,21,61.438,6,55,60,23,0,0,0,3,7.664,47.3,41.8,0.996,1.117
9.1,15,20,284.77,22.547,31.0,23.688,22,33.149,0,12.1,16,0.0,17,14,37.013,5,33,35,13,0,1,1,4,8.629,45.5,39.4,1.005,1.122
7.8,16,21,282.38,24.488,31.0,25.807,23,38.92,1,10.3,16,2.6,16,12,44.109,5,39,41,18,0,0,0,5,7.241,41.0,46.2,0.998,1.131
5.9,21,30,410.47,32.824,44.0,33.455,33,51.032,1,12.0,22,2.0,22,16,57.2,9,50,53,20,0,0,0,5,8.209,42.0,40.0,1.021,1.144
5.9,21,30,410.47,32.824,44.5,33.455,34,51.032,1,12.0,21,2.0,21,14,57.2,9,50,54,20,0,0,0,4,8.209,42.0,40.0,1.021,1.144
6.1,28,38,534.72,43.977,54.0,46.427,41,69.341,2,8.7,22,2.9,24,21,78.066,10,69,72,31,1,0,2,10,7.75,40.6,44.9,1.005,1.131
5.9,11,18,359.2,20.773,25.0,22.949,20,32.323,1,15.6,10,3.1,10,5,36.498,7,32,34,14,0,0,0,1,11.225,34.4,43.8,1.01,1.141
7.4,16,20,267.36,23.467,30.0,24.801,22,36.818,1,8.1,16,2.7,16,12,41.611,4,37,39,17,0,0,0,5,7.226,43.2,45.9,0.995,1.125
