pXC50,SCBO,nBO,nSK,RBF,Me,MW,nC,Sv,RBN,Sp,nBT,nDB,Se,Si,nAT,C.,AMW
6.244,37.0,29,26,0.074,0.987,347.5,22,31.574,4,33.847,54,2,50.352,57.272,51,43.1,6.814
5.256,38.0,33,29,0.091,0.987,395.6,24,36.396,6,39.347,66,2,61.214,70.142,62,38.7,6.381
6.0,46.0,35,32,0.074,1.03,440.46,23,34.406,4,34.597,54,2,52.552,58.168,51,45.1,8.636
5.014,46.0,35,32,0.08,1.051,445.41,21,32.757,4,32.017,50,2,49.4,54.176,47,44.7,9.477
6.081,33.0,28,24,0.038,0.987,323.48,20,29.574,2,31.847,53,2,48.352,55.272,49,40.8,6.602
6.292,24.0,22,20,0.041,0.984,277.46,16,26.101,2,28.608,49,2,46.236,53.687,47,34.0,5.903
7.398,34.0,28,26,0.093,1.002,358.49,19,31.025,5,32.762,54,3,52.109,59.189,52,36.5,6.894
6.921,38.0,32,29,0.079,0.994,397.57,23,35.584,5,38.04,63,3,59.658,67.936,60,38.3,6.626
5.213,43.0,32,29,0.074,1.0,386.5,22,33.058,4,34.58,54,2,51.007,57.521,51,43.1,7.578
7.699,39.5,31,28,0.073,1.004,380.49,21,32.498,4,34.0,55,3,52.225,58.773,52,40.4,7.317
7.523,40.5,32,29,0.069,1.002,394.52,22,34.025,4,35.762,58,3,55.109,62.189,55,40.0,7.173
6.745,40.5,32,29,0.068,0.998,393.54,22,34.331,4,36.313,59,3,55.883,63.478,56,39.3,7.027
6.387,39.0,31,28,0.074,1.007,383.48,22,32.34,4,33.722,54,2,51.378,57.951,51,43.1,7.519
6.77,33.0,28,25,0.073,0.992,341.5,20,30.815,4,33.063,55,2,51.563,58.896,52,38.5,6.567
6.569,32.0,27,25,0.121,0.982,341.55,21,32.154,7,35.131,58,2,55.003,63.517,56,37.5,6.099
5.733,35.0,29,27,0.105,1.0,372.52,20,32.552,6,34.523,57,3,54.992,62.604,55,36.4,6.773
6.31,43.0,34,31,0.081,1.0,420.56,24,36.552,5,38.523,62,3,58.992,66.604,59,40.7,7.128
6.31,34.0,28,26,0.089,0.994,356.52,20,31.837,5,34.069,56,3,53.665,61.394,54,37.0,6.602
4.618,42.0,31,28,0.059,1.003,372.47,21,31.531,3,32.819,51,2,48.123,54.106,48,43.8,7.76
5.697,30.0,22,20,0.056,1.004,266.33,15,22.434,2,23.284,36,2,34.153,38.279,34,44.1,7.833
4.627,44.0,33,30,0.088,0.998,400.53,23,34.584,5,36.341,57,2,53.891,60.936,54,42.6,7.417
5.932,41.0,30,27,0.061,1.0,357.45,21,30.509,3,31.813,49,2,46.022,51.607,46,45.7,7.771
5.658,41.0,30,27,0.063,1.005,358.44,20,30.004,3,31.057,48,2,45.24,50.69,45,44.4,7.965
5.991,42.0,31,28,0.078,1.003,372.47,21,31.531,4,32.819,51,2,48.123,54.106,48,43.8,7.76
4.959,44.0,33,30,0.088,0.998,400.53,23,34.584,5,36.341,57,2,53.891,60.936,54,42.6,7.417
5.174,45.0,34,31,0.086,1.003,417.53,24,35.473,5,37.034,58,2,55.185,62.193,55,43.6,7.591
6.854,40.0,29,26,0.064,0.998,342.43,21,29.488,3,30.807,47,2,43.92,49.109,44,47.7,7.782
6.292,27.0,22,20,0.047,0.99,271.4,16,24.52,2,26.324,43,2,40.585,46.441,41,39.0,6.62
6.319,40.0,29,26,0.065,1.003,343.42,20,28.983,3,30.051,46,2,43.138,48.192,43,46.5,7.987
5.783,30.0,25,23,0.1,0.993,315.46,18,28.289,5,30.302,50,2,47.68,54.481,48,37.5,6.572
5.939,45.0,36,32,0.065,1.008,434.54,24,36.74,4,38.216,62,3,58.436,65.398,58,41.4,7.492
6.509,35.0,29,27,0.138,0.996,371.53,21,33.057,8,35.279,58,3,55.774,63.521,56,37.5,6.634
