pXC50,Me,nCsp3,C.,nBO,nBT,Sv,O.,nF,X.,MW,nBM,Si,Se,nAT,nSK,nH,nS
7.658,1.003,1,48.8,29,46,29.181,4.7,0,0.0,343.41,23,47.82,43.145,43,26,17,0
5.0,1.019,6,43.8,31,51,31.691,10.4,0,2.1,401.87,14,53.641,48.898,48,28,20,0
8.155,1.007,8,42.0,45,74,45.223,2.9,0,1.4,557.11,25,77.916,69.512,69,40,29,0
7.678,1.032,5,43.1,41,62,39.583,1.7,3,6.9,527.98,24,66.397,59.854,58,37,21,0
4.0,1.003,2,43.9,26,43,26.983,2.4,0,0.0,319.4,19,46.192,41.138,41,24,17,0
6.879,1.003,1,50.0,29,45,29.294,2.4,0,2.4,361.85,23,46.555,42.142,42,26,16,0
5.0,1.015,1,48.9,33,49,31.391,6.7,0,0.0,384.42,24,50.113,45.691,45,29,16,0
5.097,1.01,2,45.2,27,44,27.871,2.4,1,2.4,336.4,19,47.449,42.432,42,25,17,0
5.0,1.024,5,38.1,27,44,27.879,4.8,0,4.8,382.28,13,47.705,42.996,42,25,17,0
5.0,1.008,12,41.6,48,82,50.216,5.2,0,2.6,641.67,22,86.282,77.578,77,43,34,1
5.143,1.003,11,39.8,48,87,51.824,6.0,0,0.0,617.84,26,93.517,83.243,83,44,39,1
5.678,1.031,2,40.6,23,34,22.637,6.3,0,3.1,322.8,13,35.937,32.996,32,21,11,1
8.678,1.004,3,44.8,38,62,38.299,3.4,0,0.0,452.56,28,65.145,58.218,58,34,24,0
7.1,1.004,2,46.3,37,58,37.083,1.9,0,1.9,501.42,28,60.362,54.236,54,33,21,0
8.268,1.031,3,45.6,41,61,39.562,1.8,3,7.0,524.97,28,64.899,58.752,57,37,20,0
4.0,1.029,5,32.6,29,48,28.971,6.5,0,0.0,373.43,17,53.189,47.316,46,27,19,0
4.945,1.009,3,42.9,32,52,32.246,4.1,0,0.0,388.47,20,55.315,49.451,49,29,20,0
4.0,0.976,18,36.4,32,70,37.041,0.0,0,0.0,382.66,6,75.052,64.428,66,28,38,0
4.0,1.013,8,37.8,26,47,27.665,8.9,0,0.0,331.41,9,51.069,45.567,45,24,21,0
4.0,1.002,8,38.3,28,50,29.444,4.3,0,0.0,358.51,12,53.069,47.091,47,25,22,1
4.0,1.014,6,39.2,30,53,31.881,5.9,1,2.0,386.47,14,58.113,51.738,51,28,23,0
4.521,1.016,3,40.0,23,37,23.336,5.7,0,0.0,302.39,13,39.408,35.556,35,21,14,1
4.76,1.034,4,37.5,32,50,31.997,8.3,0,2.1,431.88,17,54.761,49.647,48,30,18,0
4.301,1.03,2,41.7,34,51,32.643,8.3,0,0.0,419.44,22,54.402,49.44,48,31,17,0
4.962,1.005,5,43.6,35,58,36.798,3.6,0,1.8,467.03,20,61.428,55.298,55,32,23,1
5.764,1.008,5,42.3,33,55,34.158,5.8,0,0.0,422.55,19,58.278,52.418,52,30,22,1
4.0,0.989,9,41.9,34,65,37.869,3.2,0,0.0,417.6,18,69.727,61.33,62,31,31,0
5.426,1.012,7,38.5,31,54,33.513,5.8,0,1.9,434.99,14,58.637,52.625,52,29,23,1
4.0,1.035,7,40.4,37,60,36.889,7.0,3,5.3,476.5,18,65.417,58.974,57,34,23,0
4.0,1.0,8,41.5,31,56,33.003,5.7,0,0.0,379.5,14,59.69,53.007,53,28,25,0
4.0,1.003,8,40.8,29,52,30.477,6.1,0,0.0,353.46,13,55.275,49.123,49,26,23,0
4.0,1.02,8,41.1,36,59,36.422,8.9,0,0.0,449.51,17,63.275,57.098,56,33,23,0
4.0,1.001,9,35.3,28,53,30.992,3.9,0,0.0,375.55,12,57.982,51.076,51,26,25,1
5.337,1.026,3,41.2,35,54,34.17,7.8,0,0.0,433.47,22,57.817,52.323,51,32,19,0
5.0,1.015,7,39.7,43,72,43.494,4.4,1,1.5,532.64,24,77.522,69.029,68,39,29,0
6.52,1.03,6,38.6,37,60,36.827,8.8,1,1.8,470.51,19,65.113,58.712,57,34,23,0
8.143,1.002,7,44.2,33,56,33.477,5.8,0,0.0,389.49,18,58.275,52.123,52,29,23,0
8.62,0.996,7,45.1,32,55,32.762,3.9,0,0.0,373.49,18,57.066,50.796,51,28,23,0
9.155,0.998,6,42.3,31,55,32.783,3.8,0,0.0,376.5,18,58.564,51.898,52,28,24,0
6.252,1.009,4,38.9,34,57,34.981,3.7,0,0.0,437.58,24,61.149,54.512,54,31,23,1
8.201,0.996,10,41.0,36,65,37.858,3.3,0,0.0,431.59,18,68.893,60.767,61,32,29,0
7.801,1.002,7,42.3,33,56,33.278,3.8,0,0.0,389.5,18,58.647,52.116,52,29,23,0
5.959,0.998,6,44.3,38,65,39.331,3.3,0,0.0,453.59,24,68.478,60.883,61,34,27,0
9.301,1.003,7,41.9,39,66,39.847,3.2,0,0.0,469.6,24,70.059,62.203,62,35,27,0
8.31,0.996,6,42.0,30,53,31.563,2.0,0,0.0,361.49,18,56.438,49.789,50,27,23,0
5.0,1.003,5,43.5,38,65,40.046,4.8,0,0.0,469.59,25,69.687,62.211,62,35,27,0
5.0,0.989,6,43.8,28,51,30.047,2.1,0,0.0,333.47,17,53.856,47.469,48,25,23,0
5.0,0.988,5,46.5,26,46,27.499,2.3,0,0.0,304.42,17,47.943,42.483,43,23,20,0
5.056,0.994,9,42.3,43,75,46.013,0.0,0,1.4,558.21,24,79.75,70.6,71,39,32,1
5.0,1.008,9,41.7,37,64,37.935,5.0,1,1.7,450.56,21,67.944,60.505,60,33,27,0
5.0,1.009,11,36.2,34,61,35.562,5.2,0,0.0,425.55,16,66.268,58.531,58,31,27,0
6.77,0.998,3,45.6,37,61,37.584,1.8,0,0.0,436.56,28,63.936,56.891,57,33,24,0
7.59,1.019,2,46.3,38,58,36.824,1.9,2,3.7,458.51,28,61.2,55.032,54,34,20,0
8.62,1.0,4,43.2,28,47,28.509,2.3,0,0.0,333.43,18,49.607,44.022,44,25,19,0
8.936,1.003,5,43.5,29,49,29.73,4.3,0,0.0,348.44,18,51.734,46.131,46,26,20,0
7.165,1.004,2,47.2,25,39,24.434,2.8,0,0.0,290.35,18,40.279,36.153,36,22,14,0
8.387,1.013,3,44.4,25,39,24.149,5.6,0,0.0,294.34,17,40.488,36.48,36,22,14,0
8.678,1.003,3,43.9,27,44,26.983,2.4,0,0.0,319.4,18,46.192,41.138,41,24,17,0
7.979,1.006,2,46.3,37,58,36.885,1.9,0,1.9,456.97,28,60.465,54.331,54,33,21,0
8.921,0.994,8,42.6,33,58,34.09,1.9,0,0.0,387.53,18,60.853,53.672,54,29,25,0
9.658,1.0,7,44.0,32,54,32.256,4.0,0,0.0,374.48,18,56.149,50.014,50,28,22,0
8.538,1.009,3,45.0,27,43,26.676,5.0,0,0.0,320.38,18,44.903,40.363,40,24,16,0
8.509,1.007,3,44.7,26,41,25.456,2.6,0,0.0,305.37,18,42.777,38.254,38,23,15,0
7.735,1.007,1,43.2,24,39,24.456,2.7,0,0.0,293.36,18,41.777,37.254,37,22,15,0
7.759,1.0,2,46.3,36,58,36.058,1.9,0,0.0,422.53,28,60.521,54.007,54,32,22,0
9.06,1.01,5,42.6,30,50,30.444,6.4,0,0.0,364.44,18,52.943,47.458,47,27,20,0
8.396,0.996,6,42.0,30,53,31.563,2.0,0,0.0,361.49,18,56.438,49.789,50,27,23,0
8.408,1.0,7,44.0,32,54,32.256,4.0,0,0.0,374.48,18,56.149,50.014,50,28,22,0
10.398,0.998,8,43.4,33,57,33.783,3.8,0,0.0,388.51,18,59.564,52.898,53,29,24,0
7.165,0.998,1,47.4,26,41,25.741,0.0,0,0.0,301.38,22,42.568,37.927,38,23,15,0
8.256,0.995,2,46.3,27,44,27.268,0.0,0,0.0,315.41,22,45.983,40.811,41,24,17,0
9.252,1.01,5,42.6,30,50,30.444,6.4,0,0.0,364.44,18,52.943,47.458,47,27,20,0
9.409,0.998,5,42.6,29,50,30.036,2.1,0,0.0,347.46,18,53.023,46.905,47,26,21,0
9.328,0.994,7,41.5,31,56,33.09,1.9,0,0.0,375.52,18,59.853,52.672,53,28,25,0
7.796,1.003,3,43.9,27,44,26.983,2.4,0,0.0,319.4,18,46.192,41.138,41,24,17,0
9.469,0.994,8,42.6,33,58,34.09,1.9,0,0.0,387.53,18,60.853,53.672,54,29,25,0
9.638,0.992,9,42.1,34,61,35.617,1.8,0,0.0,401.56,18,64.268,56.556,57,30,27,0
9.824,1.004,2,47.2,25,39,24.434,2.8,0,0.0,290.35,18,40.279,36.153,36,22,14,0
10.699,1.001,3,46.2,26,42,25.961,2.6,0,0.0,304.38,18,43.694,39.036,39,23,16,0
9.319,1.001,3,46.2,26,42,25.961,2.6,0,0.0,304.38,18,43.694,39.036,39,23,16,0
9.244,0.998,4,45.2,27,45,27.488,2.4,0,0.0,318.41,18,47.109,41.92,42,24,18,0
4.0,1.015,1,46.7,23,33,21.568,3.3,0,0.0,282.35,20,33.368,30.462,30,20,10,1
8.461,0.994,7,44.9,31,53,31.542,2.0,0,0.0,358.48,18,54.939,48.687,49,27,22,0
5.0,1.003,3,44.4,28,47,29.842,2.2,0,2.2,366.88,19,50.468,45.127,45,26,19,0
5.0,1.018,1,48.8,31,46,30.906,9.3,0,2.3,486.28,20,47.461,43.767,43,28,15,0
6.959,1.0,3,47.1,45,73,45.353,2.9,0,0.0,528.66,34,75.976,67.985,68,40,28,0
5.0,1.001,14,36.6,46,86,50.264,3.7,0,1.2,614.29,20,93.039,82.116,82,42,40,1
4.0,1.008,5,41.5,25,43,26.589,7.3,0,0.0,330.44,13,45.866,41.331,41,23,18,1
5.1,1.006,1,45.9,26,40,25.622,2.7,0,0.0,322.42,21,41.199,37.229,37,23,14,1
5.0,0.998,16,36.4,42,81,45.723,3.9,0,0.0,521.74,14,87.76,76.832,77,38,39,0
9.301,1.004,6,42.6,33,57,34.498,5.6,0,0.0,404.51,19,60.773,54.225,54,30,24,0
8.886,1.002,5,44.3,39,65,39.826,3.3,0,0.0,466.59,25,68.561,61.101,61,35,26,0
8.854,1.007,8,40.7,37,63,37.541,5.1,0,0.0,446.56,19,66.77,59.429,59,33,26,0
8.569,0.996,10,42.6,36,65,38.057,4.9,0,0.0,431.58,18,68.521,60.774,61,32,29,0
4.0,1.012,8,40.7,32,57,33.632,11.1,0,0.0,399.48,16,60.737,54.669,54,29,25,0
5.0,1.011,2,49.0,36,53,34.884,4.1,0,0.0,439.53,28,54.322,49.542,49,32,17,1
4.426,1.037,2,38.1,29,44,28.116,9.5,0,0.0,369.38,17,47.987,43.556,42,27,15,0
4.0,0.989,8,41.2,29,54,31.708,0.0,0,2.0,368.95,16,57.504,50.451,51,26,25,0
4.0,1.02,7,42.9,37,60,36.621,10.7,0,0.0,449.5,19,62.903,57.105,56,33,23,0
4.0,1.0,8,39.1,27,49,28.256,4.3,0,0.0,326.44,15,52.149,46.014,46,24,22,0
4.531,1.011,6,38.6,35,60,36.035,5.3,0,0.0,435.54,17,64.853,57.647,57,32,25,0
4.955,1.031,3,38.5,27,41,27.098,7.7,0,2.6,424.31,14,43.957,40.214,39,25,14,1
4.237,1.03,2,41.7,34,51,32.643,8.3,0,0.0,419.44,22,54.402,49.44,48,31,17,0
4.239,1.01,5,40.4,30,50,30.246,4.3,0,0.0,364.45,18,53.315,47.451,47,27,20,0
5.0,1.007,5,41.7,30,51,31.137,6.3,0,0.0,383.51,19,53.78,48.316,48,27,21,1
10.046,0.998,8,43.4,33,57,33.783,3.8,0,0.0,388.51,18,59.564,52.898,53,29,24,0
6.363,1.001,3,46.2,26,42,25.961,2.6,0,0.0,304.38,18,43.694,39.036,39,23,16,0
6.857,1.001,1,47.1,24,37,23.214,0.0,0,0.0,275.34,21,38.152,34.043,34,21,13,0
5.0,1.011,10,37.1,40,67,39.936,4.8,0,0.0,513.71,22,70.108,62.683,62,35,27,2
5.0,1.01,5,42.0,33,54,32.441,2.0,1,2.0,392.48,18,56.861,50.52,50,29,21,0
7.38,0.994,8,41.7,36,64,37.638,1.7,0,0.0,428.59,22,67.766,59.658,60,32,28,0
8.824,0.998,2,48.7,28,43,26.741,0.0,0,0.0,313.39,22,43.568,38.927,39,24,15,0
7.201,1.025,3,45.6,40,61,38.734,1.8,3,5.3,490.53,28,64.955,58.429,57,36,21,0
9.071,0.994,8,42.6,33,58,34.09,1.9,0,0.0,387.53,18,60.853,53.672,54,29,25,0
6.48,0.995,2,46.3,36,58,36.53,0.0,0,0.0,438.6,28,60.231,53.756,54,32,22,1
9.481,1.0,7,44.0,32,54,32.256,4.0,0,0.0,374.48,18,56.149,50.014,50,28,22,0
8.699,1.007,2,44.7,26,41,25.456,2.6,0,0.0,305.37,18,42.777,38.254,38,23,15,0
9.758,1.006,4,44.2,28,46,28.203,4.7,0,0.0,334.41,18,48.318,43.247,43,25,18,0
8.276,1.006,2,46.3,37,58,36.885,1.9,0,1.9,456.97,28,60.465,54.331,54,33,21,0
8.409,1.034,3,45.6,41,61,39.118,1.8,4,7.0,508.52,28,65.295,58.941,57,37,20,0
10.523,0.996,7,43.1,32,55,32.563,2.0,0,0.0,373.5,18,57.438,50.789,51,28,23,0
6.013,1.0,4,45.7,31,50,30.509,2.2,0,0.0,357.45,22,51.607,46.022,46,27,19,0
10.301,1.003,5,43.5,29,49,29.73,4.3,0,0.0,348.44,18,51.734,46.131,46,26,20,0
5.0,1.003,8,39.3,31,58,34.22,3.6,1,1.8,398.53,14,63.734,56.178,56,29,27,0
6.796,1.034,7,40.9,45,70,44.066,4.5,3,6.1,588.04,24,75.647,68.276,66,41,25,0
5.0,1.015,3,45.1,34,54,34.159,7.8,0,0.0,416.47,24,57.152,51.785,51,31,20,0
6.387,1.045,2,46.8,35,50,33.068,6.4,3,6.4,440.41,24,53.547,49.112,47,32,15,0
5.804,1.046,3,45.1,37,54,35.309,7.8,3,5.9,470.44,24,58.172,53.323,51,34,17,0
5.0,1.04,3,46.0,36,53,34.594,6.0,3,6.0,454.44,24,56.962,51.996,50,33,17,0
6.301,1.035,4,45.3,37,56,36.121,5.7,3,5.7,468.47,24,60.377,54.88,53,34,19,0
5.987,1.041,4,44.4,38,57,36.836,7.4,3,5.6,484.47,24,61.587,56.207,54,35,19,0
5.198,1.029,7,42.2,43,68,42.217,4.7,3,4.7,538.58,24,73.204,65.85,64,39,25,0
5.0,1.046,3,46.0,37,53,35.422,6.0,3,8.0,488.88,24,56.906,52.32,50,34,16,0
5.0,1.04,3,44.2,37,55,35.616,5.8,3,5.8,469.46,24,59.46,54.098,52,34,18,0
5.0,1.017,2,47.9,34,51,33.412,6.3,0,0.0,411.45,25,53.611,48.793,48,31,17,0
5.0,1.039,2,45.8,35,51,33.374,4.2,3,6.3,439.43,24,54.836,49.887,48,32,16,0
5.231,1.028,5,42.4,39,62,38.976,3.4,3,5.1,496.54,24,67.58,60.64,59,36,23,0
6.444,1.036,4,43.6,38,58,37.142,5.5,3,5.5,483.49,24,62.876,56.981,55,35,20,0
5.0,1.009,6,42.3,31,54,33.191,7.7,0,0.0,393.48,18,58.485,52.451,52,29,23,0
5.0,1.019,5,43.9,44,70,44.664,6.1,1,3.0,581.11,30,74.017,67.232,66,40,26,1
5.0,1.017,2,46.8,33,50,32.943,6.4,0,2.1,465.33,24,52.369,47.803,47,30,17,0
6.569,1.038,5,41.7,41,63,40.518,5.0,3,6.7,546.98,24,68.733,62.291,60,38,22,0
5.921,1.058,3,45.3,41,57,37.357,1.9,6,11.3,518.46,27,61.559,56.083,53,37,16,0
5.0,1.019,2,46.8,33,50,32.745,6.4,0,2.1,420.88,24,52.472,47.898,47,30,17,0
5.0,1.012,2,46.8,32,50,31.918,6.4,0,0.0,386.44,24,52.528,47.574,47,29,18,0
6.268,1.04,3,44.2,37,55,35.616,5.8,3,5.8,469.46,24,59.46,54.098,52,34,18,0
5.0,1.047,3,44.2,38,55,36.443,5.8,3,7.7,503.9,24,59.404,54.422,52,35,17,0
5.0,1.038,1,48.8,31,44,29.111,2.4,3,7.3,382.37,23,46.713,42.574,41,28,13,0
5.0,1.02,2,44.9,34,52,33.767,6.1,0,2.0,435.9,24,54.97,50.0,49,31,18,0
6.62,1.05,3,44.2,38,55,35.999,5.8,4,7.7,487.45,24,59.8,54.611,52,35,17,0
5.0,1.043,1,50.0,33,45,30.606,2.4,3,7.1,407.38,24,47.796,43.792,42,30,12,0
5.0,1.051,1,47.7,34,47,31.541,6.8,3,6.8,426.38,24,50.132,46.229,44,31,13,0
5.151,1.032,5,43.1,39,61,38.669,5.2,3,5.2,497.52,24,66.291,59.865,58,36,22,0
6.77,1.027,7,40.3,43,70,43.878,3.0,3,6.0,574.06,24,76.852,68.832,67,40,27,0
5.444,1.04,3,44.2,37,55,35.616,5.8,3,5.8,469.46,24,59.46,54.098,52,34,18,0
5.0,1.009,3,46.0,33,53,33.444,6.0,0,0.0,400.47,24,55.943,50.458,50,30,20,0
5.0,1.035,4,45.3,37,56,36.121,5.7,3,5.7,468.47,24,60.377,54.88,53,34,19,0
5.37,1.046,3,46.0,37,53,35.422,6.0,3,8.0,488.88,24,56.906,52.32,50,34,16,0
5.0,1.045,1,46.7,34,48,31.847,4.4,3,6.7,425.4,24,51.421,47.003,45,31,14,0
6.444,1.047,3,44.2,38,55,36.443,5.8,3,7.7,503.9,24,59.404,54.422,52,35,17,0
5.839,1.071,3,46.0,39,53,35.744,6.0,6,12.0,508.41,24,57.981,53.534,50,36,14,0
5.818,1.04,3,46.0,36,53,34.594,6.0,3,6.0,454.44,24,56.962,51.996,50,33,17,0
7.469,1.002,1,49.0,36,55,35.643,0.0,0,2.0,438.95,29,56.84,51.12,51,32,19,0
7.456,1.002,2,46.4,38,60,38.192,0.0,0,1.8,468.0,29,62.754,56.105,56,34,22,0
8.523,1.001,9,44.1,38,64,38.0,1.7,1,1.7,443.57,22,66.608,59.069,59,33,26,0
6.0,1.005,10,43.9,44,72,43.068,4.5,0,0.0,508.63,24,74.185,66.312,66,38,28,0
9.398,1.002,7,45.3,36,58,35.39,1.9,0,1.9,431.96,22,59.382,53.112,53,31,22,0
8.699,1.008,9,43.3,40,65,40.039,5.0,0,1.7,509.07,24,67.053,60.509,60,35,25,1
6.0,1.008,9,43.1,44,71,42.562,4.6,0,0.0,509.62,24,73.268,65.531,65,38,27,0
7.15,0.994,8,44.6,36,61,36.09,1.8,0,0.0,411.55,22,62.853,55.672,56,31,25,0
7.362,0.996,10,43.5,39,67,39.971,1.6,0,1.6,474.05,22,69.627,61.763,62,34,28,0
7.658,0.991,7,42.9,38,67,39.945,0.0,0,0.0,451.63,27,71.055,62.432,63,34,29,0
6.0,1.0,9,44.6,43,71,42.353,3.1,0,0.0,492.63,27,72.976,64.985,65,37,28,0
9.523,1.001,10,43.1,41,70,41.573,4.6,0,0.0,483.62,23,73.102,65.094,65,36,29,0
7.332,0.993,9,44.3,40,67,39.418,0.0,0,0.0,449.61,26,68.64,60.549,61,34,27,0
8.699,1.009,9,43.5,41,67,40.874,4.8,0,1.6,504.03,23,69.631,62.534,62,36,26,0
7.642,0.998,9,43.5,41,68,40.133,1.6,0,0.0,465.61,26,69.85,61.876,62,35,27,0
7.77,0.991,10,43.8,41,70,40.945,0.0,0,0.0,463.64,26,72.055,63.432,64,35,29,0
8.31,1.006,8,42.6,42,67,40.508,3.3,0,0.0,499.65,28,68.564,61.396,61,36,25,1
8.041,1.0,8,45.0,41,66,39.606,1.7,0,0.0,463.59,27,67.434,59.992,60,35,25,0
7.357,1.0,2,47.4,39,61,38.859,0.0,0,0.0,458.57,30,63.893,57.0,57,35,22,0
7.538,0.999,3,45.9,42,66,41.573,0.0,0,0.0,504.67,33,68.228,60.96,61,37,24,1
7.347,1.015,10,43.8,44,70,42.094,0.0,3,4.7,517.61,26,73.074,64.97,64,38,26,0
7.174,0.991,10,43.8,41,70,40.945,0.0,0,0.0,463.64,26,72.055,63.432,64,35,29,0
8.174,1.0,9,43.1,43,71,42.154,1.5,0,0.0,492.64,27,73.348,64.978,65,37,28,0
9.398,1.011,9,43.8,44,70,42.231,3.1,1,1.6,511.61,27,72.399,64.716,64,38,26,0
7.237,0.996,9,45.0,39,65,39.111,1.7,0,0.0,450.59,23,67.351,59.774,60,34,26,0
9.222,1.008,7,44.4,37,59,36.105,3.7,0,1.9,447.96,22,60.591,54.44,54,32,22,0
9.097,1.012,6,46.0,45,69,43.534,4.8,0,1.6,558.1,30,70.136,63.727,63,39,24,1
9.0,1.003,9,43.5,40,67,40.046,4.8,0,0.0,469.59,23,69.687,62.211,62,35,27,0
9.301,0.998,9,44.1,38,64,38.444,1.7,0,1.7,460.02,22,66.212,58.88,59,33,26,0
7.585,0.996,2,48.3,39,62,39.364,0.0,0,0.0,457.58,30,64.81,57.781,58,35,23,0
7.06,1.001,10,43.1,41,70,41.573,4.6,0,0.0,483.62,23,73.102,65.094,65,36,29,0
6.52,1.015,9,44.3,41,66,40.098,3.3,2,3.3,489.57,23,69.157,61.909,61,36,25,0
7.276,1.023,2,48.1,39,58,37.493,0.0,3,5.6,472.51,29,61.331,55.218,54,35,19,0
8.357,1.024,10,43.3,47,73,44.524,3.0,3,4.5,561.62,27,76.493,68.625,67,41,26,0
7.405,1.001,15,41.7,53,91,53.218,3.6,0,0.0,618.81,28,94.843,84.05,84,46,38,0
8.678,1.007,11,43.1,49,79,47.11,4.2,0,0.0,562.69,28,81.182,72.516,72,42,30,0
7.12,0.998,9,44.4,42,69,41.133,1.6,0,0.0,477.62,27,70.85,62.876,63,36,27,0
5.0,1.001,9,37.7,37,65,38.341,1.6,0,0.0,464.66,18,69.268,61.054,61,33,28,1
6.377,0.996,5,43.1,31,54,32.563,2.0,0,0.0,373.5,19,57.438,50.789,51,28,23,0
5.588,1.016,4,45.2,30,46,28.391,7.1,0,0.0,348.39,21,47.113,42.691,42,26,16,0
5.77,1.02,9,38.2,41,71,42.578,2.9,3,4.4,529.63,19,78.324,69.392,68,38,30,0
6.569,0.998,2,49.0,35,55,35.149,0.0,0,2.0,425.95,28,56.757,50.902,51,31,20,0
5.0,1.007,10,40.3,45,77,46.023,5.6,0,0.0,560.74,26,81.145,72.483,72,40,32,1
7.569,0.996,5,46.8,41,67,41.111,1.6,0,0.0,474.61,29,69.351,61.774,62,36,26,0
9.523,1.006,8,44.8,39,63,38.632,3.4,0,1.7,474.0,23,65.006,58.323,58,34,24,0
6.097,1.015,1,48.7,28,42,27.482,5.1,0,2.6,351.81,22,43.349,39.585,39,25,14,0
8.398,0.996,7,45.3,35,58,34.563,1.9,0,0.0,397.52,22,59.438,52.789,53,30,23,0
9.155,1.001,10,43.3,44,73,43.374,3.0,0,0.0,507.65,27,75.474,67.087,67,38,29,0
8.357,0.998,9,44.3,41,67,40.245,0.0,0,1.6,484.05,26,68.584,60.872,61,35,26,0
6.821,1.008,9,43.9,45,72,43.562,4.5,0,0.0,521.63,28,74.268,66.531,66,39,27,0
8.071,1.0,8,44.6,37,61,36.917,1.8,0,1.8,445.99,22,62.797,55.996,56,32,24,0
7.444,1.0,9,44.6,43,71,42.353,3.1,0,0.0,492.63,27,72.976,64.985,65,37,28,0
8.42,1.005,7,45.5,39,61,36.747,0.0,1,1.8,439.54,26,62.149,55.294,55,33,22,0
7.267,1.006,10,43.1,42,70,42.4,4.6,0,1.5,518.06,23,73.046,65.418,65,37,28,0
8.194,1.0,9,43.1,43,71,42.154,1.5,0,0.0,492.64,27,73.348,64.978,65,37,28,0
9.398,1.008,9,43.8,44,70,42.675,3.1,0,1.6,528.06,27,72.003,64.527,64,38,26,0
8.796,1.014,7,44.6,39,61,37.82,5.4,0,1.8,475.97,23,62.801,56.767,56,34,22,0
8.699,1.003,9,43.8,43,70,41.847,3.1,0,0.0,493.62,27,72.059,64.203,64,37,27,0
8.076,1.001,10,43.3,44,73,43.374,3.0,0,0.0,507.65,27,75.474,67.087,67,38,29,0
8.745,1.008,1,48.1,40,59,38.159,0.0,0,1.9,478.98,33,60.422,54.44,54,35,19,0
5.503,1.007,4,43.5,40,66,40.541,4.8,0,0.0,482.59,25,69.77,62.429,62,36,26,0
5.963,1.005,4,45.0,39,64,39.519,5.0,0,0.0,467.57,25,67.272,60.327,60,35,25,0
5.0,1.016,7,40.4,33,55,34.128,1.9,1,5.8,450.38,17,59.081,52.832,52,30,22,0
7.377,1.086,1,46.7,37,48,32.911,8.9,6,13.3,483.35,20,52.277,48.876,45,34,11,0
5.0,1.015,5,42.9,35,58,37.015,3.6,1,3.6,467.97,20,63.346,56.836,56,33,23,0
5.0,1.017,2,46.3,29,44,28.504,4.9,0,2.4,366.83,22,45.847,41.687,41,26,15,0
5.754,1.081,0,50.0,25,31,21.299,28.6,0,0.0,302.2,14,30.921,30.269,28,22,6,0
6.485,0.998,0,51.3,27,42,26.94,2.6,0,0.0,313.38,23,43.196,38.934,39,24,15,0
5.0,1.0,8,44.4,40,68,40.552,4.8,0,0.0,468.6,23,70.604,62.992,63,35,28,0
5.0,1.017,8,40.0,34,58,35.236,5.5,1,3.6,446.95,17,62.472,55.945,55,31,24,0
5.241,0.995,7,42.6,41,72,43.186,1.5,0,0.0,493.67,25,76.68,67.643,68,37,31,0
