pXC50,nHet,nN,Me,AMW,C.,H.,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHM,nI,nO,nP
7.33,10,3,1.004,7.462,41.2,47.1,1.125,0.66,0.626,634.23,3.5,12,85,0,17,50,0,90,35,1,0,17,18,5,0,40,1,0,6,0
6.43,13,4,1.012,7.65,39.3,46.1,1.13,0.655,0.625,680.87,4.5,12,89,0,19,53,0,94,35,0,0,17,18,7,1,41,1,0,7,0
5.52,9,3,1.004,7.297,42.5,46.3,1.123,0.659,0.629,583.74,3.8,12,80,0,17,49,0,86,34,0,0,17,17,5,0,37,0,0,6,0
6.67,8,3,0.997,7.009,42.4,48.2,1.123,0.656,0.619,595.8,3.5,12,85,0,16,51,0,92,36,0,0,16,20,4,0,41,0,0,5,0
6.05,6,2,0.993,6.907,43.6,48.7,1.119,0.661,0.62,538.74,2.6,12,78,0,15,47,0,85,34,0,0,15,19,3,0,38,0,0,4,0
6.27,4,1,0.99,6.9,45.3,48.4,1.115,0.669,0.626,441.61,1.6,12,64,0,14,39,0,70,29,0,0,14,15,2,0,31,0,0,3,0
5.79,10,3,1.004,7.462,41.2,47.1,1.125,0.66,0.626,634.23,3.5,12,85,0,17,50,0,90,35,1,0,17,18,5,0,40,1,0,6,0
7.721,6,3,1.006,9.485,47.8,39.1,1.11,0.725,0.69,436.33,6.5,18,46,0,20,31,1,49,22,0,0,20,2,2,0,18,1,0,2,0
5.1,13,5,1.007,7.352,41.2,46.1,1.126,0.653,0.626,749.94,4.9,27,102,0,32,59,0,106,42,0,0,29,13,5,0,47,0,0,8,0
5.12,5,2,0.998,7.659,49.1,42.1,1.109,0.697,0.666,436.54,3.5,22,57,0,24,38,0,62,28,0,0,22,6,2,0,24,0,0,3,0
5.66,9,3,1.001,7.056,41.2,48.2,1.125,0.65,0.616,599.79,3.5,12,85,0,17,49,0,90,35,0,0,17,18,5,0,41,0,0,6,0
5.33,4,1,0.996,7.742,51.8,41.1,1.102,0.71,0.678,433.53,1.8,23,56,0,25,38,0,61,29,0,0,24,5,2,0,23,0,0,3,0
5.72,6,2,0.995,7.024,43.7,47.9,1.119,0.662,0.624,498.67,2.8,12,71,0,15,43,0,77,31,0,0,15,16,3,0,34,0,0,4,0
6.465,8,3,0.994,6.856,41.8,49.5,1.124,0.651,0.612,623.86,3.3,12,91,0,16,53,0,98,38,0,0,16,22,4,0,45,0,0,5,0
6.987,15,8,1.005,7.295,40.2,46.4,1.13,0.652,0.623,817.05,7.1,24,112,0,30,65,0,117,45,0,0,30,15,6,0,52,0,0,7,0
6.23,11,3,1.01,7.665,41.0,45.8,1.125,0.66,0.631,636.2,3.6,12,83,0,17,50,0,88,34,1,0,17,17,5,0,38,1,0,7,0
7.347,15,9,1.0,7.034,39.3,48.4,1.132,0.646,0.612,858.16,7.4,24,122,0,29,69,0,128,48,0,0,29,19,5,0,59,0,0,6,0
5.68,10,3,1.008,7.363,41.5,46.3,1.129,0.651,0.625,603.75,3.7,12,82,0,17,49,0,87,34,0,0,17,17,5,1,38,0,0,6,0
6.05,9,3,1.001,7.056,41.2,48.2,1.125,0.65,0.616,599.79,3.5,12,85,0,17,49,0,90,35,0,0,17,18,5,0,41,0,0,6,0
8.469,10,3,1.003,7.077,40.4,48.3,1.127,0.645,0.614,629.82,3.4,16,89,0,20,51,0,94,36,0,0,18,18,4,0,43,0,0,7,0
6.13,8,3,0.996,7.097,44.0,47.3,1.119,0.665,0.628,645.86,3.3,18,91,0,22,55,0,98,40,0,0,22,18,4,0,43,0,0,5,0
7.88,11,3,1.007,7.623,45.5,43.6,1.119,0.675,0.649,769.93,3.0,24,101,0,29,65,0,109,46,0,0,29,17,5,1,44,0,0,7,0
8.12,10,3,1.003,7.388,44.2,45.3,1.119,0.668,0.638,701.88,3.2,18,95,0,23,60,0,103,42,0,0,23,19,5,0,43,0,0,7,0
8.377,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
4.96,10,3,0.999,7.29,44.9,45.8,1.117,0.67,0.637,780.0,2.8,24,107,0,29,66,0,115,48,0,0,29,19,5,0,49,0,0,7,0
8.201,7,3,0.995,6.876,41.3,49.3,1.125,0.65,0.612,515.71,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,0,0,4,0
6.86,8,3,0.997,7.009,42.4,48.2,1.123,0.656,0.619,595.8,3.5,12,85,0,16,51,0,92,36,0,0,16,20,4,0,41,0,0,5,0
7.194,13,7,1.001,7.167,40.7,47.2,1.129,0.653,0.621,774.02,6.5,24,108,0,29,62,0,113,44,0,0,29,15,5,0,51,0,0,6,0
7.409,6,3,0.988,6.386,39.0,53.2,1.13,0.634,0.587,491.74,3.9,10,77,0,12,41,0,82,30,0,0,10,20,2,0,41,0,0,3,0
9.097,10,4,1.002,7.123,40.9,47.7,1.127,0.65,0.618,626.82,4.5,16,88,0,21,51,0,93,36,0,0,20,16,5,0,42,0,0,6,0
5.398,13,7,1.0,7.1,40.5,47.7,1.129,0.651,0.618,788.05,6.3,24,111,0,29,63,0,116,45,0,0,29,16,5,0,53,0,0,6,0
6.745,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
8.187,7,4,0.99,6.485,38.8,52.5,1.131,0.636,0.59,518.77,5.0,10,80,0,12,44,0,86,31,0,0,10,21,2,0,42,0,0,3,0
7.638,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
8.36,10,3,1.003,7.436,44.8,44.8,1.117,0.671,0.642,713.89,3.1,24,96,0,29,59,0,102,43,0,0,29,14,5,0,43,0,0,7,0
5.682,7,3,0.993,6.778,41.5,50.0,1.125,0.65,0.609,555.78,3.7,16,82,0,18,47,0,88,34,0,0,16,18,2,0,41,0,0,4,0
6.06,8,3,0.997,7.009,42.4,48.2,1.123,0.656,0.619,595.8,3.5,12,85,0,16,51,0,92,36,0,0,16,20,4,0,41,0,0,5,0
6.26,13,7,1.002,7.238,41.0,46.7,1.128,0.655,0.624,759.99,6.7,24,105,0,29,61,0,110,43,0,0,29,14,5,0,49,0,0,6,0
6.75,8,3,0.995,7.224,45.9,45.9,1.115,0.676,0.64,707.93,3.1,24,98,0,28,61,0,106,45,0,0,28,17,4,0,45,0,0,5,0
6.06,9,4,0.997,7.209,44.2,46.3,1.119,0.669,0.634,684.9,4.2,22,95,0,26,59,0,103,42,0,0,24,18,4,0,44,0,0,5,0
6.959,6,3,0.998,8.815,47.4,42.1,1.111,0.713,0.672,502.44,5.3,22,57,0,24,37,1,61,27,0,0,22,5,2,0,24,1,0,2,0
8.337,10,4,0.999,6.913,39.8,49.5,1.129,0.642,0.607,642.87,4.3,16,93,0,20,52,0,98,37,0,0,18,19,4,0,46,0,0,6,0
9.155,10,4,1.003,7.209,41.2,47.1,1.126,0.652,0.622,612.79,4.7,16,85,0,21,50,0,90,35,0,0,20,15,5,0,40,0,0,6,0
6.671,10,3,1.006,7.009,38.0,49.4,1.132,0.632,0.602,553.72,3.8,10,79,0,14,44,0,83,30,0,0,12,18,4,0,39,0,0,7,0
6.161,5,3,1.001,8.509,51.1,38.3,1.106,0.732,0.698,399.9,6.4,22,47,0,24,33,0,51,24,1,0,22,2,2,0,18,1,0,1,0
7.237,6,3,0.998,8.815,47.4,42.1,1.111,0.713,0.672,502.44,5.3,22,57,0,24,37,1,61,27,0,0,22,5,2,0,24,1,0,2,0
5.0,10,4,1.01,7.743,44.0,42.7,1.121,0.672,0.65,580.69,5.3,22,75,0,26,48,0,80,33,0,0,24,9,4,0,32,0,0,6,0
7.23,10,3,1.0,7.365,45.2,45.2,1.116,0.673,0.641,765.97,2.9,24,104,0,29,65,0,112,47,0,0,29,18,5,0,47,0,0,7,0
6.28,10,3,1.003,7.53,45.9,43.9,1.115,0.678,0.649,737.91,3.1,24,98,0,29,63,0,106,45,0,0,29,16,5,0,43,0,0,7,0
5.824,11,4,0.998,7.322,40.9,47.3,1.121,0.678,0.632,680.95,4.3,22,93,0,26,54,0,98,38,0,0,24,14,4,0,44,1,0,6,0
8.45,10,3,1.002,7.445,45.5,44.6,1.116,0.675,0.645,751.94,3.0,24,101,0,29,64,0,109,46,0,0,29,17,5,0,45,0,0,7,0
7.184,8,4,0.995,6.607,37.7,51.9,1.134,0.63,0.59,508.73,5.2,10,77,0,12,42,0,82,29,0,0,10,19,2,0,40,0,0,4,0
7.914,7,4,0.991,6.483,38.2,52.6,1.133,0.633,0.588,492.73,5.3,10,76,0,12,41,0,81,29,0,0,10,19,2,0,40,0,0,3,0
5.703,7,3,0.992,7.09,41.3,49.3,1.121,0.666,0.618,531.78,4.0,16,75,0,18,43,0,80,31,0,0,16,15,2,0,37,1,0,3,0
8.49,11,3,1.007,7.623,45.5,43.6,1.119,0.675,0.649,769.93,3.0,24,101,0,29,65,0,109,46,0,0,29,17,5,1,44,0,0,7,0
5.0,10,4,1.008,7.388,40.5,45.9,1.128,0.651,0.625,546.68,5.4,16,74,0,20,44,0,78,30,0,0,18,12,4,0,34,0,0,6,0
7.76,10,3,1.004,7.525,45.2,44.1,1.117,0.674,0.646,699.86,3.2,24,93,0,29,58,0,99,42,0,0,29,13,5,0,41,0,0,7,0
7.06,11,3,1.003,7.447,44.8,44.8,1.117,0.671,0.642,781.97,2.9,24,105,0,29,66,0,113,47,0,0,29,18,5,0,47,0,0,8,0
7.706,7,4,0.992,6.558,38.4,52.1,1.133,0.635,0.592,478.7,5.5,10,73,0,12,40,0,78,28,0,0,10,18,2,0,38,0,0,3,0
5.441,4,2,0.983,6.523,43.2,51.4,1.12,0.657,0.607,482.72,2.7,16,74,0,18,41,0,79,32,0,0,17,15,2,0,38,0,0,2,0
6.719,8,3,0.997,6.697,38.8,51.3,1.13,0.634,0.596,535.75,3.8,10,80,0,13,44,0,85,31,0,0,11,20,3,0,41,0,0,5,0
8.208,7,3,0.994,6.583,38.7,52.0,1.131,0.634,0.592,493.71,4.0,10,75,0,12,41,0,80,29,0,0,10,19,2,0,39,0,0,4,0
6.98,10,3,1.002,7.445,45.5,44.6,1.116,0.675,0.645,751.94,3.0,24,101,0,29,64,0,109,46,0,0,29,17,5,0,45,0,0,7,0
8.333,7,3,0.992,6.509,38.5,52.6,1.131,0.632,0.589,507.74,3.8,10,78,0,12,42,0,83,30,0,0,10,20,2,0,41,0,0,4,0
8.398,10,4,1.005,7.184,40.0,47.5,1.129,0.646,0.617,574.74,5.0,16,80,0,21,45,0,83,32,0,0,20,12,5,0,38,0,0,6,0
4.824,4,3,0.986,7.105,47.6,46.0,1.113,0.688,0.645,447.62,4.8,26,63,0,27,39,0,68,30,0,0,23,7,1,0,29,0,0,1,0
7.056,6,3,1.0,9.045,48.1,40.7,1.109,0.72,0.681,488.41,5.6,22,54,0,24,36,1,58,26,0,0,22,4,2,0,22,1,0,2,0
8.77,9,4,0.998,6.963,40.7,48.8,1.127,0.648,0.612,598.81,4.7,16,86,0,20,49,0,91,35,0,0,18,17,4,0,42,0,0,5,0
9.155,9,4,0.999,7.105,41.7,47.6,1.125,0.655,0.621,596.79,4.8,16,84,0,21,49,0,89,35,0,0,20,15,5,0,40,0,0,5,0
7.666,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
6.292,14,6,1.021,8.649,39.1,40.6,1.125,0.687,0.661,596.75,8.7,22,69,0,28,44,0,72,27,0,0,22,5,6,0,28,2,0,6,0
8.409,8,3,0.998,7.034,42.0,48.1,1.124,0.654,0.619,569.76,3.7,16,81,0,19,48,0,87,34,0,0,17,17,3,0,39,0,0,5,0
6.854,8,3,1.0,7.125,42.3,47.4,1.123,0.657,0.623,555.73,3.8,16,78,0,19,47,0,84,33,0,0,17,16,3,0,37,0,0,5,0
6.886,7,3,1.006,9.171,47.3,40.0,1.111,0.715,0.682,504.41,5.5,22,55,0,24,37,1,59,26,0,0,22,4,2,0,22,1,0,3,0
4.62,14,6,1.032,9.047,35.7,39.3,1.132,0.681,0.661,506.62,10.7,16,56,0,22,36,0,58,20,0,0,16,4,6,0,22,2,0,6,0
5.222,14,6,1.018,8.483,38.9,41.7,1.126,0.683,0.654,610.78,8.3,22,72,0,28,45,0,75,28,0,0,22,6,6,0,30,2,0,6,0
4.886,8,4,0.991,6.814,42.3,49.5,1.123,0.656,0.614,660.93,4.1,22,97,0,25,55,0,103,41,0,0,23,18,3,0,48,0,0,4,0
7.509,6,3,1.006,9.485,47.8,39.1,1.11,0.725,0.69,436.33,6.5,18,46,0,20,31,1,49,22,0,0,20,2,2,0,18,1,0,2,0
4.0,9,5,0.997,7.124,42.5,47.1,1.124,0.662,0.626,619.83,5.7,22,87,0,27,50,0,91,37,0,0,26,11,5,0,41,0,0,4,0
8.377,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
6.056,9,3,1.031,9.713,46.9,34.7,1.129,0.727,0.708,475.95,6.1,18,49,0,20,35,0,52,23,1,0,20,3,2,3,17,2,0,1,0
9.699,9,4,0.999,6.985,40.2,48.8,1.128,0.646,0.611,572.77,4.9,16,82,0,19,47,0,87,33,0,0,17,16,3,0,40,0,0,5,0
4.432,10,5,0.999,6.858,38.4,50.0,1.133,0.637,0.601,589.81,5.8,16,86,0,20,46,0,89,33,0,0,18,15,4,0,43,0,0,5,0
5.721,9,3,1.031,9.713,46.9,34.7,1.129,0.727,0.708,475.95,6.1,18,49,0,20,35,0,52,23,1,0,20,3,2,3,17,2,0,1,0
6.26,13,4,1.007,7.505,40.4,46.5,1.124,0.66,0.627,742.97,4.0,22,99,0,27,59,0,105,40,0,0,23,17,5,0,46,1,0,8,0
5.658,8,4,0.992,6.882,42.6,48.9,1.123,0.658,0.617,646.9,4.3,22,94,0,25,54,0,100,40,0,0,23,17,3,0,46,0,0,4,0
5.391,5,3,0.985,6.476,41.3,52.0,1.125,0.648,0.6,485.73,4.0,16,75,0,17,41,0,80,31,0,0,15,16,1,0,39,0,0,2,0
4.824,10,5,1.001,7.17,41.4,47.1,1.127,0.655,0.623,623.82,5.7,22,87,0,26,50,0,91,36,0,0,24,12,4,0,41,0,0,5,0
7.638,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
5.086,12,5,1.004,6.967,37.9,49.5,1.133,0.634,0.602,661.88,5.3,16,95,0,21,51,0,98,36,0,0,19,17,5,0,47,0,0,7,0
5.971,6,2,0.994,6.859,42.5,49.3,1.122,0.654,0.614,500.69,2.7,16,73,0,18,42,0,78,31,0,0,16,15,2,0,36,0,0,4,0
9.097,9,4,0.998,7.021,41.4,48.3,1.126,0.652,0.617,610.82,4.6,16,87,0,21,50,0,92,36,0,0,20,16,5,0,42,0,0,5,0
6.678,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
8.469,9,3,0.999,6.975,40.9,48.9,1.126,0.647,0.612,613.82,3.4,16,88,0,20,50,0,93,36,0,0,18,18,4,0,43,0,0,6,0
6.287,6,3,0.993,6.782,40.9,50.0,1.127,0.649,0.608,447.63,4.5,16,66,0,18,36,0,69,27,0,0,16,11,2,0,33,0,0,3,0
6.587,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
7.31,7,3,0.998,7.304,40.9,48.5,1.126,0.662,0.62,482.07,4.5,16,66,0,18,37,0,69,27,1,0,16,11,2,0,32,1,0,3,0
8.201,6,3,0.99,6.672,41.6,50.6,1.125,0.65,0.606,513.74,3.9,16,77,0,18,43,0,82,32,0,0,16,16,2,0,39,0,0,3,0
5.0,10,4,1.01,7.743,44.0,42.7,1.121,0.672,0.65,580.69,5.3,22,75,0,26,48,0,80,33,0,0,24,9,4,0,32,0,0,6,0
5.62,11,4,0.998,7.322,40.9,47.3,1.121,0.678,0.632,680.95,4.3,22,93,0,26,54,0,98,38,0,0,24,14,4,0,44,1,0,6,0
5.0,11,4,0.998,7.322,40.9,47.3,1.121,0.678,0.632,680.95,4.3,22,93,0,26,54,0,98,38,0,0,24,14,4,0,44,1,0,6,0
8.921,10,4,1.003,7.094,39.8,48.2,1.129,0.644,0.613,588.77,4.8,16,83,0,21,46,0,86,33,0,0,20,13,5,0,40,0,0,6,0
9.678,7,3,0.994,6.858,41.8,49.4,1.124,0.652,0.613,541.75,3.8,16,79,0,19,45,0,84,33,0,0,17,16,3,0,39,0,0,4,0
8.377,9,4,0.997,6.886,40.4,49.4,1.127,0.646,0.609,612.84,4.5,16,89,0,20,50,0,94,36,0,0,18,18,4,0,44,0,0,5,0
7.585,5,3,0.994,7.431,47.4,43.9,1.114,0.689,0.654,423.55,5.3,22,57,0,24,36,0,61,27,0,0,22,5,2,0,25,0,0,2,0
7.337,5,3,0.994,8.913,49.1,41.5,1.108,0.725,0.681,472.41,5.7,22,53,0,24,35,1,57,26,0,0,22,4,2,0,22,1,0,1,0
6.121,6,3,0.99,6.672,41.6,50.6,1.125,0.65,0.606,513.74,3.9,16,77,0,18,43,0,82,32,0,0,16,16,2,0,39,0,0,3,0
7.0,5,3,0.993,8.686,48.2,42.9,1.109,0.718,0.671,486.44,5.4,22,56,0,24,36,1,60,27,0,0,22,5,2,0,24,1,0,1,0
7.337,6,3,0.998,9.617,49.0,39.2,1.102,0.751,0.701,490.45,5.9,22,51,0,24,35,1,55,25,0,0,22,3,2,0,20,2,0,1,0
7.886,8,3,1.001,7.223,42.7,46.7,1.122,0.66,0.628,541.7,4.0,16,75,0,20,45,0,80,32,0,0,19,13,4,0,35,0,0,5,0
6.74,7,3,0.997,7.037,42.5,47.9,1.123,0.658,0.621,513.69,4.1,17,73,0,19,43,0,78,31,0,0,17,14,2,0,35,0,0,4,0
7.08,6,3,0.992,6.912,43.1,48.6,1.122,0.661,0.62,497.69,4.2,17,72,0,19,42,0,77,31,0,0,17,14,2,0,35,0,0,3,0
7.796,6,4,0.996,8.862,47.3,41.8,1.113,0.717,0.674,487.43,7.3,22,55,0,24,36,1,59,26,0,0,22,4,2,0,23,1,0,1,0
6.5,6,3,0.995,7.116,43.9,47.0,1.12,0.667,0.63,469.63,4.5,17,66,0,19,40,0,71,29,0,0,17,12,2,0,31,0,0,3,0
6.69,5,2,0.99,6.895,44.3,48.6,1.118,0.665,0.623,482.67,2.9,17,70,0,19,41,0,75,31,0,0,18,13,2,0,34,0,0,3,0
7.75,6,3,0.989,6.53,40.0,52.0,1.128,0.641,0.596,489.72,4.0,11,75,0,13,41,0,80,30,0,0,11,19,2,0,39,0,0,3,0
8.032,6,3,0.998,8.815,47.4,42.1,1.111,0.713,0.672,502.44,5.3,22,57,0,24,37,1,61,27,0,0,22,5,2,0,24,1,0,2,0
5.63,6,3,0.996,6.908,40.7,49.2,1.127,0.649,0.611,407.56,5.1,11,59,0,13,34,0,63,24,0,0,11,13,2,0,29,0,0,3,0
8.65,6,3,0.992,6.912,43.1,48.6,1.122,0.661,0.62,497.69,4.2,17,72,0,19,42,0,77,31,0,0,17,14,2,0,35,0,0,3,0
6.319,7,3,1.022,8.669,50.0,36.0,1.129,0.703,0.693,433.46,6.0,22,50,0,24,36,0,54,25,0,0,22,3,2,3,18,0,0,1,0
6.174,4,3,0.994,7.776,51.1,40.4,1.107,0.714,0.681,365.46,6.4,22,47,0,24,32,0,51,24,0,0,22,2,2,0,19,0,0,1,0
7.445,6,3,1.003,9.302,49.0,39.2,1.108,0.728,0.691,474.38,5.9,22,51,0,24,35,1,55,25,0,0,22,3,2,0,20,1,0,2,0
7.328,6,3,1.005,8.43,49.0,39.2,1.11,0.718,0.687,429.93,5.9,22,51,0,24,35,0,55,25,1,0,22,3,2,0,20,1,0,2,0
6.796,5,3,0.998,7.755,49.0,41.2,1.111,0.702,0.671,395.49,5.9,22,51,0,24,34,0,55,25,0,0,22,3,2,0,21,0,0,2,0
6.432,5,3,0.999,9.454,51.1,38.3,1.104,0.743,0.703,444.35,6.4,22,47,0,24,33,1,51,24,0,0,22,2,2,0,18,1,0,1,0
5.53,7,2,0.998,6.982,41.9,48.6,1.123,0.652,0.616,516.69,2.7,16,74,0,18,43,0,79,31,0,0,16,15,2,0,36,0,0,5,0
7.174,6,3,1.002,7.737,47.3,41.8,1.114,0.691,0.663,425.52,5.5,22,55,0,24,36,0,59,26,0,0,22,4,2,0,23,0,0,3,0
6.35,5,2,0.992,6.995,44.8,47.8,1.117,0.669,0.628,468.64,3.0,17,67,0,19,40,0,72,30,0,0,18,12,2,0,32,0,0,3,0
4.95,5,4,0.984,6.601,42.3,50.7,1.125,0.657,0.609,468.7,5.6,17,71,0,18,40,0,76,30,0,0,16,14,1,0,36,0,0,1,0
6.137,5,3,1.005,8.159,51.1,38.3,1.114,0.713,0.689,383.45,6.4,22,47,0,24,33,0,51,24,0,0,22,2,2,1,18,0,0,1,0
7.143,4,3,0.99,7.425,49.1,43.4,1.11,0.7,0.661,393.52,5.7,22,53,0,24,34,0,57,26,0,0,22,4,2,0,23,0,0,1,0
6.85,6,3,0.992,6.912,43.1,48.6,1.122,0.661,0.62,497.69,4.2,17,72,0,19,42,0,77,31,0,0,17,14,2,0,35,0,0,3,0
9.15,10,4,1.002,7.123,40.9,47.7,1.127,0.65,0.618,626.82,4.5,16,88,0,21,51,0,93,36,0,0,20,16,5,0,42,0,0,6,0
7.82,7,3,0.995,6.735,39.7,50.7,1.129,0.641,0.601,491.69,4.1,16,73,0,18,39,0,76,29,0,0,16,13,2,0,37,0,0,4,0
7.87,7,3,0.996,6.824,40.0,50.0,1.128,0.643,0.605,477.66,4.3,11,70,0,13,40,0,75,28,0,0,11,17,2,0,35,0,0,4,0
6.87,6,3,0.992,6.691,40.6,50.7,1.127,0.646,0.603,461.66,4.3,16,69,0,18,37,0,72,28,0,0,16,12,2,0,35,0,0,3,0
8.43,10,4,1.003,7.034,39.0,48.8,1.131,0.64,0.608,576.76,4.9,16,82,0,20,45,0,85,32,0,0,18,14,4,0,40,0,0,6,0
6.72,6,3,0.991,6.753,41.9,50.0,1.124,0.653,0.61,499.71,4.1,16,74,0,18,42,0,79,31,0,0,16,15,2,0,37,0,0,3,0
7.15,10,3,1.004,7.427,44.0,45.1,1.119,0.667,0.638,675.84,3.3,18,91,0,23,57,0,98,40,0,0,23,17,5,0,41,0,0,7,0
7.388,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
8.4,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
6.796,13,7,1.002,7.238,41.0,46.7,1.128,0.655,0.624,759.99,6.7,24,105,0,29,61,0,110,43,0,0,29,14,5,0,49,0,0,6,0
8.66,10,4,1.002,7.067,40.2,48.3,1.128,0.646,0.614,614.81,4.6,16,87,0,21,49,0,91,35,0,0,20,15,5,0,42,0,0,6,0
7.796,12,7,1.0,7.362,39.6,47.3,1.129,0.662,0.623,669.93,7.7,21,91,0,24,54,0,97,36,0,0,19,17,3,0,43,1,0,4,0
8.94,10,4,1.003,7.094,39.8,48.2,1.129,0.644,0.613,588.77,4.8,16,83,0,21,46,0,86,33,0,0,20,13,5,0,40,0,0,6,0
9.29,10,4,1.003,7.209,41.2,47.1,1.126,0.652,0.622,612.79,4.7,16,85,0,21,50,0,90,35,0,0,20,15,5,0,40,0,0,6,0
6.78,10,4,1.0,6.987,40.0,48.9,1.128,0.644,0.61,628.84,4.4,16,90,0,20,51,0,95,36,0,0,18,18,4,0,44,0,0,6,0
7.81,7,3,0.993,6.647,40.0,51.3,1.128,0.641,0.599,531.76,3.8,16,80,0,18,43,0,84,32,0,0,16,16,2,0,41,0,0,4,0
7.69,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
6.52,10,4,1.002,7.009,39.5,48.8,1.13,0.642,0.609,602.8,4.7,16,86,0,20,48,0,90,34,0,0,18,16,4,0,42,0,0,6,0
8.05,8,3,0.998,6.972,41.3,48.8,1.125,0.65,0.614,557.75,3.8,16,80,0,19,46,0,85,33,0,0,17,16,3,0,39,0,0,5,0
9.13,12,4,1.014,7.825,43.7,42.5,1.125,0.668,0.649,680.79,4.6,22,87,0,27,56,0,93,38,0,0,25,13,5,1,37,0,0,7,0
7.42,11,5,1.032,8.578,43.1,37.9,1.143,0.669,0.667,497.52,8.6,18,58,0,21,39,0,61,25,0,0,21,4,3,3,22,0,0,3,0
6.889,11,4,1.003,7.229,42.0,47.0,1.127,0.654,0.623,722.93,4.0,22,100,0,26,59,0,106,42,0,0,24,18,4,1,47,0,0,6,0
7.432,5,3,0.993,8.686,48.2,42.9,1.109,0.718,0.671,486.44,5.4,22,56,0,24,36,1,60,27,0,0,22,5,2,0,24,1,0,1,0
7.167,8,2,0.999,6.794,39.2,50.6,1.128,0.636,0.599,536.73,2.5,12,79,0,14,43,0,83,31,0,0,14,17,2,0,40,0,0,6,0
5.115,10,5,1.014,7.837,42.2,42.2,1.127,0.667,0.648,501.59,7.8,18,64,0,22,40,0,67,27,0,0,22,5,4,0,27,0,0,5,0
5.569,10,4,1.01,7.743,44.0,42.7,1.121,0.672,0.65,580.69,5.3,22,75,0,26,48,0,80,33,0,0,24,9,4,0,32,0,0,6,0
5.432,6,4,1.003,8.01,49.0,39.2,1.112,0.706,0.681,408.49,7.8,22,51,0,25,35,0,55,25,0,0,23,2,3,0,20,0,0,2,0
6.587,7,3,0.993,6.778,41.5,50.0,1.125,0.65,0.609,555.78,3.7,16,82,0,19,46,0,87,34,0,0,17,17,3,0,41,0,0,4,0
7.91,11,3,1.005,7.786,45.5,43.6,1.115,0.684,0.653,786.38,3.0,24,101,0,29,65,0,109,46,1,0,29,17,5,0,44,1,0,7,0
5.967,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
6.87,8,3,0.995,7.224,45.9,45.9,1.115,0.676,0.64,707.93,3.1,24,98,0,28,61,0,106,45,0,0,28,17,4,0,45,0,0,5,0
8.201,7,3,0.994,6.792,41.0,50.0,1.126,0.648,0.608,529.74,3.8,16,78,0,18,44,0,83,32,0,0,16,16,2,0,39,0,0,4,0
5.614,14,6,1.018,8.483,38.9,41.7,1.126,0.683,0.654,610.78,8.3,22,72,0,28,45,0,75,28,0,0,22,6,6,0,30,2,0,6,0
4.509,14,6,1.03,9.244,40.0,36.7,1.123,0.702,0.683,554.66,10.0,22,60,0,28,41,0,63,24,0,0,22,2,6,0,22,2,0,6,0
5.602,9,4,1.004,7.204,40.3,47.2,1.129,0.649,0.619,518.67,5.6,16,72,0,20,41,0,75,29,0,0,18,11,4,0,34,0,0,5,0
8.48,6,3,0.988,6.458,39.7,52.6,1.128,0.639,0.593,503.75,3.8,11,78,0,13,42,0,83,31,0,0,11,20,2,0,41,0,0,3,0
5.84,6,3,0.995,7.116,43.9,47.0,1.12,0.667,0.63,469.63,4.5,17,66,0,19,40,0,71,29,0,0,17,12,2,0,31,0,0,3,0
