pXC50,Sp,Sv,C.,nBT,nSK,N.,nN,MW,nHM,nBO,nAB,nO,nBM,Si,nH,RBN,nAT,Se,nX,X.,nS,O.,nF,nCsp2,RBF,Mp,nDB,SCBO,nC,Mi
6.79,25.938,24.144,32.4,35,22,8.8,3,426.37,4,23,10,4,13,38.01,12,5,34,35.491,1,2.9,3,11.8,0,8,0.143,0.763,3,31.0,11,1.118
7.134,27.699,25.671,32.4,38,23,8.1,3,440.4,4,24,10,4,13,41.425,14,6,37,38.375,1,2.7,3,10.8,0,8,0.158,0.749,3,32.0,12,1.12
6.77,25.165,24.723,35.3,35,24,8.8,3,442.29,3,25,11,4,14,38.77,10,4,34,36.44,3,8.8,2,11.8,2,10,0.114,0.74,3,33.5,12,1.14
7.097,31.517,28.886,31.8,45,25,6.8,3,421.64,4,26,10,4,13,49.334,19,7,44,44.989,0,0.0,4,9.1,0,8,0.156,0.716,3,34.0,14,1.121
7.277,33.46,31.198,38.6,46,28,6.8,3,502.47,4,30,16,4,19,48.841,16,5,44,45.258,1,2.3,3,9.1,0,14,0.109,0.76,3,41.0,17,1.11
7.174,26.722,24.902,39.4,35,23,9.1,3,432.37,4,25,15,3,18,36.386,10,3,33,34.28,1,3.0,3,9.1,0,12,0.086,0.81,3,35.5,13,1.103
6.565,26.08,24.737,38.2,36,23,11.8,4,415.32,3,25,15,3,18,37.964,11,3,34,35.305,1,2.9,2,8.8,0,12,0.083,0.767,3,35.5,13,1.117
6.745,31.517,28.886,31.8,45,25,6.8,3,421.64,4,26,10,4,13,49.334,19,7,44,44.989,0,0.0,4,9.1,0,8,0.156,0.716,3,34.0,14,1.121
6.523,27.921,27.322,32.5,41,26,7.5,3,429.51,3,27,10,4,13,46.018,14,5,40,42.567,3,7.5,3,10.0,3,8,0.122,0.698,3,35.0,13,1.15
7.398,32.42,30.715,36.4,46,28,6.8,3,462.01,4,30,15,5,18,49.152,16,6,44,45.68,1,2.3,3,11.4,0,12,0.13,0.737,3,40.5,16,1.117
4.0,26.347,25.183,23.3,42,22,7.0,3,359.48,2,21,0,7,6,49.538,21,10,43,44.702,0,0.0,2,16.3,0,2,0.238,0.613,6,27.0,10,1.152
7.921,20.96,19.625,39.3,30,18,3.6,1,283.26,2,20,11,4,12,31.056,10,3,28,28.88,0,0.0,1,14.3,0,9,0.1,0.749,1,26.5,11,1.109
7.959,24.483,22.679,38.2,36,20,2.9,1,311.32,2,22,11,4,12,37.886,14,4,34,34.647,0,0.0,1,11.8,0,9,0.111,0.72,1,28.5,13,1.114
8.046,20.835,20.392,39.3,30,20,3.6,1,319.24,2,22,11,4,12,31.735,8,3,28,29.905,2,7.1,1,14.3,2,9,0.1,0.744,1,28.5,11,1.133
6.824,24.176,22.617,32.3,32,21,9.7,3,412.34,4,22,10,4,13,34.595,10,4,31,32.607,1,3.2,3,12.9,0,8,0.125,0.78,3,30.0,10,1.116
4.0,16.068,15.482,33.3,24,14,8.3,2,214.27,1,14,6,3,9,27.206,10,2,24,24.796,0,0.0,1,12.5,0,7,0.083,0.67,3,20.0,8,1.134
6.495,30.943,29.165,37.5,42,27,10.0,4,489.43,4,29,16,4,19,44.508,13,5,40,41.593,1,2.5,3,10.0,0,13,0.119,0.774,3,40.0,15,1.113
6.539,21.057,19.676,33.3,25,19,12.5,3,402.72,5,20,10,3,13,26.499,5,3,24,25.837,2,8.3,3,12.5,0,8,0.12,0.877,3,28.0,8,1.104
6.21,23.341,23.58,35.5,32,24,9.7,3,446.25,3,25,11,4,14,35.694,7,4,31,34.069,4,12.9,2,12.9,3,10,0.125,0.753,3,33.5,11,1.151
6.228,23.074,21.715,36.7,31,20,10.0,3,376.28,3,21,11,3,14,33.466,10,3,30,31.204,1,3.3,2,10.0,0,10,0.097,0.769,3,29.5,11,1.116
6.72,22.17,21.016,37.0,28,20,11.1,3,396.69,4,21,11,3,14,29.994,7,3,27,28.644,2,7.4,2,11.1,0,10,0.107,0.821,3,29.5,10,1.111
6.678,23.403,23.197,35.5,32,23,9.7,3,428.26,3,24,11,4,14,35.354,8,4,31,33.556,3,9.7,2,12.9,2,10,0.125,0.755,3,32.5,11,1.14
5.678,22.318,21.21,34.5,30,20,13.8,4,377.27,3,21,11,3,14,32.549,9,3,29,30.422,1,3.4,2,10.3,0,10,0.1,0.77,3,29.5,10,1.122
6.824,32.358,30.296,41.9,45,27,7.0,3,466.41,3,29,17,3,20,47.711,16,5,43,43.854,1,2.3,2,7.0,0,16,0.111,0.753,3,40.5,18,1.11
6.042,21.818,20.453,39.3,30,19,3.6,1,317.7,3,21,11,4,12,31.0,9,3,28,29.204,1,3.6,1,14.3,0,9,0.1,0.779,1,27.5,11,1.107
6.112,22.313,20.651,39.3,30,19,3.6,1,362.15,3,21,11,4,12,30.897,9,3,28,29.109,1,3.6,1,14.3,0,9,0.1,0.797,1,27.5,11,1.103
8.097,22.722,21.152,38.7,33,19,3.2,1,297.29,2,21,11,4,12,34.471,12,3,31,31.764,0,0.0,1,12.9,0,9,0.091,0.733,1,27.5,12,1.112
7.824,20.898,20.009,39.3,30,19,3.6,1,301.25,2,21,11,4,12,31.395,9,3,28,29.393,1,3.6,1,14.3,1,9,0.1,0.746,1,27.5,11,1.121
8.097,21.818,20.453,39.3,30,19,3.6,1,317.7,3,21,11,4,12,31.0,9,3,28,29.204,1,3.6,1,14.3,0,9,0.1,0.779,1,27.5,11,1.107
8.046,27.727,26.174,43.2,40,24,5.4,2,360.35,2,27,17,4,18,40.969,13,4,37,37.865,0,0.0,1,10.8,0,14,0.1,0.749,1,36.5,16,1.107
8.523,26.972,25.668,41.7,39,24,8.3,3,361.34,2,27,17,4,18,40.052,12,4,36,37.084,0,0.0,1,11.1,0,13,0.103,0.749,1,36.5,15,1.113
8.699,25.182,23.888,37.1,37,22,5.7,2,340.32,2,24,11,5,13,39.179,13,4,35,36.193,0,0.0,1,14.3,0,10,0.108,0.719,2,31.5,13,1.119
6.509,24.176,22.617,32.3,32,21,9.7,3,412.34,4,22,10,4,13,34.595,10,4,31,32.607,1,3.2,3,12.9,0,8,0.125,0.78,3,30.0,10,1.116
6.387,29.869,27.699,32.6,44,24,7.0,3,389.57,3,25,10,4,13,48.414,19,6,43,43.913,0,0.0,3,9.3,0,8,0.136,0.695,3,33.0,14,1.126
7.0,30.511,29.22,35.7,44,27,9.5,4,475.38,3,29,15,5,18,47.213,15,6,42,43.727,1,2.4,2,11.9,0,12,0.136,0.726,3,39.5,15,1.124
7.262,32.705,30.692,37.2,45,28,9.3,4,503.46,4,30,16,4,19,47.924,15,5,43,44.476,1,2.3,3,9.3,0,13,0.111,0.761,3,41.0,16,1.115
6.585,30.324,28.414,31.8,45,25,6.8,3,405.57,3,26,10,5,13,49.624,19,7,44,45.24,0,0.0,3,11.4,0,8,0.156,0.689,3,34.0,14,1.128
6.002,22.722,21.152,38.7,33,19,3.2,1,297.29,2,21,11,4,12,34.471,12,3,31,31.764,0,0.0,1,12.9,0,9,0.091,0.733,1,27.5,12,1.112
7.398,27.727,26.174,43.2,40,24,5.4,2,360.35,2,27,17,4,18,40.969,13,4,37,37.865,0,0.0,1,10.8,0,14,0.1,0.749,1,36.5,16,1.107
7.155,29.756,27.359,31.7,42,24,7.3,3,407.61,4,25,10,4,13,45.919,17,6,41,42.105,0,0.0,4,9.8,0,8,0.143,0.726,3,33.0,13,1.12
8.046,27.727,26.174,43.2,40,24,5.4,2,360.35,2,27,17,4,18,40.969,13,4,37,37.865,0,0.0,1,10.8,0,14,0.1,0.749,1,36.5,16,1.107
7.553,28.483,26.679,44.7,41,24,2.6,1,359.36,2,27,17,4,18,41.886,14,4,38,38.647,0,0.0,1,10.5,0,15,0.098,0.75,1,36.5,17,1.102
5.325,23.074,21.715,36.7,31,20,10.0,3,376.28,3,21,11,3,14,33.466,10,3,30,31.204,1,3.3,2,10.0,0,10,0.097,0.769,3,29.5,11,1.116
6.35,26.597,24.769,36.1,37,22,8.3,3,404.34,3,23,11,3,14,40.296,14,4,36,36.971,1,2.8,2,8.3,0,10,0.108,0.739,3,31.5,13,1.119
8.0,24.483,22.679,38.2,36,20,2.9,1,311.32,2,22,11,4,12,37.886,14,3,34,34.647,0,0.0,1,11.8,0,9,0.083,0.72,1,28.5,13,1.114
6.638,22.409,20.701,33.3,25,20,12.5,3,481.61,6,21,10,3,13,26.341,4,3,24,26.066,3,12.5,3,12.5,0,8,0.12,0.934,3,29.0,8,1.098
6.886,29.779,28.647,41.0,41,27,10.3,4,471.36,3,29,17,3,20,43.719,12,4,39,40.702,2,5.1,2,7.7,1,15,0.098,0.764,3,40.5,16,1.121
5.0,36.892,34.787,46.2,55,30,5.8,3,464.39,1,33,23,2,23,57.907,22,7,52,52.025,1,1.9,0,3.8,0,20,0.127,0.709,0,44.5,24,1.114
5.0,38.654,36.314,45.5,58,31,5.5,3,478.42,1,34,23,2,23,61.323,24,8,55,54.909,1,1.8,0,3.6,0,20,0.138,0.703,0,45.5,25,1.115
5.62,30.017,28.708,45.5,46,25,6.8,3,333.42,0,27,17,2,18,49.235,19,6,44,44.029,0,0.0,0,4.5,0,14,0.13,0.682,0,37.5,20,1.119
5.0,28.915,27.019,43.9,43,23,7.3,3,372.29,1,25,17,1,17,45.868,18,6,41,40.931,1,2.4,0,2.4,0,14,0.14,0.705,0,33.5,18,1.119
5.0,35.449,33.404,39.2,53,29,5.9,3,480.42,2,31,17,4,19,57.246,22,8,51,51.756,1,2.0,1,7.8,0,14,0.151,0.695,2,41.5,20,1.122
4.924,23.279,22.046,46.7,32,20,13.3,4,349.63,2,22,17,0,17,33.44,10,2,30,30.494,2,6.7,0,0.0,0,14,0.063,0.776,0,30.5,14,1.115
5.0,29.733,28.363,42.9,44,25,7.1,3,378.28,2,27,17,2,17,47.123,17,6,42,42.676,2,4.8,0,4.8,0,14,0.136,0.708,0,35.5,18,1.122
6.276,28.813,27.919,42.9,44,25,7.1,3,361.83,1,27,17,2,17,47.519,17,6,42,42.865,2,4.8,0,4.8,1,14,0.136,0.686,0,35.5,18,1.131
5.125,26.176,24.723,52.9,37,22,8.8,3,350.23,1,25,22,0,22,37.413,12,2,34,33.953,1,2.9,0,0.0,0,18,0.054,0.77,0,36.0,18,1.1
5.0,36.415,33.841,40.7,56,28,5.6,3,444.41,1,30,17,2,17,60.738,26,8,54,53.792,1,1.9,0,3.7,0,14,0.143,0.674,0,38.5,22,1.125
5.26,29.824,28.448,41.9,45,25,7.0,3,404.29,1,27,17,3,17,48.286,18,7,43,43.585,1,2.3,0,7.0,0,14,0.156,0.694,0,35.5,18,1.123
5.0,33.801,32.217,40.0,52,28,6.0,3,448.35,1,30,17,4,17,56.326,22,10,50,50.68,1,2.0,0,8.0,0,14,0.192,0.676,0,38.5,20,1.127
5.796,28.875,27.536,42.9,44,24,7.1,3,343.84,1,26,17,2,17,47.179,18,6,42,42.353,1,2.4,0,4.8,0,14,0.136,0.688,0,34.5,18,1.123
5.0,24.784,24.362,44.1,36,23,11.8,4,375.2,1,25,17,3,19,38.124,11,4,34,35.153,1,2.9,0,8.8,0,14,0.111,0.729,2,35.5,15,1.121
5.0,28.017,26.708,42.9,44,23,7.1,3,309.4,0,25,17,2,17,47.235,19,6,42,42.029,0,0.0,0,4.8,0,14,0.136,0.667,0,33.5,18,1.125
6.602,26.432,26.038,47.4,40,24,7.9,3,323.35,0,26,17,2,18,42.745,14,4,38,38.774,1,2.6,0,5.3,1,14,0.1,0.696,0,36.5,18,1.125
5.538,27.608,26.207,43.6,41,23,7.7,3,374.26,1,25,17,2,17,43.662,16,6,39,39.374,1,2.6,0,5.1,0,14,0.146,0.708,0,33.5,17,1.12
5.678,30.676,28.025,42.9,44,24,7.1,3,435.29,1,26,17,2,17,46.956,18,6,42,42.098,1,2.4,0,4.8,0,14,0.136,0.73,0,34.5,18,1.118
5.398,23.665,22.713,48.4,34,21,16.1,5,340.2,1,24,21,0,21,34.579,10,2,31,31.389,1,3.2,0,0.0,0,15,0.059,0.763,0,34.5,15,1.115
5.0,23.426,22.948,46.7,32,22,13.3,4,379.61,2,24,17,2,19,33.443,8,3,30,31.265,2,6.7,0,6.7,0,14,0.094,0.781,2,34.5,14,1.115
5.444,26.546,25.889,43.2,39,24,10.8,4,389.23,1,26,17,3,19,41.539,13,5,37,38.036,1,2.7,0,8.1,0,14,0.128,0.717,2,36.5,16,1.123
5.0,31.989,30.088,42.2,47,26,6.7,3,436.76,2,28,17,2,17,50.436,19,6,45,45.465,2,4.4,0,4.4,0,14,0.128,0.711,0,36.5,19,1.121
5.0,29.262,28.203,44.2,45,25,9.3,4,334.41,0,27,17,2,18,48.318,18,6,43,43.247,0,0.0,0,4.7,0,14,0.133,0.681,0,37.5,19,1.124
6.227,23.699,23.668,27.0,39,23,13.5,5,347.26,1,25,10,7,11,42.757,14,4,37,39.193,0,0.0,0,18.9,0,5,0.103,0.641,1,31.0,10,1.156
5.886,25.352,24.482,44.4,38,22,8.3,3,315.78,1,24,17,2,17,40.349,14,4,36,36.585,1,2.8,0,5.6,0,14,0.105,0.704,0,32.5,16,1.121
